4r3/4P3/p4RP1/8/5K1k/5b2/5P2/8 b - -,e8e7
6k1/5p2/6pp/4P3/p4P2/1r6/1P2RKPP/8 w - -,f2e1
6k1/1p3p1p/p6r/3p2p1/1P1Nr3/P3P1bq/2R1Q2P/2B2RK1 w - -,e2g2
r2q1rk1/ppp1bppp/1nn1b3/4p3/8/P1NPBNP1/1P2PPBP/R2Q1RK1 b - -,f7f6:f7f5:b6d5
r1b1r1k1/1p2npp1/pqn4p/3p4/8/1N3NP1/PPP1BPP1/R2QR1K1 b - -,e7f5
r1bqr1k1/1ppn1p1p/3p1npb/p3p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 b - -,h6c1
2r2rk1/1bqn1pp1/p3pn1p/1p6/4P3/P1N1QN2/1PB2PPP/R2R2K1 b - -,d7b6
6k1/2Rb4/p4Pp1/6p1/1B1p3P/3P4/Pr4P1/6K1 w - -,b4c5
8/p2kn2p/1p2p1p1/5p2/3PP3/2K2P1P/P1NB1bP1/8 b - -,f5e4
3n4/8/3q2pk/1R6/p2bB2P/6P1/4RPK1/8 b - -,a4a3
2r1r1k1/5ppp/p1nqb3/1p1p4/3P4/1PN2N1P/P3QPP1/2R1R1K1 b - -,f7f6
8/p3pp1p/1p2bkp1/8/P1P5/1P3B1P/1r3PP1/4RK2 w - -,f3d1
8/2b5/N1P3k1/1p4pp/4P3/5K2/PP1r4/2R5 b - -,c7b6
2r2b1k/3r1p2/4pP1p/1p1pR3/1p3P1Q/3B2P1/1qP4P/3R3K b - -,c8c2
1r3bk1/1r3pp1/1nQq3p/p1pPp3/2B1P3/2P3P1/5P1P/R1B1R1K1 w - -,c6d6
3r4/5pkp/p2p1np1/1p1N4/2n1P3/P6P/1P1R1PP1/4R1K1 w - -,d2c2
rn1q1rk1/p4ppp/bp2pn2/3p4/2PP4/PPN2Q2/1B3PPP/R3KB1R b KQ -,b8c6
r1bqkr2/ppp1np1p/2np1B2/7Q/2B1P2N/P7/1P3P1P/R3K2R w KQq -,f6g7
r1b1k2r/1p1n1ppp/2p5/p1b1p3/2P5/P1N3P1/1P1BPPBP/R4RK1 w kq -,c3a4
r1r3k1/3qpbbp/2p3p1/1p1p1p2/3P1B2/RQP1P2P/2P1BPP1/R5K1 b - -,d7b7
5k2/8/6pp/8/1P2R3/P5P1/r6P/6K1 w - -,e4e3
8/1p6/p1bnp3/4p1kp/P2rB2R/1P3P2/5NP1/2K5 w - -,g2g3
r1b1k2r/bpppq1pp/p1n2n2/4p3/1PB1P3/2PQ1N2/P2N1PPP/R1B1K2R w KQkq -,e1g1
r2qk1nr/pp1b2pp/2n1pp2/2ppP3/3P4/P1P3P1/2P1NP1P/R1BQKB1R w KQkq -,f2f4
8/5k2/7p/1pp1Pp1K/p4P2/P1P4P/1P6/8 w - -,h5h6
6k1/4rp2/R5p1/4p1b1/3pP3/3P1Q2/Bp4PP/2q2NK1 b - -,g8g7
4r3/4pk1p/4npp1/8/6P1/B3QP2/q3P2P/3R2K1 b - -,e8a8
1R6/8/8/6k1/3rp3/8/5PPK/8 b - -,d4d2
5R2/6p1/8/4pk1p/8/P1PK3P/6P1/6r1 b - -,f5e6
8/8/2p1p3/6N1/rkb5/5RKP/8/8 w - -,h3h4
rq2r1k1/5bbp/1pn1npp1/p1pNp3/P1P1P3/1P2BNPP/2Q2PB1/3RR1K1 b - -,a8a7
5rk1/pp1b1qpp/3n4/P7/3Np3/P1B1P3/3P2PP/1R1Q2K1 b - -,d6b5
8/6pk/1r5p/4n3/1PRN4/r6P/p2B2PK/R7 w - -,c4c2
2q2rk1/4bpnp/p5p1/2p1P3/Q1P1B1b1/2B2N2/5PPP/R5K1 b - -,f8d8
1q2rbk1/rb1n1ppp/p4n2/1pp1p3/P7/1NBP1NPB/1P2PP1P/R1RQ2K1 b - a3,e5e4
6k1/1q2bp2/pp2p1pp/2p1P3/PnP2P2/2N1P3/1B1Q2PP/6K1 b - -,b4c6
8/1p2r2p/p2p2p1/Q2k4/3n4/7P/4rPPK/8 b - -,d4b5
3rk1nr/pp2qppp/2bp4/4p3/4P3/2NQ1N2/PPP2PPP/2KR3R w k -,c3d5
1rbq1rk1/ppnnbppp/8/8/3p4/1QN2NP1/PP3PBP/R1BR2K1 w - -,f3d4
8/5p2/3p1k1p/1R1P2p1/P2r4/1P6/7K/8 b - a3,d4d2
2kr3r/pp2ppbp/2n2np1/2Pp4/N2P3P/5PP1/P6K/3RBB1R w - -,f1h3
r2qr1k1/pb2ppbp/5np1/8/8/2P2N2/PP1NQPPP/R1B1R1K1 w - -,d2b3
4r1k1/R4pp1/4p2p/2r4P/1N2n3/4P3/P1P3P1/K2R4 b - -,e8c8
3r2k1/1bq1bp2/r3p1p1/2p1P1P1/Pp1n1Q2/P1pP4/2P1NPBN/R3R1K1 w - -,h2g4
2B5/8/8/6p1/K3R1P1/5Q2/P4k2/8 b - -,f2f3
8/8/6p1/5k1p/5P2/5R2/6K1/4q3 b - -,f5g4
2n2r1k/1bQq3p/1p2p3/pP1pP3/P4p2/4BP2/2R1B1PP/6K1 b - -,d7c7
r2q1rk1/1p2bppp/p1bpp3/4P3/6P1/1PN1B3/PP2QP1P/2KR2R1 b - -,d8c7
2r2rk1/1b2bpp1/p3p2p/1p1P3q/8/1PN5/PB3nPP/1QRR1BK1 b - -,e7c5
