6r1/3P4/2B4p/2p4P/2P2P2/P1k5/K7/8 b - -,c3c4
r1bq1rk1/ppp1p1b1/3p3p/5ppn/2PP2n1/2NBPNB1/PPQ2PPP/2KR3R w - f6,c3e2
8/p7/7p/2b2p2/3k3p/P4N2/1P3PK1/8 b - -,d4c4
3rk2r/3nbpp1/1qp1pn2/p2p4/3P1PP1/1PN4P/P2B2B1/2RQ1RK1 w k -,d2e3
r2q1rk1/1pp1npbp/2npb1p1/p3p3/2P5/P1NPP1PP/1P2NPB1/1RBQK2R w K -,e1g1
3r3k/p2P2qp/1pb5/2p2Br1/3bp1PQ/P7/1P3P2/3RRK2 b - -,d8f8
r3kb1r/pQ2pppp/1qn2n2/3p4/3Pb3/P1N2NP1/1P2PP1P/R1B1KB1R w KQkq -,b7a8
3r2k1/2p1r2p/1pBb2p1/3P1p2/1P6/2P2R2/6PP/4R1K1 w - -,f3e3
rq1rb1k1/1p2npp1/p3p1np/8/3PQ3/P1NB1N2/1P3PPP/2RR2K1 w - -,f3e5
8/8/5k2/1P1bn3/p4p1N/2R5/3r2BK/8 w - -,h2g1
8/7p/3bk1p1/n7/p3KP2/P1R1N2r/8/4B3 b - -,a5b3
8/4b2p/p2nkpp1/2p5/q1P2RPP/5N2/PB2RP2/6K1 b - -,e6d7
8/8/8/8/2k5/2n1b3/1K6/8 b - -,c3d5
r3r1k1/pp1n1p1p/2p1b1p1/4b1B1/2P1N3/1P3B2/P4PPP/2KR3R w - -,e4d6
rn1qkbnr/ppp2ppp/4p3/3p1b2/3PP3/2N2P2/PPP3PP/R1BQKBNR b KQkq e3,d5e4:f5g6
8/7p/4p1k1/8/1P2P3/P1n2RP1/6KP/4r3 w - -,f3c3
r2q2k1/2pn1rb1/1p1p2pp/pN1Ppp1b/1PP1P3/P3BP2/2QN2PP/R4RK1 w - -,h2h3
8/2b4p/2k1pBpP/ppP1P3/3p2r1/PK1N4/2P5/8 w - -,b3b2
2rr2k1/4bpp1/p6p/1p2p3/3P4/P1N2P2/1PPR1P1P/1R4K1 b - -,d8d4
rnbqkb1r/pp2pppp/2p2n2/8/P1pPP3/2N5/1P3PPP/R1BQKBNR b KQkq e3,c8e6:e7e5
1rb1k2r/3pppbp/p1n2np1/q7/1p1PP3/1P4P1/PBN1NPBP/R2QK2R b KQk -,d7d5
rnr3k1/1qp2ppp/2bpp3/p7/N2Pn3/PP4P1/2Q1PPBP/R1R1N1K1 b - -,a8a6
2r2rk1/2qpnpp1/1p2pb1p/pP6/2P5/PQ2PN2/3RBPPP/5RK1 b - -,f8d8
7k/7p/3r2p1/pp1q1p2/3p4/3N2Pn/6NP/1R1R3K w - a6,d1d2
8/pbr1qk1p/1p1Rp1p1/1Pr2p2/2P1p1P1/N3P1Q1/P4P1P/3R2K1 w - -,h2h3
r1b3k1/4brpp/p1n1p3/1p1qPp1Q/3p1PP1/P2B4/1PPBN2P/1K1R2R1 w - -,g1g3
rqb3k1/pp3Nb1/n3p1pp/1Np1P3/2P3PQ/8/PP2B2P/5RK1 b - -,g8h7
5rq1/8/7k/2Qp4/1p1P1pN1/b6P/6PK/5R2 b - -,h6h5
8/5k2/6p1/4p3/6PK/R2P3P/7r/8 w - -,a3a5
3r1rk1/pbq1npb1/4p1p1/4P2p/1pPp1B1P/1P4P1/P1N1QPB1/3RR1K1 b - -,b7g2
6k1/1b3pbp/2pq1np1/8/1PQB4/6P1/5PBP/4R1K1 w - -,d4c5
r3qr1k/pp1n1pp1/4p2p/3pPn2/b1pP1Q1P/P1P2N1R/2PBBPP1/2R1K3 b - -,f7f6
3r1rk1/2q4n/pn4pp/1p3pb1/4p3/P2B2NP/1PP2PP1/R1BRQ1K1 w - -,d3f1
1r3rk1/p1q2pp1/2nbpnp1/6N1/1ppP2P1/5N1P/PPQ2P2/R1B1R1K1 w - -,c2c4
1r2r1k1/6qp/1pbp1n2/p1pNb1p1/P1P1Pp2/1P3P2/2R1BBPP/3R1Q1K b - -,h7h5
1r6/6k1/p2Pb1pb/q1pNp2p/2P1P3/4N1P1/PP2Q3/R2K4 b - -,a5d8
8/p7/4b1B1/2p1p1kP/8/1P3P2/P3K3/8 b - -,e6d5
2rqnrk1/pb1p1pp1/1p2p2p/4B3/2P5/P3P1Q1/1P1RBPPP/5RK1 b - -,f7f6
rn1r2k1/pb3Npp/1p2pn2/8/1bp5/5NP1/PP2PPBP/R1B2RK1 b - -,d8e8
8/2r3k1/2pR1P2/p7/3p1K2/8/P1r5/1R6 b - -,g7f7
2R5/1N4k1/p2P1p2/1b4p1/1P4Pp/5P2/6PK/3r4 b - -,g7g6
3r4/nBk3pp/P2p4/2p1P3/2b5/2N5/3R1KPP/8 w - -,c3e4
r3k2r/1pq1bp2/2npb2p/p1p3p1/2PpPP2/PP1P2PP/3BN1B1/R2QR1K1 w kq -,e1f1
r4rk1/3b1p2/1ppp2qp/p1nPp1p1/2P1P1P1/PP2Q2P/3N1PB1/R3R1K1 b - -,f8b8
5rk1/2qn1p1p/4p1p1/p1r5/1p2P3/1P1bNPP1/P2RQ1KP/R7 w - -,e2d3
1r3bk1/3q3p/4pQpP/2p1P1B1/3p4/5R2/5PPK/8 b - -,c5c4
1r1n2k1/pP3b1p/3N2n1/5p2/2P2P2/BP3rP1/P4bKP/2RR4 w - -,g2f3
r1bqr1k1/pp1n1pp1/2p4p/3p1N2/3P2n1/2NBP3/PPQ2PP1/4RR1K b - -,d7f8
6k1/1pq4p/4p1p1/1pPpp3/1P2P3/2bB1KP1/R4P1P/1R6 b - -,g6g5
6k1/6Pp/3p4/3Rp1B1/1Pr5/2p2P2/8/rNK3R1 w - -,g5f6
7k/4R2P/1p6/2r5/5PK1/2b5/8/8 w - -,e7b7
r1b2rk1/pp1qppbp/3p1np1/8/2P4Q/2N3P1/PP2PPBP/R1B2RK1 w - -,h2h3
3rrnk1/4p2p/5bp1/2pP1p2/1q3P2/2N3PP/PPQ1RB2/4R1K1 b - -,d8d6
qk5r/7p/4Qp2/pp2pP2/8/8/PPP2PPP/3R2K1 w - -,d1d7
4b3/6p1/rp1p3k/2pPp1pP/2P1P3/2P2PK1/PR5P/5B2 b - -,e8d7
2r1r1k1/ppp1bppp/2n5/3q1b2/P2P1B2/2P2N2/4BPPP/R2QR1K1 b - -,e7d6
3r1rk1/pp2bpp1/2p1p2p/4N2P/3P4/4P3/PPP3P1/1K4RR w - -,c2c3
1k1r4/1p5r/pn3pp1/3Pp3/5b1p/PK3P1P/1PR3P1/3R2B1 w - -,g1b6
1r1r1nk1/Q4p1p/5bp1/5B2/N7/1P5P/q1P2PP1/3R1RK1 w - -,f5e4
2r1r1k1/p2qppbp/1pnp2p1/1P6/1NP1P3/1P2BP2/3Q2PP/3RR1K1 b - -,c6a5
3r1rk1/1bq1nppp/p7/1pb1p3/2p1P1P1/2P1NQP1/PPB2P2/R1B1R1K1 b - -,c7c8
R5k1/1p1rqpn1/2p1p1pp/2Q1P3/3P4/6P1/5P1P/R5K1 b - -,g8h7
6k1/5p1p/p1rp1pp1/P7/1p2P3/1P1R1P2/1P4PP/1K6 w - -,d3d4
6k1/3R4/7R/3nr1p1/6K1/7P/5P2/8 w - -,h6a6
8/1p2k3/1pb1p2R/2r3p1/6P1/1P5P/1P2BK2/8 w - -,e2c4
5R2/8/4k3/4p3/3r2p1/6P1/4K3/8 w - -,f8e8
r1b3k1/pp4pp/2p1pr2/b7/8/2PB2Q1/q1PB1PPP/4RRK1 w - -,e1a1
1r3rk1/pbqn1pbp/1pp2np1/P3p3/1P2P3/2P2N2/2QNBPPP/R1B2RK1 w - -,c1b2
8/1B3p2/1P1k1p1p/1K3P2/6P1/4P2P/5b2/8 w - -,e3e4
r3brk1/1ppnq1pp/2n5/p2Rpp2/2P5/PP2Q1P1/1B2PPBP/4NRK1 w - -,e1d3
4k3/8/2p1p3/1r6/1ppP3P/2P3K1/1R6/8 w - -,c3b4
1q2r1k1/5pp1/1prpb2p/4p3/pPP1P3/P1R1QPP1/7P/2R2BK1 w - -,g1g2
6k1/5p2/3npn2/1B2N3/3P2p1/4P1P1/1R3PK1/2r5 b - -,d6f5
4r1k1/1p4bp/2p1b1p1/5p2/1Bnq4/2N3P1/P1Q1PPBP/5RK1 w - -,c3d1
4r1k1/p2rppnp/qnN3p1/N1QPp3/8/1P5P/P4PP1/3RR1K1 b - -,f7f6
r1bqkb1r/pp5p/n4pp1/2nPp3/2BQ4/2N2N2/PP3PPP/R1B1K2R w KQkq e6,d5e6
3b4/3q1pkp/6p1/2pNp2P/2BnP3/6P1/5PK1/3Q4 b - -,f7f5
1r2k1nr/3bp1bp/p2p4/q1p1pPp1/P3P1P1/1BNQ3P/1PP5/2KRB2R b k -,d7c8
r4rk1/ppp3pp/2n2n2/6Bq/1bPp2bP/PN3NP1/1P2PPB1/R2Q1RK1 b - -,b4e7
r4r2/1p3pk1/p1b1pNpp/4P3/P4Q2/5N2/1Pq2PPP/R5K1 w - -,f6g4
5r1k/p7/4P2p/2R5/4p2P/5rK1/P7/2R5 w - -,g3g4
r1br1bk1/ppq2p1p/4p1p1/3nP3/P1Np1P2/1P1P2P1/6BP/R1B1QRK1 b - -,d5b6
4r1k1/2p3pp/1np1r3/p3Pp2/P1pP1P1n/2P4R/6BP/R1B2qK1 w - -,g2f1
8/5pp1/3kp3/6r1/K1R3p1/4P2P/8/8 w - -,h3g4
R7/2prr1k1/1p2qpp1/1b1p3p/1P1P4/2Q1P2P/3N1PP1/4R1K1 w - -,a8b8
2r3k1/R5R1/p3p3/P2pr3/7P/6PK/8/8 b - -,g8f8
1r2r1k1/3bbpp1/p1p2n1p/q2p4/N7/1P2B1P1/P1R1PPBP/3Q1RK1 b - -,e7a3
8/2p1kpRp/3p4/3PP3/5P2/2r5/4K2P/8 b - -,d6e5
6k1/7p/3p2p1/2b2p2/8/5P2/3K2PP/8 w - f6,h2h3
rn4r1/ppk1B2p/2p3b1/3p1P2/6P1/2N4P/PPP5/2KRR3 w - -,f5g6
1r3b2/2r2p2/p4kp1/nppBp2p/4P1PP/1PP2N2/P3KP2/R2R4 b - -,h5g4
8/1pkb4/8/1Pnpp1rp/8/5PK1/3N4/R4B2 w - -,g3h4
r1bq1rk1/pp1n2b1/5n1p/2pP2p1/8/2N2NB1/PP2B1PP/R2Q1RK1 b - -,f6h5
r4rk1/1bqnbpp1/p1npp2p/6P1/Np2PP2/3PB2N/1PP3BP/R2Q1RK1 b - -,h6g5
2kr4/1p6/p1p1bb1r/3nBpp1/2NPn3/1P2P3/1PN1B1KP/R1R5 w - -,e2f3
r3k3/pp3p2/2p1r3/2B2bp1/7p/8/PPP2PPP/4RRK1 w q -,e1e6
8/4r3/1P6/2K3p1/7p/6k1/3R2P1/8 w - -,c5c6
2k5/1p5p/p7/4p3/2p3p1/2P3P1/PP2N3/1q2KR2 w - -,e1f2
6k1/5pbp/3p2p1/3P4/3r1P2/5K2/1n4PP/2Q2B2 w - -,c1c8
2rqkb1r/1b1n1ppp/pn1pp3/1p6/3NP1P1/2NBBP2/PPP2Q1P/1K1R3R b k -,c8c3
r1b2rk1/p4p1p/6p1/b1pPq3/2B5/1RP2R2/P2Q2PP/2B3K1 b - -,a5c7
5qk1/8/p1r1p1pp/Pp1pQ3/1P1P1B1P/8/6PK/8 w - -,f4g3
2R3b1/pr4kp/4p1p1/1p2N1P1/1P1P4/P5P1/5P2/6K1 w - -,g1g2
8/2n5/PR6/4k3/2K2p2/4p3/5b2/3B4 w - -,b6c6
r4k1r/pp1b1ppp/2n1p3/2qpP3/3p1PQP/P6R/1PP1N1P1/2KR1B2 b - -,a8c8
2q1brnk/1r4b1/3P3p/1p2p1N1/pP3p1R/3P1B2/3B2QP/6RK w - -,f3b7
6k1/5pp1/1b1p4/pr1PpP1p/4P2P/1Pp2NP1/2P1K3/R7 w - -,a1a4
r1b1k2r/1p2n1b1/p2p3p/P1qPnp1P/4PB2/2P5/2QNB1P1/R2NK2R w KQkq -,f4e3
5rk1/4bp1p/p3p3/1b3p2/1p6/1PRN1BP1/P3PP1P/3R1K2 b - -,b4c3
4b3/6kp/1R2p3/3R2p1/p1pP2q1/P1P3P1/6P1/6K1 w - -,d5e5
rnbq1rk1/ppp2ppp/3b1p2/8/2BP4/2N1P3/PP3PPP/R2QK1NR b KQ -,c7c6:f6f5
r1br4/p4p1R/1p3kp1/3p4/3P4/8/PP6/1K1N3R w - -,d1e3
8/3kP2p/1K6/6p1/6P1/8/7P/8 b - -,d7e7
r2qk2r/pp2bp2/2p1p1n1/3pPpBp/3P3P/2PQ1NP1/PP3P2/R3K2R w KQkq -,b2b4
1r2r1k1/ppp1qpbp/3pb1p1/7n/2P1P3/1PN3PP/PBQ2PBK/3RR3 b - -,b8d8
r3n1k1/1rp2pb1/3p2p1/1P1Pp2p/2R1P2P/q1N1BP2/3Q2P1/1R4K1 b - h3,g7f6
8/p6p/Pp2p3/8/1P1kr3/5rP1/2R4P/2K4R b - -,f3a3
3b4/7R/P3k3/2pr4/2N5/8/8/6K1 b - -,d5d1
3b4/3k2p1/7p/3NK2P/5P2/6P1/8/8 w - -,e5f5
r1q2rk1/1ppb2bp/2n3p1/p2Npp2/2P1P1n1/5N2/PP1BBPPP/R1Q2RK1 w - -,h2h3
4r1k1/5p1p/1R4p1/2B5/1p1P4/1r2P1P1/4RK1b/8 b - -,b3b1
6k1/6pp/4b3/4K3/1R5P/pp1P2P1/4rP2/8 w - -,e5d6
3q4/pn4rk/3p3p/1p1Pp2Q/1P2Pp2/P4N2/6PP/2R4K w - -,h5f5
8/p5k1/1p4p1/6P1/P1Brpp1P/1P5K/5P2/8 b - -,e4e3
5N2/7R/p2p1k2/2pPb3/8/P1p5/1r6/6K1 w - -,f8d7
1rb1r1k1/3n2bp/p2p2p1/2pP1p2/1q2PP2/RPN2N1P/3B2PK/2Q1R3 b - -,b4b7
1r3r2/2p1qp1k/2Pp2pb/4pb2/1N2n2p/1P2P1P1/P2Q1PBP/B1R1R1K1 w - -,b4d5
3r4/3N3p/3Pk1p1/1B6/1b3p2/3R1K1P/8/8 b - -,g6g5
r1bqkb1r/pp3ppp/2npp3/3nP3/3P4/3B1N2/PP3PPP/RNBQK2R w KQkq -,a2a3:e1g1
r1b2rk1/pppp1ppp/5q2/2b5/8/2P2B2/PPP2PPP/R1BQR1K1 b - -,c7c6
2r3k1/1br4p/p5p1/8/1pPNpn1P/1P2N3/P3R1K1/3R4 w - -,g2f2
1k6/1p2R3/8/2p1N3/3p4/2pq1P2/P4K1P/4R3 b - -,d3d2
7R/8/1p2r2k/1P3p1p/5P1K/6P1/8/8 b - -,h6g6
r4rk1/p1pq2pp/3p4/2pP4/2P2b2/2BR4/PP2PPQP/5RK1 w - -,e2e3
8/ppk2R2/P1pp4/1n2q2p/3p2pP/1Q1P2P1/3K2B1/8 b - -,c7d8
2rr2k1/p1q1n1p1/2ppn2p/4pp2/QPP5/4PBPP/PB1R1P2/3R2K1 w - f6,h3h4
4rr2/1p1n2k1/p1pnp2p/P2p1pp1/2PP4/1PNBP3/5PPP/2R1R1K1 b - -,d7f6
5bk1/2r4p/5pp1/4p3/3pP3/1R1P2PP/r4PB1/1R2N1K1 w - -,h3h4
