8/2P5/8/1PK5/8/8/6kp/1R3r2 w - -,c7c8q
r7/3k4/5p2/1pPK3p/1P3PpP/6P1/4R3/8 b - -,a8a6
1r6/R3n3/4pk2/1P4pp/1nP5/6PP/1P1R1PK1/8 w - -,a7a4
r2qkbnr/pp1n1ppb/2p1p2p/8/2BP1N1P/2P3N1/PP3PP1/R1BQK2R b KQkq -,g8f6
4rrk1/pp3qpp/4b3/1B1pn3/8/1Q6/PP2NPPP/R4RK1 b - -,e8d8
r1bnqrk1/ppp3bp/3p1np1/3PppB1/2P1P3/2N2P2/PP1NB1PP/R2Q1RK1 b - -,f5f4
r2q1rk1/pppbb1pp/5n2/3p1p2/1n1P4/1N3NP1/PP2PPBP/R1BQ1RK1 b - -,f6e4
r2qk1nr/pp1nbppp/3p4/2pP4/8/2N2PP1/PP2BP1P/R1BQ1RK1 b kq -,g8f6
3r2k1/pq2r2p/2p1p1p1/1nPpP3/3N1PP1/PP2Q2P/8/2RR2K1 b - -,b5d4
4r3/8/8/2k5/1n4PP/2p2K2/5P2/3R4 b - -,b4a2
r3qrk1/p3b3/2p1b2p/3p1pp1/Q2Pp3/4P1P1/PP2NPBP/R4RK1 w - -,f2f3
1k1rb2r/pp4pp/3Np3/3BPP2/3p2P1/8/P1PK3P/R6R b - -,e6d5
r4rk1/1pq1bppp/p2p1nn1/2pP4/P7/6N1/1PP1BPPP/R1BQR1K1 w - -,g3f5
r1b1k1nr/ppp1ppbp/6p1/1P6/2P2N2/3n1NP1/P2P1PBP/1RB2RK1 b kq -,c8f5
rq3rk1/2pnbppp/1p1pp3/p7/2PPP3/4B1P1/PP1Q1PNP/2R2RK1 b - -,b8b7
7k/5p1P/1rp1p1p1/p3P3/3r1P2/q3n3/2pR2BP/2R1Q1K1 w - -,g2e4
rn1qr1k1/pb3ppp/1ppbpn2/8/3P4/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,e2e4
1r2k2r/3b3p/3pp1p1/8/P1PRP3/1p4K1/1N6/4R3 b k a3,e8e7
2rr2k1/p3bp1p/4ppN1/1qpp4/N2P2P1/P3P2P/1P3P2/2RQ1RK1 b - -,f7g6
8/1Q3pk1/p3q1r1/2p5/3nBB2/1b4P1/7P/5R1K w - -,b7b8
6k1/pbp3pp/4p3/2p1nr1q/1P6/P4PP1/3Q2KP/3RNR2 w - -,d2d8
8/2pk1pbp/R2p2p1/3r4/3p1B2/1P1K4/2P2PPP/8 b - -,d5f5
3r2k1/p3q3/1n3p1p/1Pb1r1pQ/2p4P/2P3P1/1P4BK/R1B2R2 b - -,g8g7
1r4k1/3brppp/3N4/Rpp1P3/1n3P2/6P1/1P4BP/5RK1 w - -,f1a1
8/3n1k2/3qp3/1p3p2/1P3Pp1/2Q1B3/6PP/6K1 w - -,c3d4
r1b2rk1/pp3p1p/2n3p1/q1P5/3p4/2N3Q1/PPP1PPPP/2KR1B1R w - -,c3e4
1q6/3k1pp1/7p/1P1Qn3/8/7P/4BPP1/6K1 b - -,b8d6
6r1/1p1r4/pR6/P7/2Pk1P2/3p1P2/3R3P/4K3 w - -,b6b3
2r1knQR/pp3r2/3pp1p1/q7/5PP1/2PRB3/2PK4/8 b - -,e8e7
1q1r2k1/n2r1pp1/3p3p/pPn1p3/4P3/2N2P2/PPBR1QPP/3R2K1 b - -,a7b5
r1bqrnk1/p3bpp1/1pn1p2p/2ppP2P/2P2B2/3P1NP1/PP2QPB1/RN2R1K1 b - -,c8b7
2r2rk1/pp2bpp1/2bppn1p/q5B1/3NPP2/2NQ4/PPP3PP/1K1R3R w - -,h2h4
5b2/p4k2/1pq3pp/4p3/8/P3B1P1/1P1R1P1P/3R2K1 w - -,d2d7
1r3rk1/3b1pp1/p3p2p/q2Nn3/3N2P1/1P3P2/P1Pb3P/QK1R1B1R w - -,d4f5
1r2rbk1/ppR5/4bp1p/3p2p1/3P2P1/1B4BP/PP3PK1/2R5 b - -,a7a6
4r3/2Q1nkpp/P3p3/2BbP3/8/4K1P1/7P/8 w - -,h2h4
2kr4/p4p2/1qp1bP1r/7p/3PQ3/8/PP4BP/R4R1K w - -,a1c1
8/8/8/2b1kp1p/R4p2/p4K1P/8/8 b - -,e5f6
8/R3b3/4k3/2p3pp/8/1P3K1P/P2r1PP1/B7 b - -,d2d1
8/4Bp2/2pK2p1/1p1bPk1p/2r2P2/P5P1/5R1P/8 w - -,f2e2
r2q1r2/2p1ppkp/2p3p1/p2b4/3P4/2Q1PN2/PP3PPP/R4RK1 b - -,d5f3
r7/q2n1pbk/3Nb1p1/pR2p2p/P6P/2Q1P1B1/4BPP1/6K1 w - -,d6e4
1R6/2rb2kp/1p3pp1/3p4/n2N3P/3BP3/4KPP1/8 w - -,e2d2
r4r2/pp3pk1/n2p1qpp/2pPp3/4P2P/5PnB/PPPQ1P2/1K4RR w - -,f2g3
r2qkbnr/pb1ppp1p/1pn3p1/4P3/2PN1B2/2N5/PP2BPPP/R2QK2R b KQkq -,f8g7
8/6pk/5p2/3q1PpP/Q5K1/8/p7/8 w - -,h5h6
8/bP1n3p/6pk/P7/2K4P/8/8/8 b - -,g6g5
r2r4/p3k1pn/Qp3p1p/2p2P2/3p2PP/3PqB2/PP2NR2/2R3K1 w - -,f3a8
2r2rk1/p2qppb1/6p1/3p4/3P1B2/2P2QP1/P6P/R4RK1 b - -,c8c6
8/8/8/6P1/p3bkN1/P1K2p1P/8/8 w - -,c3d4
5rk1/1pr1nppp/p4q2/4pP2/3pB3/P2Q4/1PP2PPP/R4RK1 w - -,a1c1
r4rk1/pp1qppbp/2n1bnp1/2p5/3p1P2/N1PP1NPP/PP2P1B1/R1B1QRK1 w - -,g1h2
r4rk1/pp2npp1/1np4p/3p1Q1P/3P3R/2N1PN2/PP3PP1/2KR4 b - -,e7f5
8/8/r7/P2P1kPK/8/R3P3/8/8 b - -,a6a8
2rqr1k1/1p1nbppp/p2pb3/4n3/P3PB2/2N5/1PPNB1PP/R3QR1K w - -,d2f3
r2q1rk1/pp1bppb1/3p1np1/4n2p/2BNP2P/2N1BP2/PPPQ2P1/2KR3R w - -,c4b3
rnbqk2r/ppp1b1pn/3pp3/7Q/3P4/3BB3/PPP2PPP/RN2K2R b KQkq -,e8d7
r1b2rk1/1pp1npp1/5q1p/p2Pp3/1bp5/4PNP1/PP1N1PBP/R2Q1RK1 w - -,a2a3
r2qk2r/pp2bppp/2n1b3/2pp4/8/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d4
5k2/2R3pp/2p2p2/6P1/4PP1P/6K1/2b5/8 w - -,g3f3
rnbq1rk1/pp3ppp/3pp3/2n5/2PN4/2P2QP1/P3PPBP/R1B2RK1 b - -,c8d7
r1b1k2r/pppp1ppp/2n3q1/2b1P3/3P4/5N2/PP3PPP/RNBQ1RK1 b kq -,c5e7
rnbq1rk1/ppp1bppp/3p1n2/4p3/2PPP3/P2B1N2/1P1N1PPP/R1BQK2R w KQ -,d4d5
r2qr1k1/1bp2pb1/1p1p1n2/p1PPp3/NP2Pnpp/P6P/2QN1PPB/RR3BK1 w - -,c5b6
2kr2nr/ppp3pp/5p2/4R2B/8/7P/PBPb1PP1/1R4K1 w - -,e5e2
2r3k1/2p1b1pp/4rp2/3q4/3p1B2/3P2P1/2Q1PP1P/1R2R1K1 b - -,g7g5
1rb1r1k1/1pqn1pbp/p2p2p1/2pP2Bn/P7/2N2NP1/1P1QPPBP/1RR3K1 b - -,c7a5
8/ppn1R3/3N4/2pB2k1/2pb4/8/PP6/7K b - -,c7d5
2B4k/p5p1/5n1p/7b/3N3P/P3p1P1/1P6/6K1 w - -,c8a6
1qk5/1p4pp/1Pp1r1b1/2Ppp3/P4r2/2P4P/1Q3PP1/R2R1BK1 b - -,e6f6
r6k/5Qbp/6p1/3N1p2/3p4/2q3P1/5P1P/1R4K1 b - -,c3c8
2r2k2/p1r2q1p/1p3Bp1/4PP2/8/2PR3Q/6P1/6K1 w - -,f5g6
r1b1k2r/pppq2pp/2nbp3/1B1p3Q/3PpB2/4P3/PPPN1PPP/R3K2R b KQkq -,d7f7
3k4/2p5/1p2Bp2/p4Pb1/P1K3P1/7P/1P6/8 w - -,c4d5
2nr1bk1/ppq4p/2p2pp1/2Nb4/P2P4/1P4PP/5P2/R1BQ1BK1 w - -,d1c2
r1b2rk1/2qnbppp/p3pn2/Np6/3PP3/6P1/1P3PBP/RNBQ1RK1 w - -,c1f4
6k1/8/7p/5B2/5P2/2n4P/6PK/8 b - -,g8g7
r3k1nr/pp3ppp/1qn1p3/2bpPb2/8/4BN2/PPPNBPPP/R2QK2R w KQkq -,e3c5
6k1/1p3pp1/1p3rb1/1Bb4p/P7/6P1/5PKP/3Q4 w - -,f2f3
r3kb1r/ppqn1ppp/2p5/4pbB1/P1NPn3/2NBP3/1P3PPP/R2QK2R b KQkq -,f8b4
8/p2n4/4n3/2pp1kp1/7p/1P1NKP2/P6P/2R5 w - -,h2h3
4R1k1/7p/3N1rp1/1p6/2p5/3n3P/P4PPK/8 b - -,g8g7
r1bqkb1r/pp1nnppp/4p3/2ppP3/3P1P2/2P1BN2/PP4PP/RN1QKB1R w KQkq -,f1d3
8/1k6/4Kp2/4pP2/6p1/5P2/8/8 w - -,f3g4
3r1q1k/p7/2Q2p2/1B1p2p1/3R3p/1PP2P2/P7/3nr1K1 w - -,g1g2
1r4k1/1p2qppp/1P3nn1/pNp1p3/P1P5/6P1/3QPPBP/3R2K1 b - -,e5e4
r1bq1rk1/1p2npbp/4p1p1/p7/P3PP2/1B6/1Pp2NPP/R1B1QRK1 w - -,b3c2
br1q1rk1/2p1bppp/p1n1pn2/1p6/2pPPB2/2N2NPP/PP2QPB1/R2R2K1 b - -,d8c8
r2q1rk1/pbpnbppp/1p1pp3/8/2PPn3/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,d4d5
8/5pk1/1pq2bp1/p6p/2P1NP2/3Q2P1/4K3/8 w - -,f4f5
r1bqk2r/ppp1bppp/2n5/4P3/3p4/2PP1N2/P1P1B1PP/R1BQK2R w KQkq -,e1g1
r4rk1/p1q1pp1p/1p3np1/2pP4/P1P1P3/5N2/2Q2PPP/R3R1K1 b - -,f8e8
rnb1k2r/p4pp1/1qp1p2p/4N3/1bBPn2B/2N1P3/1P3PPP/R1Q2RK1 b kq -,e4c3
5rk1/2q2ppp/pprppn2/8/P1PQP3/1PN2PP1/6KP/R2R4 b - e3,f6d7
r1bqkb1r/ppp1pppp/2np4/3nP3/3P1P2/8/PPP3PP/RNBQKBNR w KQkq -,g1f3
8/p7/2RNr1kp/6p1/3b4/P7/3K4/8 w - -,d2d3
r4rk1/1b3ppp/pqnbpn2/1pppN3/2PP1P2/PP1BP3/1B1N2PP/R2Q1RK1 w - -,e5c6
8/6kp/3p2p1/3P4/1p6/1P2p2P/P3N1P1/2b3K1 b - -,c1d2
8/4R2p/6pk/4PpN1/1pP2P2/5P1K/7P/6q1 b - -,g1f1
r1bqk2r/p2nbppp/1pn1p3/2ppP3/3P1P2/4BN2/PPPQN1PP/R3KB1R b KQkq -,c8a6
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 b kq -,g8e7
rn3rk1/p5pp/1pp1b3/2bpPp1q/8/1P2P1PP/PBQ1NPB1/2R2RK1 b - -,h5f7
3r1rk1/5pp1/3b4/1p1B3b/3pP3/1P6/4NPP1/2RR2K1 w - -,f2f3
8/5k1p/5p1b/5P2/p3K3/2P1B3/1P5P/8 b - -,h6f8
3r1r2/1pk1n1pp/p1bp1p2/2p4P/4P1P1/2N1N3/PPP2P2/2KR3R b - g3,b7b5
3r1k2/5pp1/5q1p/p1p2r2/PpPpPR1P/1P1Q2P1/3KR3/8 w - -,e4f5
r1bqk2r/pp3pp1/2p2n2/2b5/7p/1PPp2P1/4PPBP/RNBQ1RK1 w kq -,d1d3
r2r1bk1/1p3ppp/p1q1p2B/3nP3/P4R2/2N3Q1/1PP3PP/R6K w - -,f4g4
6k1/1p1b1q1p/1np3p1/p1npr2P/P2N4/1PP1QPN1/6P1/1B4K1 w - -,e3e5
5k2/2p2p2/2Pp4/3rpb2/pp2q3/5RQp/1P6/R6K b - -,f5g4
rn1qkbnr/p2b1ppp/2p1p3/8/P1BPP3/2N5/5PPP/R1BQK1NR b KQkq -,c6c5
r3r3/Np1bppkp/n2p4/3n2p1/1P1N4/P2P2P1/5PBP/2R2RK1 b - -,d5b4
8/5k2/2N5/5K2/n7/P7/8/8 w - -,f5e5
r1b1k2r/2q1bppp/2n1p3/pp2P3/1PpP1P2/P1N2N2/5BPP/R2Q1RK1 b kq -,a5b4
1r1q1rk1/1p2nbbp/5pp1/2N1p3/1B6/3P2P1/4PPBP/1R1Q1RK1 b - -,b7b5
2r5/5n2/pp1p1kp1/1prP1b2/3Rp2p/2P1N2P/PP2BPP1/R5K1 b - -,a6a5
1rbq1r2/4n1bk/p1p3pp/4pp2/3PB3/4B1P1/PP1QNP1P/2RR2K1 w - f6,e4g2
r1bqr1k1/1p1n1pb1/p2p1np1/2pP3p/P3P3/2N1BPN1/1P2B1PP/R2Q1RK1 b - -,d7f8:a8b8
8/pn1R1rkp/8/1K6/2NP4/P7/1P6/8 w - -,b5c6
1B6/8/1pp3bp/6p1/1bP3P1/1P1k1KNP/P7/8 b - -,b6b5
rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2NP2P1/PPP2P1P/R1BQKBNR b KQkq -,b8c6
r5k1/pp3ppp/8/2n1pb2/8/P2RP1P1/1PK2P1P/6NR w - -,b2b4
2r4r/pp2qk2/5bp1/5b1p/3PQ3/1P4P1/P2B1R2/3RK3 w - -,e4e7
8/5N2/8/1K1Q4/2P3pk/8/8/5q2 w - -,d5g5
r1r1b1k1/p7/3pNp1p/q7/1p2P3/2NQ4/PPP3PP/1K1R4 b - -,a5e5
2krr3/pppn2bp/3pp1p1/3P4/1PP1B2n/2N1P2P/P2BKP2/2R4R w - -,h1d1
r4b1r/pp1k2pp/1qn1p3/3p4/2pPpB2/2P1P3/PPQ1BPPP/R3K2R b KQ -,f8e7
r1b1kbnr/pp1p1ppp/2n1p3/3qP3/1PN2B2/2p2P2/P5PP/R2QKBNR w KQkq -,d1c2
2rqrbk1/pp3ppp/5n2/2np4/3QP3/1P3NN1/PB3PPP/R3R1K1 w - -,e4d5
8/8/1pKp4/3Pk3/PP1b4/8/8/8 w - -,a4a5
r5k1/1ppbnpp1/3p3p/3Pp3/1PNb4/3P2P1/q3PPBP/2RQB1K1 w - -,e2e3
4K3/3P4/4k3/8/5R2/3rp3/8/8 w - -,f4f3
R7/8/1r2k1p1/2p1p2p/6PP/1Pb2P2/2K5/8 w - -,c2c3
r1b1k2r/1p1nppbp/pq1p1np1/1BP5/5B2/2N1PN2/PPP2PPP/1R1Q1RK1 b kq -,b6c5
r3k2r/1bqnb1pp/p3Qn2/1B2p1B1/5P2/2N5/PPP3PP/2KR3R b kq -,a6b5
r1bqkb1r/5ppp/p1np1n2/1p1Np3/4P3/N7/PPP2PPP/R1BQKB1R w KQkq -,c1g5
2rq2k1/1p3pbp/p3p1p1/4n3/P7/1PB1P2P/1Q2BPP1/2R3K1 w - -,c1d1
rnq2nk1/2p2rb1/3p4/p2Pp1pp/4Pp2/1Q1N1P1P/4BBP1/R4RK1 w - -,f1c1
6k1/1p2q3/p2p2p1/3Pnr1p/1P3p2/P3rPN1/3Q3P/5RRK b - -,f5g5
5k2/8/8/Q7/5K2/1q2PN1p/8/8 b - -,b3c4
5r2/3r4/2bpk3/p1p1pppp/2P1P3/3NKPP1/PP1R3P/3R4 w - h6,d3f2
rnb2rk1/ppp1qpp1/1n2p2p/8/2pPP3/P1P3P1/3B1PBP/R2QK1NR w KQ -,g1e2
8/p4pk1/1p2p3/8/P2PPK2/8/2r2P2/7R b - -,g7f6
n1r2r2/3b1kp1/p3p2p/1pRpPp1P/3P4/4B1P1/PP2BP2/2R3K1 w - -,e3d2
8/8/Q6K/3n4/1p1k4/1P6/P7/8 w - -,a2a4
8/5pk1/4b3/1B4p1/3NPn2/2r2P2/3R1KP1/8 b - -,g7f6
8/5p2/2kbpPNp/2p1P2P/2K5/8/8/8 w - -,e5d6
r3r3/pp2pkb1/2p3p1/8/8/3P2P1/PP1BPP2/2R2K1R b - -,g7b2
r1b2n1r/1p2qk1p/2p1pbp1/p4p2/N1pP4/1Q2PNPR/PP2BPP1/2K4R w - -,b3c2
r4rk1/1bq1bpp1/p1n1pn1p/1p6/3P4/P1NBBN2/1P2QPPP/R2R2K1 w - -,a1c1
r1bq1rk1/p2nb2p/1pp1p3/2Pp1pp1/1P1P4/3BPNP1/P3NPP1/R2Q1RK1 b - -,b6c5
2R5/2p2pk1/1p1p4/1P5p/2P1P3/4Q3/4KP2/q5r1 w - -,e2f3
2k2b2/1pr2p1p/p5p1/3pP3/P2P3P/4B3/2r2PPK/RR6 b - -,c7c4
r2qr1k1/pb1n1ppp/1ppb1n2/3p4/3P4/1P1BPNN1/PB3PPP/R2Q1RK1 b - -,g7g6
r3kb1r/pp1npppp/q1p2n2/4N3/3P4/2N2Q2/PPP2PPP/R1B1K2R w KQkq -,c1g5
r2r2k1/4nppp/b3p3/R1Pp4/3P4/2NB1P2/3K2PP/1R6 b - -,a6d3
rnbqk2r/pppp1pbp/4pnp1/8/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1c3
r2q1rk1/pp1n1ppp/2p1pn2/2bp3b/2P5/1P1P1NPP/PB1NPPB1/R2Q1RK1 b - -,d8e7
3r4/5ppk/q3p2p/8/8/P3Q1P1/5P1P/1R1rR1K1 b - -,d1d3
8/3K4/2P2kp1/8/8/4R1P1/3r4/8 w - -,d7c8
r4rk1/pp1b1qpp/n1p1p3/3pPpb1/2PP1N2/BP2PRP1/P5BP/2RQ2K1 b - -,f8c8
rbb1k2r/pp3p1p/1n2p1p1/1N4B1/8/1B6/PP3PPP/2R1R1K1 b kq -,e8g8
8/8/8/8/6p1/1R4kp/4r3/6K1 b - -,g3f4
8/4k1p1/3p1p2/3PpP1p/p3P3/7P/1K2n1P1/4B3 w - -,b2a3
8/5k1p/R5p1/6P1/4p3/8/p4KP1/r7 w - -,a6f6
6Q1/1r1r4/5pp1/3p1k1p/p1pPpPbP/P3P3/1PR3P1/4K3 w - -,g8a8
5Q2/1k4K1/3p4/4n3/5p2/8/8/8 b - -,f4f3
3r4/1kp2p2/1pq1p3/p1p1Pr1p/P3RPp1/1P1P2Q1/2PR2PP/6K1 b - -,d8d4
r2qnr1k/p2n2bp/1p1p2p1/2pPpp2/1PP1P3/PQN1BB1P/5PP1/2R2RK1 w - -,c1b1
8/p5pk/7p/3q1p1P/1Q6/P1P1b3/8/1K2R3 w - -,b4b2
2r1k2r/1p3ppp/p3p3/1b6/3PQ3/q1P2N2/P4PPP/R2R2K1 b k -,a3c3
r5k1/1p2qr1b/p2p3b/3Pp2p/4N1pP/2NQ2P1/PP2R1P1/R5K1 w - -,d3c4
6k1/P6p/2r1n1p1/5p2/8/5P1P/1r4P1/R4RK1 b - -,e6c7
2r3k1/5qpp/r1P5/p2Q4/2P2p2/PP1Bp3/2K2bPP/2B4R b - -,a6c6
4rrk1/ppq3bp/n2B4/3P1b1n/4Np2/1Q6/PP1NBPPP/R3K2R b KQ -,c7d8
r2qk2r/1b1n1pbp/p2ppnp1/1p6/3NPP2/P1NBBQ2/1PP3PP/4RRK1 b kq -,e8g8
8/2p3R1/2Rb4/pr2kpp1/8/1P2P3/2K2P2/8 b - -,g5g4
6k1/2R5/1p1p4/p1n2N1P/P1P1r3/1P3K2/8/8 b - -,e4e6
1b3r1k/1p2rqpp/p7/4BP2/5PB1/1P1p2Q1/P2R3P/6K1 b - -,f7d5
2b1rbk1/1q2pp2/1prp2pp/p1nN2B1/2P1P3/1P3P1P/P4QP1/3RRBK1 w - -,g5e3
r1b2rk1/2q1bppp/pB1p1n2/4p3/4P3/2N5/1PPNBPPP/R2QK2R b KQ -,c7b6
5b2/8/2kn4/R3RP2/P1p5/8/8/1K3r2 w - -,b1c2
3r1r2/6k1/bp4pp/8/PpPbpp1Q/1P5P/1qR2PP1/1B1RN1K1 b - -,g6g5
r1r3k1/pp3ppb/1Q1Bpn1p/2n4P/2B5/2P3N1/PP3PP1/2KRR3 b - -,a7b6
8/5p2/1k4p1/p1p1R2p/P2r2PP/3PKP2/8/8 w - -,g4h5
4r1k1/3n1pbp/3p1np1/3P4/Q1p1PP2/2NqB1PP/1P5K/4RB2 b - -,d7c5
r3r1k1/ppqb1ppp/8/2pp4/3P2n1/P1PBP1P1/3B1P1P/R2QR1K1 b - -,c5c4
2k5/pppr2p1/3b4/4n3/3p3Q/5PR1/PPq2PK1/R7 b - -,e5g6
8/3r2kp/p5p1/1p6/3p4/P5P1/1PP1rRKP/3R4 b - -,e2f2
8/1pp2k2/1p3ppp/r7/2P2PP1/4K3/PP2R2P/8 w - -,b2b3
r2qk2r/4bppp/p1nppn2/1pp4b/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 w kq -,d2f1
r1bq1rk1/ppp2pp1/2nb1n1p/8/2BP4/2N2N1P/PPQ2PP1/R1B2RK1 b - -,c6b4
8/8/8/1k1p4/Np1P1N2/1P1K4/5n2/8 w - -,d3e2
1rr3k1/5ppp/pp4q1/4b3/P1P3n1/1Q2BN2/1P3PPP/R4RK1 b - -,g6e4
2q2brk/pp6/2p1pr1p/2PpN2R/3P1P2/3Q2P1/PP4K1/3R4 w - -,d1h1
8/4k3/6p1/n3P2p/1p3P1P/1N4P1/2K5/8 b - -,a5c4
r1b2rk1/pp4pp/2pb1n1q/3p1p2/3P4/1PBB1P2/P1Q4P/RN3R1K w - -,c2g2
8/3k1pp1/p4n2/1p1PP2p/8/PBr2P2/1R3KPP/8 b - -,f6e8
5r1k/1b1n2pp/p3p3/1p2q3/N7/1N3Pn1/PB4PP/4QB1K w - -,e1g3
rnbqk2r/pp3ppp/3ppn2/8/1pPP4/5N2/PP1NPPPP/R2QKB1R w KQkq -,g2g3
1r1qr1k1/pbnn1ppp/1p1p4/2pP4/2P1PP2/P1NQ2P1/1B4BP/1R3RK1 b - -,a7a6
r1bqk2r/pp2bppp/2n2n2/2p1p3/4P3/5NP1/PPPN1PBP/R1BQ1RK1 b kq -,e8g8
3r1k2/p1r2pp1/7p/RR5P/4PKP1/5P2/8/8 w - -,f4f5
4r1k1/1B1R1pp1/4p2p/2B1b3/p4N2/6PP/2b2P1K/8 w - -,f4d3
2rqnr2/p3ppkp/1pp1b1p1/3p4/2PP4/2P2NPP/P3PPB1/1RQR2K1 b - -,e6f5
1rbqr1k1/2nnppbp/p2p2p1/PppP4/4PB2/2N2N1P/1PPQBPP1/R3R1K1 w - b6,a5b6
r1bq1rk1/p3bpp1/2p2n1p/1p1p4/5P1B/2PBPN1P/PPQ3P1/2KR3R b - -,a7a5
2q1r1k1/p3nppp/1p1Bb3/8/2r1P3/6P1/P4PBP/1Q1RR1K1 w - -,g2f1
8/8/5k1p/3BNpp1/5P2/5KPP/P7/4bb2 w - -,d5c4
8/6B1/1n1p4/2pP1pk1/2P1p3/2K1P3/b7/5B2 b - -,f5f4
r1b2rk1/1p3ppp/p3pn2/8/3N1q2/1B5P/PPP2PP1/R2QR1K1 w - -,c2c3
2RQ4/6pk/p4rbp/5p2/1PN1pq2/P6P/5PPK/8 w - -,h2g1
r1b2rk1/p3np1p/1qnp1bp1/1pp2P2/4P3/2PP1N1N/PP4BP/R1BQ1RK1 b - -,b5b4
Nk6/pP3p1p/4p3/8/2Pq2b1/P5P1/8/R5KR w - -,g1g2
5r1k/1b2nrbp/3p2p1/1p2p1P1/1N1pPP1q/1Q6/1PP1N1B1/4RRK1 w - -,b4d3
r4rk1/ppp1ppbp/1n1q2p1/2QPn3/4P1b1/2N1BN2/PP2BPPP/1K1R3R b - -,e5c4
r3k2r/2q2pb1/p2p1n1p/1p2pPp1/4P3/5Q2/PPPR1BPP/2K2B1R b kq -,c7a5
5k2/5p2/p1r2np1/1p1p2p1/8/1PP1NPPP/P1R5/5K2 w - -,f1f2
5b2/6p1/7p/2p4P/4p1k1/2B1K1P1/1P3P2/8 w - -,e3e4
4r1k1/pp6/4r1pp/2PR1p2/1P2p3/5P2/PR4PP/6K1 w - -,f3e4
r1bqk2r/1p1pbppp/p1n1pn2/2p3B1/3P4/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,h7h6
r2r1k2/1bp2ppp/p7/1PP5/5n2/1BP4P/1P3PP1/RN2R1K1 b - -,a6b5
rnbqkb1r/ppp1pppp/8/3n4/2B5/8/PPPP1PPP/RNBQK1NR w KQkq -,d2d4:g1e2
r1b1k1nr/ppqnppb1/2pp2p1/6Pp/3PP2P/2N1BP2/PPPQ4/2KR1BNR b kq -,e7e6
6k1/p4pp1/1p5p/1P1p4/3P2P1/1RP2P2/4r2P/5qQK b - -,f1f3
3R2R1/p4rkp/Ppn3p1/2p2p2/2PP3P/2K3P1/8/8 b - -,g7h6
8/5pk1/5b1p/2BPp1p1/2K3P1/5P2/1r4P1/2R5 w - -,g2g3
2b2rk1/2q1p1bp/p2p2pn/2pP1p2/1rN1PP2/2NPB2P/1PQ3P1/R4RK1 w - f6,e4e5
