8/7K/1p4p1/8/P1p4P/2k5/8/8 w - -,h7g6
2rq1rk1/pb2bppp/1pn2n2/2pp4/3P4/1P3NP1/PB1NPPBP/2RQ1RK1 w - -,d4c5
1R1nk2r/p2r1p2/6p1/2B1Pn1p/5b2/P4N2/6PP/1R4K1 w k -,g2g3
1k1rr3/2p4p/1n3p2/pPRBp1p1/P3P3/2P3P1/5PKP/R7 b - -,d8d6
r1b1k2r/ppp2p1p/4pp1b/8/3Pq3/2P1PNP1/PP2Q1BP/R3K2R w KQkq -,f3g5
8/8/5q1K/Q7/7P/4k3/P7/8 w - -,h6h7
r2r2k1/2pnppbp/1q4p1/p4b2/Pp1P4/1P1NPPP1/1B4BP/2RQR1K1 w - -,f3f4
r1bqkb1r/ppp2ppp/4p3/3n4/3P4/3BB3/PPP2PPP/R2QK1NR w KQkq -,g1f3
rn2kb1r/pp3ppp/1qp1pn2/3p4/3P1Bb1/4PN2/PPPN1PPP/1R1QKB1R w Kkq -,f1e2
r2r2k1/p3pp1p/n5p1/q1pPP3/1pP3b1/2bBBN2/P1Q2PPP/2R2RK1 w - -,e5e6
2r1k2r/p1qnbppp/bp2p3/n2pP3/3P4/5N2/PP1BNPPP/RB1QR1K1 w k -,d2c3
8/1p2k1p1/p7/2P5/1P3Q2/7P/4p1PK/3q4 w - -,f4c7
q7/5k2/3n1p2/1pbppp2/5P2/1PPBP2P/4Q2P/4B1K1 w - -,f4e5
8/8/2q1pk1Q/p1P1p3/4rp2/PP6/6P1/2R4K b - -,f6f5
8/3nk3/1p2bp2/pNp1n1p1/2P1P1P1/PP2KP2/3NB3/8 w - -,b5c3
r2qr1k1/pp3p2/2npbbpp/2p1p3/4P3/2PPNN2/PPB2PPP/R2QR1K1 w - -,c2b3
b3rrk1/p1q3pp/2pnpp2/P1Np4/3P1P2/4P2B/1PQ2P1P/R5RK b - -,c7f7
8/4kp2/R5p1/4P2p/5P1P/1r4P1/6K1/8 w - -,a6a2
r1r5/2P5/pR1B1bp1/P3pk2/1P2R1p1/5P1P/8/6K1 w - -,h3g4
rn2kb1r/ppq2ppp/2p2n2/5P1b/3P4/2NBB2P/PPPQN3/R3K2R b KQkq -,b8d7
r1b1r1k1/1p3pbp/q1pBn1p1/p3P3/4N3/Q5PP/PP3PB1/3RR1K1 b - -,e6f8
rn1qk2r/pb1p1ppp/1p2pn2/2p5/1bPP1B2/4P3/PP1N1PPP/RN1QKB1R w KQkq c6,a2a3
3rr1k1/1bq3bp/pp1ppnp1/6B1/1PPQ4/P1N1N3/5PPP/2R2RK1 b - -,e8f8
r2q1rk1/1p1n1pbp/p1bp2p1/2p1P3/8/1P1PPN2/PBP1Q1PP/RN3RK1 w - -,b1d2
3q1rk1/2r2pbp/pp1p2p1/3b4/P2pN3/1P1B4/2PQRPPP/3R2K1 w - -,d2f4
b3r1k1/5p2/pn3bp1/NqN4p/1P6/P1pR2BP/Q4PP1/6K1 b - -,h5h4
2r3k1/p2q1pp1/1p5p/1R6/P2R4/4P2P/3Q1PPK/2r5 b - -,d7c7
7Q/1k6/1p1q3p/p2bp2P/P4p2/1P3P2/3NK1P1/8 b - -,d6e6
r2q1rk1/pp1Nppbp/6p1/n1p5/b2P4/N1PR2P1/PQ2PPBP/R1B3K1 b - -,d8d7
r2q1rk1/1pp2ppp/pb6/3P4/1PBn1pR1/P1N5/2PQ1PPP/R5K1 w - -,g4f4
3n4/4k2p/8/3pBp2/2pP3P/1pP2P2/1P3K2/8 w - -,f2g3
r1b2rk1/2qn1p2/ppp1p2p/6p1/2PP1b2/5NB1/PPB1QPPP/R4RK1 w - -,h2h4
rn1qk2r/ppp1nppp/8/3p1b2/3P4/P1PB1N2/2P2PPP/R1BQK2R b KQkq -,b8c6
rq3rk1/1b1nbppp/p3p3/2pn4/3P4/P1N1PN2/1BQ1BPPP/1R1R2K1 b - -,f8c8
rn3rk1/pp2qpp1/2p4p/3p1b2/3Pn3/P1NBP3/1PQN1PPP/R3K2R b KQ -,f8e8
4Qbk1/p7/1p6/4PP1p/7P/P2q2P1/7K/8 w - -,e8g6
8/2Q2pk1/6p1/4P2p/3P1P1b/8/4K2P/r7 w - -,d4d5
3r2k1/p4p1p/2R3p1/8/3bQ3/4p1P1/bq2P1BP/3R2K1 w - -,e4e7
2r1k3/6p1/3BP2p/8/8/nN1R4/6rP/3K4 b - -,a3c4
r4rk1/pbn1qpp1/1p2pn1p/3p4/1PP5/P1NBPN2/4QPPP/2RR2K1 b - -,f8d8
1R6/8/8/5Kp1/8/8/1p1b4/1k6 b - -,b1c2
r2qk2r/pp1n1p2/2b1p2p/3pP1pP/2pP1PQ1/2P5/P1PKB1PN/R6R b kq f3,f7f5
3r2k1/p1p1bppp/b7/3n4/P4BN1/1N4P1/1P2PP1P/R4K2 w - -,f4e5
2kr2r1/pp1bnp1Q/2n1p3/q2pP1B1/7P/P1p2N2/2P2PP1/R3KB1R w KQ -,g5f6
1r1q1rk1/pbp1bppp/1pn1pn2/3p4/2PP4/2N1P1P1/PP1N1PBP/R1BQ1RK1 w - -,b2b3
r3kb1r/pp1b2pp/1q2p3/3pn3/8/N1P5/PPQ1BPPP/R1B1K2R w KQkq -,e1g1
rn1q1rk1/pbp3pp/1p1pp3/5p2/2PPn3/PP1BPN2/2Q2PPP/R1B1K2R w KQ -,c1b2
5bk1/B4ppp/ppB1n3/8/P7/6P1/5P1P/5K2 b - -,f8c5
8/5p2/5kp1/7p/2BKPPbP/6P1/8/8 w - -,d4d5
r1n3k1/2RNn1p1/p2rppbp/1p1p4/3P2P1/1NR1P3/PP2BPP1/6K1 b - -,g6e8
r4rk1/pp2ppbp/2n2np1/5b2/2NP4/1P3NP1/4PPBP/R1B1R1K1 b - -,f8d8
2r2rk1/5pp1/p1q4p/1p2Q3/8/2n1P1P1/PP3P1P/R2R2K1 w - -,b2c3
r5k1/1p2qp2/4b2p/6p1/r7/P5P1/1Q2BPP1/R4RK1 w - -,e2f3
r1b3k1/pp1nq1p1/3p2pp/3Pp3/P3N3/2PQP3/1P1N2PP/R4rK1 w - -,a1f1
2rq2k1/4rpnb/2p1p3/ppN3Q1/2PP2P1/PP5P/6B1/3RR1K1 w - -,h3h4
1Q6/3k1p1p/6p1/pp4P1/7P/2P1P3/5PK1/3q4 b - -,d1d5
rn1q1rk1/pp1b1pbp/3p1np1/2pP2B1/4P3/2NB1N1P/PP3PP1/R2QK2R b KQ -,b7b5
r2q1rk1/1p2ppbp/3p2p1/p1n1n3/2P1P3/1PN1B1Pb/P2QNPB1/R4RK1 w - -,e3h6
8/8/5p2/p3p1k1/8/r4P2/P3RK2/8 w - a6,f2g3
4r3/p4k2/1p2r1pp/1Pp1P3/2Pb2K1/6BP/P3R3/4R3 w - -,h3h4
8/4pk1p/p1r2pp1/1b6/R7/P3P1BP/5PPK/8 w - -,a4b4
r7/3b1q2/1kp1p2p/1pRn2p1/1P1P4/1Q2BB1P/1K3PP1/8 w - -,f3d5
1R6/5p1k/1p2rbp1/7p/3p1B1P/6P1/4PP2/6K1 w - -,g1g2
rnb1kb1r/pp3ppp/2p1pn2/q7/3P4/5NP1/P1QNPPBP/1RB2RK1 b kq -,f8e7
3b1k2/3b1p1p/3pp1p1/pp6/3NP1P1/1P1K1P2/PP1B3P/8 w - -,b3b4
r1bq1r1k/1p3pp1/2p1p2p/p1P5/PbQP4/6P1/1P3PBP/RNR3K1 b - -,e6e5
r1b1r1k1/pp2qpp1/2p2n2/2bp3p/2P2P2/1PNBPR1P/PBQ2KP1/4R3 b - -,a7a6
5rk1/pb1qr2p/1n1p2pB/1p1P4/6P1/1P1Q3P/P5B1/2R2RK1 b - -,f8f1
5rk1/1R3p2/p2pq2p/3Np1b1/4P3/1P1Q2P1/1r3P2/3R2K1 w - -,d3a6
7r/3p1kp1/p1b1p3/1p2P1pr/4B3/2N3Q1/PPP4P/2K5 w - -,g3f3
2Qr3k/5pbp/3P2p1/4P1P1/5P2/7P/3B1K2/R7 b - -,d8c8
1rb1k2r/1pqn1ppp/p2pp3/6P1/3RPP2/2N2Q2/PPP4P/2K2B1R b k -,b7b5
6r1/1p2R2k/p1p4p/8/1PP5/7P/6N1/b5K1 b - -,g8g7
r1b1k2r/pp3ppp/3bp3/8/3PP3/6P1/P4PBP/R1B1K2R b KQkq e3,e6e5
2br4/3rkppp/1p2p3/p1b5/1P2BB2/P1P5/3R1PPP/3R2K1 b - b3,d7d2
5rk1/1pp1b1pn/3p3p/2PPpq2/1P6/2N2NP1/4QPKP/1R6 w - -,e2e4
1rbqk2r/1p1nppbp/p2p2p1/2p5/2PPP1n1/2N1B1P1/PP1QNPBP/R3K2R w KQk -,h2h3
5k2/pp3pp1/5n2/3pr2p/3N4/1P2P1P1/P4PKP/2R5 w - -,a2a4
r4rk1/1pq1bppp/3p4/4p3/pPb1PP2/B1P2RP1/3Q2BP/R5K1 w - -,a1d1
2rq1rk1/1p1b2pp/4p3/pP1pR3/P2P4/Q4N2/5PPP/2R3K1 b - -,c8c1
8/8/4Q2p/8/8/2q3pK/1pk5/8 w - -,e6e2
2r1n2k/6p1/4Pp1p/5P2/2pB3P/1p6/3R2P1/3R2K1 w - -,d4c3
r1b1k2r/ppp1qppp/2np3n/6N1/2B1P3/2P5/P1Q2PPP/R1B2RK1 b kq -,f7f6
r1q1r1k1/1ppb1ppn/pb1p4/3P1nP1/3NBP1p/P2Q3P/1P2NB2/2R2RK1 b - -,g7g6
5k2/p1Bn3p/bpp2p2/2b2N2/2P1P3/1P3B1P/P7/7K b - -,d7e5
5kr1/2r1bp1p/8/2pb4/3p4/1P1B4/P1P1QPPP/R3R1K1 w - -,d3e4
1r2q1k1/p3p1b1/3pp1p1/7p/n1p1P2P/2P1BP2/PPQ3P1/K2RR3 w - -,d1b1
8/8/5Pk1/1p2n1p1/3RN3/8/2q2N1P/5K2 b - -,e5c4
8/p3b2p/1p6/1P1p1kp1/3P4/P2K1P1P/8/2B5 b - -,e7d6
r4rk1/pbq2pp1/1p1bnn1p/2p1p3/4P2P/2P3P1/PP1NQPBN/R1B1R1K1 w - -,h2g4
r1bqnrk1/pp2ppbp/1np3p1/8/P1pPP3/5NPP/1P2QPB1/RNBR2K1 b - a3,a7a5
8/8/5N2/5k2/3npp2/8/5K2/8 w - -,f6d5
8/6bk/4q1p1/1pB4p/pNb1pp1P/P1P2PP1/1P4K1/3Q4 b - -,e4f3
4r2k/2b1r3/p1p5/2Pp1p2/3P1P1p/PR2P3/7P/1R3NK1 b - -,e7g7
r2qk2r/p2nppb1/2p3p1/3pP2p/P1pP3P/2N1BP2/1PP1Q1P1/R3K2R w Qkq -,e5e6
8/8/3p1k2/pp2bp1p/2r3bP/P1PN4/1PK2R2/5R2 w - -,d3f4
8/2k5/P3R3/3p2pp/3P4/4P3/5PK1/r7 w - -,e6g6
r2qk2r/pp1nbppb/2p1p1np/4P3/2NP2P1/4BN2/PP2BP1P/R2Q1RK1 w kq -,f3e1
3n4/pp1b4/2p5/3p1pk1/3P1N2/P2BPP2/1P3K2/8 b - -,d8e6
5rk1/1bp2ppp/p1q5/8/P6b/1BPP2B1/1P3QPP/4R1K1 b - -,h4g3
3r2k1/p7/2p4p/2p5/2P2Q2/1P3PPb/P3q2P/R4RK1 w - -,f4g4
rn1qk1nr/pp3ppp/2p1p3/3pPb2/2PP4/1Qb5/PP3PPP/R1B1KBNR w KQkq -,b2c3
8/6p1/3kp2p/1p3p1P/3N1P2/3BK1P1/8/r7 w - -,d4b5
6k1/5ppp/2pb2r1/3q4/P7/6rP/5BP1/RN3RKQ w - -,f1e1
1q5k/pp1R2bp/2p1B1p1/2P5/1P1p2n1/P7/5PPP/3Q2K1 w - -,d1g4
2rq2k1/Bpn2rbp/4b1p1/3ppp2/1P2P3/P2P2P1/2Q1NPBP/2R2RK1 b - -,f5e4
r1bq1rk1/4bppp/p1np1n2/1pp1p3/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 b - -,f8e8:c8d7
8/3pk3/4r1p1/2p2p2/p1Pr1P2/P1R3Pp/1PKR3P/8 w - -,d2f2
2kr3r/1pp2pp1/p1n4p/2b1p3/4b1P1/1BPP1P2/PP3P2/R1B1K2R w KQ -,d3e4
r2r2k1/pp3pP1/2p1p2q/8/3P4/5N2/PPP1Q3/1K1n2R1 w - -,g1d1
4r3/p2bbnk1/1p2p1r1/3pPp1p/1P1B4/PQ3B1P/3qN3/R4K1R w - -,d4e3
8/p1k5/5p2/1BP3pp/1K5P/P5P1/8/3b4 w - -,b5d3
3r2k1/1p3p2/1p5p/1n4p1/4PpP1/2P2N1P/1P3P2/R5K1 b - -,d8d3
rn1qk2r/4bppp/B1p1p3/p2nP3/Pp1P4/5N2/1P1B1PPP/R1NQK2R b KQkq -,b8a6
6k1/1p3p1p/p1n1p1p1/4P3/5P1P/2B1K1P1/1P6/8 b - -,g8f8
4r3/1r2q1kp/3R1pp1/2pPn3/1p2N3/1P3BPb/1Q2PP2/4R1K1 w - -,d6f6
2R5/8/p3p3/Pp3p1p/1P5P/5P1K/5k2/6r1 w - -,h3h2
Rrbqr1k1/2p2pp1/2n2n1p/1p1pp3/4P2N/1BPP3P/1P1N1PP1/3Q1RK1 w - -,a8b8
6k1/3b1pb1/3n2p1/1p1Pp3/1N2P2p/2r2B2/5NPP/1R4K1 b - -,f7f5
rn1qkb1r/pp2pppp/2p2n2/8/3P2b1/6N1/PPP1NPPP/R1BQKB1R b KQkq -,g7g6
r4rk1/1p2ppb1/q2n2pp/p7/Pn6/1B1PBN1P/4QPP1/1R1R2K1 b - -,a8c8
r3k1nr/p4q1p/2p1bpp1/Ppb1p3/1Q2P3/5N2/1PP1BPPP/1K1R3R w kq -,b4c5
6k1/1pR3p1/7r/3pNpR1/pP3P2/P7/3q4/6K1 b - -,d2e1
8/7k/3pN1p1/p1pPp3/2P1P3/4K1R1/2q5/8 w - -,g3h3
8/2n5/3k2pp/p4p2/2KP2PP/1B6/P7/8 w - f6,g4f5
r4rk1/7p/p1pNb1p1/1pP1p3/3n4/3B2P1/PP1R1PKP/R7 b - -,g6g5
rnbq1rk1/ppppp1bp/8/5p1Q/2PP4/2N1P3/PP3PP1/R1B1KBN1 b Q -,d8e8
r1b2n1k/pp2b1pp/1q2p3/4P3/1P1n2QP/P2BB3/5K2/R6R b - -,b6d8
2kr4/pp4q1/2p5/4b3/2P5/P2BR3/KP5r/1RBQ4 w - -,e3e5
r1b1k2r/pppnnppp/1b6/2N5/1P6/P3B1N1/2P2PPP/3RKB1R w Kkq -,f1b5
rnbqk2r/p1p1bppp/1p3n2/3pp1B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3
8/5p1k/5P2/p5R1/r7/8/4K3/8 b - -,a4f4
8/1k3b1B/1b3B2/6Pp/4p3/P3P3/5K2/8 w - -,g5g6
3rr1k1/5p1p/1q1P4/pp4Pp/2p1P3/P5Q1/4RP2/3R2K1 w - -,e4e5
1r2k3/5p2/p6b/1p1pPPn1/1P1P4/3B4/R2BK3/8 b - -,b8b6
r2qk2r/3nppnp/3p2p1/p1pP2Pb/2P1P3/pP3N1B/2QN1P1P/R3K1R1 w Qkq -,a1a3
6k1/1pr2pb1/p2q3p/P1p3pP/3p2P1/1Q1B4/N4P2/1KR5 w - -,b3a4
r4rk1/b1qn1ppp/p1p1p3/1pPpNb2/PP1PNP2/4P3/4B1PP/R1BQ1RK1 b - -,f5e4
r4rk1/1pqb1p1p/3pp1pb/pP6/N1PP4/6PP/P4PB1/R2QR1K1 w - -,d1b3
n1kr3R/pp2qpn1/2p3p1/P2p4/3P2b1/1QNBP1N1/1P3P2/2KR4 b - -,d8h8
3k4/pp6/2p1p2p/2P2bp1/1Pnb4/P4BP1/5P1P/2BN1K2 b - -,f5c2
b1r3k1/p3bpp1/4p2p/NBp5/8/P3PP2/1P4PP/2R3K1 b - -,e7f6
8/1p6/p7/P7/6k1/1r4Pp/R3K2P/8 w - -,e2f2
8/5pk1/p3r3/3K3Q/1P6/8/8/8 b - -,e6g6
4r1k1/1p3p1p/p7/5p2/5R2/1P5P/P5PK/8 w - -,f4f5
2r1r1k1/q1bn1pp1/3ppnp1/p7/2PP2P1/2NQ2BP/P4PB1/1R2R1K1 w - -,g4g5
r5k1/5ppp/pq2b3/2p1p3/1r6/2N1P1P1/PPQR1P1P/R5K1 b - -,a8b8
bq3rk1/p4pbp/1p2p1p1/1Bn5/1B4Q1/1PN1P2P/P2r1PP1/2R2RK1 b - -,f8d8
r2qk1nr/bpp2ppp/p1npb3/3N4/P3P3/1N1B4/1PP2PPP/R1BQK2R w KQkq -,e1g1
4b1r1/1krnb2p/pp1ppp2/6p1/P1P1P3/BP1N1PN1/K2R2PP/3R4 b - -,d7c5
3r2k1/pB3p1p/4p1p1/8/1bR5/1P2P1PP/P4P2/6K1 b - -,a7a5
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P2/2P2N2/PP2B1PP/RNBQ1RK1 b - -,c5c4
2r5/2r2k2/pb2ppp1/7p/Pp1PbP2/2P1B1P1/5K1P/R1RN4 w - -,c3b4
6k1/1b3pp1/1p2p2p/3n4/1N6/4Q2P/PP3PPK/3r4 w - -,b4d5
2q2rk1/n1r1b2p/pp2p3/3pPpp1/PP1P4/1N1B4/1B1Q1PPP/R5K1 w - -,b2a3
8/7k/6p1/p1p4p/P2pQ2P/1P1P2P1/2P4K/3q4 w - -,e4g2
4r3/3k1p2/3n4/1p1pp1P1/2n5/1PBB2K1/2P3P1/5R2 b - -,e5e4
8/2r2bkp/1r1p1pp1/pP2p3/P1p1P1N1/2P2P2/6PP/R2R2K1 b - -,f7e6
r3r1k1/1bp3pp/p2b1p2/2p5/6P1/2N1B3/PPP2PP1/3RR1K1 b - -,g8f7
k2r4/8/1pP1p2p/4P3/P7/8/2q4P/5RQK b - -,c2c6
8/8/2p5/6p1/2Nb1k1p/P4P2/1P4K1/8 w - -,b2b4
1R6/8/1p3kp1/7p/5K1P/P2r4/8/8 b - -,d3h3
4r1rk/1p6/p4p1p/3b1N2/P1P1pq2/6NP/1PQ3PK/3R1B2 b - -,d5c6
2r5/5pbp/1k2p1p1/3p4/1P4P1/R2K1P2/2N1P2P/8 w - -,e2e4
r1r3k1/1nq1ppbp/6p1/1ppPp3/1P4b1/P3Q1P1/RB1NPPBP/2R3K1 b - -,c5c4
r2q1rk1/p3bppp/1np1bn2/1p1p1N2/1P1P4/P1NBPP2/6PP/R1BQ1RK1 b - -,e6f5
r4rk1/1bp3pp/1pn2qn1/3p4/PP1P1pP1/2B2N1P/5PB1/R2QR1K1 w - -,d1e2
7r/p2nb1k1/b1pq4/N1p1p1p1/P3PpP1/B1QP1P2/2PN2K1/7R b - -,h8h1
r1bq1rk1/ppp2pbp/2np1np1/8/3NP3/2N3PP/PPP2PB1/R1BQK2R w KQ -,d4e2
3r2k1/1R4p1/2r1p2p/Pp2pp2/1b6/3P2P1/3N1P1P/R5K1 w - -,d2f3
2kr4/1p3pp1/p3p3/7P/2Pn1p2/P7/1P3PP1/1KR1N3 w - -,c1d1
5rk1/1p2rq2/1Q3p2/6pP/P2R4/6P1/5P2/3R2K1 w - -,b6b4
4r1k1/1p1b1rp1/p1p5/2Pp1Pnp/N2N1RP1/2Q4P/PPR5/4q1K1 w - -,c3e1
k2r3r/p2bqp2/Q7/3N1n2/3N2p1/4P2p/1P3P2/1K1R3R b - -,e7e4
q1b1nr1k/3nb1pp/p7/4P3/P7/3NB1Q1/2P3PP/1R3RK1 b - -,a8c6
r4r1k/1pp1q3/4p2p/pPn2p2/2QN1bpP/4P1P1/P5P1/3R1RK1 w - -,f1f4
5r2/3b3k/p2p2p1/1ppPp2n/2P5/1P5P/P3RP2/2K3R1 b - -,d7h3
r6r/p3kpb1/1qp1p1pp/3pP3/Q2P4/5N1P/PP3PP1/R4RK1 b - -,h8c8
rnbq1rk1/ppp1npbp/6p1/3pp3/8/2PP1NP1/PP2PPBP/RNBQ1RK1 w - -,b1d2
3r4/qb2kpb1/p6p/Q1pPp1p1/4P3/5PP1/2P1B1P1/R2N2K1 w - -,a5c7
5k2/p4ppQ/1p2p3/4q3/5R2/2P4P/2P2PPK/3r4 w - -,g2g3
5r2/1p1k2p1/p1p1p2p/P5bP/1PPPR1P1/8/4K2B/8 b - -,f8f6
1k6/1p5R/p7/PbK5/1P6/8/8/8 b - -,b8a7
3b4/1p3pk1/p3p2p/8/P2P2P1/1BK1R1P1/2P3P1/1r6 b - -,b1d1
8/1pr2ppk/7p/pR1p4/P3n3/7P/2P2PP1/6K1 w - -,b5d5
2b2rk1/3r4/p3pP1p/1p2Pnp1/4pP2/P7/1PP1NK1P/R3N1R1 b - -,g8f7
1k5r/2p2p2/2Q1pq2/5b1p/1P1P2p1/P1P3P1/5P1P/2R1R1K1 b - -,h5h4
rnbq1rk1/pp3ppp/4pn2/3P4/3N4/P3P3/1P1N1PPP/R2QKB1R b KQ -,f6d5
4r1k1/3r1p2/pp1p1pnQ/3b4/1PPqP3/7P/P2RB1P1/6K1 w - -,d2d4
r1bqr1k1/pp2bppp/2n1p3/3P4/2B5/2PQ1N2/P4PPP/R1B1R1K1 b - -,e6d5
6k1/2p2pp1/pn6/1p1Bq2p/7Q/N1P4P/PP3PPK/8 w - -,h4g3
1r2kb1r/pp1bpp1p/4n1p1/2p5/8/2NP2P1/PP2PPBP/R1B1K2R w KQk -,c1e3
r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PPB2PPP/RN2K2R b KQkq -,b5b4
r3r1k1/p4p1p/1p4p1/2b5/3NqP2/1QP3P1/PPR1pK1P/4R3 b - -,c5d4
