5r2/6k1/pp5p/P1b1R2P/6P1/8/1P4K1/8 b - -,f8f2
r1bqr1k1/pp1n1pb1/2p3pp/B2Pp3/4P3/1PN2NP1/P1Q2PBP/R4RK1 b - -,d8a5
r5k1/1p3ppp/pB2b3/5n2/8/1q6/1P1Q1PP1/2R2RK1 w - -,b6a5
1n3rk1/1p2q1pb/1Pp1p2p/4P3/3P1p2/1Qp2P2/1P2BBPP/R5K1 b - -,c3c2
8/R4p2/3kp1p1/7p/7P/2pb2P1/5PK1/2b5 w - -,a7a8
r3qr1k/2p4P/p1b1p3/4Pp2/2p1P3/2Nn4/PPQ5/1K4RR b - -,d3e5
rn1qkb1r/pp3p2/2p1p1p1/3pPn1p/3P1Pb1/2N2N1P/PPP1B1P1/R1BQ1RK1 b kq -,g4f3
8/8/5B2/8/n1kp4/1p6/8/2K5 b - -,b3b2
3r4/p3rp1k/2nn2pb/p1N2q2/3Pp1Qp/B1P1P1PP/3N1PK1/R4R2 b - -,h4g3
3qrrk1/1p1nNppp/p1npb3/6P1/4P3/2N4P/PPP3B1/R1BQ1R1K b - -,d8e7
6k1/6p1/B3p3/7p/6n1/1P4P1/P2r1P2/5RK1 w - -,a2a4
r2qnrk1/1b1n1pbp/pppp2p1/3Pp1P1/P3P3/2N1B1NP/1PP2PB1/R2Q1RK1 b - -,c6c5
4r1k1/p6p/1p4p1/2pP1p2/2Pq1Q2/3R3P/P5P1/5R1K b - -,d4d3
r1bq1rk1/3nbpp1/pp2pn1p/3p4/P2P3B/1BP1PN1P/3N1PP1/R2Q1RK1 b - -,c8b7
4k2r/1brpbppp/1qn1p3/p7/Pp1pPPP1/1P1P1N1B/1BP1QR1P/5RK1 b k -,h7h6
2kr3r/1pp1qp1p/1pnpbn2/6p1/4P1P1/1NN2P2/PPP1Q2P/2KR1B1R w - g6,h2h4
3r4/1pR2pk1/pn2p1p1/3p3p/3P4/qP1NPP2/P1Q3PP/5K2 b - -,d8d7
4r3/1p3pbk/2p3pp/1p1q4/2rP4/P3B1P1/1P1Q1P1P/2RR2K1 w - -,c1c3
r1bq1rk1/pp1nnpb1/2p3pp/3p4/3NP3/2P3P1/PP1N1PBP/R1BQR1K1 b - -,d7c5
rq4k1/5pbp/p1r1p1p1/2Bp4/1P1P4/2n3P1/P4PNP/1R1QR1K1 w - -,d1c2
8/8/6p1/5k1p/5P1P/r4KP1/4R3/8 w - -,e2e3
2b5/8/1p1k2p1/pP1pN1Pp/P2Pp2P/8/5P2/6K1 b - -,c8f5
1r1q1rk1/2p1bppp/p2p1n2/n3p3/PpN1P1b1/2PP1N2/BP3PPP/R1BQR1K1 b - -,a5c4
r4r2/pp1n1ppk/2p1qn1p/3p3P/3P3R/2N1PQN1/PP3PP1/R3K3 b Q -,c6c5
r2q1rk1/3nbppp/p2pb3/1p1N4/4PB2/3B4/PPPQ2PP/R4R1K b - -,e6d5
r1bqk2r/pppnbppp/3p1n2/4p3/5P2/1P2P1P1/PBPP3P/RN1QKBNR w KQkq -,f1g2
6k1/pp1rn2p/4rpp1/3q1p2/1P1P1P2/P2RB3/Q4KPP/R7 b - -,d5a2
8/8/1p4pk/p2R3p/3P1r2/PP5P/6P1/7K b - -,f4f1
rbb2rk1/3nBppp/pqp1p3/1p1nP3/3PQP2/1BN5/PP2N1PP/R4RK1 w - -,e7f8
8/p5p1/Pp2k3/3p3p/3Pp2b/2R1Br2/1P3PK1/8 b - -,e6d7
r3r3/pp3k1p/3p2p1/4np2/8/2BP2PP/PPP2K2/R3R3 b - -,a8c8
2k5/p7/1pp5/2P1pp1p/P1P5/4K1PP/8/8 b - a3,b6c5
8/R3p3/p2pk3/6P1/5prP/5K2/P3P3/8 b - -,g4h4
5b2/5k2/1N3p1K/p2N1p2/3P4/1P1bP1P1/8/8 w - -,h6h5
2k2b1r/p4p2/q3pP2/2prn1B1/NPp5/6P1/1P3P1P/R2Q1RK1 w - -,d1e2
2k5/2b5/1p1p1p2/nPpPp1p1/P3P1P1/1PK2PB1/6Br/6R1 b - -,h2h6
