7R/3k4/8/p5N1/PpP3b1/8/1r6/5K2 w - -,h8a8
rn1q1rk1/pp2bppp/2p1pn2/3p4/2PP2b1/PP2PN2/3N1PPP/R1BQKB1R w KQ -,c1b2
r1bqkbnr/pp1ppppp/8/2p5/3nPP2/2N5/PPPPN1PP/R1BQKB1R b KQkq f3,g7g6
3Qn1k1/4B3/2p5/6pq/2P4r/P5b1/1P4RP/R6K w - -,d8d2
r3k2r/1bq1bppp/ppnppn2/2p5/4P3/1PN2NP1/PBPPQPBP/3R1RK1 w kq -,f1e1
r3r1k1/6p1/p1pBnp1p/2Ppn3/1P2b1P1/1NP4P/R3P1B1/R5K1 w - -,g2e4
rnbq1rk1/pp2bppp/3ppn2/2p5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 w - -,f1e1:c2c3
r3k2r/pp2ppb1/1q2b1pn/4p3/5P1p/2BPN1P1/PPP2KBP/R2Q3R w kq -,d1f3
2br1rk1/pp2q2p/1bn1ppn1/8/1PB5/P4NP1/1B1NQP1P/R4RK1 w - -,a1e1
r2q1rk1/pb2bppp/1p2pn2/8/2PR1B2/1P3NP1/P3QPBP/5RK1 b - -,d8c8
brr3k1/3nqppp/p2p4/P7/1PPpPpP1/7P/3Q1BB1/2R2RK1 w - -,f2d4
r5k1/1p1nb1p1/3N4/p2qpr1p/4N3/P3BPQ1/1P3P1P/R4RK1 b - -,e7d6
r2qkb1r/pp2ppp1/1np2N2/4N2p/3P2b1/4BQ2/PPP2PPP/R3KB1R b KQkq -,g7f6
r4rk1/1p2nppp/1qp1p3/8/b1Q1P3/P4NP1/1P3PBP/2R1R1K1 w - -,c4c3
r1b2rk1/2q1bppp/ppnppn2/8/P3PP2/1NN1BB2/1PP3PP/R2Q1RK1 b - -,c8b7:a8b8
r2q1rk1/pbn2pbp/1p1p1np1/2pPp3/2P1P3/2N2NP1/PP3PBP/R1BQR1K1 w - e6,d5e6
4r1k1/1R3pp1/3r4/pp3Pp1/3B4/P1PR4/2qnQ2P/6K1 b - -,d2f3
r1bq1rk1/p4pp1/2pb1n1p/3pp3/4P2B/2PB4/PP1N1PPP/R2QK2R b KQ -,a8b8
r1bqk2r/3nppbp/pp1p1np1/3N4/P2NP3/4BP2/1PPQ2PP/R3KB1R b KQkq -,c8b7
5rk1/4pq1p/r1ppb1p1/p3bp2/2P4P/QPN1P1P1/P4PB1/2R3KR b - -,e5c3
r3k1nr/pp1n1pp1/2p1p2p/q6P/1b1P4/3Q1NN1/PPPB1PP1/R3K2R w KQkq -,c2c3:d3b3:g3e4:a2a3
r1bq2k1/1p2p1bp/p1np2r1/2n2p2/2P4Q/1PN2N1P/P2BBPP1/2R2RK1 b - -,d8f8
3Q4/5k2/2q5/4np2/6P1/6P1/5NK1/8 w - -,g2f1
r1b2rk1/p1q2pp1/1p1bp1np/8/2PPN3/P2B2P1/5P1P/R1BQ1RK1 b - -,d6e7
5rk1/ppq2p1p/6p1/P4P1n/2r5/2P2P2/2Q3PP/R1B2R1K w - -,c2f2
r1b1r1k1/pp2qpbp/2pp1np1/2n5/2PNP1P1/2N1BP2/PP1QB2P/R5RK w - -,g1g2
2rr1bk1/pb1p1ppp/1p2p3/n7/2Pq4/P1N2NP1/1P2PPBP/2RR2K1 w - -,f3d4
3r1rk1/p2n1ppp/1ppn4/8/3P4/2N2N2/PPR2PPP/5RK1 w - -,f1d1
rn3rk1/p2n1pbp/1p2p1p1/1bp1P3/5B2/1BP2N2/PP1NKPPP/R3R3 w - -,b3c4
3r2k1/p5pp/1p3p2/8/P3P3/R4N2/2rn1PPP/4R1K1 w - -,h2h3
r1b2rk1/p1qn1pbp/1pp1p1p1/4P1B1/3P4/1QP2N2/P3BPPP/R4RK1 b - -,c8b7
8/6k1/8/2pPp1n1/P1P2p2/6p1/6K1/8 w - -,a4a5
8/4k3/R3p1pp/8/7P/p4P1K/r5P1/8 b - -,a2a1
r2q1rk1/pp3ppp/2p1pB2/4N2b/1bpP4/6P1/PP2PPBP/R2Q1RK1 b - -,g7f6
r2qr1k1/3n1pbp/bpp2np1/p2pp3/2P5/PP1PPN2/1BQNBPPP/R1R3K1 w - -,c2d1
r3r1k1/p6p/qpp1p1p1/3nB1Q1/3P4/2P4P/P4PP1/R4RK1 b - -,a6b7
5r2/r3bp1k/4p1pp/pP1p4/3B1Q1P/q2P2R1/5PP1/1R4K1 b - -,a7b7
6k1/1r5p/ppnrp3/2p2pP1/2P2P2/P2PPN2/6K1/R2R4 w - -,a1b1
8/k7/6R1/P2pPpPp/3r3K/8/8/8 w - -,h4h5
r3r1k1/1pBnqpp1/pPp3bp/3p4/1P4P1/2Q1PP1P/P2RBK2/2R5 b - b3,d7e5
r1b2rk1/1p2qpbp/2n1pnp1/p1P5/2P5/P3PN2/1B1NBPPP/R2QK2R w KQ -,e1g1
1rb3k1/ppNr1ppp/2p2n2/1P2p3/2P5/4P1P1/P4PBP/R4RK1 w - -,f1d1
4r1k1/ppr1ppq1/3p2p1/3R3p/P1P1Q2P/1P3RP1/4PPK1/8 w - -,d5g5
2r2k2/4Rp2/5p1p/3B4/2r5/6B1/1n3PPP/4R1K1 b - -,c8d8
2r3k1/ppr2pbp/1q2pnp1/3pN3/3P4/2N5/PPPQ1PPP/1R2R2K w - -,f2f3
2B5/8/3b4/2pK1pk1/3p2pp/1P1N3P/5PP1/8 b - -,d6f8
8/2r3bk/6p1/2BNp2n/1P2Pp1p/3K1P1P/1NQ3q1/3R4 b - -,g2f3
2rr2k1/p4qp1/Pbp1ppb1/1p2P3/1P1P2PB/2R1Q3/4BP2/3R2K1 b - -,d8d5
rn1qkb1r/pbpp3p/1p2pnp1/5p2/2PP4/2NBPP2/PPQ3PP/R1B1K1NR b KQkq -,f8g7
8/5p2/2p1bk2/P1p4p/P4Kp1/8/4B1PP/8 b - -,c5c4
2b1r2k/p2qbrnp/1p1p4/2nPpp1P/2P1P3/P1NBBN2/2Q1KPR1/7R b - -,f5e4
3qr1k1/1pp2ppp/1p1p1n2/1P2p3/r1bPP3/P1P2Q1P/1B3PP1/R3RBK1 w - -,f1c4
2r3k1/5p2/4p3/1R3p2/8/1PNn2PP/6B1/6K1 b - -,c8c3
3r4/pp2q1k1/n3P2p/3p1p2/P7/1P6/4Q1NP/4R1K1 b - -,e7f6
3rr3/p4pk1/1pp2np1/2q5/2PnPRPp/1PN4P/P2R2B1/2Q4K b - -,d4e6
2r5/7p/5kp1/P1p2n2/2Nr4/1P3R1P/4R3/7K b - -,d4d1
7k/1p2q3/4p2p/1P1p1np1/3P4/6P1/2Q1NPP1/6K1 w - -,g3g4
2k5/2b2p2/1p4pp/1P2p3/N3P3/1N3nP1/1P3PKP/8 b - -,f3g5
3b4/8/8/4P2N/6p1/2K1k3/8/8 w - -,c3c4
r1bq1rk1/bpp2ppp/p1np1n2/4p3/B2PP3/2P2N2/PP3PPP/RNBQR1K1 w - -,h2h3
r2qk2r/pp1bbppp/2np1n2/8/3NP3/7P/PPB2PP1/RNBQ1RK1 b kq -,c6b4
r1b1k2r/1pqp1p2/p1n1pp1p/8/1bPNP3/2N5/PP2BPPP/R2Q1RK1 w kq -,a1c1
1b6/3k3p/5P2/p1p3pB/P7/1P4PP/3pK3/8 b - -,b8g3
8/5ppp/3kp3/p1n5/8/1P1NP1P1/4KP1P/8 b - -,c5b3
3r2k1/4qbpp/B2n1p2/p1r1p3/1p2P3/1P2P1PP/3BQ3/R3R1K1 w - -,e1c1
3B2n1/1Q5p/1P3ppk/pq6/1b2R3/6PP/P2K4/8 w - -,d2c2
rn1q1rk1/1p2ppbp/p1p2np1/8/2BP4/P1N1Pb1P/1P3PP1/R1BQ1RK1 w - -,d1f3
8/5p1p/1p1k2p1/1P4P1/3P1P2/1r2P3/2bK3P/2R5 w - -,c1c2
4k3/8/8/4Bnp1/P7/8/1K1p3P/8 w - -,b2c2
1brr2k1/1p3pp1/p3bq2/3p4/7p/P1NQPPP1/1P1RNK1P/3R4 w - -,d3d4
6r1/1p2r2k/p2R3p/8/4n1nP/1P4R1/1PB2P2/2B3K1 w - -,f2f3
8/8/p1kbb3/1ppN4/2P2P2/PP4Kp/3B4/8 w - -,d5c3
2rr2k1/p4p2/1pb1p2p/6P1/P1PPn1P1/4B2P/4B3/R1R3K1 b - -,e4g5
N1b2r1k/1p2b1pp/8/p1P2p1q/3ppPn1/P5P1/1PQBP1BP/R4RK1 w - -,h2h3
3r3r/pb3P2/1kp5/1p4p1/2p5/8/PQ4PP/5RK1 w - -,a2a4
r1bqk2r/1p3ppp/p1n1pn2/2b5/P1B5/2N1PN2/1P3PPP/R1BQ1RK1 w kq -,d1d8
8/4kp1p/1r2n1p1/pp1Rp3/8/1P4PP/P4PK1/3R4 w - -,d5e5
R7/2r3p1/1r2k3/8/1p3RP1/2P1P3/2K5/8 b - -,c7c3
1r5k/8/6pp/2r5/P2pB3/3P3P/1P1R4/7K w - -,e4g6
r1bq1rk1/ppp2ppp/2nb1n2/3p4/3P4/5NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3
4r1k1/p4ppp/2p1b3/1p5n/1b2P3/1P3PP1/P1P3BP/1R1R2K1 w - -,f3f4
rnbqk2r/pp3ppp/4pn2/2pp4/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,c5d4:e8g8
r2q1rk1/pp1nbppp/1n6/4p2b/P3N3/1Q1P1NPP/1P3PB1/R1B2RK1 b - a3,g8h8
8/5pkp/2N2bp1/Pq6/4Q3/4B1P1/5PK1/8 w - -,e3d2
8/1p4p1/p1k1b3/4p3/2P1Pb2/1P2B3/P1K5/5B2 w - -,e3f2
r2q2k1/5p2/1p1p4/pPpPr2p/P3P1b1/2Q3N1/5PP1/1R2R1K1 w - -,f2f3
5r2/8/1p3n1k/p6p/Pr1P1R2/1B4RP/8/6K1 b - -,f6h7
6k1/3r3p/6p1/1p6/4K3/1PP5/P6R/8 b - -,h7h5
4r1k1/1bp4p/3r4/ppb1p1B1/3PN3/6P1/PP2Q1KP/R7 b - -,d6d4
5b2/Nq3k1p/p4pp1/8/2RBpP2/1P4P1/P4K1P/8 b - -,b7d7
r1bqk2r/pp2bppp/4p3/2p5/3PB3/5N2/PPP1QPPP/R3K2R b KQkq -,d8a5
r4rk1/pp2qpbp/2p1pnp1/3n4/1P1P4/BQ2PN2/P3BPPP/R4RK1 b - -,f8c8
4r1k1/5p1p/6p1/P3p3/4P3/2p3P1/5K1P/R7 b - -,e8c8
8/1n1N4/8/p1p2p2/P1K2k2/1PP4P/8/8 b - -,f4g3
r3k2r/1p2pp2/p2p1n1b/qb2nN2/4P3/P1N3PP/1PP1Q1B1/R3K1BR w KQkq -,e2f2
8/3N1k1p/3p3Q/p1pP2p1/P2qP3/8/1P4P1/5nK1 w - -,g1f1
R7/5pk1/4p3/4P1pp/pr6/5PK1/5P1P/8 b - -,g7g6
r1b2rk1/2q1bp1p/p3pnp1/1pP1p3/4P3/NN1B4/PP3PPP/2RRQ1K1 b - -,c8b7
8/2R5/6p1/4K3/6p1/6P1/5k2/8 b - -,f2g3
r2r2k1/pp2bpp1/1q2pn2/3p4/8/3B1Q1P/PPPB1P2/2KR2R1 b - -,f6e8
r3k2r/3n1ppp/p2bp3/N2n4/8/P4P1P/1P1BBP2/R3K2R w KQkq -,h1g1
1r3rk1/p5bp/bq2R1p1/3p2B1/3N4/2P5/PP1Q2PP/2K4R b - -,b6a5
7k/1B3r1p/1q1p2pb/p1r1p3/P7/2N4P/1P2R1P1/1R1Q3K b - -,f7b7
5r2/2q1ppkp/5np1/2Pn1b2/1rRQ2P1/4PN1P/4BP2/R5K1 b - -,b4c4
5r2/3bq1k1/3n1pp1/2pPp2p/2P1P3/2QBN2P/5RP1/r5K1 w - -,c3a1
1r2r1k1/p4pp1/2p3q1/3p4/Qb4n1/1PN1P1Pp/P2B1P1P/4RR1K w - -,a2a3
2b2r1k/1pN3bp/r2p2n1/3Pp1q1/P3Ppp1/1N3P2/4QBPP/R1R3K1 w - -,c7a6
4rrk1/1b1n2pp/ppp5/1q1p1pN1/1P1P4/P1R3P1/1B4PK/Q3R3 b - -,d7f6
r2qkb1r/1p1nnp2/p3p2p/P1ppPbp1/3P4/2P5/1P2BPPP/RNBQNRK1 w kq -,e2d3
3r2k1/7p/4pb2/1Pn2p2/r1N1p3/7N/5PPP/1R3RK1 w - -,c4e3
rnbq1rk1/1p2ppbp/5np1/p2p4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b - -,b8c6
8/6pp/2Rp2k1/1p6/8/1P6/1B3KP1/1N2r3 b - -,e1b1
r2r2k1/p1q1ppbp/1p2n1p1/3R4/8/1QP1BN2/PP3PPP/3R2K1 w - -,h2h3
8/5k2/1p5b/2p2p1p/5P2/8/1P1B3P/6K1 w - -,g1f2
4r3/pp3p1p/2p1npk1/8/3P3P/4PK2/PPRN2P1/8 b - -,f6f5
r1bqk1nr/ppp2pb1/2np4/4P3/4P1Pp/2PN3B/PP3P2/RNBQK2R b KQkq -,d6e5
8/2r2pk1/p4n2/1p4p1/1b1P2P1/3bRP2/6P1/3K3R w - -,e3d3
2r2rk1/pp4p1/2n1pqnp/3p4/1P1P4/P1N2N2/2RQ2PP/5RK1 w - -,c2c1
8/p7/7p/1pPk2p1/3r2P1/1P3K2/P2p3P/3R4 w - -,h2h3
r1b2rk1/ppp1qppp/2n2n2/2b1p3/4P3/1BP2N2/PP1N1PPP/R1BQK2R w KQ -,e1g1
8/2R2p2/4k1p1/3p4/2pP4/r7/4KPP1/8 w - -,c7c6
8/6k1/1pp2R2/p1p1K3/2P5/Pr1P2P1/8/8 b - -,b3a3
r2q1rk1/1p1np1bp/2p1bpp1/p5B1/P2P4/2RNP3/1P2BPPP/3Q1RK1 w - -,g5h4
2kr1bnr/ppp1qppp/2n5/4P1B1/2Pp4/P4N1P/1P2PPP1/R2QKB1R b KQ -,f7f6
r3kb1r/2q3pp/pn1pp3/1p4P1/4P3/1PN1B3/P1PQ3P/2KR3R w kq -,h1f1
rn1q1rk1/pp3ppp/2p1p3/8/4Q3/2P3PP/P1PP1P2/R1B2RK1 b - -,d8d5
8/6p1/5p1k/R6P/6K1/1r5P/8/8 b - -,b3b1
Rq2r2k/6pp/2p5/8/2P3nP/3P2P1/2P5/R4BK1 w - -,a8b8
r3r1k1/1p1q1pbp/p2p2p1/2pP1b2/PnB1nP2/2N4P/1PPB2PN/2RQ1R1K w - -,c3e4
8/p7/1bk2p1B/1p1p4/8/2P3P1/PP1R1PKP/r7 w - -,a2a3
8/1p2kNb1/2p3p1/2n1p3/2P1P3/1P6/P2R2K1/r5N1 w - -,f7g5
r4rk1/pb1n1ppp/1p1ppn2/2q3B1/2PQP3/P4P2/1P1NB1PP/R3K2R w KQ -,g5e3
r1b1kbnr/pp3ppp/2n5/2pqp3/3P4/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,e5e4
r1b1r1k1/p1b2pp1/1pp4p/2Q5/4P3/1B4NP/PP2n1PK/R2RBq2 w - -,c5e3
8/p3R3/1pp3k1/2p2pp1/2b3rp/2PQ4/PP3P2/5K2 w - -,d3c4
8/1b4p1/3k3p/pprpr2P/3R2P1/P1P3K1/BP1R4/8 w - -,a2b1
2r5/8/4p3/1P2Pk1p/1K4p1/8/4R1PP/8 b - -,c8c1
2kr1b1r/pp2pppp/2n5/5q2/6n1/2P1BN2/PP3PPP/R2QKB1R w KQ -,d1a4
8/8/8/8/8/4k3/3p4/4K3 w - -,e1d1
7r/5kp1/pR4p1/1prB4/2p2b2/5P2/PP4PP/1K1R4 b - -,f7f8
1r3bk1/1q3pp1/pn5p/2pp4/4r1Q1/1P2P3/PB2NPPP/2RR2K1 w - -,g4f3
r3k2r/pbqnppbp/3p2p1/pN1n4/8/2P1BNP1/1P2PPBP/R2Q1RK1 b kq -,c7c4
rnbq1rk1/1pp2ppp/p2p1n2/2b1p3/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 b - -,c7c6:b8c6
6B1/3bk1pp/8/1p3p2/2p1PP2/5P2/rP1R1K1P/8 b - -,d7e6
8/1p2k2p/2p5/p3pp2/P1Pr4/1P3BP1/3b1K1P/3R4 w - -,f2e2
r1b2rk1/ppq2pp1/3b3p/2p5/2P2Bn1/1N3QP1/PP3PBP/R4RK1 b - -,a8b8
q4r1k/rp2n1pp/2n2p2/1Q2p2b/P3P3/R2P1NPB/3N1P1P/R5K1 b - -,a7a5
rn2k2r/pp2bpp1/q1p1p1p1/8/P1pP3P/2P1P1P1/4BP2/R1BQK2R b KQkq -,b8d7
8/3kr3/R1b5/1pPp1p2/3B4/4PKP1/B2r4/8 b - -,d2d1
8/2p5/2N1kbpp/1P3p2/2P1p3/2r3P1/4PP1P/2R2K2 w - -,c1c3
4b3/1r6/n2r1kpp/3pNp2/pPpP3P/2K1P1P1/1P3PB1/R3R3 b - -,b7b4
8/7p/2nk2p1/8/1p1NK3/1B5P/8/8 w - -,d4c6
r2r2k1/p4pbp/2b5/5p2/2p5/2P1BPPN/PP3K1P/R6R b - -,a8b8
r1b2r2/1pp3bk/p3n2p/nP2pN2/P7/2P1BN2/4BPPP/R2R2K1 b - -,f8f5
r1r5/p3kppp/b1p2n2/2Rq4/P2Q4/4PN2/3N1PPP/4K2R b K -,d5d4
r1b2bk1/p1p2p2/2pp1q1p/6p1/8/2PQ1PB1/PP4PP/4RBK1 b - -,f6f5
4r1k1/pp2q1pp/2p5/3p2b1/3Pr3/1P1QP1P1/PB1KR2P/4R3 b - -,e8f8
1r1r2k1/1q4b1/pN1pb1pp/1p2pp2/1P2P3/R2QBP2/1PP3P1/3R2K1 w - f6,b6d5
r3k2r/1pp3pp/2b1qn2/p1B1p3/4P3/Q1N5/PPP2RPP/5RK1 b kq -,b7b6
5r2/3bp1k1/3p2p1/r1pP4/2Bn1P1p/1PN5/P2K2PP/R6R w - -,a1e1
r3k2r/1pqbbp2/p2pp2p/4n3/3NP3/2N5/PPP2Q1P/1K1R1B1R w kq -,f1e2
2r1k2r/pp2ppb1/2npb1p1/q7/1PP1PP1p/P1N1B2P/3QB1P1/2R2RK1 b k b3,a5d8
r1b2q2/1pp5/7k/2PPNp1p/3P1PpP/pr2R1N1/Bn1Q4/K7 w - -,e3b3
rn1q1rk1/p2pbppp/bpp1pn2/8/Q1PP4/2N2NP1/PP2PPBP/R1B2RK1 b - -,d7d5
2rqr1k1/pp3pbp/1B4p1/3P4/2p5/1PNn2P1/P2Q1PBP/R4RK1 b - -,d8b6
2r5/3n1k1p/1ppr1pp1/p2p4/3P2PP/1P2P1N1/P1R2PK1/2R5 w - -,g3e2
2nb1rk1/1p1q1p2/3p2pp/QPpPp3/2N1P3/3P2P1/5PBP/1R4K1 w - -,b5b6
r6r/1p1kp3/p3p2p/2np2p1/5PQ1/2qBP2P/P1P3P1/R4RK1 w - -,f4f5
2b2r2/1p1p4/2pP2kp/2P3p1/R2P1P2/4K1NP/8/8 w - -,f4g5
8/5p1k/p1q1pNpP/Pp2Pn2/8/3R4/6R1/7K b - -,h7h6
8/1p2r1k1/p1p2R2/4PKP1/1P1p4/Pb1P4/4B3/8 b - -,b3a2
r2r4/pb2k1p1/1p1n2p1/2pBp3/4P3/P4P2/1P1N2PP/2KR3R w - -,h2h4
1k6/1pqb1r2/p3p2p/2bpP1pN/3N2P1/P2QR2P/1PP2r2/1K2R3 w - -,e3e2
2kr3r/1pp2ppp/4b3/pP2P3/P2q4/N5P1/5Q1P/R4RK1 b - -,d4e5
r4rk1/1q2bppp/1pbp1n2/p3p3/Pn2PP2/1NN2B2/1PP2QPP/R1B1R2K w - -,e1e2
1r1q1r1k/pp2n1bp/2n1p1p1/2Ppp3/4P3/P1NP2P1/5PBP/1RBQR1K1 w - -,c1g5
3b4/1kp2R2/p1n3p1/1p1N2P1/1P1P3P/P1PB2K1/8/6r1 w - -,g3h2
8/4bpkp/3p2p1/4p3/p1P1P3/R1B2P2/2bK2PP/1rN5 b - -,c2b3
2r3k1/5pp1/p2r1q2/1pNP1b1p/1P1R1Q2/P4P2/6PP/4R2K w - -,e1e5
r3r1k1/2q2ppp/p2p1n2/2pP4/1pN1P3/1P1Q2P1/P4P1P/R4RK1 w - -,a1e1
r2qkb1r/pp1bpppp/2np1n2/2p5/Q2PP3/2PB1N2/PP3PPP/RNB1K2R w KQkq -,a4b3
4rr1k/pp1b3p/6p1/3pb3/8/2P1N2P/PqB1QPP1/R4RK1 w - -,a1b1
2r1r1k1/qb1nbpp1/p3pn1p/P7/1pNN3B/4P3/1PQ1BPPP/2RR2K1 b - -,d7e5
r3k3/pp2bppR/3p1q2/4p3/4b3/2P5/PP1Q1PP1/1K1R1B2 w q -,f1d3
2r2n2/1bq2kb1/p2p2p1/6P1/1p1pP3/1P3PN1/P1PQ4/1K1R3R w - -,f3f4
4r1k1/p4pp1/1p3b2/2pq4/8/P1PPB2P/1P1Q2P1/4R2K b - -,e8d8
r2r2k1/p3npbp/1p3np1/8/2b1P3/B4P2/PP2N1PP/R3KB1R w KQ -,a3e7
3r3k/3p3p/3P4/p3r1p1/4N1B1/6P1/P4P2/4R1K1 b - -,h8g7
6k1/1p1r1pp1/pRpnp2p/8/P2P3P/1P3BP1/5PK1/8 b - a3,d6f5
r2q1rk1/pb2b1pp/1p1np3/2ppPp2/3P2P1/2PBPN1Q/PP5P/R1B2RK1 b - -,d6e4
4r1k1/4rp2/p3q1p1/1p2p3/5n1P/P1P1N1Q1/1P1R2b1/1B3RK1 b - -,g2f1
5rk1/2r3qp/p1p1b1p1/1pPp1p2/PP1R4/2Q1PBP1/5P1P/R5K1 w - -,a4b5
1br3k1/1b3rnp/pq2ppp1/1p6/4p1P1/PP2P2Q/1BP1BP1P/2RR1NK1 w - -,c2c4
5k2/5p2/3Nn1p1/7p/8/1RP2K2/r5PP/8 b - -,e6g5
6k1/3b1pb1/pp2p2p/1N1p2p1/1P3PP1/P1BPPK1P/8/3B4 b - -,d7b5
3r4/p2br1nk/1ppNp3/2P1Rpp1/1P1P2p1/8/P1B2PPP/4R1K1 w - -,d6f5
r1b2rk1/2qn1pbp/pp1p1np1/2pPP3/P1B2P2/1QN4P/1P1N2P1/R1B2RK1 b - -,d6e5
r1b2rk1/bp3ppp/2n2n2/4N2q/1PPp1B2/3N2P1/4PPBP/R2Q1RK1 b - -,c6e5
r2qnrk1/pp1n2pp/2pp1bb1/5p2/2PQPN2/2N1B1PP/PP3PB1/3R1RK1 w - -,d4d2
2R5/8/8/6k1/5p2/r7/6K1/8 b - -,a3a2
8/4kp1p/8/p3Pp1p/5P2/4r1P1/P2R2K1/8 w - -,g2h3
8/8/7p/5k2/2b4P/1pBp4/8/2K5 w - -,c3g7
r1b2rk1/p4p2/pbpPq2p/4P3/3p2p1/3N4/PP1N1PPP/R1Q1R1K1 b - -,e6g6
rnbqr1k1/pp3ppp/2pbpn2/3P4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,e6d5
6k1/r5pp/2q5/pp5Q/2p5/R5P1/5P1P/6K1 b - -,a7e7
6k1/5pp1/1p6/5n1p/P7/2N2P2/2brBKPP/2R5 b - -,f5d4
8/2b3rk/2P1p2p/2q2p2/8/5QN1/7P/1R5K w - -,b1e1
8/4kpp1/p5p1/8/1p1P1nP1/PK1n1P1P/1P2r3/1R1R4 b - -,a6a5
3r4/p2k1r2/8/3q4/1P1P4/7Q/1PB2PP1/4R1K1 b - -,d7c7
r4rk1/ppqn1ppp/2pbp3/6B1/2PPR3/1Q3N1P/PP3PP1/R5K1 b - -,h7h6
3q2k1/1p3pp1/p1pr1b1p/3r4/3P2Q1/1P2B1P1/P2R1PKP/3R4 b - -,h6h5
1r1q1rk1/3bpp1p/3p2p1/p2P4/B2Q4/5P2/1PP3PP/R4RK1 b - -,b8b4
2rr4/p3k1bp/6p1/1p2pp1P/6P1/1BP5/PP2KP2/3R3R b - -,d8d1
1r1q1rk1/p2bppbp/3p1nP1/8/2pNP3/2N1BP2/PPPQ2P1/2KR3R b - -,f7g6
4r2k/1p1q1r1p/p4p1Q/3p4/3p3P/1P4R1/1P3PP1/3R2K1 b - h3,d7f5
r3k2r/1p1bnppp/p1n1p3/3pP3/1q3P2/3BQN2/PPP1N1PP/2KR3R w kq -,c1b1
3qk2r/3nbppp/p2p4/1p2pP2/2r1P3/1NNQn3/PPP4P/1K1R2R1 w k -,d3e3
2r5/5pk1/4pb2/n1Pp2pp/N2P2P1/3K1N2/5P1P/1R6 w - -,g4h5
2kr2r1/1ppqn1bn/p2p3p/3Pp2P/4Pp1N/8/PPPBQP2/2KN2RR b - -,g7f6
5r2/1p3qkp/p4pp1/3r4/3P4/Q2R4/P4PPP/R5K1 w - -,a1e1
r4rk1/1p1bppb1/p1qp2pp/4PP2/P3N2Q/2nP4/1P4PP/R1B2R1K w - -,f5f6
r2q2k1/pp3pp1/2pp1n1p/5b2/1PPP4/2N4P/P2Q1PP1/2R2BK1 b - b3,d8d7
3r1bk1/1q3ppp/r3p3/p1p1B3/PnN5/3P2P1/4PP1P/1QRR2K1 b - -,f7f6
rnb2rk1/pp2ppbp/3p1np1/q1pP2B1/2P1P3/2N5/PP1Q1PPP/R3KBNR w KQ -,f1d3:g1f3
1rbqr1k1/1pn1ppb1/p2p1npp/P1pP4/2P1P3/2N2NP1/1P3PBP/R1BQR1K1 w - -,e4e5
5b2/7R/3p1k2/3Kp3/4Pp2/5P2/8/8 b - -,f8e7
8/7p/p1p1k1p1/P2p1p2/1BnP3P/2P3P1/2K5/8 b - -,f5f4
5b2/p1p4R/2p1k1p1/4p1P1/2P1P3/4B3/r4PK1/8 b - -,a2a4
