8/1b6/4R3/5p1k/pB5p/P6P/1r3P2/6K1 b - -,b7e4
r4rk1/p2q2p1/1p2p2p/7Q/4N3/4bnP1/PP3PKP/R4R2 w - -,f2e3
2r2rk1/ppqbppbp/5np1/2n5/2PN4/Q5P1/P2NPPBP/BR3RK1 w - -,d4b5
7R/6p1/5p1P/8/R3pk2/5b2/6r1/5K2 b - -,g7h6
r1bq1rk1/2p2pp1/p1n2n1p/P1b1p3/1p2P3/1B3N2/1PPN1PPP/R1BQR1K1 w - -,h2h3
3r4/5pkp/3p2p1/2Q5/5p2/1B6/2P3PP/4R1K1 b - -,d6c5
r3r1k1/2b1qpp1/2p5/2Pp3p/1P1R1Pn1/2N1P3/4Q2P/1RB3K1 w - -,c3d1
6k1/1b2n2p/pp6/2p1pp2/3p1b2/1P1P1PqP/PBN2R2/5Q1K b - -,b7f3
2kr3r/pppq2p1/1bn2n2/1P2pp1p/3P4/P1N1P1P1/2QB1PBP/R3K2R b KQ -,c6a5
7r/1pk5/1p1p4/5pP1/1PPp1n1P/3Pq3/5N2/Q5KR w - -,g1f1
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N1BN1P/PP3PP1/R2QKB1R w KQ -,d4d5
r5k1/1p1b1ppp/p2b4/3p3n/2qN3B/2P2P1P/PP1QN1P1/4R1K1 b - -,g7g6
8/6k1/pp2p3/2p1q1pQ/Pn2Nb1p/1P5P/3p1BB1/6K1 w - -,h5d1
r1b2rk1/ppq2ppp/5n2/2b1p3/3BP3/2N3Q1/PPP1B1PP/R4RK1 w - -,d4c5
2n1b1k1/5ppp/1p2pn2/pP1p4/3P4/P1NBPN1P/5PP1/6K1 w - -,f3d2
4n3/p7/1p2k1p1/1P2p1Pp/2P1K2P/4B3/8/8 w - -,e3f2
N7/8/2k2p1p/P6p/6P1/5K2/8/6b1 w - -,g4h5
2r4r/p3nkb1/1p2p2p/1P2Ppp1/PN3P2/6P1/4KB1P/2RR4 b - -,c8c1
r4bbr/pp1k4/1qn1pp2/3p1n1B/3P2PP/N3PPB1/PP3RK1/R2Q4 w - -,g4f5
rn1q1rk1/ppp2ppp/1n2pb2/5b2/2PP4/P1N1BN1P/1P2BPP1/R2Q1RK1 b - -,b8d7
r4k1r/1b1n1ppp/p2bq3/2pNp3/2B1P1QB/1P2R2P/3P1PP1/R5K1 w - -,g4f3
1r6/3k1pbp/4b1p1/8/p4B2/P7/1P3PPP/2RN2K1 b - -,b8b5
r2q1rk1/ppp1bppp/1nn1b3/4p3/8/2NPBNP1/PP2PPBP/2RQ1RK1 b - -,f7f6:b6d5
3r1nk1/p1p2qpp/1p1n1p2/3p4/P2P1NQ1/2PP2BP/5PP1/4R1K1 b - -,a7a5
r5k1/2p3pp/1p2q3/2nRpp2/p1P5/P1Q1PPN1/1P4PP/6K1 b - -,a8e8
6k1/1p2r2p/p1p1qpp1/7r/1PNPp3/P3PnPP/5PK1/R1R4Q b - -,h5g5
1rbqk2r/4n1bp/3pp1p1/2p2P2/1p1nPP2/3P2NP/1PP1N1B1/R1BQ1RK1 b k -,e6f5
r2q1rk1/pb2bppp/1pp5/3pn2n/3P4/2N1B1P1/PP2PPBP/2RQ1RK1 w - -,d4e5
r1bqrnk1/pp2Bppp/2p5/3p3n/3P4/2NBPN2/PPQ2PPP/1R3RK1 b - -,d8e7
r2r1bk1/5p2/q5p1/1p2p2p/1pp3PP/1Q1PP3/PP3P2/1KNR2R1 w - -,d3c4
r1bq1rk1/pp2npbp/2npp1p1/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,c1e3:a1b1:c1g5:a2a3
r4rk1/1p4pp/p3p3/P1p3b1/2Npq3/1Q6/1P3PPP/R4RK1 w - -,a1e1
2k5/3R4/2PP2r1/3p4/8/1K6/8/8 b - -,d5d4
2R2bk1/3n1ppp/p7/3Pp3/8/4BNP1/5PKP/r7 b - -,a1d1
r3r3/1pBb1pkp/1p4p1/p2P4/8/2N3PP/PP4BK/R7 b - -,b6b5
r2r2k1/1b1q1ppp/p7/1pRp4/1N1P4/P4Q2/1P3PPP/3R2K1 w - -,h2h3
4nr2/3k3p/1p1p2p1/p5R1/2P1KP1P/2N5/PP6/8 b - -,e8g7
8/8/3kp3/3r4/R7/4KP2/3p2rp/3R4 w - -,a4h4
6r1/2r2k2/p3p1pp/1p2P3/3BQPPq/P1P5/1P5P/4RK2 w - -,e4g2
1q1r3r/1p3pk1/p5p1/2NP4/2Rp1bB1/1Q6/PP3PK1/4R3 b - -,h8h2
1k6/r5pp/p1BpQb2/K2P3P/1P2p3/2P5/3q1r2/R7 b - -,d2a2
r4rk1/ppq1ppbp/1np2np1/8/3P4/1BN1P2P/PP2QPP1/R1BR2K1 b - -,e7e5
rnbqk2r/2p1ppb1/pp1p2p1/6Np/P2PPPnP/2N5/1PP3P1/R2QKBBR b KQkq -,f7f6
rnbq1rk1/ppp2pb1/3p1npp/3Pp3/2P1P3/2N1B2P/PP3PP1/R2QKBNR b KQ -,b8d7:a7a5
1r3rk1/6pp/Bp6/3b1p2/P3p3/4P3/2R2PPP/1R4K1 b - -,f8f6
r2kb2r/1pp2pp1/p1np4/4pPp1/2B1P1P1/P1PPN2q/1P3QRP/2KR4 w - -,c4d5
1rbq1rk1/3p1ppp/ppnPpb2/8/8/2N1B1P1/PPP2PBP/1R1Q1RK1 w - -,c3a4
5rk1/p4pbp/1p2p1p1/1P2n3/3R4/1P3B1P/P1r2PP1/4R1K1 w - -,d4d6
r1bq1rk1/1p1n1pbp/p1np2p1/2p5/2PPp3/PP2P1P1/3NNPBP/R1BQ1RK1 b - -,f7f5
rnbqkb1r/ppp3pp/4pn2/3p1p2/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq d6,e1g1
r2qr1k1/1n2p1b1/2p1P1pp/1p1n1p2/p1bP4/P1N2N1P/1PBB1PP1/2RQR1K1 w - f6,f3e5
4k3/3n1pb1/6pp/4P3/2p2P1P/P7/6bB/3RK3 w - -,e1d2
3r1rk1/pp3p1p/5Qn1/7q/3NR3/2P3P1/P4P2/R5K1 b - -,d8d5
r6Q/pp1k1p2/2p4p/1B1Pp3/5q1B/8/P1P1K1PP/RN6 w - -,d5c6
r2qkb1r/1b1n1ppp/p1n1p3/1pppP3/3P1P2/P1N1BN2/1PPQ2PP/R3KB1R w KQkq -,f1d3
r1bqk1nr/p3bppp/2pp4/2p1p3/4P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq -,b1c3
rnbqk1nr/pp3pbp/6p1/3p4/3Pp3/5NP1/PP2PPBP/RNBQ1RK1 w kq -,f3e1
r3k2r/1p1qppbp/p2p1np1/8/2NnP3/8/PPP1QPPP/R1BR2K1 w kq -,d1d4
4rrk1/p4qpp/1p6/n1pRP3/6b1/2P5/PQ4PP/2B1RBK1 w - -,c3c4
r1bq1rk1/ppn1p1bp/3p1np1/2pP1p2/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,a7a6
1q3rk1/4bp2/1p1p1np1/3Pp3/1PP2n2/4QB2/1B1N1PpP/R5K1 w - -,a1a6
1r6/2b1k3/2rpp2p/p1p1p1p1/P1P1P3/1PB2P2/1R3KPP/3R4 b - -,c6a6
2r3rk/1b6/pp2pn2/4q3/1P1NPnp1/P1N1QP2/6B1/2R1R1K1 w - -,g1f2
r4b2/2pn3k/1p1p1p2/pN1PnN2/2P1P2P/1P2B3/P5R1/7K b - -,a8c8
5r1k/pp2b1pp/4p3/4P3/P1pP4/2P1NP2/2bB3P/4R1K1 b - -,c2a4
r7/3nk1R1/1q2p3/p2p4/Pp1P4/3Q1N2/1P1K3P/8 b - -,e7d6
4rr1k/p5bp/1pp3p1/1n1p1q2/3P2p1/4P1P1/PP1B2BP/1R1Q1NK1 w - -,d2c3
8/6R1/5k2/2n4N/3K3P/6P1/2r5/6n1 b - -,f6f5
r1bqk2r/4bp1p/p1p1p1p1/3pPP2/P5Q1/2NPB3/1P4PP/R4RK1 w kq -,f5f6
r1r3k1/pp2ppbp/3pb1p1/2n5/P1PNP1n1/1PB1R1P1/3N1PBP/R5K1 w - -,e3f3:e3e1
5b2/5k1K/5p1N/5P2/4P3/8/8/8 b - -,f7e7
5r2/pp3N1k/1n3bpp/2q5/4BPQ1/8/P4P1P/3R2K1 b - -,f8g8
2kn1b1r/3q1pp1/p4n2/1pp3Np/5P2/2pP2PP/PP2QB1K/R4R2 w - -,b2c3
7k/6np/1p1qp3/p1p2pP1/P4Q2/1BP5/1P1r1P1P/4R1K1 w - -,f4f3
8/1p3k2/1p3P2/2r5/PRn1p2B/2P5/7P/7K b - -,c5h5
3rk2r/pp2ppbp/2n1b1p1/8/8/2N3P1/PP1BPPBP/R2R2K1 b - -,f7f5
6k1/1bq2ppp/3p4/1QpPp3/2P1P3/6P1/5PBP/6K1 b - -,g8f8
rnb2rk1/p1q1bppp/1p1ppn2/2p5/P3P3/2PP1N2/1PQ1BPPP/RNB2RK1 w - -,c1f4
8/5pk1/5R2/4P1Kp/7P/6P1/8/3b4 b - -,d1g4
1r4k1/4q1p1/p4n1p/3bp3/8/brBB2P1/1NQ2P1P/2R2RK1 w - -,c1b1
r4n1k/1pp3rp/p2bPq2/4p1p1/2B1Pp2/5P2/PPR2BPP/3Q1RK1 w - -,d1d5
7R/8/4k2p/4p1p1/3r4/5PKP/8/8 b - -,d4h4
r4rk1/4bppp/4p3/pP1pP3/4nB2/P2B4/5PPP/R1R3K1 b - -,e4c5
r4rk1/4bppp/p2pq3/2nbp3/P3P3/B3QPP1/7P/R2R1BK1 w - -,e4d5
rnb2rk1/1pq1bppp/p2pp3/8/2PN4/1QP3P1/P3PPBP/1RB2RK1 w - -,g2b7
8/4k2p/5pp1/2Bp4/1r4P1/7P/1n3P2/5BK1 b - -,e7e6
2b1r1k1/1p3ppp/1q1r4/2b5/1P3P2/4P1P1/2Q3BP/R1B2R1K b - -,c5e3
1k1r1r2/pp1b1p1B/4p2Q/2bpP3/1q6/P4N1P/1P3PP1/2R2RK1 b - -,b4b6
1qk1b2r/1p4pp/BP2pb2/N1prnp2/P4B2/2P5/4QPPP/R2R2K1 w - -,a6b7
2q1br2/4ppbk/p3nnpp/2N5/1rP5/3B1NBP/RPQ2PP1/1R4K1 w - -,c5e6
8/1r2kp2/R5p1/p1r5/P1p4P/2R1P3/4K3/8 w - -,e2f3
r1bqk2r/p2n1ppp/2pbpn2/1p6/3PP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,e6e5
8/1p1q1k1p/p1p3p1/3p1p2/3P1Q2/2P1P2P/PP4P1/6K1 w - -,g1f2
2r3k1/p5p1/1p2p2p/3nP1p1/P2Q4/7P/1PqN1PP1/4R1K1 b - -,c2c5
r4r2/1pp2p1k/1bn2Pn1/4PQ2/2B1R1pq/Pp6/1P4PP/R6K b - -,c6d4
R7/8/4p3/4kp2/P7/5P2/5PK1/r7 b - -,e5f4
rn2k2r/pb2bppp/1qp1pn2/1p2N3/2pPP3/2N3P1/PP3PBP/R1BQ1RK1 w kq -,a2a4
r1bq1rk1/pp3ppp/2p2b2/7Q/2B1P3/2N5/PPP3PP/3R1R1K b - -,d8e8
rnb2rk1/pp3ppp/2p5/7q/2BP4/5N2/PPQK1PPP/R6R w - -,a1e1
8/1Pb2pk1/N3p1p1/p3P3/1p3P1p/1P5P/5qPK/8 w - -,a6c7
r4r2/1p3ppk/pNp4p/4p1n1/4P3/1P1P3P/1PP3P1/R4RK1 b - -,a8d8
8/5nk1/8/2pP2P1/2P3K1/8/4B3/8 b - -,g7g6
2r1r1k1/pp2ppbp/nq2b1p1/3pN3/3P1B2/P3R1P1/1PPQ1PBP/2KR4 w - -,e3c3
1rb2rk1/p2nppbp/3p2p1/q1p5/1p1nPP2/3PBNPP/PPPQ2B1/3NRRK1 w - -,a2a3
1nk4r/pbp4p/2p3p1/2P1r3/1P1p4/P2B4/1B3PPP/4R1K1 w - -,e1e5
3r2k1/p4pp1/R6p/8/3B4/P5P1/5PKP/8 b - -,d8d4
2b5/8/5k1p/p2p1p2/3P1K1P/8/P5P1/3B4 b - -,c8d7
2kr1b1r/pb1n1p2/4qP2/1Np5/1pp5/4B1P1/PP3PBP/R2QK2R w KQ -,g2b7
r1bqk1nr/pp1nbppp/3p4/1BpP4/8/2N5/PPP2PPP/R1BQK1NR w KQkq -,a2a4
r3k2r/1bqnbppp/pp1ppn2/8/2PNPP2/P1NBB3/1P4PP/R2Q1RK1 w kq -,a1c1
r1bq1rk1/pp2npbp/4p1p1/8/P3PP2/1BN5/1Pp3PP/R1B1QRK1 w - -,b3c2
4k3/p2r1p2/2p1pbp1/1r5p/2pP1P1P/P1P3B1/1PR1K1P1/3R4 b - f3,b5f5
5bk1/1p3p1p/2p3p1/4B3/P2Q1P2/2P3PP/3nq1N1/7K w - -,d4e3
5r2/R3ppk1/6p1/1q1PP2p/2p2Q1P/6P1/5PK1/8 w - -,f4d4
r2q1rk1/p3b2p/5pp1/3pp3/7Q/N1B3R1/PPb2PPP/R5K1 b - -,c2f5
r2qr1k1/1b1n2bp/pp1p2p1/2pP1p2/Pn2PP2/2N2N1P/1P3BP1/R2QRBK1 w - -,e4f5
8/2B4p/1p4p1/p1bk4/6P1/1P1K4/7P/8 w - -,c7d8
rn1q1rk1/pp2ppbp/2p1b1p1/3p4/2PP4/1P3NP1/PB1QPPBP/R4RK1 b - -,h7h6
1q1rn1k1/pb1nbppp/1p2p3/3pP3/3P4/1P1Q1NP1/PB1N1PBP/2R3K1 b - -,d8c8
3r1rk1/3qbppp/p3b3/1pppP3/3P4/1B6/PP1B1PPP/R2QR1K1 w - c6,d4c5
r1b1k2r/4np1p/p1p1p1p1/q1bpP3/5P2/P1N2Q2/1PPB2PP/R3KB1R b KQkq -,a5c7
1qr1k2r/3b1pp1/QBnp3n/3Np1b1/1p2P3/1N5P/PPP3B1/1K1R3R w k -,a6e2
r2q1rk1/1b3pbp/pn1p1n2/N3pPB1/2B5/2N5/PP2Q1PP/3R1RK1 b - -,b6c4
8/p2b2k1/1pn3q1/4p1B1/4p1PQ/2P3K1/5P2/8 b - -,a7a5
r4rk1/p2qbppp/2bppn2/1p6/3P1B2/2PB3P/PP1NQPP1/R3R1K1 b - -,f6d5
r1b1r1k1/pp2qpbp/2pp1np1/2n5/2PNP1P1/2N1BP2/PP1QB1RP/R6K b - -,a7a5
8/4k3/7R/1p1n1p2/2r2P2/P3PP1P/2pK4/6R1 b - -,d5e3
8/5kpp/4p3/6r1/2Rb4/5P1P/8/7K w - -,c4d4
4r1k1/1pq2pb1/2ppr1pp/4n3/p1P1Q1P1/2B3PP/PP3PB1/3RR1K1 w - -,e4d4
2r1r1k1/1bq1bpp1/p2ppn1p/1p6/2nNP3/P1NBBP1P/1PP2QP1/3RR2K w - -,d3c4
3r2k1/5pbp/1R1p2p1/2pPp3/2P1Pn2/r6P/3N1PP1/3R1BK1 b - -,g7f8
8/8/3kp3/p7/3Nqn2/2B3R1/5PpP/2R3K1 w - -,c1e1
8/8/p1R1pp2/P1Np1b2/1k1P1P2/r7/5K2/3B4 w - -,c5a6
2rr2k1/p2qp1bp/1pn1bpp1/1BPp4/Q1PP4/4B3/P3NPPP/3R1RK1 w - -,e2f4
8/p1pbr3/3b1nk1/3P2p1/3P1pP1/1PN2B1r/P2B4/4RKR1 w - -,f3d1
1r4k1/pq3pp1/2n1p2p/4P3/3P4/2N3P1/RP1Q1P1P/6K1 b - -,b8d8
r1bqkb1r/ppp2ppp/2pn4/4p3/3P4/5N2/PPP2PPP/RNBQR1K1 b kq d3,e5e4
3r1k2/pb3p1p/6p1/2pP1r2/2q2P2/2N1Q2P/P5P1/3R1RK1 w - -,f1e1:g2g4
r1bq1rk1/1ppn1ppp/3p1n2/p5B1/1bPN4/P5P1/1P2PPBP/RN1Q1RK1 b - -,b4c5
8/p3bk2/1p5p/2p1B2P/2P1K3/1P6/P7/8 b - -,f7e6
r3k2r/1p1qn1pp/p2bbp2/2p1p3/3pP3/2PP1NNP/PP3PP1/R1BQ1RK1 w kq -,f3h2
2r1rbk1/1b4pp/pp1ppp2/2n4q/2P1PQ1P/BPN1RN2/P2R1PP1/6K1 w - -,a3c5
1r1qr1k1/p1pb1pbp/2np2p1/8/8/2N1B1PP/PPP2PB1/R2Q1RK1 w - -,a1b1
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/2N1BP2/PPN1B1PP/R2Q1RK1 b - -,f8d8
6k1/p5pp/8/2p3Nb/2Pp4/3PQ3/P4PBq/2B2K2 b - -,d4e3
1R6/r4ppk/7p/1B2n3/2pb1P2/P5PP/R5K1/8 b - -,e5d3
8/4k3/p7/1p2r3/PKp3p1/2P5/1P3R1P/8 w - -,f2g2
r1b4k/1pp4p/3p1q2/p2PppR1/2P2P2/2Q4P/PP2B3/2K5 b - -,c8d7
r1b2r2/pp1nq1k1/3p2n1/1PpPp1bQ/P1N1Pp1p/2P3P1/2NB1RBP/5RK1 w - -,c4d6
6k1/1pb4r/p1p1n1r1/2Pp4/1P1Pp1n1/5pBP/1PN5/3R1BKR b - -,c7g3
rnbqkbnr/pp1p1ppp/4p3/8/3N4/8/PPP1PPPP/RNBQKB1R w KQkq -,g2g3
2r1r1k1/p5bp/1pp3p1/2P2pN1/3P4/1P2P3/5PP1/2RR2K1 b - -,g7f6
2b5/1k1p4/4pQ2/2p4p/2P2P2/1P3K2/r5PP/8 w - -,f6e5
5rk1/3n1p1p/p1q1p1p1/1r6/3P4/Q3P3/5PPP/1RR2NK1 b - -,c6b7
2B5/5pk1/7p/8/3n1R1P/6P1/3r1PK1/8 b - -,d4e6
r1b2rk1/1p2q1pp/p1p1p3/5p2/2PP4/1PB1P3/P1Q2RPP/R5K1 b - -,c8d7
3r4/2p2pk1/Bp5p/4p1n1/PP2Ppbq/2P5/2Q2PPN/4R1K1 w - -,e1f1
3rr1k1/pp3ppp/8/2pq4/3Pb3/1P2B3/P2Q1PPP/R3N1K1 b - -,c5d4
8/1p4k1/p1r3p1/2n4P/2B2p2/8/P1P3R1/2K5 w - -,c4d5
r5k1/pp1q1rp1/2p2nQ1/3pB1P1/3P4/P1N1R2P/1nP2P2/R5K1 b - -,b2c4
8/1Q1r2k1/p2r1pP1/1p2p2p/1Pq4P/2P5/1P4P1/R4RK1 w - -,b7a8
5rk1/1pP1q3/p6p/2P1pR2/8/8/PP2Q2P/7K b - -,e7c7
rb1q1rk1/1b1n1ppp/pp2pn2/3p4/Q3PP2/N1PBB2P/PP1N2P1/2KR3R b - -,d7c5
8/p7/1b3k2/3K1P2/2RP2r1/2P5/8/8 w - -,c4c8
r1bq1rk1/3pb1pp/p4n2/1pp1N3/4P3/8/PPP2PPP/RNBQR1K1 b - -,c8b7
1r2r1k1/1q4p1/4p1n1/2p3B1/2B5/2P5/1P3PP1/2Q2RK1 w - -,c1e3
8/8/Q4bk1/P1Bp3p/3P3P/4K3/8/2q5 w - -,e3f3
3k4/7p/pp2p3/3pP3/3r2p1/1K4P1/5P2/7R w - -,h1h7
3r1rk1/ppp2pb1/6pp/4P3/3Q2P1/6NP/PP3P2/R4RK1 b - -,d8d4
2q1r1k1/Q2n1p1p/2p2bp1/2Pp4/3P1N2/2B3P1/5P1P/R4K2 w - -,a1b1
8/p4p1p/3nbkp1/2N5/1r2P3/5PP1/P2N3P/R5K1 b - -,f6e7
3r1rk1/p2q1ppp/n7/2p5/2N5/2P2QP1/P3PP1P/R4RK1 w - -,c4e3
rnbqkb1r/pp2pp1p/2pp1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e4
2r3k1/p1r2pp1/3qp2p/2NnN3/1p1P3P/1P4P1/PB3PB1/2RR2K1 b - -,c8d8
r4rk1/p4pbp/pq1p4/5p1Q/3pb2N/3P4/PP4PP/R1B1R1K1 b - -,e4d3
r1bqk2r/pp3ppp/2nb1n2/3p4/3N4/2N1P3/PP2BPPP/R1BQ1RK1 b kq -,e8g8
r1bqkb1r/pp4pp/4np2/2p1p3/3nN3/3PBNP1/PP2PPBP/2RQK2R w Kkq -,e1g1
5kr1/pp3p2/8/3pP2P/2p5/P1P1KP2/8/7R w - -,h5h6
r6k/1p1rq1bp/2B3p1/p1p1pn2/4N3/1P1R1P2/P4BPP/3RQ1K1 b - -,d7d3
r1bqr1k1/pp1n1ppp/2pb1n2/3pp3/4P3/1P1P1NP1/PBPN1PBP/R2Q1RK1 b - -,a7a5:d8c7
1r2kbr1/3b1p1p/p1pppp2/8/2B1P3/qPN4Q/P1P2PPP/1K1RR3 b - -,a3c5
