8/8/8/2R1p3/k3KPrp/8/8/8 w - -,c5e5
8/2p2kp1/1nr5/p4p1p/2PP1P1P/P5P1/4K3/2R5 b - -,c6c4
r2q1rk1/ppp1ppbp/2n3p1/3n1P2/3P4/P4NB1/1PQ2PPP/2KR1B1R b - -,e7e6
8/1bk2p2/2nBp1p1/1p1pP2p/5P1P/1P2K1P1/P7/4N3 b - -,c7c8
2rqkbnr/1b1p1ppp/4p3/1N6/2nBPP2/3Q4/PPP1B1PP/3R1RK1 b k -,g8f6
r2q1rk1/pp1Nppbp/2p2np1/4Bb2/3P4/1BN5/PPP2PPP/R2Q1RK1 b - -,d8d7
6N1/7k/1r6/8/4K3/6Rp/8/8 w - -,e4f5
r4rk1/1p4pp/p1n1b3/2Rp1p2/3Pp3/1q2P1P1/PP1NBPP1/5RK1 w - -,d2b3
4r1k1/1b3pp1/3p3p/p4Pq1/1p1Q4/1B5P/PPPRrRPK/8 b - -,g5d2
3r1r1k/1p1qb1pp/p1n5/P1p1Pp2/5p2/2PP1N1P/1P2QBP1/R2R2K1 b - -,d7e6
4r1k1/3nr1qp/1p1p2p1/p2PP3/2P5/1P3N1P/2Q3B1/1R4K1 b - -,d7c5
6B1/4k1K1/6P1/8/5r2/8/8/8 b - -,f4f2
3r2k1/2q1ppbp/6p1/1p1n4/1P6/2pP2P1/2N1PPKP/1R1Q1R2 w - -,e2e4
r3r1k1/p1p2ppp/3p4/2nP1q2/2P5/4B3/P3QP1P/R5RK b - -,c5d3
1k1r3r/pp3p1p/3Nb1p1/2P5/1nB1p3/8/PK3PPP/R6R w - -,c4e6
r1bqkb1r/2p2ppp/p1pp1n2/4p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,d2d4
2r3k1/1R4b1/2N3pp/3P4/4p3/7P/5PP1/6K1 b - -,g7f8
8/8/2P5/2K3p1/8/1P2nP1p/7k/8 w - -,c6c7
4Q3/5pk1/4p1p1/2n1PP1p/pr5b/7P/PPBR4/1KB2q2 b - -,e6f5
8/pp6/2p1k2N/3pP3/4n1Pp/P1P4K/1P6/8 w - -,h3h4
4r1k1/p3ppb1/3p3p/2p3p1/6n1/2N1B1Pq/PP2QP1P/4RNK1 b - -,g4e5
1r4rk/1p3Qp1/p6p/2P5/P6P/4P3/1B2K1P1/8 w - -,f7g6
r2qk2r/pp1b1ppp/1b2p3/n3P1N1/5P2/2P1p3/PP4PP/R1BQKB1R w KQkq -,d1d3
5rk1/5pp1/1p4qp/p1npP3/3N4/4R1P1/4PPKP/Q7 w - -,a1a2
r3r3/p2bp1k1/2pp4/q4pQ1/2P3P1/1PN5/P7/4RR1K b - -,g7f7
2k1r3/1p5p/p1n3p1/2pB1p2/2P5/2P4P/P1q1rPP1/R1QR2K1 w - -,c1f4
4r2k/1bp2p1p/pnq3p1/5p2/2P2P2/P4N2/4Q1PP/2R2R1K w - -,e2b2
1n2r1k1/1p3pbp/1p3np1/1bp1N3/3P4/2P3P1/PP2PPBP/R4RK1 w - -,f1e1
2r1nrk1/1pqbbppp/p2pp3/P3P3/4NP2/4B3/1PP1B1PP/R2Q1R1K w - -,c2c4
8/4k3/1p2P3/1P5B/5K1P/6P1/8/4b3 w - -,h5f7
r2r2k1/pp2ppbp/5np1/1N6/3Pb3/4P1P1/PB3PBP/R2R2K1 b - -,e4g2
8/p5k1/5p2/1B6/P6R/5K2/2r5/8 b - -,f6f5
4r1k1/1q2b1pp/2b1pr2/4p3/1p2P3/2N2B2/1PP1Q1PP/R4R1K w - -,c3d1
r4rk1/p1pb3p/1pnq1bp1/3p1p2/3P4/1NPB1N2/PPQ1RPPP/R5K1 b - -,a8e8
r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq -,c4b5
r4r1k/pp2p1bp/2p2qp1/3b1p2/2BP4/1P2P3/PBQ2PPP/2RR2K1 b - -,a8d8
r2qrbk1/pp3ppp/2n2n2/3p4/1P4b1/P1N2NP1/1B2PPBP/R2Q1RK1 w - -,h2h3
r5k1/4rpb1/4p2p/p1RbN1p1/P2P4/6BP/5PP1/4R1K1 w - -,e1b1
8/4KP1k/4Q3/4q2P/8/8/8/8 b - -,e5c7
2r3k1/4qpp1/p2r3p/1pNP1b2/1P1R4/P1Q2P2/6PP/2R3K1 w - -,c1e1
1q3rk1/p2n1pbp/5np1/p1pP4/2B1P3/5N2/5PPP/2BQR1K1 b - -,f8e8
2kr3r/pp1n1p2/2pPp1p1/q6p/5P1P/7R/PPP1Q1P1/2KR1B2 w - -,h3a3
1R1R1b2/5rk1/5pbp/8/8/P2P3P/2P2PP1/6K1 b - -,h6h5
r2r2k1/ppqnp2p/2p1bbp1/3pNp2/1P1P1P2/2N1PB2/P1PQ2PP/R4RK1 b - -,f6g7
8/5kp1/r7/7p/p2R1P2/P5KP/6P1/8 w - -,g3h4
r2qk2r/pb1nppbp/2p2np1/1p2p3/3P4/P1N1BN2/1PP1BPPP/R2Q1RK1 w kq -,d4e5
4n3/5pk1/6p1/pp5p/4p3/PBP1P1PP/5P2/5K2 b - -,e8d6
rnbq1rk1/ppp1ppbp/3p1np1/8/3P4/5NP1/PPPNPPBP/R1BQ1RK1 b - -,c7c6:b8c6:b8d7:d6d5
3k4/3n3p/1p1R1p2/1P1BpP2/1r2P3/8/6K1/8 b - -,b4d4
6R1/8/b7/k7/5N2/r5p1/3K4/8 w - -,g8g5
r3r1k1/1p3ppp/1pnp1qb1/pNn5/P1P1P1P1/1P2BP1P/6B1/R2Q1RK1 b - -,a8d8
8/7p/2R3pk/6b1/4ppP1/6K1/7P/8 w - -,g3g2
r2qk2r/1b1n1ppp/p1n1p3/1pb1P3/8/P2B1N2/1PQN1PPP/R1B2RK1 w kq -,d2e4
8/7Q/3pk1K1/P3p3/4P1P1/5P2/3q4/8 b - -,d2f4
6k1/2R5/5pp1/4p2p/7P/3KB1P1/r4P2/8 w - -,c7a7
1r3rk1/pp3pbp/2nqpnp1/3p4/3P4/1QN1P3/PP1BBPPP/R4RK1 w - -,f1c1
R7/pb3pkp/1p6/3p1B2/8/2P3P1/P4P1P/6K1 b - -,b7a8
rnb1k2r/pp3ppp/4pn2/2bp2B1/Nq2P3/2PB4/PP3PPP/R2QK1NR b KQkq -,b4a5
rnbq1rk1/pp3pbp/3p1np1/2pP2B1/4P3/2NB4/PP2NPPP/R2QK2R b KQ -,a7a6
r2q1rk1/p2b1pb1/1p1p1np1/n1pPp3/2P1PP2/1PN3p1/PBQN2BP/4RRK1 w - -,h2g3
2krnb1r/ppqn1ppp/2p1p3/3p2P1/2PP3P/1P2P2B/PB2QP2/RN2K2R b KQ c3,c7a5
8/ppbPr3/4P3/5k2/PPBB2p1/8/6K1/8 b - -,b7b6
r4rk1/1bqnppbp/p2p1np1/2p5/P2PPP2/2pBBN1P/1P1N2P1/R2Q1RK1 w - -,b2c3
rnb2rk1/pp2q1bp/2Pp1np1/5p2/2PNp3/1PN3P1/PB1QPPBP/R4RK1 b - -,b7c6
6k1/pp1q1p2/6p1/4P3/1P1n4/PbQ3PP/2p2PB1/4R1K1 w - -,g1h2
rnbk1b1r/pp1n2pp/2p2p2/4p3/2P1P3/2N1BN2/PP3PPP/R3KB1R w KQ -,a1d1
2r3r1/pp1np2p/3pkpp1/3R4/1P2PP2/2P1N3/1PK3PP/5R2 w - -,c2b3
8/p6p/1p2pk2/3p2NK/1P6/6P1/2b2P1P/8 w - -,h5h6
2r2rk1/pp3ppp/q2np3/2np4/P5P1/2PP3P/2P1QPB1/RR2B1K1 w - -,a4a5
3q1r1k/3r1p1p/3pb1p1/p1nNp1b1/2P1P3/NP3B2/2Q2PPP/3R1RK1 b - -,f7f5
rnbqkb1r/pp2pp1p/2p2p2/3p4/2PP4/4P3/PP3PPP/RN1QKBNR b KQkq c3,e7e6:h7h5
4r1k1/pR3pp1/8/8/2PK4/5B1R/r7/8 w - -,f3d5
r4r2/1n2ppkp/1q3np1/1Np5/P3b3/1Q2PNP1/5PBP/2RR2K1 b - -,b7d8
3qnbk1/2pn1p2/pr1p4/1p1P1QPp/3BN3/PP5B/2P4P/4R1K1 b - -,d7e5
8/3k4/1p1r1pp1/p3q2p/P1PpP3/1P1Q3P/3R2P1/6K1 b - -,h5h4
3q2k1/r4pn1/1p2R2Q/3pn3/6N1/P1p3P1/7P/R5K1 b - -,e5g4
8/1p6/p3Bk2/5P2/4n1p1/7r/P2K4/6R1 w - -,d2e2
r3qrk1/1bpn1ppp/1p1ppn2/p7/2PP1B2/PPQ1PN1P/4BPP1/R3K2R b KQ -,f6e4
1r6/4kp2/2bppn2/pp2n3/4P3/P1NBR2P/1PP3P1/1K6 w - -,g2g4
7r/p4kn1/4p1p1/n2pP3/Ppb5/4P1P1/1P3P1P/R1R2BK1 w - -,f1c4
8/1pp3p1/p2p1n2/3P1p1k/2P2P2/1P4KP/P4N2/8 b - -,b7b5
r1bqk2r/pppn1p2/5n1p/2b1p1p1/4P3/3B1NB1/PPPN1PPP/R2QK2R b KQkq -,f6h5
8/1p2kpr1/p1pR2p1/P1P1P2p/1P2PP1P/5K2/8/8 b - -,g7g8
r1bq1rk1/1p2ppbp/p2p2p1/2p5/2P1PP2/P4N1P/1P1QN1P1/2KR3R b - -,b7b5
r1b1B1k1/ppn3bp/5pp1/2p5/8/2P2N2/P1R2PPP/4K2R w K -,c2e2
8/R7/6k1/1P2Pp1p/P4Pp1/3K2P1/7P/2r5 b - -,c1h1
rnbr2k1/pp3pb1/2p2npp/4p1B1/2P1P3/2N2N2/PP2BPPP/R4RK1 w - -,g5h4
2k2r2/pp6/2p1p3/2Pp2q1/P2Pn3/5NP1/1P2Q2P/4R1K1 b - -,g5g7
3q2k1/pp4bp/3p2p1/1Rr3Pn/Q1P1B3/3PP2P/P7/5RK1 w - -,b5c5
r1bq1rk1/ppp1n1bp/3p2p1/3Np2n/1PP2p2/3P1NP1/P2BPPBP/1R1Q1RK1 w - -,d5e7
8/1pkr4/p1n5/3r3p/3pRP2/BP1R1K2/P4P1P/8 w - -,a3b2
8/6p1/p2k4/2p5/PPP2PP1/3N4/1K1P4/5r2 w - -,b4c5
8/8/2nk1pB1/2npp3/7P/5N2/5K2/8 b - -,e5e4
rnn1k2r/pp4p1/2p1B3/5p1p/3P3q/8/PP2NPP1/R2Q1RK1 b kq -,c8d6
2r1n3/3r1p1k/2p1p3/Np6/2PP2PP/PP6/4R1K1/3R4 b - -,d7a7
8/5p2/7k/R7/7K/8/8/6r1 w - -,a5a6
4r1kr/5n1b/p1pB1pN1/2pp1PpQ/P7/1PqPP3/2P1K3/2R4R b - -,f7d6
r1b3qk/2p2Rpp/1p1p4/2nNpQ2/p1P5/P3P1P1/1P4BP/7K w - -,f5f3
3r1rk1/pb1nq1pp/1p6/2p1pp2/B1P5/P1Q1PN2/1P3PPP/K2R2R1 b - -,e5e4
2r1r1k1/3b3p/5pp1/1p1P4/4nQ2/1P3N1P/P5P1/6K1 w - -,f3d4
4r3/5ppk/p5p1/1p2q3/P3n3/1P1RN2P/2Q2PP1/6K1 b - a3,b5a4
8/1p1bk3/r3p1pp/p4p2/Pn2NP2/3n2PP/3R2B1/3R3K w - f6,e4c3
r1b3k1/pp1n4/3p4/2p2B2/5P2/1P1P4/P1PN1P1P/b4RK1 w - -,f1a1
8/8/p2k1p2/2p1p1p1/P1PbP1P1/1K3P2/3B4/8 b - -,d4f2
2rq1k1r/1p1bb3/3p1pB1/2nPp1pp/8/4NPBP/6P1/1QRR2K1 b - -,b7b5
8/5k1p/p1np4/3p4/PP1B3r/2K3RP/8/8 w - -,g3d3
4r2k/p1p3p1/3p3p/R3n3/8/2PB4/P3PP2/6K1 b - -,e5d3
r3r1k1/6pp/pp6/3p1p2/P1nPp3/2P1P3/R4PPP/1R2B1K1 w - f6,h2h4
2r3k1/4R2p/6pb/3pBp2/2b2P2/6P1/1P1RP2P/6K1 b - f3,h6f8
8/8/3p2k1/p1p4p/K1P2p2/P7/1P1r4/7R w - -,h1b1
r1b1rbk1/1p3pp1/p1n2N1p/4p3/8/3BPNB1/PP3PPP/2RR2K1 b - -,g7f6
4r3/pbqp1Npk/2n1P2r/7Q/5P2/1N2b3/PPP3P1/R4R1K w - -,f7h6
rnb1k2r/2q1bppp/p2p1n2/1p1P2B1/3N1P2/5Q2/PPP3PP/2K1RB1R w kq -,g5f6
2r2bk1/2r2p2/p5p1/3bP2p/1p1BpP2/1NP1R2P/P5PK/2R5 b - -,a6a5
8/4k3/K7/p7/P1N5/8/8/4b3 w - -,c4a5
r5k1/1b2b1pp/8/p1p2r2/R3Np2/3P4/PPP3PP/5RNK w - a6,g2g4
8/2P5/1n5p/1N4p1/8/4k1P1/4P2P/6K1 w - -,b5d6
r1b2rn1/6kp/p2p2p1/1p1Pp3/PPp1P2q/2P2P2/7N/1NRBK1Q1 w - -,e1d2
r2qk2r/pp1nbppp/2p1p3/6B1/3Pn3/3B1Q1P/PPP2PP1/R4RK1 w kq -,g5e7
3rqrbk/1p2p1b1/p1p3pp/P3P3/1PP2p2/5PPB/1BQ2R1P/2R3K1 b - -,g8h7
r4rk1/pb2qppp/n1n1p3/2ppP2Q/2P5/1N2B1P1/PP3PB1/R3R1K1 b - -,d5c4
2rb1rk1/1b4p1/1n2p2p/p2nPp1q/2pP4/P1P2N1N/3B1RPP/RB1Q3K w - -,h1g1
r3k2r/ppp1bppp/8/3Bn2b/8/5P2/PP2N1PP/R1B2RK1 w kq -,d5b7
1qrnnrk1/p2b2b1/3p1pp1/1p1Pp2p/1P2P2P/3B2N1/P3QPPN/R1B1R1K1 b - -,d8f7
1k1r3r/2q2pb1/p2pb1pp/Pp4P1/2p1PP1R/2P1QB2/1P1N1KP1/R7 w - -,g5h6
3qr1k1/1br2pp1/5n1p/pppPp3/5P2/1P1N2PP/P1Q1R1B1/4R2K w - -,e2e5
r1bq1rk1/1p1n2bp/3p2p1/p1nPp3/4Pp2/1PN2P2/P2QBBPP/R1N2RK1 b - -,g6g5
r2q1rk1/p2bnppp/1b2pn2/3p4/NP6/P3P1N1/1B2BPPP/2RQ1RK1 b - -,d7a4
1r2r1k1/5ppp/3p1n2/p7/PpRB1Pqb/1P4N1/2P3QP/5RK1 b - -,d6d5
8/8/5pk1/1bBp2p1/1P1P3p/7P/1r3PP1/R5K1 b - -,b5c4
r2q1rk1/3nppbp/3p2pn/2pP4/4PP2/2NQBN1P/PP4P1/R3K2R b KQ -,d8b8
rn1qk2r/p3bpp1/2pp3p/1p6/3PN1b1/5N2/PPPQBPPP/R3K2R w KQkq -,d4d5
r1b1k2r/1p2qppp/p1n1p3/2npP3/5P2/2N2N2/PPPQ2PP/2KR1B1R b kq -,g7g6:c8d7
6k1/4pp2/3p2p1/3P4/1pK1Pq1p/1P3P2/6P1/5Q2 w - -,c4b4
2r5/p3rp2/1nk1p1p1/1p3pN1/3P4/2P4R/P3RPPP/1K6 b - -,b6d5
4k1r1/2n3P1/3R4/3P1N2/7K/8/8/8 w - -,h4h5
1R6/8/p2p1p1p/6k1/8/6q1/3Q2P1/5K2 b - -,g5h5
r1b3k1/p3Rrpp/8/1p1p1p2/1P1PnP2/2P2NP1/P2B3P/2R3K1 w - -,e7e8
r4rk1/1p1nbppb/1qp1p2p/p7/2P1P3/PP6/1B1NBPPP/R2Q1RK1 w - -,d1c2
4r3/1b6/p4kRp/3P1P1P/1p6/1P6/P1r1BK2/4R3 b - -,f6f5
rn1qkb1r/pp2pppp/2p1bn2/3pN3/2PP4/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,d5c4
1Q6/2r3kb/3q1p1p/3P3P/5P2/4p1P1/P3B2K/4R3 b - -,h7e4
r6k/p4rpp/2q2p2/1pnbpN2/1P4Q1/P1P5/5PPP/3RR1K1 w - -,b4c5
8/1K6/5p1p/pBk1pPp1/1b2P1P1/1P5P/P7/8 w - -,b5c6
r1r3k1/3qppb1/p5pp/1P1pPb2/2nP1B1P/3B4/NP3PP1/1R1Q1RK1 b - -,f5d3
1r1b1rk1/q2n2pp/5pb1/P1Np4/1QpP4/P4PN1/6PP/2R1BRK1 w - -,b4a4
2r3k1/pp1q1pb1/1r2p1p1/3p3P/3P2P1/1P2Q3/NR6/1K1R4 b - -,e6e5
6r1/4r2k/1ppq3p/p2b1pp1/3Pp3/4P1P1/PP1Q1PBP/R1R3K1 w - -,c1e1
r1bqrbk1/2p2pp1/p2p1n1p/np2p3/4P3/1BPP1NN1/PP3PPP/R1BQR1K1 w - -,b3c2
r4rk1/2pnqppp/pp1b4/3b4/1P1Pn3/PQ1BPN2/R4PPP/2B1R1K1 w - -,b3d5
rnbq2k1/pp3p1p/3p2p1/2pP4/1r3B2/1P4P1/P2NPPBP/b2Q1RK1 w - -,d1a1
8/3p1pkp/3p2p1/1R3n2/P4B2/2b3PP/5PK1/8 b - a3,f5d4
r4bk1/1p3p2/2n3p1/4p1Pp/1P2p3/4N2P/p2B1P2/K1RB4 w - -,e3d5
4k3/2q2p2/p3p1p1/8/1p1Q4/1P2P1P1/P4PP1/2rR2K1 b - -,c1d1
8/1b6/1P1K4/P7/8/4k3/8/8 w - -,d6c7
8/8/6P1/5K2/3p2Rp/2k4P/8/6r1 b - -,g1g4
6k1/p4p2/7R/4b1p1/4P1P1/5P2/r4B1P/5K2 b - -,a2a1
r2q1r2/1bppbpkp/p2n4/1p2N1p1/3P4/1QP3B1/PP1N1PPP/R3R1K1 w - -,e5d3
4rrk1/2p3bp/1p1p1np1/5p2/PpNP1B2/2P1P2P/6P1/4RRK1 w - -,c3b4
r1bq1rk1/1p1nppbp/p1p2np1/6B1/P1BP4/1QN1PN2/1P3PPP/R4RK1 b - -,d7b6
8/3b1kp1/4p3/pp1pP1Pr/r2B4/PRP1K1P1/2PR4/8 b - -,h5g5
R5k1/2r4p/6p1/1p3P2/6P1/P1p1PK2/1r6/2R5 b - -,g8f7
7r/5pR1/4p2P/p1p1P1K1/2Pp1P2/3P4/1k6/8 w - -,h6h7
2rq1rk1/pp1bp1bp/n1pp2p1/4P2n/2PP4/1P3NP1/PBQN1PB1/R3R1K1 b - -,d7f5
r3r1k1/1q3ppp/4p3/1pbpP3/p1nN1P2/P1P2NP1/1P2Q2P/2R2RK1 w - -,h2h4
8/1Bp2pk1/3p4/p1p4p/2P2PpP/1P1Rr1P1/P2Kn3/8 b - -,e3d3
1k2q2r/8/p4p2/P3p3/2P1Pnpr/1PBPRQ1P/5P2/5K1R w - -,f3d1
4r1k1/1pp5/p1n1q1p1/4pp2/3PQ1p1/3P2P1/PP3PKP/R3R3 w - -,d4d5
5r2/pp2q2k/6pp/2pP1r2/2Pbp2P/3N2P1/PP2Q1K1/2R2R2 w - -,f1f5
2r4r/1p1qp1k1/3p1pp1/p1nP3p/P2Q2PP/1B3P2/1PP5/1K1R2R1 w - -,b3c4
2r1brk1/1p2bpp1/1qpn1n1p/p2pN3/P2PPN2/3B1P1P/1PQ2BP1/3RR1K1 b - -,c8c7
2rqr1k1/1p2ppb1/p1np2pp/2n5/P1P1P3/1PN2P1P/4NBP1/2RQ1RK1 w - -,c1b1
r3r1k1/1pq2ppp/2pn4/p1nPpP2/2PbP3/P1NB4/1P1BQ2P/2KR1R2 b - -,f7f6
4b3/8/N2k4/1p4P1/2p5/n7/1K6/5B2 w - -,b2a3
r3r1k1/4nppp/Pn1q4/2Np1QBP/1p1P4/b5P1/5PB1/R2R2K1 w - -,f5g4
2rq1rk1/pb2npp1/1p2p2p/3pN3/3Pn3/P3P3/1P1N1PPP/1BRQ1RK1 b - -,c8c1
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq e6,f1e2
2r1r2k/q2Nnpbp/1pn1p1p1/p2p2B1/3P1QP1/2PN3P/PP3P2/3RR1K1 w - -,d3e5
r1br2k1/pp3ppp/5n2/1N1pq3/8/1P2P3/P1Q1BPPP/R1R3K1 b - -,c8g4
r2q1rk1/ppp2ppp/8/2b5/4p3/3Q4/PPP2PPP/R1B2RK1 w - -,d3e4
3rrnk1/R1b2ppp/3q1n2/1ppNp2b/4P3/BPP2PPP/4Q1BK/2N2R2 b - -,f6d5
8/5pkp/3qp1p1/4p3/br2P3/2Q2P1P/P5P1/2R2BK1 b - -,b4d4
3r4/pk3p2/1qp2P1r/3B1Q1p/3P4/8/PP5P/2R2R1K b - -,d8d5
3rr1k1/ppp2pbp/8/2q2p2/4p3/1PPnP1PP/P1Q1RPB1/1N1R2K1 b - -,d8d6
8/6k1/1R6/3K2p1/1P4P1/1r5P/8/8 b - -,b3h3
r1bq1rk1/1p2bppp/2p2n2/p2N4/P2NpB2/6Q1/1PP1BPPP/3R1RK1 b - -,c6d5
rn3rk1/pppqppbp/4b1p1/3p4/3P1BP1/2N1PP2/PPP4P/R2QKB1R w KQ -,d1d2
r2q1rk1/ppp2p2/2nb1n1p/4p3/3pP3/1P1P1NNP/1PPQ1PP1/R4RK1 w - -,d2h6
b2r4/3rk1pp/1p1p1p2/1Nn1pPP1/2P1P2P/P3KB2/3R4/3R4 b - -,a8c6
8/p5pp/1pkp1p2/4r3/1PPKP3/P5P1/5R1P/8 w - -,f2f5
4r3/ppQ2p1k/1n4pp/8/1N6/5P2/q5PP/5RK1 b - -,a2e6
8/8/8/p2pRpk1/Pp1P3p/1r5P/5P1K/8 w - -,e5d5
r2qkb1r/pp1bpp1p/5np1/1B1pP3/P7/2N1BP2/1P4PP/R2QK2R b KQkq -,a7a6
1qrrb1k1/1p2bppp/p2ppn2/8/2P1PPn1/1PN5/PBN2QPP/3RRB1K w - -,f2f3
r2qk2r/bp3pp1/p1npb2p/3Np3/1PB1P3/2P2N2/P4PPP/R2Q1RK1 w kq -,d1d3
rn1q1rk1/pp2ppbp/2p2np1/3p4/5Pb1/3PPNP1/PPP3BP/RNBQ1RK1 w - -,d1e1
r2r2k1/pp2ppbp/q5p1/8/1P6/1Qn1P3/P3NPPP/1R3RK1 w - -,e2c3
2q1k2r/1r1bbpp1/pp1p1nn1/2pPp1Np/P1P1P2P/2N2PP1/1P1B4/R2QKB1R w KQk -,f1h3
8/2pnk3/1p1p3p/3Pp1pP/1PP1P1P1/R5K1/8/8 b - -,b6b5
8/8/R6p/8/3b1k2/4p3/1r2B1K1/8 w - -,g2f1
8/5k2/5p2/3K1B1p/5p2/5P1p/6P1/8 w - -,f5h3
r1b2rk1/1p1nqppp/p1n1p3/2bpP3/3N1P2/2N1B3/PPP2QPP/1K1R1B1R b - -,c6d4
8/8/p5Q1/Pp3r2/2p1kp2/8/1PP1K3/8 w - -,c2c3
4rk2/pp3p2/2p1q2p/3bP1r1/3P1Q2/2P3RP/2B2RP1/7K w - -,c3c4
r1bqn1k1/ppp1nrb1/3p4/P2Pp1pp/2P1Pp2/2N2P2/1P2BBPP/R2QNRK1 w - -,c4c5
1r6/pP2R3/Pb6/1k3p2/4p2p/7P/4KPP1/8 w - -,e7e5
8/1p5p/1P4p1/2b5/4pPk1/2B1P3/1r6/R3K3 b - -,b2b6
8/8/R6p/2pkpp2/2r5/6P1/4K2P/8 w - -,a6h6
8/pp6/4k1p1/8/2P1pp2/1PNn4/P3KPP1/8 b - -,e6e5
8/p1k3bp/P1n1r3/1BPRpp2/4p3/4B1P1/5PKP/8 w - -,e3d2
br1q2k1/N2r1pbp/1p2nnp1/2p1p3/4P3/1QNPB1P1/1P3PBP/R2R2K1 w - -,b3a4
6r1/5p2/1k1nb2p/p2p1p2/2pP4/2P2BP1/2K1PP1P/R4N2 w - -,f1e3
r3kr2/p3p2p/3p2p1/qppP4/b7/2P2BP1/PQ2N2P/1R2K1R1 b q -,f8f3
8/5kp1/PR2p2p/3rpp2/1b6/3P1NP1/5P1P/6K1 b - -,b4e7
r4r2/pppb1k2/7R/4pP2/3BR3/2P3P1/P1P5/2K5 w - -,h6h7
