8/7p/4kpp1/ppr5/3KP1PP/PR6/8/8 b - -,e6d6
8/8/5p2/1q1B2p1/4P3/p4k2/P1KR3P/8 b - -,f3e3
1r6/8/p2p3r/2p1p2p/k1P1P3/P2R2P1/4K3/7R b - -,b8b2
4bk2/1p6/5p1p/5Np1/pKP5/5P2/P2R2PP/1r6 w - -,b4a3
7k/4b1p1/2p1q2p/p3P2P/Pn3p2/1r3B2/1BR1KP2/2Q5 w - -,c2d2
r4rk1/pbqn1pbp/1p4p1/2pP4/8/2P1BN2/P2QBPPP/2R2RK1 w - -,e3f4
2rq1rk1/1b2bppp/p2pp1n1/1p6/3NP3/1PN1BP2/1P1Q2PP/2RR2K1 w - -,c1a1
r2q1rk1/pb1p1ppp/1pn1pn2/8/1bP5/2NBP3/PPNB1PPP/R2Q1RK1 b - -,b4e7
3k2r1/7R/4b3/4K3/1B6/6P1/7P/8 b - -,e6b3
3rr1k1/1pq2bbp/n1p3p1/p5N1/2PpNpP1/PP1P3P/3Q1PB1/R4RK1 w - -,g5f7
2rbk2r/2qn1pp1/p2p1n2/1p1Pp3/7p/1N2BP1P/PPP2QP1/1K1R1BR1 w k -,c2c4
5k2/2q2p1p/4p2Q/2P1Pp2/8/3r3P/6PK/1R6 b - -,f8e8
r5k1/1r3p1p/p4np1/1p1nP3/4B3/2P2P2/1P2N1PP/R4RK1 b - -,f6e4
r2nk2r/p3q3/2pp4/1p2p1b1/1P1PP1b1/1NPB1pPp/P1QN1K2/R6R b kq -,d8e6
rnb1kb1r/p2ppppp/1q3n2/P1pP2B1/1p6/5N2/1PP1PPPP/RN1QKB1R b KQkq -,b6b7
2r4k/1p3qp1/3npp1p/p7/Pb1P1P2/1P1QN1P1/1B5P/5RK1 b - -,f7h5
4k2r/p1pbbppp/2p5/2NpP2q/1r6/1N2BP2/PPP3nP/R2QR1K1 w k -,g1g2
r4rk1/pp1qp1bp/2pnbpp1/8/2PP1P2/4BN2/PPQ1B1PP/R4RK1 w - -,a1d1
8/5k2/5p2/R7/5r2/4R3/2K2n2/8 b - -,f2g4
8/r4p1k/2R1p1p1/1r2P3/1P5P/1KB3b1/P7/3R4 w - -,a2a4
r1bq1rk1/1p1nb1pp/5p2/p1npP3/8/1N3N2/PPB1QPPP/R1B2RK1 b - -,b7b6
2r3k1/r2nbp1p/pp1ppnp1/8/2P2P2/1PN1P1N1/PB3P1P/R2R2K1 b - -,f6e8
r1b1k2r/ppq3pp/2nbpn2/3p4/3P4/3B1NP1/PP2NP1P/R1BQ1RK1 b kq -,e8g8:c8d7
3r1rk1/p5p1/2pn1q1p/3pR2P/3Q1p2/1PP2B2/1P2RPP1/6K1 b - -,a7a5
r1bqk2r/pp3pp1/2n1p2p/3pP3/2pP4/2P2N2/P1PQBPPP/R3K2R w KQkq -,h2h4
3r2k1/pppr1nbp/1n4p1/3P1p2/3B1N2/1PN3P1/P2R1PKP/3R4 b - -,g7h6
1r3nk1/2p1q1b1/br4p1/3pP2p/P2P4/6N1/2BB1PP1/1R1QR1K1 w - -,d1f3
r4rk1/pp2q1pp/2pnbn2/3pNp2/3P4/2NBPP2/PPQ3PP/4RRK1 w - -,g1h1
8/7p/1nk1pbp1/2p2p2/5P2/2rB3P/3BKP2/1R6 w - -,d2c3
1r2k2r/4np2/4b1p1/1p2b1B1/1PP1p2N/1K6/3RBP1P/6R1 b k c3,e7c6
6r1/5r2/4RPP1/1pk3K1/3p4/2pP4/8/5R2 w - -,g5f5
3r4/2n2k2/2R3pp/1pN1bp2/1P6/3Pp1PP/4P3/4BK2 w - -,c5b7
r1q1k2r/1p1bnpp1/4p2p/3pP2P/3N1PP1/2PBn3/P3Q3/1R3RK1 w kq -,e2e3
1rq2rk1/1p3pbp/3p2p1/P2np3/4N3/B2P2P1/4PPb1/1R1Q1RK1 w - -,g1g2
r4bk1/1q3ppp/pp4r1/5Q2/P2B1R2/2PR4/1P4bP/2N3K1 w - -,d3g3
br2k2r/3nbp1p/1q2p1p1/p3P3/1p2pP2/2P3Q1/PPNBB1PP/R4R1K w k -,c2e3
r2qkb1r/pbpn1ppp/1p2pn2/3p4/3P4/1P1BPN2/P1PN1PPP/R1BQK2R w KQkq -,c1b2
8/6kp/2B3p1/5p2/3Q1bq1/1P6/3R4/5K2 b - -,g7h6
rn1qkb1r/pb2pp1p/1p1p1np1/2p5/3P1B2/2P1PN2/PP2BPPP/RN1QK2R w KQkq -,h2h3
r1bq1rk1/pp4bp/2pp1n2/2n1pp2/2P2P2/2NP2PP/PP2N1B1/R1BQ1RK1 w - -,b2b4
r1q2r2/5pb1/pnk1p1p1/Rn1pP1Np/1PpP1B2/2P4P/2BQ1PP1/R5K1 w - -,g2g3
2r2rk1/1p2nppp/p2b1p2/3p4/2qP4/P1N1P1Pb/1P1QBP1P/R1NR2K1 b - -,c4c7
6k1/2p2pb1/4p2q/p2bPpR1/P1nB4/2P2NQP/5RPK/1r6 b - -,g8h8
5k2/3n4/2B2pp1/B1b1p2p/8/4K1P1/7P/8 w - -,e3e4
8/p1Bb4/6k1/3n2p1/P2P2P1/1P5r/1K6/6R1 w - -,c7d6
2q3k1/Qbp2ppp/3p1b2/1P1P4/2N5/4B3/5PPP/6K1 w - -,b5b6
2Rr2k1/1Q3ppp/4p3/4P3/6q1/5N2/1PP2PK1/8 w - -,g2f1
8/p1R1b2p/1p2k1p1/4P3/5PP1/1P1rB3/5K1P/8 b - g3,e7h4
r2q1rk1/p4ppp/B2bp3/4N3/1n1P4/8/1P2QPPP/R2R2K1 b - -,d8e7
4qrk1/p2bp1bp/P2p1np1/r4p2/3N4/1Q4P1/PB2PPBP/1R3RK1 b - -,e7e6
2kr3r/p5p1/1p4p1/2b2pP1/2Pn3P/1PBB1p2/1PK5/3R3R w - -,c2b1
5B2/7p/8/1p3k2/1P3r2/5PK1/7P/8 b - -,f4c4
r2q1bk1/1b3pp1/3p3p/pBrPp3/Q1N1P3/P7/3R1PPP/3R2K1 w - -,a4b3
r1b2rk1/pp1np1b1/3p1q1p/2pPP1p1/2B5/5NB1/P1PQ1PP1/1R3RK1 b - -,d7e5
2r3k1/6p1/1R2p2p/3p1p2/5P2/r1P1P3/5RPP/6K1 b - -,g8f7
8/3nk1pp/p1R5/1p1B4/3P4/7P/P4PP1/6K1 w - -,c6a6
rnb1kr2/ppq3pp/2p2n2/4b3/3Pp3/1BN5/PPP2PPP/R1BQ1RK1 w q -,d4e5
rq2k2r/pb1p1pp1/1pn1pn1p/6Q1/2P5/5NP1/PP2PPBP/RN3RK1 w kq -,g5g7
6rk/ppr2pp1/2n1p2p/3pP2P/P2P2R1/qP1R1Q2/3B1PP1/6K1 b - -,a3e7
8/6pp/5k2/2n5/2N2PP1/4K3/7P/8 b - -,h7h6
4r1k1/ppn3p1/1b2q1p1/3p4/5P1p/2P2Q2/PP1B2PP/2N2R1K w - -,c1d3
3rr2k/7p/6p1/n4p2/1p3B2/1Ppn2P1/P3R1BP/5R1K w - -,e2e8
2r5/5p2/3n3p/1pp1pPk1/pP4P1/P2B1K1P/2P5/1R6 w - -,h3h4
2kr1b1r/ppp2ppp/8/8/5n2/1NP5/PP3PPP/R1B2RK1 b - -,f4d3
r4rk1/1b1n2bp/pp2p1p1/3p1qB1/3P4/1PN2N1P/P2Q1PP1/R4RK1 w - -,g5h6
r2qk2r/pp3ppp/2pbpn2/8/3P4/1P1Q3P/P1P1BPP1/R1B2RK1 b kq -,e8g8
2rr2k1/4qp2/p1pbbnp1/1p3p1p/3PP3/1NN2B2/PPQ2PPP/3RR1K1 b - -,f5e4
8/5pk1/2r2p2/p2ppPb1/Pp6/6Pp/1PP1R2P/5RK1 b - -,d5d4
8/5k2/R7/8/5PK1/2r5/8/8 w - -,g4g5
1rbq1rk1/p3ppbp/2np1np1/1pp5/4P3/2PP1N1P/PP3PP1/RNBQRBK1 w - b6,a2a3
r3rbk1/pbq2p1p/5p2/2p5/1p2P3/6P1/PPQN1PBP/R2R2K1 b - -,c7e7
r2r4/5k2/3p4/p1pn1p2/2N1pP2/1P1bP3/P5KP/3R2R1 w - -,g2f2
b4r2/3rqpbk/1pp3pp/p3n3/P1BNPp2/2P2P2/1PN1Q1PP/3RR2K w - -,c2a3
4r1k1/pp3pp1/3b3p/n2P4/q1P1Q2N/7P/1B4P1/2R3K1 w - -,e4g4
5r1k/1R4b1/1p5p/2p1p1p1/8/2BP1PP1/r3PK2/5R2 b - -,f8d8
2r1rnk1/bp2qpp1/p1pp4/3P4/1P1P1P2/P1N1P1QP/1B5K/4R1R1 b - -,f7f6
8/2R2rpk/p6p/1pN1np2/3Pp2P/4P3/1P3PP1/6K1 w - -,c5a6
8/4Rpp1/8/k6p/p2K1P2/6rP/8/8 w - -,e7f7
5r1k/p1p4p/2p5/8/5p2/1P3RP1/P5KP/8 b - -,f8d8
6k1/1r1b1pb1/2p5/3pp2p/3P3B/1PR1P3/1rB2PP1/3R2K1 b - -,e5d4
3nr1k1/ppp1q3/2bpp1p1/5rN1/2P1PP2/1P1Q2P1/PR4B1/5RK1 b - -,f5g5
6r1/p6k/7p/1P2Q3/P1p5/5PPK/7P/3q4 w - -,e5e7
rnbqkbnr/pp1ppp1p/6p1/2p5/4P2P/2N5/PPPP1PP1/R1BQKBNR b KQkq -,f8g7
rnbq1rk1/4ppbp/p2p1np1/1PpP4/P3PP2/2N2N2/1P4PP/R1BQKB1R b KQ a3,c8b7:b8d7
8/3b1pk1/5p2/1P3P1p/4P3/p1NR2P1/P1r5/6K1 w - -,d3d7
6k1/3r3p/2pqr3/1p6/4p3/1P2QpPP/2R2P2/5BK1 w - -,c2a2
r4rk1/1p2ppbp/3p1np1/3P2B1/1qP5/1P6/2Q1BPPP/1R3RK1 b - -,f8c8
r5k1/5pp1/4qb1p/2p1p3/r1P1P3/5NPP/PRR1QP1K/8 w - -,h2g2
8/5r2/6R1/1k1p4/5P2/2P5/7P/6K1 w - -,g6d6
2r1k3/4bp1p/p2pp1p1/n5P1/2PN1P1P/B3P3/P3K3/2R5 w - -,e2d3
2q1rkn1/1r1bp3/1pNp1p2/pP1P2p1/P1PQ2P1/4RB2/5PK1/7R w - -,h1h7
r3k2r/1p3pp1/p1n1pn1p/3p4/3P1qPP/2PB1P2/PP2N3/R3K2R w KQkq -,e2f4
r5k1/2q3pp/p3b3/1p1p3r/3Qp3/P5P1/1PP3BP/3R1RK1 w - -,c2c3
8/6R1/p3p2p/3pPp2/bkpK1P2/8/6PP/8 w - -,g2g4
r3kb1r/1bqp1ppp/2n1pn2/p7/4PP2/1NBB4/PP2Q1PP/R2N1RK1 b kq -,c6b4
b2r1bk1/2q2pp1/3r1n1p/2p1N3/1pP2P2/3B3R/1P2QBPP/4R1K1 b - -,c7b7
2kr4/pp4pp/2n2p2/2B1pb2/8/1NPr1PP1/PP5P/R3K2R w - -,e1f2
6rk/ppqb1pp1/1bp1n2p/4nN1N/2P5/2Q4P/PPBB1PP1/4R1K1 b - -,f7f6
1q3rk1/3rbp1p/p3p1p1/1p6/3B2Q1/6P1/PP2PP1P/2R2RK1 w - -,g4e4
r1bq1rk1/1pp2ppp/p1nb1n2/3Pp3/Q7/2N1PN2/PP1BBPPP/R4RK1 b - -,c6e7
2rqk2r/1b1nbppp/4pn2/p2p2B1/Pp1P4/4PN2/1P2NPPP/1BRQ1RK1 w k -,e2f4
r4rk1/pbnqppbp/1p1p2p1/2p5/1PPnP3/P1NPB1P1/3QNPBP/1R3RK1 w - -,e3h6
rnbqkb1r/pp3p1p/4pp2/2P5/Q1p5/4P3/PP3PPP/RN2KBNR b KQkq -,b8c6
1r5k/2q4p/2nN2p1/1p1Qn3/3N1R2/4P2P/2P3P1/6K1 w - -,d6f7
2rr2k1/Bp4bp/5pp1/4p3/P7/2nbPNP1/P4P1P/R1R2BK1 b - -,c3e2
8/1P1r1kpp/2n2p2/2B1p3/4P2P/2P2PP1/1R6/6K1 b - -,c6b8
r3r2k/3bppbP/3p1n2/q3n3/1p1NP1P1/1P2BP2/PP1Q4/1KNR3R w - -,g4g5
r1bq1rk1/1pp1bppp/p2p1n2/n3p3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - -,b7b5
4r3/2b2p1p/p2k4/2Bp1p2/1P3P2/6P1/P4K1P/2R5 b - -,d6d7
r3kb1r/pp3ppp/2p1pn2/8/3P4/5BPP/PPP2P2/R1B2RK1 b kq -,e8c8
5rk1/1q2nppp/p3p3/4P2Q/1ppr4/4N3/PPP2PPP/R3R1K1 w - -,c2c3
r3k2r/1bqn1p2/p3p3/3pPpQp/Pp1B1P2/1N5P/1PP2RP1/R5K1 b kq -,a6a5
3r2k1/5pp1/p2p4/2r1p3/Pp1nq3/4N2P/1PPR1PP1/3Q1R1K b - -,a6a5
r4rk1/1bb1qp2/1p3npp/pPp1p3/P1NpP2N/3P2PB/2P2P1P/R2QR1K1 b - -,b7c8
r1b1kb1r/pp1p1ppp/2p2q2/8/8/2PB4/PPP2PPP/R1BQK2R b KQkq -,d7d5
3r2k1/2p3pp/5b2/p7/Np2R3/1P3P2/1PP2KPP/8 w - -,f2e2
r1b1qr1k/1pp2pbp/n2p1np1/p2Pp1B1/2P1P1P1/2N4P/PP1NBP2/R2QK2R b KQ -,f6g8
r1bqk2r/pp3ppp/2n1pn2/3p4/3P4/2N1PNb1/PP3PPP/R2QKB1R w KQkq -,h2g3
3r1b2/3q3k/7p/1R2pp2/2P5/p5P1/2Q2P1P/B5K1 w - -,b5d5
3r4/p4pkp/4p1p1/2P5/1pQ5/6P1/PqR2P1P/5K2 b - -,b2d4
rn1q1rk1/8/2p2bp1/p1Pp3p/Pp1Pp3/4P2P/1PBBQ1P1/R4RK1 w - -,f1f4
r1b1k2r/2qpbppp/p1n1pn2/1p6/4PP2/1BN1Q2P/PPP1N1P1/R1B1K2R b KQkq f3,d7d6
rr6/1p1k1n1p/2p2pp1/p1b1p3/P1Pp2PN/1P1P3P/4PP2/R1B1K2R w KQ -,e1d1
3r4/pp1r3p/4k3/4pp2/4p3/1PPb4/PB1R2PP/K2R4 w - -,d1e1
2rq1rk1/3b1pbp/p2p2p1/1pnPp2n/2P1P3/B1N3P1/P1QN1PBP/1R3RK1 b - -,d8a5
8/5k2/p3p1p1/1b1pP2p/2rB1P2/2P3P1/5KP1/R7 w - -,g3g4
3r2k1/7p/3P2p1/2B5/PP2b3/2R4P/8/7K w - -,h1h2
r4k2/3b4/pp2p2r/3pR3/1P6/P2N1Pn1/6P1/3BR1K1 w - -,d3f4
r3kbnr/p2n1ppp/4p3/1p1p1N2/2pP1B2/2P1P3/PP1N1PPP/R3KB1R b KQkq -,e6f5
r1b1k2r/pp2b1pp/2p4q/3pP3/2P1p1nP/1P2P1P1/PBQNBP2/2KR3R w kq -,c4d5
r1q2rk1/p4p1p/1p4pb/n1pPp3/2P1P1b1/Q7/P2N1PP1/1R2KB1R w K -,h1h6
1r6/p2Bpk2/3n3R/1P1P1pp1/P4P1p/8/8/4K3 b - f3,g5f4
rnbqk2r/pp3ppp/2pp1n2/b3p3/2PPP3/P1N1BP2/1P4PP/R2QKBNR w KQkq -,g1e2
3b4/3P4/8/4k3/2K3B1/7P/2r5/8 w - -,c4d3
1r4k1/1bq1np1p/pn1r2p1/1p1p4/3R1P2/PPN3PB/2P1N2P/2QR1K2 b - -,b8d8
6k1/pb2rp2/1p4p1/7p/1P1R4/4N2P/P4PPK/8 b - -,g8g7
3kn2r/5p2/1p1p1pn1/p1pP4/2P2P2/2P2RB1/7P/1B4K1 b - -,d8d7
r1br2k1/1p2bppp/p3pn2/8/8/2N2B2/PPPB2PP/2KR3R b - -,f6d5
8/2k5/r7/2r1p3/2P1R2p/8/2PKB2P/8 b - -,a6h6
8/5pk1/1R4np/6p1/4K1P1/7P/5P2/8 b - -,g7h7
8/2qPbk1p/8/4rB2/8/5Q2/PP3P1P/3R2K1 b - -,e7f6
3r1qk1/pb3pb1/1p1ppnpp/1N6/1Pr1P3/2NQ3P/PB3PP1/3RR1K1 b - -,d6d5
rn4k1/pbr2ppp/8/1Bpp1N2/8/P3P3/1P3PPP/2R1K2R b K -,c5c4
r7/1pk2pp1/2p4p/P7/2N4P/6P1/2n2PK1/2R5 b - -,c2d4
r1q1r1k1/1p3pbp/2p3p1/p1NnP3/Pn5B/1Q2PB1P/1P3PP1/2R2RK1 b - -,g7e5
2r5/pbn1k1bp/1p2npp1/2p1p3/2P5/P1B1PN1P/1P2BPP1/1N1R2K1 w - -,g1f1
q1r3k1/1p2pp1p/2n1b1p1/p1P5/5P2/P1Q3P1/3RK1BP/R7 w - -,e2f2
8/8/PR6/3k1p1p/4p2P/4P1K1/r4P2/8 w - -,g3f4
r1bQ1rk1/ppp2pbp/5np1/4p3/4P3/2N1B3/PPP1BPPP/R4RK1 b - -,f8d8
r1bqk2r/1p2bppp/p2p1n2/4p1B1/2NnP3/2N5/PPP2PPP/R2QKB1R w KQkq -,g5f6
rnbqkbnr/1p3ppp/p3p3/2pp4/3PP3/2P5/PP1N1PPP/R1BQKBNR w KQkq c6,g1f3:e4d5
2r1r1k1/1bq1bpp1/p2ppn1p/1p6/4P3/PNN1BP1P/1PP2QP1/3RR2K w - -,e3b6
8/1R3r2/3P4/4p3/k3B3/2p1K3/P1P5/8 b - -,f7f6
r2qkb1r/pp3ppp/2n1pn2/2pp1b2/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 w kq -,f3h4:c1f4:d1a4
4r1k1/1pn1bppp/2p1bn2/pq6/NP2P3/P3N1P1/1B2QPBP/R5K1 w - -,e2b5
8/5k1p/2p5/4Bpp1/8/2P2bP1/2r2P1P/4R1K1 w - g6,h2h3
3R4/5p1p/4b1p1/8/6P1/pk6/4PP1P/K7 w - -,d8d3
8/6b1/8/8/8/1K1Bk3/p7/8 w - -,b3a2
5bk1/8/5ppp/4p3/2N5/p4P1P/P5PK/8 w - -,h2g1
8/2R2pk1/pp1prn1p/1q4p1/1P1P4/4B2P/P2Q1PP1/6K1 w - -,h3h4
8/6p1/2Q5/2p2P1p/P2q4/8/8/3K2k1 w - -,d1e2
2krbn1r/pp2b1pp/1qn1pp2/3pP3/2pP1P1P/P1P2NPB/1PQ1N3/R1B2RK1 w - -,a1b1
5k2/r1N5/8/6pp/1p1Pp3/4PpP1/5P1P/2R4K w - -,c7e6
5r2/1p2pk1p/1N1pbnp1/2r5/3RPP1P/8/PPP1B3/2K4R w - -,a2a4
4r1rk/1bp4p/ppqpP3/4bP2/P5n1/1PNR2N1/1BP1Q2P/1R4K1 w - -,c3e4
4rrk1/pb5p/4np2/2bp4/2p2P2/P4NP1/BP3N1P/4RRK1 b - -,e6d4
3rk2r/1b2bpp1/pq2p2p/4P3/1p1N1QP1/3B4/PPP4P/1K1R2R1 w k -,d4f3
4r3/5p1k/p5p1/8/PpPp1n2/1P3P1P/2B2P2/3R2K1 w - -,g1f1
4r1k1/Rb3rpp/2q1pp2/1p1p4/5P2/3PP1Q1/1BP3PP/R5K1 w - -,a1c1
7r/1p1bnkpp/3B1p2/1Pn5/2P5/8/1KB2P1P/R5R1 b - -,c5e6
8/p2r1k1p/2RBb1p1/PP2Q3/4p3/3qP3/5PP1/6K1 b - -,e6f5
5bk1/1Q3n2/4q3/1P4p1/7P/4BN2/5PK1/8 w - -,b7c6
r2qk2r/pp1n1p2/2p1p3/3p2pp/3P4/P2QP1B1/1PPn1PPP/R4RK1 w kq -,d3d2
3q1rk1/2p1p1bp/4bpp1/Q2n4/N2P4/4PNB1/P1r2PPP/R4RK1 w - -,e3e4
6k1/5p2/1p2bQ2/p2pN1p1/3P4/P6P/1P3PPK/2q5 b - -,c1b2
r2qkb1r/p4ppp/2p1pn2/3p4/2P1P3/8/PP1N1PPP/R1BQ1RK1 b kq -,f8e7
5rk1/bq4pp/p2r4/8/1P6/P3P1B1/5PPP/3QR1K1 w - -,d1d6
r1rq1n2/4bk2/1p1p1p1p/pNnPpNpP/4P1P1/5PK1/PPR1QB2/2R5 b - -,d8d7
6rk/qp3p1p/3R1Pp1/4p3/2P1P1b1/1P1Q3P/3B2PK/3r1B2 b - -,a7f2
8/p4p2/1p3p2/1Pp1p3/4K3/6k1/1P6/8 b - -,g3g4
r1b2rk1/1p1nqpbp/p1p2np1/4p3/2P5/1QN1B1PP/PP1NPPB1/3RK2R b K -,f6e8
r4rk1/ppqnppb1/1np3pp/8/3PP1bP/1QN1BN2/PP2BPP1/1K1R3R b - -,e7e5
7k/3Nn1p1/p1r4p/3npp2/Pp6/1P6/2P1NPPP/3R2K1 w - -,d7e5
8/5R2/8/3kp3/6pr/7p/7P/7K b - -,d5e4
r7/P7/8/8/6pk/R3K3/8/8 w - -,a3a5
1r1q1rk1/p4ppp/b4b2/P1pN4/2N5/3n2PP/2Q3B1/R1BR2K1 b - -,f6a1
8/p1k2rb1/1pn1p1pp/4p3/8/P1PN3P/1P1NRPP1/2K5 w - -,e2e3
