8/3N4/R5p1/3r1pkp/8/b6P/6P1/5K2 b - -,d5d7
rn1qkb1r/pbp2ppp/1p1ppn2/8/3PP3/3B1N2/PPPN1PPP/R1BQK2R w KQkq -,e1g1
8/8/3k1p1p/pp6/1n1K1PPP/PP1B4/8/8 b - -,b4d5
8/8/1pp4K/1k1p1P2/pP1P4/P1R1P3/8/7r w - -,h6g7:h6g6
4r1k1/8/6p1/2p2pP1/1p1b1P2/1PpP4/r1P1q1Q1/1RB2R1K w - -,g2h3
r4rk1/1p2ppbp/3pb1p1/q7/p1PBP1B1/2N1Q3/PP3PPP/3R1RK1 b - -,e6g4
3kr3/5p1p/B7/2pPP3/8/nP2P2P/P4KP1/2R5 w - -,c1c5
1qrb1rk1/nb3ppp/3ppn2/1p6/pPP5/2BPPN2/3NBPPP/QRR3K1 b - -,d8e7
b7/2R2ppk/p3r2p/7P/1P1Q4/P1R1PPK1/6P1/1q6 w - -,d4d3
5k2/p5p1/1p2qbb1/2pN3Q/2Pp4/1P4BP/P7/6K1 w - -,h5g6
2k1r3/1pn1q2p/1BpR2p1/P1P1pp2/8/7Q/1P6/2K5 w - -,h3h1
5rk1/4pp2/2n3p1/2pR4/1b3BP1/4P3/r3BP1P/5K1R b - -,f8d8
2r3k1/6pp/3p1qn1/1p1P4/p7/P2Q2P1/1P4BP/R5K1 w - -,d3b5
r7/4kpp1/2n1p2p/3pP3/rpbP1PP1/2pBKN2/2P4P/R1R5 w - -,a1a4
2r3k1/R6p/3p4/Q1nP1q2/2P1pp2/5PP1/5NKP/8 w - -,a5c3
8/p2r1pk1/R3nbp1/4p2p/1P5P/P3P1P1/5P2/2R2K2 w - -,c1c8
Bn2k2r/p4ppp/bpp1pn2/3qb3/2pP4/NP4P1/PB2PP1P/R2Q1K1R w k -,f1g1
r1bq1rk1/p4ppp/1p2p3/3PP3/3NnB2/2PQ4/P4PPP/R4RK1 b - -,d8d5
8/6R1/8/4p3/3NK3/r6p/P4k2/8 b - -,e5d4
4qrk1/rpp3p1/p1nppn1p/4p3/4P3/1QPPNN1P/PP3PP1/3R1RK1 b - -,g8h8
r4rk1/ppb2pp1/2p1nn1p/4p2b/1PN1P2B/2P2N1P/P1B2PP1/R2qR1K1 w - -,c2d1
6k1/1pr2p2/3qn1p1/PP1p3p/3P3P/6r1/3Q1RB1/5RK1 b - -,g3g4
rn1q1rk1/pb2bppp/1p2pn2/2pp4/2PP1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - c6,a1c1
6k1/8/5P2/2R5/6P1/7b/6r1/6K1 w - -,g1h1
r4r1k/pp1nnpp1/1q1N3p/3Pp3/2P5/QP3P2/P1K1B2P/R5R1 w - -,a1e1
r1r3k1/1p1n1pbp/2bp1p2/6P1/1qP5/1PN1B2P/3QB3/2R2RK1 w - -,g5f6
2b1r3/1q2ppbk/1prp2pp/p1nN4/2P1P2Q/1P2BP1P/P5P1/3RRBK1 w - -,g2g4
1r4k1/Q5p1/2bqp2p/P7/2P1p3/3nP3/1P4PP/3R1RK1 b - -,b8b7
1qr1r2k/1b3p2/pp2pnn1/3P2pp/1P1NP3/P1N2PbP/1Q3B2/2R1RBK1 w - -,d5e6
1r1r1nk1/2q2pb1/p6p/1p1pPB1P/P1pP1p2/8/1P2QBP1/R3R1K1 w - -,e2g4
8/1p6/p1p1k3/4P2p/P2PK2B/1P6/3b4/8 b - -,d2b4
2Rbk1r1/3n4/1p2p3/1q2P3/3P2p1/P5P1/1BQ2P2/6K1 b - -,d7f8
2rr1bk1/1q2nppp/2bpp3/pp4PP/1P2PP2/P2BB3/NP5Q/1KR4R w - -,h2g2
8/2p5/1p3pk1/p1pPpNn1/P1P1P1R1/1P5r/2K5/8 w - -,g4g3
r4rk1/ppp1qppp/3p4/8/3Qb3/5N2/PPP2PPP/1K1R3R w - -,h1e1
2r1rb2/5kpp/pp3p2/5R2/2PBN3/7P/PP4B1/6K1 w - -,b2b3
8/4Kp2/R7/3p1B1r/3kp3/7P/8/8 w - -,f5g4
r1r3k1/pp2ppbp/3pb1p1/2n1n3/P1PNP3/1PB2RP1/3N1PBP/R5K1 w - -,f3e3
8/pR4rp/3pkp1R/K1p1b3/2PpP1P1/3P3P/2PB4/8 b - -,g7b7
6k1/6Bp/b1p1p3/2q5/5r2/P4P2/1Q2PK1P/5R2 w - -,f2g2
r2q1r2/pp1b1pbk/2p2n2/3pp1Q1/2B1P1Pn/P2P1P2/1PP2N1N/R4RK1 b - -,h4g6
r4rk1/2q1R1b1/b1p3p1/3p2B1/1P1P1p2/2P5/6P1/1R1Q2KN b - -,c7c8
2r3k1/1p2bpp1/p1p4p/1q1p4/1P1P4/P1RQP1P1/3NKPP1/8 b - -,c8a8
rnb1k2r/ppqp1ppp/4p3/4P3/3N4/2P5/P1PQ1PPP/R3KB1R b KQkq -,c7e5
2r1r2k/p5bp/6P1/2p5/b7/BR1B1P2/P5PP/1K5R w - -,b3b7
r4rk1/4Qppp/pp6/2nR4/P4q2/1P3N2/1B3PPP/2R3K1 b - -,c5b3
r1b1k3/b4p2/p3p3/1p1p4/1Q1N1q2/2P2NpP/6P1/2R2K1R b q -,f4c1
r2r1k2/p4pp1/1p2p2p/2P5/4P2P/2P5/PP4P1/1K1R3R b - -,b6c5
2rr2k1/5pp1/p3p2p/1p6/P2PR3/1QP2P2/3q2PP/R5K1 b - -,c8c3
2r2k2/p4p2/1pp1n2p/1b1R1p2/8/P1P3BP/6P1/4R1K1 w - -,d5f5
rnbqk2r/pp4pp/2pbpn2/3p1p2/3P1B2/2N1PN2/PPP1BPPP/R2QK2R w KQkq -,f3e5
1r1q1rk1/3nppbp/3p2p1/1bpP4/8/1QN3P1/1B1NPPBP/R4RK1 b - -,b5e2
r5k1/R3bppp/bpn5/2p1P3/4PP2/P1N3P1/1PP3QP/2R3K1 b - -,a8a7
qr4k1/1r3p2/3PP1p1/2R4p/p3QP2/B6P/6PK/8 w - -,d6d7
rnbqk2r/ppp1p1b1/3p1npp/5p2/2BP3B/2P1PP2/PP4PP/RN1QK1NR b KQkq -,e7e6
8/2k5/1b2p1p1/1n1pPnPp/p1pP3P/P1P5/1KNN1B2/8 b - -,b6a5
r2qr1k1/1ppnnppp/p4b2/2Pp4/1P1P4/3BB3/P2QNPPP/1R3RK1 w - -,f1c1
bn6/8/p2ppkp1/Np6/1P1NPP2/P2PK3/8/8 w - -,d4f3
r7/r4kbp/1R4p1/2p5/2p1nB2/2P2N1P/P4PP1/2R3K1 w - -,c1e1
8/r4pkp/5R2/7p/2p2R2/2P4P/1r3PP1/6K1 w - -,f6c6
1r3b2/2q3pk/2p1np1N/2p1p3/p1P1P1Q1/P1BR3P/1P3PP1/6K1 b - -,e6f4
r1b1kr2/pp1nbNpp/1qp1pn2/8/2BP1B2/2N5/PPP3PP/3RQRK1 b q -,f8f7
r4bk1/p1pn1pp1/2p1r2p/2P4q/1P2B1b1/P1B2N2/2Q2PP1/3RR1K1 w - -,e4h7
r5k1/3bppbp/q5p1/3PP3/1Pp2P2/pn2B3/2B1Q1PP/5RK1 w - -,c2b3
8/1b3pkp/1p3qp1/p1p5/P7/2N3R1/1P1R3P/3K4 b - -,f6f1
4r1k1/3bn1p1/2nbpq1p/p2p4/1p1P4/3QRNP1/PP1B1PBP/2R3K1 w - -,g2h3
rq2r1k1/1bpnbppp/p1p1p3/4P3/N2P4/5N2/PPQ2PPP/R1BR2K1 w - -,a4c5
r4rk1/pp2ppbp/2N3p1/5b2/5P2/2N5/PPP1KPBP/R6R b - -,b7c6
r4rk1/5pp1/3p3p/p2qp3/R1P5/4Q1P1/4PP1P/R5K1 b - -,d5c6
r2q1rk1/ppp1b1pp/3pb3/5p2/7P/2PBBP2/PPPQ1P2/2KR3R w - f6,d1g1
4r1k1/2pq1pbp/1r1p2p1/2n5/3NP3/1Pp2PP1/P1Q3BP/2RR2K1 b - -,e8a8
2r5/4b3/4pp2/3p1k1p/1p1P4/1P3PBP/P3R1K1/8 w - -,g2f2
4r1k1/p1n2ppp/1q1p1n2/2pb4/8/1NP1B1P1/P2Q1P1P/R4BK1 w - -,a1d1
kq6/1n1r2pp/p2rN3/5P2/P7/2Q3P1/5P2/1RR3K1 b - -,b8g8
r1br2k1/1pq2ppp/p2bpn2/8/1P3P2/P1N1P3/1BQ1B1PP/2R2RK1 b - -,c7b6
r2r2k1/1pq2ppp/p2b4/2pP1bB1/PnQ5/2N2N1P/1P3PP1/R2R2K1 b - -,d8e8
r7/2r5/3k4/1B6/P1RKp1Np/5p1P/8/8 w - -,c4c7
r1bq1rk1/pp1nppbp/3p1np1/2p3B1/2PPP3/2N2N2/PP2BPPP/R2QK2R w KQ c6,d4d5
6k1/5ppp/p7/1pnn4/r3p3/P1P1P3/3BNPPP/1R4K1 b - -,a4a3
rnbq1rk1/3n2bp/4p1p1/1B6/8/N3QPN1/PP5P/R1B1K2R b KQ -,d7e5
r2qr1k1/1b1n1pbp/p1pp1np1/1p2p3/P2PP3/2PBBNNP/1P3PP1/R2QR1K1 b - -,d8e7:d7f8:h7h6:d8c7
2r1k3/1p2pp2/r5pp/pn2R3/P1P2PP1/1P3K2/3R3P/8 w - -,e5b5
3rr1k1/1pn2p2/p1bp4/2p1q1p1/4PN2/2P2PP1/PPQR2BK/3R4 w - -,f4d3
8/6k1/2r1rp2/p1BR4/1p6/P1P2R2/5K2/8 b - -,b4b3
r2r2k1/pp3pbp/3p2p1/3P4/2Nn1P2/8/PP1KB1PP/2R2R2 w - -,e2d3
r1bq1rk1/1pp1npb1/6pp/1P1pp2n/2P5/2NPPNP1/1B3PBP/1R1QK2R w K -,e1g1
R1b2rk1/1pqn4/2p1rnp1/2P1p3/1PN2p2/2N3PP/3QPPB1/3R2K1 w - -,c4d6
rnb1k2r/pp3pp1/4pq1p/2bp4/3NP3/2P5/PP1N1PPP/R2QKB1R w KQkq -,e4d5
8/8/5k2/4n3/6pP/1B1r2P1/P3RK2/8 b - -,d3f3
r3r1k1/1pq3bp/2p1npp1/2P1p2n/1P2P3/5NP1/1BQ1NP1P/1R1R2K1 b - -,g7f8
bqr3k1/p3Bp2/1p2p1p1/3rb2p/1Q6/1P2P2P/P3NPP1/2R2RK1 b - -,c8c1
1r3rk1/1p3p2/p2p1Npp/q1pQ4/2Pb4/1P2R2P/4P1B1/5RK1 b - -,g8g7
8/Bp6/p7/P2k4/1P6/2K5/2P3b1/8 w - -,c3b3
6k1/p5pn/1p1p2q1/3Pp2p/4P2P/3BQbP1/PP4K1/8 w - -,g2f3
6k1/R7/4N1P1/1p2n1KP/8/8/8/6r1 w - -,g5f5
6k1/5pp1/4p2p/8/4q2P/2Q3P1/5P1K/8 w - -,c3c8
4rr1k/pp1nq1pp/2p5/3p1p2/3Pn3/3QP1N1/PP1N1PPP/4RRK1 w - -,d3e2
rnbq1rk1/pp3pp1/2pb3p/4p3/2P1P3/5NP1/PP3PBP/R1BQ1RK1 b - -,d8e7
r1bqk2r/b4pp1/p1pp4/1p2p2p/1PPnPP2/P1NP2P1/3KN1QP/1RB2R2 b kq -,d4e2
4k3/4P3/4R3/p2p3P/Pp1r4/8/1P4P1/6K1 b - -,b4b3
3qbrk1/6b1/Q1np2pp/2pN4/2P1pP2/4P1P1/3B2BP/1R4K1 w - -,b1b6
5rk1/6bp/pq1p2b1/3Pp1n1/PB2Ppp1/R4P2/2Q3PP/4NRK1 w - -,b4c5
4r3/ppp3k1/5pp1/3n3p/3P1P2/2P2K1P/P1n2NP1/2B3R1 w - -,c3c4
8/6pp/p3k3/1p1rP3/2p3P1/5K1P/PP2R3/8 w - -,f3f4
r2qk2r/pbpn1p2/1p1pp2p/6p1/2PP4/2P1P1P1/P1QN1PP1/R3KB1R w KQkq -,f2f3
8/1qb2pkp/4p2p/2P1P3/1pQ2P2/1N5P/5KP1/8 w - -,b3d4:f2g3
r2qr1k1/p1p2p2/1p2b2p/n1P1p1p1/4PnP1/2PB1P2/P1Q1NB1P/R4RK1 w - -,e2f4
8/8/2p5/1pK1R1p1/p5k1/P4bP1/1P6/8 b - -,f3g2
3r2k1/5pb1/6p1/p3Pp1p/1pP2B1P/1P1K2P1/5P2/4R3 w - -,d3c2:d3e3
rnbq1rk1/3pppbp/P4np1/2pP4/8/2N1PN2/PP3PPP/R1BQKB1R b KQ -,b8a6
5k2/8/p3rP1R/8/1p6/5KP1/7P/8 b - -,e6b6
5rk1/5q1p/4Q1p1/p1p5/8/2b5/P4PPP/R4RK1 w - -,e6f7
8/8/8/8/4K3/8/5Rk1/8 b - -,g2f2
8/2PQnrkp/6p1/5p2/8/1p5P/5PP1/6K1 b - -,b3b2
r1b1k2r/4n1pp/pBnp4/1p2p3/4Pp2/1B6/PPPN1PPP/R3K2R b KQkq -,e8d7
r2q1rk1/pp6/nnpbp3/4N1pp/2pPP1P1/P1N1B3/1P2QP2/R2R2K1 b - -,d8f6
r3kb1r/pbqnnppp/1p1pp3/2p3B1/P2PP3/2PB1N2/1P3PPP/RN1QR1K1 b kq a3,a7a6
r3k2r/1b2qp1p/p2bpp2/4n2Q/Pp1N4/1P2P3/1B2BPPP/R3K2R w KQkq -,f2f4
3r2k1/bp2qnp1/pNp1bp2/2P4Q/4PP1p/1P2B2P/P5B1/5RK1 w - -,f1e1
2r1r1k1/4pp1p/3p2p1/p1nN1P2/1pP1P3/5B1P/P1R2KP1/5R2 b - -,g8g7
r1bq1rk1/ppp2ppn/2np3p/4p3/2P1P3/P1PP1N2/4BPPP/R1BQ1RK1 w - -,d3d4
2r2rk1/3bpp1p/2qp4/4b1Pp/1Q2P3/1N2B3/PPP4P/1KR1R3 b - -,c8a8
r2qk2r/pp3pb1/2n5/6PB/3pp2P/8/PPP2P2/R1BQK2R w KQkq -,d1e2
rnbqk2r/pp2nppp/2p5/3pP3/1b1P4/2NB4/PP3PPP/R1BQK1NR b KQkq -,e8g8
2k3r1/ppp1qp2/1n2p1p1/3pP1Pb/3P1P2/1P2N2R/P1P4N/1KQ5 b - -,a7a5
3r4/8/p4kp1/1pp4p/4P3/2PnRPP1/PPK4P/7R b - -,c5c4
r1bq1rk1/1p2npbp/4p1p1/p7/4PP2/1BPp4/PP2N1PP/R1B1QRK1 w - -,e2g3
8/7p/8/p1pbk3/8/1P3p2/2K4P/5B2 b - -,e5f4
2kr1b1r/1ppb2pp/p1p2p2/4n3/3NP3/P1N1B3/1PP2PPP/2KRR3 w - -,f2f3
r1b2rk1/pp2qppp/2n5/2b1p3/4B3/2P2N2/P1PBQPPP/R3K2R w KQ -,e1g1
r2qkbnr/pp2pppp/2p5/3pn3/3P2b1/6P1/PPP1PPBP/RNBQK2R w KQkq -,d4e5
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/2N3P1/PPP1NPBP/R1BQ1RK1 b kq -,b8d7
r2q2k1/pp5p/2nprpp1/2pQ2B1/4N3/6P1/PP3PBP/R4K2 b - -,c6d4
1rn1r1k1/2pq2bp/pn1pp1p1/1p2P3/5PP1/PPN1B2P/2PQ2B1/3RR1K1 b - -,d7e7
6k1/p2r1pp1/1pq1b2p/3p4/7P/P2RP1P1/1P1Q1PB1/6K1 b - -,c6c7
5b1k/p4P1p/2b1q1p1/8/1ppPP1PQ/3r3P/P4R2/4R1K1 b - -,d3d4
r3k2r/pp1qnpb1/2ppb1pp/4p3/2P5/3P2P1/PP1NPPBP/1RBQ1RK1 w kq -,b2b4
8/2p3pp/8/n2k4/1p1P1b2/3K1N2/1B3PPP/8 w - -,g2g3
R7/5pkp/4p1p1/4Pr2/7P/4BP2/6K1/4b3 b - -,e1h4
r3r1k1/1p1q2p1/2pn3p/p2p1P2/P2Bb1P1/R4B2/1P2P2P/2Q2RK1 b - -,d6f7
8/5pp1/3k3p/3pp2P/6P1/8/1b2KP2/4N3 w - -,f2f3
r1bqkb1r/pp1p1ppp/2n1pn2/1Bp5/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq -,d8b6
r6r/1bpnkpp1/pp1b1n1p/4p3/P3P3/1BN1BP1P/1PPN2P1/2KR3R b - -,c7c6
2r4k/2p1R1p1/p4r1p/1pN5/2n5/P2R1bPP/BP3P2/6K1 w - -,b2b4
5rk1/npr2qbp/p1p1p1p1/P1NbPpB1/1P1P1Q2/8/4BPPP/2RR2K1 b - -,f8e8
1r5k/ppq4p/2p5/2Ppb3/PP2p3/4Br2/4N1RP/3Q2RK w - -,d1c1
8/5R2/4p3/4q3/6K1/8/5P1k/8 b - -,h2g2
r3r1k1/pq1b1pb1/3p2p1/RP1P2B1/1P4p1/5Q1P/5P2/2R2BK1 w - -,h3g4
r2q1rk1/pbp1b1p1/1pn1pN1p/3p4/2PP4/2N3P1/PP3PBP/R1BQ1RK1 b - -,e7f6
1n1r2k1/1bqnbppp/1p2p3/p1p5/2P1PP2/PPN2NP1/2Q3BP/4R1BK b - -,b8c6
8/1p6/1Pb4p/2P1p3/7R/1k4r1/4B3/4K3 w - -,h4h6
2r2rk1/1q1nbpp1/B2p4/4p3/7p/1N1Q1P1P/PP4P1/1KRR4 b - -,c8c1
r1r3k1/1nqbbp1p/p2p2p1/1p1Pp2n/PPp1P3/N1P1BN1P/2BQ1PP1/R3R1K1 b - -,c7d8
rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R b KQkq -,b7b6:f8e7:f8b4:a7a6:d7d5:b8c6
3rr1k1/5pp1/1p1q1n1p/p1pnp3/8/PP1P2PP/1BQ1PPB1/3R1RK1 w - -,e2e3
r1bq1rk1/ppp2ppp/2n1pn2/3p4/QbPP4/P3PN2/1P1N1PPP/R1B1KB1R b KQ -,b4e7
2R2rk1/p2Pbpp1/1p2n2p/1P2p3/4B3/5P2/P4BPP/6K1 w - -,f2g3
5rk1/pp1q2pp/3b1n2/2pp4/8/3P2P1/PPPN1P1P/R1B1Q1K1 w - -,g1g2
1r3rk1/4p1bp/p2p1np1/1qpP1P2/8/4N2P/PPQB2P1/1R3RK1 b - -,c5c4
r2q1rk1/pp1n1ppp/2p1pn2/3p3b/1bPP4/1PN1PN1P/P2BBPP1/R2QK2R w KQ -,e1g1
rn1qkb1r/pb1ppp1p/1p3np1/8/3N4/2P2NP1/PP2PPBP/R1BQ1RK1 b kq -,f8g7
r4r2/2pb1pk1/pp1p1np1/3PpPq1/P3P1Pp/5R1P/1PP5/3RQBKN w - -,h1f2
r1bq1rk1/pp1nnppp/2pp4/4p1B1/Bb2P2N/2NP4/PPP2PPP/R2Q1RK1 w - -,a4b3
r2q1rk1/1pp2ppp/3p1b2/p2Pnb2/1Q1N4/1BP4P/PP3PP1/R1B2RK1 w - a6,b4a3
8/3k1p2/R1n2npp/p7/1P3P1P/P3PKP1/8/8 b - -,f6d5
3r1k2/1b3ppp/8/pp1p4/2rR4/P5P1/1PP1RPBP/6K1 w - -,e2d2
rn1qk1nr/ppp1ppbp/3p2p1/8/2PP1Bb1/2N2N2/PP2PPPP/R2QKB1R b KQkq -,g4f3
8/6p1/pp1k4/5p1P/PPPK1p2/4pP2/6P1/8 w - -,d4d3
4rrk1/p1pqn1b1/1p1p3p/3Pp1p1/1PP1N3/3QP1PP/P5K1/3R1RN1 w - -,c4c5
8/6k1/6pp/8/4N1KP/8/8/8 b - -,g7f7
2r3r1/1ppRR3/pbp2kp1/7p/4P3/1N3P2/PPP1KP1P/8 b - -,c8d8
1rr3k1/p5pp/Rn2p3/3qNp2/1pP5/4P1P1/1Q3P1P/R5K1 b - -,b6c4
2kr3r/2p1n1pp/pp3p2/2p1b3/4P3/1b2BPP1/PPPRN2P/2K4R w - -,a2b3
5r1k/2qn2pp/3p4/1p1B1P2/1P1QP2P/2p1R3/2P5/2K5 b - -,c7d8
4rrk1/pp1b2pp/2n1pn2/q2p4/1b6/P1NB1N2/1PPBQPPP/1K1RR3 b - -,b4e7
8/3N4/6p1/1p1b1k1p/pB5P/P1P2K2/8/2b5 w - -,f3f2
8/p4p2/1p5k/1P6/P2bK2P/8/5P2/3B4 b - -,d4f2
3r2k1/p1p1q3/4npbp/2p1p1p1/2P5/P1Q2PB1/1P2P2P/2K1N1R1 w - -,e1c2
2b2r1k/6bp/5P1q/4p3/P1Q5/2rp4/1P1R2PP/5RBK w - -,c4c3
r4rk1/2q1bpp1/p3p1p1/1pPp1n2/8/1PB2PP1/P2QB2P/1KR4R w - -,g3g4
r2qkbnr/pp3ppp/2npb3/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,g8f6
r1bq1rk1/ppp3bp/4p1p1/2PPp3/4p3/6P1/PP3PBP/R1BQ1RK1 w - -,d5d6
4r1k1/p1p3p1/1pnpP1p1/6N1/r1P1RP2/2P5/P1R3PP/6K1 w - -,c2f2
8/3k3p/1p4r1/1b6/7K/5RB1/7P/8 b - -,b5c4
2r5/R4qk1/2Np2p1/1Q2p1bp/4P3/3K1P2/6PP/8 b - -,c8c7
1r4k1/5p1p/2n3p1/1pNp4/1PnP1P2/2P2NP1/4R2P/6K1 b - -,b8a8
3r3k/p5p1/5r1p/2p5/Q2b1P2/1RB1nBPq/1P5P/4R2K w - -,c3d4
r4k1r/1p1b1pN1/4pn1p/8/1b3B2/6P1/1PP2P1P/3RRBK1 w - -,f4e5
4q3/1p5k/4p1pr/2Pr1p1P/p2PpP2/6Q1/PP4R1/1K4R1 b - -,d5d4
rnbq1rk1/p3ppbp/1p1p1np1/2p5/3P1B2/4PN2/PPPNBPPP/R2Q1RK1 w - c6,c2c3
1n4k1/r4p2/p1p3p1/5PQ1/2p1r2B/2n5/P1N4P/6K1 b - -,a7d7
r1bqkb1r/p2npp1p/3p1np1/2pP4/1pP1P3/P2B1N2/1P1N1PPP/R1BQK2R b KQkq -,f8g7
r1b1kb1r/2q2ppp/p2ppn2/1p2n3/4PP2/1NN1B3/PPPQB1PP/2KR3R b kq f3,e5c4
2r1r1k1/1p2ppbp/p1bp1np1/q5B1/2P1P3/1PN2P2/P2Q2PP/2RR1BK1 w - -,g1h1
r1b1k1nr/pppp1ppp/2n2q2/1Bb1P3/3p4/2P2N2/P4PPP/RNBQ1RK1 b kq -,f6g6
b7/p6p/1p1pk1p1/1P6/2PKP2P/P3NrP1/6R1/8 w - -,a3a4
r4rk1/ppp2p2/2n1bbp1/1B1qp3/8/1P2PN2/PB1P1PP1/R1Q1K2R w KQ -,b5c6
5rk1/1r2pqbp/6p1/1P1p4/1R2p3/4B1P1/4PP1P/1QR3K1 w - -,b5b6
1rbqk2r/p3npbp/2n1p1p1/2ppP3/1p3P2/3P2P1/PPPNN1BP/R1BQ1RK1 b k -,f7f6
4rrk1/p1pbqppp/1bp5/3pP3/3N1B2/2P5/P1PQ1PPP/R3R1K1 b - -,e7h4
r2qk2r/pp2b1pp/2n1bp1n/2p1p3/2PpB3/1P2PN1P/PB1P1PP1/RN1QR1K1 b kq -,d8d7
8/1p6/p1b5/P2k1NKp/8/8/8/8 b - -,c6e8
2r2bk1/6p1/p6p/1p2rp1Q/2pP1N2/8/P4qPP/R6K w - -,d4e5
2r1k1r1/1bqpbp2/p3pn1p/4n1p1/Np1NP1PP/4BP2/PPPQ4/1K1R1BR1 w - -,f1e2
3r2k1/1bnN1ppp/4p3/p3P3/1p3P2/3B4/PP4PP/1K1R4 w - -,d7c5
