8/1p6/p1k5/P5R1/2r5/4K3/2P2P2/8 w - -,e3d3
r3qrk1/1ppb1pb1/n2p1np1/pN1Pp1Bp/2P1P2P/6N1/PP2BPP1/2RQK2R b K -,f6h7
r1bq1rk1/p2nb1p1/2p1p3/3pPp1Q/5P2/2N2R2/PPP3PP/R1B4K w - f6,f3h3
8/2q2pk1/2P1p2p/2R4p/1P4n1/5N2/6P1/3Q3K b - -,g4f2
2rk1b1r/4pp1p/p1pp1p2/2q5/4P1Q1/1P2N3/1PP2PPP/1K1R3R b - -,h7h5
5rk1/1p3q1p/p1bn1pp1/3p4/5PP1/1P1Q1P1P/PB3K2/1BR1r3 w - -,c1e1
2r2rk1/5pbp/6p1/pB1q1b2/N1n5/P1P3B1/5PPP/3R1RK1 w - -,d1d5
2k3rr/pbq2ppp/1pnb1n2/2pp4/8/2PP1N1P/PPQN1PP1/R1B1RBK1 w - -,d3d4
r2q1rk1/1pnn2pp/2pb4/p2p1pP1/P6P/1P1P1Q1B/1BPN1P2/R3K2R w KQ -,e1c1
2r2rk1/4qppp/p2pb3/1p1B2b1/3BP2P/2P2QP1/PP3R2/R6K b - h3,g5h6
r2qkb1r/pp2pppp/1n6/n2Pp3/6b1/1BN1BN2/PP3PPP/R2QK2R b KQkq -,g4f3:a5b3
2rq1rk1/pp1bb2p/2n1p3/3pBpp1/1P1Pn3/P2BP3/1Q1NNPPP/R4RK1 b - -,d8b6
8/1pk2p1p/2p2K2/8/2r5/PR6/8/8 b - -,c4f4
r4rk1/pp3p1p/6p1/4b2q/6b1/1Q2PN2/P3BPPP/R4RK1 w - -,h2h3
3rrRk1/pb5p/6p1/1Pq5/1bppP3/7B/P1Q1N1PP/R1B4K b - -,e8f8
k2rrn2/pp2q3/7p/b1pRB1p1/2P1PpP1/5N2/P1P1QP1P/1K2R3 w - -,e1d1
2N1q1k1/6p1/2p1P2r/p4P2/P1N4p/1P2Q3/4K3/8 w - -,e6e7
r5k1/1p3pbp/pR2p1p1/n1q5/Q2NP3/2P2P2/P4RPP/6K1 w - -,a4b4
8/2k1q2r/2p1pb1r/1pPp1p2/pP1P1Ppp/P1KNP1P1/6RP/4Q1R1 b - -,e7e8
4r2k/p1p3pp/1p1p2r1/8/2P1N3/5RP1/P4P1P/5RK1 b - -,h8g8
1r2qrk1/1pp5/p1n1p1pp/3pPn2/8/1Q2P1P1/PP2NPBP/3R1RK1 w - -,e2f4
3rr1k1/1pqnbp1p/2p3p1/p2p3n/3P4/P1NQPP2/1P1N1BPP/1R3RK1 w - -,b2b4
r3r1bk/1p2q1p1/p1p2p1p/3n4/4B2R/P5BP/1PQ2PP1/3R2K1 w - -,c2c1
r1b1nrk1/ppq1p1bp/2p3p1/5p2/2PPPP2/6P1/PBQN2BP/1R3RK1 w - f6,e4e5
4r3/3k4/8/4Pp1R/3B4/2P3P1/b5K1/8 b - -,d7e6
8/2k5/3p4/3Pp3/1N2PnK1/8/P7/8 w - -,g4f3
8/6p1/n2k1p1p/Pr2pP2/3pK3/6P1/R2N4/8 w - -,d2c4
N1bk3r/pp2bp1p/2n1p3/3pP1p1/3P4/P3PN2/7P/R2QKB1q w Q g6,h2h3
4B3/8/8/p3K3/nk6/8/8/8 b - -,a4c3
rnbqr1k1/5pbp/pp1p1np1/2pP4/P1P2B2/2N2N2/1P2BPPP/R2Q1RK1 w - -,h2h3
6k1/3r1pp1/BR5p/4n3/2pb4/P5PP/R4PK1/8 w - -,b6b8
8/r2np2k/1N6/P1pPp1qp/1r2Ppp1/1PQ2P2/1R4PP/1R5K b - -,b4b5
6Q1/pp5p/3p3k/2pbp3/8/6P1/1P3R2/6K1 b - -,d5g8
4r1k1/pp4pp/8/2p5/1PPp4/3n2P1/P6P/R3BK2 b - -,d3e1
2r1qrk1/p5p1/1p1bp2p/3p1p2/P1pPnP2/1nP1PNP1/1PQ2N1P/R1B2RK1 w - -,a1a2
2b5/1p6/p2p1k2/n3p3/6PK/1P2PN2/P5B1/8 b - -,a5c6
2rq4/5RQ1/pk1p1p1p/2p1pP1B/P1PnP3/1P1n4/3B3P/7K b - -,d3f2
r1b1r2k/1p2q1pp/p1pp1p2/4n3/3NP3/2P1B3/PPQ2PPP/4RRK1 w - -,f2f3
2rr2k1/1b2qpbp/np2p1p1/p2n4/2NPN3/PP4P1/1B1Q1PBP/R3R1K1 b - -,c8b8
1r2r1k1/2qb2bn/p2p2p1/P1pPp2p/2P1P1n1/Q1NN2P1/3B2BP/RR4K1 b - -,g7h6
r3k2r/1bqnbppp/pp1ppn2/8/2P1PP2/1NNBBQ2/PP4PP/3R1RK1 b kq -,h7h5
1rb2rk1/p1q2pbp/2np1np1/2p2PB1/8/2PP2P1/P2Q2BP/R1NN1R1K b - -,c6e5
8/5kb1/6pp/pp2q3/1Pbp1N2/P5PP/5PB1/4Q1K1 w - -,e1e4
5bk1/R4p2/1pb4p/4R1p1/8/2r2PB1/6PP/6K1 w - -,g3f2
r5k1/2pq3p/1p1pr1b1/3P2p1/P3P3/6P1/P5BP/2Q2RK1 w - -,d5e6
r1bqkb1r/1p1n1pp1/p1pp1n1p/4p3/3PP1P1/2N1BP2/PPPQN2P/R3KB1R b KQkq -,b7b5
8/1p3pk1/2p2np1/p3q2r/P1B3R1/6P1/1P1Q1PK1/8 w - -,g4f4
8/5pkp/1pr5/8/4p3/PR4P1/7P/1K6 w - -,b3e3
r3rnb1/pp4Q1/2nk1B2/3p4/2p2P2/4q3/P5PP/3R1R1K w - -,g7g8
r4rk1/1p3qpp/p1n1p3/4P3/3pRn2/5N2/PP1Q1PPP/1B1R2K1 w - -,f3g5
8/5p1p/5k2/8/3R1K2/3P2PP/3r4/8 w - -,f4e3
r4rk1/pb3ppp/2p5/q7/2pQ4/4PB2/PP4PP/2KR3R w - -,c1b1
r4r1k/6np/3pB3/p2Pb1p1/q4p2/1R6/1PPQ1BPP/4R1K1 w - -,b3b7
1r4k1/5pq1/p1npb1p1/1pp4p/2P1P3/1PQ3P1/P2N1P1P/1R3BK1 w - -,c3g7
5k2/8/2p2P2/4q1P1/1p2p3/6NK/2r1B3/4RR2 w - -,f1f5
rnq2rk1/pbp2ppp/3bpn2/3p4/3P1B2/1QPBPN2/1P1N1PPP/R3K2R w KQ -,f4d6
5r2/1p3nkp/1qrP1pp1/8/1P1QNP2/6PB/7P/3R2K1 w - -,d4b6
6k1/5p2/2B2Qp1/7p/2P4P/3n2P1/4qPK1/8 b - -,d3e1
6k1/p4rp1/1p6/5P2/2qN2P1/8/1PP2Q2/2K5 b - -,f7e7
2r3k1/n7/4R1P1/2P5/2K5/4B3/2P5/8 w - -,e6e7
8/r6p/P5PR/5p1P/3k1P2/5b2/3K4/8 b - -,h7g6
8/8/3k4/5K2/8/6P1/7P/8 b - -,d6e7
8/5pk1/6p1/2r1p1P1/1q2P3/1QP2P2/B2R4/1K6 b - -,b4b3
r7/1r6/2k1p1pp/2P1Bp2/p2P3P/Rb6/5PP1/R5K1 w - -,f2f3
r1b1kb1r/pppp1ppp/2n5/4P3/1qBpn3/5N2/PPP2PPP/RNBQR1K1 w kq -,c4f7
3q1rk1/p4p1p/bp1p2p1/n1rPp3/2P1PP2/P2B2N1/4Q1PP/2R2RK1 w - -,f4e5
7k/5pR1/3K1P2/4P2p/7P/8/8/1b2r3 b - -,b1a2
3N4/p3r1kp/1n3pp1/1n2b3/6PP/1P2B3/5PB1/2R2K2 w - -,d8c6
2r1k2r/1p2pp2/p2p1b2/3P1p1n/5P1P/1P2q2P/P1P1RBBK/5R2 w k -,f2e3
r3k2r/1b1nqppp/pp2pn2/4N3/PpBP1P2/1Q2P3/6PP/R1B2RK1 w kq -,c1d2
3r4/2k2pp1/p2p1n2/N2Pp1b1/1Bp3P1/P4P2/1P6/1K5R w - -,a5c4
8/6bk/6pp/r7/1RPnP3/3P2PP/6K1/8 w - -,b4b2
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/2PPP3/2N2P2/PP4PP/R2QKBNR w KQ c6,d4d5
8/5n1k/1pRp4/1PnP1p2/5P2/7P/1NR5/4q1K1 w - -,g1h2
r1q2rk1/ppn1p1np/2p2bp1/1P6/3P2Q1/P1N1B1PP/5PB1/2RR2K1 w - -,b5c6
r2qkb1r/ppp1npp1/3p1n1p/3Pp3/2P3b1/1QN1PN2/PP2BPPP/R1B1K2R b KQkq -,f6d7
8/8/8/1pK2k2/1Pb3r1/2P5/3R4/4N3 b - -,g4g3
8/1p2kp2/1q2p1p1/3p3p/7P/6P1/1r2BPK1/4Q3 w - -,g2h3
r1bqr1k1/pp3ppp/1bn2n2/3p4/1P1N4/P5P1/1B2PPBP/RN1Q1RK1 w - -,d4c6
r1bqkb1r/pp2pp1p/2np1np1/8/3pP3/2N3P1/PPP1NPBP/R1BQK2R w KQkq -,e2d4
5N2/pp3R2/1r2p3/3p1k2/3n1P2/1P6/PP5P/1K6 b - -,f5e4
2rr2k1/pb1q1pbp/6p1/3p1n2/P1P5/B1N3P1/4PPBP/2RQ1RK1 b - -,d5c4
r1b1k2r/2qp1ppp/p1p2n2/4p1B1/Pb2P3/2NB4/1PP2PPP/R2Q1RK1 b kq -,b4e7
rn2kb1r/pp3ppp/2p1pn2/q6b/3P2P1/2N2N1P/PPP1BP2/R1BQ1RK1 b kq g3,h5g6
r2qrbk1/ppp2b1p/4npp1/2p5/4PpP1/1P1PB1NP/P1P1Q1N1/R4RK1 w - -,g2f4
r1b1rb1k/1pp3pp/p4p2/2p1pN1P/2NqP1Q1/3P4/PPP2PP1/R4RK1 b - -,c8e6
4r3/p4pkp/1P1q1np1/2rP4/2pQ4/2P2N2/5PPP/1R1R2K1 b - -,c5d5
5rk1/1bq1b2p/p2pp1pP/1pn2rP1/6R1/1BN1B3/PPPQ1P2/2K3R1 b - -,c5b3
r3k1r1/1b2bp1p/ppqpp3/2N5/2PQPPp1/1PN1B3/P5PP/2RR2K1 b q -,b6c5
1n1q1rk1/1p2bppp/4bn2/r2pp1P1/4P3/pPN1BP2/P1PQ3P/1KNR1B1R b - -,d5d4
1r3rk1/1p4pp/p3bp2/P1q1p3/1bNpN2P/1P1P1Q2/2P2PP1/R4RK1 b - -,c5c7
1r6/4kp2/p2pb3/1p2r2p/1P1RB3/P5P1/2P4P/2KR4 b - -,e6g4
8/8/3p2p1/3P3p/2r2b1k/5R1P/2N3P1/5K2 w - -,c2e3
3rr1k1/1pp4p/2bp1qp1/p6P/PnP1PP2/1PN2B2/3Q4/1K1R3R b - -,d8d7
r3r1k1/pp2bpp1/1qp1bn1p/8/3P4/2B2NP1/PPQ2PBP/R3R1K1 b - -,a8d8
2kr1b1r/1bq3pp/p3p3/1p1nP1B1/2p5/2N5/PPB1QPPP/R4RK1 b - -,d8d7
r3k3/1p2bp2/2p1b1p1/2B1p2p/1P2P3/3N1P2/2PR2PP/4K3 b - -,e7g5
2q2rk1/1pp2pbp/2n3p1/1p1N4/2B5/4QP2/1r3P1P/3R1RK1 w - -,c4b3
1rbq1rk1/pp2npbp/2np2p1/2p1p3/1PP5/P1NP1NP1/4PPBP/1RBQ1RK1 b - b3,b7b6
r4rk1/1p2bpp1/p1n1b2p/1q1pPp2/1P1P4/P2Q1NN1/5PPP/R1B2RK1 w - -,d3e3
2r1k2r/p2bqppp/1p1pp3/6P1/1n1PQ3/3BP3/PPP1NP1P/R3K1R1 b Qk -,c8c2
3r4/3rn1k1/p3q1p1/1p1nPpPp/5P2/PBBR1Q2/1P6/2KR4 b - -,g7h7
r4rk1/2pb2pp/p1nb4/1p1N3q/3P4/5N1P/PPBRQPP1/2K4R b - -,g8h8
r2qk2r/1b1nbp1p/p3p1p1/2p1P3/N1Pp1P2/1P1B4/P5PP/R1BQ1R1K w kq -,d3e2
r3kb1r/pp1n1p2/4p1p1/4P2p/2BP1P1P/4B3/PP6/2KR3R w kq -,c1b1
r4rk1/pp3pp1/2p1n2p/3pPbQ1/3P1N2/P3P3/1P3PBP/R4RK1 b - -,h6g5
2r3k1/1pq3p1/p3p2p/P2pN3/bP1Q4/2P2R1P/5PP1/6K1 w - -,f3g3
r1b2r1k/ppb1qppp/1np5/4p2N/3PN3/1B2PQ2/PP3PPP/2RR2K1 w - -,e4c5
r3r1k1/1p1nqppp/2pbpn2/p2p4/2P1P3/PP1P1BP1/1BQN1P1P/R4RK1 b - -,d5e4
3rr1k1/p2nbpp1/q1p1p2p/2P4P/1B1PQ3/1P3N2/P4PP1/1K1R3R b - -,d8b8
r4rk1/p1p1n2p/2pq2p1/3pQ3/4p3/2N1P1P1/PPP2PP1/3RK2R w K -,e5d6
8/p2b3p/3p4/1ppP2k1/4Pn2/7P/PP4BK/3N4 w - -,g2f1
4rnk1/1q3r1p/pN1ppQnP/PP3p2/2PN4/5PP1/6K1/1R1R4 w - -,f6g5
6Q1/r3k3/8/1B2q3/3b1p2/5P2/6PP/3R3K w - -,h2h3
3k4/3n1p1p/2R1p3/1P6/1BP2K2/7P/5Pr1/8 w - -,f4f3
1rb1r1k1/1p2qp1p/p2b2p1/P1n5/1B3P2/1N2P2P/1P2B1P1/R1QR3K b - -,c5e4
5rk1/1b3ppp/pb2q3/3p4/Q2Bn3/6P1/1P2PPBP/2N2RK1 w - -,c1b3
2r1k3/1r2q1pp/3p1p1n/1bpPpP2/p1N1P1PP/PnQ1BB2/1P4RK/6R1 b - -,e8d8
6R1/8/8/4r3/8/6k1/3K2p1/8 b - -,g3f3
6k1/4r2p/1q2R1p1/3p1rN1/pp3P1P/3Q2P1/PbP5/4R2K b - -,e7e6
3r4/p6p/1p2k3/P1p2p2/2P2P2/1P2BK1P/1b2N3/8 b - -,b6a5
r7/2p1kq2/n2p1n1p/R2Pp1rP/1NP1Pp2/P1N2P1Q/8/4K2R b K -,g5g3
8/1p2Q1kp/3n1p2/pq1p4/3P2N1/2P2P2/PP4PP/6K1 b - -,d6f7
8/6Bp/7P/8/2p1n3/1p4k1/1P6/3K4 w - -,g7e5
r3k2r/p3bppp/1np1pq2/8/3P2Q1/2N5/PP3PPP/R1B2RK1 w kq -,c1e3
2r2rk1/p4pbp/2n1b1p1/q2p4/1ppP1BP1/2P4P/PPQN1PB1/R3R1K1 b - -,f8e8
r1bq1r1k/p2nn1bp/1p1p2p1/1NpPpp2/1PP1P3/3NBP2/P3B1PP/R2Q1RK1 b - -,d7f6
1r3rk1/ppqbppbp/3p2p1/5n2/2PP4/1P4P1/PBQ1NPBP/2R2RK1 w - -,f1e1
2qr4/pb3pPk/1pr4p/2p4R/P1P1p1N1/4P3/1B2Q1PP/2R3K1 w - -,b2f6
8/8/1R4pk/4K2p/p2P2b1/1P2R1P1/r7/8 w - -,b6a6
r1q1rnk1/2p2pn1/p6p/PbN5/4PP1N/1BB1Q2P/1P6/3RK3 w - -,e3g3
r1b1r1k1/pp2qpbp/2pp1np1/2n5/2PNP3/2N1B1PP/PPQ2PB1/R3R1K1 b - -,c8d7
7k/5p2/4b2p/1P1pbp2/8/3B3P/2N2KP1/8 w - -,b5b6
2kr3r/p2bb1pp/2p2p2/2Pnp3/1P6/1NP5/P2B1PPP/RN2K2R b - -,h8e8
3q1rk1/2n1ppbp/r2p2pB/2pP4/Pn2P3/2N2N2/1P1Q1PPP/R4RK1 b - -,g7h6
rnq1k2r/p2pbppp/1p2pn2/8/2PN4/2NQ2P1/PP2PPKP/R1B2R2 b kq -,b8c6
3r1nk1/2q2pp1/1bp1b2p/1p2NN1P/1P2P3/R1P3P1/P3QPB1/6K1 w - -,e5f3
r1b1k2r/ppp1npp1/4q3/3pP2p/1P1P1P2/3Q4/P2NB1PP/R4RK1 w kq h6,d2b3
r2b1rk1/1b1n2pp/p2Bpp2/Pp6/6n1/4PNP1/1P1N1PBP/R1R3K1 b - -,f8e8
2q3k1/5p2/2PQp1pb/2BpP3/2r2P1p/7P/P5PK/5R2 b - -,c8f8
2r2rk1/1p3p2/3qp2p/3p4/1P1PbP2/P3Q2P/1B2B2K/2R5 b - -,c8c1
r4rk1/pp1n1ppp/2p1pn2/q7/PbBPP3/2N2P1P/1P2QP2/R1B2RK1 w - -,e2e3
8/1p2kpp1/p1p5/1nPnKP1p/1P6/7B/8/4B3 b - -,b5a3
3r4/p3k1r1/2q1p3/2p1p3/2P1Pp2/2P2RPK/PR5P/1Q6 b - -,e7f6
3r3r/3p1k2/2bP2p1/p1P2p1p/Pp1NpP2/1P2R3/6PP/R5K1 w - -,h2h4
4rr2/3b2k1/p1pp4/1p4pn/3PNn1p/1B3P2/PPN2RPP/R5K1 b - -,d6d5
r3k2r/ppqb2pp/1b2pp2/1P1pn2Q/5B2/P1PB3P/5PP1/RN3RK1 b kq -,e8e7
r1bqkb1r/1p3p2/1nn1p1p1/p2pP2p/3P1P2/3B1N2/PP2N1PP/R1BQ1R1K b kq -,c8d7
r4rk1/1p4pp/4b3/4pp1Q/1q6/p1NB3P/PP2RPP1/1K1R4 w - -,d1c1
5k2/1Rr4p/3N2p1/5p2/8/6P1/1P3P1P/4nK2 b - -,c7c1
8/1r4kp/4p1p1/4Pp2/P2R1P2/6P1/6NP/7K b - -,b7b1
8/kp1P4/p5p1/2q2p1p/7b/8/1P1Q4/1K1B4 w - -,d7d8q
2rq1rk1/pp1b1ppp/3ppn2/8/1PP1n3/P1Q2NP1/4PPBP/R1B2RK1 w - -,c3d3
6k1/q2np2p/p5p1/r1pr1p2/1pR2P2/1P1P1NPP/1Q2P2K/2R5 w - -,g3g4
r1bqk2r/pp2bppp/2n1pn2/2p5/2PP4/1P3NP1/P2P1PBP/RNBQ1RK1 b kq -,c5d4
r4rk1/1p1nqpp1/p1p1bn1p/3p4/N2P1N2/3BP3/PPQ2PPP/1R3RK1 b - -,b7b5
3r2k1/1bn1b1p1/1qn2p2/p1p2B2/1pP2p2/3P1NP1/PP3P1P/2QRRNK1 b - -,f4g3
5nk1/6p1/7p/8/p2p1Q2/P4bP1/1q3P2/3Rq1K1 w - -,d1e1
6k1/3r3p/p5p1/5p2/8/7P/1P2NPP1/1nB1K3 w - -,c1e3
1k1r1b1r/ppq4p/2n1b3/6p1/P4p2/2N1N1P1/2Q1PPBP/R1R3K1 w - -,c3b5
5r2/3rppkp/3p2p1/1q3P2/1p6/1P4QP/1PP3PK/4RR2 b - -,f7f6
8/8/2R2kp1/7p/7P/5PPK/r7/8 b - -,f6g7
r3kb1r/2qn1pp1/pp1p1n2/3Pp2p/2P5/1N2BP2/PP1Q2PP/R3KB1R w KQkq -,f1e2
r1b1k2r/pp3ppp/2nqpn2/2pp4/3P4/2P1PNP1/PP1N1PP1/R2QKB1R w KQkq -,f1b5:a2a3
4rr2/p3q1k1/1p1n1pp1/2pPp2p/2P1P2P/5NP1/P3QPK1/2R1R3 b - -,e7d7
8/5k1p/8/4NP2/4K2P/4B3/8/7r b - -,f7g7
r1q2rk1/p3bppp/1pnppn2/8/2PN4/1PN3P1/P1Q1PPKP/R1BR4 w - -,d4f3
2r3k1/pb1n2p1/1p2p3/3p4/2nP4/2NBB1P1/PP2Q3/7K b - -,e6e5
2kr2r1/pp2bR2/2n5/4p3/2q1N3/1N2PQP1/PP6/5RK1 w - -,f7e7
4R3/8/p1r2k1p/4P1p1/1p6/3K2P1/P7/8 b - -,f6f7
3B4/5pb1/k1p2P2/1ppr4/6P1/P1P2K2/2R5/8 b - -,d5d8
8/7p/3k2p1/Npn5/1p1Kp3/8/PP4PP/8 b - -,c5a4
2rr2k1/3b1pp1/4p2p/2n1P1q1/ppPN4/8/PPB2QPP/3RR1K1 w - -,d4f3
k5r1/1p1R4/pR2p2p/5n2/P4p2/5P1P/6r1/5N1K w - -,d7d8
r3r1k1/1b1nbppp/pqp1pn2/1p2N1B1/3P4/1QN1P3/PP2BPPP/3R1RK1 w - -,g5f6
r3rk2/3n1pbQ/n3p1p1/p1p1P1B1/1p3NP1/5P2/PPP5/3K2NR w - -,g5h6
8/5pk1/2p4p/1p1b1Rp1/1P6/2P3PP/6r1/4R1K1 w - -,g1f1
1r3rk1/p2q1pb1/1n1p2pp/2p1p3/P7/1P1P1NPb/2QBPPBP/1R3R1K b - -,b6d5
8/3Q2pk/1p5n/p2P1p2/3q1P2/6PN/6K1/8 b - -,d4d2
2r2rk1/p4pp1/1p2q2p/3p4/3Q4/4P1P1/PP1R1P1P/R5K1 b - -,c8c5
6k1/6p1/4p3/3bKp1P/4p3/4b3/8/8 w - -,e5d6
r4rk1/2qnp1bp/3pp1p1/p7/N2BP3/1P3P2/2PQ2PP/R4RK1 w - -,a1c1
5k2/1R6/3r4/5K2/Ppn5/7n/8/8 w - -,b7b4
r4rk1/pp1qnppp/2pp1P2/2n1p1B1/1b6/1BNP4/PPP2PPP/R2Q1RK1 b - -,g7f6
2rnqr2/1p2ppkp/p3b1p1/8/2P1N3/1P5P/P2QBPP1/2R2RK1 w - -,f2f4
5rk1/2qp1p1p/5np1/8/3QPP2/5P2/1P4P1/5RK1 w - -,d4f6
8/p7/3k1pN1/7p/P1p3p1/6Pn/2r2PKP/5R2 w - -,g6f4
rn2k2r/1bppq1pp/1p2p3/p4p2/2PP2P1/P2Q4/1P1NPPP1/R3KB1R b KQkq -,b8c6
r1q2rk1/1ppb2bp/3p2p1/2nPp1Bn/1PP1p3/2N2N1P/2BQ1PP1/1R2R1K1 w - -,c3e4
7k/p7/1Q6/1p1R4/4P1p1/5pPb/PP5P/2rB2K1 b - -,a7b6
r1bq1rk1/1ppnppbp/p2p2p1/3P4/1nP1P2P/2N1BP2/P2Q2P1/R1N1KB1R b KQ h3,c7c6
8/8/2NK1k1p/5p2/2b2P1P/8/8/8 b - -,c4d3
2n5/1b4p1/p3kp1p/1pK5/4P3/1P3PB1/P1B3PP/8 w - -,b3b4
4n1k1/3b1p2/6p1/1pq5/3N4/7P/2P1NQP1/6K1 b - -,e8d6
5r2/1R3p2/1p1r4/4kPp1/6Pp/1B5P/P4K2/8 w - -,f2e3
4r3/1R4pk/4bp2/2Bp3p/3P3P/2P2PK1/6P1/8 b - -,h7g6
1r3rk1/1b3pp1/3Rp2p/1p2P3/2p1BP2/4q1P1/1PQ1P2P/2R2K2 w - -,e4b7
r3qrk1/b1p3pp/p1nppn2/1p2p3/PPN1P3/2PP1N2/5PPP/1RBQ1RK1 w - b6,a4b5
rn4k1/p4pbp/6p1/2pPq2P/4P3/3BB2b/P4P2/2RQR1K1 b - -,g6h5
