8/R4pk1/P3b1p1/7p/5R1P/r4PK1/8/8 b - -,e6d5
r1bqk2r/pp1np1bp/2pp1np1/5pB1/2PP3P/2N1P3/PPQ2PP1/R3KBNR w KQkq -,g1h3
8/1p2k1p1/p2p1pP1/5P2/2P5/8/P4KPP/8 w - -,f2e3
8/8/2B5/1Pk1K3/6b1/6P1/8/8 w - -,e5f4
4rn2/5pk1/2pbpqp1/3nN1Rp/3P3P/PB6/1P1B2P1/5QK1 w - -,f1f6
2krr3/1pbn1pp1/pqp1p2p/7P/2PP4/Q1B2NP1/PP1R1P2/1K2R3 w - -,d2e2
8/2k3pp/1p6/pBP1b3/3pP3/3K2P1/PP5P/8 w - -,c5c6
r1b2rk1/pp3pp1/1q5p/4p3/4P1nP/2PB1N2/PP2Q1P1/R3K2R w KQ -,d3c4
r1bq1rk1/pp2ppbp/2n2np1/2p3B1/2B1P3/2P2N2/PP1N1PPP/R2Q1RK1 b - -,d8c7
2r2bk1/2qnnppp/r3p3/p1ppP2N/3P2N1/P1P1B2P/5PP1/R2QR1K1 w - -,d4c5
2R5/8/8/1k6/1p1N4/8/r1P5/2K5 b - -,b5b6
r3kb1r/pp2pppp/2nq4/2pn4/6b1/5NP1/PPPP1PBP/RNBQ1RK1 w kq -,h2h3
2r5/5k2/pb2ppp1/7p/PP1PbP2/4B1P1/5K1P/R1rN4 w - -,a1c1
1k6/2p5/1p6/p1b5/P1P3Q1/6B1/3qrPP1/2R2K2 w - -,g4e2
3r1rk1/p2nbpp1/2p4p/2q1pP2/6P1/3B4/PPPBQ2P/1K1R1R2 w - -,d2e3
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/3P2P1/PP2PPBP/RNBQK1NR w KQkq -,b1c3
6k1/5p1p/3p2pb/8/1p6/3q1NPP/1P2P1K1/8 w - -,e2d3
3r1rk1/1pp1qppp/p1n1bn2/2b1p3/4P3/1BP2N1P/PP2QPP1/RNB1R1K1 w - -,b1d2
r2b1k2/p4pp1/1p1Pn2p/4NN2/8/1b3P2/5BPP/2R3K1 b - -,b3d5
1rr3k1/6pp/1p2pp2/p2p4/P1qP1P2/b1P1PN1P/6P1/1RRQ2K1 w - -,c1c2
2r2r1k/p2q1p2/2b1p2p/4P2P/2P4Q/2np2P1/Pb1N1P2/R3RBK1 w - -,h4f6
5k2/2b3p1/6p1/2p2p2/2Q5/2P1rP2/1P1q3P/5R1K w - -,c4c5
5rk1/5p1p/pr2bP1Q/2p1qP1P/2p5/4KP2/Pp6/3RR3 w - -,e3f2
8/4n3/7k/2b5/4p1KP/2B1N1P1/5P2/8 w - -,g4f4
1nn2rk1/2R2p1p/1p4p1/2p1PN2/8/2N3P1/5PKP/8 w - -,f5d6
3r4/1p3p1k/p2b3p/n1N5/3P3P/1P4P1/P4P2/3R2K1 w - -,d1c1
r1bq1rk1/1pp2ppn/p2p3p/4p3/1PPbP3/P1NP3P/3BBPP1/R2Q1RK1 w - -,a1c1
5k2/2Q2p1q/5p2/1pp3n1/8/1P4P1/3b1PB1/5RK1 w - -,c7c5
rr4k1/5pbp/2q3p1/p1p1p3/2Ppn3/Q2N2P1/PP2PP1P/1RB2RK1 w - -,b2b3
2rrn1k1/4qppp/p1p1p3/1pPpP3/1P1P4/PQ3P2/4N1PP/R4RK1 b - -,c8a8
2kr1b1r/pp3ppp/2n2n2/2P1p3/1P4b1/2P2N2/P1KN1PPP/R1B2B1R b - -,g4f5
r1qb2r1/5pnk/p3b1p1/Q1B4p/N2RPP2/1P5P/P5BK/5R2 w - -,a5d2
2rr2k1/p4pp1/4bb1p/2pnN3/q7/P3PQ2/1B2BPPP/2RR2K1 w - -,e3e4
rn1qnrk1/1p2b1pp/p2p4/2pPpb2/P7/2N2N2/1PP1BPPP/R1BQK2R w KQ -,e1g1
1rb1k2r/1pp2p1p/p1nb4/4p1N1/2B1Pp2/P3N3/1PP2PPP/R3K2R w KQ -,g5f7
r2q1nk1/pp1r1pb1/2p1p1p1/4P3/3PB3/2P1P1P1/P4Q2/1RB2RK1 w - -,e4g2
6k1/5pp1/3R4/2nP4/1q3P1p/p5PP/Qb4B1/4rR1K b - -,h4g3
r3k2r/p1pp3p/b1p2p2/5B1q/2P4P/PP4P1/1BK2Q2/R7 b kq -,e8g8
rn1qkbnr/pbpppppp/1p6/8/8/1P6/PBPPPPPP/RN1QKBNR w KQkq -,g1f3:f2f4:c2c4
r4rk1/p2pqppp/1pn5/2pp4/2P5/P2QPN2/1P3PPP/R4RK1 w - -,d3d5
6k1/4pp2/4b3/p6q/3Q4/1P4P1/1r3P2/1B3RK1 b - -,b2b3
8/8/8/8/4k1K1/N2p4/3n4/8 b - -,e4e3
1k1r4/1p3p1R/p3pr2/3p3B/3Pn3/PP6/2P1QP1q/2bNK1R1 w - -,h7g7
7r/2kr2pp/pp1bRp2/2pn4/P1N5/1PBP2PP/2K2P2/R7 b - -,h8d8
8/2B3k1/1p2p1p1/p4p1p/4nP1P/P4QP1/3q2K1/8 w - -,g2h3
4r1k1/3n3p/2QP1n2/4pp2/8/4RNPP/1q1N1PK1/8 w - -,d2c4
6k1/pp2Rrbp/6p1/3p1qB1/8/1P5P/1P1Q1PP1/6K1 w - -,g2g4
2r5/1br1qpkp/p3p1p1/2ppP3/1bp2Q1P/1P2PN2/P3BPP1/1R1R2K1 w - -,b3c4
r5k1/pp3pp1/8/3p3p/3Pb3/1PP2nK1/3N1P2/R7 w - -,d2f3
5rk1/1p2bppp/p2pb3/q2BN3/8/PP1Q2P1/1B2PP1P/2rR2K1 w - -,b2c1
8/5kp1/4p3/3pP2P/5r2/8/1K6/6R1 b - -,f4f5
8/p7/1p6/1P6/8/1Bk5/8/K7 b - -,c3b3
r3r1k1/1p2qppp/2ppb3/p1n5/2PN4/6P1/PPQ1PPBP/3RR1K1 w - -,d1d2
2q1rbk1/1ppb3p/r2p4/1PPPp1pn/4Pp2/2N2P2/3N1BPP/1R1QR1K1 b - -,a6a3
r1b2rk1/1pp1bppp/p2qpn2/6N1/3P4/1PN1BQ2/1PP2PPP/R3K2R w KQ -,e1g1
r3k2r/pb1nq1pp/1ppbpn2/3pNp2/2PP4/1P4P1/PBQNPPBP/R4RK1 b kq -,e8g8
r1b2rk1/ppp1Qppp/3q1n2/8/3P1N2/3B4/PP3PPP/RN2R1K1 b - -,d6f4
8/8/2k2N2/2Pp4/r2P3r/p1B2P2/R1K5/8 b - -,h4h2
8/r4pk1/n6p/5K2/7P/4P3/8/1R6 b - -,a6c7
r3r1k1/pR2ppbp/6p1/P5B1/3N4/8/5PPP/4RK2 b - -,g7d4
2R5/r7/4p1k1/3nP2p/3PK3/2p1B1P1/5P2/8 b - -,a7h7
rnb1k2r/p1p2p1p/1p2pp2/8/2PPq3/5N2/P1P1QPPP/R3KB1R b KQkq -,c8b7
r5k1/5pp1/4pb1p/1p6/5P2/1P3N1P/P4PP1/3R2K1 w - -,d1d2
3qr1k1/5pbp/pN3np1/3p1b2/2p1P3/2N3P1/P1QB1PBP/1R4K1 b - e3,f6e4
4r3/pp3kp1/2p4p/4r3/1PPP2PP/6K1/P7/4R3 w - -,e1e5
r2q1rk1/1p1n1pbp/p2p1np1/2pP4/4PPb1/2NB1N2/PP1B2PP/R2Q1RK1 w - -,a2a4
r1bqr1k1/ppp2ppp/3b4/2p1p3/4PnN1/3PBQNP/PPP2PP1/R4RK1 b - -,d8g5
1rbq1rk1/2p1bppp/2np1n2/p3p3/Pp2P3/1BPP1N1P/1P1N1PP1/R1BQR1K1 b - -,h7h6
2rqk2r/1p1nbppp/p2pbn2/3Np3/2P1P3/1N2BP2/PP4PP/R2QKB1R w KQk -,d5e7
R4bk1/8/5B2/2p1K1Np/4PPb1/3r4/8/8 b - -,d3d7
r1b4k/pp2q3/2p3p1/2p1p1N1/3bP1P1/8/PPP1QP2/1KBN4 b - -,c5c4
r1bqkbnr/ppp2ppp/2n5/4p3/2P5/4PNP1/PP1P2BP/RNBQK2R b KQkq -,e5e4
r3q2k/2p1brnp/p1np1pp1/1p2p3/3PP3/1PP2N1P/P1B1QPP1/R1BR2K1 w - -,a2a4
r3r1k1/pppq1pbp/2n3p1/8/4NQ2/2BP2PP/PPP3K1/R3R3 b - -,f7f5
1r2q2k/1pn1r1bp/2p1N1p1/p1P1p3/6B1/PQ2P2P/5PPB/1R1R2K1 b - -,c7e6
8/b5k1/4K2p/1B4p1/2P3P1/7P/8/8 b - c3,h6h5
rrq3k1/5pb1/3Rp2p/4P1pP/3P4/p3PN2/R4QP1/6K1 w - -,g1h2
4r1k1/3n3p/4P3/pb6/1b1Q1P2/q5P1/P5BP/1RR4K b - -,d7c5
r2q1rk1/1bp2ppp/p4n2/n3b1B1/P2Pp3/1P6/BP2NPPP/R2Q1RK1 w - -,d4e5
6qk/3R2b1/5Q2/5p1p/p5p1/P2NP1PP/3r1P1K/8 w - -,f6f5
8/1p5R/p1pk4/4r3/1P4K1/8/8/8 w - -,h7b7
2r1k2r/4pp1p/p5p1/1p1P1bP1/2BP1q2/QP6/P2N2P1/2KR3R b - -,b5c4
8/5pk1/8/p1pPR1Pp/Pp2K2P/1q2N3/8/8 b - -,c5c4
r5k1/5p2/7p/2Q3p1/P3p3/5qPb/1BRb1PNP/6K1 w - -,g2e3
8/8/Q3p2k/4P2p/6p1/4q3/8/5BK1 w - -,g1h1
8/3k4/6R1/4BK2/8/8/8/3r4 w - -,f5e4
2kr3r/p1p1ppbp/2p1b1p1/8/8/1PB3P1/P2PPPBP/R3K2R b KQ -,g7c3
5r2/p2q2pk/Q3p3/3p3p/3P4/1P6/P1P5/1K2R3 b - -,f8f6
2r2r2/1pqn4/p2ppnpk/5P1p/1PPQ4/P3N1R1/4B1PP/5R1K b - -,e6f5
r2r2k1/1p1bbppp/p2ppn2/q7/P1PQP3/1PN5/1B2BPPP/R4R1K b - -,a8c8
r2qk2r/1p1N1ppp/2p1pn2/p6b/PbBPP3/2N1B3/1PQ2PPP/R3K2R b KQkq -,d8d7
r3r1k1/p1qn1p2/2p3p1/1pb1p1Np/4P1nP/1P4P1/PBP1QPK1/R2NR3 b - -,d7f8
r2qr1k1/2pn1ppp/p2p1b2/1p1P4/5B1P/5P2/PPP2QP1/1K1R1B1R w - -,g2g4
r5k1/p2p1ppp/1p2r3/2p5/2P1bB2/P5Pq/1PQ1B2P/3R1RK1 w - -,e2d3
r3r1k1/1b1n1ppp/p2q1b2/2pp4/Q7/P1N1PNP1/1P3PBP/3RR1K1 w - -,c3e4
2rr2k1/p3b1pp/1pq2p2/3p4/3B4/PQ6/1PPR1PPP/4R1K1 b - -,g8h8
r1q1k2r/4n1b1/pp1pp1pp/2p5/1PPN4/4B1P1/P2QPPKP/2R2R2 w kq c6,d4f3
r4rk1/pp3nbp/2n1q1p1/2p1p3/P1NpP3/1QP2NBP/1P3PP1/R3R1K1 b - -,a8c8
8/6pp/p7/5k2/1Pp1pP1P/P1BrR1P1/2b2K2/8 b - -,d3d7:d3d1
r5k1/1nq2p2/p4bp1/1p2p2p/2p1P2P/1QP2NPB/PP3P2/3R2K1 w - -,b3c2
2bq1r1k/p1p1npb1/1r3N1p/3pPn1N/1p1P3P/3QB1P1/PPP2RB1/R5K1 w - -,h5g7
2bqk2r/r3n1b1/pppp1pp1/7p/P2PPpnP/1BNQ1N2/1PP3P1/1K1R2BR w k -,d3c4
2r2rk1/1pqb1pbp/p2ppnp1/n7/1NP5/1PN1B1PP/P3PPB1/2RQ1RK1 w - -,d1d2
r4r2/4p2k/p2p2pP/n1pP2p1/4P2P/1P6/P3N3/R3K2R w KQ -,h4g5
r3n1k1/pp3pbp/2p1r1p1/2n2b2/1q1B2P1/1PN4P/P2QNPB1/3R1RK1 b - -,g7d4
2r2rk1/p3ppbp/1qnp2p1/3N2P1/4PP2/1N1B3b/PPP2R1P/R1B1n2K w - -,d5b6
2kr3r/pp3p1p/3bp1p1/1B2N3/8/2P1P3/PP4PP/R3R1K1 b - -,d6e5
rnbq1rk1/pp3ppp/2p2n2/3p2B1/2PPp3/2Q3P1/PP2PPBP/R3K1NR w KQ -,f2f3
1r4k1/2p2pb1/p4p2/3P2p1/b1p5/2N1r1BP/P5P1/2R2RK1 w - -,g3c7
4r3/ppp4k/1b1pR1N1/n3p1B1/4P1p1/2PP4/PP4PP/RN2K3 b Q -,e8g8
r1r3k1/pp1bppbp/3p1np1/q3n3/3NP1PP/1BN1BP2/PPPQ4/2KR3R b - g3,b7b5
r1bq1rk1/3nppbp/3p1np1/2pP4/1p6/1P4PN/PB2PPBP/RN1QK2R w KQ -,b1d2
1k1r3r/1bq2p1p/p2pp1p1/2n3P1/1p1NPP2/3B3Q/PPP4P/1K1RR3 w - -,d4b3
4rr2/3B4/3Q1Ppk/3Pp1b1/4P3/7K/8/8 b - -,e8d8
3Q4/3n2pk/2p4p/2pq1p2/P3p2N/1P1P2P1/4PP1P/6K1 w - -,d3e4
1nr5/p1r2p1p/1pP2k2/1P1R1p2/8/5B2/5PPP/3R2K1 w - -,d1a1
2kr4/ppp1rp1p/1q4pn/4P1N1/2P1b3/P1Q4P/1P2BPP1/R4RK1 b - -,b6c6
6r1/4kr2/2P4R/3p2pQ/2B1ppP1/pP6/nq1B4/3K3R w - -,h6h7
8/6pk/4p2p/4P3/5q2/2Q5/5P2/6K1 w - -,c3d3
rnbq1rk1/pp2b2p/2p3p1/3P1p2/3PnB2/2NBPN2/PPQ2P1P/R3K2R b KQ -,e4c3
3r2k1/6p1/3qb3/4p1Q1/1p1n2Np/1P3P1P/6P1/R2B3K b - -,e6g4
5k2/8/4R3/3KN3/8/8/8/7r b - -,h1d1
r1bqr1k1/ppp1bppp/2n2n2/3pp3/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 b - e3,d5e4
8/5p1p/1p1k1pp1/8/PpKN4/1P5P/3b1PP1/3B4 w - -,d4c2
8/2Pk2pp/5p2/4n3/7P/4P3/2R3K1/8 b - -,d7c8
1rbq1r1k/1pp3bp/3p2p1/1P1Pp2n/5p2/1Q1P2P1/1B1NPPBP/1R3RK1 b - -,c8g4
8/8/8/7n/2k1K1p1/6P1/8/8 b - -,h5g3
r7/8/5pk1/PR5p/3K2pP/6P1/8/8 b - -,a8d8
3B4/8/4p1pk/pB2b3/4P1P1/2K5/8/8 w - -,c3c4
r3kb1r/4pppp/2b2n2/1p1q4/p2P1B2/2P2N2/PPQN1PPP/R3K2R w KQkq -,e1g1
5rk1/7p/1q4p1/1P1p4/P2pp3/6P1/2P1Q2P/1R5K b - -,d4d3
r1bqk2r/p3bpp1/2p2n1p/n3p1N1/8/3B4/PPPP1PPP/RNBQ1RK1 w kq -,g5e4
6k1/1q1n1p1p/3bp1p1/3p4/2pn1PP1/2P1PN1P/rB1N4/R1Q3K1 w - -,e3d4
8/3rkp1p/pn1P4/2p1B3/8/P2K1P2/6rP/R2R4 b - -,e7e6
r4rk1/pp1qbppp/2n1p3/3pP3/3Pn3/P2Q1N2/1P1N1PPP/R1B1R1K1 b - -,e4d2
2r1r1k1/1p3pp1/pn5p/2PPqP2/1P2p1P1/1P2R2P/3QB3/3RK3 b - -,b6d7
r4rk1/pbqn1ppp/1pp1p3/2P3N1/3P4/8/PPQ1BPPP/R2R2K1 b - -,d7f6
2r2rk1/1p4b1/6n1/p2PpN2/1P2P1P1/P5B1/4Bq2/R2Q3K b - -,f2b6
2brk2r/p3qpbp/1pp3p1/4p3/NPp1P3/P2PB2P/2P1nPPN/R3QR1K b k -,e2d4
8/4b3/p1k1p2q/1p1pP2r/b1pPpPp1/P1P1K1P1/1QP1NB1r/5RR1 w - -,b2a2
r1bq1rk1/1pp2ppp/p1n1pn2/8/QbBP4/4PN2/PP1N1PPP/R1B1K2R w KQ -,e1g1
6k1/1p3r2/1q1p1nn1/3Pp1B1/4P1pp/2Q2PP1/PP2B3/5RK1 w - -,g5e3
2b2rk1/2qnnpbp/p2p2p1/3Pp3/1Q2P3/4BPP1/P3N1BP/3NK2R w K -,e1g1
6rr/3qbpk1/2p1p1p1/1p1pP2p/pPnP1P1P/P1P3PB/4RB2/R3Q1K1 b - -,g7f8
4r3/pp2PRR1/2p4k/8/1P6/7P/6PK/5r2 w - -,g7h7
rn3rk1/pp1bqppp/1b2pn2/PN6/1PQ5/6P1/4PPBP/RNB2RK1 b - -,b6f2
r5k1/4rp1p/1n6/pb2N1pP/3RPP2/1P4P1/P7/1K5R w - -,h1c1
8/5p1k/7p/2n2bp1/2P3P1/r1b4P/3p1PB1/1R1RrNK1 w - -,g4f5
r1b1k2r/2qpbppp/p3pn2/8/Np1BP1P1/5P2/PPPQ3P/2KR1B1R b kq -,a8b8
3r4/4nkpp/pQ3p2/2P1p3/1P1q4/8/P3R1PP/5K2 w - -,a2a3
2rr4/4k3/p3p3/8/2P1QP2/3p4/Pq3PPP/R4RK1 w - -,a1b1
8/3B4/7p/p7/1p1k1p2/1P3K1P/3b4/8 b - -,d2e3
8/1N6/1bp1k3/5p1p/1PP2P2/p4KP1/P7/8 w - -,b7c5
1r1q1rk1/p3ppbp/3p2p1/2pnnPB1/2P1P3/1P4PP/P5B1/1R1Q1RK1 w - -,e4d5
r6r/pk1b3p/1pqR2p1/2p3Q1/4PB2/2P2P2/P5PP/R5K1 b - -,c6a4
8/5p2/6p1/p1k4p/1p3P1P/3R2P1/P5r1/1K6 w - -,d3e3
4r1k1/R7/6P1/8/4KB2/6P1/8/8 w - -,f4e5
r1bq1rk1/pp3pb1/1np3pp/n2Pp3/4P3/BPN2NP1/P1Q2PBP/R4RK1 b - -,f8e8
4b3/p2k4/1p3rPp/3p1N1K/2pP1R2/P1P5/2P5/8 w - -,h5h6
5r1k/2R3pp/6q1/pP6/5r2/1Q3b2/P5BP/5RK1 w - -,f1f3
6R1/8/8/4p3/3rk1p1/6P1/4K3/8 b - -,e4f5
5rk1/pr2bpp1/1nB1p1p1/1n2P3/1P1P4/P5P1/1B3P1P/2R1R1K1 b - -,f8b8
4r3/pp2r3/n1p2kpp/3b1p2/8/1P3NP1/P2RPPBP/3R2K1 w - -,e2e3
5rk1/1p4p1/5p1B/p2bR3/P7/8/1P1R2PP/6K1 b - -,f6e5
8/1p1Q1ppk/2p3p1/p1b3P1/P3Pq1P/2P2B2/1P3PK1/8 b - -,f4h4
8/8/p2pk1p1/p7/3KPPp1/r7/7P/3R4 w - -,d1g1
8/1p6/1pnk4/3p4/P2P4/2K4B/8/8 b - -,c6a7
rnb2rk1/pp3pp1/4p2p/3pPnPP/2pP1Q2/P1P5/2qBBP2/R3K1NR w KQ -,g5h6
4r1k1/7p/P5p1/3n1p2/3Np3/6P1/r4PKP/1RR5 w - -,b1a1
r1bqrnk1/pp2bppp/2p1pn2/6B1/2PPp3/2NB1N2/PPQ2PPP/R4RK1 w - -,c3e4
8/kP6/r1B2p2/2K1pPp1/8/5P2/8/8 b - -,a6b6
r4rk1/pp1nppb1/2p1bnpp/q7/P1NPP3/2N1B3/1P2BPPP/R2Q1RK1 b - -,e6c4
r1b1r1k1/pp2B1bp/1qpP2p1/2n1p3/2P1PpnP/2N2N2/PPB1Q1P1/2KR3R b - h3,g4f2
r1bqk1nr/pppp1p1p/2n3p1/1N6/4PQ2/4P1P1/PPP4P/RN2KB1R b KQkq -,d7d6
1k6/5p2/5R1p/4P3/3bBKP1/7P/4r3/8 b - -,d4e3
8/p7/1pp4p/3nk3/8/2P5/PPKN1PPP/8 w - -,g2g3
r3r1k1/1pq2p1p/2p1n1bp/p2pp3/4P2b/2PP1QN1/PPB2PP1/R1B1R1K1 w - -,g3f5
r1bqkb1r/4ppp1/p1pp1n1p/8/4P2B/2N5/PPPQ1PPP/R3KB1R b KQkq -,g7g5
7r/pp5p/2b5/3pk2N/2n5/1R2P2P/P5P1/4KB2 w - -,f1e2
8/7R/2r2k1p/6pP/6P1/5PK1/8/8 b - -,f6e5
