8/8/2p2k1p/2R2p1P/5P2/6P1/1r6/3K4 b - -,b2b6
r4rk1/1q2bpp1/p2p3p/1p1Np3/2P5/1P4P1/P1QRPP1P/3R2K1 b - -,e7g5
5k2/5p2/2P5/p2n1Npp/8/2pB4/2K4P/8 w - -,d3c4
r7/6p1/1p1k3p/2pP1p2/P1Pnp3/1P6/2BK2PP/2R5 w - -,c1f1
r3Br1k/ppq3p1/2nbp2p/3p4/3P4/6B1/PPQ1NPPP/3R1RK1 b - -,a8e8
r3r1k1/5ppp/p1nN4/2q1p3/8/2B3P1/PP2QP1P/R3R1K1 b - -,c5d6
1r2k2r/pp3p2/7p/q1Pp1bp1/1b2n3/2N1P3/PPQ2PPP/2R1KBNR w Kk -,f1d3
1r3rk1/p4ppp/2p1p1b1/q1b1P3/6P1/1RP4P/PBP1QPB1/5RK1 b - -,g6c2
r1q2rk1/p1p3pp/3p1b2/2pP4/2P1Qp2/2B3P1/PP2PP1P/3R1RK1 w - -,d1d3
r1bqk2r/p2n1pp1/4p2p/1pbpP3/3n1B2/2NB1N1P/PPP1QPP1/R3K2R w KQkq -,f3d4
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N1P3/PP3PPP/R1BQKBNR w KQkq d6,c4d5:a2a3:f1d3:g1e2:g1f3
2r2k1r/p4p2/1p2p3/4P1pp/PP1BR3/2P5/5PK1/R7 b - a3,c8c7
5rk1/1b3pbp/N1N3p1/3nP3/6P1/3n3P/3BR3/R5K1 w - -,a6b4
1rbqr1k1/p4pbn/2pp2pp/5P2/3pP1P1/1P1P4/P2BN1BP/R2Q1R1K w - -,d1c1
2k3r1/ppp2p2/2n2r2/7p/3p3N/P5P1/1PP2P2/R4RK1 b - -,c6e5
1r1q1rk1/4bppp/p7/1p2p3/P2p4/1Q1RBP1P/1P3P2/2R3K1 b - -,d8e8
r2r2k1/1p1b1ppp/p1n1pq2/2Pp4/3P4/1P3N2/P1NQRPPP/4R1K1 b - -,b7b6
8/8/1k3NP1/6r1/p7/6b1/4K3/5R2 w - -,f6e4
Q7/6p1/p2pk2p/1p1R3P/1P3PK1/5P2/8/1qr5 w - -,a8g8
3k3r/pp3p1p/2bp4/3p3P/1P1P4/2P1R2P/P3K1B1/8 b - -,h8g8
1k1r1b2/2q5/p4p1p/1n1p4/1P1R3N/4QP2/b1P4P/2K3R1 w - -,d4d3
r2q1rk1/1b1nbppp/p2p1n2/1p2p3/4P3/PNN1BP2/1PPQB1PP/R4R1K b - -,a8c8
2r4r/1p1k1pb1/1p1p2p1/7p/2p1PP2/2P1B3/PP4PP/R2R2K1 b - -,c8c6
r3k2r/pp2bppp/q3p3/1B1pP3/3P4/4PN2/PP1Q2PP/R4RK1 b kq -,a6b5
5qk1/pp4p1/1bp4p/3r1p2/8/PQ3NPP/1P2RPK1/8 b - -,g8h7
k1q3r1/2b2Q2/ppN5/4p2p/5n2/6P1/PP3P1P/2RR2K1 w - -,f7d7
3q2k1/1p3pp1/4rn1p/2p5/1b1PP3/3B2P1/1BQ4P/5R1K w - -,e4e5
6k1/4b3/6pp/4B3/pp3PP1/3K3P/P7/8 w - -,d3c4
6k1/1b3p2/p6p/2n3p1/P1N1n3/2P3B1/5PPP/1r1BR1K1 w - -,e1f1
1r2k2r/p4pQp/4b1p1/3p4/1q1P4/1PN2P2/2PK2PP/3RR3 b k -,h8f8
r4k2/pp2br2/2b1p1Q1/8/4Nq2/8/PPP2PPP/2KRR3 w - -,c1b1
7k/1bq3pp/p4rn1/1p1pb3/3N4/1BPP2P1/PP1BQ2P/5R1K b - -,c7f7
5B2/1p6/p3kbp1/4pp1p/2P4P/1P1K2P1/P4P2/8 w - -,f8c5
8/4p3/3p1k2/1prP4/3R1PK1/1P6/8/8 w - b6,d4d3
1kr2b1r/1p1b1p2/1qnppp2/p6p/P3PP1P/1NN2B2/1PPQ2P1/1K1R3R b - a3,c6b4
r3k2r/ppp3p1/1b2n3/3ppNBp/8/2PP1P1P/PP3P2/R4R1K w kq -,g5h4
8/1B4k1/1b3n2/4p1p1/P3P1P1/5K2/8/8 b - -,g7f7
1k5Q/1r5p/p6p/Bp3p2/1P3Pq1/4P3/6P1/6K1 b - -,b8a7
6k1/3R4/pp3rpp/8/2PN4/1P6/Pb5P/5K2 w - -,f1g2
5Q2/1pkq1p2/p3b1p1/4P3/2p3P1/3p1P2/PPP1B3/2K5 w - -,f8c5
r1bqk2r/3nbpp1/p2p1n1p/PppPp3/4P3/2N2N2/1PP1BPPP/R1BQK2R w KQkq b6,a5b6
r2r2k1/3q1pp1/2p3b1/p5Pp/PpQ1P2P/1N3P2/1P6/2R2K1R b - -,d7d6
4b1rr/p7/2pkpp2/1p1n4/3P4/2P1NB2/PP1K1PP1/3R3R w - -,g2g3
1r1r4/1p2np2/p2k2pp/3p4/3N2PP/1P1KP3/P1R2P2/2R5 w - -,c1h1
2kr2r1/1pp5/p1nqpn2/4p1pp/4P1P1/2PPPN1P/P1QNK3/1R5R w - -,g4h5
r4rk1/pp1q1ppp/2pN4/n2np1N1/8/3P4/PPP1QPPP/R1B1K2R b KQ -,d7d6
r1b2rk1/p2p1ppp/2p5/qpn1P1B1/8/1B6/PPP1QPPP/2KR3R w - -,c1b1
r1r3k1/pp1qppbp/4b1p1/3p4/3P1B2/2R3P1/PP1QPPBP/2R3K1 b - -,c8c3
r1b1k2r/ppqn1ppp/2p1pn2/8/P1pP4/R4NP1/1P2PPBP/2BQ1RK1 b kq -,b7b5
5k2/p2N1p1p/5np1/8/2B3P1/1P3P1P/P3RK2/3r4 b - -,f6d7
8/5kpp/p1R1pp2/2P5/1P3rP1/P7/1B3n2/4K3 w - -,b2c1
3R4/kpn5/p2N4/r5p1/5p2/2P2K2/1P4P1/8 w - -,d8d7
8/1r1k2p1/Rb1p3p/4p3/2P2p2/1nBN1P2/1P4PP/3K4 b - -,b3c5
8/p5k1/4ppp1/1p5p/3q4/5PPP/P1Q4K/8 w - -,c2c7
r1bqkbnr/1p1p1ppp/p3p3/n7/3NP3/8/PPP1BPPP/RNBQ1RK1 b kq -,d8c7
5nk1/p4rp1/PpB4p/3p4/6P1/8/1q1BQ1R1/6K1 b - -,b2a1
r3rbk1/pp1n1p1p/2pBb1p1/2P1p3/4P2q/1PN5/P1Q1BPPP/3R1RK1 b - -,d7c5
4q3/5pk1/3b3p/2pP1QpP/ppPp2P1/1P6/P2P1N2/3K4 b - -,a4b3
2r3k1/5p1p/6p1/1pN1q3/1P6/4nPPK/1R2Q2P/8 w - -,g3g4
r4rk1/1b1n1pb1/p1pp1qpp/1p2p3/PP1PPn2/2P1BN1P/2QN1PP1/R2R1BK1 b - b3,a8c8
4rbk1/1bqn1rp1/pp1pp1p1/4n3/P2NP2Q/2N1B3/1PP2RBP/5RK1 w - -,f2f7
r3k2r/1p3p1p/3pb3/2bBpp2/p1P5/PqN3P1/1P2QP1P/2R2RK1 b kq -,b3b6
