8/4r1k1/3N2p1/7p/1R4n1/4P3/5PK1/8 w - h6,b4b7
5rk1/2q2pbp/p2pp1p1/2n5/2PnPN2/1r2B2P/1P2QPP1/1R1R2K1 w - -,e3d4
6k1/5pp1/3Np2p/3nP2P/p7/P4P2/1P1Q1BPK/1q3b2 b - -,f1d3
8/6B1/1n1p4/2pP4/2P1pk2/2K5/b7/5B2 w - -,g7f8
3r2k1/3rbpp1/2qp3p/pN1Rp3/Pp2P3/1P1Q4/1P3PP1/3R2K1 w - -,d3c4
5R2/8/6p1/1pp1k2p/8/r5P1/4K1P1/8 b - -,a3g3
R1b3k1/1p4b1/1Pr4p/2Pp4/3Pp3/1N4PB/2n5/6K1 w - -,h3c8
r3r1k1/3n1p1p/p1p1q1p1/1pP5/1P1QP3/6P1/P3P1BP/R4RK1 b - -,d7e5
rn1qkbnr/1p1Bpppp/p2p4/2p5/2P1P3/5N2/PP1P1PPP/RNBQK2R b KQkq -,b8d7
6k1/8/8/8/7Q/4K3/1r5p/8 w - -,e3f3
5nk1/p3Rppp/Bp2b3/8/8/P3P1B1/1r3PPP/5K2 b - -,b6b5
r2qk2r/1p1bppbp/p1np1np1/8/3NP3/2N1BP2/PPPQ2PP/1K1R1B1R b kq -,b7b5:d8c7
5k2/3Rn2p/r2N1pp1/3p4/8/2PK3P/5PP1/8 w - -,d7d8
2kr2n1/pn5r/1pqp1p2/1Rp1pP1p/2P1N3/2PPB1PP/P5Q1/5RK1 w - -,a2a4
r2nk2r/1ppqbppp/P4n2/3p4/3P4/2PQ4/P3NPPP/RNB2RK1 b kq -,a8a6
r1bq1rk1/1p2bppp/p1Nppn2/6B1/P3P3/2N5/1PP1BPPP/R2Q1RK1 b - -,b7c6
2k2r2/1p1n2rp/pqp5/4p3/PP6/6PP/3Q1PBK/2R2R2 b - -,g7f7
r1b1r1k1/pp3ppp/4pn2/4B3/8/5B2/PPP2PPP/2KR3R w - -,c2c4
6k1/1p3pp1/1q5p/p2pP2P/3n1PQ1/P1r5/5BP1/5RK1 b - -,b6e6
8/2p5/p2n1p2/1p1P1k2/3P2p1/4K3/P4PPB/8 w - -,h2g3
1r3rk1/3n1ppp/2p1p3/2b5/p1PN4/4BPP1/P3P2P/1R1R2K1 w - -,g1f1
r3kb1r/ppqnpp1p/2p2p2/8/3P2b1/2P2N2/PP2BPPP/R1BQK2R w KQkq -,c1e3
7k/R3p3/3p4/2pP3p/2P3nP/1Q1K4/1P3qP1/8 b - -,g4e5
r1bqkb1r/pp2nppp/8/2pP4/1n6/P1N3P1/1P1P1PBP/R1BQK1NR b KQkq -,b4d5
r1b1r1k1/ppq1bp1p/2p2Bp1/2n1p3/P3P3/2N4P/1PPQBPPN/R2R2K1 b - -,e7f6
8/1k2B3/3Q4/1p6/1Pp1p3/2P2P2/6PK/8 w - -,e7d8
8/2r5/2P1pk2/6p1/4K1P1/8/2R5/8 b - -,f6e7
3b4/p4rkp/3r1pp1/8/2R4P/Pn6/1BR1Q1P1/7K b - -,f7d7
2k3r1/5p2/1KPP3R/8/p5b1/P5Bp/8/8 w - -,g3f4
r1b1k3/p4p2/1pn1p3/4PP2/3p1P2/P1p2Q1P/2P5/1RBK1Bq1 b q -,c8b7
r3r1k1/pp3Np1/2p2np1/3nR3/3P2P1/1B3Q2/Pq3P1P/3R2K1 b - -,g8f7
2rqr1k1/1p3pp1/p1n1p3/3pP2Q/P2P4/6P1/1PB2PK1/R6R b - -,g8f8
rnbq1rk1/pp3nbp/2pp1pp1/4p3/3PP3/2PBNN2/PP3PPP/R1BQR1K1 b - -,a7a6
7Q/3k1p2/3Np1p1/n2pP2p/3P1PP1/7P/2P1q1K1/8 w - -,g2g3
r1bqk2r/pppp1p2/2n2n1p/2b1p1p1/2B1P3/3P1NB1/PPP2PPP/RN1QK2R b KQkq -,d7d6
8/2r1pp1k/3p1bp1/3P3p/b1B1P3/5rP1/4K2P/2RRB3 b - -,a4d1
2rq1rk1/p3bppp/bpn1pn2/3p4/2PP4/PP1B1N2/1B1N1PPP/R2Q1RK1 w - -,f1e1
r2q1rk1/1ppbppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w KQ -,a1c1:e2c1:h2h4:b2b3
5rk1/5q1p/p3rbpP/np1p1p2/3P1B2/2PB2Q1/PP3RP1/5RK1 w - -,f4g5
5r1k/1b2p2p/r4q2/2p2p2/1p1p1Q1R/1P1P1N1P/1P4P1/4R1K1 w - -,f3g5
2r2rk1/p4pp1/2bp1b1p/qp2p3/4P3/2NQ1N2/PPP2PPP/2KRR3 w - -,c1b1
8/6k1/R4p1p/6p1/6P1/p7/6K1/r7 w - -,a6a7
8/3b4/5N2/1pP4p/5Kp1/Pk6/8/8 b - -,d7c8
3r2r1/1pk2p2/p1p3p1/P2p1n1p/1P1P4/3NP1P1/3K1PPR/2R5 b - -,d8e8
8/6p1/2P5/p2k4/2n1pP2/1B1pPn2/5K2/2BN4 b - -,d5c6
rnq2rk1/2p1b1pp/1p2pn2/p4p2/2PN4/2N3P1/PP2PPKP/R1BQ1R2 w - -,d1d3
3r1r1k/ppb3p1/4pqnp/1Ppn4/P1N5/2P2Q1P/B2B1PP1/R4RK1 w - -,f3f6
r4r1k/pb2q1pp/np1b4/2ppN3/3PpP2/PQ2B1P1/1P2P1BP/2R2RK1 b - -,c5c4
r1bqk2r/1p3ppp/p1n1p3/2bp4/5B2/2P1PN2/PP3PPP/R2QKB1R w KQkq -,f1d3
1k4r1/p3p3/1qbp1b2/1p2n1pQ/4P3/2P3P1/PP1N1RPP/5R1K w - -,h5e2
8/1n6/1P4p1/6P1/1K1k4/B7/8/8 b - -,d4d5
r5k1/1p3pp1/1q2pn1p/1N2N3/rbP2P2/3Q4/1P4PP/1K1R1R2 b - -,a4a1
5rk1/p2bpp1p/1p4p1/4q3/4R3/P2P2P1/4PPBP/2Q3K1 b - -,e5d6
r1b1k2r/pp2ppb1/1qnp1n1p/6p1/4P3/2NB1NB1/PPPQ1PPP/R3K2R b KQkq -,c8e6
r1r3k1/1q1bbppp/2np1n2/pp2p3/3PP3/2N1BN1P/PPB1QPP1/2RR2K1 b - -,e7f8
r4rk1/4ppbp/bn1p1np1/3P4/1q6/PNN3P1/2Q1PPBP/1RB2RK1 b - -,b4c4
3rb1k1/R5pp/8/p3N3/P2p1P2/2n3P1/7P/5BK1 b - -,c3a4
b4q2/P4pk1/4r1pp/NQ1pp3/4P3/3n3P/3NRPPK/8 b - -,d3f4
4rrk1/ppq2bp1/2nbpn1p/3p4/3P4/2B2NN1/PP1Q1PPP/1BR2RK1 w - -,d2d3
3rr1k1/pp2npp1/6qp/4pb2/4N3/P1PB1Q1P/2P2PPK/R3R3 b - -,b7b6
3Q4/kp3p2/2p1p2p/5q1n/2P5/3R4/PP3P2/K7 b - -,b7b5
r2qk1nr/1p1nb1pp/p2p4/3Ppp2/P1N5/4BP2/1PP3PP/R2QKB1R b KQkq -,g8f6
2rr4/5ppk/p3p2p/1p1n4/3P3P/bN2B1P1/P2R1P2/5RK1 b - h3,c8c7
r1b2rk1/pp2pp1p/3p2p1/3P4/6Pq/1PQ4P/P1n1PPB1/R1B2RK1 b - -,c2a1
3r1nk1/1R3p2/3ppPp1/6Pp/q6r/8/PPP2QB1/1K1R4 w - -,f2b6
r1bq1rk1/pp2p1bp/n1pp2p1/8/2PPp3/5NP1/PP3PBP/R1BQR1K1 w - -,e1e4
6k1/1b2qp2/1Pp3pp/3pb3/r7/1N2P3/2Q1BPPP/5RK1 w - -,f1b1
r4rk1/p3p2p/2ppb1p1/8/1P1bPP2/4BBP1/P3N1KP/1R3R2 b - -,d4e3
1r6/1r6/3k1p1p/1p1p2p1/1R1P2PP/4P1K1/5P2/1R6 b - h3,b7b6
r1bq1rk1/1p2pnbp/p2p2p1/2pP1p2/2P1P3/P1N4P/1P1BBPP1/R1Q2RK1 b - -,a8b8
2bqr1k1/1ppp1ppp/3r4/p1bNn3/2P5/1P2PBP1/PB2QP1P/R4RK1 b - -,c7c6
6k1/4b1r1/1p1q1nPR/1PpP1Q2/2P2p2/6p1/3NB3/4BK2 b - -,e7f8
r1bqr1k1/3n1ppp/2p1pn2/pp6/P1pPP3/B1P2PN1/2Q3PP/1R2KB1R b K -,c8a6
2kr4/pp5p/2p1b3/4qpp1/PP6/4PBPP/3rP1K1/RQ5R b - -,g5g4
3q4/2R2ppk/pP5p/2np4/5B1P/P4NPB/1b3P2/6K1 b - -,c5d3
r1bq1rk1/p4pbp/1pn1p1p1/2pP1n2/3P1P2/2N2NP1/PPP2BBP/R2Q1RK1 b - -,c6d4
4rk2/2qp2pp/p4p1n/2PQ1P2/4B3/7P/P2P4/5RK1 w - -,d2d4
8/8/4k3/r7/P1K3p1/R7/5P2/8 w - -,a3a2
7k/8/6p1/R1p4p/PpBb1r1P/1P6/2P3K1/8 b - -,f4h4
r1bqkb1r/pp2pppp/2n2n2/2Pp4/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,d5d4
8/R4pk1/5b2/2p5/6KP/2P5/1r6/8 b - -,f6c3
8/2p2p2/1b2kp2/p3p3/1P2P3/3r2P1/PP3PK1/2B4R b - -,a5b4
3rk2r/1pp2p1p/1nn1b1p1/2b1P3/p1P1BP2/PP2NN2/4K1PP/R1B4R w k -,b3b4
r2qkb1r/pp1b3p/2n2p2/2Ppp3/8/2P1PN2/PP1QB1PP/RN2K2R b KQkq -,f8c5
2rr2k1/p3bqp1/2p1p1p1/2p1P1Pp/2NpQPnP/1P6/PBPP4/4RRK1 b - -,d8d5
2b1kb1r/5rp1/3pp1Qp/2n4N/ppqNP2P/4BP2/PPP5/1K1R2R1 w - -,h5f4
2r3r1/pp2kpbp/8/2q3P1/2Pp4/6B1/P2Q1P1P/2RR2K1 w - -,d1e1
r1bq1rk1/pp1p1ppp/2n1pn2/8/2PP4/P1N5/1P3PPP/R1BQKB1R w KQ -,d4d5
3r1r2/5pbk/p3qnpp/1pppn3/4P3/2P1NP2/PPBB2PP/R1Q2RK1 w - -,f3f4
8/p2k1q2/1ppb2pp/3r1p2/PP3P2/2B1Q3/1P4PP/4R2K w - -,e3f3
8/pp2k3/7p/2prp3/8/6P1/PP2R2P/6K1 w - -,g1f2
rnbqkbnr/pp1ppp1p/6p1/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,d1d4:f3d4:c2c3
r7/1prn1pbp/p1bpk1p1/N3p3/1NP1P3/4BP2/PP1R2PP/1K5R w - -,h1d1
5k2/6p1/2n2p1p/4pP2/1bB1P1PP/1P2NK2/r1n2B2/1R6 b - -,c2d4
6nk/7p/5pp1/p3q3/8/3Q2NP/6PK/8 w - -,d3a3
1r1r1k2/p7/7p/6q1/1PQP4/8/1PB2PP1/3R2K1 b - -,g5d5
1B6/3k4/5b2/3b2p1/3Np1P1/4P1K1/8/8 w - -,g3f2
5rk1/p3ppbp/1p2q1p1/2p1P3/2Pr4/1P1PR1BP/P3Q1P1/3R2K1 w - -,g3e1
5r1k/pp2r2p/2pq1p2/5RP1/2QP4/1B2P2P/PP3P2/5K2 b - -,e7g7
1rN1n3/2p1bkpp/3pN3/3Pp3/8/nP2B1PP/5PB1/2R3K1 b - -,b8c8
r1b1r1k1/1p1q1pp1/2p4p/3p4/P2P1P1P/1R4P1/P1Q2PB1/2R3K1 b - h3,d7d6
r4k2/p3R2p/Np4pb/8/1P1Pp3/4P3/P5PP/6K1 w - -,e7e4
r1bqrbk1/1pp4p/p2p1n2/2PPp1p1/N3Pp2/3N1P2/PP2QBPP/2R2RK1 w - -,c5d6
r6k/p3b1pp/8/2pb4/6q1/2Q2r2/PPNB1PP1/R4RK1 w - -,c3e5
r2n1rkb/p3pp2/qp4p1/2p1P1Nn/4Q3/2P2N1P/PP3P1B/2KR3R b - -,b6b5
r3rnk1/1b2qpp1/ppp2n1p/4p3/BPP1P2B/2Q2N1P/P4PP1/3RR1K1 b - b3,a6a5
r1b1kb2/ppp1pp1Q/1n1q2r1/5p2/2pP4/2N1P3/PP2NPPP/2KR1B1R w q -,e2f4
r5k1/1p2pp1p/3p2p1/r2Pn3/2P5/1P2P1P1/7P/R1R2BK1 w - -,a1a5
1r3rk1/pbR2pp1/3N1n2/6p1/3Pp3/6P1/P4PBP/5RK1 b - -,b7d5
5rk1/6pp/1B1R4/4p1P1/2P1pp1P/P2nP3/5P2/6K1 b - -,f8a8
8/8/4R1kp/P5p1/r5p1/7P/8/6K1 b - -,g6h5
1r2n1rk/6q1/3p1bBp/pp1Rp2Q/5p2/P1P2P2/1P1R1BPP/7K w - -,f2a7
8/R6p/6pk/p3r3/2B5/6P1/6K1/8 b - -,e5c5
8/1p4p1/p4r2/1b2k2p/7P/3pPpPB/PP6/4K1R1 w - -,e1f2
1r4k1/3nppb1/3p2pp/1qpP4/4P2B/1BP4P/1P1N1PP1/2R1R1K1 b - -,g7e5
8/1p1b4/pB6/K4R2/1P6/P7/5p2/5k2 b - -,d7f5
1r1q4/R2bnpk1/3R1bp1/2pBp2p/2N1P1P1/2PP1Q1P/5P1N/1r4K1 w - -,h2f1
2R1Rr1k/4Q1pp/8/p2p4/3P4/1P5P/P4rK1/8 w - -,g2g3
8/1r4kp/4npp1/R2Np3/4P2P/5P2/6P1/5K2 w - -,a5a6
8/4k2N/6p1/1n2p2p/4P2P/8/5K2/8 w - -,h7g5
2k2r1r/pp1b1pp1/2n1p1n1/3pP1N1/q1pP2Bp/P1P3P1/1QPB1PKP/4R2R w - -,f2f4
1qr1r1k1/5p1p/pp1pp1p1/5nP1/PPP4P/5Q2/8/1NRR1BK1 w - -,f3f2
r6r/1p2bkp1/p2n1p1p/2p5/7N/P1B1P3/1P3PPP/2KR3R w - -,d1d5
2k5/2p5/p5pp/5p1n/3P4/2P1r1PP/1P1b1QK1/8 w - -,f2d2
3rr1k1/pp4pp/1qp1pn2/2b5/1n1NP3/P1N1BP2/5QPP/3RK2R w K -,a3b4
r1bq1rk1/pp3pbp/2n1pnp1/2pp4/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - -,f1e1
r1bqk2r/pp1nbpp1/2p2n1p/3p4/3P3B/2N1P3/PPQ2PPP/R3KBNR w KQkq -,f1d3
1r2r3/2nq2kp/1p1pb1p1/p1p2p2/PPPp1P2/5BN1/1N1Q2PP/R1R3K1 w - -,b4a5
q3b1k1/5p1p/4ppn1/1P6/P3P3/1N3P2/1r2B1PP/4QR1K w - -,b3c5
r1b2rk1/ppqnppbp/5np1/3p4/P2PP3/3B1N2/1P1N1PPP/R1BQR1K1 b - -,d5e4
2rqk2r/p3bppp/4p3/P7/3pQ3/2P3P1/5P1P/R1B2RK1 w k -,c3d4
3r2k1/5ppp/1p6/b1pPpP2/2P1B3/3P3P/P5K1/1R6 b - -,g8f8
r1bqnrk1/pp1p2pp/2p1p3/8/1b2PP2/2Nn2QN/PPPB2PP/2KR3R w - -,g3d3
2kr3r/pp2qp2/1np1b1p1/3p3p/N2P4/3BP1P1/PPQ2PP1/1KR4R b - -,b6a4
2r3k1/pp1r1p1n/3qp1p1/P1p5/R1P2P1p/7P/3N1BPK/QR6 w - -,f2e3
r5k1/5pp1/p1R4p/3p4/3P4/P3P2P/5PPK/8 w - -,h2g3
2R3r1/p3kp1p/1b1Nppb1/8/7P/6P1/PPP5/1K1R4 b - -,g8f8
4br1k/q5pp/1brp1p2/p3pP2/1pP1P3/1P2NBP1/P2RQ2P/3R3K w - -,e3g2
3r4/bp3kp1/p1p1np1p/P4N2/2PPR3/1PB4P/2K3P1/8 b - -,d8d7
2r2rk1/p2nqppp/1p2pn2/1Nb5/2P2B2/4PbP1/PQ3PBP/R2R2K1 w - -,g2f3
5n2/2r2pk1/p7/1p3R2/1P1P4/1K6/8/6R1 b - -,f8g6
8/1b1k4/3p2pp/2p5/1n2P2P/1P2KN2/r2N2P1/2R5 w - -,g2g4
r5rk/1ppb1qb1/3p4/2nPpp1P/p1P5/2N1BP2/PP1QB3/1K4RR b - -,e5e4
r1bq1rk1/1pp3pp/pbnp1n2/4pp2/1PP5/PQNP1NP1/3BPPBP/R4RK1 b - -,g8h8
8/8/3Bq1k1/6pp/3b4/6PP/2Q2PK1/8 b - -,e6f5
3r1rk1/1p2q1pb/p3pp1p/2Pp4/1P2n1N1/1NP5/P3QPPP/2R1R1K1 b - -,e6e5
r3r1k1/pp2bppp/1qp1p1n1/4N3/1PPPN3/P2Q4/5PPP/3RR1K1 b - b3,a8d8
8/8/p2p1k2/2p1p3/B1P1Pp2/P2P1P1b/5K2/8 w - -,a4c6
r3k2r/ppqn1ppp/2p1pn2/4N2b/2PP4/P1B4P/1P2BPP1/R2Q1RK1 b kq -,h5e2
1q2r2k/1b1nbppp/pp3n2/3N4/1P2P3/1N3P2/P3BQPP/2BR2K1 b - -,f6d5
4k3/1Q5p/1p6/p3N3/5P2/5K2/P7/3q4 w - -,f3g3
1r1q1rk1/pb2bppp/8/2pN4/1n6/4PN2/PB2BPPP/R2Q1RK1 b - -,b4d5
8/5pk1/1R5P/5K2/5P2/8/8/7r b - -,h1h6
8/p1n3p1/1p3k2/3p3P/P2N4/1P3B1r/3K4/8 b - -,g7g6
r3kbnr/pp1npppp/2p5/3P4/3B4/2N2B1P/PPP2PP1/R3K2R b KQkq -,c6c5
rnbqrbk1/pp3ppp/3p1n2/2pP2B1/8/2N1P3/PP1NBPPP/R2QK2R b KQ -,b8d7
r1bq1rk1/ppp1bppn/2np3p/4p3/2B1P3/P2P1N2/1PPN1PPP/R1BQR1K1 w - -,d2f1
5rk1/4b2p/r1qpb1p1/6P1/p2RP3/P3B3/1PPQ1P2/3R2K1 w - -,e3f4
8/p1Rnb1pp/4k3/8/1p1P4/4nP2/PP3BPP/6K1 b - -,e3d5
r2q1rk1/pb2n1bp/1p1pp1p1/2p2p2/1PPnP3/P1NPBPP1/4N1BP/1R1Q1RK1 b - -,d8d7
2r1k3/2qPbp2/pp1p1n2/7p/2PN4/1PN5/PB4bP/1BR2RK1 b - -,c7d7
7r/8/3kpN2/1n6/R7/5P2/6P1/6K1 w - -,f6e4
7k/p1p3p1/5n1p/P7/3Pp1r1/1qP3P1/2rNQP1P/R5K1 w - -,e2g4
3k4/7R/1p3r1p/5Nb1/4K1P1/8/8/8 w - -,e4d5
r4rk1/pp3pp1/2n3p1/3QP3/6P1/2N3nP/Pq2BP2/R3R1K1 w - -,d5b3
4k2r/3rb1pp/4Q3/pN1n4/Pq6/5P2/1P4PP/2R2RK1 b k -,d7d8
rn1q1rk1/p1p1bpp1/1p2bn1p/3p4/3P3B/2NBPN2/PP3PPP/R2Q1RK1 b - -,b8d7
8/1p2r2p/8/1k4p1/2R3P1/1P2P1K1/1P2P3/8 w - -,g3f3
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/2NPP1P1/PP2NPBP/R1BQK2R w KQ -,e1g1
rr4k1/2pb1pbp/1p1p1np1/q1nPp3/p1P1P1P1/2N1B2P/PPBNQP2/1R3RK1 b - -,a5a6
r4r1k/ppqbn1pp/2nb1p2/2pP4/8/P2P1NP1/1P1N1PBP/R1BQR1K1 b - -,e7d5
r2qkb1r/1p3ppp/p1n1pnb1/3p4/3P1N2/3BBP2/PPP1N1PP/R2QK2R b KQkq -,f8d6
r1br2k1/pp1q1pbp/2n3p1/4p3/P2p4/BP1N2P1/3QPPBP/2RR2K1 b - -,d7e8
3r2k1/3q1ppp/4r3/2p5/P2n1P2/3B4/1PP3QP/R1B2RK1 b - -,c5c4
8/8/6p1/4R2p/5P1P/1P3kPK/P1r5/8 w - -,e5e1
8/6k1/pp2p3/2p3p1/Pn5p/1P5P/3bBBK1/8 b - -,g7f6
rnbqr1k1/ppp2ppp/4pn2/3P4/1b1P4/2N1P1P1/PP2NP1P/R1BQKB1R b KQ -,e6d5
3r1r1k/2p1q1pp/ppn1p3/3p1p2/3PnP1P/PP1NQ1P1/2P1P1B1/R3K2R b KQ -,e4f6
r2q1rk1/pp2pp1p/6p1/n1BP4/4P3/2b2B2/P4PPP/R2Q1RK1 w - -,a1c1
8/p3bkp1/1qQ1p2p/1p1rPp2/1P6/P4N2/5PPP/4R1K1 w - -,c6b6
3q1rk1/1b3ppp/4p3/1p6/rQ1PP3/3B1P2/1P4PP/4RRK1 w - -,b4c5
1k2r3/pppb1pp1/3rq2p/3p3P/3P4/4R3/PPPQ1PP1/2K2B1R b - -,e6f6
r1bqkb1r/ppp2p2/2np1npp/4p3/P1B1P3/3P1N2/1PP2PPP/RNBQ1RK1 w kq -,f1e1
r1bqr1k1/ppn2pbp/3p1np1/2pP4/P3P3/2N4P/1P1NBPP1/R1BQ1RK1 b - a3,b7b6
3q1rk1/1p1b1p1p/2p3p1/r2P4/p2Q1NPb/P2BP3/1PP4P/2K3RR b - -,h4f6
r2q1rk1/1b1nbppp/p1p1pn2/1p6/3PPB2/P1N2N1P/1P2BPP1/R2Q1RK1 w - -,a1c1
rnbqk2r/ppp1ppbp/6p1/3p4/2PP3B/2P1P3/P4PPP/R2QKBNR b KQkq -,c8e6:c7c5:e8g8
r2r2k1/5p1p/p5p1/2bBP3/Pp6/7P/1P4P1/R1B2R1K b - -,d8d5
r1b1k2r/3nppbp/pq1p1np1/2pP4/P3P3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,f3d2:a4a5
3r4/p1Q3k1/P1b2pp1/2P2q2/3rp2P/4R3/7P/1R3BK1 b - -,f5d7
r1k4r/1p2npp1/p3b2p/2bNP3/2B2B2/8/PP3PPP/2KR3R w - -,f4e3
6k1/3r2pp/pqn1bp2/1pR1p3/1P6/P3PNP1/1Q3PP1/3B2K1 w - -,b2c2
3R4/5pkp/2N3p1/1P1n4/5P2/8/5K1P/3r4 b - -,d1d2
qr4k1/2pnbppp/3p4/2nPp3/4P1b1/2P2N2/2B2PPP/2BQRNK1 b - -,a8a5
5nk1/pq1rnpbp/1pp3p1/1PP1p3/P3P3/1QN1BPP1/4N1KP/3R4 b - -,b6c5
6k1/6p1/1p5p/1P1b1P1P/1b1p2P1/3B4/p1K5/2B5 w - -,c1b2
7k/4b1np/p2p2pN/1ppPp1P1/4P2P/1PP2KN1/P7/8 b - -,g7e8
1rb2rk1/1p1p1ppp/p3p3/4n3/2PN4/qPQ1P1P1/5PBP/R4RK1 b - -,a3e7
4N3/6p1/8/8/8/2kp4/1p6/3RK3 b - -,g7g5
r2q1rk1/5ppp/b4n2/p2P4/2p2B2/P2B4/2P2PPP/R2Q1RK1 w - -,d3e2
r2q1rk1/p1pnbppp/2pp4/4P2b/4P3/1PN4P/PBP1NPP1/R2Q1RK1 b - -,d7e5
2kr1b1r/pp1n1ppp/1qp1pnN1/8/2BP2P1/2N5/PPPBQP1P/2KR3R b - -,h7g6
2rr4/1pq1kp1p/p3p1p1/2P1n3/1P1p4/P1R1P3/2Q1BPPP/2R3K1 w - -,e3d4
8/4nk1p/2p5/1p2K3/1Pp5/2P2P1P/5B2/8 b - -,e7d5
8/8/1p6/2pPpB2/P3P2k/2P1N1pp/5r2/7K w - -,f5e6
7r/p3kp2/2b1pN1p/1pr1P1P1/2BR1P1R/P7/2P3P1/4K3 b - -,b5c4
8/4r3/8/8/8/6Rp/3K3k/8 w - -,g3g8
r1q1rnk1/pp1n1pbp/P1p3p1/3Pp3/4P3/4BNPP/1PQN1PK1/R1R5 b - -,b7a6
6k1/5p2/2pB3p/3bP1p1/1p2r1P1/7P/5P1K/1R6 b - -,b4b3
r2qrbk1/3b1ppp/pn1p1n2/1p1Pp3/4P3/2N1B1PP/PPQN1PB1/R4RK1 w - -,f1c1
