1K6/8/1P6/8/2q5/7Q/8/6k1 w - -,h3g3
r2r1bk1/2q2ppp/pnnpb3/4p1P1/4P3/1P4NP/1BP1NPB1/R2Q1RK1 w - -,c2c4
3qr1k1/1p2pp1p/p1p1nbp1/1r6/1P1P4/2P1N1B1/1P3PPP/R2QR1K1 w - -,d1b3
2rqr1k1/1b3p2/p2ppnp1/7P/1PP1PP2/3B1R1Q/1N5P/5R1K b - -,f6e4
3q1r2/Rr4bk/4b1pp/2p5/Q1P1Pp2/N5P1/4PPBP/6K1 w - -,a7b7
rr2k3/1nRn3p/p4pp1/8/3P4/4PN2/PP3PPP/2R3K1 b - -,b7d6
r2q1rk1/pp2ppbp/1n4p1/3n4/3P2b1/1BN2NB1/PP1Q1PPP/R3K2R b KQ -,g4f3
r2q1r2/1p4bk/pn1p1p2/P1pPp1p1/2P1P1Q1/1PN3P1/3B2P1/R4RK1 b - -,b6c8
rn3rk1/6pp/2p2p2/pp3P2/3PQ1N1/4P3/qP4PP/2R2RK1 w - -,g4f2
r4rk1/pp3p1p/3pPnp1/2p5/2n1P3/2NP3R/PPP3PP/R5K1 w - -,e6f7
2r1r1k1/1b1n1p2/pp1qp1p1/7p/2PPB3/5P2/PQ1B2PP/2R1R1K1 b - -,d6c7
2Rr2k1/pb3pbp/1p1q2p1/3P4/8/1B2QN2/P4PPP/3R2K1 b - -,d8c8
2R5/1pr3q1/1N1pQ3/P2Pp2k/4Pp2/5Pn1/6P1/6K1 w - -,c8c7
rnbqk1r1/pp1nbpp1/4p2p/2ppP2Q/3P3P/2N1B3/PPP2PP1/2KR1BNR b q -,c5d4
1r3rk1/p3pqbp/3pn1p1/1Pp2p2/2P2P2/1QN1P1P1/P2B1nKP/3R1R2 w - -,f1f2
8/1B6/7K/2k4P/4p3/5p2/3n4/8 b - -,f3f2
r1bqk1nr/pppnp2p/3p1pp1/3P4/3QPP2/2N5/PPP3PP/R3KBNR w KQkq -,h2h4
5rk1/p1b1rppp/1pq5/2p1Pb2/2Pp1P2/1Q1P2B1/P2N2PP/1R2R1K1 b - f3,c6h6
r3k1nr/1pqb1p2/p2Rpp1b/2P4p/3QNP2/PN3B2/6PP/R5K1 b kq -,h6f4
8/8/8/2p5/2k5/2B3K1/p7/3N4 w - -,g3f2
rn1q1rk1/pb2ppbp/1p1p1np1/2p5/3PPP2/2NB1N1P/PPP2BP1/R2QK2R w KQ c6,e1g1
6k1/2R5/7p/5K2/6PP/8/1r6/8 b - -,b2b5
4rbk1/p4ppp/2B2n2/1r3P2/3P4/4B2P/5P2/R4RK1 b - -,b5f5
1r1q1rk1/2n1ppbp/1n1p2p1/1ppP4/4PP2/2N3BP/1PP3P1/R2QRBK1 w - -,c3b5
2r5/2r1k3/3ppp2/1b6/4PbNp/1P3B1P/R5P1/1K1R4 b - -,c8b8
4r3/1p6/4q1k1/2R2p1p/1P6/6P1/3Q1P1K/8 b - -,e6e2
r3rn2/1b3pkp/pN3np1/1p2p3/1p2P3/P4N1P/1PP2PP1/3RRBK1 b - -,a8b8
rn1qkb1r/1p3ppp/p1p1pn2/3p4/P1PPb2N/2N1PP2/1P4PP/R1BQKB1R b KQkq -,e4g6
r4rk1/ppq1ppb1/7p/4PbP1/2BQp1PB/7P/PPP5/2KR3R b - g3,f5g6
8/2q5/6p1/5p1k/2P4p/1P1Q3P/1r4P1/6BK w - -,d3d1
2rr2k1/1bp1qpbp/1p4p1/pP1pn3/P2N2n1/3P1NPB/1B2PP1P/2RQ1RK1 b - -,f7f5
2r3k1/5pp1/1p4np/3Rb3/8/6N1/1P3PPP/r1B1R1K1 w - -,d5d1
r2r4/ppq1bkpp/5p2/1B1np3/1P6/P4Q2/1BP2PPP/R4RK1 w - -,f3b3
8/R2p1rk1/P2p2B1/3Pp1p1/4P1Pp/r6P/5RK1/8 b - -,f7f2
6k1/5pp1/2Q1p2p/8/rp5P/3Bq3/6P1/1R2N2K b - -,g7g6
rqr5/pp3pk1/3p1bnp/2pPp1p1/2P1P3/2N1B2P/PP3PP1/2RQ1RK1 b - -,b7b6
3q4/3P4/3QpkP1/2p5/8/2K5/p7/8 w - -,c3b2
2b1r2k/1p4bp/1R2P3/3B4/2P3p1/6P1/r4B1P/4R1K1 b - -,a2f2
r4rk1/2p1ppbp/ppn2np1/8/P2P1B2/2N2N2/1PP2PPP/R4RK1 b - -,a8c8
1r3rk1/1b2q2p/3pp3/2n1bp2/1p6/1P2BPPP/R1PQN1B1/5RK1 w - -,a2a7
R7/8/7p/P5k1/6p1/r7/6K1/8 b - -,h6h5
4r1k1/R2R3p/p2B1b2/1p3p2/1P4p1/4P1P1/5PKP/3r4 b - -,f6c3
2rrb1k1/1p1nbppp/p1npp3/q1p3P1/2P1PP2/2NPB2P/PP1QN1B1/2R2RK1 w - -,h3h4
6k1/2bq2pp/1pp1p3/p2rP3/P3QB2/3R3P/1PP2PP1/6K1 b - -,d5d3
5r1k/1bp3R1/p3N3/1p1n2np/8/2P3P1/Pr3P1P/5RK1 w - -,g7g5
r7/ppp2p1p/2k1bp2/3p3r/3P3P/P4P2/1PPKNP2/6RR b - -,a8e8
8/8/1b1kp3/1p1n4/1P2B3/2P5/2K5/4B3 w - -,e1g3
8/1p1k1pp1/pB2r3/4n2p/P3p2P/2P3P1/2K1PP2/1R6 w - -,b6d4
r1b2rk1/p3qppp/1p2p3/2n5/2B1n3/P3PN2/1P2QPPP/R3BRK1 w - -,b2b4
7r/2R2pp1/4p1k1/6P1/5P2/1Pb5/2P5/1KB5 b - -,h8h3
1r4k1/2qn1ppb/7p/8/2p3P1/4NN1P/Qb2PPB1/3R2K1 b - -,c4c3
r3k2r/p4p2/1nR1pb2/7p/P5p1/1P4B1/4NPPP/5RK1 w kq -,e2c3
r4rk1/1bq1bppp/pp1ppn2/4n3/P2NPB2/2N2B2/1PP1QPPP/3RR1K1 w - -,d4b3
r2q1rk1/ppp2pp1/1bnpbn1p/4p3/2N1P3/2PP1N2/PPB2PPP/R1BQ1RK1 b - -,e6c4
r2q1rk1/1p2bppp/p2p1n2/4p1B1/2BnP3/P1NQ3P/1PP2PP1/R4RK1 b - -,a8c8
r4rk1/p4p1p/1p3Pp1/3p4/q5P1/P2pnP2/1P1QN2P/2R1R1K1 w - -,b2b3
r1b1r1k1/1p1n1pb1/p1pB2pp/4P2n/2P5/2N2N1P/PP3PP1/2KR1B1R b - -,d7e5
3q2k1/1b1r1pbp/p1p1p1p1/2B1P3/1PP5/P3Q3/4BPPP/2R3K1 b - -,h7h5
4rrk1/6pp/p3B2P/1pbPq3/8/3R4/1PP3Q1/1K5R b - -,g8h8
8/8/8/5r2/1k6/4K1P1/2p2P2/2R5 b - -,b4c3
4r1k1/p5pp/3p4/1p1q1P2/2pP1QP1/8/P6P/5RK1 w - -,f1d1
rnb1k1nr/ppq1ppbp/2pp2p1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,g8f6
2rqr1k1/pp3p1p/6p1/3p4/2n5/1BPQP2P/P4PP1/1R1R2K1 b - -,c4b6
4rb2/R7/3p1pk1/1p1N1N2/2p1nPP1/2P5/PP6/2K5 b - -,e8e6
5rk1/p3qrpp/bp2p1n1/3pP2Q/5P2/1P2P1N1/P6P/2RR2KB w - -,h1g2
1q2r1k1/p4pp1/1p1prb1p/3R4/2P1PQ1P/PP3N2/6P1/3R2K1 b - -,b8c8
r1b2rk1/pp4pp/8/1Npq4/Q7/6P1/PP3PP1/R4RK1 b - -,c8d7
r1bqkb1r/pp3ppp/2n5/2p5/2Pp4/1P2P1P1/P4PBP/RNBQ1RK1 w kq -,f1e1
2k1r2r/1pbqnppp/2p1b3/p2p2P1/3P1P2/2NNBQ1P/PPP5/R4RK1 w - a6,g1g2
r4rk1/pb2pp1p/p2p4/4bq2/4nB2/1NNQ3P/PPP4K/R4R2 w - -,c3e4
2kr2r1/p4p2/2p1p3/2N1n3/3p3n/PRp3B1/2P2PPP/5RK1 w - -,f1b1
8/1p3rbk/1Ppp1qp1/p7/2PPN3/3Q2P1/P1R3K1/8 b - -,f6e7
r5k1/p1p1qRbn/1p4pp/1Q2P3/3p4/2PB3P/PP2N1P1/6K1 b - -,e7c5
1r1qk2r/3b1ppp/B2p4/4p1b1/pN2P3/2P5/1P3PPP/R2QK2R b KQk -,d8b6:d8a5
8/7p/1pk5/5P1P/6K1/8/8/8 w - -,f5f6
r1b1kb1r/pp2qppp/5n2/1N1pn3/5B2/2N5/PPP1BPPP/R2QK2R w KQkq -,c3d5
rn1qkb1r/pp2pppp/5n2/2P5/Q1b4N/4P3/PP1N1PPP/R1B1K2R b KQkq -,b8d7
r3k2r/p3ppbp/3p1np1/q1pP2N1/2P1N1b1/P3P3/1BQ2PPP/R4RK1 b - -,g4f5
r3kb1r/pp3ppp/2n1pn2/2p4q/6b1/3PBNP1/PPP2PBP/RN1Q1RK1 w kq -,b1d2
rn3rk1/pp2ppbp/3p1np1/q7/2P1PPb1/2NBBN2/PP2Q1PP/R4RK1 b - -,b8c6
r3k2r/pp3ppp/3q4/8/2pPp3/8/PP3PPP/2RQ1RK1 w kq -,c1c4
r7/1p1kp3/1P1b1p2/PR4p1/6Pp/3K1P1P/2R5/8 w - -,c2c4
r2q1rk1/pp3pbp/2n1bnp1/2pp2N1/2P5/2NBP3/PP3PPP/R1BQ1RK1 w - -,g5e6
1r6/p1k3pp/b1P2p2/P1R1p3/3r2P1/7P/5PB1/2R3K1 b - -,b8b2
r1bqkb1r/ppp2ppp/2n5/4p3/8/2P3P1/P1PP1PBP/R1BQK1NR w KQkq -,g1f3:d2d3:a1b1
8/8/6p1/4Bk2/8/Pr1N1K2/8/4R3 w - -,f3e3
8/8/4p1p1/K2k1p1p/3PnP1P/5BP1/8/8 w - -,a5b5
6k1/p4p2/3p2p1/1ppP2P1/5Bn1/2P5/2BR2K1/4r3 b - -,g4e3
r4rk1/ppq1bppp/2bppn2/4P3/3B1P2/2N2B2/PPP3PP/R2Q1R1K b - -,f6d7
r1bqk2r/pp1ppp1p/2n2npB/8/4P3/1NP5/P1P2PPP/R2QKB1R b KQkq -,f6e4
3r4/1p3k1p/r1qPpnp1/pNn1Qp2/2P2P1P/1P2N1P1/P3R2K/3R4 w - -,b5d4
1r1qr1k1/1ppb1pb1/p1np1np1/3Pp2p/P1P5/1PN1PNPP/1B3PB1/R2Q1RK1 b - -,c6b4
8/8/8/3K4/8/4k1n1/5R2/8 w - -,f2f8
r2qk2r/4bppp/p1n1pn2/1pp5/4P1b1/2P1BN1P/PPBN1PP1/R2QR1K1 b kq -,g4h5
8/1R3k2/8/6K1/5P2/8/8/r7 b - -,f7f8
4q3/pn4bk/1p5p/4pppP/1B2N1P1/1P6/P2Q1PB1/6K1 b - -,f5g4
rn1qkb1r/pp2ppp1/2p2nbp/8/3P1N1P/6N1/PPP2PP1/R1BQKB1R b KQkq -,g6h7
8/p2N1kp1/2p2p2/4bn1r/2P1R3/1P3r1p/P2PRB2/7K b - -,e5g3
2r1k2r/3n4/1q2p2p/n2pP3/1p1P2Pp/pP1BQN2/2P2R2/R5K1 w k -,g4g5
7R/p2knr2/4p3/P2pP3/1rp2qP1/1P1Q3P/2P1RPK1/8 w - -,b3c4
r1bqkb1r/pp1npppp/2pp1n2/8/3PP3/2N3P1/PPP2P1P/R1BQKBNR w KQkq -,f1g2
2q2bk1/5ppp/4p3/3pP1B1/pn1P3P/5N2/1P1Q1PP1/6K1 w - -,d2d1
rn1k4/p2b1ppp/1p6/3Pp3/4PP2/3B4/P2KN1PP/1Rr5 w - -,b1c1
8/kp1Q4/p4p2/4q1p1/P2p4/3B4/8/3K4 b - -,e5c5
r1q1k2r/4ppbp/2b3p1/1BB1n3/P1P5/8/1P1Q1PPP/R2R2K1 b kq -,e8g8
5rk1/1p4pp/2b1p3/2pqP3/3p1BP1/1P1P2QP/2P4K/R7 w - -,a1f1
4R3/8/2r2kpp/p4p2/3b3P/3N2P1/3K4/8 b - -,d4c3
r6r/pp1nkpp1/1qp1p3/3pPn1p/1P1P4/P1NQ1N2/2P2PPP/R4RK1 w - -,b4b5
r2qr1k1/pb3pp1/np3b1p/2pp4/3P4/P1N1PN2/1P3PPP/1BRQ1RK1 b - -,d8d7
rr4k1/4p1bp/n2p2p1/1qpPPp2/5P2/4B3/PP1NQ1PP/1R1R2K1 w - -,e2b5
8/6kp/2p5/1p1b1B2/1P5P/r1p1R1P1/5K2/8 w - -,f5c2
r2q1rk1/1ppnbppp/p1b2n2/3N2B1/P1p5/5NP1/1PQ1PPBP/R2R2K1 w - -,d5e7
8/8/4p1k1/p3r1p1/3R2P1/1P1K3P/5P2/8 w - -,f2f4
6k1/1r3p2/5R1P/5PP1/7K/8/8/8 b - -,b7a7
1b3r2/p3Qpk1/1p4p1/3R3p/7P/1P2PNP1/Pq3PK1/8 w - -,f3g5
2r2bk1/p1pn1r2/2p1b1qp/3N1pp1/2P1p3/4P2P/PQ2BPPN/2RRB1K1 b - -,f5f4
r3k2r/pp3ppp/2q2n2/3pn3/6P1/2P2N1P/PP1NQP2/R3K2R b KQkq -,e8g8
r1r2k2/1b1n1ppp/1pp1pn2/p2p4/N1PP4/1P1NP3/P1R2PPP/2R2BK1 w - -,f2f3
2r5/1b3Pk1/p3p1P1/4P3/1pB4p/8/PP6/K4R2 b - -,b7g2
6k1/1r5p/5pp1/3R4/8/4P2P/5PPK/8 b - -,h7h5
3rr1k1/1p3p2/p2p3p/3p1n2/2Nb2P1/1P1R4/P6P/4BR1K w - -,g4f5
1k1r3r/2b2pp1/p3pn2/q1N3B1/1p3n1P/1B3b2/PPP2Q2/1K1RR3 w - -,f2f3
r4rk1/1bp1bppp/p3p3/2Nq2P1/Pn1P3P/1P2BN2/1P1RQP2/2K4R w - -,c5b7
r3kb1r/pp4pp/1qn5/3ppb2/2p5/2P1PNP1/PP1N1PP1/R1Q1KB1R w KQkq -,f3h4
r2rn3/2qn1pkp/1pp1p1p1/2Pp4/1P1P4/1N3BP1/1Q2PP1P/2RR2K1 b - -,g7g8
3b4/8/4P3/3k2p1/P5B1/3K3P/8/8 b - -,d5c5
r2q1rk1/5ppp/R2p3b/3Pp3/1p2P2P/3Q2P1/1P3PB1/5RK1 b - -,a8a6
8/7p/P3kp2/4p3/8/1r4P1/7P/R5K1 b - -,b3b8
r4rk1/5pb1/2qp1npp/1pp5/n3P1P1/2P3BP/1PNNQP2/1R3RK1 b - -,f8e8
8/1R6/p4k2/3p2p1/1P1P2P1/8/P6K/5r2 b - -,f1f2
r4r1k/1pp1n1b1/p2p2pp/3PP3/P1P5/3N2P1/1P5P/R1B2QK1 b - -,f8f1
r1b2rk1/pp4pp/2n1pq1n/1NPp4/5P2/8/PPPQ2PP/R3KBNR w KQ -,e1c1
r1bq1rk1/ppp1ppbp/3p1np1/2nP4/2P1P3/2NB1N2/PP3PPP/R1BQR1K1 b - -,c5d3
1r6/4kp2/Rb2p2p/3p2P1/1P6/3BP3/1P2KPP1/8 b - -,h6g5
r4rk1/pp4p1/1bn1p2p/8/2Bp1B2/P3P3/1P3PPP/2R2RK1 b - -,f8f6
r1bqk2r/pp1pnpbp/2n3p1/1Bp1p3/4P3/2PP1N2/PP3PPP/RNBQR1K1 b kq -,e8g8
2brr1k1/ppq1bppp/2p2nn1/P2p4/2QNPP2/2N1B2P/BPP3P1/R3R1K1 w - -,e4d5
r1bq1rk1/1p3ppp/p1n1pn2/8/1bN1P3/2N1B3/PP3PPP/R2QKB1R w KQ -,c4b6
5bk1/6p1/Q4p1p/4pN1P/3B2P1/1q3PK1/8/8 b - -,e5d4
r5k1/1p4PR/p2p1n2/2pPp1Q1/P1P1P3/2Nq4/1P6/6K1 w - -,h7h8
8/2P5/5N2/5R2/P4b2/5k1P/1K6/2r5 b - -,c1c7
r5k1/3b3p/p1p2r2/3p2p1/1P2p3/P5P1/4PPBP/2RR2K1 w - -,g2e4
r1b1k2r/ppppnppp/2n5/2b5/4q3/2P2N2/PP2BPPP/RNBQ1RK1 w kq -,b1d2
rr4k1/q2npp1p/b2p2p1/2pP4/3bP3/1PN3PP/P1Q2PB1/1R1RB1K1 b - -,d7e5
1nq2rk1/2pb1p1p/p5p1/2P5/1pB5/5P2/QP1R2PP/2KR4 b - -,d7b5
2k3r1/p1p1bp2/q7/N1PpP2p/1Q1n2r1/3P4/P2B1RPP/1R5K b - -,d4c6
rn1qkb1r/pp1bpppp/3p1n2/8/3QP3/2N2N2/PPP2PPP/R1B1KB1R w KQkq -,c1g5
r1bqk2r/ppp2ppp/2np1n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,e1g1:h2h3
r1b1r1k1/pp1nBpp1/2p1p2p/7q/1PPPn3/P2B1N2/4QPPP/2R2RK1 b - -,e4f2
7r/6k1/p2p2n1/1p1Pp1Br/1q2pP2/6P1/PP2K1Q1/1R1R4 w - -,g2g1
5k2/1p1n1ppp/1p2r3/8/1R2P1b1/2N3PP/PP2P1B1/6K1 b - -,g4h5
r7/p2bqrkp/np1n1pp1/2pPp3/2P1P3/P2BNN1P/1P1Q1RP1/5RK1 b - -,a8f8
2rq2k1/R2n1pb1/1P1p2p1/1QnPp3/4P1P1/4BPN1/8/4N1K1 w - -,b6b7
r1b2rk1/p4ppp/1pQb3q/3pN3/3P1P2/4P3/PP2B1PP/R4RK1 b - -,a8b8
4r1k1/2p2ppp/1pq5/p2n4/2nPr3/1QPN2PP/R4P1K/4B2R b - -,e4e2
7r/4kp2/p1qpp3/4p3/1PP1PbP1/3Q2P1/2N5/5R1K w - -,h1g2
2r1kb1r/1q3p2/p1n1p1pp/1p1pP3/bN1P4/P1PB4/3BQPPP/1R3RK1 w k -,f2f4
6k1/pp2b1p1/1n2p2p/5p2/1PqPpP2/P3Q2P/4N1P1/4B1K1 w - f6,g2g4
8/p7/1p6/2p1Bk1p/2P1p3/1P4PK/P2r1P2/7R b - -,f5e5
8/4k3/6p1/1pp2p1p/2pb3P/Pn4PN/5PB1/3K4 b - -,d4e5
4r3/1p3kp1/2p1p2p/2Ppn3/P4N2/P3PP2/3R2KP/8 b - -,e5c4
r3rbk1/4qp2/p1bpn1p1/Pp2p2p/1P2P2P/2P2NP1/2BB1P1K/R2QR3 b - -,e7c7
2r4k/p5p1/1p1q4/5p1p/3n3P/2PB1p2/PK6/3QR3 w - -,c3d4
2kr3r/pp2q1np/1np1bpp1/3p4/3P2N1/2NBP2P/PPQ2PP1/1K1R3R w - -,h1e1
rn2kbnr/pp3ppp/q1p1p3/3pP3/3P4/2N3Q1/PPPB1PPP/R3K1NR b KQkq -,g8e7
r4rk1/ppq1nppp/8/8/4Q3/1NP5/PP3PPP/R2R2K1 b - -,a8e8
r1b2rk1/2qn1ppp/1pp1pb2/p1Pp4/1P1P1P2/P1N2NP1/2Q1BP1P/R4RK1 b - -,c8a6
2r1rnk1/pbq2pbp/1p1ppnP1/6N1/3P4/2PB2N1/PPQB1PP1/R3R1K1 b - -,h7g6
2r2k1r/1p3pb1/p2pp1p1/5n1p/R1P2P2/BPN1PKPP/3P4/5R2 b - -,f8e7
2rq1k1r/p3np1p/5p2/3p1b2/B4R2/5N2/PP3PPP/R2Q2K1 w - -,d1d4
r2r2k1/1p3ppp/p3bn2/3pq3/8/P1N1P2P/1P2BPP1/R2Q1RK1 w - -,e2f3
6k1/p3r2p/2bN1p2/1p2rPp1/3R2P1/1P2p1K1/P6P/4R3 w - -,a2a4
r3k2r/1ppn2bp/p2pqnp1/3N4/P3P3/8/1PP1B1PP/R1BQ1RK1 b kq -,e8c8
r2r2k1/pp3p1p/3B2p1/6qn/2PbP3/P1NB1P1b/1P2Q2P/2RR3K w - -,d1g1
5rk1/1p1R1p1p/6p1/8/rpPRPq2/5P2/6PP/4Q1K1 b - -,f8a8
8/1p5p/1p1k4/5bP1/P1PK1P2/1P1pB3/8/8 w - -,d4c3
r4rk1/2p2pbp/2Pp1np1/3P1q2/PRp5/2N1BP2/3Q2PP/5RK1 w - -,b4c4
6k1/4K3/1p3P1p/p3n2B/2P5/8/1P6/8 w - -,f6f7
1k1rr1q1/1pb2pp1/p1p1p2p/4n2P/2PP4/2B5/PPQ2PP1/1K1R3R w - -,d4e5
8/8/5p2/4pP2/2Pk4/1R1PN1p1/4r3/6K1 b - -,e2e3
rn2k2r/pp1B1p2/7p/2Pp2p1/1b2n3/2N1P1B1/qPQ2PPP/2R1K1NR b Kkq -,b8d7
r1bqk2r/pppp1ppp/2n2n2/4N3/1b1PP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,d8e7:e8g8
3r1r1k/pp2q1pp/2pb4/5p2/1P1p2n1/3P2PP/PQ1BPPB1/4RRK1 b - -,g4f6
r2qbrk1/5p1p/p3pbpP/8/1p1NP3/1P2B3/1PPQN3/1K1R3R w - -,d4f3
6k1/p2r1pp1/3Pp3/q1r1P3/7P/6P1/p2QnPN1/R1R3K1 w - -,d2e2
2Rq1rk1/3n1ppp/p2bpn2/1p1pN3/3P4/1P2P2P/PB2NPP1/3Q1RK1 b - -,d8c8
r2qr1k1/pppbppbp/1nn3p1/8/3P4/2N1PNPP/PP3PB1/R1BQ1RK1 w - -,f1e1
5rk1/q2n2bp/3Q4/5p2/2PpPP2/5NP1/4r1BP/5R1K b - -,f5e4
r1k1r3/2pn3p/p3p1p1/1pb1n2B/4PB2/2N5/PPP3PP/2K1RR2 w - -,h5d1
r2qkb1r/1pp1pppp/p1Bp1n2/8/3PP1b1/2N2N2/PPP2PPP/R1BQK2R b KQkq -,b7c6
r1b2rk1/1pq1Bppn/p3p2p/2n1P3/3N4/1BN5/PPP3PP/R2QR1K1 b - -,c7e7
8/3B2p1/8/p4P2/P2bk2p/3R3P/4K3/2r5 w - -,d3d2
1r4k1/5p2/3p2pp/p1p1p1q1/PrPnPP2/1P2Q1P1/1R3K1P/1R1B4 b - -,e5f4
2q2rk1/1b4pp/pp2pb2/3p4/3NnBB1/4P3/PP3PPP/3Q1RK1 b - -,f8e8
8/6n1/R5kp/3pp1p1/p1rPPp2/P1B2P2/1P3KPP/8 b - -,g6f7
1q6/6kp/5pp1/N2P3r/1p2P3/1Pr2P1b/P1R2Q1P/2R4K w - -,c2c3
1r4n1/5kb1/p1p4p/4BP2/2p1p1P1/2N5/PP1q4/2KR3R w - -,d1d2
8/p7/2p5/5p1p/2Pp1P1P/3P4/k1K5/8 w - -,c2c1
5k2/5p1p/6p1/2p3P1/2P5/4P1KP/1p1r1P2/1R6 w - -,g3f3
4r1k1/1p6/1p3pbp/3P4/1P2q3/4P1QP/6P1/R3R1K1 w - -,a1d1
r2qr1k1/1pp2ppp/p1pb4/4Nb2/6n1/1P2PN2/PBPP1PPP/R2Q1RK1 w - -,e5c4
r2qkb1r/ppp2ppp/2n1bn2/8/2P5/8/PP1PBPPP/RNBQK1NR w KQkq -,g1f3
3rr3/1pp2pkp/p5p1/2PN4/1P6/b7/5PPP/1R1R2K1 w - -,d5c7
2R5/1r3p1k/npR3pp/p7/8/8/PP3PPP/6K1 w - -,g2g3
1r3rk1/Q1R2pp1/p5p1/3P4/4P3/3b2PP/5RBK/1q6 b - -,b8a8
3r1r1k/pp3pp1/5q2/3n4/2p1Bp2/5P2/PPQ3KP/R6R w - -,e4d5
8/3kbp2/Bpp2p1p/p6P/P4PP1/2P1K3/1P6/8 w - -,e3e4
r1br2k1/p4pp1/4pq1p/8/3n4/P4N2/2P1BPPP/1R1Q1RK1 w - -,f3d4
8/2p2p2/1p3k2/6rp/1PPPBn1p/P3R3/5PPK/8 w - -,a3a4
