8/8/3k4/6R1/3b4/7r/4K3/8 w - -,g5a5
2q2rk1/pp1bQpbp/6p1/7P/3PP3/3Bn3/P3NPP1/4K2R w K -,f2e3
2r2k2/p1b2pp1/1pn3p1/4p3/8/1N3N2/PPP1KPPP/3R4 b - -,f8e7
2r1k2r/2qp2pp/4pn2/5p2/2PP4/2Q1P1P1/3N3P/R4RK1 b k -,e8g8
1krr4/1p2qp1p/p3p3/P1n2p2/5Q2/2R2BP1/1PP2PP1/4R1K1 b - -,e7d6
8/4r1k1/1bR2pp1/8/4BPP1/1P2PK2/8/8 b - -,b6a5
4r2r/pp3pbk/2bp2pp/1q1n3P/3P2Q1/1B3N2/PP1B1PP1/R3R1K1 b - -,d5f6
1r1q1rk1/p2b2bp/1p1p1np1/2pP1p2/P1P1p3/2B1P1P1/1PQRNPBP/5RK1 w - -,b2b3
6k1/4r3/1pp5/p1p2qpp/P1P5/2bPpP1P/2P3Q1/1R3R1K w - -,h3h4
r1bqk2r/pppn1pbp/3p1np1/4p3/2PP3P/2NBP3/PP3PP1/R1BQK1NR w KQkq -,g1f3
8/1p3Rk1/1r4pp/3B4/8/2b1P1PP/5P1K/8 b - -,g7h8
r1bq1rk1/pp2ppbp/n2p1np1/2p5/3P4/2N2NP1/PPP1PPBP/R1BQR1K1 w - -,e2e4
r2qr1k1/pp3pp1/2n4p/3npb2/1PN5/P3PN1P/4BPP1/2RQ1RK1 b - b3,e5e4
r1b3k1/1p4pp/4p3/p1q5/8/2P1P1P1/PP5P/R2Q1BK1 w - -,d1d8
r1b3k1/4q2p/1Q2p2b/1N3p2/PP2r1p1/1N4P1/4PR1P/R5K1 b - -,h6e3
1r6/1r1pbk1p/pBn1p3/5p2/2P2P2/1R1N4/P5PP/1R3K2 b - -,d7d6
3r2r1/1pp4k/p2pq2p/4p2N/2Pn3N/3PQ2P/PP3PP1/4R1K1 b - -,e6f7
r4rk1/1b3ppp/8/p1pn3q/PpB5/5N2/1PQ2PPP/R4RK1 w - -,f1e1
r3r1k1/5p1p/pR1Bp1p1/3pPP2/b2N2P1/P7/4NK1P/8 b - -,e6f5
rn2k2r/pp3pp1/2p1p1p1/q3P3/PbBPQ1P1/2N4P/1P3P2/R1B1K2R b KQkq -,b4c3
r4rk1/3n2bp/p1ppbnp1/qp3p2/P1P5/3Q2P1/1P1NPPBP/RNB2RK1 b - -,d6d5
2b3rk/1pR3n1/r4QPp/p3pp2/7P/8/PPP5/2K5 w - -,c7g7
1r6/4k2p/4p1p1/3r4/P7/1P1R1P2/3K2PP/3R4 w - -,d3d5
2r2k2/1b3p1p/1p1p1p2/1P6/5P2/1B6/P5PP/5RK1 w - -,f1d1
5r2/p5k1/2q3p1/4p1Np/1p1b1r1P/1Pp3B1/P1R2P1K/7Q b - -,f4f2
1k1r3r/p1p1np2/2ppq1p1/4P2p/5P1P/2N5/PPP1Q1P1/2KRR3 b - -,e7f5
5r1k/pp2r2p/3pPp2/2pP1p2/2P2Pbq/PPQ3R1/3KNR2/8 w - -,g3g2
8/3kn3/8/3pP3/2pP2K1/2P5/pB6/8 w - -,g4g5
R7/1pr1pkb1/3pp1pp/7n/2P1PP1B/3B2PP/8/7K b - -,c7c5
3r4/1p3rkp/p3Qbp1/2p5/P1Pq4/1R5P/1P4PN/5RK1 w - -,g1h1
r4b1r/1pk2np1/2P2pb1/2n1p3/2P1P2p/2N4P/1B1NBPP1/2KR1R2 b - -,b7c6
8/p2k3p/Npn3p1/5p2/2P2P1P/2K1PP2/8/8 w - -,a6b4
2kq4/1p1bb3/p2p4/4np2/3Nr3/2P5/PP3QNP/R4R1K b - -,c8b8
rn1qk2r/pb1p1ppp/1p2pn2/2p5/2PP4/PP2PN2/3Q1PPP/R1B1KB1R b KQkq -,e8g8
8/6pp/8/1p6/1B1k4/pP2p1PP/Pb1K4/8 w - -,d2e2
2k1qR2/1pr3b1/3Q4/3p2P1/p7/P3P3/1Pr5/2K2R2 w - -,c1d1
1r1q1rk1/1bn2pbp/p2p1np1/2pp4/P1B1PP2/2N2N2/1P2Q1PP/R1BR3K w - -,e4d5
8/8/pkrrPK1p/8/8/8/2p5/2R1R3 w - -,f6f7
r4q1k/ppb2P1p/1np5/8/6N1/P2rB1P1/1P3Q1P/5RK1 w - -,e3d4
5rk1/5p1p/3p4/5p2/3p3P/7K/1P1b1qP1/3Q1B1R w - -,g2g3
8/3k4/3p1r2/q1n1p2B/3rP3/pP5P/P1Q1R3/1K1R4 w - -,h5g4
5rk1/3bb1pp/2n1pn2/rq1p2N1/2pP1P2/2P5/1NQBB1PP/RR4K1 w - -,b2d1
r1bqk2r/pp2bppp/2nppn2/2p5/4P3/3P1NP1/PPP2PBP/RNBQR1K1 b kq -,e8g8:e6e5
kn1r3r/1bpnqpb1/pp1pp1p1/7p/2PPPP1P/1NN1B1PB/PP3Q2/1K1RR3 w - -,e4e5
3r2k1/2q2p2/5npp/4p3/1p2Bn2/2P1QN1P/1P3PP1/4R1K1 b - -,b4c3
r4rk1/1b3ppp/p1npqn2/1p2p1B1/4P3/N1PB1P2/PP4PP/R2Q1RK1 b - -,c6e7
5rk1/1r2n3/3p2p1/1pqP2BP/4Pp1P/8/1bQ1B2K/5R2 w - -,c2b2
8/4k3/1p2p1pp/5p2/2Bb4/1P4PP/5PK1/8 w - -,f2f4
8/3k1p2/1np3p1/1p1b2B1/p2P4/P2B1PP1/1P3K2/8 b - -,d5c4
7r/1p1R2p1/1pp1k2p/4p3/4NnP1/2P4P/PP3P2/5K2 w - -,d7b7
6k1/pp4p1/2p1R2p/6rP/3P4/P1P5/1P3r2/KR6 w - -,e6e8
rr4k1/2np2bp/2b1p1p1/P1pn4/8/2N1PN2/1P1BBPPP/R2R2K1 w - -,e3e4
8/6R1/1p5r/p4p1p/7k/5R2/PP1rB3/6K1 w - -,f3f4
r1b1r1k1/2qn1p1p/p1p3p1/1p2b3/4P1P1/3B3P/PPQBNP2/2KR3R w - -,f2f4
k4r2/1b1rp3/p2q3p/3P2p1/PR4p1/2Q2B2/1P3PP1/1K5R w - -,f3g4
1kqr3r/1p4p1/1np2p1p/1p1Pp1n1/1P5N/2N1Q2P/R1P2PP1/R5K1 b - -,c8c7
8/2k5/4p3/1P2Pp2/3b4/5PBK/8/8 w - -,h3h4
4rnk1/6pp/2P1P3/2b4P/4QpB1/2q2P2/5BP1/3R2K1 w - -,e4f4
r2r3k/1p6/4q2b/p3p1p1/P3Q3/1P2BP2/1R5P/5RK1 b - -,d8d7
1r6/5bB1/8/3kR3/2p5/K7/8/8 b - -,d5c6
r4rk1/1p1b2pp/pq2p3/3p4/P2b2P1/8/1P1Q1PBP/R1B2RK1 b - a3,f8f2
r4rk1/pp3ppp/1np5/5b2/3Pq3/2P1nN2/P2Q1PPP/2R1RBK1 w - -,e1e3
8/4k1p1/p2pbp1p/P7/4PKPP/2N2P2/8/8 w - -,g4g5
k2r4/5pb1/1pp3pp/3N1p2/3r3P/5Q2/PPqB1P2/K2RR3 b - -,d4d5
2r3k1/5p2/1n1p2p1/q2Pp2p/1Rp1P3/2P4P/1P1NQPPK/8 b - -,g8g7
r3rbk1/ppqn1p1p/2pp1np1/P7/4P3/2N1BB1P/1PPQ1PP1/R2R2K1 b - -,a7a6
8/p3k3/3bp3/5p1p/5P1P/P7/1r2B1P1/R4K2 w - -,g2g3
r1r3k1/1b1qn3/1p1p2pb/p2Pp2p/4P1BP/3Q2B1/PP1N2P1/1K1N1R1R b - -,h5g4
2r1q1k1/6pp/1n2p3/r4p2/1pPP4/4PP2/R2Q2PP/R5K1 w - -,a2a5
2b1r2k/1p2r1pP/8/pP1p1p2/P1pp1B2/R1n2R1P/2P3PK/5B2 b - -,c3e4
1R6/2R2pk1/3p2pp/b2r4/5PP1/7P/r5BK/8 w - -,c7c1
8/pp5r/2p3r1/5pk1/8/PN3BK1/1P2R3/8 b - -,g5f6
5r2/p2q3k/1p1p3p/2pPbNr1/Pn2P1P1/1P3K2/3Q1B2/2R1R3 w - -,e1h1
6k1/2b3p1/3q1p1p/3P4/1p2r1P1/1P3R1P/P3B1Q1/7K w - -,f3f2
1k6/ppp1bpp1/2n1qr2/3p1r2/3P2B1/P2QPPP1/1P1B2K1/R4R2 w - -,f1h1
8/3k1p2/1p3qp1/pR5p/P1P4P/1P2K1P1/5P2/8 w - -,e3e2
8/8/8/kp3K1p/1b1B2p1/1P4P1/5P1P/8 b - -,b4d2
6k1/p4p2/1p4p1/4p3/2n1P1Pq/2P2Q2/5P2/1bBB2K1 w - -,d1b3
r1b2rk1/pp2bppp/2n1pn2/2q5/2N5/N5P1/PP2PPBP/R1BQ1RK1 w - -,c1e3
8/1R3pk1/6p1/n1p4p/7P/6P1/5P2/6K1 w - -,b7b5
r6r/pp2n3/2kp3p/4p1p1/4Pp2/2N4P/PPPR2P1/3R2K1 b - -,a8d8
r1bqk2r/pp1pnpbp/2n1p1p1/8/2PN4/2N1P1P1/PP3PBP/R1BQK2R b KQkq -,c6d4:d7d5
6kn/p4rp1/1p1qp2p/3p3P/3P1PQ1/3N2R1/P5P1/6K1 b - -,d6e7
r1q2rk1/p4pbp/1npp2p1/3Pp1Pn/1p2P3/4BN2/PPPQ1P1P/1NKR2R1 b - -,c6d5
r1r3k1/pq3pp1/1P1Bp2p/1Q1pP3/3n4/8/2P2PPP/R3R1K1 w - -,b5a5
r1bqk2r/pp2ppbp/3p1np1/3P2B1/2P5/2NB4/PP3PPP/R2Q1RK1 b kq -,e8g8
3rr1k1/4qp2/p5p1/1pp4p/4b3/2P1N1QP/PPB3P1/5RK1 w - -,c2d1
8/p5pk/8/4p2p/2prN2P/3n1P2/1P2K1P1/R7 w - -,a1a7
8/1pq2pk1/3p2p1/4p3/2P1P1P1/1P2Q3/5P2/7K b - -,c7d7
3r2k1/5p1p/4p1p1/q1Bb4/2p5/6P1/2Q1B2P/1R2K3 w - -,c5b4
6k1/4bppp/4p3/4P3/1P1rNPP1/3p3P/2r5/RR3K2 w - -,a1a8
3q1r1k/p6p/p3b2P/3p3R/3PpP2/1PN3P1/PB3K2/2R5 b - -,d8f6
r2q1rk1/pp1bbppp/4pn2/2p1P3/2B5/2P5/PP1PQ1PP/RNB1R1K1 b - -,f6d5
1r1r2k1/p4ppp/4p3/q1nn4/P1BQ4/1p2P3/1P1N1PPP/R4RK1 w - -,c4b5
3q1rk1/2p2ppp/5b2/1n1Bp2P/1P1pP3/3P2P1/5P2/2BQR1K1 w - -,d1b3
8/8/1k2p3/1p1bPp2/1P1K1P2/8/4N3/8 b - -,b6c6
2r3k1/1p2bp2/p2pb2p/2n1p3/1q2P1pP/2R1QP2/2P3P1/1NK1B2R b - -,c8c6
2n2rk1/1q5p/2pp4/1P2pp2/2P5/3QN1P1/5P1P/2R3K1 b - -,f5f4
r1bqk1nr/pppp1pp1/2n4p/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,c2c3
2k1r3/2qp1r1p/p1b3p1/1pQ1P3/3R1P1P/P1P5/1PB5/2K3R1 b - h3,e8f8
2r2rk1/pp3p2/4p2p/1b1pP1pP/3R1P2/1P5N/P1P3P1/1K5R b - f3,g5f4
4n3/4Prkp/5qp1/4Q3/8/3p1PN1/6PP/4R1K1 b - -,d3d2
8/p7/R3b3/4k1pp/4B3/1Pr1KPP1/P6P/8 w - -,e4d3
kr6/p3rppp/3b4/1R6/P2p4/3N4/5PPP/5RK1 w - -,b5d5
8/p4R1p/1n2Q3/6Pk/P7/2pq4/1P5P/2K5 w - -,f7f2
2r3k1/1p1n1p1p/p2B2p1/2P5/3Q1P2/1b1BP3/q5PP/3R2K1 w - -,d1a1
6q1/p3p2k/1p1bPprp/2pPP2R/2P3p1/6P1/P4QKP/5R2 b - -,d6e5
8/5pkp/8/P2q4/4p1p1/6P1/5PKP/2Q5 w - -,c1a1
r2q1rk1/pp2bppp/2p1pn2/8/PnBP4/1PN1PQ1P/5PP1/R1B2RK1 w - -,c1b2
r4rk1/pp2bppp/1qn1pn2/2pp1b2/5P2/1P1PPNP1/PBP3BP/RN1Q1RK1 w - -,d1e2
r1b1r1k1/4qpnp/pp1p2p1/2pPb3/P3PB2/2N2B1P/1P1Q1PP1/1R2R1K1 w - -,f4e5
8/3r3p/2KPk1p1/8/pB5r/3R1P2/8/8 b - -,h4c4
r1b2rk1/1p3pp1/2np3p/p2Np3/1PPbP2q/P2BB3/3Q1PPP/1R3RK1 b - -,a5b4
5rk1/pp4pp/1q1ppr2/8/2PP4/1P1R4/P2Q2PP/5RK1 w - -,f1f3
1rr2bk1/3R3p/4p1p1/7q/Np2P3/4QP2/PP2BNPP/6K1 w - -,f2g4
3r1rk1/p4p2/2p4p/8/Np2P2R/1B2N3/PPP4P/4n2K b - -,d8d2
3r4/2R5/1p1p1rpk/1P2p2p/PP1nP2P/4K1P1/5R2/3B4 b - -,f6f2
1Q2nk2/pp2qp2/2r2r2/3p1N1P/3P4/1P6/P4RB1/6K1 b - -,c6c1
r2q1r1k/1b1n3p/pp1p1bp1/3Ppp2/1PP2P2/2N1BBP1/P2Q3P/2R2R1K b - -,f8e8
5r1k/2rbR1p1/1p1q1p1p/pP1B4/P1PQ4/7P/4RPP1/6K1 b - -,c7c8
r3k1nr/pppqnpb1/3pb1pp/3Np3/2P1PP2/3P1NP1/PP4BP/R1BQ1RK1 b kq c3,c7c6
3r3k/1pp2pp1/pbn3bp/4p3/q2NP1PP/2Pr4/1B2BPQ1/1RR3K1 b - -,d3d4
6k1/p3p2p/1p4p1/8/2nP4/4P1B1/P3K1PP/8 w - -,e2d3
r1b1k2r/p2n1p1p/2pBp3/1pPp4/3P4/4PP2/1P1K1P1P/R4BR1 b - -,d7f6
2k1r2r/pppqBppp/2n5/3p4/3P4/2Pb2QP/PP1N1PP1/2KR3R w - -,g3d3
r4rk1/p1qn1ppp/2p1pb2/2pp4/3P1P2/1P4P1/PBPQ1PBP/R2R2K1 w - -,a1c1
8/5p1R/1r6/5Pp1/6P1/1p4kP/1K6/8 w - -,h7h5
r1bqr1k1/p4pp1/2p4p/2bp4/4n3/1P1B1Q1P/PBP1NPP1/R4RK1 w - -,a1d1
8/4k2p/3P3P/4Kp2/p4N2/P4b1P/8/8 b - -,e7d7
2r2r2/1p5k/p3bpnP/2pq2p1/3pN3/P2P1N2/1P1Q1PP1/2R1K2R w K c6,e1g1
rn2kb1r/pp3ppp/1q2pn2/3pNb2/8/1Q4P1/PP1PPPBP/RNB2RK1 w kq -,b3b6
6k1/1p2b1pp/2p5/p3p3/1nP1N3/1P4P1/PB2bPBP/3R2K1 b - -,e2d1
6k1/pp4bp/1q4p1/3pp3/3P4/1P3P2/P2QN1KP/8 b - -,e5d4
6k1/2P2p2/4b1p1/Qp5p/8/6P1/5PBP/2q3K1 w - -,g2f1
8/2r2pp1/p2rpk1p/2p1RP2/2P3PP/1P6/P3RK2/8 b - h3,a6a5
r1b1r1k1/7p/ppqpp1p1/2p1b1Bn/P1B1P3/1R5Q/1PP1NPPP/3R2K1 w - -,h3d3
2r3k1/p5pp/bQ6/2p1N3/1r2pP2/1P1pP3/P2R2PP/2R3K1 b - -,a7b6
r2qr2k/pp2p3/2p3pb/3pPp2/3P1P2/2N1R2P/PPP3Q1/5RK1 w - -,e3g3
2r2rk1/pp3pb1/4p1p1/2qpn2p/7P/P1NB1P2/1PP1Q1P1/1K1R3R w - -,c3a2
8/6pk/Q2b3p/2pp4/P4qP1/2P3N1/5PKP/8 w - -,a6d3
r2r2k1/pq3ppp/1p1Bpn2/2b5/2P1b3/1P3NP1/P2RQPBP/3R2K1 w - -,d6c5
r1bqr1kb/pppnpp1p/3p1npB/8/2PPP3/2N2N2/PP1Q1PPP/R3KB1R w KQ -,h2h4
1rb2rk1/ppp2ppp/2nppq2/8/2PP4/P1Q2NP1/1P2PPBP/R4RK1 w - -,b2b4
2r2k2/5p2/3P4/1pbKP3/nP3P2/8/8/2R5 w - -,b4c5
6k1/8/4N1PR/1p2n2P/3K4/7r/8/8 b - -,e5c6
rn2k2r/pp2bppp/2p1p3/5q2/2BP4/2N4P/PPPQ1PP1/R3K2R w KQkq -,a2a3
r1r3k1/2q2pn1/1p2p1p1/3p3p/bP1Q3P/2P1R3/3N1PP1/RB4K1 b - -,a4b5
q5k1/5pp1/1n5p/2npNQ2/1N6/4P2P/5PP1/6K1 b - -,a8e8
r1b1k2r/1pqnbp2/p2ppn1p/6P1/3NP1PB/2N5/PPP1Q2P/2KR1B1R b kq -,f6h7
2q1r1k1/p4pbp/bp4p1/8/N2pn3/BP3BP1/P3PP1P/3QR1K1 w - -,d1c1
6k1/p6p/3pp1p1/4q3/2p1PK2/5PQ1/br4P1/R6R w - -,f4g4
k7/8/6p1/P1QPq1K1/7P/8/8/8 w - -,g5g6
2Q5/2p2rkp/p2q4/1pR5/5p2/P6P/1P3PP1/6K1 w - -,c5g5
r1bqkb1r/1p1pnppp/p1n1p3/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,d4b3:d1d2
6k1/1b2Qpb1/6pp/1P2n3/4p3/6PP/1Pr1BP2/3R1K2 b - -,b7c8
2r3k1/1R6/5b2/8/4N1P1/p7/5PK1/5r2 w - -,e4f6
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 b kq -,f8b4
rnbq1rk1/pp2ppbp/5np1/2P5/Q1p5/5NP1/PP2PPBP/RNB2RK1 b - -,b8a6
r2r2k1/p4ppp/1p6/2bp4/8/1P4P1/PB2PPKP/2RR4 w - -,d1d2
3r2k1/4bppp/ppqrpn2/n1p5/P1P2PP1/2NPPN2/1B4QP/3R1RK1 w - -,g4g5
3r1rk1/2q2pbp/p3p1pn/1p2B3/P4P2/2PB3R/1P2Q1PP/R5K1 b - -,c7b6
2rr3k/1p1q2pp/pR1Pbp2/2P5/4B3/1Q6/P4P1P/2R3K1 w - -,b3g3
2b3k1/1pp1n2p/1p2P3/6pN/1P6/n1Br1BPP/5P2/2R1R1K1 b - -,d3f3
r4r1k/pp1q1p1p/2np2p1/2p5/P3PP1b/2PP3P/BP1BQ1P1/R4RK1 b - -,f7f5
r7/1p1kp3/1P1b1p2/PR4p1/4K1Pp/5P1P/2R5/8 w - -,e4e3
2rr2k1/p3bp1p/2p1bp2/q2p3Q/N1pP4/1P2P1P1/P4PBP/R4RK1 b - -,c6c5
r7/3k1ppp/2pb4/pp1p4/3P4/P1P3P1/1P1B1P1P/R3r1K1 w - -,d2e1
5r2/8/2k5/6RP/2r5/6P1/6K1/8 b - -,c6d6
2r5/p2k1pb1/3p1P2/1p1Np2r/1P6/2NP2P1/P5K1/R7 b - -,g7h6
r3k2r/1pq1bppp/p1bpp3/2n3P1/3RPP2/1BN1B3/PPP1Q2P/2K4R w kq -,h1f1
r2qkb1r/ppnn1p2/4p1pp/3pP3/P2P1P2/1PN5/2N1Q1PP/R1B2RK1 b kq a3,a8c8
2rq1rk1/p3bppp/bpn1pn2/3p4/2PP4/PP3N2/BB1N1PPP/R2QR1K1 b - -,e7d6
r1b2rk1/pp2bpp1/3ppn1p/q7/3QPP1B/2N5/PPP3PP/2KR1B1R w - -,e4e5:f1c4
2r2rk1/4pq1n/3p2pR/p3p1Q1/Pp2P1P1/1P3P2/2P1N3/R3K3 w Q -,h6g6
3Qr1k1/3b1pbn/p2p2p1/n1pP3p/2P1P3/6pP/P2NN1B1/1R3RK1 b - -,e8d8
6k1/3n1p2/2p1p2p/q5p1/2P1pPP1/2P1B2P/2BK4/5R2 w - -,c2e4
8/8/7p/1pkp4/2nN2P1/p1K4P/N4r2/8 w - -,d4b3
rn3rk1/p2b1pbp/6p1/q1pP2N1/1pQ5/4P3/P2BB1PP/1R3RK1 b - -,d7e8
8/8/8/5p2/4nB1r/3k3P/1R5K/8 w - -,f4g3
3r1bk1/8/p2q2pp/1p1P4/4R1P1/P1PQ1R2/1K6/8 w - -,c3c4
3r1rk1/pbq1bppp/3p1n2/4p1B1/1PPp4/P4NP1/2Q1PPBP/R2R2K1 w - -,f3e1
3r2k1/1q3ppp/1p2p3/r1npP3/1P1BnP2/4R3/P1PNQ1PP/R6K b - b3,a5a4
8/5pk1/3p2p1/2p1bqQ1/6R1/P4P2/1P3RKr/8 w - -,g2g1
5k2/5p2/6p1/6Pn/3r1P2/2N2K2/P1R5/8 b - -,d4c4
r5r1/1p4bk/3PQ2p/4p3/2BqPP2/7R/6PP/5R1K w - -,e6f5
rr4k1/2n1qp1p/3p2p1/2pPb3/1p6/2N1P1P1/1PQ2PBP/RR4K1 w - -,a1a8
4r1k1/pp4p1/4rp2/3p2p1/3P4/2P1B2P/PP3PP1/3R1K2 b - -,g8f7
q1Nr1bk1/4npp1/4p3/1p2B2p/1P3P1P/P5P1/5Qb1/3R1RK1 b - -,d8c8
r2q1rk1/pp3pbp/2n2np1/3p1b2/8/1P4P1/PBN1PPBP/RN1Q1RK1 w - -,c2d4
7k/4b1p1/3p2p1/2r3P1/1p2PB1q/1P6/P5QP/5R1K b - -,h8h7
4r3/1p3p2/p1b3pk/4qp1n/1P2P2Q/P1PB3R/7P/5RK1 b - -,c6e4
2q5/7k/3p2pp/8/4rP2/2P1pNP1/4Qn1P/2R3K1 b - -,c8c6
5rk1/p1p1Q1p1/4p2p/3bn2q/1P6/5PP1/7P/3RNRK1 w - -,g3g4
rn2kb1r/ppq1pppp/2p2n2/3p1b2/2PP4/1Q2PN2/PP3PPP/RNB1KB1R w KQkq -,c4d5:b1c3
rn1r2k1/1p2qppp/p2p1n2/3Pp3/8/4B3/PPP1BPPP/R2Q1RK1 w - -,c2c4
8/3q1bk1/p2bpNn1/3p1pBr/2pP4/2P2QP1/P4PK1/7R b - -,h5g5
r5k1/7p/4p3/3nPpp1/1pNPp3/4P1P1/1P1K3P/5R2 w - g6,c4d6
5rk1/4qpp1/7p/p2R4/1pP1P1Pn/1P3Q2/P1N2P2/5K2 w - -,f3e3
r3k2r/p1pb1ppp/2p5/2bpP3/3Nn2q/4B3/PPP2PPP/RN1Q1RK1 w kq -,f2f3
7k/6b1/3pn1p1/2q1p2p/2P4N/5BP1/1B2QP1K/1b6 w - -,h2g2
r2qrbk1/1b1n1p1p/p1Pp1np1/1p2p3/4P3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,b7c6
r1k2b1r/p1p2pp1/1p2b1np/2p1P3/5P2/1P5P/PBPNN1P1/3RR1K1 b - f3,h6h5
r4rk1/pp4p1/5pb1/3P2P1/4p3/4P3/PPKN1P1R/7R b - -,a8c8
5k2/ppq4p/4p1p1/4Pp2/2NRbP2/1Pr3P1/PQ5P/5K2 b - -,c3c2
5rk1/6p1/1pnNp3/p2pP2p/Pn1P3P/2R2NQ1/1P4PK/1q6 w - -,g3h3
2r2rk1/p2n2pp/1p1P4/4ppb1/2q5/P1N3P1/1B2RPKP/R2Q4 b - -,c8c5
r3nrk1/3p1ppp/p3p3/2b1P3/2qN1P2/4B1PP/P7/1R1Q1RK1 w - -,d1c1
r3k2r/pppq1pp1/1bnp4/3np3/4P1p1/P2PN3/1PP2PPP/R1BQ1RK1 w kq -,d1g4
r1b2rk1/pp2n1pp/4p3/2qpP3/8/P1P5/4BPPP/R1BQ1RK1 w - -,d1d3
r3rbk1/5p1p/1p3p2/p1nq1N2/P2NpP2/2P4P/1PQ1R1P1/R5K1 w - -,e2e3
6k1/5p2/3p2p1/3P3p/r1p1P3/5PqP/2R3P1/2Q3K1 b - -,g3e5
rn2k2r/pb2pp1p/3p1np1/1PpP4/8/1PB2NP1/4PP1P/R3KB1R w KQkq -,e2e4
8/5pk1/8/8/6P1/4PpK1/5R2/6r1 w - -,g3f3
r1b1r1k1/1ppq1pbp/1n2p1p1/p1nP2B1/4P3/P1N2NPP/1PQ2PB1/R3R1K1 b - -,e6d5
r2k1r2/pbp1pP2/1pn2bpp/6nq/2BP1B2/2P2N2/PP1NQ1PP/4RRK1 w - -,f3g5
r1br2k1/1p3ppp/p4n2/2b5/5N2/1P3N1P/PB3PP1/R4RK1 w - -,b2f6
8/2b2pkp/4p1p1/3q4/3P3P/4QNP1/5P2/6K1 b - -,f7f6
8/2B2ppk/8/p2r1p1p/1p2n2P/1P2R3/P1R3K1/3b4 w - -,c2c6
3R4/1r3kbp/4pp2/1P4p1/2n5/2N1B3/1P3PPP/5K2 w - -,e3d4
r2qkb1r/pp1b1ppp/n1p1pn2/8/1P6/2N2NPP/P2PPPB1/1RBQ1RK1 w kq -,a2a3
r1R3k1/1q2Pnbp/pp1p1p2/3p2pP/P2P4/5N2/1P2QPP1/R5K1 b - -,b7c8
8/2k5/R1b5/5N2/6p1/1PKP4/8/1r6 w - -,f5d4
3r2k1/p5pp/8/1PQbPp2/qp3P1B/2prP3/6PP/2R2RK1 b - -,d8e8
3q4/r5k1/3p1npp/1BbPp3/4P2N/1P4P1/4Q2P/5R1K b - -,d8c8
2Q5/kpR5/5p2/1p1p4/1P1qr3/P7/1KP2P2/8 w - -,b2b3
2r5/5p2/5k1p/8/5R1K/5B1P/8/8 b - -,f6g7
8/5p2/b1kp4/p2pppnp/3P3P/1PN1P1P1/P2K1P2/8 w - -,h4g5
5r1k/q1r4p/5pp1/2PRnN2/4P3/6QP/6P1/2R4K w - -,f5d6
