4b3/7p/4N3/6P1/p5k1/2P5/1P1K4/8 w - -,c3c4
3r1rk1/1pq1nbb1/p2p3p/2p1p1p1/2P1B2N/1P4P1/P1Q1PP1P/2BR1RK1 w - -,h4f5
8/4Q3/p7/P3PP2/5P2/3p4/1p1k1K1P/8 w - -,e7b4
r4rk1/pp2bppp/1q2bn2/nQ2N3/2Pp1B2/6P1/PP3PBP/RN3RK1 w - -,b1d2
5k1r/1p2nppp/4p1n1/qBb1P3/P3R3/5N2/5PPP/3R1QK1 b - -,e7d5
r2q1rk1/1ppnbppp/2n1b3/p3p3/2Pp4/P2P1NPP/1P1BPPBK/RN1Q1R2 b - -,d7c5
r4rk1/pp1b2pp/1q2p3/2b1Pp2/2p1nN1P/3B1NP1/PP3P1Q/R4RK1 w - -,d3c4
4r1k1/2q2p2/1p2p1np/1P1rb1p1/QB1p4/3P2N1/2P2PPP/R3R1K1 b - -,e8c8
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2PP1N1P/PPB2PP1/RNBQ1RK1 w - c6,a2a4
r2qkb1r/pp1n1ppp/2p2n2/4p3/4PP2/5B2/PPP3PP/RNBQ1RK1 w kq -,d1e1
rn1q1rk1/pp3pp1/7p/2pp1b2/3Pn3/PQB1PN2/1P3PPP/R3KB1R b KQ -,d8b6
kn6/1P2b1pp/P2p1p2/1r1Pp3/1N6/R1P5/6PP/3K1R2 b - -,a8a7
r7/p1p2kqQ/1pPp4/3Pp3/PP1n4/8/5PPP/5RK1 w - -,h7h3
2r5/1p2ppk1/p2p1p2/3PbP2/6P1/P1P2B2/1PK5/7R w - -,f3e2
r1b2rk1/ppp2ppp/3n2Q1/4n3/3N4/P3PP2/1P4PP/R1B1KB1R b KQ -,h7g6
5R2/p3k3/1p2r1pp/1Pp1P3/2Pb2KP/6B1/P3R3/8 b - -,e7f8
r4rk1/3bqpbp/p6n/4p1NQ/PpB1P3/4B3/1PP2NP1/R3K3 b Q -,a8c8
r2q1rk1/1b1n1pbp/p2p2p1/P1p5/1nBPP3/4BN1P/4NPP1/R2QR1K1 w - -,e2c3
2rq1rk1/pp2bpp1/2n1bn1p/3p4/3N1B2/2N3PP/PP1QPPB1/3R1RK1 b - -,e7b4
r4rk1/1p1bbppp/4p3/1p1pP3/2pNn3/P1P1PN2/1P2BPPP/3RR1K1 w - -,f3d2
r1bq1rk1/ppp1b1pp/2np1n2/5pB1/2PPpN1P/2N1P1P1/PP3P2/R2QKB1R b KQ -,d8e8
r2r2k1/3n1p2/bpq1pbpp/p7/2PP4/4P1B1/2BNQPPP/R1R3K1 b - -,c6c8
2q2rk1/p4ppp/1p2p3/3p4/b1nP1N2/1RP1P2P/P1Q2PP1/5RK1 w - -,c2e2
8/2r4p/1p1k1p2/1R6/PP3K1P/8/8/8 b - -,c7c4
4r1k1/1br4p/p3Ppp1/1p1p4/3Nn3/3BQ2R/PqP3PP/5R1K b - -,f6f5
2r2rk1/2q1bpp1/p1n1bn1p/1p2p3/3pP3/P2P2NP/1PBBQPPN/R1R3K1 b - -,a6a5
2r3k1/3q1p2/3p2p1/1p2p3/nP2PbPp/Pb5P/1B3PB1/RQ3NK1 w - -,f1e3
5k2/8/4KP2/p7/1p6/1Pn1p3/5B2/8 w - -,f2e3
r5k1/1p2bpp1/p1np2q1/4p2p/P1P1P3/1P4P1/1B2QPKP/R2R4 w - h6,e2f3
8/4b1p1/4pk1p/5p2/1P3B2/2P3P1/4QP1P/q5K1 w - -,g1g2
4R3/8/8/3k1K2/8/r3p1P1/8/8 w - -,g3g4
1r6/ppkb2p1/r3p2p/3pP1p1/2pP4/P1P1NP2/2P1K1PP/RR6 b - -,b8f8
1kn1r2r/pppq4/2n2p2/3p2pp/1P1P4/2PBR1P1/P1Q2PPN/R5K1 w - -,d3f5
4r2k/7R/1p1p4/p2P4/2P2Q2/5P1b/PP3r2/2K5 b - -,h8h7
6k1/3b1p1p/p4pn1/1p6/3qP3/1PQ3R1/P5PP/5B1K b - -,d4b6
6B1/b3k3/5pp1/3K4/1p3PP1/1P2P3/8/8 w - -,d5e4
6k1/8/7p/1bpp1B2/3b2P1/P2Nrp1P/1P1R4/5K2 b - -,c5c4
rn3rk1/p1p1qppp/1p2b3/3p4/3P4/4PN2/PP3PPP/2RQKB1R w K -,f1d3
8/5k2/1Bp1p3/8/1P1p1PP1/5b2/3K4/8 w - -,g4g5
r6r/pp1k1pp1/2pbp1q1/5b1p/3P4/2P5/PP1BBPPP/R1Q2RK1 b - -,h5h4
2b1r1k1/7p/2Q5/p1pP1ppq/PpP1p3/1Pb3P1/R4P2/1B2RK2 b - -,h5h1
2bqr1k1/1p2bpp1/p4n1p/n2p4/5B2/PNN3P1/1P2PPBP/3Q1RK1 b - -,c8e6
6k1/8/4p3/4Pr2/R1n5/2P1q3/4Q1P1/6K1 w - -,e2e3
r2qrnk1/p4ppp/2pb4/3p1b2/N2P2n1/P3P1N1/2Q2PPP/R1B2RK1 w - -,c2f5
rn4k1/1b1r1pbp/2p3p1/pp1Pp1B1/4P3/1B3N2/PP3PPP/2R1K2R w K a6,e1e2
8/8/8/1N2k1pp/2p1b3/2P3PP/1P3K2/8 w - h6,b5d4
8/8/R1Nr2pp/1Pbpkp2/8/3K3P/6P1/8 b - -,e5f4
r5r1/1k3p2/2nb1p2/1p1pp3/1P1Pb3/1BP1B1P1/4NK1P/R1R5 b - -,g8h8
5r2/1R3p2/5Pk1/4K1p1/6P1/6rp/P1B5/8 b - -,g6h6
r1b2rk1/pp3pb1/4p2p/2Npn1p1/8/3P2PP/PPP2PB1/1RB1R1K1 b - -,b7b6
r2qr1k1/pp1b2bp/2pnnpp1/3p4/3P4/3BBN1P/PPPQNPP1/R3R1K1 w - -,d2b4
4rrk1/2qb2bp/3p2p1/3P4/1ppBB3/8/1PPQ2PP/R3R2K b - -,g7d4
7r/p3b1pk/3N2n1/2pPp2q/2N5/1P1Q1Pp1/P5KP/5R2 w - -,h2g3
r1b1k1r1/1pq1bp1p/p2ppnn1/6p1/2PNP3/1P3NP1/PBB1QP1P/R4RK1 b q -,f6d7
3r2k1/1pq1b1p1/nNp2p1p/2P1p3/1P2P3/2Q1B2P/5PP1/R5K1 b - -,e7f8
1k6/8/2K5/3N4/8/6B1/8/8 b - -,b8a8
r3kb1r/1b1n1ppp/p2p4/q3pPP1/P1p1P3/2N1B3/1PPQN2P/R4RK1 b kq -,h7h6
r5k1/5ppp/1qrb4/1P1pp3/8/4PN2/P3QPPP/R5K1 w - -,b5c6
2r2rk1/2q1ppbp/5np1/p2P4/1p2n3/1B2BN2/PP2QPPP/3R1RK1 b - -,f6g4
3R1b1r/1rp2kp1/p1N4p/1p5P/2p2B2/2Pn2P1/5P2/5RK1 b - -,b7b6
5rk1/1Q2pp1p/p5p1/4N1n1/6P1/1Pq1P2P/5PK1/3R4 w - -,b7e7
8/p1kb1p1p/2p5/p4rp1/PrR5/1PR1P3/4NPPP/2K5 w - -,f2f3
r2qr1k1/pp3pbp/2p3p1/3b1p2/N2PnN2/1P2P1P1/P1Q2PBP/1R3RK1 b - -,g7f8
8/3k2B1/p6P/1p1P1R2/1b4P1/3K3r/8/8 w - -,d3e4
2r3k1/1b3p2/1q2pbp1/p2p3p/3N3P/P3P1P1/1P1Q1PB1/3R2K1 b - -,a5a4
3q1rk1/5ppp/2bbp3/1p2B3/3P4/1BP3Q1/5PPP/R5K1 b - -,d6e5
r1bq1rk1/pp2npbp/2n3p1/2p5/3pPP1N/2PP4/PP1N2BP/R1BQ1RK1 w - -,d1c2
r2q1rk1/pp3p1p/2n2ppP/8/2pP2b1/4PN2/P3BPP1/2RQK2R w K -,c1c4
r1bq1rk1/pp3pp1/3p4/2pPn1b1/2P1P2p/1Q1B4/PP4PP/R1BN1RK1 w - -,d1e3
6k1/p3q1p1/2p1r2p/2pp4/2Q5/PP1P3P/2P3P1/4R1K1 w - -,e1e6
r1b1qrk1/pppnp1bp/3p2p1/3P1pN1/3P4/6P1/PP2PPBP/R1BQ1RK1 b - -,d7f6
2r1r3/pp3pk1/5qn1/P2p1pRp/7P/3B4/1P1Q1PP1/3R1K2 w - -,d3f5
1r4k1/3bb1r1/1P1p4/3Pp1q1/p1N1Pn1p/3NQPn1/1P3RPB/4RBK1 w - -,f2c2
q4rk1/1br2ppp/5n2/pBn1p3/P2N4/1pP1PP2/3BQ1PP/2RR2K1 w - -,c1b1
r2r2k1/pbq1bppp/1pn1pn2/2pp4/2P5/PP1P1NP1/2NBPPBP/R1Q2RK1 b - -,a8c8
2Q1n3/4qk2/p2p3n/2pP1B2/2P2Pp1/6N1/P4K2/8 b - -,e7f6
4B3/2p5/3k4/4p3/2K1Pp1p/5PbP/8/8 w - -,e8a4
2r2rk1/5ppp/4b3/p3n3/1p2P3/P1NB3P/1PP3P1/1K1RR3 w - -,a3b4
5r1k/n2b1pbp/8/p2pPpNP/q1pP1P2/PrP4B/2QB4/R5RK w - -,h3f5
3r2r1/pb3kbp/1p2pp2/2p4p/P1N2P1P/1P1P4/1BP3P1/1R3R1K w - -,h1h2
8/7R/p1p1r3/P3p3/1bk2rR1/2B2P2/3PKP1P/8 w - -,c3b4
8/3k1K2/5P2/4R3/8/3r4/8/8 b - -,d3d1
r3k2r/p1q1n1bp/1pn1pp2/1bppP3/3P4/PBP5/1P2NPP1/R1BQK1NR w KQkq -,e2f4
r2qkb1r/1p1b1ppp/p1n1pn2/2pP4/3P4/2P2N2/PP3PPP/RNBQRBK1 b kq -,f6d5
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P1P1/2N2N1P/PPB2P2/R1BQK2R b KQ g3,c8d7
5k2/p4pp1/B2bp1p1/8/8/1P2P2P/5PP1/5K2 w - -,f1e2
1b1r4/pqNk3p/1R2ppp1/1n1p4/1P1P2P1/P3P3/2Q2P1P/6K1 w - -,b6b7
3R4/pp6/2p3rk/3pP3/4b3/4N3/PP4PP/7K b - -,h6g5
r3r3/pppqkp2/2nb4/4p1NQ/3pP3/1P1P3P/1PP2PP1/R4RK1 w - -,g5f7
r1b1k2r/q3bppp/p1p1p3/1p2P3/2P2P2/3BnQ2/PP1N2PP/R1B2R1K w kq -,f1e1
r1bq1rk1/4ppbp/pp3np1/3n2B1/P2P4/1BN2N2/1P3PPP/R2QR1K1 b - -,d5c3
4r1k1/p1R2npp/5n2/3p1B2/3P4/5N2/q4PPP/2Q3K1 w - -,h2h4
8/5ppk/7p/8/3R4/2B1r2P/5KP1/8 b - -,e3c3
r5k1/2pp2pp/1p1npr2/8/p1PN1P2/qPPQ2P1/P3R2P/3R2K1 b - -,a4b3
2r1r3/1pk1P3/npp3N1/5B1p/1P4p1/P1b5/4R1PP/5R1K b - -,c8a8
r1b4r/pp1nk1p1/2p2p2/PnP1p1p1/3P2P1/5NB1/2P1BP1P/R3K2R w KQ -,d4e5
r3k2r/pp1b1p1p/1q2p2p/2bpP3/8/3B1N2/PP3PPP/R2Q1RK1 w kq -,d1d2
8/8/P6r/R7/2P5/2K3kp/8/8 w - -,a6a7
8/1b3kpp/2pB4/2Pp4/PPr5/3K2P1/8/1R6 b - -,f7e8
r3k2r/ppqbbppp/2p1pn2/6B1/3P4/3Q1NP1/PPP2PBP/R3K2R w KQkq -,e1g1
8/4k3/3p4/p2Pp1nK/B3P1N1/6p1/P7/8 w - -,g4e3
6k1/6pp/p3p3/1p2Rp2/1n6/5P2/1P3PKP/1r6 w - -,e5e6
8/8/1ppk3p/8/p7/1PP3P1/1K2R2P/6r1 w - -,b3a4
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/P1B1PP2/2N2N2/1PPP2PP/R1BQ1RK1 w - -,a1a3
4k3/1R6/2K4P/5N2/3b1P2/8/8/3r4 b - -,d1c1
1r2kb1r/pQpq2pp/2nppn2/8/4P3/2N1BN2/PP3PPP/R3K2R w KQk -,b7a6
1k1rr3/p2q1ppp/1p4n1/2ppP3/8/2Q2NP1/PP2PPKP/R2R4 w - c6,b2b4
2r2rk1/pp1b1ppp/1b1q2n1/8/2pN4/2P1B1PP/PP3P2/R2QRBK1 b - -,f8d8
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P2/2NBBN2/PPPQ2PP/R3K2R b KQ -,f7f6:f7f5
r2qkb1r/pp2pppp/2n5/2pn4/6b1/2PB1N2/PP1P1PPP/RNBQ1RK1 w kq -,h2h3
rnbqk1nr/ppp3b1/3p2pp/3Ppp2/4P3/2P2P2/PP1N1BPP/R2QKBNR b KQkq e3,g8f6
r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/3P1N2/PPPN1PPP/R1BQK2R b KQkq -,d7d6
r5k1/ppp2r2/3p3p/3P1bp1/2B5/5RP1/PP3P2/4R1K1 w - -,f3e3
r4r1k/pppq2pp/1n3b2/8/PP1p1p2/1Q1P2P1/1B1NPPKP/R4R2 b - -,b6d5
7r/p1rnkppp/1p2pb2/1Rp5/P1PP1P2/2PBB3/4KP1P/3R4 b - -,h8d8
3r3k/3P4/4p3/2pRp3/p1P5/P7/8/6K1 w - -,d5c5
r2qr1k1/pbp2p2/1p1p1npb/4n3/1PP1P2p/PN1BNP2/1BQ3PP/3RR1K1 w - -,c4c5
8/R4pk1/6p1/4n3/5KpP/1B2P3/Pr1r1P2/5R2 b - -,e5d3
8/4kp2/p2p4/P4p2/1PR2P2/2P5/5r2/4K3 b - -,f2c2
4r1kb/5p1p/4r1p1/p1Bp4/2bP4/2N4P/P5P1/2QR3K b - -,h8f6
r2r2k1/4bppp/1qbppn2/p7/4PB2/R1N3P1/1PPQ1PBP/3R2K1 w - -,a3b3
r1r3k1/pp2pp2/3p2p1/3P1n2/5Pp1/2P5/PP5P/R2BR1K1 w - -,d1g4
1qnr2k1/p3rppp/2B3b1/PppP4/4P3/N3R3/4QPPP/2R3K1 b - -,a7a6
8/8/2k1pp2/1p1n2p1/1P1PK1P1/5P2/3B4/8 b - -,c6d6
4k3/pp1r1p2/2b1p3/4P3/P1R2P2/Q2B4/2P2BRq/4K3 b - -,h2g2
r1bq1r1k/5ppp/2np4/p2Np1b1/R1B1P3/2P5/1PN2PPP/3QK2R w K -,e1g1
r2qkb1r/pp3ppp/2npbn2/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq -,c1g5
8/1p2qknp/p1b2p2/3p1p2/3Q2PP/1PB2P2/P4K2/1B6 w - -,g4g5
5rk1/2qr1bpp/p2p1pn1/1Pp5/4PPP1/1P5P/PB3Q2/3R1RKB b - -,a6b5
6k1/6n1/4prp1/3pR1N1/2pP3P/2P3Q1/6P1/1q4K1 w - -,g3e1
r1b1kb1r/pppp1ppp/2n3q1/3QP3/2P1n3/P3BN2/1P2PPPP/RN2KB1R w KQkq -,b1d2
1r3rk1/4p2p/3p4/2pP1p2/8/2P2P2/Pn1B2PP/1R1R2K1 w - -,d1e1
1r6/3b1nkp/1p2r1p1/p1pNp3/P1P1PP1q/4R2P/1Q4B1/R5K1 w - -,f4f5
2r1k2r/3qppBp/p5pn/1p6/8/2NB4/PPP3PP/3R1R1K b k -,c8c3
4k1r1/1p4p1/p3PpN1/3p1P2/2bP1B2/1nn3K1/1R6/3B4 w - -,d1b3
r2qr1k1/1b1n1pbp/np2p1p1/pN1pP2P/3P4/4B1P1/PP1QNPB1/R3K2R b KQ -,g7f8
8/7R/1k1rp1p1/p7/P5P1/2PK3p/2P4P/8 w - -,d3e4:d3c4
5k2/5p2/p3rp1p/1p2q3/2p3R1/P3P1P1/1P1Q1P1P/6K1 w - -,g4d4
r2q1r1k/p1p1np1p/2ppb1pQ/8/4P3/2NB3P/PPP2PP1/R3K2R w KQ -,e1g1
1rbqr1k1/3nppbp/p1pp2p1/2p5/4P3/2NPB2P/PPPQ1PPN/1R3RK1 w - -,c3d1
r2qk2r/4n1bn/b5p1/pp1B2N1/7P/2P3P1/PP3P2/R2QR1K1 w - -,d5c6
r1b2rk1/p2n1pbp/1p3np1/2p1p3/4P3/1BP1BN1P/PP1N1PP1/R4RK1 w - -,e3g5
8/pp6/b3pk1p/R2p1p1P/8/1P3rr1/PKP2N1R/8 w - -,b3b4
4r1k1/qp1nrppp/n1p5/p2p4/N7/P2PPbP1/1PQ2PBP/2R1RK2 w - -,g2f3
2b1n1r1/1p1p1p1k/4p1p1/r7/p1P4P/2PB4/P4P1P/R2Q2K1 w - -,a1b1
r3k2r/1p2bppp/1pn1pn2/3p1b2/7N/2NP2P1/PP1BPPBP/R3K2R b KQkq -,f5g6
8/4kp1p/R5p1/pr6/4P3/5K2/5PPP/8 w - -,f3f4
1r4k1/pp1b1p2/2p2n2/N4P1p/8/6PP/PP4B1/3R2K1 b - -,g8g7
8/4k1p1/7p/5R1P/1r4P1/8/5PK1/8 w - -,g2g3
rn2k2r/pbpq1pb1/1p1pp2p/6p1/3P4/1QP1PNP1/PP1NBPP1/R3K2R b KQkq -,d7e7
rnbq1rk1/p3bppp/1p2p3/3n4/3p4/2NBPNB1/PP3PPP/R2QK2R w KQ -,e3d4:f3d4
3q2k1/p4pp1/b3p3/1r1pP2p/2pP4/P1Q2P2/2RN2PP/6K1 w - -,g2g3
1n2k3/6b1/p3p1p1/3p4/3PnP2/4P3/PP2K1PP/2B4R w - -,c1d2
2kr4/p1p1b3/4p3/1pP1Pppp/1P3n2/1PB2PN1/6PP/5RK1 w - -,g1f2
r4r2/1q3kb1/3p4/p1p1npB1/P1Pp4/RP2pP2/4Q1P1/1NK4R b - -,f8h8
r1bqr1k1/5ppp/p1np1b2/1pp1p3/4P3/2PPBN2/PP1QBPPP/R4RK1 w - b6,e2d1
rnbq1rk1/p3ppbp/1p1p1np1/2p5/2PPP3/2N1BP2/PP1Q2PP/R3KBNR w KQ c6,g1e2
5rk1/pp4pp/2p1r3/6Q1/4p3/1PP4P/P2N1qP1/R2R3K b - -,e6g6
2n1q1rk/8/p2p1n1b/2pPp3/2P1Pprp/P1N2R2/3BQ1PP/1R2N2K b - -,e8g6
r1bqkb1r/pp3ppp/2n1pn2/3p4/4P3/1N1B4/PPP2PPP/RNBQK2R w KQkq d6,e4d5
4k3/1b3p2/p2pp3/1n6/PQ2P3/3PqB2/4r3/K4R2 w - -,a4b5
2kr2r1/1p4qp/p1nbpp2/3p1p2/3PnN1N/2P1B2P/PP3PP1/R1Q1R1K1 b - -,g7h6
r4rk1/pp3ppp/8/3B2b1/4N3/8/PP4PP/K2bR3 w - -,e4g5
r2r2k1/pbq1bppp/1pn1pn2/2pP4/8/1P1P1NP1/PBQNPPBP/2R1R1K1 b - -,f6d5
3r3k/6p1/1p2B1P1/p1pP1Q2/q1P2P1r/5R2/1P2pK1P/8 w - -,f3h3
3k4/r1p1qp2/1p1n1Np1/p2P4/P2Q4/1P1bP1P1/5PB1/2R3K1 b - -,d6f5
2rr4/5p1k/3P2pb/pBp1p2p/P1R1P3/3R1PP1/4Q1KP/1q6 b - -,b1a1
2rr4/2R2kb1/p3q1p1/Q2b1p2/3PpP2/1p2P3/5P2/B3KBR1 b - -,c8c7
5rk1/1pr3q1/2p5/4N1PQ/p1Pp1P2/b7/8/1R3RK1 b - -,g7h7
rnb2rk1/ppnq1pbp/3p2p1/6B1/2B4Q/2P2N2/PP3PPP/RN3RK1 b - -,d6d5
8/8/2P1b3/1p2N1p1/3K2P1/P5k1/8/8 w - -,d4c5
7k/1r4p1/3pr2p/pPbNp3/P1R1p2P/4P1P1/5PK1/3R4 w - -,d5c3
r7/8/3Pk3/4P2p/8/3b3P/6PK/4R3 w - -,e1e3
2r3k1/p5p1/7p/5N2/3bb3/3n4/PP1P1PPP/R1B3K1 w - -,f5e7
r7/2r1kp2/4p3/pR2P3/4PK2/7R/P1p4P/8 b - -,c2c1q
8/7p/3Bp3/3p1p1k/K2P4/4PbP1/8/8 b - -,h5g4
rnbqkb1r/pp2pppp/5n2/3p4/2Pp4/P3P3/1P3PPP/RNBQKBNR w KQkq -,e3d4
r2qkb1r/pp1nnp1p/2p1p1p1/3p4/4P3/2NP2QP/PPP1BPP1/R1B1K2R w KQkq -,e1g1
r1r3k1/pp2pp1p/3pbnpQ/q2N4/4P1P1/P4P2/1PP5/1K1R1B1R b - -,e6d5
R7/3b1p2/2pk2pp/3p4/1PnK3P/2P5/P1B3P1/8 w - -,a2a4
q4rk1/1b2ppbp/pp1p1npB/3P4/7Q/1P3NP1/P3PPBP/2R3K1 w - -,h6g7
rnbqk2r/ppp2pbp/3p1np1/4p3/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq d3,e5d4
5rk1/pp2pp1p/5bp1/2p3r1/6R1/2P2P1P/1P2QBK1/q5R1 b - -,g5g4
r1bq1rk1/p2nppbp/1p3np1/1Bpp2B1/3P4/2P1PN2/PPQN1PPP/2KR3R b - -,c8b7
2kr1b1r/pp3npp/2p2p2/2P1n3/3qN1P1/Q5BP/P1P3B1/1R3R1K b - -,a7a6
8/7p/p7/5QPk/1q6/6P1/5P1K/8 b - -,b4b7
4r1k1/1p2npp1/p2Q1n1p/3P4/8/8/PqP1B1PP/3R1R1K w - -,e2c4
r2q1rk1/pp1b2bp/1nn1p1p1/3pNp2/3P1P2/2N3P1/PP2PBBP/R2Q1RK1 w - -,e2e3
rn1qk2r/1b2bppp/pp1ppn2/8/3NPP2/3B4/PPPN2PP/R1B1QR1K b kq -,e8g8
r1bq1rk1/pp2ppbp/2np1np1/2p5/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 b - d3,c8f5
1rb1r1k1/5pp1/3p4/3PP2n/pP1Q1P1q/2R4B/P4N1K/6R1 w - -,e5e6
1r1q2k1/2pbprb1/3p3p/n2P2p1/1p1N2P1/1P5P/P3NPB1/2RQ1RK1 w - -,f2f4
1n1k4/5ppp/p3p3/1p6/3PP3/4K1P1/P4P1P/2N5 b - -,d8c7
8/p7/Pp1bkpp1/1P1p1p1p/3P1P1P/1KPN2P1/8/8 b - -,d6e7
r1b1k2r/1p1p1pp1/p4n1p/4p3/1n2P3/2NB4/PPP2PPP/R1B1K2R w KQkq -,e1g1
3r1k2/1p3p2/2ppb3/6p1/1PPbP1B1/1r3P2/2R3KP/3R4 w - -,d1d4
rn3rk1/qb2bpp1/4p2p/ppp5/4N1N1/2Q3P1/PP2PPBP/2RR2K1 b - -,f7f5
8/4kpp1/2p5/p3PP2/2Bp2Kp/1P5P/P7/4b3 w - -,g4f4
5rk1/pR4pp/B4p2/P2nn3/6P1/6P1/5PK1/2R5 b - -,f8a8
8/6p1/p4n1p/8/3PbP2/1P2P1k1/1P2K3/8 w - -,b3b4
1r2nrk1/p2b1q2/3p2p1/N1pNp2p/4Pp1b/B2Q1P2/PPP3PP/3R1RK1 w - -,d5c3
3q1rk1/p4ppp/1p1b1B2/3p4/6b1/1P1BPQ2/P2N1PPP/5RK1 b - -,d8d7
r5k1/pp3p1p/1q2pPn1/3pP3/3p4/2PP2QP/P1r2P2/K1BR3R b - -,b6a5
8/2rpk3/4rnp1/2p2p1p/p1P2P2/P5P1/1PKR3P/3R1B2 b - -,f6g4
r1q1r1kb/pb1npp1p/1p1p1npB/2p5/2P1PQ2/2NP1NPP/PP3PB1/R4RK1 b - e3,d7e5
r3k2r/p1q1bp2/2p1p1p1/1P1pPn1p/Q7/2PB4/P4PPP/1RB1R1K1 b kq -,c6b5
7r/1p1q2k1/p1p1rnp1/P2p1p1p/1P1P1P2/4PBPP/2Q1RK2/6R1 b - -,g7f7
