3N4/p7/b6p/5R2/P2b4/3k1p2/6PP/6K1 w - -,g1h1
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/3BPN2/PP1N1PPP/R1BQ1RK1 b - -,b8d7:c6c5
1r6/5pk1/2n1pn1p/3p2p1/3P4/1RB1PP2/3K2PP/3B4 w - -,b3b8
8/p2k1ppp/B1p1p3/1PP5/Pn3P2/6P1/5K1P/8 w - -,a6b7
3r1rk1/pb1p2pp/1p2nn2/3p1N2/6P1/1P6/PB2PP1P/2R1KB1R w K -,h1g1
6K1/5RP1/4k3/4p3/8/5P2/8/6r1 w - -,g8f8
5rk1/1p1P3p/1p6/1B2np2/1P2pb1N/P7/5P1P/3R2K1 b - -,f4g5
1r6/3R1p1p/1B2p1k1/PB2P2p/1bP2P1P/6P1/2K5/4r3 w - -,c4c5
r1bq1rk1/ppp2pb1/2np1npp/3Pp3/2P1P3/2N1BP2/PP2N1PP/R2QKB1R b KQ -,c6e7
Nk5r/ppR2p2/2n1p2p/1P2P3/P1qb1p2/8/2P3PP/R2Q3K b - -,d4a1
8/8/8/2K5/1n6/2k5/1p6/1B6 b - -,c3b3
7r/pr1qk3/3pbppb/Q1p1p2p/2P1PP1P/3PB1P1/P5B1/1R3RK1 w - -,a5d2
Nn2r3/p2k1ppp/3b4/3B4/8/3P1K2/PPP5/R7 w - -,b2b4
3r2k1/5pb1/1p2pnp1/3p3p/2PP1PP1/1P2NK1P/rBR3R1/8 b - -,h5g4
6k1/6p1/7p/3Qp3/P7/q6P/6PK/8 b - -,g8h7
r2q1rk1/4pPbp/1p3n2/p1p1N3/3PpP2/2P1P3/PP2Q1P1/R3K2R b KQ -,f8f7
r2q1rk1/pp2ppbp/2p1b1p1/7n/3PP3/2B2N1P/PPQ1BPP1/2R2RK1 w - -,f1e1
4r2k/pR4p1/1bp1q1n1/3p4/3P4/6Qp/PP6/5RBK b - -,h8g8
r3qrk1/p1nb2bp/5pp1/1pNPpP2/8/6N1/PP1QB1PP/R4RK1 b - -,d7f5
r1bqk2r/pp2bppp/2np1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R w KQkq -,c1e3:e1g1:c1g5
r3k2r/1bqn1pbp/pp1pp1p1/4P3/P2P1P1P/2PB1N2/3BQ1P1/R4RK1 b kq h3,e8g8
3r2k1/1R4pp/p2Pp3/8/2r1N1P1/P4P1P/1P6/6K1 b - -,g8f8
r2rn1k1/1q2b1pp/b1p2p2/p3pPP1/2NpP2P/P2B1QB1/1PP5/4RRK1 b - -,a5a4
r3k2r/1p1qb1p1/p3b2p/3p4/3Pp3/1QN1P1P1/PP3RBP/5RK1 b kq -,a8c8
2r2r2/1q4kp/p2bpn2/n2pNpp1/Pp1P4/1P1QPP2/1BRN2PP/2R3K1 w - -,h2h3
8/6k1/n1p1p3/1qP1Pp1Q/1Pp2Pp1/4P1P1/5KBP/8 w - -,h5g5
8/2r1p2k/3p2p1/p4q1p/3Q1P2/1P4P1/P3R1KP/8 b - -,h5h4
rr4k1/1p3pp1/pQp1b2p/P3q3/5R2/4PB1P/1P1R1PP1/7K b - -,e6f5
4k3/pp1b3p/2p1p3/4Pp2/1BPP1R2/P2QP3/1P4rq/4K3 b - -,g2b2
6k1/2R3p1/1rp1pr1p/8/3P4/1p1K2P1/7P/5R2 w - -,f1b1
8/8/2P3pk/p7/P7/4N1Kp/3n2n1/8 b - -,g2e3
3r4/2p1kppp/1p2p3/p1n5/2P5/1P2PBP1/P1q2P1P/2R2K2 w - -,c1c2
r3k2r/ppqn1ppp/2pbb3/2p1p3/2N1P3/1P1P1N1P/P1P2PP1/R1BQK2R w KQkq -,c1b2
2rr2k1/1p2ppb1/1qn3pp/3nPb2/p1p1NPP1/2P2N1P/PP1BQ1B1/1R2R2K b - -,f5e4
r3r1k1/pp1n1pp1/2p4p/4R3/3P4/6B1/PP3PPP/R5K1 w - -,e5e3
r4rk1/1b3p2/pp2p1p1/2p1P2p/2NpP2q/1P1P4/P1P1B2K/R2Q1R2 w - -,h2g2
1r1qr1k1/5pp1/2p2np1/p7/2PPpQ2/1P6/P3BPPP/2RR2K1 w - -,f4g5
4k3/3n2P1/6K1/8/8/8/8/8 b - -,d7f8
r1bqk2r/ppp1ppbp/1nn3p1/8/P7/2N2NP1/1P1PPPBP/R1BQ1RK1 b kq a3,a7a5
1k6/pp1b1p2/1q2p3/1P1pP3/2rP4/P3B3/1Q3PP1/1R4K1 b - -,a7a6
r2q1r2/5p1k/3p1nnp/1pp1p2b/1P2P2P/p1PPQPB1/P1B4N/2KR3R w - c6,b4c5
r4rk1/1b1q1pbp/p1npp1p1/1pp5/2PnPP2/P2P1NP1/1P2NBBP/1R1QR2K b - -,d4f3
8/1k3rb1/1pr1p1p1/2pn2Pp/p3N2P/P3BP2/1PR1KP2/2R5 b - -,g7e5
3r1rk1/pp2bpp1/2p1p2p/7q/2PP2nN/5P2/PP2Q1P1/K1BR3R b - -,g4f6
2r1k3/Q4pbp/3p2p1/3p4/1P6/2q2N2/P4PPP/1R4K1 w - -,h2h4
5rk1/6pp/Rp1b4/1PPPp2b/1P2P3/Q3PN1q/7P/5R1K w - -,a3d3
2n2rk1/pp5p/2pn2p1/P3Q3/2P1N3/1B5P/1P3qP1/3R3K b - -,d6f7
8/p2K4/8/R7/1P2k3/8/P6r/8 w - -,d7c7
r2q1rk1/pb2ppbp/1pn3p1/3p4/Q2P1B2/2P3P1/P2NPPBP/R2R2K1 b - -,a8c8
8/pb2k2B/8/p1n5/8/8/5KPP/1R6 b - -,a5a4
8/pR3R1p/6pk/5p2/1Pr5/r7/6KP/8 w - -,f7h7
2b3r1/1p2n1k1/p1q2nPp/3p1p1B/3PpN2/4P1PQ/PP2NP2/2R3K1 b - -,c6b6
3r4/6pk/5qNp/p3N3/P1QP1P2/8/5PKP/8 w - -,d4d5
2q3k1/p4ppp/1n2p3/3n4/3P1B2/6P1/PQ3PNP/6K1 w - -,b2c1
8/pp2rb2/3p1k1p/2pP1p2/1PP2P2/P2B3P/5K2/1R6 b - -,c5b4
r1b1qrk1/1pp3bp/3p1np1/p3Np2/2P5/P1N3P1/1PQ1PPBP/R1BR2K1 b - -,d6e5
r2q4/p2nrpkp/4b1p1/2pn4/2NP4/3B1N1P/PP1Q1PP1/4RRK1 w - -,f3g5
r2r2k1/p3p1bp/5np1/1p2N3/3n1Bb1/1N6/PP3PPP/R3R1K1 w - -,f2f3
2br1rk1/1pq1bppn/2pp2np/p2Pp3/P3P3/1PN2NPP/1BP2P1K/2QRRB2 w - -,c1e3
q7/8/6pp/2R2p1k/1P1p2nP/6P1/6K1/4Q3 w - -,g2h3
8/5p2/3k1p2/p2p4/P1pP2K1/4P1P1/2R2P1r/8 w - -,c2b2
8/5R2/6pk/7p/4P2P/8/5P1K/r7 b - -,a1e1
1r1n1r2/p3ppk1/2pq1np1/2N1Nb1p/2QP4/1BP5/P4PPP/3RR1K1 b - -,f6d5
r4rk1/1pq2p1p/6p1/p2R4/1pPRP3/1P3P2/6PP/1Q4K1 b - -,a5a4
6k1/1p4p1/4p2p/p4p2/5P2/3RK2P/Pr4P1/8 w - -,a2a4
2k2b1r/p1qr1ppp/bpn1p1n1/2p1P1BP/3pB3/2PP1NP1/PP2QP2/RN2R1K1 b - -,g6e5
r2q1rk1/1p2ppbp/2n1bnp1/p2p4/4P3/PNN1B2P/1PP1BPP1/R2Q1RK1 w - -,e4d5
2b5/8/p1p2Bk1/1p4P1/P5p1/1P1N1n2/2PP1K2/8 w - -,f2g3
7r/pb2kp1p/1b2pp2/1P1rP3/2R5/5N2/1P2BPPP/R4K2 w - -,e5f6
r7/PR6/2N2pkp/6p1/2K5/r3B1P1/5P1P/8 b - -,a8c8
r1q2rk1/ppp1npbp/2np2p1/4p3/1PP3b1/2NP1NPP/P2BPPB1/1R1QK2R b K -,g4d7
5k2/2R3p1/4ppp1/1p1r4/1PpP1PKP/4P3/1P3P2/8 b - -,d5d6
2kr3r/pp1qpp1p/2np1n2/2p2N2/3PP1p1/2P5/PP2QPPP/RNR3K1 w - -,b1a3
2kr2nr/ppq1b1pp/2b1pp2/3pP3/2pP1P1N/P1N1B3/1PP3PP/1R1Q1RK1 w - -,h4f3
1r4k1/p1q3b1/3p2p1/4p1P1/4P2P/3PB3/Pr3R2/R1Q3K1 b - -,c7c1
3r2k1/3bbppp/1q1p4/Nn1Pp3/pP2Pn2/B4N1P/3Q1PP1/2R2BK1 w - -,a5c6
r2qk2r/pp1npp1p/2pp2p1/3P4/3bPP2/2NB1Q1P/PPP3P1/R3K2R w KQkq -,c3e2
4r2k/pN5p/2p2np1/2P5/1P2RPb1/P5P1/6K1/4R3 b - -,e8e4
5rk1/p1qb4/1pn1p1p1/3p1rP1/P1pP1n2/2P1RN2/2P2PB1/1RBQ2K1 b - -,g8g7
4r1k1/ppR2p2/3n1Qp1/7p/8/1B1q1PP1/PP4KP/8 b - -,d3e2
5rk1/p2r1q2/bp2pPp1/2pp2Pp/3P3Q/4N2R/PPP2P2/2K4R w - h6,e3g4
2rr4/pp4k1/4bqp1/2pp1p1p/Q6P/2P1P1P1/PP2BP2/1K1R3R b - -,a7a6
2r5/1k6/2p1Qb2/1pPp1p2/rP1P3q/3NP2P/1B5K/1R6 b - -,h4e4
1R6/3r1ppk/4p2p/6b1/4P3/P4QP1/1Bq1PP1P/6K1 w - -,h2h4
r1bq1rk1/1pp3bp/p2p2p1/3Pp3/2P1PpPP/2N2Pn1/PP1QBB2/2KR2R1 b - -,d8h4
5r1k/2q1n2p/1N4p1/2B1p3/1QB1b3/1P4P1/r1P4P/2R3K1 b - -,e7c6
1r4k1/5p1p/1rb1p1pq/p1p1P3/P1Pp2R1/1P1B3P/5PP1/1R2Q1K1 w - -,e1a5
8/8/8/5K2/7Q/8/3q2p1/5k2 w - -,h4c4
8/3R3p/p3rq1k/6p1/8/1P5P/5PP1/2Q3K1 w - -,h3h4
r3rbk1/5pp1/p3b3/1pp5/4Pp1N/1PP2P1P/1P2N3/3RK2R w K -,e2f4
r1bq1rk1/pp1nppbp/2pp1np1/3P4/2P1PP2/2N1BN2/PP2B1PP/R2QK2R b KQ -,c6d5
4r1k1/1ppr1ppp/p1n2b2/5b2/1qBP4/1P2BN1P/1Q3PP1/2RR2K1 w - -,c4a6
3n2k1/7p/1p2b3/pP1pP3/P2P1p2/8/4N2P/5NK1 b - -,f4f3
r1b1qrk1/1ppn1pb1/3p3p/p3p1p1/P2PPn2/2P2NB1/1P1N1PPP/R2QRBK1 w - a6,d2c4
1r2rk2/1q1bppbp/1N1p1np1/3P4/8/1nN2P2/1P2RBPP/3RQBK1 b - -,b7c7
1q2r1k1/2pb1ppp/p1p1p3/P1Q5/3P4/2N3P1/1r2PP1P/1R1R2K1 w - -,c5a3
3k4/1b3p1p/pp2p1p1/2npP3/5P2/3BP3/PP2NKPP/8 w - -,d3c2
2r1r1k1/1b3ppp/3b1q2/p2P4/2B2PP1/1P2BQ2/4R2P/4RK2 b - -,e8f8
r1b1k2r/pp3ppp/2n1p3/q2p4/2PPn3/P1P2P1N/1BQ3PP/R3KB1R b KQkq -,e4f6
r2qr1k1/1pnb3p/p1p2bp1/2Pp1p2/PP1Pn3/3B1N2/1BQ1NPPP/R3R1K1 w - -,a1b1
4r1k1/pppR1pp1/1br4p/4PP2/6R1/2P2N2/PP5P/7K b - -,g8f8
r2r2k1/2p2ppp/1pp3q1/3n4/4N3/2P5/PPQ2PPP/R3R2K w - -,a1d1
r3k2r/pp3p2/2p1npp1/2b1p3/2P5/1P2B3/P1P1NPPP/3R1RK1 w kq -,e3c5
1r1r1bk1/1bq2ppp/pp1p4/2PP4/3BP3/5P2/P3BQPP/2RR3K b - -,d6c5
2r3k1/3nrp1p/1q1p2p1/1p1P4/1P2P3/3B1R2/6PP/Q4R1K w - -,f3h3
r1bqr1k1/1pp2pp1/2np1n1p/p3p3/1bP5/PPNPPN2/3BBPPP/R2Q1RK1 b - -,b4c5
8/r4kb1/p4p1p/1p5Q/3qN3/P7/1P5P/5R1K b - -,f7g8
3R4/8/1Pk4p/2B3p1/6P1/8/2r4P/6K1 b - -,c2c5
2rr2k1/1bqnbppp/p2pp3/1p6/4PB2/P1N2P2/1PPRNQPP/5RK1 w - -,f1d1
rn2kb1r/pp2pppp/2p2n2/q7/1P4b1/2N2NP1/P2PPPBP/R1BQK2R b KQkq b3,a5d8
r1b3Q1/pp6/2n3pk/4q3/2P1r3/6P1/P3PP1P/R4RK1 b - -,e5e8
6k1/1p3rbp/nq1p1Bp1/2pP2P1/2P5/P4Q1P/5P2/R4BK1 b - -,g7f6
8/4p3/8/3pP1Pk/p1pP1KP1/PpP5/1P6/1b6 b - g3,h5h4
r3k2r/1bq1bppp/p1p1pn2/3p1P2/4P3/2NB1Q2/PPP3PP/R1B2R1K b kq -,e6e5
1r2r1k1/pp1qn1pp/1np1p3/2R2p2/P1pP4/B3P1P1/P1Q2PBP/1R4K1 w - f6,a4a5
r3kb1r/1p2pppp/p1b2n2/8/4PB2/2N2P2/PP4PP/R3KB1R b KQkq -,e7e6
2r1k2r/p2nb1pp/4p3/3pP3/2pP4/Pn2B1N1/RP1N2PP/3R2K1 b k -,d7b6
2r1r1k1/5p1p/6p1/pq1Pb3/1pp1P3/5Q2/PP2RPPP/3N1RK1 w - a6,d1e3
2kr3r/pppqn1pp/2n2p2/3p4/3P2b1/2PB1Nb1/PP1N1PPP/R2Q1RK1 w - -,h2g3
r3k1nr/1p1bbppp/pqn1p3/2ppP3/3P4/N1P2N2/PP2BPPP/R1BQ1RK1 w kq -,a3c2
R7/5pkp/1pp2rp1/4p3/4P1P1/2P2P1n/1r2N3/3RK3 w - -,d1d8
1rbqk2r/p3npbp/3pp1p1/1p6/3pP3/3PB1P1/PPPQ1PBP/R2N1RK1 w k -,e3h6
3rr1k1/2p2p2/b2q2pp/p5n1/2P5/P1R1P1P1/1N3PBP/2Q2RK1 b - -,d6e6
8/1R4k1/4K3/P6P/8/8/5r2/8 b - -,g7h6
r4r2/pppbq2k/3p1bpn/3Pp2p/4P2P/2N2P2/PPPQ1BR1/2KB2R1 b - -,f8g8
8/4k3/6n1/p5p1/P1K1N1P1/8/8/8 b - -,g6e5
r1b1qr1k/ppp3bp/n2p1pp1/1N4n1/2P1P3/P1N1B2P/1P2BPP1/R2Q1RK1 w - -,d1c2
2rb1q1r/5nkp/p2p1p2/3Pp1p1/1Q4Pn/2R1B3/PP2BP1P/1KR5 w - -,c3c8
3kr3/1p3pp1/1r1P1n1p/p1p5/2P5/1P1R1BP1/P6P/3R2K1 b - -,e8e6
3rr3/p4pkp/1p6/2ppq1pQ/2P5/1P2P1P1/P2R1P1P/3R2K1 b - -,d5d4
r3kb1r/pppnpppp/8/8/8/3b1PP1/PP3PBP/RNBR2K1 b kq -,d3a6
r3qrk1/2p3p1/ppnb2Pp/P2p4/1P1Pp1b1/1NP1P3/2K1pP2/R1B3QR w - -,g1g4
6k1/8/pq4p1/4bp2/P2Nb1p1/1P2P3/3BQ1PP/2r3K1 w - -,d2c1
r1b2rk1/p1pn1p1p/1p1b2p1/4p3/4P3/2P1BN1P/PP1N1PP1/3RR1K1 b - -,c8a6
5k2/8/1p1pP1KP/7B/2P2b2/8/8/8 w - -,e6e7
2R5/5pkp/p2b4/1b3P2/2p5/8/6PP/5R1K w - -,f5f6
7k/6b1/3pn1p1/2q1pb1p/2P4N/5BP1/1B2QP1K/8 b - -,f5b1
r2qk2r/1b1nbp1p/p2pp1p1/6P1/pP1NP3/P2BBP1Q/2P4P/R3K1R1 b Qkq -,d8c7
r1b1r3/1p1n1pkp/p2p2p1/1q1P4/N3P2P/5PN1/1P1Q2P1/R1R3K1 b - h3,h7h5
1q1r1rk1/1b2b2p/pp3pp1/2np4/1P6/P3P3/1BBNQPPP/2RR2K1 b - -,c5d7
r1bq1rk1/p1b2pp1/1pN5/1B1pn2n/8/P1N1PP2/1P1B1Q1P/R4R1K b - -,d8d6
r1bq1rk1/pp1p1pbp/2n2np1/2p1p3/8/2PP1NP1/PP1NPPBP/R1BQ1RK1 w - e6,e2e4
8/1Q3ppk/1B1P3n/1p2p2p/p3Pr2/PpPR4/1P5q/4K1R1 b - -,h2b2
r2qrnk1/ppb2ppp/2p2nb1/1P1p4/3P4/2NBP2P/P1QN1PP1/1RB2RK1 w - -,c1a3
r3k2r/5pp1/pp1p4/2pPn1q1/P3P1bp/2P5/1P1NBQPP/R4RK1 b kq -,f7f6
rn1qkbnr/pb3ppp/2p1p3/1p6/P1pP4/5NP1/1P2PPBP/RNBQK2R w KQkq -,e1g1
4rbk1/1r1q1p1p/1n2p1p1/Rp1p4/1P1P1B2/2PQR2P/1N3PP1/6K1 b - -,b6c8
5rk1/1ppq1pp1/r1n2n1p/p1b4b/2Pp3N/1P1P2PP/PBNQ1PBK/R3R3 b - -,g7g5
r1b1k2r/ppp1qppp/2n5/3p4/1b1Pn3/2N1BQ1P/PPP1NPP1/2KR1B1R b kq -,b4c3
r1bqk2r/ppp1nppp/1bn5/2N1p3/1P1P4/P3B3/2P1NPPP/R2QKB1R w KQkq -,d4e5
R7/p7/1p2pkp1/5p2/8/8/5PK1/8 b - -,f6e5
r5k1/1pp5/3p2qp/p2Pprpn/2P3Q1/PP2R2P/5PPB/5RK1 w - -,g4e4
8/1b3p2/k3p2b/1p1pPp2/pPqN1P2/P1P1Q3/1K2RR2/4B1rr w - -,e3d2
r1q2rk1/3n1p1p/1p2p1p1/p1pbP1N1/Pb1P4/6P1/1PQ2PBP/R1BR2K1 w - -,g2d5
8/p4k2/3B4/6p1/4P1bp/8/PP1K4/8 w - -,d2e3
R7/p1r1k1bp/1p1n1pp1/4p3/P5P1/2P1BPN1/1P4P1/5K2 w - -,b2b3
8/1R6/4p3/5p2/5P2/4KP2/2p4r/2k5 w - -,b7g7
rnbqk2r/pp2ppbp/3p1np1/2p5/4P3/2P2N1P/PP1PBPP1/RNBQK2R w KQkq -,e1g1
3rr1k1/pp2qpbp/2p3p1/3n1b2/8/PPN1P3/1B1QNPPP/3R1RK1 w - -,d2c1
8/2n1k3/p1p2n2/2P2p1K/PPB5/2B2P2/8/8 w - -,h5g6
1r5k/r2N1p1p/2pnP1pB/pp1p4/3P1P2/b1P4P/P3R1P1/4R1K1 b - -,b8g8
1rq1n2k/Q2R2pp/5p2/1ppB4/8/P5P1/1P3P1P/6K1 w - -,d7f7
