4B3/2k3p1/8/p4K2/P7/2n5/8/8 b - -,c7d6
r1bq2k1/1p3pbp/p2p1np1/2pPr3/P4B2/2N3P1/1P2PPBP/R2Q1RK1 b - -,e5e8
5rk1/5pp1/r2pb2p/1p1B4/pP1R4/3PP1P1/1P5P/2R3K1 w - -,c1c3
3r2k1/2p3b1/4b3/p1Q1p1qp/4n2N/P4p2/2B2P2/R3K2R w - -,c5e3
r1q2r2/pp1bppbk/2np1Np1/2p4p/2P1P3/2NPB1PP/PP3PBK/R2Q1R2 b - -,g7f6
r2qr1k1/3nbp1p/2p1p1p1/pbN5/1p1PPB1P/6P1/PPQ2PB1/3RR1K1 b - h3,a8a7
2r5/pkp1bppp/1pR1n3/3rP3/3P4/1N2B1P1/P4PKP/2R5 b - -,e7a3
8/6pk/4Q3/p2pp3/8/1P5P/PK2q3/8 w - -,b2a3
3rr3/2p1qpbk/1p1p2pp/pPnPp3/P1P1b3/Q3P2P/5PPB/2RRNBK1 b - -,g6g5
r1r3k1/1bq1bppp/p3pn2/3n4/3N1P2/1BNQB3/1PP3PP/4RRK1 w - -,c3d5
8/6k1/4p3/4K3/3p1P2/3P4/2n5/8 b - -,g7f7
8/8/4R3/6b1/8/5k2/2r5/5K2 w - -,e6e8
r3r1k1/1b2qpbp/pp2p1p1/2ppN3/P2PnPP1/2PBP2P/1P2Q2B/R4RK1 w - -,d3e4
5k2/r7/3p4/pR2nP2/1p4PP/P3R3/2P2PK1/8 w - -,b5e5
2qr4/6kp/2pR1pp1/p3p3/P1Q1P1P1/2P3P1/5PK1/R7 b - -,d8d6
1r6/4q1kp/3p1pp1/1rpPn3/4PQ2/1P5P/R1B3P1/R5K1 b - -,e5f7
1k1q4/1p3p2/p3P3/P2pP3/1P1Pb1Pr/4N2r/3KQ3/4RR2 b - -,f7e6
r6r/p2kpp1p/1p4p1/3Pb1B1/2R5/4P3/P3KPPP/2R5 w - -,g5f4
7k/1p2p2p/3pN3/8/5p1R/1P6/1PP1q3/1K1R4 w - -,d1h1
r4rk1/1bq1bp1p/1n2pnp1/4N1N1/pp1PP3/1P1B2Q1/PB3PPP/1K1R3R w - -,e5g6
4rrk1/1b4n1/p1pbqn1p/Pp1pNpp1/1P1P1P2/4P1PP/2RB2BN/3QR1K1 b - -,d6e5
8/8/4k3/r6P/4KPP1/8/8/8 b - -,a5a1
2r1kb1r/1p2pppp/1pp5/3b4/P2P1B2/1P3P2/2P3PP/2KR1B1R w k -,c1b2
5rk1/2q2pp1/p6b/4p3/Pp4Q1/1b2B3/2P4P/5RK1 w - -,e3h6
r5k1/2bqr2p/b1p1p1p1/ppPn1p2/3P4/PP1B1NP1/1BQ1RP1P/4R1K1 b - -,a8e8
8/5k2/8/6p1/4q3/R5K1/R7/8 w - -,a3a7
r2qk2r/p1p5/2ppp3/2b5/4P1Q1/2NB2Pp/PPP4P/R3Bn1K b kq -,d8f6
3Q2N1/3R2qk/1p6/7p/6pP/6P1/1r6/3K4 b - -,b2b1
r1b1rq1k/7p/p2p2p1/2pP2N1/PpQb1PP1/7P/1P4K1/2B1RR2 b - -,a6a5
r1q1k2r/1b2bppp/p2pp3/RP4P1/R2NP3/4BP2/2PQ3P/6K1 w kq -,b5a6
2rr1nk1/pbq1bpp1/2n1p2p/1Pp1P2P/3p1B2/3P1NP1/PP2QPBN/R3R1K1 b - -,c6b4
r2qr1k1/2pbbppp/p2p1n2/2p5/3NPB2/2N4P/PPP2PP1/R2QR1K1 w - -,d4f3
5rk1/pp3p2/n1pqpQpp/P7/R7/6P1/1P2PPKP/4R3 w - -,a4d4
2r5/6k1/5R1p/2PR4/2r5/P7/7P/7K w - -,f6b6
7R/4kp1p/1n6/4P3/3PK3/8/b6P/8 w - -,h8b8
8/5R2/3p2pk/2bBp2p/2P1P2P/7K/1r6/8 b - -,c5e3
r1r3k1/pp2qppp/4p3/3pP3/4bP2/2P1Q3/PP2B1PP/3R1RK1 b - -,b7b5
6b1/7r/3R4/p4Nk1/3Npn2/P4p2/2P2P2/5K2 w - -,f5g3
r3q1k1/r5np/2p1p1p1/PbRpP1B1/PQ4PP/5PK1/6B1/7R b - a3,b5c4
r1nq1r1k/ppB1p1bp/2p1P1p1/P4p2/8/1BN3Q1/1PP2PPP/R5K1 b - -,f5f4
r5k1/pp4p1/2n1r1p1/3q1p1n/3pN2Q/P4P2/1PPB2PP/R4RK1 w - -,e4g5
2q1r1k1/1ppn1pp1/r1nbb2p/p3p3/N7/PN1PB1P1/1PQ1PPBP/2R2RK1 w - -,f1e1
8/4kp1p/1n1pp1pP/3P4/n1r5/6P1/R1N1BPK1/8 b - -,c4c7
8/5p2/5k2/3K1P2/1N2P3/8/7b/8 w - -,b4c6
8/5p2/8/5pk1/8/5RKP/8/3r4 w - -,h3h4
8/4k3/4p3/1pNp1p2/1P1PnP2/1P2P3/6K1/8 b - -,e7f6:e4c3
8/3n1p1k/p7/8/4P1K1/2b1P1P1/P6P/8 w - -,g4f5
8/1N6/p1n5/P3k3/4P3/4K3/8/8 w - -,e3d3
1bb1k2r/2qp1ppp/p1p1p3/3n4/8/BN3BP1/P2Q1P1P/5RK1 b k -,d7d6
6k1/pr1r2b1/1p4p1/1P5p/8/R3BP1P/R4KP1/8 b - -,b7c7
r4b1r/pp4pp/2kPp3/2p5/8/5PP1/PPP5/R1B1K1NR b KQ -,f8d6
2r2rk1/1bq4p/p2ppnp1/2p1b1B1/Np2P3/P4B1P/1PPQ1PP1/3RR1K1 b - -,b7c6
8/R5k1/7p/p3r3/6PK/8/8/8 b - -,g7f6:g7g8
8/8/5pk1/3q2p1/1P1Bp1b1/2P3P1/3Q1K2/8 w - -,f2e3
3r1b2/5k1p/pp2bp2/1p1N2p1/1P1R2P1/2P2N2/P2K1P1P/8 w - -,d5e3
8/8/2K1p1p1/5p1p/3knP1P/5BP1/8/8 b - -,d4e3
8/8/8/R7/4p3/3r1PK1/4k3/8 b - -,d3f3
2kr1bnr/1ppb2pp/p4p2/N7/2p1PB2/2N2P2/PPP3PP/R2R2K1 b - -,f8c5
1r1q2k1/p4pp1/2n2n1p/3p4/3b4/RNP1B1PP/1Pb2PB1/4Q1K1 w - -,b3d4
rnbq1rk1/pp3ppp/2pb1n2/4p3/1PPp4/5NP1/PB1PPPBP/RN1Q1RK1 b - -,a7a5
1r6/8/5k2/1p5P/1K2R3/PP6/8/8 b - -,f6f5
1r2r1k1/3b1ppp/5n2/4R3/ppN1P3/3BRP1P/PP3P2/6K1 b - -,e8e5
rn1qk2r/pb1pbppp/1p2pn2/2p5/6P1/1P1PPN2/PBPN1P1P/R2QKB1R b KQkq g3,h7h6
r1bq1rk1/pp1n1ppp/3ppn2/8/1pPP4/5NP1/PP2PPBP/RN1Q1RK1 w - -,a2a3
r1b2rk1/p4ppp/np1N3b/3P4/1PPN3q/P2Qp3/4B1PP/R4RK1 b - -,c8g4
6k1/3q1r1p/2pn2p1/1p1p1n2/p2P4/P1PBQP2/1P3KP1/3NR3 w - -,e3g5
6k1/p1r3pp/6n1/N7/3N1P2/6Pb/P6P/4R1K1 b - -,g6e7
8/1p1nb2k/2p3p1/1nP2p1p/1PNp1B2/3P1B1P/5PP1/6K1 w - -,c4a5
r6r/1p2bkp1/2p1p1p1/1pPpPp2/3P1P1P/1P3KP1/1P1B4/R6R w - -,h1g1
2r2rk1/1bq2pp1/p3p2p/2bpPP2/1n6/1NNB4/1PP1Q1PP/R4R1K b - -,b4d3
2k4r/ppp2p2/2nr4/3q3p/3p3N/P7/1PP2PP1/R2Q1RK1 w - -,d1f3
r4rk1/6pp/b2p1q2/p1pPp3/4B3/1P3PP1/P2QP3/R1R3K1 b - -,g7g5
r3k2r/4bp2/qpp1p1p1/p2nP2p/3P1P2/P2QBNP1/1P4P1/2RR2K1 b kq -,a6d3
r1b2rk1/pp1nq1pp/2pbpn2/5p2/2pP4/1PN2PP1/P1Q1P1BP/R1BRN1K1 w - -,b3c4
3r1k2/5pp1/p3pn2/1p1qQ3/8/2B3P1/PPB2P2/6K1 w - -,e5f4
3qr3/1R3Q2/p7/5pk1/7p/P6P/1PP3P1/1K6 b - -,e8e4
8/3R1k2/6p1/pp6/2p2KPP/P1P2P2/1P6/1r6 b - -,f7e6
4Q3/2r2pkp/P1b2qp1/3p3P/3N4/2P3P1/1P3P2/5BK1 w - -,h5h6
rn1q1rk1/pp3ppp/2p5/3pP2b/1bP1n3/3BBN1P/PP3PP1/RN1QR1K1 w - -,e1f1
r1b4r/pp2kppp/5n2/2P1p3/1P6/P1N1P3/6PP/2R1KB1R w K -,f1c4
r2qnrk1/1p1bbppp/p1np4/4p1B1/B3P3/2N2N2/PP1Q1PPP/R2R2K1 w - -,g5e7
5r2/pb4kp/1p3p2/3qpp2/r2P1Q2/P1P2P1P/6P1/2R1R1K1 w - -,f4g3
r2q1rk1/pb3ppp/1n6/4pN2/1nBPP3/bN5P/P1Q2PPB/3R1RK1 w - -,c2e2
5rk1/5ppp/1p2b3/3B4/q7/P7/Q1r2PPP/R2R2K1 w - -,a2b1
4b2r/1pp1k3/p7/2p1PP2/2P5/1P2KN1p/P7/6R1 w - -,g1g7
2r1rbk1/1bqn1ppp/pp1ppn2/8/P1PNP3/2N2P2/1P1Q1BPP/2RR1BK1 b - -,d7e5
6k1/p3bb1p/B1p2pp1/2P5/3BP3/6P1/2K2P1P/8 w - -,c2c3
r2q1rk1/p1nnbppp/1pp1p3/3pP3/3P4/5N2/PPP2PPP/R1BQRNK1 w - -,f1g3
4rn1r/p2kb1p1/1pp1pq2/5p1p/Q1BP1B1P/6P1/PPP2P2/2KRR3 b - -,a7a5
3q2k1/1p1n1pp1/p1p1nbp1/2Pp4/PP1P4/1N1Q1N1P/1B3PP1/6K1 b - -,d8e7
2r2rk1/pbqn1ppp/1p1bp3/8/3P4/2PB1N1P/P2BQPP1/2R2RK1 b - -,d6f4
r4rk1/1q1nb1pp/p2p1p2/4p1P1/1PP1bP2/3BBN2/1P5P/2RQ1RK1 w - -,d3e4
1b1rrnk1/pp3qp1/2p1pp1p/8/3PP2P/2BN1QP1/PP3PK1/3RR3 b - -,f8d7
r3kb1r/pp3ppp/2n1pn2/3q4/3p2b1/N1P1BN2/PP2BPPP/R2QK2R w KQkq -,a3b5
r5k1/2pbn1b1/1p1q1np1/p2Pp1Bp/4P3/2N1Q2P/PP1NB1P1/R5K1 b - -,e7c8
3r2k1/pp1r1pp1/2b1pbpq/2P5/2PP1P2/P1B1QBP1/3R3P/3R2K1 b - -,g6g5
5rk1/4Rp2/p6p/1p1pb1pB/5qP1/1P3P2/P2pQ3/5K2 b - -,f4d4
8/p7/6k1/R7/1r5p/7K/6PP/8 b - -,g6h6
5b2/8/4p3/2p1P3/2P2P2/1p1KBk2/8/8 w - -,e3c1
r2q1rk1/1p1b1pbp/2pp1np1/p1nPp1B1/2P1P1P1/2N2Q1P/PP1N1P2/2KR1B1R b - -,h7h6
2Q5/5pk1/P5p1/r7/2P5/2K5/5b1P/8 b - -,f2e1
r1br4/pp2pp1p/5kpn/8/2B5/2P2N2/PP3PPP/R3R1K1 w - -,h2h3
rnb1kb1r/1pq2pp1/p2ppn2/7p/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 w kq -,g1h1
rn1qk2r/pp1bp3/3p2pp/2pP1p2/2P2BnP/Q1P2N2/P3PPP1/R3KB1R b KQkq h3,d8c7
3R4/1p3p1k/3N3p/1P4p1/1r1b2P1/8/1P3P1P/6K1 b - -,d4b2
r6k/1b3pp1/1qpr3p/p4Q2/1p6/4PB2/PP3PPP/2R2RK1 b - -,h8g8
rnbqk1nr/pp2pp1p/6p1/2P1b3/3pN3/8/PPP2PPP/R1BQKBNR w KQkq -,g1f3
2kr3r/pp3pp1/2p1p1p1/2n1q3/1PB1P3/7P/P1P1QPP1/R3R1K1 b - b3,c5a4
3r2k1/3r2pp/1pq1pp2/p1n5/P1PB1P2/1P1RQ2P/6P1/3R2K1 w - -,d3d2
1rr3k1/3qpp1p/p2p2p1/1p1P4/6n1/1P2N1P1/PR1QPPKP/2R5 w - -,e3g4
r1b1k2r/1pq1bppp/p1nppn2/8/2P1PP2/1NNB4/PP2Q1PP/R1B2RK1 b kq f3,b7b6
2br1rk1/pp2bppp/2n1pn2/q5B1/3P4/2NB1N2/PP2QPPP/2R1R1K1 w - -,g5e3
rn1qkb1r/pp3ppp/2ppbn2/4p3/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR w KQkq -,d2d3
r2q1rk1/1p1b2pp/p1nn4/3N1pPP/3Pp3/2N1PP2/PPB2K2/2R3QR b - -,f5f4
r1r3k1/1q3ppp/pp1ppn2/2n5/2PNP3/6PP/PP1NQPK1/2RR4 w - -,f2f3
4r3/1p3kp1/p1b2p2/3p2p1/3R4/2R1P2P/P4PP1/6K1 w - -,f2f3
3rr1k1/1bq2pb1/p1p1n1p1/2n1p2p/1pP1P3/1P2NN1P/PBB2PP1/Q2RR1K1 b - -,e6d4
2r1k2r/1pq3pp/pbn1p1n1/3pPp2/PP5P/2PB1NB1/5PP1/R2QR1K1 w k f6,f3g5
r7/p3r1k1/1p2pp2/3p2pp/3P1P2/2P3RP/PP4P1/4R1K1 w - -,f4g5
r1bq1rk1/1p2b1pp/p1n1p3/2p2p2/4NP2/3P1N2/PPP3PP/R1BQ1R1K w - f6,e4d2
