8/8/p3k3/2p1Bp2/2P2P1b/P5Pp/4K2P/8 b - -,h4g3
r5k1/6pp/1bn2q2/1p1pr3/pPpP1P2/P7/1B3QPP/R4RK1 w - -,f4e5
r2qk2r/pp1nbppp/4p3/1NPpP3/1P1NbP2/P2B4/6PP/R2QK2R b KQkq -,e7h4
r1b2rk1/p1p1q1pp/2pbp3/3p4/3Pn3/3NBN2/PPP2PPP/R2QK2R w KQ -,e1g1
4rr1k/p2n2pp/1p3p2/2pQ1P2/q1N5/P1P1p2P/1P4P1/2R2RK1 b - -,e3e2
1r6/1pn3p1/p5kp/2P1R3/4NP2/8/PP3KPP/8 w - -,g2g4
6rk/p7/3P3P/2n5/2P5/2P5/P7/K3R3 w - -,e1e7
r7/4Qrk1/pRN1bp1b/3p4/3P1P1p/2q5/P1P3PP/1R4K1 w - -,e7e6
6k1/1R3p1p/5np1/2p1N3/b1Pp1PPb/7P/r7/5BKN b - -,a4e8
r1b2rk1/pp1n1pbp/2pp1np1/q7/3NP3/P1N1B2P/1PP1BPP1/R2Q1RK1 b - -,f8e8
2r3k1/7R/7p/4Q3/8/7P/1Pr3PK/8 b - -,g8h7
8/4k3/p2pbpp1/2p1p2p/2PnP2P/P1NP4/3K1PP1/3B4 w - -,c3e2
2b2rk1/2qnbp2/2N3pp/1P2p1P1/1P1pPn1P/5P2/1P1Q1B2/R2NK1R1 b Q -,e7d6
r3r1k1/5pb1/p5p1/npNpN2p/3P4/1P6/P4PPP/R3RK2 b - -,e8c8
rnb1qrk1/ppp2pbp/3p1np1/4P3/2P1P3/2N2N1P/PP2BPP1/R1BQK2R b KQ -,d6e5
r2q1r2/5pbk/pP2b1pp/2p5/5R2/2PBB2P/P2Q2P1/1R4K1 w - -,b6b7
3r2k1/prp2pbp/2R3p1/4p3/3P4/4PB2/PP3PPP/R5K1 w - e6,d4d5
3r4/7k/2p3Rp/pb2N3/2p2P2/6P1/PP4P1/4K3 w - -,g6h6
2rq1rk1/1b2bppp/p1p1pn2/8/2NP4/PP4P1/1BQ2PBP/R4RK1 b - -,f6d5
3r1r1k/pp1n1pp1/2p1p2p/q3P1N1/P2P2Q1/8/1P3PPP/R2R2K1 w - -,g4h4
3r4/3Pb3/2R2k2/p3p1pp/B3P3/1P3PP1/6K1/8 b - -,f6g7
3r4/p7/b1r4k/1p1p1RRp/7P/8/PPP3P1/2K5 b - -,c6g6
3q1rk1/1QR2ppp/1p2p3/1b1pP3/1P3P2/r2P4/4N1PP/5RK1 w - -,f1c1
1r1qb3/1r3pk1/p2p2pp/2pPnP2/2P5/1P3RNP/2BQ2PK/1R6 w - -,f5f6
r5k1/2pr2pp/p1Nb4/P3p3/bp2p2P/4B1P1/1P1RPP2/2R3K1 w - -,b2b3
r1q2rk1/ppp3bp/2np1p1n/4p1pP/2P1P3/2NP1PP1/PP6/R1BQK1NR b KQ -,c6d4
8/4k3/1R6/7p/p3K3/1p6/r7/2B5 b - -,e7d7
r2q2k1/pp4pp/3b4/2p1n3/2PpPr2/1P3pP1/P4P1P/RQ3RKB w - -,g3f4
r5k1/pR3ppp/4p3/P1r5/8/5PP1/R4K1P/8 w - -,a5a6
1r2k2r/4ppb1/1qnp2p1/p1p4p/1p2PPbP/1P1PB1P1/P1PQN1B1/4RR1K w k -,d2c1
8/1k3ppp/8/PK6/5P2/4RP1P/1r3P2/8 w - -,b5c5
r4rk1/p4p1p/5Bp1/2p1n3/3qN2P/6p1/PP4B1/R4Q1K b - -,d4d5
5b1k/6p1/p1pp3p/1r3n1q/5P2/6P1/PB1QRN1P/6K1 b - -,h5f7
r2qrbk1/2p2pp1/p1n1bn1p/1p1pp3/4P3/1BPP1NN1/PP2QPPP/R1B1R1K1 w - -,c1d2
6k1/3r4/1p4R1/5PpQ/3q2P1/3pr3/PP6/5R1K b - -,d7g7
r2q1rk1/1p1bbppp/2pp1n2/p1nPp3/2P1P3/2N5/PPQ1BPPP/R1B1NRK1 w - -,f2f3
2r5/5pk1/5bp1/2P4p/2Q5/q4N1P/6P1/2R4K b - -,f6b2
r1k1q3/pp1n4/4pbr1/3p4/5B2/5N1Q/PPP2PPP/R3R1K1 b - -,f6b2
2br1rk1/2q1b2p/ppn2np1/2pp2N1/8/PPN1P1P1/1BQ2PBP/R4RK1 w - -,c3e2
r4rk1/2p1ppbp/1n2Q1p1/p7/P3PB2/6P1/1P3PKP/RN1R4 b - -,f7e6
r5k1/p2nbpp1/4p2p/N2n4/Pp1B4/6P1/1P1NPPKP/2R5 b - -,e6e5
r4rk1/1bq1bppp/p2p1n2/1pn1pP2/2P1P3/2N2N2/PPB1Q1PP/R1B3RK w - -,c3d5
8/5p2/1p1k2p1/p2b1PP1/3N1K2/3B4/1P4R1/4r3 b - -,d5g2
3r4/2p3rk/1p2B3/pPbPp3/6p1/6P1/P1R2PK1/2R5 w - -,c2c4
8/1p1b1k2/5P2/3pK3/p2B2p1/P5P1/1P6/8 w - -,e5d5
8/8/6K1/4r3/5k2/4p3/5n2/5Q2 w - -,g6f6
r1rq2k1/1b1nbpp1/pp1p3p/3PpP2/4P3/1P2BB2/P2QN1PP/2R2RK1 w - -,c1c8
2B5/1p3k2/1p1p2p1/3Pp2p/PP2Pp2/5Pn1/5KP1/8 b - -,f7e7
r1b1r1k1/1p2q2p/3pn1p1/pNp1b2n/P1P1Pp2/1N3P2/1P2BBPP/2RRQ2K w - -,c1c2
8/1pr1kpp1/p3p1p1/3pP2r/8/3BKNP1/PP3P2/4R3 b - -,h5h8
5rk1/p1b2pp1/b4n2/4p1Q1/4P3/P1B2P2/1P2q2P/2KR3R b - -,c7b6
r7/4b2k/2P4p/5N2/1p3NP1/3P1K2/2P5/8 b - -,e7d8
4k2r/pp3ppp/8/3pp3/1P1b4/P3P3/K1b2NPP/1r1N1B1R b k -,b1a1
3r2k1/5ppp/2R1p2b/8/3r4/6P1/3pB1KP/3R4 b - -,g7g6
1r4k1/2R2bp1/2R2p2/4pn1p/7P/4P1P1/5K2/8 b - -,b8b4
5r2/p3pk1p/1p4p1/2p1p1b1/3r2RP/P1R3P1/5P2/5K2 w - -,g4g5
r3r1k1/1ppq1ppp/p1n1bb2/8/Q2BP3/5NP1/PP3PBP/2RR2K1 b - -,c6d4
3kr3/6pp/1p1r2b1/p3R3/Pn1P4/1P4PB/1B5P/4R1K1 w - -,d4d5
1r3rk1/3bq2p/p2p1p2/4p1n1/p1P1P3/3P2PB/3QNR1P/5RK1 w - -,h3d7
8/8/8/p7/n7/4k1N1/6K1/8 w - -,g3f5
4r1k1/1p2rpb1/2bq2p1/2n4p/pRPpP3/P2B1N1P/4NPP1/1Q1R2K1 w - -,d3c2
8/PQp2pk1/3p2pp/8/1P3n2/7P/3N1qPK/8 w - -,a7a8q
r4rk1/b1q2ppp/b1p1pn2/p2p4/2P1P3/P1N2P2/BP1BQ1PP/3RK2R b K -,h7h6
2kr3r/pppnq1pp/2p1bp2/2b1p3/P3P3/1P1P1N2/1BPN1PPP/R2Q1RK1 w - -,d2c4
2r5/1p2b2p/1p4p1/1P3k2/P3pP2/4P3/3BK3/R7 b - -,c8c4
5bk1/2q2p2/1pP1bp1p/4pN2/rP1r4/5QP1/5PBP/1R3RK1 b - -,d4b4
6k1/2n3p1/1pr1p1qb/p2p3p/Pn1P3P/NP4P1/1B2QPN1/3R2K1 w - -,g2e1
1rbr2k1/1p2qpbp/pNn3p1/P2pP3/R2p1PP1/3P1N2/1PPB3P/4QRK1 w - -,b6c8
r1b2rk1/p1q1bppp/1npp1n2/4p3/3PP3/1BN2N2/1PP2PPP/R1BQ1RK1 w - -,c1g5
r1b1k2r/1pp1n1bp/6p1/4q3/1QB1p3/5NP1/PB3P1P/RN2R1K1 b kq -,e5b2
Q5k1/5bn1/2B4p/5p2/3r2p1/qN6/P4PPP/2R3K1 b - -,a3a8
r2qk2r/pppnbppp/4pn2/8/3P4/3BNb2/PPP2PPP/R1BQ1RK1 w kq -,d1f3
1k3br1/1p2p1pp/p6r/3N4/2N5/1PP1P3/1P4PP/R4RK1 w - -,d5b6
r2q2k1/1p2pnbp/1np5/p2pPp2/P2P3P/1BP5/1P1NQ1P1/R1B3K1 w - -,d2f3
5rk1/1pq1ppbp/p5p1/4N3/3r1P2/8/PPP1QP1P/3R2K1 w - -,d1d4
r3r1k1/1bp1qppp/p7/P3p3/B3P3/2P1Q3/5PPP/R3R1K1 b - -,e8d8
1k1r3r/1bqnbppp/p2pp3/1pn3PP/1P1NP3/2NBBP2/P1PQ4/1KR4R b - b3,d7e5
r1b2rk1/pp1nppbp/2p3pn/q7/3PNB2/3B3P/PPPN1PP1/R2Q1RK1 b - -,h6f5
3b4/1p3n2/4kp2/p5p1/P5P1/r1N1PK2/5P2/3RB3 w - -,d1b1
3R1nk1/4r1p1/2p1q3/2Q1p2P/2P1P3/P4P2/6B1/7K b - -,e6f6
r1bq1r2/ppp2pkn/3pp1p1/3Pn1P1/4P3/2N2P2/PPPQB2P/R3K1NR w KQ -,f3f4
r1bq1r1k/1p1n3p/p2p1bp1/3Ppp2/1PP2P2/2N1B1P1/P2QB2P/R4R1K b - b3,b7b6
1r5k/6r1/3p4/1PbP4/4B2p/4pPpP/4K1R1/1R6 b - -,g7a7
1r2r1k1/R6p/3PnRpb/4PP2/1pB5/7P/1P5B/6K1 b - -,h6e3
r2r2k1/1b2qpb1/2pp1npp/p7/4PP2/2NBB2P/PP3QP1/2R1R1K1 w - -,d3b1
1rbq1rk1/2p2pp1/3p1nnp/1p2p3/3PP3/2P1PN2/1PBN2PP/R2Q1RK1 b - -,f8e8
8/8/5kpp/1pb1p3/4P3/1P1K1NP1/7P/8 b - -,h6h5
r6r/p1pk2bp/4p1p1/2pbP3/R7/1P1B4/P1PN2PP/4R1K1 w - -,d2e4
8/4RP2/8/3k4/P6r/8/5K2/8 b - -,h4f4
8/8/1R3pkp/6p1/2P3P1/5P2/1p3KP1/1r6 w - -,c4c5
2r3k1/p3qp1p/4p1p1/1Qpn4/8/1P2P3/P4PPP/2RR2K1 w - -,a2a3
r5k1/1pp3p1/p1pbbr1p/4p3/4P3/6N1/PPPR1PPP/R3N1K1 b - -,f6f8
8/7p/4pk2/8/3P1R1P/5P2/4K3/1r6 b - -,f6g6
8/1p3p2/p1kpq3/2p2Rp1/8/2P1N3/5K2/8 b - -,f7f6
1rbqk2r/2p2ppp/p1n1pb2/1pN5/3P4/4PNP1/P4PBP/R2Q1RK1 w k -,f3d2
b3r2k/p6p/8/2p5/2B3p1/8/PP3PPP/3R1K2 w - -,c4d5
6k1/p1q4p/2p1r1pb/4rp2/1P1Q4/P3P3/1B4PP/3RR2K w - f6,d4d8
8/4k1K1/2p5/5P2/1p6/8/1p6/8 w - -,f5f6
r1b1r1k1/p1qn1pbp/2p3p1/2p1P3/Pp6/1P2PN2/1BQ1BPPP/R3K2R w KQ -,a1a2
2rqr1k1/p4pbp/1p2p1p1/3n4/2PPB3/PQ6/5PPP/R1B1R1K1 w - -,e1d1
r4rk1/ppp1qppp/3p4/4nb2/1bP2B2/PN2P3/1P2BPPP/R2Q1RK1 b - -,b4c5
6k1/1p6/4p3/1B1pP2p/Pp1K1RpP/1P1R2P1/1r2r3/8 b - -,b7b6
r1r5/1p1b4/1p2kp2/6p1/7p/P1P1P1P1/5P1P/2R1KB1R b K -,a8a3
5rk1/1p6/1p2N3/4n3/2P1p2p/1P6/P3B1K1/8 w - -,e6f8
1r1q1r1k/Bb1nNppp/p2p1P2/1p4P1/2n2P2/7P/PPP1Q1B1/1K2R3 b - -,g7g6
2Br3k/p2P1p2/5b1p/8/1n3P2/8/1P5P/3R3K b - -,h8g7
r3r3/p2R1p1p/2k2bp1/4p3/8/2N3PP/PPP2P2/2K4R w - -,d7f7
2r1qrk1/1b1nbpp1/p3p2p/1p5n/1P2P3/2NBBN2/P4PPP/1QR2RK1 b - -,e7d6
k7/7R/8/PP6/8/r2pK2P/8/8 w - -,h7h8
r4rk1/2p2p1p/4p1p1/4b3/8/PP3PP1/R4P1P/2BR2K1 b - -,f8b8
6k1/1p3pp1/2n3b1/3R3p/2B2q2/1PB1p3/K6P/2R5 b - -,f4h2
2qr1r1k/pb2ppb1/1pp1nn1p/6p1/2PP4/Q1N2NBP/PP3PP1/3RRBK1 b - -,g5g4
r4rk1/2p1q1pp/2p1bn2/p4p2/2P1p3/PP2P3/1B2BPPP/R2Q1RK1 b - -,f6d7
4r1k1/pp4p1/4rp2/1n1p3p/2pPPB2/1nP2P2/2R2NPP/5RK1 w - -,h2h4
r1bq1rk1/p2nbppp/1p2p3/2pn4/3P4/P1NBPN2/1P1B1PPP/2RQ1RK1 b - -,c8b7
8/p3k1p1/1pp1p1Bp/2n1P3/n1P5/P4P1P/2P2B2/2K5 w - -,c1d2
4rrk1/1bp2pb1/pp1p3p/1q4nP/4PB2/1BP3N1/PP4P1/3QRRK1 w - -,g3f5
r1bqk2r/pp2npbp/2n1p1p1/2pp4/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 b kq a3,b7b6
rnb2rk1/pp2bppp/2p5/2q5/2PN1B2/3B4/PP1Q1PPP/2KR3R b - -,b8a6
r4rk1/pb1nq2p/1p2p3/2ppP1P1/2P1p1B1/1P2P3/PBQ3PP/R4RK1 b - -,a8e8
2r2rk1/1q1bppbp/3p1np1/pp2n3/3NP3/NBP1BP1P/PP1Q2P1/R3R1K1 b - -,e5c4
r2q1rk1/pb1nn1bp/1p1p2p1/1Pp1pp2/2P1PP1N/P2P2P1/1B1N2BP/R2Q1RK1 b - f3,a7a6
5k2/1p3p2/p4np1/P2pr2p/3N4/1P2P1P1/5PKP/2R5 w - -,b3b4
q1rr2kb/pb2pp1p/1pnp1np1/6B1/2P1P3/1PN2P2/P1NQB1PP/2RR3K b - -,d8e8
8/6k1/1q4p1/7p/2pp1Q1P/5P2/1P4P1/5K2 w - -,f4e5
3r1rk1/p3qp2/2ppb2p/2b1p1p1/N1B1P3/3Q1PP1/PPP3P1/4RR1K b - -,c5b6
1r4k1/2r2pb1/4p1pp/1pq1P3/2nNQB1P/2PR4/5PP1/4R1K1 b - -,c5e7
6k1/3qbppb/2p1p2p/p1nnP3/2pN4/PP4P1/1B1N1PBP/3Q2K1 w - -,b3c4
5r1k/1b1pq1pp/pp2p1n1/2r2P2/P2N1PQP/2N3R1/1P4P1/3R2K1 b - -,e6f5
r4r2/p5bk/2pNR1p1/1p2n1pp/8/2P5/PPB2PPP/R5K1 b - -,f8f6
r3rbk1/p1nq1ppp/3p1n2/2pP4/2B5/2N4P/PPQ2PP1/R1B2RK1 w - -,f1d1:c1g5
rn1qr1k1/ppp2pp1/3b1pbp/3N4/3PP3/3B1N2/PPP3PP/R2Q1RK1 w - -,f3d2
8/1k1b1Bp1/3P2p1/P1P2p2/2KN1P2/6PP/8/4b3 b - -,e1a5
r1b1r1k1/pp3pp1/2pRn2p/8/2P5/P1P1B3/4BPPP/2KR4 w - -,h2h4
2k5/pp4pp/2q5/P1b1P3/2p1QRP1/2B5/1P5P/3r3K w - -,h1g2
5r1k/3qb1p1/p1b4r/1p1pp1N1/8/P1P1B2P/1PQ2PP1/3R1RK1 b - -,f8f5
1k6/1p6/8/p7/1P6/3R4/q1NK4/8 w - -,d3a3
r7/1p2k3/p7/3p1B2/7P/P7/2P3PK/8 b - -,a8h8
8/R5pp/8/4k1r1/8/5K2/6P1/8 w - -,g2g4
8/R6p/1p1p2pk/8/Pr5P/6P1/5PK1/8 b - -,d6d5
1r6/3b1nkp/1p2r1p1/p1pNpP2/P1P1P2q/4R2P/1Q4B1/R5K1 b - -,e6d6
r2n1rk1/pppq1pb1/3pb1np/1P2p1p1/2P1P3/2NP2P1/P2B1PBP/1R1QNRK1 w - -,e1c2
2r2R2/p5p1/4k3/1p1p4/2p2K2/2P1P3/PPB2P2/R7 b - -,c8f8
3b4/1R4p1/P2NB2k/4P3/8/4P2K/7P/3b2r1 w - -,d6f7
3r4/5pkp/R3p1p1/P4q2/1p4Q1/6PK/1P5P/8 b - -,f5f1
r4rk1/2qnppbp/p1np2p1/1pp5/4P3/P1PP1N1P/1PB2PP1/R1BQR1K1 b - -,f8c8
8/5pk1/4p1p1/4P1K1/5PP1/R7/8/2r5 w - -,a3a7
2r1rbk1/pbqn1ppp/1p3n2/2pp1N2/2PP4/1P4P1/PBQN1PBP/R3R1K1 w - -,d4c5
r1b2rk1/5pbp/p2p4/1p1P2q1/4ppN1/2P5/PPB2PPP/R2QK2R w KQ -,h2h3
2rqkb1r/pp2pppp/2n5/1B1n4/3P4/2N2b1P/PP3PP1/R1BQK2R w KQk -,d1f3
4qr1k/p3p1bp/1pn1N3/2p1Pp2/2P2P2/4B1R1/PP2Q2P/3rK3 w - -,e2d1
7r/1pk1p3/2bp2p1/6r1/P1PRP2P/1P2KB2/8/7R b - -,g5e5
Rrk5/1rb5/R2p4/3Pp1pp/KP3p2/2BP1P1P/6P1/8 b - -,b8a8
r3kb1r/pp1npppp/2p2nb1/4N3/1q1P1BP1/2N4P/PPP1BP2/R2QK2R w KQkq -,a2a3
rn2k2r/pq2bppp/2p1pn2/4N3/P2P4/BN2P3/5PPP/RQ3RK1 w kq -,b3a5
5Qbk/6p1/8/3B1P1p/3p4/8/4q1KP/8 w - -,g2g1
5rrk/1p5p/p2pQ3/4p3/P6q/2P3R1/1P1N1nKP/R7 b - -,f2d3
r4rk1/1b1n1ppp/p1p1p3/1p6/3PP2q/5P2/PP2B1P1/R1BQ1RK1 w - -,c1e3
3R4/5K2/8/6r1/8/3b4/1p1k4/1B6 w - -,b1d3
8/1p1b4/p3p3/4kpp1/3n2Pp/P1P1KP1P/1P2B3/3N4 b - -,d4e2
r4r1k/1pp1p1bp/1n1q2p1/p2Pnb2/P2N4/1QN1B2P/1P3PP1/R3KB1R w KQ -,c3b5
r2r2k1/3qbppp/4p3/p1p5/Rn1PP3/1Q2B1P1/1P3PKP/3RN3 w - c6,a4a1
2rr1nk1/pbq1bppp/2n1p3/1pppP3/5B1P/3P1NP1/PPP1QPB1/2R1RNK1 w - -,h4h5
r1b1r1k1/2b1npp1/4p2p/pp6/3P4/P4N1P/1P1BNPP1/1R1R2K1 b - -,c8b7
8/6pk/8/P4p2/1RN4b/1P5r/4K3/8 w - -,a5a6
r2qkb1r/p3pppp/1np1b3/8/8/2N3P1/PP1BPP1P/R2QKB1R w KQkq -,f1g2
r2q1rk1/pp1nppbp/n2p2p1/2pP4/2B1PB2/2N2Q1P/PPP2PP1/R4RK1 w - -,f3d1
2r5/p3kpp1/1p2pnp1/P2n4/P2P4/3B2P1/3BKP1P/1R6 b - -,f6d7
1r3r1k/p3n1bp/bq1p4/2p2p2/1p3P2/2PPN3/PP1Q1BBP/R3R1K1 b - -,b4c3
4r1k1/1prn2p1/p1p1p2p/P1Pp1p2/3PbPPB/2N4P/1P2P3/R4RK1 w - -,g1f2
2rq1rk1/pp2ppbp/3pb1p1/4n3/2P1P3/1PNQ2P1/P2B1PBP/2R2RK1 w - -,d3e2
8/1p1r3p/p3pkp1/P1R1pp2/1P2P2P/4KP2/2P3P1/8 b - h3,d7g7
1k4rr/pb6/4pn2/1ppqP2p/1b1P2pN/4Q1B1/1P4PP/3R1RK1 w - -,e5f6
r2qrbk1/1p4pp/2pp4/3PppB1/pPP1N1b1/Pn3N2/5PPP/1R1QRBK1 b - -,d8c7
1B3rk1/1p2bp1b/p1q1p2p/2Np2p1/PP1P4/2P2N1P/5PP1/R3RBK1 w - -,b8h2
r1bq1rk1/p3ppbp/2pP2pn/8/5P2/2N1B3/PPPQ2PP/2KR1B1R b - -,e7d6
4rrk1/2pn2pp/ppq1bb2/2p5/P1N5/2P1BPP1/1P1N2QP/R3R1K1 w - -,e3f2
r2qk2r/pp1n1ppp/2p1pn2/5b2/P1BP4/2b1PN2/1P2QPPP/R1B2RK1 w kq -,b2c3
8/p3N3/1p1Bkp2/r6P/2b5/6K1/P2R4/8 w - -,g3h4
r4r1k/pp1q3p/2n1p1p1/4P3/2p1pP2/2P2QP1/PP5P/R1B2BK1 w - -,f3e4
r3k2r/2pqbppp/p1n5/1pnpP3/6b1/2P2N2/PPBN1PPP/R1BQR1K1 w kq -,d2f1
r1b1k2r/ppp1bpp1/2p5/4P2p/3N1B2/7P/PPP2PP1/R2R2K1 b - -,g7g5
r1b1k2r/pp1n1ppp/1qn1p3/3pP3/1b1P1P1P/5N2/PP3KP1/R1BQ1BNR b kq -,f7f6
1r3rk1/2qbppbp/p2p1np1/2pP1P2/2P1P3/2NQB1NP/P5P1/2R2RK1 w - -,d3d2
r1bq4/pp3pkp/2p2np1/4r3/4P3/6P1/PP1N1PBP/R1Q2RK1 b - -,c8e6
8/5p1k/5Pp1/6Pp/5P2/1R2K3/1Pr5/8 w - -,e3f3
r1b1k2r/ppq2ppp/2nbpn2/3p4/2Pp4/1P1BPN2/PB3PPP/RN1Q1RK1 w kq -,e3d4
8/2rb1p2/2pkp1p1/rp4Pp/1R1P1P1P/P1RBP3/1K6/8 w - -,d3e4
r7/4kpn1/pR2p1p1/1p2P3/2p2PP1/2P2N2/PP2K3/8 b - -,a8a7
4rrk1/p7/1p1b4/P1pP1pq1/2P2p1p/1R3B1P/2Q2PP1/5RK1 b - -,b6a5
8/pR4kp/2p3p1/4r3/8/1B3K2/Pr4PP/8 b - -,g7f6
8/2b1q1kp/1pPp2p1/pP1Bp3/P3P1QP/6P1/4K3/8 w - -,g4c8
1B4r1/p2rp3/2p1k3/4N2p/1p2P2P/8/P2P1PPK/8 w - -,e5d7
r5k1/1p3b1p/2pp2p1/2n1q3/2PN3P/1P4P1/1R1Q1PB1/R5K1 b - -,a8a1
3rk2r/p3bpp1/2n1p2p/1p1n4/2NP4/4B3/PP1N1PPP/R4RK1 w k -,c4a3
2r5/1p1n2kp/p2p2p1/P2P4/1PP2R2/1K1Br3/7P/5R2 w - -,f4f7
1rb2rk1/qp1p1pbp/2nN1np1/2P1p1B1/2N5/3R2PP/1P1QPPB1/3R2K1 w - -,c4b6
3r4/3b1pkp/2q2pp1/pp1p4/P2P1NP1/1PP2P2/3Q3P/4R1K1 w - b6,a4b5
