8/8/8/8/3k4/R3p3/6r1/4K3 w - -,a3a8
r1b2rk1/pp2ppbp/3p2p1/q1pPn3/1nP1P3/1PN1BP2/P3N1PP/RB1QK2R w KQ -,e1g1
r1bq1rk1/pppnppbp/3p1np1/8/3P1B2/4PN1P/PPPNBPP1/R2QK2R b KQ -,f8e8
3q3k/1p1r2p1/p1rp3p/4pb2/P1P1N3/1P1RQP1P/6P1/3R2K1 w - -,g1h2
8/8/2B2kb1/2K1R3/5P1P/8/5r2/8 w - -,c5d6
r1bqr1kb/pp3p1p/5npB/2pp1n2/8/2NP1NP1/PP2PPBP/1RQ2RK1 w - -,h6f4
r4rk1/1b1pn1bp/pq3pp1/1pp5/2P1NRP1/1PNP4/PB4KP/1R2Q3 b - -,f6f5
r1b4r/1pq1kpp1/p3pn1p/8/2B1Q3/5N2/PPP2PPP/R3R1K1 w - -,e4e2
r4rk1/p4pp1/2pbpnp1/1p3q2/2PP4/3RBN1P/PPQ2PP1/R5K1 w - b6,a1d1
r2q1rk1/pp3pbp/3ppnp1/n4P2/4P3/2N1B3/PPPNQ1PP/R4RK1 w - -,a1d1
r1bq1b1r/pp2pkpp/1n6/3PN3/1n6/2N5/PP3PPP/R1BQK2R b KQ -,f7g8
r1bq1rk1/3nppbp/2p2np1/p7/2NP4/4PN2/P3BPPP/R1BQ1RK1 b - -,c6c5
4r1k1/N1p2ppp/p4n2/2Rqn3/Pp1P4/3Q2P1/3B1P1P/R5K1 b - -,e5d3
8/p2k1pb1/1r5p/3Pp3/1B2P2p/P6P/5PP1/2R3K1 b - -,g7f6
r1r3k1/1b3p1p/1pnqpnp1/p2p4/3P1P2/P1RB1NP1/1P1NQP1P/2R3K1 b - -,g8g7
5r2/2pr4/1p2kpnb/pPp1p1pp/2N1P3/2PPBPRP/P3KP2/3R4 w - -,c4d2
b1rr2k1/n4ppp/1q2pn2/1pNp4/1P1N1P2/P3P1P1/3RQ1BP/5RK1 b - -,c8b8
r1bqkbnr/5p1p/p1ppp1p1/8/4PB2/2NB4/PPPQ1PPP/R3K2R b KQkq -,f8g7
5rk1/6pp/3n1p2/2R5/ppNPp3/4P2q/PP2QK1P/8 w - -,c5h5
2br1k1r/2q2pp1/1b6/1p3P2/1P2p1pN/4B1P1/2P3B1/R3QR1K b - -,c8b7
rn1qkb1r/pppbpp1p/5np1/8/2PP4/2N5/PP2BPPP/R1BQK1NR b KQkq -,f8g7
3nkb1r/pp4pp/4Pp2/8/2P2nB1/2B5/P2N1PPP/R5K1 b k -,f4e6
6k1/4pp2/7p/8/5N1P/6P1/3RP1K1/r1b5 w - -,d2d1
3rq3/p1r2pk1/3pb1p1/1p1Bp2p/4P2P/P1PRQ3/1P3PP1/3R2K1 b - -,e8e7
6k1/7p/6p1/2pr1p2/2R5/2P2KPP/8/8 w - f6,f3f4
2r3k1/p4pbp/6p1/8/5Pb1/1R1q4/P5PP/4QRK1 b - -,d3c4
1r3rk1/2q2ppp/p3p3/2np2P1/1pBRbP1P/1P6/P1P2Q2/1NKR4 w - -,c4f1
6k1/ppb2pp1/7p/4p2P/1P6/3N1P2/P1P3P1/1K6 w - -,d3c5
4r3/2p3kp/p2rp1p1/3b4/1N5P/2P1R1P1/P4P2/4R1K1 b - -,e8f8
r2q1rk1/ppp3pp/2np1b2/3Ppb2/2P5/2P2NP1/P3QPBP/R1B2RK1 b - -,c6b8
r1bqk2r/pppnppb1/3p2pp/5P1n/3PP2B/2N5/PPP3PP/R2QKBNR w KQkq -,h4f2
r7/P4R2/8/8/4K3/7p/4k3/8 b - -,a8h8
r3r1k1/2q2ppp/p1nb4/8/2PP1pb1/P2BnN2/4N1PP/R1BQ1R1K w - -,c1e3
1r4k1/r4ppp/2p1b3/1Pb1p3/2P1P3/P1N5/1K1RBPPP/R7 w - -,a3a4
2rr2k1/pb3pp1/1p2p1p1/6qn/2P5/1P3P2/P4QPP/2BRRBK1 b - -,g5e7
rnb2rk1/p4ppp/1p1qpn2/2pp4/3P1P2/2PB1N2/PP1NQPPP/R3K2R w KQ -,g2g3
rnb2rk1/ppq1ppbp/2p2np1/8/4P3/5NP1/PPPNQPBP/R1B2RK1 b - -,c8g4
5k2/p1r3n1/1pp2p1p/3p2p1/3P4/2N3PB/PP1K1P1P/4R3 b - -,h6h5
r5k1/1p2RpPp/2pp4/p7/2Pn4/1P3B2/P5PP/7K b - -,a5a4
6k1/1pr2p1p/6pb/pR6/P4P2/1BP1r3/6PP/2R4K w - -,g2g3
rnbqr1k1/pp1nppbp/3p2p1/2pP2P1/2P1P2Q/2N5/PP3P2/R1B1KBNR b KQ -,d7f8
1r3b2/3k4/2q1n1Qp/2ppP3/5P2/4P2P/6P1/B1R3K1 w - -,f4f5
8/8/4pk2/3p4/R4PK1/8/5r2/8 b - -,f2f1
2r5/5p1k/5q2/3Qn1pp/8/1P2P2P/P4PP1/3R1BK1 w - -,d5d6
3r4/1p5k/p1pPp2P/4Ppp1/1P1P4/1P4K1/8/7R w - -,h1h2
r2q1rk1/pp1n1pp1/1bp2nNp/4p3/4P3/1N2B1P1/PPP2PBP/3RQRK1 b - -,f7g6
7R/3k4/1K6/p5r1/P7/8/8/8 b - -,g5e5
b1B5/4k1n1/2pb4/2Nppp2/1P1P2pP/4P1P1/6K1/4B3 w - -,e1c3
rnbq1rk1/p3ppbp/1pp2np1/3p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d4
r1b1kbnr/pp1n1p1p/1q2p1p1/2ppP3/3P1P2/P1N5/1PP2BPP/R2QKBNR w KQkq -,g1f3
2rr2k1/1p3p1p/6p1/1R6/p7/4P2P/P1RB1PP1/b4K2 w - -,c2c8
1n3rk1/1b3pbp/q2p2p1/1p1P3n/1Q1B4/8/P2NPPPP/2R1KB1R b K -,b7d5
r1bq1rk1/1pp2p1p/1pnp1np1/8/2P1P3/4NP2/PP2B1PP/RN1QK2R b KQ -,f6h5
r3r1k1/1b3ppp/1p1pnQ2/pPp5/2P1P3/P2P4/1B1NB1PP/4R1K1 b - -,g7f6
5b2/1p4rr/pk1p4/3PpB2/1PP2pPp/1K3P1P/P3R3/2R5 b - -,h7h8
rnbq1rk1/4ppbp/1p3np1/3p4/3P4/5N2/PP2BPPP/RNBQ1RK1 w - -,b1c3
rnb1k1nr/pp1pqppp/2p5/2b1p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,a2a3
8/1B2rpk1/8/8/8/8/3r4/R5K1 w - -,b7g2
1k1r4/1pp1bp1q/p1p1n3/4P2p/4Q3/1NB3P1/PPP2PK1/4R3 b - -,h7g7
8/3k4/8/3PPr2/8/6K1/p7/R7 w - -,a1a2
2r5/5pk1/4r1p1/1Pqp3p/3R1QBP/1P4P1/5P2/3R2K1 b - -,h5g4
8/2p1k1p1/1pB4p/r2Pp1n1/pRP1P3/P1NK2PP/8/3b4 b - -,d1f3
rn2k1nr/p4ppp/2p1b3/q3p3/Ppp1P3/4B3/1PQ2PPP/R3KBNR w KQkq -,e3d2
6k1/8/6Pb/8/3p4/3N1P2/6P1/5K2 b - -,g8g7
8/3p1pbk/1p3qpp/p2P1n2/5QP1/B2b1N2/PP3PBP/6K1 b - -,f5d4
5rk1/1p2qr1p/p1p3p1/2P5/2nNP3/Q4PP1/P5KP/3R2N1 w - -,a3c3
1r1rq3/1b2pp1k/pp3npp/3n4/1pQ1N2P/P2P1NPB/4PP2/2RR2K1 w - -,a3b4
r3r1k1/1p4bp/nq1p1pp1/p1pP1b2/2P5/PPQ2NP1/1B3PBP/R4RK1 b - -,e8e2
4k3/ppp4r/2b1p2p/4R3/1P6/2N3P1/P1P4P/2Kr4 w - -,c1d1
r4rk1/3b1p2/1pp1nRp1/p2pP2p/1P5P/2PPN3/1P2N1P1/R5K1 w - -,b4a5
r4q2/1p2n1bk/p3p1p1/2p1P3/2P1bB2/3B2P1/PP4P1/R2Q3K w - -,d3e4
r2q1rk1/pb1pbp1p/1pn1pnp1/8/1PP5/P1NBPN2/2Q2PPP/R1B2RK1 w - -,c1b2
8/3b2k1/1p3n1r/p2p2p1/2PPp1Pr/P3P3/4B1R1/2K2RB1 w - -,g1f2
4R3/p4rk1/7p/2p3p1/8/1P4P1/P1Q2PK1/q7 b - -,a1d4
1qrr1nk1/1b3pp1/pp1ppn1p/2P5/1P1P4/P1N3B1/3R1PPP/3QRBK1 b - -,b8a7
5k2/2r2r1p/1p1p1PQ1/p1p3P1/P1PpPq2/1P1P3R/7R/6K1 w - -,g6f5
5rk1/1bq1bpp1/p3p3/3n2P1/Pp2Q3/1R3B2/2P2B1P/5RK1 b - -,e7g5
1qrr2k1/pb2bppp/1p1ppn2/8/1PP1P3/P1N1QP2/1B2B1PP/2RR2K1 b - -,b7c6
3b4/r2k1pp1/P1b4p/1p1Np3/1P2P1P1/1BK4P/R7/8 b - -,f7f6
8/4ppkp/2p1b1p1/2p5/1r6/2N1P3/P4PPP/2KR4 w - -,d1d8
rnbqk2r/pp1pppbp/5np1/2p5/3P4/2P2NP1/PP2PPBP/RNBQK2R b KQkq -,e8g8
r4rk1/1p1nppbp/pqnp2p1/2p5/4P3/2PPB2P/PPQ2PP1/RN2RBK1 w - -,b1d2
r4rk1/ppqnb2p/2p1pnp1/2PpP3/3P1P2/1QN5/PP2B2P/R1B2RK1 b - -,f6e8
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/6P1/PP3PBP/RNBQK1NR w KQ -,f2f3
2r3k1/pp2pr1p/3pN1p1/1PnPbp1q/2P5/4BP1P/P2Q2P1/2R2RK1 b - -,c5e6
2r2rk1/1p3pp1/p3qn1p/3b4/3B4/P3PB1P/1P3PP1/1QR2RK1 w - -,f3d5
r1b2rk1/2q1bppp/p2p1n2/1p2p3/4PP2/2N1B3/PPP1B1PP/R3QR1K w - b6,a2a3
r4rk1/pp2n1bp/5pp1/4p3/4b3/1P2PN2/PB1qBPPP/2R2RK1 w - -,f3d2
1r4k1/8/R2p2p1/2r4p/1p3P2/6P1/2p3KP/1R1B4 w - -,d1c2
4r1k1/pbbrq1pp/2p1ppn1/2p5/N1PpPP2/1P1P2P1/P2B1N1P/R3QRK1 w - -,d2a5
r3rnk1/p4qpp/1pn1p3/2p5/2P1NPQ1/3PPN2/PR5P/3R2K1 b - -,a8d8
r3rbk1/p1qb1pp1/3p1nnp/1ppPp3/4P3/1BP2NNP/PP3PP1/R1BQR1K1 w - b6,f3h2
1r3k2/1pp1b2p/pn2B1p1/8/2n2P2/3R4/1P3BPP/4R2K w - -,e1e2
5R2/p1k4r/1p2R3/n1pPp3/P3P3/2P5/5Kp1/5b2 w - -,d5d6
r2r2k1/2pnq1pp/2p2p2/1pb1p2b/p3P3/P2PBNNP/1PP1QPP1/R3R1K1 b - -,h5f3
r1bq1rk1/2ppnpbp/p1n3p1/1p2p3/4P3/2P2N2/PPBP1PPP/RNBQR1K1 w - -,d2d3
3r1rk1/Q7/b2q3p/3p2p1/4B3/8/P2NnPPP/1R2R2K b - -,d5e4
8/p7/5kp1/2p5/1P3K1P/1b2P3/1P6/1B6 b - -,c5b4
3r4/5pk1/1p1q2p1/p1p2p2/P1Qb1P2/1P1P1P2/8/3RRK2 b - -,d6f4
r1bqnrk1/1pppbppp/p7/4P3/B2n4/8/PPP2PPP/RNBQR1K1 w - -,d1d4
r1bq1rk1/1p1nn1b1/p2p3p/2pPpp2/2P2P2/P1NB3P/1P4P1/R1BQNRK1 b - f3,e7g6
5k2/5p1n/2p1p1p1/2PpP3/3P3P/3Q2N1/q4PK1/8 b - -,f8g8
4r2k/6bp/p1q3p1/P1pp4/5P2/1P2n3/4R1PP/2Q1BBK1 b - -,g7d4
r5k1/r4ppp/P1R1pb2/3p4/3P1BP1/1N1P1n1P/R4P2/5K2 w - -,f4e3
2b5/8/5p1p/6p1/r4P2/3kB1KP/6P1/4R3 w - -,f4g5
8/8/8/8/4b1k1/4r3/1R4K1/8 w - -,g2f2
r1bqrbk1/1p1n1pp1/p2p1n1p/2pP4/P3P3/2N2N1P/1P3PP1/R1BQRBK1 b - -,d8e7
3r2k1/Q1p2pp1/R6p/4pP2/4P1q1/2P3P1/1P1r1P2/4R1K1 w - -,a7c7
5b2/5kpp/2Qp1p2/3PpP2/4P2P/2q3P1/6BK/8 b - -,c3e3
3q1rk1/4bppp/4p3/rp1pP3/p1nP4/P1RQNN2/1P3PPP/2R3K1 w - -,e3d1
4r2k/1p2r2p/5qp1/R7/P7/1Q2p2P/1P2R1P1/6K1 b - -,e7c7
bk5q/6pr/p7/3ppP1n/2p5/5Q1B/PP1R3K/6R1 b - -,h5f4
r4nk1/4P3/2pP1pp1/3p4/1P4Q1/4N2P/2P1RP1K/2q5 b - -,a8a1
8/2Pk3p/1p1rp3/8/PK5P/8/8/8 b - -,d7c7
4k3/R7/pr4N1/6KP/4n1P1/8/8/8 w - -,g5h6
2rq1rk1/pb3ppp/1p2p3/3n4/3b4/NP2P1P1/P3QPBP/R2R2K1 w - -,d1d4
8/r5bk/p2R2Rp/2p5/P3BP2/7P/5rPK/8 b - -,h7g8
2r5/5p2/kp2pB2/p3Pq2/2nP2r1/2P5/Q1P2KNR/4R3 w - -,f2g1
2kr3r/p1qn1ppb/2p1pn1p/1p6/2BP1Q1P/2PN2N1/PP3PP1/R4RK1 w - b6,f4c7
8/6b1/8/p2p1k2/1p1p1PpP/1P1K2P1/P6N/8 w - -,h4h5
r5k1/p1p2Rbn/1p4pp/1Qq1P3/3p4/2PB3P/PP2N1P1/6K1 w - -,b5d7
4k2r/r4ppp/pp1Bp3/2n1N3/4n3/2P2P2/PP4PP/3R1RK1 b k -,e4d6
r2qk1nr/ppp1n1bp/3p2p1/3Ppp2/4P3/2N1BP2/PPPQ1P1P/2KR1B1R w kq f6,f1b5
r2q1bkr/ppp3p1/2n4p/8/4p1b1/5N2/PPP2PPP/R1BQK1NR w KQ -,d1d8
r3qrk1/1b2bppp/p3p3/2nn4/PpNB4/1P2PN2/2B1QPPP/R2R2K1 w - -,c4a5
1rbqr1k1/p4pp1/4n2p/2p1pN2/2P1BP2/2Q4P/P5P1/4RRK1 w - -,c3e5
8/5rk1/5p2/P6p/1P4p1/3q3P/6P1/1R2Q2K w - -,b1d1
r3rbk1/1nq2pp1/p4n1p/3bpB2/PB2N3/2P2N1P/5PP1/R2QR1K1 b - -,d5e4
r1r3k1/ppR1ppb1/6pp/3P4/3nP3/5P2/P2BBP1P/4K2R w K -,c7e7
1r4k1/3bq2p/3p1pp1/pPpP2P1/4PB1P/b2B1P2/4Q1K1/7R b - -,a3b4
rnbq1rk1/pp2bppp/3p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R w KQ -,e1g1
8/3k4/2p3Bp/2Pp1pp1/1K1P1Pb1/6P1/7P/8 w - -,f4g5
5rk1/pbrn1ppp/1p2p3/8/3P4/2PB3P/P1RN1PP1/5RK1 w - -,f1e1
rnb1kb1r/ppp1pppp/3q1n2/8/2B5/2N2N2/P1PP1PPP/1RBQK2R b Kkq -,a7a6
7k/6b1/3Q4/2pN1R1p/8/7P/6PK/3qr3 w - -,d6d8
2krr3/1p1q1p1p/2n3p1/QNb2n2/p2p1BB1/P5P1/1P3P1P/2R3K1 b - -,e8e1
2r3k1/p1B3p1/5b1p/3p1p2/Q2Pq2P/6P1/P6K/3R4 w - -,d1c1
r1bqk1r1/pp3pPp/2p1p1p1/8/2BP4/2N2N2/PP3PPP/R1B1K2R w KQq -,c1h6
r2qk2r/1bpp1ppp/p1n2n2/2bNp3/Pp2P3/1B1P1N2/1PP2PPP/R1BQK2R b KQkq -,h7h6
2kr3r/pp2qp2/1np1b1p1/3p3p/3P4/2NBP1P1/PPQ2PP1/1KR4R w - -,c3a4
8/8/8/2p5/1ppkr2R/8/1PP5/1K6 w - -,h4h1
8/8/3kpb2/3p1p2/Pp1P1P1p/1P5r/6K1/3R4 b - -,h3b3
8/3n3N/2r5/7R/3kp3/6PP/5PK1/8 w - -,h7g5
8/8/8/3K4/2P3r1/2k5/6p1/6R1 b - -,g4g5
r3r1k1/pp1n1pbp/3Pb1p1/2p5/1n5B/2N2N2/PP1RBPPP/R5K1 b - -,a7a6
5rk1/1p2p3/3p3Q/3P3P/2P5/1r1B4/7P/6K1 b - -,f8f7
6k1/2p2pbp/1p4p1/p2p4/P2P4/2Pr4/6PP/2R3K1 b - -,g7h6
rnbqkb1r/p4ppp/1n2p3/4N3/PppP4/4PB2/1PP2PPP/R1BQK2R w KQkq -,f3a8
2r1r1k1/p5p1/1ppn1qPp/3pN3/2nP1B2/4QPP1/P5K1/R6R w - -,e3c3
r2q1r2/pp3n2/2p1bkp1/3p1p2/7Q/2N1P3/PPP1BPP1/2KR3R b - -,g6g5
5r1k/1p1qnpb1/r2p2pp/2pPp3/1n2P2P/pPNP2P1/P3QPBK/R1B2R2 b - -,f7f5
4b3/p1p3pp/1p2knp1/3p4/3P2P1/2PBKN1P/PP4P1/8 w - -,g4g5
2k2r2/pp1b4/2n4p/1n2p1p1/1P1pP1q1/3P2NQ/2PB2BP/1R5K w - -,h3h6
7k/6p1/2N2n2/1pPp2pP/1P1P4/5QP1/4qPK1/8 b - -,e2d2
6k1/1r2p1b1/7p/2R1P3/3N1p2/p1P5/P4P1P/5K2 w - -,c5a5
r2qk2r/pp1n1ppp/4p3/nP1pP3/3N4/2PQ4/P4PPP/RN3RK1 w kq -,f2f4
5r1k/7p/1n1pqp2/2pPpNpP/1p2P3/rP1P2P1/1R3P2/4R1K1 w - -,d5e6
4r1k1/2p2p2/1q1r3p/pb1B1Pp1/4P3/1PQ3P1/P5KP/2R1R3 w - -,e1d1
8/8/P6p/1RP2k2/5Pp1/8/2r2PKP/8 b - -,f5f4
1r3rk1/1p2q2p/p1nbpp2/3p1bp1/3P4/1Q1NPN1P/PP2BPP1/2R2RK1 w - -,f3h2
4r1k1/3b4/2nbpqpp/p2p1n2/1p1P4/3QRNPB/PP1B1P1P/4R1K1 w - -,h3f5
rn1qk1nr/1bp1ppbp/p2p2p1/1p6/3PP3/2NBBN1P/PPP2PP1/R2QK2R b KQkq -,b8d7
rnbqkbnr/ppp1pppp/8/3P4/2P1p3/2N5/PP3PPP/R1BQKBNR b KQkq -,g8f6
1r6/3b4/1p1Nk1pR/2p1P3/8/4K1P1/8/8 b - -,b8g8
R7/5pk1/p3r3/1p3pP1/5K1P/1P6/P7/8 b - -,e6e4
6k1/1Q3pp1/4p2p/8/N3n3/1P4P1/P4PKP/4q3 w - -,b7c8
rn3rk1/pb4pp/1ppqp3/3p1p2/2PPn3/1P1BPN2/P4PPP/RNQ2RK1 w - -,c1b2
5k2/2p2pp1/4n2p/1p2p3/1P2P3/4P3/1P1N2PP/3K4 b - -,f8e7
r3k2r/ppq1b1pp/2n1p3/1B1pP1P1/3P4/2P5/7P/R1BQ1RK1 b kq -,a7a6
r3k2r/pp3pb1/2p1b1pp/2q5/2n1pB1P/1R2P3/PPP2PP1/2KRQBN1 w kq -,f1c4
3r2k1/p1p4p/1p2q1p1/n3Pp2/2P2P2/1P2B1P1/2Q4P/2K4R w - -,h1d1
5R2/8/6k1/6pp/8/7P/r7/6K1 b - -,g5g4
8/2p2pp1/3kn3/1p2p2p/1P2P3/1N1KP3/1P4PP/8 b - -,g7g6
r1bq1rk1/p3ppbp/1pn2np1/2pp4/8/P1NP2P1/1PPNPPBP/1RBQ1RK1 b - -,c8b7
r4rk1/pp2ppBp/n5p1/q1p5/3P2b1/2n1PN2/PP1Q1PPP/R3KB1R b KQ -,g8g7
k2r3r/pp1P1p2/3Rn1p1/2p1Qb1p/4p3/4B1PP/q4PB1/1R4K1 w - -,b1a1
r3r1nk/1R4pn/3p3p/2pPpP2/P1P1N1Pq/5P1B/2Q4K/4R3 w - -,c2f2
6k1/1p2qpbp/pn2b1p1/4p3/8/2N2PP1/PPN1Q1BP/3r2K1 w - -,e2d1
7k/pp3p1p/2p4B/4pP2/3r4/1B3R2/PPP1qRK1/8 b - -,d4g4
6q1/2kbr2R/1r1p1p2/p1pPp3/PpP1P1P1/1P1B1QN1/5PK1/8 w - -,h7e7
r1b2rk1/1p1nppb1/p2p1np1/q1pP2BP/P1P1PPp1/2N5/1P1QB3/R3K1NR b KQ -,f6h5
r4rk1/p2qppbp/1pb3p1/1Npp2Bn/P2P4/1PP1PP2/4B1PP/R2Q1RK1 b - -,f7f6
r1bqrnk1/1pp2pb1/p2p2p1/3P3p/P1PN2n1/1PN1PB2/2Q3PP/R1B2RK1 w - -,f3g4
Q1R5/2p2pk1/1p1p4/1P5p/4PK2/8/5P2/2rq4 b - -,d1g4
8/8/1R6/3k3p/7P/1p6/rK4P1/8 w - -,b2b3
4r1k1/2p2pp1/6b1/3p3p/1p2P3/5N1P/1PP1R3/7K b - -,g6e4
4k3/2K5/4pp2/2pp3r/8/PP1R1P2/2P5/8 w - -,c7d6
4rrk1/p1qb2p1/1n5p/2p1pp2/7Q/1P1BNP2/P1P3PP/3RR1K1 b - -,g8h8
r4r1k/1pp3bp/2npq1p1/8/2P3P1/1P2B2P/5PB1/2RQ1RK1 w - -,d1d5
r2qk2r/1p2bppp/p1n1bn2/3pp1B1/8/1NN1P3/PPP1BPPP/R2Q1RK1 w kq -,f2f4
r1bqkb1r/3n1ppp/pn1pp3/1p6/P2NP1P1/2N1BP2/1PP2Q1P/R3KB1R b KQkq a3,b5b4
4k3/2r2pp1/4p3/4Pn1p/R4P1P/2p2KP1/3r4/2R4N b - -,c3c2
8/5k2/3r1np1/pp1p3p/5P1P/1PP2BP1/P1K1R3/8 w - -,e2e5
3qr1k1/p1r2pb1/1p5p/3p2p1/Pn1P1P2/3Q2P1/PB3RBP/5RK1 w - -,d3f5
r1bq1rk1/3nbppp/pp1p1n2/2pPp3/P1B1P3/2NQ1N2/1PP2PPP/R1B1R1K1 w - -,c1g5
6k1/3N1p1p/3R2p1/8/1p3P2/2b1K1P1/7r/8 w - -,d7c5
r3b1k1/p4q2/1pn1p2p/3pP3/2pP1PpP/P1P2Q1K/1RP5/7R w - -,f3g4
3rr3/1bq1n1kp/p1p1npp1/1p2p3/P3P3/2Q2NNP/1PP2PP1/R2R1BK1 w - -,f1d3
2r2rk1/p5pp/1p2R3/2b2p2/2PpB3/1P6/PB2RPPP/6K1 b - -,f5e4
6k1/p2qpr1p/1p2prpQ/2p5/3pR3/1P1P1P2/P1P3PP/4R1K1 w - -,h6h3
r4rk1/pp3pb1/4p1np/1q1pP2Q/5p2/3P1N2/PP1P2PP/R1B2RK1 w - -,b2b3
1r3rk1/p3ppbp/2p3p1/3qP3/3P4/1P3R2/P4PPP/R1B1Q1K1 b - -,d5d4
r4rk1/pp2ppb1/6p1/2pP1b2/2P1Pp2/4P3/P3Q1PP/5RK1 w - -,e4f5
rnbq1rk1/ppp2pbp/3p1np1/4p3/2P5/2N2NP1/PP1PPPBP/1RBQK2R w K -,e1g1
rr1qn1k1/3nppbp/p2p2p1/2pP2B1/4P3/2N5/PPQ2PPP/1R2RBK1 b - -,e8c7
1k1r4/1p1n4/p3b3/2p1p3/2P1p1p1/4N1P1/PPKRB2r/3R4 w - -,e2g4
2q3k1/p3r1pp/2p5/4rP2/2Qp2P1/2N1b3/PP5P/3RR2K b - -,g8h8
