r5k1/8/7p/P7/1P1bpP2/1R6/5P2/6K1 w - -,g1g2
5r2/5pk1/1p2b1p1/p1q2n1p/P2p3P/NP1P2P1/5PB1/3QR1K1 w - -,a3c4
r1bq1rk1/pp2bppp/2n1p3/2p5/2BP1B2/2P2N2/P1P2PPP/R2Q1RK1 w - -,f3e5
3qrrk1/1p3pbp/1nb1p3/p3NnpP/3P4/PBN1B1P1/1P2QP2/3RR1K1 b - -,c6d5
6kr/6pp/r2b1n2/1pp1N3/8/P1B5/1PP2PPP/R3R1K1 w - -,e5f3
r2qkbr1/pp3p1p/2bppp2/8/3QP3/2N2N2/PPP2PPP/2KR2R1 b q -,f8e7
8/8/3pk1p1/2p2nPp/2P1K2P/8/6N1/8 b - -,e6e7
8/pp3pk1/4p2p/3pP2P/6P1/1Pr1r3/P1PRb3/1K2R2N b - -,e2a6
2Q5/5pk1/4r1p1/7p/3K4/8/6PP/8 w - h6,d4d5
r2q1rk1/p2nppbp/5np1/1bpp2B1/3P4/2P1PN2/P2N1PPP/1R1Q1RK1 w - -,b1b5
r2r2k1/pp1b1pp1/1q2pn1p/8/2P5/3B1N2/PP2QPPP/3R1RK1 w - -,f3e5
8/2k1r1p1/1rP2p1p/1P2pP1P/2K3P1/8/8/1R1R4 w - -,b1a1
8/8/8/3p2P1/3P1P2/2r4P/1k4K1/8 b - -,c3c8
r1br2k1/1p2qppp/p2p4/6P1/2pPPB1P/2Pn2Q1/PP4B1/R4RK1 b - -,c8e6
2k1qR2/1p4b1/3Q4/3p2P1/p7/P2KP3/1Pr5/2r2R2 b - -,g7f8
r3n1k1/1pp1r1b1/4p1P1/3pP3/3n1P1N/1PR4P/PR5K/8 w - -,b2d2
2Q4k/p7/4Pp1p/4q1p1/8/5P2/6PP/7K b - -,h8g7
3bk3/8/2n5/Pp1NP3/3PK3/5N2/8/8 b - -,d8a5
3q1r2/4ppk1/2npb1p1/3N4/1pP1P3/6P1/3Q2BP/5RK1 w - -,f1a1
r2qk2r/1p1nbppp/p1p1pn2/2P2b2/3P1B2/2NN2P1/PP2BP1P/2RQ1RK1 w kq -,d3e5
rn1q1rk1/pb2ppbp/3n2p1/p2p4/2pP4/2P2NP1/1PQNPPBP/R1B1R1K1 w - -,b2b3
2r5/4bk2/4p3/N1p1Pp2/npP2P2/4B3/4P1K1/7R w - -,h1h7
8/7p/p2k1p2/4n3/1pp1P3/1P2K1P1/P7/5B2 w - -,b3c4
4K3/4B2p/6p1/6P1/2R5/7k/1rp4P/8 w - -,e7f6
8/4krn1/1pp5/p2p3p/P2P3P/1PP4K/4B3/6R1 b - -,g7e6
R5k1/7n/5p2/4pPpN/6r1/8/P3K3/8 b - -,g8f7
4k2r/1p1bppbp/p2p2p1/8/P2BnP2/2P4P/2P1B1P1/R4RK1 b k -,e7e5
1rbq1rk1/4ppbp/pp1p1np1/n1pP4/2P5/2N1P1P1/PP1NQPBP/1RB2RK1 b - -,e7e6
8/8/7b/2n4P/p1R1n3/P4N2/6P1/1K1k4 b - -,h6g7
8/8/8/6k1/1R5p/8/4r2K/8 w - -,h2h3
3k4/3r3p/3p3R/pP2p1Pp/P1p1P3/2P1K3/8/8 w - -,h6h5
Q7/1p1n1ppk/p1b1p2p/8/q7/3B1P1P/5BP1/6K1 b - -,f7f5
1rbr2k1/2n3bp/p2p2pn/2pP1pP1/2P2P2/2NB1N1P/1P6/R1B2RK1 b - -,h6f7
r1bq1rk1/1pp3bp/p2p2p1/3Ppn1n/2P5/2N2NPP/PP3PB1/R1BQR1K1 w - -,g3g4
3r1bk1/pb3pp1/1pnr1q1p/3B4/8/P3BN2/1P1RQPPP/3R2K1 w - -,h2h3
3r1k2/1p4pp/5p2/4p3/2N1P3/P5P1/1p3P1P/1Rn1K3 b - -,d8d4:c1d3
8/p2Q1pk1/1p4p1/1P2P2p/4P2P/1q4P1/5PK1/8 b - -,b3b4
8/5k2/1P5R/5p2/5r2/7P/8/5K2 w - -,f1g2
r2qkb1r/pppn1ppp/2b1pn2/8/3PN3/2PB1N2/PP3PPP/R1BQK2R w KQkq -,d1e2:c1g5:e4g3
8/5k2/3n1p2/2B2B2/1p4P1/3K3P/P7/4b3 b - -,d6b7
2r3k1/1b1nbp1p/pn1qp1p1/1p1p4/1P6/PN1PPNP1/1B1Q1PBP/5RK1 w - -,f1c1
r4rk1/pppN1pb1/7p/1B1pq1p1/3p4/3Q1PP1/PPP2P2/R5K1 b - -,e5e6
6k1/p1q2pp1/6rp/2pr4/4p1b1/P3P1N1/1BR2PP1/1R4QK b - -,g6g5
8/4r2k/6p1/1pp2p1p/3b1P1P/1P1P1KP1/4B3/1R6 w - -,e2f1
8/5k2/r3N1R1/pp5P/1n6/6P1/5PK1/8 w - -,e6d8
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/4PN2/PP2BPPP/RNBQK2R b KQkq -,e8g8
8/p3k3/2nRp1p1/2r1P3/Ppp1PPPP/1n6/1PR5/5K2 w - -,h4h5
n1r2rk1/1p1qb2p/4p1p1/p2pPp2/Pn1P1P2/1P3R1R/1B1NQ1PP/4N1K1 w - -,f3g3
4rk1r/2pn1p1p/bp1pp3/p6N/2PP4/2PB1P2/P4KPP/R3R3 w - -,d3f1
4r1k1/2q2p1p/p2bp1p1/4n1B1/3r4/2N3QP/1P3PP1/1B2R1K1 w - -,c3e4
8/2r5/4k1p1/pp2pp1p/7P/PbP2PP1/1P1R1K2/4N3 b - -,c7c5
r1bq1rk1/p4pb1/n1pp2pp/4p3/2P1Pn2/2N1BN1P/PP1QBPP1/R4RK1 b - -,f4e2
rn1q1rk1/pb2bppp/1p1ppn2/8/2PP4/P1NB1N2/1P3PPP/R1BQ1RK1 w - -,f1e1
1k3r2/1p4r1/2Nq1n2/7p/3pn1pP/1Q1BP3/PPR2PP1/5RK1 b - -,b8c8
r3Rbk1/5ppp/3pb3/8/2P5/4B1P1/3NPP1P/1R4K1 b - -,a8e8
8/p3kP2/8/2pBK3/1p6/8/1P6/3b4 w - -,d5e6
r3k2r/pppb2pp/2np4/2b2p2/2P2P1q/P1NBP3/1P4PP/R1BQ1R1K w kq f6,c3d5
8/4k3/1pr5/p2RKP2/8/1P6/P7/8 w - -,d5d2
8/2Q3pk/4pq1p/5p2/3P4/4PP1P/4R1PK/3r4 w - -,c7c2
2r2qrk/p2bbp1p/1pn1p2p/3pP3/1P1P4/P1NB1N1P/5PP1/2RQR1K1 w - -,c3e2
r3r3/pp4kp/2p3p1/2p1pb2/3q4/2NP3P/PPPQ1PP1/4RK1R w - -,b2b3
8/8/1K4p1/5k1p/1P3B2/6P1/4b2P/8 w - -,b4b5
8/6p1/1q5p/2p1pk1P/8/2PP1P2/Q3K3/8 w - -,a2f7
2rqkb1r/1b3ppp/p2pp3/1p4PP/2n1PP2/P1N1B3/1PPQ4/2KR1B1R w k -,f1c4
r2qrnk1/1p3ppp/2pb4/1P1p4/3P2b1/2NBPN2/2Q2PPP/1R3RK1 w - -,f3d2
5k2/5p2/8/R7/P3K3/r5P1/8/8 w - -,g3g4
8/8/3k3p/p1p1pp2/2P5/1r2K1P1/7P/5R2 w - -,e3e2
r1br2k1/1p1n1ppp/pq2p3/3pP3/3Q1P2/P1N5/1PP3PP/1K1R1B1R w - -,f1e2
2k4r/1p6/p1p1b2r/2nnPpp1/2NN4/1P2PB2/1P4KP/R6R b - -,g5g4
3r4/5p2/3k4/3P2P1/5K2/3R4/8/8 w - -,f4f5
rn2k2r/pq2bppp/1pp1p3/4N3/1n1PP3/6P1/P1Q2PBP/1RB2RK1 w kq -,c2a4
1r4k1/r4p2/B1Rp1bp1/3Pp3/2P3Q1/qP4P1/5PK1/7R b - -,b8d8
8/8/1r6/8/8/3pKP2/R1k1b1P1/8 b - -,c2b3
8/8/8/8/1k1pB3/3P4/7K/6r1 b - -,g1g7
2r3k1/pb3pp1/1pn1q2p/3B4/Q1R5/5N1P/P4PP1/2R3K1 b - -,e6d5
2n2k2/2b2p2/5Bp1/6P1/P1B5/5K2/8/8 w - -,f3e4
3q1rk1/2p2ppp/pr6/1pQBP2b/3P4/4R3/PP3PpP/4R1K1 w - -,e3g3
8/p3kB2/1p1b4/1Pp2p1P/P7/4K3/8/8 w - -,f7g8
r2qk1nr/1b1n1pb1/p2pp1pp/1p6/2pPP1PP/4BP2/PPPQ4/1KNR1BNR b kq g3,a6a5
r3r1k1/3b1ppp/p1nqpn2/1p1p4/3P4/4PNP1/PP2NPP1/1BRQ1RK1 w - -,e2f4
2rr2k1/1bq1bpp1/p3pn1p/1p2p3/4P3/P1NBB2P/1PP1QPP1/3RR1K1 b - -,e7a3
8/8/1r3K2/4p1P1/8/8/2k5/4R3 w - -,f6e5
r2qkb1r/pb1p3p/1p3np1/2pP1p2/1nP1p3/P1N1P2N/1P2BPPP/R1BQK2R b KQkq -,b4a6
8/5k1p/4N1p1/2b5/1p5P/6P1/3K4/8 w - -,e6c5
6k1/q1r4p/4p1p1/1Rp1np2/p1P2Q2/B1bPP1P1/P5BP/6K1 b - -,e5d3
r2q1rk1/ppp1ppbp/1n6/3Pn1p1/3BP3/2N2P2/PP2BP1P/R2Q1R1K b - -,e7e6
r3r1k1/pp3ppp/2n5/7q/8/2B2bQ1/PPP2PPP/R3R1K1 b - -,f7f6
8/R5p1/P4pk1/7p/8/r3P2P/6K1/8 b - -,a3e3
6k1/1b2Q2p/p1q3p1/5p2/P7/8/4N1PP/5K2 w - -,f1e1
8/1p1n4/p3k2p/6p1/P2BK1P1/1P5P/8/8 b - -,d7b8
rn1q1rk1/pb2bpp1/1p1pp2p/2p4n/3P4/2PBPNB1/PP1N1PPP/R2QR1K1 b - -,h5g3
q3rbk1/p4ppp/4nn2/1p2pN2/6P1/6P1/1PP1QP2/R1B2RK1 w - -,c2c3
2r1nrk1/pbqnbppp/1pp1p3/3pP3/2PP4/1P3NP1/PBQN1PBP/R2R2K1 w - -,a1c1
4r1k1/1p3rb1/p5pp/P2R1p2/4pP2/2P1B3/1P4PP/3R2K1 b - -,g7f6
1R6/3r1p2/4p2p/2p1P1p1/p1k3P1/4KP2/7P/8 w - -,b8a8
8/5p2/R4Pk1/3P2p1/1P1r4/6PK/8/8 b - -,d4b4
5k2/1B3n1p/p5p1/8/P1r3PP/1N2R1B1/1b4K1/8 w - -,a4a5
7r/3bk1q1/p1p4p/1pPpNp2/1P1P4/P2BP3/5K1R/6R1 b - -,g7h7
5rk1/p6p/1p5q/8/4N3/3P3P/PP5Q/n4R1K w - -,f1g1
8/1p6/2p5/2Pb2R1/1k1p1P2/8/3K4/8 w - -,g5g7
1q4k1/6p1/p4npp/b3p3/P1p1P1P1/2P1B2P/2Q2P2/5BK1 b - -,b8b3
1r1qrnk1/5pp1/5np1/pp6/2pPPb2/P1N2N1P/1BQ2PP1/R3R1K1 b - -,f4h6
1r1q1rk1/pp1npp1p/2pp1bp1/8/2PP3P/2N1PB2/PP3PP1/R2QK2R w KQ -,d1c2
2q2rk1/6pp/3p1p1b/4p3/2P1P1PP/7N/4QP2/3R1K2 b - -,c8e6
1r1q2k1/ppnb1pbp/2p3p1/N1P1p3/4Pn2/P1N1B2P/1PQ2PP1/3R1BK1 b - -,c7e6
r3r1k1/1p3ppp/pb3n2/3pnN2/1P2p3/P5PP/1B1PPPB1/2R2RK1 b - -,e5c4
r2q3r/pp3kpp/2p2bb1/3p4/B7/2N5/PP1Q1PPP/4RRK1 b - -,h8f8
8/7k/6p1/Q7/P6P/2PK4/1q6/8 b - -,b2b1
8/1p3ppk/p1nR3p/P3p3/8/2P1B1NP/1q3PPK/8 w - -,d6d7
2r3k1/2r2pp1/7p/1R2p3/1bn4P/q4PPB/4QB2/3R2K1 b - -,c8f8
8/3k3R/2p5/p3pp2/P1P4P/3nP3/3r1P2/3N1K2 b - -,d7d6
r2qk2r/pppn1ppp/2p5/2b1p2b/4P3/3P1NNP/PPP2PP1/R1BQK2R b KQkq -,h5f3
rnbqkb1r/ppp1pppp/1n1p4/4P3/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,c8g4
7R/8/3k2Kp/6p1/6Br/7P/8/8 w - -,h8h6
r1bq1r2/p4pbk/1p4pp/2pnp3/3n4/1N1PBNP1/PP2PPBP/R1RQ2K1 b - -,c8b7
5rk1/1b2bpp1/p3pn1p/1p1qN3/1Q6/2P3B1/PP3PPP/1B2R1K1 w - -,e5f3
rnbqkb1r/1pp1pppp/p2p1n2/8/2BPP3/2N5/PPP2PPP/R1BQK1NR b KQkq -,b7b5
r7/2b1kppp/4p1q1/8/P5QP/4BP2/R4PK1/8 b - h3,g6g4
2r2rk1/pp2bppp/q1n1p3/3n4/2NN4/1P2P3/PB2QPPP/R2R2K1 w - -,d4f5
r3kb1r/pp3p2/2p1p1pp/4P3/1nP1N3/8/PP3PPP/R1BR2K1 b kq -,f8g7
k7/1p2P3/p5p1/6p1/4R3/1P1P4/P1P5/1K3q2 w - -,b1b2
r4rk1/4q1pp/2b1p3/p5Q1/1p5P/3B1P2/PPP3P1/1K1R3R b - -,f8f6
r1r3k1/1b1n1pp1/1p4qp/pPpP4/P1N1p3/Q1N1P3/3R1PPP/2R3K1 b - -,f7f5
r1bq1rk1/p1p1npbp/2pp2p1/8/2P1P3/2NB4/PP3PPP/R1BQ1RK1 w - -,c1e3
2rq1rk1/pp1b1ppp/4p3/n3N3/3PQB2/2b1P3/PP3PPP/R4RK1 w - -,b2c3
r3kbnr/pbq2pp1/2n1p2p/2ppP3/2P5/P2B1N2/1P3PPP/RNBQR1K1 b kq c3,g8e7
5rk1/6p1/1p2p2p/pP2q3/2PpP3/1P3R1P/4Q1P1/7K b - -,f8f4
r2q1rk1/pp2bppp/1nnpp3/7b/2PP4/1PN2N1P/P3BPP1/R1BQ1RK1 w - -,c1e3
1r3rk1/8/1p4qb/2pPp1n1/2P1P1b1/R2B1N2/5QP1/1R3KN1 w - -,b1e1
4R3/8/4B3/8/2k4p/2p3b1/5r2/6K1 b - -,c4b4
r4rk1/ppp2ppp/5n2/4p1Q1/2Pq2b1/2N3P1/PP2PPBP/R4RK1 w - -,h2h3
r2r2k1/p4p1p/4bbp1/p7/2N5/4P3/4BPPP/1RR3K1 w - -,c4a5
8/3k4/2n2Bp1/p2p1p1p/1p1P3P/1P1r2P1/P1R2P2/5K2 b - -,a5a4
r2q1rk1/1p1b1pbp/p2p1np1/n1pPp1B1/2P1P3/2NB3P/PP1N1PP1/R2Q1RK1 b - -,h7h6
4rrk1/5qp1/p2p4/1ppPn3/2P2Rp1/PPB3P1/2B1QPKP/8 b - -,f7h5
2r2rk1/p4ppp/1p2pb2/n7/2bP4/P1N1PN2/1P2B1PP/2R1R1K1 w - -,g1f2
8/2K3k1/2p3p1/1p5p/5P1P/P7/1P1R2P1/2r5 b - -,c6c5
2r5/3R3p/6bk/1B3p2/P3pK2/4P1P1/5P2/3r4 w - -,d7d1
2r3k1/1R4pp/4p3/1p3rN1/3P3P/1Rn5/5PPK/8 b - -,f5f6
r1b2rk1/5p2/pq4p1/2p5/2ppN1P1/7p/PP1Q3P/2KR1N1R w - -,d2g5
2bn1rk1/1r5p/p3pqp1/1p1pN3/1PBN1PP1/P3Q3/2P4P/4RRK1 b - -,d5c4
8/2qb4/3p1npk/3Pp3/1Q2P2p/2N1N2P/6PK/8 b - -,c7a7
r2q1rk1/pp1n1pp1/2pbp2p/3n4/3P3P/1BP1NQP1/PP3P2/R1B2RK1 w - -,b3c2
2r5/p1P5/P3k3/2R1p2p/4P1p1/8/5K2/8 w - -,f2g3
8/r4p2/3R1Bp1/1kn1PP2/1p4KP/4P3/8/8 w - -,f5g6
4r2k/pp1R3p/1q2Nbp1/8/2Q5/1B5P/PP3P2/5K2 w - -,e6g5
5Q2/r1k1P3/P2p4/1KbP4/1p6/1P6/8/8 b - -,a7b7
2brk2r/4bp1p/2qp1np1/p3p3/1p2PP2/2PB1Q2/PP1B1NPP/4RRK1 b k -,c6b6
r5k1/2R3pp/p4q2/1b6/4pB2/Q3P2P/5PP1/6K1 w - -,a3a2
8/7p/3Np1k1/b1B1n1P1/1p5P/1P6/P3K3/8 b - -,e5d7
r3kbnr/pp3ppp/2ppq3/1Q6/4P3/8/PPP2PPP/RNB1K2R w KQkq -,b5b7
8/pp4p1/7p/5P2/2P1k2P/4P3/P3K3/8 w - -,h4h5
8/7p/BR4p1/2P2pk1/3q4/6P1/3r1r1P/5QK1 w - -,h2h4
8/8/P1n1k3/8/2p5/2K3P1/1P6/8 w - -,c3c4
r1bqr1k1/ppp2pbp/1nn3p1/4p3/3P4/2N1P1P1/PP3PBP/R1BQNRK1 w - e6,d4d5
r1bqk1nr/pppp1ppp/2n5/1B2p3/1b2P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,g1f3
8/5k1K/8/p1B3P1/1p2p2n/8/P4P2/8 w - -,h7h6
3r2k1/5ppp/1q3b2/1pp2P2/4B3/1P3QP1/2P2P1P/5RK1 w - -,e4d5
5r2/8/p1b3p1/Pp2kp1p/1PpRP2P/2P2BP1/5K2/8 w - f6,e4f5
3q1rk1/1Q1nppbp/p4np1/2pp2B1/3P4/2P1PN2/P2N1PPP/5RK1 b - -,d8c8
b5k1/3nqpbp/1pp3p1/5p2/1P1P4/1QN1PNP1/4BP1P/6K1 w - -,b3a4
4r1k1/1p5p/p4B2/3b4/7P/2P2p2/PP6/1K3R2 b - -,e8e2
6k1/6p1/4p1Q1/1q1nPr2/7p/5P1P/1P3P1B/2R3K1 b - -,b5d7
4rbk1/6p1/p2p4/1pp2PBq/Pnb5/4RN2/1P3PP1/1B1Q2K1 b - -,e8e3
r4rk1/p1nqppbp/6p1/Pp1p1P2/1PpP2QB/2P1P3/3N2PP/R4RK1 w - -,h2h3
r3r1k1/2q1bppp/bppp1B2/p3nN2/P3P3/2N4P/BPPQ1PP1/R3R1K1 b - -,e7f6
r2qk2r/pp3pp1/1npbp3/3n3b/3P3p/2NBP2P/PP2NPPB/R2Q1RK1 w kq -,h2d6
4r1k1/2r2ppp/2bp1b2/1p2pP2/p3P3/P1PB3P/1P2N1P1/3R1R1K w - b6,d3b1
r2qk2r/p1bn1ppp/1pb2n2/2p1p3/P1N1P3/3P1NP1/1P3PBP/R1BQ1RK1 w kq -,c1d2
8/p4Q2/2p2Ppk/3p3p/4r1P1/3b3P/P7/6K1 b - -,e4e1
2kr2r1/Qp3p2/2b1p3/4P3/P4P2/2RBB3/2P3qP/4K3 b - -,g2h1
r1bq1rk1/2p1ppb1/2np1np1/1B5p/3PP2P/2N1BP2/PP1Q2P1/2KR2NR b - -,c6a5
1r6/1P6/8/5k2/1R3pp1/8/4K3/8 w - -,b4b5:b4b6
5rk1/p2q2np/6p1/1ppP1pN1/2n2B2/2PQ4/P5PP/5RK1 w - -,g5f3
2r3k1/1p3bp1/p3pq1p/n7/2pP4/1P2Q1PP/Pb3P2/1B1RR1K1 w - -,e3e4
1Q3n2/5k2/4r1p1/4p2p/1P6/3rB1P1/5PKP/8 w - -,b4b5
r1b1k2r/1pq1ppbp/p2p1np1/8/2P1P3/1PN1B3/1P2BPPP/R2Q1RK1 w kq -,d1d2
r1bq1rk1/pp2ppbp/2n3p1/3n4/3P4/2N2N2/PP2BPPP/R1BQ1RK1 w - -,d1b3:c1e3
5rk1/5pp1/q6p/4PP2/b4QP1/1P1r3P/P4R1K/R7 b - -,a4b3
r4rk1/4q1bp/p2p2p1/1ppPnbPn/2P1N2P/1P2Pp1B/PBQN1P2/2KR3R b - -,b5c4
2r3k1/1pr3pp/pQbqp3/3p1p2/3P1Nn1/4PN2/PPR2PPP/5RK1 b - -,g4f6
r3nrk1/pp3pbp/2ppb1p1/4n2q/2P1P1P1/PPN1B2P/2NQ1PB1/R4RK1 b - -,e6g4
8/2k5/1n6/1P6/PK3p2/8/4B3/8 b - -,b6d5
4r1k1/2p3pp/p3b3/1p1p4/8/2P1Br2/PPB4P/R4NK1 w - -,e3c5
r3r3/p4kbp/1qp2pp1/3p4/3P1Bb1/Q4N2/PP3PPP/R1R3K1 w - -,c1c2
rnbqk2r/ppp2pbp/3p1np1/4p3/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR w KQkq e6,g1e2
1r6/5pk1/1r2p1p1/p1ppP3/3P3p/2P4P/PP2RRP1/6K1 w - -,d4c5
8/8/3b4/1B6/P7/1KrN4/3k4/8 w - -,b3a2
r2qr1k1/pp1n1ppp/2p1pn2/2Pp4/1b1P4/P1NBP2P/1P2QPP1/R1BR2K1 b - -,b4a5
3r3r/2p1npkp/2Nq1p2/1R2p3/4P3/P4RP1/1Q3PKP/8 w - -,c6d8
8/4kpp1/4p2p/rpKpP3/6P1/P2P4/R7/8 b - -,f7f6
r1b1r1k1/1p3pb1/2p3p1/p2pp1q1/P3Pn2/2PPNRN1/1P4P1/R2QB1K1 w - -,d1c2
r3kb1r/1ppq1ppp/p1N1bn2/3p4/B2P4/5P2/PPP1Q1PP/RNB1K2R w KQkq -,e1g1
4r3/8/5k2/7R/pP1b1B2/4pK1P/PP4P1/8 w - -,f3e2
5k2/6rR/5p2/5B2/4K1PP/8/8/4b3 w - -,h7h8
4r2k/5p2/7p/1p6/p2bP3/PbpP4/4RPPP/2R3K1 w - -,g2g4
r1b2rk1/pp3p1p/2p3p1/4B3/1P2N1n1/P3P3/4BPP1/R4R1K b - -,g4e5
r2r4/pb2qpkp/1p1Npnp1/2Pp2Q1/1P1P4/6P1/P4PBP/2R1R1K1 b - -,d8d6
r1b1r1k1/pp2qpp1/4nn1p/4N3/2P5/2Q1BR2/5PPP/1B3RK1 w - -,f1e1
r4rk1/pb1nq1np/1p1b2p1/PNpPp3/2P1Pp2/6P1/1BQNBP1P/R4RK1 w - -,b2c3
r6k/pp3q1p/3b2p1/1bp5/8/P3Q3/1PP2PPP/3RR1K1 b - -,d6f8
rn1qk2r/1p1bbppp/p2p1n2/4pP2/4P3/1NN5/PPP1B1PP/R1BQK2R w KQkq -,c1e3:c1g5
r1bq1rk1/bpp3p1/p2p3p/3Ppp1n/4Pn2/1BP1BN1P/PP3PP1/R2QRNK1 w - f6,e3a7
8/5k2/R7/1pr3pP/4P3/2P5/1PK5/8 b - -,g5g4
8/7r/B4p2/3pkN1P/P5P1/5K2/2Pb4/8 w - -,a6b5
1r4k1/5ppp/3rq3/1P2p3/8/8/4Q1PP/R4R1K b - -,d6b6
r2r2k1/5p1p/p3bqp1/P1pp4/8/1P1Q4/2P2PPP/R3RNK1 b - -,e6f5
8/8/4k3/6p1/2PR4/2N5/1r6/6K1 b - -,e6e5
r3b1k1/2p2p1p/3p1qp1/pp1P4/3Q4/2P5/PPB2PPP/3R2K1 b - -,g8g7
5r1k/6b1/p2P2pp/7q/8/P5Q1/1r4BP/2R3BK b - -,b2d2
2r2rk1/1bqpbppp/p1n1p1n1/1pp5/4P2P/P1NPBNP1/1PPQ1PB1/R3R1K1 b - h3,d7d6
4r1k1/1p2bpp1/p1b1p2p/1q2B3/8/P6P/1P2QPP1/2RR2K1 w - -,e2b5
2b5/5r2/1R3pk1/4p1Bp/4P2P/5P2/5K2/8 b - e3,g6g7
8/p2r2kp/5np1/p1P5/8/8/1QP3P1/6K1 b - -,d7c7
rn1qkbnr/pp1b1ppp/4p3/3pP3/3p4/2P1B3/PP3PPP/RN1QKBNR w KQkq -,c3d4
r4rk1/5p2/p2p1PP1/qpp4p/n1n1P2P/3R4/PPP2QB1/1K3R2 b - -,a4b2
2kr3r/1p2bppp/p1q1p1b1/2p5/2P1N3/1B2B3/PP2QPPP/R2R2K1 b - -,c6e4
8/4k3/3p4/3Pp2p/4P1rP/1p3K2/1P2R3/8 b - -,g4h4
r1b2rk1/1pq1bpp1/p1P1pnnp/3p2B1/Q2N4/2N3P1/PP2PPBP/R2R2K1 w - -,g5f6
1r2r1k1/3bqppp/p4n2/1p1np3/3p4/1PbP1NP1/PBRNPPBP/2RQ2K1 w - -,b2c3
6k1/8/5p2/p4R2/P1N3n1/2N3P1/1P5r/2b3K1 b - -,h2c2
5rk1/4nqp1/p4bpp/3p4/1r1N2P1/P1N1P2P/1P2QP2/3R1RK1 b - -,b4b6
3b4/1p2nk1R/p2r1p2/3p1p2/B5P1/8/PP5P/4RK2 b - -,f7f8
r1r3k1/1p3qpp/1n2p3/2bp1n2/p4B2/P1NB1P2/1PPQ2PP/1K1RR3 w - -,c3b5
3r1rk1/pppn2pp/4p3/1N2Pp2/2Pq1P2/1P2R3/P1Q3PP/4R2K b - -,d4b6
4rn2/1p3qpk/2pp1p1p/1p1n1P2/1P1P2PP/2PB1Q2/3B1PK1/R7 b - -,d5b6
rnbqkb1r/ppp1pppp/8/8/8/2n2N2/PPPP1PPP/R1BQKB1R w KQkq -,b2c3
5r1r/2k1np1q/4p1p1/pp1pP2p/b1pP1P2/P1P4B/1NPQ2PP/R4RK1 w - -,f1f2
5r1k/p2p1pp1/1b1P2qp/4P3/P1B2Q2/2R3P1/5PKP/8 w - -,c3f3
r1b2rk1/p1q2pbp/3p1np1/2p3B1/2PpP2P/3Q1P2/PP2N1P1/RN2K2R b KQ -,f6d7
5rk1/1b1q1pb1/pp1pp1np/6p1/P2PPn2/1P3N1P/3Q1PPB/1BR2NK1 w - -,f1e3
3rb1k1/Npq1bppp/4pn2/1P2p3/P3P3/2Pr1B2/R3QBPP/2R4K w - -,c3c4
r4k2/pp2rpb1/2pp3N/8/2PP4/6P1/PP4P1/1K1R3R w - -,h6f5
6k1/7p/n3R1p1/r2pN3/5PP1/7P/8/6K1 b - -,a6c5
