r6k/1p5p/p4Q2/6Pp/7P/2B1nq2/PP5K/8 b - -,f3f6
8/5k2/6p1/p2p1pP1/Pp6/1P1RKP2/2P4r/8 w - -,d3d5
8/8/1KP1kp2/3p1n1P/7P/3N1p2/8/8 w - -,c6c7
1r1qk2r/p2bppb1/1p1p4/PP1NnP2/2P4p/4B2P/3QB1P1/2R2RK1 b k -,e7e6
r3k1nr/2qb1pb1/4p1p1/3pP2p/pP1P1P2/2P2N1P/2BNQBP1/2KR3R b kq -,c7c3
2k5/3bb3/8/4B1p1/4p1P1/4P1N1/5K2/8 b - -,d7c6
4R3/3r1pp1/1n5p/8/3k4/1pp3PP/1P3PB1/2K5 b - -,b6c4
r4q1k/2Pb1rbp/p2P1nn1/p1N1p3/2B1Pp2/N4P2/PP1Q2PK/2RR4 b - -,f6g4
8/2k2pb1/p5p1/1p6/7P/3N4/r2N1PP1/1R1K4 w - -,d3b4
3r4/pp1q3k/2n1n1pP/2p1pp2/7N/3P1B2/PP1QPP2/2K3R1 b - -,e6f4
8/6kp/2R1K1p1/1p1N1p2/3P2n1/r3P1P1/7P/8 w - -,c6b6
4bk2/R7/4P1p1/p2p4/2pP3P/2K2B2/P7/1r6 b - -,b1b5
1b3rk1/p2Q1p2/1p3qpp/8/8/1P2PNP1/P4PKP/3R4 w - -,h2h4
r4rk1/1bqp1ppp/pp2pn2/2b1n3/2P1P3/2NBB2P/PPN1QPP1/2R2RK1 b - -,a8c8
8/p7/1p6/5p1p/2p2P2/2P2kPP/P2Q1q1K/8 w - -,d2f2
2r2rk1/pbqnbppp/1p2p3/2pn4/3P4/NP3NP1/PB1QPPBP/R2R2K1 b - -,a7a6
r2q1rk1/1b1nbppp/p1npp3/1p4P1/3NP2P/P1N1B3/1PPQ1P2/2KR1B1R b - -,c6d4
2rn3r/1b3p2/1q2p1k1/p3Pp1p/1pPp1P1P/1P1P1BP1/2R2N1K/R2Q4 w - -,c2a2
8/5kpp/2nr4/pp6/4R3/P2NK3/1P3PPP/8 w - -,f2f4
5k2/1p3p2/3b1np1/p2p1p1p/P2P3P/1P1BP1P1/3BKP2/8 b - -,b7b6
r1bqr1k1/pp3pbp/2p2np1/3p1n2/3P4/1PN1P1P1/PB2NPBP/2RQR1K1 b - -,f5d6
8/6pp/Rnkp4/8/ppP5/6P1/1P4KP/8 w - -,g2f3
r2q1rk1/ppp2pbp/1n4p1/4pb2/3PP3/N5P1/PP2KPBP/2RQN2R b - -,f5g4
1rr1b1k1/5p2/p3pqpb/7p/2pN3P/2P2BP1/PP1RQPK1/3R4 w - -,d2c2
r1b2rk1/1p2qpb1/2p3p1/p3p1Np/2P3nP/PQN1P1P1/1P3PB1/3R1RK1 w - -,c3a4
2r3k1/5ppp/4pb2/p2p4/6PP/PPr3B1/K1b2P2/2RB2R1 w - -,g4g5
1r3rk1/2qnbpp1/p1n1p2p/1pp1P3/2PpQ2P/1B1P1N2/PP1B1PP1/R3R1K1 w - -,e1e2
2rqr1k1/5pbp/b1p2np1/p2p4/2PN4/B2BP3/P4PPP/2RQ1RK1 w - -,c4d5
rn1q1rk1/pb2bppp/1p2pn2/2pp4/2PP1B2/2NBPN1P/PP3PP1/R2QK2R w KQ c6,d4c5
r3k2r/1pq1bppp/p1n1bn2/4p3/8/2N1PPP1/PPNBQ2P/3RKB1R b Kkq -,e8g8
5r2/1Rq3pk/4Q1b1/2p4p/p4p2/2P1p3/P1P1rbP1/1R5K b - -,e2e1
1b2q1kr/5pp1/p2pr2p/1p1Q4/4N1P1/1P3P1P/P7/2R2RK1 b - -,e6e5
8/1R1bkr2/3r4/1p3p2/p4K2/P4P2/1P5R/8 b - -,d6d4
8/3k2p1/2p1pb1p/1q6/1P1P4/2B2Q1P/5KP1/8 w - -,f2g1
8/4k3/7p/2p1p1p1/1pB1P1Pn/1Pr1P3/P2K1R1P/8 w - -,a2a4
r1b1kb1r/p4ppp/2P1p3/8/2p5/4BN2/1PK3PP/RN3B1n b kq -,a7a5
8/4Bpbk/2b1p2p/p1P1P3/5P2/2R1K3/2N5/2r5 w - -,e3d2
r3k2r/3bbp1p/p2pppn1/1pq2N1Q/4P3/1BN5/PPP2PPP/3RR1K1 w kq -,c3d5
r1b4k/pp3prp/5Q2/2q1p3/4P3/2N5/PPP1B1PP/R6K w - -,a1d1:f6d8
r1b2rk1/2q1bppp/2ppp3/p1n3P1/4P2P/1PN1Q3/PBP2PB1/2KR3R b - -,e6e5
5b2/1k3r2/8/5rBR/1p2RP1P/5K1P/P7/8 b - -,f5a5
r5k1/8/nn2p1B1/3pP1P1/Pb1P3P/1R2BPK1/4r3/7R b - -,a8f8
1rq1nn1k/1p2r1bp/2p3p1/p1P1p3/8/PQ2PN1P/4BPPB/1R3RK1 w - -,f3g5
rn1qkb1r/1pp1pppp/p4n2/8/2pP2b1/2N1PN1P/PP3PP1/R1BQKB1R b KQkq -,g4h5
1rbq1rk1/5ppp/2np3b/3Np3/1p2PP2/4B1P1/1PP3BP/R2Q1RK1 b - -,c6e7
2kr3r/Bb5p/2n3q1/1p1p1pp1/1b6/3P4/PP2BQPP/2RK3R w - -,f2b6
8/7R/2k3p1/3p4/6P1/5K2/4r2P/8 b - -,e2e6
2r2nk1/2qr1p1p/p1bppbp1/2p5/2P1PP2/3R2N1/PPQ1N1PP/1B2R2K w - -,e2g1
2r2n2/pp1r1p1k/2p1p1pb/4P1q1/3P1Q2/B1P1PBP1/PR6/5RK1 b - -,g5f4
r1b1k2r/1pppqppp/p2b1n2/n3p3/8/1P2PN2/PBPPBPPP/RN1QK2R b KQkq -,e8g8:c7c5
r4rk1/2p1pp1p/1nN2bp1/8/8/P4PP1/1P3P1P/R1B2RK1 b - -,b6c4
8/1p6/p3N1k1/3p4/PP1Pn1p1/2P2pP1/5P2/6K1 b - -,e4c3
1r5k/7p/BbR3p1/4p3/4n3/N5P1/PP5P/7K w - -,a3c4
1r1qkb1r/p1pb1ppp/2p5/3pP3/3N1P2/8/PPPB2PP/R2Q1RK1 b k -,f8c5
8/p2rqpkp/1pQ2pp1/3P4/8/2N2BP1/PP3PKP/8 w - -,c3b5
5rk1/ppn2p1p/1np1p1p1/4P3/P1QP4/1P4PP/1q3PB1/3RR1K1 w - -,c4b4
r4rk1/pb1nqpp1/1p2p2p/3nP3/4N3/P2B1N2/1P3PPP/2RQ1RK1 b - -,f8d8
8/8/r3k3/4ppp1/7p/5P1P/1R2K1P1/8 w - -,b2c2
8/1pkb3p/8/1P4p1/2K5/8/3R3P/8 w - -,d2f2:d2e2
3rk2r/1p1q1ppp/p3bn2/2bp4/Q7/2N1PB2/PP3PPP/R1BR2K1 w k -,b2b3
r3qbk1/7p/2p2rp1/p2p1p2/Pp1P4/3QP3/1PR1BPPP/3R2K1 w - -,d1c1
8/2p2k2/1pPp4/1P1P3p/5P1P/5KPB/8/4b3 b - -,f7f6
r2q1rk1/pbpn1pp1/1p1ppn1p/6B1/2PP4/2PQ1NP1/P3PPBP/R4RK1 w - -,g5f6
r3r1nk/2qn3p/bp1p1pp1/p2Pp3/P1p1PPN1/2P3NP/1PBQ2P1/R4RK1 b - -,e8f8
7k/7p/8/2p5/p7/5KP1/PPR4P/4r3 w - -,c2c5
4rrk1/p1pq2pp/2pp2bn/Q7/2PBN2b/1P3PN1/P2R2PP/5RK1 w - -,a5c3
8/1Q2bk2/6pp/2P1pq2/8/PKNP4/8/8 b - -,f5d3
1r3bk1/2pq2pp/4p3/4P1BP/3p4/5RQ1/5PP1/1r1R2K1 w - -,d1b1
r3r1k1/pq1n1pbp/1p4p1/3n1P2/3Np1PN/2P4P/PB2P3/R3QRK1 b - -,a8c8
8/N4pk1/3bp1p1/P2p4/1PnP4/3BPKP1/8/8 b - -,d6b4
1rb2rk1/4ppbp/p1nq1np1/1p1p4/1P1P4/PQN1PN2/3BBPPP/R4RK1 w - -,f1c1
8/3n1pk1/4p2p/6p1/R7/5B1P/1r3PP1/4K3 w - -,a4d4
rn2r1k1/2p1bpp1/1pPnp1p1/pP1p4/3P1PP1/P3P3/3NB2P/R1B2RK1 b - g3,f7f5
8/5p2/4b3/p2pP1kp/3P4/1r6/1P1R1KP1/5N2 w - -,f1e3
3k4/2bn2R1/4K3/4P3/5P2/8/8/8 b - -,d7c5
r1q2rk1/2p3pp/1p1p4/p1nPpb2/P1P1P3/1P2P2P/1BB3PK/R2Q1R2 b - -,f5e4
rn5r/pp2kn2/5b2/1PpPp1qp/4Pp2/Q4P2/PP2BBP1/1K1R3R w - -,f2c5
r7/P1p4p/4k1p1/4b3/R1K2p2/7P/3R4/8 w - -,d2d3
3r1rk1/pbq1n1bp/1p1pp1p1/n1p5/2PPNP2/1P2B1P1/P2QN1BP/2RR2K1 b - -,e7f5
2r3k1/pq4bp/6p1/4B3/3Pp3/1P6/P2Q2PP/5RK1 w - -,e5g7
3r1r2/pp3p2/2pn1k1p/6bP/3P2N1/2N5/PP3PP1/R3R1K1 b - -,f6g7
8/4bk2/1p1p4/pP1Pp3/P3Pp2/5P2/4N1bK/8 w - -,h2g2
4r1k1/p4pp1/Bp5p/6q1/3P4/P4Pn1/1P1R3P/3Q2K1 w - -,h2g3
2rqr1k1/pbnnbppp/4p3/3pP1B1/1p1P3P/4NNP1/PP3PB1/R2QR1K1 b - -,d7b6
2krr3/p4pb1/3p2pp/2pP4/4P3/1P3N2/2PK2PP/3RR3 w - -,d2d3
8/6p1/8/5b1p/7P/3k1PP1/5K2/8 w - -,g3g4
r2qk2r/3bbppp/p1nppB2/1p6/4PP2/2N2N2/PPPQ2PP/2KR1B1R b kq -,g7f6
5r1k/p2qnrbp/1p2b1p1/2pNpp2/2P1P3/1P1P2P1/P2Q1RBP/2B2RK1 b - -,e7c6
R7/1pK2pk1/3P4/7p/2r5/8/8/8 w - -,c7b7
2kr3r/pp2qpp1/2p1pn1p/7P/1bPP4/2B2NP1/PP2QP2/2KR3R w - -,c3b4
8/7p/6p1/7k/1KN5/7P/5bP1/8 b - -,f2d4
3r3r/1b1q1pk1/1p2nbp1/1P1p4/P1pP2Q1/2N1P1P1/3N1PB1/2R2RK1 w - -,g2h3
r2qr1k1/pb1n1p1p/2p2bp1/1p1p4/3P4/P1N1PN1B/1PQ2PPP/R4RK1 b - -,d7b6
8/3b4/2k4p/5p2/pP2pP1P/4P3/2K1B3/8 w - -,e2c4
r4rk1/pp3ppp/2n1pn2/q7/1bBP4/PPN2Q2/3B1PPP/R4RK1 b - -,b4e7
8/6P1/8/1R6/2r4p/7K/1pk5/8 b - -,c4c8
r2q1rk1/pp1b1pb1/2n1p2p/3pP1p1/3P2P1/2NBPN2/PP5P/R2QR1K1 b - -,a7a6
8/8/3k2Bp/p1p1prbP/P1R5/8/2K5/8 b - -,f5f3
7k/5p2/r3pP1p/1p1p2P1/1Pp2R1P/2P1P3/5K2/8 b - -,h6g5
5R2/8/2n5/p1k1p3/P7/3K1P2/8/8 w - -,d3e4
r1bq1rk1/4bppp/1p2pn2/p1p1N3/PnpP1P2/1PN1PR2/6PP/RBBQ2K1 w - -,b3c4
8/4bk2/pr2p3/3p1p1p/2pK1Pp1/6P1/P6P/2RN4 w - h6,c1c2
5r1k/pQ3n2/3pqb2/4n3/6pp/4N1B1/1P3PPP/R4BK1 w - -,g3e5
r3k3/1bqp1pr1/pp1Rp3/4PpNp/2P2Q1P/5P2/P1P3P1/5RK1 b q -,e8c8
8/2R5/1r3bk1/6p1/1pK3P1/8/3N4/8 b - -,b6d6
r4rk1/pp1b2pp/3q4/3pb3/3n3B/P2B2N1/1PR2PPP/3Q1RK1 w - -,c2d2
3rb1k1/R6R/3p4/3P1p2/2p4P/5B2/6PK/2r5 w - -,h4h5
8/3bkp2/p2b2pp/1p1R4/5P2/1N2PN1P/PPr3P1/6K1 w - -,d5d2
r2r2k1/pp3pb1/2p1b1pp/q3p3/2P1P1P1/1PNn3P/P1Q2PB1/2RR2K1 w - -,d1d3
8/2k5/2p5/2K1P3/5N1r/8/8/8 w - -,f4e6
2bq1n1k/1p3rbp/r2p1p2/p1pP2PP/P1P1PR2/2N1B3/1P1QB3/5RK1 b - -,f8d7
2rqr1k1/pp3ppp/2nb4/3p4/4n3/1P2PN1P/PB2NPP1/2RQ1RK1 b - -,d8d7
2r2rk1/Qpq3pp/4pn2/2P2p2/1PNPp3/7P/P4PP1/R4RK1 b - -,f6d5
8/1R4nk/6p1/1P4K1/7P/7r/8/8 b - -,h3f3
7r/1p2kppp/2npbn2/1N2p3/2P1P3/1P1N1P2/r1RK2PP/5B1R b - -,h8a8
5bk1/1pqb1p1p/4p3/pP1pPpP1/3P3P/PQN1P3/3N2K1/8 b - -,a5a4
2r3k1/Bb2bpp1/p4n1p/1q2pP2/Np2P3/4QB2/1PP3PP/R6K w - -,f3e2
r1bq1rk1/4bpp1/1n4np/p1pPN3/PpB5/1P5P/1BQN1PP1/3RR1K1 b - -,g6e5
r1b1k2r/p1q1bp1p/2p1n1pB/1p2p3/4P1PP/1N2Q3/PPP2P2/2KR1BR1 w kq -,g4g5
2k1r3/3p2pp/Q1n2p2/p2R4/1q3B2/1P3P2/1P4PP/5K2 b - -,c8d8
r1br2k1/pp1n2p1/2nbpq1p/3p4/3P4/4BN2/PP2NPPP/1BRQ1RK1 b - -,d7f8
3R1nk1/5p2/3r1q2/Q6p/1p1pB2P/1P4P1/P4PK1/8 w - -,d8d6
rnbq1rk1/p1pp1ppp/1p2pn2/8/1bPPP3/2N2P2/PP1B2PP/R2QKBNR b KQ e3,d7d6
1rr2qk1/3n2pp/3p1p2/ppnPpPP1/4P2P/4BB2/PP2Q2K/2R2R2 b - -,c5a6
5rk1/6pp/4p3/3qN3/2pP4/prP1Q1PP/1PR2P1K/8 w - -,b2a3
5k2/5pp1/3p3p/4p3/2Pq4/5P2/2Q3PP/5K2 b - -,f8e7
r1b1kbnr/1p3ppp/1qn1p3/p2pP3/3P4/P4N2/1P2BPPP/RNBQK2R b KQkq -,g8e7
2n1r1k1/1qbb1ppp/1nNp4/1P1Pp3/p1N1P3/B5PP/2Q2P2/1R3BK1 w - -,c4e3
8/2n3pp/2r1kp2/RpP5/3pP1P1/P2K4/2P4P/2R5 b - -,e6e5
r1bq1rk1/1p1nbppp/p3pn2/2p3B1/2BP4/2N1PN2/PP2QPPP/2R2RK1 b - -,b7b5
2r5/6nk/3Q2pp/8/2B1PP2/PP2q3/5R1P/6K1 w - -,d6d3
bq4k1/4bpp1/n3p2p/1p1nP3/3BN3/1P3NP1/5PBP/1Qr3K1 w - -,b1c1
q4rk1/3nbppp/1p2b3/1Q6/8/2NP1P2/1PP1N1PP/2B2RK1 b - -,a8b8
5k2/p3q1b1/2R2pp1/QP1rpn1p/3P4/PN4P1/5P1P/3R2K1 w - -,c6c8
5k2/R7/4p1pp/7n/3PPpP1/5P1P/6K1/8 b - -,h5g7
1n4k1/4bpp1/p3p2p/1p1pP3/bP1P4/P5P1/4BP1P/N1B3K1 b - -,b8d7
8/pppk1p2/5r2/5P2/6K1/2P3P1/P3R3/8 b - -,f6c6
r1b1k2r/ppp1qpp1/3p1n1p/2b1nN2/2P5/2N3P1/PPQ1PPBP/R1B2RK1 b kq -,c8f5
2r3k1/1p2Bpb1/p1b1p1pp/q3P2n/3QNP2/5N1P/PPr3PK/1R2R3 w - -,b1d1
4k3/1p2rR2/p3n1p1/3Q4/Pq4pP/8/8/7K w - -,f7f1
rnbq1rk1/1p2bppp/2p1pn2/p2p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - a6,b1c3:d2d3
8/8/8/7R/5p1P/2r2k2/7K/8 b - -,f3g4
3r1rk1/5p2/B1p4p/p1N1nnp1/Pp6/8/1P3PPP/R2R2K1 b - -,f5d4
4k3/3nrp1p/p2Q4/1p1P3P/P1P5/1P6/4r3/5R1K w - -,c4b5
6k1/5p2/q1n1p1p1/2QpP2p/3P3P/PP4P1/5P2/6K1 b - -,c6a5
3r2kr/5pp1/B4n2/1q6/3b1Bbp/Q7/PP4PP/2R1R2K b - -,b5b2
5bk1/1p2pp2/1q1p3p/pNr3p1/2P1P3/N4PP1/7P/R5QK w - -,a1b1
2k4r/pb3Q2/1pn2p1p/1B1p2r1/P2Pp2q/R1P4P/1P3PP1/4R1K1 w - -,f7e6
2rq1rk1/3nppbp/p4np1/2Pb4/1p2P3/4BN2/PPQ1BPPP/3RK2R w K -,e4d5
r1b2rk1/1p1n1ppp/2q2n2/8/2N5/2Qp2B1/P4PPP/R3R1K1 w - -,g3d6
6bk/3R3p/8/p7/4R3/8/6rP/4K3 w - -,h2h4
4r1k1/p1pb1qp1/7p/1pr2p2/2P2R1P/Q4N2/P1P3P1/5RK1 b - -,c5c4
r6k/pp1nb1pp/2p1pr2/q2n4/3PQ3/1B4BP/PP2NPP1/R4RK1 b - -,d7f8
R7/P5k1/8/5Pp1/7p/r6P/7K/8 w - -,f5f6
8/5P1k/r3K3/8/1p2P3/6R1/8/8 w - -,e6f5
R1br1N1k/8/3r1p2/1P2p2p/4P3/4B2P/6P1/1R5K b - -,h8g8
r2qk2r/pp1nbppp/2p1pn2/5b2/2BP4/2N2N1P/PPP1Q1P1/R1B2RK1 w kq -,g2g4
4rrk1/1p3p1p/3p2p1/Q2P4/2P4q/5B1P/PP2N1K1/2b2R2 b - -,c1b2
r4rk1/2qb1pp1/p4b1p/1p6/3NQ3/1P2B3/1PP2PPP/R3R1K1 w - -,c2c3
8/1bq1r1kp/6p1/pBp1pp1n/P3P3/1PpN1PPP/4Q2K/2R5 w - f6,c1c3
4r1k1/pp4p1/3rp2p/3P1p1P/qP3P2/4Q1P1/3R3K/3R4 w - -,e3e5
5rk1/5p2/1q4p1/1P1Qp3/2p1P2p/5P1P/2P3PK/3R4 b - -,b6f2
r4rk1/1p2bppp/p2p1n2/4p3/2q1PP2/2N1B2P/PPPQ2P1/R4RK1 w - -,d2d3
r1bqr1k1/bp3ppp/p2p1nn1/3P4/P2N2P1/2N2P2/1P2B2P/R1BQ1R1K w - -,d4c2
r1bqr1k1/1p3pbp/p2p1np1/1PpPn3/4P3/P1N3P1/4NPBP/1RBQ1RK1 b - -,f6d7
rn1qk2r/5p2/4p1p1/pp1bP1Pp/2pP1Q2/2P5/4BPP1/R1B1K2R b KQkq -,d5g2
2bq1r2/R1p3bk/3p3p/1B1npPpP/4Q3/5NN1/1P3PP1/6K1 b - -,d5f6
r5k1/p4pq1/1p2pn2/PP1p1P2/1P1B1Qn1/8/4BK2/2R5 w - -,e2g4
rnbqkb1r/p4ppp/2p1pn2/1p2N3/2pP4/6P1/PP2PPBP/RNBQ1RK1 b kq -,c8b7:f6d5
q1r5/4kp2/pp2p1p1/2n3P1/3NnQ2/P7/1P5P/1K1RR3 b - -,a8d5
rn1qkb1r/pbp1ppp1/1p1pP3/7p/2P5/2P5/P2PQPPP/R1B1KBNR b KQkq -,f7e6
r1b2rk1/1p3pb1/3q2pp/1PnNp3/P1Qp4/4P3/3N1PPP/2R1KB1R b K -,c5a4
8/8/8/3p4/4k3/5p2/8/r2NKB2 w - -,e1d2
3r2k1/4n1pp/3q4/3Pp3/4Q3/3P2PP/6BK/5R2 w - -,d3d4
4kb1r/3q1p2/4p2n/p2pPp2/Pp1N1B2/1Pr3RP/2PQ1P2/2K3R1 w - -,g3c3
8/p5pp/8/1p1k1K1P/2pP1P2/P7/1P3P2/8 b - -,a7a5
r1bqkb1r/pp2pppp/2np4/2pnP3/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,d5c7
rn2r1k1/1p2qpbp/p2p1np1/2pP4/P3PB2/2N2BPP/1P3P2/R2Q1RK1 b - -,b8d7
r1bqk1nr/1p2ppbp/p5p1/2pP4/3NP3/8/PP1B1PPP/R2QKB1R w KQkq -,d4b3
5rk1/2qb1pp1/p1nN1n1p/1pP5/2P2pP1/3Q3P/5BB1/4R1K1 b - -,b5b4
2r3k1/1br2pp1/1b2p2p/1p2P3/1p1P4/P3N2P/3RN1P1/R6K w - -,a3b4
2nr1r2/p4pkp/2p3p1/2N5/2PpP3/6P1/PPP2R1P/5R1K b - -,g7g8
8/2k2p2/p1r2p2/2PK4/6P1/1R6/P7/8 w - -,b3e3
7k/6R1/1p1p1K2/pN1r2P1/P7/1b6/8/8 w - -,g7d7
R7/1p3r1p/6pk/4pp2/8/7P/P3N1PK/2Q1q3 b - -,e1c1
6k1/p1R2Qn1/1p3b2/3p1qp1/3Pp3/4r1B1/PP4KP/6N1 b - -,g8h7
1r1r4/4k1pp/1p6/3P1p2/1R3P2/4KBP1/PP2P2P/8 w - -,e3d4
r3k1r1/ppq2p2/4bBp1/n2pPp1p/3P3P/P1P3Q1/4NPP1/R3K2R w KQq -,e1g1
r1bqkb1r/5pp1/p1pppn1p/8/4P2B/2N5/PPPQ1PPP/2KR1B1R b kq -,d6d5
6k1/2p2p2/P5pb/3P3n/4N2q/1P2Q2P/r7/5BRK w - -,e3f3
3rr1k1/1p3pq1/p1p5/Pn4p1/1Q2P1b1/3R2P1/6BP/2B1R1K1 w - -,d3d8
r1bqk2r/ppp1bppp/2np1n2/4p3/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq e3,e8g8
1r4k1/5p1p/3p1bp1/p3p3/4P3/R1q1BP2/1P4PP/2Nb2K1 w - -,b2c3
3r2k1/p1N2ppp/Bpb1pn2/5q2/1P6/P4PBP/3rQ1P1/2R4K w - -,e2f1
8/5kp1/7p/3K3P/r2B2P1/8/8/8 b - -,a4a6
5k2/5ppp/pp2p3/2P3P1/1P6/5PK1/P1r4P/R7 b - -,b6c5
6k1/1b3p1p/6p1/pB6/3b4/6P1/1P3PP1/3N2K1 b - -,g8f8
4r1kb/p4r1p/2b1p1pB/1p1NPp2/2pP4/q1P2P1P/P2Q1RP1/1BR3K1 b - -,c6d5
8/1p6/p4k2/P2rp1p1/1PNbR2p/1K3P1P/6P1/8 w - -,e4g4
3R4/6pp/4p1k1/5p2/Pp1b1P2/4P3/2r3PP/6K1 w - -,d8d4
3rk3/7p/3p2p1/4n3/Q7/B1q5/P5PP/4R2K b - -,e8f7
r3k2r/1p1bbp2/p2ppp1p/q4P2/3QP2N/2N5/PPP3PP/2KR3R b kq -,e8c8
r3r1k1/p5bp/4bnp1/q2pp3/1p2P1P1/1B2BP2/PPPQ4/1K1R2NR w - -,g4g5
r2q1r1k/pppnp1bp/2b1Q1p1/6B1/8/2N5/PP2PPPP/3RKB1R b K -,f8f5
2r3k1/pb3p2/1p3npp/6q1/1P6/4N2P/P3QPP1/1B1R2K1 b - -,h6h5
8/2N5/8/k7/pp1K4/P2B2n1/1P6/8 w - -,c7d5
r1b1kb1r/2q2ppp/pn2pn2/1p1P4/2pP4/NPP2N2/P1B1QPPP/R1B2RK1 b kq -,f6d5
r2q1rk1/1p2bppp/p3pn2/3bN3/PnBP4/1PN5/1B2QPPP/3RR1K1 b - -,a8c8
8/4p3/4P1k1/P3p3/4Pp2/5K2/1rp3PP/2R5 w - -,g2g3
r1bqk1nr/ppp1bp1p/2np4/4p3/2P3p1/3P2P1/PP1NPPBP/RNBQ1RK1 b kq -,h7h5
3n4/3b1k1p/p2p1p2/1p2pP2/1PPpP1BP/KP1P2N1/8/8 w - -,g4h5
6k1/p2n1p1p/3q2p1/3P4/2b2P2/6PP/PQ3BBK/8 w - -,f2a7
8/p5k1/1p6/b2B1ppp/P7/1P4K1/5P2/8 w - -,d5c6
3nrrk1/bppqnbp1/p2p3p/3Ppp2/1PP1N3/P3P1PP/1B1QNPB1/2R1K2R w K -,e4c3
5rk1/pBr2ppp/1n6/1R2P3/2n3P1/5NP1/P4P2/2R3K1 w - -,b7a6
r3qrk1/pp4b1/2np4/2p1pbP1/Q4n2/2PPR3/PP3PBP/R1B2NK1 w - -,g2e4
r2qrnk1/pp2bppp/2p1pn2/4N3/2PP4/P1N1B2P/1P2QPP1/R2R2K1 w - -,e2f3
r1b2r2/pp1nqpbk/2pp1npp/4P3/2P1P3/2N1BN1P/PP1QBPP1/R2R2K1 b - -,d6e5
