8/3B4/5kpp/p5b1/8/6K1/5P1P/8 b - -,f6e5
8/3R1p2/1pr1pk1p/p5p1/8/2nR2P1/2P2PKP/8 b - -,g5g4
2r3k1/1b2bpp1/p3pn1p/1pq1N3/5B2/4P3/PP2QPPP/1B1R2K1 w - -,h2h3
8/4Qp1k/4n1pp/pp6/2q5/1K1R3P/8/8 w - -,b3b2
8/6p1/8/4k3/6Bp/4P2P/5K2/2r5 w - -,g4h5
2r3k1/pp4pp/6q1/1B1p4/3Pp1b1/5r2/P1PQ1PPP/1R3R1K b - -,g6h5
5bk1/2nq1p1p/p2p2p1/1p2rP2/6B1/2PQ3P/PP4P1/3R1RK1 b - -,h7h5
r3k2r/ppqbnpbp/2n3p1/2p1N3/P1p1PB2/2PP2P1/1P3PBP/R2Q1RK1 w kq -,e5f7
5k2/4Nppp/2b5/4nP2/2p1B3/2K5/7r/R7 w - -,e7c6
r1bqkbnr/pp2pppp/2np4/1Bp5/4P3/1P3N2/P1PP1PPP/RNBQK2R b KQkq -,g8f6
2rqrnk1/pb2bppp/1p1ppn2/2p5/2PP4/1P1BPN2/PBQN1PPP/2RR2K1 w - -,d2f1
3rr1k1/p4pp1/2pppb1p/q2N4/4PP2/8/PPPQ2PP/1K1RR3 b - -,a5d2
r4rk1/pb1nq1pp/1p1pp3/2p2p2/1PPPnP2/P3PB2/1BQ3PP/R3NRK1 w - c6,e1d3
r1bq1r1k/p2nn1bp/1p1p2p1/2pPpp2/1PP1P3/2NN4/P1QBBPPP/R4RK1 w - -,b4c5
r3rk2/qpp2p2/2n1bnpp/p3p3/4P3/1PP1NNP1/P1Q2PBP/3RR1K1 b - -,f8g7
8/8/5pKp/1k4pP/6P1/p7/5P2/8 w - -,g6h6
1rr4k/p1q3p1/5npp/1Q6/4P2P/1B3P2/PpP3P1/1K1R3R w - -,b5d3
q3r1k1/1p3pp1/2p2b1p/1n6/1PQp3P/2nP2P1/3BPPB1/2R2KN1 w - -,c4b3
rn1q1rk1/pbppbppp/1p2p3/8/2P1N3/5NP1/PP1PPPBP/R1BQR1K1 b - -,b7e4
rnbq1rk1/1p2ppb1/p1p2npp/4P3/2P4B/2N2N1P/PP3PP1/R2QKB1R b KQ -,f6h5
3r2k1/4npp1/R3p2p/1N6/P2P4/1B3P2/1b4PP/5K2 b - -,e7f5
r2q1rk1/pppnbppp/5n2/6B1/2NP2b1/3B1N2/PP3PPP/R2Q1RK1 b - -,h7h6
r1bqkbnr/p4ppp/2p1p3/2pp4/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,e4d5
8/2k3p1/pR6/8/2N5/2Pn1P2/1Pr5/6K1 w - -,b6a6
8/8/2k5/p6r/P5RP/1K6/8/8 w - -,b3c4
r1bqkbnr/pp3ppp/2n1p3/2ppP3/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq -,c2c3:f1e2
5nk1/1pr2ppp/8/1P2Qbq1/1RN1p3/3pP3/5PPP/5R1K b - -,c7e7
r5k1/1p2qr1p/2bpp1p1/p1n1b3/2P3P1/1P2BP2/P2QB1NP/1R3RK1 w - -,b1d1
8/5k2/4pP2/4P2p/p1p5/5nB1/PPK5/8 b - -,h5h4
8/8/1k5p/p7/K7/PP3B1p/2P5/8 w - -,b3b4
1r3b2/4pk1p/1pR2pp1/1N1r4/P2P2P1/1p5P/1Pb2P2/2R1N1K1 b - -,h7h5
r3rk2/2q2pbp/ppn1B1pN/6Bn/8/2P2Q2/PP3PPP/R4RK1 w - -,e6d5
r4r1k/2p2pp1/2n1P1np/ppN5/1P1p1qP1/PQ3N1P/5P2/3RR1K1 w - -,e1e4
2r3k1/3b2pp/p4p2/1p1P4/2nNrB2/3R4/P1P2PPP/1R4K1 w - -,f4g3
1b3rk1/4qp1p/2R3p1/3Q4/P3pP2/4P1BP/1r3P2/3R1K2 b - -,e7b4
6k1/pp2R3/5pp1/1r5p/5P2/1P4P1/P6P/6K1 w - h6,g1f2
r2qrnk1/1bp1npp1/3b3p/1p2p3/1P1pP3/PB1P1NN1/1BRQ1PPP/R5K1 b - -,f8g6
r1bqr1k1/1pp2ppp/2n2n2/4p3/p1P5/P1B1PN2/1PQ1BPPP/R4RK1 w - -,h2h3
r3r1k1/1p1n1pb1/pq1ppn1p/2pP1bp1/P1P5/2N1P1B1/RP1NBPPP/3Q1RK1 w - -,h2h4
8/8/Bp1p4/p7/P1Pk1p1p/4nP2/5K1P/8 w - -,a6b5
r2rb1k1/1pq1bppp/p1pp1nn1/3Pp3/1PP1P3/2NNBP2/P2QB1PP/2R2RK1 w - -,a2a4
r3k3/pp5p/4P1p1/8/2BR1PnB/2P5/PP5P/2K5 w - -,c4b5
r3r1k1/pp4p1/1q2pn1p/nb1p4/3P4/PP3NN1/2B2PPP/2RQR1K1 b - -,a5c6
8/R7/1p3kp1/2p4p/2r4P/6P1/8/6K1 w - -,a7b7
8/2P2k2/3K2pp/4R3/6P1/7P/2r5/8 b - -,f7f6
1r2r1k1/1b1n2pp/1p2q3/1p1pP3/p7/3QP1P1/PB4BP/2R2RK1 b - -,d7c5
r5k1/1p4bp/3p2p1/p1pP4/2P2Bn1/P4BP1/1P1Q1P1q/4RK2 b - -,h7h5
r1bq1rk1/1p2bppp/p2p4/4n2n/P2NPp2/2NB4/1PP3PP/R1BQ1R1K w - -,d3e2
r4rk1/ppp1ppb1/6p1/3q4/3P3R/2P1Bb2/PP2QPP1/R3K3 w Q -,g2f3
4rrk1/1p3ppp/p3b3/2P2n2/1P6/P3qB2/3R2PP/1NQR3K b - -,e6b3
r1r3k1/3n1pb1/q2p2p1/p2Pp1Pp/PpN4P/1P1N1P2/1Q3B2/2R2RK1 b - -,e5e4
8/6b1/7p/6p1/2K3Nk/5P1P/8/8 b - -,h4g3
2r2bk1/1q1n1p1p/pn1p2p1/1ppP2P1/5P1Q/1PBPr3/P2N2BP/R4RK1 w - -,a1e1
8/7K/6q1/2k5/8/8/8/8 w - -,h7g6
2krr3/ppp1bppp/8/8/1P5n/P3P1N1/1B3PPP/R4RK1 b - -,e7f8
3rr1k1/2p2p2/q1pP2p1/p1n4p/2Pb1P1P/1PQ3P1/P5BK/3RR3 w - -,e1e8
r3q1k1/1p1b2bp/p2p4/2pP1p2/Pn2nP2/2N2N1P/1P2QBP1/R4BK1 w - -,c3e4
8/8/3k3p/5R2/1r3P2/8/6KP/8 b - -,d6e6
8/8/1p2kp2/p3b1pp/2K1P3/1P3P1P/P2B2P1/8 w - -,d2e3
r1q1r1k1/pp2ppbp/n1pp1np1/8/2PPP3/1PN2NP1/PB2QPKP/3R1R2 b - -,a6c7
r1rq2k1/5ppp/1ppn1n2/1P1p4/PB1Pp3/1Q2P2P/5PP1/R1R2BK1 b - -,c6b5
r3r1k1/pp1q1pp1/2n2b1p/3pp3/8/1BPP1PBP/PP3P2/R3RQK1 w - -,f1g2
r1b2r2/2pqn1kp/p2ppnp1/Np3pP1/3PP2Q/P1N2P1P/1PP1B3/3R1RK1 b - -,f6h5
6k1/5p1p/3n2p1/2Q5/5P1P/5BP1/1q6/6K1 b - -,d6f5
8/k1r3p1/Pb3p1p/1p1BpP1P/1P2P3/3K4/R7/8 w - -,a2g2
2qr4/6r1/p3Qbkp/2p2p2/4pBP1/2P5/1PB2P2/4R1K1 w - -,e1e4
2R3br/1k3pp1/1p2p3/2p1PP2/8/1B6/PP4PP/6K1 w - -,c8f8
2rqrbk1/pb3ppp/1n3n2/2pp4/7N/1P4P1/PB1NPPBP/1QR1R1K1 w - -,b1a1
3rr1k1/2p2pb1/5qpp/1pBb4/1P1P4/3Q3P/2B2PP1/R3R1K1 b - -,f6g5
rn3rk1/1bq2pb1/pp1p1npp/2pP4/P3PP2/2N3PN/1P4BP/R1BQ1RK1 b - f3,b8d7
8/2q2pk1/p1rp2p1/3Q3p/1P1R3P/4P1P1/P4PK1/8 b - -,g7g8
6k1/pp3q2/2pPrp1p/8/3N2Q1/8/PP5P/6K1 b - -,f7g7
r4rk1/1bq2pp1/p2p4/1p2nR2/4P2p/P1NB4/1PPQ2PP/5R1K b - -,c7e7
1r1q1r1k/1b5p/p2p1bp1/PppPpp2/2P1P3/1P3P1N/3Q2PP/R3RBK1 b - c3,b5b4
1r3r2/pp2N1kp/1q1Pn1p1/2p1Pp2/2Q5/P7/1P4PP/3RR1K1 b - -,e6d4
3r4/6k1/1p2bp1p/pP2p2p/P1n1N2N/6R1/5PPK/3qQ3 b - -,g7f7
1N4k1/2r2pp1/p2p3p/2r1p3/2P2n2/P4P1P/3R2P1/2R3K1 w - -,g2g3
5r2/bb5k/5q1p/2P1R3/6Q1/3N2P1/P4PP1/6K1 b - -,b7c8
b2qr1n1/5pbk/3p2pp/1pnPp3/2p1P3/2P1N1NP/1PBBQPP1/R5K1 b - -,h6h5
4rrk1/pp4bp/3p3q/7n/1P2bp2/R4NP1/P4PB1/2Q1BRK1 b - -,a7a6
r1r3k1/1b3p1p/5p2/pP2n3/R7/2p2P2/2BKN1PP/7R w - -,e2c3
6k1/5p2/p5p1/2pQ3P/3p4/P2PbNP1/2P1qPK1/8 b - -,e2f2
r3rnk1/pp3ppp/2pqbn2/3p4/3P4/2NBPN1P/PPQ2PP1/1K1R3R b - -,a8c8
8/5K2/8/4kP2/1B6/2pp2r1/P7/8 w - -,b4c3
8/2pk2pp/p2n1p2/N1pR1b2/2P5/1PN2P1P/P5PK/5r2 b - -,f5e6
6k1/5p1p/2rR4/1Q2p1b1/p3P3/PbBK4/1P5P/8 b - -,c6d6
r2qkb1r/pp1n1ppp/2p1pnB1/8/3P1B2/5NN1/PPP2PPP/R2QK2R b KQkq -,h7g6
8/6pk/2q4p/p1rp1p2/4rP2/1P4P1/P2R1Q1P/3R2K1 w - -,d2d4
6k1/5p1p/2Br2p1/1p6/1p4P1/1Pn4P/P1R2PK1/8 w - -,c6f3
2r2rk1/pp2ppbp/2n3p1/q2p1b2/3PN3/1PP2NP1/PB3PBP/R2QR1K1 b - -,f5e4
1b6/3k1p1p/2p1p1p1/p7/P2PB3/2P3P1/4PPKP/8 b - -,b8c7
r3k2r/1bqpbppp/p1n1pn2/1p6/3NP3/P1NBB3/1PP2PPP/R2Q1R1K w kq -,f2f4
5k2/6p1/p7/2p3NP/8/2K5/8/3b4 b - -,f8e7
r1r5/3qn1kp/p1p3p1/1p1pPp2/PP1P1P2/2R3P1/1Q2B1KP/2R5 w - b6,c3a3
1R6/8/5K1P/5p2/1p3k2/4r3/p7/8 w - -,b8b4
2r1rb2/1p1n3k/pn1Rp1p1/7p/1PP2P2/1N2B1PP/P3B3/4R1K1 w - -,d6b6
rnbq1rk1/ppp2pbp/5np1/4p3/4P3/2N1BN1P/PPP2PP1/R2QKB1R w KQ -,d1d8:f1c4
2br4/r4kpp/2n5/ppNNPp2/5P2/6P1/PP1R3P/1K1R4 b - -,b5b4
2rb1rk1/p4ppp/4p3/1p1p4/1P1P4/2P3P1/P2B1PP1/R3R1K1 w - -,a2a4
6k1/3R2p1/4p3/8/3B2r1/r7/8/5B1K b - -,a3f3
rr1qnbk1/p2b4/1P1p2n1/1NpPp1pp/1PP1Pp2/2NQ1PP1/R4BBP/1R4K1 b - -,a7b6
3rr1k1/1bq2pbp/pp2pnp1/2np4/2P1PP1Q/2N2N2/PP1B2PP/1B2RR1K w - -,c4d5
8/1n3k1p/2b5/pp1pP2N/2pP4/B1P4P/2P2K2/8 b - -,b7d8
r1bqk2r/pppp1ppp/2n2n2/2b5/2PNp3/1P6/PB1PPPPP/RN1QKB1R w KQkq -,e2e3
8/8/8/6p1/4r1k1/5P2/6K1/8 b - -,g4f4
2r2rk1/pp3p1p/6p1/2N5/1nB1N1b1/b7/P1P2PPP/1R3RK1 w - -,e4f6
8/2b5/4k3/7p/1p2P1p1/1P1K2P1/2P2B2/8 b - -,c7d6
8/3k4/p2b4/P7/1P3RP1/3K4/2N5/6r1 w - -,f4d4
2r3k1/1b3ppp/8/2B1bP2/2B1P3/8/P5PP/3R2K1 w - -,d1d7
8/Bq3k2/1p1b2p1/1Q1p1p2/2nP4/5P2/2R5/7K w - -,c2e2
3q4/3P2k1/2P1B3/4p1p1/P3P2p/3R4/6PK/8 b - -,g5g4
8/8/8/1K6/R7/2r5/pk6/8 w - -,b5b4
k2q1nrr/1p6/p3pP1b/3p1pNQ/2pP3P/P1P3P1/1P4K1/2B1R2R b - -,d8f6
8/6r1/p1P1p3/Pp1b1p1p/1P5P/5P1K/5k2/2R2N2 b - -,g7g1
2rq1rk1/pb1n1pp1/1p2pn1p/8/1bBP3B/2N2N2/PP2QPPP/2RR2K1 b - -,b7f3
8/6k1/1PR2pp1/1r5p/3K3P/4P3/5P2/8 w - -,c6c7
r1bqk2r/pppp2pp/2n2n2/4pp2/1bP5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -,b4c3
3r2k1/p1b2p1p/6p1/2pP1bQ1/2B1q3/1PP3P1/5R1P/2B3K1 b - -,d8f8
5k2/8/6p1/3P3p/1r2PP2/8/R5K1/8 w - -,d5d6
r1bq1rk1/ppp2ppp/2nppn2/8/2PP4/5NP1/PP1BPPBP/R2Q1RK1 b - -,e6e5
r1bq1rk1/pp3ppp/8/4n3/3b1B2/2N3PP/PP3PB1/R2Q1RK1 b - -,e5d3
r1bq1rk1/ppp1p1bp/5np1/3P4/2P1PB2/2N5/PP3PBP/R2Q1RK1 b - -,f6e4
6k1/p2r1p1p/r2P1p1b/2PR1R2/P7/3K2B1/6PP/8 b - a3,g8f8
3n2k1/p3r3/2p4q/3p4/3P1pP1/P2Q1N2/2R1KP2/4R2r w - -,e2d1
5rk1/1q1n1pb1/3p2p1/4p1B1/2B1b3/2P1NQ2/1P3P1P/R5K1 w - -,f3g4
4r1k1/1p3p1p/p4Qp1/6P1/8/2B5/PPP3KP/3q4 b - -,d1c2
r1b2rk1/pp2qppp/2pp1n2/4n1B1/4P3/2NB4/PPP2PPP/R2Q1RK1 w - -,h2h3
2r1r1k1/1ppn1pp1/p1npq2p/3N4/2PpP3/5N1P/PP3PP1/R2QR1K1 w - -,f3d4
r1r5/4pk2/6p1/3P1b2/Pn2pP2/1P2K1RP/8/2N3R1 b - -,b4d5
r4qk1/1p1r1pb1/2p4p/p1n1pbpN/2PnP3/4B2P/PP3PP1/1BQRR1K1 w - -,e4f5
8/p4pkp/1p4p1/2n5/8/2N5/P2r1PPP/1RR3K1 w - -,c1d1
3r1r2/1p2b1k1/p1p1q1p1/4Pp2/P1nP1P2/2P3RP/4Q1B1/R3B1K1 b - -,b7b5
r2qr1k1/pb2bppp/1p2nn2/4N3/2p5/1PB2NP1/PQ3PBP/R4RK1 b - -,c4b3
8/6p1/4kn1p/8/5P2/1K4P1/8/1B6 w - -,b1g6
5bk1/q4p1p/5np1/pB1n4/PrN5/2p1P2P/5PPB/Q1R3K1 b - -,a7c5
2r3k1/1qrbn1p1/pp2p3/3pPnPP/PP3NR1/3Q4/3B2P1/RB4K1 w - -,f4g6
5rk1/2bn2pp/r1p1b3/pp3p2/3Pp1P1/P1P1P2P/1PNKNRB1/5R2 b - -,f5g4
6k1/3b3p/3bp1p1/p2p1p2/1p1P1P2/nP2P1P1/PQq4P/2N1BBK1 w - -,b2c2
5rk1/5p2/1p2p1p1/p3qnQp/1n2N3/5BP1/1P3P1P/3R2K1 w - -,e4f6
8/3qn1bk/5r1p/1pR1ppBQ/pP1p4/P2P3P/B4PP1/6K1 b - -,f6f8
3q2k1/ppb2p1p/2p1p1n1/2P5/1P1BnP2/P4NPP/1Q3PBK/8 b - -,d8d5
4b3/8/2k5/7p/4N2K/5P2/6P1/8 w - -,e4f6
3R4/8/8/1p1k3p/1P4p1/2PK2P1/6r1/8 b - -,d5e6
r1bq1r1k/ppp1n1b1/3p2pp/1P2pp1n/P1P5/1QNP1NP1/4PPBP/1RB2RK1 w - -,c1a3
8/3Q4/5rkp/1p1B3p/4P3/1Pr5/5PPK/2q5 w - -,d7e8
5rk1/3bbppp/1q2p3/rP6/3pPN2/3P2PP/5PB1/1R1Q1RK1 w - -,e4e5
8/8/4pk2/P4p1p/3q3P/6Q1/5PPK/8 b - -,f6f7
r3qrk1/3b1pb1/n2p1npp/pp1Pp3/4P1P1/P1N1B2P/1P1NBP2/R2QK2R w KQ b6,a3a4
2kr1b1r/pp3p1p/4nnp1/5p2/2BN4/P1P4P/1P1B1PP1/1R2K2R b K -,e6d4
r5k1/ppp1rpp1/2np1n1p/5q2/3P4/2P1B2P/PP2BPP1/R2QR1K1 b - -,a8e8
r4r1k/pp2bppp/2np4/3Qpq2/2B2P2/2P5/PP4PP/R1B2RK1 w - -,c1e3
8/p4pk1/1p6/6b1/2N1K2p/P6P/1P2R1P1/1r6 b - -,b6b5
3r1r1k/1bq2ppp/3p1P2/2n1p3/ppP1P3/1P2QB2/P2R1NPP/5R1K b - -,f8g8
5rk1/pp3ppp/1q6/8/3PnP2/P7/BB2Q2K/8 w - -,a2b1
2rr1k2/p3p1bp/4npp1/1p6/1P1B2q1/1Q1PPNPb/4P2P/3RR1KB w - -,d4a7
r4rk1/4qppp/b3pn2/p5B1/N2P4/P7/1P3PPP/R2QR1K1 b - -,h7h6
6k1/5r1p/8/1pNQ4/1P1Pp3/6PK/8/2q5 w - -,d5a8
r2q1rk1/ppp2pb1/2npbnpp/8/2Pp4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,f3d4
R1n4r/5kb1/1p4pr/2pPp3/2P1Pp1P/5P2/3NKB2/7R b - -,g7f6
4r3/1b1p3k/6p1/1p1P1p2/2N3P1/P1B4P/1P1R1PK1/8 b - -,b5c4
rnb1kb1r/pp1ppppp/5n2/2pP4/4PB2/2qB4/P1PN1PPP/1R1QK1NR b Kkq -,d7d6
8/3k1p1p/1n4p1/pp2PpPP/2pKP3/P7/1P2B3/8 w - -,e4f5
B6r/4kpp1/p6p/5p2/8/6P1/PP2nPKP/R4R2 b - -,h8a8
r1bqkbnr/pp4pp/3p4/2p1pp2/3nP2N/2NP2P1/PPP2P1P/R1BQKB1R w KQkq -,c3d5
2rb1rk1/1b1q1ppp/2p1pn2/ppPp4/1P1P4/2N1P3/PBQ1BPPP/3R1RK1 w - a6,a2a3
1r6/p2q1k1p/2p2pp1/Q2p2b1/3P2P1/1P4NP/P3RPK1/8 b - -,g5f4
r1bqkb1r/1p3ppp/p2ppn2/2n5/3NP3/1BN1BP2/PPP3PP/R2QK2R b KQkq -,b7b5
r3qrk1/pp4pp/2b1p1n1/5p2/1bPP4/3Q1NP1/PBB2P1P/3R1RK1 w - -,d4d5
r5q1/p3Q1p1/6k1/3p2P1/2p1pR2/2P5/P4PP1/4K3 w - -,e7d6
8/8/2p5/1p2p3/1b2Ppk1/1P6/1PK1N1P1/8 b - -,b4c5
5qk1/1p3n2/p1p3p1/2P2b2/2N4p/1P4bP/P3Q1B1/5R1K w - -,c4e3
r2q1rk1/5pbp/pp4p1/3bp3/P1P5/3QB2P/1P1N1PP1/R2R2K1 b - c3,d5c6
6k1/1b2b2p/p1q2pp1/1p1np3/4N3/PPnBPN1P/1BQ2PP1/6K1 b - -,c3e4
4n1k1/pp1b4/6pp/3p1p2/3Pp2B/1P2P3/P3BPPP/4K3 b - -,g8f7
3rr1k1/5pp1/1p2b1np/1q2b3/5n2/Q3N1N1/1PB2PPP/2BRR1K1 b - -,d8a8
8/8/6RK/4k2P/8/8/7r/8 w - -,g6a6
6r1/p3br1p/1p2kp1R/4p3/7B/2P2RP1/PP2K2P/8 b - -,g8g6
4r1k1/1p4b1/2b3p1/2Pp1p2/3Pnq1p/1Q3NnP/R4RB1/3N2K1 b - -,e4f2
r5k1/2q3pp/1p2b3/4p3/1QPpP3/rP1R2P1/6BP/5RK1 w - -,f1f8
2r5/4kpp1/4p3/p1n2bP1/1pB2P2/1P2RN2/P1P5/2K5 b - -,f5e4
5nk1/5ppp/pqbp3P/1r4P1/1p1R1P2/1N2Q3/PPP3B1/1K6 w - -,g2c6
r1b2rk1/ppq1bpp1/2p1n2p/4p2n/4P3/P1N2N1P/BPP1QPP1/R1BR2K1 w - -,a2e6
2r3k1/p1q2pp1/1p2p2p/3n4/3N4/2P4P/PP2QPP1/3R2K1 b - -,c7c4
8/r2nqknR/3p1p2/1B1Pp1p1/N2bP1P1/5PK1/3Q4/2R5 w - -,d2h2
6k1/3nbp2/3pp3/6pp/1N2P3/q3BPP1/P1Q3KP/8 w - -,c2b3
r1bqrnk1/pp2bppp/2p5/3p2n1/3P1B2/2NBPN1P/PPQ2PP1/R4RK1 w - -,f3g5
8/5pk1/3p4/1N1P2p1/2n1P3/5bPP/R5BK/2r5 b - -,f3h5
rn1qkb1r/1b3ppp/p3pn2/1p6/3NP3/1BN5/PP3PPP/R1BQ1RK1 b kq -,b8c6:b8d7
r3qrk1/1ppb2bp/1n1p2p1/p1nPpp2/1PP1P2B/P1N4P/2QNBPP1/1R2K2R b K -,a5b4
1k4K1/1P6/8/8/4B3/8/8/8 w - -,g8f8
r1b5/ppb1q1kp/5pp1/3B4/2N2P2/Q3P3/P4P1P/3R2K1 b - -,g7f8
2q1r3/5k2/p3pnpp/1p1n1p2/3N4/P1P3B1/1P1QR1PP/7K b - -,f6e4
1k1r4/ppp2ppp/5b2/1P1Rq3/P6P/1Q2BP2/2P1KP2/7R b - -,e5d5
1r1qr1k1/5pbp/3p2p1/8/2QNb1N1/2B3PP/PP3P2/4R1K1 w - -,e1d1
8/8/4p1p1/3pPk1p/2b2P2/p1K3P1/8/4R3 b - -,a3a2
r7/pn2b1p1/1p2kp1p/4p2P/8/P1N1P1B1/1PK2PP1/7R w - -,h1d1
r1bq1rk1/1p2ppbp/n1p3pn/p2p4/P4P2/3PPNP1/1PP3BP/RNBQ1RK1 w - -,d1e2
8/7p/8/5P2/pk2R3/1p6/7r/1K6 b - -,b4a3
rnbqk2r/pp3pb1/2ppp2p/6p1/2BPP3/2N1nN1P/PPPQ1PP1/R3K2R w KQkq -,d2e3
8/prk2p1p/R1p1p3/1r4p1/RP1P2P1/2K4P/1P3P2/8 b - -,c7d6
r2r4/5k1p/p1n5/1pBp2p1/4Ppb1/8/PPPR2BP/2KR4 w - -,e4d5
rn2kb1r/pp1qpppp/8/2pn4/5P2/5N2/PPPP2PP/RNBQK2R w KQkq -,e1g1
r1bqk1nr/pp2ppbp/2n3p1/2pp4/5P2/5NP1/PPPPP1BP/RNBQ1RK1 w kq d6,d2d3
5k2/1P3p2/2Q1p2p/4q3/p7/6KP/8/8 w - -,g3f3
r5k1/1p3ppp/p1prn3/4R3/4P1B1/P6P/1PP2PP1/2K4R w - -,g4e6
r2qr1k1/4npbp/2p1p1p1/pbB5/2p1PP1Q/2N2N2/PPP3PP/R3R1K1 w - -,a1d1
q1r3k1/p5p1/1pb1p2p/3n1p2/Q5R1/P3P1P1/1P3P1P/2R2BK1 w - -,g4c4
1r1q2k1/1b1r2b1/1p4pp/2p1pn2/2P1N3/1R1P2P1/5PBP/2BQ1RK1 b - -,f5d6
1k6/1pqnbpp1/p1n1p1b1/2ppP3/5BP1/1BPP1NN1/PP2QP2/7K b - -,b8a7
r2qk2r/pp1n1ppp/3bpnb1/2pp4/3P1P2/1P1BP1N1/PBPN2PP/R2Q1RK1 b kq -,a8c8
rn1qkb1r/ppp1p1pp/5n2/3p1bB1/3P4/2N2N2/PPPQ2PP/R3KB1R b KQkq -,e7e6
r1bqr1k1/1ppnbpp1/p4n1p/3p2B1/3P4/2NBP3/PPQ1NPPP/R4RK1 w - -,g5h4
1k6/1p6/2p1bp2/P5pp/3rP3/b1N3PP/8/1R3BK1 b - -,a3b4
1r1qk2r/1bpn1pb1/p3pnp1/6Np/Pp1PpN1P/1B2BP2/1PPQ2P1/R3K2R w KQk -,g5f7
r1b2rk1/p1p1qppp/1bp5/8/2Q1p3/1NP3P1/PPK4P/R1B1R3 b - -,e4e3
R1R2rk1/4b1pp/4pp2/8/1r1P4/4B1P1/1P2PP1P/6K1 w - -,c8f8
rn1qkb1r/6pp/b1p1pp2/p7/PnpPP3/Np3NPB/1P3P1P/R1BQ1RK1 b kq -,b4d3
r1bqkb1r/1pp2p1p/p1np1np1/4p1B1/B3P3/2PP1N2/PP3PPP/RN1QK2R b KQkq -,f8g7
r6k/p4p1p/1p3pr1/2p4R/8/P1P1q2P/1PQ3PK/5R2 w - -,f1f6
r1bqr1k1/1p3pb1/p2p1npp/2pPn1B1/P3P3/2N4P/1PB1NPP1/R2Q1RK1 w - -,g5c1
8/4kppp/4pn2/8/NR6/4P3/1P1r1PPP/5K2 w - -,b4b7
4rrk1/p1p3pp/3p1n2/3q4/8/4pP2/P1Q3PP/R1B1R1K1 b - -,e3e2
8/5q2/2Q3p1/5p1p/4p2P/3k2P1/5P2/6K1 w - -,g1g2
3r1rk1/pb1n1ppp/1p2pq2/1NppNn2/P1PP4/1P2PPP1/1Q4BP/R2R2K1 w - -,e5g4
8/p7/1n6/N1p5/2Pk4/1P6/6Kp/8 w - -,a5c6
2r3k1/1p2bp2/p4pp1/8/P1P1N3/4P3/5PPP/2R3K1 b - -,f6f5
r1bq1rk1/ppp2ppp/2nppn2/8/2PP4/P1Q2NP1/1P2PP1P/R1B1KB1R b KQ -,e6e5:f8e8
r1b1rnk1/1p2qppp/p1p5/3p4/3P2N1/2NBP3/PPQ2PPP/2R2RK1 b - -,c8g4
6k1/5p1p/3bp1p1/3p4/3P4/rp2P2P/5PP1/RR4K1 w - -,a1a3
rnbqkb1r/pp3ppp/4n3/3pP3/3p4/3B1N2/PPP3PP/RNBQ1RK1 w kq -,d1e1
3r4/6p1/8/5p1p/1k5P/4P1P1/pK3P2/R7 w - -,b2c2
