8/5p2/4pk2/7p/4KPp1/r5P1/4R2P/8 w - -,e2g2
3r2k1/pp3rp1/2p1p2q/3pP1p1/3P1nP1/1P3R1P/P1PQ2BK/3R4 b - -,d8f8
8/5k1p/p1p5/1p1n2p1/P2PR3/2P3bq/1P5P/R1BB2K1 w - -,h2g3
2rq1rk1/6bp/Bp2p1p1/3b4/PP1N4/4B2P/4QnP1/R3R1K1 b - -,d8h4
r3r1k1/3bqpp1/p2p1nn1/2pP4/7p/2NBP2P/P3QPPB/2R2RK1 b - -,a6a5
q6k/p2nb2p/Qp2p3/2ppP3/2PP1pr1/PP2PN2/1B5P/5R1K w - -,a6b5
4r3/p1n1q2k/1r4pp/2pp4/2P2PRn/2BQP3/PPN4P/6RK w - -,c4d5
2kn4/3n4/2p5/N1Pp1pp1/1N1Pp3/4P1P1/5PK1/8 b - -,c8c7
r2q1rk1/pb1p2pp/1p6/4pp2/1PP1n3/PN2PB2/5PPP/R2QK2R b KQ -,d8g5
r2qr1k1/5p1p/ppn1b1pb/3p1n2/N2Pp3/BP2P1P1/P1NQ1PBP/R1R3K1 w - -,g2f1
r3r1k1/2R2pp1/4p3/p1BbP3/1p5q/4QP1P/6P1/R5K1 w - -,g1h2
rn1qk1nr/p2bppbp/3p2p1/1p6/2pPPP2/2PBBN2/PP4PP/RN1QK2R w KQkq -,d3c2
2R5/p5bk/1p3Rp1/n4pQ1/3q4/6PP/P4PB1/6K1 b - -,g7f6
R7/8/1pnk4/8/6B1/1P1K1P2/P5P1/2b5 b - -,d6d5
r2q1rk1/2pBnppp/pp2P3/8/4bPP1/1N5P/PP6/R2Q1RK1 b - -,e4d5
rnbqk2r/pp2bppp/3p1n2/2p1p3/2B1PP2/1P1P4/PBP3PP/RN1QK1NR b KQkq f3,e5f4
8/6k1/3p1np1/2pPp3/1pP1P2K/pP4P1/P4N2/8 b - -,g7g8
r3k2r/pp1np1bp/2p1p1p1/4P3/2P2P2/2N1B3/PP4PP/R4RK1 b kq -,e8g8
r1b2r1k/ppp2qb1/3pn1pp/1P1N1p2/2PPpP2/4P1P1/P2QN1BP/1R3RK1 w - -,g3g4
r1b1rnk1/1pp3pp/2p2p2/p1b2N2/4P3/1PN2P2/PBP3PP/3RR2K w - -,g2g4
8/5pk1/8/4p2p/PQ5P/5PP1/7q/5K2 w - -,b4e1
1r4k1/p2n1ppp/2pNR3/8/3P1Q2/q5P1/2B2P1P/6K1 b - -,f7e6
2B3k1/2R2p2/3r2p1/7p/2p4P/4P1P1/3n1PK1/8 b - -,g8f8
8/2N2kb1/1p1p4/p6p/2P3p1/1P3nB1/P1r4P/5R1K b - -,g7e5
2r2r1k/7p/5pp1/3Pp3/2p1P3/1q5P/1PQ1N1P1/5R1K w - -,c2d2
8/8/8/6pk/R6p/3r4/6PK/8 w - -,a4a5
4k3/8/3Kp3/7p/5P2/3pr3/6R1/8 b - -,e3e2
4b3/2r2pkp/6p1/rp6/2p5/P1R1PB1P/1R3PP1/5K2 w - -,f1g1
r1b1r1k1/pp2ppbp/2p3p1/2n4q/2P5/Q2PBNP1/P3PPBP/1R3RK1 b - -,c5a6
r1bqkbnr/p4p1p/2p1p1p1/2pp4/4PP2/2NP1NP1/PPP4P/R1BQK2R w KQkq -,b2b3
r2r4/1b1p1Np1/p2k2Bp/1p6/3nP3/2P5/P1P2PPP/3R2K1 b - -,d6c7
rnbqk1nr/pp3ppp/1b6/3p4/8/1NP2N2/PP3PPP/R1BQKB1R b KQkq -,g8f6
3r4/8/4B1k1/2R5/4P1p1/3P2P1/6K1/8 w - -,c5d5
r2r2k1/1p2bpp1/1qp1p1p1/6Pn/p2PPn1P/5N2/PPQB1P2/2KR1B1R w - -,d2e3
r1bqrbk1/5ppn/p2p3p/1ppPpN2/2n1P1P1/2P2N1P/PPB2P1K/R1BQR3 b - -,c4b6
4q1k1/1p3ppp/p1b1r3/P2p4/3B4/2P2PP1/1P1Q3P/3R2K1 b - -,h7h6
r2r2k1/1q2bppp/1n1pbn2/pp2p1B1/4P3/P1NN1B2/1PPQ1PPP/R2R2K1 w - -,b2b3
r3r1k1/3n2bp/1np3p1/pp1p1q2/3P4/1PNN1P2/P2Q1BPP/4RRK1 b - -,b5b4
rnbqkb1r/ppp1pp1p/6p1/3n4/4P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq e3,d5c3
r3k2r/ppp2pp1/3p1q1p/2bbp3/2P1P3/3Q1N2/PPP2PPP/R4RK1 w kq -,c4d5
6k1/3nq3/1p4r1/p1pPpRp1/P1P1P1Q1/3K4/3B4/8 w - -,d2g5
rn1qk2r/pp3ppp/2pbpn2/5b2/2BP1B2/4PN2/PP3PPP/RN1Q1RK1 w kq -,f4d6
r2qkbnr/1p3ppp/p1n1b3/1N2P3/5B2/5N2/2P2PPP/R2QKB1R w KQkq -,d1d8
2rq1rk1/1b2bpp1/p3p3/1p2P3/3N3p/4B2P/PPP1Q1P1/1K1R3R b - -,d8c7
8/5r2/2n1pp1R/p1kp4/2p5/P1r1PBP1/5PK1/R7 w - -,h6h8
r1r3k1/5p1p/pnnbp1p1/1p1p4/3P1P2/P1P5/1PN1B1PP/2B1RRK1 b - f3,h7h5
5k2/3R4/4p1p1/1B3p1p/2P1r3/8/P4P1P/5K2 w - -,c4c5
r4bk1/pp3ppp/1np3b1/q7/4r1P1/1Q3N1P/PP1BPPB1/2RR2K1 b - -,a5a4
r1bqr1k1/1p1n1ppp/2pb1n2/3pp3/p3P3/PP1P1NP1/1BPN1PBP/R2Q1RK1 w - -,b3b4
r1bq1rk1/ppn3bp/3p1n2/3PppB1/1P6/P1NB1P2/2Q1N1PP/R4RK1 b - -,d8e8
6r1/1ppn1r1k/p1q4p/P2b1p2/3PpQ1B/R1P1N1PP/2P2P1K/1R6 b - -,d7f8
8/2kb4/3b2R1/4n3/8/4P2B/5P2/6K1 w - -,g6g7
2r5/p2r1p1k/2p3pp/8/1PR5/5P2/P5PP/2R3K1 w - -,a2a4
1rbr2k1/p5bp/3p4/2pnpP2/1p3p2/3N1R2/PPPBB2P/R5K1 b - -,c8f5
1Q6/5ppk/4n3/8/7P/4PP2/PPqr1BK1/5R2 w - -,b2b4
2rr2k1/1b2qpp1/ppn2n1p/2p1p3/7Q/P1BP1NP1/1P2PPBP/1RR2K2 b - -,c6d4
r4nk1/2pn1qp1/b4p1p/p2Pp2P/2N1P1P1/B1P5/P4QB1/1R4K1 w - -,c4e3
r1bqk2r/ppp2ppp/2n2n2/3pp3/3PP3/2P2N2/PP3PPP/R1BQKB1R w KQkq d6,f3e5
1r1q1r2/2n1ppkp/3pb1p1/2P5/p7/5NP1/2Q1PPBP/R4RK1 b - -,e6b3
8/2k5/8/Q3Pp2/5P2/Pb5P/2p3PK/3q4 b - -,c7c6
5rk1/6pp/N1rp4/R3pp2/8/8/PPP4P/2K2B2 b - -,g7g5
r1bqk2r/1ppnnpbp/p2pp1p1/8/3PPP2/2NBBN2/PPP3PP/R2QK2R w KQkq -,e4e5
2bq1rk1/pr3pp1/5n1p/2p5/2Pp1Q2/1P1B3P/P3NPP1/R3R1K1 w - -,e2g3
r2q1rk1/1p3ppp/2p2n2/p3p3/P2P4/4P3/1P1QNPPP/R3K2R w KQ -,d2c2
5bk1/5pp1/1Q2p2p/4P3/8/1pB4P/1Pq2PPK/8 b - -,f8a3
r2qk2r/4bppp/p1p1pn2/4p3/8/2N3P1/PPP2P1P/R1BQR1K1 w kq -,e1e5
1k5r/p1pqbnp1/1p4p1/3p1p2/PP1P3P/1NPQP3/1KN3P1/R7 b - a3,f7d6
2r2rk1/p2q1p1p/4p1p1/2PpR3/1P5P/5Q2/P4PP1/4R1K1 b - b3,a7a5
3r3k/rp5p/4PN2/pP3Pp1/P2p4/6P1/6BP/2R3K1 b - -,b7b6
r2qkbnr/ppp1pppp/6n1/3P4/2B2B2/2N2P2/PP3PPP/R2QK2R b KQkq -,g8f6
r1bqkb1r/3p1p1p/p1p2np1/4p3/P3PP2/2N5/1PP3PP/R1BQKB1R w KQkq -,f4e5
8/1bR2p2/p3pkpp/1p2N3/3r1P2/1P6/P5PP/6K1 b - f3,d4f4
r7/8/6R1/3k4/8/5PK1/8/8 b - -,d5e5
3qr1k1/5pB1/1np1p1n1/1p1pP2R/3P3P/1P3P1B/r2Q1P2/1K1R4 w - -,b1a2
3r3r/1k3ppp/8/8/NPb1nN2/4P3/PK4PP/3R3R w - -,a2a3
8/p2P1p1p/6pk/6b1/5N2/P6P/3Q2P1/1q5K w - -,h1h2
1rbq1rk1/2n2pbp/2np2p1/1p2p3/1P1PP3/2N1B1P1/4NPBP/1R1Q1RK1 w - e6,d4d5
r7/2pbkppp/1p6/8/1P1N4/p1P2P2/P4P1P/2KR4 b - -,c7c5
rnbq1rk1/5ppp/p4n2/1pbpN3/5B2/6P1/PP1NPPBP/R2QK2R w KQ -,e5d3
8/p4pk1/1p5p/8/2P2K2/1P6/P1B1rP2/3R4 w - -,d1c1
4n1r1/1p3k2/1p2p3/3p2p1/B5P1/2b2P2/PP6/R3RK2 b - -,c3e1
8/1pp3pQ/q3kp1p/p1P2r2/P7/1P4P1/3r2PP/5RK1 w - -,h7f5
r2qrbk1/3b1ppp/pn1p1n2/1p1Pp3/4P3/2N1B1PP/PPQN1PB1/R1R3K1 b - -,d8b8
rn1qk2r/pb1pbppp/1p2pn2/2P5/2P2B2/4PN1P/PP3PP1/RN1QKB1R b KQkq -,b6c5
rnb1k1nr/ppq1ppbp/2pp2p1/6B1/3P4/2PBP3/PP3PPP/RN1QK1NR w KQkq -,b1d2
r3kb1r/pp3pp1/2pqpnp1/3n2P1/3P4/1BN1BQ1P/PPP2P2/R3K2R b KQkq -,d5c3
2rq1rk1/1b2bp1p/p1n1pnp1/1p4B1/1P1P4/P1NQ1N2/2B2PPP/2R2RK1 b - -,d8c7
rn2kb1r/pp3ppp/1qp1pn2/5b2/3P1B2/1BN5/PPP1NPPP/R2QK2R b KQkq -,b8d7
8/5k1p/p4p2/2P2p2/1PKN1n2/8/7P/8 b - -,f4e6
r3k2r/p2b1ppp/1qp1p1n1/2bpP3/8/1PP1B3/P3BPPP/RN1Q1RK1 w kq -,e3c5
3Q4/1N3pk1/6pp/pp6/8/P2p2P1/1P1n1PKP/4q3 w - -,d8d3
rnbqr1k1/ppp2pbp/3p1np1/4p3/1PP5/3PPN2/PB2BPPP/RN1QK2R w KQ -,e1g1
r2qr1k1/pp1bp2p/5pp1/P3R3/2Pp4/2nP1QNP/2P2PP1/R1B3K1 w - -,e5e1
8/8/3Q1pk1/8/6p1/6P1/2q5/6K1 w - -,d6b8
2b2k1r/2q1bpp1/p3p2p/4P3/1r1Nn2P/6Q1/1PPBN1P1/2KRR3 w - -,g3f4
3r1rk1/1p3ppp/p1pqp3/8/2PPQ1n1/5N2/PP1R1PPP/R5K1 b - -,g4f6
4k3/8/4r3/2n2r2/P1pR3P/B2p4/6P1/4R1K1 w - -,e1b1
5rk1/p5p1/1b5p/5pq1/1r1P2B1/4P1P1/R4P1P/2RQ2K1 w - f6,g4e2
r3r1k1/p2nq1pp/Ppppb3/8/1PP1pP2/2QB3P/3B2P1/R4RK1 w - -,d3e4
8/8/2R2pkp/5p2/7P/4K1P1/8/5r2 b - -,f5f4
3n4/4k3/3R4/PN2ppp1/1P6/5P2/1K2P3/6r1 w - -,a5a6
8/6k1/1p1p2p1/1P2p3/2P1B2P/2b4R/3rnBP1/6K1 w - -,g1f1
rnbqk2r/pp1pp1bp/2p2np1/5p2/2PP4/2N3PN/PP2PPBP/R1BQK2R b KQkq -,d7d6
4k3/2p2p1p/p7/1r2PP2/RbK5/1P6/P4B1P/8 b - -,b4e7
1rbq1rk1/1pp2pbp/p1np1np1/4p3/P1PP4/1PN2NP1/4PPBP/R1BQ1RK1 w - e6,d4d5
3r2k1/4ppbp/p5p1/3Pn3/1Pp1P3/5P2/4BP1P/2RR1K2 b - -,d8b8
r5k1/1p3p1p/p1pnr3/3p2B1/R3pPP1/1PPP4/2P4P/4R1K1 w - -,f4f5
1r6/5p2/8/5p2/5PkP/1p4P1/1R4K1/8 b - -,b8b6
r1bqkb1r/pp2pppp/2n5/3p4/3pnB2/4PN2/PPPN1PPP/R2QKB1R w KQkq -,e3d4
r2qk2r/p1pb1ppp/2p5/2bpP1n1/3N4/5P2/PPP3PP/RNBQ1RK1 w kq -,c1e3:f3f4
3r4/p3kpp1/2prp2p/1p6/6PP/PBb5/K1P5/6RR b - -,a7a5
2rq1r2/1b2ppkp/pp4p1/1B1P4/4PPn1/8/P3N1PP/2RQ1RK1 w - -,c1c8
Q7/1p1bqk1p/1B1p2p1/3Pb3/4PN1P/6P1/5PK1/8 w - -,f2f3
r2r2k1/2q2pbp/p1P2np1/8/1ppB4/5N1P/PP1Q1PP1/3RR1K1 b - -,c7c6
r2r2k1/1p2nppp/p2b3q/3pN3/3P4/PP1Q2PP/1B3P2/2R2RK1 w - -,g1g2
2r2rk1/1b3ppp/pp2pn2/8/Pq1bPB2/2N4P/1P2QPP1/1BRR2K1 w - -,f4g5
4q1k1/2pn2pp/1p1br3/p1p1pr2/P1N5/1P1P1P2/2PB1QPP/4RR1K w - -,e1e2
