8/6pk/2R2p1p/1p6/5PPP/1rP1K3/8/8 w - -,e3e4
7r/5p2/1pR2kp1/p3p3/2P1P1B1/bP2P3/P5K1/8 b - -,f6g5
8/5kp1/q3pp2/8/2bP3p/5P1P/pQ4PK/2R5 w - -,c1a1
r1bqk2r/pp2bpp1/2n2n1p/3p4/2pP1P1B/2P3P1/PP2N2P/RN1QKB1R w KQkq -,f1g2
3q2rn/1pp2p1R/p1kp2p1/4p3/2P1P3/1P1PP1NQ/1P1K2P1/8 b - -,c6b6
6k1/p4r2/1p1p3p/3Nb1p1/1PP3R1/P3PrPP/7K/6R1 w - -,h3h4
4r1k1/5p2/p4Qpp/1q2r3/4R3/4P1PP/P5P1/3R2K1 w - -,d1d7
r4rk1/4pp1p/3p2p1/2pPn3/1qB1N3/1P5P/P1QB1PP1/R5K1 b - -,b4a3
4rr1k/2pq2pp/p1ppbb2/P3p3/4N3/3PB2P/1PPQ1PPK/R3R3 b - -,c6c5
r2q1rk1/ppp1n1bp/3p2p1/2nPp1N1/1PP1Ppb1/2N3P1/P1Q2PBP/R1B2RK1 b - -,c5a6
3n4/ppkb4/4p3/3p1rN1/1PpP1P2/P1P3K1/3B3r/4R3 w - -,g3h2
rn1q1rk1/pp2bp1p/4bp2/4p3/2P5/2N3PP/PP2NPB1/R2QK2R b KQ -,b8c6
8/2N1k3/5p2/2nPrn1p/8/6RP/5P2/5K2 w - -,g3a3
rnbqkb1r/ppp1p2p/3p1np1/5p2/3P1B2/4PN1P/PPP2PP1/RN1QKB1R b KQkq -,f8g7
8/8/p1p5/PbP2p2/1P4k1/4K3/7P/4B3 w - -,h2h4
r1b1qrk1/ppp3pp/2np4/5p2/2P1nB2/2PQP2P/P2NBPP1/R3K2R b KQ -,e4c5
8/8/5n2/5k2/r6N/6P1/4R1K1/8 b - -,f5g5
r1b2rk1/1pq1bppp/p1nppn2/8/3NPP2/2N2B2/PPP3PP/R1BQ1R1K w - -,c1e3
rnbqk2r/p1p1bppp/4p3/3nN3/Ppp5/6P1/1PQPPPBP/RNB2RK1 w kq -,e5c4
3r1rk1/pp3pbp/3p2p1/n2P4/2p1pB1P/2P4R/PP2BPP1/2KR4 b - -,b7b5
8/8/3R2P1/4p3/2p1k3/2P5/r7/2K5 b - -,a2g2
3n1rk1/1pr1b1pp/1q2p3/pb1pP3/3P1P1P/PP3NN1/3B4/RQ2K2R w KQ -,f3g5
3kr3/3n4/2rppp1Q/p7/P1P5/4N1P1/1q2PRK1/3R4 b - -,b2e5
3R4/kp4pp/p1p5/8/2P5/r4NKP/P7/8 b - -,a3a2
R3Bk1r/1p2pP2/1q4p1/8/8/1pP4P/5PP1/5RK1 b - -,h8h5
8/7p/1N4p1/p1p2p2/PkP2P1b/3K3P/8/8 b - -,h4d8
r4nk1/1p2qrp1/3pN2p/3P1pb1/3B4/4P2P/P1Q3P1/1R3RK1 w - -,f1f5
4rqn1/1ppb1pbk/p2p2pp/3P4/3B1Q1P/1PN2B2/1PP2PP1/4R1K1 w - -,e1e8
8/8/8/2p5/2k5/5rb1/1PR5/3K4 b - -,c4b4
2rr2k1/1b2qpbp/p3pnp1/PpppB3/3P4/4PB1P/NPP1QPP1/R2R2K1 w - -,c2c3
rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq d3,g7g6
5k2/7p/8/1p3NK1/2q3P1/2P1R1P1/8/8 b - -,c4c5
1r2r1k1/3bqppp/pn3n2/1p2p3/1b1p4/1P1P1NP1/PBR1PPBP/2RQ1NK1 b - -,b6d5
2rqbrk1/pp2b1pp/2n1pn2/3p2N1/3P1B2/P2B4/1P2NPPP/RQ3RK1 b - -,d8d7
2r2r2/1pqnpp2/p2p1npk/3P3p/1PPQ1P2/P3N1R1/4B1PP/5R1K b - -,e7e6
r4rk1/1bqnppbp/p2p2p1/1p2nP2/3NP3/2P1BN2/PPB1Q1PP/3R1RK1 w - -,f5g6
1r4k1/1p1n1pp1/2pqbn1p/r2p4/P2P4/2NBPN1P/2Q2PP1/1R2R1K1 w - -,b1b2
r3kb1r/pp3ppp/2n5/2Pnp3/6b1/2P1BN2/PP1N1PPP/R2K1B1R w kq -,d2b3
1rb2r1k/1p1p2pp/pN1P4/5p2/4p1P1/8/PP2nPBP/2R2R1K w - -,c1c4
1r2R2k/ppp2rp1/3p1n1p/7P/2P3q1/P2Q2P1/1PB2P2/4R1K1 b - -,f7f8
r1k4r/pp1b1pb1/2p3pn/2P1n2p/2B1PN2/5N1P/PP4P1/2KR2BR w - -,f3e5
4r1k1/2p4r/p2p2qn/1p1P4/3Q1PP1/1P3B2/P4BK1/7R w - -,h1h5
5k2/ppR2p1p/2bp2p1/8/3R2P1/P6P/5P1K/4r3 b - -,d6d5
3k4/Rb2r1p1/2p5/1pPpNPp1/1P1P3P/5K2/8/8 w - -,h4g5
4k3/3n2b1/4P2p/3P1p2/1Br5/2p3P1/P6P/5RK1 w - -,e6d7
3r1k2/pp3pp1/4p2p/8/1PrPR3/P2R2P1/5P1P/6K1 w - -,g1g2
5k2/ppq2pb1/4p2p/8/2P1Q3/4N1P1/P4PKP/8 w - -,f2f4
r1bq1rk1/ppp3bp/2nppnp1/5p2/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,c1a3
r3r1k1/1p2pp1p/3p1qp1/p1nP4/2P2b2/1P2BP2/P4QPP/2R1RB1K w - -,e3d4
r1bq1rk1/1p1nb2p/p1p3P1/3p1p2/3P1Bn1/2NBPN2/PPQ2P2/R3K2R b KQ -,h7g6
5N2/4p3/6p1/3P1k1p/7P/2r2B2/5KP1/8 b - -,c3c4
rnbqkb1r/pp3ppp/2p2n2/3P4/3N4/3p2P1/PP2PPBP/RNBQK2R b KQkq -,f6d5
5k2/8/5K2/r6P/2R1P1P1/8/8/8 b - -,a5a6
3r2k1/1R6/2B1R1p1/p7/P2r3p/6bP/1P2K1P1/8 b - -,d4d2
r4r2/3n3k/1p3n1p/5N2/1P2pP2/P3B2q/6QP/3R2RK b - -,h3g2
4r3/8/pp2pkp1/8/2P5/8/PP2R2P/7K w - -,h1g2
rn1qkb1r/pp3ppp/2p2n2/3p1b2/3P4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
8/2p1k3/1p1b3p/p5p1/P3b3/1P4P1/2PBBP2/4K3 w - -,e1d1
2rq1rk1/p4pbp/2p3p1/1bnp4/5B2/1P4P1/P2QPPBP/2R1R1K1 w - -,c1c5
3q2k1/1r3pp1/p1bpp2p/P5b1/2P1P3/5PBP/R3B1P1/2nNQ2K w - -,a2a1
r1b1kn1r/2q3b1/p2p1ppn/3Pp1Np/P1p1P2P/1pP1BP2/1P1QN1P1/R2B1RK1 w kq -,g5h3
6k1/2p3p1/3p2p1/1P1Pp3/2P1P2n/4P3/2qN1K1P/4Q3 b - -,c2d3
5rk1/1p2b1pp/pqn1p1p1/3nP3/1P4P1/P5QP/5P2/RNB1R1K1 b - -,c6d4
2r1r1k1/p3ppbp/qp4p1/2p5/2nP3P/1QP1PNB1/P4PP1/R1R3K1 w - -,c1d1
8/5k2/2p2p2/3p2p1/2bP4/4PP2/1q2NKP1/3Q4 w - -,f2e1
r2n2k1/1p4p1/p1ppr3/8/4P3/2PQ3P/PP4P1/4R2K b - -,d8f7
6k1/5p2/6p1/1b1N3p/1p2P1P1/1P1n3P/3R2BK/2r5 b - -,h5g4
5b2/1p1r1k1p/2n2p2/1R1p2p1/1r1P2P1/1R3N1P/5P1B/6K1 b - -,b4b3
r2q1rk1/pp2nppp/1np5/8/3PR3/1Q1B1N2/PP3PPP/R5K1 w - -,a1e1
r1bqk2r/pppp2pp/8/4Pp2/1bP1n3/2NB1Q2/PP3PPP/R1B1K2R b KQkq -,e4c3
8/8/p1pk4/8/1PK2Ppp/8/7P/8 w - -,c4d4
r3kb1r/1p2pppp/p1nqb3/1B2N3/2P5/1Q6/P2P1PPP/R1B2RK1 w kq -,b3a4
4k3/7R/R6p/2r3b1/8/1P6/2K5/8 w - -,c2d3
rn1qk2r/pp2bppp/2p2n2/3p1bB1/3P4/2N1P3/PPQ2PPP/R3KB1R w KQkq -,c2f5
3r4/1p1rqkb1/p1p1ppp1/7p/2PP1B1P/1P1RQ1P1/P4PK1/3R4 b - -,g7h8
r3r1k1/pb1n1ppp/1p3n2/2pp4/3P1B2/P1P1P3/3NBPPP/2R2RK1 w - -,a3a4
2r2bk1/p2r1b1p/1pN2pp1/PR2pn2/3p4/3P2P1/1P1BPPBP/2R3K1 b - -,f5d6
r6r/pp1k1ppp/q1nNp3/2pnP2b/4QB2/2PB3P/PP3PP1/R4RK1 b - -,a6b6
rnbq1rk1/pp1pppbp/5np1/2p3B1/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQ -,b1d2
rnbqkb1r/p2p1ppp/4Pn2/1Pp5/8/8/PP2PPPP/RNBQKBNR b KQkq -,f7e6
r3k2r/p4ppp/2p2n2/2bq1b2/3p4/1Q3NP1/PPP1NP1P/R1B2RK1 b kq -,d5b3
8/6pk/3p3p/Np3p2/1P3P1b/4p1P1/1KQ4P/5q2 b - -,h4f6
6k1/R1p2p2/1p2n3/1N3rpp/1PP5/3K2P1/5P2/8 w - -,d3e2
8/4r1k1/p1pN1pp1/P1P5/1r2P3/2q3P1/7P/3QR1K1 w - -,d6c8
r3r1k1/5p2/p1pq2p1/1p5p/3pPR2/1P1P2PP/P1P1Q3/R5K1 b - -,e8e7
r4rk1/b1B2pp1/p7/1p2p3/4P3/2P4P/1PbNKP2/R6R b - -,f7f5
4b1k1/5r1p/1r4p1/2p5/2B5/8/5PPP/R2R2K1 w - -,d1d8
r2qkb1r/pp2pp1p/2p1bnp1/8/2Q5/5NP1/PP1PPPBP/R1B2RK1 w kq -,c4c2
r4rk1/1b2qppp/p7/1p2n3/2pPP3/2P5/P1B1QPPP/2RR2K1 w - -,d4e5
r1bq1bk1/1ppprppp/p1n2n2/4p1N1/4P3/1BPP3P/PP3PP1/RNBQ1RK1 w - -,f2f4
4k1nr/1b1nppbp/p2p2p1/qp4B1/3NPPB1/2r5/PPPQ2PP/1K1R3R w k -,g4d7
rq4k1/5ppp/p3pb2/P7/1p1P4/1N6/1P2QPPP/2R3K1 w - -,c1c6
1q2rr1k/2pb2pp/1b1p1n2/Pp2p3/1Pn1P3/2QN1PP1/4N1BP/R1B1K2R b KQ -,b6a7
rn1qkbnr/1b3ppp/p3p3/1pppP3/5P2/2NP1NP1/PPP4P/R1BQKB1R b KQkq -,h7h5
2kr4/ppbn2p1/2p1p1p1/2P2p2/1P1PNP2/1Q2P2r/P2B1KPq/R6R b - -,h2h1
8/2K2q2/8/1PQ5/8/8/1k6/8 w - -,c7b8
r1bq1rk1/pppnbpp1/5n1p/3p4/3P1B2/2NBPN2/PP3PPP/R2QK2R b KQ -,b7b6
1r1qr1k1/p1nn1pbp/bp1p2p1/2pP4/P7/N1N3PP/1P1BPPB1/R2QR1K1 b - -,d7e5
3rr1k1/1p2q2p/1n4p1/p7/P2RP3/1P5P/6P1/3QRB1K w - -,e4e5
4rb2/7k/pnNpBBp1/2pP2Pp/8/5Q2/3q1P2/R5K1 w - -,a1d1
2r3k1/5pp1/4p1n1/p2pP3/1p1Pr1q1/1P3QP1/P4PKR/7R w - -,f3d3
5k2/1p3pr1/1N6/p3b3/P1P1P1b1/1P1R4/5P1p/4RB1K w - -,f1g2
3rr1k1/pq4pp/1p6/1Pp2p2/2PN1Pn1/P1Q2P2/1B4KP/R3R3 b - -,c5d4
8/5pk1/2p1pnp1/2n5/p3PN1p/P4P2/2BK4/8 w - -,d2c3
8/p3pkb1/4b1pp/1nB1Pp2/5P1N/P4B1P/1P1rR1P1/6K1 b - -,d2d1
8/7p/4k1p1/3p2P1/3P1P1P/1b1BKP2/8/8 w - -,f4f5
r1r3k1/1qpn1pp1/4pnp1/3pP3/p2P4/2B2PP1/PP1Q3P/R2R1BK1 b - -,f6e8
8/8/2p5/pp1k4/4R3/P6r/1KP5/8 w - -,e4g4
3r2k1/p3b1pp/1pBqp3/7n/Q2P4/8/PP3PPP/R4RK1 b - -,e7f6
1r3b2/p2N1pkp/1q2p1p1/4P3/2R2P2/7P/1PQ2P2/6K1 b - -,b6b2
1k1r1b1r/1p1b4/4p2p/Pp1pqppQ/2pN4/2P1P1P1/4BPP1/RR4K1 w - -,a5a6
8/8/1bR5/pP1p2Pp/P3p1rP/5k1K/5P2/8 b - -,b6f2
2r2rk1/ppqnppbp/3p1np1/1P6/3NP3/2N1B2P/PP2QPP1/R2R2K1 b - -,c7c4
7r/5pk1/r1pqpnp1/p2p4/3P1PNp/2P4P/PP3QP1/4RRK1 w - -,f2e2
r5k1/1pP3b1/6rp/p2Pp1q1/1P2P3/P4P1b/3NN1P1/R2Q1BK1 b - -,h3g2
1r2r1k1/1ppb1qp1/p2p3p/3Pnp2/2PRpN1P/2N1P1P1/PP2BP1n/1KR4Q b - -,h2f3
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/3BPN1P/PPP2PP1/RNBQK2R b KQkq -,e7e6
r1q2rk1/p3npp1/1pn1p3/PQPpPbPp/3P3P/4BP2/8/R3KBNR w KQ -,a5a6
r3r1k1/pbq2ppp/1pnppn2/2p5/2PP4/B1PBP3/P2N1PPP/1R1QR1K1 w - -,f2f3
r1bq1rk1/2p2p2/1p1p2p1/p2PpPBp/2P1P3/P1N3PB/1P2Q3/2KR3R b - -,d8g5
r4r1k/pp2p1bp/2nqbpp1/8/1P1P4/4BN2/P2QBPPP/1R3RK1 b - b3,a7a6
6k1/p4pp1/1p2p2p/3pP2P/q1n2P2/P1P1N3/1P3QP1/6K1 b - -,c4e3
8/1p2n3/p2kp1p1/3p2Pp/PP1P1P2/1K4P1/5B2/8 b - -,e7c6
8/2R1k3/3p2K1/7P/8/4r3/8/8 b - -,e7f8
r1b2rk1/pp2qp2/3p1n1p/b1pPn1p1/8/P1NBP1B1/1P2NPPP/R2Q1RK1 w - -,a1b1
1r3rk1/3nppbp/bq1p2p1/p1pP4/4PP2/2P1N1PP/P2QN1B1/2RR2K1 b - -,b6b2
r1bq2k1/p4pp1/2pb1n1p/3p4/5B2/2NB1Q1P/PPP2PP1/3Rr1K1 w - -,d1e1
r5k1/ppp2pp1/1n1p2R1/8/2P5/P1N2P2/1P3P1P/1R5K b - -,f7g6
1k6/8/6pp/R1p2r2/7P/3B4/1r3N2/5K2 b - -,f5f2
1rb1r3/6kn/pq1p2p1/2pP1n2/4NP1p/2N4P/RP2BQPK/5R2 b - -,b6b4
3q2kb/1p3n2/p1p1Qpp1/7p/PPPB3P/5NP1/5PK1/8 b - -,h8g7
8/2p5/1p3pk1/pP2p2p/Pb2N3/2N3P1/2bBK2P/8 b - -,f6f5
8/pp1kr3/4n3/2q3pQ/8/PP4P1/1B5P/4R2K b - -,c5d5:c5c6
8/3R1Q2/6pk/1P4b1/4q1P1/2P5/1P6/K7 b - -,e4a4
1r3r2/p2q1pbk/2np2pp/2p5/P1Q2R2/1P1P2P1/3BP1NP/1R5K w - -,b1f1
8/p3r1k1/4qpp1/2p4p/P1Nb3P/1P1Q1RP1/5PK1/8 w - -,c4e3
r1bq1rk1/p4pbp/2n1p1p1/1pppP3/5P2/5Nn1/PPPP2PP/R1BQRBK1 w - -,h2g3
rn1qkb1r/5ppp/pp2p3/2pB4/P7/3P2P1/1PP1NP1P/R1BQK2R b KQkq -,d8d5
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N2N1P/PP2BPP1/R1BQ1RK1 b - -,e5d4
2rq1rk1/p2bbppp/4pn2/1p1p4/2nP1B2/P1NBPN2/1P2QPPP/R4RK1 w - -,f3e5
3r2k1/4npp1/p3p2p/4P3/r4PP1/8/PR1B3P/5RK1 w - -,h2h3
rnb2rk1/pp3q2/2p1p3/4Bpp1/2BP2n1/P1N2Q2/1PP1R1P1/2K4R b - -,g4e5
2rbr1k1/2q2pp1/p2p1n2/1p1Pp2p/5P2/1N2B1P1/PPPQ3P/1KR2R2 w - -,f1e1
r7/5kpp/1b1n1n2/8/8/P1NB1P2/2P3PP/2K4R b - -,a8a3
r2qk2r/1ppb1pp1/2np3p/p1b4Q/2P2P2/P1NBP3/1P1B2PP/R3K2R w KQkq -,e1g1
1r6/1P2k2p/2R1p1p1/1R6/n4P2/2r2BP1/6P1/6K1 w - -,b5a5
r1bqrbk1/p1n4p/1p1p1np1/1NpP1pB1/P1N5/5BP1/1P2PP1P/R2Q1RK1 b - -,c7b5
5r2/6k1/5q1p/3B4/p1Pn3P/P5P1/1Q3PK1/8 b - -,d4f5
r5k1/pp1R2bp/b4pp1/2B1p3/P1n1N3/2P2N2/5PPP/6K1 w - -,c5e7
4k3/2B3p1/p4p2/1b4p1/1P6/P6P/3r1PP1/4R1K1 b - -,e8d7
2r5/k1r2p2/2qnp1p1/1pNp2Pp/pPNP1P1P/P1P2Q2/4K3/4R2R b - -,d6c4
2r1nrk1/p3qppp/2p5/3p1b2/2pP4/2N1P1P1/PP3PBP/2RQ1RK1 w - -,f1e1
8/3K4/4pk2/4p2p/4P2P/5P2/8/8 w - -,d7e8
6k1/p3R3/1b4p1/r5P1/2P2R2/5K2/8/8 b - -,a5g5
r2r2k1/p2bppb1/1p5p/1Bp3pn/P2P4/2P1PP2/3N1BPP/1RR3K1 w - -,a4a5
6R1/2k5/1p3rp1/1P3p1p/4p2P/1KP3P1/5P2/8 w - -,g8g7
2B5/8/3k4/ppnP3p/3K1Pp1/8/8/8 b - -,g4g3
2r5/2P4p/7P/2k1B3/3R2P1/5b2/7K/8 w - -,h2g3
1r4k1/1rb3p1/2bp1p1p/p1p4P/2PpP1P1/PP1B1P2/1R3K2/1R2B3 b - -,g8f8
3br1k1/1p1n1p2/p2P2pp/4P3/3N1P2/1P6/P4BPP/3R2K1 w - -,d1c1
8/q4p1k/1p4p1/3Q3p/8/1P3PPP/5K2/8 b - -,h7g8
2r3k1/2q1rpp1/pp3n2/3b3B/P3p2p/1N5P/1PP1Q1P1/4RR1K w - -,f1f6
rr6/3q1ppk/1PRNp2p/pQ2P3/1n1P4/1p6/5PPP/2R3K1 w - -,b6b7
5k2/1p3pp1/2n2p2/1PP4p/8/4B2P/4KPP1/8 b - -,c6b4
4r1k1/R4ppp/4n3/8/2rp4/P4P2/3B2PP/1R4K1 b - -,c4c2
5bk1/1p1r1bp1/rq3p2/8/p2pPQ1B/2p2P2/PPP3RP/1KNR4 w - -,c1d3
4rr1k/p5pp/1p1b2q1/3B1p2/2PpR3/3P2P1/P2Q1P1P/R5K1 w - f6,e4e8
3r1rk1/p3ppbp/1p2q1p1/3pP3/3P1Bn1/3N1P2/PP1Q3P/2R2RK1 w - -,f3g4
r1bqk2r/p4pbp/1pn1p1p1/2pn4/3P4/1N3NP1/PPP2PBP/R1BQ1RK1 b kq -,c8a6
2r5/p3q1k1/1p1R2p1/2n1Pp1p/P1p2N2/2r2P2/6PP/3QR1K1 w - -,f4d5
4rrk1/pb1n1pbp/1q3np1/1p2p3/4P3/1P3NNP/P2B1PP1/R1Q1RBK1 w - -,c1a3
1N6/5rkp/4p1p1/8/4R3/4P1P1/2r2P1P/6K1 b - -,f7f2
r2q1rk1/2pp2pp/1pn1pb2/5p2/p1PP4/2B1P1P1/PP1N1PKP/R2Q1R2 w - -,d2f3
8/8/4R3/3p2k1/4n1P1/3K4/4B3/4r3 b - -,g5f4
3r4/pb3k2/1p3pp1/3n1n2/3p4/P3BN2/1P2BPPP/2R3K1 w - -,e3d4
2r1k2r/1p2ppb1/p2pn2p/q3n1p1/4P3/1PN2P1P/PP1Q1BP1/1K1R1B1R w k -,c3d5
6k1/8/p2p2pB/1r3p2/2p1b3/2P4R/PP3KPP/8 w - -,h6c1
r1b1k2r/pp2bppp/1qp2n2/4p3/4P3/2PB3P/PP3PP1/RNBQK2R w KQkq -,e1g1
8/8/2Rp2kp/4p1p1/2P5/4nP2/6rP/4B2K b - -,g2c2
rn1q3r/3pbkpp/p7/4R3/1pP5/6P1/PP3P1P/R1BQ2K1 b - -,b8c6
6B1/1k5p/3r1p2/1p4p1/1n6/R7/P4KPP/8 b - -,b7b6
3q1nk1/6bp/3pp1p1/1pr5/1N1pP3/3P4/PP1QB1PP/1R5K w - -,b1f1
r1bq1rk1/1p3pbp/3p2p1/pP2p3/2PnP3/2N1B3/P3BPPP/2RQ1RK1 w - e6,e2d3
8/2p2ppk/p1Pp3p/1r1r1q2/RP1PQ3/6PP/5P2/R5K1 w - -,e4f5
r1rq2k1/1p1n1p2/p2p1np1/P2Pp1b1/1P2P1P1/2NQ1B2/5PK1/R3B2R b - -,g8g7
3rr1k1/1pq2pbp/2pp1np1/p4b2/2P5/1PQ1P1PP/PB1RNPB1/3R2K1 b - -,h7h5
8/pp6/2n5/3pNk1p/2pP3P/2P1B3/P1b1K3/8 b - -,c6e7
3q4/1p2r1k1/pNp2p2/6pp/PP1Pp1rP/1QR1PnP1/4KP2/R7 w - -,a4a5
rnb1r1k1/pp2ppbp/3p1np1/q1pP4/2P2B2/2N1PN1P/PP3PP1/R2QKB1R w KQ -,d1d2
2bq2rk/7r/p2p1n1n/2pPp1pp/2P1Pp2/1R3P1P/PR2BNP1/1N1Q2K1 b - -,g5g4
r3qbk1/5p1n/1Qb3p1/2N1p2p/p1B1P3/2P2P1P/4N1PK/1R6 b - -,a4a3
3q1rk1/pb3rb1/2nPp3/p1B5/Q1P2Pp1/3P3p/1P2NRNP/R5K1 b - -,h3g2
2r2k2/p3npp1/1p2p2p/3pP3/6P1/3P1P2/PP2RB2/6K1 w - -,g1g2
6B1/7R/3k1p2/p1p1nP1p/8/P1r4P/6P1/7K w - -,h7h6
3r1rk1/2q1b1p1/2p1pp1p/ppnp1b2/5PN1/PP1PP1PB/1BP1Q2P/1R3R1K w - b6,g4f2
rn1q1rk1/pp2ppbp/5np1/2p2b2/2P5/3PPN2/PBQ1BPPP/RN3RK1 b - -,b8c6
rnb1k2r/pp2qppp/2p1pn2/8/2PP4/5NP1/PPQBPPBP/R3K2R b KQkq -,h7h6
2k1rb2/ppq2rp1/2p3Rp/2p1pP1N/4P3/P1QP3P/1PP5/1K4R1 w - -,c3c4
6k1/p5p1/1p6/4p3/2P2n1p/1P1r1P2/P2NR2K/8 w - -,e2f2
r7/2r1kp2/1pbRp2p/p1p1P3/2P2K2/7R/P3P2P/8 w - -,h3h6
1r1qr1k1/5pN1/p2p3p/3Pn1p1/2p1P3/R2bB1PP/1P1Q1PB1/1R4K1 b - -,g8g7
5r1k/pp1n3p/5qp1/2p3N1/2Q2P2/1P4P1/P6P/3R2K1 b - -,h7h6
r3k2r/pp1bbppp/1qn1pn2/8/3N4/1PN1BB2/P1P2PPP/R2Q1RK1 b kq -,c6d4
r1bqr1k1/1p2bpp1/p1n2n1p/3p4/3N4/2N1B1P1/PP2PPBP/2RQ1RK1 w - -,d4c6
6k1/p1qp2pp/1p2pb2/6P1/3PR3/4QN1P/PP3PK1/3r4 b - -,f6d8
r2qk2r/pp3ppp/1npbpn2/6B1/3P4/PBN2Q1P/1PP2PP1/R3K2R b KQkq -,d6e7
8/3r2b1/5kp1/1p1P1p2/4p3/2P4P/1PNR2P1/5K2 w - -,c2a3
r4rk1/p5pp/1p2q3/3bPp2/3Rn3/1P3B2/PB2Q1PP/3R2K1 b - -,d5b7
8/8/4p1kp/6p1/2N2n2/P5KP/2R3P1/r7 w - -,g3f3
3R1rk1/1pr1b1pp/2p1p3/p3Pn2/P7/2N1Q2P/1PP2PP1/4R1K1 b - -,f5e3
2b2rk1/p4pb1/1pB2np1/7p/2P3P1/1PN1q2P/PB4Q1/3R3K w - h6,c6f3
8/4rk2/8/2p3N1/3b4/5p1P/8/4RK2 b - -,f7f6
8/2Qnk1r1/3p4/2pP4/P1P1K3/rP2P3/8/3B4 b - -,a3a1
7R/8/1p4k1/1Kp5/2P5/8/8/1r6 w - -,b5c6
3r4/pp5Q/2p2r1p/2B4k/2P1P3/8/PP5K/8 w - -,c5e3
3r2k1/2r3bp/Q2Np1p1/p1p1P3/5q2/1P3N1P/P5P1/5RK1 b - -,g7e5
r3r1k1/pppb1pp1/2n1pq1p/8/2BP4/P1Q1PN2/1P3PPP/2R1K2R b K -,e6e5
r2q1rk1/p1p3bp/6p1/3ppb2/4NP2/5Q2/PP1B3P/2KR1B1R w - -,e4g3
qr3kr1/3n1pp1/ppbp1b2/4pP2/PPP1P2p/2NB3P/3BQ1PK/2R1R3 w - -,c4c5
r2q1rk1/pp2n1b1/3pPnpp/4p3/1P2p3/2N3P1/P4PBP/R1BQ1RK1 w - -,b4b5
r4rk1/pp1qbppp/2np1n2/2pNp2b/2B1P3/2PP1N1P/PP2QPP1/R1B2RK1 w - -,e2e3
r3rbk1/1bqn1ppp/p4n2/2p1pNB1/Pp2P3/5Q2/BPPN1PPP/3RR1K1 b - -,a6a5
Rrk5/2q2pp1/4p1p1/1p1p4/1PpP1P2/2P3PP/1K3P2/Q7 w - -,a8a7
6k1/r6p/1p3r2/1PpP1Pb1/4q3/1P2p2P/6B1/4RR1K w - -,g2e4
2rq2k1/p4pp1/3r3p/1p1P4/2N5/5QPb/P4PB1/2R1R1K1 w - -,c4d6
2r1kb1r/pp1q1ppp/2npp3/8/4PBn1/2PR1N2/PP2QPPP/RN4K1 b k -,d7c7
3r2k1/pb1q1pb1/1p4pp/2p1p3/7r/2PPB3/PPBQ1PP1/R3R1K1 w - -,e1e2
8/2k2p2/R5p1/1p5p/5r1P/KPP5/P7/8 b - -,f4h4
8/1R3pkp/6p1/2p2p2/3b1P2/1P1r1NP1/5K1P/8 w - -,f2g2
