8/2B5/1Pk1K1p1/5p2/1P5P/6P1/8/3b4 b - -,d1e2
r1b1rnk1/1p4bp/1pp3p1/4pp2/1PP1P3/1NN4P/PK2BPP1/3R3R w - -,e2d3
r3k2r/ppqb2pp/2nbpn2/3p4/3P1B2/3B1NP1/PP2NP1P/R2Q1RK1 b kq -,e8g8
r4rk1/3RRpp1/p7/p1p4p/8/5P2/1PP3P1/2K5 w - -,e7e5
rnbq1rk1/pp2bppp/1np1p3/4N3/2pP1B2/P1N3P1/1P2PPBP/R2QK2R w KQ -,e1g1
r1b2rk1/p1p1ppbp/2p3p1/8/2pq4/6PP/PP2PPB1/R1BQ1RK1 w - -,d1d4
8/6p1/5p1p/2B2P2/1p4P1/1k5P/2n2K2/8 w - -,c5f8
8/4p1bk/2N3pp/2BP1p2/6b1/2pB4/3r1PPP/2R3K1 w - -,c6b4
4rr1k/1p5p/p2p4/1P6/P1P1Qp2/4B1qP/R5P1/6K1 w - -,e3d4
2rqkb1r/p2b1ppp/4pn2/np1p4/3P1B2/P1NBPN2/1PQ2PPP/R3K2R b KQk -,f8e7:a5c4
8/3R4/5k1p/3P2p1/p7/P4nP1/7P/1r3B1K b - -,g5g4
r3r1k1/bpp1npp1/p2qbn1p/4p3/3pP2N/2PP2NP/PPBBQPP1/R3R1K1 b - -,a8d8
1rbqrnk1/1p2ppb1/p2p1n1p/2pP2p1/P1P5/2N1PNB1/1PQ1BPPP/3R1RK1 b - -,f6h5
8/2p1kp2/1p4pp/pPpB4/P2b2P1/2N4P/1P4K1/8 w - -,g2f3
r3k2r/1bq2pbp/pp2p3/n2pPp2/5P2/1P2B1P1/P1PQN1BP/R3K2R w KQkq -,e1f2
1r3rk1/pbn1qppp/1p1bp3/4n3/2P5/1PN2NP1/PB3PBP/1Q1R1RK1 w - -,f3e5
r4rk1/pppn2bp/3p2q1/3P4/2P1PBb1/2N3Q1/PP3PB1/R3K2R w KQ -,h1h4
r7/2p1n2p/6pk/2P5/5QP1/7P/8/6K1 b - -,h6g7
r3kb1r/ppqn1p1p/2p1pp2/5b2/2BP3N/8/PPPBQPPP/2KR3R b kq -,f5g6
4k3/7p/1b1N1p2/1P1R4/2K1nB1P/6P1/8/r7 b - -,e4d6
2r2rk1/4q3/3p2p1/p2P1p2/1p3R1p/3Q3P/PPP3P1/5R1K w - f6,c2c4
8/p2Q2kp/8/PP2q1p1/5p2/4b2P/6P1/4R2K b - -,g7g6
2r5/3q1pkp/1p4p1/1p1n4/1p1Pp3/P1N1P2P/3Q1PP1/2R3K1 w - -,c3d5
8/pp5p/2R5/b2p2kP/3P2P1/1P2pP2/1B2K3/8 b - -,b7c6
2rq1rk1/p2n1ppn/bpP4p/8/1b2N3/1PN3P1/PB3PBP/1R1QR1K1 b - -,d7e5
2r3k1/p4rpp/3pNq1n/2pPp3/1P2Q3/2R2PP1/P5KP/2R5 b - -,g7g5
3R2k1/1p4p1/1np4p/p3r3/4N3/PP3PP1/5K1P/8 b - -,g8h7
rnb2rk1/pp1qppbp/6p1/2p5/Q2PP3/4BN2/PP2BPPP/R3K2R w KQ -,a4d7
8/p5p1/3k1p1p/2n5/2BK4/P6P/5PP1/8 w - -,c4a2
1rbqk2r/2p2ppp/p1np1n2/1pb1p3/P3P3/1B1P1N2/1PP2PPP/RNBQ1RK1 w k -,c1e3:a4b5
r1b2rk1/ppp2pbp/2np2p1/6q1/3P4/1P2PB1P/PBP3P1/RN1Q1RK1 w - -,d1d3
5r1k/1ppq2p1/1p1p1n1p/4p3/rPQ1P3/P3B2P/2P2PP1/R3R1K1 b - b3,f8a8
2rr4/pp4k1/4npp1/4p3/4N1P1/2P1N3/PP3P2/1K5R b - -,e6c5
4r1k1/ppp4p/3p2b1/3P4/2P5/2P4P/PR2Br2/3K2R1 w - -,g1g3
b2q3k/3r1pp1/pQpPp2p/P3P3/8/1P1B4/5PPP/2R3K1 b - -,d8g5
rn1qkbnr/pp1b1ppp/2p1p3/3pP3/2PP2P1/2N5/PP3P1P/R1BQKBNR b KQkq -,c6c5
2B5/1p6/2p2p2/7P/2k4P/4b3/P1K5/8 b - -,b7b5
1r3rk1/2n1qpp1/2p4p/Q2pP3/2b1PP2/P1N3P1/1P4BP/3RR1K1 w - -,d1d2
4rk2/2qp1npp/p4p2/2PQ1P2/3P4/7P/P5B1/5RK1 b - -,a6a5
8/6k1/1p3qp1/p6p/P1Q5/1P3PP1/6PK/8 w - -,c4c7
r3r1k1/p4ppp/1qpb1nn1/1p1p4/3P4/2NBPPPb/PPQBNR1P/2R4K b - -,a8c8
r1b2rk1/pp1nqpb1/2p2npp/4p3/2P1P3/1PN2NP1/P1Q2PBP/R1BR2K1 b - e3,f8e8
2r4r/1p1k1ppp/p1n1pb2/3p4/8/4P1B1/PP2BPPP/2R2RK1 w - -,b2b3
r1b1kb1r/1p1npppp/p2p1n2/2q3B1/4P3/2N2P2/PPPQ2PP/R3KBNR w KQkq -,g2g4
r2qk2r/1p1b2p1/2nb3p/1p1Npp2/p7/P2PPNP1/QP3PBP/R4RK1 w kq -,f3h4
r1bq1rk1/p4pp1/1p3n2/6Q1/2BPp1pP/2R1P3/PP1N1P2/4K2R b K -,d8d7
5k2/1pr1q3/5bpp/p7/3pBP1P/PR1Q2P1/1P5K/8 w - -,b3b6
r1bq1r2/1p2npbk/p2pp1pp/2p5/1PPnN3/P2PBNP1/4PPBP/1R1Q1RK1 b - b3,b7b6
1k6/7R/4p3/2P1Pp2/3P1P1p/K7/3r4/8 b - -,d2d4
r5k1/5Rp1/2KB2P1/4p3/8/5Pb1/8/8 b - -,g3f4
r2r2k1/p1R2pbp/1p1np1p1/8/3P4/P3BN2/4KPPP/2R5 w - -,a3a4
6R1/1pk1r3/3b1K2/2pP4/2B5/1P6/1P6/8 w - -,g8g6
r2q1rk1/ppp1npbp/2n3p1/1B2P1N1/3Pp1P1/4B2P/PP3P2/R2QK2R b KQ -,h7h6
8/5rk1/6b1/4Q3/2pP3q/8/4RbB1/5K2 b - -,g7h7
rn1r2k1/pp2ppbp/1qp2np1/8/4PP2/2N2QPP/PPP3B1/R1B1K2R w KQ -,a1b1
4r1k1/p4p2/5Qp1/3q4/8/1P2P3/P5P1/5RK1 w - -,f6f3
2kr3r/pp2pp1p/1n1p1npB/q1pP4/2P1P3/1QP2P2/P4P1P/1R2KB1R w K -,f1e2
8/6kp/4P3/3P4/3B4/2Nn3n/Pr5P/5R1K b - -,g7h6
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/2N5/PPQ1PPPP/R1B1KBNR w KQkq -,g1f3:c1g5:e2e4
8/5pk1/2R3p1/2P4p/6PP/1r6/5P1K/8 w - -,g4h5
2r1kb2/1bq2p2/p2ppPp1/7r/3N1P2/B5pP/P1P4Q/2KRR3 w - -,h2g3
8/8/2p5/p1P1r1pk/2R5/P4P2/4K3/8 w - -,e2d3
1q1r1nk1/2b2pp1/p3p3/2P1p2p/1PQ1P2P/NN3P2/6P1/5R1K b - -,f8g6
8/2r2ppk/4pn1p/1q2N3/4PPP1/3P3P/3R1QK1/8 b - -,c7b7
8/p3k1p1/4P2p/1pb5/5P1P/1B4P1/P5K1/8 b - -,a7a5
5nk1/6pp/1Np5/p1Pp4/P2b4/3N2P1/5P1P/6K1 b - -,g8f7
r2qk2r/1bpn1pb1/p2pp1np/1p4p1/3PPP2/P1N1B2P/1PPQB1PN/3R1RK1 b kq f3,g5f4
r3kb1r/ppp4p/3p1q2/3bnpp1/2P1p3/3PP1P1/PP3PBP/R1BQ1RK1 w kq -,c4d5
1r3rk1/pp1q2bp/3pb3/3Nppp1/1RP5/3PP1P1/P4PBP/3Q1RK1 w - -,f2f4
5r1k/6bp/1pr1p1p1/p3p3/1p2P3/1R1P2PB/P4P1P/5RK1 b - -,g7h6
8/6p1/6kp/1pr2p2/4p3/PRP4P/5PP1/5K2 b - -,g6f6
2R5/8/8/6P1/r7/8/2pk1K2/8 w - -,f2f3
r6r/1p4k1/p1b1pQpp/4P3/P3q1N1/8/1P3PPP/R5K1 b - -,g7g8
r7/5p1p/5k2/p2n1N2/8/PP6/3R1P2/6K1 w - -,d2d5
rn1qkbnr/pp1b1ppp/2p1p3/3pP3/3P2P1/4B2P/PPP2P2/RN1QKBNR b KQkq -,d8b6
q2b2k1/p4p2/1p3npp/n1p1N3/2P1P3/PPN5/1BB1QPbP/6K1 b - -,g2h3
8/5R2/1kBr3p/1P5P/5PK1/2b5/8/8 b - -,c3b2
8/2bk4/R7/p4K1p/7P/8/8/8 w - -,f5g6
rnbqkb1r/p4p2/2p1pn1p/1p2P1p1/2pP4/P1N3B1/1P3PPP/R2QKBNR b KQkq -,f6d5
2kr3r/1pp3p1/p1np1p2/4q2p/2P1b3/1PP1B2P/PK1QBPP1/3R3R w - -,f2f3
r3kb1r/ppqnppp1/2pp1n1p/8/3PP1bB/2PB1N2/PP1N1PPP/R2QK2R b KQkq -,g7g5
rr2n1k1/4pp1p/q5p1/3P4/P1p1P3/2Q1BP2/5RPP/2R3K1 b - -,b8b3
6k1/pp3rb1/2p1b1pp/8/1PP5/PQ4BP/4qP2/3R1BK1 b - -,e2h5
r3kb2/1p2pprp/pqnp1p2/5P1Q/4P3/1PN5/1PP1B1PP/R4R1K b q -,a8c8
8/8/6pp/4p2P/4k1P1/3n1p2/r6B/5RK1 b - -,g6h5
4r1k1/r6p/Bbp5/3p4/3N2nB/P4N2/1P3PP1/2KR4 b - -,a7a6
2r2rk1/pp1qbpp1/2n1b2p/3pp3/4P3/P1NP2P1/1P1N1PBP/2RQ1R1K b - e3,d5e4
8/p7/1p2kBPr/3pPn2/3P4/2bR4/P3K3/8 b - -,f5d4
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/2NP2P1/PP2PP1P/R1BQKBNR w KQkq -,f1g2
8/p5p1/5p2/2K1k2p/P7/4P1R1/3r2PP/8 b - -,g7g5
r7/2p1n3/2n1kpp1/2P4p/p1KP3P/R2NB1P1/5P2/8 w - -,d3b2
2r2rk1/2P4R/1p1p2p1/2p2pn1/2P5/3B4/PP1K4/7R w - -,h7d7
r1bq1rk1/ppp3bp/2np4/3Np2n/1PP2pp1/3PP1P1/P2N1PBP/1RBQ1RK1 w - -,e3f4
6k1/5p2/p4n1p/P4rp1/2PP4/1R1br1B1/3N2PP/R5K1 w - -,a1e1
r4rk1/pp1b2pp/1q1np3/3pP3/3b4/P1N1B3/1PB1RPPP/R2Q2K1 b - -,d4e3
8/3r4/pk6/7P/8/1p3RP1/7K/8 b - -,d7d2
r4b1r/1p1k1pp1/1p2bn1p/4n3/3N4/3PB1P1/PP2PPBP/R4RK1 w - -,d4e6
8/6B1/2kn4/4p1p1/1K1p1pP1/3P1P2/4P3/8 b - -,d6f7
2r5/5pk1/6p1/pR5p/2n2N1P/2P2P2/Pn2N1P1/6K1 b - -,c8d8
r1bqkb1r/pppn1ppp/3p4/8/8/2P2N2/PPP2PPP/R1BQKB1R w KQkq -,c1f4
2brrk2/5ppB/pp3n2/2pqN3/3P3Q/2P2P2/P5PP/R3R1K1 w - c6,h7e4
rnbqkb1r/pp1p1ppp/4p3/2pnP3/2BP4/2P5/PP3PPP/RNBQK1NR b KQkq -,d5b6
2r2rk1/p3ppbp/2p1b1p1/q2p4/2nP1BP1/1RN1P2P/P1P2PB1/2QR2K1 b - -,f8d8
8/p1b5/3R4/7k/P4P2/8/2rB1PK1/8 w - -,d6d7
8/1p3R2/2p1Q1p1/2qr4/P4pkP/8/5PP1/6K1 b - -,g4h4
r1b1qrk1/p4ppp/1n6/2b1N3/5P2/2QB4/PPPBN1PP/R3K2n b Q -,b6a4
8/5pkp/p2R2p1/1b6/4rN2/2r3P1/P4P2/3R2K1 w - -,f4d5
rn1qkb1r/pp3ppp/2p1p3/3nNb2/3P2P1/8/PPP1BP1P/RNBQ1RK1 b kq g3,f5g6
rn1qr1k1/pp3p2/4pb1p/P3Nbp1/Q2Pp3/2N3P1/1P3PBP/2R2RK1 w - -,c3e4
8/1b3R2/8/8/8/5PK1/6r1/6k1 w - -,g3h4
r3nbk1/1b1n1p1p/p2p2p1/2pP4/2B1N2q/1P6/PBQ2PPP/3R1NK1 b - -,h4d8
3q1rk1/2r1bpp1/8/p2PQ3/P5Pp/7P/6B1/R3R1K1 w - -,a1c1
r1bqk2r/pppp1ppp/2n2n2/2b5/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,c5b6:c5b4:c6d4
2bq1rk1/4ppbp/1pPp2p1/rP6/8/R7/4BPPP/2BQK2R w K -,a3a5
2r2rk1/1p3p2/p2p1np1/3Pp2p/2P5/3B1P2/PP3bPP/1KNRR3 w - -,e1e2
6k1/6p1/8/R1pN4/1pPb1PK1/3P2P1/P7/5r2 b - -,f1d1
q1r1r1k1/1b3ppp/pP2p3/3n2b1/1P1N4/P4B2/6PP/1RRQ2BK w - -,c1c5
r3k2r/1p1b2pp/p3p3/4np2/1b6/2NB3P/PPP1NPP1/2KRR3 b kq -,e5d3
r1bqr3/ppn1ppkp/6p1/8/3p4/2NP2P1/PP2PPBP/R1Q2RK1 w - -,c3e4
r4bk1/p2r1p1p/1p2pBp1/3qP3/8/1Q4P1/P3PP1P/1RR3K1 w - -,b3a4
r4rk1/1bqnbp1p/pp1p1np1/8/2P1PR2/1P1B4/PBNNQ1PP/5RK1 b - -,f6h5
2r3k1/5ppp/p3p3/1p1qP3/3BbPP1/8/PPP2Q1P/1KR5 w - -,b2b3
r1bqk2r/2pnnpb1/pp1pp1pp/8/3PP3/2NBBN2/PPPQ1PPP/2KR3R w kq -,h1e1
r2q1rk1/pb2n1bp/2p1ppp1/2Bp4/2B1P3/2N2Q2/PPP2PPP/3R1RK1 w - -,f1e1
8/2p3pk/3n1pq1/2NP2p1/2pB2Q1/2P2P2/6Pr/2R3K1 b - -,g6h6
6k1/p4p2/6n1/2p1PpQ1/2Pp1P2/3P1NK1/P4R2/5r1q b - -,f1f2
r3kb1r/pp1n1ppp/2pp4/7b/3Pq1P1/4BN1P/PPP1QP2/R3KB1R b KQkq g3,h5g6
r1bq1r1k/1p1n3p/p5p1/2pPbp2/N7/1Q2BR2/PPB3PP/3R2K1 w - -,a4c5
8/6p1/P1p3nk/2N1pP1p/2b5/5QPP/6BK/q7 b - -,g6e7
3R4/8/8/1r6/p3K3/2k5/8/8 w - -,d8a8
1qrr1bk1/p4ppp/2ppbn2/4p3/N1P5/1P2P3/PBQ1BPPP/2R2RK1 b - -,d6d5
8/1p5p/p2kb1p1/P2p1p2/2PP1Pp1/1P1KN1P1/7P/8 w - -,e3c2
1rb2rk1/pp1nppbp/2np2p1/2p5/3P4/1PP2NP1/PB1NPPBP/2R2RK1 b - -,b7b5
r1bq1r2/pp1n1pbk/2pp1npp/4p3/2PPP3/2N2NP1/PP3PBP/1RBQR1K1 w - -,h2h3
8/6k1/4B3/5PPK/4n3/p7/P7/8 w - -,f5f6
8/8/1p2kb2/3p1p1p/1N1PnPp1/1P2P1P1/6K1/4B3 w - -,b4d3
r2q1rk1/1p2bppb/2p1pn1p/3pB3/P1P5/1N1P2P1/2Q1PPBP/R4RK1 b - -,f6d7
r3k2r/pp3p1p/2p2b2/4pbp1/1RP5/2P1B1P1/P2KPPBP/7R b kq -,e8c8
2r1kbnr/pp3ppp/2n1p3/3pB3/3P3q/2N2P2/PPP1BP1P/R2Q1RK1 w k -,e2b5
br3rk1/p3q1pp/4pp2/2p1n3/N2pP2P/P2B4/1PPQ1PP1/3R1RK1 w - -,f2f4
2rq1rk1/5p1p/p2pp1p1/1pp2P2/n2bP3/3P2Q1/PPP1B1PP/1RB2RK1 w - -,g1h1
2rr2k1/1b2qpp1/p2b3p/2p3n1/Pp2PBP1/1P1P3P/4NQB1/1R1R2K1 w - -,f4d6
r1b2r2/p1p1Rpk1/1p4pp/2NP4/1nP5/3B4/PP3PPP/R5K1 w - -,a2a3
5r2/2pnqnkp/r4pp1/1p2p2P/p2PN1P1/P1P1P3/BP3RQ1/5RK1 b - -,f7d6
rn1q1rk1/3n1bbp/5pp1/1Bppp3/1P1P4/2N1B2P/5PP1/2RQK1NR w K -,b4c5
r6r/1p1bkpp1/p1n1p3/3pP2p/3N1P1P/1P2R3/P1P3P1/2KR1B2 w - -,d4f3
4rrk1/1n4bp/p1q5/1p1npp2/1Pp5/2P2N1P/P2Q1PP1/2BRRBK1 b - -,d5b6
r1bq1r2/pp1pp1kp/2n5/3Q1PN1/8/2P5/PP4PP/R4RK1 b - -,d7d6
2r1k3/1p2n3/p2p2b1/3Ppp2/2PqP3/1P1B2P1/P3K1Q1/3R3N w k f6,h1f2
3r1k1r/1b2q1b1/p1n4p/1p1p1pp1/2pP4/2N1P1P1/PP1NBPP1/3QRRK1 b - -,g5g4
8/p1r3pk/1pb1pr1p/4Np2/P2P1P2/q1PQ2RP/6P1/4R1K1 b - -,a3a4
r3r1k1/pp3pp1/2n2q1p/3p1b2/2pP4/2P1P3/P2NBPPP/R2Q1RK1 w - -,e3e4
2r1r1k1/1p1b1pbp/1q1p1np1/pNnPp1B1/4P3/5N1P/PPQ2PP1/R3RBK1 w - -,g5f6
1k1N4/pp5p/7q/3p4/1P1P4/2P2B2/P4PPb/R3RK2 b - -,h2c7
4rr2/1bqn3k/p2p1ppb/1p1Pp2p/4PP1B/2Pp3P/PP1QN1PN/4RRK1 w - -,d2d3
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP1B2/2N1P3/PP3PPP/R2QKBNR w KQkq -,g1f3:h2h3
6k1/4R3/6b1/2B4P/4p2P/3r1PK1/8/8 b - -,g6h5
8/1p2k1pp/p1b1pp2/3r4/3P1PP1/P3K3/1PR4P/4N3 b - -,h7h5
8/1p6/5N2/1p1p1p2/3P1b1k/2P5/6K1/8 b - -,f4d2
rn3rk1/pb2bppp/1q1ppn2/2p5/Q1P2B2/2NR1NP1/PP2PPBP/R5K1 b - -,e6e5
8/8/6k1/4p1Bp/2p3PP/5P2/3P1K2/r7 w - -,f2e3
r4r1k/p5pp/b1n2p2/7q/Q1N1p3/P3B1P1/1PR1PP1P/5RK1 b - -,a6b5
2q2bk1/5pp1/7p/3Q1N1P/2P3P1/5K2/5P2/8 w - -,f5g3
4r3/ppk2p2/7p/2P2np1/3P1p2/bBB5/P4P1P/3R2K1 w - -,b3f7
r2qr1k1/pppb1pb1/n2p1n1p/6p1/1PPNP3/P1N2PB1/4B1PP/1R1Q1RK1 b - -,d8e7
r5k1/pp3pp1/n3b3/1qp3P1/8/1N2BBQ1/PKP2P2/3R4 b - -,c5c4
r1b3kr/pp3pp1/1n1Np2p/q3P3/8/5N2/PP2QPPP/2RR2K1 w - -,a2a3
2R5/8/8/6k1/5r2/5K2/2B5/8 w - -,f3e3
1r1qr1k1/p1pb1ppp/3b2n1/8/4n3/2NQPN2/PP2BPPP/R1BR2K1 b - -,d7f5
2r3k1/5p1p/4p1p1/p1Q5/8/8/2P2PPP/q4BK1 w - -,c5c8
4r1k1/1p4p1/p1p5/P2pP1b1/1P1P4/2P3P1/2B3K1/5R2 b - -,e8f8
3qb1k1/1r2br1p/p3p1pB/3p3n/2pP4/2N1P2P/PPQ2RP1/1B3R1K w - -,f2f7
5r2/1p1b1r1k/p2p2p1/3Pp3/1P1pP1Pq/P2P1p2/5QKP/2RB1R2 w - -,d1f3
