1R6/5ppk/8/p7/6p1/1p4P1/3B3r/3K4 b - -,a5a4
r3k2r/pp3ppp/1bn1pn2/3q4/1P1P2b1/P3BN2/4BPPP/RN1Q1RK1 w kq -,b1c3
8/5k2/r7/1p6/5p2/1P1P4/P2K4/5R2 b - -,a6f6
4rbk1/pp3pp1/2p5/7p/2nPr3/P3PRPP/1P2NK2/R1B5 w - -,e2c3
n1qr1bk1/1p3r1p/1Pp1b1p1/3Np1p1/4P3/PN4PP/1Q3P1K/2RR1B2 b - -,c8b8
rnq1k2r/1b2ppbp/1n1p4/2pP2p1/8/1PN2NP1/P2BPPBP/R2Q1RK1 b kq -,b6d5
8/2R5/1b6/4K3/8/1P1r4/1k6/8 w - -,c7c6
4r1k1/bp1r4/p3p2p/2pnP1p1/3p2QP/3q1N2/PP1BRPPK/R7 w - -,e2e4
3k4/1r4b1/pr2p3/Q2p2P1/3P1P2/8/1P1R2K1/8 b - -,d8e7
r3r1k1/pp4b1/2p1b1qp/B1Pnnp2/4p2P/1PN3P1/P1Q2PBN/3RR1K1 w - -,h2f1
3r4/4Rp1k/5P2/R2p3p/5b1P/P1P1p3/8/7K w - -,h1g2
4k3/3np2p/1n1p1b2/3P1N2/1P3P2/4NP2/3BK2P/r1R5 b - -,a1a2
1r1bn3/2qn1k2/p2p1p1p/p1PPp1pP/2P1P1P1/1r1NBP2/1R1NK3/1Q6 w - -,b2b3
r2q1k1r/1ppbnpp1/7p/p1p4Q/2B2P2/P1B1P3/1P4PP/R4RK1 b - -,d8e8
2kr3r/pbq1np1p/1pp1p1p1/2p3QP/4P3/2NP4/PPP1NPP1/2KR3R b - -,c8b8
r1bqrbk1/pp1n1ppp/4p3/8/2Pp4/1P1P2P1/PB3PBP/RN1QR1K1 b - -,e6e5
5rk1/5pb1/4p1pp/8/3P3Q/1q2BP2/5P1P/2R3K1 w - -,e3h6
3r4/8/8/8/2K1p3/7R/5k2/8 w - -,h3h2
8/8/6kp/R7/P4PPK/8/8/2r5 w - -,a5a6
rnb2rk1/pp1p1p1p/1q3pp1/8/3N4/1QP5/PP2PPPP/R3KB1R b KQ -,b6a5
4r1k1/p1p2ppp/2p3b1/8/3rPR2/1B6/PPP3PP/4R2K b - -,g8f8
rn1qkb1r/p2n1p2/2p1p1p1/1p1pP2p/5P1P/2NP3Q/PPPBB1P1/R3K2R b KQkq -,f8e7
r3r1k1/p4q2/1p2pppQ/3p3p/3P4/2P1R2P/PP3PP1/4R1K1 b - -,e8e7
r1bqkb1r/p3n2p/2ppppp1/2p5/2P1PP1N/3P4/PP4PP/RNBQ1RK1 b kq c3,f8g7
r1b2rk1/1p2qpp1/1pp2nnp/4p3/2B1P3/2P2N2/PP1NQPPP/R2R2K1 w - -,a2a4
r3k2r/1b1nbppp/pqn1p3/1pp1P3/2PpNP2/1P1P1N2/P2BB1PP/R2Q1RK1 w kq -,f3g5
8/1p1q2k1/p4pp1/2pP3p/2P1r2P/4Q3/PP4P1/6K1 w - -,e3e4
rnbq1rk1/p3p1bp/2ppPpp1/3n4/1pP1N3/3B1N2/PP2QPPP/R1B2RK1 b - c3,b4c3
r1b2rk1/p2nppbp/1q1p1np1/1P1p4/8/1PN2NP1/PBQ1PPBP/R4RK1 w - -,a1d1
3r2k1/p3n1pp/1p2qn2/4Np2/Q2P4/4PP1P/P7/2B1K1R1 w - -,a4b3
r1b2rk1/pp4pp/1qn2n2/2bpp3/5B2/2PB1N2/PPQ1NPPP/R4RK1 w - -,f3e5
3q4/1p4kp/3p4/pP1Pr1p1/P1R1P3/7P/3Q2P1/6K1 w - -,d2f2
8/3b1B2/3k1p2/p1p3pp/P3Pp2/1NP2P2/5K2/8 b - -,d7a4
r1bq1rk1/pppn1pbp/5np1/4p3/2P1P3/2N2N2/PPQ1BPPP/R1B2RK1 b - -,c7c6
r4rk1/pb2qp2/2p3pp/1p2P2n/8/2NQ3P/PP3PPB/R4RK1 w - -,d3e3
3r2k1/p4p1p/4b1p1/6Pn/q6P/P1Q2P2/1P6/1K2RB2 w - -,e1c1
8/1p2r1k1/pR4p1/7p/P1p5/2P2NK1/1P6/8 w - -,f3h4
r3r1k1/1p3ppb/2p1pn1p/4N3/p1P5/qP1P2P1/P4PBP/1QRR2K1 w - -,b3a4
1r1qk2r/p2b1pp1/2n2n2/2bpp2p/8/P2PP1P1/1P1N1PBP/RNBQK2R b KQk -,h5h4
r2q1rk1/pp3ppp/3pbb2/n1pBp3/2P1P3/3P1N1P/PP3PP1/R1BQK2R b KQ -,e6d5
r3kb1r/1p1b1p2/pqnppp1p/8/4P3/1NN3P1/PPPQ1P1P/1K1R1B1R b kq -,e8c8
rr4k1/3nppbp/1q1p1np1/2pP4/4P3/2N2NPP/PP2QPK1/R1BR4 b - -,f6e8
8/2krb3/6p1/1pp1Pp1p/p1p2P1P/P3R1P1/1PK5/1N6 w - -,b1d2
8/1R6/p3p1p1/3kn2P/5KP1/r1p5/4B3/8 b - -,c3c2
8/3B4/8/8/4Pk1p/n2KN3/8/8 b - -,f4g3
5r1k/1q6/5P2/2p2NP1/p1P3Q1/4b3/3p2K1/5R2 w - -,g2g3
r5k1/pp2bppp/4pn2/q3n3/3BP3/2N3PP/PPQ2PB1/1R4K1 b - -,e5c6
3q4/5pk1/1p1bp2p/P2p4/3P4/P3PNP1/2Q3KP/8 b - -,b6a5
5r2/2RP1pbk/r1nN2pp/p1P5/8/5N1P/5PP1/4R1K1 w - -,d6e8
3k4/pp3pR1/3P1p2/5N1p/bP3P2/P7/3r3P/6K1 b - -,a4b3
8/4b1k1/1p4p1/1P1BP2p/5P1P/5KP1/8/8 w - -,d5c6
r2q1rk1/pp1nppbp/2p1bnp1/3p2B1/2PP4/2NBP3/PP1N1PPP/R2QK2R w KQ -,e1g1
2k5/1p1qRp2/p1p2Qpp/8/6r1/2PP4/2P5/2K5 b - -,g4g1
2r1r1k1/1bqnbppp/pp1ppn2/6B1/2P1P3/1PN2NP1/P3QPBP/2R1R1K1 b - -,c7b8
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/1P1BPN2/PB3PPP/RN1QK2R b KQ -,b8d7
R5k1/3r2p1/1ppp3p/4p3/1P2P3/5P1P/5KP1/8 b - -,g8f7
8/r4pp1/P2pk2p/1r2p3/R3P3/P4P2/5KPP/3R4 w - -,f2e3
r4rk1/1bq2pbp/pp1p1np1/4n3/PP1pP3/3B1N2/1B1N1PPP/1R1QR1K1 w - -,d3f1
r1b1rnk1/1p1N1pp1/p6p/3p4/3P4/3BP1bP/PP3PP1/3R1RK1 w - -,d7b6
8/8/3Bpk2/r5p1/4K1P1/8/4PP2/8 w - -,f2f3
3R4/1p6/2bB4/6pp/6k1/2P3b1/1P6/6K1 b - -,h5h4
2r1rbk1/p4pp1/Q1npq2p/2p1p3/4P3/2P2N1P/PP1N1PP1/3RR1K1 w - -,a6c4
6k1/p1p4p/1p6/3PP1p1/6pb/P1B1r3/1P5P/3R2K1 b - -,g4g3
5bk1/5p2/4p1p1/1p2P1Bp/pq2PP1P/1P1Q4/8/1K6 w - -,f4f5
8/1p6/2p2pp1/1n4p1/p1kP2P1/P1P2P2/1BK4P/8 w - -,h2h3
1r1q1rk1/2p1bpp1/p1npbn1p/P3p3/2N1P3/1BPP1N2/2Q2PPP/R1B2RK1 b - -,f6d7
8/p5b1/P1k5/4pp2/4p2P/6P1/3BnP2/5K2 w - -,f1e2
b2rr1k1/p3qpp1/1pB2n1p/4p3/2QP4/2P1P1P1/PP1N3P/1K1RR3 b - -,d8c8
r3k2r/pp1n1ppp/2p5/2bpP3/5P2/1PN3PP/1Pb1P1BK/R1B2R2 w kq -,f1f3
rn1q1rk1/pbppppbp/1p4p1/8/2PP4/2nQ1NP1/PP2PPBP/R1B2RK1 w - -,b2c3:d3c3
3r3k/R5b1/3p3p/2pP2p1/2N1Np1r/5K2/1PP2P2/4R3 w - -,e4d6
2r3kr/p4pp1/1nB4p/2pPq3/1p2n1P1/1P2B3/PQ3P1P/2KRR3 b - -,e5b2
5k2/R4p2/5p1p/1p6/1P5P/p3P1P1/5PK1/r7 b - -,a3a2
3r2k1/5pb1/2pN3p/6p1/Pr1pP3/6PP/P4P1K/3RR3 w - -,e4e5
2r2rk1/p4p1p/bp2pp2/3p4/1P2P3/P1N5/2P2PPP/2KR3R w - -,c1b2
8/8/4pp2/4k3/1r4P1/3RKP2/8/8 b - -,f6f5
r1b1k2r/p2p1pp1/n2b1q1p/1NpPp3/1pP1P3/P4N2/1P3PPP/R2QKB1R w KQkq -,f1d3
rn1qkb1r/1b2nppp/p2pp3/1p6/3NP3/2N1BP2/PPPQ2PP/R3KB1R w KQkq -,a2a4:g2g4:e1c1
4r1k1/1p2ppb1/6p1/2rqn3/1Q2p3/4B1PP/P5BK/5R2 w - -,b4c5
3B2n1/1Q5p/1P3ppk/p7/1b2R3/3K2PP/P7/3q4 w - -,d3c4
r1q2rk1/p5pn/1p1p1pnp/2pPpP2/2P1P1b1/2P1B1P1/P1BQ2KP/R3R1N1 b - -,g6h8
5r2/2QR1pkp/2N2bp1/2pP4/8/q5P1/5PKP/8 w - -,c7f4
rr6/p1pk4/Rnp5/3p1ppp/NRP5/1P1PP1P1/P3K2P/8 w - -,c4c5
3r1rk1/p4p2/2p2np1/2N4p/2PRP3/1P4P1/P1P3KP/3R4 b - -,d8e8
3qn1k1/1ppb2b1/6r1/2pPp1pp/1n2Pp2/1QN2P2/3NBBPP/R6K w - -,f2c5
2r3k1/4p3/p6p/1p6/5B2/2b2R2/P2r2PP/5RK1 b - -,d2a2
1r4k1/4pbbp/3pq1p1/2rN2Pn/2P1PP1R/p2QB3/P2N4/1KR5 w - -,d2b3
br2k2r/4qpb1/p3p1pp/1p1pP3/2pN1PP1/P1P1PQ2/1PB3P1/R3K2R w KQk -,e1d2
8/8/7R/1p1ppk1p/p2b3P/Pr4P1/6K1/3N4 w - -,h6h5
6k1/4ppbp/1q1r2p1/1p1nN3/3P1P1Q/P6P/1P4P1/3R1RK1 w - -,h4f2
7q/2pk1p2/p1n1pPp1/1pPp2P1/5P2/PPP2QBr/1K6/3R4 w - -,f4f5
r1b2rk1/p1qn1pbp/1pp1p1p1/6B1/3PP3/1QP2N2/P3BPPP/R4RK1 w - -,e4e5
r1b1r1k1/pp1nbppp/4p3/2q5/2PQ4/5N2/PPBB1PPP/R2R2K1 w - -,d4d3
r1bq1rk1/1pp1npbp/p2p2p1/4n3/2PNP3/1BN1B3/PP3PPP/R2Q1RK1 b - -,c7c5
1kr4r/pp1bn2p/1q2pp1b/3p4/1P1P2P1/P1NQPN2/4B2P/2KR3R w - -,c1b2
1k6/1p5R/2p2p2/P3p1p1/2PnP3/K7/B3r3/8 b - -,b8a7
8/5Kp1/2k4p/4P2P/5P2/2p5/8/8 w - -,e5e6
2r2rk1/1b3ppp/2qpp3/2n1n3/N2BPb2/1P4P1/5PBP/2RQR1K1 w - -,g3f4
r4rk1/pb4pp/1q1ppn2/2p5/2P5/Q2BB3/PP3PPP/R4RK1 w - -,a3c3
r1r3k1/1b3ppp/1p2pn2/pq1nN3/3P4/3N2P1/1P1QPPBP/R1R3K1 w - -,e2e4
6k1/1p4r1/2p5/3q1r2/1P1P3Q/P3R1P1/4PP2/4R1K1 b - -,d5f7
r2q1rk1/p4ppp/2pbp3/P3N3/5P2/1Q2P3/R4P1P/2R3K1 w - -,a2d2
r1bqkb1r/3n3p/p1p1pnp1/1pPp1p2/3P4/2NBPN1P/PPQ2PPB/R3K2R w KQkq -,e1c1
2k3rr/1pqb1p2/p3p3/3pPn1P/P1n2P2/2N4R/2P3P1/1RBQKB2 w - -,g2g4
3r4/5p2/3ppk1p/pp2b1p1/P1r1P1P1/2P1RKP1/1P1N1P2/3R4 w - -,e3d3
rn3k1r/p1p1bpp1/4pq1p/1R2N3/Q1P1b3/8/P3BPPP/2B2RK1 b - -,f8g8
1r1q1rk1/2pb1pbp/p2p1np1/3Pp3/PPp1P3/2N1BP2/2PQN1PP/1R2K2R w K -,e1g1
2r5/4rkp1/7p/p1P5/1P1Np1P1/b7/P1R2PKP/4B3 w - a6,d4b5
3r1rk1/pb2q3/2npp3/2p3p1/2P1Pp2/P1NQ4/1P1R1PP1/3BR1K1 w - -,d1g4
1nbqr1k1/1r1n1pbp/p2p2p1/1ppP4/4PP2/P4N2/1PB1N1PP/R1BQ1R1K b - -,d7b6
4r1k1/2pn1pb1/1p1p2pp/pP6/P1PP1B2/1N5P/3q1PP1/2R3K1 w - -,f4d2
3rr1k1/1p2npq1/p1p1b1p1/4N2p/3P2PP/P4P2/1P4K1/1BQRR3 b - -,h5g4
8/1R2k2p/B5p1/2P2p2/3q4/6P1/3r1r1P/5QK1 b - -,e7f6
rnbqr1k1/ppp2ppp/5n2/3p4/1b1P4/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
r2k3r/p2n4/Qp2p3/3p4/3P1q2/5N2/PP4PP/R3R1K1 b - -,h8g8
b1r1qrk1/p4ppp/1pn1p3/1Nbp4/P7/1QB1P1P1/1P3PBP/2RR2K1 b - -,e8e7
1k1b1q1r/1p1r1p2/p1p1p1p1/P1PpPn1p/1P1P1B1P/1K3NP1/3Q1P2/6RR b - -,b8a7
8/4k1n1/1p2p1p1/p2p3p/1n1P1PPP/1P1B1P2/1P2K3/6B1 w - -,d3g6
7r/p5pp/3bkp2/1r1pp3/1P3PP1/2PbP3/P2NN2P/R1R1K3 w - -,d2f3
8/5p2/5kp1/1B3b1p/8/4bP1P/3R2P1/2r2N1K w - -,d2b2
r1b1kb1r/2q2pp1/pn2p2p/3n2P1/1p1Np2P/1P2BP1B/P1PQN3/2KR3R w kq -,f3e4
1rb1kb1r/pp1q1ppp/2n5/2pnp3/Q1N5/2PP1NP1/PP3P1P/R1B1KB1R w KQk -,a4c2
r5k1/p1R2pb1/1p2b3/4p3/4ppPp/1P6/P2BPPBP/6K1 b - -,a8d8
r2r2k1/p4ppp/Pp2pn2/3b4/8/1PqBQN2/2P2PPP/R3R1K1 b - -,a8c8
3rqbk1/1b4pp/p1r1p3/1p1pP3/3Bn1B1/2PNQR2/PP4PP/5RK1 b - -,f8e7
3r2k1/5p1p/1n2p1p1/1pq1P3/1P3P2/2P1N1PP/2Q2K2/5B2 b - b3,c5c6
r2q1rk1/1b2ppbp/p1np2p1/2p5/4PP2/2B1N3/PPPQB1PP/2KR3R w - -,c3g7
r3k2r/1p1n1pp1/1ppbpn1p/5b2/2BP3B/2N1PN2/PP3PPP/2R1K2R w Kkq -,e1g1
r3r1k1/pp1qb1p1/2p1n2p/2Pp4/P2P2b1/1QN1P1B1/5PB1/RR4K1 b - -,e7f6
4rnk1/1bq3bB/pn2P3/2p3Np/5P2/2p3B1/PPQr2PP/4RRK1 b - -,g8h8
r4rk1/1p6/p2p2p1/Pb1P1p1p/2p1qP2/RnP1BR2/4B1PP/3Q2K1 w - -,f3g3
3r2k1/7p/4p1p1/q7/ppb1P3/2b1B3/P1Q2PP1/2R3KR w - -,c1d1
r2q1rk1/pppnbppp/2b1p3/8/3PBB2/5N2/PPP1QPPP/3R1RK1 b - -,c6e4
5k2/p5n1/1ppr1p2/3p3p/3P1Np1/6P1/PP1K1PBP/2R5 w - -,d2d3
8/8/8/1pK3k1/1Pb5/2P1R3/8/3r4 w - -,e3e5
8/1p6/5k2/p3n1pP/Pp1p2P1/1P4K1/8/3B4 w - -,d1c2
4k2r/p4pp1/p1rpp2p/8/4P1nb/2N2P2/PPPBR1P1/2KR4 b k -,g4e5
8/p7/4pk1p/b1p1n1pB/P2pP3/1P1P2PN/4K2P/8 w - -,h3f2
r3rbk1/2pq2pp/pp1nbp2/2P1p3/P3P2N/2BPN1P1/1QP2P1P/R4R1K b - -,b6c5
2r1k2r/3bb1p1/1n1pNp2/p1q1pP1p/1p2P1nP/1P1B1R2/PBPNQ1P1/3R3K b k -,d7e6
4rrk1/1pqb3p/p2n1pp1/2pPp3/2P1P3/2QB1PN1/P5PP/1R3RK1 w - -,f1c1
8/8/1p2pk2/p4pp1/6P1/Pr3P2/1P2RK2/8 w - -,f2g2
r3k2r/p5p1/2p1qp2/P2pb2R/8/2p3P1/P1P1Q1KP/R1B5 b kq -,e8f7
r3k2r/2qnbp2/p3p2p/1p1nP1pb/2pP4/2N2PP1/PP1BB1NP/2RQ1RK1 w kq -,c3d5
r2q1k1r/p1p1nppp/1Pn1p3/3pP3/3P2Q1/B1P5/2P2PPP/R3K1NR b KQ -,a7b6
r1bqrbk1/2p2ppp/p1np1n2/1p2p3/4P3/1BPP1N1P/PP3PP1/RNBQR1K1 w - -,b1d2
4r3/2k3bp/2N3p1/5b2/BB6/1P2p3/P2p2PP/2K1R3 w - -,b4d2
8/7p/1r1k2p1/6K1/3N2p1/2P5/8/8 w - -,g5g4
1r5k/ppq2rbp/2p5/2PpPpB1/PP2n3/3B4/4N1RP/3Q2RK b - -,g7e5
3r1n2/p3k2p/2p2np1/1p2p3/4P2P/1B2NPP1/PP2K3/6R1 b - -,a7a6
2r2r2/3p1pk1/p3p1p1/4q1P1/Np6/1P3N2/1PPQ4/2K4R b - -,e5e4
8/nprb2kp/1q2pr1p/pP1pN3/P2N3Q/3B4/5PPP/5RK1 w - -,h4g3
r4rk1/1ppb1pp1/p1np1q1p/4P1b1/4Pn2/2P1BNN1/PPB2PPP/R2QR1K1 b - -,c6e5
r1b1k2r/p1q1npbp/1pn1p1p1/2ppP3/8/2PP1NP1/PP2QPBP/RNB2RK1 w kq -,c1f4
r2q1rk1/3nbppp/p2pbn2/1p2p3/4P3/1NNBBP2/PPP1Q1PP/3R1RK1 w - -,e2f2
8/4R3/5k2/2Pp1b1B/7K/4P2P/5r2/8 w - -,e7f7
2bq1rk1/pnp1rp2/1p3n1Q/4PN2/1PBP4/P7/6PP/4RRK1 w - -,h6g7
3k1r2/R4pp1/4p1np/3pPb2/B1pP3P/4B1K1/Pb3P2/6N1 b - h3,h6h5
2k5/8/1p2P3/p6p/P1K2B2/1P3b1p/7P/8 b - -,c8b7
4BR2/2k3r1/2n1p3/pp1pPp2/2pP4/2P5/P1P1KP2/8 w - a6,a2a3
8/pR6/3k4/8/r7/P3p3/1P2K3/8 b - -,d6c6
1rbqkb1r/p2p2pp/4pPn1/2p5/4Q3/2N2N2/PPP2PPP/R1B2RK1 b k -,g7f6
7k/4q2p/2p1P3/P2p2r1/5p2/1P3n2/6R1/4Q2K w - -,e1c3
r4r1k/1ppbq1bp/p2p1np1/3Pp1N1/2P2nP1/2N1BB1P/PP1Q1P2/2KR3R b - -,b7b5
r3brk1/pp2q1p1/3ppn1p/2p1n3/2P4B/P1N1P3/1PQ1BPPP/R4RK1 w - -,f2f4
1K1R4/8/1P6/4k3/8/8/8/2r5 b - -,c1b1
r1bqkb1r/pp1ppppp/1nn5/4P3/2p5/2P2N2/PPBP1PPP/RNBQK2R b KQkq -,d7d6:d8c7:d7d5
1b1r1qk1/pp5p/1np1rnp1/8/3PNP2/P5P1/1BQ3BP/4RRK1 w - -,e4f6
1r2r1k1/2q4p/3p2p1/1ppP4/1n2p3/1Pb2QP1/P4PBP/3R1RK1 w - -,f3c3
7k/7p/B1pp3p/4pnq1/8/2PPP2b/PP3RPN/5RK1 w - -,a6c8
r5k1/pn1rppbp/1p4p1/1N1P4/4P3/4B3/P4PPP/2R2RK1 w - -,c1c6
r1bqkb1r/5ppp/p1np1n2/1p2p1B1/4P3/N1N5/PPP2PPP/R2QKB1R w KQkq b6,g5f6:a3b5:c3d5
3rr1k1/ppp2ppp/7q/2P1N3/2BP1b2/P4Q2/1P3P2/3RR1K1 b - -,e8e7
1rrq2k1/1p1bppbp/p2p2p1/2n5/PnPNP3/1PN1B1PP/3Q1PBK/1R1R4 w - -,f2f4
2r1k3/1ppq1np1/p2p4/6B1/2P1P1p1/6P1/PP2QPK1/7R w - -,g5f4
r3k2r/pp1n1ppp/1q2p3/2bpP3/3Q4/2P2PP1/PP3P2/R1B1KB1R w KQkq -,d4d2
1k1r3r/p2b1p2/Q7/3N1n2/4q1p1/3RP2p/1PN2P2/1K5R b - -,e4a4
3r2k1/1p3p1p/q3bp2/p1p2R2/P2rP3/6P1/1PQ3BP/2R3K1 w - -,g2f1
8/5ppp/2k5/4P3/3n4/P5P1/1K3P1P/1N6 b - -,d4f3
2r1rqk1/1bpn1pbp/pp1p1np1/3Pp3/1PP1P3/2NBBN1P/P2Q1PP1/2RR2K1 w - -,d3b1
rnb1k2r/1pq1bppp/p2ppn2/6B1/3NP3/P1N5/1PP1BPPP/R2QK2R w KQkq -,e1g1
r1b1kb1r/ppp1qp2/2np1n2/4p2p/2B1PPp1/2PPB3/PP1N2PP/R2QNRK1 b kq f3,f8h6
r1rq2k1/1p2np1p/4bbp1/pP1p4/3P4/P2BB2P/3QNPP1/2R2RK1 w - -,c1c8
8/4kp2/1p1p4/3P4/P6Q/1P3B2/K6p/6q1 b - -,e7e8
8/5k2/1P6/8/6p1/3N4/P5b1/K7 b - -,f7e7
r1bq1rk1/2p1b1pp/np1p4/2nP4/1PPBPp1P/2N5/2QNBP2/1R2K2R b K -,c5d7
r3r1k1/p2n1ppp/1ppq4/8/3Pp3/3RP1N1/PP3PPP/3QR1K1 w - -,d3c3
r3k2r/pp1n1p1p/2p1pnpP/q7/3P1Q2/2PN2N1/PP3PP1/R3K2R b KQkq -,f6d5
5r1k/2bq3p/3p2p1/p2Ppb2/p3Np2/1rP2B2/RPQ2PPP/3R2K1 w - -,h2h4
8/6pk/4p2p/3p1q2/4p3/4P1PP/1Q2RP1K/4r3 b - -,e1d1
3r4/6kp/3bR1p1/8/Np6/6P1/PP1rBPKP/8 w - -,a4b6
8/2bB4/7p/p5k1/1p3p2/1P3K1P/8/8 b - -,g5h4
8/5p2/4b3/8/1N1KPk2/5P2/4B1n1/8 b - -,f4g3
2r1k2r/1bqnbppp/p2pp3/1p2n1P1/4PP2/1NN1B3/PPP2Q1P/1K1R1BR1 b k -,b5b4
