4r3/pp6/4k2p/6p1/8/8/PPB3PP/7K w - -,h1g1
8/1p3k2/3r3p/P2PR1pP/6P1/5K2/P7/8 b - -,d6a6
1r4k1/Rb3ppp/2pbpn2/1p1p2N1/1n6/2N1P3/1B1PBPPP/6K1 w - -,d2d4
2r1kb1r/1p3p2/pq1p1np1/3Pp2p/2P5/1N3P2/PP1Q2PP/1K1R1B1R b k -,f8h6
2rr2k1/p4p2/1pb1p2p/6n1/P1PP2P1/4B2P/4B2K/R1R5 b - -,g5f3
2r1rb2/1bR2p2/n5kp/p1p1pN2/P1B1P3/1n2BN2/1P3PP1/2R3K1 w - -,f3h4
2kr4/1p5R/5r2/P1P5/3N3p/2BK2b1/P7/8 w - -,c3d2
r3nr1k/1bq2ppP/p7/1p4P1/1b1N2Q1/PP2P3/1B1PBP2/R3K1R1 b Q -,b4c5
7k/p5r1/1pnRp3/2p1npPp/2P4P/1PN1B1P1/P7/5K2 b - -,g7d7
1nqbN3/p5Q1/2P1p2p/3rp2k/8/BP1bPPP1/P2P1R1P/2R3K1 w - -,g7g4
8/6p1/5p1p/4pP2/4P2P/3kN3/5K2/3b4 b - -,d1h5
r5k1/6pp/4p2P/p3P2K/R5P1/8/8/8 b - -,g7h6
8/4rkb1/5pp1/1PNp4/p2PbP2/P1n2KPp/3N1B1P/R7 w - -,d2e4
3rr3/1bq2pbk/pp3npp/2p1p3/2P1P3/3QB2P/PP1NBPP1/2RR2K1 w - -,d3c2
r1b3k1/ppp1p1b1/2nq1rBp/3npP2/7N/2P3N1/PPQB2PP/R4RK1 b - -,d6c5
r1bq1rk1/ppp2pp1/1b1p1nnp/8/3PP1P1/1BNQ1N1P/PP3P2/R1B2RK1 b - -,f6h7
3r4/p4pk1/8/2bp3p/5p2/2qN1P2/Q5PP/3R3K b - -,c5e3
1r2b1k1/4qp1p/2pRp1p1/p1P5/3Q3P/PP6/2B2PP1/6K1 b - h3,e6e5
r3k2r/1b1nbpp1/pqp1pn1p/1p6/P2PP3/3B1N2/1P1NQPPP/R1BR2K1 b kq -,e8g8
6k1/5pb1/1pp3pp/p3r3/2PRp1P1/4P1NP/P1P2P2/7K b - -,e5c5
r1bk1bnr/ppp5/2p3Q1/5p2/3qP3/3P4/PPP2PPP/RNB1K2R b KQ -,g8e7
rn2k2r/pp2ppbp/2pp1np1/q3P3/3P1Pb1/2NB1N2/PPP3PP/R1BQ1RK1 b kq -,f6d5
r1bq1rk1/1p3ppp/n1pb1n2/p2p4/3P1N2/PQNBP3/1P3PPP/R1B2RK1 w - -,c1d2
rnbq1rk1/ppp1ppbp/1n1p2p1/2P1P3/3P1P2/2N1B3/PP4PP/R2QKBNR b KQ -,b6d7
3r1rk1/1p3ppp/2q2b2/p3pP2/P1B5/1P2Q3/1P4PP/3RR1K1 b - -,f6h4
r4r1k/p2b3p/1p1p2p1/2bQ2N1/8/6P1/P4P1P/5RK1 w - -,g5e4
1Q1R1rk1/5ppp/p7/2q5/1p6/5P2/3R1K1P/8 w - -,f2g2
1r3rk1/pp3ppp/2p1bn2/4q3/7Q/2N3P1/PP2PPBP/3R1RK1 b - -,f8c8
8/8/7p/5p2/5P2/N1nk1K1P/8/1q6 w - -,a3b1
2r1kb1r/pp1b1ppp/1q6/3P4/3B1P2/2QP4/PP4PP/1R2KB1R b Kk -,b6a6
1b6/1P6/P1k5/3p3p/3B4/5K2/8/8 b - -,b8d6
8/5p2/4kB2/4P2P/6K1/8/8/5r2 b - -,f1g1
2kr4/ppp2p1p/1bn5/3p2p1/1P1P2Pn/P1NR3P/2P1NP2/2K4R w - -,c3a4
4r3/pp3pk1/1np2bp1/7n/4P2P/1B2BP2/PPK1N3/7R w - -,a2a4
3q1rk1/6r1/1p1pR1p1/p1pP2N1/PnPn1P1p/2Q5/6PP/1B2R1K1 b - -,d8d7
8/2p4p/r4kp1/P7/2p5/R4P2/4K1PP/8 b - -,f6e5
r3r1k1/3n1pp1/p5qp/P1bbp3/8/2P2NB1/3NQPPP/R1R3K1 b - -,e5e4
r2q1rk1/1pp2pb1/3p2p1/p3n1Pp/2P1P2P/1PN2P1N/PB1Q4/R4K2 w - -,f3f4
8/r7/1p1K4/1P2P3/2pk4/8/8/1R6 b - -,c4c3
4r1k1/1p3pp1/7p/8/pP6/6P1/1bR1PPKP/5R2 b - -,a4a3
r2qr1k1/2p1bppp/2bp1n2/p2N4/1pP1P3/1B3Q2/PP3PPP/R1B1R1K1 w - -,c1f4
r3nrk1/pp3ppp/2p5/3p1P2/5q2/1P1PP3/P1N3PP/R3R1K1 w - -,e3f4
1r4k1/p3pnbp/5pp1/7q/Q2P3P/4NbR1/PP2BP2/4K3 w - -,e2f3
4r1k1/1p4bp/4p3/p2P1p2/8/Pn3N2/1B3PPP/1R3K2 b - -,a5a4
4k2r/pp1b1ppp/1q2p3/3pP3/2r4P/1N2b2R/1PP1QPP1/1K1R4 w k -,h3e3
6k1/7r/pp2P1R1/6n1/P1pP1Rp1/4Pb2/1P4N1/6K1 b - -,h7g7
3r4/pb3p2/1p3Np1/3Pk1P1/8/P5K1/5P2/3R4 w - -,d1e1
3rnbk1/1p1r1p2/1q1pb2p/pNp5/P1PnPpP1/3Q2BP/1P1R2BN/3R2K1 w - -,g3f4
3r1rk1/ppp2ppp/2b2b2/8/8/2NR1N2/PPP2PPP/2KR4 b - -,d8d3
8/4kp2/6p1/PB6/1KnRP3/2N5/8/r7 b - -,c4a5
8/8/1pbk4/3p1pp1/3K4/P5P1/1P1RB2P/4r3 b - -,f5f4
4r1k1/1pq2pp1/n7/2PR1PP1/1PQ1p3/8/5PB1/6K1 b - -,e4e3
4r1k1/p4ppp/1br1p3/3p4/1P1P4/R1P1B1P1/5PP1/4RK2 b - -,f7f6
3rr1k1/bp2qppp/p1pp1n2/8/2PNb3/BP2P1PP/P2Q1PB1/3R1RK1 w - -,g2e4
8/p3p3/6k1/3P1p2/R5pP/6P1/P1r5/6K1 b - -,c2c1
8/1r1r1k2/7p/ppQ2p2/4qP1P/3ppR2/PP2P2K/6R1 w - -,f3e3
1r3k2/3B1p2/3p1q1b/p2P1p1p/2N1r3/2PQ2P1/PP3P1P/5KR1 b - -,b8b7
6k1/8/3P4/p4Np1/7p/2p5/PP2r2b/1K3R2 w - -,b2c3
3rr1k1/1pq2p1p/6p1/p5P1/2P1Bp1P/1P1p1P2/PQ4K1/3R4 b - -,e8e4
r1bqkbnr/pp1ppp1p/6p1/2p5/3nPP2/2N3P1/PPPPNK1P/R1BQ1B1R w kq -,f1g2
r3qrk1/pppb1pbp/2np2p1/4n3/4P3/1P4P1/PBP1NPBP/RN1Q1R1K b - -,f7f5
4n3/1p1n1pk1/2pb2pp/p2p4/P2P1BPP/2PB1PN1/1P3K2/8 w - -,g3e2
3r2k1/3P1r2/p5p1/5p2/7q/P4Q1p/7P/3R1RK1 w - -,d1d6
8/6p1/p6p/P6P/2kp2P1/5P2/2NK4/5b2 w - -,c2a3
r2qr1k1/ppp1bppp/2np4/3n4/3P4/2PB1P2/PP1BNP1P/R2Q1RK1 b - -,e7g5
3r3r/pp2kpp1/2pbp1p1/8/2nP2PP/5BB1/PPP2P2/2KR3R w - -,b2b3
r1br3k/1pq3bp/2p2np1/p1B1p3/2P1Pp2/3B3P/PPQN1PP1/2RR2K1 b - -,f6d7
5n2/5Pk1/r7/3p4/8/2K5/8/4R3 b - -,f8e6
r3r1k1/p1pqbbpp/1pp2p2/5n2/3P1B2/2PN1N1P/PPQ2PP1/R3R1K1 w - -,a1d1
1R6/3pkp2/4p3/Q1p1Pp2/p1P3r1/3Nq1P1/7P/6K1 w - -,d3f2
8/8/5r1p/1k3P1K/3p2PP/8/5R2/8 b - -,d4d3
r6k/3p4/p3prpP/1pp1B1p1/1nP1R3/3P4/PP3PP1/R5K1 b - -,a8f8
rn1qk2r/1p3pbp/p2p1np1/2pP4/P3PBb1/2N2N2/1P2BPPP/R2QK2R b KQkq -,g4f3
1rb1R3/ppN3kp/2r3p1/5p2/3p4/3B3P/PP4P1/4R1K1 w - -,e1e7
1rbq1rk1/p3npbp/1pnpp1p1/2p5/4PP2/2PPBNP1/PPN3BP/R2Q1RK1 b - -,f7f5
2r2rk1/pp1nbpp1/1qp3p1/4p1Pn/2BPN3/1Q2PP2/PP1B3P/1K1R3R w - -,d2c3
1r1r2k1/p2n1pb1/3qB1p1/1p4N1/3PQ2P/P7/1P3P2/1K1R3R b - -,f7e6
rn1qk1nr/1b1p1ppp/p3p3/1pb5/4P3/1N1B1N2/PPP2PPP/R1BQK2R b KQkq -,c5e7
r1bqkb1r/pp3ppp/2nppn2/1N6/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,c1f4
r3r1k1/p2q1p2/2pb3p/3p1bp1/N2Pn3/BPQ3P1/4PPBP/R3R1K1 w - -,c3c1
3r2k1/B4pbp/5pp1/3B4/R2N4/2P5/2P2PPP/2K2b2 b - -,d8d5
r1b1k2r/1pp1n1bp/6p1/8/1QB1p3/5NP1/Pq3P1P/RN2R1K1 w kq -,c4b3
r1bq1nk1/pp3ppp/4p3/1P1pPB2/R6P/4QN2/2P2PP1/4R1K1 b - -,e6f5
8/3n4/8/5p1p/1k6/6K1/8/8 w - -,g3f3
2rqkbnr/pp3ppp/2n1p1b1/1B1pN3/3P2P1/2N4P/PPP2P2/R1BQK2R w KQk -,d1e2:e5g6:c1f4:h3h4
r3n1r1/3nBpk1/3Pp2p/pp1b4/2p3P1/2P1RP2/PPB2K1P/6R1 b - -,a8a6
r2qkb1r/1bp2ppp/p3pn2/1p6/P1Pn4/5NP1/2Q1PPBP/RNB1K2R w KQkq -,c2b2
8/8/3k1P2/3B1K2/2P5/8/1b6/8 w - -,f6f7
1r1qk1nr/1p3p1p/pNbp2pb/P3p2P/2BPPn2/5QN1/1P3PP1/R1B1K2R b KQk -,d8g5
r3k2r/pp1nPp1p/6p1/2q5/5PQ1/2P5/P1P3PP/R1B1K2R w KQkq -,g4f3
2n2k2/b4pp1/P2p3p/PB1P4/2P4P/2B3P1/5PK1/8 b - -,f7f6
5rk1/pp4bp/1n6/4p3/4P3/P5PQ/1Pqr1P1P/1R1N1RK1 w - -,d1e3
8/8/5p2/1k1Nb1p1/3pPpP1/1K1P1P2/8/8 b - -,b5c5
r1bqkbnr/pp3ppp/2n1p3/2ppP3/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,c5d4
2k5/p5p1/4b3/8/1B1b2P1/5P2/6K1/2N5 b - -,e6c4
rnb2rk1/ppp1p1bp/3p2p1/1q1P1p2/3P4/5NP1/PP2PPBP/R1BQ1RK1 w - -,f3g5
2r3k1/4qp1p/3b2p1/1p1P1p2/3R4/1Qn1PN2/5PPP/rB2RK2 b - -,e7a7
r1bqnrk1/1p2ppbp/2np2p1/p1p5/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,c1d2
3rnrk1/1p3ppp/p1pp4/8/3RP3/1P6/P1P1BPPP/5RK1 b - -,b7b5
r1b1R3/1p3kb1/2n3p1/p1Bp3p/P6P/4R3/5PP1/6K1 w - -,c5b6
r2q1rk1/1ppn2bp/3pb1p1/1P2pp2/2PnP3/2NP2PP/4NPB1/1RBQ1RK1 w - -,e4f5
k7/P6R/8/6Kp/6p1/6P1/5P1r/8 b - -,h2f2
2n5/5nk1/3p2pB/pQpPp2p/P1P4P/1KP3P1/4N3/qb2R3 b - -,g7h6
1k2rR2/2q4p/pp4p1/2pp4/P2R1Q2/1P5P/6PK/4r3 b - -,c5d4
8/1pk1r2p/p5p1/2P3R1/2nNp3/8/P3K1PP/8 b - -,e7d7
R7/5kp1/3P3p/2K5/1n6/5PP1/1p4P1/8 w - -,d6d7
r2qk1nr/pp1bppbp/2np2p1/1B6/3pP3/2P2N2/PP3PPP/RNBQR1K1 w kq -,c3d4
1r1kr3/p2p3p/b2b2p1/N1nP1p2/3N4/P4BP1/2R2PKP/3R4 b - -,c5e4
2r5/p1P2k1p/n2Bp1p1/8/8/1P4P1/P6P/1KR5 b - -,f7e8
7r/ppr2k2/2pR1R1p/6p1/8/4PP2/PP3KPP/8 b - -,f7g7
r2r4/1p2qbkp/2p1npp1/4p3/PP2P3/1BnNNP2/3R1QPP/R5K1 b - -,e6d4
r2qk2r/5pp1/p3pn1p/1pbb4/2N2BP1/1Q2PP1P/PP2B3/3R1K1R w k -,e3e4
r1bqnr2/1pp1p1bk/7p/p2Pp1p1/2P1Pp2/P1N2P2/1P1QBBPP/1R3RK1 w - -,b2b4
1r1q3k/5p2/1p1p3r/pPpP4/P1N1PPbp/3QR3/5RPK/8 w - -,e4e5
8/7p/p5p1/1pp2p1P/2k2P1K/P1n2P2/2PB4/8 b - -,c3b1
8/1q6/p3Q1p1/4Ppkp/1b1r4/P5P1/1P2RP2/6K1 w - -,e6f6
R7/1P3pk1/2B5/4b3/3p2p1/8/1r6/4K3 b - -,d4d3
4r1k1/6p1/6P1/4p2p/8/B3bP2/2R3K1/8 w - -,a3e7
3r4/p4k2/2q2pp1/3ppn1p/PRn4P/2PQ2PN/2P2PK1/2B5 b - -,d8d7
r1bq1rk1/pp1n1pbp/2pp2p1/8/P3P3/2N1QN1P/1PP1BPP1/R4RK1 b - -,f8e8
2r1r1k1/pq1n1pPp/1p2p3/8/P1pB4/1P6/4BPbP/R2QR1K1 w - -,e2c4
7k/1R2qp2/2r2b1p/4nQ1P/5B2/4P3/P5P1/5NK1 b - -,e7b7
6k1/p1rq1pb1/1r1pp1p1/7p/Q2P3P/2PNR1P1/1P3P2/R5K1 b - -,d7c8
8/kp5R/p2N4/2r1n3/2P2K2/8/6P1/8 w - -,d6b7
1R1Q4/p4p1p/3p1qpk/3Pn3/2p1Rbb1/8/P5BP/6K1 b - -,f6f5
8/p3r1k1/2b4p/3pP1P1/2p5/2P2B1P/P5R1/6K1 b - -,e7e5
8/p1k2pp1/2p5/1p1nP2R/5r2/PB1K4/1PP5/8 w - -,h5g5
8/5pp1/4p3/4Pk2/4bB2/2R3PP/1r3P2/5K2 b - -,e4d5
r5k1/p1p3pp/2pb4/8/r1P5/2R1P1B1/5PPP/5RK1 w - -,c4c5
2r3k1/4bpp1/pq2pnp1/1p1p4/3P2P1/1P1QPP1P/3BN3/5R1K b - g3,a6a5
r2q1rk1/pb2b1pp/4p3/1p3p2/2pPp3/2P1P2P/PPB2PPB/RQ2R1K1 w - -,a2a4
5rk1/4bppp/pr1pp3/1qpnP3/8/1PBQ1B2/P1P2PPP/R4RK1 w - -,d3b5
1r1q1r1k/1p2n1bp/p1n1p1p1/2P1p3/4N3/P2P2P1/3B1PBP/1R1QR1K1 b - -,d8d3
8/4B3/p7/1p6/1P3b2/1k1p4/8/3K4 b - -,b3c4
r3kb1r/2qb1ppp/p1nppn2/1p6/4P3/2PQ1N2/PPBN1PPP/R1B1R1K1 w kq -,d2f1
1rb2rk1/p1pqbpnp/1p3Np1/4P3/3PB3/2P5/PB3QPP/R4RK1 b - -,e7f6
r4nk1/6p1/1Rb2b2/2p2P2/2NpPB2/3P4/6B1/6K1 b - -,a8a1
r2nk2r/pp1qbppp/3pb3/3Pp3/8/P3P1P1/1P3PBP/R1BQK1NR b KQkq -,e6g4
6k1/5pPp/p7/8/8/5b2/PP2p2P/K2N2Q1 b - -,e2d1q
8/8/R3p3/1P1k4/2p3K1/1rP5/8/8 w - -,b5b6
rn2k2r/pp1qbppp/3ppn2/8/2PNP3/2N5/PP3PPP/R1BQK2R w KQkq -,e1g1
8/8/2Np1kp1/3P4/5bP1/8/3p4/3K4 b - -,f4h6
4rk2/1pr2b1p/p1p1pnp1/R4p2/1P1P1P2/2PBPKN1/1P5P/R7 b - -,c7d7
rn1qk2r/pp2bpp1/2p2n1p/3p1b2/8/2NPBNP1/PP2PPBP/R2Q1RK1 b kq -,e8g8
r1bqkb1r/pp1ppp1p/2n3p1/4N3/Q3P3/2N4P/PPP2PP1/R1B1KB1R b KQkq -,c6e5
6k1/1R5p/p7/3p4/3P1Pp1/6Pr/5K2/8 w - -,f2g2
2r5/3b1p1p/3k1pp1/r1np4/1p1N4/3PP3/P1RKBPPP/2R5 w - -,c1b1
2k2r2/p2rRP1p/bpp2Np1/3p4/8/8/PPP2PPP/4R1K1 b - -,f8f7
R7/1R4pp/2p1k3/3r1p2/4rP2/4PKP1/7P/8 w - -,a8e8
8/8/8/1k6/3Kp3/5b2/8/2R5 b - -,b5b6
2k4r/2p2ppp/3r1n2/1b6/8/2P3P1/PP1N1P1P/R3K2R w KQ -,e1c1
8/3R3p/1p1B1p1k/4p1pn/1P1p3P/P4PP1/2q5/4RNK1 w - -,g3g4
8/6bp/1Bnpk1p1/p5P1/1pP1K2P/1P3N2/P7/8 w - -,b6d4
r1bqr1k1/2p2pbp/p5p1/3p4/8/1NP1B3/PP3PPP/R2Q1RK1 b - -,c7c6
r1b1k2r/1pq2pbp/p2pp1p1/4n3/2P1PB2/1N1B4/PP2QPPP/R2R2K1 b kq -,e8g8
8/1n4p1/5k2/1p2pP2/p2pP3/P2P1N2/1P1n1K2/1B6 b - -,d2b1
8/p3r1k1/1n2b2p/2R5/1P4p1/6P1/3RPK1P/8 b - -,g7f6
4r1k1/pb1r3p/1p3q2/3PNp2/2P1p3/P2p2PP/1Q2RP2/4RBK1 b - -,d3e2
r5k1/5p1p/2n3p1/2N5/4p3/4P1B1/1b3PPP/1R4K1 b - -,f7f5
8/p6p/8/1pp1nkP1/8/1NP5/P3K2P/8 b - -,e5d7
1r4k1/6p1/1n3p1p/4p3/1P6/4P3/3B1PPP/4NK2 b - -,b6c4
r4rk1/1pp2pp1/3pb2p/p3n3/4P2q/1BP3RP/PP1Q1PPN/4R1K1 w - -,b3e6
6k1/7p/5r2/2p2p2/P7/2N4P/2n2PK1/3R4 w - -,d1d5
3r1r2/pp2qpbk/2pp3p/8/4P3/1QPP1RB1/PP5P/R6K w - -,a1f1
r3qk2/1pp2p2/3p4/p1nP3p/2P2n2/6RP/PPQ2PBK/8 w - -,c2h7
1r1q3r/4kpR1/p2p1n1Q/1bpPpp2/4P3/P1N4P/BP6/2K4R w - -,h6g6
2b3k1/p1q2rp1/P4n1p/1Pp1p3/2P1p3/2B1Q2P/4B1P1/3R2K1 b - -,c8f5
1k6/R7/1B1p4/p2P2pp/1bP5/6P1/2K1r2P/8 w - -,c2b3
4r1k1/5pp1/p1p1r3/1p4p1/1P1RP3/2P1P1P1/1P5P/2K4R w - -,c1d2
r3r1k1/1b1nbppp/p2q4/Q3p3/2P1P3/1N1B1R2/1P1N2PP/R6K w - -,a1f1
6kr/1p3p2/2r1qbpB/5N1P/p3p3/2PQ4/1P3P2/2KR2R1 w - -,d3d5
r2q1rk1/1p1bbppp/pn2pn2/4N3/2pPPB2/P1N3P1/QP3PBP/R2R2K1 b - -,a8c8
1r2r3/p1pqnpk1/3p2p1/2p3Q1/2P5/1P1N1BPb/P3PP2/3RR1K1 b - -,f7f6
r3r1k1/3q1pb1/p2n2p1/R2p4/3N4/3P1b2/1P1Q1BPP/5R1K w - -,d4f3
4q1k1/p1p2p2/1p4p1/7p/4N3/1Pb3PP/P1P2PQ1/1Rnr2K1 w - -,g1h2
2r2b1k/5p1P/5P2/7P/1p6/2Q5/PKP5/2R5 b - -,c8c3
5k2/p4pp1/5nqp/2pNQ3/2P3P1/1P3P2/P5KP/8 w - -,e5d6
5rk1/2RNppbp/6p1/1P2P3/1p2b3/rq4B1/5QPP/5R1K w - -,d7f8
8/2R3bk/pp4p1/n4p2/3q4/6PP/P4P2/2Q2BK1 b - -,b6b5
