8/2r3kp/q4pp1/3Q4/p1PR4/7P/6P1/7K w - -,d5b5
rn1qk2r/p2pppbp/1p3np1/2pb4/2PP4/1Q3NP1/PP2PPBP/RNB2RK1 b kq -,d5c6
r1bq1rk1/pp2ppbp/2p2np1/3NN3/2BP1B2/8/PPPQ1PPP/R4RK1 b - -,c6d5
2b2rk1/2p3p1/p1q5/1pN1Pr1p/1P6/2QR1P1P/6P1/R6K w - -,e5e6
6k1/p2r3p/2p3p1/4qB2/8/1P3RP1/P4Q1P/6K1 b - -,g6f5
r4rk1/p4pp1/2b1pn1p/1p6/8/1B3P2/PPP1NbPP/R4R1K w - -,f1f2
8/p1rnkp2/6p1/4P3/2B2PP1/R3K3/8/8 w - -,e3d4
r1bqr1k1/pp1n1ppp/2pb1n2/4p1N1/2PPN3/6P1/PPQ2PBP/R1B2RK1 b - -,d6f8
8/1r6/5R2/7p/1P2k2P/2K2p2/8/8 b - -,e4e3
1rr5/2q2pk1/p2ppNp1/7p/NpP1P3/6P1/1Q3PP1/2R3K1 b - -,e6e5
5k2/p1r2ppp/R1p1b3/3p4/5P2/1P5P/P1P1B1P1/6K1 b - f3,f8e7
5r1k/pp2p3/2p3Qp/2N1b3/3r1q1P/1P4RB/P4PK1/5R2 b - -,d4d2
r2r2k1/1b2qpp1/p1p2n1p/1p2b3/4P3/P2BB2P/1PQ1NPP1/R2R2K1 b - -,e5d6
2b3r1/pp3k2/2p3pb/2qpPp2/3N1P2/3BP3/P1P1K1Q1/1R6 w - -,d4f3
5k2/5pp1/4pbp1/1P1p4/P1n2B2/5P1P/6P1/5K2 b - -,f6d8
r3k2r/p1pbqppp/2p5/2bpP3/8/2P5/P1P1NPPP/R1BQ1RK1 w kq -,e2d4
1rb1k2r/2q2pp1/p2Np2p/1pp5/2Q5/3P2P1/PP2PPBP/R4RK1 b k -,c7d6
1r2r3/2q2pbk/p1P2npp/2p5/2p1PP2/2N3PP/1P1Q2B1/R3R1K1 w - -,e4e5
1nrq1rk1/pp2bppp/4b3/2p1p3/2P1P3/2N1BP2/PP1QB1PP/3R1RK1 w - -,d2e1
r1b1k2r/1p2qp1p/2n3p1/5P2/p1PpB3/1N2bNP1/PPQ1P2P/R4R1K w kq -,e4c6
8/1r5p/P2p4/2p3p1/2k5/5Q1P/2q5/1q3NK1 b - -,b7b2
2r1bBk1/pp3p2/4pQp1/8/8/6PP/P4P1K/8 b - -,g8f8
2r2rk1/pp1qn2p/4pbp1/3p4/3P1P2/1P2BNPP/P5K1/2RQR3 w - -,d1d2
1r4k1/7p/p1ppppp1/3b4/PP3P2/6PP/5K2/1R2R3 b - -,g8f7
r2qk2r/p3bpp1/nn2p3/2ppP3/p2P4/2P1BNPp/1P2NP1P/R2Q1RK1 w kq -,a1a4
5k2/8/3p1PK1/3N4/2P5/3n4/1p5b/7R w - -,d5c3
2kr3r/ppp1qppp/1bnp1n2/3b4/4P3/1N2B3/PPP1QPPP/1K1R1B1R w - -,e4d5
8/6pp/3k4/p1nPp3/7P/5KP1/8/2R5 w - -,c1d1
7k/2Q1bq2/3p1p2/4pBp1/P3P3/6P1/5PK1/8 w - -,a4a5
r2q1rk1/1p4pb/1n2p2p/p1bpPp2/Pn1P1PP1/3NB2P/1P2B3/R2Q1RK1 w - -,d3c5
8/1R3p2/6k1/5p2/1prr2P1/1R2K2P/8/8 w - -,g4f5
r3r1k1/3n1p1p/2pRb1p1/1pB5/p3PP2/2N5/PPK1B1PP/8 w - -,c5g1
r4rk1/pp1nqppp/4p3/2ppPb2/4nP2/1P1BP3/PBPNQ1PP/R4RK1 b - -,a7a6
1r1r4/p1p2k1p/P1pbppp1/R7/1PNP1PP1/2P1K3/7P/R7 w - -,h2h3
1rbrn1k1/1pqn1ppp/p2pp3/2P5/N7/1N4P1/PP1QPPBP/2RR2K1 b - -,d6d5
1r3rk1/1n1qppbp/pp1p1np1/2pP4/P1P2P2/1PN3P1/3BQPBP/1R3RK1 w - -,f1e1
r1b2rk1/1pq1ppbp/2n2np1/p1p5/2P2P2/3PpNP1/PPN3BP/1RBQ1RK1 w - -,c1e3
2r2rk1/4ppbp/3q1np1/1p1nNbN1/p6Q/P1P1B3/BP3PPP/3RR1K1 b - -,h7h6
8/5k2/6p1/r3B3/8/3PK1R1/7P/8 w - -,e3e4
8/6R1/1p2pk2/3pn3/1PbN1p2/P7/5K2/8 w - -,g7b7
r3r3/1p3p1k/1pp1b2p/4Pp1q/3P4/1P2QN2/P4PP1/R4RK1 w - -,g2g3
8/5p1k/6p1/3q3p/7P/1pQ3P1/5P1K/8 b - -,d5d1
r3kb1r/ppqnpppp/1n6/8/2p5/NPP2N2/P2P1PPP/R1BQR1K1 w kq -,d1e2
3b4/1k6/pn2B2p/B1p1p1pP/P3Pp2/1PK2P2/6P1/8 w - -,c3d3
1rb1k2r/2qnbpp1/2pp1n2/1p2p2p/3PP3/1BN1BP2/1PPQN1PP/R2R2K1 w k -,d2e1
4nrk1/p2b2pp/1p1p1n2/2pP4/2P1N1P1/P1N4P/1P1KB3/6R1 b - -,h7h6
2q3k1/1b4p1/pp2p2p/1P3p2/P2b4/BQ6/5PPP/1B5K w - -,b1f5
4q1k1/pp1bQp1p/5Pp1/2PP2P1/5P1P/1B4K1/8/8 b - -,a7a5
8/k1p5/pp6/3N3p/1PQqp2P/8/PKP2b2/8 w - -,b2b3
rn1qkb1r/pp2pppp/2p2n2/5b2/3P4/5B2/PPP1NPPP/RNBQK2R b KQkq -,e7e6
8/5n1B/1p1b1k2/1PpP3p/2P3pP/4B1P1/6K1/8 w - -,h7d3
5r2/3b2k1/p2p2Nr/1PpP1pN1/5P2/b1qB2Q1/P6R/1K6 w - -,g5e6
1r4k1/5p2/p3p1pp/8/2pP1P2/7P/1P1bNKP1/R7 w - -,a1a2
r5k1/p4p2/1pPr2p1/8/4b2N/2R3R1/1n4PP/4K3 b - -,e4c6
8/5ppp/p1n1k3/1p6/4K1PP/1PN2P2/P7/8 w - -,f3f4
rnbqk2r/pp2nppp/4p3/2ppP3/3P4/P1P2N2/2P2PPP/R1BQKB1R b KQkq -,b7b6:b8c6:h7h6:c8d7:d8c7
3b4/r4pk1/2p4p/2P1P1q1/P2P2p1/3BP3/2Q3PP/5RK1 w - -,c2f2
r1bq1rk1/pp3pp1/3bpn1p/2P5/8/3B1N2/PPP1QPPP/R1B1R1K1 b - -,d6c5
r1bqr1k1/ppp3bp/2n1pppn/4P3/2B2P2/2N2N1P/PPP3P1/R2QK1BR w KQ -,d1d8
r2q1rk1/1b2bp1p/p1n1pnp1/6B1/N2P4/P2Q1N2/5PPP/1B1R1RK1 b - -,c6a5
r1b2rk1/pp1n1pbp/1q1p1np1/2pP2B1/2P2PP1/2NB3P/PP1Q3N/R3R1K1 w - -,h2f3
r1bq1rk1/1p2ppbp/3p2p1/p1nP1P2/2PNn3/1PN1B3/P3B1PP/2RQ1RK1 w - -,c3e4
3b4/r4kpp/1pnPp3/p1p1PpPP/P1P2P2/5KN1/1R6/4B3 w - -,g3e2
1r1r2k1/2p2p1p/1p2p1p1/p1bnPb2/2N2P2/2P3P1/PP1R3P/R1B2B1K b - -,d8d7
5rk1/7p/3ppnp1/4b3/2p1P3/p1P2B1P/1r1BRPP1/2R3K1 b - -,a3a2
8/5pp1/r3k2p/3pp3/4P3/P2K1P2/6PP/R7 w - -,e4d5
8/r1p5/8/2R2p2/4k3/1P6/3K4/8 b - -,a7b7
4rn2/2p3k1/pp4pp/3P4/q3N3/3QR1P1/1bP2P1P/6K1 b - -,a4d4
2r2rk1/ppq2pp1/5b1p/3p3P/6P1/2R5/P1PNQP2/1KBR4 b - -,c7c3
3r1rk1/1p3pbp/p4Bp1/2pn1q2/4N3/1Q3N2/PP3PPP/3RR1K1 b - -,d5f6
3r2k1/4p2p/b1pn2p1/5p2/1rp5/1PR1PPP1/3N3P/4RBK1 b - -,c6c5
8/5k2/8/8/1R4P1/1p2r3/1K6/8 w - -,g4g5
2r2rk1/pb2bppp/1p2pn2/6q1/2BB4/PP2P3/4QPPP/1NRR2K1 w - -,f2f4
r6r/5bk1/3p1p1p/p1p1pP2/2pNP1PR/1P1P2K1/P7/3B3R b - -,c5d4
r2q1r1k/pp1n1pbp/2p1pnp1/3pP3/3P4/1BN1B1QP/PPP2PP1/R3R1K1 b - -,f6g8
5n1k/4R3/p1b2rp1/1pp5/2B5/5PN1/PP3KP1/8 w - b6,c4d3
rBrq2k1/pp3ppp/4pn2/Pb1p4/3P4/1NPBP2P/5PP1/R2Q1RK1 b - -,b5d3
5rk1/Nb1p3p/nB1p4/3Pn3/1PP1P3/P6P/6B1/R5K1 w - -,c4c5
8/8/2k1p2p/1p1n2p1/1PpP4/5PP1/N2K3P/8 w - -,d2e2
r2qrbk1/pb1n1ppp/1p1ppn2/8/NPPP4/P2B1N2/1B3PPP/R2QR1K1 b - -,a8c8
r2qk2r/ppp1pbb1/1n4pp/2Pp4/3P1PPB/5N1P/PPQ1B3/R3K2R b KQkq -,b6c4
6k1/8/5pp1/7p/1K5P/1P6/P5P1/1b6 b - -,b1a2
1k2q3/1pRr2b1/p2P1n1p/Q4b2/5B2/8/PP3NBP/K7 w - -,c7b7
3r1r2/6kp/1R1p1pp1/2n5/4Pp2/2P3PP/6BK/5R2 w - -,g3f4
r2r4/pp2pk1p/4p3/6B1/2P1P3/1PR2P2/P3K1PP/8 w - -,g5e3
r4rk1/1pq1bppp/p1p1bn2/4p3/2P1P3/2NBB2P/PP2QPP1/R4RK1 w - -,f1d1
r1b2rk1/pp2ppbp/n4np1/1N1q4/3Q4/2P1BN2/PP3PPP/R3KB1R w KQ -,f1c4
8/pp3Q2/8/4p1p1/5pk1/4q3/P5PP/3R3K w - -,f7d7
1k4rr/2q2p2/pp1b3p/2p4P/2Pp2R1/3P1Q2/PPN2P2/1R4K1 b - -,c7c8
rnbqk2r/ppp3bp/3p2p1/4np2/1PP5/5NP1/PB2PPBP/RN1QK2R w KQkq -,d1b3
2rr2k1/2R2Rpp/1p6/p2p4/P4B2/6P1/1b3P1P/6K1 w - -,c7b7
8/8/1p5p/p2b4/P4p1P/1P3k2/8/4KN2 w - -,h4h5
5k2/5ppp/pBb5/2P2Nb1/1P2p3/7P/4KPP1/8 b - -,c6b5
r1q2r1k/1ppb2bp/p2p2p1/2nP4/8/1B2B3/PPQNRPPP/R5K1 w - -,e3c5
r3rbk1/1b3pp1/pn3n1p/1pp1qN2/4P3/P1N1BQ1P/1P3PP1/1BRR2K1 w - -,f5g3
4R3/3Q2pp/1r3bk1/p1r2p2/Pq2pP2/6P1/6BP/5R1K w - -,g3g4
2q3k1/5ppp/pr3n2/2ppQ3/8/1P6/P1P1BPPP/R5K1 w - -,e2f3
5k2/2b2p2/1p1n2p1/2nB3p/2PN1P2/5KP1/PB5P/8 w - h6,h2h3
2r2rk1/4bpp1/p4n1p/4p3/Pp6/1N3P1P/1PP2BP1/2KRR3 w - -,e1e5
rnbqk2r/ppp2pp1/4pb1p/3p4/3P4/2PBP3/PP1N1PPP/R2QK1NR b KQkq -,b8d7
3r1rk1/pp2pp2/5bp1/q2pNb1p/P2PnPP1/2PB4/1P2Q2P/R1B2R1K b - g3,h5g4
1r5r/p2bkpb1/2p1p1p1/1q1pP1Np/2pP3P/2P3N1/PP2QPP1/R4RK1 w - -,f1b1
R3n1k1/1p2qppp/8/8/1b1p2b1/3P2P1/2QB1PBP/4rNK1 b - -,b4d2
6k1/7p/8/pP3bpR/8/P2qB1P1/5P1P/2R3K1 b - -,d3a3
r2q1rk1/pb3pp1/1pnppn1p/2p5/2PPP3/P1PB1N1P/2Q2PP1/R1B2RK1 b - -,e6e5
r5k1/pp3p1p/6pb/n3p3/2PpP3/1B1n3P/P2N1PP1/R4RK1 w - -,d2f3
7k/6p1/6P1/5p1P/2QPq3/8/1K6/2R1r3 b - -,e4b7
2rq1rk1/p2Qppb1/1p2n1pp/n3P3/B3b2P/5N2/PB3PP1/R3R1K1 w - -,e1e4
5r2/7k/2R4p/2N1K3/P4P1b/8/8/8 w - -,a4a5
1r1br1k1/6pp/5p2/4pP2/2bpP1PP/1p1NP3/1R3K2/R4B2 w - -,a1c1
r7/4k3/7R/3p1p2/5P2/3P1K1P/8/8 w - -,f3e3
r4k1r/1p1b1p2/2pn1p2/p2p1P1P/P2P1NP1/1P1B1P2/3K4/2R1R3 b - -,d6c8
r4rk1/1pp2ppp/p1p5/4Pb2/1b1N3q/4B3/PPP2PPP/R2Q1RK1 b - -,f5g6
r2br1k1/1b3p1p/ppqB2p1/2P1Pp2/PP1Q4/3B4/6PP/R4RK1 w - -,f1f2
3r1k2/7q/3pBp1b/1p1Pp1p1/nPp1P1Qp/2P4P/5BP1/R6K b - -,a4c3
1r6/6p1/3kp3/p2b4/1PpP4/2P1RP2/1P3KP1/5B2 b - -,a5b4
r4k2/5p2/2Q1p2b/4P3/2p5/5P1P/4KP2/8 b - -,a8a2
r2qr1k1/pbp3bp/3p1np1/5p2/2P5/2N1PN2/PP1Q2PP/2KR1B1R w - -,d1e1
8/8/8/2Q5/kp6/r7/2K5/8 w - -,c5a7:c5c6
2rq1rk1/pb1nppbp/1p3np1/3p4/P1PP4/BPN2N1P/4BPP1/2RQ1RK1 b - -,f8e8
8/8/p2bp1k1/1p3pp1/8/1P5P/P2NPPK1/8 b - -,g6f6
r2nr1k1/p2q1pp1/1pp2n1p/3p1P2/2P2BP1/1P5P/P4PBK/R2Q1R2 w - -,a1c1
8/P1R5/8/5k1p/7P/r4P2/5K2/8 b - -,f5g6
3r2k1/pq3ppp/4pb2/3n4/3P4/2B2N2/P2Q1PPK/2R5 w - -,c3a5
2kr3r/pppqnppp/3p4/nN6/4PP2/2N5/PPP1Q1PP/2KR1Rb1 w - -,f1g1
8/2P5/4k2p/3nB1p1/8/7P/6P1/7K b - -,d5e7
4n3/1p1k3r/p3N2p/Pn1NB1p1/3PKpP1/1P3P1P/8/8 w - -,e6c5
r1n3k1/2rq1p1p/1p1p1np1/pPpPp1P1/P1N1P3/3P4/3QBP1P/4RRK1 b - -,f6e8
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/2NB4/PP2NPPP/R1BQK2R w KQ c6,d4d5
r3kb1r/4qppp/p1p1p3/2PpPn2/1P5P/2P1BN2/P4PP1/R3QRK1 b kq b3,f5h4
8/7p/3N2p1/p6k/Kp6/7P/1b3PP1/8 w - -,a4a5
1nkr3r/1p1b1ppp/P2q1b2/3p4/P7/2P1BN2/4BPPP/R2Q1RK1 b - -,b8a6
r3k2r/1p1bnp2/pq1pp1p1/8/4PP2/1NN5/PPPQ4/R3KB2 w Qkq -,e1c1
1k1r1r2/pp3pp1/4pn1p/4q3/3P1P1P/8/PP1B2P1/1K1R3R w - -,d4e5
1r3rk1/5p2/2n1b1p1/4b1B1/1Pp5/K4N2/3RB2P/3R4 b - -,b8a8
5r2/1pk5/p1pr2p1/P1KpNp1p/1P3P1P/4P3/6B1/1R6 b - -,f8f6
r1bq2k1/pp1n1p1p/3p2pb/2pPP3/5P2/8/P2N1PBP/1R1QR1K1 b - -,h6f4
r5nk/pb1nq3/4p2p/1p1pPPrP/2pP1R2/2P1N3/PPBN3Q/R6K w - -,f5f6
rnbqk2r/pp3ppp/4pn2/3p4/1b1NP3/2NB4/PPP2PPP/R1BQK2R w KQkq d6,e4e5:e4d5
8/4k2p/pp2p3/2b1Pp2/2Pp1P2/3B2P1/PB1K4/7b w - -,d3e2
1k1r1r2/p4pb1/Bpbp3p/5qp1/3N4/4Q3/PPP3PP/3R1RK1 b - -,g7d4
8/4k3/R4p2/6p1/6P1/3r4/6K1/8 w - -,a6b6
8/6k1/5bp1/3R4/3pBP1P/3P3K/8/6r1 b - -,g1f1
r4rk1/1q5p/p2bp3/n2pNpp1/Pp1Pn3/1P1QP3/1BR2PPP/1NR3K1 b - -,a8c8
r6r/1q2kb2/p1nn1p1p/bpp1pPp1/2PpP1PP/1P1P1BN1/P2B2K1/R2QN2R b - -,b7b6
4b3/8/4k3/1p2pR1P/1P2P3/4K3/8/8 w - -,h5h6
8/1p1bk2p/1r1p1pp1/8/3RPB1P/P4P2/5KP1/8 w - -,g2g4
2rr2k1/p3qppp/1p6/2nn4/1Q2b3/P3PN2/1B2BPPP/3R1RK1 w - -,b4d4
4r3/p2nPpk1/3q2pp/2p1R3/2P3P1/2Q2P2/P2r3P/4R1K1 b - -,d7e5
2r5/5qk1/2Np2p1/1n2p2p/4P3/3K1P2/1Q4PP/R1b5 w - -,b2b5
1r2r1kb/1bq2p1p/p2p1npB/2nPpN2/P1P5/4Q1NP/2B2PP1/2RR2K1 b - -,c7d7
4r1k1/p2p2pp/8/1p1pBP2/1P3Pq1/PQ6/7P/5K1R w - -,h1g1
2k1rbnr/2pb2pp/pp3p2/2p5/4P3/2N1B3/PPPRNPPP/3R2K1 b - -,d7c6
r3k2r/pp1n1pp1/1qp1pnp1/3p4/1bPP2P1/1QN1P2P/PP3PB1/R1B2RK1 b kq -,b4c3
1rbq1rk1/4npb1/2n1p1pp/P1N5/2pp4/3P1NP1/3BPPBP/1R1Q1RK1 w - -,b1b8
7k/pr3r2/1p1pb1q1/1P1Np3/P3P1p1/3PBppn/2R2P1P/2RQ1K2 w - -,h2g3
rnbqk2r/pp2ppbp/6p1/1B6/3PP3/5N2/P4PPP/R1BQK2R b KQkq -,c8d7
8/8/3k4/P5pp/2K1Pp2/7P/4N1P1/6b1 b - -,g1a7
r2qk1nr/pp1nppbp/2pp2p1/8/3P1B2/2N1PQ1P/PPP2PP1/R3KB1R w KQkq -,f1c4
1rq2rk1/1b2bppp/pp1ppn2/4n3/2PNPP2/1PN1B1PP/P5B1/2RQR1K1 b - f3,e5d7
8/p5k1/1pR5/2p1K1P1/8/8/8/5r2 w - -,e5e4
rnbq1rk1/pp2ppbp/2pp1np1/8/2PPP3/2NBB2P/PP3PP1/R2QK1NR b KQ -,a7a6
r1bqr1k1/ppp2pbp/2n2np1/4p3/4P3/2PBBN1P/PP3PP1/RN1Q1RK1 w - -,d1c2
6k1/2R2p2/6pp/rp6/4r3/4P1P1/5PKP/1R6 b - -,e4e5
r4rk1/p5b1/4q1pp/1pp2p2/2p1PP2/2P2Q1P/PPB3P1/1R3RK1 w - b6,e4f5
6Q1/8/8/1pk2q2/p3p3/2P5/1K6/8 w - -,g8g1
6r1/p6k/1p2p2p/5Pn1/2Pb1q2/PR6/2QN4/4K2R b - -,e6f5
1r2r1k1/q3bppp/p1p1p1n1/2PpP3/3B1P1P/4Q1P1/PPPN4/4RRK1 b - f3,b8b2
8/5ppp/8/3k4/1P6/r2KP3/p4PPP/R7 w - -,d3c2
6r1/5p2/p2p1p1P/1p2kP1B/1P2P3/b7/4K3/7R b - -,a3b4
1r2r1k1/2pq1pbp/3p1np1/2n5/1p1N4/1P2P1P1/PB2QPBP/2R1R1K1 b - -,f6e4
2r4k/5P1n/1pn1p3/p3N1pq/P2p4/6Q1/3B4/5RK1 b - -,c6e7
3r1rk1/ppp1B1pp/4bp2/3np3/4N3/Pn1P1NP1/1Pq1PPBP/4QRK1 w - -,e7f8
2r3k1/1b3p1p/p4p2/n2P2q1/1QP5/5P2/r5PP/R2R1B1K b - -,c8c4
3r1k2/p3p2q/1p3pr1/2pP1QN1/2P5/8/P5PB/4R1K1 b - -,h7h4
r4rk1/pp1b1ppp/1bn2n2/3p4/1P1Np3/P5P1/1BNPPPBP/R4RK1 w - -,a1c1
2b1kr2/r3bpQp/p1qppp2/1p1N4/4P3/1B6/PPP2PPP/2KR3R w - -,d5f6
2r3k1/p4p2/6p1/P3q3/1P5p/2P4R/1K1Q4/8 b - -,c8c4
5rk1/2p5/bpPp4/3Pn1Pp/2P1P3/3KN3/8/2B2R2 w - -,d3d4
6k1/4qp2/1p3Np1/3Q3p/1PP5/7P/5KP1/8 b - -,e7f6
r1q2bk1/p5p1/3p1nQp/1pp2P2/8/8/PPP3PP/3RR1K1 b - -,d6d5
2rq1rk1/1b2npbp/p2p2p1/8/1p1NPB2/nPN4P/P1BQ1PP1/2R1R1K1 w - -,c3e2
3N4/5p2/3kpn2/8/8/1P3K2/P7/8 b - -,d6e7
r3k1nr/2pq1pp1/pp1b2np/3Pp3/P3P3/1QN1BN2/1P3PPP/R3K2R w KQkq -,f3d2
4rk2/p2b4/2p2n1q/1p3p2/1P1PpP1p/P3P2B/4Q2P/2R1B1K1 b - -,f6g4
q1r2rk1/1b1np1b1/pp1p3p/2pP1pp1/P3n3/2PQPN1P/1P1N1PPB/3RRBK1 b - -,b7d5
r1b2rk1/p1nn1ppp/4p3/8/2p1P3/2P1BP2/6PP/R3KBNR w KQ -,f1c4
7r/p5pp/3bkpb1/1r1pp3/1P3P2/2P1P3/P3N1PP/RN1RK3 w - -,g2g4
6k1/p4p2/2pq2pb/7p/P1P4P/1P3QP1/5PK1/3N4 b - -,d6b4
1rbqnnkr/5pb1/pp1p2pp/2pPp3/B1P1P1PP/P1N1BPN1/1P1Q4/R3K2R w KQ -,a4c6
5r2/6k1/p1bp1bpp/1P6/1R6/5PP1/1PP3K1/5R2 b - -,a6b5
