8/5R2/3P2pk/8/1p5P/8/5PK1/3r4 w - -,f7b7
5k2/p5pp/n1p2n2/1qPppp2/8/1P2BBP1/P3PP1P/2RR2K1 b - -,f6d7
8/8/1p3kp1/5p2/1P2PK2/1r3P2/8/3N4 w - -,e4e5
3r1b1k/1p3rpp/2np4/3Np3/P3B2P/2P2PP1/3R4/3R2K1 w - -,d2b2
5k2/R4p2/6pp/p3P3/r6P/5PK1/8/8 b - -,a4a1
r5k1/1p2r3/2pq2p1/p2pNp1p/3PnP1P/1P2P1P1/P3Q2K/2RR4 w - -,e2b2
4Q3/p4ppk/6q1/2N4p/4p3/4B2b/1rP2RP1/6K1 w - -,e8e4
2nk4/3q4/2p1p2N/1p2Q3/1P1P4/2P4P/6P1/6K1 b - -,c8d6
r5k1/4pp1p/qp1p1np1/2r5/2PNP3/1P3PP1/PQ5P/R2R2K1 w - -,d4b5
1r4r1/p1kq1p2/bp1p2p1/2pPP2p/P1P1P1nP/1RPB2B1/4Q1P1/R5K1 b - -,g4e5
r3brk1/pp2q1np/4p3/2p1Ppp1/1bP5/1P3B1P/PBQ2PP1/1N1R1K1R b - -,e8g6
3rr1k1/p4p1p/1p1P2pP/7q/P7/3R2P1/3Q1P2/2R3K1 b - -,e8e2
1r5k/r5p1/1pQ2npp/P1b1p3/8/8/1PP1RPPP/R5K1 w - -,c2c3
1r2k2r/4p2p/p2p1n2/qp3PQ1/8/8/PPP4P/1K1R1B1R b k -,h8g8
r1b1kbnr/pp3p2/1nppp1pp/q2P4/2B1PP1B/2N2N2/PPPQ2PP/2KR3R w kq -,c4b3
1k5q/1pr1pp2/p2p1n2/3P1B1r/2P2Q1P/1P6/P7/1K2R2R b - -,h5h6
1rbq1rk1/pp2npbp/2npp1p1/2p5/P3PP2/2PPBNP1/1P4BP/RN1Q1RK1 b - a3,b7b6
4r2k/5pqp/p5p1/1p6/2p1r1PQ/P5K1/1P4P1/R6R w - -,a1b1
r3r1k1/pp1n1pb1/1qp2np1/3pp2p/2P5/1P1P1PPP/PBQN1PB1/2R2RK1 w - h6,h3h4
r1bq1rk1/pp1nppbp/2p2np1/3p4/3P1B2/2N2NP1/PPP1PPBP/R2Q1RK1 w - -,d1d2
1rbq1rk1/1p3pbp/p1n2np1/2p1p3/2PpP3/3P2PP/PP1N1PBK/R1BQNR2 b - -,g8h8
rnbqk2r/ppp1ppbp/5np1/3p4/5P2/2N1PN2/PPPP2PP/R1BQKB1R w KQkq -,d2d4
5k2/2p2qbp/1p1p2p1/p2n4/P1P2P2/1P2B3/3Q2PP/4K3 w - -,d2d5
1r1q1rk1/pb2bppp/1n1p4/1Q6/2P5/2NB4/PP3PPP/R1B2RK1 b - -,b6d7
5k2/4bp1p/p4p2/2p5/2R1p1P1/1PN1P3/P1r2P1P/6K1 w - -,c3e4
r1bqr1k1/1ppp1ppp/2n5/p1b1P3/2P3n1/P1BBPN2/1P3PPP/RN1QK2R b KQ -,d7d6
3r4/1p2q1k1/p7/4p2p/3nb1pP/P3N1P1/BP4PK/2R1Q3 b - -,e4c6
r4rk1/pp3p1p/4b1p1/3Bp3/q3P3/8/PPP2QPP/R4RK1 w - -,b2b3
6k1/5ppp/8/1b6/1Pp5/P1Rr4/2K4P/8 w - -,c3d3
3r1r2/1p1qnpkp/2n3p1/p1P5/PP4P1/3N3P/3Q1PB1/3R1RK1 b - -,c6b4
5k2/2b4p/5pp1/p1n5/2B2P2/5KPP/4R3/8 w - -,g3g4
r2q1rk1/ppp1npbp/2n3p1/1B1pPb2/3P4/4BN1P/PP1N1PP1/R2QK2R w KQ -,g2g4
7r/2bpkp2/2b1pp2/2P5/3B1P1p/6P1/1R3K1P/R7 b - -,h4g3
r2q1rk1/5pbp/P3p1p1/5n2/3pbP2/1B5P/1PP1N1P1/R1BQR1K1 w - -,g1h2
r1b1k2r/1p1n2pp/p1n1p1p1/q1Pp4/5P2/2N3Q1/PPP3P1/2KR1BNR w kq -,h1h7
rnbqk2r/pp2npbp/4p1p1/8/3Pp3/3B1N2/PP3PPP/RNBQ1RK1 w kq -,d3e4
3r4/1P1Pkpp1/1r6/p1P3p1/1p2P3/3R4/6PP/3R2K1 b - -,b6b7
r1bqr1k1/ppbn1ppp/5n2/2pp4/3P4/P1NBPP2/1P1BN1PP/R3QRK1 b - -,b7b6
8/8/6k1/6R1/1r3B2/5K1p/8/8 b - -,g6f6
8/7p/p1r1k1p1/1bP1p3/4p3/RR2B2P/Pr3PPK/8 b - -,b2c2
r2rn1k1/1bn3p1/1pp1Bp2/6p1/3P4/P4N1P/1KP2PPB/3RR3 b - -,c7e6
r1b2rk1/1pbn2pp/p1p1pq2/2Pp1p2/1P1Pn3/P2BPN2/1BQ2PPP/RN3RK1 w - -,b1d2
r3k2r/pbq2pp1/1p1bpn1p/4N3/3P4/2nB1N2/PP2QPPP/R1B1K2R w KQkq -,b2c3
r1b2rk1/ppq2ppp/4p3/n1n5/4P3/P1P1BP1N/1Q2B1PP/R4RK1 b - -,c5a4
r1bqkb1r/1p3ppp/p1np1n2/4pN2/4P1P1/2N1B3/PPP2PBP/R2QK2R b KQkq -,g7g6
r1bq2k1/p4p1p/6p1/n3p1bP/1B2P3/2PB4/P3NPP1/3QK2R w K -,h5g6
8/8/4k3/4B3/bK3P2/8/P7/8 b - -,a4c2
r2qkb1r/pp1nnppp/4p3/3pP3/2pPbP2/2N1B3/PPP1B1PP/R2QNRK1 b kq -,f7f5
b5r1/4kppN/7p/1pp1qp2/3pPR2/6Q1/1PP1B1PP/6K1 w - -,e4f5
r3kn1r/pp2ppbp/1q3np1/2pp1bB1/3P1P2/2PBPN2/PP1N2PP/2RQK2R w Kkq -,d1a4
2R2r1k/6pp/8/8/3P1q2/7P/2Q3B1/7K b - -,h7h5
8/3b4/1Nk3p1/3p4/1P1K3P/4P3/8/8 w - -,b6a4
rnbqk2r/p4ppp/1pp5/3p4/1b1P1N2/2N1P3/PP1Q1PPP/R3KB1R w KQkq -,f1d3
8/8/4Q1p1/7p/6r1/7k/8/5K2 b - -,h3h4
r3k2r/p1q2p2/b1p1p1pp/3pP3/5Q2/1NP5/P1PK1PPP/RR6 b kq -,a6c4
6r1/6P1/2R2B2/5p2/8/2K2k1p/5P2/8 w - -,f6e5
rnbqkb1r/1p1p1ppp/p4n2/4p3/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq e6,d4b3
3rr1k1/1pqb1pbp/2pp1np1/p1n5/P2NPP2/2N3PP/1PPQRBB1/R5K1 b - -,d7c8
2r2r1k/6b1/p2p2pp/8/2q4P/1Q3B2/Pp2KPP1/1R5R w - -,b3c4
6r1/p3kp2/1pp2b1p/4n3/1N2P3/1P3B2/P1P1K1PP/3R4 w - -,b4d3
4rrk1/1q1nppb1/pp1p1npp/3b4/P1P5/Q3PN1P/1P1NBPPB/R2R2K1 b - -,d5c6
rn1qkb1r/5p1p/p2p2p1/2pP1b2/Pp3B2/8/1P1NPPPP/R2QKB1R b KQkq -,f8e7
r2r2k1/1b1n1p1p/1q2pp2/1B6/3p4/5NP1/PP2QPP1/R4RK1 w - -,f1d1
r4rk1/2q2ppp/1pbppn2/1pn5/4PP2/2BB4/PPPNQ1PP/R4R1K b - -,f6d7
5r2/p2qb1k1/1p3pp1/3B3p/3PP3/2Q5/P5PP/2R4K b - -,e7d6
2r1brk1/pp2n2p/1q2pb1p/3pN3/1P1P4/P1NB4/2R2PPP/3Q1RK1 w - -,d1g4
5n2/3p2k1/pp5p/5R2/1P3PPP/PKR5/2B1r3/2r5 b - -,c1h1
2r2rk1/6p1/p2p3p/3NB3/7P/1P6/P5P1/1K1Rb3 b - -,e1h4
7R/1p1r4/p3k3/5p2/P3n1p1/1P2N3/6K1/8 w - -,h8h6
8/p4p2/8/R7/4kp2/3N1b2/1Pr5/4K3 w - -,d3f2
8/6bk/p5p1/3q1p2/P1N5/1P3Q1P/4KP2/8 b - -,d5e6
2kr4/1p3pb1/p3p1p1/2qp4/5PQ1/1B6/PPP3Pr/2K4R w - -,h1h2
8/1R6/5kp1/3B1p2/1p3r1p/5P1P/3n1PK1/8 w - -,b7b6
1rb2rk1/4npb1/pq4pp/2p5/R3PB2/2N4P/2P1NPP1/3QR1K1 b - -,b8b7
k6r/p2b1n1r/Pp1npp2/3p4/2pP1B2/2P2NP1/2P2PB1/1R2R1K1 b - -,d6e4
rnb1k1nb/pp2pp2/3p4/2q3p1/8/2P3B1/PP2PPP1/RN1QKBN1 w Qq -,b1d2
8/4pp2/pk6/1b6/3PP1P1/P4P2/5KP1/8 w - -,g4g5
r1bQR1nk/1p6/7p/2p4N/p2p2q1/3P4/PPP3BP/6K1 w - -,d8f6
r1r5/1b3pk1/2Np1p2/pB1PpPb1/PpQ5/4q1Pp/1PP4P/3R1R1K w - -,d1e1
8/5k2/8/8/5P2/7N/R4p1K/5q2 b - -,f1h3
r1b2bk1/1pq2p1p/p2p2p1/2pP4/P1P5/1QBB3P/1P3PP1/4R1K1 w - -,b3d1
4N3/k1P5/p1B5/K3p2p/3nP3/5P1b/7P/8 w - -,c6d5
2kr3r/np2qpp1/2b1p2p/p2pP2P/n1pP1PPN/2P5/2PQB3/R1B2RK1 w - -,d2e1
2kr3r/pbppnq1p/1pn2p2/2b3p1/2P5/1PNQ1NP1/P2BPPBP/R4RK1 w - -,c3e4
r4rk1/pbpn1ppp/1p1q1n2/3p4/3P4/4PN2/PP1NBPPP/R2Q1RK1 w - -,d1b3
r4rn1/pp3ppk/2p1n3/3p3P/3P4/5P2/PPPKNN2/6RR b - -,g8h6
r2q2k1/1p1b1pbp/p3rnp1/P1pNp3/2P1P3/3B3P/1P1B1PP1/R2QR1K1 w - -,d2e3
8/8/8/R3pBp1/4PnPp/4rk2/7K/8 b - -,h4h3
8/6k1/6p1/2bB2P1/5K2/r3P3/8/4R3 b - -,c5d6
r4r1k/p5bp/4q1p1/4Np2/4nB2/4PN1P/PPQ2PP1/5RK1 w - f6,e5c4
8/4K2p/p5p1/2P1R3/1k6/1P6/P1r4P/8 w - -,e7d6
rn3rk1/1q1npp1p/p1P3p1/8/1PP1Q3/2b3PP/5PB1/R1BR2K1 b - -,b8c6
8/1RR2pkp/4p1p1/4n3/q7/4PBP1/5PKP/8 b - -,g6g5
r1b1k2r/pp2qpp1/1bp1pn1p/8/2B4B/3R1N2/P1P2PPP/3Q1RK1 w kq -,f3e5
3r2k1/p3r1bp/1Bp2pp1/2pp4/2P1b3/Q1P2N2/PP3PPP/4R1K1 b - -,a7b6
2rr1bk1/1bq2p1p/pp1ppnp1/4n3/P1P1P3/1PN2P2/1QN2BPP/2RR1BK1 w - -,d1e1
5rk1/4ppbp/p5p1/1p1nPqN1/2rP3P/1Q1R4/P2B1PP1/5RK1 w - -,f1e1
8/4R3/6pk/7p/4PP1P/6K1/8/7r w - -,e7f7
r1rq2k1/pp2pbbp/2np2p1/8/2P1PPp1/1PN1BB1P/P2Q4/2R2RK1 w - -,h3g4
r2qkb1r/pp3p1p/2n1bp2/1Bppp3/3P4/2N1P3/PPP1NPPP/R2Q1RK1 b kq -,a7a6
r1b4k/1p2qp1p/p3pP2/2b4r/P4pN1/6P1/1PP3BP/R4R1K w - -,f6e7
2r3k1/1pqnppbp/p2p2p1/P2P4/Nr2PP2/3QBR1P/RP4P1/6K1 w - -,f3f1
2r2rk1/p3qpp1/1p2pn1p/n1bP4/8/1PN3P1/P2BPPKP/RQ1RN3 b - -,e6d5
1nb1qr1k/5rbp/1p1p2p1/2pPp3/P1P1Q1P1/1P1N1N1P/3B2K1/R4R2 b - -,b8d7
r4rk1/2qbbp1p/p2p4/1p1Pp1p1/4Pn2/1P5P/1P3PPN/RBBR1QK1 b - -,g8h8
8/8/6pp/1K2pp2/4Pk2/8/5PPP/8 w - -,e4f5
2rr2k1/q2nbppp/p3p3/Pb2P3/2Np1P2/1p1P2PP/1P2QBB1/R4RK1 w - -,f1d1
r2qkb1r/1p1n1ppp/p1p1pnN1/3p4/2PP4/2NBP3/PP3PPP/R1BQ1RK1 b kq -,h7g6
2bq1rk1/2n1ppbp/pr1p1np1/2pP4/4PP2/2NB1N2/1PP3PP/R1BQ1R1K w - -,d1e1
r1b1r1k1/1pp2p1p/3q2p1/p2N1P2/2n1P3/6P1/PP3QBP/R3R1K1 b - -,e8f8
4r1k1/7p/2p2Qp1/1p1rB3/7P/2Pq1nP1/P3RP2/4R1K1 w - -,g1g2
8/2Bb2kp/3p2p1/2pB4/2Pb1P2/8/P4P2/6K1 b - -,g7f6
r3kb2/pbpp1r2/1pn1pq1p/8/2BPQ3/2N2N2/PPP2PPP/R3K2R w KQq -,e1c1
2r2rk1/3bppbp/q5p1/4P3/1p1n1P2/1Bp1Q3/1PR2BPP/3R2K1 w - -,e3d4
6k1/3R3p/3p2p1/2b2p2/8/6P1/5PKP/8 b - -,c5b4
4rqk1/pR1b1r1p/3p1n2/2pP1p2/2P2P2/P1NQ2PP/7K/B4R2 w - -,b7b2
8/4R1p1/r4n1p/1kp5/8/5KPP/5P2/8 w - c6,e7b7
8/8/2B5/p4r2/P1P5/8/1K1k4/8 b - -,f5c5:f5f1
5rb1/1p5p/1npk1np1/p3N3/2PN1P2/PP5B/5K1P/4R3 w - -,h3e6
8/2k3p1/4p2p/2P1p2P/b1P5/4KBP1/8/8 w - -,e3d3
2q3k1/5pp1/p1p1r1p1/PpPpr3/1P1R4/4P2P/4QPP1/3R2K1 w - -,e2g4
4kb1r/1p3ppp/p3p3/8/P1pP4/4B1P1/1P3P1P/1KR5 b k -,b7b5
r4rk1/pp2q2p/2n1p1p1/1NP1b1P1/Q2p3P/8/PPP5/2KR1B1R b - -,e7c5
r4r2/ppp1qpbk/2npbnpp/4p3/4P2N/1BPPN1P1/PP3P1P/R1BQ1RK1 b - -,a8d8
rn1q1rk1/1p2npbp/p3p1p1/1PPp4/P2P4/2N1BB1P/5PP1/2RQK2R b K -,a6b5
r1bqk2r/pppnbppp/3p1n2/4p1B1/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQkq -,d1c2
8/1r6/5k2/1p4pp/1R6/1P3KP1/8/8 w - -,f3f2
2R5/2n5/1k6/4Pp2/7P/K7/8/8 b - -,b6c6
2kr3r/2n3pp/p1pbpp2/8/2PBN3/8/P4PPP/1R3RK1 w - -,d4a7
2b5/1pk5/p1p2p2/K1Pp1n1p/PP1P3P/3B1P2/5B2/8 w - -,b4b5
5r2/p5k1/1p3p2/2p5/5q2/8/PB4P1/3Q1BK1 b - -,f4e3
8/6pp/4k3/1b2Np2/5P1P/4K1P1/8/8 w - -,e3d4
3rr1k1/pp2qpp1/5n1p/b1p1pP2/2PpN1Q1/PP1P3P/1B2RPP1/1R4K1 w - -,e4f6
8/5kp1/7p/3K3P/1r1B2P1/8/8/8 w - -,d5e5
r2qkbnr/pp1n1ppp/2p1p1b1/3pP3/3P4/1N2B3/PPP1BPPP/R2QK1NR b KQkq -,g8e7
2kr1bnr/1ppq2p1/p1p1bp2/8/3PP2p/4BN1P/PP1N1PP1/2RQ1RK1 w - -,d2c4
1n1q1rk1/1p2bppp/4bn2/3pp3/P3P3/p3BP2/P1PQ2PP/1KNR1B1R w - -,e3g5
r2qk2r/3bbppp/p1np1n2/1pp1p3/3PP3/1BP2N2/PP1N1PPP/R1BQR1K1 b kq -,e8g8
8/7p/3p2pk/P1pP4/2P5/6QP/3q2BK/4n3 b - -,e1g2
rnbq1rk1/pp3ppp/4p3/2PpPn2/1b6/2NB1N2/PPPB1PPP/R2QK2R b KQ -,b8c6
r1q1r1k1/3bppbp/1np3p1/8/p1n1PB2/P1N2NP1/1PQ2PBP/R2R2K1 b - -,h7h6
8/1p1rk1p1/4n3/1P1p2rp/3R1P2/6PP/4R1K1/8 w - -,f4g5
2r1k2r/4n1pp/p3bp2/1p2p3/4P3/P1NB2P1/1PP2KP1/2R4R b k -,e6c4
5k2/1p3pb1/r7/3N3p/4p3/2P1B3/1K3P2/6R1 b - -,f7f5
7q/3k1pbr/p1p1p1p1/Pp1pP1PP/1PnP1P2/2P5/2K1BB1R/7Q w - -,h2h4
2b1rrk1/p5pp/nbN2n2/1p6/3P1N2/PP4P1/1B3PBP/2R2RK1 w - -,f1e1
8/4k3/2R5/rB3p2/P3p3/6P1/7q/4RK2 w - -,e1e3
8/8/p7/1p2k3/PP4r1/1KP1R1P1/8/8 b - -,e5d5
2r2b2/4r2k/Rp1p2p1/4np2/1Pq1p3/1QB1P1P1/5PB1/3R2K1 w - -,b3c4
5bk1/r4p1p/3p2p1/3Np2P/2r1P3/PR6/1P3PP1/1K3R2 b - -,f7f5
2r3k1/R5pp/p5p1/8/8/8/1r3PPP/5RK1 w - -,a7a6
1rr3k1/1p3pp1/p2qpn1p/3n4/2RP4/1Q3BPP/PP1B1P2/2R3K1 b - -,d6d7
r2q3r/ppp1bk1p/1nn3p1/3pPp2/3P1P2/PNN1B2Q/1PP4P/3R1RK1 b - -,b6c4
rnbqkbnr/ppp1pp1p/3p2p1/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq e3,f8g7
3r2k1/p2q1r1p/1p2pbp1/5p2/2Pn3B/1PNQ1P2/P5PP/3R1R1K w - -,h4f6
r2qr1k1/1p1n2bp/1n4p1/pNp1p3/P2pPP2/1PP2Q1P/3R1BP1/4RBK1 w - -,c3d4
r4rk1/pp2qpp1/2n4p/2P1p3/2Qpb3/6P1/PP2PPBP/R4RK1 w - -,g2e4
6Bk/8/5K1P/6P1/8/3b4/8/8 w - -,g8f7
2r3k1/3qrppp/1pp5/p2p4/P2P1Pn1/1PNbPQ2/5PBP/2R1R2K w - -,f3g3
r4r1k/pp2bppp/2n3b1/2P1p3/1PB5/2P1PN1P/P2NK1P1/R6R w - -,c4b5
8/1bk2p2/2p1p1pp/P3P3/5P2/3K2PP/6B1/8 w - -,d3c4
4r3/p3pk1p/3p2p1/1p1rn1P1/8/2P5/PPB1R2P/1K2R3 w - -,c2b3
r4rk1/p2qppbp/3p1np1/2pP1b2/2N5/2B3P1/PP2PPBP/R2Q1RK1 b - -,f5h3
2r2rk1/pp4pp/4bp2/4n3/3q4/N6P/PPN1RPP1/R1Q3K1 b - -,d4b6
1r2r1k1/2p3p1/1bn1q3/3npp2/2P5/1B5P/1P3PP1/R1BQR1K1 b - -,b6f2
4r3/6k1/3B3R/2p3P1/p1b4p/P1P5/7K/8 w - -,d6c5
8/8/4Rpp1/8/5P2/4P1P1/1br3K1/4k3 w - -,g2f3
2r3k1/6pp/3P4/5p2/8/2B3P1/p1R1PPKP/r7 b - -,c8c3
2q1brk1/2r3pp/2p1p1n1/1pPpPp1R/pP1P1P2/P3P2Q/4B2P/4B1RK b - -,h7h6
1r1r1qk1/p7/4p1Bp/8/8/2p3QP/P4PP1/4R1K1 b - -,f8g7
5k2/1b2qpp1/1pp1p2p/p1b1P3/P1P1B3/1P4PP/1B3P2/3Q2K1 w - -,b2c1
2k5/6p1/6p1/2PBbpP1/1pKN3n/8/1P6/8 w - -,b2b3
r3qr1k/6bp/p1pp4/1p2pp1n/8/P1PPBBPP/1P3P2/R2Q1RK1 b - -,h5f6
r1b1k2r/ppp1qppp/3p4/4n3/2P2B2/P3P3/1P1Q1PPP/R3KB1R w KQkq -,f1e2
1r1r2k1/1p3ppp/2p1bn2/p1p1q3/2P1P3/P1N2B2/1P1RQPPP/3R2K1 b - -,d8d4
r3k2r/1b2bppp/p2ppn2/q7/Pp2PPP1/4B1NP/1PP3B1/R2Q1RK1 b kq -,e8g8
2b5/4r1k1/pr1P1pp1/2pP3p/2P2P1P/RP2RK2/5N2/8 b - -,c8g4
3rkb1r/pp3ppp/2n5/2P1pb2/1n6/N3BNP1/PP2PPBP/R3K2R b KQk -,b4d5
8/P1K5/q7/8/8/4Q2P/1k6/8 b - -,a6c4
4R3/8/p4pk1/1p5p/1P5P/3r1PK1/8/8 b - -,d3d4
3r1rk1/ppp1qp2/2n2n1p/6p1/2QPpN2/P3P1P1/1P3PBP/2R1R1K1 w - g6,f4e2
2r3k1/1pq2pp1/3Rpn1p/2P5/8/4Q1P1/2B2P2/6K1 w - -,e3d4
r7/1pp1k2p/3bnpp1/1p2p3/4P3/1PPNBP2/P1K3PP/R7 b - -,f6f5
r1bq1rk1/1pp3bp/1nn2pp1/p3p1B1/8/P1NP1NP1/1PQ1PPBP/1R3RK1 w - -,g5e3
8/4k2K/7P/8/5R2/8/7r/8 w - -,h7g6
8/p7/1p1p1kpn/2pP4/2P1BP2/5K2/PP6/8 w - -,f3g3
r1bqkb1r/ppp1nppp/3p1n2/3Pp3/2P5/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,f1g2
bn1qk2r/4bppp/5n2/2pp4/1p6/1P1P2P1/2PNNPBP/2BQ1RK1 b k -,b8d7
8/8/r7/4r3/1P5R/PK3k1P/8/8 b - -,e5e3
1r1r2k1/2pn1ppp/2nb2q1/pp2p1N1/P3P3/1NP1BPP1/1PQ3KP/R2R4 w - -,b3d2
r2q1rk1/ppn2pbp/6p1/3pPp2/3PbP2/2N1Q3/PP1NB1PP/R4RK1 b - -,f7f6
3r4/1pk5/2p4p/p3p1b1/P3B1R1/5P2/1PP4P/1K6 w - -,e4d3
rn1qkbnr/1p1b1ppp/p3p3/3pP3/3P4/5N2/PP2BPPP/RNBQK2R b KQkq -,d7b5
r4rk1/3b1ppp/p2q1n2/1pn1p1B1/2ppP3/P2P1N1P/BPP2PP1/R2Q1RK1 w - -,f1e1
3b4/5p2/p1p5/1pBk1p1p/2pP1P1P/P1P1K1P1/1P6/8 b - -,d8c7
r1bqk1nr/pp1nppbp/2p3p1/8/3PN3/5N1P/PPP2PP1/R1BQKB1R w KQkq -,f1d3:d1e2:f1c4:c2c3
r6r/1ppq1kpp/5n2/1Nb5/2P5/3p4/PP3PPP/R1BQR1K1 w - -,c1e3
8/6k1/2p3B1/2Pb2BP/8/5n2/p7/K7 w - -,g5e3
4k3/p7/2p5/2N3pp/4p3/6Bb/P1K5/8 b - -,h5h4
r2q1rk1/pb3ppp/npp2b2/3p4/Q2P4/P1N2NP1/1P2PPBP/R3K2R w KQ -,e1g1
7r/2p1k1pp/1rpbbp2/p7/4PB2/P5P1/1PPRB2P/2KR4 b - -,c6c5
r1b2rk1/1p1nbppp/pq2pn2/8/8/PN4P1/1PQ1PPBP/RNB2RK1 b - -,d7c5
r5k1/1q4p1/4p2p/4Np2/3Pn3/2PQ1R1P/3r1PP1/4R1K1 w - -,d3c4
6k1/5pb1/2np2p1/6P1/4PB2/3R1P1B/r1r5/5RK1 b - -,g7d4
rn1qkb1r/ppp1pp1p/3p1np1/8/3PPPb1/2N5/PPP3PP/R1BQKBNR w KQkq -,g1f3
8/5p2/4pBpk/4P3/4P2P/6K1/5PP1/4n3 b - -,e1d3
r4rk1/5ppp/p1qbpn2/3p4/n1PQ4/6P1/P2NPPBP/R1BR2K1 w - -,d2b3
b2r2k1/4bpp1/4pn1p/1Nq5/4P3/3Q2PP/3N1PB1/R5K1 w - -,d3c4
6k1/4b1pp/4p3/1Nnp4/p5P1/P1PNK2P/1P6/8 b - -,e7g5
7Q/3k4/p2Bp3/P2pPqp1/1Pp5/5PK1/8/8 w - -,h8g7
r2q1rk1/1b3p1p/1p3P2/p2p2p1/P2Bn3/3B4/1P4PP/R1Q2RK1 b - -,g8h8
6k1/p2q2Np/1p4p1/3b4/1P1P1Q2/P6P/1B3P2/6K1 b - -,d7h3
8/4k3/PK2p3/8/8/8/2P5/r4R2 b - -,a1f1
r6r/1bqnkp2/p2p2p1/1p2n2p/3NP1P1/3B3P/PPPNQ3/1K1R1R2 b - -,h5g4
1r1q1rk1/3b1p1p/3ppnpQ/1p5P/p1BNP1P1/2N2P2/PPP5/2KR3R b - -,b5c4
r1b1k2r/1pp1npbp/p1p3p1/6Q1/1q1P4/5N2/PPP2PPP/RNB1R1K1 b kq d3,c8e6
7k/1pRn4/P2r2pn/3P4/P1P4P/8/2B2RK1/4r3 b - -,b7a6
3r2b1/6kp/1pnr2p1/pQq1p3/3P4/P4N1P/1P1RBPP1/3R2K1 b - -,e5d4
8/1p4b1/4r1k1/p7/3P1pp1/1PPK4/P4BP1/3R4 w - -,d4d5
r1b1qrk1/pp2ppbp/n2p1np1/2p3B1/2PPP1P1/2N2N1P/PP3P2/R2QKB1R w KQ c6,f1g2
rnbqk1nr/pp1ppp1p/6p1/2P5/4P3/2b5/PPP2PPP/R1BQKBNR w KQkq -,b2c3
rn2kbnr/1p3pp1/p3p2p/q2pP2P/3B4/3Q2N1/PPP2PP1/R3K1NR w KQkq -,c2c3
8/8/3Nn1k1/5p2/p6P/P3K3/6P1/8 w - -,e3f3
r1b2rk1/ppp2ppp/3p4/2b1n1q1/4P3/1PP5/P3BPPP/RNB2R1K w - -,c1g5
3rr1k1/pp1n1pbp/2p1bpp1/8/3P4/BPPB4/P3NPPP/R3R1K1 w - -,a1d1
rnbqk1nr/pp3ppp/3b4/3p4/8/1NP2N2/PP3PPP/R1BQKB1R b KQkq -,g8e7
r3kb1r/pppn1ppp/2qp4/4p3/3P4/5PP1/PPP1P1BP/R1BQ1RK1 w kq e6,c1e3
r3k1n1/pp3p2/1qn1p1p1/3pP1P1/2pPb1P1/P1N1B2r/1PPQBK2/1R4R1 b q -,e8c8
7k/2R1N3/1p1p2KP/p1n1r3/P1P5/8/8/8 b - -,e5e6
rn3rk1/pp3ppp/4bq2/3p4/1b1P4/2N2N2/PP2BPPP/2RQK2R b K -,b8c6
2k2rr1/ppqb2bp/4p3/3pn3/1Pp2P2/P1P1B3/2B1Q2P/RN2KR2 w - -,f4e5
2r3k1/5p1p/6p1/2PB4/4P3/7P/6P1/6K1 b - -,c8c5
