8/5ppk/7p/R7/P7/2r2P1P/6P1/6K1 b - -,c3a3
r5k1/pbq2p2/1p1R1n2/2p1pN1p/P1B1Pn2/1Q3P1P/1PP3P1/6K1 b - -,f6h7
5bk1/3n3p/3p2p1/4p1B1/1p2P1P1/1p3PN1/qP2Q3/2K5 b - -,a2a1
8/5kp1/5p1p/3KnP2/4R1P1/8/8/8 b - -,f7e7
5r2/p1qbr1bk/3p2np/P1pP4/2P1pP2/1R2B2P/3QBP1N/4R1K1 b - -,d7h3
r1bq1rk1/ppp1bppp/1n2p3/3nN3/2pP4/2N1P1B1/PP2BPPP/R2Q1RK1 b - -,c7c5
r4r1k/3n1ppp/8/2pB2q1/Pp1n1RQ1/3P4/PBPK3P/R7 b - -,g5d5
6k1/5p2/6p1/2r5/1p1NPNP1/3K3P/8/8 w - -,f4d5
2rr1bk1/1q1n1ppp/p2ppn2/1P6/1P2P3/2N2PP1/PB1RN1KP/1Q1R4 b - -,a6b5
8/2R2pbk/4p1p1/7p/r2P4/4B1PP/5P1K/8 b - -,h7g8
rqr3k1/pb3pp1/1p2pn1p/8/3R1P2/2N1P3/PP3PBP/2R2QK1 b - -,b7g2
1r4k1/p4ppp/1P2p3/1R1pP3/3n4/2r2B1P/5PP1/1R4K1 b - -,d4b5
4r1k1/6b1/1p3q2/p1pPp1R1/P1P1Q2P/1P3KB1/8/8 w - -,g5f5:f3g4
8/8/p2pr3/K7/2P4b/2B2k2/4p3/6R1 w - -,a5a6
r3k3/pp2p2p/2p2bp1/2B5/2P5/8/PPK2PPP/4R3 w - -,e1e4
8/4r1k1/3nP1pp/3P4/p5P1/P7/B1r1R1P1/6K1 w - -,e2c2
r1b2rk1/2q3bn/p1p1n1p1/N1Pp3p/P2Ppp2/R3P2P/N2BBPP1/1Q2K2R w K -,b1b6
r2q1rk1/1p1nbppp/2n5/p1p4b/2Pp4/1P1P1NPP/PBNQ1PB1/R4RK1 w - a6,f3h2
r4r1k/3b2pp/p3p3/1p1p4/3P1qN1/1P3P2/PB2QKB1/R4R2 b - -,f4g4
1r3rk1/5ppp/pq2p3/3b1PP1/3N4/4R2P/1PPQ4/1K1R4 w - -,b2b3
r2qkb1r/ppp2ppp/2n1b3/3np3/8/2NP2P1/PP1BPPBP/R2QK1NR w KQkq -,g1f3
8/R4rk1/2r1p1p1/3pP3/5P1P/R5K1/8/8 b - -,c6c7
r1b2b1r/1p2kppp/pq1p1n2/4p3/B3PP2/2N5/PPP1N1PP/R2QK2R b KQ -,e5f4
rnbq1rk1/ppp2ppp/4p3/3p4/2PPn3/P4N2/1PQ1PPPP/R1B1KB1R b KQ -,b7b6:c7c5
8/5pnk/4b1p1/2Q4p/7P/1P2N1P1/P4PBK/4q3 b - -,e1f2
r1bq1rk1/ppp2pbp/2np1np1/8/4P3/2N2P2/PPPB1QPP/2KR1BNR b - -,c8e6
r1bq1rk1/1pppnpbp/p1n3p1/3P4/B3P3/5N2/PP3PPP/RNBQ1RK1 b - -,b7b5:c6a5
6r1/8/5Rp1/2pp3p/P5p1/3P3P/1PPNk3/1K6 w - -,d2f1
R7/8/3p4/2pPpkb1/2P1n1p1/8/6K1/8 w - -,a8a6
2nr1rk1/1pq1npbp/2p1p1p1/p2PNbP1/P1P2P2/1Q2B1N1/1P4BP/R4RK1 w - -,g3f5
8/6k1/3pK3/3P4/2n5/1n3p2/8/7R w - -,e6f5
8/p3rkbp/3q2p1/1bpP2p1/4Q3/2B4P/P4PP1/4R1K1 w - -,e4e7
8/7p/2r5/2p1rk2/3p4/PP1K4/2R1NPP1/8 b - -,c6a6
4Q3/2q4k/5K2/1p3P2/3p4/7P/6P1/8 w - -,e8b5
4k3/1p2pbQ1/p4pp1/2BP4/5P2/KP6/P3q3/8 b - -,e2b5
r4rk1/pbpnqppp/1p1ppn2/8/1PPP4/P1Q2NP1/4PPBP/R1B2RK1 b - b3,c7c5:a7a5
r1bqkbnr/pppp1p1p/2n3p1/4p3/2P5/2NP2P1/PP2PP1P/R1BQKBNR b KQkq -,f8g7
2rr1nk1/pb2qppp/1p2p3/7P/3PPQ2/3B1N2/P4PP1/3RR1K1 b - -,h7h6
3qr1k1/4bppp/p2r1n2/1p1p1b2/2pP1B2/P1N1PB2/1P3PPP/2RQR1K1 b - -,d6d7
7k/7p/p2p1prr/2pPn1q1/PpP1P3/1P5R/5RB1/5Q1K w - -,f2f5
r1b2rk1/ppp1qpbp/3p1np1/2nPp3/2P1P3/2N1BN1P/PPQ1BPP1/R3K2R b KQ -,a7a5
1r6/p2k1p2/2p5/3p3p/PP1PpPb1/1P2N1P1/3K3P/R7 b - -,b8b4
b2qrbk1/2r2ppp/p1n5/2N1p3/3p4/1P4P1/PB2QPBP/2RR2K1 w - -,c5a6
r2q1rk1/pbpn1ppp/1p1bpn2/3pN3/3P1B2/3BP2P/PPPN1PP1/R2Q1RK1 b - -,f6e4
r2qnrk1/ppp1n1b1/3p2pp/P1PPpp2/1P2P3/2N3Pb/3NBP1P/R1BQR1K1 b - -,f5f4
8/6k1/p2r1pp1/2pP1P2/2P3pP/RP2K3/8/8 b - -,g6f5
8/bP6/7p/6pP/p3k1K1/P5P1/8/8 w - -,g4h3
3N1nk1/p7/1p4p1/3Pp3/4Pqn1/2QB4/PPK2p2/8 w - -,d5d6
r2q2k1/5ppp/2p1rn2/p2p4/5B2/2R2Q1P/PPP2PP1/3R2K1 w - -,c3e3
8/8/3p2k1/1B1P4/P1n2PP1/1p6/8/2K5 b - -,c4e3
8/6k1/8/5n1P/3pKP2/8/4P3/8 b - -,g7f6
r1bqk2r/pp1n1p2/4p2n/3pP2p/3N2P1/1N1B2Q1/PPP2PP1/R1b1K2R w KQkq -,a1c1
1k1r3r/pb1nqp2/1pp1p1pp/3pP2P/3P1PP1/P1QB2N1/1PP5/2KR3R b - -,g6g5
1r3rk1/p4ppp/1pq1pn2/2p5/3P4/1QP1P3/P3BPPP/1R3RK1 b - -,f8c8
8/pr1k1p2/2R4p/B2Pp1b1/4P2p/P6P/5PP1/6K1 w - -,a5b4
8/2k2p2/7R/2n2P2/2B3P1/1pn5/7P/6K1 w - -,c4b3
r4rk1/2q4p/pn2pppQ/1p1Pn3/2P4R/3B4/PB4PP/5RK1 w - -,f1f6
6k1/6pp/1p6/p1r1p3/4P2P/P1Br2P1/1P2RPK1/8 b - h3,g8f7
r7/3nq1bk/1p1p1rpp/pNnPpp2/P1P5/1P3P1Q/2BB2PP/3R1RK1 b - -,f6f7
k1b3rr/6p1/pq1p2Pp/4pP2/QBP1P3/7R/4n1BP/5R1K w - -,h3d3
8/2p2k2/p3p2p/1p2n1p1/3nP3/1PK2P2/P1P3PP/2B5 w - -,c3d4
r1bb1rk1/pp4pp/2p5/4p3/2P1PPn1/1PNnB3/P4PBP/R4RNK b - -,e5f4
1q1r1rk1/1b1p1pp1/1pnNpb1p/p7/1PP5/P3PN2/2Q1BPPP/3RK2R w K -,b4b5
r2qkb1r/pp1n1pp1/2p1p2p/3nPb2/2NP4/1Q3N2/PP2BPPP/R1B2RK1 b kq -,d7b6
2r2bk1/p4p1p/6p1/1p1pP3/b1r5/5N1P/3Q1PP1/1R4K1 w - -,d2d5
5r2/1p6/p1k2p1R/Pbppr1p1/6P1/2P1BP2/2P2KP1/4R3 b - -,b7b6
5b2/5k2/4pnp1/3pp3/4P2B/3K3P/6P1/8 w - -,h4f6
r4rk1/1pq2pbp/p2pbnp1/n1p3B1/P1P1P3/2NB4/1PQ1NPPP/R4RK1 b - -,a5c4
r1b2rk1/6pp/pq2pp2/1p1p4/1b1P4/3B1N2/PP3PPP/2RQ1RK1 b - -,c8b7
r2qnrk1/1pp3b1/3p3p/p1nPp1p1/2P1b3/2N3B1/PPQ1BPPP/R4RK1 w - -,c3e4
2kr1b1r/ppq2pp1/4p2p/2p4P/2PP2n1/4BN2/PP2QPP1/1K1R3R b - -,f8d6
7r/p3kpbp/2bp1p2/1p2p3/q3PP2/2PQ2P1/P1P4P/1K2RB1R w - -,f1g2
3r1rk1/p4pbp/1q2p1p1/4P3/R3NP2/7P/1PQ2P2/3R2K1 b - -,d8d1
8/7k/8/2RP4/KP6/2PbP3/8/2q5 b - -,c1a1
4b3/r7/5k2/1p6/p6P/PP2R3/1KP5/8 w - -,e3e8
r4rk1/3nqpp1/1p2p2p/4p3/2P1R3/2P2N2/P4PPP/R2Q2K1 w - -,f3e5
r3r1k1/pb3ppp/2pq1n2/1p2b3/4P3/2NBBP2/PP2Q1PP/R4RK1 w - -,g2g3
2br3k/5pq1/5Npp/P1ppP1Q1/1r6/3B2R1/P1P2KPP/8 w - -,g5d2
r5k1/p3p2p/2p1q1pP/1p2P3/2pP1rP1/2P5/P4QK1/5R2 w - -,f2f4
2b2qk1/2Q2p2/p1p3pp/3Nn1br/4PP2/6P1/P5BP/2RR2K1 b - f3,c8g4
r1bq1rk1/5pbp/pp2p1p1/4Pn2/P2p1P2/1B6/1PP1N1PP/R1BQ1RK1 w - -,g2g4
8/1k3pp1/p6p/1r5P/2K2PP1/4R3/3B4/6r1 b - -,g1g4
2k2b2/3n1p2/p1r5/3qPQ2/2pp1B1P/P2P2P1/2P5/1R2R1K1 w - -,a3a4
4b1k1/p1R4p/6p1/8/8/1q1n3P/P4PP1/7K w - -,a2b3
2r1r1k1/5qp1/7p/2p2p2/3n4/1pBPR2Q/5P1P/3N2K1 b - -,b3b2
5bk1/8/6p1/3p1p1p/7P/p1NPP1P1/2n2P2/2B2K2 b - -,d5d4
1k5r/8/8/Q7/8/3B2P1/1p3PK1/7r w - -,a5b6
5Q2/2p5/2p1K3/p7/1p4k1/1P6/P1P4p/8 b - -,h2h1q
2r1k2r/1bq1bp2/p2p1np1/1pn1p3/4PP1p/PNNB4/1PP1QBPP/4RRK1 w k -,f4e5
5N2/5n2/3p4/3Kpk2/1N1n4/3P4/8/8 w - -,b4a6
5rk1/2qpppbp/n6r/3P1Q2/2p5/P1N1P2P/1P2NPP1/RR4K1 w - -,f5e4
q2n2k1/pb3pp1/1p2p2p/4P3/7Q/2B5/PP2BPPP/6K1 w - -,f2f3
r2r2k1/1p2ppb1/2p2np1/p4b2/P1PP3p/qPN1Q1PP/1R2NPBK/3R4 w - -,e3c1
r1b2rk1/pp4q1/2n3pp/5n2/2P1N3/P5P1/3PPPBP/1R1Q1RK1 w - -,e2e3
r7/1p2r1kp/p1n3p1/4np2/P1p2B2/4P2P/1P2BPP1/2RR2K1 w - -,e2c4
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PN2NP1/PBQ1PPBP/R4RK1 w - -,f1d1:e2e4
r3rnk1/2pq1p1p/pp1b1p2/3Pp2N/P3P3/1QP2N2/5PPP/3RR1K1 b - -,d7d8
rr4k1/pQ3pb1/4p2p/6p1/8/B5P1/PP1qPP1P/R3R1K1 w - -,b7f3
8/1p1nkp1R/p5p1/8/4P2P/1P1P4/r5P1/6K1 w - -,g2g4
r3r1k1/pR4pp/7q/3pp3/3P1PPn/2QBP2P/P7/5RK1 b - -,e5f4
8/8/p1kpPR2/5K2/1pP5/1P6/P5rP/8 b - -,g2h2
4r1k1/p6p/b1pRr1p1/5p2/2P4P/2N5/PP3PP1/3R2K1 b - -,a6c4
8/p7/1pn2N2/2p5/P1P1kP2/2K5/8/8 b - -,e4f4
8/pB6/P4k1p/4b1p1/5pP1/6rP/R6K/8 w - -,a2f2
r3k1r1/3qbp1p/p2p4/1Pp1n3/4P3/1n4N1/1P3PP1/R1BQR1K1 w q -,d1b3
1r2nrk1/1p1b2bp/p1nppqp1/5p2/2PNP3/2N1BP2/PP1QB1PP/2RR2K1 w - -,c4c5
2krr3/1bp1bppp/1pn5/8/4PB2/pPP3P1/P2N3P/2KR1B1R w - -,c1c2
5r1k/1p1nq1p1/2p1Bn2/p3pQN1/Pb5r/2N5/1P3PPP/3RR1K1 w - -,f5g6
1r3rk1/pp2qn1p/4p3/PNPp1p2/3Pn1p1/4P3/1Q1N1PPP/1RR3K1 b - -,a7a6
3Q4/pp3qb1/6k1/3p1p1p/3P1Pp1/1P4P1/PB3K1P/8 b - -,g7f6
rn1q1rk1/1b2bpp1/1pp1p2p/p7/2NPN3/6P1/PP2PPBP/2RQ1RK1 w - a6,d1b3
r4nk1/2q2ppp/2P5/1Q1p4/3B4/5P2/6PP/4R1K1 w - -,d4b6
3r2k1/pp3pbp/2pQb1p1/q3P3/P1p1PPn1/2N3PP/1P4B1/R4RK1 w - -,d6a3
5r2/4Rp2/1pr5/4kPp1/6Pp/1B2K2P/P7/8 b - -,e5f6
r1b2rk1/2q1ppbp/p2n2p1/2pPp3/P3P3/2N1B3/1P2BPPP/R2Q1RK1 w - -,d1c2
8/5p1p/1n3kp1/8/p1p5/1PR5/P4PPP/5K2 b - -,a4b3
8/5k2/p7/4Rppp/8/5P2/6PP/2b2K2 w - -,e5f5
2br2k1/p1n2rpp/2n1pp2/2Np4/4P3/5P2/PPNRB1PP/2KR4 w - -,c2e3
4r3/pK3p2/P1R5/1P3k2/4p3/5b1p/7P/5R2 b - -,f5g4
8/3r4/2p3p1/R1P1kp1p/7P/4PPP1/4K3/8 w - -,a5a4
1r4k1/pp1q3p/3P2r1/b1p2p2/5Q2/BPP3R1/4B1PP/6K1 w - -,a3b2
r4rk1/2p1ppbp/pn4p1/2q1P1N1/2p2P2/2Q5/P5PP/2BNKB1R w K -,f1e2
6k1/5p1p/1rp3p1/4P3/p2R1P2/P5P1/1rR4P/6K1 w - -,c2b2
1r1q1rk1/pb2n1bp/1p1p1pp1/2p1p3/1PPn4/P1NP1NP1/3BPPBP/1R1Q1RK1 w - -,e2e3
3br1k1/3q4/3p1p1Q/3NpP2/pRP4P/P3P3/8/6K1 w - -,b4b2
7r/1pk4p/p3pp2/5bp1/3P3P/4PB2/PP2K3/7R w - -,e3e4
7Q/3k3p/2r1p1p1/3n4/5P2/6P1/6P1/6K1 w - -,h8h7
3q1rk1/3nbp2/p3p2Q/3pP1p1/3P2P1/4BR2/2nN3P/6K1 b - -,f8e8
1r3rk1/1qp1p1bp/p3p1p1/P1Nn4/1n1P4/Q3BP2/1P2BP1P/2R2RK1 b - -,b7c8
3r1rk1/ppp2bp1/1b3p1p/2n1p3/4P2B/2P2P2/PPBNK1PP/R6R b - -,c5e6
8/6k1/p5pp/4p3/1P2r3/P1p2KP1/3bRP1P/8 w - -,f3e4
r1bqk2r/p1pn1pp1/1p1ppn1p/8/2PP3B/P1Q1P3/1P3PPP/R3KBNR b KQkq -,g7g5
8/1qP5/5p1k/6p1/8/2Q5/1K3P2/8 w - -,b2a3
rnbq1rk1/p4ppp/1pp1pn2/3p4/2PP4/P1PBPP2/4N1PP/R1BQK2R b KQ -,c8a6
2R5/1pr5/3k4/1P1p1pp1/3P2p1/4P1P1/4KPP1/8 w - -,c8g8
1r3b1k/2r2p1p/5Np1/p7/P1pP4/2P5/4R1PP/4R1K1 b - -,h8g7
8/2B1k3/3p4/3Pp1bP/2P1PpP1/8/8/7K w - -,h1g2
4rrk1/ppqb2bp/1npp1np1/5p2/P3PP2/2NP1B1P/1PP2QNK/R1B2R2 b - -,b6c8
8/8/6k1/6B1/8/5K2/8/8 b - -,g6g5
r2q1rk1/5bb1/3p4/pp1N1P1p/6Q1/2PpN3/PP3P1P/2KR3R w - h6,g4g2
4r1k1/p4pp1/3q3p/1p1p4/2nPr3/2PN1QPP/P1R2PK1/2R5 w - -,d3f4
8/6k1/6p1/3q3p/pp1Np2P/P1P3P1/4R1K1/8 w - -,a3b4
3rr1k1/ppp1qpbp/5n2/5p2/4p3/1PPnP1P1/PBQNRPBP/R5K1 b - -,f6g4
8/8/1p2pkp1/1P3p2/1p3P2/1P6/4B1KP/4b3 w - -,e2c4
5rk1/4Qp1p/p3n1p1/4N3/6P1/1Pq1P2P/5PK1/3R4 w - -,e7f6
4rrk1/1b1qb1pp/p1nppn2/1pp5/4PN2/P1NPB1PP/1PP1Q1B1/3R1RK1 w - -,c3b1
8/1p3pp1/p1k1p3/2B4r/7p/1PP4P/P4PP1/3R1K2 b - -,h5c5
r1b2k2/p3q1pp/1ppQPr2/2P2p2/8/1B6/P4PPP/3RR1K1 b - -,b6c5
7r/7r/1BBb2kP/p2Pppp1/1p2Pn2/PP6/K1P4R/7R b - -,f5e4
2kr3r/pppqbppp/1nn1p3/4P3/2bPB3/2N1BP2/PP2N1PP/R2Q1R1K w - -,a1c1
r3r1k1/pp3pp1/3p3p/q2P4/3Q4/1P5P/PR3PP1/2R3K1 b - -,e8e1
r1b1rbk1/2q2p2/p2p1npp/nppPp3/4P1P1/1PP2N1P/P1B2P2/R1BQRNK1 b - g3,f8g7
r2r2k1/1p2qp2/2p1p1p1/p3Nn1p/Pn1P3P/1P2P1P1/3RQPB1/2R3K1 w - -,g1f1
5Q2/8/k7/1r3p2/8/3K4/8/1n6 b - -,b5b3
2r1r1k1/pb1nqnbp/1ppp1pp1/8/1PP1PP2/2N3PP/P1QN1BB1/3RR1K1 b - -,e7f8
8/4bpk1/1P4p1/3B2P1/6KP/8/8/8 b - -,e7d6
8/3k4/2p4R/4p1p1/2P2bP1/5P2/2r2B2/5K2 w - -,h6h7
2r2rk1/pp1bpp1p/6p1/n2P4/3QP3/2q2NP1/PR3PBP/5RK1 b - -,f7f6
5rk1/5p1p/p3q1p1/2p5/3bP3/4B3/1r3PPP/2QRR1K1 b - -,b2b4
8/7k/2p1b1pP/1p2P1K1/8/4B3/PP6/8 w - -,g5f6
8/5R1p/8/1p1B4/p1p3PP/2K3k1/1P6/3r4 w - -,h4h5
8/3Bpk2/3nR1p1/1p5p/5P1P/p1r3P1/5K2/8 w - -,e6e5
r1r5/1p3k2/4pp2/Pbbp1p1p/5P1P/P4N2/1BP1K1P1/2RR4 w - -,e2d2
r3k2r/1pp1bppp/p1nqp3/8/3PB1b1/2P2N2/PP3PPP/R1BQ1RK1 w kq -,d1b3
r5k1/1p4p1/2p3bp/2N5/r6P/P3KPP1/3R4/2B5 b - -,a4c4
r4rk1/pp3pp1/q3p1p1/3pQ3/8/1P5P/2P1RPP1/5RK1 w - -,f1e1
5r2/4k3/6p1/ppb1p3/2p1PPpP/P1P5/1PN1KP2/6R1 b - -,f8f4
r1bq1rk1/1p1nbpp1/2p1pn1p/p1Pp4/3P3B/2NBPN2/PP3PPP/R2QK2R w KQ a6,a2a3
2r3k1/1Q3pp1/4p2p/3R4/1pr5/5NP1/1q3P1P/5RK1 b - -,e6d5
2r2rk1/4Qpp1/2p4p/p2p1p1B/P2P3P/1q4P1/5PK1/1N2R3 b - -,b3a4
8/q5k1/3p1p2/1QpPpPn1/4P3/8/1BK5/8 w - -,c2d3
r2qk2r/pp2bppp/2n1pn2/3p1b2/3P3N/2P5/PP1NBPPP/R1BQ1RK1 b kq -,f5g6
r1b1r1k1/1p3pbp/2p3p1/p3P1B1/Pn2p1P1/6NP/1PP2PB1/R4RK1 w - -,c2c3
8/5pk1/1p2pN2/4P1r1/4R3/4n2K/8/8 b - -,e3d5
2r2rk1/p5p1/2p4p/2RbQP2/1p1PpP2/4q2P/5NRK/8 b - -,g7g5
5rk1/2RR1p2/1q2r1p1/2p1p2p/2P1P3/4QP1P/6PK/8 b - -,e6c6
7k/8/2P2N2/pK4p1/3P4/2r5/P7/8 b - -,h8g7
3r4/4ppkp/bpp3p1/r7/3P4/P1N2PP1/1P5P/2RR2K1 w - -,g1f2
2r5/5k1p/p4p2/1p1P1R2/2p1p1P1/P6P/1P1K4/8 w - -,g4g5
2kr1b1N/pp4pp/2n5/2P1pb2/1P6/2P5/PK1N2PP/R1B2B1n b - -,h1f2
6k1/6p1/pp1qp1Np/4R2P/1P6/1bP3K1/1P3QP1/7r w - -,f2f4
