k7/8/1K6/8/8/5R2/7b/8 w - -,f3a3:f3f8
r7/5pk1/1pp1r1p1/p2p3p/Pn1P3P/1PR1P1P1/5PK1/1B2R3 b - -,g7f6
r2q1rk1/pp2ppbp/nnp1b1p1/8/3PP3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,c3e2
3r4/1pk1b1pp/p3bp2/4p3/4N3/4BP2/PPP3PP/R5K1 w - -,e3c5
6k1/2R5/7p/2N5/3b2P1/8/r7/4K3 b - g3,a2g2
2r2rk1/1b1q1pbp/p1n1p1p1/1p4B1/B2PP3/8/P2QNPPP/2RR2K1 w - -,a4b3
5k2/4b2p/b4pp1/3Q4/3q1P2/2N3P1/PPP4P/1KB5 b - -,d4b6
8/r7/2k3p1/p1P2p2/3K4/8/4R2P/8 b - -,a7a6
8/3R4/P3pk2/1Bb4p/5p2/4P3/3r1P1P/5K2 b - -,d2d7
2bq1r2/r3npbk/pp1p2pp/2p1p3/1PPn4/P1NP1NP1/3BPPBP/1R1Q1RK1 b - -,c8b7
1r3rk1/p4p1p/2pq2p1/2p2n2/2P5/3P4/P1PQN1PP/R4RK1 b - -,b8e8
r4rk1/1b1n1ppp/p1p2n2/4p3/Pp1PP3/2NBBP2/1P3KP1/R4R2 w - -,c3e2
rn2r1k1/1bq1bppp/pp1ppn2/8/2PNP3/2N1B1P1/PP3PBP/2RQR1K1 w - -,f2f4
5k2/3R4/6p1/3p4/6P1/7P/5PK1/r7 b - -,a1d1
1rQ1r1k1/pP3pp1/7p/6q1/8/6B1/PP3P1N/5RK1 w - -,h2f3
rn1qkb1r/pb1p1p2/1p2pn1p/4N1p1/3P4/2N1P1B1/PP3PPP/R2QKB1R b KQkq -,a7a6
3r2k1/1pq1rp2/n1p1b1p1/3pP2p/1PPR1N2/2Q3PP/5PB1/3R2K1 w - -,c4d5
r4rk1/pp1n2pp/2pqb3/3p1p2/3Pn3/2NBPN2/PPQ2PPP/2KR3R w - -,h2h4
r4rk1/p1qnpp2/1p4p1/2p3P1/8/2Q3P1/PPP3KP/R1BR4 b - -,a8d8
2br1rk1/p3qp1p/1p4pP/n1p1b3/3PP3/2PBB1Q1/P3N1P1/2R2RK1 w - -,d4e5
6k1/1bq1np1p/p2r2p1/8/N1p1nP2/QP4PB/4N2P/3R1K2 w - -,d1d6
1rbq1rk1/p1n1ppb1/3p1npp/1PpP4/P3PPPB/2N3NP/1P6/R2QKB1R b KQ -,f6h7
7r/5k2/8/6R1/4B1P1/4K2p/8/8 b - -,h3h2
8/6pp/1k3p2/p3pP2/4P3/P1PB1bP1/3K3P/8 w - -,d2e3
rn1qkb1r/1b2nppp/p3p3/1pppP3/5P2/2NP1N2/PPP1B1PP/R1BQK2R w KQkq -,e1g1
7k/p3n1pp/4P3/2p5/4R3/2N5/PP1r2PP/6K1 w - -,e4e2
8/6kp/p4pp1/1q6/1P1Q4/3p2KP/5P2/8 w - -,f2f4
2r3k1/Rb3r1p/1p1n1q2/1Bnp1ppQ/1B1N3P/2P1PPP1/8/5RK1 b - h3,f7g7
8/p4kpp/n1p1pp2/2P5/3P4/P4N2/4KPPP/8 b - -,f7g6
8/8/2R5/2p3P1/4kP2/8/1Kp3r1/8 w - -,c6f6
6k1/5pbp/6p1/1P1b4/pB6/6P1/5P1P/4N1K1 b - -,g7b2
rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/1P1BPN2/P1P2PPP/RNBQK2R b KQkq -,b7b6
Q1nr3r/1pkq4/1p1b1p2/2pPp3/6pp/R2P2P1/P4PBP/R3NK2 w - -,a1b1
8/2R2pk1/2B2rp1/3p3p/7P/2P1PPP1/3n2K1/8 b - -,d2f3
1r6/4pk2/2p2np1/p2q4/3P4/3N4/PPP2P1Q/1K5R b - -,d5b5
2rq1rk1/p6p/1pn1bpp1/3p1p2/1PP2P2/P7/1B2B1PP/2RQ1RK1 w - -,c4c5
1rbq1rk1/1pp2pbp/p1N3p1/3n4/2P5/1P4P1/PB2PPBP/2RQ1RK1 b - -,b7c6
1rk5/2p3pp/3rbp2/p1p1p3/P1PnP3/1PK1N3/3R1PPP/3B3R w - -,f2f3
4r1k1/3q1pb1/6p1/1p1Nr2p/2p1P1P1/2P2Q1P/1P2R3/5RK1 w - -,f1e1
r1b1rbk1/1pq2p1p/p1nppnp1/8/3NP3/4B1PP/PPPQNPB1/R2R2K1 b - -,d6d5
4k3/R7/5KP1/8/5P2/8/8/6r1 b - -,g1b1
1r3r1k/6bp/1p4p1/2p1p2q/N3Pp2/1Q1P1P1b/2PB2P1/RR3K2 w - -,d3d4
r1bq1rk1/1p3pb1/2p3p1/p1Bnp1Np/Pn5P/2NP2P1/1P2PPB1/R2Q1RK1 b - -,f8e8
8/pp1k4/5p2/3p4/1Prb1BP1/P2R4/3K4/8 b - -,d7e6
3r1rk1/Q5bp/4bpn1/8/4P3/4B1P1/Pq3PBP/R4RK1 b - -,d8a8
r4rk1/p4pp1/2R1p2p/q3P3/2b5/5N2/PQ3PPP/1R4K1 b - -,a5a2
1kr4r/ppp2p2/4q3/Q2p4/3P4/B1R1PB1p/P3K2p/8 b - -,h8g8
8/6pk/7p/p2P1p1P/q1p1p3/2K1P1P1/PQ3P2/8 b - -,a4e8
8/8/P4pp1/1k6/1p1qr2p/3p3P/3Q2P1/1R5K b - -,b5a6
r4rk1/1p1qnpp1/1p1pbn1p/4p3/2P5/3P1NP1/4PPBP/1RBQ1RK1 w - -,b1b6
1rbq1rk1/p1p1p1bp/2p2pp1/4P3/3P2n1/2N2N2/PPP1Q1PP/R1B1K2R w KQ -,h2h3
6k1/4bp2/p1r4p/3bp3/p1q3pP/2N1QP2/2P3P1/2K1B2R w - -,e3e5
8/1k6/1P1K4/2P5/3R4/8/8/2r5 b - -,c1c2
8/5k2/8/1p2R1Kp/1P3P2/6Pr/8/8 w - -,g3g4
2b1rrk1/p3q1pp/1p1p4/2pP1p2/2P2R2/2NP2P1/PP2n1BP/1R3Q1K w - -,c3e2
r2qk2r/1pp2ppp/pbnp1n2/4p3/P3P1b1/2PP1N2/BP1N1PPP/R1BQ1RK1 b kq -,e8g8
3r1rk1/p3bppp/1p2pn2/2p5/2P3q1/1PNP2P1/PB2QPKP/3R1R2 w - -,e2e3
r3r1k1/1pqn1ppp/2p2n2/p1b1pN1b/4P3/PN4PP/1PP2PB1/R1B1QRK1 w - -,c1e3
2r3k1/1q2nr1p/3pNb2/p2P3p/1p2R3/1Pp2P2/P1Q2BP1/3R2K1 w - -,e6f4
rn1q1rk1/1pp1bppp/1n2p3/p2pP3/P2P4/2P2N2/1PQ2PPP/RNB2RK1 w - -,f1d1
3q2rk/1p1n3p/p2p1p2/2pP3p/P3rP2/2Q4P/1P3BP1/2R2R1K w - -,c3f3
4bb2/p1r2k1p/Bnp1p1p1/2NpPp2/3P1P2/1PR3P1/P1R2K1P/8 w - -,f2e3
8/5pkp/6p1/4P3/5Q2/P1p3PP/5PK1/q7 w - -,f4f6
5r2/1b1k2pp/pn2pp2/1p1pP3/1P3P2/P2BK3/6PP/2R2R2 b - -,f6f5
rn3rk1/2p1qpb1/pp4pp/3P1n2/P7/4BN2/1P1QBPPP/3R1RK1 b - -,b8d7
1r3rk1/pppqnp1p/4bbp1/3Pp3/3P4/1P2P1PP/P3NPBK/R1BQ1R2 b - -,e6d5
8/5k2/R3bp2/1P4p1/4N1Pp/5P2/6PK/1r6 b - -,b1b2
r1b2rk1/1p2q1bp/p4Pp1/2p5/5Q2/5N2/PP3PPP/RN2R1K1 b - -,e7f6
3r2k1/pb2bppp/1p2p3/1B6/Pn1PP3/2r2P2/3BN1PP/2R3K1 w - -,c1c3
6k1/p6p/4K3/1p6/6pP/8/PPP5/4R3 b - -,g8g7
r1bqk2r/pppn1ppp/4pb2/8/3PN3/5N2/PPP2PPP/R2QKB1R w KQkq -,f1d3
2r5/8/8/5kpp/8/1PK1R2P/6P1/8 w - -,c3b2
r3k2r/2q1bp2/p1n1p1pn/1p1pP2p/2pP1P2/2P1NNP1/PPQ2B1P/R3R1K1 w kq -,g1g2
r1bqk2r/ppp2ppp/2nn4/b7/8/P1NQ1N2/1PP2PPP/R1B1KB1R w KQkq -,c1g5
3Q4/p4pbk/6p1/2p1q2p/1P4bP/3p2P1/3r1PB1/2N2RK1 w - -,b4c5
2r3k1/p3pp1p/n1p1b1p1/8/1p1rNP2/6P1/PP2P1BP/R1R3K1 w - -,e2e3
r5k1/p2R4/6K1/6P1/8/8/8/8 w - -,d7g7
r6r/p1pk1n2/2pbpP2/8/4NBB1/2P3Pp/PP5P/3R2K1 b - -,a8b8
rnbqk2r/pp2ppbp/5np1/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e8g8
8/1k6/7R/8/8/P7/KP2n3/6r1 w - -,a2b3
r1bq1rk1/ppp1b1pp/2np4/3N1p2/2PPpNnP/6P1/PP2PP2/R1BQKB1R b KQ -,f8e8
2r3k1/pp3pp1/4pN2/q1Pn4/3P4/1P3QPP/PB4K1/4R3 b - -,g7f6
r1b1kb1r/ppqp1ppp/2n1pn2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,f2f4:d1f3:f2f3:f1c4:d1d2:f1d3:f1e2
5k2/1p1q1pp1/p1pN1b1p/2P2b2/1P1p1P2/PB1P2P1/5K1P/4Q3 b - -,f5g6
4k2r/3b1pbp/pn1p2p1/q2Pp3/P7/1Pp1N1P1/2P2PBP/R2RQ1K1 w k -,e1e2
3rr2k/p5bp/2q3p1/2N5/2Q1RP2/B1N3P1/PP4KP/8 b - -,d8d2
3r1r2/p4pkp/2p3p1/4N3/2B2n2/P7/1P2bPPP/R4RK1 w - -,f1e1
8/1r2p2p/1p1nk3/p1p1BpPb/P1P2P1P/6N1/2K5/1R6 b - -,h5f3
rn1qkb1r/ppp1pppp/3p1n2/8/4PPb1/2N5/PPPP2PP/R1BQKBNR w KQkq -,f1e2
2rr2k1/p3qp2/2pRb2p/2P1p3/2p1PpP1/5P2/P1Q4P/3RB1K1 b - -,f7f6
r1bqkn1r/ppp2p2/1bn1p1pp/3pP3/1P1P2QP/P1NB2N1/2P2PP1/R1B1K2R w KQkq -,c3e2
r1bqk2r/1p3pbp/p1np1pp1/2p5/P3P3/1P3N2/1BPP1PPP/R2QKB1R w KQkq -,h2h3
r3r1k1/4qp1p/pnp3p1/1p1p3n/PP1P4/2NQP2P/3N1PP1/1R3RK1 w - -,a4a5
2R2k2/8/6K1/5P1p/8/4r1p1/8/8 b - -,e3e8
r1bq1rk1/1p2ppbp/p2p1np1/2p5/P3PP2/2P5/1PBPN1PP/R1BQ1RK1 b - -,f6e8
r1b3k1/1p4pp/1q6/p2pP3/P1Pb4/5BP1/1P3nKP/R1BQR3 w - -,f3d5
8/6pk/p2Q4/1p3p2/5Bq1/2P2n1p/1P6/2K5 b - -,g4g1
r2q1rk1/1p2Bppp/4p3/p2p1b2/2nP4/1Q3NP1/PP2PPBP/R4RK1 b - -,d8e7
8/5R2/pr1k4/8/2KP2p1/1N3p2/P7/8 w - -,f7f4
r1bqk2r/ppp2pbp/3p2p1/1N4Q1/4P3/4B3/PPP2PPP/2KR3R b kq -,c8d7
4Q2k/6p1/5p1p/3q1P1P/6PK/8/p7/8 b - -,d5g8
8/3rkp2/6p1/7p/1RB5/p3PKP1/Pb3P1P/8 w - -,c4b3
r1bq1rk1/1p1p4/2p1pn1p/p1P2pp1/2PPnB2/PQ3N1P/4PPP1/R3KB1R w KQ g6,f4d6
2nr4/4nk2/2bp4/2p2pPp/p1P5/P1P1N1K1/2BR4/2B5 w - -,e3f5
8/3k1np1/5p1p/2p4P/4PPP1/3K4/1B6/8 w - -,d3c4
6k1/p6p/3pR2P/1p1P1pp1/2q5/6P1/PP6/1KR5 b - -,c4d3
5rk1/5pb1/6p1/p3P2n/1pr2P1P/7N/PB6/K4RR1 w - -,f4f5
1nr5/1pr1kp2/p1b1p1p1/3pP2p/P2N1P2/1PP3PB/1K1R3P/3R4 w - -,h3f1
r4rk1/pp2ppbp/q1n2np1/8/2bN4/B1N3P1/PP2PPBP/R2Q1RK1 w - -,d4c6
2kr3r/pp3ppp/2nbp3/5N2/3P1P2/5N2/PP3PPP/2KR1B1R b - -,e6f5
4bbnr/p3k2p/8/1p2P1p1/5N2/8/PP3PPP/R2R2K1 w - g6,f4d5
r1bqkb1r/pp4pp/2n1pp2/2ppP3/4n3/5N1P/PPPPBPP1/RNBQ1RK1 w kq -,d2d3
2rqr1k1/5pbp/p1n1bnp1/1p2p3/4P3/4BPP1/PP1QNNBP/2R1K2R w K -,b2b3
rn1q1rk1/pb2ppbp/1p1p1np1/8/3p1B2/2PBPN1P/PP1NQPP1/R3K2R w KQ -,c3d4
8/p1R2R2/1kbp4/2p5/2P1r3/1P6/P7/K7 b - -,a7a6
r4rk1/1p3pbp/3p2p1/q1pPp3/p2n4/P5P1/1P1PPPBP/R1BQ1RK1 w - -,d2d3
rnbq1rk1/1pp1ppbp/p5p1/4N2n/2BP4/2N4P/PPP2PPB/R2QK2R w KQ -,e1g1
4B3/8/1p6/p1p5/2Pk3P/4p1P1/8/5K2 b - -,d4d3
8/5R2/3k2p1/3P3p/4KP1P/6P1/5b2/8 b - -,f2g3
r2r2k1/p1q1ppb1/2b3pp/p1p4n/2B1P2B/2P2N2/1PQ2PPP/R3R1K1 w - -,c2b3
8/p5kp/3r1pp1/2N5/1P3p2/3N4/P1K2PPP/8 b - -,g6g5
8/p1k5/4pnp1/P4p2/5P1P/4K3/4B3/8 w - -,e2c4
8/1p6/3Nk3/1p1n3p/1P3ppP/2P5/P5P1/6K1 w - -,d6b5
8/5pk1/p6p/R7/2brB1P1/Pr3P2/1PR3K1/8 w - -,a5c5
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP1B2/2N1PN2/PP2BPPP/R2QK2R w KQ -,e1g1
2r3k1/1R6/8/6P1/pp1p4/2bB4/P5K1/8 b - -,a4a3
8/6n1/4Np2/2k5/2n1KN1p/5P2/6P1/8 b - -,g7e6
R4R2/2p2kpp/4p2q/1B1pP3/1P1P4/4b3/5BPP/6K1 b - -,f7g6
8/6pk/1R2p2p/P2pN2P/1P1Pb1P1/r3P3/8/4K3 w - -,a5a6
5bk1/6pp/5p2/1r1p4/3P4/2R5/4KPPP/2B5 b - -,g8f7
5rk1/1pp2p1p/p2r1B2/3p4/1P3P2/1P6/2P1qPPP/R1Q3K1 w - -,c1b2
2k4r/pp2bpp1/2q5/2Pp4/2B1n1P1/P6r/1BQ2P2/1K1R2R1 w - -,c4d5
5b1r/1bk1N2p/p4P2/4n3/8/8/1PP4P/1K1R2R1 w - -,g1g5
8/8/8/1kpPn1P1/pp2N3/8/1K6/8 w - -,d5d6
8/6pp/2k2p2/ppNb4/3K1P1P/P5P1/8/8 b - -,c6d6
8/2n5/p1p3p1/P1P2k1p/3K3P/6P1/2N2P2/8 b - -,c7b5
3q2k1/r4pbN/n1p3p1/4p2P/1p2P1N1/7Q/5PP1/R5K1 w - -,h5h6
2r1kb1r/1p2nppp/p1q1p3/n2pP3/3P4/P1N1BP2/1P2BP1P/R2QK2R w KQk -,c3a4
1k1r1b1r/p2q1ppp/2pp1n2/1p6/4PB2/1nNP3P/PPP1Q1P1/2KR3R w - -,a2b3
8/8/8/5ppN/3kp2p/7P/5K2/8 b - -,d4d3
2r2rk1/1b3pb1/ppn1p1pp/3q4/3P1B2/1P2QN1P/P4PP1/3RRBK1 b - -,c6b4
r1bq1rk1/p1b3pp/2p1p3/2pnPp2/2Np1P2/3P2N1/PPPBQ1PP/R4RK1 b - -,h7h6
3r2k1/pp1R2p1/1b2N3/1P3p2/5B2/P5P1/5p1P/5K1R b - -,d8d7
6k1/4bpp1/4p2p/4P3/2rrNPP1/1B5P/P7/3R2K1 w - -,e4d2
r1b3r1/1pp3qk/1n1p4/3P1p1p/1PPb1P2/3pN2P/3Q1BPK/1RN3R1 w - -,d2d3
r3r1k1/p3n1pp/1p1q1pn1/2pp4/3P4/P1PPNQP1/5P1P/1RB1R1K1 w - c6,d4c5
r3r1k1/1pp2ppp/1b2n3/1q1pPN2/1P1P1n2/5N1P/1B1Q1PP1/3RR1K1 w - -,g2g3
r1b1k2r/pp1qnppp/2nb4/4p3/3P4/2N2NP1/PP3PBP/R1BQ1RK1 b kq -,e5d4
2r1r1k1/p3pp1p/1p1p2p1/nP1N4/2P1PP2/1Pb1B2P/6P1/1R3RK1 b - -,c3g7
1r3rk1/p1q1pp1p/2b3p1/2p5/2P5/2Q1P1P1/P4P1P/2RR1BK1 w - -,f1g2
8/6p1/2kp2b1/p1p5/Pp2r3/1P4P1/2PK4/4RN2 b - -,d6d5
r3r3/1pq2pbk/p1n1b1pp/4p3/2B5/2P2NBP/PP2QPP1/3RR1K1 b - -,a8d8
1rr3k1/1p1bppbp/p1np1n1q/6p1/2P2N2/1P2PNP1/PB1Q1PBP/R2R2K1 w - -,f4d5
1rb2rk1/pp1n1ppp/8/2b1pN1q/2P5/2N1n1PP/P1Q1PPB1/1R3RK1 w - -,f5e3
r2k1b1r/1p1n1npp/2p1bp2/4p3/1PP5/2N1PN2/4BPPP/1RB1K2R b K -,d8c7
6k1/1n1b3p/3p2p1/1pBPp3/4Pp2/2NB1P1P/6P1/5K2 b - -,b7c5
r4rk1/1N3pbp/2B3p1/8/2P5/p3P2P/1n4P1/2R2RK1 w - -,c6d5
r4rk1/1p3ppp/8/q1n1P3/2P2PPb/p2pBR1P/P5B1/1R1Q2K1 b - -,a8d8
r1bqr1k1/pp1n2pp/2pb1p2/3p4/2PP4/2PB1N2/P2B1PPP/R2Q1RK1 w - -,c4d5
8/p1q2pk1/1p3np1/1B5p/P6P/2r5/1Q3PP1/4R1K1 w - -,g2g3
8/1K6/p6p/P5k1/1p6/2p4P/5b2/N7 b - -,f2e3
r2q1rk1/1p2bppp/p1n1pn2/3p3b/3P1B2/P1NBPN1P/1P3PP1/2RQ1RK1 b - -,a8c8
R7/5n2/3p1k2/p2K3p/Pb5P/8/6P1/8 b - -,f7e5
2R5/r3p1k1/1p1p4/1B1P1P2/8/6p1/5bK1/8 b - -,a7a2
r4rk1/1bqn1ppp/4pb2/p7/P1NP4/1Pp2NP1/2Q2PBP/R4RK1 b - -,e6e5
r7/1pp1qkbR/3n2p1/p1pPp1P1/P1P1Pp2/2N2N2/1P3P2/2K2Q2 b - -,a8h8
r4rk1/p2qn1p1/2p1ppp1/Pp6/2QPP3/2P2PP1/3B3P/R4RK1 w - b6,a5b6
2b2rk1/2qpb1pp/4p3/p1p2p2/1rP2P2/1N2Q1P1/PPR3BP/1K1R4 w - -,a2a3
3r2k1/pp2ppbp/q1r3p1/3p4/3P1B2/2P5/PP2QPP1/R3K2R w KQ -,e2a6
r4rk1/1pqb1ppp/p1n1pn1b/2Pp4/3P4/1PNB1NP1/PB3P1P/R2QR1K1 w - -,b2c1
1r3rk1/p4pnp/1q2b1p1/3B4/1PP5/P1N2Q2/5PPP/3RR1K1 w - -,c4c5
rnbqk1nr/p4ppp/4p3/1p6/2p1P3/B1P2N2/P1BP1PPP/R2Q1RK1 b kq -,g8e7
2r2rk1/nb2bppp/1q2pn2/pp6/1P6/P1N1PNP1/1B2QPBP/R2R2K1 w - -,c3a2
8/7R/3p1r2/2p3p1/2k5/2P3KP/8/8 w - -,h7g7
r1bqk2r/ppp1bppp/2np1n2/4p3/2P5/1PN3P1/PB1PPPBP/R2QK1NR b KQkq -,c8f5
r4rk1/pq2b1pp/4p3/2ppBb2/3P4/1PP5/P2N1PPP/R2QR1K1 b - -,a8c8
r1bqkb1r/p1p2ppp/2p2n2/3p4/4P3/3B4/PPP2PPP/RNBQ1RK1 b kq -,d5e4:f8e7
2n5/8/3p1k2/1p1Pp1p1/1P2P1P1/1P1KN3/8/8 b - -,f6f7
5k2/5p2/7p/ppp1PP2/4K3/R1br4/7P/6R1 b - -,d3d4
1nk1r1r1/1ppq1p1p/p2p1Bp1/1P6/P3PP2/2Q5/2P3PP/R4RK1 w - -,c3b4
1r1q1rk1/pb1nppbp/6p1/N2p2Bn/2pP4/2PBPN2/1P3PPP/RQ3RK1 w - -,d3e2
3k3r/pp2bpp1/2r2np1/3p2B1/3P3P/P1N2PPB/P7/1K1R3R b - -,c6c3
4r2k/p4pp1/6qp/3p4/3P1B2/2Pb1PP1/PR5P/3Q2K1 w - -,b2b8
1r2r1k1/p4pb1/2pp1qpp/8/4P3/2PN4/PP1RQ1PP/R6K b - -,e8e6
3r1rk1/6b1/1p4q1/p3pp1Q/PpPp4/1P1P2P1/5N2/3R2KR b - -,d8d6
r1b1r1k1/1pqnbppp/2p2n2/p2pp3/4P3/1BPP1NN1/PP3PPP/R1BQR1K1 w - -,a2a4
r4rk1/2p3p1/R4pp1/3p4/P3p3/1q2P2P/4QPP1/3RK3 b - -,b3b7
rn1q2nr/p4k2/2p1B2p/8/5ppb/2N5/PPPP2P1/R1BQ1K1R b - -,f7e6
r1bq1rk1/1ppn1nbp/3p1pp1/p2Pp3/2P1P3/P1N2N2/1PQBBPPP/R4RK1 b - -,d7c5
3r4/3r2k1/p1b2n2/8/1P6/2Q2P2/P2p2PP/3R2K1 w - -,c3c6
8/8/7p/3p2p1/3bb1P1/2kN3P/4K3/1B6 w - -,h3h4
8/6p1/3kp2p/1r1p1p2/1P5P/4P1P1/4PK2/1R6 w - -,f2f3
6k1/1R3pp1/8/1pp3b1/3r2p1/P3N3/1PP2P1P/5K2 b - -,d4d2
4r3/k1p5/1pP4P/p4Nn1/4P3/Pb3BP1/1B2K3/8 w - -,e2e3
8/8/1p4pp/p1n2p2/P1Pk3P/1P4P1/2BK4/8 w - -,d2e2
r5k1/pp1rbpp1/2p1p2p/5q2/8/1BP4P/PP2QPP1/R3R1K1 w - -,b3c2
r4rk1/1pqnbpp1/p1p1pnp1/8/P1BP4/1QN1PPP1/1P1B3P/2R2RK1 b - -,a8d8
r1bqkbnr/pppp1p1p/6p1/8/2BpP3/8/PPPP1PPP/RNBQK2R w KQkq -,e1g1
3qr1k1/pp3ppp/4bbn1/2rp4/8/2NBPPN1/PP3QPP/3R1RK1 w - -,e3e4
r3k2r/1bp1qpb1/pp1p1nnp/3P2p1/P1BBP3/2N4P/1PPQ1RPN/5RK1 b kq -,g6e5
r2qr1k1/pp1nbpp1/4p2p/1Q1pP3/3P1B2/6P1/PP3PBP/R3R1K1 b - -,d7b6
r1b1k2r/1pqnbpp1/p2ppB1p/8/3NPP2/2NB4/PPPQ2PP/2KR3R b kq -,e7f6
r3k2r/1pqb4/p1nbpn2/3p1p2/3P1Ppp/3BP1P1/PP2NNKP/R1BQ1R2 w kq -,c1d2
8/8/2p2kp1/p1r5/Pp3p1P/1P6/1P4R1/1K6 w - -,g2g4
6rk/1p5p/3bR3/P2r4/8/7K/1P2B3/3R4 b - -,d5d1
1rb1qrk1/5pb1/p1pp1npp/4p1n1/1PP5/2NNP1P1/P2B1PBP/2RQ1RK1 w - -,e3e4
1r1r2k1/p2P1p1p/3Qp1p1/8/1p2BB2/8/q1p3PP/3RK3 w - -,e4c2
r2qrnk1/1b3ppp/pp3b2/3p3P/3P4/P1NBBQP1/1P3P2/2RR2K1 w - -,c3e2
6k1/p2q1p2/bprnnPp1/1N1p2Pp/P2P3P/3B1PB1/4R2K/4Q3 b - -,d6f5
4kr2/p4ppp/1pn1p3/3pP3/3P4/Pn3N2/1Pr2PPP/1RB2RK1 w - -,c1e3
r1bq1rk1/pp2npb1/2n3pp/2ppp3/4P3/P1PP1NP1/1P1NQPBP/R1B1R1K1 b - -,a8b8
r2qr1k1/pp1n1p2/2p1pp1B/3pP1b1/3P4/1NPQ4/PP5P/R4RK1 w - -,h6g5
6r1/5N1p/2k5/5p2/1P3R1n/P1N5/2K3bP/8 b - -,h4f3
r2q1rk1/pp2npp1/3b3p/7b/2p5/1NP1BN1P/PP3PP1/R2QR1K1 w - -,b3d2
r3brk1/pp2b1pp/1qn1pp1n/2ppP3/3P1P2/2P2N2/PPN1B1PP/R1BQ1R1K b - -,e8g6
8/pr3p1R/1p2p1p1/4P3/2KP2kP/P7/1P5P/8 b - -,b7d7
8/pR3p1k/4p1p1/4Q2n/6q1/r7/5P1P/4RK2 b - -,a3f3
8/8/3b4/4k1p1/1P6/p1P1KP2/P4N1p/8 b - -,e5d5
2r2r2/p3qpkp/1p2p1p1/3b4/1PR1n3/3BPN2/PQ3PPP/3R2K1 b - -,e7f6
r3r1k1/pbp3pp/1p1b1p2/2p1p1q1/4PnN1/2PP1QNP/PP3PP1/2BRR1K1 b - -,a8d8
8/8/1r5k/5R2/6PK/7P/8/8 w - -,g4g5
6k1/5p1p/R2n2p1/3Pp3/1b2P3/1P2B2P/2rN1PP1/6K1 w - -,a6b6
r2qr1k1/1pp3pp/1nn1bb2/5p2/p2P4/BPN1PQP1/P1N3BP/3R1RK1 w - -,b3b4
2rq1rk1/1b1nppbp/pp1p1np1/2p5/P2P4/2P1PN1P/1P1NBPPB/RQ3RK1 b - -,c8c7
r1bqk2r/p2nppbp/2pp1npB/1p6/3PP3/2N2P2/PPPQN1PP/R3KB1R b KQkq -,g7h6
2rr2k1/p3bpp1/1pn1p2p/3qP3/3P4/P2Q1N2/1P1B2PP/4RRK1 w - -,e1e4
4r2k/6p1/p6p/3PB1N1/6K1/1B1r2P1/P7/8 b - -,h6g5
r1b2rk1/1p1n3p/p2p1q2/3Pb1p1/1PP1Pp2/2N5/P2QBBPP/2R2RK1 w - g6,c4c5
