r2r2k1/5ppp/p1B5/8/8/3nK1P1/7P/R6R b - -,a8a7
8/5p2/8/1p6/4k3/P7/1P1K3P/8 b - -,e4f3
3r2k1/1pr1qpp1/pn2p1p1/R7/3NQ3/1PP4P/3P1PP1/4R1K1 w - -,d4f3
3r1r1k/1p5p/2n1n1qb/p2N1p2/2R2P2/1P5P/PB2Q1BK/3R4 b - -,h6g7
r1bqk2r/pp1nbppp/2pp1n2/4p1B1/2PP4/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,e2e4
r3q1rk/1pn1p1bp/n1p5/p2pPp1p/P2P1P1Q/1B2BR2/1PP1NKP1/R7 w - -,a1h1
r3r1k1/ppqn1ppp/2p2n2/4p3/P2PP3/B1PQ1N2/5PPP/R2R2K1 w - -,d1e1
8/8/8/8/1PK4R/r3rk1P/8/8 w - -,c4c5
rn1q1rk1/pb2ppbp/1p1p1np1/2p5/2P2B2/2NP1NP1/PP2PPBP/R2Q1RK1 w - -,d1d2
8/kpQ5/p7/P7/2P5/KP5p/8/6q1 w - -,c4c5
R7/P7/8/5p2/6p1/5k2/r7/4K3 b - -,f5f4
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,f8b4
3q1rk1/5p1p/3pb1pQ/4p3/1p2P2P/1P1R1PN1/r1P3P1/2K4R b - h3,d8c7
rb2rnk1/p4pp1/1qp2n2/1p1p1P1p/1P1P4/P2B1P2/2QBN1PP/4RRK1 b - -,b8d6
6k1/p4p2/5Bp1/2p3P1/5P2/1P4p1/P2r4/5RK1 w - -,f1f3
2r1rbk1/3n1p1p/ppqpp1p1/8/1PP1P3/P4N2/1B3PPP/2RQR1K1 b - -,f8h6
r3qk1r/1b1nb3/p3Q2p/1p1n2pB/2p5/2N3B1/PP3PPP/3RK2R b K -,e8h5
8/6p1/2p5/1pPn4/pP1P1k1p/P4P2/5K2/5N2 w - -,f1h2
8/4p3/r2p1k2/2pn1p1p/p1RP1P2/4K1PP/PP4R1/8 w - -,e3d3
8/1p2n3/2p5/1p2Bk1p/3P4/PP1K2P1/8/8 b - -,e7d5
r3r1k1/p4pb1/1qpBn1p1/4p1Pp/4N2P/5P2/PPP5/1K1RQ2R b - -,e6d4
r2qk2r/1b1n1ppp/p1pbpn2/1p1p4/2PP4/1P3NP1/P1QNPPBP/R1B2RK1 w kq -,c1b2
1rq1n1k1/R2R2p1/4pr1p/1pQp1p2/p2P4/P1B1PP2/1P4PP/6K1 w - -,c5c8
8/8/5k2/R4P1K/5P1P/8/8/6r1 b - -,g1g8
4r1k1/1p1b1ppp/p2r4/3P4/8/2R1N1P1/PP5P/1B4K1 w - -,g1f2
r1b1kn1r/1pq1bpp1/2pp1n1p/p7/2PBP3/2N4P/PP1QBPP1/R3KN1R b KQkq -,f8e6
8/8/6RP/8/6P1/4k3/7r/3K4 b - -,e3d3
8/3n4/4pk2/3p3P/6K1/N3PN2/8/8 w - -,a3b5
rnbqk2r/ppp2ppp/3P4/8/1bP2Bn1/8/PP1NPPPP/R2QKBNR b KQkq -,d8f6
r1b1kbnr/pp1ppppp/2n5/8/3NP3/4B3/PqP2PPP/RN1QKB1R w KQkq -,f1c4
5r2/2q1N1pk/p2p2R1/1p4Qp/1K4b1/8/PPP5/8 b - -,a6a5
8/4k3/p3pp1p/1p4p1/1P6/P1nqP2P/5PPK/2Q1N3 b - -,d3d6
rnbq1rk1/2p1bppp/pp2pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - -,f3e5
r5k1/2q1bp2/2r3p1/N1p1p3/Pp5p/3PB1P1/Q3PP1P/1RR3K1 b - -,a8a5
3r4/pp3k1p/2pRbqp1/1PP1pp2/P7/6P1/1Q2PPBP/6K1 w - -,b5c6
2b5/R7/3kpp1p/6pP/3PP1P1/2KB1P2/1r6/8 b - -,b2f2
r1bq1r1k/3n2pp/p1pp1b2/1p2p1N1/4P3/1PNPB2P/1PP1QP2/2K3RR b - -,f6g5
2rr1nk1/1b3ppp/pq2pn2/1pb1N3/8/1PN1P3/PB2QPPP/1BRR2K1 w - -,e5g4
r3kb1r/1ppq1pp1/p1np4/1B1N2p1/4P1b1/3Q1N1P/PPP2PP1/R3K2R w KQkq -,b5c6
3r2k1/1pq3pp/4bp2/4P3/2PpP3/rP1R2P1/3Q2BP/3R2K1 b - -,f6e5
3r2k1/pb2bppp/1n2p3/P3P3/1pq5/1N2B1N1/1P2QPPP/R5K1 b - -,c4b3
1k1r3r/pp1q2b1/2np3p/2pN1Pp1/1PPnP3/P1NPB3/6QP/1R3R1K b - -,g7e5
2kr4/p2p3p/2q1p1p1/2p1Rr2/2P2P2/1P5P/P2Q2P1/R5K1 w - -,a1e1
r1b2rk1/p2n1pp1/4p2p/qp1n4/3P3B/PQP5/3NBPPP/2R2RK1 b - -,c8a6
4rbk1/2qn1rnp/1p1p2p1/pPpPp1B1/P1N1p2P/3Q1RPB/1P3P2/4R1K1 w - -,d3e4
6k1/5p1b/1pB1pp1p/1P6/8/1r2R1P1/1r3P1P/2R3K1 w - -,e3b3
5rk1/1p2q1b1/1Np1b1p1/2P1p2p/1P2P1P1/3r2QP/P3RPBN/5RK1 b - -,d3g3
2rr2k1/4qp1p/p3p1pb/1p6/n2NNP2/2P3PP/PP2Q3/3RR1K1 b - f3,h6g7
2kr3r/ppq2pp1/2pbpn1p/7P/2QP4/2P2BP1/PP1B1P2/2KR3R b - -,c8b8
3k1r2/pp2b3/1q2p1Qp/3pP1pB/1r6/1P4P1/P3RP1P/5RK1 b - -,a7a5
8/2q1b1kp/4bpp1/8/5P2/PPN2QP1/1BP4P/1K6 b - -,c7a7
3rr1k1/pp5p/2n3pq/5pN1/8/2PB2R1/P1P2Q1P/R3K3 w Q -,e1f1
8/3bkp1p/4p1p1/n2p4/3P1P2/6P1/3N1K1P/5B2 b - -,f7f6
r5k1/7p/p2Br1p1/2P3b1/P3p3/1R4P1/4R2P/6K1 w - -,b3b6
2r3k1/5pp1/p3p2p/P7/2Q1P3/1P1n1PP1/2qr1NKP/R4R2 w - -,c4c2
6q1/R2Q4/5rk1/1p2P2p/1P6/5pPP/2r5/7K b - -,f3f2
1rbqr1k1/1pp2pbp/p2p1np1/4n1B1/P1PN4/2N3PP/1P2PPB1/R1Q2RK1 b - -,c7c5
r2q1rbk/pp1np1bp/2p2np1/3p1p2/PPPP4/5NP1/1BQNPPBP/R4RK1 w - -,a1c1
1r3k2/2R1pp2/3p1np1/1P6/4P3/5P2/4B2P/7K w - -,e2c4
1r4k1/4bppp/pN2p3/P1p1P3/1qP2P2/5Q1P/6P1/3R3K w - -,f3c6
8/8/6nP/p7/2p1k3/P5K1/1P2N1P1/8 w - -,g3g4
r2q1rk1/1b3ppp/pp2p3/2p1P1b1/2BPp3/1P2P3/PBP1Q1PP/R4RK1 w - -,a2a4
r2q1r2/pp1nppkp/2bp2p1/8/2P1P3/2NQ3P/PP2BPP1/R4RK1 w - -,d3d4
4rr2/1pq3bk/1p4pp/1Qp5/N2pn3/P3B2P/2P2PP1/1R3RK1 w - -,e3c1
1brqr1k1/pp3ppp/2n2n2/1N1p1b2/1P6/P3PN2/1B2BPPP/2RQ1RK1 b - -,f6e4
b4Q2/2pq2pk/p6p/P7/8/3r1P2/1P3BPP/R5K1 w - -,a1e1
3r4/1q2kp2/pprp2p1/3RP2p/P1P2Q2/1P4P1/6KP/3R4 b - -,d6e5
r4r1k/2pqbppp/p1n2nb1/1p1pp3/P3P2N/2PP2NP/1PB2PP1/R1BQR1K1 b - -,a8d8
r3k2r/1b2qp1p/p1pp2p1/1p2bP2/4P1N1/3Q4/PPPB2PP/2KR1R2 b kq -,e8c8
r5k1/2q4p/3b2p1/prpPpp2/P7/3B1PP1/4Q2P/3R2K1 w - -,d3b5
1r1q1rk1/3nppbp/p1np2p1/1pp5/4PP2/2PPB2P/PP4PN/R2QRBK1 w - -,h2f3
r1nq1rk1/3b1pbp/1p1p1np1/2pPp3/P1P1P3/RQN2N2/5PPP/1RB2BK1 b - -,f6e8
2k5/4R3/2P1K1p1/7p/7P/6r1/8/8 w - -,e6f6
2br1nk1/r7/p4q1p/1p1pN1p1/2pP1n2/2P1R1B1/P1BQ1PPP/5RK1 b - -,d8d6
5R2/8/5k2/4b1p1/7r/5P2/4PK2/8 b - -,f6e7
r1b1kbnr/p3pppp/2p5/3q4/8/8/PPP2PPP/RNBQKB1R w KQkq -,d1e2:b1c3
4n3/3q1nk1/1b1p2p1/1p1Pp2p/1P2Pp2/r2B1P1P/1N1BK1P1/R2Q4 b - -,a3a1
8/3k4/6R1/3P3p/4KP1P/6b1/8/8 b - -,g3h4
2kr3r/ppp1np2/7p/4nbp1/4N2P/P1P2P2/1P2B1P1/R3K1NR w KQ -,h4g5
2b2r2/3pppkp/1r4pn/pp2P3/6P1/2N4P/PPP2PB1/2KRR3 w - -,c3d5
8/r6p/1p1kp3/7R/8/3KP2P/8/8 b - -,a7c7
3R4/pBr5/P7/4k3/8/3K4/8/8 b - -,c7c1
1r1q2k1/R2n1p1p/2b1p1pP/1p1pP3/1P1P1QN1/3B2P1/5PK1/8 w - -,a7d7
r2q1rk1/pb2npbp/1p1p1np1/2p2P2/3P4/2NBBN1P/PPPQ2P1/R4RK1 w - -,e3h6
r1b1qr2/pp2p1bk/n1pp2pp/5p1n/2PP1B1P/P1N1QNP1/1P2PPB1/3R1RK1 b - -,a6c7
3r1rk1/ppq2pp1/2pb1n1p/3pn3/6b1/1P2P1P1/PBPNNPBP/R3QRK1 b - -,d6b4
r1b2rk1/5ppp/p3p3/1p2N3/1P6/P7/5PPP/2RR2K1 w - -,c1c7
6k1/pp1r1pp1/2n1b2p/1Q6/7P/2P5/P4PP1/4R1K1 w - -,a2a3
4b3/4N1kp/5p2/p2p4/3P2p1/3N2P1/PP1b1K1P/8 w - -,f2e2
8/7p/1p1kb1p1/8/p2pB2P/1P3PP1/P3K3/8 w - -,b3a4
r1b3k1/2r1pp1p/p2p1np1/1p1P4/2P5/1P3P2/P1NR2PP/3R1BK1 w - -,c4b5
r1b1rbk1/1pq2p1p/p1n1pnp1/3p4/3NP3/4B1PP/PPPQNPB1/R2R2K1 w - -,e4d5
r4rk1/3q1pp1/b1N1p2p/ppnpP3/5P2/2P2Q1P/PPB3P1/R1B1R1K1 b - -,d7c6
r1k5/3R1r2/2n4p/3p4/p1pPp2q/2P2B2/P4R1N/3QB2K b - -,f7d7
n1r2rk1/pp1qp1bp/2p1n1p1/3pPp2/PB1P1P2/1PPQ1N2/4N1PP/R4RK1 b - a3,b7b6
r4rk1/p1pp2pp/b1p1qn2/2b1p3/2P2P2/1P4P1/PB1NQ1BP/2KR3R b - f3,e5f4
r1bq1rk1/pp2bp1p/4nnp1/3p4/2pP2PB/2N1PN1P/PPQ1BP2/2KR3R b - -,e6c7
2q2k2/2p2p1p/1p1p2p1/p2P4/P2P4/1P1Q2P1/5PKP/8 w - -,h2h4
r5k1/p2q1pb1/bp2p1np/2p1P3/2N2p2/1Q1PB1P1/PP5P/R4RK1 w - -,g3f4
2rr4/1b1pkp1p/p2Rp1p1/1p6/2n1PP2/P1N5/BPP2KPP/3R4 w - -,a2c4
8/1pnb4/p1p2pk1/2P1p2p/1P2P1pP/P1KB2P1/4NP2/8 w - -,e2c1
r2q1knr/5pbp/2ppp1p1/p2bP1N1/Bp1P1P2/4B1N1/PPPQ2PP/1K1R3R b - -,d8e7
2r3k1/3R1pp1/7p/2r1pPb1/qp2P1P1/1N1Q4/P1P1R3/1K6 b - -,c8a8
r4rk1/1p2qpnp/p1p3p1/3p1b2/QP1P4/P2BP3/5PPP/R1N2RK1 w - -,a4c2
r2r2k1/1b1nqp1p/pp1b2p1/4n3/P1BNp3/1P2P2P/1B1NQPP1/R2R2K1 w - -,d2f1
r2r2k1/pb3pbp/1p2p1p1/n7/3PP3/q2BBN2/P3QPPP/1R1R2K1 b - -,a8c8
r5k1/1p1bppbp/3p2p1/p3n2n/P3P3/1BP1BP2/2P1N1P1/2KR3R b - a3,b7b5
r4rk1/3b2p1/pp1p1p2/2pP4/P1B1PR1p/2P5/1P4PP/5RK1 b - -,d7a4
8/p2r4/4R3/1P3pk1/1P2p3/7K/5P2/8 b - -,g5f4
r2qk2r/1p1n1ppp/2p1pn2/p2p4/1bPP4/2NQPN2/PP1B1PPP/R2R2K1 b kq -,e8g8
r1r5/ppB2pbk/1n1Pq1p1/1Q5p/3pPP2/3B4/PP4PP/2R2RK1 w - -,e4e5
5r1r/pp2kp2/4q2p/3pPQpP/b1pP4/P1P3PB/2PB1P2/R2K4 w - -,a1b1
1r1q1rk1/1b1n1pbp/pp1p1np1/4p3/P2BPPP1/2N4P/1PP1N1B1/R2Q1RK1 w - e6,d4e3
1r4k1/2nnq1bp/pr1p2p1/2pP4/2B1Pp2/5P2/RPQN1BPP/5RK1 w - -,b2b3
