r7/8/5kp1/7p/7P/P3RKP1/5P2/8 b - -,a8a4
1r3rk1/4bppp/4p3/p2p4/R1nP4/2P2B1P/P3NPPK/2B5 b - -,f8c8
3r2k1/1b3p2/4p1pp/p3q3/1p2pR1P/4R1P1/PPP5/1KNrQB2 w - -,e1f2
8/2n2rkp/3p2p1/2pP4/8/2P1RPqP/3QK3/5B2 b - -,g3f4
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq c6,e2e3:e2e4:c2c3:g1f3:d4c5:d4d5
5r1k/pp6/8/8/7P/6K1/B4PP1/8 b - -,b7b5
r1bqkb1r/1p2nppp/p1n1p3/2pp4/P3PP2/2NP1N2/1PP3PP/R1BQKB1R w KQkq d6,f1e2
r4rk1/2nq2pp/1p1bp3/p1ppP3/P4PP1/2P5/1P1NQ2P/R1B2RK1 b - -,d6e7
4k1r1/1q1n1ppr/2p1p1Np/B1PpP2P/b2P2R1/5Q2/3N1PPK/8 w - -,g4f4
r3kb1r/pp1n1ppp/4pq2/3p4/2B5/5P2/PPPBQP1P/2KR3R w kq -,c4d5
r6r/p1pqk3/1p2p1pp/3pPp2/P1nP3P/2P2N2/2P1QPP1/R3K2R w KQ -,f3d2
r6k/p2bnpq1/7p/1p1p4/2pnp1PP/4Q2B/PPP5/1K1R3R w - -,e3d4
8/8/3kn3/1p6/2p1Bp2/2P2K2/1P3P2/8 b - -,d6e5
3r3r/5kp1/3Rp3/2p1Pp1p/2P2P1Q/2K1P1N1/2P5/4q3 w - -,c3d3
r2r2k1/5ppp/b1p5/p2n3q/3B4/P1P2PP1/5QBP/R3R1K1 w - -,e1e5
2rq1rk1/1b3pb1/p2p1npp/1pnPp3/4P3/P1N1BP2/1PQ1BNPP/R3K2R w KQ -,e1g1
1rq3k1/2pnr1b1/p5pp/3b1p2/1P2p3/4PPP1/P1QB2BP/1R2NRK1 w - -,f3e4
8/2R5/1p1r2p1/3k1p1p/5P1P/1P2K1P1/8/8 w - -,e3d3
3q4/Q4pk1/6p1/P1RPp3/8/4P1P1/5PK1/r7 w - -,a7c7
8/4B1k1/4Qbp1/P7/7p/2P5/1PK2q2/8 w - -,c2b3
r4rk1/2q2pp1/p1p4p/1nQ5/4P1PP/1PN2P2/PP6/1K1R3R b - -,f8b8
8/6kp/2p1r3/qp1rP1p1/P2P1p2/1Q1R1P1P/6PK/3R4 w - b6,a4b5
r1b2r2/pp2qpkp/nnp1p1p1/8/P1pP4/2N3P1/1P1NPPBP/R1QR2K1 b - a3,e6e5
r3r3/5p1k/p1qbbnpp/1p2p3/P3p2N/1PP3RP/2BBQPP1/3R2K1 b - -,d6f8
r3kb1r/1p3ppb/2n1pn1p/3pN3/2pP1BP1/2P1PP1P/P2NB3/R4RK1 b kq -,f8a3
r2qkb1r/pp1b1ppp/4pn2/4N3/3B4/3B4/PPP2PPP/R2Q1RK1 w kq -,d1f3
r2qk2r/ppp2ppp/2np1n2/2b1p2b/N3P1P1/7P/PPPPNPB1/R1BQK2R b KQkq -,h5g6
8/7R/1r5p/4k1p1/3n4/3B2PP/5PK1/8 w - -,h7f7
3r4/1b2kp2/p3p1p1/1p2b2p/2p1PN1P/P1P2PP1/2N5/1R2KB2 b - -,e5c3
r1bR4/b4Bpk/p4n1p/1p2r3/2p5/4B1NP/PP3PP1/4R1K1 w - -,e3d2
r2rn1k1/p2q1pp1/1p3b1p/3p4/3B4/1QN2PPP/PPR2PK1/3R4 w - -,c2d2
r1b2rk1/ppp2pbq/5R1B/6Q1/8/8/PPP3Bp/R5K1 w - -,g1h2
r1b2rk1/pp3p1p/2p2bp1/q3p3/4P3/2PQ1N2/PP1N1PPP/1K1R3R b - -,c8e6
5r2/1pn1r1k1/p1p2p2/2Pp2p1/3P4/1P1B1R1P/6P1/5RK1 b - -,e7e8
8/6pk/7p/1Qpp4/2nq4/8/5PPP/5RK1 w - -,b5b1
1r6/1p3k1p/p5r1/2N2p2/1PPRpPP1/P3N3/6KP/8 b - -,b7b5
r7/p1k2pp1/2p4p/3pP3/R7/P3PP2/5KPP/8 b - -,a7a5
r2qk2r/pp3ppp/2nP1n2/5b2/3p1B2/5N2/PP2PPPP/R2QKB1R b KQkq -,f6h5
8/8/R3pp2/1kNp1b2/3P1P2/r7/5K2/3B4 b - -,a3h3
1r3rk1/bp1qnpp1/p2p1n1p/4p3/8/PQNPP1PP/1P1B1PB1/2R2RK1 w - -,g1h2
1r3rk1/4qpp1/2bp3p/2p1p3/2P1P2P/2QP2PB/5P2/R4RK1 b - -,b8b4
5r2/ppp2r1k/3pn1pp/4p3/PP2P3/2P1NP2/4R1PP/3R3K b - -,e6g5
3r2k1/pp5r/2npbb1q/1R2pp2/2P3p1/1QBPP1P1/P4PB1/4RNK1 b - -,d8d7
2rr1qk1/5p2/p3pB1p/1p2P2p/2b2P2/8/PP3QP1/1BR3K1 b - -,d8d3
8/5R2/4p3/6K1/4qP2/8/6k1/8 b - -,e4e3
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 b - -,b7b6
8/2k5/8/1p2K3/1P6/1bP1NR2/8/7r w - -,f3f6
r2Qkb1r/pp2pppp/2n5/5n2/6b1/2P1BN2/PP2BPPP/RN2K2R b KQkq -,a8d8
2r3k1/2B2ppp/1pbP4/4n3/2P5/8/5PPP/R5K1 w - -,a1c1
rn1qr1k1/1pb2pp1/p2p1n1p/2pP4/P6B/2N1PB1P/1PQ2PP1/R3K2R b KQ -,b8d7
2r5/p2kp3/6Q1/1p3p2/3n1B1P/q2bP3/P4PP1/3R2K1 w - -,e3d4
n2rrqk1/6p1/1p1p2np/pNpPPp2/P1P2P2/7P/6PB/1Q2RR1K b - -,d8d7
3R4/4k3/P7/4ppp1/1P6/1KN1rP2/8/8 b - -,e7d8
1r1r2k1/p3qppp/3bn3/3n4/3p4/1P1N1PP1/P1R1N1KP/Q1B2R2 b - -,d5b4
r3nrk1/3np1bp/q2p1pp1/p1pP2B1/P3P3/2N2N1P/1PQ2PP1/R4RK1 w - -,g5f4
8/1kp5/p2p4/1p6/1P6/5r2/PKP5/3R4 w - -,d1d5
6r1/ppPk4/4pp2/7p/5P2/7R/PPP4P/2K5 w - -,h3h5
2r1r1k1/pqnbppbp/1p1p1np1/1P1P4/2PN4/P1N1BB1P/4QPP1/2R1R1K1 w - -,d4c6
r4rk1/1pp1qppp/p1np1n2/4p3/P3P1b1/2PPPN2/BP1B2PP/R2Q1RK1 b - -,g4e6
r1b1nrk1/pp1n1pbp/2pp2p1/q3p3/2PP4/P3PN1P/1P1NBPPB/R2Q1RK1 b - -,f7f5
8/6pp/pkp5/2Rp4/1P2r3/P7/2PK1PPP/8 b - -,e4d4
8/r2n1pk1/3B1n1p/pBp1p1p1/2P5/P4P2/1P4PP/3R2K1 w - -,d1e1
1B4k1/5p1p/1p2q1p1/2b5/5Q2/1b6/6PP/5R1K b - -,b3c4
8/8/3n4/2k5/7R/6r1/3K4/8 b - -,c5d5
r3k2r/pbp5/np1pNq1p/3Ppp2/2P2p2/2PQP1B1/P5PP/R3K2R w KQkq -,e3f4
8/5k2/2N5/p7/4PK2/r3b1P1/2R5/8 w - -,f4f5
2r2rk1/p3ppbp/1p4p1/8/P1qp1P2/3Q2P1/2P1PR1P/R3N1K1 b - -,e7e6
r2q1rk1/2pbbpnp/1p1p2p1/p1nPp3/2P1P1P1/2N1BN1P/PPB1QP2/R3K1R1 w Q -,e1c1
8/4p3/6R1/2b2p2/5k1P/8/6K1/8 b - -,e7e5
2rq1rk1/1p2bppb/2p1pn1p/p2pB3/2P5/PP1P2P1/R2NPPBP/Q4RK1 b - -,f6e8
5k2/1r1n1p1p/1p2n1p1/p1p1P3/P7/4RNP1/1P4KP/3R4 w - -,h2h4
3rr1k1/1p1n1pbp/p1pP2p1/2P2p2/1P1NbB2/q6P/P2QBPP1/2RR2K1 b - -,a6a5
5k2/p4p2/6p1/1p6/1P1n3P/6P1/5P1K/3B4 w - -,g3g4
6rk/1p5p/r1bP1b2/Pp6/2N2P1P/8/1P5K/R3RB2 b - -,f6h4
r5k1/3bppbp/q5p1/3PP3/1P3P2/pp2B3/4Q1PP/5RK1 w - -,e2d1
5r2/pn1B2k1/1p4pp/2bPp3/P3r3/6B1/6PP/1R2R2K b - -,e4e1
8/3Q2pk/1p5p/p7/P7/4q2P/6P1/5K2 b - -,e3f4
6k1/5ppp/3p4/pp1PrPb1/3R1N2/6P1/PPP4P/2K5 w - -,c1d2
r3k2r/pppbqppp/2nbp3/3pN3/3PNP2/4P1B1/PPP3PP/R2QKB1R b KQkq -,d5e4
4r2k/6p1/p6p/8/2q4P/4RQP1/PP4K1/8 b - -,e8d8
2kr1b1r/pp1b2pp/4pp2/1Bpn4/8/NP6/PBPP1PPP/2KR3R b - -,e6e5
3r2k1/p4p1p/6p1/1p2n3/1P1Nq3/P5P1/5P1P/Q2R2K1 b - -,d8d4
4k3/3np2p/1n1p4/3P1N2/2p2p2/3r3P/5PPK/B3R3 b - -,e8d8
7r/p2knr1p/1pn2p2/3p1p2/qBpP2p1/P1P5/2P1B1PP/R2Q1RK1 w - -,a1b1
1r6/p4pp1/2pk3p/2Nb4/3P4/P2K4/1P2R1PP/8 w - -,b2b4
1r3nk1/5pb1/3p2p1/R1pP2P1/5PN1/3b4/2qB2BK/4Q3 w - -,a5a7
6k1/1p5p/P1nB2p1/3R4/K4p2/P1b2N1P/1r3PP1/8 b - -,c6a7
1rb3k1/1p4pp/2nR1r2/p1p1pP2/P1N1P3/2P3P1/6BP/R5K1 w - -,d6f6
5b1k/1p1n2q1/3pr3/1Q2p1pp/4Pp2/5P1P/5BP1/R2R1K2 b - -,e6g6
8/8/B4p2/2kp4/1p3pPp/7r/P2n2K1/R7 b - -,h3a3
8/8/3p4/1P1P1ppp/2r1k3/4P1P1/3RK3/8 w - -,b5b6
r2q1k1r/pp3ppp/2nN4/2P4b/5P1b/3Bp2P/PPQ3P1/R4KNR w - -,g2g4
r2r2k1/1p2qpp1/2pb1np1/3pp1Q1/1PPn4/3P2P1/1BR1PPBP/1N3RK1 w - -,b2d4
r4rk1/1p1q3p/3ppbp1/p1n5/2P2P2/1P3Q2/P2B2PP/3RRB1K w - -,g2g3
8/5pk1/7p/R7/6P1/8/P1r3P1/6K1 w - -,g4g5
1r3rk1/pn2q1bp/1p1p1n2/1B1PppB1/1P6/5P2/P2QN1PP/2R2RK1 w - -,e2g3
3r1r2/ppq4k/4n1pb/3pPp1p/3PpP1P/P1N5/1P2B1PQ/3R1R1K w - -,g2g3
1r4k1/2p2pp1/6q1/P1P1P2p/1B1Pb3/2K2Q2/8/R7 w - -,f3h3
2rr2k1/1bb1qp2/2p1p1pp/1pP5/p4P2/P3P3/1PQN2PP/1B1R1RK1 w - -,c2c3
8/2b5/8/4k1K1/4N2p/8/8/8 b - -,h4h3
8/1p4pp/4k3/3n1p2/p3p3/5PPP/PP1BK3/2N3b1 w - -,f3e4
6k1/p4pp1/B2qp1p1/8/1b6/1P2P2P/5PP1/3Q2K1 w - -,d1d6
7k/4R2p/1p6/3r4/3P4/6PP/5PK1/8 w - -,e7b7
6k1/2pr2b1/3p2P1/1Np1pN2/8/Pb3P1B/3K3R/8 w - -,f5d4
r3k1r1/1b1n1p1p/p5p1/R2pp3/2q1n3/2P1BNP1/1P3PBP/Q4RK1 w q -,f1d1
6k1/1r4p1/2p4p/2P1pr2/Pp2R3/1K1R1P2/5P1P/8 w - -,e4b4
r4k2/3r1b1p/pB1b2p1/P1p2p2/R7/3BRP2/1PP2K1P/8 w - -,b2b3
r3r1k1/pp2q2p/2p2np1/6R1/3Pp3/2N1P2b/PPQN1P2/1K4R1 w - -,d2c4
4rbk1/pb1n1p1r/2p3q1/2p1pN1p/N1PpP2P/BP1P1RP1/P3Q1K1/R7 w - -,e2d2
2r1r3/pbqn1pkp/3p2p1/1p1Pp3/8/P5PP/1PPQNPB1/R4RK1 w - -,e2c3
r4rk1/ppq2ppp/2pb1n2/4PR2/2P5/2N1B3/PP2B2P/R4QK1 b - -,d6e5
r5k1/pp4pp/2pr1p2/P3p2b/2B1P3/6PP/1PP2P2/R3R1K1 b - -,g8f8
5b2/5nkp/p1R2Nb1/P3p3/2Q1Pp1q/5P2/7P/6K1 b - -,h4e1
2rqbrk1/pp3ppp/3npn2/3pN3/3P4/2NBPP2/PP2Q1PP/R4RK1 b - -,d8b6
5rk1/p2P2p1/1p5p/5p2/4p1n1/1P2P3/P5P1/1B3R1K b - -,f8d8
6k1/1R1n4/3p2p1/1NpPb3/2P5/1P6/2KB1r1P/8 b - -,d7f6
3K4/8/5p2/5Pp1/8/6P1/3p4/k7 w - -,d8e7
r1bqk2r/ppp2ppp/2n2n2/4p3/1bP5/2N1PN2/PBQP1PPP/R3KB1R b KQkq -,e8g8
4r2k/6p1/p1p3Qp/4p3/4p2P/6P1/1P2B2K/2q5 b - -,e8f8
2kr1bnr/1bpq1pp1/pp2p3/n2pP2p/3P1Q1P/P2B1N2/1PP1NPP1/R1B2RK1 b - -,g8h6
3r4/1k3p1p/p1p3p1/3rbp2/R1N5/1P3KP1/R1P2P1P/8 w - -,a4a6
8/8/pk2P3/3Q4/1pB4P/qPr3P1/2P5/1K6 w - -,d5d6
8/8/3rk1p1/1R3n2/1P5P/6PK/8/8 b - -,e6f6
6r1/2N2b1Q/5kp1/p7/1p6/1n5P/1P3PP1/6K1 w - -,h7h4
r4rk1/3qnpbp/bp2p1p1/pN1p4/Pn1P4/BP2PNP1/5PBP/R2QR1K1 w - -,d1d2
4r3/1p6/p1pR4/1b3kpp/1PR5/P4BP1/3K1P2/8 b - -,b5c4
8/1p1r4/p1p1p1k1/P3p1p1/1PK1Pq2/2P2PR1/8/6Q1 w - -,g3g4
8/3b1k2/6p1/3p3p/p6b/Pr1p1P2/NP1B2P1/1RK5 w - -,a2b4
rbn1r1k1/p4npp/4p3/1NBp1p2/3P3P/4PNP1/P4P2/1RR3K1 b - h3,g7g6
4r1k1/3prppp/5b2/p2Bq3/1p2P3/1P3R1P/P3QPP1/3R2K1 w - -,e2d3
r4bk1/1b4pp/2Np4/3Pp3/1P2Q3/4B2P/q4PPK/2R5 b - -,a2b3
r4bk1/2q1rppp/p1bp1n2/np2p1N1/4P3/1PP4P/P1BN1PP1/R1BQR1K1 w - -,a2a4
R7/3q1pkp/1p4p1/3p1b2/1b1N4/4P2P/4BPP1/2R3K1 b - -,f5e4
5bk1/2p2p2/1p1p2nq/1P1Q1B1p/2PBPP2/6KP/8/8 w - -,d4e3
8/5k2/p7/2p2pP1/2P1r2P/P5N1/6K1/8 b - -,e4h4
2r2rk1/5pp1/R3pn1p/1pq5/8/P6P/1P1Q1PPB/4R1K1 b - -,f8d8
8/7k/4q2p/4rp2/2P1bQ2/3B3P/P3R2K/8 w - -,d3e4
8/4kpp1/p2bp1b1/1r2n2p/B3PN1P/5P2/1P2K1P1/2BR4 b - -,b5b7
8/4p1k1/3p2pp/3Pbp2/7P/3r1BP1/4RK2/8 w - -,e2e1
rnbqkb1r/pp1npppp/8/2ppP3/3P4/2P2P2/PP4PP/RNBQKBNR b KQkq -,b8c6
r1b2rk1/1ppqppbp/pnn3p1/8/3PPP2/2N1B3/PP1Q2PP/2KR1BNR b - -,c6a5
r2q1rk1/1b2ppbp/p2p2p1/1pn1n3/3NP3/PPP3P1/1B1NQPBP/R3R1K1 b - -,e5d3
8/2q2rbk/2p3pp/p1B1pp2/8/1P1Q2PP/P3PPK1/3R4 b - -,c7b7
2rr3k/pP2p1bp/2n2p2/1B1q2p1/Q2P4/4B3/P4PPP/3R1RK1 b - -,c8c7
2r1r1k1/p2n1p2/1p1p1qp1/2pP3p/4PP2/1P1P1N2/PQ4RP/R5K1 w - -,b2f6
2rr2k1/p4p1p/4bp2/2qp3Q/8/1Pp1P1P1/P4PBP/2RR2K1 b - -,c3c2
2r3k1/1q1pp1bp/8/1rnP1p2/N7/P2QP2P/1P2NPP1/R2R2K1 w - -,a4c5
2r2rk1/p4pbp/1q2p1p1/np2P3/3p1P1P/P2P4/1P2RP2/R2QNNK1 b - -,b6d8
1b4k1/8/4pp1p/3p2pP/1B1P2P1/1p3B2/1Pb1PP2/5K2 b - -,g8f7
8/5k2/7p/1p6/3N1p2/P7/1b4PP/4B1K1 b - -,b2d4
8/p4pp1/4p1p1/1p6/1k1K1P1P/3B4/5P2/8 b - -,a7a5
r4rk1/pp1q2p1/3pb2p/nN1p1p2/PQ1Pn3/3BPNPP/5PK1/2R4R b - -,a5c4
r1b2rk1/1pq1bppp/p1nppn2/8/3NP3/1BN3R1/PPP2PPP/R1BQ2K1 b - -,f8e8
r1b1q1k1/p2nr1bp/2p2p2/2pppP2/N1P4N/1P1P2Q1/P2B2PP/3R1RK1 b - c3,e8h5
R3Q3/6pk/4pb1p/8/5q1P/5b1K/PP4P1/8 w - -,e8g8
1r3rk1/1b3ppp/p3pn2/1pn5/3N4/P1N3P1/1P2PPBP/2R1R1K1 b - -,b7g2
rnbq1rk1/ppp1bppp/5n2/3p4/8/3P2P1/PPP1NPBP/RNBQ1RK1 b - -,f8e8
8/6k1/8/3Pp1p1/4P3/pB6/Kp1b4/8 w - -,d5d6
3q1rk1/r3ppbp/bn1p1np1/2pP4/8/NP4PN/PB2PPBP/R2Q1RK1 w - -,f1e1
1r6/pp4kp/5pp1/1RPbP3/8/4B3/P5PP/6K1 w - -,e3d4
8/8/6p1/2kp1p1p/1pp2P1P/1P2P3/2K2P2/8 w - -,f2f3
r7/7r/p3np2/2pp1k1p/P4P2/2P1BK2/2P2PRP/1R6 w - -,b1b6
4rbk1/3b1p1p/5Pp1/3P4/1p6/1P1n2BP/R3N1P1/3N3K b - -,d7f5
rr4k1/1p1bqppp/2p1p3/2PpP3/1P1n4/3P2P1/1Q3PBP/R3R1K1 w - -,b2d4
r3k3/ppqn1pp1/2p1p1p1/6b1/2PPp3/4P2P/PPQB1P2/R3KB2 w Qq -,c2e4
1rr3k1/p4p1p/4p1p1/2q4n/2bN3Q/1BP5/PP3PPP/R3R1K1 w - -,e1e4
3k4/7p/p2P2p1/PnB2p2/2p5/7P/5PP1/5K2 w - -,f1e2
r3r1k1/1p3pbp/1qpB2p1/p1n5/2PNP1n1/2N5/PPQ2PPP/3R1RK1 b - -,c5e4
r1b1kb1r/pp5p/1qn1pp2/3p1n2/1P1P4/P3BN2/3Q1PPP/RN2KB1R b KQkq -,f5e3
8/8/1k5p/6p1/8/5B2/r5K1/8 w - -,g2g1
r1b2rk1/pppnb1pp/4p3/7q/2PP1p2/1PNQ1PP1/PB4BP/4RRK1 b - -,f8f6
r1bqr1k1/1pn2pb1/p2p1npp/2pP4/P3P3/2N1B1N1/1P1QBPPP/R4RK1 b - -,g8h7
rr4k1/5pp1/p2qp2p/1p1n4/2pP4/2P1PN2/1Q3PPP/1RR3K1 w - -,f3d2
3q4/3r1ppk/1pQ2n1p/3p1N2/1P2PP2/P6P/6P1/4R1K1 w - -,e4e5
7r/5k2/2R5/p4B2/p5P1/8/1P1b1PKP/8 w - -,g2g3
2r1r1k1/1p3p2/p1npbqp1/7p/1PB1PP2/2PQN3/P6P/4RR1K b - -,e8d8
6k1/2p2rb1/3p4/1Np1pNP1/8/Pb3P1B/3K3R/8 w - -,g5g6
6k1/5ppp/3rp3/pb4P1/1p2PP2/P3B1N1/1P5P/6K1 b - -,d6d3
8/p5p1/1pk2p1p/8/3P2P1/P2K4/1P3P1P/8 w - -,d3e4
5r2/2q3k1/1pBb2pp/3Ppp2/1P4P1/4R2P/5PK1/1Q6 w - f6,g4f5
7r/p3r3/2P2k2/2p1b1p1/2P2pp1/3B2P1/PP3P2/R3R1K1 b - -,h8h3
6K1/3k2P1/8/8/4R3/8/8/7r b - -,h1h2
5r2/8/1p5p/2p5/2Pb2P1/2N2k2/P1K4P/4R3 b - -,f3g4
4r2k/3b2pp/3P1p2/ppPq4/8/P2P1NQP/2P1rBP1/2R3K1 b - -,e8c8
6k1/Bbr2p1p/q3p1p1/3pP1P1/5P2/1P6/P2Q3P/1K1R4 w - -,a7d4
4kb1r/pb3ppp/8/1N2p3/1p2P3/7B/PPP2P1P/2KR4 w - -,d1d7
6r1/4p2k/n6p/1qpPp3/N3Pp2/P4PRP/1P5K/2RQ4 b - -,g8g3
2krrb2/pp3pp1/q2p2p1/PNpPB3/RnP1N3/5P2/1P3QKP/3R4 b - -,e8e5
r1b2rk1/p1p1ppbp/2p3p1/8/2pQ4/6PP/PP2PPB1/R1B2RK1 b - -,g7d4
8/1R3ppk/7p/8/4q3/6P1/5P1P/1R4K1 w - -,h2h4
8/8/5k2/2b2ppp/1p2p3/1P2P1P1/3B2KP/8 b - -,f6e6
5r2/3R1pkp/6p1/3p4/3r4/1p5P/P4R1K/8 w - -,a2b3
rn1qr1k1/5pbp/p2p1np1/1Pp5/P3P1b1/N4N1P/1PQ1BPP1/R1B2RK1 b - -,g4c8
rn1q1rk1/1p1nppbp/p2p2p1/2p5/2PPP3/1PN1B3/P3NPPP/R2Q1RK1 b - -,b8c6
3r2k1/p2rppb1/1p4pp/8/4Nn2/P1P2N2/1P3PP1/R3R1K1 w - -,a3a4
r1b2rk1/ppqnppbp/2p2np1/3p4/2PP4/2NBPN1P/PP3PP1/R1BQR1K1 b - -,e7e5
rr2b1k1/2q2pp1/4pn1p/p3N3/2PR1P2/1B1Q3P/1P4P1/3R2K1 b - -,a5a4
r1bq1rk1/pp2npb1/2np2pp/2p1p3/1P2P3/P1PP1NP1/3NQPBP/R1B2RK1 b - -,a7a6
r2qr1k1/1pp2pb1/2bp1np1/pNn4p/2P1PB2/2N3PP/PPQ2PBK/3RR3 b - -,f6d7
1B4k1/5p1p/4p1p1/3pb3/p7/P2n3P/5PP1/3R2K1 w - -,d1d3
8/4Bp2/1bk1p3/p3P2p/Pp2K2P/1P3P2/8/8 b - -,b6c7
r1bq1rk1/2p3b1/1p1p1p1p/p1nP2n1/2PNPB2/2N1Q3/PP4BP/R4RK1 w - -,g1h1
3k2r1/1p1b2pp/4R3/p2p4/P1q2P1P/2P1Q3/1r1B1KP1/R7 w - -,e6e5
r2q1rk1/pp2bppp/1n1pbn2/1PpNp3/2B1P3/P2P2N1/2P2PPP/R1BQ1RK1 w - -,d5b6
5k2/1b4pp/3p1n2/2pPp3/2P1P3/3B4/6PP/B5K1 w - -,a1c3
3r4/4n3/8/2PnNk1P/3P1p2/P2Q4/1P4P1/6K1 b - -,f5f6
2b3rk/8/r2q3p/1pR4Q/1P2Pp2/5P2/5NP1/4RK2 b - -,h8h7
8/3n4/1p6/p1pPp3/P3Ppk1/1P3N2/5PK1/8 b - -,g4h5
6q1/p6k/1p1n1b1p/2pPpP2/2P1P3/8/P2BQN1K/8 b - -,f6g5
5k2/5p2/1p1bq1n1/1P6/2p5/6QP/7P/2N2R1K w - -,g3f2
8/4k3/3pp2R/6Kp/4P2P/p4P2/8/r7 w - -,h6h7
rn1qk2r/1bp1bp1p/1p3np1/p2p4/3PP3/P1NB2N1/1P1B1PPP/R2Q1RK1 b kq -,d5e4
r3k2r/1pqbbppp/p1nppn2/8/3NP1P1/1BN1B3/PPP1QP1P/2KR3R b kq g3,e8g8:c6d4
r1b1rqk1/p2p1p1p/2p1pBp1/2n1P3/2P4P/P2P1N2/3Q1PP1/R4K1R w - -,h4h5
2r1r1k1/1p1n1ppp/p1pBp3/2Pp4/1P1P4/4P2P/1PbRBPP1/4R1K1 b - -,c2f5
r4rnk/pp1q1pp1/2p1b3/3pP1QP/3N4/P7/1PP1BP2/2KR2R1 b - -,f7f6
r1b1k2r/pppp1ppp/8/4q3/2P5/2P1P3/P4PPP/R2QKB1R w KQkq -,d1d4
b4bk1/5ppp/2np4/q2NpP2/1NP1P2P/1P4P1/3Q2B1/7K b - -,c6d4
rnb1k2r/pp2ppb1/2pp1npp/q7/3PP1P1/2N1BP2/PPPQ3P/R3KBNR b KQkq g3,h6h5
rnb1k2r/ppp1qppp/3p1n2/4p3/2PPP3/5N2/PP1NBPPP/R2Q1RK1 b kq -,e8g8
8/1k2B1b1/p6p/Pp1Pp1pP/2P1P1B1/R7/2r2r2/3R2K1 w - -,a3g3
2rr4/1b1nkppp/p3pn2/1pb5/8/P1N1PN2/1P2BPPP/R2RB1K1 w - -,b2b4
8/2R5/5kp1/2p2p2/5P2/3K2P1/7r/8 b - -,h2g2
1q1rr1k1/pb2ppbp/1p1p2p1/2nP4/P1P5/1PN1BP2/2Q3PP/2RR1BK1 w - -,b3b4
r1b1k1nr/pp1pqpp1/2p5/2b4p/2BpP3/2PP1Q2/PP3PPP/RNB1K2R w KQkq -,e1g1
8/8/8/8/6k1/6pp/4n3/4N2K b - -,e2d4
2rr2k1/p3ppbp/2p1b1p1/q2p4/2nP1BP1/1RN1P2P/P1P2P2/2QR1BK1 b - -,c6c5
