8/k5p1/8/2p2p1P/P7/3KpPp1/8/8 w - -,d3e3
rnbqkbnr/pp2pppp/2p5/8/4N3/5Q2/PPPP1PPP/R1B1KBNR b KQkq -,b8d7:g8f6
4r3/2p5/3p1k2/p1p4p/2B3b1/PP4K1/8/7R b - -,a5a4
1r5k/1q3p1p/4p3/p4p2/5P2/2Q3P1/1P1R3P/6K1 b - -,h8g8
8/3kbpp1/8/2prpP1p/6P1/2R1B2P/1P2K3/8 b - -,e5e4
1b1r3k/1p1q1pp1/1P1p3p/3Nn3/1P2B2P/2R1P1P1/2Q2P2/6K1 b - -,g7g6
8/p1r4p/B2n4/3k1pp1/P1pP4/4K2P/6P1/1R6 b - -,c7e7
8/5p2/5kp1/2R4p/5P1P/4P3/5P1K/6r1 b - -,g1e1
r3r1k1/1p4p1/1p5p/3P1p2/3q4/P2B2n1/1PQ2PP1/3RR1K1 b - -,e8e1
4r3/5p1b/2N2k2/2KB1P2/2R1P3/1P6/7b/8 w - -,c4c2
rnb2rk1/4ppbp/3p1np1/qBpP4/4P3/2N2N2/PPQ2PPP/R1B2RK1 b - -,c8a6
3nk2r/5p2/1q1p1b1p/4pP2/pp2P3/8/PPP3RP/1K1R1Q2 b k -,e8e7
r2q1rk1/p1p2pbp/2p1bnp1/3pP3/2P5/2N1BP2/PP2B1PP/R2Q1RK1 b - -,f6d7
5nk1/1Q3pb1/p2p2pp/3P4/q5P1/2PB3P/r7/1K1R3R b - -,a2a1
3B4/1p1n1p1k/p1b1pPpp/3p3P/6P1/4PB2/PP3P1K/8 b - -,e6e5
3b1rr1/pp3q1k/3pp3/2p1p2P/4P3/2PP3Q/PP1BKP2/6RR w - -,h3e3
7k/2Q5/5npp/BB1p1p2/2pb1P2/6P1/4q1KP/8 w - -,g2h3
1r2bk2/4rpp1/7p/ppR2P2/3RB3/3P4/1P2PK1P/8 w - -,f5f6
2b1r1k1/1pq1bpp1/r1p1p2p/p3P3/P2PNPP1/2Bp4/1P3QBP/R5K1 w - -,g4g5
6k1/1pr2p1p/p3p1p1/8/8/P5P1/1P1RPP1P/6K1 b - -,g8f8
r1bqr1k1/pp1nbpp1/3p1n1p/2pP4/7B/2NBPN2/PPQ2PPP/1R3RK1 b - -,d7b6
8/8/p2B4/3kP1K1/1P5r/8/8/8 b - -,h4h2:h4h7
rnb2rk1/ppqpppbp/5np1/8/2PN4/1P4P1/P3PPBP/RNBQ1RK1 b - -,b8c6
4qbk1/6p1/7p/1pn1p3/p3P3/P1NP2P1/4Q2P/2B4K b - -,c5b3
8/1p1r1pk1/p1p5/P1P1P1K1/5PB1/1b6/8/8 w - -,g4d7
4rk2/1p3pp1/3b2bp/r2p4/3P3B/PB2PN1P/1P4P1/3R2K1 w - -,h4f2
2r2bk1/p4p1p/4p1p1/1p2P3/b2P4/2r2N1P/3Q1PP1/1R4K1 w - -,d4d5
2rq1rk1/1p4bp/p3npp1/2n1p3/3pPP2/BP1P2PP/P3N1B1/R2Q1RK1 w - -,d1d2
r2r2k1/p1n1pp1p/1pp1n1p1/4N3/1P1P4/2P5/1P3PPP/R1B1R1K1 b - -,d8d6
r3rnk1/pp2pp2/1q5p/2P1Bbp1/3Pp3/4P3/4BPPP/R1QR2K1 b - -,b6d8
2B5/4k3/4P3/3pP1p1/1b1P3n/4B2P/4K3/8 b - -,h4f5
4r1k1/5pp1/7p/5N2/4n1q1/6PP/P4RK1/1Q6 b - -,g4g5
r1b1r1k1/1p3p1p/2pp2pb/4n3/P3PN1q/1PB4P/2PQNPP1/R3R2K w - -,g2g3
r4r1k/p2b2pp/3qp3/1p3p2/1PBb4/R2Q4/P1PB1PPP/4R1K1 w - -,d2c3
4rk2/ppb2p2/2p2p1p/8/P1B5/2P3PP/1P3P2/3R1K2 b - -,e8d8
2r2r2/p3n1k1/3p1ppp/q3p3/1P1nPPP1/2NP3N/1P1Q1R1P/5R1K b - -,a5b4
3r2k1/pp3p1p/1n2p1p1/2br4/4QPP1/3B3P/2P3K1/5R2 b - -,d5d4
rnbq1rk1/pp1nppbp/3p2p1/2p1P3/3P1P2/2N1BN2/PPP1B1PP/R2QK2R b KQ -,c5d4
7r/1pn1b1p1/pNrp1pp1/P3pkP1/2P2P1P/1P1RP1K1/8/3RB3 w - -,e1b4
8/6R1/4k1p1/6P1/4P3/4K3/8/4r3 w - -,e3f3
1R6/6k1/p5p1/2P4p/1P6/6K1/P1r5/8 b - b3,c2a2
6k1/1Rp2p2/r3r2p/2PpP3/3Bb3/2P5/P5PP/R5K1 b - -,a6c6
1B6/p2k4/1p1P4/4b1p1/3p1rPp/5P2/PP2K1P1/3R4 b - -,e5d6
2rq1rk1/5pbp/6p1/pB1p1b2/N1n5/P1P3B1/3Q1PPP/3R1RK1 w - -,d2d5
r1bqk2r/pp2npb1/2np2p1/2p5/2P1PpPp/2NP3P/PP2N1B1/R1BQK2R w KQkq -,c1f4
2r5/1p6/p2p4/3P2p1/1PPkpp2/2R3PP/1P1K4/8 b - -,c8c4
r1b2rk1/3p1npp/p3pp2/1pq5/3N1P2/2PB3R/P1PQ2PP/5R1K b - -,f6f5
r2q1rk1/pbpn1ppp/1p1p4/4p3/2PPP3/5NP1/PP1Q1PBP/3RR1K1 w - -,b2b3
8/7p/3p3k/2bP1b1q/5p2/5N2/6QP/2R2B1K b - -,f5e4
2rr2k1/1b1n1ppp/p2p4/1p6/3NP3/1P5P/P4PP1/1BRR2K1 b - -,g7g6
r1bq1rk1/1p1nppbp/p2p1np1/2pP4/2P5/2N1PNPP/PP3PB1/R1BQ1RK1 b - -,b7b5
r6k/1pp3p1/3p3p/4p3/1Pp1P3/r3RP1P/2PK2P1/5R2 w - -,e3a3
8/5k2/p2R4/6K1/PB4P1/4p3/1P1p1r2/8 w - -,a4a5
2r1brk1/pp4pp/1q2pn2/3pN3/3P4/2N4Q/PP3PPP/3R1RK1 b - -,c8c7
3r2k1/5pp1/5q2/7p/3pQ2P/3R1P2/6PK/8 w - -,h2h3
2q3k1/1pp2p2/p2p1bpp/P2P1n2/2P5/1Q3N1P/1P1B1PP1/6K1 b - -,h6h5
3rr3/p1pk1p1p/Bp1q2p1/n2p4/P2P4/2P2P2/2PQ2PP/1R2R1K1 b - -,f7f5
r4rk1/2qnbppp/1pp1p3/p2n1b2/P2P4/1NP2NP1/1P2QPBP/R1B2RK1 w - -,f1d1
4R3/1p6/5p2/1Pk1b3/4Pp2/5P2/3rBP2/5K2 b - -,c5b6
6k1/5pp1/1r5p/1r1b4/p1p5/4P2P/PP1R1PP1/3R2K1 w - -,d2d5
2br1r2/1q4kp/ppnpp1p1/4np2/2P1P3/1PN4P/P2Q1PP1/1BRRN1K1 w - -,f2f4
8/2k3r1/2pR1p2/1pP1pBbP/pP2K1P1/5P2/P7/8 w - -,e4d3
8/6k1/8/1rp2p2/2Np1B2/3P1Ppr/1P4Rb/1K6 w - -,b1c2
rnbq1rk1/ppp2ppp/4pn2/8/2QP4/P4N2/1P2PPPP/R1B1KB1R b KQ -,b7b6
r3k1r1/3qbp1p/p2p4/1Pp1n3/4P3/1Q4N1/1P3PP1/R1B1R1K1 b q -,c5c4
r4rk1/ppp1nqbp/1n2bpp1/4p3/4P3/1PN2NP1/P1P1QPBP/R1BR2K1 w - -,c1a3
r3k2r/pp1b1p2/3bp2p/8/7R/1N4q1/PPPN1QP1/R3K3 w Qkq -,h4h3
k5rr/p1pNn3/BPn2p2/3p4/1P1P1qpp/2P5/5PPP/R2Q1RK1 b - -,c7b6
2r5/p2k3p/1bp1pp2/3r2p1/2RP2P1/4B2P/PP2KP2/2R5 b - g3,h7h5
8/3p4/5kPP/pr1b4/3R1K2/1p6/1R6/8 b - -,f6g6
r3rqk1/2p2pb1/1p1p2p1/2nP3p/1BP4P/6P1/1PQ2PB1/3RR1K1 w - -,g2f3
2r2rk1/pb1n1ppp/1p1qp3/2P5/1P6/4PN2/P2QBPPP/2R2RK1 b - -,d6d2
2r3k1/5pp1/p3p1bp/2b1P3/q7/P1Br1QN1/1P4PP/R4R1K w - -,f3e2
rnbqk2r/pppp1pbp/8/6p1/2P5/2B2n2/PP2PPPP/RN1QKB1R w KQkq -,g2f3
3Q2k1/p1r2p1p/6n1/2qPp3/2p5/P5P1/1B4KP/2R5 b - -,g8g7
2r3k1/6b1/p2p3p/3p4/8/PPpKB2R/6r1/2R5 b - -,c3c2
1rb2rk1/pp2ppbp/3p2p1/q7/2P1P1n1/1PNQ2P1/P4PBP/R1B2RK1 w - -,c1d2
4r2k/pp3Bb1/2p2nQ1/2q1p2p/2N2P1P/1P4P1/P3RP2/2B3K1 b - -,e8e7
4r3/2q3bk/7p/1pn1p3/1B1Np3/7P/2Q2PP1/R5K1 w - -,d4b5
2r5/5k2/1ppn1pp1/3p3p/pN1P3P/P1P3P1/1PKbRP2/8 w - -,c2d2
8/R7/3rkpp1/1r1p1n2/4n3/4PN2/5PKP/B2R4 b - -,b5c5
6Qb/5n1P/2K2k2/8/8/8/8/8 b - -,f6e7
r1b1r1k1/pp2qpbp/2pp2p1/2n4n/2PNP3/2N1BP2/PP1QB1PP/3R1RK1 w - -,g2g4
8/6k1/5p2/5Kp1/6Pp/4R2P/5P2/6n1 b - -,g7f7
r2qk2r/2pb1pb1/3p2p1/2pPp2n/p1P1P2p/2N1B2P/PPB2PP1/R2QK2R b KQkq -,a4a3
5r2/5p2/3p4/P2Rpkp1/8/1P6/2P5/1K6 w - -,a5a6
rn1qkb1r/1p3ppp/2p1pn2/p7/P1BPP1b1/2N2N2/1P3PPP/R1BQ1RK1 b kq -,f8b4
3q1rk1/2p1nppp/5b2/1p2p2P/1P1pP3/1BPP1QP1/5P2/2B1R1K1 w - -,c3c4
2k5/5p2/2p4p/b1PpP1p1/3P2P1/1R2K3/r3N2P/8 b - -,a2a1
5r2/8/R3p3/2k5/5P2/2n2K2/P1B5/8 b - -,c3d5
8/8/3k2pp/2p1pp2/1pP2P1P/1P2P1P1/5K2/8 b - -,d6e6
3r1k2/p3bpp1/np2pnp1/4B3/1P1N3P/P3N1P1/4PP2/2R3K1 b - -,f6d7
r1bqr1k1/pp2p1n1/1np2ppQ/4B3/6P1/2NP1N2/PP2PPB1/R3K3 w Q -,f3g5
2qr2k1/1p3pp1/p1p2b1p/P2n4/3P4/1Q3N1P/1P1B1PP1/4R1K1 b - -,d5c7
r2q1rk1/pppb1ppp/2n5/1B1pP3/Q2Pn3/2P5/P3NPPP/R1B2RK1 b - -,a7a6
8/2b5/8/8/4p3/1k6/8/3KB3 b - -,b3c4
8/5p2/1p1p2k1/p1pPb3/P5p1/2PP2P1/1P1B1K2/8 b - a3,f7f5
8/5k2/3R2p1/8/4p2P/7K/4Bb2/6r1 b - -,g1g3
8/6p1/1k2p2p/6r1/8/5KP1/2R2P1P/8 w - -,f3e4
3r4/2Nn4/6p1/R1p1pk1p/4B3/P2P4/7P/7K b - -,f5g4
r1bq1rk1/ppp1p1bp/2np1np1/5p2/2PP1N2/2N3P1/PP2PPBP/R1BQ1RK1 b - -,e7e5
1Rb1r1k1/5pp1/6n1/2pp4/8/2PP3P/P3nBBK/4N3 b - -,e2c3
8/1ppr1pk1/2b3pp/8/3q4/P6P/1P2BRP1/2Q3K1 w - -,e2g4
r2q1rk1/pbpnnpb1/1p1p2pp/4p2P/3PP3/2PB1NN1/PP3PP1/R1BQR1K1 b - -,g6g5
6r1/1prnkp2/p1b1p3/P2pP2p/1P1N1P1P/2P5/1KB2R2/2R5 w - -,c2d1
8/7p/p1pr1k2/1p6/1P3K2/P1R3P1/7P/8 w - -,f4e4
1k1r4/pp3p2/2p3n1/6Q1/3qr1BN/1P5R/P2B4/5K1R w - -,h4g6
r3kb1r/1p1b1ppp/p1n1p3/1B1pP3/3q4/2N5/PP2QPPP/R1BR2K1 b kq -,d4b6
8/7p/8/8/4Rp1p/3k1P1P/6P1/1r4K1 w - -,g1h2
r1bq1rk1/pppnp1bp/3p2p1/8/3Pp3/1P3NP1/PBPQ1PBP/R4RK1 w - -,f3g5
r1bq2rk/1ppp1ppp/p1n5/4P2N/B7/6Q1/PPP2PPP/R4RK1 w - -,a1d1
3b4/1Q3p1p/3kbp2/4p3/1P2P1r1/P5P1/3N1P1P/6K1 w - -,b4b5
8/5p2/5k1p/p3p2P/P2bP3/3N1P2/6K1/8 b - -,f6e6
2r1k2r/p2b1qpp/2pQpp2/2B5/2P2P1n/P2B4/6PP/1R2R1K1 b k -,h4g6
8/3R1pk1/8/1r2PK2/5P2/8/8/8 b - -,b5a5
r3k2r/pppqbppp/1nn1p3/4Pb2/2PP4/2N1BN1P/PP1Q2P1/2KR1B1R w kq -,g2g4
1q3r2/p1r1npbk/1pP1p1pp/nP6/8/5NP1/3BPPBP/1RQR2K1 b - -,a5c6
2k4r/pp3ppp/2prp3/3n4/1P1P4/2P2B1P/P4PP1/R4RK1 w - -,f1c1
r4rk1/1b3ppp/ppn2n2/2p5/1Pp5/3P1NP1/PRN2PBP/5RK1 w - -,d3c4
r4r1k/1p4p1/p1np2p1/8/2N5/4B3/PP3PPP/3R2K1 w - -,h2h3
5k2/4ppbp/3p2p1/1B6/1P6/5P2/r5PP/3R1K2 w - -,b5c6
2bqnrk1/1pp3bp/3p4/2PP1p2/1P3R2/2N1B3/4B1PP/Q5K1 b - -,g7e5
r1bq1rk1/4bppp/p1n1pn2/1p4B1/2BP4/P1N2N2/1P3PPP/R2Q1RK1 w - b6,c4a2
r2q1rk1/pp1bbppp/2n1pn2/8/3P4/P1N2B2/1P2NPPP/R1BQ1RK1 w - -,b2b4
2q1rr1k/p1n3b1/1p1Rn1p1/4p2p/1P2N3/1QBPPNPP/6K1/5R2 w - -,b4b5
r2qk1nr/1ppb1pbp/p5p1/8/B1PpPP2/8/PP4PP/RNBQ1RK1 b kq f3,c7c5
7r/3q1rkp/n2p1p2/Nbp2Pp1/1p1pP1P1/1P1P1B1P/R1PQ1K2/R7 w - -,a1h1
3r1rk1/ppp3qp/1nn1ppp1/8/3PP3/1PN2P2/P3N1PP/2QR1RK1 w - -,d4d5
r4r2/4k1p1/pp1p3p/2nbp2P/6PR/1P6/P1PB4/2K1RB2 w - -,g4g5
r4rk1/pp1qppb1/2n3pp/3pP3/3Pn3/4B3/PP2QPPP/RN1RN1K1 w - -,f2f3
rn1qkbnr/1b1ppppp/p7/1pp5/4PP2/2N3P1/PPPP2BP/R1BQK1NR b KQkq -,e7e6
r3kb1r/pp1q1pp1/2n2n2/2p1p2p/8/2NP2P1/PPP2PNP/R1BQ1RK1 w kq e6,c3e4
3n2k1/2q2ppp/p7/1p1B1P2/1P2P3/P5P1/1Q5P/6K1 w - -,e4e5
r3brk1/pp1q2pp/2nbp3/3p4/3P3N/4B1P1/PP4PP/1BRQ1RK1 b - -,f8f1
2rbr1k1/pp1q2p1/2p3p1/3pPp2/PB1P1P2/2PQ3P/6P1/R4RK1 w - -,a4a5
5r2/2pn1rkp/1p1ppqp1/p7/P1P2P2/3N2P1/1PQ1P2P/3R1RK1 w - -,b2b3
2kr3r/pbq1bp2/1pn1p2p/2pnP1p1/1P6/P1P2NP1/3NQPBP/R1B1R1K1 w - -,c3c4
8/p3k3/1pn1bpBp/3p3P/3P4/4KP2/PP2N3/8 b - -,e7d6
2kr3r/bppq1pp1/p1np1n1p/3Bp3/4P3/2PP1N2/PP3PPP/R1BQR1K1 b - -,f6d5
5rk1/6pp/1P1p1b2/p1rq1p2/P2npP2/1P2N1P1/3R2BP/3Q1R1K b - -,d5b3
r2qrb1k/n6p/p2p2p1/P1pQp3/4P3/2P1B2P/1PB2PP1/R3R1K1 b - -,a8b8
1r2k2r/pp1np3/3n2p1/2N1p1p1/8/1P4P1/P3RPB1/3R2K1 w k -,c5d7
r2q1rk1/1Q3ppp/p3p3/3nP3/bP1N4/P4nP1/B4PKP/R1R5 w - -,d4f3
r2qkb1r/pbpn1ppp/3ppn2/8/1pPP4/PP3NP1/4PPBP/RNBQ1RK1 b kq -,a7a5
8/8/4Q1p1/2kqnpP1/1p2p2P/1P6/2P5/5B1K w - -,e6e7
8/p4pk1/2B3p1/3pQn1p/P2P4/2P2q2/5B2/6K1 b - -,f7f6
3q2k1/5rp1/1p5p/1Pp2p2/2Pb4/4N1PP/Q4P1K/3R4 b - -,f5f4
rnb1k2r/pp2ppbp/1qp3pn/3p4/3P1P2/5NP1/PPP1P1BP/RNBQ1RK1 w kq -,c2c3
3r2k1/1p1q1ppp/pP2p3/1bPr4/4Q3/PN6/4RPPP/5RK1 w - -,f1c1
6k1/5p2/6p1/4q1R1/1p2r3/4NQ2/1PP2K2/8 b - -,e5g5
8/8/4p3/5knp/6p1/4K1P1/3N3P/8 b - -,e6e5
r1bqr1k1/pp3pp1/2nbpn1p/8/2Pp1B2/3P1NP1/PP3PBP/RNQ1R1K1 w - -,f4d6
6k1/4np1p/3p2pb/q2Pp3/2P4P/3Q2PB/2N2PK1/8 w - -,d3a3
R7/5pkp/3p1np1/1NpPp3/2P1P3/2bB2PP/5PK1/r7 w - -,a8a1
5r2/ppp3k1/2nr3b/3P1p1Q/4pP1P/P3P2N/1P1B1P2/2K5 b - -,c6e7
r1q2rk1/pppbnpb1/3p2pp/3Pp2n/2P1P3/1N3N1P/PP3PP1/R1BQRBK1 b - -,b7b6
3r4/3p2k1/3P4/R4B1p/4NP2/3r4/P4K2/8 b - -,h5h4
N3rnk1/5pb1/2p3pp/4p3/1P5B/1b2P3/4BPPP/2RR2K1 b - -,b3d1
2b5/1rq3bk/3p1npp/1N1Pp3/4P3/3QB1NP/6P1/5RK1 b - -,c7b8
r1b2rk1/1pp2ppp/n3pn2/p2p4/1qPP4/2Q2NP1/PP1NPPBP/2R2RK1 b - -,b7b6
6k1/2q2p2/4pn1p/1Bp1b1p1/2P5/1P1Q1PP1/3B2KP/8 w - g6,b3b4
2rr2k1/pb2qppp/1pn1p3/2pn4/8/PP1PPN2/1QRNBPPP/2R3K1 b - -,e6e5
r3kb1r/1ppqpppp/p4n2/4P3/5B2/2N3P1/PPP1bP1P/R2QK2R w KQkq -,d1e2
4r1k1/R5pp/4r3/5p2/2b5/B1P2PP1/5P1P/1R4K1 w - -,g1g2
5Q2/5p1k/6p1/5r2/7P/8/5PK1/8 w - -,g2g3:f2f3
6k1/5p2/1ppr4/2q3pp/Pp6/1R2PPP1/1P2Q1KP/8 w - -,b3d3
b3rrk1/p4q1p/2p2pp1/P3p3/3PpP2/4P1R1/1PQ2PBP/6RK w - -,g2e4
8/p7/P1B2n2/2p1k3/4P3/2P1K1p1/8/8 w - -,c3c4
4rr2/ppq3kp/2pbn1p1/3p1p1n/3P4/P2NPP1P/1PQ2BP1/1B1RR1K1 b - -,d6h2
4r3/p5pk/1p5p/3q1p2/3P4/2R1P1P1/P1Q4P/6K1 b - -,d5f3
r1b1k2r/1pq2pp1/p2bp3/4N1Pn/3B4/2NR1Q2/PPP2P2/2K1R3 w kq -,c3d5
8/1p3k1p/pbp1ppp1/3r3r/PPRP4/1R2PPB1/4KP1P/8 b - -,f7e8
8/1k6/8/8/5P2/p2R4/r7/6K1 b - -,b7c6
8/8/1Q4pk/5pb1/8/2q3PP/8/7K w - -,b6b8
1rbqk2r/4bppp/p1nppn2/1Pp5/4P3/2NP1NPP/1PP2PB1/R1BQ1RK1 b k -,a6b5
r7/pk3p1p/2p3p1/2brPp2/R1N5/1P4P1/2P2PKP/5R2 w - -,f1e1
r1bq1rk1/pp2bppp/2p2n2/3p4/3PnB2/1QNBPN2/PP3PPP/R3K2R w KQ -,b3c2
r4rk1/1p1qn1pb/3p1n1p/p3P3/2Pp3N/P2P2PP/1P4BK/R1BQ1R2 b - -,d6e5
r1bqnrk1/pp2bppp/2p5/2np4/8/1PN1PN2/PBQPBPPP/R4RK1 w - -,d2d4
r1bqkb1r/p4ppp/2pp1n2/4p1B1/2B1P3/2N5/PPP2PPP/R2QK2R b KQkq -,f8e7
1r3k2/5pp1/p4b1p/8/8/1P1RPN1P/5PP1/6K1 w - -,g2g4
rn3rk1/p4pb1/1n1pp1p1/q5Pp/PppPPP1P/1P2B1NN/2PQ4/R4RK1 b - -,b8c6
6k1/5p2/4p2p/8/3b1rP1/6N1/6KP/1R2B3 w - -,h2h3
r4r1k/2pnq1pp/pp1b1p2/8/1P1PP3/P2B1N2/4QPPP/2B1R1K1 b - -,a6a5
2r1k2r/ppq1bp1p/1nn1p1p1/1B1pP3/QPPN1P2/4B3/P5PP/2R2RK1 w k -,a4a7
4r3/ppp2kpp/5n2/3r1b2/P1N1pR1P/1P2P3/1BP2P2/R3K3 w Q -,a1d1
2r2rk1/p4p2/q1p3pp/Np2bb2/1P2n1PN/8/P3PPBP/2RRQ1K1 b - -,e5f6
r1b1n1k1/1p2rppp/1q1R4/p2pp3/P1B1P3/5Q1P/1PP2PP1/4R1K1 w - -,d6b6
8/1b3p2/p7/1pp2Pk1/r7/P1P1R1K1/1P5P/4R3 w - -,b2b4
r1n2rk1/pppq1ppp/2n2b2/2Pp1B2/1P1P4/2N1BN2/P4PPP/R2Q1RK1 b - -,d7f5
2r1k2r/1b1nbppp/pq2pn2/1pp3B1/P2P4/1Q3NP1/1P1NPPBP/R4RK1 w k -,a4b5
2r1rqk1/pp1n1p2/5npp/1N1p4/2P5/PPQP2PP/6B1/R4RK1 b - -,a7a6
r4rk1/pp1nqppp/n1pbb3/4p3/4P3/1P3NPP/PBPN1PB1/R2Q1RK1 w - -,d1e2
5rk1/p1r3p1/1p2pq1p/2ppNn1P/b2P1PB1/P1PQ1RP1/2P5/2R3K1 b - -,c5d4
4r1k1/bp3p1p/2pp3r/p5p1/2P1P3/PP1N1bP1/1B3P1P/2R1R1K1 w - -,c4c5
r4r2/1ppb2kp/p2p1npb/N2Ppp2/1PP1P3/2N2PP1/P3K1BP/1R3R2 b - -,a8b8
r1bq1rk1/1p1n4/p1p1p2p/3pPP2/P3np2/2PBP3/1P1N1P1P/R2QK1R1 b Q -,g8h7
7r/kp1bqp2/p3p1n1/3pPp1r/3P4/2N2NQP/PPP4R/1K4R1 b - -,e7b4
3r2k1/p1pn1ppp/1B6/3B4/2P5/R5PP/P4P2/5K2 b - -,a7b6
4rrk1/p3n3/3p1q1p/2pPpp2/1pP2p2/1P1PQ1PP/P2N3K/4RR2 w - -,g3f4
q3k2r/r4pp1/2bp1n2/p3pP1p/1pB1P3/6PP/PPPNQ3/2KRR3 b k -,a5a4
r3k2r/p2p1ppp/1pq1pn2/2b5/2P5/2N1P3/PPQ2PPP/R1B2RK1 b kq -,c5e7
