7k/8/6Bp/pp1R4/7P/1r3PP1/6K1/8 w - -,g6e8
8/R3p3/2P2kp1/7p/3R1K1P/5P2/P4P2/1r5r b - -,e7e5
b3rrk1/p2nq1pp/B2b4/2pp1p2/4n3/1P2PNN1/PB2QPPP/2R2RK1 w - -,c1d1
5rk1/3R3p/PbQ1p1p1/5q2/8/5Np1/5PKP/8 w - -,h2g3
2kr1b1r/pppbn3/2n2q1p/1B3pp1/2NP4/1QP1BN2/PP4PP/R3R1K1 b - -,a7a6
rn2k2r/pp3ppp/5n2/2p1q3/1b1Pp1b1/2N1P1P1/PPNB1P1P/R2QKB1R b KQkq -,c5d4
8/7k/3p2qp/p1rPp2p/1n1pP3/5PP1/1P2K3/R1Q4R w - -,a1a5
4kr2/1p1b4/q3pn1p/r4ppP/2pP4/p1P1PP2/P1QN2P1/K3R1NR w - -,e3e4
8/3R2p1/p4p1p/r2p1n2/3B1Pk1/b2BP1P1/P6P/6K1 w - -,g1g2
5b2/5k2/pB2pp2/6p1/bnBPP1P1/5P2/3NK3/8 w - -,e4e5
r1b2rk1/pp2npbp/1qn1p1p1/3pP3/3P4/2N2NP1/PP3PBP/R1BQR1K1 b - -,a7a5
4nrk1/5rbp/Bpn1p3/2qpP3/P4PPP/8/1PN3K1/R2Q1R2 w - -,d1d2
3rr1k1/1p3nbp/p2p2p1/P1pq1n2/1P2N3/R3BP2/5QPP/1R3B1K w - -,b4c5
3rk2r/1p1qppb1/p3b1p1/3n2Pp/3P4/2N1BQ1P/PP3PB1/2R2RK1 w k -,c3d5
r4rk1/pp1q1ppp/2B1pn2/8/PP1P4/4B3/3Q1PPP/R4RK1 b - -,d7c6
r1b2rk1/p4q2/2p1p2p/3pQ3/2p5/P1P3B1/RPBN1PP1/6K1 b - -,c6c5
8/4pk2/8/2pP1K1P/2P2R2/8/7r/8 w - -,f5g5
r1b1kb1r/p1qp1ppp/2p1p1n1/2p1P3/8/1P1P1N2/P1P1QPPP/RNB1K2R b KQkq -,f7f6
8/1ppnk3/p2p2p1/3Pp3/1PP1Pr1p/4R2P/P2N2P1/6K1 w - -,d2f3
r3k2r/5p2/pn2p2p/1pb1P1p1/P1p1B3/6B1/1P3PPP/R2q1RK1 w kq -,f1d1
b3k1r1/2q1bpp1/4pn1p/1pp1NP2/3pP3/3P2Q1/1PP1B1PP/2B2RK1 b - -,e7d6
rn1qkb1r/pp2np2/2p1p1p1/3pP1Pp/3P3P/3Q1PN1/PPP5/RNB1K2R b KQkq -,b8d7
3r4/p2rnpbk/1q4pp/3pP3/1p3BPP/1P6/P1R1QPB1/2R3K1 b - -,d5d4
1r4k1/4qpbp/6p1/1N6/2QNr3/6PP/P4BK1/3R4 w - -,a2a4
8/3kp3/6P1/3K4/3PB3/8/8/4r3 b - -,e1a1
r5k1/pp2rpp1/2p3qp/8/1P1PpR2/4P3/P5PP/1Q3RK1 w - -,b1b3
8/5pk1/P4Rp1/4p1Pp/7P/r4P2/5K2/8 b - -,a3a4
r1bq1rk1/ppp1nppp/2n5/3p4/Qb1P1B2/2N2N2/PP2PPPP/R3KB1R w KQ -,h2h3
8/8/pp2pkp1/7p/1PB1r3/P5R1/1KP4P/8 b - -,e4c4
3r2k1/5p1p/p2qpn2/1pr5/5p2/1P3NP1/P3QPKP/2R2R2 w - -,c1c5
4rQ2/1p1k4/r5p1/3b1p2/3B2q1/P3P3/3R2PP/3R2K1 w - -,f8c5
6k1/5pp1/p1bpp2p/P3q1b1/2P1P3/R1N2P1P/4BBP1/1rn1Q2K b - -,b1b2
3r4/1p1r1kp1/2q1bp2/7p/2p2Q1P/2P1N1P1/5P2/R2R2K1 w - -,d1d7
5b2/6kp/2R3p1/5p2/1pB2P2/1P4P1/r4P1P/6K1 w - -,h2h3
1r6/p1p3kp/8/2p2p2/8/2P2PK1/P3r1PP/R1B5 b - -,g7f7
rn1q1rk1/p3bppp/4pn2/2p5/2Q2B2/P1N1PN2/1P3PPP/R4RK1 b - -,b8d7
r1bqr1k1/1p2ppbp/6p1/p5Pn/1nBP1B2/2N2P2/PPPQN2P/2KR3R b - -,c8f5
2b2n2/2r1bk1n/1p2p1p1/pP1pPp2/3P1NP1/3B1N2/P2BKP2/6R1 w - -,g1h1
5k2/5p2/p3pn2/P1r3p1/1pN1P1P1/1P3P2/5K2/3R4 b - -,f8e7
r1bq1rk1/3nbppp/p1pp1n2/4p3/NpPPP3/1P3NP1/P4PBP/R1BQR1K1 b - -,c6c5
rnbqk2r/p4ppp/2p1p3/1p1nN3/PbpP4/2N3P1/1P2PPBP/R1BQ1RK1 b kq -,e8g8
r1bq1rk1/ppp2pp1/2np3p/1B1Pp3/8/3PPN2/PPP3PP/R3QRK1 b - -,c6e7
r2r2k1/1p1qbpp1/2n2n1p/p4b2/2P2B2/P1Rp1NP1/1P1N1PBP/1Q3RK1 w - a6,f1d1
3r4/p1R3p1/P4k1p/4ppn1/1P5n/1BP2P2/5P1P/2B3K1 b - -,d8d3
8/5k1p/p3p1p1/1p2P3/3P1NPP/b3BK2/n1r5/R7 w - -,f3e4
2r3k1/pp1q2p1/1bn1b2p/3pP3/3p1BP1/2P4P/PP2Q1B1/3R1R1K w - -,f4g3
2r2bk1/1q3pp1/p3p2p/1p1n4/1P1PbP1N/PB2B2P/3Q2P1/2R3K1 w - -,c1e1
8/8/8/1Pk3p1/8/p1PK1P2/P6p/4b2N w - -,c3c4
8/5p2/4p3/4Pkpp/2B1bP2/4K1P1/8/8 b - -,e4c2
r1bqk2r/1p1nppbp/p2p2p1/2p5/3PP3/2P1BQ1P/PP3PP1/RN2RBK1 b kq -,d8c7
8/p7/P1n1rp2/5k2/R5R1/8/5PK1/8 b - -,e6d6
6k1/8/8/2B4b/4R2P/3r1PK1/8/8 b - -,d3f3
3r1rk1/1p2n1b1/pq2p2p/3p3B/7p/4N3/PPP2PP1/1R1QR1K1 w - -,d1g4
2kq4/pp1n1pp1/2p1p2p/4P2P/2P5/6P1/PP2QP2/2KR4 w - -,e2d3
r2qk2r/1p2bppp/p1npbn2/4p3/2P1P3/NPNB4/P4PPP/R1BQK2R b KQkq -,e8g8
8/8/8/4k3/2K5/2N5/3r4/8 w - -,c4c5
1r3rk1/1pqn1pbp/p2ppnp1/2p5/P1PP4/1PN1PB1P/1BQ2PP1/R2R2K1 b - -,c5d4
4q1k1/2Q3p1/4p2p/1p1p4/p1n2NP1/P3P3/1P3PP1/6K1 w - -,f4h5
r5k1/1p1nr1b1/2pNN1pp/4pP1q/p5n1/2P5/PP3PQ1/R1BBR1K1 b - -,g6f5
r3k2r/1pqb1pp1/n1p5/p2p1P2/3P1NPb/4BB1P/PPQ3K1/3R3R w kq -,f4e2
6k1/p5b1/8/1Ppr3p/3p4/P4PP1/6KP/2RR4 b - -,g8f7
2rq1rk1/pp1bppbp/1nn3p1/1B6/3P4/B1N1PN2/P3QPPP/R2R2K1 w - -,a1c1
3r2k1/1p3ppp/1pp5/8/R2p4/1P3PP1/P4P1P/6K1 w - -,g1f1
r2q1rk1/1p2bn1p/p1b2pp1/3p4/3PPn2/1QNB1N2/PB3PPP/R4RK1 w - -,e4d5
r1b1kb1r/p4ppp/2p1p3/3n4/3q4/2NB4/PP3PPP/R1BQ1RK1 w kq -,c3d5
r1b1k2r/pp2pp1p/2p2np1/q7/3B4/1B3P2/P1P1K1PP/R5QR w kq -,g1e3
7r/pq4p1/1p3k2/1n1n1pp1/3P3P/5PK1/PP2Q3/2RR4 w - -,e2e5
1r3rk1/1bq2pnp/p5p1/2p1p2n/R1PpP2N/1B1P2P1/1P2QP1P/2B1R1K1 w - -,b3d1
1k1r4/2p1p3/1q5p/5Rp1/4Q3/3P4/4PP2/3K4 w - -,e4c4
1rr3k1/2n3b1/3pp1p1/p1p3P1/4PP2/2P1B1NR/PPK5/7R w - -,f4f5
3r2k1/1p1rpp1p/p1np2p1/2P5/8/1P3BP1/P3PP1P/2RR2K1 w - -,f3c6
r4rk1/1pqnbp1p/p1p2np1/2Pp1p2/PP1P4/3BPP2/1B2N1PP/R2Q1RK1 b - -,f8e8
r1bqr1k1/pp2pp1p/2np2pb/8/3P4/2P2NBP/PP1NQPP1/R3R1K1 w - -,d4d5
r2r2k1/2p1q1pp/1pb2p2/4p3/p1P1P3/P2RQP2/1PB3PP/3R2K1 w - -,d3d8
2r1rb1k/1bp2qp1/1p1npp1p/pP6/P2PPNP1/1Q2BP2/4B2P/2R2RK1 w - -,h2h4
4k3/R4ppp/4n3/4p3/4P3/2r3P1/4K2P/1rBR4 w - -,a7a8
2b3k1/3n1p1p/pp2p3/6p1/3N4/P3PPP1/1P2B1P1/6K1 w - -,g1f2
8/8/5kp1/PK4Rp/5P1P/4r1P1/8/8 w - -,a5a6
5k2/7Q/5b2/3p4/P2Pp3/1P2P1P1/3q2BK/5b2 w - -,h7h3
r7/8/8/2R4p/6k1/8/5B2/6K1 w - -,g1g2
1r3rk1/1bqn1ppp/p2p4/3Pp1b1/P1P5/1N3P2/4BBPP/1R1Q1R1K b - -,b7a8
3rkb1r/pp3ppp/2p1b3/q2P4/4B3/2N5/PP3PPP/R2Q1RK1 w k -,f1e1
r3r1k1/1p3pp1/p3bb1p/6q1/2P1p3/1B2N2P/PPR1QPP1/5RK1 w - -,g1h1
r2qkb1r/pp3pp1/1nn1p2p/3pPb2/3P4/P1NB1N2/1P3PPP/R1BQ1RK1 b kq -,f5g4
8/1p1r2p1/1kp2pQ1/6P1/1p6/1Pq1P2P/P3R1K1/8 w - -,g5f6
r3rnk1/1p3pp1/3b4/pP1B1bq1/2pP4/P1N1P2p/3B2PP/R3QRK1 w - -,g2g3
5br1/pp2q1k1/4Bp1p/2r1nQ2/5NP1/P4P1P/1PP5/2K3NR w - -,e6g8
1r3r1k/1bp1qpp1/pb1p1n1p/4p3/3PP3/2P1BN2/1PB1QPPP/R3R1K1 b - -,e5d4
8/6kp/p2p1n1R/Pr1PpBB1/8/8/8/6K1 b - -,b5b3
r2q1r2/pbpnnpbk/1p1pp1pp/8/2PPPB2/2N2NP1/PP1Q1PBP/3RR1K1 b - -,e7c6
8/1p6/1prbkn2/3p1ppp/3P4/P3PPP1/1P1RN1K1/4B3 w - -,e2c3
8/2k4p/6p1/1p3b2/r1nRpP2/2B5/P6P/1K5R b - -,a4a8:c4a3
2r5/pp5p/2p1bkp1/2p2p2/2P4P/1PKBPP2/P4P2/6R1 b - -,a7a6
8/2R3k1/1P3pp1/1r5p/3K3P/4P3/5P2/8 b - -,g7h6
3r1rk1/1p4pp/p3pq2/8/P1Q1p3/5P2/1P4PP/R2R2K1 w - -,c4e4
k1r5/p2R4/5np1/N1Pp1p2/3P4/3K4/P5P1/5n2 w - -,d7f7
8/1pr3pp/2pk1p2/4n3/pP3P2/P1R1P1P1/7P/5BK1 b - f3,e5d7
6k1/4pp1B/4b3/p2q3p/8/1P4P1/P2r1P1P/1Q2R1K1 b - -,g8g7
3r4/5k1p/3Pb1p1/pBp2p2/P6P/2P1K3/1P4P1/3R4 w - -,e3f4
7k/8/6bp/4b3/1Q3q2/2p2N1P/6B1/7K w - -,b4f4
r1bqkb1r/1p1ppp1p/p1n2np1/8/P2NPP2/2N5/1PP3PP/R1BQKB1R b KQkq f3,e7e5
3r4/pp3k1r/2n1bn2/2p2pp1/2P5/PPB2PP1/1K2N2P/R4B1R w - -,f1g2
r4rk1/pp1qbppp/2N2n2/3P2B1/8/2N3P1/PP3P2/R2Q1bK1 w - -,c6e7
8/8/8/PP3k2/8/6Rp/4K3/2r5 b - -,h3h2
8/5pkp/3rpbp1/pNp5/P7/1B6/1n3PPP/7K w - -,b5d6
r1b1kb1r/pppp4/2n1pq1p/6p1/3P4/3B2P1/PPP2PP1/RN1QK1NR w KQkq -,d1h5
8/8/2pkp3/8/1r1PK2P/2p5/2R5/8 w - -,c2c3
4r1k1/1p3p1p/1R4p1/R7/3r4/P5P1/5PKP/8 b - -,e8e2
8/8/1R2p3/4kp2/pP3r2/8/1KP5/8 b - -,e5d5
r2q1rk1/pppnn1bp/3p2p1/3Ppp2/1PP1P3/2N2B2/P4PPP/1RBQ1RK1 b - b3,d7f6
r2r2k1/1p3pbp/p2Bn1p1/4P3/2B5/1P6/1P3PPP/3RR1K1 b - -,a8c8
6k1/R4p2/pR2p3/r3Prp1/8/7P/6PK/8 w - -,b6a6
r2q1r2/5pkp/p2p1np1/5P2/b2QP3/3B1R2/PPP3PP/5RK1 w - -,d4a4
2rr3k/pp4pp/6b1/8/1P2pQ2/P1Nq2P1/3B3P/R1K2R2 w - -,c1d1
4r1k1/1p1r1pp1/pq1P1b1p/3Bp2Q/P2n4/2N3PP/1P3P2/3R1RK1 w - -,c3e4
r7/1k1r1p2/1p2p3/1B6/P3bpPP/2R5/5P1K/2R5 b - -,d7e7
8/ppk5/4b3/2b5/4P3/1PP5/P3K3/7B b - -,c5d6
rnbq1rk1/ppp2pb1/3pp2p/6pn/2PP4/2N1PNB1/PP2BPPP/R2QK2R w KQ -,d1c2
1r4k1/p2n1ppp/4pn2/8/8/5NP1/P3P1BP/2R4K w - -,f3d4
1b1rr1k1/1p1b1ppp/p2q2n1/3p4/1P1B4/P3PNPP/1Q1N1K2/R3RB2 b - -,d6g3
7b/p1k5/3p3P/5K2/4P3/2p5/P1Nn4/8 w - -,f5f4
r2qr1k1/pp1nbppp/2p2p2/2P4b/3P4/4BN1P/PP2BPP1/R2Q1RK1 w - -,b2b4
8/8/4p1kp/5p2/R4PPK/5r2/8/8 b - -,f3f1
2r4k/2P3pp/p2p1r2/P3np2/1P2p2q/8/2RQ1PPP/4RBK1 w - -,h2h3
r3k2r/1b3ppp/1q2pn2/npb5/4P3/2N2N2/1PB1QPPP/R1B2RK1 b kq -,b7a6
4r1k1/1Q5p/p2p2p1/P1p1b3/2Pn2q1/4B1N1/5PPP/2R3K1 w - -,c1b1
6r1/7p/4p2P/2pBkb2/2P2p2/6P1/R7/5RK1 b - -,e6d5
6k1/pp3pp1/4p1p1/P2bP3/2r2P2/8/PB1R2PP/6K1 b - -,c4f4
r2q1r1k/pb1nb1pp/1pn1p3/2ppPp2/3P1P2/P1N1B1P1/1PPQN1BP/2RR2K1 b - -,c5c4
1r6/6b1/6k1/6p1/8/4NbN1/5P1P/4R1K1 b - -,b8b2
r3k2r/pp3p1p/2n2p2/q2ppP2/8/P1P5/2P2PPP/R2QKB1R w KQkq -,d1d2
3q2k1/1p2np1p/5bp1/pP1p4/3P4/P2bB2P/2Q1NPP1/6K1 w - -,c2d3
8/1r2kp1p/B4p2/P1p5/4p3/4P1P1/5P1P/6K1 b - -,b7a7
6R1/2p5/2Ppkr1q/5p2/4pP2/P5Q1/KP6/8 w - -,g8g7
2Q5/p4rk1/1p3q2/2pp1Pp1/3p1R2/1P2nR2/P6P/6K1 w - -,f3h3
r1r3k1/pp2bppp/2n1pnb1/qQ6/P3PB2/2NN1P2/1P4PP/R3KB1R w KQ -,f1e2
r2q1rk1/p2nppbp/1pb2np1/P1pp2B1/3P4/1QP1PN2/1P1NBPPP/R4RK1 b - -,c5c4
r3r3/pp4bk/5qpp/1P1R1p1n/4p2N/BQ4P1/P3PP1P/5RK1 b - -,h5f4
2r3k1/7p/1pn1rpq1/p1pp4/3P1Q2/PP2N1P1/5P1P/3RR1K1 b - -,c6d4
r1bq1rk1/pp2bppp/4p3/n1P5/2nP4/2N2N2/P3BPPP/R1BQ1RK1 b - -,b7b6
5rk1/p2bpp1p/1p4p1/4q3/2R5/P2P2P1/4PPBP/2Q3K1 w - -,e2e3
2r3k1/3bqpnp/3p2p1/1p1Pp3/nP2P2N/6PP/1Q1N1P2/4RBK1 w - -,b2a1
4k3/8/6p1/R2P4/p2KP3/8/1r6/8 b - -,b2b4
8/p1p3kp/5r2/4pp2/5b2/1B3K1P/PPP5/4R3 b - -,f6h6
5k2/R4p2/2p2npp/3rp3/8/PP1N4/2P1KPPP/8 b - -,e5e4
2rq1rk1/pp1bbppp/4p3/3nN3/Pn1P4/2N5/1P1BQPPP/RB1R2K1 b - -,d7e8
rn2k2r/ppq1bppp/2p1pnb1/8/2B2PP1/2NP3P/PPPBQ3/R3K1NR w KQkq -,g1f3
r1bq1nk1/Rp3ppp/8/1P1pPp2/7P/4QN2/2P2PP1/4R1K1 b - -,d5d4
4r3/p2r3p/1p3kp1/2p2p2/R4P1P/1P1P1K2/P3P3/2R5 b - -,d7e7
4b3/6k1/2nR4/4p2p/3pP1p1/B2P2P1/4K2P/8 w - -,a3c1
rnbqkb1r/pp1n1ppp/2p1p3/3pP3/8/7N/PPPPBPPP/RNBQK2R w KQkq -,d2d4
2n5/8/7p/5Bp1/6P1/7K/5k2/8 b - -,c8d6
2rr2k1/pq2bpp1/1p5p/2nP4/5B2/P3RN1P/4QPP1/3R2K1 b - -,e7d6
8/5k2/2K5/8/p4Qp1/P1p3P1/3p1P2/3r4 b - -,f7e7
q3r1k1/5pbp/3p2p1/1p1P4/2Q1P3/6N1/1P1N1PPP/6K1 w - -,c4b5
r1r3k1/1b1nqp1p/2n1p1p1/p2pPP2/1p4P1/1NPB3R/P1PQ3P/1K1R2B1 b - -,e7f8
b3r1k1/5pp1/Bp6/8/1P3n2/P1Qr1Pqp/1N5R/1N3R1K w - -,b2d3
r4rk1/pbqp1ppp/1pn1pn2/2p5/2PP4/B1PBP3/P2N1PPP/1R1Q1RK1 b - -,f8e8
2r2rk1/pp5p/1n1pb1p1/8/2PRNp2/1P5P/P3BPP1/2R3K1 b - -,d6d5
rn2r1k1/p1nq2bp/2p1p1p1/Pp3p2/3P4/1QN1P3/1B1N1PPP/R2R2K1 b - -,b8a6
3r3k/p1n3pp/2p1pp2/8/P1PP4/4P3/5PPP/1R2N1K1 b - -,c7a6
8/1pk2p1p/1p1pb1p1/r1n3B1/2BP3P/2K5/1P3PP1/7R w - -,d4d5
r1b1q1k1/pppr2b1/2n2n1p/3NppN1/2P5/1P4P1/PB3PBP/R2Q1RK1 w - -,d5f6
8/4kp2/2p1p1p1/p2pP2p/P4P1P/2P2B2/PK4P1/r7 b - -,a1h1
1b2r3/3Rqp1k/ppp3pp/8/2P5/1P3Q1P/P5B1/3R2K1 b - -,e7c5
r1b1k2r/1pB5/p3P3/P1n2ppp/2BN4/R6P/1PP3P1/4K3 w - -,b2b4
r2bn3/1p1q3k/r2p1p1n/PNpPp1pP/2P1P1P1/R3N1K1/R2B4/3Q4 b - -,e8g7
4r3/1R6/6pk/7p/4K2P/5PP1/8/8 w - -,e4d5
r1b1k2r/p3b1pp/n1pn4/3p1p2/1p1P1B2/4PPQP/qPP5/1NKR1BNR b kq -,d6f7
1Nb2rk1/2q1n1pp/3bp3/3p1p2/BppPnPPB/2P1PN1P/1P2Q2K/R4R2 b - -,c7b8
r4rk1/5pp1/p6p/1pnNP3/3RbPP1/P6P/B7/R5K1 b - -,e4d5
r2q1rk1/pbppbppp/1p3n2/4n3/2P2N2/P1NBP3/1P3PPP/R1BQ1RK1 w - -,d3e2
r3k1nr/p2b2pp/nppQpp2/8/2P1q3/2B2N2/PP2BPPP/R3K2R b KQkq -,g8h6
rnbqk1nr/ppp2ppp/3p4/4p3/2P5/2P3P1/PP2PPBP/R1BQK1NR b KQkq -,g8e7
R7/2q3k1/6pp/5p1P/3p2K1/5N2/8/8 w - f6,g4h3
2b2rk1/pp2bp1p/n6q/3Q2p1/5p2/PB6/1PP3PP/R1B2R1K w - -,c1d2
4R3/6kp/B4rp1/p1Pp4/1p6/7P/PP4P1/7K b - -,f6a6
8/1q3p1k/p1rBpbp1/1rPp3p/1P2P3/1R1Q3P/5PP1/1R4K1 b - -,d5e4
1r1q1rk1/5pbp/p2pp1p1/2pP4/2bnPP1N/2N1Q1PP/P4RK1/1R2B3 w - -,d5e6
7R/8/2N5/8/3K2k1/8/4r2P/8 b - -,e2a2
3rr1k1/pb4p1/7p/q1p1BB2/2P5/1P2QP2/4R1PP/6K1 b - -,a5b6
6k1/4rn1p/1R4p1/2rp4/1p1npP2/1P4PB/4R2P/1N1K4 w - -,e2b2
r1b1kb1r/1pqn1ppp/p2ppn2/8/3NP3/2NBBP2/PPP3PP/R2QK2R w KQkq -,d1d2
5k2/p4p2/4pp1p/8/1b1N4/6P1/PP3P1P/6K1 b - -,b4c5
r2qr1k1/pp3ppp/2np1n2/2p4b/2PPp3/P1P1P1NP/2Q2PP1/RBB2RK1 w - -,f2f4
1rr2bk1/1b3ppp/p2pp3/p1q3P1/P3PP2/2Q2B2/1PP1N2P/3R1R1K w - -,c3c5
r2r2k1/3nqpp1/4p2p/pP2P3/3PN3/1p6/4QPPP/2R2RK1 w - -,e4d6
6B1/4k3/5p2/3Kp1p1/4P2p/1P2bP2/6PP/8 b - -,e3d2
2q3k1/5p2/1p5p/p5pP/P2R2n1/8/6P1/Q5K1 b - -,g4f6
4n1k1/bB5p/p7/8/3P2P1/7P/bP4K1/6B1 b - -,a6a5
3Q4/5Qk1/p5p1/4p3/1Pp1P3/P4Pq1/4K3/7q b - -,g7f7
8/8/r5p1/1pK2p1p/1Rn3k1/2P3P1/7P/8 w - -,c5b5
2kr3r/pbpn1R2/1p1pp3/6P1/2PP2n1/P3P1B1/1P6/R2QK3 b Q -,h8h1
8/b4pk1/2N3pp/8/p5PP/8/4K3/8 b - -,a4a3
1r1r1qk1/2p4p/5pp1/2Qn4/3N4/1PP3P1/4RPP1/4R1K1 w - -,c5c4
r3k2r/1bp3bp/pp4p1/2pnPp2/6q1/1P1N4/PBPP1PPP/RN2QRK1 w kq -,f2f3
2r1rk2/2PQbp1p/1B2p1p1/2Pp4/8/4PKP1/5P1P/8 b - -,c8a8
r2qr1k1/1b1n1pbp/pp1p2p1/2pP4/P3PB2/2N2QP1/1P3P1P/R3RBK1 b - -,d7e5
3n4/pp2r1q1/4rb1k/PR2pQ1p/2NpP2P/3P2B1/6PK/1R6 w - -,g3f4
8/1p1r1k1p/1R3pp1/2P2q2/4p3/1P5P/1Q3PPK/8 w - -,b2c1
r7/2Bnrp1k/2PN2pp/p7/4p3/2Pb3P/P4PP1/3RR1K1 b - -,d7e5
5k2/2R5/r7/5K2/5P2/8/8/8 w - -,f5g5
8/8/7p/p6Q/8/K2k4/3q4/8 w - -,h5g6
1r2k2r/3b1pb1/pqnppnp1/1pp4p/4PN1P/2PPN1P1/PP3PB1/R1BQ1RK1 w k -,c1d2
3r1b1k/4NB1p/1p3P2/p1p3P1/4R3/2r3KP/8/8 w - -,g3f2
2r4k/5pp1/pq1p1n1p/2pPn2P/1p2PQ2/4R1N1/1PP3P1/2KR4 b - -,c5c4
r2r2k1/1pq1bppp/2p2n2/p1n1pNBb/4P3/2P3PP/PPQ2PB1/R3RNK1 b - -,h5g6
2r1r1k1/1p1bpp1p/3p2pb/1pnP4/4Pn2/PN2RN1P/1P3PP1/1RB2BK1 w - -,b3c5
2q3k1/p4p1p/1p1p2p1/4b3/1P3P2/PP2B2P/3Q2P1/6K1 b - f3,e5a1
5k2/5pp1/p1q1p3/1p1bP1P1/1P1Q1P2/2P5/1K1N4/8 w - -,d2f1
8/8/8/p1k1PP2/P1p5/2r1KBP1/7P/8 w - -,e3f4
rnbq1rk1/ppp1ppb1/1n4pp/8/3P3B/2N2N2/PP2PPPP/2RQKB1R b K -,b8c6
2rr2k1/1p2qpbp/3pp1p1/p1n3B1/P1BnP3/1PN5/1P1Q1PPP/1R2R1K1 b - -,c5b3
1k2r3/1b2r3/pp4pp/2p5/PnNn3P/1P2P1qN/2P2QB1/2R1R1K1 b - -,d4f3
r2q1rk1/pb1n1pp1/1pp1pb1p/3p4/2PP4/1QN1PN2/PP2BPPP/2RR2K1 b - -,d8e7
8/4k2r/4P1R1/4K2p/7P/8/8/8 b - -,h7h8
8/5r1p/2R5/kp3N2/p1p1K3/P5P1/1PP5/8 b - -,f7d7
8/3P2k1/p1n3p1/3Q1n1p/2N5/2q4P/4rBP1/3R3K b - -,c6d8
3R2k1/4P1b1/1r4p1/qbp5/6Q1/5rPP/1P3PB1/4R1K1 b - -,g8h7
3rR3/3P4/p4b2/P6p/1pp2k2/7B/1P1K2P1/8 w - -,d2c2
rn1qkb1r/pbpppppp/5n2/8/Pp1P4/5N2/1PPNPPPP/R1BQKB1R w KQkq -,e2e3
3r1r2/p4k1p/2p1bp2/1p6/5B2/4P2P/PPP5/2K3RR w - -,f4c7
rnbq1rk1/1p2bppp/2p1pn2/p2p4/2PP1B2/5NP1/PPQ1PPBP/RN3RK1 b - -,f6h5
8/5B1p/4p3/4Pp2/2b1pP2/1k2P3/3K3P/8 w - -,h2h4
r1b2rk1/ppqnbppp/2npp3/2p5/4P3/3P1NP1/PPPNQPBP/R1B1R1K1 w - -,d2f1
3r2k1/1Q2pp2/p5p1/8/3q3P/P7/1P1r4/K1R4R w - -,h4h5
r2qr1k1/1p3pp1/1pn2n1p/3p4/1P1Nb3/P5PB/1B2PP1P/R2Q1RK1 b - -,d8e7
3qrnk1/pp2bppp/4bn2/2rp2B1/3N2P1/2NBP2P/PPQ2P2/1K1R3R b - -,d8c8
