8/3r3k/3BR2P/4Kp2/4nP2/6P1/8/8 b - -,e4g3
1rb2rk1/2qnppbp/p2p2pn/4P3/1p1pBP2/4BNN1/PPP3PP/R2Q1R1K w - -,f3d4
r4rk1/p4pb1/bpn3pp/4p3/4P1n1/1NN3P1/PP1B1PBP/R2R2K1 b - -,a6c4
6k1/6b1/p2p2Pp/q1pP1p2/1pP5/1P1Q1N2/P4PP1/6K1 b - -,a5a2
r3k2r/p1q1nppp/1pb1p3/n2pP3/P1pP4/B1P5/2PNBPPP/R2Q1RK1 b kq -,a5b7
r2qk1nr/1pp2pbp/n2p2p1/p2Pp3/2P5/P1N1P2P/1P3PP1/R1BQKB1R w KQkq -,e3e4
5bk1/5pp1/4p1p1/1P1p4/q1nP3P/1R3PP1/4N3/1Q1rBK2 w - -,b1d1
8/8/3r4/P3n2p/2P1R3/2K3k1/8/8 w - -,e4e5
3b2k1/3q2n1/2p3p1/p1Pp3p/Pp1Pp1PP/4P1B1/1P2Q2K/3B4 b - -,g8h7
r7/2pk2p1/4Rp2/p1Pr4/8/P1R3P1/5PK1/8 w - -,c3e3
rnbqk2r/1pp1ppbp/3p1np1/pP6/2P5/5N2/PB1PPPPP/RN1QKB1R w KQkq -,d2d4
8/R7/8/Ppp2k2/1r6/4K3/8/8 w - -,a5a6
3rr1k1/2b2pp1/p1q4p/1p1npP2/1P1P4/3Q1PN1/1P3BPP/R2R2K1 b - -,e5d4
r1b1r3/pp4bk/5p1p/4N3/2PpnP1B/8/PP2B1PP/R3K2R w KQ -,e2h5
4brk1/pp4bp/1n6/2q1p3/4P1Q1/P5PB/1P1r1P1P/1R1N1RK1 b - -,e8d7
r1b1kb1r/1pq2p2/p1n4p/2Ppp1p1/Q4nP1/N1P1PPB1/PP5P/3RKBNR b Kkq -,f4e6
2r1r1k1/2qb1pbp/p2p2p1/1ppPn1B1/2P1P3/2NB3P/PP4P1/2RQ1RK1 w - b6,c4b5
1r4k1/1p1b1ppp/p6r/3P4/5b2/4R3/PP4PP/1BR2NK1 w - -,g2g3
5k2/p4p1p/2N3p1/1P6/1K6/R7/8/2q5 b - -,c1b2
r3k2r/1b1p1ppp/p1q1p3/1p2P3/1b2NP2/3B4/PPP1Q1PP/R3K2R w KQkq -,c2c3
4r2k/2p3q1/p1n4p/1pN3p1/1Pbp1p2/P4N1P/3Q1PPB/3R3K w - -,d1e1
8/4n1bk/3p2pp/1R3p2/p2PrN1P/5NP1/qP3P2/2Q3K1 w - -,b5b7
r1r3k1/p1b4p/2p1p2q/2Pp1p2/3PnPp1/1P1Q3P/P3NBP1/1R3RK1 w - -,h3h4
rnbqk1nr/ppp2pp1/4p2p/b2p4/3PP3/P1N5/1PP1NPPP/R1BQKB1R w KQkq -,e2g3
6k1/pp4p1/7p/3p1p2/1P1P1P2/2r1B1P1/r3KP2/1R6 w - -,e2f3
1k1r3r/ppp1q1pp/2p1bp2/2n1p3/3PP3/2N1QN1P/PPP2PP1/2KR3R b - -,e5d4
r2q1rk1/3np1b1/B2p2pp/2pP4/P3Ppn1/1PN2N2/1BQ2PPP/1R3RK1 b - -,a8a6
r2qr1k1/n7/1p3pb1/1P1Nb3/3Np3/4BB1P/R2Q2P1/1R4K1 w - -,d5b6
8/3k4/3n1p2/1pp1pP2/4P3/2PK2N1/8/8 w - -,g3h5
r1q3k1/4r1pp/2p2b2/8/2bNpP2/Pp2Q1PP/1P5R/1KNR4 w - -,d4b3
4r3/p2pk2p/2p3p1/3prp2/8/1P1N1BP1/P4P1P/3R1K2 b - -,e5e6
3r2k1/p1R2pbp/6p1/8/8/1P1p1P1P/P4P2/3R2K1 b - -,g7d4
2r1k2r/3b1pQp/2n1p3/ppqpPP2/8/PP3N2/1NP3PP/1K1R3R b k -,h8f8
r3k2r/1b1pbppp/p1q1pn2/1p6/4P3/P1NBB3/1PP2PPP/R2QR1K1 w kq -,e3d4
8/5R2/6pK/5r2/4kP2/8/8/8 w - -,h6g6
7r/5p1P/pp2kP2/3pPr1R/8/2PK4/P4p2/5R2 w - -,h5f5
5k2/p4p1p/2N3p1/1PK5/5q2/R7/8/8 b - -,f4c1
3r4/1r2bpkp/4p1p1/pp6/2pPRP2/P1P3PP/NP3K2/4R3 w - -,e1c1
2kr1b1r/pbp1nqpp/1pn1p3/5p2/Q2P4/2P1BBN1/PP2NPPP/R3K2R b KQ -,h7h6
2r5/5pk1/1p2q3/3R2p1/6p1/3Q4/5P1P/6K1 w - -,d5g5
2r1kbr1/1q1n2p1/p1b1p2p/3N4/1pPB1Q2/3B1P2/PP4PP/1K1R4 w - -,d3g6
rn1q1rk1/pbpnbppp/1p2p3/3pP3/8/3P1NP1/PPPNQPBP/R1B2RK1 b - -,c7c5
rn2kb1r/p3npp1/2p1p3/qp2P1Bp/2pP2bP/2N3N1/PP2BPP1/R2QK2R w KQkq -,f2f3
1qr1r1k1/p2bppbp/1p1p1np1/n7/2P1P3/1PN1BP2/P1NQ2PP/1RR2BK1 b - -,h7h5
r6r/pp3pkp/4pqp1/1P1pb3/6P1/3QB2P/PPR2P2/2R3K1 b - -,g6g5
r1b2rk1/2qnppbp/n2p2p1/2p1P3/Pp1PNP2/3B1N2/1P1B2PP/2RQ1R1K w - -,d4c5
r2r2k1/1pp1q1b1/p1n1bppp/4p2n/1P2P3/2P1BN1P/P1QN1PP1/R3RBK1 b - -,f6f5
r5k1/5pp1/4p2p/1p1qN3/1Q2nP2/PP4P1/4P2P/2R3K1 b - -,g7g5
5k2/5P2/7K/3r4/5RP1/8/8/8 b - -,d5d6
8/k7/P3R3/3pPp1p/7P/6n1/2r5/6K1 w - -,e6d6
rnb2rk1/1pq3pp/p3p3/5p2/2PNn3/2P1BB2/P1Q3PP/R4RK1 b - -,e4f6
5rk1/6p1/p1p4p/3p2r1/8/P6P/1PP1R2K/4R3 b - -,g8h7
r2q1rk1/pp1nbppp/2p1p3/3pP2b/5P2/1P4PP/PBPNP1B1/R2Q1RK1 b - f3,f7f5
8/2k3p1/2P5/7r/3KB3/5P2/8/8 b - -,c7d6
6k1/4qp2/1pb3p1/2n1b3/P7/4NPPp/P4B1P/3Q1BK1 w - -,e3g4
8/ppp4p/4p1pk/8/2r2P2/2P2RP1/P1Pr3P/2R3K1 w - -,f3d3
2k4r/6pp/p1n1pq2/1pbb4/2p1B3/6B1/PP2QPPP/R4RK1 b - -,h7h5
r3rnk1/p2n1pbp/q1pB2p1/2P1p3/Q3P3/2N2PP1/P3N1KP/R2R4 b - -,a6c8
5k2/r4p2/7p/1b1pP2B/p2P4/6R1/5KP1/8 w - -,g3a3
r1r5/p3q2k/2P1p2b/1bPpPp1p/PN4p1/2P5/4QPPP/R4RK1 w - -,e2b5
2r1r1k1/pp2bppp/5nn1/3b4/3N1q2/1NB4P/PQ3PP1/2RR1BK1 w - -,c3d2
r1bqr1k1/pp1nppb1/2p2npB/7p/3P3P/2N2PN1/PPPQ2P1/2KR1B1R w - -,f1c4
6k1/p1r3p1/1p3p1p/1Pbq4/4p3/3P2P1/1Q1BPP1P/2R3K1 w - -,d3e4
r3k1r1/ppqb1p2/4p3/4Pn2/3Q1P2/P1p5/2P3PP/R1B1KBR1 w Qq -,d4f2
rnbqkb1r/1p3ppp/p3pn2/2pp4/2P5/1P3NP1/P2PPPBP/RNBQK2R w KQkq c6,e1g1
8/5k2/4R3/1p3P2/3K4/P3p2p/1P5r/5B2 b - -,h2d2
8/p3p3/2p3p1/2k1Pp1p/5P1P/PP2K1P1/8/1N3b2 w - h6,b1c3
r4r1k/3nN1pp/p3p3/1p1pp3/5bP1/8/PPP3BP/3RNR1K b - -,a6a5
rn2kb1r/p1pq1pp1/1p2p1np/3pP3/P2P4/4BN2/1PPN1PPP/R2Q1RK1 b kq a3,a7a5
3r2k1/2p1Q3/p4p2/6p1/1pP5/5PP1/PP2pK1P/1R1q4 b - -,d8d7
r1b2r1k/p5pp/2p3n1/P3p3/1PB1P1Pq/4bp2/1B2N1QP/3R1KNR w - -,g2g3
rnbqkb1r/1p2pp1p/p1p2np1/3p4/2PP4/2N1PN1P/PP3PP1/R1BQKB1R b KQkq -,f8g7
r1br2k1/pp2bppp/2n1p3/q3P3/2B5/2P2N2/P2BQPPP/1R3RK1 b - -,b7b6
r2q1rk1/pp4b1/2bp1n1p/2pN2p1/4P3/2PB2Q1/PP1N2PP/4RRK1 w - -,d5f6
2rr2k1/p1q1ppb1/Qpnp1npp/2p5/3P4/P1P1PN1P/1P1N1PPB/R3R1K1 b - -,c7d7
6k1/ppR2p1p/6p1/8/3r4/1P4PP/P4P2/6K1 b - -,d4d2
2k4r/p1p2p1p/2p1n3/4P3/6p1/1PB2rP1/P4PKP/2R2R2 w - -,h2h3
3r2k1/1qpr1pbp/p2P2p1/1pB5/2Q5/5P2/P5PP/1R1R2K1 w - -,c4f4
r1bq1rk1/1p3ppp/p1nbp3/3p4/3Pn3/2N1PN2/PP1BBPPP/2RQ1RK1 w - -,c3e4
r1b2rk1/1pqn1pbp/p2p1np1/2pP4/P3PB2/1QNB1N1P/1P3PP1/R4RK1 b - -,f6e8
5R2/1r6/4p1p1/3k2Np/3n1P1P/6P1/6K1/8 w - -,f8d8
8/p3k1pp/b7/2pr1p2/5P2/1PR1K1P1/P3p2P/4R3 b - -,g7g6
2r1r1k1/1bqn1p1p/1p1p2p1/pP1P4/P1pRNP2/2Q1P1P1/6BP/4R1K1 b - -,f7f5
8/1p2kpp1/4p2p/8/P1P5/r5P1/2K1RP1P/8 w - -,c2b2
4R3/5p2/3pk1rp/8/5K2/4P3/5P2/8 b - -,e6f6
1r2r1k1/4qpbp/p2pbnp1/1p6/4PP2/3PB2P/PP1QN1B1/R4RK1 w - -,b2b4
1rbqrbk1/2n2p1p/pp1p1np1/2pP4/P1N1PB2/2N2P2/1P2B1PP/R2Q1RK1 b - -,b6b5
8/b1R2ppk/5n1B/r7/1pB1p3/1P4P1/P6P/7K w - -,h6g5
r1bR2k1/1p3p2/p1p3pp/4r2n/2P5/2N4P/PP3PP1/2K2B1R b - -,g8g7
2b2rk1/Q4ppp/p1p5/1p6/8/1B5P/PPP1q1P1/R6K w - -,a7c7
r4rk1/5ppp/3p3q/5P2/2b1PR2/1pP1Q3/1P4BP/4R1K1 b - -,a8a2
5k2/1pB4p/4nb1r/2p2p2/2Pp1P2/1P1P3P/P5RK/6R1 w - -,c7b8
rnbqkb1r/ppp2ppp/4pn2/3p4/8/1P2PN2/P1PP1PPP/RNBQKB1R w KQkq -,d2d4
1r1r1k2/3q1p1p/2b5/4Q1p1/1p2P3/1PN4P/P3B1P1/5R1K b - -,d7d6
r2b4/5pk1/6p1/p1B5/P6p/3B1b1P/8/1R3K2 w - -,f1f2
1R2bk2/1p3r2/pN1p1np1/3Pp2p/4P3/4KP2/PP2B1P1/8 b - -,f7c7
3r2k1/p1ppn1p1/1p2p2p/2P1Nr2/1P1P1P2/P1K3P1/4R2P/4R3 b - -,a7a5
5b2/1R2nn2/3p2k1/r2Pp3/4P1KB/2N2P2/6N1/8 b - -,e7g8
r3k2r/3nppbp/pqnp2p1/1pp5/4P3/2PPB2P/PPB2PP1/RN1QR1K1 w kq -,b1d2
2rr2k1/pb3ppp/1p2p3/8/1Pn1P3/PNn2P2/6PP/R1B1RBK1 b - -,c3b5
3r3k/3P4/1R2Bp2/3R2pP/p3p1Kn/4P3/5P2/7r w - -,h5h6
3r4/5pk1/6p1/2P1p1qb/4p2p/3rP2P/P4PP1/1RR1QNK1 w - -,f1h2
r1bqkb1r/1p3ppp/p1n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,f8e7
3r2k1/pb3p2/1p1q1npp/2p1p3/2PrP3/P2P1NPP/4QP2/1R1R1BK1 b - -,f6e4
8/2p2rk1/prb1qn1p/2Rp1ppP/3Pp3/B1N1P3/P1Q2PP1/5RK1 w - -,f1c1
8/8/1p1p4/p1pB1k2/P1P5/1P4r1/2K3p1/6R1 w - -,g1g2
4r1k1/p1n2qpp/1p1B4/3p1p2/3P4/4Q3/PP3PPP/2R3K1 w - -,d6e5
2q1rbk1/1b3pp1/p4n1p/4p3/1p1rP3/1P4NP/P1BBQPP1/2RR2K1 w - -,c2d3
r4rk1/1pnq2bp/2ppn1p1/p3p3/1PPP4/P1N1BPP1/3QN1KP/2R2R2 b - -,a5b4
r1bq1rk1/pp1nppbp/2p2np1/8/2BP4/2N1PN2/PP2QPPP/R1B2RK1 b - -,c6c5
2r1b3/p5bp/1p2p1p1/1Pk2p2/P1P5/8/3rBPPP/2RR2K1 w - -,d1d2
r4rk1/pp1bnppp/4pn2/3pN3/3P4/1PPB2P1/1P1N1PP1/R4RK1 b - -,e7c6
r4rk1/5ppp/p2p1n2/Np2p1R1/4P3/2N5/PPP4P/3K1B2 b - -,a8c8
r1b2rk1/ppp1qppp/3p4/4n3/1bP2B2/2N1P3/PP2BPPP/2RQK2R w K -,e1g1
6R1/8/6k1/5p2/5K1p/7r/8/8 b - -,g6f7
r4rk1/1pp2ppp/6b1/8/p1PP4/R4NP1/3N1PP1/R5K1 b - -,g6c2
rnbq1r2/p5kp/1p2pb2/2pp2p1/2PPp3/1Q2P1P1/PP3PBP/R1B1NRK1 w - -,f2f3
r1b1r1k1/pp2qppn/2p4p/4n3/1PPNpP2/P1Q1P2P/1B2B1P1/R2R2K1 b - f3,e4f3
5k2/p4p1p/4p1pb/3r4/1P6/1KB2P2/2P3PP/7R b - -,f8e7
3r4/1r3p1k/b1p1N1pp/8/p1p1P2P/P2p1Pb1/1P1N2P1/1RK5 w - -,e6d8
r5k1/p7/1p1n1q1p/n1pP1b1B/2P5/P1P3Pp/2QB1R1K/5R2 b - -,f5c2
8/p4k1p/6p1/2P2r2/2P5/1P2R3/P2r1P2/R5K1 w - -,e3e1
r4rk1/p2qb1pp/2pp2n1/2p1pb1Q/N3N3/3PB2P/PPP2PP1/R4RK1 b - -,c5c4
r3kbnr/1pp1Qppp/p1p5/8/4P1b1/5N2/PPP2PPP/RNB1K2R b KQkq -,f8e7
r7/1p3k2/1Bn1b2p/5p2/1PP3p1/2K3P1/3R3P/3B4 w - -,d2e2
r7/pp1q1pk1/2p1rn1p/4B1p1/3PPnP1/5QP1/PP5N/2R2RK1 b - -,f4g6
2r5/3pBkb1/1p1P1p2/p7/2P5/8/P4PP1/2R3K1 b - -,c8c6
8/8/3k4/Pn1p4/1N1pp1p1/1P2P1P1/3K1P2/8 w - -,e3d4
2b1q1n1/2b4k/pp2p3/2p4R/2PpPP2/PP1P4/3BQ3/7K b - -,h7g7
5R2/8/2Kp4/1Pb5/1r4p1/8/5p1k/5B2 w - -,b5b6
4R3/6k1/8/8/5R2/2q2P1P/6PK/8 w - -,e8e4
r4rk1/pp2bppb/1np1p1Qp/7N/3P3P/1BP5/PP3PP1/R1B2RK1 b - -,h7g6
r2q1rk1/1pp1ppbp/3p1np1/p2P1b2/1nP5/P1N1PNP1/1P3PBP/R1BQ1RK1 b - -,b4a6
3n1rk1/p5pp/2p3r1/2PpPpP1/3N1P2/2B4P/PP6/R4K2 w - -,h3h4
1k2b3/1rn5/3p1p2/Rp1Pp3/1P2P1PK/2N5/4B3/8 w - -,g4g5
2r3k1/3Rppbp/2p3p1/p7/Q3N3/PP4P1/2P1qP1P/6K1 b - -,g7f8
2q1r1k1/p1r2bpp/5p2/Q1p5/3p4/P2P1PP1/1R2P1BP/2R2K2 w - -,b2c2
r3k2r/1bpqn1pp/1p1p1b2/1NnP1p2/p7/P1N1B1P1/1P2PPBP/1R1Q1RK1 w kq -,e3d4
r4rk1/1pp3pp/2n2p2/3N4/p1P5/P1Q2P2/1B3qPK/3RR3 w - -,d5c7
r1bqr1k1/1ppn1pbp/3p1np1/p7/2PN4/1PN3P1/PB2PPBP/R2Q1RK1 w - a6,a1c1
4rk1r/pp3ppp/2pb2n1/3p4/3P4/3B2P1/PPPB1P1P/R3R1K1 w - -,b2b3
r1bq1rk1/1pp2pbp/2np1np1/p3p3/2PP4/PPN1PN2/4BPPP/R1BQ1RK1 w - -,c1b2
2r2rk1/1pqbppbp/1n4p1/p3NnB1/3P4/PBN5/1P2QPPP/3RR1K1 b - -,c8e8
r4rk1/p1p3bp/1p1n2b1/1P1Pp3/5nNq/B1N2P2/P5PP/R2QRBK1 w - -,a3d6
r4k2/4bp2/6p1/1r6/2R1P2p/p4P1P/R2BK1P1/8 w - -,d2c3
2rq2rk/1p1n1p1p/p2p2nP/2pPp1R1/P1P1P3/2N2P2/1P1QN3/2K4R w - -,h1g1
rqn4r/pb1k2pp/1pn1p3/1N2PB1P/2P2B2/3Q1N2/PP3PP1/4b1K1 b - -,d7e8
3rrbk1/1bqn1ppp/p1pp1n2/1p1Pp3/4P3/PPN3PP/1BPQNPB1/3RR1K1 b - -,h7h5
8/8/8/2kp4/1n5R/8/2PK4/8 b - -,b4c6
r1bq1rk1/p3ppbp/6p1/1p1p4/3Pn3/1P2P1P1/PB3PBP/RN1Q1RK1 w - -,d1d3
2b2r1k/5pbp/p4Np1/3pp2P/1P3R2/P5P1/4PPB1/5RK1 w - -,f4f3
r2r2k1/4b1p1/1p2p2p/4P3/p1Nn4/P1N2KP1/1P4P1/3R1R2 w - -,f3g4
r1bq1rk1/1p1pppbp/2n3p1/p1p2n2/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 w - a6,d2d3
8/5p1k/4pbp1/1p5p/1PR5/1r5P/4NPP1/6K1 w - -,c4c7
2rr2k1/pp3ppp/5q2/1Q1Pb3/1B6/P5P1/5P1P/3R1RK1 b - -,b7b6
Q2n2k1/6pp/pb1qpp2/Np6/1P1B3P/P3P3/5PP1/6K1 b - -,b6d4
8/2b5/1p3k2/pP2pB2/P1P1Kp1p/2B2P2/6P1/8 w - -,f5c8
2rq1rk1/1p1nbppp/pn1pb3/4p1P1/4P2P/1NN1BP2/PPPQ4/1K1R1B1R b - -,d8c7
8/pp1r4/2k1prpp/2p5/2P1RP1P/6P1/PP6/2KR4 w - -,d1d7
4nrk1/2p1Q3/3p1ppp/3P4/4P1P1/5P2/7P/6K1 w - -,h2h4
r5k1/pp4b1/n1pp1q2/8/2Pp2B1/6R1/PP2QPP1/R5K1 b - -,a6c7
R7/2p2kr1/P7/2p5/1pPpPr2/1P4p1/6K1/7R w - -,h1f1
6k1/3r3p/1p1p3q/5p2/nPPRpPr1/4Q3/6PP/3R1BK1 w - -,g2g3
r2r2k1/1bqnbppp/p2ppn2/2p3B1/2P1P3/2NQ1N2/PPB2PPP/3R1RK1 w - -,d3e2
r1n2r2/1bq2p1k/2pNpQpp/p3P3/2B5/P6R/1P3PPP/2R3K1 b - -,c8d6
2r3k1/p1P1bpp1/2Q5/3p1q2/P2P3p/4B1P1/5P1P/2R3K1 w - -,g1f1:e3f4
1rbqk2r/pp2npbp/2n1p1p1/2ppP3/8/3P1NP1/PPP2PBP/RNBQR1K1 w k -,b1d2
1rn5/5qnk/p2ppr1p/1p2p1p1/4P3/P1N1Q1N1/1PPR1PPP/3R2K1 w - -,b2b3
8/8/4p3/p3kP2/2P4R/1K3P1P/8/5r2 b - -,f1f3
1r4k1/r1qnppbp/b2p2p1/2pP4/8/1PN3P1/P1Q1PPBP/1R1RB1K1 w - -,d1c1
