8/7k/R6P/5PK1/8/6P1/p7/r7 b - -,a1g1
3rr1k1/1p1qnpp1/p6p/8/Pn1p1P1P/1Q1P2P1/1P4BN/R3R1K1 b - -,e7d5
r1b1k2r/ppp1b1pp/2p2q2/4p3/8/5N2/PPPPQPPP/R1B1K2R w KQkq -,f3e5
r2q1rk1/p4bbp/1p3nn1/2p2p2/2Pp1P2/5BPP/PPQN3B/3NRRK1 b - -,d4d3
r1q2rk1/pp2bppp/2n1pn2/3p4/3P1Bb1/1QPB1N2/PP1N1PPP/4RRK1 b - -,g4h5
1rr1b1k1/4np1p/p3p1p1/1p1pP1P1/5P2/PNPR4/1KP2B1P/R7 w - -,h2h4
rnbqk2r/pp3ppp/2p1pn2/3p4/1bPP4/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,e8g8
5r2/p6k/1p1p3p/2pPbP2/Pn2P1q1/1P6/3Q1B2/2R2K1R b - -,e5f4
r2r2k1/1pq1pp2/p4np1/2P2b2/1PP1p2p/1N2P2P/PQ2BPP1/R2R2K1 w - -,d1d8
rn3rk1/pb1qb1p1/1p1ppn1p/2p3N1/2P5/2NBP3/PPQ2PPP/R1B2RK1 w - -,g5h7
r4rk1/1b1q2pp/p1np1b2/1p6/3Q1N2/P3B3/1PP2PPP/3R1RK1 w - -,d4d5
2r1n3/RRp2r1p/2Np1k2/1P1P1p2/2P2Pn1/4pKPP/4B3/8 b - -,g4f2
rnbq1r1k/ppp1p1bp/3p1pp1/6B1/2BPP1n1/2N2N2/PPPQ1PPP/R3K2R w KQ -,g5h4
r1r3k1/pp5p/2p1bnp1/3pNp2/3P1P2/P2BP3/1P3PP1/2R1K2R b K -,f6d7
2r3k1/p6p/1p2p1p1/3qNp2/3PnQ2/8/P4PPP/4R1K1 w - f6,e5f3
1r3rk1/8/p3q2p/1ppNb1p1/2PpP1P1/PP1P1p1P/5R2/1R2Q1K1 b - g3,h6h5
8/2p3k1/1p3p2/1P6/2pP3p/4PPq1/6P1/2Q3K1 w - -,c1c4
rnbq1rk1/p3p1bp/2p3p1/1p1pP3/3P4/2N1QN2/PPP3PP/2KR1B1R w - b6,c1b1
2r4k/5ppn/pq1p3p/3PnN1P/1pp1PQ2/6R1/1PP3P1/2KR4 b - -,h7g5
r4k2/pb2bppp/1pn1p3/8/1P2B3/P3PN2/1B3PPP/R2r2K1 w - -,a1d1
2b2rk1/1p4pp/p1p1pn1r/2PpNp2/PP1P1P2/2N1P2P/6P1/R4RK1 b - -,f6d7
r3k2r/1bqnbppp/p1npp3/1p4P1/3NPP2/2NBB2P/PPPQ4/2KR3R b kq -,d7c5
6k1/6p1/2nr3p/pq2pp2/Q7/4BN1P/5PP1/R5K1 b - -,b5d5
2r2bk1/R2n1p2/1p1p1np1/1B1Pp2p/1PN1P2P/5P2/5BP1/6K1 w - -,f2e3
2krn3/1r4p1/1p1p1p2/2pNpn1p/2P4P/1P2B1P1/P2RPK2/3R4 w - -,a2a4
n7/np3pk1/4p1p1/pP1pP3/3P1PP1/1PKB4/2N5/8 w - -,c3b2
2rqk2r/1b1n3p/1pp1pbp1/p2p1p2/2PP4/BQP1PNP1/P4PBP/2RR2K1 b k -,a5a4
3q1r2/1b3pbk/1pp1p1pp/r3N3/3P4/1B4Q1/PP3PPP/3RR1K1 w - -,h2h4
8/7k/1R6/5p2/5K1P/1p3PP1/2r5/8 b - -,b3b2
4r1k1/4qppp/1Rp5/8/3PN3/4PnP1/2QN1P1P/r4K2 w - -,f1e2
5rk1/1p5p/4p3/4Qq2/P1P5/1P2B1PK/5P1P/8 w - -,e5f5
2q3k1/1b3p2/6p1/1Q2B1Np/2P4P/P3N1P1/5n1K/8 b - -,f2d3
r5k1/3R1p2/6p1/p1R1b2p/8/4B1P1/1r3P1P/6K1 b - -,e5h8
2r2k2/2r2p1p/1pPp1Pp1/2n5/2P1P3/5B2/7P/2RR2K1 b - -,c7c6
3r1rk1/1n4pp/p1N1n3/1p6/1P6/8/P4PPP/R3R1K1 b - -,d8e8
r3r3/5pkp/p1R5/3B2pQ/3R1qP1/8/P4P1P/6K1 b - -,f4d4
k3q3/pr6/1pnnP2p/3p3P/3P2PB/P4Q1K/P7/4R3 b - -,d6e4
5r2/6k1/p5p1/P1pP4/5PNn/7P/5R2/6K1 b - -,h4f5
1r3qk1/pbp2p2/1pBp1p1p/8/2PP1P2/2P5/P1Q3PP/4R1K1 w - -,c6b7
3r4/p6k/4p1p1/p7/2n1p3/6KP/3b1P2/R1BR4 b - -,d8d3
rn1qk2r/4ppbp/p1p1b1p1/1p1n4/3P4/2N1PN1P/PP3PP1/R1BQKB1R w KQkq -,f1e2
5rk1/1bq2pp1/r2p1b1p/p3pP2/Np2P3/1P2QN2/1PP2RPP/3R2K1 w - -,c2c4
r2q1rk1/1p1b1pbp/p1n2np1/2pNp3/2P5/1P1PPNP1/PB2QPBP/2R2RK1 b - -,f6d5
4rk2/pQpq4/3p2pp/8/5P2/2P3P1/PP2R1KP/8 w - -,e2e8
6r1/2k2p2/2p4p/p2pP1p1/5PRP/P3P3/5KP1/8 b - -,c7d7
8/5pk1/8/5p1p/2R4P/4P1P1/4PK2/r7 b - -,g7g6
5k2/6pp/4p1N1/p3r3/8/P3P2P/5PK1/R7 b - -,h7g6
r5Bk/pp5p/2pp4/8/2P2b2/2P5/P1Q3PP/7K b - -,h8g8
4rnk1/p3p2p/3p2p1/1p2r3/8/2P1q1N1/PP5Q/1K1R2R1 w - -,d1f1
r2qkb1r/pp1n1ppp/2p1pn2/8/3P4/2N1BQ1P/PPP2PP1/2KR1B1R w kq -,c1b1:g2g4
r1b2rk1/pp2q1pp/2pb4/4pp2/2P1P3/P3BBP1/1P2QP1P/R4RK1 w - f6,c4c5
4Rrk1/1p1b1pp1/2pq1n2/2nP3p/p1P2N1P/P4NP1/1PQ3B1/5RK1 b - -,f8e8
r1bq1rk1/1p1n1pbp/p1p3p1/4p3/3PP3/2N2N1P/PP3PP1/R1BQR1K1 w - e6,d4d5
b2br1k1/r5p1/3p1p1p/p1p4P/2PpP1P1/1P1B1P2/P2B1K2/3RR3 w - -,e1e2
3r2k1/1p1r1ppp/p1p5/4PNq1/3PR1PQ/4R3/PP6/7K b - -,g5h4
2r5/4k3/p1p1bpB1/4p3/P5P1/2P2P2/2P5/1R4K1 b - -,e6d5
8/p4kp1/2q2p2/8/1QP5/P7/6KP/8 w - -,g2f2
r2q1rk1/5ppp/p2bpn2/2pp4/1p1n1PP1/1P1PN2Q/PBP3BP/R3KR2 b Q -,a6a5
2R5/1NRn2k1/pP2B1pp/P6q/3r4/8/5PP1/6K1 w - -,c7d7
2kr3r/ppp3p1/4p3/4B2p/nq6/4P2P/P2NBPP1/3R1RK1 w - -,d1c1
2kr3r/1bq5/p3pn1p/1pp1b1p1/P3P3/2N3B1/1PB1QPPP/R4RK1 b - a3,b5b4
r3r2k/1N2qpp1/p1Q2n1p/1p1p1B2/1PnP4/4P1P1/P4PP1/1RR3K1 w - -,b7c5
r1bq1rk1/ppp1bpp1/2n4p/3pP1n1/3P4/1Q1B1N2/P4PPP/R1B1RNK1 w - -,d3b1
r4rk1/1b2bpp1/pq1ppn1p/1p6/2n1P1P1/PNNR3P/1PP1QPB1/2B1R1K1 w - -,h3h4
3r2k1/R4ppp/1p2p3/8/1P6/5P2/1Pqr2PP/R3Q1K1 w - -,e1f1
3qb1k1/6pp/1pBr4/2p1pp2/2P5/Q2P3P/1P3PP1/3R2K1 w - -,c6e8
r1b2rk1/pp2ppbp/5np1/1N6/3nq3/2P5/PP2BPPP/R1BQ1RK1 w - -,b5d4
8/1rb2p2/8/8/2K1Nk1R/5P2/8/8 b - -,f4f3
8/7k/1p4p1/p7/P3QP2/5P2/3q1K2/8 w - -,f2g3
r2qk2r/pp2n1bp/2npb1p1/4p3/3PPp2/4B1P1/PP1NNPBP/R2Q1RK1 w kq -,e3f4
4r3/pR4b1/5pnk/3P1Kp1/3B3p/6P1/PP5P/8 w - -,b7a7
r2qr1k1/ppp1n1pp/5p2/n2p3b/P2P4/B1PB1N1P/2P2PP1/R2QR1K1 w - -,g2g4
r2r2k1/2q1bppp/p1n5/1p3R2/2n1N3/P1N1B3/1PP3PP/1R2Q2K b - -,c7d7
r5k1/1p2bqp1/pBn1r2p/4p3/2P1NpPP/5P2/PP2Q1K1/R6R b - -,c6d4
r4r1k/1p1QR3/6p1/p2B2Pp/2P5/1P4q1/8/4R1K1 w - -,d5g2
1r4k1/3nppb1/3p2pp/qPpP4/4P2B/1BP2N1P/1P3PP1/2R1R1K1 b - -,a5b5
r2q1rk1/1b1nbp1p/ppnpp1p1/8/2P1PP2/1NNBB2Q/PP4PP/3R1RK1 b - -,f8e8
r1b1qrk1/pp4pp/n1p1p3/3pPpb1/2PP4/1PN1P1P1/PB4BP/2RQ1RK1 w - -,f1f3
r1bqk1nr/pp2p1bp/2p2np1/3p1PB1/3P4/2N2P2/PPPQ2PP/2KR1BNR b kq -,c8f5
1rb2rk1/p3npbp/2n1p1p1/q2pP3/1ppP1PPN/2N1B3/PPPQ2BP/R4RK1 w - -,c3e2
r1bq1rk1/pp2nppp/1bn5/1B1p4/5B2/1NP5/PP2NPPP/R2Q1RK1 b - -,c8f5
rq1r2k1/pp2bppp/4bn2/3p2B1/8/P1NQPP2/1P2N1PP/3R1R1K w - -,e2f4
5N2/8/p4kPR/1pp2b1P/r7/5K2/8/8 b - -,f5g4
4b3/pNk2p2/6p1/1P1p2p1/P7/2P2P1P/r5PK/3R4 w - -,b7c5
r1bq1rk1/pp2bppp/2n1pn2/3p4/5B2/1NPBPN2/PP3PPP/R2QK2R b KQ -,f8e8
r1bqkb1r/pp1npppp/2np4/1B6/3QP3/2N2N2/PPP2PPP/R1B1K2R w KQkq -,d4c4:b5c6
1r6/4p1k1/5b1p/p5p1/8/2P1PBP1/PP1R1PP1/6K1 w - a6,a2a4
rn1qkb1r/pp3ppb/2p1pn1p/3p4/4P3/3P2P1/PPPN1PBP/RNBQ1RK1 w kq -,d1e2
8/5kpp/2p5/3p4/1P6/P3rPP1/8/R6K b - -,e3f3
rnbqk1nr/p3bppp/1pp1p3/8/4N3/3P1NP1/PPP2PBP/R1BQK2R b KQkq -,g8f6
6k1/2p2p1p/1p3p2/p2B4/2P5/1P4P1/P2r1P1P/4R1K1 b - -,d2a2
rn1qk2r/ppp2ppp/5b2/3p1b2/3P4/1QN1P3/PP3PPP/R3KBNR b KQkq -,b8d7
8/5p2/4p1k1/1R2P1p1/8/5PK1/4r3/8 b - -,e2e1
r4rk1/1bq2pbp/p2p1np1/P1pPn3/2N5/2N5/1P2BPPP/R1BQ1RK1 w - -,c4e3
rn2kb1r/1bq2p1p/pn2p1p1/3pP1P1/1p1N1P2/1P5P/P1P1N1B1/R1BQ1R1K b kq -,b8d7
3r1bk1/1p3r1p/pPp2pp1/4p3/4P1P1/4BP1P/PP2K3/3R4 w - -,d1d8
7k/pp6/7p/2P5/P3pq2/2R5/1P2B2P/4K3 w - -,a4a5
r2qr1k1/1p3pp1/p3bn1p/2bp4/8/2NB1N1P/PPPQ1PP1/R3R1K1 w - -,c3e2
r1b2rk1/1pq1bpp1/p6p/3Bp3/4P3/PN6/1PP1Q1PP/R4RK1 b - -,c8d7
1k1r2r1/1p3p2/2b1p3/p3P3/2n2P1P/3BBqP1/2P1K3/1R3Q2 w - -,f1f3
r3k2r/1p1b2q1/p1nbpp2/6pp/3PQ2P/P4NP1/1P2NKP1/2R2B1R b kq -,g5g4
rnbq1rk1/pp3ppp/2p1pn2/b2p4/1PPP4/P1N1P1P1/4NP1P/R1BQKB1R b KQ b3,a5c7
1r4k1/r1q2ppp/3p1n2/p1p5/R2pPP2/1B1P2PP/QPP5/5RK1 w - -,f1a1
4r1k1/2R2p1p/p5pQ/1p1q4/7P/1P6/5PP1/6K1 w - -,c7c3
rn1qr1k1/pp3pb1/3pb2p/2p1n1P1/2P1P2B/2NB4/PP1QN1PP/R4RK1 b - -,e5d3
q5k1/r4pp1/2pQn2p/1p6/1Pp1P2P/2B2RP1/5PK1/8 b - -,a8c8
8/p1k3b1/P1n3r1/1BPRpp1p/4p2P/6P1/3B1PK1/8 w - h6,g2f1
r4B1k/pp2pP2/2npq1b1/4P3/3Q4/2N5/PPP3P1/R3K3 w Q -,d4h4
8/5B1p/6p1/4k3/1r2P2P/5K2/6P1/8 w - -,h4h5
r7/1b1n1pk1/ppp1r2p/3pPQ2/P3n2B/2pB2P1/1PP3PP/R5K1 w - -,b2c3
r4rk1/pp2p3/4bbp1/3p1p2/3P1B2/4PN2/PPP3P1/R3K2R w KQ -,e1d2
8/p3Npk1/4n2p/2p3pP/8/P4RP1/1P1r1P2/5K2 b - -,g5g4
r4rk1/pppqbpp1/2n1b2p/3np3/8/P1NP1NP1/1P1BPPBP/R2Q1RK1 w - -,a1c1
8/1p3k2/p4ppp/3P4/1Bn1PKPP/P7/8/8 w - -,g4g5
r3k2r/pp1nbpp1/2p2n2/q2p2Bp/3P1N1P/2NQPP2/PP4P1/2KR3R b kq -,e8c8
3r1rk1/pp5p/2ppb1q1/4b3/2P1NpP1/PP3P2/3Q2BP/2RR2K1 b - -,h7h5
rnbqkb1r/ppp3p1/4pB1p/3p1p2/3P4/3BPN2/PPP2PPP/RN1QK2R b KQkq -,d8f6
6k1/2R2pp1/1P4n1/8/4K2P/4PP2/1r6/8 w - -,b6b7
rnbq1rk1/pp2bppp/3p1n2/2pPp3/2P1P3/2N5/PP2BPPP/R1BQK1NR w KQ -,g1f3
r5k1/5pp1/2pq1n2/1p3P1p/rP2RPP1/1QP3KP/8/1B2R3 w - -,e4d4
r1bq1rk1/ppp2pbp/1n4p1/4p3/3nN3/3P1NP1/PP1BPPBP/2RQ1RK1 b - -,f8e8
3r4/6pk/1b1pp2p/2q1p3/4P3/pPPQ1P2/P5PP/KN1R4 w - -,b3b4
r4rk1/pbnqppbp/1pn3p1/2ppP3/3P4/2P1BNP1/PP3PBP/R2QRNK1 b - -,c5d4
2r5/5pk1/pRN1pb2/8/P5P1/5K2/8/2n5 b - -,c1b3
4r3/p3k2p/1p2Pb2/2p5/2P3P1/4R3/P1KN3P/8 w - -,e3h3
3r2k1/p2r1ppp/1p2pnn1/8/3P4/P2BQNP1/1P3P1P/6K1 w - -,d3b5
8/p3k1pp/1p6/2n1P3/P1b5/2R4P/6PK/8 b - -,c4d3
8/pp2kp1p/6p1/2r1P3/5PP1/P3K3/3R4/8 w - -,d2h2
r5k1/1p1r1ppp/2p5/5n2/5P2/PR2B1PP/5KB1/8 w - -,e3c5
3r1b2/1p3p1k/bPp1p1pp/2N1P3/3PP3/r6P/1R3BP1/2R3K1 w - -,c5a6
6k1/pp1n2p1/4p2p/3p1p1b/3P4/bP2P1PP/r2B1PB1/1N2R1K1 w - -,b1a3
3rr1k1/ppqnbpp1/2p2n1p/4p3/2P1P3/3P1BPP/PBQ1NP2/2R1R1K1 b - -,e7b4
3r2k1/pp3pp1/5n1p/q3p3/4P3/PbNB2PP/1P3P2/1QR3K1 w - -,d3c2
6k1/5p2/2r1p1pp/PpR5/8/P7/5PPP/1R3K2 b - -,c6c5
1k1r3r/pbpq1pb1/1p2pn1p/6p1/3P2P1/2PBN1N1/PPQ2PP1/1K1R3R b - -,h8e8
3k3r/1b6/p3qp1p/n3p1pQ/Pp1pB3/1n3PB1/1P1N2PP/4R1K1 w - -,d2b3
7r/8/3k1p1p/1R6/3PPKPp/8/8/8 b - -,h8a8
6R1/8/2p5/1b1pPk2/1P4p1/2P5/4rBK1/8 b - -,e2e5
r1b4k/pp1nb1pp/1q2p3/3pP3/1P1n3P/P2B1P2/4N3/R1BQK2R w KQ -,c1e3
4rq2/bppb1pk1/p1np2pp/3P4/5N2/2Q2N1P/PP3PP1/1B2R1K1 b - -,c6e5
1k1r1b1r/ppq4p/2n1b3/1N4p1/P4p2/4N1P1/2Q1PPBP/R1R3K1 b - -,c7f7
rn1qk2r/4ppbp/b2p1np1/2pP4/4PP2/2N2N2/PP4PP/R1BQKB1R b KQkq e3,a6f1
2r3k1/p4pbp/3p4/2p2bp1/2PP4/1N2r1PP/P3BK2/2R4R b - -,c8e8
3q1rk1/2p1nppp/5b2/4p2P/1PppP3/1B1P1QP1/5P2/2B1R1K1 w - -,b3c4
r1b2k2/ppb1q2p/5pp1/3B4/2N2P2/Q3P3/P4P1P/1R4K1 b - -,e7a3
6k1/3r1p2/R3n2p/1p2Q1pP/1Pp1P3/6P1/3q1PK1/8 b - -,c4c3
8/4pp2/3p1n1p/2pP1Pk1/1pP3P1/1P1N2K1/3bB3/8 w - -,e2f3
8/7k/7P/8/Pp1ppN2/1P4P1/5q1K/1Q1b4 w - -,h2h3
r2q1rk1/p1pb1ppp/2p5/2bpP3/3Nn3/2P1B3/PP3PPP/RN1Q1RK1 b - -,d8e7
r3k1nr/3b1pb1/p2q2p1/1pp1P3/B1Pp4/8/PP2Q1PP/RNB2RK1 b kq -,d6e5
1rq2n1k/5pb1/pp2B1p1/2p1P2p/5P1P/BP4P1/P1Q3K1/3RR3 b - -,f8e6
r3kb1r/pp1npp2/1np1q2p/4P3/2pP1R2/2N5/PP2B1PP/R1BQ2K1 w kq -,e2g4
8/5pkp/1R4p1/1P2p3/4P3/5P1P/1r4P1/5K2 b - -,g7h6
8/5pk1/2p4p/4nP2/2P1P3/R4K2/p7/8 w - -,f3f4
3rkb1r/B1p1nppp/8/8/8/P4B2/RP3PPP/1Nn1K2R w Kk -,a2a1
1r1q4/p1p2pkp/3prNp1/2p1P3/2Pn1PP1/1P5P/P2Q2K1/4RR2 b - -,e6f6
r2qk2r/1p1nbppp/p2p1n2/4pP2/4P3/1PN5/1PP1B1PP/R1BQK2R w KQkq -,c1e3
2rr1k2/5p2/p3p3/qp1b4/8/3B1P2/P1P3PP/1KQR3R w - -,c1b2
3r4/5k1p/8/p4n2/PppP2N1/6P1/1P3P1P/4R1K1 b - -,f5d4
q5k1/1b2r1pn/3r1p2/p1b1pP2/PpPpP2B/1P1R2NP/2P3BK/4Q1R1 b - -,e7f7
1r1qk2r/ppp1bppp/3p1n2/3Pp2b/1PP1n3/2Q1PN1P/P2N1PP1/R1B1KB1R w KQk -,d2e4
8/6bP/3k1p2/3n1B2/3P1P2/4p3/4N1K1/8 w - -,g2f3
5q1k/6p1/4Q2p/3BP2P/1b3P2/6PK/8/8 w - -,h3g4
1bb2rk1/pp4n1/3p2q1/P2P1ppp/1P1BPp2/1QNB1P2/2R3PP/6K1 w - -,c3e2
4rb1k/5q2/p1p1rn1n/P3p1pp/1PN1Pp2/2B2B1P/3RQPP1/3R2K1 w - -,g2g4
8/p3rpbk/1pR1r1p1/PP5p/3p4/3B2P1/2R1PP1P/5K2 b - -,b6a5
3r4/6kp/R2P4/P7/8/1b6/2p2P1K/4R3 w - -,f2f3
5rk1/pp3ppp/5b2/4q3/2QpP3/3P2PB/PP3R1P/6K1 b - -,g7g6
r2q1rk1/pb1nbppp/1pp2n2/3p4/3P1B2/1QN2NP1/PP2PPBP/2R2RK1 b - -,f6h5
2r2rk1/1b2qpp1/pp1p3p/4p3/1P2PP2/6RP/P2Q2P1/1B1R2K1 w - -,f4f5
r2q1rk1/pbp1bppp/np3n2/3pN3/3P4/2N3P1/PP1BPPBP/2RQ1RK1 b - -,c7c5
3r3k/1p2pq1p/2n5/3b2Q1/3bNP2/8/1P4BP/2B1R2K w - -,g5g4
r1b2rk1/pp1n2pp/2n2q2/1B1p4/3Np3/2P3B1/P1P1QPPP/R4RK1 b - -,c6d4
3r1rk1/1p2n1p1/pN1pbn2/4p1Pp/1NP1Pp2/5P2/PP1KB2P/R6R b - -,f6d7
r3r1k1/pp1n1ppp/2p5/5b2/2P5/P3B3/1P2BPPP/R3K2R w KQ -,e1g1
8/pR4pk/5b2/2r3p1/3p4/P4KP1/1P1B1P1P/8 b - -,h7g6
r1b1r1k1/pp1n1pbp/1qpp1np1/8/2PNP3/2N3PP/PP3PB1/R1BQR1K1 w - -,e1e2:d4c2
r1bqkbnr/1p1p1ppp/p1n1p3/8/3NP3/8/PPP1BPPP/RNBQ1RK1 b kq -,f8c5
r4rk1/1p1q1pb1/2ppbnnp/4p1p1/1PP1P1P1/3PBN1P/4NPBK/1R1Q1R2 b - -,e6g4
6k1/2p3p1/3p3p/1p2p3/1Pp1P2P/r4P2/2PK2P1/3R4 b - -,g8f7
8/5P2/7b/3k3p/3p3P/3K4/8/8 w - -,d3e2
rn1q1rk1/p3bppp/b3p3/3nN3/PppP4/5B2/1P1N1PPP/R1BQR1K1 b - -,d8c7
2r3k1/p3qpp1/1p1R3p/8/2b1PB1P/5PP1/P2Q3K/8 b - -,c4e6
k6r/p2rq1p1/1pn4p/3pPP1P/2nP2P1/P2Q1RBK/P7/4R3 w - -,g3h4
8/8/4p3/4P2p/5P1P/R7/1r3k1K/8 w - -,a3g3
8/R6p/6k1/8/1P6/2p2P2/P4PK1/2r5 w - -,a7c7
3r4/p7/1p4b1/2p1p1k1/2P5/2P1K3/P3BPP1/2R5 w - -,c1d1
6k1/p3pp1p/6p1/4n3/4B3/1rP1P3/5PPP/2R2K2 w - -,f1e2
5bkn/3b1p2/p6p/P1p1p1pP/1pPnP3/1N2BPP1/1PB4K/4N3 w - -,e3d4
rn1qk2r/pbppnpbp/1p2p1p1/8/2PPP3/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
1r3rk1/2npb1pp/bqp1p3/p3Pp2/2P2P2/P4Q2/1P1BBNPP/R4RK1 b - -,b6b2
8/r6k/5K1p/5P2/3R2P1/8/8/8 w - -,d4e4
5Qbk/6p1/4qr2/3p4/1B1Pp2P/1P2p3/4N2P/6K1 w - -,f8b8
8/8/1b2k3/4p1Np/8/5KP1/8/8 b - -,e6d5
8/p2rb3/4k3/P3Bp2/1P3Pp1/3p4/3R1P2/2K5 w - -,d2b2
3Rr1k1/1bp2ppp/p1n5/4P3/P3NB1P/1n6/1P3PP1/1B3RK1 b - -,e8d8
8/2r4p/r4nk1/1R4p1/1pP5/4PB2/3R1K1P/8 b - -,c7c4
8/1p4kp/1ppr2p1/5b2/1R3P2/6P1/PP4BP/6K1 b - -,c6c5
8/5pk1/5p1p/P2N4/4P3/P5P1/7r/5K2 b - -,h2a2
4r1k1/pppbr2p/3p4/2nPbpP1/2P4P/2N2Pq1/PP1QBKN1/3R2R1 w - -,f2f1
6k1/5p2/6p1/4n2p/4P2P/2q2PP1/4Q1BK/8 b - -,g8g7
1qr3k1/p5pp/1pr1p3/2pp1p2/3P1P2/2P1P2P/PP3QP1/2R2RK1 w - -,f2h4
5bk1/3n1p1p/2b1p1p1/2ppP1P1/q4P2/4PBNQ/r6P/B4R1K w - -,a1c3
3K4/7p/R1B2kp1/5p2/7P/2r3P1/8/8 w - -,c6d5
6k1/5ppp/2r2b2/1p6/2P1r3/1P2PN2/2R2KPP/3R4 w - -,f3d4
r3k2r/ppp1bbpp/8/n3P3/n1Pq2P1/2N1BN1P/PP6/2KR1B1R w kq -,e3d4
2rr1k2/p2p1ppp/1p1Rpn2/8/2P5/1P2PB2/P4PPP/3R2K1 w - -,h2h4
3q1rk1/5pbp/pp1p2p1/2rb4/P2pN3/1P1B4/2PQRPPP/3R2K1 b - -,c5c7
6k1/3nppbp/3p2p1/3P4/4PP2/2N2BPP/PB3q2/2Q4K b - -,f2f3
r2q3k/5r1p/pp1pR1p1/2pPnpPn/2P5/P1NB1P2/1PQ4P/2K3R1 w - -,d3e2
r1bqkb1r/pppnppp1/7p/6B1/3Pp3/8/PPPNPPPP/R2QKB1R w KQkq -,g5h4
8/p1k2R1p/6p1/8/2pN1P2/2PbK1P1/7r/8 b - -,c7b6
8/R4p1p/4k1p1/p7/6P1/7P/5P2/1r3K2 w - -,f1g2
8/8/1pk5/4RP2/3P4/2n3K1/8/8 b - -,c3d5
r1q1r1k1/1b2b1pp/p1p2p2/PpPn4/1PnNN3/6P1/2QB1PBP/3R1RK1 w - -,f1e1
8/8/5K1p/3B4/7P/3Q2P1/1k1n4/4q3 b - -,h6h5
2kr3r/1pp3p1/p1p1bpn1/2b5/4P2p/P1N4P/1PP1NPPB/3RK2R w K -,e1g1
r1b1r3/pp2qpkp/2p3p1/P2n4/4R3/6PP/1PP1NPB1/3Q1RK1 b - -,c8e6
r2k4/p2P4/1pR1p2p/1P1pNp2/3P1Pnp/7K/1P4P1/8 w - -,c6e6
4q1k1/2p2pbn/1p1p2pp/3Pp3/bQP1P3/8/1B1NNPPP/6K1 b - -,f7f5
rq2b1k1/1pn1Rpb1/7p/p1r3p1/3N4/PP4PP/1B2QP2/4RBK1 w - -,f1g2
8/p7/6B1/2pbp1kP/8/1P3P2/P3K3/8 w - -,e2e3
r3k2r/p1qnbp2/1pn1p1pp/3pP2P/2pP1NQ1/2P2N2/PP3PP1/R1B2RK1 b kq -,g6g5
8/8/7p/4pp2/1bk5/pN2KP1P/P7/8 w - -,b3c1
r1b2rk1/2q2pp1/2p1pn2/p1N3Qp/8/2P2N2/PP3PPP/3R1RK1 w - -,d1d2
1r5k/7p/5rp1/4p3/1N1n1n2/P1RB1P2/7P/5R1K w - -,d3e4
2r1r1k1/p4ppp/5n2/q1N1b3/N1Q5/3R1P1P/1PR3P1/1K6 b - -,e5g3
