8/1r4pk/R6p/8/p1r2B1P/P5PK/8/8 w - -,f4d6
2r5/pp2k1pp/3Rp3/4Pp2/2P2P2/r7/P1RK2PP/8 b - -,c8c5
2rq1rk1/1p2bppp/p3b3/3p4/Q2B4/6P1/PP2PPBP/2R2RK1 w - -,e2e3
5k2/2R2pp1/4p2p/8/6P1/r4P2/5KP1/8 b - -,g7g6
1rbq1rk1/1p2ppbp/p1np1np1/6B1/P3P3/1NN5/1PP1BPPP/R2QR1K1 b - -,c8e6
r2R1rk1/pp2pp1p/1nn3p1/5b2/4Q3/2P2NP1/P3PPBP/R1B3K1 b - -,f5e4
r4rk1/1b1nqppp/p1p1p3/3pP3/2P2P2/3B4/PP2N1PP/R2Q1R1K b - c3,f7f6
r1r3k1/3n1pbp/q3p1p1/p2p4/1p3P2/2PQB3/PP3NPP/1RR3K1 b - -,a6d3
r3kb1r/ppqbpppp/n4n2/3P4/3P4/1QN5/PP3PPP/R1B1KBNR b KQkq d3,e7e6
r2qr1k1/1ppn1ppp/1b4n1/p2pP3/P2P2P1/1Q3N1P/1P1N1P2/R1B1R1K1 w - -,d2f1
rnbqk1nr/pp2ppbp/2p3p1/3pP3/3P1P2/2N5/PPP3PP/R1BQKBNR b KQkq -,d8b6:e7e6:h7h5:g8h6
8/3N1pk1/6p1/1r1p3p/3P3P/4PKP1/5P2/8 b - -,f7f6
4r1k1/1Q3pp1/8/p3q1p1/P7/6P1/1P3P1P/3R2K1 b - -,g5g4
1r4k1/3R1p2/1ppN4/p5p1/P1P5/4b1P1/2P4P/7K w - -,g3g4
rn3rk1/1pp1q2p/4N1p1/3b1p2/p4P2/2P5/P4BPP/R2QK2R w KQ -,d1d5
r4k1r/pp3pb1/2qpp1pn/2p4p/1nP1NP2/PPN1P1PP/1B1PQ1K1/1R3R2 w - -,a3b4
2rr3k/pp2q1pp/n1b1pp2/8/P1PP4/1Q2PB2/5PPP/1RR1N1K1 w - -,f3c6
rn1qk2r/p1pb1ppp/1p1bpn2/3p4/3P1B2/3BPQ2/PPPN1PPP/R3K1NR b KQkq -,b8c6
4r2k/6p1/5pq1/7p/8/4B1P1/PQ3P1P/2R3K1 b - -,h5h4
rn1qk2r/p3bppp/1p2p3/2Pb4/8/5NP1/PP2PPBP/R1BQ1RK1 b kq -,e7c5
5rk1/p1r1p1b1/4b1qp/Pp2Ppp1/1PpB1P2/4P1P1/4Q1BP/2RR2K1 b - -,h6h5
3r1rb1/p6k/1n4pp/1NpP4/4pP2/PP1P3B/7P/4R1RK b - -,e4d3
1k1r4/1pp2Rp1/p1b5/4q3/6QP/2N5/PKP5/8 w - -,g4g7
r1bbqrk1/pp1p2pp/3ppn2/1Nn2p2/2P5/2N3P1/PP2PPBP/R1BQK2R w KQ -,b5d6
r2qkb1r/1p1bpppp/p4n2/n2p4/3P1B2/2NBP3/PPQ2PPP/R3K1NR b KQkq -,e7e6
r2r2k1/pp3pp1/2p2q1p/P2n4/3N4/2P3Q1/5PPP/3R1RK1 b - -,d8e8
r1b1r1k1/ppq2pbp/2pp1np1/4n3/P3P3/2N1B2P/1PPNBPP1/R2Q1RK1 w - -,f2f4
2r3k1/5pp1/4p2p/8/P2q4/1Rp4P/P1Q2PP1/6K1 w - -,b3a3
5rk1/1q3np1/r1N1Qn1p/1p6/7B/b3PP2/6PP/2RR2K1 w - -,h4f6
5q1k/8/6Pb/2p1QB2/3p4/p2P4/5P2/5K2 b - -,h6g7
4r1k1/1pR3p1/p5p1/3R1pn1/3P2Pb/1P1K1P1P/1P1Br1B1/8 w - -,f3f4
1r6/5kp1/p1np1p1p/5P2/1p1P2P1/4P3/1P4P1/1BR3K1 b - -,c6e7
1rq1r1k1/2pb1ppp/3p4/pp1Pn1b1/3N4/2P3P1/PPQNRPBP/R5K1 w - -,f2f4
r2rnnk1/ppq2pbp/2pp2p1/3P4/2P1PB2/2N4P/PP1QB1P1/R4RK1 w - -,e2d3
rnbqkb1r/1p2pp1p/p1p2np1/3p4/2PP4/4PN2/PP1B1PPP/RN1QKB1R w KQkq -,b1c3
8/4k3/8/1p3n1P/1N6/8/2P5/6K1 b - -,f5e3
3r2k1/bB3ppp/p3q3/4n3/8/BP2P1P1/P4PQ1/5RK1 w - -,g2e4
6k1/1b6/p3n3/Pp1pPppp/1P2pP2/2B1P1PP/5K2/5N2 w - -,f1d2
8/3R4/k1N5/2pP2K1/8/6P1/r2n4/1q6 b - -,c5c4
1r1q1rk1/pp1bppbp/3p1npB/n7/3NP2P/1BN2P2/PPPQ2P1/R3K2R b KQ -,b7b5
8/5p2/4pNnP/1k1pP1p1/2pP4/2P1K1P1/5P2/8 w - -,h6h7
2b1r1k1/p5p1/4p3/qrNp2P1/1P4n1/P1Q2N2/5PP1/2R1R1K1 b - -,a5c7
4r1k1/1pp2ppp/3p3r/p3qb2/2P5/PP2PBP1/2Q2P1P/3R1RK1 w - -,c2d2
3r2k1/p1q2pp1/1p2pn1p/8/2P5/1P2Q2P/P3NPP1/2R3K1 b - -,f6d7
r1br2k1/1pq1bppp/p2pp3/2n3P1/3NP2P/4BP2/PPP2Q2/2KR1B1R b - -,d6d5
2rr2k1/pb2qppp/1pnb4/3p4/1P1P4/P2B1N2/1B2QPPP/2R2RK1 w - -,e2d1
4k3/R7/1r6/5K2/4P3/8/8/8 b - -,b6c6
4n1k1/p4ppp/1p6/3br3/4pBP1/1P5P/P3PPB1/3R2K1 b - -,d5b3
r2q1rk1/ppp1p1bp/1n2b1p1/3nPp2/3P1N2/2N1BP2/PP1Q2PP/1K1R1B1R b - -,d5f4
4rq1k/2Q1b2p/2p2n2/p3pNp1/P5P1/1B1R4/1rP2PP1/4R1K1 b - -,f6g4
2rq1r1k/pp4pp/2nQ1b2/2p5/2N5/P2PP3/1P3PBP/3RB1K1 b - -,b7b5
rq2R1k1/3b1ppp/1p3n2/3p4/p2p1P2/P4P2/1PQBN1PP/R6K b - -,b8e8
1qr1n1k1/p1r2pbp/b1Pp4/1N2nPB1/P7/1N3B2/4Q1PP/2RR2K1 w - -,b3d4
b5k1/4qpbp/6p1/1pp1N3/1P1P4/1BP4P/4QpP1/6K1 w - -,g1f2
r2qr1k1/1b3pbp/3p2p1/pPn5/1pPpPP2/3P2N1/2BB2PP/1R1QR1K1 b - f3,b7c8
4r2k/p6p/2p3p1/5p2/2Bn4/P1R5/1P3PPP/5K2 b - -,h8g7
8/1k6/1p2R3/6r1/2K5/2B5/5b2/8 w - -,e6e7
3rrb2/2q2pk1/p2p2pp/2pNp3/2P5/3R1QP1/PP2PPKP/3R4 b - -,c7b8
8/5n2/8/2Kb4/4k3/8/8/B7 w - -,a1b2
3q1rk1/1bp2pp1/r2p1n1p/4p3/1p1PP3/5Q1P/BPP2PP1/RN2R1K1 b - -,e5d4
5rk1/5ppp/Q2pp3/6q1/2Pnb1N1/2R4P/Pr3BP1/4R2K b - -,b2f2
3r3k/R6p/1p1p2p1/3B1b2/1P3P1P/8/5P2/6K1 w - -,a7b7
r3kbnr/pp3ppp/4p3/3pPb2/3N4/2N5/PqP1BPPP/R3QRK1 b kq -,f8b4
2br2k1/2q3pp/1n2pb2/1Pp2p2/2P5/5N2/2QN1PPP/4RBK1 w - -,d2b3
2r3k1/1pq3bp/6p1/p3pr2/P1bB4/2N3P1/1PPQ3P/R2R2K1 w - -,d4e3
r1b3k1/pp3ppp/2n2n2/3p4/6P1/2N1rP2/PPP4P/2KR1BNR w - -,g4g5
6k1/pp2r2r/3p3Q/3Pp2p/2q4P/5PP1/PP4K1/4RR2 w - -,h6d6
2r3k1/6bp/b3p1p1/q7/pp2P3/4B3/P4PP1/1R1Q2KR b - -,a6c4
1r1r2k1/pp1q1nbp/2p1ppp1/3p4/2PP1P2/BP2P1PB/P2Q3P/2R1R1K1 b - -,f6f5
r5k1/2p2pp1/2P4p/2RPP2n/3Q4/8/6PP/4qBK1 w - -,d5d6
2R5/5kp1/6Rp/pp2r1nP/1b4K1/1P2P3/P3B3/8 w - -,e2f3
2rr2k1/1b1nbppp/pp6/2pN4/3P4/BP2P1P1/P4PBP/2RR2K1 b - -,b7d5
r5k1/1pq2r1p/2p3p1/p4P2/6Q1/1Pb3P1/P5BP/3R1RK1 b - -,c7b6
r5k1/pp4qp/2p3p1/2n1rb2/2P1N3/1P2R1P1/P3QPBP/4R1K1 b - -,f5e4
r1bqnrk1/p4ppp/1n2p3/bP1p2P1/P7/1Q3NN1/3PPP1P/R1B1KB1R w KQ -,f1g2
r1bqk1nr/pp3p2/3p2pb/2pPp1Np/4P2P/P2P4/1P2BPP1/R1BQK2R b KQkq -,f7f6
2b2rk1/4R1pp/3p4/2q2p1Q/1pP2P2/1P6/6KP/5R2 b - -,c8b7
6k1/1p1b2p1/1q1p3p/p2P2r1/P1P1Qp2/1P3P1P/1RB2P2/5K2 w - -,e4f4
5k2/5p2/4pQ2/1p5p/4p2P/4P1P1/1P2qPK1/8 w - h6,b2b3
8/6b1/4k1p1/p2p2P1/Nn2nP2/7B/1P2K3/4B3 b - -,e6d6
5r2/8/1B1k3p/1n6/2p1K3/p1P5/7P/6R1 b - -,b5c3
R7/P5k1/6P1/8/8/r4p2/5K2/8 w - -,f2g3
r4rk1/1p1nbppp/1pn1p3/1N1p1b2/8/3PBNP1/PP2PPBP/R4RK1 w - -,a2a3
8/r3p2p/6p1/4R3/2K2P2/5k1P/8/8 w - -,e5b5
8/1R3pk1/3p3p/2b3p1/1p1qP3/6r1/4QPP1/5RK1 w - -,f1d1
r1bqk1nr/pp1p3p/2n1P1p1/2p2p2/Q1P5/2P5/P3PPPP/R1B1KBNR w KQkq -,e6d7
1k1r3r/p1q1n3/1p1p1pp1/2pPp2p/1P2PP2/2P1B1P1/7P/R2R1QK1 b - f3,e7c8
r2q1rk1/1p3ppp/p1n2nb1/2Ppp1B1/8/3BPP2/PP2N1PP/2RQ1RK1 b - -,h7h6
r3k2r/3q1nb1/p1pB3p/3bP1pB/P1p5/2P1Q3/5PPP/R4RK1 b kq -,g7f8
1br1k1r1/1p2np2/p1b1pBpp/8/3N1P2/PBP3P1/1PP4P/1K1RR3 b - -,e7d5
1r1qk2r/pp1bppbp/2np1np1/2p5/4P3/2NPB1PP/PPP1NPB1/R2Q1RK1 b k -,e8g8
7r/2b5/2B1k3/8/P1K5/3R3P/8/8 w - -,c6d7
8/5ppk/4p3/5n1p/5P1P/2R3P1/4R1K1/1r6 b - -,h7g6
rn1q1rk1/1p3pbp/p2p1np1/2pP2B1/2P3b1/2N2N2/PP2BPPP/R2Q1RK1 w - -,h2h3
2rq1rk1/1p1nppbp/p2pb1p1/3Nn3/2P1P3/1N2BP2/PP1QB1PP/2R2RK1 b - -,f7f5
5r2/1p5Q/2p1k3/p4bqP/P2B2p1/1PP5/8/4R1K1 b - -,e6d5
r1bqk2r/pp3pp1/2p2n2/2b4p/4p3/1pP3P1/P2PPPBP/RNBQ1RK1 w kq -,a2b3
rq3rk1/3nbppp/b2p4/pN2p3/P3P3/3QBN2/1P1R1PPP/4R1K1 b - -,f8c8
r4rk1/1bqnbp1p/p1p1p1p1/3pP3/5P2/2NB3Q/PPPB2PP/4RRK1 w - -,f4f5
r2qk2r/1pp2ppp/p1pb1n2/4p3/4P1b1/3P1N2/PPPN1PPP/R1BQK2R w KQkq -,b2b3
r4r1k/1q1n1ppB/7p/pppP4/3b4/P7/1PQ2PPP/R1BR2K1 w - -,h7e4
3rr1k1/5p1p/2pqb1p1/p2p2Q1/7P/1PPB4/P4PP1/3RR1K1 b - -,d6e7
8/8/8/8/5pk1/p7/P4RK1/2r5 w - -,f2d2
2r5/3k4/4p3/p5P1/3bBPKP/2nP4/2R5/2R5 w - -,f4f5
4r1k1/1pp1qpp1/pb1p1n1p/3P4/bP1P1R2/P2QNBPP/7K/6B1 w - -,e3f5
r2q1rk1/p2npp2/1p4p1/2p3p1/5P2/2Q3P1/PPP3KP/R1BR4 b - -,d8c7
r3r3/1p1n1pkp/p2p2p1/2pPb1Pn/P1P1R2q/1PN2Q1P/2BB1PK1/5R2 b - -,e5f4
3r1r1k/pp5p/n1npN3/4qp2/8/1B2P1PP/P1R4K/3Q1R2 w - -,e6d8
8/4q1k1/1p4P1/2p5/2P5/1K1Q3P/8/8 b - -,g7h6
r3k1nr/p1p3pp/2pppq2/2b5/4P3/5Q2/PPPN1PPP/R1B1K2R w KQkq -,d2b3
3r1rk1/1pp2ppp/p3q1n1/2pN4/4PPn1/2P5/PPQN2PP/R4R1K b - -,c7c6
2rr2k1/5ppp/1p2pn2/p7/NqPP4/1P1Q2PP/5PK1/3RR3 b - -,b6b5
2b5/4k3/5p1p/4p1pP/2PpP1P1/3B1P2/1P5K/8 w - -,b2b4
r1bqk2r/1pp2ppp/3p1n2/8/1pPQ4/6P1/PP2PPBP/RN3RK1 w kq -,f1d1
r1bq2k1/ppr3bN/2n1ppB1/4P3/2pP4/4B3/PP3PPP/2RQ1RK1 w - -,h7f6
r4rk1/1pqb2pp/p3p3/2p2p2/2P2P2/1P1P2N1/PQ4PP/R4RK1 b - -,d7c6
r1bq1rk1/ppp1p1bp/3p2p1/2nP1pB1/2PN4/2P3P1/P1Q1PPBP/R4RK1 b - -,a7a6
2q1kb2/1b3ppr/p2pp3/7P/1r1BPP2/2N3R1/1PP1Q3/2KR4 w - -,g3d3
r1bq1rk1/pp1nbppp/2p1pn2/2Pp4/1P1P1P2/P1N1P1N1/6PP/R1BQKB1R b KQ f3,b7b6
5N2/5Pkp/p5p1/4p3/3R1n2/5B1P/r4PPK/8 w - e6,d4f4
3n4/1p4k1/2r3p1/p3p1q1/2N1P2p/1P5P/P3Q1P1/3R2K1 b - -,b7b5
8/5pbp/1npk2p1/1p6/2pPr3/P1P1P1P1/1PK1RP1P/4R3 w - -,b2b3
r3kb1r/p4ppp/n1n1p3/1pppP3/3P4/PNP2N2/1P3PPP/R1B2RK1 w kq b6,c1e3
4r1k1/5q1p/p5p1/8/1P1Qp3/P2b2PB/7P/4R1K1 w - -,h3g2
8/5k2/1p2p1pp/pN3p2/2Pr1P1P/P3R3/3nKP2/8 b - -,d4d7
2br4/3rkpp1/2pp4/p5p1/P1B1P1P1/3R3P/1PP2P2/3R2K1 b - -,c8b7
8/4k2p/1b3Pp1/8/1pB2PPP/1Nn2K2/8/8 b - -,e7f6
8/1kp2r1p/1p2Rp2/3r2p1/2n1N1P1/2P2P2/5K2/R7 w - -,e6f6
3r2k1/p1r1ppbp/1n1n2p1/R7/2pPq3/2P2N2/2Q1BPPP/R1B3K1 w - -,c2d1
2r5/1p3pkp/p3b1p1/2r5/3RP3/2P3R1/PKP1B1PP/8 w - -,h2h3
r1bq1rk1/pp2ppbp/5np1/n2P4/3N4/1BN1B3/PPP2PPP/R2QK2R w KQ -,e1g1
6q1/8/3p1kpQ/2pPp2P/1pP1P1P1/1P3K2/8/8 b - -,g8g7
rnbqkb1r/pp1p1ppp/2p2n2/8/2P1p3/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f3d4:f3g5
rnb1k1nr/pp1pppbp/6p1/q1P5/4P3/2N5/PPPB1PPP/R2QKBNR b KQkq -,a5c5
r4rk1/pbpnq3/3ppn1p/5pp1/2NP4/2QBPP1P/PP3BP1/1K1R3R b - -,a8b8
6k1/p1q1pp2/6p1/1QR4p/3r3P/6P1/1P2PP2/6K1 b - -,c7d7
1b2rr1k/1ppqn1p1/2np2bp/pN6/2P2pP1/PP1P3P/1B1Q1PBK/R4RN1 w - -,d3d4
1k1r3r/1ppq2p1/p1np1b1p/4pP2/2B3P1/2P1B3/PPPQ3P/1K1R3R b - -,d7e7
2kr1b1r/pp3ppp/2p1pn2/8/3P4/2P3PP/PP3PB1/R1B1R1K1 b - -,f8e7
rr4k1/4qppp/p1N1p3/B2n1b2/2NP4/1Q6/PP3PPb/R1R3K1 w - -,g1f1
4kb1r/p5pp/2p2p2/4p3/q1PN2b1/8/P2Q1KPP/1R6 w k e6,b1b8
6r1/2q2b1k/4pPpP/3pP1P1/2p2Q2/2P1R1K1/1r2B3/7R w - -,e2f3
1r1qk2r/1p1bn1bp/p2p1pp1/4pP2/3pP1P1/2P1BR1P/PP2N1B1/R2Q2K1 w k -,c3d4
b4rk1/p4ppp/4p3/1p1pP3/5P1q/1P2Q3/P1P2RRP/7K b - -,d5d4
2r2rk1/1nqb1pb1/p2p2pp/PppPp3/1P2P1n1/1BP2NN1/3B1PPP/R2QR1K1 b - -,f7f5
3RR3/6k1/1q1p2p1/3P4/4p1p1/2b3P1/5PK1/3B4 w - -,d1g4
r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NP2P1/1P2PPBP/1RBQNRK1 b - -,c8e6
8/5pk1/4pqp1/4N2p/3P1P2/6PP/2p3K1/4Q3 w - -,e5d3
7k/r6P/8/5p1R/8/6P1/6K1/8 w - -,g2h3
r2q1rk1/pp3p1p/2n1bp2/2b5/3p4/2N2NP1/PP2PPBP/2RQ1RK1 w - -,c3e4
r1b1r1k1/pp2qpp1/2p2n1p/3p4/3P4/2QBPN2/PP3PPP/4RRK1 b - -,f6e4
rn1q3r/3b1pk1/2p3p1/p1Pp4/Nn1P2pP/5P2/1P1QB3/2KR2NR b - -,h8h4
r2qk2r/pp1bbppp/2npp3/4P3/2BP4/2B2N2/PP3PPP/R2Q1RK1 b kq -,d6d5
5rk1/p1n4p/1b2p1qP/3pP3/Q2P1P2/4K2B/P7/5R2 w - -,a4d7
3rr3/1p2b1kp/p1pp1p1n/7p/2P1PP2/1P3KP1/PB1R1N2/7R b - -,h6g4
8/pp3p2/6k1/7p/1P3P1n/PK6/4N3/8 b - -,h4f5
1rb2rk1/p4pp1/1p1qp2p/3nN3/P2P2Q1/1BPR4/5PPP/R5K1 b - -,f7f5
r7/p5k1/4R2p/4qnp1/Npp2n2/8/PP3PP1/1B4K1 w - -,e6e5
3r4/4k2p/6pb/pp1BpP2/4P1P1/1P1K4/P6P/3R4 b - -,g6f5
2r1r1k1/nq1b1p2/p4np1/1pPPp2p/7P/4BPN1/P2QBNP1/3R2K1 b - -,f6d5
r6k/P1r3pp/8/8/2p5/2N2P1P/6P1/R5K1 w - -,a1a4
8/8/6p1/3kPpBp/pb3P1P/3K2P1/P7/8 w - -,d3e2
8/p2pkp2/1p2p3/2r1P2p/3N1P2/P1Pb2P1/1K4R1/8 w - h6,g2h2
r1bq1rk1/pp1nbpp1/4p2p/2p5/2BP4/2P1PNB1/P1Q2PPP/R4RK1 b - -,d7b6
r1bqkb1r/p1p2ppp/2pp4/2n1P3/8/3B4/PPP2PPP/RNBQR1K1 b kq -,c8e6
2kr1b1r/1ppn1pp1/p5q1/5N1p/8/4BB1P/PPP2PP1/R1Q2RK1 b - -,g6f5
r3r1k1/3n1ppn/p1p2b2/1pPp2pP/3P2P1/1PN2P2/1P3B2/1K1R1B1R b - -,h7f8
5b2/1b6/1B5p/5k1P/2PNpp2/8/5K2/8 b - -,f5g4
1q1r2k1/5pp1/p6p/4p1b1/1Pp1PN2/P3Q1P1/2N4P/1R4K1 w - -,b1f1
5rk1/3bbppp/p2p4/Nrn5/3pPPP1/Q2P4/5NKP/R7 w - -,g2f3
4r1k1/pp3ppp/1qp2b2/4P3/1P3BQ1/P5P1/5P1P/2R3K1 b - -,f6d8
r1b2rk1/p4pbp/1p2p1p1/2pnq1B1/4N3/P1P3P1/1P2QPBP/R3R1K1 w - -,e2c2
8/8/4k3/8/Q3p3/2P2q2/1K6/8 b - -,e4e3
8/2kn4/1p6/4p3/Q1P1Bp2/1P3P2/PK6/6q1 b - -,g1d4
3rr1k1/1p3bq1/2pn4/5p2/p2N4/P1Q2PP1/1P3K2/2RR1B2 b - -,g7h6:f7d5
r1bq1rk1/pp3pbp/2p3p1/7P/3p3P/2NP1N2/PP3PQ1/R1B1K2R b KQ -,d4c3
N1k4r/pp3ppp/2n1pq2/8/1bPP4/5BPb/PP3K1P/R1BQ3R b - -,c6d4
r4rk1/ppqbbppp/2p1pn2/8/2NP4/2NBP3/PP3PPP/2RQ1RK1 w - -,c4e5
r1bq1rk1/pppnppbp/3p1np1/8/3P1B2/4PN1P/PPPN1PP1/R2QKB1R w KQ -,c2c3:f1e2
4r1k1/p4q1p/1p3p2/n2r2p1/1B1N4/P4NP1/1PQ2P1P/2R3K1 b - -,f7d7
4R3/8/pr4p1/8/P2pp2P/3k4/5P2/5K2 b - -,b6c6
1qrbn1k1/r4p2/pp1pbnp1/3Np1Bp/1PP1P2P/PB3QP1/5P1N/3RR1K1 b - -,f6d5
3r1r2/p6p/1p2p1k1/2p2pp1/2Pq2P1/3P2NP/PP2QP2/3R2K1 b - -,f5g4
r2qk1nr/pp1n1pbp/3pp1p1/2p5/2PPP3/2N2N2/PP3PPP/R1BQK2R w KQkq -,e1g1
4r1k1/n2N2pp/p1pbp3/B7/2P3P1/4PP2/P3K2P/7R w - -,c4c5
1k1r4/ppp2p1r/4p3/1Pb4q/2P1Q3/5N1P/P5P1/3R1R1K b - -,h7h8
8/3B4/3p4/2bP2k1/ppP1Kp2/1P6/8/8 w - -,b3a4
r1k3r1/2p2p1p/p1p2Bp1/8/Np2PPb1/7P/PPPb2P1/1K2RR2 b - -,d2e1
r2r2k1/pb2bp1p/1p2p1p1/8/nP3N2/P3P3/1B2BPPP/3R1RK1 w - -,b2d4
1r2q1k1/1p4bp/p1p1pr2/2Pp1p2/3P4/4P2R/PPQ3PP/4BRK1 b - -,f6g6
6k1/3n1rn1/1p3p2/1P1NpP2/2Q5/q3b3/7P/3R2RK w - -,d5e3
8/4kb2/7r/6R1/5K2/P5P1/8/8 w - -,a3a4
r2q1rk1/pb2bppp/1pnppn2/2p5/3P4/P1PBPN2/1P1N1PPP/R1BQR1K1 w - -,e3e4
rnbq1rk1/p3ppbp/1p3np1/1Ppp4/2PP4/4PN2/PB1N1PPP/R2QKB1R b KQ c3,b8d7
r1q1r1k1/1b1n1pp1/p2Bp2p/1p6/8/2PB4/PPQ2PPP/3RR1K1 b - -,d7c5
4r1k1/1pb2pp1/5n2/p1P1q2p/1PQ1p3/1BP1N1PP/P4P2/3R2K1 b - -,e8f8
r4rk1/pb3ppp/1pq1p3/8/2pP1Q1P/P1P2P2/2B3P1/R4RK1 b - -,a8d8
r5k1/5ppp/7q/3p1p2/3PbP2/r1R1B1P1/3Q2KP/4R3 w - -,g2g1
r4q1k/1p4r1/p3RP1p/7p/P4Q2/7P/1PP3PK/8 w - -,f6g7
r3rn2/6kp/2NBnpp1/1pp5/1P6/2P5/5PPP/3RR1K1 b - -,c5b4
2r1k2r/p3bpp1/q1p1p3/3pP2b/P2N1R2/2R2N1P/5PP1/2Q3K1 b k -,c6c5
4rr1k/2pb2b1/pp1p3p/2nPpp1q/2PN1B2/P1N1P2P/1PQ2PP1/2KR3R w - e6,d5e6
3r4/pBn1kppp/2P1p3/3r4/R5P1/1N5P/P4PK1/8 b - -,a7a6
6k1/4pp1p/3p4/2nP4/4Pp2/2P3P1/3N2KP/8 w - -,g3f4
r4r2/1pp1k1n1/n2p2R1/pN1Pp1p1/2P1P3/4K3/PP2B1P1/7R b - -,f8f7
rnbq1rk1/1p2npbp/p2pp1p1/2pP4/P1P1P3/3B1N1P/1P3PP1/RNBQ1RK1 b - a3,e6e5
rnbk1q1r/pp4p1/2p1N2p/3BP2Q/3p4/P7/1P3PPP/R1B2RK1 b - -,c8e6
rn3rk1/p4ppp/1pp5/3p4/3Pq3/1P2PNP1/P1Q1KP1P/2R4R b - -,e4e6
1r2r1k1/2p2bpp/8/4p3/4PP2/b2P1BP1/1N5P/2Q3K1 b - -,a3b2
