r7/P7/3P4/5k2/8/R3P1K1/8/8 b - -,f5e6
3k4/3p3p/P4Rp1/1pK3P1/1Pb1R2P/3r4/8/8 b - -,d8c7
rn1qk1nr/pp3ppp/3p4/2pPp3/2P1P3/5B2/PP3PPP/RNQ2RK1 b kq -,g8e7
2r2rk1/5pp1/1q1p1b1p/5P2/p1bpP2P/6P1/1P1R1Q2/1KN1RB2 w - -,f1c4
2r1qrk1/3bb1p1/p3p3/1p1p1p1p/3P4/1QPBRPB1/P2N2PP/5RK1 b - -,f5f4
r2qr1k1/ppn2pb1/2ppbnp1/6Bp/1PPNP3/2N5/P3BPPP/1R1Q1RK1 b - -,d8c8
1r3rk1/p2q1pb1/1n1p2pp/2p1p3/6b1/PP1P1NP1/2QBPPBP/1R3RK1 w - -,g1h1
r1b1k2r/pp1n2pp/1qn1p3/2ppP3/3P3b/P1PQ4/1PB1N1PP/RNB1K2R w KQkq -,g2g3
8/R7/6k1/2b2p2/5r2/4K3/5P2/8 w - -,e3f4
r3k2r/pp3p2/4p1pp/1b1pP2P/3P4/P3B3/2PK1PP1/R6R b kq -,g6g5
2r3k1/5p1p/p1Ppp1p1/1B4N1/8/P6P/3r1PP1/4R1K1 w - -,b5a6
r3kb1r/pp1q1ppp/2n1p3/8/Q2P2b1/2N1PN2/PP2B1PP/R4RK1 b kq -,f8d6
r4rk1/ppp1qppp/2n2n2/3pP3/2P2B2/2P1P2P/P4PP1/2RQKB1R b K -,c6e5
8/2K2pk1/4p1p1/3r4/6P1/8/Q7/8 w - -,a2b2
r4rk1/1bqnbppp/pp3n2/2p1p3/P3P2N/2PB4/1P1NQPPP/R1B1R1K1 b - -,g7g6
5rk1/1b2q1b1/pp2p2p/n1p3p1/P3PPn1/N1P1B1P1/1P2N1B1/2QR2K1 w - -,e3f2
2r3k1/3N1pp1/7p/pp6/8/P1P1R2P/5PP1/1b4K1 b - -,b1f5
3q1bk1/5pp1/4b2p/1pp1QNn1/4P1P1/2P4P/1PB2PK1/2r1R3 w - -,e1c1
8/8/3k2p1/R4b1p/2p2r2/3p4/8/3BK3 b - -,c4c3
2br1b1k/5p1p/2p1pP2/4B3/2qp1PQ1/8/6PP/3R1R1K w - -,g4h5
1r2r1k1/5p1p/4p1p1/2bnP3/4R3/pP6/2P1BPPP/1KN4R w - -,e4c4
8/1pkn1pp1/p1p1nbp1/2Ppp3/1P1P2PR/2BBPP2/1P2N1K1/8 b - -,f6h4
r5k1/p1q1n3/1p3r1p/3pp3/PQp5/2P3P1/2P2PBP/3R1RK1 b - -,e5e4
r3rn2/1p3kp1/2pb1pp1/1p1p2P1/2nP1P1P/P2BP3/1P1BNK2/6RR w - -,d2c1
rnbq1rk1/ppp1ppbp/1n4p1/8/2BPP3/2N2N2/PP3PPP/R1BQ1RK1 w - -,c4e2
3r4/5k1p/b3p1p1/pNq2p2/P4P2/1nPPQ1P1/5RBP/7K w - -,d3d4
2q2rk1/pb1r1pbp/1pnPp1p1/2p1P2P/2P1BB2/P4N2/1PQ3P1/3R1RK1 w - -,h5g6
2r2k2/5ppp/2BRp1n1/p1P5/5P2/1r4P1/4P2P/2R3K1 w - -,c6e4
rn3rk1/pp2bppp/1qp2n2/3p1b2/8/2NP1NP1/PPQ1PPBP/R1B2RK1 b - -,b8d7:b8a6:h7h6
8/P4k2/r2Rn1p1/2B1ppb1/1pP5/6KP/6P1/8 b - -,a6a3
6R1/pppk4/3b4/6P1/r7/5K2/3B4/8 b - -,d7e7
r1bqk2r/p5bp/2np1n2/5pp1/3Pp3/2N1PPP1/P2N2BP/R1BQ1RK1 b kq -,d6d5
r2qr1k1/2p2pp1/np5p/p2n4/3P4/P3PP2/2N3PP/R1BQ1RK1 w - -,e3e4
rnbq1rk1/1pp2pbp/p2p1np1/4p3/1PP5/2NP1NP1/P3PPBP/1RBQK2R b K -,c7c6
6k1/2pb1p1p/p2b2p1/3Pp3/1r6/6PP/P1R2P2/2R2BK1 b - -,b4d4
6k1/4qpp1/p1P5/P3p2P/1r1rb1R1/2Q4P/6B1/2R3K1 b - -,e4f5
2r3k1/7p/p1p3p1/1pPb4/P2N4/2PBr3/1P4PP/3R2K1 w - -,g1f2
8/8/p2Bk3/4P1K1/1P6/8/8/5r2 w - -,g5g4
r3k2r/pp1n1ppp/1qpb1n2/3p1Q2/3P4/2N3P1/PP2PPBP/R1B1K2R w KQkq -,e2e3
rn2r1k1/p1q2ppp/bp1p1n2/3P4/P1p5/B1P3P1/4PPBP/R2QRNK1 b - -,b8d7
r2qkbnr/p1pp2pp/1pn1p3/8/3PQP2/5N2/PPP3PP/RNB1K2R b KQkq -,g8f6
r1b2rk1/1p3qpp/p3n3/2bpB3/3N4/P1QB4/1P3PPP/R4RK1 b - -,c5d4
r2qr1k1/pp3pbp/2p3p1/3b1p2/N2PnN2/1P2P1P1/P4PBP/1R1Q1RK1 w - -,d1c2
8/pp4k1/2r2p1p/8/5PP1/P6P/1PPKNn2/7R w - -,h1h2
r1b1q1k1/pppr2bp/2n2np1/3NpPN1/2P5/1P4P1/P4PBP/R1BQ1RK1 b - -,g6f5
3r2k1/pp2p2p/2p1P1p1/8/Q7/P1b1P1B1/4qPP1/5RK1 b - -,a7a5
4r1k1/p3q2p/6p1/3Pp3/6P1/4Q2P/P5B1/1R4K1 b - -,e7c7
1rbq1rk1/1p2ppbp/p1np1np1/2p5/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 w - -,c1e3:f2f4:a2a4
6k1/6p1/3pR2p/4P2P/8/5KP1/7r/8 b - -,d6e5
2r2rk1/2qn1pbp/p5p1/P3pP2/4R3/1N2B3/1PP3PP/3Q1RK1 w - -,c2c3
8/8/1p1r4/2p5/2P2k2/1K6/8/4R3 w - -,b3c3
4r1k1/1p3pb1/p1p5/3p1Rpp/1P1Pr1P1/2P3BK/5P2/7R b - -,h5g4
2r2rk1/1p1q1ppp/p4n2/P2p1b2/1Q1P1B2/8/1P3PPP/R3RBK1 b - -,f8e8
4r2k/p5pp/8/2b1BB2/5P2/4n1P1/4P1KP/2R5 w - -,g2f3
5rk1/pp1bb1pp/1q2p3/3pP2P/3QpP2/2N4R/PPP3P1/K2R4 b - -,b6d4
5k2/3b1n1Q/3p1q2/2pP1ppP/1pP2P2/1P3B2/3N1KP1/8 w - -,f4g5
rn2k2r/pp2qpp1/5n1p/3p4/3Pp3/2N2PPb/PP1QP1BP/R4RK1 w kq -,g2h3
8/7p/6k1/8/4r1P1/4P1RK/8/8 w - -,h3g2
8/8/8/2K5/2Q5/8/k7/q7 b - -,a2b1
r4k1r/1bqn1p1p/pp1ppnp1/5P2/2P1P3/1NNB4/PP2Q1PP/R2R3K b - -,f8g7
r4rk1/1ppb2bp/p2p2p1/3Pp3/2P1PpPq/3B1Pn1/PP1QNB2/2KR2R1 b - -,g3e2
2R5/1r1kbp2/p5q1/3pp3/P6p/1P2B1rP/6P1/2R2QK1 w - -,e3f2
r2q1rk1/pp2pp1p/6p1/3pbb2/8/1QP3P1/P3PPBP/R1BR2K1 w - -,c1h6
2r1rk2/1b3qpp/pn3p2/2pp4/4nN2/1P2P1P1/PBQ2PBP/2RR2K1 w - -,f2f3
rn2kb1r/pp2ppp1/1qp2n1p/3p4/3P3B/2NbP3/PPP2PPP/1R1QK1NR w Kkq -,d1d3
rn1q1rk1/pbpp1ppp/1p2p3/8/2PPn3/2b1PN2/PPQ1BPPP/R1B2RK1 w - -,b2c3
4r1k1/1pp2p1p/3p2p1/3P4/q2rN2P/5P2/1bPQ1P2/3R1K1R w - -,e4f6
3r1r1k/2R3p1/p6p/4np2/P3p1qP/4Q1P1/5PB1/2R3K1 w - -,c1f1
r1b5/pp3ppk/2pb4/4R3/2PN4/1P6/PB4PP/5RK1 b - -,d6e5
5nk1/4n1b1/p3p2p/1q1pPr1p/1p1P1P1N/1P1QB1N1/P6K/6R1 w - -,d3b5
4rrk1/p5pp/3qp1b1/1p1p4/2pPP3/2P2B2/PP2Q1PP/4RRK1 w - b6,a2a3
2kr3r/pp2ppbp/2q2np1/B1p5/2P1NPP1/5Q2/PP4P1/2KR3R w - -,d1d8
6k1/1p3ppp/2p1p3/2Nb4/3P1B2/2b1PP2/6PP/r4BK1 w - -,g1f2
4R3/7p/3b4/4Bp2/2k2Pn1/7r/4K3/8 b - -,h3e3
R1k5/6pp/2pr4/3n1p2/2B1rP2/4PKP1/7P/1R6 b - -,c8d7
5rk1/p5pp/8/1n1p4/2p1r3/P5P1/5PKP/1NR1R3 w - -,e1e4
r1b4r/4Rpk1/3R2p1/Pp1Np3/1P2P2P/1K6/7P/8 b - -,c8g4
r1r2bk1/5ppp/4pn2/p1qp4/3NP3/2P3B1/RP2QPPP/1R4K1 w - -,e4d5
8/p1r1k3/5p1p/P2KpB2/1P3p2/2PR1P1P/5bP1/8 w - -,c3c4
r3n1k1/pp3bpp/2p1np2/2Q1pN2/P3P3/NP4PP/2P2P2/R4BK1 b - -,e6c5
8/1p4bk/6p1/1P2p2p/4P3/4B2P/2Q3PK/q4B2 b - -,a1f1
4nk2/ppp3p1/5n2/4Q1B1/3P1P2/2P5/PP4P1/3q1BK1 w - -,c3c4
8/k1b4p/6p1/p1Ppp3/1r6/2K2PPP/8/R4B2 b - -,a7b7
r5k1/8/2p3p1/p1P4P/P7/2B2P2/qP1Q4/2K5 w - -,d2d4
r1b1r1k1/p4qbp/2p2pp1/2Bp1n2/3P4/1PNN1QP1/P1P4P/2K1RR2 w - -,e1e8
R7/4p1k1/P4p2/r1pp1P2/8/2K5/8/8 w - -,a6a7
1r4k1/5pbp/p3bnp1/q3p3/1p2P1P1/P2B3P/2PQ4/K1BR3R b - -,g7f8
2k5/3n4/p1pB1p2/5P2/1KP2P2/P7/8/8 w - -,c4c5
8/1p3p1p/2p1k1p1/p2p4/3P4/PP6/4KPPP/8 w - -,e2d3
r7/1r6/3k4/1B6/PRpKp1Np/5p1P/8/8 w - -,b4c4
8/1p1rppk1/p2p2pp/3Pn3/5N1P/1P4P1/P1R1PP2/6K1 w - -,c2c8
r1bqr1k1/1pp2pp1/1n3n1p/p1b1p3/P3P2N/2N4P/BPP1QPP1/R1B1R1K1 w - -,e1d1
r2q1r1k/1p1n2bp/p1ppbnp1/4pp2/PPP5/B1NPPNP1/2Q2PBP/1R3RK1 b - -,d6d5
rnbqkbnr/1p1p1ppp/p3p3/8/3N4/6P1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
2B5/5p2/P2n1k2/2R3pp/8/5P1P/r4P2/3K4 w - -,c8b7
5rk1/2R5/1p3rp1/p1p1B2p/2P5/6P1/2P2PKP/8 w - -,e5f6
8/1r5p/6p1/8/2k2NPP/2n3B1/8/4KB2 b - -,c4d4
6k1/5p2/3Bp1p1/4P1P1/p2r4/P4P2/8/5K2 b - -,d4f4
2r1q2r/p4kp1/2p1p1b1/1pP1BnP1/3P1PB1/P1P4Q/5K2/R4R2 w - -,h3f3
r6r/1b1q1kpp/p3pb2/3p3P/1pQ1P3/1N2BP2/1PP5/1K1R3R w - -,b3a5
r1q2rk1/pb2bppp/1p2pn2/2p5/2BPNB2/4PN2/PP2QPPP/R2R2K1 b - -,b7e4
1n1q1rk1/4bp1p/4p1p1/p2bN2n/Pp1PN3/3QBP2/1P4PP/1BR3K1 b - -,f7f5
8/6p1/1p3k1p/p1p1RP2/P1r5/3r3P/4RKP1/8 w - -,e5e6
5k2/p3p3/2p2q2/2PpNb2/3P4/P5Q1/1P1K1P2/8 w - -,g3f4
r5k1/pp1b1rpp/2pBp3/2Pn1p2/3Pp3/1P3PP1/1P2P1BP/2R1R1K1 b - -,e4f3
2rrb1k1/3nbp1p/ppn1p3/6p1/P1PP4/NN3B1P/5PP1/R2RB1K1 b - -,d7b8
2r1k2r/pp1n1p1p/3bpnp1/2qp3P/4P3/2N2B2/PPQB3P/1K1R1R2 w k -,e4d5
5R2/2B2R1p/p1r3k1/2p3p1/1n1p2P1/1P2b3/P1P4P/7K b - -,e3f4
8/8/5kp1/7p/7P/2r2B2/4N1PK/8 b - -,c3a3
rnb2r2/1pq1bppk/p2p1n1p/4p3/4P2N/1BNQB3/PPP2PPP/R4RK1 b - -,c8e6
4r1k1/4b2p/p3P1p1/5p2/Pp1q4/2rB3R/2P1Q1PP/5R1K w - -,f1f5
1r1q1rk1/pb2ppbp/1pn3p1/2pn4/P1N2P2/2PP1NPP/1P4B1/R1BQ1RK1 b - -,e7e6
8/r2k2p1/P2pp2p/3n4/3P3P/3B1K2/6P1/2R5 b - h3,d5b4
rnbqk2r/pp3ppp/3p1n2/2pPp3/2P1P3/2PB4/P4PPP/R1BQK1NR b KQkq -,b8d7
6r1/6P1/8/8/1p6/1P2K1R1/1k6/8 w - -,e3d4
7k/pp2N3/8/7p/4R1nP/1BP3b1/PPK2r2/8 w - -,c2d3
r4rk1/1b3ppp/p2pp3/q7/2P1n3/N1P1B3/nQ2BPPP/1R1R2K1 w - -,e3b6:b2a2
4r1k1/pbn3p1/1pp2qP1/3p4/3P3R/P2N4/1PQ2P2/1K4R1 b - -,f6h4
r1bqr1k1/ppp1npb1/5np1/3Pp1Bp/4P1P1/2N4P/PPP1N1B1/R2Q1RK1 b - -,h5g4
r2qkb1r/pp1n1ppp/4pn2/5b2/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c1g5
r3k2r/pp2nppp/n1pq4/3p1b2/3P3P/2N1P1N1/PP1Q1PP1/R3KB1R b KQkq -,a6c7
3r3k/4n1b1/p2p1N2/P1p1p3/6p1/1PPN2Pn/3B2KP/1R6 w - -,f6g4
3r1r1k/1pp2bpp/3q1p2/pPb1pP2/6PP/2P3Q1/P4P2/R1B1RBK1 w - -,f1e2
7k/p5bp/1p1n2p1/2p2pP1/5P2/2PB4/PP4KP/4B3 w - -,g2f3
6k1/4qp2/p2p1Rp1/2pPr1P1/2P1PQ2/6K1/P7/8 w - -,g3f3
4r1k1/2rq1pp1/p1p2n1p/Pp1p4/1P1P4/1N2P3/2Q2PPP/1R3RK1 w - -,b3c5
2rr2k1/1b3ppp/p3pn2/2q5/2N5/1P2Q3/P4PPP/RB2R1K1 w - -,e3h3
5r2/5pkp/6p1/pnPN4/1p5P/1P4P1/5K2/2R5 w - -,c5c6
6k1/6bp/p1Np4/1p1P1p2/n7/P1P1r2P/1P6/1KR2B2 w - -,c6b4
r1rq2k1/5pbp/p2np1p1/3p4/B2P1B2/2P2NPP/P4PK1/1RQ5 w - -,f3e5
8/4k1r1/2n5/p4Q2/1p3p2/7P/1P4P1/6K1 w - -,f5f4
6k1/1q3p2/6p1/p2P4/PbK1Q1P1/8/2B5/8 b - -,b7c8
r2q1rk1/pp2ppbp/3n2p1/3P4/4RB2/1Q3B1P/PP3PP1/3R2K1 w - -,e4e2
r2q1rk1/p4pbp/1pn1b1p1/2pn4/4Np2/2PP1QP1/PP3NBP/R1B2RK1 w - -,g3f4
r1bqkb1r/ppp2pp1/4pn1p/8/3P3B/8/PPP1BPPP/R2QK1NR b KQkq -,f8e7
2kr1b1r/ppp2ppp/5n2/8/1nP5/2N5/P3NPPP/R1B2RK1 b - -,h7h6
rn2kbnr/p4p1p/qpp1p1p1/3pP3/3P1B2/3R1N2/P1P2PPP/1RQN2K1 w kq -,d1e3
5b2/5pk1/3p2pp/2n1p3/1r2P3/2N2N1P/1P2RPP1/5K2 b - -,c5d3
r3k2r/ppqbppb1/2pp1n1p/2P3p1/3P4/1NN1P1n1/PPQ1BPPP/R3K2R w KQkq -,h2g3
6qk/p5P1/1p6/n1p3P1/4Q3/2P3PK/8/3R4 b - -,h8g7
5R2/pp1r3b/5k1p/4p1p1/8/3pKP2/PP1R4/8 b - -,f6e7:d7f7
r1q2r1k/4n1pp/1p3p2/pbp5/2Q1P3/P5P1/1P3PBP/3RR1K1 w - -,c4b5
4r1k1/pb3ppp/8/q7/1b1r4/1P1BP3/P2n1PPP/2RQR1K1 w - -,e3d4
r4rk1/pp4pp/3bp3/1P1bN1Nn/3P4/8/1P1BKP1P/2R3R1 w - -,f2f3
6k1/4R1p1/1pr3p1/p3p3/P5p1/1P2PK1P/5P2/8 w - -,h3g4
8/p4p2/1p2bkp1/8/3rBP1p/P4P1P/1PR3K1/8 w - -,g2f2
1k1r3r/ppp1np2/4q3/2Pp3p/3PpPpR/1P4P1/P2Q1PK1/R2N4 w - -,d1e3
3r4/p3pp1k/1p2b3/2p1PNb1/2P3P1/1P3N2/P3R1K1/8 b - -,h7g6
r1bq1rk1/1pp1bpp1/n2p1n1p/p2Pp3/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,a2a3
6k1/1p2qpb1/p3b2p/P1nR4/QP2pPp1/2r3P1/4PNBP/6K1 w - -,d5c5
r4rk1/2p1qppp/p1npbn2/1p2p3/P3P3/2PPPN2/1P1B2PP/RB1Q1RK1 w - b6,d2e1
2b1r1k1/3p1pp1/3B3p/pp2P3/8/1B1r1N2/P1R2KPP/1R6 w - -,b1c1
1r4k1/pq2p1b1/1n1p1rpp/2p2P2/2P3P1/1P1QB1NP/P7/2R2RK1 b - -,g6g5
6rb/7k/4PN2/pp3P1p/1P2Q3/7P/5q2/2R1R2K b - -,h8f6
6k1/6r1/p1q1p3/2pb4/2pbNP2/pn3QP1/1P2R2P/1R3N1K w - -,b2a3
r1b1nrk1/2q2pp1/pp2p2p/3pP3/P1BQ1P2/4B2P/1PP3P1/R3R1K1 b - -,d5c4
r3r1k1/pnpqb1pp/1p6/3Ppp2/1PP5/P5N1/3PQPPP/R1B2RK1 b - -,a7a5
rn1q1rk1/pb2ppbp/1p1p1np1/2p5/3PPB2/3B1N1P/PPPN1PP1/R2Q1RK1 w - c6,c2c3
2r2qk1/1p1brp2/p2b1npp/3Pp3/PP3n1N/1QN4P/2BB1PP1/1R2R1K1 w - -,b4b5
r1bq1rk1/pp2n3/6pb/2ppp2p/3P3P/2P1N1P1/PP1QNPB1/2R2RK1 b - -,c5d4
8/5k1p/3q1b2/6p1/4Q3/4B1P1/5PKP/8 b - -,f7g7
2q2b2/1p3pk1/p1n1r2p/3Np1p1/4P1P1/P3BQ2/1P1R1PP1/6K1 w - -,f3d1
1rbq1rk1/4ppbp/p2p1np1/nppP4/2P2B2/2NQ1NP1/PP2PPBP/R3R1K1 w - b6,c4b5
