5k2/2R1N1bp/8/8/4KP2/7P/1r6/8 w - -,e7f5
4rbk1/5pp1/2p4p/2pn1P2/p2p4/1P4BP/PqPQ1PP1/2NR2K1 w - -,b3a4
r5kB/ppp2p1p/2qp2p1/8/2P1rPb1/2Q5/PP4PP/R4RK1 b - -,f7f6
r1bq1rk1/ppn2pb1/3ppnpp/2pP2B1/2P1P3/2NB1N1P/PP3PP1/R2Q1RK1 w - -,g5e3
r2qk1nr/pp3p2/2npb1p1/2pNp3/2P1P2p/2NP2PP/PP3PB1/2RQK2R w Kkq -,g3g4
3b4/1p4p1/p1p1k2p/4P3/P2PK3/2B5/1P5P/8 b - -,d8h4
1rb2r2/2q3k1/2p2bpp/1p2p1p1/4PnPP/1B3Q2/1PP1NP1B/3RR1K1 w - -,h2f4
1rbq1rk1/pp3pbp/2n1p1p1/2ppP3/5P2/2NP1N2/PPP2QPP/R1B2RK1 b - -,b7b6
7k/1p5p/6P1/3qPR2/p7/P3p3/1PR5/4K3 w - -,f5f7
r4rk1/1b2bppp/p2qpn2/8/1n1P4/2NBBN1P/1P2QPP1/3R1RK1 w - -,d3b1
5k2/5p1p/2N2bp1/1r1q4/2QP4/6P1/5P1P/2R3K1 b - -,d5c4
6k1/pp1n1p1p/6p1/2Pp2P1/1P2R3/2Q3Pq/P7/5RK1 b - -,d5e4
2kn1rr1/p3bp1p/1p2p3/q2pP1P1/2pP2PP/P1P5/2PBQ1N1/1R3RK1 b - -,c8b7
r1b2rk1/pp4q1/2pp1n2/3PppQn/2P5/2N2N1P/PP2BPP1/R4RK1 b - -,h5f4
7r/3bk3/3bpr2/3p1P2/pp1P4/3BRpPp/PP2N2K/7R w - -,e3f3
r1bq1rk1/pppp1pp1/2n2n1p/1Bb1p3/4P1P1/P1NP1N2/1PP2P1P/R1BQK2R w KQ -,c3a4
4r1k1/p1r1pp1p/1p1p2p1/3P1P2/1qP3n1/3Q2P1/P3RPBP/2R3K1 w - -,f5g6
8/5pk1/1p4p1/1Qp4p/2P4P/2q3P1/5PK1/8 w - -,b5c6
2rq1rk1/3bb1p1/2pnp2p/pp1pNp2/2PP4/1P4P1/PBQ1PPBP/2RR2K1 b - -,e7f6
2r2rk1/pn1q1pb1/1p1pp1pp/1Pp5/P1P1P1n1/2NP1NP1/2QB1PKP/1R2R3 b - -,f7f5
r4n1k/1p2q1p1/pBnR1p1p/P1P2B1P/2Q1PP2/6P1/8/6K1 w - -,g1g2
6k1/R4p2/1b2p1p1/4Pn1p/5P1P/1r4P1/5BK1/3N4 w - -,a7b7
1k5r/1p3Q2/p1qPp3/4P2p/7P/P2p1RP1/5PK1/8 w - -,f7f4
8/2R2pk1/p1n3p1/1p1b1pNp/P1n4P/3B4/1PP3P1/2K5 b - -,c6e5
2b2rk1/4ppbp/2B3p1/p7/8/1r2Q2P/q2B1PP1/2R2RK1 w - -,e3g5
2r3r1/4kp2/ppq1p3/3p3p/1Pn1N3/P3PP2/4Q1PP/2R2RK1 w - -,e4c3
6k1/3n1pp1/ppq1p2p/1p2P3/1Pr2P2/P3QNP1/3RPK1P/8 b - -,c4c3
6k1/7p/p1q3p1/2r2p2/3Q4/2n1P1P1/P4P1P/2R1R1K1 w - -,c1c2
rnbqk2r/ppp1bp2/3pp1pp/3nP1B1/2BP3P/5N2/PPP2PP1/RN1QK2R w KQkq -,g5c1
4nk2/8/5PBp/pp6/2p2p1P/P3p3/1P2K3/8 w - -,g6e4
3r4/6bk/5n2/1p4p1/2p3N1/2P2N2/1P2KPP1/R7 w - -,f3g5
r1r3k1/4bppp/p3pn2/Np1bn3/1P6/P3P3/1B2BPPP/2RR2K1 w - -,b2e5
r1bq3r/5kpp/p3np2/1pbp4/5P2/1BNP4/P1P2QPP/R1B2RK1 w - -,c1e3
1n6/p1b3pk/2P1p2p/3rpb1q/2Q1N3/BP2PPP1/P2P1R1P/2R2K2 w - -,c4b4
4r1k1/1p3pp1/1p3q1p/3p4/1P2bP2/P3P1PK/7P/2RQR3 w - -,g3g4
r3r1k1/1p1n4/2pNqn1p/p1P1p1p1/P3Pp2/1P3N1P/2Q2PP1/3RR1K1 b - -,e8b8
3q1k1r/pp1n1p1p/2pQ2p1/5P1n/3P4/2NB3P/PPPK4/4R3 b - -,f8g7
8/3K4/2Q5/8/1p6/1P5k/P1q5/8 b - -,c2a2
2bqk2r/2pn1n1p/5pp1/2bPp3/8/2NBBN2/5PPP/1Q2R1K1 w kq -,e3c5
r1b2rk1/ppq1bppp/2n1pn2/2pp4/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - -,f1e1
r4rk1/1bq2ppp/p2pp1n1/8/1pPbP3/1P6/P2QNPPP/2R1RBK1 w - -,e2d4
r4rk1/p1p2p2/3pbqp1/2p4p/Q1P1P2P/1PbRB1P1/P4PB1/5RK1 b - h3,c3b2
8/8/2b5/2b2Np1/1Pp2kP1/7P/1P2K3/4N3 b - -,c5b4
3b1rk1/6pp/q2p4/p2rpP2/B1p5/2P3PP/PR2QPK1/R7 w - -,a4b5
8/R4p2/1KBp1kp1/3P3p/7r/8/2b5/8 b - -,h4f4
r3k2r/1b1nbp2/pq2p2p/1p2P2Q/3pN3/8/PPB2PPP/R3NRK1 w kq -,a1d1
3BR2Q/5r1p/p1kpq2p/1p1b1p2/1P3P2/4P3/6P1/6K1 b - -,e6g6
2rn3r/1pk1b1pp/pq2p3/R3P1P1/2Q5/5B2/3B3P/3R3K b - -,c7b8
8/p4p2/2kn2pp/2p3N1/5PP1/2K3P1/8/8 w - -,g5f3
2r1r3/3k1ppp/p4n2/1p1P4/bB2P3/3B1P2/PRp2KPP/2R5 w - -,a2a3
1rb2rk1/1pqnbppp/2pp1n2/p3p3/P2PP3/1PN2NPP/2P2PB1/R1BQR1K1 b - -,f8e8
8/2r2pk1/2P1p1p1/q3P2b/3Q3p/2RB3P/6PK/8 w - -,d3e4
k4qr1/1pQ4p/p2Rp3/P1p1Pbp1/BnP5/5PBP/1P4P1/6K1 b - -,f8c8
rn3rk1/1p2ppbp/2p3p1/8/1PP1n3/p1B2NP1/P3PPBP/R2R2K1 w - -,c3g7
r5k1/1bq2p1p/p2b2pB/1p2p3/2n1P3/1BP2N2/P3QPPP/2R3K1 b - -,a8d8
rq1r2k1/2pb1pbp/p1n2np1/1p2p3/P3P3/2P1BN2/1PBN1PPP/R2QR1K1 w - -,d1e2
1rb5/6r1/1p1b3k/2pBp1p1/2P1Pp2/2N5/1R3PPP/R5K1 b - -,g5g4
6k1/1R6/5P2/4P1bp/4KnP1/8/8/8 b - -,h5g4
6r1/1p1b4/3pNr2/p1pP2pk/P1PbPp1p/1P3P2/4B2R/3K3R w - -,e2f1
1rb1r2k/p2p1p1p/2pQ1Pp1/8/2P1PB2/2qB4/P5PP/2R3K1 b - -,c3b2
2r5/1p2kp1r/pq3p2/2b1pP2/3pQ1PP/P2B4/1PP1KP2/1R5R b - g3,c8g8
r5k1/pp3p1p/6p1/3p4/2P2N2/3Pr1P1/P2K1RBq/2R5 w - -,d2e3
rnb1qrk1/ppp2pbp/3p2p1/3Pp3/2P1Pn2/2N4P/PP2BPPN/R1BQK2R w KQ -,e2f3
R1b2r2/1p2q1k1/1Qp3p1/5p1p/7P/4P1P1/5PBK/8 w - -,a8a7
8/8/8/7P/8/2Q5/1p3q2/4k2K b - -,f2d2
8/2br4/1pk3n1/1R2pp2/1NP3p1/6P1/1P2KB1P/8 b - -,c6b7
5r1k/R1p1r1b1/2Rn2qp/1pBPp1p1/1Pn1PpB1/2N5/4QPPP/7K w - -,c6c7
8/1k6/1prnrp1p/3Rp1pP/p3P1P1/P1P1BK2/1P6/3R4 b - -,b7c7
r1b2rk1/3n4/p1p1pq1p/2Pp1p2/P2PnQ2/3B1N2/4NPPP/R4RK1 w - -,f4c7
6k1/p1p3pp/8/1Npp4/8/N1P2K1P/PP2r1r1/8 b - -,g2f2
r1bqkb1r/pppn1ppp/4pn2/8/Q1pPP3/5N2/PP1N1PPP/R1B1KB1R b KQkq e3,c7c5
r3bnk1/6p1/p1p2r1p/2p1qp1P/5N2/3P2P1/PPP2P2/R1B1R1K1 w - -,e1e5
8/2r1p2k/3pQqp1/p4r1p/5P2/1P4P1/P2R2KP/4R3 w - -,e6e3
2rr1k2/5p1p/3qpnp1/1pp5/p2P1P2/P1P1QNP1/1P4BP/5RK1 b - -,f6g4
r1b2rk1/ppqnppbp/3p1np1/2p5/P2PP3/2PB1N1P/1P3PP1/RNBQ1RK1 w - -,b1a3
8/2p5/2R5/pB2k1p1/P2b1p2/1r2nP1K/8/3R4 w - -,c6c7
6k1/7p/p4P2/P1pPb3/2N5/1p6/4r2P/5R1K w - -,f1b1
8/p7/2b2k1p/1p6/3p1PP1/P2B3P/8/2K5 b - f3,c6d7
r4rk1/pp1n1ppp/1qpb1n2/3pp3/4P3/1NPP1BPP/PP3P2/R1BQ1RK1 b - -,h7h6
8/8/R1Nr2pp/1Pbp1p2/5k2/3K3P/6P1/8 w - -,d3e2
4k2r/4bppp/pq2pn2/1pp1P1B1/8/6P1/PP2PPKP/RN1Q4 b k -,b6c6
r2qk2r/pp1n1ppp/3b1n2/3pp2b/2P5/3P1NPP/PP1N1PB1/R1BQ1RK1 b kq c3,e8g8
8/5pk1/2R2bp1/8/r7/4P1P1/3B1PK1/8 b - -,a4e4
8/p4N2/8/R7/1P3pk1/P3n3/2r5/1K6 b - -,c2c7
8/6pk/p3p3/8/2RP4/7P/r4PP1/6K1 w - -,c4c6
r4rk1/ppp5/2nnq1pb/3p1p1p/3P1P1P/P2BP3/1PQBNP2/2K3RR w - -,g1g6
4r2k/1rq3bp/pp1p2p1/2p1pp2/1PP5/P2PPQP1/3B1P1P/1R3RK1 w - -,e3e4
8/5k2/p2p1n2/1p2b3/3qP3/5B2/P3Q3/1Kq4R w - -,h1c1
1qr1rbk1/1b1n1pp1/p2ppn2/1p6/2P1P2Q/1PN1BP1B/P3N2P/2R3RK w - -,e3f4
5nk1/1pr2ppp/p2R1p2/8/5P2/3B2P1/PPP4P/2K5 w - -,d6d8
r1bqk2r/pp3npp/4p3/3pPp2/8/2NBP3/PP3PPP/R2Q1RK1 w kq -,d1a4
2r5/p1rnRpk1/1p1q2pp/3p4/3P4/P2B1PP1/1P2QKP1/4R3 w - -,e2d2
r3kbnr/pp3ppp/1qn1p3/2ppPb2/3P4/2N1BN2/PPP1BPPP/R2Q1RK1 b kq -,b6b2:c5c4
5rk1/pb2bppp/1prq1n2/2p5/1P1Pp2P/P3P1PB/1BQ2P2/2R1R1K1 w - -,d4c5
8/1Q5p/4rpk1/6b1/p3P3/P5B1/1Pb1K2P/8 w - -,e4e5
6k1/Q4pp1/1p2pn1q/8/5P2/P5B1/1Pr4P/4R1K1 b - -,c2b2
8/1PR3pp/6k1/8/3P4/2P2PK1/2n1R2P/1qb5 b - -,c1a3
r3k2r/4p2p/p1nq3R/3p4/2p5/2P2N2/PP1Q1PP1/R4K2 b kq -,d6d7
4rrk1/1bqn1pp1/p2b1n1p/1ppP4/7B/2NQ1N2/PP2BPPP/R2R2K1 w - -,e2f1
4r1k1/1p3pp1/p1p3rn/3p4/PP1Pq3/4P1PP/2R2Q1K/3R1N2 b - -,e4e7
r2q1rk1/p2n1pp1/1ppbp1np/3p4/P2P4/1QPN2P1/1P2PPNP/R1B2RK1 b - -,c6c5
2b5/1p3kbp/5pp1/1p1p4/1P1B4/4P3/P2N1PPP/5K2 b - -,c8f5
rnb1k1nr/pp1p1ppp/1q2p3/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R b KQkq -,b8c6
2n5/p1k5/8/3pPK2/2pP3p/2P5/3B4/2R3r1 b - -,g1c1
2R5/1p1r1kp1/2p4p/2n5/p3P1P1/2B2PKP/1P6/8 b - -,d7d3
rn3rk1/ppq1npbp/2pp2p1/4p3/2PPP3/2N1B1P1/PP2NPKP/2RQ1R2 w - -,b2b4
r2q1rk1/pb2bppp/1pn5/2pPP3/4p3/5NP1/PPQ2PBP/R1BR2K1 b - -,c6b4
3rr3/1bq2pkp/p1ppnnp1/1p2p1N1/P2PP3/2PB3P/1P1QNPP1/R3R1K1 b - -,d6d5
r1r3k1/pp4pp/2npbn2/Q4p2/1N1Pp3/4P1P1/PP1N1PBP/R1R3K1 b - -,c6a5
2r2rk1/1b1nbppp/pBq5/4pP2/Np2P3/3Q1B2/1PP1R1PP/R6K w - -,d3e3
1rb2rk1/ppp2ppp/2n1pn2/5q2/2pP4/2P2NP1/P3PPBP/RQB2RK1 w - -,c1a3
7k/5R2/1p1PB3/2p5/2PbKp1P/5p2/P4r2/8 b - -,f2e2
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4PP2/2PP1NP1/PP4BP/RNBQK2R b KQkq -,g8e7
5n1k/5B2/6p1/4p2p/4P2P/5P2/6K1/8 b - -,h8g7
r4rk1/1p3pp1/1R1Nq2p/1R2P1n1/p2P4/7P/P4QP1/6K1 w - -,h3h4
8/8/1p2k1b1/p1b1pp1p/2P1p2P/1PB1P1P1/P1B1K3/8 w - -,c3e1
1k1r3r/p1p5/1pn3qp/5pb1/2NP4/1NP1p1P1/PP2QP2/1K1R3R b - -,f5f4
r2q1rk1/pb3ppp/1p2pn2/2bp2B1/P7/2PBPN2/1P3PPP/R2QR1K1 b - a3,a7a5
r6k/p5p1/5b2/1P3R1p/3p4/3B3P/bP1K4/6R1 b - -,a2f7
r1bqk1nr/1p1pppbp/p5p1/8/B2pP3/8/PPPPNPPP/R1BQK2R w KQkq -,e1g1
2rr2k1/1p3pbp/2b2np1/7q/p1PpP3/P2B1N2/1Q1N1PPP/R2R2K1 w - -,a1b1
8/8/p7/2p2p2/P1P2Pk1/8/3B2Kp/6b1 w - -,d2c1
r4rk1/1pqn1ppp/2pbpn2/3p4/p3P3/P2PN1PP/1PPBQPB1/R4RK1 b - -,f8e8
4b1k1/5p2/2N3pp/8/4p3/2b3PP/P4PBK/8 w - -,g2e4
8/8/5k1p/1p6/1P3KP1/8/8/8 b - -,f6g6
8/3R1pk1/1p4p1/p7/P3PK1P/1r6/8/8 b - -,b3b4
r2q1rk1/1bb1n1pp/ppn1p3/2ppPp2/P2P1P2/2N2N2/1PP2QPP/RBB2RK1 w - -,c3e2
3r3r/4k3/pq2p2p/1p1p3P/1P2Q3/5pP1/5P2/4RBK1 w - -,e4h4
5k2/8/3p2B1/3P2P1/1PR2p2/1r6/4nPK1/8 w - -,g6h5
1r6/8/2R5/3P4/1P1KpP2/4Pk2/2R2P2/1r6 b - -,b1b4
2b5/p1r1k2p/p1P3p1/3K2P1/BR6/8/7P/8 b - -,c8h3
2r2rb1/1ppq2bk/3pn1pn/1P1Npp1p/Q6P/3PP1P1/P1RBNPB1/5RK1 b - -,e6c5
r2q1rk1/p4pbp/1p1p2p1/n1pp4/2P1P1n1/5N2/PPQ1BPPP/R1B2RK1 w - -,e4d5
5rk1/p4pp1/1p3q1p/8/PP6/5PB1/5P1P/2R2RK1 b - -,f6f3
4k3/1p2p2p/p1p5/2P1NpB1/1b1PpP2/1b2P2P/1P2K3/8 b - -,b3a4
rn1qkbnr/1b1p1ppp/p3p3/1p6/3NPP2/3B4/PPP3PP/RNBQK2R w KQkq -,c1e3:d1e2:a2a4
5r1k/3B3p/8/Pp1p3R/2nP2p1/2K1P3/P1P5/5N2 b - -,f8f1
r3r1k1/pppq1ppp/2n5/3n4/3P2b1/P3PNP1/3Q1PBP/R1B2RK1 b - -,g4h3
1r5r/pp1nkppp/3b1n2/2p1p3/3pP3/2PP3P/PP1NBPPB/R4RK1 w - -,a1e1
r3b1k1/1p3ppp/p1n1p3/8/6P1/2N3RP/PPP2PB1/2K5 b - -,a8d8
8/4Q3/6pk/4b1rp/8/7P/6K1/8 w - -,g2h1
1r1q1rk1/2p2pp1/1n1b1n1p/1p1Ppb2/1P6/2N3P1/3BPPBP/RQ1R2K1 w - -,b1f5
4r3/1p3rkn/6p1/1P1Np1Pp/2P1P2P/2QP4/6b1/6K1 w - -,g1g2
3rkb1r/pp1q1p1p/2p1bp2/5N2/P2n1B2/2N3PB/1P2PP1P/1Q2K2R w Kk -,g3g4
r1b2bk1/2R2p1p/3p2p1/8/3NP1P1/P4P2/1PP4P/1K5R w - -,d4b5
1R6/8/8/1p1k4/p1p1p3/P1P1P1K1/1r6/8 w - -,b8d8
8/8/8/3P4/4n3/1P2k3/2K1p3/4R3 b - -,e3f2
2rq1rk1/pp1b2pp/2n1p1n1/2bpPp2/7P/2PB1NB1/PP3PP1/RN1Q1RK1 w - f6,e5f6
8/1N3p1p/6n1/p2pk3/P7/1P4KP/5PP1/8 w - -,b7a5
8/4r1bk/R3p1p1/3pq2p/Q2p3P/3P1BP1/4PPK1/8 w - -,a4c6
8/1r1kbp2/p1R5/3p4/P3p2p/7P/5BP1/2r3K1 w - -,c6c1
rnbq1rk1/ppp1p1bp/3p2p1/5p2/3P4/1P3NP1/PBPQPPBP/R4RK1 b - -,b8c6:b8d7
8/6p1/4pp2/p2p3p/3P1P2/kP2P1PP/2K5/8 w - -,g3g4
8/1k3p1p/pp1pp3/5p2/3P4/P7/1P2NPrP/K4R2 b - -,g2h2
r6r/3pkpp1/1Rb5/pP2p2p/P1P5/7P/4BPP1/R5K1 b - -,c6e4
r1b2rk1/p4ppp/1pP1pn2/n3N3/1bB1P3/2N2P2/PPK3PP/R1B4R b - -,a5c4
8/p4k2/1r3q2/2pB1pQ1/3n3N/P2P2P1/7P/5R1K b - -,f7e7
8/1pr1rpk1/6p1/1R1B3p/3n3P/8/P4PP1/1R4K1 w - -,b5b7
r4rk1/p1n1pqb1/2Bp1npp/5p2/2bP4/B1N3P1/P2NPP1P/1R1Q1RK1 b - -,c7d5
2rq1rk1/p4pp1/2b1pn1p/1pN1N3/2pP4/P3PPP1/1P4P1/2RQ1RK1 b - -,f6d5
r2q1rk1/pQ1n1npp/4pbb1/3p4/3P2P1/1NP5/P2BBP1P/R3NRK1 b - -,f7d6
2r3k1/pb1n1ppp/1pr1p3/n2p4/P2P4/2P2N1P/2RNBPP1/2R3K1 b - -,h7h6
8/4k1p1/p6p/2N1P3/Pr6/4B1KP/5PP1/8 w - -,f2f4
4rrk1/pp1bqp2/3p2p1/2pPn1b1/2P1P2p/4N3/PPQBB1PP/R4RK1 w - -,a1e1
r2qk2r/1p1bppbp/p1np2p1/4N3/2P1P3/1PNB3P/PB1Q1PP1/R3K2R b KQkq -,d6e5
2r1rbk1/pbB4p/p3ppp1/8/3P4/4P3/PPRNKP1P/2R5 w - -,f2f4
8/5p1p/2b2kp1/1ppPp1b1/6P1/1P3P2/2PPK1P1/B2N4 b - -,c6d5
rnbqkbnr/pp1p1ppp/4p3/8/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,b8c6:a7a6:f8c5
r4r1k/1p4pb/p4p1p/3p4/3P1B2/P5PP/1P4P1/3R1RK1 w - -,f1e1
3r3r/1p4pp/p3n3/4kp2/2P1p3/1P2K1P1/P1N2P1P/R2R4 w - -,f2f3
rn1qkb1r/pp3ppp/2b1p3/8/3PB3/3Q1N2/PP3PPP/R1B1K2R b KQkq -,f8b4
2r4r/2q1kpp1/p3p3/1pn1P1R1/3Nb3/P7/1PP1Q2P/2KR1B2 b - -,h8h4
8/4p1kp/pr1pK3/1pr1b1pP/6P1/P1PB4/1P1RR3/8 w - -,h5h6
3r1rk1/5ppq/p3p3/2p1Q1P1/7P/8/PPPR4/2K4R b - -,d8d2
r1b1k2r/2qnbppp/p1Npp3/1p4P1/4P2P/P1N1B3/1PP2P2/R2QKB1R b KQkq -,c7c6
2kr1b1r/pppqpppp/2n2nb1/8/3P2P1/2N1B2P/PPP1NPB1/R2QK2R w KQ -,d1d2
1rb4k/5rbp/p2p2p1/B2Ppp2/2P1P3/R3P1NP/6P1/4R1K1 w - -,e4f5
2r2rk1/p1pp1ppp/bpn3n1/1N6/P7/2PBq3/1PQN2PP/4RR1K b - -,e3h6
r1bq1rk1/4ppbp/p2p1npB/2pP4/2p1P2P/2N2PN1/PP1Q2P1/R3K2R b KQ -,g7h6
2rr2k1/1q2bpp1/ppn1p2p/2pn4/Q3N3/3PP1P1/PP3PBP/2RRB1K1 w - -,a2a3
8/1p1rbk2/4p1p1/1R5p/P3PP2/4B3/4KP2/8 w - -,b5b1:e2f3
4r1k1/pp1n1p2/2bq2pp/3p4/3PrRPP/1P1QP2N/P7/3N1R1K w - -,h4h5
8/8/1p2rkp1/p4p1p/P6P/1PR2KP1/5P2/8 w - -,c3c4
rn3rk1/pb1pq1pp/1p2p3/2p2p1n/2PP4/2Q1PP2/PP2BNPP/R1B2RK1 w - -,f1d1
r2qk2r/pp3ppp/2npbn2/4p3/2P5/P1N3P1/1P2PP1P/R1BQKB1R w KQkq -,e2e4
7r/1p1q1pkp/2nPp1p1/r2p4/P2P1Q2/3N4/5PPP/R4RK1 b - -,d7d8
3r4/5k1p/3q1pp1/1p1P3n/2pQ2N1/6PP/1P3P2/3R1K2 w - -,f1g2
3q2k1/1p3r1p/2p3p1/p1RpP3/P2P1p1r/4RP1P/1P1QNKP1/8 b - -,f4e3
4k3/8/4P1Np/4K2P/8/8/8/2b5 b - -,c1b2
3qrrk1/1p2p1bp/pNp1R1p1/2P2pP1/3P3P/2BQ4/PP3P2/6K1 b - -,f5f4
8/8/5kp1/b1p5/2Pp2P1/1P1K4/2PB4/8 b - -,a5b6
2rrb1k1/1pq1bppp/p3p3/n3P3/3N1B1P/2PB4/P3QPP1/2R1R1K1 w - -,h4h5
rn3rk1/pb4pp/1p2p3/3pP3/1bPpn2q/P1N1B3/1PQ2NPP/R3KB1R w KQ -,e3d4
2kr2r1/1q3ppp/1p2p3/p1p1P3/Pn6/1P1P2P1/1BP1Q2P/R3R1K1 b - -,h7h5
r2q1rk1/ppp1bpp1/5np1/3pn3/6P1/2P4P/PP1NPPB1/R1BQ1RK1 w - -,d1b3
r1b1k2r/ppqp2pp/2n1p3/4P3/5Q2/P1P2N2/P4PPP/R3KB1R b KQkq -,c7a5
r1bqkbnr/ppp1pppp/2np4/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq d3,e7e5
8/8/8/8/4Q3/K7/3qp3/1k6 b - -,b1c1
2br1r2/pp2q1kp/1bn1ppn1/8/1PB4P/P4NP1/1B1NQP2/4RRK1 b - h3,e7c7
r4rk1/1R3ppp/p1N1pb2/1nPp4/3P1B2/3K4/P4PPP/7R b - -,f8c8
8/pp1kpnR1/8/5rp1/6P1/1PN1KP2/P7/8 b - g3,f5f6
3r4/5pk1/p4qpp/1p3P2/2p5/5QP1/P1B2PK1/8 b - -,a6a5
2q5/1b2b1k1/pp2p2p/5pp1/P1BPp3/1P2P1P1/N3QP1P/6K1 w - -,a2c3
8/4bpkp/4p1p1/4P3/1qR2P2/7r/6PK/2Q5 w - -,h2h3
5rk1/p2P2pp/1p2r3/2p1q3/4n3/4R1P1/PP2Q2P/3R1NK1 b - -,f8d8
3rr1k1/2p1bpp1/p4n1p/1p2Q3/8/1PPqB3/1P1N1PPP/R4RK1 w - -,d2f3
r2q1rk1/p3b1p1/2p1pn1p/3p2B1/8/2NB3Q/PPP2PPP/5RK1 w - -,g5h6
1r3rk1/3p3p/q1b1p1p1/2P1P1P1/p2Q3P/B4pP1/2P2R1K/3R4 w - -,d1a1
r1bqrnk1/pp3pp1/2p2b2/3p2p1/3P3P/1QNBPN2/PP3P2/R3K2R w KQ -,h4g5
1R6/2r1b3/2pNp2p/2P1P1p1/8/4kP1P/6P1/6K1 b - -,e3d4
8/5p2/p7/6p1/BPbpPk1p/5P1P/5KP1/8 w - -,a4c6
r3r1k1/p1p3pp/1nQN1q2/4pp2/6b1/2PP1N2/PP3PPP/R1B2RK1 b - -,c7d6
2r3k1/1q2bpp1/1p2p3/1P2N3/Q3n3/P4PPp/4N2P/2R2K2 b - -,e4d2
2rqr1k1/1b1nppbp/pp1p1np1/8/2P4Q/1PN1BNP1/P3PPBP/2RR2K1 w - -,e3g5:g2h3
r2q1rk1/pb1nbpp1/1p3n1p/2p5/2NP3B/8/PP2NPPP/1BRQ1RK1 b - -,a8c8
r1bq1rk1/pppp1ppp/2n2n2/8/1b2P3/2N1Q3/PPPB1PPP/2KR1BNR b - -,f8e8
