8/4R3/3k4/1p1p3p/p6r/P3K3/1P6/8 w - -,e7b7
6k1/4b2p/8/1p1bBpP1/3P1K1N/2r5/7P/6R1 b - -,c3c2
1r4k1/p3b1p1/n1n1p2p/3pPp1P/2pP4/PrB2NP1/NP3PK1/1R5R b - -,e7a3
5n2/pp1qk3/2p1bpp1/3p4/3P3Q/2PBN3/PP1K1PP1/8 b - -,d7e8
2r2nk1/1p3ppp/p2R1p2/8/5P2/3B2P1/PPP4P/2K5 b - -,c8c7
1r1q1rk1/1p1bppbp/pNp3pn/2Pp4/3P1P2/3BP3/PPQ3PP/R1B2RK1 w - -,b6d7
6k1/3p2pp/1pb5/p7/P1P4P/1r6/6K1/3R1R2 w - -,g2h2
8/6kp/3p2n1/2pPp1p1/2P1Pp2/1b3PP1/3KBN1P/2rN4 b - -,c1c2
2k5/1b1nq1r1/p3p3/P2pP1p1/QppP2B1/4B3/1P4PP/5RK1 b - -,b4b3
rn1qk2r/3pppbp/5np1/2pP2B1/4P3/2N5/PP3PPP/R2QKbNR w KQkq -,e1f1
6k1/6p1/1p5p/p2P3P/5P2/2P3P1/P2r4/4R1K1 b - -,d2d5
r1bq1rk1/ppp1bppp/2np1n2/4p1B1/2B1P3/2PP1N2/PP3PPP/RN1QR1K1 b - -,h7h6
2r1k2r/4b1p1/4p3/p3P1P1/1ppB3P/2P1P1RK/PR6/8 b - -,c8b8
r2qk2r/pp1nbppp/2pp2N1/4p2n/2PP4/1PN3PP/P3PPB1/R1BQ1RK1 b kq -,h7g6
r7/8/pRp1kr2/P5R1/5BK1/4P3/6b1/8 b - -,a8a7
r1b2r2/3qppkp/p5p1/1p1P4/8/6Q1/PP2BPPP/2R1R1K1 b - -,d7d6
k2r3r/1b4pp/p1q5/1p3Q2/3Pp3/4N3/PP4PP/R4RK1 w - -,a1c1
r3r1k1/1bq1bppp/p2p1n2/1pp1p3/4P3/1PPPBN1P/1PQN1PP1/R3R1K1 w - -,d2f1
r1bqr1k1/bp1n2pp/p2p2n1/3P1p2/P4PP1/2N5/1PN1B2P/R1BQ1R1K w - f6,g4g5
6k1/pp3p2/2p1r1p1/3b4/3P3p/P7/1P1R2PP/5NK1 b - -,d5c4
3q1rb1/pp2r1k1/2p3pn/4Pp2/3P1N1p/2PB1R1P/P4QP1/5RK1 b - -,e7d7
r1r3k1/p2bbppp/2p1pn2/q2p4/2P2B2/2N3P1/PPQ1PPBP/R2R2K1 w - -,a1c1
r1bq2k1/pp2prbp/3p2p1/3P2B1/P1Bp1p2/3P3P/1PPQ1PP1/R3R1K1 w - -,g5f4
1R2b3/5pk1/2p2npp/3pN3/3P4/4r1qB/1Q4P1/5RK1 b - -,g3g5
r3r1k1/1p3bp1/1np2p1p/p1q5/P2pPP2/1P1B3P/2P2QP1/2NR1RK1 b - -,a8d8
5k2/5p2/4p1p1/2b1P1P1/P1p1BP2/1n1p4/8/4BK2 w - -,e1c3
r5n1/1ppkpqb1/p3n3/3p1B2/3P2Q1/2N1P3/PPP2PP1/R3K3 w Q -,c3d5
1B6/p7/1p4k1/5p1p/7P/P1n1K1P1/8/8 b - -,c3b5
4Qk2/7p/p2p2pK/P4P2/7R/1P6/4r3/8 b - -,f8e8
rr4k1/2pb2qp/p1n1p1p1/2Pp4/1P3P2/P1Q1RN2/2B2PP1/3R2K1 b - -,g7c3
1q6/pb1Q2bk/5rpp/2p1N3/3p1r2/1P1P1PN1/P1P1RP1P/R5K1 b - -,b7c8
8/kp3Q2/p7/2pp1K2/6P1/2P2P2/PP1q4/8 b - -,d2c2
4r1k1/8/1p3pn1/1Bp1p3/P7/2P3P1/1P3P1P/6K1 w - -,b5e8
3bk2r/ppp2pp1/2p1b3/4PnBp/8/2N2NPP/PPP2P2/5RK1 w - -,f1d1
4R3/7p/3b4/1k3p2/3B1Pn1/7r/4K3/8 b - -,b5c4
8/6p1/5n1k/4p3/7P/3P2QK/3q2B1/8 w - -,g2e4
2r1k2r/bp2qppp/p1n1p2n/4P3/1P1p1P2/P2B1QPP/R2P3K/1NB2R2 b k -,g7g5
8/2k2p2/4B1p1/6P1/pP1KP3/5P2/8/8 b - -,f7e6
1r1q2k1/2n2pbp/3p2p1/2pP4/B4P2/1PPQ3P/3B2P1/4R1K1 b - -,d8f6
r1bq2k1/pp1n1pbp/3p2p1/1rpP4/8/P5P1/1PQNPPBP/R1B1R1K1 w - -,a1b1
8/6k1/p2Qr2p/1p6/8/1P4P1/P1P1r2P/1K6 w - -,d6d4
r1b2rk1/p5pp/3b2q1/2pP4/2P1Rn1n/PR5P/3Q1PPN/2B2BK1 w - -,e4e3
3q1rk1/p4pp1/1b3n1p/8/Q1n5/4P1B1/4BPPP/R5K1 w - -,e2c4
8/7p/p3k1p1/2N5/2P3P1/4n3/P6P/7K b - -,e6d6
3r4/1p3Qpk/pq6/4p2p/4r2P/1B6/PP3PP1/K6R b - -,e4f4
4rb1k/1b1q2pp/2N5/4B3/Pp6/5QP1/1P2p2P/4R2K w - -,f3e2
5n2/2p2kpp/2pp2P1/p4P1P/5N2/1P4K1/P1r5/4R3 b - -,h7g6
r1qr3k/1pp1b1pp/1n2np2/1P2p3/p3N1b1/P2PP1P1/1B1N1P1P/1RQ1RBK1 b - -,d8d5
1knqr2r/ppp5/2n2p2/3p1Bpp/1P1P4/2P1R1P1/P1Q2PPN/4R1K1 b - -,c8d6
r1b1k2r/ppp2p1p/3P2p1/7n/2Pn1P2/6PN/Pq1NP2P/2RQKB1R b Kkq -,c8f5
r5r1/ppkbb1Pp/2n1p3/2ppP1N1/5B2/2PB4/PP4P1/3R1RK1 w - -,g5h7
8/R4b2/5k2/8/4B3/5KP1/1r6/8 w - -,a7a6
7r/3k4/p2R4/3p1p2/PB2b3/8/1PP4P/2K5 b - -,d7c8
8/1p3p2/4p1p1/4Pk2/1P6/4K2P/R2p2P1/3r4 w - -,a2a5
1b4k1/3q4/7p/Qp1P3r/8/3p3P/PP1N4/5RK1 w - -,d2e4
7k/6r1/6p1/6R1/3P3p/2PK4/BP6/8 b - -,h8h7
8/8/1p1rk1p1/1R3p2/5P1K/7P/8/8 w - -,h4g5
8/5p2/3R2p1/4pk2/2r5/4BK2/6P1/8 w - -,e3h6
3R1rk1/1pq1bppp/4pn2/pB6/P1N5/2R1P3/1P2QPPP/6K1 b - -,f8d8
r2q1rk1/p2nbppp/1pP2n2/8/5p2/P1N1P3/1PQ2PPP/3RKB1R w K -,e3f4
2rr2k1/1p4np/p1pp3q/P3P1p1/1PP1Qp2/2P2PP1/3R2KN/3R4 b - -,f4g3
4r1k1/5ppp/1Rp5/q7/2NPP3/r1NK2P1/5P1P/2Q3n1 b - -,a3a1
1r3k1r/2p1qpp1/p2p3p/1b1Pn3/1p1N1QP1/4P2P/PPP2RB1/2KR4 b - -,e5g6
r4rk1/pp2ppbp/1qnp1np1/3b2B1/2P5/1N4P1/PP2PPBP/R2Q1RK1 w - -,c4d5
8/8/6p1/8/6k1/8/5K2/8 b - -,g4h3
1R6/5p2/5k2/4p2p/6pN/6P1/4KP1P/7r b - -,h1h2
r1bq1rk1/pp3ppp/2nbpn2/8/3P4/P1NB1N2/1P3PPP/R1BQR1K1 w - -,c1g5
5rk1/5pbp/4p1p1/2Q1nb2/2r2B2/2N3P1/Pq2PPBP/2R2RK1 w - -,c5b5
5rk1/1b4rq/4p3/1B2P3/P5Qp/6P1/R4PP1/4R1K1 w - -,g4e6
8/1r5k/p1R4p/5p2/P1p2b2/5P1P/6R1/6K1 w - -,g2c2
3k4/8/7R/4Pp2/8/5K2/r6P/8 w - -,f3f4
1r3rk1/5pp1/6p1/p1nB4/4P3/2Bn2P1/PP5P/1K1R1R2 w - a6,a2a3
rnbqkb1r/pp3ppp/4p3/2p5/2PpB3/1Q4P1/PP1PPP1P/R1B1K1NR b KQkq -,d8c7
8/6pk/3p3p/P4q2/4p3/1P5P/4Q1K1/8 b - -,f5g5
rnbq1rk1/p3bppp/1p2p3/3n4/3P4/2NB1NB1/PP3PPP/R2QK2R b KQ -,c8b7
r4r1k/1p4pp/pqn2b2/3pNb2/3P1P2/P5PP/1P2N3/R1BQK2R b KQ -,f6e5
2r2r1k/1b1nq1bp/p1npp3/1p3pp1/1P1PP3/PN2BP1P/4N1P1/1BRQ1RK1 w - -,f3f4
r1bqr1k1/1p1n1pbp/2pp2p1/p2Pp1P1/PnP1P2P/2N1BN2/1P1QBP2/R3K2R b KQ -,d7c5
8/pp1k3p/3pR2P/2r2P2/3R1K2/P1P5/1P6/6r1 b - -,c5f5
1r2r1k1/1p4b1/p2Pb3/2pq1N1p/P7/3B1Q2/1P4PB/R4K2 w - -,f3d5
r2q1rk1/3b2pp/p1p1p3/1pPpNpn1/PP1P1B1b/1N1QP2P/5PP1/R4RK1 w - -,a4b5
3rr1k1/pb2qNb1/1pp1pnpp/2P5/3P3P/1P2B1Q1/P1B2PP1/3RR1K1 b - -,g8f7
rn2kb1r/pp3pp1/2p1p1np/3pP3/1P1P4/P1NP2N1/5PPP/R1B1K2R w KQkq -,e1g1
rnbqkb1r/ppp2pp1/3p3p/4p3/3PP3/2PB4/PP2NPPP/RN1Q1RK1 b kq -,f8e7
r3qrk1/2p3pp/2nppb2/pp2p3/1P2P3/P1PPBN2/5PPP/R2Q1RK1 w - -,a3a4
q2r2k1/pb1rbppp/1pnnp3/2p5/2P2PPP/2NPPN2/P3Q1B1/BR1R2K1 b - h3,d6c8
8/6Bp/4b3/k1K1Pp1P/8/2p5/5PP1/8 b - -,e6f7
1r6/3b1k1p/Rpnb4/3p2p1/3Pp3/1P2P1P1/2NBB1KP/8 b - -,f7e7
7r/1p2qpk1/p2p1n1p/2pPb3/P3P2R/3Q3P/1P2B1P1/5RK1 w - -,b2b3
rr3nk1/1bp2ppp/1p1p4/p2Pp1q1/1PP1P3/P2Q2PB/3N1P1P/R3R1K1 w - -,d2f3
3r1bk1/5ppp/3p4/3PnNP1/1r2P3/p6P/6B1/R4R1K w - -,f1f2
3r4/1q3p2/pprp1kp1/3R3p/P1P1PQ2/1P4P1/6KP/3R4 b - -,f6e7
r3r1k1/pp3pBp/6p1/6q1/8/1P2PpPb/P1PQ1P1K/R5R1 b - -,h3g4
8/1pp2p2/p1n1qnpk/4p2p/1P2P3/2P1NPP1/P3Q1KP/4N3 b - -,h6g7
4k3/p3qpp1/1p3n1p/8/2P5/P2Q1BP1/5P1P/6K1 w - -,g1g2
2kr3r/ppp3pp/2nbR3/q7/3p4/5N2/PPP2PPP/R1BQ2K1 w - -,c1g5
6k1/5p2/p4Pp1/1p2p3/2r1b1P1/P1N4R/1P5P/7K w - -,h1g1
r1b1k1nr/pp2pp1p/1qn3p1/1N6/8/2P2N2/PP2QPPP/2R1KB1R b Kkq -,g8f6
r3r1k1/1bqn1p1p/p2p1bp1/2pP4/1pP1QB2/1P3N1P/P3BPP1/3N1RK1 w - -,e4d3
5r2/1bqnkp2/p1p1pr2/N1Pp1P1p/BP1P2p1/4Q3/P5PP/4RRK1 b - -,b7a8
1r6/3n1pk1/p3p1p1/3p1n1p/P1rP1P2/R4P2/NR1qNKPP/8 w - -,b2d2
3r2k1/p2rppbp/bpn3p1/1N5n/2P1P3/B1N2PP1/PP2B2P/R3K2R b KQ -,a6b7
8/p2pkp1p/2pnp3/P5p1/1rNP4/1P2P1P1/5P1P/1R4K1 w - -,c4d6
r2r1bk1/1p3p1p/pnp1p1p1/8/1P1P4/2P2B1P/1P1N1PP1/3RR1K1 w - -,d2b3
rr4k1/1qnnppb1/3p2pp/2pP4/4P3/PP2B1PP/R1QNNPK1/4R3 b - -,g8h7
4r3/1bp2pk1/5npp/2R1N3/2P1p3/1P4NP/5PP1/6K1 b - -,e8e7
2n2n1k/2q3bp/1pb2pp1/2p1p3/2B1P3/2P1B1P1/1PQN1P1P/N5K1 w - -,c2d3
3r2k1/3rqpp1/1R3n1p/1Q2p3/3p4/5PPP/4P1K1/3R4 b - -,e5e4
r2r2k1/pb1qppbp/1p1p2p1/1N5n/1nP1P3/2N1BP2/PP2B1PP/3RQRK1 w - -,d1d2
8/R2r2pp/1n1k1p2/1P2p3/4P3/2KN1P2/6PP/8 w - -,a7d7
rnb2rk1/ppp1qppp/3p4/3Pp3/2P5/2R2NP1/PP2PPBP/3Q1RK1 w - -,f3d2
rn1qk2r/pp1n1pbp/2p1p1p1/3pP1N1/3P4/2N4Q/PPP2PPP/R1B1K2R w KQkq -,e1g1
1r1q1rk1/p2nppbp/2np2p1/1pp3B1/4P3/N1PP1Q1P/PP3PP1/2R1RBK1 b - -,b5b4
b2r3k/p6p/2p5/8/6p1/1B6/PP1r1PPP/2R1R1K1 w - -,c1d1
1nb2rk1/1pq2pbp/2pp1np1/3Pp3/1PP1P3/2N1B2P/1Q1NBPP1/R5K1 w - -,a1c1
r1bq1rk1/1pp2pbp/p2p2p1/3Pp2n/2P1P2P/2N1BP2/PP1QB1P1/R3K2R w KQ -,e1c1
4r1k1/p4p1p/1p2p1p1/2b1P1q1/8/2B1R2P/PPQ3P1/5R1K b - -,g5e3
8/7p/4P1k1/2P2p2/2P2K2/1rB3PP/8/8 w - -,c3d4
2rq1rk1/3n1pb1/p2P2pp/2nQp3/1p4PP/4BP2/PPP5/1K1R1BNR w - -,g4g5
r2rb3/ppq1n1bk/2p1p1pp/4Np2/2PP1PP1/1P2BBQP/P6K/2R3R1 w - -,g1g2
1rbqr1k1/pp3pb1/2np1npp/2p1p3/4P3/2PPBNPP/PP1NQPB1/R4RK1 w - -,f1d1
6k1/5p1p/8/p2rn1p1/3p4/P2B3P/1P2KPP1/2R5 w - a6,e2d2
r2q1rk1/pp2n1b1/2npb2p/2p1pp2/P7/3PNNP1/1PP2PBP/R1BQR1K1 w - -,f3h4
8/8/3kp2p/4np2/5N2/6K1/7P/8 w - -,h2h3
rn1qk2r/pp2bppp/2p1pn2/3p4/3PP3/2NB1Q1P/PPP2PP1/R1B1K2R w KQkq -,e4e5
3rr3/ppp2pbk/6pp/1b6/P3P3/4BP2/1P4PP/R1Q3K1 b - a3,b5c6
5nk1/p2q1p1p/1pr3p1/3p1P1n/3P4/P4Q2/1B2R1PP/5RK1 w - -,b2c1
2r1rbk1/6p1/p6p/1p1NBp2/2pP4/8/P4qPP/R2Q3K w - -,d1h5
r2q1rk1/1p1nn1b1/p1ppb1pp/4pp2/PPP5/1QNP2P1/1B1NPPBP/1R3RK1 b - a3,g6g5
6k1/1R3p1p/3nn1p1/8/2P5/8/5KPP/8 w - -,b7b4
3q1rk1/p1pn1pbp/Q5p1/2p1p3/1r2P3/2N1B3/PP3PPP/2KR3R w - -,a6c6
2r2rk1/3n1pp1/p1p1pnp1/1pb5/3PP3/1B2BPP1/PP3K1P/2R4R w - -,d4c5
rnbr2k1/1p2bppp/p7/3p4/P2N1q2/2N5/1PP1QPPP/R4RK1 w - -,e2e7
r1bqr1k1/pp1nbppp/2p1pn2/8/3P1B2/P1NB1N1P/1PPQ1PP1/R3R1K1 b - -,c6c5
1R6/1P2p1k1/3p2p1/7p/7P/1r4P1/5P2/5K2 b - -,e7e5
8/B4p2/8/4pkbp/1R6/5P2/2r1r1PK/6R1 w - -,h2h3
r7/5pkp/np2P1p1/1p6/6n1/P1N3P1/1P3P2/R2R2K1 b - -,f7e6
2kr4/pp1r3p/4P1p1/2p2p2/8/1QP1Pq2/P2B2R1/1R4K1 b - -,d7d2
1r3rk1/p5bp/b1pp1qp1/2p1n3/4P3/1PN2N2/P1PB1RPP/3RQ2K w - -,f3e5
3k3r/1pq4P/p1n1p3/8/3p1PP1/P1pP4/4N3/1RB1KB1R b K -,h8h7
8/p4p2/5kp1/8/2r4P/P4RP1/5PK1/8 b - -,f6g7
r3kb1r/5ppp/bnpp4/8/p1P1N3/1P6/PB3PPP/R3KB1R w KQkq -,e1c1
6k1/p2n1pp1/4b2p/2p2q2/4NB1P/5PP1/r3PQ2/3R2K1 w - -,f2e3
8/8/1n6/1Pp5/pk6/2N5/2K5/8 w - -,c2b2
8/pp4kp/3p4/2b1R3/8/1BP4P/PP3P2/5RK1 b - -,d6e5
2r2rk1/p6p/1p2qBp1/4P3/3Q4/2PR4/P4PP1/6K1 b - -,e6a2
r1bq1rk1/pppnppbp/6p1/1B6/3PP3/2P5/P3NPPP/R1BQK2R w KQ -,c1e3
8/1pr2k1p/5p2/4p1p1/1R2P3/2P1BbP1/1K3P1P/8 w - -,e3b6
r2qk1r1/1b2bp2/3pp2p/pN2n1p1/1n2P1P1/1N2BP2/1PP2Q1P/1K1R1BR1 b q -,e8f8
3q1rk1/1b1n1ppp/4pn2/1pb3B1/8/2N2NP1/1PQ1PPBP/R5K1 w - -,e2e3
rn1qkbnr/1bp2ppp/p3p3/1P6/2pP4/1P2PN2/5PPP/RNBQKB1R b KQkq -,a6b5
B7/7p/1r1p1kp1/3Pp3/1n3p2/5P1P/6P1/R5K1 b - -,b4c2
r2r2k1/p4ppp/Qp2b1n1/2qN4/8/6P1/PP3PBP/3RR1K1 w - -,b2b4
6k1/r7/3RK3/4P3/8/8/8/8 w - -,d6c6
r2qr1k1/pp3ppp/2n5/2pb4/4BP2/2PP2P1/P3N2P/R2Q1RK1 w - -,d1c2
r1bqk1nr/pp1p1ppp/2n1p3/2b5/4P3/3B4/PPP2PPP/RNBQK1NR w KQkq -,g1f3
r1b3k1/pp2q2p/2p1pn1r/P2p2N1/2PPpP2/1PN1P1P1/2Q4P/R4RK1 w - -,c3d1
8/8/2k3p1/7p/4KP2/8/3B3b/8 b - f3,h5h4
rnbqk1nr/p4ppp/2p1p3/1p6/PbpP4/2N1PN2/1P1B1PPP/R2QKB1R b KQkq -,a7a5
r6k/1b2R2p/1N1r2p1/Pp1P4/2p5/7P/1P4P1/3R3K b - -,a8b8
r2q1rk1/p4pnp/2pp2p1/2p5/2P1PN2/3P4/P1P3PP/R3QRK1 b - -,a8b8
1q2r1k1/2p1rpbp/p1Pp1np1/8/PPQ5/4BN1P/5PP1/3RR1K1 b - -,e7e4
3r4/pp1r1k2/4pp1p/b2N1n2/1P6/6B1/P4PPP/2RR1K2 w - -,b4a5
8/5rk1/7p/3R1PpP/3PB1P1/2b2K2/8/8 w - -,e4d3
r4rk1/pp2ppq1/2bp3p/2p5/2P1PP2/PPQ3P1/3R3P/4R1K1 w - -,c3f3
2r1nr2/1q2bppk/3pp2p/p1n1P2Q/1p1N1P2/4R3/PPP1N1PP/3RB2K b - -,d6e5
1r1q1b1k/p4Q1p/2n2P2/1p1pp3/3P4/4P3/PP1B1RPP/5RK1 b - -,e5d4
r1q2rk1/p4pbp/bp2p1p1/n1p3BP/3PP3/2PB4/P2QNPP1/2R2RK1 w - -,e4e5
6r1/1pqb1rpk/p2p3p/3P1p2/2PBnP2/P3P3/1PQ1B1RP/2K3R1 b - -,f7e7
3rrnk1/ppq2pbp/2p2np1/5b2/1PP1p3/2N1P2P/PBQN1PP1/1R1R1BK1 w - -,c4c5
5r2/1p3bkp/p1rpppp1/q7/1NP1P3/1P6/P2Q1PPP/2R2RK1 w - -,f1d1
r1q2rk1/1p2Bpbp/p2p2p1/2p1n3/2P1P3/1BN5/PP1Q1PbP/R4RK1 w - -,d2f4
5k2/2p2p2/5p2/2R5/1rP1BPbP/6P1/5PK1/8 w - -,c5c7
5r2/1p1b1q1k/p1pPp1p1/6Rp/PP3B1P/3Q4/2P2PP1/6K1 w - -,g5h5
r5k1/1p3pp1/2pqb1nr/p2p4/3NP2p/PP1P1N1P/3Q1PP1/2RR3K b - -,e6d7
r4rk1/1ppqppbp/p1n1bnp1/3pN1B1/3P4/P1NBP2P/1PP2PP1/R2Q1RK1 b - -,c6e5
6k1/p3b3/1p1pr2p/7p/2r1PPp1/P1NK2P1/1P1B4/3R4 b - -,c4c8
1rb2rk1/ppqnppbp/2n3p1/2p3B1/2B1P3/2P1QN2/PP1N1PPP/R4RK1 w - -,a2a4
r1b2rk1/1pqn1pbp/2pp1np1/p7/P2pPP2/2N1B1PP/1PP1N1B1/R2Q1RK1 w - -,e3d4
r1bq1rk1/p3n1bp/1p2ppp1/2Nn4/B2P3B/P2Q1P2/1P2N1PP/R3R1K1 w - -,c5e4
3k4/3P1r1p/pp6/2pR4/4q1p1/P5P1/1P3PN1/3R2K1 w - -,d5d6
r3rbk1/ppp2p1p/2b3p1/8/2BPn3/2P4P/PP3P1P/RNB2RK1 b - -,e4d6
3k4/8/7r/4p3/5p2/PR3Pn1/4r1P1/1B1K2R1 b - -,h6d6
2R3k1/4pp1p/6p1/2N5/p2rP1b1/5P2/P5PP/5RK1 b - -,g4c8
r1b2rk1/1pq1ppbp/2n3p1/p1N5/2Pp1Pn1/P2P1NP1/1P2P1BP/R1BQ1RK1 w - a6,a1b1
7r/6k1/p1bPPqp1/1p5p/7P/4Q3/PPP3P1/1K1R4 w - -,e3a7
8/2kP4/8/8/4ppBP/8/r3KP2/8 w - -,e2e1
8/1R1b1rk1/2p4p/2Pp1p2/3b1P2/3B4/6PP/2N1K3 w - -,c1b3
r1bq1rk1/pp2ppbp/2n2np1/8/2BP1B2/2N2N1P/PP3PP1/R2QK2R w KQ -,d1d2
r1b2rk1/pp3pbp/2npp1p1/q1p5/3nPP2/3PB1P1/PPPQ2BP/R2NNRK1 w - -,d2a5
r1bq1rk1/p1pn1pbp/2pp2p1/8/2P1P3/2N3P1/PP3PBP/R1BQ1RK1 w - -,d1c2:c1d2:f2f4
r2q1rk1/2p2ppp/p1n1n1b1/1p2P3/3p4/2P2NB1/PPB2PPP/R2Q1RK1 w - -,c2g6
r4r1k/ppq1bppp/1n2pnb1/P1p3N1/3P1P2/1QP3P1/1P3NBP/R1B1R1K1 b - -,b6d5
r3k2r/pbqnbppp/2p1p3/2Nn4/1p1P4/3BPN2/PPQ2PPP/R1BR2K1 b kq -,d7c5
6k1/5p2/p3q2p/1p4p1/4r1P1/P7/1PP3Q1/1K4R1 w - -,g2g3
1Q4k1/1p1q1pp1/5n1p/8/4P3/P5PP/1P3PK1/8 b - -,g8h7
r2q1rk1/pb2bppp/1pn2n2/2p2N2/3p1B2/P1N3P1/1PQ1PPBP/R2R2K1 b - -,g7g6
