7Q/8/5pk1/5q2/4p3/8/5P2/4K3 w - -,h8g8
3q1rk1/1bpn1ppp/1p1p4/3Pp3/r1P1P3/PN1Q2PB/5P1P/R4RK1 b - -,b7c8
5rk1/p4ppp/1r1q4/2pPp3/2Pb2P1/3P3P/P2Q2B1/1R3R1K w - -,d2g5
r1k4r/1pp2ppp/p1pbb3/8/4P3/4B3/PPPN1PPP/2KR3R w - -,a2a3
r1bqr1k1/ppp1bpp1/2np1n1p/1B2p3/4P3/2PP1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
8/8/1r1k3p/3P2p1/rp3p2/3RKP1P/6P1/1R6 w - -,e3d4
7r/5n2/3pk3/R3p3/6p1/2P2PK1/1P4Nr/3R4 w - -,f3g4
2R5/1k6/p2br3/1p4B1/8/P3PKp1/8/8 w - -,c8c3
6Q1/6p1/1p3bpk/p6p/P2p4/1B1P3P/1PP1KPP1/2q5 w - -,h3h4
r5k1/1RQ2p2/5qpp/8/2P5/3B2P1/P4PKP/2r5 w - -,b7b6
5Q2/8/1P2k3/4p3/1K1p1p2/8/r7/8 b - -,a2b2
6n1/8/5p2/3N1Pk1/4P3/7K/7P/8 b - -,g8h6
r2q1rk1/ppp1npb1/2n1p1p1/P3P1Bp/3P3P/1B3P2/1PP1N3/R2QK2R w KQ -,c2c3
3b4/pp3kpp/2p5/4P3/6P1/1P1K1N1P/P7/8 b - -,f7e6
r1bqkb1r/pp1ppp1p/5np1/1Bp1P3/3n4/2N2N1P/PPPP1PP1/R1BQK2R b KQkq -,d4b5
r1bq1rk1/pp1n2pp/3p4/2pPpp1Q/1b2P3/6PN/PP1P1PBP/R1B1K2R w KQ -,f2f3
q1rr2k1/p3bpp1/1p1p2bp/2n1p2R/2P3P1/2B1PN1R/PP2BP1P/5QK1 b - g3,c5e4
r3kb1r/1pq2p1p/1np1pp2/p7/2PP1Bb1/5N2/PP1QBPPP/2KR3R b kq -,c7d8
rn1qkbnr/pbpppppp/8/1p6/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq -,e7e6
2r2r1k/2q1b1pp/p2p2b1/1p1Bp3/8/2P1B2P/PP1Q1PP1/R1R3K1 b - -,c7b8
rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/6P1/PPP1PP1P/RNBQKBNR w KQkq c6,g1f3:e2e3:f1g2:c2c3
4b1rk/pp4q1/2p4r/3p1p1p/3P1P1N/PP2P2R/1KP1Q3/7R b - -,g7f7
r1b1kb1r/1pp1pp1p/p1q2np1/8/3QP3/2N5/PP1P1PPP/R1B1KB1R w KQkq -,f1e2
2r3k1/3n1b1p/R1pq2p1/2p2p2/2P4P/2QNPBP1/5PK1/8 b - -,d7b8
8/5p2/5k2/3K1P2/2N1Pb2/8/8/8 b - -,f4g3
4rNk1/1b3rp1/p2N3p/3np3/1P6/7R/1B3qP1/R2Q1B1K b - -,d5f4
4r3/1p3k1p/p1n5/6p1/4p3/8/PP1B1PPP/4R2K b - -,g5g4
r1bq1rk1/pp1nppbp/5np1/2ppN3/3P1B2/2N1P3/PPP1BPPP/R2Q1RK1 b - -,d8b6
rn1qk2r/pbpp2pp/1p2P2n/8/1bPP4/2N2P2/PP4PP/R1BQKBNR b KQkq -,h6f5:d7e6
2kr1b1r/pp1q1pp1/2p1p3/3nP3/3P3p/P6P/1P2BPP1/R1BQ1RK1 w - -,c1d2
r3k2r/pp2bq1p/2p2pp1/3n1p2/3P1N2/1B2PQ2/PP3PPP/R4RK1 b kq -,a8d8
1rb1k2r/pp3ppp/3bp3/4n3/3N1B2/1B6/P4PPP/1Q3RK1 w k -,b1e4
2rr2k1/1p3ppp/p3pb2/3bN3/P1BP1n2/1P5P/1B3PP1/R3R1K1 w - -,c4d5
6k1/r1q2ppp/5n2/p1p1p3/Rr1p1P2/1B1P2PP/1PP4K/R3Q3 w - -,f4e5
2r5/2P3pp/2QBbbk1/5p2/4p3/7P/5PP1/6K1 b - -,g6f7
1k1r3r/pbp3pp/2p5/3p1P2/1bP1p1n1/1N3BP1/PP5P/R4K1R w - -,f3g4
8/8/4N2R/4b3/2B5/k1n2b2/5P1P/6K1 b - -,a3b2
5k2/1R5p/6p1/4p3/2Bpp2P/3P1NP1/3b1PK1/r7 w - -,d3e4
8/r1q2pk1/p4rn1/2p2B1P/2P1p1Q1/6P1/PP6/5RK1 b - -,c7e5
r1b2rk1/pp2bppp/1np5/7N/2PP4/2PB2P1/P6P/R1B2RK1 w - -,f1e1
4r3/8/1kpp3p/5N1P/1P2pK2/3p2P1/8/2R5 b - -,d6d5
8/2bk1B2/2p1p2B/pnPpPp2/P2P1P2/7P/5K2/8 w - -,f2e3
r3k2r/ppqb1p2/4p1pp/3pP3/3Q4/1RPB4/P1PK1PPP/R7 w kq -,a1b1
r2q2k1/1b1nrpp1/pp1ppn1p/8/P2P4/3B1N2/1PP1QPPP/R1B1R1K1 w - -,c1d2
8/8/B3p3/2R1p1p1/4PnPp/1k3P1P/7K/r7 w - -,a6c8
2r5/6p1/6kp/ppn1P1b1/3KP3/P1B5/2N3PP/5R2 b - -,c5e6
r1b1kb1r/3n1ppp/p2ppn2/qp4B1/3NP3/1BN5/PPPQ1PPP/2KR3R b kq -,c8b7
5k2/7p/1p5q/p2p4/5P2/2p2NKb/PP5Q/8 w - -,b2c3
r1rq2k1/p2nbpnp/bp1p2pB/2pPp3/1PP1P3/P1NB1PN1/1R1Q2PP/2R3K1 w - -,c3a4
r2q1rk1/pb2npbp/1pn1p1p1/2pp4/2P5/P1NP1NP1/1PQBPPBP/R4RK1 w - -,b2b3
r1bk3r/pp1n1ppp/2p1p3/4P3/2P5/2P5/P4PPP/R1B1KB1R w KQ -,c1f4
6k1/1q2pp1p/3p2p1/1rpPb3/4P3/1P1Q2P1/5PKP/1RR5 w - -,c1c4
2r2r2/p1pq1pkn/1p1pb1p1/3Np2p/2PnP2P/5PP1/PP1QN1B1/2R1K2R w K -,e2d4
8/8/p2k2p1/7p/4P2P/1N1Pb1P1/P3Kp2/8 w - -,b3a5
8/6p1/6kp/8/5P2/1KB3Pr/R7/8 w - -,a2a7
5nk1/2r2pp1/1p1b1q1p/3B1b2/1PPpQ3/8/3B1PPP/R3R1K1 w - -,e4f3
2krr3/p1p3p1/2p4p/8/4p3/2P4b/PP3PPP/3R1RK1 w - -,g2h3
rn1qk2r/pp2bpp1/2p1pn1p/3p1b2/2P5/3P1NP1/PP1NPPBP/R1BQ1RK1 w kq -,b2b3
8/p7/6p1/8/6pk/3K2B1/5P2/8 b - -,h4h3
8/7Q/3p3q/6pk/1p3p2/5P2/6PK/8 w - -,h7g8
2b2rk1/r2nq3/pp1p1pp1/2pPp1b1/P1P1P1Pp/1PQ4P/1B2NPB1/4RR1K b - -,a7b7
2r1rbk1/1pqn1pp1/p2pbn1p/P3p3/4P3/2N1NB2/1PPB1PPP/R2QR1K1 b - -,c7c6
r4rk1/1bq1bpp1/p2ppn1p/8/NpPB1P2/3BR3/P1Q3PP/5RK1 b - -,f8e8
r2q1rk1/p1pb2pp/1bp2p2/3pP3/3B1P2/1N6/PPPQ2PP/R4RK1 b - -,f6e5
7r/1p6/p1pk4/3bp1pp/P1B1R3/1P3P1P/2P2KP1/8 w - -,c4d5
r2q1r2/1pp2pk1/1bn3n1/p3P2p/2Bp1Pp1/PN4B1/1P4PP/R2QR1K1 b - -,d4d3
3r3r/2kn1pp1/p2p4/Np1Pp1bp/1B4P1/P4P1P/1PP5/1K1R3R b - -,h5g4
8/5P2/3pP3/1P1B4/P1Pk2p1/8/2K4r/8 w - -,c2b3
8/1bkp1p1p/p2Rp1p1/1p2P1P1/2r2P2/P2K4/1PP4P/3N4 w - -,d6d4
2rr2k1/4pp2/p5pp/p3b3/B6P/B7/P4PP1/4R1K1 b - -,e5d6
8/2p2k1p/p1pn4/1p2r3/P7/1P2K1N1/2P3PP/3R4 w - -,e3d2
1r4k1/5pp1/4p2p/pB6/Pn1R4/1p2P2P/1P3PP1/6K1 w - a6,g1f1
8/1p2k3/p4ppp/3n4/3N2PP/1P5r/P2R4/5K2 w - -,g4g5
3q1rk1/p4rb1/1p1pb1np/nPpNpp2/P1P5/2BPPNP1/5RBP/3Q1RK1 w - -,d1c2
4r1k1/p4p2/4r1p1/1p1P4/1Pp4p/2P1pPpP/P3R1P1/4RK2 b - -,e6d6
1rb2k1r/BpN1pn1p/2p3p1/8/2P5/8/Pb3PPP/3RKB1R w K -,a7b8
8/3n1k2/8/1R1pBr2/pP1P4/7K/8/8 b - -,f7e6
r1bq1rk1/3n1pbp/pp1p2p1/2pP3n/P1P1PP2/2N5/1P2N1BP/R1BQ1RK1 w - -,c1e3
2r2rk1/1p1nbpp1/p3pnp1/2Pp4/1P1P4/2N1P3/5PPP/R1B1KB1R w KQ -,f2f4
7k/8/6p1/pP6/6P1/1P4K1/5nP1/8 b - -,f2d3
rnb1kb1r/pp1p1ppp/8/q2pP3/3Q4/2P5/PP3PPP/RNB1K1NR w KQkq -,g1f3
rn1q1rk1/pbp2ppp/1p1pp3/8/1bPP4/2N2NP1/PP1QPPBP/2R2RK1 w - -,d2d3
r2qkb1r/pp1bpppp/1nB5/3pN3/P2P4/8/1PP2PPP/RNBQK2R b KQkq -,b7c6
5b2/7k/p1r3pP/5p2/1p6/1P5R/P1P4P/1K1R4 b - -,c6c7
2kr2r1/p1p1bp2/1q6/N1ppP2p/Q2n4/3P4/PP1B1RPP/2R4K b - -,g8g4
1rnqr2k/5pb1/1p4pp/pPp1p3/P7/2BPP1P1/1PQN2KP/3RR3 b - -,b8b7
r4r1k/5Bb1/1p2P2p/p2P2q1/P1Pp2p1/1P1Q3P/4R3/6RK b - -,h6h5
8/8/5q1k/7p/4Qp2/6P1/1p4K1/8 b - -,f4f3
r3k2r/bpp1qpp1/p1npbn1p/4p3/4P3/1BPPNN1P/PP3PP1/R1BQ1RK1 b kq -,a7e3
r4rk1/ppqnppbp/2pp1np1/8/3PPP2/2NBBR1P/PPP3P1/R2Q2K1 w - -,g2g4
2r2rk1/ppq2ppp/2n1bn2/2pp4/3P4/P1PBPPN1/1B4PP/R2Q1RK1 b - -,f8d8
2r1nnk1/rq3pp1/p2Bp2p/1bp1P3/8/P1N3RP/1P2QPP1/1B2R1K1 w - -,e2g4
5rk1/2q2ppp/p2R4/1p2p3/n3P2b/1NPRQ3/P1P3PP/1K6 w - -,d6a6
3r1r1k/p2nRpb1/1p1P3p/8/1P4n1/3Q1NB1/Pq3PP1/2R2BK1 w - -,c1c7
rnbqk2r/pp2ppb1/2p5/3pP1n1/3P4/2N5/PPPQ2PP/2KR1BNR w kq -,d2g5
r1bqk1nr/ppp2pbp/2np2p1/4p3/1PP5/P3P3/1B1P1PPP/RN1QKBNR w KQkq -,g1f3:f2f4
8/1r4kp/R5p1/1n6/1P2PPP1/4K2P/8/8 b - f3,b5c7
2R5/5k2/5p1p/5K1P/4PP2/2p5/8/2r5 b - -,f7e7
5K2/5P2/3k4/8/1p6/8/P3R3/6r1 b - -,d6d7
2rr3k/1p4p1/3q1p1p/p3pP2/2R1P2P/2N5/1P3Q2/5BK1 b - -,c8c4
8/5k2/2R5/5K2/5P2/8/8/5r2 w - -,c6c7
3r1rk1/5qb1/1pp3pp/3b4/pP1Np2P/P1B1P1P1/1Q1R1PB1/6K1 b - -,f8e8
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/2PP4/2NBPN2/PP3PPP/R1BQR1K1 b kq -,f8b4
1rbqr1k1/2pn1pbp/p1pp2p1/8/P3P3/2N1BB1P/1PP2PP1/1R1QR1K1 b - -,d7e5
1R1b4/5n2/3p2k1/3PpN2/4P3/r4PK1/6N1/8 w - -,b8b7
8/8/8/3k3p/1p1P1p1P/1Pb1pK2/8/2B5 b - -,d5d4
r2qk2r/1p2ppb1/p1npb2p/3Nn1p1/4P3/1N4B1/PPPQ1PPP/2KR1B1R b kq -,b7b5
r3k2r/pbqp1ppp/1pn1p3/2b5/4P1n1/1PPB1N1P/P3QPP1/RNB2RK1 b kq -,g4e5
8/1P1k4/K2P2p1/N3pp2/6P1/7P/8/1r6 w - -,a6a7
6k1/2q2pb1/4r1bp/p1P5/1rR1p1P1/1P1pQ1P1/P4P1N/3R1BK1 w - -,d1c1
r2q1rk1/1pn1bpp1/2pp3p/p7/2P1Pp2/P2PB1PP/1P2Q1B1/R4RK1 w - -,g3f4
1k1qr3/4b2R/3n4/2Np3Q/p6P/5P2/PPP3P1/2K5 b - -,d8a5
r1b2rk1/ppq3pp/2nbpn2/3p2B1/3P4/1N1B1N1P/PP3PP1/R2Q1RK1 b - -,h7h6
1n2k2r/4bpp1/4q1np/p2pP3/2pP2P1/2P1BN1P/P2N2Q1/5RK1 w k -,g2g3
3Q4/8/5K1p/2k1P2P/8/3b1B2/2p5/8 b - -,c5b4
2bq1rk1/2nnppbp/p2p2p1/P1pP4/1rN1P3/2N5/1PQ1BPPP/R1B1K2R w KQ -,c1d2
2rq1rk1/pb3p1p/1pn2bp1/3p4/1P1P4/P2Q1N1P/B4PPB/2R2RK1 w - -,b4b5
r4rk1/1q2ppbp/3p1Np1/ppp5/3PP3/2P2N1P/PP1Q1PP1/2R2RK1 b - -,g7f6
r4rk1/1p3pp1/p2q1n1p/3Pp3/8/4Q1PP/PP3PB1/2R2RK1 w - -,f1e1
4b3/8/r2P1kpp/Pp3pn1/1p6/1B3N1P/5PP1/R5K1 w - -,a1e1
r3r1k1/1bqnbp1p/3n2pB/pp2p3/1Pp1P3/P1P3NP/2B1QPPN/R3R1K1 b - -,a5b4
1r3rk1/2q1bppp/2bp1n2/2n1p3/1p2P3/2P2NNP/1PB2PP1/R1BQR1K1 w - -,f3d2
4r3/qpp1R1kp/pn1p1pp1/3P4/1P3P2/2Q3PP/P1P3BK/3R4 b - -,e8e7
r1bqkb1r/3p1ppp/p1n1p3/1p6/3NP3/1P6/PBP2PPP/RN1Q1RK1 b kq -,d8f6
2r3k1/8/p1b5/2p3P1/r1RbpB2/6P1/2NRK2P/8 w - -,c4a4
8/rr2pk2/3p1n2/2pP1p1p/P4P2/1P5P/2R2BP1/3R1K2 w - -,d1d3
2n1r1n1/3qrp1k/1ppp2pp/p7/P1NPP3/1P3PB1/1Q4PP/2RR3K w - -,h2h3
2br1rk1/1pq2pp1/p1pn3p/P1N1p3/RQ2Pn2/2P1N3/1P3PPP/4RBK1 b - -,f4e6
r1bqnrk1/pp2n1b1/3p2pp/2pPp3/1PP1PpP1/P1NB1P1P/3Q1B2/R3K1NR b KQ b3,b7b6
8/4kppp/pp3n2/8/8/P3P3/1P2KPPP/2N5 b - -,e7d6
br4k1/6pp/p2b2r1/P1Np4/3B1q2/6P1/1P2QP1P/2R2RK1 b - -,f4d4
2rr2k1/pbq2ppp/1pnbpn2/3p4/2PP4/PP1B1N2/1B1N1PPP/2RQR1K1 w - -,c4c5
r2q1rk1/1b4pp/p7/1p2n3/1P1N3b/P3B3/3Q2PP/2RK1B1R b - -,e5g4
r1b1r1k1/1p4bp/1qp3p1/p1n2p2/1nP1p3/1PN3P1/PB2PPBP/R1QRN1K1 w - -,e1c2
rnbq1rk1/1pp1ppbp/p2p1np1/8/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,c7c5:e7e5
8/8/3Bp2n/1p1p4/1P1k1K2/6P1/8/8 w - -,d6c5
r5k1/1p1r1ppp/2n2q2/p2p4/8/1P2P1P1/P3QPBP/R4RK1 w - -,a1d1
r3k2r/p1ppqppp/bnp5/4P3/1bP5/1P6/PB1NQPPP/2KR1B1R w kq -,d2e4
8/p4pk1/2nNppp1/1r6/8/RP5P/5PP1/6K1 b - -,b5a5
r2qk1nr/1b1n1pbp/pp1pp1p1/8/2PNPP2/2NB4/PP2Q1PP/R1B2RK1 w kq -,c1e3
8/3n4/8/6k1/8/4K3/4B1P1/8 b - -,d7f6
6k1/1p3p2/pBp1p1pp/4P2P/1b4P1/1P1P1P2/P1K5/8 b - g3,g6h5
8/1r3p2/1PK3k1/1R2r1pp/8/6P1/8/1R6 b - -,e5e7
r2qk2r/1pp1npb1/p2p2n1/3Pp1B1/4P1b1/2N5/PPPQN1PP/R3KB1R w KQkq -,e1c1
8/5p2/4b1pp/3k4/1p5P/1P3NP1/1bBK1P2/8 b - -,e6g4
3r3k/pb6/2q4p/1pp1bp2/7Q/P3B1NP/1PP4K/8 w - -,h4d8
8/1R6/8/4K2p/8/5R2/4p1b1/2q1k3 w - -,e5d4
rn5r/ppk3b1/7p/4pp2/6pP/4P1B1/PP3PP1/2KR1B1R w - -,f1c4
8/5Rp1/4p1rp/1k6/8/5KP1/5P1P/8 w - -,f7c7
6R1/8/4p2k/5p1p/4r2P/5KP1/8/8 b - -,e4a4
r2q1rk1/p1pn1pbp/1p4p1/3B4/3P1B2/1P4P1/P3PP1P/R2Q1RK1 b - -,a8c8
5rk1/2Rb2pp/p4p2/1p2p3/4P3/1P2B1P1/P4P1P/6K1 b - -,d7h3
4B3/p3p1bk/2P3p1/6Bp/3r4/P5P1/2p5/5RK1 b - -,d4d3
8/1p6/p3kp2/B2bp2p/2r4P/2P1RPK1/8/8 w - -,e3d3
5rk1/1p1r1ppp/p2p4/q2np3/4P3/P2Q4/1PPR1PPP/2K4R w - -,d3d5
rr4k1/3nppbp/3p1np1/q1pP4/P3P3/2N2NP1/1P2QPKP/R1B4R w - -,a1a3
r1b1nrk1/pp1nq1bp/2p3p1/4ppB1/2P1P3/2N2N1P/PPQ1BPP1/3R1RK1 b - -,e7e6
1r1q1rk1/p4p1p/3pbnp1/4p3/1p2PP1N/3P2P1/PP1Qn1BP/4RRK1 w - -,e1e2
r1b2rk1/2qnbpp1/pp1ppn2/8/1PPNPP1p/2NBB2P/P3Q1P1/2R2RK1 b - b3,c8b7
8/1p4r1/1p2k3/4p1Pp/1PP1Pp2/2K5/P1BR2P1/8 w - -,c4c5
3r4/6kp/bqp1pNp1/p2nP3/Pb2R2P/6P1/1BQ2P2/3R2K1 w - -,h4h5
3R4/5ppk/2r4p/8/1p6/1P4P1/PN2rP1P/7K w - -,b2d3
r1bq1rk1/3nbppp/3ppn2/p1pP4/1pP1P3/3BBN1P/PP1N1PP1/R2Q1RK1 b - -,d7b6
r1b1k2r/pp2bppp/2n1pn2/q2p4/3P1B2/2NBPN2/PP1Q1PPP/R3K2R b KQkq -,a7a6
k7/8/pR3p2/2p3p1/6P1/5r1P/4K3/8 b - -,a8a7
5N2/7p/k5p1/1n3p2/1P1pp3/6P1/3K1P1P/8 b - -,b5d6
3r1r1k/2p1bppp/2p5/3qp3/p3P3/P1BP3P/2Q1KPP1/RR6 b - -,d5d6
r5k1/p4pbp/1p2q1p1/3R1p2/2P5/1P2B3/P2Q1PPP/6K1 w - -,d5d6
8/7p/ppb2kp1/4np2/P3p3/2P1N1P1/1PB1KPP1/8 w - -,e2d2
8/p4r2/4k3/2Q5/3p4/8/8/4K3 w - -,c5d4
5b2/5P2/4K3/5N1k/8/8/8/8 w - -,e6d7
r7/1R5p/3pk1p1/4ppP1/P7/5KP1/5P2/8 b - -,a8a4
4r1kb/2r4p/pn2p1pP/1pp1PpN1/3P3q/2P1B3/P3QPPK/1RR5 w - -,g5h3
r2q1rk1/p4ppp/bpnppn2/P1p5/2PP4/1QP2NP1/4PPBP/R1B2RK1 w - -,a5b6
r3r1k1/pp1q1p2/1npb1pp1/8/3Pp3/2NQ2PP/PP3PB1/3RR1K1 w - -,c3e4
r2r2k1/1pqnbpp1/p2p3p/P2Ppb2/1PP5/4BB2/3N1PPP/R1RQ2K1 w - -,d2e4
5k2/pp5p/2p4r/3bpP2/6BP/1P4P1/P4K2/4R3 b - -,e5e4
rn3rk1/p4ppp/b3p3/1qb5/R1N1P3/6P1/1PQ2PBP/2B2RK1 b - -,b8c6
2r1k2r/pp3pp1/2bppb1p/8/2q1P1PP/2NQ4/PPPB1P2/1K1R3R b k -,c4d3
8/1p6/2b2k1p/p3ppp1/2P3P1/1P1N1P1P/P2KB3/6b1 w - -,d3e1
3r4/pp3rqk/2pPR1p1/6P1/P3Q3/7P/1P4B1/6K1 w - -,h3h4
r4rk1/pp2bppp/2p5/3qN3/3PQ3/8/PP3PPP/3R1RK1 w - -,e4d5
r4rk1/pp2n1pp/3qb3/1Pnp1p2/8/3BPN2/P1Q1NPPP/R4RK1 b - -,a8c8
r3k2r/ppp2ppp/2p5/3bPn2/1b6/1P3N2/PBP1NPPP/R4RK1 w - -,f3d4:f3e1
r1b1kb1r/1p1n4/p4p1p/4p3/1q2N3/4PN2/P1QR1KPP/5B1R b kq -,f8e7
5b2/2pk1p2/R2p1pr1/3P1b2/5P2/2N3P1/1PP5/2K1B3 b - -,g6h6
r1br2k1/pp3pnp/2n1p3/2P1P3/1b4Q1/2p2N2/PPP2PPP/2K2B1R w - -,f1d3
2r2k2/1pr1p2p/p2p1b2/P1nP1Pp1/6R1/2P1B3/1P2B2P/5R1K b - -,h7h6
r1r4k/pp1q2pp/2nbpn2/3p4/3Pp3/PQN1PP2/1P1BB1PP/2R2RK1 w - -,g2g3
3b4/3k4/2p1p1p1/1pPpP3/1P1P1PK1/8/5B1r/R7 w - -,g4g3
8/7p/3p2p1/1N3k2/8/1PP3P1/2r1p1KP/4R3 b - -,f5e4
r2qk2r/1ppb1pb1/p1np1npp/4p3/3PP3/2P1BN2/PPB2PPP/RN1QR1K1 b kq -,e8g8
5rk1/6bp/1pn1b1p1/3p1p2/3Pp3/1P2P1P1/1B3PBP/4NRK1 b - -,c6a5
k2r3r/1p1nbpp1/p3pnp1/1NP5/4PBP1/1B3P1q/PP2Q2P/2R2RK1 w - -,c5c6
5k2/pp5p/2pp4/8/2Pp4/2N1b2P/PP2N1K1/8 w - -,c3d1
2q1rrk1/1p1nbppp/pP6/P1p1p2b/2Ppn3/3P2PP/4PPB1/1RBQNRK1 w - -,g2e4
8/8/4Q1pk/4n2p/NpP5/1P2q2P/P5P1/6K1 w - -,g1h1
r1bq1rk1/pp2npbp/6p1/2p5/4PP1N/2Pn4/P1QN2BP/R1B2RK1 b - -,e7c6
1N6/2RP4/p3nkp1/P7/8/3r3P/5K2/8 w - -,c7c6
4qrk1/p4pb1/Q4np1/7p/3R3P/2N2PP1/Pr2BP2/2R3K1 w - -,e2c4
3qr1k1/1p3pp1/2p2n2/5R2/p3n2P/P1P1P2Q/BP4P1/5NK1 b - -,d8d1
2r1r1k1/p2nqpbp/bp2p1p1/3pP3/2P5/1P1BN1Q1/PB3PPP/2RR2K1 w - -,h2h4
rn1qk2r/p3bppp/1p3n2/2pp4/3P4/1PN1PNP1/P1QB1P1P/R4K1R b kq -,b8c6
r2bk2r/5p2/3p2pp/1pqN4/p4N1P/3B4/PPP5/1K1RQ2b b kq -,e8f8
4rr1k/pp4bp/6p1/2p1Pp2/2Pp4/P3PRP1/1PP4P/1RB3K1 b - -,e8e5
1qr5/4pk1p/3p1p2/3Pn1p1/2P1P3/1Q2B3/5PPP/2R3K1 w - -,b3a2
3brr2/1k1q1p2/2p1p1p1/1p1pP2p/pPBP1P1P/P1P3P1/2R2B2/R2QK3 b - -,d5c4
5rk1/rb2bppp/pqn1p3/1ppn4/4N3/PP1P1NP1/1BQ1PPBP/R4RK1 w - -,f1c1
3r1nk1/6pp/4p2n/p3P3/1p1P1P1q/1P2N1r1/P2Q1RB1/2R3K1 w - -,e3f1
r2q1rk1/2p3bp/6p1/ppQPpbN1/3np3/7P/PP1B1PP1/2R1RBK1 b - -,d8f6
r1b2rk1/ppp1b1pp/3pnn2/5p1q/2P5/2N2NPP/PPQ1PPB1/R1BR2K1 b - -,c8d7
8/p6p/2Nrnkp1/2p5/2p2p2/2P5/P4BPP/4R1K1 w - -,c6a7
2r5/6kp/2b1ppp1/r7/p2K1PP1/R6P/2B5/R7 b - -,c6e8
4r2k/pp4p1/1nb2r1p/7Q/4N3/8/PPB3qP/1K1R3R b - -,e8e4
8/8/3k1p2/K2n4/8/1r6/1P1R4/8 b - -,f6f5
6k1/r7/4p2p/pp1pPn1P/2pP2R1/P1P3pK/1P1B2P1/8 b - -,a7g7
rq2r1k1/1p3pb1/n1P3bp/p5p1/3NN3/PP4PP/1B2QP2/R2R1BK1 b - -,g6e4
r1bq1r2/pp5k/1bp4p/3npp1Q/4N3/1B1P2Bp/PPP2PP1/3R1RK1 b - -,f5e4
1n3rk1/rp2ppbp/2p2np1/q7/2P3b1/p1NP1NP1/P3PPBP/BRQ2RK1 w - -,b1b3
r4rk1/1bq3pp/2pp1n2/p1n1p1B1/2P4Q/2R2N2/PPB2PPP/3R2K1 b - -,a8d8
4r1k1/1p2qpp1/p2p2n1/3P4/3R2PP/2P5/PPK2Q2/4rB1R b - -,e1a1
5r1k/1bp2qpp/np1p4/2PPpp2/1P6/rNR3P1/2Q1PPBP/3R2K1 w - -,c2b2
r4rk1/p5pp/2Qp4/8/2P3b1/3Bq3/PP1R2pP/2K3R1 b - -,e3g1
r1r3k1/1b3ppp/pp2pn2/4P3/q7/2P1Q3/3B1PPP/1BRR2K1 b - -,f6d5
2qrr3/1bp2pkp/p1np1np1/1p6/1P1PP3/P1N2N1P/2BQ1PP1/R3R1K1 w - -,a1d1
r5k1/p3qppp/1pP5/2b5/4B3/1Q4P1/PP3P1P/R5K1 w - -,b3f3
r2qk2r/pb1nppbp/1p1p1np1/3N4/2PQ4/5NP1/PP2PPBP/R1BR2K1 b kq -,a8c8
