8/8/8/4k1pB/2b2p1p/7P/5KP1/8 b - -,c4d5
4r1k1/1p3qpp/1pp5/5r2/P1P1R1PQ/5P2/1Pn3KP/6NR b - -,e8e4
rn1q1rk1/p1pp2pp/1p2pn2/5pB1/2PPb3/1Qb2NP1/PP2PPBP/R3K2R w KQ -,b3c3
r4r1k/2R2p1p/q1p2p2/2Pp1P2/1p1P4/1P4QP/6P1/4R1K1 w - -,g3h4
1R6/r5k1/8/6P1/6K1/8/8/8 w - -,g4h5
2kr2r1/ppp4p/2q5/2n1pP2/2Q5/2P2RP1/PP1N3P/5R1K b - -,g8f8
4B3/2R5/1K3k2/5p2/5PbP/8/8/1r6 w - -,b6a7
7r/5nk1/pp2bq2/4P1p1/P1pPN2r/4P3/1P4B1/R4RK1 w - -,f1f6
r1r3k1/4nppp/b3p3/p2pP3/3P3P/P1p1PNP1/2P5/R1R2BK1 b - -,a6f1
8/5pk1/R4qpp/2p5/2P5/1pn4P/5PP1/4Q1K1 b - -,f6d4
8/8/8/8/5k1p/5RbK/r5B1/8 b - -,f4g5
8/5p2/p1r1k1p1/1p2p2p/1P5P/P2R2P1/5PK1/8 b - -,f7f5
3r3k/pp4p1/2p4p/3q4/3pnP2/Q4NR1/PP2r1PP/5RK1 w - -,g3g6
1R6/3rnpk1/4p3/p3P1p1/2RP2P1/1P6/P2K4/8 b - -,e7g8
6k1/2p3p1/6np/1p1Ppr2/1N6/1PP3B1/1n3PPP/4R1K1 w - -,e1b1
2krr3/1pp5/p1pb1pn1/4p1pp/P1NPP3/2PRBP1P/1P2KP2/R7 w - -,a1d1
r4rk1/1ppq1ppp/pbnpbn2/4p1B1/4P3/1BPP1NN1/PP3PPP/R2Q1RK1 b - -,e6b3
2r1qrk1/1p2b1pp/p1np4/3Rpp2/4P3/1NP1BP2/PP2Q1PP/R5K1 b - -,f5e4
rn1qk1nr/pbpp2pp/1p2p3/5p2/1bPP4/5NP1/PP1BPPBP/RN1QK2R b KQkq -,b4e7
8/2k3p1/7p/P3p2P/2B5/P4PP1/4K3/6b1 w - -,e2d3
r3k2r/1pp2pb1/p1np1q2/3Pp1p1/P1B1P3/5P1b/1PPQN1KP/1N1R1R2 w kq -,g2g1
3q1rk1/p2b1pp1/3p1n1p/4pP2/PP1pP1P1/3P3P/1r1BQ1B1/R1R3K1 w - -,c1c4
6k1/4pp1p/2qr2pb/1pNn4/r2B1P2/P1P4P/1P2Q1P1/3R1RK1 b - -,a4c4
rn1q1rk1/ppp1ppb1/3p1npp/8/3PPPbB/2N2N2/PPP3PP/R2QKB1R w KQ -,f1e2
8/2p1k1p1/1p1p1p2/p2P1Q2/2P3P1/1P5P/P5K1/4q3 b - -,e1e2
r3r1k1/bpp2qpp/2n1bp2/p2np3/P1N4N/2PP4/1PQBBPPP/3R1R1K b - -,g7g5
1R6/5pkp/2P5/1R2r3/8/8/7r/K7 b - -,e5b5
r1b4b/5k2/p1p1p3/q2pPnN1/5QP1/2N5/PPP2P2/R3K3 b Q -,f7g6
8/2rQ2pk/R4p1p/4p3/4P3/2P4P/5PPK/8 b - -,c7d7
2rq1rk1/1p1n1ppp/p1n1p3/3pPb2/3B4/2P1QN2/PP2BPPP/R4RK1 b - -,d8c7
2r1r1k1/q3bp1p/1pp1nnp1/p2p4/3PP2B/P2B1P2/1P2N1PP/2QR1R1K w - -,e4e5
4rrk1/pp2np2/3p1Bq1/2pP1p2/2P4p/3BR1P1/PPQ2PKP/4R3 b - -,g6f6
8/7p/p7/1p1k1Pp1/8/P3PK2/1PR2P1r/8 b - -,h2h4
r2qkb1r/pp1b1ppp/2n1p2n/3pP3/1p1P4/P1P2N2/5PPP/RNBQKB1R w KQkq -,c3b4
r1r3k1/5pp1/3b4/p2p2Bp/1P1P4/5PP1/PK5P/3RR3 b - -,d6b4
r2qk2r/2pnppbp/p2p2p1/1p1bP3/3P1P2/P2BBN2/1PP3PP/R2Q1RK1 b kq -,e8g8
4rrk1/p6p/2p1pQp1/3p1p1R/8/3P3P/PPP2PP1/4R1K1 b - -,f8f6
2b2rk1/r3qppp/p1p2n2/1p6/4PR2/1B5P/PPP1NQP1/R6K b - -,f6e4
2rr3k/p3Npbp/3pbnp1/1q6/N3PPP1/1P3R1P/P2B3K/1R1Q4 w - -,e7c8
2Q5/5rbk/3p4/3qr3/p7/1p4R1/1P4PP/2B3RK b - -,e5h5
8/p5pk/1p6/5pP1/P1Brp3/1P5P/5PK1/8 b - -,g7g6
2r1r1k1/p4pb1/1q1p2pp/3b4/RP2PP2/1Np3P1/2Q3BP/R5K1 w - -,g1h1
r5k1/pp1q1ppp/8/3p4/4r3/4R1PP/PP1QPPK1/2R5 b - -,d7e6
rn3rk1/pp1qbppp/2p1pnN1/3p4/2PP4/1QN1PPP1/PP1B3P/2R1KB1R b K -,h7g6
r1b1k1nr/p4ppp/nppQp3/B7/2P1q3/8/PP2BPPP/R3K1NR b KQkq -,c8d7
8/6p1/1pk2p1p/p1p5/P7/2K1P2P/1P3PP1/8 b - -,b6b5
4R3/1p2br1k/p6p/P2Q2p1/4p3/2P4P/1P3qP1/3R3K b - -,f2f4
rn1q1rk1/pp3ppb/2p1pn1p/7N/2BP1BPP/8/PPP1QP2/R3K2R b KQ -,f6h5
1b1r2k1/5p2/4p2p/1R6/3P4/3KP3/8/6N1 b - -,e6e5
r1bqkb1r/pp2pp1p/2np1np1/2p5/4P3/2PB1N1P/PP1P1PP1/RNBQ1RK1 b kq -,f8g7
8/7R/4k3/5p2/3Pp3/2r4P/P3KP1P/8 b - -,c3a3
3q1rk1/pp2bppp/4pn2/3p4/2rP4/P1N1PQ1P/1P1B1PP1/3R1RK1 w - -,f3e2
4r1k1/1b2rp2/p3q1p1/1p2p3/5n1P/P1P1N3/1P1R1QP1/1B3RK1 b - -,b7g2
2k5/R4p2/4b1p1/p3P3/5Pp1/rB2P2P/P4K2/8 w - -,h3g4
r1bq1rk1/pp3pb1/3ppnp1/2pP4/2B1PP1p/2N1B3/PP4PP/R2QKN1R b KQ -,b7b5
6k1/1p3p1p/2p2R1P/3p2P1/p3rP2/P1P5/1PPK4/8 w - -,f6d6
6k1/2r2p1p/3pP1p1/3P1nPP/1p3Q2/1Bq5/P1P5/1K3R2 b - -,g8f8
1k6/1p3pr1/2p1p3/p1P1P2p/5R1P/1P2n3/NK6/8 b - -,g7g2
1r3r1k/1N4bp/p3p1p1/2Pnp3/P2n4/3q2P1/3B1PBP/1R1QR2K w - -,g2e4
2r3k1/p4p2/1p4pp/4n3/P2KP3/8/3B1PPP/1R6 b - -,c8d8
2rqrbk1/pbn2ppp/1p6/8/3Np3/1P4P1/PB2PPBP/1Q1RR1K1 b - -,d8g5
2r5/6p1/8/2PN1Pk1/pPn1K1Pp/7P/P2p4/6R1 w - -,e4d3
r1b1kb1r/pp1p2pp/2n1pn2/q5B1/7Q/2P2N2/PP3PPP/RN2KB1R b KQkq -,f8e7
8/p7/2n5/P7/1P1p4/1K2k3/8/8 w - -,a5a6
r2q1r1k/1pp3pp/3b1p2/p3nb2/P3Q3/1BP5/1P3PPP/R1B1R1K1 w - -,e4f5
r5k1/p4p1p/5qp1/2pP4/2B2P2/1rbQ4/P5PP/5RK1 w - -,a2b3
r1bqr1k1/ppp2pbp/3p2p1/4n3/2P5/1PN1PB1P/PB2QPP1/R3K2R w KQ -,a1d1
2b5/1pq4k/6p1/Pp1Q3p/8/2P3P1/4BK2/8 b - -,b7b6
8/8/7p/4K2k/P2R3P/8/8/3r4 b - -,d1e1
3qr1k1/1p3pb1/6p1/P1BP3p/2N1P3/1r3n2/RP3P2/3QR1K1 w - -,g1f1
7R/8/7P/p7/K1k5/8/8/7r w - -,a4a5
r1b1qrk1/1p1n2pp/2p2b2/p1Pppp2/N2Pn3/1P1NP1P1/PB3PBP/R2QR1K1 b - -,e5d4
r4rk1/1b1qbp1p/p2p1np1/N3p3/4P3/2RB4/PP1BQPPP/R5K1 b - -,f8b8
2b2rk1/r4ppp/p3p3/3pP3/2p2P2/2P5/PPBK2PP/R6R w - -,d2e3
r4rk1/pb3pb1/4p1pp/1pp1P2P/5PQ1/qB2P3/P4KP1/2R2R2 b - -,b7e4
7k/6b1/r4n1p/1qp1p2P/3pP1p1/pQ1P2P1/P5K1/2BB3R b - -,b5c6
rn3rk1/1p3p1p/p5p1/3pq3/2p5/1PP1P3/PBQ2PPP/2R2RK1 w - -,b2a3
3r2k1/1p3pp1/p2p1b1p/2r1p3/1qP1P3/1P1Q1N1P/P4PP1/3RR1K1 w - -,f3d2
rnnq1rk1/pp2bppp/4p1b1/P7/2pPP1P1/5P2/NPB3NP/R1BQ1RK1 w - -,f3f4
rnbqkb1r/pppppppp/5n2/8/3P4/P7/1PP1PPPP/RNBQKBNR b KQkq -,e7e6
5b2/7k/7p/1p1QNn1q/1P1p1P2/8/6N1/6K1 w - -,d5b5
8/1b6/k3r3/2K3R1/8/8/8/8 b - -,e6b6
2r2r1k/7p/5pp1/3Pp3/2p1P3/3q3P/1P2N1P1/4QR1K b - -,d3e4
r2r2k1/5p2/4bnp1/p1p5/1p2PP2/2P1KBN1/P1P3P1/R6R b - -,b4c3
1R2b3/2r2k2/2Np4/1P1Pp1p1/4Pn1p/4KP2/6P1/5B2 b - -,e8c6
2b1r2B/4q2k/r3p2P/pp3pp1/3PB1Q1/2P5/PP3R2/4R1K1 b - -,h7h8
r1bq1rk1/pp3ppp/2n5/3np2Q/8/P1NB4/1PPB1PPP/R3K2R b KQ -,f7f5
8/8/6p1/3r4/1BNp4/1P1Ppk2/P6P/4K3 w - -,b4d6
r4rk1/pppqppbp/1nn3p1/4P3/3P2b1/1QN1BN2/PP2BPPP/3RK2R b K -,c6a5
2rr3k/5ppp/p1q5/1p1bp3/8/1PP1NQ1P/P4PP1/2R1R1K1 w - -,e3d5
r1bq1rk1/pp1n1pp1/3p1n1p/2pPp1B1/2P1P3/2PB1P2/P3N1PP/R2QK2R w KQ -,g5h4
8/kpQ5/p7/P7/8/KPP1q2p/8/8 w - -,c3c4
rn1qkb1r/5ppp/3p4/pQ1Pp3/Pp6/1N2B3/1PP2PPP/R3K2R b KQk -,b8d7
1r1q1r2/p4pkp/4p1p1/8/1p1PQ3/6P1/PP3P1P/R1R2K2 b - -,b8b5
r1bq1k1r/p4pp1/2n1p2p/1p1pP3/2pP2QP/2P3R1/P1PK1PP1/R4BN1 b - -,h8g8
8/5pk1/6p1/4P1Kp/5P2/p2r2P1/P1R4P/8 w - -,c2c7
r4rk1/ppp2qpp/3bp3/4p1Bn/3nP1Q1/P1N4P/1PP2PPN/2R2RK1 b - -,h7h6
3qr1k1/1Qpbbppp/5n2/2pp4/1P1P1P2/2N5/3BBPPP/4K2R w K -,b4c5
8/1P5p/3p2pk/8/5P1K/p5P1/7P/8 b - -,a3a2
5r2/3q2pk/p7/8/1b1p4/3R2NP/1P3PK1/2B2R2 w - -,f1d1
r1b2rk1/p4p1p/3q1np1/1ppP4/2P5/5N1P/P3BPP1/R2Q1RK1 w - b6,c4b5
8/1k3pp1/p2p2p1/1p1P4/2P3P1/P2K4/2N5/8 b - -,b7b6
1qr3k1/1r1nbppp/pBppp3/P7/NPP1P3/5P2/5QPP/2RR2K1 b - -,c6c5
1R4R1/p6p/pr1p1p1k/2p2Pp1/6PP/P1P5/3r4/7K b - -,b6b8
r1bqk2r/ppbn2pp/2p1p3/2Pp1p2/1P1Pn3/5NP1/P1Q1PPBP/RNB2RK1 w kq -,a2a4
2kr4/ppb2p2/4p3/1b1r3p/2NN1p2/2P2P2/PP4PP/2R1R2K w - -,b2b3
4r1k1/2Q2qpp/4p1n1/3p4/1B1Pnp2/P3PN2/5PPP/2R3K1 b - -,f4e3
5bk1/3R1p1p/p5p1/3Np1P1/1pq2n1P/1P3P1B/P1P2B2/1K6 b - -,c4c6
2r2rk1/1p2qpp1/pn2p1p1/8/3N4/1PP4P/3PQPP1/R3R1K1 w - -,a1a5
1R6/2r2kp1/5n2/1P5p/1r6/4R2P/5P2/5K2 w - -,b5b6
b2r1r2/2pnqpbk/1p4pp/pB6/P2NPp2/2P2P2/1P1NQ1PP/3RR2K b - -,d7b8
4r3/1R1k4/p1p5/4Bbpp/P7/1P2KP1P/6P1/8 b - -,d7e6
rn1q1rk1/pbp1ppbp/1p3np1/3p2B1/3P4/2PBPN2/PP1N1PPP/RQ2K2R b KQ -,b8d7
8/6k1/1p6/p5P1/P1B3rP/1P5K/8/8 b - -,g4g1
r3k2r/p1q2ppp/1pb1pn2/2p3B1/4PP2/2PB4/P1P1Q1PP/1R3RK1 w kq -,c3c4
8/8/5P2/1p2R3/1k5p/2p4P/3r2P1/2K5 b - -,d2f2
8/1p6/p1p2kp1/P1P4p/1PB2K1P/8/2b2P2/8 w - -,b4b5
2rn1kq1/1pr1p3/p2p1p1Q/5N1p/1PP2P2/P3P3/5K1P/R1R5 b - -,f8e8
r3k2r/1p1n1p1p/1pp3pB/3p1b2/3P4/4P3/PP1bBPPP/2R2RK1 w kq -,c1d1
rnb1kb1r/4pp1p/p2p2p1/q1pP3n/PpP1P3/3QBN2/1P1N1PPP/R3KB1R b KQkq -,f8g7
5bk1/5p1p/1p1r2p1/8/1P1B4/P3P1PP/2B2PK1/8 b - -,f8g7
2kr1b1r/pppn1ppp/3qp3/3P2P1/2P2P2/2N1B3/PP2B1P1/R2QK2R b KQ -,a7a6
3r1rk1/1bq3bp/pp1pp1n1/2n2pB1/2PN4/1PN4P/P2Q1PP1/1BRR2K1 b - -,d8e8
7R/8/8/5p2/4p3/5rk1/4K3/8 b - -,f3a3
rn1q1rk1/pp2ppbp/2p1bnp1/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ -,g5f6:f3d2
8/1r2p2p/6p1/P1kn1p2/8/3K1PP1/6P1/R3B3 b - -,b7d7
5rk1/p3nppp/2p1p3/3pP3/1r1P4/1N3P2/PP2KP1P/2R4R b - -,e7f5
r1r3k1/1p3pp1/p1npbq1p/3p4/Q2P4/P3PN2/1P2BPPP/R4RK1 w - -,f1c1
1qr3k1/4ppbp/p4np1/1p2P3/8/1Q3BP1/PP1B1P1P/4R1K1 b - -,f6e8
r5k1/p1B2r1p/4ppp1/1B1b1n2/PP1P4/2R2P2/5KPP/3R4 w - -,b5a6
r3r1k1/6qp/1pp3p1/4Pb2/1nP2P2/pP2BR1P/P3R1B1/1Q4K1 w - -,b1e1
8/pk4r1/1p3p2/5P2/3PQK2/P1P5/6qB/8 b - -,b7c7
3r2k1/p5p1/1p1P1q1p/2p5/4p2P/4P1Q1/1P1R4/6K1 b - -,d8d7
r2q1rk1/1b2ppbp/p2p1np1/n1p5/2P5/1PN2NP1/P2BPPBP/R1Q2RK1 w - -,d2h6
2rq1rk1/1p2bppp/p7/2np4/b2N1B2/PP2PB1P/5PP1/2RQ1RK1 b - -,a4c6
4bn1r/2k5/1p1qp3/pP1pN1bp/P1pP4/2P1R1PP/2B1K1R1/1Q6 b - -,g5e3
8/8/6p1/4Kpk1/6r1/8/8/7R b - -,g4g2:g4e4
3q3k/pb1r1prp/1p6/2pPP3/P3BP1Q/6P1/3R1K2/3R4 w - -,h4h6
rr4k1/1p2qbbp/2pp1pp1/2B5/2P1PN2/1PN2P2/1Q4PP/3RR1K1 b - -,d6c5
rn1qk2r/p3ppbp/3p1np1/1PpP4/4P3/5P2/1P2N1PP/RNBQK2R b KQkq -,e8g8
1R6/2r1kp2/8/2P5/pp1K4/3B3P/1rP3P1/8 w - -,b8a8
8/3K3p/7B/k3Pp1b/8/8/2p2PP1/8 b - -,a5b5
r1bqkbnr/ppp3pp/2n2p2/1B1pp3/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq -,g1f3
8/p6p/5r1k/3p4/3q4/6QP/5PP1/4R1K1 w - -,e1f1
2kr1b1r/2p2pp1/ppb4p/2p1n3/4P3/4B1NP/PPPN1PP1/2KRR3 b - -,g7g6
8/5pp1/8/k1K4p/pr3P2/4R1PP/8/8 b - -,b4b3
5rk1/pp5p/2p5/3p4/5B2/P5P1/1PR3KP/4r3 w - -,g2f2
r1b2rk1/1pqn1ppp/2pp4/p2Pp1b1/N1P1P3/P2B4/1PQ1NPPP/R4RK1 w - -,f2f4
6k1/1pp1q1b1/3n2p1/p1pPp1P1/P1P1Pp2/1PN2N1Q/2K2P2/8 b - -,g7f8
r3rnk1/2p1qpbp/1p1p1np1/pP2p3/P1P5/3PPNN1/1BQ2PPP/2R1R1K1 b - -,f8e6
3rrnk1/pp2bppp/1qp1p3/3nN1B1/2BP4/2P4Q/PP2RPPP/4R1K1 w - -,g5c1
2r3k1/qpr1n1pp/p3pp2/P3N3/1P1PpP2/2P3P1/3Q3P/R1R3K1 w - -,e5g4
rn1r2k1/p3qpp1/1p1pp2p/3b4/3PP3/3Q1NP1/PP3PBP/R1R3K1 b - e3,d5b7
r1bqnb1k/pp6/3p3p/3Pp1p1/P3PNP1/2N1B3/1P2B2P/R2Q2K1 b - -,g5f4
r2qr1k1/pb3ppp/1p1p2n1/2p1pN1n/2PPP3/P1PBBP2/3Q2PP/R4RK1 w - -,g2g3
1r1b2k1/1r1B1p1p/2Rp2p1/3Pp2P/1qP3Q1/1P4P1/5PK1/1R6 b - -,b4a3
rnbq1rk1/p4ppp/1p1ppn2/2p5/1PP5/P1Q1PN2/3PBPPP/R1B1K2R b KQ -,b8d7
r1bq1rk1/p2n4/2p1p2p/3pPppQ/1b5P/2NB2B1/PPP2PP1/R3K2R b KQ -,g8g7
2r3k1/p6p/R5p1/3P2n1/2p1Pb2/2N2P2/1PB5/7K w - -,c3e2
8/5kp1/p7/P7/bPr5/5P1P/1R3BPK/8 w - -,f2c5
1r3rk1/pppqnpbp/3pbnp1/3Np3/2P5/1P1PP1PP/P3NPBK/R1BQ1R2 w - -,d5f6
3q1k1r/1p1b1pb1/2p1n2p/3pP1pN/1PnP4/5NBP/2B2PP1/R1Q3K1 w - -,c2d3
2r5/2P5/p2k4/P2n4/4Q3/8/3K1P2/8 b - -,c8c7
r1bq1rk1/2p2ppp/1pn2n2/p1b1p3/4P3/1NP2NP1/PPQ2PBP/R1B2RK1 b - -,c5d6
r3k1nr/ppq2ppp/2nbp3/3p4/2PP4/7P/PP2BPP1/RNBQ1RK1 b kq -,d5c4
1R3Q2/p1q1n1pk/3pp3/5p2/2P2P1P/P3P3/5P1K/8 b - -,e7g6
r3k2r/3q1ppp/p1n5/3p4/1Q1P4/N5P1/1P1pPP1P/R2K3R w kq -,b4d2
8/1p3k2/p1b2p2/r7/2P2R2/4BP2/5KP1/8 b - -,f7e6
r1bq1rk1/ppp2pbp/3p1np1/4n3/2BNP3/2N1BP2/PPPQ2PP/R3K2R w KQ -,c4e2
3r4/ppk1rpp1/2p1p2p/4N1nP/2PPn2R/3NP3/PP4P1/2K2R2 w - -,e5f3
r1bq1rk1/pp2pp1p/1n1p2p1/3Pb3/4P3/2N1B2P/PP2BPP1/2RQ1RK1 w - -,f2f4
r3r1k1/1ppq1ppp/1p1p2n1/3P4/2P2Pn1/5Q2/PPBN2PP/R4RK1 b - -,g4e3
2b2nk1/Qpq2pbp/2p2np1/4p1N1/PBP1P3/1PNr2PP/5PB1/R5K1 b - -,h7h6
1rbqk1nr/p4pbp/2npp1p1/2p5/1p2P3/3PB1PP/PPPQ1PB1/R2NK1NR w KQk -,f2f4
r2q1rk1/1p2bppp/p1npbn2/2p5/4PB2/2N2N2/PPP1BPPP/R2QR1K1 b - -,b7b5
r5k1/pp3r1p/4QPp1/2p4P/2PP2R1/P7/1qn2P2/3R2K1 b - -,b2b6
r1bqr1k1/pp2bppp/2p2nn1/3p4/3P1B2/2NBP2P/PPQ1NPP1/R4RK1 w - -,f4g3
Q2nkb1r/4pp1p/p4p2/8/2pP4/2PqPN2/P4PPP/4KB1R b k -,d3c3
1qb2rk1/5pb1/p5p1/2p2n2/3p2pP/P2P2P1/2PB1PBN/3Q1R1K b - -,c8b7
5r1k/2q2p2/6pp/1R2p3/4P3/4Q2P/5PP1/6K1 b - -,h8h7
r1b1r1k1/1p2q1pn/2p1P2p/pN2QP2/P3p1Pb/4B2P/1PP5/3R1RK1 w - -,b5c7
1r1qr1k1/n1pb1pbp/p4np1/1pRPp1B1/4P3/5P2/PP1QNNPP/4KB1R w K -,e2g3
6r1/pp1r1k2/2p2n2/4RKp1/8/P5P1/1P6/5RB1 b - -,g8g6
6k1/p6p/7q/8/3QP1p1/8/P2rNPP1/5RK1 w - -,d4c4
3qn2r/1r3pk1/1p1n2p1/pPpP1p1p/2P2Q2/1N1B1P2/1P2R1PP/4R1K1 b - -,d8f6
r4rk1/pbqnppbp/1p1p1np1/2p5/3PP2N/2N1B1PP/PPPQ1PB1/1R3RK1 w - -,d4d5
8/p5k1/1p2n2p/3bP2P/8/P2BB1P1/4K3/8 b - -,e6c5
8/8/3k4/r7/5K2/6P1/4R1P1/8 w - -,g3g4
r2r4/pp2bkp1/2p1pp2/2P4p/3P2qQ/4R1B1/1P3PPP/4R1K1 w - -,e3e6
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N1B3/PP1QBPPP/R3K1NR w KQ e6,d4d5
2r5/5kb1/2p5/NpP2pp1/1P1p4/3K2P1/5P2/3R4 b - -,g5g4
5r1k/1pb4p/2p5/2P5/1P2BP2/1Q5P/5RP1/q5K1 w - -,e4b1
1r3r1k/1p1q2bp/3p2n1/1P2p1p1/2Pp1P2/3P2Pb/3BN2P/1R1QR1KB w - -,f4g5
r1bq1r1k/pp2n1b1/2p3p1/2pPp2p/N3Pp2/5P2/PP1BB1PP/2RQ1RK1 w - -,d5c6
5nk1/3bpq1p/6p1/2pPp3/2P1N3/6PP/1r4BK/Q7 w - -,a1b2
r2q1rk1/pbpnbpp1/1p1ppn1p/8/2PP3B/P1N1PN2/1P2BPPP/R2Q1RK1 b - -,f6h7
3r4/2pr4/1p3k1b/pPp2ppp/4Pp2/2PP1P1P/PN2KPR1/3R4 w - -,a2a4
5r2/1p2r1k1/pR4b1/8/4P1PP/2N2BK1/PP6/8 w - -,h4h5
rnbqk2r/pp3ppp/2p1pn2/8/1bBP4/2N2N2/PPP1QPPP/R1B1K2R w KQkq -,c1d2
5kr1/p1pp1p1p/1p3P1Q/8/2n2P2/2K5/PB5P/4r1N1 b - -,f8e8
5rk1/5p2/4q1p1/2P1p2p/3r4/5PP1/1Q5P/2RR2K1 b - -,f8d8
rnb2rk1/pp3pbp/6p1/q2p4/8/1N2B1P1/PP2PPBP/R2Q1RK1 b - -,a5b5
2r3k1/5p2/4p1pp/1p5q/1N6/3NP1P1/1R2KP2/8 w - -,e2d2
8/5p1k/4p2p/p2nP1pP/1p6/1PqN4/P3QPP1/6K1 b - -,h7g7
r2q2k1/pbpnn1bp/1p1pprp1/4PpN1/2PP1P2/2NBB3/PP4PP/R3QRK1 b - -,f6f7
8/4n3/1b4pk/3p3p/5P2/2N1PKP1/2B5/8 b - -,b6a5
5rk1/1pp1R1bp/3p2p1/3P1q2/1PP2p2/1R3N1P/4QPPK/r7 b - -,f8f7
6k1/p4ppp/3p1n2/2p2Q2/n2q3P/5P2/2P1K3/5BR1 b - -,a4c3
2rqkbr1/1p1b1p2/4p1p1/n3P1Np/p1pP1P2/P7/1P1BN1PP/RQ3R1K w - -,g5e4
2r5/5k1p/3R4/1p3rp1/4R3/Pp3P2/1B4KP/8 b - -,c8c2
1r4k1/5pqp/p2P2p1/2pn3r/1p2N3/PP2Q1PP/7K/2R1R3 w - -,e3f2
1b1r1rk1/1b3pp1/p1p1qn1p/1pP1pNB1/PP2P3/8/2Q1BPPP/R2R2K1 w - -,g5h4
2rqk2r/pp2ppbp/2np2pn/8/2PP2b1/2N1BN2/PP2BPPP/R2Q1RK1 w k -,d4d5
6k1/8/4p3/1q4b1/1pNP1p1p/1P6/2P1KP2/R5R1 b - -,f4f3
6k1/1p1n4/p4Ppp/3P4/P2Q4/4r3/1P3KPP/4r3 w - -,d4g4
2r2rk1/1bq1bppp/p7/P1p1n3/1p2PB2/1P1Q2P1/4NPBP/R2R2K1 w - -,f4e5
2bqr3/3n4/2p2bkp/1p2pp2/1PP5/1QN2N1P/2PB1PP1/R5K1 b - -,e5e4
2r3k1/1b1N1p1p/4p1p1/pP1P4/3R4/5P2/P2K4/8 w - -,d5d6
8/1p4k1/p2p2p1/6Q1/2P5/1P3q2/P4B1b/5K2 b - -,h2e5
4k1rr/4p3/2pq4/p2n1P2/PpBPQ2R/8/1P4PP/4R1K1 w - -,h4h8
4r1k1/5pb1/pB6/1p4r1/7R/2P5/PP6/1K5R w - -,h1h2
8/8/2R2bk1/2R5/2pr1r2/8/1P3P2/6K1 b - -,f4h4
r2q1rk1/pb2bpp1/1pn4p/4p1NQ/3P3P/2PB4/P4PP1/R1B1R1K1 w - -,g5h7
7R/8/1p3r2/p2pkP2/P3r3/1P2PR2/2K5/8 b - -,e4g4
