Q7/1Q6/4k3/8/K2q4/8/8/8 w - -,a4b3
r1b1k2r/pp3ppp/2pp1n2/4q3/2P5/2N1P3/PP1QBPPP/R4RK1 b kq -,c8f5
4R3/p7/1p3k2/2pr4/6P1/5K2/P7/8 b - -,d5d3
r4rk1/pp2b2p/4ppb1/1BPp2p1/3Pn3/2P1P2P/4KPPB/R1R1N3 w - -,f2f3
r1bqk1nr/pp2ppbp/2n3p1/2ppP3/3P1P2/2N1B3/PPP1N1PP/R2QKB1R b KQkq -,c5d4
8/2p3k1/p2q1p2/3p2pp/3P4/1P1Q1P1P/P4PK1/8 w - -,d3f5
r2q2k1/1pr2pp1/p2p3p/P2P4/1P1Q2R1/7P/5PPK/4R3 b - -,d8f8
7k/6p1/1p6/p7/Pr4RP/5PK1/5P2/8 w - -,g4e4
r1b2rk1/ppb3pp/2p1pq2/3nN3/3P1P2/6P1/PPQ2BBP/R4RK1 b - -,c7e5
2k5/1pr2ppp/3rp3/1R1n4/2PP4/1R3B1P/5PP1/6K1 b - -,c7c4
1n4k1/4pp1p/3p1np1/p1pP4/4PB2/2P3PP/P2N1P2/5K2 b - -,f6d7
3b1k2/6p1/R4pp1/8/3PP3/3K2PB/1r5P/8 b - -,b2h2
2rr2k1/4bppp/2q1b3/4p1Pn/pp2N3/3BBP2/PPP4P/1KR1Q1R1 w - -,e1h4
r1bq1rk1/p1pnbppp/2p5/3pP3/3N4/8/PPP2PPP/RNBQR1K1 b - -,d7b8
r1bqk2r/ppp3pp/2nb1p1n/1B1pp3/5P2/1P2P3/PBPPN1PP/RN1Q1RK1 b kq -,a7a6
r1bq1rk1/pp2ppbp/5np1/2n5/2B5/2N1PN2/PP2QPPP/R1B2RK1 w - -,f1d1
4r3/q3Ppkp/1p2bnp1/p1p5/2P5/1P3B1P/P2QRPP1/4R1K1 b - -,e8e7
8/8/3b4/4pkp1/1p1p2N1/1P1P1K1P/2P2P2/8 w - -,g4h2
r2q1rk1/4bpp1/bpn2n1p/p2pp3/3P2PB/2P2N2/PPBN1P1P/R2QK1R1 w Q -,g4g5
r3r1k1/pp3ppp/8/3p4/3Q2b1/5NP1/P1q2PBP/4R1K1 w - -,e1e8
3r2k1/pp3p1p/4p1pP/1P1bPN2/3P4/8/P4KP1/R4B2 b - -,g6f5
r3kb1r/1p1b1p1p/pqnppp2/8/4P3/1NN5/PPPQ1PPP/2KR1B1R w kq -,f2f4
1k1r4/ppqnn3/2p1Bp1r/4p2p/N2P3P/P4QN1/1Pb2PP1/R3R1K1 w - -,e6d7
1r6/3b2k1/1p1n3p/2pP4/4Bp2/8/6NP/R5K1 w - -,e4f3
r3k2r/pbpnq1p1/4pn1p/1p2N2P/2pP4/2P3R1/P1QB1PP1/R3KB2 b Qkq -,d7e5
r4rk1/pp4bp/2npbq2/2p1ppp1/2P5/3PPNP1/PP1B1PBP/R2Q1RK1 w - -,d2c3
1r3rk1/1pnbqpbp/p2p2p1/P1pP4/2N5/1RN1P2P/1P2BPP1/3Q1RK1 w - -,b3b6
3b1rk1/1q5p/2bp2p1/1p1Npp2/1P2P3/2P2B2/5PPP/rQ1R2K1 w - -,b1a1
2r2k2/6p1/p1pR3p/1p1n4/1P6/P2N2P1/5P1P/6K1 w - -,d3c5
r1bqk2r/pp3ppp/2nbpn2/3pN3/3p1B2/2PBP3/PP3PPP/RN1QK2R w KQkq -,c3d4
8/8/P7/1K2pk2/5n2/8/1P1R4/r5R1 b - -,a1g1
rnb1kb1r/1pq2ppp/p2ppn2/8/2PNP3/3B4/PP2QPPP/RNB2RK1 b kq c3,b8c6:g7g6:f8e7:b8d7
4R3/p4k2/8/1B2p3/5rKP/4b3/P7/8 w - -,g4h3
5r1k/6p1/3b1q1p/p2P4/1rB2P2/6P1/2RQ1P1P/2R3K1 w - -,d2e3
6k1/pb1qbpp1/1p5p/3p4/3P1N1P/1P4P1/P4PB1/2Q3K1 b - -,d7d6
8/5k2/4p3/1pK1Bn2/8/8/5P2/8 w - -,c5b5
2rqrnk1/4bppp/1pn1p3/1b1pP1B1/p2P2NP/P4NP1/1PB2P2/R2QR1K1 w - -,c2a4
r3k3/ppp1bpp1/2p1b2r/4PnNp/5B2/2N4P/PPP2PP1/3RR1K1 b - -,e7b4
2r3k1/1b3p1p/p5p1/6n1/2PN2qP/1B3PP1/PQ5K/3R4 b - -,g4h3
rnb2rk1/2b3pp/2p5/pp2pp2/8/2PPP1PP/PPN1N1B1/2KR3R w - -,h1f1
3r1k1r/5p2/4p3/1Q2p1qp/2P1P3/1P3pP1/P2bB2P/1R3RK1 w - -,f1f3
2rr2k1/1b1q1ppp/p7/1pRp4/3P4/P2N1Q1P/1P3PP1/3R2K1 b - -,f7f6
r4rk1/pbppq1bp/2p2pp1/4P3/1PP2P2/1P6/1B2BQPP/RN2K2R b KQ -,e7b4
rr4k1/5p1p/p7/3Pp1P1/qP2p3/2Q5/6P1/1R3R1K w - -,c3e5
7r/1pk2bp1/1bpp4/1p2n1P1/4P1PP/1N4KB/PPP5/4R3 b - -,h8h4
8/8/3k4/8/2pK4/3p4/3R1P2/2r5 b - -,c1c2
5B2/3k2p1/8/3PP1b1/3NKn1p/8/8/8 w - -,e5e6
5rk1/Rrp5/3p3p/QN1P4/2P1pq2/8/3N1PpP/7K w - -,h1g2
2r3k1/5pp1/7p/4P3/p2Q4/Pq4P1/5P1P/3R2K1 b - -,b3a3
rnbqk1nr/p2pppb1/2p3pp/1p6/3PP3/2NBBN2/PPP2PPP/R2QK2R b KQkq -,c8b7
2r3k1/3q4/4r2p/p7/4nR2/P7/Q5PP/B4RK1 b - -,d7c6
3r2k1/1pp2ppb/p6p/2n5/1bP1p1P1/1P2P2P/P3NPB1/R4NK1 w - -,a2a3
3rq1k1/p5n1/4p1Np/2p2r2/2p2P2/7P/PPQ3PK/4RR2 w - -,g6e5
r1b2rk1/1p2b1p1/1qn1p2p/3pP2P/pPnP1Pp1/P4NQ1/4NK2/RBB4R w - -,g3g4
r3k2r/pp1n1p2/1q3ppb/3pp3/3P4/2P2N2/PP1N1PPP/R1Q1K2R w KQkq e6,d4e5
r3r1k1/1bq2p1p/pp1bpnp1/4N3/P7/2PB2B1/1P2QPPP/R2R2K1 b - -,a8d8
r1b3k1/pp3r2/3bpq1B/3p3Q/1P6/P2B4/5PPP/R1R3K1 w - -,h5g4
4r1k1/pbrnq2p/1p1b2p1/2ppNp2/P2P4/1QB1PPP1/1P4BP/2RR2K1 w - -,f3f4
5B2/7p/2k5/2P1pK2/8/5p2/3n1PP1/8 w - -,g2g4
r5k1/5ppp/8/2b2N1P/4Pn1R/5r2/3R4/1K6 w - -,h4g4
r5k1/pb2qppp/1p2p3/2rpQ3/8/2P3P1/PP1RPPBP/3R2K1 b - -,c5c7
1r3k2/ppR2ppp/1n1r1n2/3p4/3P4/3B4/PP2NPPP/5RK1 w - -,f1c1
r1bq1rk1/ppp2pbp/3p2p1/2nPp2n/2P1P3/2NB1N2/PPQ2PPP/R1B1K2R w KQ -,b2b4
4k2r/1p2bppp/pq2p3/1b1pNn2/1P1P4/P4Q2/1BrNBPPP/R4RK1 w k -,e2b5
8/2p1k1p1/p2p1p1p/1p1P3P/2P2R1K/3rr1P1/P5R1/8 b - -,e7d7
4qrk1/np1n2pp/p7/3QP3/1P6/P6P/5PP1/2B1R1K1 b - -,e8f7
r1bk1b1r/p2n2p1/2p1pnBp/Bp6/2qP4/5N2/PP2QPPP/R4RK1 b - -,d7b6
r3k3/pqr1bppp/R3p3/3p4/R2P4/1PpNP2P/2P2PP1/Q5K1 w - -,a4a5
3k4/2Q5/2p5/2Pp1pp1/1p1P4/4P3/5KPP/8 b - -,d8c7
rn1q1rk1/3nppbp/b2p2p1/2pP4/8/2N2NP1/PP2PPBP/1RBQ1RK1 b - -,d7b6
2rr2k1/p1q1bppp/bp2pn2/n1p5/2PP4/4PNPB/PB1NQP1P/2RR2K1 w - -,f3g5
5k2/3R4/2r5/2P5/3K4/4B3/6b1/8 b - -,f8e8
8/k1p5/2P4p/5P2/N1p4P/P4rr1/KP6/4R3 w - -,e1e7
8/5N1p/6kP/5p2/3K4/8/8/8 w - -,d4e5
8/6k1/5pp1/pP2p3/P1QpP3/q2P1PP1/6KP/8 w - -,g2h3
r2q1rk1/pp3ppp/2p1b3/3nP3/Pb6/3BBPP1/1PP1Q2P/R4KNR b - -,f7f6
rn1q1r2/1p2bppk/p2pbn1p/4p3/4P2N/1BN1B3/PPP2PPP/R2Q1RK1 w - -,d1d3
2r2bk1/pr4p1/3p2b1/p2Np2p/P1P4P/KP2RP2/6P1/3RB3 b - -,c8c5
r1b3k1/1ppqrppp/5n2/p2PpnN1/2Q5/P3P1P1/1P1N1PBP/2R2RK1 w - -,d2e4
rn1q1rk1/pp2bppp/2ppBn2/8/4PB2/2NP1N2/PPP3PP/R2QK2R b KQ -,f7e6
rnbq1rk1/1pp2ppp/pb6/8/1PQp1PP1/R7/3PP1BP/1NB2RK1 b - f3,c8g4
8/8/1K6/1p1N3k/p6P/n7/P7/8 w - -,b6c5
4rr1k/pb2q1p1/1p1N3p/2p1P3/1n6/1Q4P1/PP2RPBP/R5K1 b - -,b7g2
r1bqnbk1/p4r1p/np1p2p1/2PPp3/2P1Pp2/P1NN1P2/4BBPP/R2Q1RK1 b - -,a6c5
2rr2k1/p2q1pp1/bp2pb1p/1P6/P2pB3/6P1/1B1PPP1P/RQ2R1K1 b - -,a6b7
r1r3k1/5pp1/1B5p/2p2b2/8/P4N2/1Pn2PPP/2RR2K1 b - -,a8b8
r3kb1r/pp3p1p/nqp2pb1/3p4/3P4/P1N1PN2/1P1Q1PPP/2R1KB1R b Kkq -,a6c7
B4rk1/q2bpp2/p2p2p1/1p2b3/8/2N5/PPP1N1PP/2QR3K b - -,f8a8
rnb1k2r/4ppbp/pq1p1np1/2pP4/4P3/2N5/PP2BPPP/R1BQK1NR w KQkq -,g1f3
rnbqk2r/pp2ppbp/2p2np1/3p4/2P5/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq -,d2d4:f1e2
r4r2/ppqnppkp/2np2p1/2p5/P1N1P3/1P1P1N2/2P2PPP/R2Q1RK1 w - -,c4e3
4k2r/ppp2pp1/2p1b3/4PnNp/8/2N3PP/PPP2P2/3R2K1 b - -,e8e7
rn1qk2r/pbppbppp/1p2pn2/8/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq -,d1e2:b2b3:c2c4:b1d2
3qrnr1/pk4pp/1pbBp3/P2pPp1P/2pP4/2P3P1/2P2PB1/RQ2R1K1 b - -,b6b5
1r3r2/1p4k1/5q2/p1P3pp/P1PbQ3/1R3n1P/1P3P2/2BR3K b - -,d4c5
r1bqk2r/pp2npb1/2np2p1/2p1p2p/2P5/2N3P1/PPNPPPBP/R1BQ1RK1 w kq -,a2a3
r3k2r/1p1bbppp/1qn1p3/p2pPB2/3P4/PP3N2/5PPP/RNBQ1RK1 b kq -,e6f5
1r1q1rk1/3n1ppp/1b3n2/3pP3/Q7/P1N1PP2/1P2BP1P/R1B2RK1 b - -,d7e5
rnbr2k1/1p5p/p2p1pp1/3P4/P1Pp1B2/1R1B4/3K1PPP/7R b - -,a6a5
r3k2r/1b1nq1bp/p1n1p1p1/2ppPp2/Pp3P2/1P2NNQ1/1BPPB1PP/R4RK1 w kq -,d2d4
8/1p6/4kppp/P7/1P3PP1/6K1/8/8 w - -,f4f5
r1bq1r2/pppn1pkp/3p1np1/4p3/3P3P/2N2N2/PPPQPPP1/R3KB1R w KQ -,h4h5
r1q1rn2/5p1k/2p1p1pn/1p1pP1R1/pP1P1Q1P/P1PN3B/5P2/R6K b - -,f8d7
rnbqk2r/ppp2pbp/1n4p1/8/5p2/2N1P1P1/PP1PN1BP/R1BQK2R w KQkq -,e2f4
4r1k1/3nB1b1/p2P4/1r3NR1/5P2/8/7K/8 w - -,g5g7
1r1q1rk1/3nbppp/b1npp3/p7/1pp1P1P1/3PBNNP/PPPQ1PB1/R2R2K1 w - -,d3d4
r1bq1r2/p3pp1k/1p4pp/2p4n/4N2B/3R4/P1P2PPP/1RQ3K1 b - -,d8c7
r2k4/p6p/2pqb3/3ppprB/5Q2/2P5/P5PP/4RR1K w - -,f4g5
2R5/5p1k/n3p1p1/2n3Pp/2P2P1P/3rNK2/8/3N4 w - -,d1f2
r1br2k1/ppb1qppp/n1p1p3/4N3/2NPP3/P3Q1P1/1P3PBP/2RR2K1 b - -,c8d7
1k1r3r/ppp2ppp/2npqb2/1P6/2P4P/4Bb2/P1PQBPP1/2KR3R w - -,e2f3
r1r3k1/pp3p1p/1q3bp1/2n5/3p1PP1/3B4/PPP3QP/1KBR2R1 b - -,c8c6
1rr3k1/5p2/3p2pB/1pb1n3/p3B3/8/PP3P1P/2RR2K1 w - -,h2h3
5r2/1pr2pk1/p2p2p1/3P2bp/3R2P1/3B4/PPP1R3/1K6 b - -,h5h4
6k1/p3b2p/4ppp1/2p1P3/2N2rPP/4B3/P3B1K1/8 b - -,f4e4
2R5/r3kp2/6p1/bB5p/P3PP2/7P/4K3/8 b - -,a7c7
r3r1k1/1ppq1pp1/p1n2n1p/2b1p3/4P3/1bP2NNP/PP2QPPK/R1B2R2 w - -,a2b3
3q2k1/5ppp/n2p4/p2P3N/2r2BP1/P4P1P/R1PQ4/6K1 b - -,g7g6
q5k1/pb4p1/1p5p/5p2/5R2/3Q4/PPP4r/R3K3 b - -,b7e4
3rr3/4nkp1/2bp2np/2p2p2/p1P2P2/P1PB1N2/4RKPP/2B1R3 w - -,g2g3
2bqkb1r/r2n1ppp/pp2pn2/2p5/3P4/2N2NP1/PPQ1PPBP/R1B2RK1 b k d3,c8b7
r2n1k1r/ppp1p3/3p3p/4P3/2B2pb1/2N5/PPP2PPP/2KR3R w - -,d1d4
3r1k2/p5pp/1p2p3/4P3/3P4/4P3/PP4PP/2R3K1 b - -,d8d7
3R1Q2/8/n1p3pk/q1r5/8/P1b2N1P/1P3PB1/2K5 b - -,c3g7
r1b1rnk1/1pp2pbp/p2q2p1/3p4/5P1Q/2PP4/PP2N1PP/R1BB1RK1 b - -,c8f5
2r1r1k1/4bppp/q2p4/p1nPp3/2p1P3/2P1B1PP/P1B1QPK1/RR6 b - -,e7d8
8/pppb1pk1/3p3p/3P2p1/P2P2qn/3B2Q1/1r3PPP/2R1B1K1 w - -,g3g4
5rk1/1q2ppbp/3p1np1/rbpP4/7N/1P3BP1/1B2PP1P/R2Q2K1 w - -,a1a5
8/5R2/6p1/2pk3p/6K1/r7/5P1P/8 w - h6,g4g5
r1bqk2r/pp2bppp/2n2n2/3p4/2pP4/2P2N2/PP2BPPP/RNBQ1RK1 w kq -,c1g5
r1b1k2r/1pq1bppp/p1nppn2/8/P3PP2/1NNB4/1PP3PP/R1BQ1RK1 w kq -,a4a5
8/1p3k1p/pnn1p1p1/3p1p2/Pb1PP1P1/1P1K1PBP/4N1B1/8 b - -,b4a5
rn1qk1nr/pbpp1pbp/1p2p1p1/8/3PP3/3B1N2/PPP1QPPP/RNB1K2R w KQkq -,e1g1
2rq1rk1/pp2n1b1/2npN1p1/2p1pp2/2P5/P2P2P1/1P1BPPBP/1RQ2RK1 b - -,d8d7
5R2/8/8/8/4p3/r3k2p/7K/8 b - -,e3e2
r1n4k/5nb1/1p6/2pPp3/2P1Pp2/2B5/6KP/1RN2B2 b - -,a8a3
2r1k2r/1p1R4/p3Pp2/P2p1Pp1/3P2p1/2R5/2P4P/6K1 w - -,c3c8
8/8/8/3N4/1p6/1Pp1K2k/8/8 b - -,c3c2
2q2rk1/1b2bppp/1p2p3/1P1p4/4BB2/r3PN2/2Q2PPP/1R3RK1 b - -,d5e4
6k1/p5p1/2br1p2/2p1pR1p/3rP2P/2N1R3/PPP3PK/8 w - -,f5f2
3r2k1/pp3p1p/4Q1p1/3r4/3P4/3R3P/PP4P1/5R1K b - -,f7e6
r3rbk1/1p1n1pp1/2p2n1p/p2p4/P2P1B2/2PB1P1P/1P2N1P1/R4RK1 w - -,g2g4
8/1P5p/6p1/8/2k1p3/4P1b1/4KB1r/2R5 b - -,c4d5
b4rk1/6pp/4N1r1/P2p4/3q4/6b1/1P2QP1P/2R2RK1 b - -,g3h2
r4rk1/pp3ppp/2n5/2P1P2n/3q4/P1N2P2/1P1KB2P/R2Q2R1 w - -,d2c2
6k1/1b2q1bp/p1p3p1/PpBp4/1P4P1/1B6/N2Qr2P/5RK1 w - -,d2f4
8/5pb1/kprpp2p/p7/2P1PP2/3KN3/2N4P/5R2 b - -,c6c7
r2q1rk1/1p3pbp/n2pbnp1/p1p5/P1P5/1QN2NPP/1P2PPB1/R1B2RK1 b - -,a6b4
2r2rk1/1bqnbppp/pp1ppn2/8/2P1P3/2N2P2/PPNQBBPP/2R2RK1 b - -,d7e5
3r2k1/1pq1ppbp/p5p1/8/P7/3Q4/3B1PPP/4R1K1 w - -,d3e3
r2q1rk1/p1n3bp/1n1p1p2/1PpP1Pp1/4B1b1/2N2N2/PP2Q1PP/R1B2RK1 w - -,a2a4
3bn1r1/1k3p2/p3p1p1/1pBpP2p/3P3P/1P1BKPP1/1PR5/8 w - -,c2h2
1r1r2k1/5p2/2p1NQqp/3pP1p1/2b5/5RRP/6PK/8 w - -,e6d8
2r1k2r/pp1q1pb1/2np2pp/3Q4/3pPP1B/6P1/PP4BP/2R2RK1 b k -,c8c7
2r5/4n3/3k3p/p1rpppp1/P7/1PPK1PP1/N3R2P/1R6 w - -,e2c2
Q5k1/6p1/8/5qP1/5p1K/7P/8/8 b - -,g8f7:g8h7
8/5Q2/r4p1k/8/5KP1/8/8/8 w - -,f4f5
8/4r1k1/2p5/5p2/1RRn3P/1p3P2/6PK/8 w - -,c4d4
8/4kp2/6p1/p3Pb1p/P2K1N1P/1P4P1/4R3/2r5 w - -,e2e3
3N4/5Pk1/4K3/8/8/b7/8/8 w - -,e6d7:d8c6
4rrk1/p1p1n1pp/1p3n2/3qNp2/3P1P1B/1P1Q4/P5PP/R3R1K1 b - -,f6e4
r7/1b1n1pk1/ppp1rn1p/3pPQ2/P6B/2pB2P1/1PP3PP/R5K1 b - -,f6e4
8/p7/1p1rp2p/8/6k1/8/PP1pK2P/3R4 w - -,d1g1
2rqrnk1/4ppbp/2p3p1/3nN3/3PN3/5QB1/PP3PPP/3RR1K1 b - -,f7f6
r7/pk4pp/2p1r3/R2b4/1Pp1p2P/R5P1/2P2PB1/6K1 b - -,e6e7
r4rk1/1bq2ppp/ppnppb2/2n5/2P1PP2/P1N1B3/1PB1Q1PP/1N1R1RK1 b - -,f8d8
rnb2k1r/ppq1nppp/4p3/2ppP3/P2P2Q1/2P5/2P2PPP/R1B1KBNR w KQ -,g1f3
1r4k1/1p1q3n/p5Rp/2pp2pQ/3p4/6P1/PPPN1PP1/6K1 b - -,g8h8
r1b4k/p4q2/4p3/1p5r/2PPQ1p1/5R2/5P2/1BB1R1K1 b - -,f7f3
3b2k1/5pp1/1p1p4/2pPp2P/r1P1P3/2PBBP1b/P3R2P/6K1 b - -,a4a3
2rq1rk1/pb1pbpp1/np2p2p/4P3/2PB2nP/P1N2N2/1PQ1BPP1/R3K2R w KQ -,a1d1
1k1r3r/1pp1q3/4pp2/nPPn3p/p1QP4/P4P2/1K2BB1P/3RR3 w - -,c4a4
4r2r/1ppbqpbk/6p1/p2Pn3/P3PP1p/1BP1B3/1P1NQ1P1/4RRK1 b - -,e5g4
3r2k1/2R2p1p/1p2b1p1/1p2P3/3rBP2/bP1NK1P1/3R4/8 w - -,d2a2
4rk2/4Rpp1/5P1p/8/2r1b3/5BB1/1n3PPP/5RK1 w - -,f1e1
8/2pk4/R4bp1/5p1p/2P5/4PPP1/1r2NKP1/8 b - -,c7c6
5rk1/2p4p/p2bb3/2pN1pp1/2P5/4N1P1/P6P/5R1K w - g6,h1g2
8/1r6/6p1/P2k3p/2pBp3/2P5/1PK3Pb/1R6 b - -,h2b8
r1b3k1/1pp1rpb1/3p1np1/pN1P2q1/1PP1Pp1p/P2B1P1P/4N1P1/2RQ1R1K w - -,c4c5
8/8/5R1P/4K3/8/3q4/6k1/8 b - -,d3e3
3rr1k1/pp5p/1np2pp1/6B1/4P1P1/1Pb2BP1/P4P2/1R1R2K1 w - -,g5e3
r5k1/3R1pbp/p2p2p1/6B1/2nP4/5N2/1P3PPP/6K1 w - -,b2b3
2rr4/3p1pbk/1pnqp1pp/p1p5/2P2P2/P2P2P1/1P1QNPBP/1R2R1K1 w - -,e2c3
r2qr1k1/3b1ppp/p4n2/1p2p3/P2pP3/1P4N1/2PR1PPP/1R1Q1BK1 b - -,b5a4
r2r4/pp6/4k2p/2p1Npp1/5P2/P4K2/1P2PP1P/R7 w - -,e2e3
4rbk1/ppqn2pp/2p3n1/8/3PN3/2P3PP/P5B1/1RB1Q2K w - -,e1d1
2R5/kp6/p2p1r1p/3Pp1pP/PP1n4/5P2/1K6/2R5 w - -,c8d8
R1R1b3/1p2rk2/4pp2/3rB1p1/1n1P2Pp/5N1P/5P2/5K2 b - -,e8b5
rnbqkb1r/pp2pp1p/2p2np1/3P4/3P4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,c6d5
1bkr3r/1p3ppp/p1n1pn2/8/2P2P2/2N1B3/PP2B1PP/3R1RK1 b - -,h7h5
r4rk1/pp2b1pp/2pn4/q2p4/3P1BN1/3QP3/PP2KP1P/R5R1 b - -,a5b4
5rk1/6pp/p3p3/Nr2Pp2/1RpBnP2/P1PbK3/6PP/7R w - -,a5c6
r2q1rk1/1p2bppp/p2p1n2/4n3/P3PBb1/2NB1N2/1PP3PP/R3QR1K b - -,g4f3
3b1rk1/5p2/p5p1/1pq1p2p/2NnP2P/3Q2P1/4r1B1/RR5K w - b6,c4e3
8/6p1/4B1Pp/pK1PkP2/P7/1P6/8/7r b - -,h1c1
rnbqk2r/pp3pbp/4p1p1/2pn4/4N3/2N3P1/PP1PPPBP/R1BQK2R b KQkq -,b8a6
2rqbrk1/1p2ppbp/3p1np1/pN1P4/Pn1BP3/2N4P/1PB1QPP1/2R2RK1 w - -,c2b1
4R3/8/8/1k2p3/4r3/8/3K4/8 w - -,d2d3
7b/rp1r3P/5k2/2PPp1R1/8/5b2/P7/1R2KB2 w - -,g5g8
8/2r1bk2/R3p1p1/p2p3p/N2P4/4PP2/8/6K1 b - -,e7b4
6k1/2nq2n1/pb2pr2/1p2RpNp/3N4/P1P3Q1/1P4PP/4R2K b - -,b6d4
2rq2k1/pb2rppp/1n3n2/2pp4/8/1PN3P1/PB2PPBP/2RQR1K1 w - -,e2e3
8/8/6p1/7p/1r5k/2R5/7K/8 b - -,b4b2
