3R4/1P3pk1/2K3p1/8/7P/4PP2/3r4/8 b - -,d2d8
8/4nrk1/4r2p/8/1Rp1pp2/2P1N1P1/5P1P/3R2K1 w - -,g3f4
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2B1P3/2N3N1/PPPP1PPP/R1BQK2R b KQkq -,f8g7:a7a6
4r1k1/pbqn4/1p2p1pQ/3p4/3P2N1/8/PP4PP/R4rK1 w - -,a1f1
r1bqr1k1/pp2bppp/4pnn1/3pN3/3P1P2/2PB3R/PP1N2PP/R1BQ2K1 w - -,d1f3
r4rk1/1q1nbppp/1pp1pn2/2Pp4/1PbP4/2NNPP2/4B1PP/R2QBRK1 w - -,a1b1
2rqr1k1/1b1n1pp1/1p1p2np/p2Pp3/2P1P3/R4N1P/1P1N1PP1/1Q2RBK1 b - -,c8a8
8/rr1p1k2/7R/1p2PP2/1P6/p1PR4/1P5P/6K1 w - -,b2a3
8/p1bn1pp1/Pp2kn2/1p2p1Bp/2N1P3/2P2PP1/7P/R5K1 w - -,c4a3
r2qk1nr/pp1bbp1p/4p1p1/3pP3/3Q4/5N2/PPPB1PPP/R3KB1R w KQkq -,e1c1
2rqnrk1/1b1nbppp/pp2p3/3pP3/Q2P4/5NP1/PP3PBP/R1B1RNK1 b - -,b6b5
1k1r4/4b3/p4p1p/N2bp1p1/2p3P1/P7/1PP4P/3R1R1K w - -,d1d5
8/4R3/6k1/5pP1/3b1P2/2r1B2K/5P2/8 b - -,d4c5
5rk1/p1pp1p1p/b1p3p1/3nr3/2P5/1P4P1/P4PBP/RN3RK1 w - -,c4d5
7k/2b2Bp1/p6p/4PP1n/2p2P1q/4Q2P/P3R1KB/1r6 b - -,c4c3
r1bq1rk1/1p1pbppp/p1n1pn2/8/2Pp4/1P3NP1/PB2PPBP/RN1Q1RK1 w - -,f3d4
r1b1k2r/3n1ppp/p3p3/3pP3/8/2P1BP2/P5PP/R3KB1R w KQkq -,f3f4
1r6/4P2p/6p1/3K4/6P1/3k4/7P/8 w - -,d5e6
8/2R2bk1/4rpp1/6Pp/4PK1P/2B2P2/8/8 b - -,e6b6
2r4r/pp2qpk1/2pb1npp/3p4/3P3R/2NBP1P1/PPQ2PP1/1K1R4 b - -,b7b6
2k4r/p1p3bp/1qr1P1p1/5p2/1PBpbP2/PQ6/1K1B2PP/2R4R b - -,d4d3
r1br2k1/pp2ppb1/5np1/q1p5/3P1B2/P2Q4/1PP1BPP1/2KR2NR w - -,d3g3
r2q1rk1/pp1b3p/n2p1pp1/2pPb1B1/2P1P3/2N2B2/PP1Q2PP/R4RK1 w - -,g5e3
r1bq1rk1/pppnppbp/6pn/8/2BP4/2N1BN2/PPP2PPP/R2Q1RK1 w - -,c4b3
8/3R3p/8/1kP1p3/3p3P/6q1/P1P5/2K1R3 w - -,e1e4
8/5P2/6p1/pk2b3/8/4BK2/8/8 b - -,e5g7
r2q1rk1/p1pb1ppp/1npb4/8/8/P1N1P3/1P2BPPP/R1BQK2R w KQ -,e1g1
8/1p3rkp/pP1Q2p1/8/4R3/1p3P2/6PP/q4K2 w - -,f1f2
3r4/p3q1k1/1p2npp1/5P2/1P2P3/PQ6/6PP/2R3K1 b - -,e6d4
5k2/1p1b1p2/p4p1p/3p4/1P6/P2BP3/5PPP/5K2 w - -,f1e2
r1k2b1r/2pb1pp1/1pp4p/p3Pn2/P7/1PN2N1P/1BP2PP1/R2R2K1 b - -,f5e7
2b5/2k5/p5p1/n1pPp1Pp/2B1Pp1P/5P2/P2N4/4K3 b - -,c7b6
8/p5k1/1p3brp/8/2P1R3/P5q1/2Q5/1K3R2 w - -,b1a2
3rr1k1/ppq2ppp/n1pb1p2/3p4/3P4/P2NP1P1/1PPN1P1P/1R1Q1RK1 w - -,b2b4
r1bqkb1r/ppn1pppp/2n5/2p5/5P2/2NP2P1/PP2P1BP/R1BQK1NR b KQkq f3,g7g6
3r1r2/2q1n2k/bp4pp/p2BRp2/P4P2/Q1Pp4/1P1B1N1P/3R2K1 b - -,e7d5
r4k2/pppQn2p/3p1p2/3qp1rB/5b1N/3P3K/PP3P1P/R5R1 w - -,h5f3
r4rk1/4ppbp/p5p1/1p6/1Pn1N3/2P1P2P/RP3PPB/3R2K1 b - -,f8d8
2r3k1/1p2rpbp/p3b1p1/8/PPN5/R1P5/4BPPP/5RK1 w - -,c4e3
7k/2Q3p1/2p2b1p/4nN1q/4P3/6P1/2P3K1/8 w - -,c7c8
rn2k2r/pp1bqp2/4p1pp/2ppP3/3P2QP/2PB1N2/P1PK1PP1/R6R w kq -,g4f4
7r/3PkpR1/4p2p/3PQ2P/2K5/2p5/q4PP1/8 w - -,c4d3
r3k2r/1pq1bpp1/2ppbn1p/p1n5/2P1PP2/2N1B1NP/PP1QB1P1/R3K2R b KQkq f3,a8d8
2rn1rk1/p2qppbp/1p1p2p1/2nN2N1/2PBP3/8/PP2QPPP/2RR2K1 b - -,g7d4
r2q1rk1/3nbppp/2pp1n2/pp2p2b/1P2P3/1BPP1N1P/P4PP1/R1BQRNK1 b - -,a5a4
3rr1k1/q4pbb/2p4p/1pP3p1/3pP3/P5P1/1BQ2PBP/3RR2K b - -,a7c7
8/6Q1/p7/3K1b1k/6pp/1P6/1P2r2P/8 w - -,g7f6
1r2rbk1/1q1n1ppb/1p2pn1p/1NPpN3/3P1P2/4P3/PB2B1PP/2RQ1RK1 b - -,b6c5
3rr3/ppp2pbk/6pp/1b6/4P3/4BP2/PP4PP/R1Q3K1 w - -,a2a4
8/2q5/K7/P7/5k2/8/8/8 b - -,c7c6:f4e5
8/5pk1/4p3/6p1/6P1/5PK1/3rr3/2R4R b - -,e2g2
2rq1rk1/pb1n1ppp/1p1bpn2/3p4/2Pp4/1P1BPN2/PBQN1PPP/R4RK1 w - -,e3d4
1q1rr1k1/pb3pbp/1p2p3/2nP1p2/8/4NNP1/PP1RQPBP/4R1K1 w - -,d5e6
r2q1r1k/pp4bp/2pP2p1/4nbN1/4p3/1BP5/P4PPP/R1BQ1RK1 w - -,f1e1
1rbRn3/1p2rkpp/p1p2p2/N4P2/PP2P3/2N3PP/5K2/3R4 b - -,e7c7
rnb2rk1/ppp1qpp1/7p/3p4/3P4/2P1PN2/P3BPPP/R2QK2R b KQ -,c7c5
r1qr1k2/1b3pp1/p2pp2p/1p5N/3NP1Pb/1P3P2/P1PQ4/1K1RR3 w - -,e1h1
r1b5/pp3pkp/3r1np1/2pP4/2P1PR2/3B3P/PP4P1/R5K1 w - -,e4e5
1nkr1bnr/pppqp1p1/5p2/1P1p3p/3P2b1/2P2NP1/P2NPPBP/R1BQK2R w KQ -,d1b3
2q1r3/3r1ppk/R6p/3p4/7P/4P1Q1/5PP1/3R2K1 w - -,a6d6
8/1R3pk1/1p4p1/1QbKp2p/8/1p2PqPP/5P2/8 w - -,e3e4
4kr1r/1p1bqp2/4p1pn/3pP1Np/p1pP1Q2/PnP2RPP/1PB2PK1/4RN2 w - -,f1h2
6r1/2q2p1k/1n2pQpP/p2pP3/3P4/B4PR1/P1p4K/8 b - -,c2c1r
8/8/3k3p/1P3B1P/3K2P1/8/4r3/8 b - -,e2b2
r2q1rk1/4bppp/p1bppn2/1p4B1/4P2P/5P2/PPPQN1P1/1K1R1B1R b - -,a8c8
4r3/7P/p6K/1kP5/R7/8/8/8 w - -,a4a1
5k2/1p6/5p2/p4q2/3B1P2/P3P1rp/1P5R/K6R w - -,d4c3
r1b1r1k1/pp1n1pp1/3B3p/2pPp3/n1P5/PP3P2/6PP/R3KBNR b KQ -,a4b6
2rq2k1/p3b1p1/R1Qp3p/2pPpr2/2N1Nn2/8/1PP2PPP/4R1K1 w - -,c6a4
1b1rr1k1/ppq2ppn/2p1p2p/8/3PP2P/2B2QP1/PP3PK1/3RR1N1 b - -,f7f6
r2q1r1k/1p3ppb/p1p2n1p/3n4/2BP4/P1N1BQPP/1P4P1/3R1RK1 w - -,c4d5
1r3rk1/4ppnp/p2p2pB/2pP1P2/1PP1P1b1/N7/P5PP/2K1R2R b - -,c5b4
2r4k/6p1/3RN2p/p1p1n3/2P2N1P/6P1/1r3PK1/8 b - -,c8a8
5k2/5p2/3p1p2/3BpP2/P3P2P/2p2q2/8/1KR5 b - a3,f3d3
3r1rk1/pp3pp1/2n4p/2P5/4R3/2P2q2/P1B2PPP/R5K1 w - -,g2f3
5rk1/pp4qp/2p3p1/8/2P1Q2P/1P4P1/P4P2/4R1K1 b - h3,g7f6
1rq1r1k1/6np/p2p2p1/2pP4/4p3/2PQ2P1/3N1P1P/R3R1K1 w - -,d2e4
6k1/1b3p2/1pq3p1/p2p4/2rP1bP1/5N1B/1P2Q2P/4R1K1 w - -,f3e5
8/6p1/4k2p/R3p3/P7/5PKP/r5P1/8 w - -,a5a7
2r2n1k/p3R1p1/1p3q1p/1P1p4/8/4Q3/5P1P/4R1K1 w - -,e3e5
1r6/p4k1N/1b1p2qp/2p2b2/2P2Q1P/PN1P4/1P3PP1/1R4K1 b - -,b8g8
r3kb1r/pp1qpppp/2np1n2/8/3pP3/5N2/PPP2PPP/RNBQR1K1 w kq -,f3d4
8/1k3p2/5R2/3rnPp1/ppp4P/6P1/PPR3K1/8 b - h3,g5h4
7R/8/6pk/8/6p1/5r2/6K1/8 b - -,h6g5
1b2r1k1/1p3ppp/1q3n2/pP1p3b/P2Nn3/B3PN1P/4BPP1/Q1R3K1 b - -,h5f3
2k1r3/2p2r2/3bbBp1/2p1p1Pp/p1P1P2N/3R3P/P4PK1/2R5 b - -,e8g8
8/3K1p1p/5P2/6p1/8/7P/8/k7 b - -,h7h5
2rrn1k1/p2R1pp1/1p5p/2p1P3/8/1B3P1P/PP2N1P1/2R3K1 b - -,d8d7
2r4r/kp3p1P/p1b1pP1R/4P3/3pN3/3P4/3K4/2R5 w - -,e4d6
r1r3k1/q2b1pbp/2p1N1p1/1p1n4/3P4/3B1N1P/P2BQPP1/R1R3K1 b - -,d7e6
4r1k1/p6p/1rN1p1p1/2R5/3P1n2/1P2R3/P4PPP/6K1 b - -,f4d5
1r6/6k1/8/p3p3/2P2p1P/1n3K2/2B5/3R4 w - -,d1d7
r1bqrnk1/pp3ppp/2pb1n2/4p3/3pP3/PP1P1NP1/1BPN1PBP/R2Q1RK1 w - -,f3h4
4nk2/8/2Np1n1p/2pP1Q2/1pP2PNq/5B2/r6P/5K2 w - -,c6e5
k4q1r/pp2nppr/4b2p/3pPp1P/P1pP4/2P2NR1/2PB1PP1/2Q3KR w - -,g3h3
6R1/8/5k2/P4p1p/4p2P/4K1P1/4P3/6r1 b - -,g1a1
8/3k1pb1/1BN5/1P2Pnp1/2P5/5P2/5K2/8 b - -,f7f6
1R6/3r4/8/8/4K3/1p6/1k6/8 b - -,b2c2
2rbr3/1p4k1/p3N1p1/2qP4/4PPPp/1Q5P/PP4K1/3R1R2 b - -,e8e6
3r2k1/3q1pp1/p1b1p2p/1p2P3/4P3/1PQp1P2/P5PP/3RB1K1 w - -,e1h4
rnbq1rk1/pp2bppp/3ppn2/8/3N4/2P3P1/PP1NPPBP/R1BQ1RK1 b - -,a7a6
6k1/pp3pp1/7p/n2PrN2/q1P3Q1/7P/6P1/2R3K1 b - -,g7g6
1r3r2/p3ppkp/1q1p1np1/8/1p6/3P2PP/PP1QPPB1/R4RK1 b - -,b4b3
r2r2k1/p3qpb1/1pn1bnpp/2p1p3/4P3/2P1B1NP/PPQ1BPPN/R4RK1 b - -,f6e8
8/pp3p2/3k1n2/2rp1Bpp/8/4PPP1/PP1K1P2/7R w - -,f3f4
R7/5pB1/2k1b2p/7P/4P1P1/5P2/p4K2/1r6 b - -,e6c4
r1bqkb1r/1p1pnppp/p7/4p3/2PpP3/8/PP1PBPPP/RNBQ1RK1 w kq -,d2d3
8/5k2/2R5/b4N2/5P2/1r4P1/6K1/8 w - -,g2h3
3r2k1/1b3pp1/p2q3p/1ppP4/2p3P1/PnQ1B2P/1P3PB1/3R2K1 w - -,g2f3
8/p2bkppp/2n5/4p3/8/2R2NP1/P1P2PKP/1r3B2 w - -,f1c4
1r3rk1/pRp2p1p/4b1p1/2P1b3/8/P4B1P/3B1PP1/4K2R b K -,b8b7
3r2k1/p1qnbppp/2n1p3/PBp5/1p2PP2/1N3QP1/1P3B1P/2R3K1 w - -,a5a6
8/8/6K1/8/8/4prk1/4Qn2/8 w - -,g6h5
rq3rk1/1p1n1pp1/3p1n1p/p2Pp3/2P5/1PN1QB1P/P4PP1/R2R2K1 w - -,a2a3
8/5n2/2pk1pN1/3npP2/2B4P/8/3K4/8 w - -,c4a6
5rk1/p4p2/6p1/1pP3q1/1Pn5/2B1r1P1/4Rp1P/RQ5K w - -,e2e3
6k1/p2r2pp/5p2/P1q1p3/2p1P3/5N2/2Q2PPP/5RK1 w - -,c2a4
r2qkbr1/1bpn1p2/p3pP2/5NBp/8/2QB1P2/PPP5/2KR2R1 b q -,g8g5
4b3/2k3p1/2p2p1p/2p2P2/2P1K1PP/1P1P4/8/1B6 b - -,c7d6
1r1r2k1/1b3ppp/p4b2/n1pp4/P3qB2/1Q3NP1/1P2PPBP/R4RK1 w - -,b3b6
r4r2/p1p2pkp/1bp1b3/3pP3/3B4/4R3/PPP1NKPP/3R4 b - -,c6c5
8/8/7p/r3k2P/P3p3/4K3/8/R7 w - -,a1a2
3r2k1/r4p1p/2np2pb/2q1p2P/ppP1P3/1P1Q1BP1/P1N2PK1/R2R4 b - -,h6g5
1rq1r1n1/3b1pbk/pp1p2p1/3P3p/P1P1pP2/4B2P/1PNRB1P1/R4QK1 w - -,c2d4
r7/p3kn2/2R2pp1/4p2p/4N3/6P1/PP2PP1P/2K5 b - -,f6f5
r1bqnrk1/pp2bp1p/2n1p1p1/2p3P1/2P4P/PPpBPN2/1BQP1P2/R3K2R w KQ -,c2c3
6k1/2p2pp1/2p1n2r/p7/P1P1Q3/qP1R2B1/4PP2/6K1 w - -,d3d1
3r2k1/pq3p1p/1pnQp1p1/3pn3/8/1P2P2P/P2BBPP1/2R3K1 w - -,d6a3
2rq1rk1/pb2ppbp/1pn2np1/2pp4/2BP1B2/2P1PN2/PPQN1PPP/3RR1K1 w - -,c4e2
2k2r1r/1bn2p2/2pqpn1p/1p2N1p1/P2P4/1P1BB3/3Q1PPP/2R1R1K1 b - a3,f6d7
r4k1r/pppbq3/2npp2p/5pp1/2PP4/2P1PBP1/P1QN1PP1/R3K2R b KQ -,f8g7
8/8/3N4/5p2/4pk1p/8/5KP1/8 b - -,f4e5
2r2k2/5ppp/B7/2n5/1Q3P1q/P3P3/5R1P/4K3 b - -,f8g8
3RB3/1r3pkn/4p1pp/8/8/5NP1/5PKP/8 w - -,f3e5
1r6/7p/3pkpp1/pP2p3/P1p1P3/2P1KP2/3R2PP/8 w - -,g2g3
r4r2/1p2p1kp/p2qB1p1/2pP4/2PbR3/6P1/PP1Q1P1K/R7 w - -,e4d4
r4rk1/pp2bpp1/2p1pnb1/q7/3PN1P1/4P3/PP2QPB1/R1BRN1K1 b - -,f6e4
1r6/ppR1p3/4k1p1/8/8/5P2/PP3P1P/6K1 w - -,g1g2
8/8/pB6/3k1p1p/1b6/3KP2P/8/8 w - -,b6d8
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/2B1P3/2P2N1P/PP1P1PP1/RNBQR1K1 w - -,d2d4
6k1/3B3r/3pP1p1/5nP1/1p1q4/8/P1P3Q1/1K2R3 b - -,d4c3
8/4r3/1p6/pP3p1k/P4P2/3Rp3/4K1P1/8 b - -,e7e4
r5k1/2q5/1p3pp1/1Pp5/2PnP2p/5PPP/1R3QBK/8 w - -,f3f4
5k2/bp2npr1/3r3p/PB4q1/1Q3R1N/2P5/5PP1/5K2 w - -,b4d6
r2qr3/1ppb1pkp/3p2p1/p7/2P1PPn1/1PN3P1/P2Q2BP/R4RK1 w - -,a1d1
r2qkb1r/ppp2ppp/2p1b3/4Nn1Q/3P4/8/PPP2PPP/RNB1R1K1 b kq -,d8h4
5rk1/pp1rq1pp/2ppb3/4p3/2P1P3/1P1R2PP/P2Q1PB1/5RK1 w - -,f2f4
r3k3/pp2R2p/2p3p1/3p1n2/8/2NP4/PPP3PP/5RK1 b q -,e8e7
r2qk1nr/ppp1ppbp/2np2p1/3P4/2P3b1/5NP1/PP2PPBP/RNBQK2R b KQkq -,c6b8
r3qbk1/3b1p1n/1Q4p1/2N1p2p/p3P3/2PB1P1P/4N1PK/1R6 b - -,d7c6
8/4k2p/2qp1npb/2p1pp2/p1P5/P1BP2P1/1Q2PP1P/5NK1 w - -,f2f4
1k1r4/1ppq2pp/p1n2p2/2Pp4/BPn2B2/2Q4P/P1P2PP1/4R1K1 b - -,d8e8
r3r1k1/1p2qpp1/2p4p/4p3/p1P1P1b1/Pn1R3P/1PQ2PPN/4R1K1 w - -,h2g4
r1bq1rk1/pp4bp/n2p2pn/2pPpp2/2P1PP2/2NB3P/PP2N1P1/R1BQ1RK1 w - -,a2a3
r4rk1/1pqb3p/p3p3/2p2pPQ/2P2P2/3B4/PP2nR1P/2R3K1 w - -,h5e2
1r1qnr1k/2n1p1bp/2pp2p1/8/2BPP1P1/pNP1Q1BP/P4P2/2R1R1K1 b - -,e7e6
3R3b/7k/p7/4P2p/2rB2P1/8/P5P1/5K2 b - -,h5g4
6k1/3rbppp/1n2r3/2p5/8/5N2/1P1N1PPP/2R1RK2 b - -,e6e1
r1b2rk1/ppqn1pbp/4p1p1/n1ppP3/3P1B2/2PB1N2/1P3PPP/R2QRNK1 b - -,a5c4
r2qr1k1/1pp2pbp/p1b3p1/4p2n/4P3/1BP1BN1P/PPQ2PP1/R4RK1 b - -,h7h6
5rk1/7p/1Q6/3q4/P1p3p1/6P1/5PP1/2R3K1 w - -,b6c7
r1bqr1k1/1p1n1ppp/p1pb1n2/3p4/3P3N/2N3P1/PPQ1PPBP/R1B1R1K1 b - -,d7f8
1r3rk1/p2npp1p/4bbp1/1B1p4/3P4/1PN1PN2/P4PPP/R3K2R b KQ -,d7c5
1k3r2/4nrb1/2pp3p/1p1Pp1p1/q1P1N1P1/PR3PP1/1P1N3Q/2K4R w - -,e4d6
r2r2k1/1p3ppp/2nb4/1p2p3/8/PN1PB1P1/1P3PKP/R3R3 b - -,d6e7
1r4k1/p3qpp1/3nb2p/Q3p3/8/P2RPP1P/1r1NB1P1/2R3K1 w - -,a5e5
5rk1/1p2Qpp1/p1p4n/7R/PP4n1/1B1qP1P1/5P2/1R4K1 w - -,b1b2
3r2k1/3b1qp1/p1Bp3p/2rPp3/2p2n2/P3RQ2/1P1N1PPP/R5K1 w - -,d2e4
8/2K2kpp/2P2p2/8/8/3R2P1/2r2P1P/8 b - -,c2f2
r1bq1rk1/p1bn1ppp/1p3n2/4p3/P1NpP3/3P1NP1/1PQ2PBP/R1B2RK1 w - -,b2b4
r1nqrbk1/1p1b1pp1/3p1n1p/p1pPp3/2P1P3/1PN1BNPP/P1Q2P1K/1R2RB2 w - -,f3d2
8/1p6/7K/2p3P1/8/P4k2/1P1p3r/3R4 w - -,h6g7
5rk1/p2q1pbp/2N3p1/1Q1pP3/8/2n1B3/P4PPP/3RR1K1 w - -,b5c5
2rqnrk1/1p3ppp/4b3/p2p4/3P3b/P1N2PP1/1PBB1Q1P/2R2RK1 b - -,h4f6
1k2r3/p1q1r2p/3b2p1/8/1P4Q1/P1P4P/2K3P1/5R1N b - b3,e7e3
1r4k1/6pp/1n2p3/p3P3/8/B5P1/P6P/R5K1 w - -,a1b1
3q2k1/1p3nb1/p1p1Qpp1/1P5p/P1PB3P/5NP1/5PK1/8 b - -,c6b5
r4rk1/1bq2pp1/p1n4p/1p6/3pPbQB/1B1P4/PPP3P1/RN3R1K b - -,f4e3
1r3r1k/7p/1qBpb1p1/p3p3/R3p3/1PP1N3/4QPPP/R5K1 b - -,b6c6
2r1k1nr/pp1b1ppp/2n1p3/1Nbq4/8/2P1BN2/PP3PPP/R2QKB1R b KQk -,d5d1
rnb1k2r/2q1bppp/pp1p1n2/4p3/P3PP2/2NB1N2/1PP3PP/R1BQ1RK1 b kq -,b8d7
r4rk1/1p1qppbp/1np3p1/p7/Pn1PN2B/4PB1P/1P3PP1/R2Q1RK1 b - -,b4a6
r1b1r1k1/pp3ppp/2P2n2/7q/8/P3BPP1/1PQ1B2P/3RK2R w K -,c2c5
3R4/6p1/4k3/4p2p/2K1Pp1P/5Pr1/8/8 w - -,d8e8
r1b1k2r/1pp1n1bp/6p1/4q3/1QBnp2N/6P1/PB3P1P/RN2R1K1 b kq -,d4f3
2R5/8/2K5/6p1/8/5k2/8/8 w - -,c8f8
r1b2rk1/ppqn1ppp/4pn2/2pp4/1bPP4/2NBPN2/PPQ2PPP/R1B2RK1 w - -,c4d5
8/2R2pk1/7p/6p1/6K1/5BPP/6P1/5r2 b - -,f1a1
1k1r1r2/1pqn1pp1/1np1p1p1/p7/P2PP1P1/1BP2P2/4QBRP/1R4K1 b - -,b6c8
1r4k1/1bn2q1p/3p1Pp1/2pnBB2/pp2P2N/1P3Q2/P5RP/3R2K1 b - -,d6e5
r2rb1k1/1p3pp1/1q2pn2/2b1N1B1/p1B5/P1P5/1P2QP1P/2KR3R b - -,d8d1
2kr3r/1ppq1p2/p3bbpp/3p4/3P1PP1/4B2P/PPPQB3/1K3RR1 b - -,h6h5
2rb1rk1/2qn1pp1/7p/4pP2/pPPpb3/P4NP1/2R2N1P/R1Q3K1 w - -,f2e4
5bk1/6p1/p2p4/2p2P1q/pnb5/4BN2/1P3PP1/1B1Q2K1 w - -,d1a4
r2r2k1/1pp2p2/6pp/1p2n1q1/8/1PP4P/P4QP1/R1B2R1K b - -,g5h5
8/5Rb1/1p3p1k/p1pB2p1/2Pn4/Pr2r3/1P1R1P1P/7K w - -,f2e3
3rk3/pp3p2/2p1b3/Q6P/2P2N2/5P2/PPn2KP1/3q1B1R b - -,d8d2
6k1/1K4p1/1PN1p2p/3pP1b1/qQ1P2N1/P7/4n3/8 b - -,a4c2
r2q3k/4p2p/p2p1r2/2p2p1P/2B1bP2/2Q3R1/PPP3P1/2KR4 w - -,g3g5
