5rk1/6pp/p2Q4/3N2q1/8/6PP/6BK/8 b - -,g7g6
4B3/8/6n1/3k4/8/2K5/8/8 w - -,e8g6
5k2/R3pp2/1pr1n1p1/6Pp/7R/1bP2P2/1P2BKP1/8 b - -,c6d6
rnb2rk1/pp2ppbn/2p3p1/6Pp/3PNP2/4BN2/PPPqB2P/R3K2R w KQ -,e1d2
2r2bk1/p1q2p1p/1p4p1/8/2rP4/3QP1P1/PB1RRP1P/6K1 w - -,d4d5
2r1rbk1/2qn1p1p/p3p1p1/1p1pP3/3N1P1P/1PP5/P3QBP1/2R2R1K w - -,d4f3
r1bq1rk1/p1pnbppp/1p2p3/2Pp4/3PnB2/2N1PN1P/PP3PP1/R2QKB1R w KQ -,c5b6
1rQ4k/p3P2p/1p3Ppb/6q1/P1Np4/1P1P4/7P/4RR1K b - -,b8c8
r1b1k2r/4bppp/pBqpp3/6P1/1p2PP2/1P6/1PP2Q1P/2KR1B1R w kq -,b6a5
4n1k1/1b5p/1N1p2p1/2pP2qn/1p6/1P2NB2/7P/Q6K w - -,b6c4
1k6/4r1p1/P2R3p/1PK4P/8/8/6P1/8 b - -,b8c8
r4nk1/2qrbpp1/2p1pn1p/7P/2PP4/2BB1QN1/5PP1/3RR1K1 w - -,d1a1
5rk1/5bpp/p2p4/4p3/2Nn1q1b/2K1RP2/PP4BP/3QR3 b - -,f4h2
8/1P1n4/6K1/8/4p1kp/8/5P2/8 b - -,h4h3
8/1q4k1/5pp1/7p/7P/1p4P1/1Q3P2/5K2 b - -,b7b4
2r1rbk1/5p2/6p1/pq1pPpPp/1n1P1P1P/1N6/3Q1B2/1R3RK1 w - -,b3c5
8/5pkp/4p1p1/8/5P2/2pK2R1/6PP/2r5 b - -,c1f1
2r3k1/1b4q1/p2pp1r1/8/PpnN4/4R1P1/1PPQ3P/R4BK1 w - -,f1c4
8/p5pk/1pK4p/8/2P2r2/1R6/PP6/8 w - -,b3c3
8/1pkb2q1/2p1p3/P1Ppbp1Q/3P1Pp1/4P1P1/3KB3/8 w - -,f4e5
1r1q1rk1/2n1ppbp/1p1p4/pP3p1b/P1P1P3/2N1B2P/2NQ2P1/1R3RK1 w - -,e4f5
8/8/5k2/b3Pp2/5Pp1/3P2P1/2b2K2/5N2 b - -,f6e6
8/5k2/6np/7p/3B1p1P/6P1/6K1/8 w - -,g2f3
2k5/1ppnpp2/p4q1b/3P1p2/5B2/2P2PPr/PPB3Q1/1K2R3 b - -,h3h5
8/p1p1n3/1p3k2/5p2/3K4/P1PB2P1/1P6/8 w - -,b2b4
r1bqr1k1/1p2bppp/n4n2/p1pp4/3P2P1/P1N1PP2/1P2N1BP/R1BQ1RK1 b - -,h7h6
4r1k1/5p2/7p/1B4p1/8/n7/P4PPP/2RR2K1 b - -,a3b5
r1bq1rk1/pp2n1b1/2np2pp/2p1pp2/4PP2/2PPBNP1/PP2N1BP/R2Q1RK1 b - -,b7b6
2k4r/p1pp1p1p/b1p5/3nr1p1/2P5/1P4P1/P4PBP/RN3RK1 w - -,c4d5
3r2k1/2RP1p2/1p5p/1P2Bbp1/8/7P/5KP1/8 w - -,g2g4
8/1b2k1p1/2r4p/7P/5KP1/5p2/3R1P2/8 w - -,d2b2
5rk1/p4p2/7p/6p1/3bQ3/2q2PBP/P4PK1/4R3 b - -,d4g7
8/8/8/3n3p/2pP1pPk/2P5/3B1PK1/8 b - -,h5g4
r5k1/2NP1p2/1R5p/1Bp2p2/8/8/5bPK/2r5 b - -,a8d8
8/1qp2pkp/1p2r1p1/r1bNp3/p1P1P1P1/P2Q3P/1P1R1P2/3R2K1 b - -,c7c6
3n1B2/8/p3kp2/3p2p1/6P1/1P4KP/P7/8 b - -,f6f5
r2qr1k1/ppp2pb1/2b2npp/3P4/4P3/2NBBP2/PP4PP/R2Q1RK1 b - -,c6d5
2r3k1/1B3pp1/p5bp/8/3N4/b2nP1PP/5P2/B4RK1 b - -,c8b8
8/4k3/7p/1b6/8/5B2/2K5/2b5 b - -,c1e3
r3k2r/1p2bp2/p1bppp2/8/Pq2PP1p/2N1QB2/1PP3PP/1R3R1K b kq -,a8c8
1n1k4/1b3p2/6p1/2P3P1/1NPp1K2/5P1B/8/8 w - -,h3g4
r2q1rk1/pp2bppp/2n2n2/3pNb2/2pP1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,f2f3:b2b3
r1bq1rk1/1pp1ppbp/1n3np1/p2P4/P2P4/1BN2N2/1PP2PPP/R1BQK2R w KQ -,e1g1
8/7p/1R4pk/2rp1p2/3Np3/P5P1/2pbB1KP/8 w - -,d4f5
q1r3k1/6bp/rn1pp1p1/2n3B1/P1p1P3/R1N2NP1/1PQ2PKP/R7 b - -,g7c3
rn1q1rk1/1b2ppbp/6p1/p1P3B1/Np6/1B5P/PP3PP1/R3QRK1 b - -,b8c6
r5k1/rN2qpp1/1Qp4p/P7/3p4/3P2P1/R3RP1P/6K1 b - -,e7b7
1r4k1/3nQp1p/2qP2p1/5p2/1r3B2/3B4/1b4PP/1R3R1K b - -,b2f6
8/5kpp/8/2bp4/4p1P1/P6P/2P3B1/1K6 b - -,f7f6
rn1qk2r/pb1p1ppp/4pb2/2pP4/2p1P3/5N2/PPQ2PPP/RN2KB1R w KQkq -,e4e5
1r6/6k1/p2Pb1pb/q1pNp2p/2P1P3/6P1/PP2Q3/R2K1N2 w - -,f1e3
5r1k/1p2r3/p1bR1N1P/6P1/4PK2/8/PP4B1/8 b - -,c6e8
7r/5ppk/b3p2p/q2pP2P/3N2R1/3PP3/1P4P1/5QK1 b - -,a5d2
rq2k2r/3bBpp1/1b1pp3/pN1N3p/1n2PPn1/3B4/1PP1Q1PP/4RR1K b kq -,b4d5
8/8/8/p7/P3R3/1k5r/3KN2r/8 b - -,h3h4
r4rk1/5ppb/4pn1p/pq1p4/R2P4/4PNP1/5PBP/Q1R3K1 b - -,f8b8
1r1q1rk1/p2b1pbp/1p1p2p1/n1pPp2n/2P1P3/PPN3P1/1BQN1PBP/R4RK1 w - -,c3b5
5rk1/2qbn2p/r2p1pp1/4p3/Np1PPP2/1P2B1P1/P1P2QBP/2R3K1 w - -,g2f1
1B6/1p6/p3k3/8/6Nb/2Pn4/P3Kn2/8 w - -,g4h2
3q1rk1/1p2nppp/4pn2/pP6/2BPpP2/b1R4Q/3B2PP/5RK1 w - -,c3a3
8/3k4/R3p1p1/5nP1/4RP2/6K1/2r5/8 w - -,g3f3
8/kpr2Rp1/4p1p1/1P1pP1N1/8/3B2P1/3K1P2/r7 b - -,a1a2
r2q1rk1/pppb1pbp/3p1np1/3Nn3/2PN4/1P2P3/PB2BPPP/R2Q1RK1 b - -,e5c6
r2r2k1/2q1ppbp/2p3p1/p2nP3/1pPPNP2/6P1/PB2Q2P/2RR2K1 b - -,d5b6
r1bq1rk1/bpp2ppp/p1n2n2/3pp3/4P3/1BPP1N1P/PP1N1PP1/R1BQ1RK1 b - -,d5e4
8/pp6/2p2k2/5pp1/3P1n2/P1P1KP2/1P6/5B2 b - -,f4d5
r1b1r1k1/1p4b1/2p2n1p/NpPp4/P2Pp3/4P3/3N2P1/R3RBK1 w - -,a4b5
8/2kn1R1p/1n1p4/5N2/5p2/2r4P/5PPK/8 w - -,f7h7
8/1q4k1/p4pn1/Pp5p/1P5P/6P1/1Q1r1P1K/8 w - -,b2d2
r3r1k1/pp3pp1/2p4p/3n4/3q4/P3PBB1/1PbR1PPP/5RK1 w - -,d2d4
1kr3r1/pp1bqp1p/2n2n2/1N2b3/1P4pN/P3P3/1BQ1BPPP/3R1RK1 w - -,c2b1
2r2b2/4k1p1/4p1P1/1B1P1qB1/4p3/P7/1P5n/1K1R2R1 b - -,e7d6
4r3/pp5k/5qpp/2p5/2P1r1p1/1P1Q4/P3PBRP/4bK2 w - -,d3d7
r6r/pp1k4/n1p1p3/3pP3/3P1PPq/2P2Qn1/PP3R1P/R1B3K1 b - -,g3e4
rnb1k2r/pp3pp1/2p1pq1p/8/PbBPP3/2N2N2/1P3PPP/R2QK2R b KQkq -,c6c5
r2kr3/1pp1N2R/1p1p2p1/4p3/P3PP2/1P3P2/1KPR4/8 b - -,e8e7
4R3/2b5/2p1k3/2P5/3P2KP/4P3/8/r7 b - -,e6d5
2k1r3/p2r1pb1/3p2pp/2pP4/4P3/1P1K1N2/2P3PP/3RR3 w - -,f3d2
rnbq1rk1/pp2ppbp/2pp1np1/8/2BPP3/2P2N2/PP2QPPP/RNB2RK1 b - -,b7b5
2rq1rk1/3nppbp/pp1p2p1/2p5/1PPP4/P3Pb1P/3QBPPB/1R1R2K1 w - -,e2f3
r2rq1k1/p1b2pp1/2p2n2/3pp2p/4Pn2/1PP1BbN1/P1BR1PPP/R3Q1K1 w - -,g2f3
8/1p2p1k1/3p2p1/3P4/2Pb4/rP4K1/6P1/1R1B4 b - -,a3a2
r2q1rk1/pb1pppbp/1pn3p1/8/2PNP3/2N1BP2/PP1Qn1PP/R2R2K1 w - -,d4e2
r7/1pp1rp1p/3p1kp1/2nP4/p1P1Pb2/P1N2P2/1PB2P1P/1R1R3K b - -,f6e5
1rq1r1k1/p2nbpp1/n5p1/Bp2P3/3p1P2/P2P2P1/1N4BP/1R1Q1RK1 b - -,d7b6
7k/pp5p/5p2/2R2N2/5rP1/1P6/7P/6K1 b - -,f4g4
8/4k3/8/PK6/1P6/1b6/8/8 b - -,e7d7
rn3rk1/1pq2pbp/4bnp1/p1Ppp1B1/8/1N3NP1/PPP1PPBP/R1Q2RK1 w - a6,a2a4
8/1p2np2/p3p2k/1brpP3/6P1/PnP2N2/5PK1/1BR5 w - -,c1h1
6rk/1p2R1pp/4n3/1P1q4/4p2N/P4bP1/1Q3P1P/5BK1 w - -,h4f3
r4rk1/2qbb1pp/p3pp2/3pP3/1PpP1P2/P3BB2/3Q2PP/R4RK1 w - -,d2c3
2rr2k1/pp3p1p/4pp2/8/5q1N/P7/BPP1QPPP/2K4R w - -,c1b1
r3r1k1/p4p2/npb2bpp/1Npp4/3P4/P3PN2/1P3PPP/1BR2RK1 w - -,b5c3
8/1p3pk1/p4rpp/P1NpRq2/3P4/2P3Pb/4QP1P/6K1 b - -,f5b1
8/8/6K1/6pP/4pkP1/8/8/8 b - -,e4e3
r5k1/1R3p1p/p3b1p1/3n2B1/3bN3/7P/P4PP1/5BK1 b - -,d5c3
4r2k/1bq1rpbp/p5p1/1p1p4/2pNP1P1/P1P2P2/1PB1Q1P1/R3R1K1 w - -,e2f2
rn3rk1/pbp1qppp/4p3/2Pp4/1Q6/1N3NP1/PP2PPBP/R4nK1 w - -,b4b7
4r1k1/p2q3p/1p1n2p1/2pPbp2/2P5/3Q1BP1/P1R2P1P/2B3K1 w - -,h2h4
r3r3/2p2ppk/p6p/Pb2pP2/1B6/1P5P/2P2PP1/3RR1K1 b - -,b5c6
2r2k2/p4ppp/1p1pr3/8/1PP1K3/P5P1/2R2P1P/3R4 w - -,e4d4
b1r2rk1/p3Rpp1/1p3n1p/8/1P6/P4NP1/5PBP/R5K1 b - -,a7a5
q4rk1/3nbppp/r1p1pn2/1pPp4/1P1P1B2/2N1PN1P/2Q2PP1/1R3RK1 b - -,a8b7
8/8/4p3/3k1pN1/3N4/1PK1P3/7r/8 b - -,h2h1
r2q1rk1/pb1nppbp/1pp3p1/3p4/1PPP4/1QB1PN2/P3BPPP/R4RK1 w - -,c4d5
rnbqr1k1/1p3pnp/p2p2p1/2pP4/P1N5/2N1P2P/1P2BPP1/R2QK2R w KQ -,a4a5
8/3R4/1p6/pPk1b3/P5pP/1K6/7P/8 b - -,e5h2
2brr3/5pp1/k1p5/pp1pP3/n2P2PP/1R2K3/P2N4/3B2R1 w - -,d2f3
5rk1/6bp/p1r3p1/1qP1pp2/8/6P1/RB2PP1P/QR4K1 w - -,b2c3
3R1nk1/1pr2ppp/p4p2/8/5P2/3B2P1/PPP4P/2K5 b - -,c7e7
6k1/p3bp1p/4p1p1/2p1P3/2N2rPP/8/P3BB2/6K1 w - -,g1g2
8/1p3pkp/2pn2p1/4q3/1PQ4P/4PBP1/5PK1/8 w - -,c4b3
2k4r/1pq1bp2/p3p2p/2p1Pbp1/8/1PN1RP2/P3Q1PP/4B1K1 w - -,g1h1
8/7p/6p1/8/1pr1k3/6P1/1P1R1K1P/8 w - -,f2e2
6k1/1pp4p/p5p1/3pP3/1n1P4/5r2/PP2rBRP/1K4R1 w - -,f2g3
rnbqr1k1/pp3pbp/2pp2p1/8/2P1PP2/4BB2/P1N3PP/1R1Q1RK1 b - -,f7f5
8/R7/Pp6/1P2kp1p/1P1pp2P/3P4/6r1/3K4 b - -,e5f4
8/8/1R5p/1P5k/5P2/6p1/1r6/6K1 w - -,f4f5
6k1/5ppp/4n3/7P/3bP2N/1r6/6R1/1K6 w - -,b1c1
r1bqk2r/pp2bppp/2n1pn2/8/2Pp4/1P3NP1/P2P1PBP/RNBQ1RK1 w kq -,f1e1:d2d3
rn1q1rk1/pb1p1pp1/1p2pn1p/2pP4/2P1P2B/2P5/P2N1PPP/R2QKB1R b KQ e3,d7d6
1q2r1k1/p4ppp/1pR5/1Pb1p3/3pQ3/1P1P2P1/PB3P1P/6K1 w - -,a2a4
2k1r2r/pp1b2pp/4pnn1/3p4/q1pN3P/P1P2PPB/2PB4/RQ2R1K1 w - -,d4e6
1knr1b2/pp1q1b2/5p1r/2p2p1p/2PP1N1P/P2BP3/1P2QPP1/1K1R3R w - c6,d4c5
b7/8/2Pk2p1/NP6/8/5p2/5K2/8 b - -,d6c7
r2qkb1r/pp3ppp/2n1pn2/1B1bN1N1/P2Q4/4P3/1P3PPP/R1B1K2R b KQkq -,d8a5
r4rk1/pp2q2p/4bp2/4b1p1/3pPpP1/3P1B1P/PP1Q1P2/R1N1K2R b KQ -,a8c8
r3k2r/1b1nb1p1/pq2p3/2ppn1N1/1p1P4/2P3N1/PP4BP/R1BQ1RK1 b q -,c5d4
8/8/8/4R3/8/1r1K2p1/3B4/6k1 w - -,d3e4:d3e2
3rr1k1/1pp1np2/p3qnpp/4p3/1P2P3/2P1NQ1P/1P3PP1/R2R1NK1 w - -,f1d2
1r3rk1/5ppp/B3b3/8/2nP4/6P1/PP2PP1P/R4RK1 b - -,b8b2
3n2k1/4bpp1/b3p2p/1qppPP1P/n2P1BP1/1pP2N1B/rP1Q3K/1R1N4 w - -,d4c5
3q1nk1/5p1n/pp1p2p1/2pP2P1/P1P1BP2/1P6/1Q4N1/6K1 b - -,f7f6
r1b1k1nr/pp1pppbp/1qn3p1/1Bp5/4P3/N4N2/PPPP1PPP/R1BQR1K1 b kq -,a7a6
r1bqkb1r/3n1ppp/p2ppn2/8/Np1NP1P1/4BP2/PPPQ3P/R3KB1R b KQkq g3,h7h6
8/1p4R1/p1p5/Pr4Pk/1PK2n2/4B3/8/8 b - -,f4d5
3q1rk1/3b1p1p/3p1pp1/p1nP4/1pPN4/6P1/P2QPPBP/5RK1 w - -,h2h4
r1bqk2r/pp2npbp/2n1p1p1/2pp4/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w kq d6,e4e5
4B3/p5pp/8/1n6/1k6/6P1/4K2P/8 b - -,a7a5
3n4/7p/1P1Pk1p1/4p3/1Bp1K3/8/1P4PP/8 w - -,g2g4
2rr2k1/pq1nbppp/1p2pn2/4N3/P2P1P2/3QB1N1/1P4PP/R4R1K w - -,a1c1
3R4/p7/1p6/6P1/P6r/4p3/4k1K1/8 w - -,g2g3
r1b2r1k/1p2q1b1/2p2pp1/p3p3/2P1P1p1/1P3P1P/4Q2N/1R1RB1K1 w - -,h3g4
6k1/7p/6pP/1P1Rn1P1/p1r1Pp2/b7/2B2P2/1K4R1 b - -,e5f3
2rr2k1/3bbppp/pn6/q1p1pPP1/1pPnP2P/1P2B2B/P1R1N3/3NQRK1 w - -,c2d2
3bk1r1/3p4/1prPp3/p3P3/7p/Q4R2/P1q2BP1/5RK1 b - -,c2g6
rnbr2k1/ppqnppbp/2p3p1/3pP3/8/3P1NP1/PPPN1PBP/R1BQR1K1 w - -,d1e2
5rk1/rp2b1pp/nq2bp2/p2Ppn2/8/PP2PNPB/1B2QP1P/2RR2K1 w - -,d5e6
3r1rk1/pb1nqppp/1ppbpn2/3p4/2PP4/1PN1PN2/PBQ1BPPP/3R1RK1 w - -,f1e1
1K6/p1P5/k7/8/7p/8/1R6/2r5 w - -,c7c8q
r2q1rk1/1pp2pb1/p3bnpp/4p1B1/2P1P3/2N3PP/PP2QPB1/R4RK1 w - -,g5e3
2rq1rk1/1p1bppbp/p1np1np1/8/2PNP3/2N1BP2/PP1QB1PP/R2R2K1 b - -,d8c7
r5k1/1p5p/2p1p1p1/2Pp1p2/1q1P1Pn1/1P1R1QPP/4P1B1/rR4K1 w - -,b1d1
3r2k1/pbN2ppp/2n5/Rpq5/4P3/5NP1/5PBP/4Q1K1 b - -,c6a5
2r5/4kp2/p1qppb2/4p1P1/1PP1P3/3Q1NP1/6K1/5R2 b - -,f6g7
8/5Rr1/1pk4p/p3P2P/P3KRP1/3P4/8/6r1 b - -,g7g5
r3k2r/pp3ppp/2n1b1n1/3pP3/1b1N4/1N4B1/Pq2BPPP/R2Q1RK1 b kq -,c6d4
8/3k4/5pP1/1Q5K/8/p3q2P/8/8 b - -,d7e7
r3kb1r/ppqnpppp/2p2n2/5b2/2BP4/2N2N2/PPPBQPPP/2KR3R b kq -,e7e6
8/8/6n1/3pBp1p/3P3P/3k1K2/8/8 b - -,g6h4
8/pp6/1k4p1/4N3/3Kn3/P2P3r/6R1/8 b - -,e4g3
2r3k1/1p1r1pbp/pq1pp1p1/8/PnP1P2B/1PNn1P2/3Q2PP/1RN2R1K b - -,d3c1
2rq1rk1/p1n5/1pP5/5p1p/1R1b1Pp1/3PN1P1/P2Q2BP/4R2K b - -,a7a5
r2q1rk1/pp1bbpp1/2n4p/3n4/2B5/P4N2/1PQ2PPP/R1BR2K1 w - -,c4d5
2r2rk1/p1qbbpp1/7p/3BP3/1p3P2/1Pp2NP1/P1Q3P1/2R2R1K w - -,f4f5
r1k4r/p1p1bpp1/1pp1N3/5n1p/8/1P3N1P/PBP2PP1/3R1RK1 b - -,f7e6
2b1rrk1/6pp/2q1pp2/1p1p4/5P2/3PP1Q1/1BP3PP/R4RK1 w - -,a1a7
rn4k1/1q2bpp1/4pn1p/p1p1P3/P1N5/1P5P/3N1PP1/BQ1R2K1 b - -,f6d5
r1bqkb1r/p1pn1p1p/1p2pp2/8/3P4/5NP1/PPP2P1P/R1BQKB1R w KQkq -,f1g2
r2q1rk1/1p1nbpp1/p2pbn1p/P3p3/4P3/1NN2B2/1PP2PPP/R1BQR1K1 b - -,d8c7
8/8/8/8/2kP2R1/5PK1/8/5r2 w - -,g4e4
r4rk1/1bqpn1pp/p3pp2/1p1nP3/4NPP1/1N1B1R1P/PPP5/2KRQ3 w - -,e4d6
r3k2r/p1pbqppp/2p5/2bpP3/3NnP2/4B3/PPP3PP/RN1Q1RK1 w kq -,f1e1:b1d2
r1b2rk1/1pqnbppp/3p1n2/pPp1p3/2P5/2NPPN2/PB2BPPP/R2Q1RK1 b - -,d7b6
3r2k1/2b3p1/2P4p/p2pn3/3Np1qP/P5P1/2P1N1QK/5R2 w - -,g2h3
8/1p3ppk/p5bp/3N4/3R4/4Q3/PP3n1q/2K5 b - -,h2g1
4r1k1/3nbppp/q1bp1n2/1p6/1PpNP3/N1P5/1BB1QPPP/4R1K1 w - -,e2d1
r3k2r/3qbpp1/p1n1p2p/3pP3/3P4/5NP1/PP3P1P/1BRQ1K1R b kq -,f7f5
r6r/pp2k1pp/2b1p3/5p2/2P1N3/4K1P1/PP3P1P/R2R4 w - f6,e4c5
1rbq1rk1/2p1npbp/pn1pp1p1/8/2PP4/2N2NP1/PB1QPPBP/1R3RK1 w - -,d2d3
8/1p3p2/2p3p1/2P2k2/2P2Pp1/4K1P1/8/8 w - -,e3d4
2r3k1/5p1p/p4n2/8/Npp1P1p1/5PP1/PP2K2P/2R5 b - -,g4f3
3q2k1/pb1r2pp/5p2/2p1p3/2Pb4/1P2B3/P3QPPP/3RN1K1 w - -,d1c1
2b1rbk1/4qp1p/p1r3p1/2p1p2n/NpP1PP2/1P1QB1PP/P5B1/3RR1K1 w - -,e3c1
r4rk1/pp1q2bp/1n2p1p1/6B1/8/1PN2Q1P/1P3PP1/R3R1K1 w - -,f3g4
r1b2rk1/pp2bppp/1qn1pn2/2pp4/2P5/1P2PNP1/PB1PQPBP/RN3RK1 b - -,f8d8
6n1/1k1r4/pp2Rp2/2p2P2/3p1B2/3P1K2/PPP5/8 w - -,f3e4
5k2/3K1P2/8/4N1p1/6P1/b7/8/8 w - -,e5c4
6k1/4qppp/nB1rp3/1n1b4/2p3N1/7P/1P1QBPP1/R5K1 w - -,a1a6
r4rk1/1b2qppp/pp1bp3/3nN3/P1RP4/5BB1/1P3PPP/3Q1RK1 b - -,a8c8
2r1r1k1/1b2npBp/pp6/3p3q/P2P4/1B4R1/1P1Q1PPP/3R2K1 w - -,g3g5
nr4k1/p4p2/p1R1p2p/3pP1p1/8/4P1P1/PP2BPP1/6K1 b - -,b8b2
rnbq1rk1/ppp2ppp/1b2pn2/8/3P4/5NP1/P1QNPPBP/1RB2RK1 w - -,f1d1
8/8/8/1p2b2p/5p1P/2Pk1P2/2bB4/4KN2 w - -,e1f2
8/4rk1p/2prp3/np2R3/p2P2B1/P1P5/KP3P2/4R3 w - -,f2f4
r1bq1rk1/pp3ppp/2n1p3/3p4/1bPN4/2N1P3/PP1QBPPP/R4RK1 w - d6,c4d5
1r4k1/6bp/3q2p1/1p1Pp1PP/p1p1Pr2/P3Q3/1P2B3/1K1R3R w - -,b1a1
r3kb1r/pp1q1ppp/2p1b3/2npP3/8/2PB1NQ1/PPP3PP/R1B2RK1 w kq -,f3g5
8/p3r3/1p3nR1/3b1p2/2BNkP2/2P1P3/PP6/4K3 w - -,c4e2
8/5R2/2P5/8/3K1pk1/8/8/7r w - -,c6c7
rn1qk2r/p1n1bp2/1p2p1p1/3pP2p/2pP1NQP/2P2N2/PP3PP1/R1B1R1K1 w kq h6,g4g3
8/6k1/8/R5p1/1p1KB1P1/2n4P/b7/8 w - -,a5g5
3q1rk1/1pp1bppp/rnnp4/p3p2b/P3P3/2PPBN1P/1PBN1PP1/R2QR1K1 w - -,d1b1
3r3k/1p1R2p1/4Q2p/4p3/4P2P/4qPP1/6K1/8 b - -,d8d7
3rrbk1/pp1n1ppp/2p1p3/7q/2PPn3/PP1BQ2P/1B3PP1/3RR1K1 w - -,d3e4
1r1q1rk1/2p2pp1/p1np1n1p/2bPp3/P7/2PP1N1P/B4PP1/R1BQ1RK1 b - -,c6e7
r2n1rk1/3bpp1p/p2p1npb/qp1P4/3BP3/2N5/PPRN1PPP/3QRBK1 b - -,a8c8
r1bqk1nr/ppp2ppp/2nb4/3p4/3P4/2PBB3/PP3PPP/RN1QK1NR b KQkq -,g8e7
8/2pk1pp1/1p2r1q1/p1Prp1P1/3pRP2/3P4/PP1QP3/1KR5 b - -,e5f4
