R7/8/5p2/p3pkp1/8/r5PP/4KP2/8 w - -,a8a6
r2qr1k1/1b4bp/pp2pnp1/2ppNp2/2PPnP2/1PN1P2Q/P1B3PP/B2R1RK1 b - -,e4d6
rnbqk2r/1p2bp1p/p3p3/2p2p2/3P4/3B1NN1/PPP2PPP/R2QK2R w KQkq c6,d4c5
4kbQ1/7p/2N3p1/2qpp1P1/P3P2P/1P6/2P5/1K6 w - -,g8e6
rn1q1rk1/pp2ppb1/2p2np1/5b1p/2PP4/2N2N1P/PP2BPP1/R1BQR1K1 w - h6,e2f1
rn1qk2r/pp3ppp/2pbp1b1/3n4/2BP1N2/2P2QN1/PP3PPP/R1B1K2R b KQkq -,d8h4
1k1r2r1/pp6/1n2qp1Q/4p3/1P6/6PP/PB3RPK/2R5 b - -,b6d5
2rq1r2/3b1pk1/p2pp1p1/1p2n2n/3NP2P/1BN2P2/PPPQ4/2K3RR w - -,f3f4
1r3rk1/p1pqbppp/1p3n2/3P1b2/2N5/P1NnB1P1/1P1Q1PBP/R4RK1 b - -,f6g4
3r1r1k/p2nq1Rp/1p1p4/b1pPp3/2P5/P1N1P3/1P1B1PQP/2K3R1 b - -,e7h4
r3kbnr/pp1np1p1/2pqp2p/3p3P/3P1P2/3b2N1/PPP3P1/RNBQK2R w KQkq -,d1d3
5k2/5P2/3KPr2/p7/P1B5/8/8/8 w - -,d6d7
r1bq1rk1/ppp2ppp/2nbpn2/8/2QP4/5NP1/PP1NPPBP/R1B1K2R w KQ -,c4c2
5rk1/1prqnnpp/2p2p2/pPPp4/P2P4/3QN3/4NPPP/R3R1K1 b - -,f7h6
r4rk1/pp1b1pbp/1qp1pnp1/8/2BP4/1QN1P3/PP1B1PPP/2R2RK1 b - -,a8d8
r3r1k1/1bq3bp/3p1nP1/8/p2B4/1NNP2QR/1P5P/5RK1 b - -,a4b3
R7/3rbkpp/1pp2p2/2p2P2/5B2/1PP4P/1P4P1/6K1 w - -,a8c8
8/8/p2kN1Pb/1p1P4/2p5/1r3P2/2R2K2/8 w - -,g6g7
1r2k2r/pbppnpbp/1q4p1/2p1P3/1PP5/P2BBN2/2Q2PPP/R2KR3 b k -,b7f3
4r2k/pp3q1p/2p3p1/6B1/4PpPQ/8/1P4KP/8 w - -,g5f6
r1bqk2r/pp1p1pbp/2n1p1p1/2p5/4P3/N1P2Q2/PP1P1PPP/R1B1RBK1 w kq -,d2d3
5r1k/pp4pp/4Q3/q2pN3/P1bP1p2/4b3/6PP/1R2R2K w - -,e5f7
4rkn1/r4pp1/3q4/p3p1P1/Pp1pQ3/1B1P1R1P/1P3P2/R5K1 w - -,a1c1
7k/3p3n/p3p1qp/2p3r1/4PR2/P2N3Q/2P5/7K b - -,g5h5
r1bqr1k1/ppp2pbp/3p1np1/n2Pp3/2P5/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,f3d2
8/3k1p2/p3r3/1p1rP1pp/1P6/PK2R1PP/8/4R3 w - -,b3c3
r1bk1b1r/ppp2p1p/2n2np1/4p3/2P1P3/2N2N2/PP3PPP/R1B1KB1R w KQ -,c1g5
2k4r/pp3p2/2nq1pp1/3p1b2/3P1N2/P7/1PPQ1PP1/2KR1B2 b - -,g6g5
r1bq1rk1/1pp3bp/2np2p1/3Npp1n/1PP5/3PP1P1/4NPBP/1RBQK2R b K -,c6e7
r1b1k1r1/pppq1pp1/2n4p/bB1pPp1Q/3P4/P1N5/1PP2PPP/R1B2RK1 b q -,a7a6
r2q1r1k/pp1n3b/4p2p/3pPPb1/3P1R1n/1N1BN2P/PP1B4/R2Q2K1 w - -,f4f2
rr3bk1/3q1p1p/1npp1np1/p7/P2P4/Q2BPb1P/1R1N1PPB/2R3K1 w - -,d2f3
8/1p3ppp/p7/P2k2P1/5K2/7P/1PP5/8 b - -,d5e6
rn3rk1/pbppqppp/1p2p3/8/2PP4/2Q1PN2/PP2BPPP/R2R2K1 b - -,b8a6
r4b1r/ppNkpppp/1np5/8/3P2b1/3B4/PPPBNPPP/R4RK1 b - -,d7c7
4qrk1/4bpp1/Q3p2p/1p1n4/5B2/4PN1P/PP3PP1/3R2K1 b - -,d5f4
r1b2rk1/pp2bppp/4p3/2qn4/2NR4/2N1P1B1/PPQ2PPP/5RK1 w - -,f1d1
8/3k2p1/p2n1p1p/1r1p1P1P/1B1R2P1/P2KP3/8/8 w - -,a3a4
r1bqkb1r/pp3p1p/2nppnp1/8/2P1P3/PQ1P1N2/1B3PPP/RN2KB1R w KQkq -,f1e2
2r3k1/5p1p/p3pnpb/1pr5/3N4/P1P1P1PP/1PR1K3/3R1N2 w - -,g3g4
r3nrk1/5pbp/1q1p2p1/2pPp2P/1pP1P1P1/1b2BPN1/P2Q4/1K1R3R w - -,a2b3
r1b1kb1r/pp1p1p1p/1q2pp2/3n4/3P4/4PN2/PP1N1PPP/R1Q1KB1R b KQkq -,f8b4
r7/q7/2p1k1n1/r1Pp1p1n/P2PpPp1/1Q2P1P1/R3N1B1/R5K1 b - -,a8b8
3qn1k1/p3rp2/2rp2np/1p1Pp1p1/1P2P3/P4PPB/1B1Q3P/2R3K1 w - -,d5c6
5rk1/6bp/Nq1p4/p4p2/5P2/2P1p1P1/1P1R1Q1P/R5K1 w - -,f2e2
4r3/1p6/p1n5/5k2/4p1p1/2B1R3/PP3PP1/7K w - -,h1h2
r4rk1/5pp1/b1q4p/pp1pPQ2/4B3/2P4P/PP4P1/R1B1R1K1 b - -,d5e4
2r3k1/4b1p1/r3p3/p1pq1p2/PnN5/3P1PPQ/4PB1P/R1R3K1 w - -,h3g2
4b3/2k3p1/4p2p/1Pp1p3/3bP1P1/NK1B3P/8/8 b - -,e8d7
r3r1k1/1ppb1ppp/p4b2/8/4P3/5NP1/PP2nPBP/2RR3K w - -,c1c7
r1b1kb1r/pp4pp/2p1p2q/3p4/2PPp1n1/1P2P1PP/PBQNBP2/R3K2R b KQkq -,g4f6
8/R7/p5k1/5pp1/8/q5P1/5B2/5BK1 b - -,a6a5
r1bq1rk1/1p1nbppp/1np5/p2pP3/P2N1B2/5P2/BPP1N1PP/R2QR1K1 w - -,c2c3
B4k2/5p2/3K2pp/Pr6/6P1/5P2/7P/8 w - -,a8d5
8/R7/6kp/1P4p1/1r1pK3/6P1/7P/8 b - -,b4b5
7R/3p1k2/2b5/p5Rp/8/6pr/8/6K1 w - -,h8h5
3rkb1r/1q3p1p/p3p1p1/3bn1P1/P2N4/4BPP1/1PPQB3/R4RK1 w k -,a1d1
8/8/1kp2Rp1/2p4p/1P6/3b3P/P1n2KP1/8 w - -,b4c5
5r1k/1p3p1p/1P1p2p1/pQ2R3/2P2q2/5B1P/P5P1/3R2K1 b - -,d6e5
3qr1k1/p2bppb1/3p2p1/5P1n/2rNP2P/2N1B3/PPPQ4/2KR2R1 b - -,d8a5
r1bq1rk1/pp2ppb1/5npp/3p4/1B1P4/1N2P3/PP2BPPP/R2Q1RK1 w - -,b3d2
r4rk1/pqpn1p2/1p1p2pp/8/1PPb4/7P/P2N1PPB/2RQ1RK1 w - -,d1g4
3k4/1R6/p7/P1n5/7p/6p1/6P1/6K1 w - -,b7h7
r2nk2r/1p1n1pb1/p1b1p2p/4P1p1/3B4/P1N2N2/1P2BPPP/R3R1K1 w kq -,h2h3
2r2rk1/2q1b1p1/p6p/1p2pPp1/n3p2P/2P4Q/PP1NB3/1K1R3R b - -,a4c5
r1bq1rk1/1p1nppbn/p2p2pp/2pP4/P1P2P1B/2N1P2P/1P1N2P1/R2QKB1R w KQ -,f1d3
r1bqkb1r/1pp2p1p/p1np1np1/4p3/B3P3/2P2N1P/PP1PQPP1/RNB1K2R b KQkq -,c8d7
r1bqr1k1/1ppnb1np/p2p2pB/2PPp3/1P2Pp2/2N2N2/P4PPP/2RQRBK1 w - -,c5c6
r2q1rk1/ppp2pp1/2np2bp/2bnp3/2P1P1P1/3P1N1P/PP3PB1/R1BQ1RK1 w - -,c4d5
3r4/p1p2kp1/1p3p2/3N2n1/8/5P2/PPP3PP/3R2K1 w - -,g1f2
8/5p1k/3Ppbp1/1pBn3p/5P1P/3P2P1/6BK/8 b - -,h7g8
r3r3/2pk1p1p/p2p2p1/3n4/3B4/5P2/PP4PP/R3R1K1 w - -,g1f2
2rqk2r/1p3ppp/p1npbn2/4p3/4PP2/1NNBQ2P/PPP3P1/2KR3R w k -,g2g4
8/5pk1/8/4K1P1/R4P2/8/8/6r1 b - -,g1g2
q2r3k/6bp/2n1Q3/3Npp2/r1P5/Np6/1P3PPP/2KR3R b - -,a4a3
r1b2qk1/2p1br1p/1p1p2pR/pP1Pp1P1/2P1P3/3BBP2/P2Q4/2K4R b - -,f8g7
2kr1b1r/ppp1pppp/2n2n2/7q/2PP2b1/5N1P/PP2BPP1/RNBQ1RK1 b - -,e7e5
r4rk1/1b3qbp/p2pN1p1/1P2p3/4PPn1/6P1/Q5BP/1R2R1BK b - -,f8e8
3r1k2/pp6/3rbp2/2ppn1p1/8/P1P1P2N/BP1R1PP1/2KR4 b - -,c5c4
3rrnk1/1p2p2p/1q2b1p1/1Pp1P3/2P2R2/2BB2P1/2Q4P/5R1K b - -,e6h3
8/8/2N3p1/2nPkp1p/4p2P/1P2P1P1/5P2/5K2 b - -,e5d6
5Rk1/3b1q1p/3np1p1/1p1p4/1P1Q1P2/8/5PB1/R5K1 b - -,f7f8
r1b1qnk1/pp2n1bp/2p3p1/4pp2/N1P5/1P3NP1/PB1QPPBP/3R2K1 b - -,e5e4
2rqr1k1/1b1n1pbp/1p2pnp1/pP1p4/P2P4/BQN1PN1P/2R1BPP1/5RK1 b - -,d8c7
5rk1/Q5p1/2p1n1p1/2P2q2/P2Pp3/6BP/5PP1/4R1K1 w - -,a7d7
8/2R5/3p1bkp/4n1p1/4P1P1/2P4P/1r1BBK2/8 w - -,f2e3
r3r1k1/2p2bbp/ppPp1np1/5p2/PP6/4P1P1/qBQN1PBP/1R3RK1 b - -,f6d5
1r2brk1/2p3p1/1qn1p2p/p2pP3/2p2P2/2P2NP1/PPQ1B2P/1R3R1K b - -,c6e7
2k3nr/pp4pp/5p2/q1p5/1P1Q1P2/3BB3/P4PPb/4K2R w K c6,d3f5
R2k4/8/3p1NKp/7P/5rP1/8/7n/8 b - -,d8c7
6k1/q2n1pbp/3R2p1/p1p1p3/PrN2P2/1P5P/2Q3P1/2R4K w - -,c1d1
4rnk1/pbqrbppp/1p2p3/1Pp1P3/P1P1N3/2Q2NP1/3R1PBP/4R1K1 b - -,e8d8
4r1k1/bp1b1p1p/p1nq1np1/3p1P2/PP2r3/2P1NRP1/2N1B2P/R1BQ3K b - -,d5d4
1r2n2r/1p1k1p1p/1Pn1p3/1NPp2p1/R2P4/3K1P2/3N2PP/R7 b - -,e8g7
r2q1rk1/2p1ppbp/2p1b1p1/p1QnB3/3P4/2N1PN2/PP3PPP/R3K2R b KQ -,d5c3
2r2rk1/3nbppp/p3pn2/q5B1/NpBP4/1P2PQ2/P4PPP/2RR2K1 b - -,a5g5
r1b2rk1/ppq1ppbp/2n3p1/6B1/3Pp3/2P2N1P/PP1Q1PP1/RN3RK1 w - -,f3h2
r1bqr1k1/1p2b1pn/2p1P2p/p2p1P2/P2NN1P1/4B1QP/1PP5/3R1RK1 b - -,e7h4
r1bqr1k1/1p1nbpp1/p1p2n1p/3p4/3P3B/2NBPN2/PP3PPP/2RQ1RK1 w - -,h2h3
rnbqk2r/ppp2p2/3ppn1p/6p1/1bPP4/2N2NB1/PP2PPPP/R2QKB1R b KQkq -,f6e4
2R4r/8/4b3/4p3/3k4/8/5K2/8 w - -,c8h8
5rk1/4bpp1/pBr2n1p/4R3/Pp6/1N3P1P/1PP3P1/2KR4 w - -,b6a5
2r2rk1/3b3p/1b1p2p1/p2Pp3/1p1nPpP1/3N1P1P/PPR3K1/2RN1B2 w - -,c2c8
r1r3k1/1p1np1bp/3pbpp1/pNn4q/2P1PB2/1P3N1P/P1B2PP1/1R1QR1K1 w - -,b5c3
r5k1/3bp2p/3p1pp1/3P4/1pqNP2P/3RQP2/r1P3P1/3R2K1 w - -,g1h2
4r1k1/6pp/3pPn1b/2pP1p2/R7/2q2N2/Q3KPPP/3R4 b - -,g7g5
r2q1rk1/p1Q2pp1/2bP3p/3N4/1n2N3/6P1/1P3PP1/3R1RK1 w - -,d5e7
3rr1k1/2pq1bb1/1p3ppp/p3p3/P2n4/2BP2P1/1PPN1PBP/R2QR1K1 b - -,f6f5
r4rk1/pb5p/1p2qnp1/P2p1p2/2pP4/2P1PNP1/R4P1P/1R1Q1BK1 w - -,f1g2
6k1/8/7P/1r4P1/8/7K/6R1/8 b - -,g8h7
8/5k2/2R5/3K1p2/2p2P2/1r4P1/8/8 b - -,b3g3
8/1r4kp/1R4p1/5p2/2N5/6P1/1Pn2PKP/8 b - -,b7c7
2kr3r/pp1bbnpp/1qn1pp2/2p5/3pPPP1/P2P2N1/1PPN2BP/1RBQ1RK1 b - -,f7d6
8/5P2/1B1K2n1/5k1p/8/8/8/8 b - -,f5f6
6q1/8/1Q4p1/5pP1/5P2/1pk3PK/8/8 w - -,b6e3
6k1/6p1/4p2p/3nP3/4r3/6BP/1R3PPK/8 b - -,g8f7
8/8/5Kn1/2k5/6P1/5P2/8/8 b - -,g6h4
2k5/pp2bpp1/2p1p2p/5n1P/r1PNR3/7R/PP1q1PP1/KQ6 w - -,d4f5
2b2rk1/pq4pp/2p1p3/2PpP3/P2BpPP1/4P2P/5RQK/1R6 b - -,b7b1
6k1/p4p2/3q2p1/2p4p/P1Qp1n2/1P3R1P/2P2PP1/4rNK1 w - -,g2g4
rnbqr3/pp2ppkp/2p2np1/3p4/3PP3/2N2P2/PPPQ2PP/2KR1BNR b - e3,d5e4
8/1p6/BPb1k2p/3pBp1P/3P1P2/4K2n/1P6/8 w - -,a6f1
3r2k1/1pp2p1p/4b1p1/bP6/4P2P/6P1/3rPPB1/2R1NK1R w - -,e1d3
8/4ppkp/3p2p1/2pP4/4P3/P3R1PP/3r1PK1/8 w - -,e3b3
r1r2k2/1p2npp1/3p4/p1qPpP1P/P3P1p1/2B3P1/1P2Q3/R3K2R w KQ -,e2g4
2kr1b2/1b3p2/p3p1r1/2p1B3/1p4pp/1P1P3P/1PP2PP1/R3RNK1 w - -,h3g4
rnbqk2r/p1p1bp1p/1p1pp1p1/4P3/3P1P2/2PB1N2/P1P3PP/R1BQK2R w KQkq -,e1g1
8/1k4p1/3p3p/1P2p3/2B1b3/4N1P1/1Rn2K1P/2r5 w - -,c4d5
r4rk1/3nppbp/p2q2p1/1p1P1b2/2B5/2NP1P2/PP3QPP/R1B1R1K1 w - -,c4b3
8/7p/5ppk/p1p4n/P1Q1Pp2/q4P2/6PP/2R4K b - -,h5g7
8/p7/7p/1P5P/3PKN2/b7/Pk6/8 w - -,e4d5
4r2k/ppp1qQp1/1bb4p/4P3/2B4P/2P5/PP1B2P1/2Kn3R w - -,h1d1
r2qr1k1/1b1nbppp/p2ppn2/1p6/3NPP2/P1NBBQ2/1PP3PP/R4RK1 w - -,a1e1
2rqk2r/pb1nbppp/1p2pn2/2pP4/2PP4/1P3NP1/P1QN1PBP/R1B2RK1 b k -,e6d5
6k1/5p2/p6p/2rp4/3Nq1P1/4RR2/5QK1/4r3 b - -,e1e3
r1b2q2/1p4bk/3p2np/1P2p3/2B1P1pP/P2P2K1/3B4/1RQ1N3 w - -,d2b4
R2q1rk1/3b2b1/3p3p/1ppPn1p1/4P3/2N1BB1P/1P4P1/3Q1RK1 b - -,d8a8
r3r1k1/qp3ppp/2p1Nn2/p1R5/8/4P1P1/PPQ2PBP/2R3K1 b - -,e8e6
r3k2r/pp2bpp1/2p1pn1p/7P/3P1B2/5N2/PPP2PP1/1K1R3R b kq -,f6e4
2r2rk1/1pqbbpp1/p3pn2/Q3p2p/4P2P/1N1B1P2/1PP3P1/1NKR3R w - -,b1d2
r1b3rk/p4n2/1p2p3/2p2p2/3P1P1q/Q2NPBRP/PP5K/6R1 b - -,g8g3
rnb1k2r/4bp1p/p1p1p1p1/1p1qP1N1/3P4/2PQ4/P3BPPP/R1B1K2R w KQkq -,e2f3
r1b2rk1/2q1bppp/p1npp3/1p6/2n1PPP1/PNN1B3/1PP3BP/R2Q1R1K w - -,e3c1
r4rk1/p1pqbbpp/1pp2p2/5n2/3P1B2/2PN1N1P/PP3PP1/R2QR1K1 w - -,d1c2
r4rk1/6pp/p3q3/5p2/R1pP1Q2/2P5/5PPP/R5K1 b - -,f8f6
2rr2k1/2q1bppp/4p1n1/4P3/ppP2PP1/3B2B1/P3Q1P1/2NR2K1 b - -,d8d4
8/8/3k4/3P1p2/2p1pN2/5PP1/1r2B1K1/8 w - -,f3e4
2kr1bnr/ppp5/3q1p2/4pN1p/3nP1pN/P2B4/1PPB1PPP/R2Q1RK1 b - -,d6b6
3r1rk1/1B3p1p/4b1p1/2Pn2q1/1P1P4/4RR2/1Q3PPP/7K w - -,e3e5
4r1k1/1p3ppp/2p5/p1b1q3/P2pP3/1B5P/1PP1R1P1/1N1R3K w - -,d1d3
1r2k2r/4b1pp/p2pB3/1pq1n1P1/4P3/1PN3Q1/P1P4P/2KR3R b k -,c5a3
8/2Q3pp/4k3/7P/1pp1N3/3n2P1/1P3PK1/3q4 w - -,c7d6
3R4/p3r1bk/1p5p/4P1p1/2n5/5NBP/P4PPK/8 b - -,c4e5
r2q1rk1/pb1nbpp1/1p2p2p/8/2BP4/2N2NP1/PP2QPP1/R2R2K1 b - -,d7f6
1q3rk1/1b2ppbp/pn3np1/1P1P4/3P4/1QN2B2/1P2NPPP/R3K2R b KQ -,a6a5
2r2rk1/p5pp/2b1P3/P1bpP3/2p5/1pP1PP1P/1P1N1K2/RB3R2 b - -,c8e8
6k1/1p1r1pp1/p3q1r1/2p1PR2/4Q3/2P4P/PP3R2/7K w - -,b2b3
5nk1/pp3ppp/4n3/1N6/2Q2q2/PP3P2/1B4Pb/5R1K b - -,f4h6
6k1/1p1b1pnp/p2q2p1/P2p4/1P1N1P2/2Q1P3/4B1PP/6K1 b - -,g7f5
5r1k/6pp/2p5/p2pP1n1/P1pP1P2/1r5q/1P3K2/R1Q2RB1 w - -,f2e1
rnbqkbnr/p4ppp/4p3/2ppP3/2P5/5N2/P2P1PPP/RNBQKB1R b KQkq c3,d5d4
r2qr1k1/1p2ppbp/1np1b1p1/p2n4/3PN3/P3P1P1/1P1NQPBP/R1BR2K1 b - -,e6f5
8/pp5k/2pp3p/8/1PP5/3P1qNb/P2Q3P/6K1 b - -,h7g6
rnk2b1r/ppp2ppp/4bn2/6B1/4Pp2/2N5/PPP1N1PP/R3KB1R w KQ -,g5f6
r1bq1rk1/pp1n1pp1/5n1p/2pp4/1b1P1B2/2N2NP1/PPQ1PPBP/R3K2R b KQ -,c5d4:d8a5
r1br2k1/ppp2pbp/5np1/4p3/4P3/2N5/PPP1BPPP/R1B1R1K1 w - -,c1g5
2R5/pp1n1Q2/3kp3/3pq1pB/3n3p/8/P4PP1/6K1 w - -,c8d8
k5r1/p3q3/2b2p1p/1N6/2PR1P2/8/P2Q4/2K5 w - -,d2c3
r3r1k1/p4pbp/6p1/1pRN4/2bP4/3qP1P1/1R3PBP/Q5K1 w - -,d5c7:d5f4
r1bq1rk1/3n1pbp/p2p1np1/2pPp3/NpP1P3/4BP2/PP1QN1PP/1K1R1B1R w - -,b2b3
R7/4B1p1/2p4r/3k4/2nP3P/2P2K2/2P5/8 b - -,c4d2
1r4k1/1b3pbp/2pNr1p1/1p2n3/p7/4P3/PP2BPPP/2RRB1K1 w - -,d6b7
1k5r/p5bp/1qp3p1/3Q4/1PP2PP1/P2p4/3K3P/5R2 w - -,d5d6
1rbq1rk1/1ppnppbp/p2p1np1/8/P1PP4/2N2NPP/1P2PPB1/R1BQ1RK1 b - a3,a6a5:e7e5
r2q1rk1/3bbpp1/2np3p/1Bn1p3/8/Q4N1P/NPP2PP1/1K1RB2R w - -,a3e3
3r2k1/q4pb1/7p/6pP/1pNp4/1P1Q2P1/r4PB1/3R2K1 b - -,a2a1
8/R7/8/8/3k4/p4K2/r7/8 b - -,d4c4
6k1/5ppp/p2P4/1p6/2p1B3/P4P2/1P4PP/2b4K b - -,g8f8
2r3k1/p3pp1p/1p4p1/3b4/8/PP1r4/2p2PPP/2Q1R1K1 w - -,f2f3
3q1k1r/4rppp/2Pp1n2/8/1p4b1/4R1P1/1PPQ1PBP/R5K1 b - -,g4e6
8/8/1P3k2/6p1/K7/3Q4/8/6q1 w - -,d3d6
r5k1/5p2/p3r2p/1p6/2p1Nq2/P4P2/1PQ2PK1/6R1 w - -,g2f1
r2r2k1/p3p2p/1p3b1B/2pP1Pp1/3qN1Q1/7P/P5P1/5R1K w - -,h6g5
4r1k1/npr2qbp/p1p1p1p1/P1NbPpB1/1P1P1Q2/2R5/4BPPP/3R2K1 b - -,f7f8
1k6/4P3/5K2/8/2R5/8/8/4r3 w - -,c4c5
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/1PP5/1Q3NP1/PB1PPPBP/RN3RK1 w - -,d2d4
5r2/1p3pkp/pQ3bp1/P3p3/4P3/5P2/1PP3Pq/1KBR4 w - -,b6b7
r2qr1k1/3nnpb1/1p2p1p1/pP1pP3/2pP4/2P1NNP1/1PQ2PK1/R1BR4 w - -,e3g4
5r1k/8/4Q1p1/R5P1/8/P5P1/2q2P1K/8 w - -,e6e5
rq3rk1/2p2ppp/2p1pn2/p2p4/1bPP4/2N1P3/PP1BQPPP/2RR2K1 b - -,a5a4
2r3k1/5p1p/5Qp1/p1nR4/1q4P1/4PN1P/5PK1/8 b - -,c5e6
r3k2r/pp1n1ppp/6b1/4p3/1b2p1P1/1P5P/PBPP1KB1/4R1NR w kq -,b2c3
2r3k1/5p2/1RB1pPp1/2np2Pp/6r1/8/PPP5/1KR5 w - -,b2b4
r1bqr1k1/5pbp/p1n3p1/1ppnp3/2N5/2PP1N1P/PP3PP1/R1BQRBK1 w - b6,c4e3
r4rk1/p1q2pb1/1p2b1pp/2p1p2n/P3Pn1B/2P2N1P/1PQN1PP1/R3RBK1 w - -,d2c4
3r1rk1/pp3pp1/P1n4p/5p2/R1BP4/8/1P3PPP/3R2K1 b - -,c6d4
