8/p7/k3pP2/Pp1pP1K1/1B1P4/8/1r6/8 w - -,b4e1
rr4k1/pbbnqppp/5n2/3p4/Np1N4/P3P3/3BBPPP/1R1Q1RK1 w - -,d4b5
4N3/1kP5/p7/KB2p2p/4P3/5P1b/7P/8 b - -,a6b5
3r2k1/2N2pbp/1p1p2p1/2n1p2n/2P5/P2P1PPq/3BPR1P/1R3QK1 b - -,h3d7
2r2rk1/pp2b1pp/1q2pp2/3pP3/QP1n2P1/P7/1B2BP1P/2R2R1K w - -,c1c8
8/6k1/P4p2/1PQ3pp/4p3/5qP1/3r1P1P/5RK1 b - -,d2d1
4rrk1/6pp/p1pb4/1P1n1p1q/3P4/2P3P1/1P3P1P/RNBR1QK1 b - -,f5f4
8/3b3p/1R1Ppkp1/2r2p2/2BK1P2/6P1/P6P/8 b - -,c5c8
2r1k2r/3p1p2/3bp3/p3q1P1/1p1p2P1/3PnQ1N/PPPB4/2R2RK1 w k -,f3f7
r1b1k2r/2q1npbp/1pn1p1p1/p1ppP3/7P/3P1NP1/PPPNQPB1/R1B1R1K1 b kq h3,c8a6
2r2bk1/p1q2pp1/1p1prn1p/8/2B1R3/P4Q1P/1P1N1PPB/3R2K1 b - -,f6e4
r1b2rk1/ppbnqppp/2p2n2/4p3/3P4/1BN1PN1P/PPQ2PP1/R1B2RK1 w - -,f3h4
r2q1rk1/pp2ppbp/5np1/3p1bN1/4n3/1N4P1/PPP1PPBP/R1BQR1K1 w - -,b3d4
r1bqr1k1/pp3pbp/1np2np1/3Pp3/3PP3/1NN1BP2/PP1QB1PP/R3K2R b KQ -,c6d5
1r1q1rk1/p3ppbp/3pb1p1/8/2PnP3/1PNQ2PP/P4PB1/R1B2R1K w - -,c1e3
5rk1/3R1ppp/pp2pb2/8/1P6/2R2BP1/P3PP1P/6K1 b - -,f6c3
r2qk2r/3nbppp/p2pbn2/1p2p3/4PP2/PNN1B3/1PP1B1PP/R2Q1RK1 b kq f3,d8c7
8/8/8/3kb2R/K7/8/8/1r6 w - -,a4a5
r3r1k1/1pp3pp/p1p5/8/2N1Ppb1/1P3P2/P1P3PP/R4RK1 b - -,g4d7
2r5/n2q1kpp/1p1Bp1n1/pP2Pp2/P2P4/4Q1PB/5P1P/2R3K1 w - -,c1c8
1r6/3bkp2/1p1N2p1/2p1P3/5P2/4K1P1/8/1R6 w - -,b1a1
r1q2rk1/1p1nbpp1/2ppn2p/p3pb2/N1P5/PP1PPN2/1BQ1BPPP/2RR2K1 w - -,e3e4
2rqr1k1/3n1pbp/p1b1p1p1/2Pp4/1P6/2N1BN2/P4PPP/2RQR1K1 w - -,a2a4
rn2k1nr/pp1qppbp/6p1/2p5/2BP4/N1P2b1P/PP3PP1/R1BQK2R w KQkq -,d1f3
rn1q1rk1/pp3ppp/2pb1p2/5b2/3P4/3BBN2/PPP2PPP/R2Q1RK1 b - -,f5d3
r1b3k1/q4pbp/p1n1rP2/1pp1P3/6QP/1P4P1/P5B1/2R2RK1 b - -,e6f6
6k1/2R5/4b1N1/p3p2p/4n3/P3b3/8/6K1 w - -,g1g2
8/pp2q3/6k1/6p1/8/P4Q2/1P3PP1/6K1 w - -,f3d3
4k3/2r5/4b3/R3Pp2/5B2/2P3P1/5K2/8 w - -,a5a3
2b1r2k/6bp/2p3p1/B4p2/P1q1P3/2N4P/1P3QP1/3R3K w - -,e4f5
2R5/5k2/4pp2/3p4/3N1P2/2P5/5K2/4r3 b - -,e1e4
r2qkb1r/1p1bnppp/p1n1p3/3pP3/3P4/2NB1N2/PP3PPP/R1BQR1K1 b kq -,b7b6
r2qrnk1/pb2b1pp/1p1pp3/1B3p2/3P1P2/1P4N1/PBnNQ1PP/2R2RK1 b - -,c2b4
8/5k1p/p1p5/1p1n2p1/P2PR3/2P3q1/1P6/R1BB2K1 w - -,g1h1
8/1r1n1k1p/2R2p2/p1p2Np1/4P3/1P5P/P1P2PP1/5K2 w - -,f5d6
2q3k1/8/6p1/7p/p3p2P/4Q1P1/PP6/1KN4r w - -,e3g5
r2qk2r/p1p1bppp/3p1n2/2p2Q2/4P3/2N5/PPP2PPP/R1B2RK1 b kq -,e8g8
3rr3/1p3b1k/p7/3p1PB1/2p5/3n1P2/PP1R2B1/R6K b - -,d8d6
N1b2rk1/p4ppp/1pq1p3/2pp4/7P/Q1P5/PP3PP1/R3K2R w KQ -,a3a7
b3rr1k/p6p/2pQB3/8/3P1qp1/8/PP3PPP/R1R3K1 w - -,d6f4
r1bqk1nr/pp3pb1/3pp1pp/2p5/3nP3/3PB1P1/PPPQNPBP/R2NK2R b KQkq -,g8e7
B6k/p1R1B1p1/7p/1p2pN2/4P1K1/1P5P/5bP1/5r2 b - -,f1g1
rnbq1rk1/pp1pppbp/5np1/2pP4/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQ -,g2g3:c1f4:h2h3:e2e4
1qr2rk1/1b1nbppp/pp1ppn2/8/2P1P3/N1N1BP2/PP1Q2PP/2RR1BK1 w - -,g1h1:d2f2
r3r3/3k1p2/2p2bp1/1pPp3p/p2P3P/R1PKBbN1/1P3P1R/8 b - -,f6d8
r1bq3r/ppp2k1p/2n3p1/2b4Q/3pP3/8/PP3PPP/RNB2RK1 w - -,h5c5
r2q1rk1/pb3pbp/1pnppnp1/2p5/2PP4/1P1BPN2/PB1N1PPP/R2QR1K1 w - -,a1c1
r2q1rk1/pb1nppbp/1p3np1/2pp4/5P1N/2PP2P1/PPN1P1BP/R1BQ1RK1 b - -,d8c7
2kr3r/1p2bppp/p3p3/1q6/1P6/1QP1B1P1/P4P1P/1R3RK1 w - -,c3c4
8/5pk1/NR4p1/5P1p/1p6/2b2KP1/1r6/8 w - -,f5g6
2bq1rk1/2p2ppp/prp1p3/8/2QP4/2N3P1/P3PP1P/1R3RK1 w - -,c4c5
r3r1k1/1p3bp1/3B3p/1p1P1p2/3R4/P3p3/1P3PPP/4K2R b K -,a8d8
3q1rk1/p3nppp/1p2p3/3n4/3P4/4N3/PP2BPPP/2Q2RK1 b - -,d5f4
r1b2rk1/pp2p1bp/3p1np1/q7/2PN4/2NQB2P/PP3PP1/R4RK1 w - -,a1e1
r2q1rk1/1bpp1pp1/p1nb1n1p/4p3/Pp2P3/1B1P1N2/1PP1NPPP/R1BQ1RK1 w - -,e2g3
2k5/8/1P3Kp1/2B3Pb/7P/8/8/8 w - -,f6e7
4R3/6k1/6p1/2B1P2p/1P3b2/1r6/5P1P/5K2 b - -,f4d2
2rq1rk1/p2nbppp/bpp1pn2/3p4/P1PP4/1P3NP1/2QBPPBP/RN1R2K1 w - -,a4a5
8/1b2q1k1/p3B1p1/1p1p4/1PnNn3/P5Pr/2P3K1/3R2B1 w - -,e6h3
6k1/1N3p1p/p4qp1/1b6/3p4/1P5P/r4PP1/2Q2RK1 w - -,c1b1
1rb2qk1/1ppnnrb1/p2P2pp/3Ppp2/1P2P3/2N1BPP1/P2QN1BP/2R2RK1 b - -,c7d6
6n1/6k1/4N2p/p3K3/1p4P1/8/1P6/8 b - -,g7g6
3r2k1/R4bpp/p4n2/1pB2N2/1P6/8/PKP4P/8 b - -,d8d2
r2q3r/pb2kppp/4pn2/2b1N3/Bp6/4P3/PP3PPP/R1BQ1RK1 w - -,e5c6
r1b2rk1/bpp2p2/p2p1qpp/4p3/2nPPn2/2P1BNNP/PPB2PP1/R2QR1K1 w - -,e3c1
3r2k1/2nbbppp/4p3/np2P3/1N6/P1N2P2/BB4PP/3R1K2 w - -,f3f4
4r1k1/p4pbp/6p1/2R5/4q3/5NP1/P1Q2PKP/8 w - -,c2b3
r2q1rk1/1p4bp/2p1ppp1/3bN3/pP1Pn3/4P1P1/P3QP1P/2RRBBK1 w - -,e5d3
r5k1/1q2bp1p/3p2p1/1p2p3/4P3/3Q4/1PPN1PPP/5RK1 w - -,d2b1
4q1r1/2p3pk/1rnp1p1p/p1p2P2/4P2R/1PP3NP/P2Q2P1/1R5K b - -,e8f7
5k2/5p2/6p1/7p/RP6/Pr6/3K1P2/8 b - -,b3b2
1rr3k1/1b1n1ppp/p2qpn2/1p6/2pP4/1P2PN2/PQ1BBPPP/R2R2K1 w - -,a1c1
8/4p3/4Pkp1/2pP1p2/2P2P2/3B2Pp/1R2K2P/2r3b1 b - -,g1h2
8/6bk/6pp/8/5P1Q/7P/4p1PK/q3N3 b - -,g7f6
8/5p2/6pp/2pPp3/2K1P1P1/5Pk1/r5P1/8 w - -,c4c5
r1b2rk1/1pq2ppp/p2ppn2/b7/P3P3/2N1BQPP/1PP2PB1/3R1RK1 b - -,f6d7
rnb1kb1r/ppqppp1p/5np1/2p5/3P4/2P1PNP1/PP3P1P/RNBQKB1R b KQkq -,f8g7
8/2q2pR1/kr2pP2/p2pP3/2P2Q2/8/P1P5/2K5 b - -,b6b4
rnbqkb1r/pp2p1pp/2p2n2/3p1p2/2P5/1PN1P3/PB1P1PPP/R2QKBNR b KQkq -,e7e6
6k1/5p2/4pPp1/2q4p/8/6P1/1P2QPP1/6K1 b - -,c5d4
3r1k2/R5p1/3P1p1p/pB2n1r1/P2R4/6P1/6K1/8 b - -,h6h5
r1bqr1k1/pppn1pb1/3p2pp/4p2n/2NPP3/2P2NP1/PPB2P1P/R1BQR1K1 b - -,d8e7
6R1/8/2pp2p1/3r2k1/2p4p/4r2P/6RK/8 b - -,e3g3
r1b1r1k1/1p1nbp1p/n2p2pB/2pPp3/2P1P3/1P3P2/N1K3PP/1RN2B1R w - -,f1d3
3rr1k1/ppp2ppp/8/8/n1P5/6P1/PB2PP1P/1R2R1K1 w - -,b2c1
2r2rk1/pp2p2p/1q2p1p1/3P4/2n1P3/6PB/P3QR1P/R5K1 b - -,f8f2
rnbqkb1r/1p2pppp/p1p2n2/8/2pP4/2NBP3/PP3PPP/R1BQK1NR w KQkq -,d3c4
8/8/2R3p1/5pk1/7p/r6P/5KP1/8 b - -,a3a5
1r3rk1/3q1ppp/p2pb3/2p1p1b1/PpP1P3/4N3/1PPN1PPP/R2QR1K1 w - -,d2f1
rr4k1/2n1pp1p/3p2p1/2pPb3/4P2P/2N3P1/PP1BRPK1/1R6 b - -,e5c3
1rbqk2r/3pppbp/p1p2np1/2p5/4P3/2PPBN2/PPQ2PPP/RN3RK1 b k -,d8a5
3r1rk1/1pp1qppp/p1nbpn2/8/P2P3N/1P2P2P/1B1NQPP1/R4RK1 b - -,d6b4
4r3/2nq1k1p/2r1p1pP/p1p2pP1/1pPP1P2/1P2R3/P3Q3/B1KR4 b - -,d7c8
r2q1rk1/pp2nppp/2nb4/1B1p2B1/6b1/1NP2N2/PP3PPP/R2Q1RK1 w - -,b5e2
8/8/2R3k1/6p1/1p3rP1/2b5/4K3/2N5 b - -,g6g7
8/6k1/8/4pp1p/P7/2P2P2/1P6/3K4 b - -,h5h4
4rbk1/1b3p1p/2rpp1pP/p5P1/N3PP2/BP2R3/2PR4/1K6 b - -,e6e5
r1bqk2r/pp1nb1pp/4p3/3pPp1P/2pP1B2/2P2N2/PPB2PP1/R2QK2R b KQkq -,b7b5
r2qB1kb/p4p2/3p1Ppp/2p1n3/5B2/2P4P/P5P1/1N1QR2K b - -,d8f6
5r1k/pr4pp/8/4q3/P1p5/R2p2P1/3Q1P1P/3R2K1 w - -,a3c3
r7/1pk2pp1/2p4p/P7/2N4P/6P1/2n2PK1/R7 w - -,a1c1
8/8/8/2p1kp2/8/3BP1P1/5P2/4b1K1 w - -,g1g2
8/2B5/p3p1p1/Pp2p2p/k3P2P/2K5/6P1/8 b - -,b5b4
2r1kb1r/p2n1ppp/2b1pn2/q1P5/Np2P3/1P1BBN2/P1Q2PPP/R4RK1 b k -,c6a4
rnbqr1k1/1p2bppp/5n2/pP1p4/3p4/P1N1P1N1/3BBPPP/R2QK2R w KQ -,e3d4
r1b2rk1/pp2bppp/2n5/1Bqp4/8/2P2N2/PP3PPP/R1BQ1RK1 w - -,b5e2
3r1rk1/pb4p1/1p2pn1p/3p1p2/2PR4/1P3P1N/P2R2PP/3B2K1 b - -,e6e5
3r2k1/p4pp1/1p3b2/2p4q/8/P1PPB2P/1P3QP1/3R3K w - -,f2f3
3r4/4r1kp/3b1qp1/p1p2R2/PpP1Bp2/3Q1P1P/1P4R1/6K1 b - -,f6d4
2r5/3k4/2p3p1/2Bp3p/1P2pKbP/2P3P1/5P2/R7 w - -,f4g5
8/8/8/3bk1p1/3p4/6PB/8/4K3 b - -,d5f3
8/pp3k2/2p3p1/2P2p2/1P1b1K2/5P1P/P2B4/8 w - -,d2e1
3q1rk1/B1Qb2pp/p2p4/3Pp1bn/P3Pp2/5P2/1r3P1P/RNR2B1K b - -,d8e7
1rbq1rk1/pp2npbp/2np2p1/2pNp3/2P5/2N3P1/PP1PPPBP/R1BQ1RK1 b - -,e7d5
r6r/pp2bk1p/2p1bnp1/2p2p2/2P5/1P1NPP2/PB3P1P/R3KBR1 b Q -,h8d8
1r1qr1k1/1p1bppbp/p2p2p1/3Nn3/2P1PP2/1P4PB/PB2Q2P/1R1R2K1 w - -,h3d7
8/8/3k3p/p4K2/P1P2P1P/5B2/8/2b5 b - -,c1d2
5k2/7n/3p2p1/2pPp3/1pP1P2K/pP4P1/P4N2/8 b - -,h7f6
r2qkb1r/pp1n1pp1/2pp1n1p/4p3/3PP3/2N1B3/PPPNbPPP/R2Q1RK1 w kq -,d1e2
r1b2rk1/2qnppbp/p2p1np1/P1pP4/2N1P3/2N5/1P3PPP/R1BQKB1R b KQ -,d7e5
r2q1rk1/1p2bppp/2p1pn2/p7/2PP4/3QB2P/PP2BPP1/R4RK1 w - a6,f1d1
r2qk2r/1p2b1p1/p1np2p1/3bp3/8/N7/PP3PPP/R1BQ1RK1 w kq -,d1d5
r1b2rk1/2q1bppp/pp1ppn2/4n3/P2NPB2/2N2B2/1PP1QPPP/R3R1K1 w - -,a1d1
r2q1rk1/pppnbpp1/4pn1p/3p1b2/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - -,b1d2
6k1/1p1r3r/2p2p2/p1p2Pp1/P1P1P1P1/3P4/4K3/1R5R b - -,h7h1
rnq2rk1/ppp1bppp/3p4/3pP3/3P1P2/2PQ1N2/PP4PP/R1B1K2R b KQ -,d6e5
3r4/p1qk1p2/Q4P1r/2p5/2P5/2p3P1/P4PBP/5RK1 w - -,a6b5
8/ppr1pp2/3p1k2/3P1p1r/5P1P/2P5/PP3K2/3R3R b - -,c7c8
r5k1/5pp1/4p1p1/p1R5/Pp4P1/3KP2P/1P3P2/8 b - -,a8d8
8/8/pR6/P3pk2/1P6/6P1/1r3PK1/8 w - -,g2f3
1r6/r3pk2/3p2Rp/5p1P/2b2P2/1P6/1KBR4/8 b - -,a7b7
R7/6k1/6p1/7P/3r4/4n1K1/8/8 b - -,g6h5
r1b2rk1/2q1bppp/p2p1n2/np1Pp3/4P3/5N1P/PPBN1PP1/R1BQR1K1 w - -,d2f1
2r3kb/1q1b1p1p/3p1npP/1p1Pp3/pN2P3/Pn1BBPP1/1P2N1K1/4QR2 w - -,e1f2
4r3/1pp2bk1/p2p2p1/4rp1p/2P1P2P/1P3P2/P2RNKP1/2R5 w - -,e4f5
r2r2k1/pp3pp1/2nbP2p/3N4/3pR3/1B4P1/PP3PP1/2R3K1 w - -,e6f7
8/7p/5npk/PK6/5bP1/5B2/7P/8 w - -,a5a6
rnb2rk1/pp2q1pp/2pp1n2/5p2/2PPp3/2B1P1P1/PPQ1NPBP/R4RK1 w - -,b2b4
r3k3/q2pnpp1/p1b1p1r1/Q3P2p/2PN3P/1R4B1/2P2PP1/4R1K1 w q -,c2c3
r3kb1r/ppp1qppp/2n2n2/5b2/2PP4/P3BP2/1P2Q1PP/RN2KBNR b KQkq -,e8c8
8/1R3pk1/6pp/8/5NPP/r4PK1/8/8 b - -,a3a5
rnbqk2r/ppp2pp1/5n1p/3p2B1/1b1P4/2NB4/PPP2PPP/R2QK1NR w KQkq -,g5h4
5bk1/r1np1p1p/2rp2p1/2p5/P1N1PBP1/1P3P2/2R1K2P/3R4 b - -,c7e6
3r4/p4p1k/4r1p1/p2Pn3/2P1p3/B5nP/3b1PK1/R2R4 w - -,d5e6
8/7p/8/1pB5/1PbNk2P/8/4pK2/8 b - -,e4f4
r1r3k1/1q1n1pbp/2p1p1p1/p1Pn4/B2P1B2/2N2Q1P/1P3PP1/3RR1K1 w - -,c3e4
3Q2R1/1b3p1k/p3p1p1/8/q4P2/3P4/1P4PK/6R1 w - -,g8h8
r1q2rk1/3b3p/p2p2p1/nppPpp2/4Pn2/1PP4P/P1B2PPK/R2QRNN1 w - f6,g2g3
r1bq2k1/1p4bp/1N1r2p1/4p3/1R2p3/8/4BPPP/3Q1RK1 w - -,d1b3
rn2k2r/p1q2p2/1ppNp1pb/3b3p/3P3P/B4N2/PPP2PP1/1K1RQ2R b kq -,e8d8
r3k2r/pb1p1pp1/1p2p2p/1Nn1P3/2P4q/P2B4/1PQ2PPP/R3K2R w KQkq -,b5d6
r2qr1k1/pp3bpp/1nn1pb2/3p4/3P1N2/1P3N2/PB3PPP/1BRQR1K1 b - -,d8d6
1b4k1/2r1npp1/1pn1b2p/p2pN3/P2P1PPq/1PBB3P/3Q2K1/1N2R3 w - -,e5f3
3r1rk1/1bp1pp2/p5p1/n2nP2p/Np1B1b1P/7N/PPPR2P1/2KR1B2 w - -,h3f4
r1bq1rk1/4p2p/npp3p1/p2pP3/3P1b1N/1PNB3P/P1P1Q1P1/R4RK1 b - -,f4g5
r1b2rk1/p1qnbppp/1p2p3/4P3/3Q4/2N1B3/PPP1B1PP/R4R1K w - -,e2f3
rn1q1rk1/1bp2ppp/p2bp3/1p6/3P1n2/1N3NP1/PP2PPBP/R1Q2RK1 w - -,g3f4
rb2r1k1/p4p1p/2N1p1p1/P7/5P2/4P3/3R1P1P/1R4K1 w - -,b1b7
8/8/2p5/4Pk2/1P3P2/3bK1p1/8/8 w - -,e3f3
r2q1rk1/1p1nbppp/p4n2/2pp2B1/Q2P4/2P2N2/PP3PPP/RN3RK1 w - -,b1d2
5k2/6pp/Q7/2p5/4K3/PP4P1/7P/3q4 b - -,d1d4
8/8/1kp5/3p3B/p6r/1n2K3/R7/8 w - -,h5d1
rnb1k1nr/ppppqppp/1b6/3Pp3/2B1P3/2P2N2/PP3PPP/RNBQK2R w KQkq -,d5d6
r5k1/pp1b1rp1/1b2p1p1/3qQ3/1P6/P1B3P1/3N1P1P/4RRK1 w - -,d2e4
1k6/p5p1/1pBn1r1p/5p2/P1nP1P2/2P3P1/4RB1P/6K1 w - -,e2e7
r1r3k1/P4pp1/R1p2b1p/3p4/3Pp3/1q6/RP2NPPP/4Q1K1 b - -,c8c7
r1b2rk1/1pq1ppbp/p5p1/n7/B1pPP3/2P1B3/P1Q1NPPP/R4RK1 w - -,c2d2
Q4bk1/5p1p/6p1/1p1N4/3q4/6PP/5PK1/8 b - -,b5b4
r6k/1pqr2p1/3p3p/1R1Qp3/1P6/5PP1/3RP1KP/8 w - -,d5e6
rnbq1rk1/pp3pbp/2p1p1p1/3n4/3P4/1QN1PN2/PP2BPPP/R1B2RK1 b - -,b8d7
r5k1/1q3p2/p3pNp1/Bp2Pn2/5PQb/P2p4/1P5P/4R1K1 b - -,h4f6
8/1pQ2k2/p3p2p/3q1p2/P2Pp3/1P2P1KP/5P2/8 b - -,f7f6
8/5p1B/4p3/2k3p1/6P1/r3P1K1/5P2/8 b - -,a3a8
rnbqr1k1/pp2ppbp/3p1np1/2pP4/P1N1PB2/2P2P2/1P1Q2PP/R3KBNR w KQ -,g2g4
6r1/6PR/p7/5K1b/7k/8/5P2/8 b - -,a6a5
3k4/8/5r2/2KP4/8/7R/8/8 b - -,f6g6
3Q4/1kn1r2p/2q3p1/1p3b1P/p4Pn1/P7/BPP3P1/2KR3R w - -,a2d5
r1bq1rk1/pp3pbp/2n1pnp1/3p4/3NP1P1/2N1BP2/PPP4P/2KRQB1R b - g3,d8e7
4r1k1/4qp1p/2n5/pp6/2pPNp2/P1P5/5PPP/RQ4K1 w - -,e4d2
r3k1r1/1pqb1pb1/1ppp2pp/4n3/3BPNPP/4QP2/PPP5/1K1R1B1R b q -,d7e6
2r5/8/pp1k2p1/3P1p1p/1P1n1P1P/2N3P1/5K2/4R3 w - -,e1c1
6k1/R6p/1p1bp3/1P3p2/5Pp1/4P1P1/4K2P/8 b - -,h7h5
8/5p1k/p3p2p/3pP1p1/5nP1/1Pn2P2/P4K1P/3RN3 w - -,d1d2
3kr3/p2b3R/B1p1p3/2P1Pp2/1P2pPp1/2K3P1/6P1/8 w - -,a6b7
8/R2nb1p1/4kp2/3p2p1/Np1P4/6P1/1P1BKP1r/8 w - -,a7a6
r3nrk1/1bqn1p1p/p1p4p/1p2p3/Pb2P1Q1/2N4P/BPP2PP1/R1BR2K1 b - -,g8h8
r2qr1k1/1p1n1b1p/2p2pp1/8/p2NP3/P1Q3P1/1P3PBP/2R1R1K1 w - -,e1d1
rn1qkb1r/pbppnppp/1p2p3/8/2P1P3/2N3P1/PP1PNP1P/R1BQKB1R b KQkq -,f7f5
3r2k1/pb3ppp/8/3qp3/2Nn4/6PP/PP2PQ1K/R1R5 w - -,c4e3
1r3r2/1b3p1k/3q2pb/1ppPp2p/2p1P3/2P2QNP/1PB2PP1/R3R1K1 b - -,h7g8
3rkb1r/pp2ppp1/2n5/1q2N2p/1p2Pn1P/6N1/PB1P1PPK/2RQ3R w k -,c1c6
r1b4r/ppBnk1p1/2p1ppp1/P4n2/3P4/2P2N2/2P1BPPP/R3K2R w KQ -,c3c4
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/4PP2/2NP1NP1/PPP3BP/R1BQ1R1K b - e3,d8c7
r2q1rk1/p2p1pb1/1pn3p1/2pQ4/4P3/5N2/PP3PPP/R1B2RK1 w - -,f1d1
r3k2r/ppp1qp2/5n1p/2bP2p1/3pP1b1/P2Q2B1/1PP1N1PP/R3KB1R w KQkq -,e4e5
rn1qk2r/p1p2ppp/bp1bpn2/3p4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b kq -,e8g8
r4rk1/1b2qp2/6p1/2pp3p/p7/R3P1P1/PP1Q1PBP/5RK1 b - -,f8d8
2b2rk1/6bp/2pQ2p1/4ppqn/1P2P3/2N3P1/4BP1P/B4RK1 b - -,f5f4
r1bq1rk1/pp3ppp/2n1pn2/2bp4/4P3/2PB1N2/PP1NQPPP/R1B2RK1 b - -,e6e5:a7a5
8/6p1/4pk1p/5p1n/3K1P2/6P1/8/5N2 w - -,d4e3
5r2/2p1k3/2B5/pP3p1Q/8/4q2P/8/3R3K w - -,d1d7
r1bqr1k1/pppp1ppp/5n2/4n3/2PN4/P1Q1P3/1P2BPPP/R1B1K2R b KQ -,b7b6
rnbqk2r/pp3pbp/5pp1/2Pp4/8/2P2N2/PP1NPPPP/R2QKB1R w KQkq -,e2e4
r2r2k1/5p1p/2Q1pnp1/p7/2R2P2/3B2P1/2RqP2P/6K1 b - -,d2e1
r2q1rk1/1pp3b1/3pb2p/3N2p1/1P6/n5P1/2B1PP1P/1RBQ1RK1 w - -,c1a3
2n1rrk1/p2b1qp1/1p5p/1P3p2/1BPp1P2/P2B1Q2/6PP/4RRK1 b - -,e8e1
2k5/2n2pp1/4p2p/8/Pp6/3KN1P1/5PP1/8 b - -,c7a6
r3r3/p4pk1/2npq1pp/2p5/4P3/1PQ1NPP1/P5KP/2RR4 b - -,g7g8
2r5/p4rbk/np2Npp1/2p4p/5B2/2P4P/PP2RPP1/3R1K2 w - -,e6d8
5rk1/2r1bppp/pNp1bn2/3p2B1/8/3NP3/PP3PPP/R4RK1 w - -,g5f4
6k1/5p2/4p1p1/7p/R7/5PP1/3KP2r/8 w - h6,g3g4
8/6pp/1r1kb3/3NP3/5r2/1BP5/P5PP/R2K4 b - -,d6e5
2br1r1k/pp3pbp/1n4p1/1N1Nq3/P7/1B2PQ1P/1PR3P1/5RK1 w - -,d5b6
8/5k2/8/3p2Rp/3P2p1/4K1r1/8/8 w - -,e3f2
2k4r/ppp1n2p/3b1pp1/2n2P2/6P1/5BBP/PPP1N3/3K3R b - -,h8d8
8/8/2k5/8/1pK5/1P1N4/8/4b3 b - -,e1c3
8/6r1/8/R7/6k1/4p1p1/6K1/8 w - -,a5a4
r1r3k1/p1Bqpp2/4b1p1/Q1R1P2p/8/P3P3/5PPP/2R3K1 b - -,d7d3
r2q2k1/pp1b3p/4p1pb/3pPn2/8/2N1BP1P/PPP4Q/R2R2K1 b - -,h6e3
r2qk2r/4ppbp/p1np1np1/1p6/3PP1b1/2N2N2/PPB2PPP/R1BQR1K1 w kq -,c1e3
8/1p6/p3kpp1/Pr5p/1Rp1PP1P/2P1K3/1P6/8 b - -,b5a5
r1bqr1k1/1p4pp/p3p3/3pQ3/8/3B4/PPP2PPP/4RRK1 b - -,c8d7
8/p5pp/4n1k1/r7/1B4P1/5RK1/r6P/5N2 b - -,a5d5
r2q1rk1/pp1n2pb/2pbp2p/3p2B1/1PNPPpn1/P2B4/2Q1NPPP/3R1K1R w - -,e4e5
5rk1/p5pp/2p1pq2/3p4/6Q1/P1n1BP2/1r4PP/R4R1K b - -,e6e5
