8/8/bBr1kpp1/P5p1/8/7P/5PP1/1R4K1 w - -,b6e3
3B4/1N5p/p5p1/1k3p2/1b2p1P1/4P2P/5P2/2n2K2 b - -,a6a5:b5c6
8/8/8/8/1K5k/2q5/8/1n6 w - -,b4b5
8/1r6/pPp1rk2/1n1p2p1/3P1pP1/1P1R1B1P/3R1K2/8 w - -,d2a2
8/4k3/R4p2/8/8/6P1/pr3P2/6K1 w - -,g1g2
8/3b1p1p/8/pkPN4/3K1P1P/8/P7/8 b - -,d7c6
2r2rk1/pb3ppp/1p6/P3P3/2B5/1P2b3/1B4PP/R2R2K1 w - -,g1f1
r2r2k1/pp1bnpb1/6p1/1q1Pp2p/2N1P3/1N4P1/PP2Q1BP/R4RK1 b - -,d7e8
r2q1rk1/pp1n1pbp/5np1/3pp3/2B1P3/2N2Q1P/PP3PP1/R1B2RK1 w - -,c3d5
r1br2k1/pp2qppp/1b2pn2/8/N2NP3/P5P1/1PQ2PBP/R1B2RK1 b - -,b6d4
8/r5p1/5k1p/p1R1p3/P7/5KPP/5P2/8 w - -,f3e4
3r2k1/p4p1p/3qp1p1/2p5/8/6RP/PP3PP1/4Q1K1 b - -,d6d2
6k1/p4p2/4p1p1/7p/P1Pr1P1P/1P2Q3/4RKP1/3q4 b - -,a7a5
2R5/pp2r3/3k2p1/6Pp/2P2K1P/8/8/8 b - -,e7e6
r1b1r1k1/pp1n2b1/6pp/2pP1p2/2P4P/4B3/P2NBPP1/2R2K1R b - -,a7a6
5rk1/p2b2pp/1p2p1r1/nP1pP2q/P7/4B2P/2QN1PP1/2R1R1K1 w - -,e3d4
r4rk1/1p1qpp1p/2p2bp1/3P1b2/p2P4/BPR1P1P1/P2Q1PBP/5RK1 b - -,c6d5
2rr1nk1/p3R1p1/8/1p3pPp/2nP1B1P/P4N2/5P1K/4R3 b - -,f8g6
5r2/p4kpp/1p2R3/5p2/8/6P1/PP3P1P/6K1 w - -,e6c6
8/7k/6p1/2b1Q2p/5PqP/8/P4p1K/5B2 w - -,e5e2
3R4/1pr5/2p1k3/P1Pp4/8/3KP3/8/8 b - -,c7d7
4b1k1/p2q4/1p1n1Bpp/2p1Q3/2P5/1P5P/P3N1P1/6K1 w - -,e2c3
3r2k1/p1R2ppp/8/4r3/3N4/4P1P1/P3KPP1/7R b - -,h7h6
1nbr1qk1/p5pp/1p3p2/1BrPp2P/P3P3/3RN3/1Q3PP1/3R2K1 w - -,d5d6
4r1k1/2pq2pp/b1n3n1/P2p2P1/3P1p2/B4N1P/2Q2PB1/2R3K1 b - -,a6c4
5b2/8/4p1kp/7N/2PB1P2/8/p2K2bP/8 w - -,f4f5
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/1PNBPN2/PB3PPP/2RQ1RK1 b - -,a8c8
r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2NN4/PP1BBPPP/R2Q1RK1 b - -,f5e4:g8h8:f5f4:d7f6
2r1rb1k/pp1n1p1p/2p1n1p1/4p1P1/2P1P1B1/4B3/PP1N1P1P/2KR3R w - -,d2b3
3r4/1kb1q3/2p4r/pp1b1pNp/2pP1PpR/P1P1P1P1/1P1Q4/K1N1R3 w - -,e1e2
5rnk/2qn2r1/bp1p1p2/p2Pp2p/P1p1P3/2P1N1N1/1PBQ2P1/R4RK1 w - -,f1f5
6rk/2q1r2p/3bppp1/1b1p4/1p1P1P2/1P3R2/2P2QPP/2BBR2K b - -,e6e5
1r1R2k1/1B3p1p/5p2/p3p3/P2b4/1P4PP/4PP2/3R2K1 b - -,b8d8
rnbqkb1r/5ppp/p2ppn2/p7/3NP3/2NBB3/1PP2PPP/R2QK2R b KQkq -,f8e7
5k2/1R4pp/1pK1R1b1/8/8/3r4/6PP/8 b - -,d3d2
8/6kp/6p1/1p2Rr2/8/7P/P4PK1/8 w - -,e5e7
r2rbk2/2n1b1pp/1p2pp2/1Pp5/P1B1PP2/2N1B3/6PP/1R1R2K1 w - -,d1d8
2k4r/1p1r1p2/p2Bp1nQ/4P3/b1p2PP1/P6P/2q1NK2/R2R4 w - -,h6g5
2r5/8/2P5/1PK3p1/6k1/6Pp/8/4R3 b - -,g4g3
3r1rk1/3n1pp1/4q2p/1p2p3/2p1P3/1nP1B2P/1PQ2PP1/1R2RBK1 w - -,b1d1
5rk1/p4p2/3p1bp1/1pr4p/3PP2P/1P3P2/P1PR4/1K5R b - -,c5c3
r1bqr1k1/pppp1ppp/8/4B3/1bP5/6P1/P2PPPBP/R2QK2R w KQ -,e5b2
5R2/1p6/2n1Pk1p/p1P2p2/8/1B5P/Pr3P2/6K1 b - -,f6e5
5k2/8/1r4p1/6Pp/4B2P/6K1/8/8 w - -,g3f4
4B3/8/8/1pp1p3/k2nP3/2K5/8/8 w - -,e8d7
r3k2r/1b1n1ppp/p1qbp3/1p4P1/4P3/2N2P2/PPPQ3P/2KR1B1R w kq -,d2d6
6k1/1r4p1/p6r/1bR2R2/1P1B4/P3P3/6PK/8 w - -,h2g3
8/R7/6p1/2pk1p2/5P2/3K2P1/7r/8 w - -,a7d7
2kr3r/pp2bn1p/1qn2p2/2pp1R2/6P1/2PP3P/PP2B3/RNBQ2K1 w - -,b1a3
4rr1k/3b2bp/2n3p1/p1p1p3/5P2/P1P1B3/6BP/3NRR1K w - -,e3c5
r3rnk1/5qpp/pppbb3/3p1p2/1P1PP3/P1BB1PP1/2Q4P/4RRNK b - -,f5f4
r3r1k1/1ppq1pbp/p4np1/3pn3/3NP3/2P1B1PP/PPQ1BPK1/R4R2 w - -,f2f4
r1bb1k1r/pp1q1ppp/2nN1n2/4N3/3P1B2/8/5PPP/R2QKB1R b KQ -,d7e7
r3k2r/3pbpp1/pq3n2/2p1nP2/1p6/3P2P1/PPPN1BN1/R2Q1RK1 b kq -,f6g4
r3kb1r/pp1b1pp1/1q2p2p/2npP3/2p5/2P1P1B1/PPQN1PPP/R3KB1R w KQkq -,e3e4
4rrk1/ppp1q1bp/3pbnp1/5p2/2PNn3/1PN3P1/PBQ1PPBP/3R1RK1 b - -,e6f7
6k1/6pp/b1p1pr2/8/3Q1P2/PqB2P2/4PK1P/5R2 b - -,b3b5
rnbq1rk1/2p1nppp/1p2p3/p2p4/3P1P2/Q2B1N2/PPPN1PPP/R3K2R b KQ -,h7h6
1r4k1/5p1p/4p1p1/2Pn4/pp2BP2/6P1/1P1rRK1P/8 w - -,e2d2
2q5/5p1k/6p1/3QP2p/1P3K1P/5P2/5P2/8 b - -,c8c1
5r2/8/4p3/R2n4/1k3P2/5K2/P1B5/8 w - -,a5a4
8/5pk1/8/4PK2/5P2/3R4/4r3/8 b - -,e2g2
2R3k1/1p3pb1/p4np1/8/8/8/PPPrrBPP/3N1RK1 b - -,g8h7
r1r3k1/pb3p1p/3Q1p2/6q1/3R3N/8/PP3PPP/5RK1 w - -,d6b4
2r3k1/1p1bp1bp/1q1p2p1/3P1p2/1B1Nn3/4P1P1/P2Q1PBP/1R4K1 w - -,d2d3
4r2k/p1q3pb/1pP4p/3B1p2/1P2p3/P5P1/4QP1P/2R3K1 b - -,f5f4
r1b1qrnk/1pp3bp/n2p4/p2PpP2/2P5/2N1B2P/PP2BP2/R2QKN1R b KQ -,c8f5
7r/8/p7/1p6/1Pk2K2/P5RP/8/8 w - -,f4g4
5r2/p5pk/4Q3/3pPp2/1p2q3/8/PP3PPP/5RK1 b - -,f8f6
r4rk1/1b2bppp/p2q4/1p1pN3/3P1B2/6Q1/PP3PPP/R4RK1 b - -,d6e6
rnq3k1/p3rppp/bp6/2Pp4/QP2nB2/P3PNP1/5PBP/R3K2R w KQ -,b4b5
2kr1b1r/ppp2ppp/6n1/5n2/2P2B2/P7/1P2BPPP/RN3RK1 w - -,e2g4
rn3rk1/pbn3pp/1p6/2b1pp1q/2P5/PP1B1PP1/2QNN1KP/R1B2R2 b - -,c7e6
5rk1/5pp1/r6p/2PR1p2/1p1P4/pP4P1/P6P/4R1K1 b - -,a6e6
r4rk1/1bq1npbp/4p1p1/p1p5/1p2PP2/P1P2QN1/1P4PP/R1BBR2K b - -,c7b6
8/PPpn2p1/4pk1p/4p3/3rP3/6PP/2p2P2/R5K1 w - -,a7a8q
2q3k1/2p5/3p4/3Pn1r1/1P1NPQ1p/2R2p1P/5N2/5K2 b - -,g5g7
r2q1rk1/1p1bbppp/p1n1pn2/3pN3/3P1B2/2NBP3/PP3PPP/R2Q1RK1 w - -,d1f3
3rr3/pp4kp/2ppb1p1/2P2p2/5N1P/1PN3P1/P2R1KB1/8 b - -,d6d5
8/8/kp6/p5B1/5P2/6K1/1r1R2P1/8 b - -,b2d2
r1b1kb1r/pp1n1ppp/5n2/qB6/P2Pp3/2N1B3/1PP3PP/R2QK1NR w KQkq -,g1e2
8/4k3/7R/pKn5/8/5r1B/P7/8 b - -,c5b7
r3k2r/3nbp2/1q2p2p/pp1pP1pP/2pP2N1/2P2R2/PPQB1PP1/4RK2 b kq -,d7f8
1R6/1b2rrp1/1P4R1/8/3Bk3/4P1K1/6P1/8 w - -,b8d8
r3nrk1/2nq2pp/3p1b2/2pPpN1P/1p2P3/4BP1R/1PP1NKQ1/3R4 b - -,a8a2
r2r2k1/p4pbp/1pb1pnp1/3q4/2N5/2BB3P/2PP1PP1/R3RQK1 w - -,c4e5
8/p1p5/P7/1Pp1k3/2Pnp1p1/N3K3/5P2/8 b - -,d4f5
2r2bk1/1p3p1p/p5p1/1b1p4/3B2P1/1PP1QP1q/P4KN1/4R3 b - -,h7h5
2r2rk1/pp3pp1/4b1qp/3pn2N/3P4/1P3Q1P/P3RPP1/4R1K1 w - -,e2e5
r3kb2/p1Bn4/1p2p2p/1P1pPp2/3P1P1p/3N4/1P4PK/R7 w - -,h2h3
r2qkb1r/1pp1pppp/p1np1n2/5b2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
8/8/2R5/P1p1k1p1/4p3/8/1r2K1PP/8 w - -,e2f1
rn1qkb1r/4pppp/p1p5/1p1n4/3P2b1/1QN1P2P/PP3PP1/R1B1KBNR b KQkq -,g4e6
1r5k/pp4p1/8/4Nr1p/5p2/7P/PPP2PP1/R3R1K1 w - -,a1d1
8/1b3p2/p2k1np1/1p1p3p/8/P3PPPP/1PN1K1B1/8 b - -,f6d7
3r2k1/p3q2p/1p2pbp1/2p5/4RB2/2P4P/PP3PP1/3Q2K1 w - -,d1b3
r2qkb1r/5ppp/p3pn2/np1p4/3P1Bb1/2NBP3/PPQ2PPP/R3K1NR w KQkq -,g1f3
2rq1rk1/1p1b1ppp/p2bpn2/n2p4/1P1P4/P1NBPN2/3B1PPP/2RQ1RK1 b - b3,a5c4
r2q1rk1/bpp2ppp/p1np1n2/4p3/1PP3b1/2NP1NPP/P3PPB1/1RBQ1RK1 b - -,g4e6
r2r2k1/1b2qp1p/p2b2p1/R3n3/2PNp3/4P2P/1B2QPP1/3R1NK1 b - -,e7c7
r4rk1/p2nb2p/6p1/3np1N1/Pp1p4/5NP1/1P3PP1/R1B1R1K1 b - -,f8e8
r3kb1r/1bqnpp1p/p2p1np1/8/1p1NPPP1/3B1Q2/PPPBN2P/R3K2R w KQkq -,g4g5
r1r3k1/3bpp1p/1qNp2p1/p7/4PP2/1P4PP/P2Q2BK/R1R5 b - -,d7c6
8/8/5p2/pp1kp3/4R1P1/PPKP4/8/7r w - -,e4e2
r2qk1nr/ppp1ppb1/3p2p1/3P4/2P2P1p/6P1/PP2QPBP/R1B1K2R b KQkq -,d8d7
r2qnrk1/p3bppp/bpn1p3/2ppP3/8/2PP1NP1/PP1NQPBP/R1B2RK1 w - -,f1e1
r7/5p2/1k2rp1p/3p4/1P1n1P2/P1R5/5KPP/4RB2 b - -,e6e1
r1b1k2r/1p3ppp/p1p1pn2/2b1q3/5B2/2N3P1/PPP2PBP/R2Q1RK1 b kq -,e5d4
2k4r/1b1n4/pqn1p3/1p1pP1rp/2pP2p1/P1P5/1PBNN1PP/R2Q1R1K b - -,h5h4
r2q1rk1/pppn1pbp/3p2p1/3Pp3/2PnP3/2NQ2P1/PP3PBP/R1B2RK1 b - -,d7c5
r3q2k/1pp2rpp/p1pbN3/5P2/2Q2p2/8/PPP3PP/R4RK1 w - -,a1e1
b1rr4/4R3/p4p2/3p1k1p/1PpR3P/P1N3P1/5K2/8 w - -,g3g4
r1q2rk1/pp2ppbp/1n2b1p1/3pP1Nn/3P4/1PNB3P/PB3PP1/R2Q1RK1 b - -,e6f5
r1n5/P5p1/5p1p/1pk4P/2pN2P1/4K3/5P2/R7 b - -,a8a7
2r1kb1r/5p2/p2p3p/1p1Rn1p1/4P3/6B1/PPP1B1PP/2KR4 b - -,f7f6
8/1r3p1p/R2k2p1/8/3K3P/1P4P1/8/8 b - -,d6e7
2kr3r/pp1bb1pp/1q2p2n/2ppP3/1P6/P1P2N2/4BPPP/R1BQK2R b KQ -,h8f8
8/6p1/3kp3/1prn1p2/3K1P1P/PR1B2P1/8/8 b - -,d5c7
6R1/8/8/1r6/k7/p5K1/8/8 w - -,g3f2
r2q3k/5bb1/1p6/1P1p1p1p/2nPpNn1/1QN1P1PB/1B3P2/r1R3K1 w - -,c1a1
4rrk1/1ppq2p1/p2p2np/3Pp2N/2P1Q1Pn/1P3N1P/1P3P2/2R1R1K1 w - -,f3h4
r1bq1r1k/pp3n1p/2p1pnpb/3p1p2/2PP3Q/1P1BPP2/PB1N2PP/R3RNK1 b - -,g6g5
1rbq1rk1/p1p1npbp/2pp2p1/6B1/2P5/2N3P1/PP1QPPBP/R4RK1 b - -,f7f6
6r1/p3b2p/1pp1k3/3pPp2/3P1B2/P6P/1PP4K/5R2 b - -,c6c5
2r5/1p3pkp/pn2p1p1/2Rp4/3P4/qP1NPP2/P2Q2PP/5K2 b - -,h7h5
2r5/3k3p/p2p2p1/P4p2/1p2bR2/8/1P4PP/3R2K1 b - -,d7e6
6k1/1N1R1pp1/4p3/1p4p1/1Pb1P3/7P/r4PP1/6K1 b - -,f7f6
r1q1kb1r/1p3ppp/p1n1p3/4P1B1/2pP2P1/1Q3N2/P4P1P/2R1K1R1 w kq -,b3c4
r2qkb1r/pb3pp1/np2p2p/3pP3/2pP4/P1P1B3/2P1BPPP/R2QNRK1 b kq -,g7g5
8/5pbk/6p1/p3P2p/P1Q5/4q2P/6P1/2R4K w - -,c1d1
5R2/6kp/6p1/p1BP1n2/1P2K3/2r5/7P/8 w - -,f8b8
r3r1k1/1bpq1p1p/pp3np1/3P4/2QR4/2P1N3/P1N2PPP/R5K1 w - -,a1d1
r3kr2/1pp1q1bp/5n2/p1pPpR1P/2P1N3/5Q2/PP3P2/R3KB2 b Q -,f6e4
8/P7/R7/1K5p/7k/8/8/r7 b - -,a1b1
2rb1rk1/5ppp/p4P2/1b2pqP1/7R/1PB5/1PP3QP/1K2R3 b - -,f8e8
6k1/5r1p/6p1/p1P5/3PQ3/q7/5P2/4RK2 w - -,c5c6
7R/p7/1p2k2p/6pP/2PK2P1/6r1/8/8 b - -,g3g4
8/8/6p1/7n/2N1p2P/3n3K/4k3/8 b - -,d3f2
r2r2k1/1b1nbppp/1q1p2n1/p3p3/1p1PP3/PP3NN1/1B1Q1PPP/1BR1R1K1 w - -,a3b4
2r3k1/2r2pp1/3p4/6Q1/3NP2p/2N5/1PP4q/3KR3 b - -,c8a8
8/8/1kp5/1r1q1pPp/p4P2/2Q1R3/KP4P1/8 w - -,a2b1
5q2/r4B1k/p3PQ1p/2p3R1/1p5P/1Pnp2P1/P4P2/6K1 w - -,g5g8
r1br2k1/1p2qpbp/2p3p1/p1P1p2n/1P1nP3/2N1B2P/P2N1PP1/RQ2RBK1 w - a6,e1c1
r2qr1k1/ppp2pbp/3pbnp1/8/3BP3/2N2P2/PPPQ2PP/1K1R1B1R w - -,g2g4
rn3rk1/pb1pqppp/1p2pn2/2p5/1bPP4/2N2NP1/PP1BPPBP/R2Q1RK1 w - c6,a2a3
r1bqr1k1/1p3pbp/1n1pp1p1/p2Pn3/P1P5/1PN1B2P/4BPP1/2RQK1NR w K -,c3b5
r3k2r/1pq1b1pp/p1p1bp2/P3n3/Q4B2/2N3P1/1P2PPBP/R4RK1 w kq -,c3d5
1nkr3r/1bpq2pp/1p2p3/p2pP3/Pb1P4/1PPB4/1B1NQ1PP/R4RK1 b - -,b4e7
8/2q3kp/3p1np1/pb1Pp3/np2P3/3NQ1P1/PP1KB2P/3N4 b - -,b5c4
8/5rkp/3pq1p1/2pnp3/1p2Q3/3P2PP/1PP1N3/R5K1 w - -,g1h2
r1bq1rk1/pppn1ppp/3bpn2/3p4/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQ -,f1d3
8/2r5/p3R3/1p3k2/5p2/P1P2b1P/B4P2/6K1 b - -,c7c3
r2q1rk1/1p3pbp/p3b1p1/3p1p2/N2PnN2/1P1QP1P1/P4PBP/2R2RK1 b - -,a8c8
5rk1/pr3p1p/6p1/8/R7/4P1P1/b6P/5RK1 w - -,a4a2
r1bqkb1r/pp2nppp/2n5/1Bpp4/5P2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,d1e2
k2r4/pp1rq1pp/5p2/6b1/1R1PN1P1/P4Q2/1P3PP1/3R2K1 w - -,g2g3
r1b4R/1p5R/2p1pkp1/1p6/8/P7/1PP3r1/2K2B2 b - -,g2g1
rn1k3r/pp1b1pp1/3Q3p/3N4/8/6PB/P3PP1P/5RK1 w - -,f1c1
r4rk1/5p1p/1R2p3/p2bP1P1/2qN1P2/P3Q3/1RP4P/6K1 b - -,a8c8
r2q1rk1/pp1nbpp1/n1p1p2p/3pP2b/6P1/3P1N1P/PPPNQPB1/R1B1R1K1 b - -,h5g6
1r1r2k1/1p3pp1/pq1pbn1p/4p3/1PP1P3/4QP1P/P1NRB1P1/3R2K1 b - -,b6c7
6k1/p4pp1/1p4p1/4r3/1P1p2B1/P5P1/5K1P/5N2 b - -,g6g5
7R/kr4p1/2p2pP1/2p1pP2/p1P1P3/P2P4/1p1qBK2/1Q6 b - -,d2c1
r4r1k/1p1b2q1/3p3p/1pnP1pp1/8/4PNP1/1Q3PBP/1R1R2K1 w - -,b2g7
5rk1/1p1q1ppp/4pn2/2R2n2/5P2/2Q1B3/6PP/2R3K1 b - -,f6d5
1r5k/p1Q3p1/8/4p1pp/8/2PP1R1P/Prq2NPK/R7 w - -,c7e5
8/8/1p1k4/1b1PpBp1/4P3/P5K1/8/8 b - -,b5e2
r1bqk2r/pp3ppp/2n2n2/2bp4/3N4/6P1/PP2PPBP/RNBQ1RK1 w kq -,d4b3
2r1n3/5pk1/6p1/pp1p3p/n6P/2PN1P2/PP1RN1P1/6K1 b - -,e8d6
3n1r1k/1pq1b1pp/r7/p1pBp3/2Pp1pb1/P2P1NP1/1PQBPPKP/4RR2 w - -,h2h4
3n4/1p1k3p/2p3p1/p3Q3/P1N5/1P5P/5qP1/7K w - -,c4a5
r3k2r/pp1b1ppp/1q2pn2/8/2PB4/1P1B4/P2NQPPP/R4RK1 b kq -,b6d4
2kr4/ppp2p2/3bp3/PP5q/2P5/4NpPp/3Q3P/3R2K1 w - -,d2d4
r1r3k1/p5bp/n1Q2pp1/qN1Ppb2/Pp6/6P1/1P1B1PBP/R4RK1 w - -,c6b7
rr4k1/4ppbp/3p1np1/2pPN3/P3P3/R1N3P1/1P1BqPKP/1R6 w - -,c3e2
2r1k3/4P3/6p1/P2R1p2/7p/5P1P/r5P1/4R2K w - -,d5d6
2n5/4rkpp/ppP2p2/1N6/P6P/6P1/5P2/3R2K1 w - -,b5c3
r1bq1rk1/pp2ppb1/2np1np1/7p/3NP2P/2N1BP2/PPPQ2P1/R3KB1R w KQ h6,f1c4
3q1rk1/1Q3pb1/3P2p1/p1r3Pp/1p2P1nP/8/PPP5/1KNR1B1R w - -,d1d5
rn2r1k1/pp3p2/3Pb1pp/q1p1b1B1/2B5/2N5/PP4PP/R2Q1RK1 w - -,c4e6
4r1k1/R4pp1/5P1p/5b2/2r5/3n1BB1/5PPP/3R2K1 b - -,d3b2
r1bq1r2/p2n1pbk/1ppp1npp/4p3/2P1P3/2NPB1PP/PP1QNPB1/R4RK1 w - -,d3d4
4k3/2p5/1bK3p1/p1pB3p/P4P1P/1PB5/2b5/8 b - -,c5c4
r2q1rk1/1p1b1pb1/p3p1pp/3p4/3P1QPP/2NB1P2/PPP5/2KR3R b - g3,b7b5
k4r1r/pp1q4/2p1p2p/1PPpPpp1/P2Pn3/4P3/4Q1PP/1R2BRK1 w - -,a4a5
2br2k1/2r2pbp/1p4p1/1Bn1p3/4P3/4BN2/PP3PPP/R3K2R w KQ -,e1g1
4r3/2R3pk/2p2p1p/1p6/4bP2/1BP5/P4KPP/8 w - -,g2g4
4bqk1/r4p2/4p1p1/2p1P1Q1/2PpB3/7R/5PP1/6K1 b - -,a7a1
8/2p2pk1/pp3n2/4rbpP/PP1r4/2N2B1P/1R6/5RK1 w - -,g1h2
1B2n3/p2k4/1p6/1PpP4/2P2P2/3B4/b2K4/8 w - -,d2c3
r4bk1/3q1ppp/b1r2n2/p3p3/1p2P3/4BPN1/PP3NPP/R1R1Q2K w - -,g3f5
5rk1/p4ppp/4p3/1pqn4/5P2/1P2PN2/P3Q1PP/3R2K1 w - -,f3d4
r1b2rk1/pp3pbp/1q4p1/1N5n/2BpP3/5N1P/PP2QPP1/2R2RK1 w - -,f1d1
r1b2rk1/ppp1q2p/2npp1p1/8/2PbN3/BP4P1/P3PPBP/2RQ1RK1 b - -,d4g7
r1bqr1k1/pppn1pb1/5npp/4p3/2N1P3/2P2N2/PPQ1BPPP/R1B2RK1 w - -,b2b4
2r3k1/p2qprbp/1pnpb1p1/3N2B1/2P5/1P4N1/P2Q1PPP/2R1R1K1 w - -,g3e4
r4rk1/1p1b1p1p/1q1p2p1/p1nPp3/4P3/1P3N1P/P1B1QPP1/R1R3K1 b - -,f7f5
r3kb1r/pp1n1ppp/2p1pn2/8/1q1P1Bb1/2N2N2/PPPQ1PPP/2KR1B1R w kq -,f1e2
3r3k/p4qp1/1p3p1p/4r3/P1P5/6RP/2Q2PP1/5RK1 w - -,f1b1
r1b2rk1/1pp2p1p/p5p1/4b3/P3N3/2P4P/1P1BKPP1/R6R w - -,e2d3
5rk1/1r6/2q1p2p/ppPp1pp1/2nP1P2/P2QP1P1/2R4P/1R2B1K1 w - g6,g1g2
rn5r/pp2k1p1/2p4p/8/2b5/8/PPP2PP1/R2Q2K1 w - -,d1d4
b1rr2k1/5p1p/p3p1p1/P2nP1q1/1pN1B3/5PP1/1P2Q2P/2RR3K w - -,f3f4
r2q1r1k/1pp1b1pp/2npbn2/p3pp2/2P5/P1NPPNP1/1PQB1PBP/R3K2R w KQ -,e1g1
8/3R3p/5Npk/5p2/4p3/4P1K1/1r4P1/8 b - -,g6g5
r4rk1/1p1qbpp1/pBnp1n1p/4p3/4P3/1BN2Q2/PPP2PPP/3RR1K1 b - -,e7d8
2r5/8/2Pk4/1P1p4/5P2/2PB1KR1/7r/8 w - -,d3f5
r2r2k1/1b1nqpp1/p2b1n1p/1p2p3/4P3/PPNB1N2/1B2QPPP/R2R2K1 b - -,d7c5
4r1k1/5ppp/3b4/1p5q/pP1Pb3/P1R1B3/1Q3PPP/4N1K1 w - -,h2h3
5k2/5pp1/2n5/2p2PP1/5P2/1p1B4/r3RK2/8 w - -,d3b1
6R1/8/8/8/4p3/5k1p/r7/5K2 w - -,g8f8
5k2/4b2p/2B1P1p1/2p2p2/P1P5/1p1N2P1/4K2P/1r6 b - -,b3b2
r1bq1rk1/1p2bppp/p3p3/3p4/1n1PnB2/2N1PN1P/PP2BPP1/R2Q1RK1 w - -,a2a3
8/2K5/3N2p1/P6p/5PkP/6P1/4b3/8 b - -,g4g3
rq5r/p1pk1ppp/1b6/3p1P2/3B4/2P5/P1P3PP/R2Q1RK1 b - -,b6d4
r1bqk2r/p2pnpbp/1pn1p1p1/2p5/3PP3/2N1B1P1/PPP1NPBP/R2QK2R b KQkq -,c5d4
2rk3r/1p1nbp2/pq1p2p1/3PpB1p/8/1N3P2/PPPQ2PP/1K1R2R1 w - -,f5d7
r1bq1rk1/ppp2pb1/3p1np1/4n1Np/4P2P/2N1BP2/PPP1B1P1/R2QK2R b KQ -,c7c6
r1bq1rk1/pp1nb2p/2p5/3p1pp1/3Pn3/3N2PN/PP2PPBP/R1BQ1RK1 b - -,e7f6
r1b1r1k1/pp1nbppp/4p3/7q/2P5/3Q1N2/PPBB1PPP/R2R2K1 w - -,b2b4
3r1b1k/Q6p/3p2p1/3RN1q1/4P3/8/1Pp1BPPP/3R2K1 b - -,c2d1q
