8/1pp5/8/2P1p2k/1P2P2P/6K1/5N2/3b4 b - -,d1c2
q4rk1/r4p1p/1Q2p1p1/8/P1RP1b2/5N1P/5PP1/2R3K1 w - -,c1a1
1nrr2k1/pn1q1ppp/b3p3/P1b1P3/1pP5/5NP1/1B1NQPBP/R1R3K1 w - -,g2f1
6k1/8/6p1/2p2p2/P1N2R2/6KP/4q1B1/8 b - a3,e2c2
5k2/2p2p2/1p5N/p3P2P/PbPp2P1/1P2K3/5P2/8 w - -,e3d4
r3k2r/pp2bp2/1qn1b3/4pp2/7p/1NP3P1/P1QNPPBP/1R3RK1 b kq -,h4g3
7k/7p/7P/2Bp4/3P1P2/1P6/KR1R4/2q1r3 w - -,a2a3
r4r1k/p2n1Ppp/1p3n2/7q/8/P2B1Q1P/1B3PP1/R2R2K1 b - -,h5f3
4r3/1p4p1/3k1p1p/1r1pp3/pNnP4/P1P2P2/1P2RKPP/4R3 w - -,g2g4
8/3k1p2/pp3Kp1/3pPn2/3P1N2/8/PP5r/2R5 b - -,h2f2
r4rk1/p1p3pp/bp2p2q/n2P4/3P4/2PB1P2/P3Q1PP/R3BRK1 b - -,a6d3
r2qnrk1/1p3ppp/2p1pb2/p1n5/2Pp1P2/BP1P2P1/P1N2PBP/R2Q1RK1 b - -,f6e7
Q4bk1/p3pp1p/1p2n1pB/2p5/2P5/1P3NP1/Pq3PKP/8 b - -,b2f6
4Rb1r/3k1P2/8/5KN1/8/8/8/8 w - -,f5g6
4r1k1/pp2q1pn/2p3bp/3p4/3P2P1/5PN1/PP1Q2KP/R4B2 b - -,e7f6
3r2k1/7b/p3pR1Q/1p6/8/8/PPr3PP/3K4 w - -,d1e1
2rqkbnr/1p2pppp/p1b5/2ppN3/5P2/1P2P3/PBPP2PP/RN1QK2R b KQk -,e7e6
r3k2r/p3ppbp/2p1b1p1/q1P3B1/8/4P3/P1QN1PPP/2R1K2R w Kkq -,e1g1
rn1q1rk1/pp4pp/3b1n2/1B1ppp2/8/1P2PN1P/PBQP1PP1/R3K2R b KQ -,a7a6
8/pR6/Pb6/4kp2/8/3K4/8/8 b - -,b6g1
4bk2/2b5/3P1p2/1pp1pNn1/2p1P1B1/2P1NPK1/1P6/8 b - -,c7d8
r3k2r/1b3ppp/pqN1p3/1pbpP3/4nP2/4B3/PPP1B1PP/R2NQRK1 w kq -,e2f3
8/4pk2/5p2/2NP1Bp1/8/r6P/6P1/6K1 b - -,a3a5
r3r1k1/p1p2pb1/1p2pnp1/3qN1Bp/3P3P/2P5/PP2QPP1/R3R1K1 b - -,a7a5
r7/1pk1p3/3pB3/2R4p/5P2/3K2P1/Pb5P/3R4 b - -,d6c5
2r1k2r/1p1bbp2/1q2n2p/p2pN3/3P1p1P/1P2B3/P1NQ1P2/R4RK1 w k -,e3f4
2r1k2r/pp1n1ppp/2qbp1b1/8/3P2P1/4N1BP/PPP1BP2/R2Q1RK1 w k -,e2f3
8/6b1/6p1/5kP1/1ppr1P2/5K2/1P6/2B1R3 b - -,d4d3
r4rk1/2p1qppp/p3bn2/R7/Pp6/3P1N2/1PP2PPP/R1BQ2K1 b - -,c7c5
r1bqkb1r/ppp1pppp/2nP4/8/3P2n1/5N2/PPP2PPP/RNBQKB1R b KQkq -,d8d6
r4rk1/pb1nqppp/4p3/2pp4/2pP4/2P2NP1/PPQ1PPBP/1R3RK1 w - -,e2e3
8/8/8/R4pp1/4r3/6Pk/5K2/8 b - -,h3g4
2rr2k1/np3pp1/pn2pb1p/3p4/7P/2NP2P1/PP1BPPB1/1RR2K2 b - -,a7c6
2r3k1/1p3qpp/p3p3/3pP1b1/3P4/P1Bb4/1P4PP/3QR1K1 w - -,d1d3
r6r/pp1k1pp1/2pBbn1p/3p4/3P4/2N2B1P/PPP1RPP1/R5K1 b - -,d7d6
2r3k1/q2n1pbp/1p2p1p1/1P1b4/P2N4/4BP2/2BQ2PP/3R2K1 b - -,d7c5
4rrk1/1q1bb1pp/4pn2/1p2p1B1/4P3/2N2B2/1PP3PP/R2Q1R1K b - -,d7c6
2rk3r/pb1nqp1p/1ppbpp2/8/3P4/3BB2N/PPP1QPPP/2KRR3 b - -,d8c7
8/1p1k4/4pQ1p/3pP1pP/2r2pP1/2q2P2/2P1R3/3K4 w - -,f6f7
r2qk2r/1pp1ppb1/pn1p2pp/4P3/3P1PbP/2N1QN2/PPP3P1/2KR1B1R w kq -,d4d5
8/2r1b3/4n3/4PkP1/p1P5/4BK2/PR1N4/8 b - -,e6g5
5rk1/3R1pbp/pq2p1p1/1n2P1P1/2R5/2P4P/P3QP1B/6K1 w - -,e2f3
3rr1k1/1b3pnp/1p4p1/p2P2P1/4NqBQ/1P3P2/P6P/2RR2K1 b - -,e8e4
8/5k2/5P2/8/2b2R2/3r4/5K2/8 b - -,c4e6
1r2b1k1/2q2p1p/2pRp1p1/p1P5/3Q4/PP6/2B2PPP/6K1 b - -,c7e7
2r5/2P4p/2k4P/4B3/6P1/5b2/7K/3R4 w - -,d1d4
2r2rk1/1p2bppp/p1q1pn2/6B1/8/2P2N2/PP2QPPP/R2R2K1 b - -,f8d8
r2q1rk1/ppp1bpp1/2n3b1/6P1/2BPp3/2P1B3/PP1N1P2/R2QK2R b KQ -,c6a5
2q4r/3r1kp1/p1n1b3/2P2pPp/1p2pP2/1P2B1P1/P1P1NQ2/1R1R2K1 w - -,d1d6
6k1/1p3p1p/pB3bp1/8/1P2RP2/P3P1PK/3r3P/8 b - -,d2a2
2rrb1k1/1p2bppp/p2ppn2/2q5/P1P1PP2/1PNQ4/1B2B1PP/R4R1K w - -,b2a3
3R4/4qppk/1p1N3p/p3r3/P2QP3/6P1/1P3P1P/2n3K1 w - -,d8h8
1rb1r1k1/1pq2p1p/p2p2p1/2pPb1Bn/P3P3/2N3P1/1P3P1P/R2QRBK1 w - -,d1f3
8/6k1/p3q1pp/1pp1P3/2n1Q3/8/P2r1PP1/1B2R1K1 w - -,e4b7
2r1r1k1/4pp1p/p2p1bp1/qp6/3nP3/2P1B3/PP1Q1PPP/R3R1K1 w - -,e3d4
r4rk1/5pp1/Q3p2p/2PpR3/1p1P1P2/pP4P1/P6P/4R1K1 b - -,a8a6
2R5/pp1r1pkp/5p2/3r1bp1/3P3P/2K3N1/PP3PP1/7R b - h3,d7e7
2r1rbk1/pb1n1pp1/1qpN3p/1p1nP3/7B/3B1N2/PPQ2PPP/3R1RK1 b - -,f8d6
8/5p1k/4pP1p/r2r2p1/P2p4/3P1KP1/R6P/R7 b - -,h7g6
r2r2k1/4ppbp/pp4p1/8/2RP4/P3BN2/n4PPP/R5K1 b - -,e7e5
6k1/2q2rp1/p1p5/1pP2P2/2b2PQP/2N5/P1P5/2K3R1 b - -,c7e7
r3r1k1/1ppb1ppp/3p4/p1bN2nq/2P3n1/1P1QPN2/PB2BPPP/R4RK1 w - -,h2h3
r4qk1/5p2/p5pp/2N5/pn1Q1P2/5B2/1P4PP/6RK b - -,a8b8
r2qk2r/pppbbppp/2np1n2/1B2p3/8/1P2P3/PBPPNPPP/RN1Q1RK1 w kq -,d2d4
1r4k1/4rpbp/pN1R2p1/P1p1n3/4P3/2P2P2/1P4PP/5RK1 b - -,g7h6
6k1/1R6/3b2p1/7p/1p6/8/6KP/8 w - h6,b7b6
2k1rr2/2p4p/1pb2ppP/p2Nn3/2p1P3/bPP1BP1N/P2R2P1/3R2K1 b - -,c8b7
r1b2rk1/p1q1bppp/1p1ppn2/5P2/3QP3/2N1B3/PPP1B1PP/R4R1K b - -,c8b7
5R2/2k2p2/5Kp1/4P2p/p6P/Pb6/8/8 w - -,f8f7
r3kb1r/pbpp1p2/1p5p/6q1/3nP1pN/2NB2P1/PP2QPP1/1K1R3R w kq -,e2e1
r2qr1k1/ppbn1pp1/2p1pn1p/3b4/1P1P4/P4NP1/1BQNPPBP/R4RK1 b - -,d5f3
1rb1r1k1/2qnbppp/ppnpp3/6P1/P3PP2/1NN1BB2/1PPQ3P/R4R1K w - -,f3g2
3r3r/3nbkp1/2q2pP1/2p1pP2/1nP1N3/5N2/1P2Q1K1/R1B2R2 b - -,f7e8
8/8/3p2k1/2pP1p1p/2P2P1P/5NK1/4Q3/3n1q2 b - -,d1e3
7R/7P/8/4p3/6p1/4k2r/6K1/8 w - -,h8e8
2k4r/pp1q1p1p/n1p1bR1b/4p3/3P2r1/Q1B5/PPP1NPPP/1K3B1R b - -,h6g7
r1r3k1/4pp1p/qn1p2p1/P2P4/2pRPP2/Rn4P1/NPQB2KP/8 w - -,a5b6
r5k1/4p1bp/3p2p1/PN1P1r2/8/1Ppn3P/3B1PP1/1R3RK1 w - -,b5c3
1r3bk1/p4p1p/brn1pPp1/3pP1P1/2pP3P/2B4R/PP1RN3/2K2B2 b - -,h7h5
8/1krbqp1p/4p1pP/pp1pP3/3R1PP1/P7/1PP5/1K2QB2 b - -,b7b6
6k1/R4p1p/4p1p1/P2n4/5P2/6P1/2r1N2P/6K1 w - -,e2d4
r1bqk1nr/1p2b1pp/p1np4/4pP2/2P5/2N5/PP2BPPP/RNBQK2R b KQkq -,c8f5
rnbqr1k1/pp3ppp/3p1n2/3Pp3/1pP5/3Q1NP1/PP1NPPBP/R4RK1 w - -,e2e4
1r3rk1/p2nbppp/b1p1p3/P7/1n4q1/2N2NP1/1P1BPP1P/RQ1R1BK1 b - -,b8b7
3r2k1/p4p1p/npB5/5Pp1/2pP4/P5B1/1P5P/1R3K2 b - -,d8d4
1rbq1bk1/5p1p/pn1p2p1/2pP1nP1/2P2PB1/1NB4P/P1N1Q3/4R1K1 w - -,c3a1
r1b2r1k/1p3p1p/pq3n2/2pPR1Q1/2P3p1/2NB3P/PP6/R5K1 w - -,g5h6
r1bnkb1r/ppq2ppp/3p4/2pQ2N1/2B1P3/8/PPP2PPP/R1B1K2R w KQkq -,e1g1
rnbqkb1r/ppp1pp1p/3p1np1/8/3PPB2/5P2/PPP3PP/RN1QKBNR w KQkq -,f1d3:b1c3
r1br2k1/ppq2pb1/2n4p/4p3/5p2/4PN1P/PP1NBPP1/R1Q1R1K1 b - -,f7f5
8/7p/p3k3/8/1b2K3/1P2B2P/5P2/8 w - -,f2f4
1rr2qk1/3n2pp/2Rp4/1pnPpPp1/p3P2P/4BB2/PP1Q3K/6R1 w - -,h4g5
r4rk1/pp2ppbp/1np1qnp1/8/4P3/NP4P1/1BQP1PBP/R3R1K1 b - e3,f6e8
5r2/4p2p/3pk1p1/1Pr5/1K2P3/2N5/1P1R2PP/8 w - -,b4a5
r4rk1/2pq2pp/2n1N1b1/pp6/1P6/2Pp3P/1P3PP1/RB1QR1K1 b - -,f8e8
2rq1rk1/pp2bppp/3pbn2/1B6/Pn2P3/2N2N2/1P3PPP/R1BQR1K1 w - -,f3d4
3k1r2/1br2P2/1bnpp1p1/1p2p2p/q2pP2P/PN1P2P1/1BPQ1R2/R2K4 w - -,d2g5
r2q1rk1/1p2bppp/p1npbB2/4p3/P3P3/2N2N2/1PP1BPPP/R2Q1RK1 b - -,e7f6
2rR2k1/5pp1/pqn1pbp1/1p6/8/1Q2PPP1/PP2BB1P/2R3K1 b - -,c8d8
r3r1k1/1bpq1ppp/pp3n2/3P4/2Q5/2P1N3/P1N2PPP/R2R2K1 w - -,d1d4
7k/1qP2Q2/4N2b/3Pp3/4P1Pp/5N2/7P/5K2 w - -,f7f6
8/1p1r3k/pB4p1/2P4p/1bN5/5BPP/P5K1/8 w - -,c4d6
8/4N1pk/5p2/6rp/2R5/8/2K5/8 w - -,c2d3
8/pp3p2/2p2kp1/2P4p/PP1N3P/4PP2/1n3K2/8 w - -,b4b5
3B4/8/p7/3kb2p/2pN4/P1Pb3P/5K2/8 b - -,e5f4
r1bq1rk1/ppp1ppbp/1n4p1/8/8/2NPBBP1/PP2PP1P/2RQK2R w K -,d1d2
rnbq1rk1/1p2bppp/p2p1n2/4p3/2P1P3/1NN1B3/PP2BPPP/R2QK2R b KQ -,b7b6
8/8/8/p5R1/P2nPk1r/1P6/KP6/8 w - -,g5a5
3rk1r1/2p1n1pb/pppbPp1p/8/2P2PP1/1P3NNP/PB6/2RR2K1 w - -,g3e2
1k1r4/1bp3pp/p3B3/1pb5/7n/2P5/PP4PP/R1B1R2K w - -,e6h3
4r1k1/7p/1pp5/2n1p3/p1P2p2/P4P2/1P5P/2N1R1K1 b - -,g8f7
8/8/8/8/1K3Q2/7p/6k1/8 w - -,f4g4
2rq1rk1/1p3pp1/p2pbn1p/2pN4/4P3/1B1Q3P/PPP2PP1/R4RK1 w - -,a1d1
rn1qkb1r/4pppp/2p2n2/ppPp1b2/3P4/1QN1PN2/PP3PPP/R1B1KB1R w KQkq -,f3e5
6k1/p1nqr2p/2p5/3p1p1Q/2P5/1P3NP1/Pb3PB1/3R2K1 b - -,c7e8
8/1p2b2k/5rpP/1nqp1B2/p2pPB2/5P2/P5Q1/1R4K1 w - -,f4g5
rn1qkb1r/1p3p1p/p2p1np1/2pP4/4P3/2N2B2/PP3PPP/R1BQK2R w KQkq -,a2a4
3k4/1p3Rpp/3K4/1rP5/6P1/7P/8/8 b - -,d8e8
r3q1k1/1R1nr1p1/3p4/3P1pP1/3B1Pn1/6p1/6B1/2R1Q1K1 w - -,e1g3
rn1q1rk1/pp2ppbp/6p1/3pNb2/Q2P4/2n3P1/PP2PPBP/R1B2RK1 w - -,b2c3
1r4Q1/8/8/k7/1n4RP/8/p4P2/3R1K2 b - -,b8g8
8/6k1/7N/6K1/8/5Pn1/8/8 b - -,g3e2
rn1qkb1r/pp3ppp/2p1pn2/P7/2pP4/2NbPN2/1P3PPP/R1BQKB1R w KQkq -,f1d3
8/4k3/6p1/4Pb1p/3RNK2/5PP1/8/6r1 b - -,f5e4
1q4k1/p1r2pp1/3Q3p/3p4/3P4/P3P2P/5PPK/5R2 w - -,f1c1
2rk3r/1b1p1p1p/p4p2/qp1n4/P2Q4/2P2N2/3KBPPP/R1R5 b - -,b5b4
r1bqnrk1/p5bp/3p2p1/2pPpp1n/P1P1P3/R1N1BP2/3NB1PP/3Q1RK1 b - -,h5f4
1k4rr/p4pb1/BnR4p/6P1/4N3/5Pq1/PPP2P2/2K4R w - -,f2g3
2kr3r/ppp2pp1/2n3b1/2b1p2p/1P2B1Pq/2P3NP/P2P1PK1/R1BQ1R2 b - b3,c5b6
r2qr1k1/pb1n1ppp/1p1p1n2/3P4/2p1PP2/P1NB4/1P4PP/R1BQ1RK1 w - -,d3c2
3rr1k1/3q1ppp/p7/1n1P1b2/1p6/4P1P1/PP1QN1BP/R3R1K1 b - -,f5e4
2r5/4pkbp/1p2b3/2p2p2/1PP2P2/r3B3/2R1BKPP/1R6 b - -,g7d4
1n3rk1/7p/2r3p1/Q4p2/p1q2P2/2P5/P4BPP/R4RK1 w - -,f2d4
6k1/5p1p/1p2p1p1/p7/8/1P1r2P1/1P3P1P/1R1B1K2 w - a6,f1e2
3r2k1/p4pbp/5rp1/1Bn5/3p2nP/1P1P1N2/P3PP2/R1B1R1K1 b - -,f6f5
8/r6p/6pk/8/2PN1bP1/3r4/5P1P/3R2K1 w - -,d1d3
2q5/5prk/2N1b1r1/P1PBp1b1/4P2p/1N3p2/1P1R2PP/4Q2K w - -,d2f2
r4r2/1p1b1pkp/1np3pb/p2pP3/P2N4/1P1N2P1/2P1BP1P/3RR1K1 b - -,a8e8
3B4/8/8/1nbBPk2/1p1p4/3P4/2P3K1/8 w - -,e5e6
8/p7/2p2k2/Npp1p3/4P3/1P1P4/P1P4R/2Kn2r1 b - -,d1c3
1r3rk1/4ppbp/p5p1/PppP4/2P1P1q1/4B3/P1Q2PPP/R4RK1 w - -,a1d1
r1b1r1k1/pp1nqpb1/2pp2p1/6n1/1PPP3Q/2N1P3/PB1NBP2/R3K2R b KQ -,d7f8
1r4k1/RP3pp1/3b3p/P1npp3/2b5/4B1PP/5P2/2R3K1 b - -,c5b7
rnb2rk1/4ppbp/p2p1np1/qPpP4/4P3/2N1BPN1/PP4PP/R2QKB1R b KQ -,b8d7
8/8/8/3Q4/5kp1/7r/6K1/8 w - -,d5e6
rnbqkbnr/pppp1ppp/4p3/8/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq -,g8f6:f7f5:c7c5
2rq3r/pp3kb1/4b1p1/1B1p1p1p/3P4/1P2PQP1/P2B3R/R3K3 w Q -,b5d3
r3r1k1/ppp2pbp/1n4p1/8/3QP3/1P3B2/P4PPP/3RK2R b K -,g7d4
r5k1/pp3p1p/2p3p1/2Q4r/2P1p3/1P3NbP/P5P1/1R1R1K2 b - -,h5c5
1r1q2k1/pp1b1p1p/2p1n1p1/2b1p3/Q1N1Pn2/P1N1B2P/1P3PP1/3R1BK1 w - -,e3c5
r2q1rk1/pp2pp1p/4b1p1/2pnb3/3P4/2P1P1P1/PB3PBP/R2Q1RK1 w - -,d4e5
r2qr1k1/pp1n1ppp/2pb4/8/3P4/3Q1N2/PP3PPP/R1B2RK1 w - -,c1g5
r3r3/6kp/2p2np1/p1Pbqp2/1P2p3/P1Q3P1/3N1P1P/R3RBK1 w - -,c3e5
r6r/pppnk1pp/4pn2/4p3/2N1P3/5P1N/PPP3PP/2KR3R b - -,a7a5
r1b2rk1/p3qppp/1pn1p3/2ppP3/3P2Q1/P1PB1N2/2P2PPP/R4RK1 b - -,h7h6
4r2k/pp4bp/3Q1p2/5qp1/8/2B3P1/PP3P1P/3R2K1 w - -,d6d7
6k1/1pp2rpp/1p1pbp2/4P3/1P5P/q3NQ2/5PP1/3R2K1 b - -,f6e5
r1b1k2r/pp1p1ppp/2n2n2/4p1B1/NqP5/5N2/PP1KPbPP/R2Q1B1R w kq -,d2c1
8/1p2B2k/6pP/8/p3K3/3p2q1/P7/5R2 w - -,f1f7
r5k1/1p1r1pp1/p1p2n1p/8/P1qBP3/2P2P2/1Q4PP/R4R1K b - -,a8d8
5rk1/1pR2p2/4p2p/3bP1p1/1p1P4/4K1P1/1P2BRP1/4r3 w - -,e3d3
2r2rk1/p4pbp/1p4p1/8/PPbpBq2/3Q2NP/1BPP2P1/R5K1 w - -,d3f3
3r4/1B1nrpkp/1p3np1/2p5/6P1/P1B5/1P3P1P/R2R2K1 b - -,g6g5
8/2bk2pp/4p3/8/n1NKPP2/6P1/7P/8 b - -,a4b6
1r1q2k1/1p5n/p3Rr1p/2pp2pQ/3p4/6P1/PPPN1PP1/R5K1 w - -,a1e1
5rk1/p1qr2bp/6p1/4Pp1n/3P4/4BQ1P/P6K/2RN1R2 b - -,c7b7
5R2/8/1r6/2kpp3/8/1p2KP2/1P6/8 b - -,b6h6
5r2/4p2k/3q2pP/2nP4/6r1/1PN1Q1N1/P5K1/2RR4 w - -,d1f1
5r1k/1P5p/p2P3q/5N2/1n2p2P/Pb4P1/1b2N1B1/4R1K1 w - -,f5h6
r1b5/8/5p2/P1kp2pN/8/2P4P/3K1PP1/R7 b - -,f6f5
r2qr2k/pp1n1ppp/2pb1nb1/6P1/3P3N/1BN1BQ1P/PP3P2/R4RK1 b - -,g6h5
8/kb3p2/p3pN1p/7N/1P2P1P1/p2n2R1/Pr6/K7 b - -,b2c2
6rk/5Rpp/p1p5/4Q3/P3P3/1P4NP/2Pq2PK/8 b - -,d2h6
r2q1rk1/2p2ppp/2p1pn2/p2p4/1bPP4/2N1PQ2/PP1B1PPP/2RR2K1 b - -,d8b8
3r4/4k2p/p2ppnp1/1pr1p3/2P1P3/1P1RNP2/PK4PP/3R4 b - -,f6h5
8/8/2p1B3/6p1/3k4/8/P2r4/6K1 w - -,g1f1
8/p1Q1P2k/1p5p/2p3p1/3q4/P3K1P1/1P5P/8 w - -,e3e2
1r4k1/5p1p/pp1p1Ppb/3N2q1/P1Ppr3/3Q3P/1P4P1/2R2RK1 b - -,b8e8
8/P7/1K3k2/1p4p1/1P1N4/8/8/5q2 b - -,f1a1
r4rk1/pp1bbppp/2p1p3/2PpP3/1q1P4/1N1B4/PP3PPP/R2Q1RK1 w - -,a2a3
rn1q1rk1/1bp1bppp/p3pn2/1p6/3P4/5NP1/PPQBPPBP/RNR3K1 b - -,b8c6
6rk/5rp1/p4nQp/8/4P3/1P3P2/P3q1PP/5RK1 w - -,g6f7
r2q1rk1/1b2bppp/1pp1p3/8/P2pP3/1P1B4/1BP1QPPP/4RRK1 w - -,c2c3
8/5k2/R7/6p1/6P1/1r3P2/4K3/8 w - -,a6d6
r1r3k1/1p1b1pbp/5np1/3pp3/p1P1P3/1P3P2/P1NBN1PP/R4RK1 w - -,e4d5
1r1q3r/2p1kp2/1pBb3p/2nPp3/4P2p/2P1BP1Q/P4P2/R3K1R1 b Q -,e7f8
r5k1/ppp1rpb1/1n1p1q1p/1N1Pnbp1/2P5/5NBP/PP1QBPP1/2R1R1K1 w - -,f3e5
r1bqk2r/ppp1npb1/2np2pp/8/3NP2P/2N1B3/PPPQ1PP1/R3KB1R b KQkq -,a7a6
rnbqkb1r/pp2n1pp/2p2p2/3P4/3NP3/2N5/PP3PPP/R1BQKB1R b KQkq -,c6d5
r4rk1/1pqnppbp/2p2np1/3p1b2/p1PP4/4PNP1/PP2QPBP/RNBR2K1 w - -,b1a3
r4rk1/pp2ppb1/q1n3p1/2p3N1/6b1/1QP3P1/P2PPPB1/1RB1K2R w K -,b3b5
4rbk1/1p3ppp/2p5/p1qn1P2/P1p2PP1/2N1r2P/1PP2Q1K/R2B1R2 b - -,d5f4
rnbqk2r/ppp1ppbp/6p1/2Pn4/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq -,c7c6:d5c3
5k2/1p1b1r1p/3p2p1/p1pP4/P1P5/1P1BR1KP/6P1/8 w - -,d3e2
5bk1/5pp1/p1p5/8/N1P2n1p/2P5/P1r2BPP/R4K2 w - -,h2h3
6k1/p4pp1/4N2p/4Q3/2P5/1r4PP/Pq4BK/3n4 w - -,e5d6
r1b2rk1/p6p/2pb2p1/3pnpq1/5P2/2N1P2P/PP2B1P1/R1B2RK1 w - -,f4g5
1r3k2/8/B4ppb/3Rn3/Pp5r/4B3/P3KP2/2R5 w - -,e3h6
r1bqk2r/ppn1b1pp/2n2p2/2p1p3/8/1PN2NP1/PB1PPPBP/2RQ1RK1 b kq -,e8g8
r1b1qbkr/ppp3p1/2n4p/4N3/3pQ3/8/PPP2PPP/RNB1K2R w KQ -,f2f4
8/2R2pk1/r3b2p/7P/3NP3/5PK1/8/8 w - -,g3f4
r2Bnb1k/p2p3p/5p2/2P5/5Q2/5b2/P4PrP/3RR2K b - -,g2g3
3rrnk1/pp2qppp/1np5/4PQPP/5P2/3B4/PP1B4/1K1R2R1 w - -,f5e4
r1bqkb1r/p2n1ppp/1p2pn2/2p5/8/5NP1/PPQPPPBP/RNB1K2R w KQkq -,b1c3
r3r1k1/ppp2ppp/1N4n1/8/3P4/2P3bP/PP2BPP1/R1B2RK1 b - -,a7b6
r1r3k1/p3qppp/4p3/3b4/Q1N1p3/P3P3/1P3PPP/R1R3K1 b - -,e7c5
1r5k/4pR2/2p2bp1/3p3p/1P3q2/P2Q4/2P3PP/5K2 w - -,f1e2
2R5/8/8/5Kp1/8/8/1p1b4/1k6 w - -,c8b8
8/7p/K1p5/2k4P/B7/6p1/8/8 b - -,g3g2
r1b2rk1/ppp2pbp/2np2p1/8/2BPp2P/2P5/PP3PP1/R1B1K1NR w KQ -,g1h3
r1b2rk1/p2nqppp/3ppn2/2p5/2P5/P1B1PN2/1P2BPPP/2RQ1RK1 b - -,c8b7
r1b1nrk1/p2n1pbp/3p2p1/1ppPp1P1/2q1P3/P1N1B1NP/1PP2PB1/R2Q1RK1 w - -,f1e1
8/p7/Rb2k3/8/2pPKPP1/2P5/8/7r w - -,f4f5
2qR2k1/p4r1p/1p4pB/2p5/2P2p2/2QP2P1/P6P/4R1K1 b - -,c8d8
2r3k1/Qn5p/1p2b1pP/8/2qB1p1b/2P2P2/P3PK2/R2R1N2 w - -,f2g1
6k1/n4ppp/N7/4P3/1b6/1P3N2/1B3PPP/2r3K1 w - -,b2c1
2r5/4nkp1/p2p1p1p/5P2/1p1P2P1/4P3/1P3KP1/1BR5 w - -,c1c8
8/5p1k/6pp/Q7/P5K1/6P1/5q1P/8 b - -,f7f5
8/1pr2n2/p1b1pk2/4p2p/P6p/1P3P2/1KB2NP1/4R3 w - -,e1h1
r1r3k1/pp1q1ppp/2nn4/4p1B1/Q7/6P1/PP3PBP/2RR2K1 w - -,a4h4
