8/6k1/8/5K2/3N2PP/8/8/3b4 w - -,d4e6
4br2/2k5/1p2Rb1p/p1pB2pP/2P5/6P1/PPKB4/8 w - -,d2c3
2rq1rk1/pb1nbppp/1p6/3P4/8/P1P2N2/B1Q2PPP/R1B2RK1 b - -,d7f6
5k2/5pp1/r4n2/7p/5P2/2p1NKPP/P1R5/8 b - -,g7g6
5r2/3Bq1pk/1p1bP1bp/p4p2/P2Q4/1P4P1/1B5P/5R1K b - -,f5f4:d6c5
r3kb1r/1p2pppp/pnp1bn2/3q4/1P6/N4NP1/2QPPPBP/R1B2RK1 w kq -,d2d3
1R6/p4p2/2k3p1/2pb2P1/P4B2/2P2PK1/8/4r3 w - -,b8c8
6k1/6p1/7p/8/1r6/5RPK/5B2/1r6 w - -,f2c5
r4r1k/bb2qp2/p1n2R1p/1pN1p2Q/1P6/P3P3/BB4PP/2R3K1 b - -,h8g7
1r2nrk1/2nq1pbp/pp1pP1p1/2pP2B1/P1B2P2/2N5/1P2Q1PP/R4RK1 b - -,f7e6
8/2B5/8/1b4bp/4k3/8/5KN1/8 w - -,f2g3
2r3k1/1q4bp/2p1p1p1/5bP1/1BBPpP2/1Q2P1KP/P7/2R5 b - -,g8f7
r2qkb1r/1p2nppp/2n1p3/pBPpP3/1P4b1/2P2N2/P4PPP/RNBQK2R w KQkq -,c1f4:b1d2
rn1q1rk1/pp2bppp/4p3/3pP2b/P2P4/3BQN2/1P1B1PPP/R4RK1 w - -,d2c3:a4a5:f3e1
r3r1k1/pp3ppp/2pb4/q1np2P1/4n3/1PN1P2P/PB1PQP2/1K1R1BR1 b - -,d6e5
8/5k2/rpn3p1/p4b1p/P2b3P/B2p1RP1/5P2/4R1K1 b - -,a6a7
3r1Q2/7p/p2p2pk/1p6/2P2Pr1/1P6/P2R3K/3R4 b - -,d8f8
r2q1rk1/ppp2pbp/2np1np1/4p3/2PP4/2N1P3/PP1NQPPP/R1B2RK1 w - e6,d4d5
8/8/Q5kp/5pp1/1p6/1q4P1/6K1/8 b - -,g6g7
1k3nr1/1p2r3/p1p3p1/P1P1p1Np/2K4P/2P2PP1/3R4/1R6 b - -,f8h7
5k2/5p1p/p3rp2/1p2q3/2pR2Q1/P3P1P1/1P3P1P/6K1 w - -,g4d1
2r5/p3k3/bp4p1/5p1p/1PP2P1P/P1K3P1/8/3R1B2 w - -,d1e1
r3kb1r/pb1p1pp1/1qn4p/2pB4/2p2N2/6P1/PP2PP1P/R1BQ1RK1 b kq -,g7g5
8/p3r1k1/2p2n2/3pp2p/8/2P2R1P/PP1NK1P1/8 w - h6,b2b4
8/p3R2p/1pq3k1/5pp1/P3b3/1P5P/1B3R2/6K1 b - -,c6d6
4r2k/1pp2r1p/1pnp1Pp1/3N4/4P1P1/2P4P/PP4K1/4RR2 b - -,h7h6
r3rnk1/1p3pp1/1qp1bn1p/p1b1p3/P3P3/2P3NP/1PBNQPP1/R1B1R1K1 w - -,e1f1
1R6/8/8/r7/2b1B1P1/1pk1K3/8/8 b - -,b3b2
rn2k2r/2q1bppp/pp1ppn2/8/2PN4/1P2P1P1/PB3PKP/RN1Q1R2 w kq -,d1f3
8/pp3kpp/3R4/2r2p2/4r3/1P6/P2K1PPP/4R3 b - -,e4e1
r4rk1/pb1n1n1p/4qpp1/2p5/P2pPP2/B2P1NP1/6BP/R2Q1RK1 b - -,f8c8
r1b1k2r/ppq2ppp/1bn1p1n1/3pP3/8/1NB2N2/PPP1BPPP/R2Q1RK1 w kq -,f1e1
4R3/7p/3p2r1/2p5/2PkP3/1P3B1K/8/5n2 w - -,f3g4
rnb2rk1/pp3pp1/5q1p/4p3/2Pp4/6P1/PPQNPPBP/R4RK1 b - -,b8c6
8/4k3/1p2P3/pR5p/P2PK1pP/1Pr3r1/8/5R2 w - -,b5h5
8/1p2k3/4p1p1/4P2p/p1p2P1P/P3K1P1/1Bb5/8 b - -,e7d7
2r2rk1/p4ppp/3b4/2p1q3/2Qn4/P3PB2/1P3PPP/R2RB1K1 w - -,g1f1
r1bq1rk1/pp2ppbp/2np2p1/8/2BNN3/4B2P/PPP2PP1/R2Q1RK1 b - -,d6d5
5k2/4rp2/7p/3B1K1P/8/6R1/8/8 b - -,e7e1
r2q1knr/ppp2p1p/3p4/1B1Pb3/4P1b1/2N2N2/PPP4P/R2Q1RK1 b - -,g8f6
r2n2k1/1r4p1/pP1qpp1p/P2p4/3P4/1QR5/5PPP/2R2BK1 b - -,g8h7
4k2r/2q1bp2/pp3p2/2pr1Qp1/8/1P4P1/1B3P1P/4R1K1 w k -,f5d5
rnb1qr1k/ppp1b1p1/3p1n1p/4pp2/1PP5/1QNP1NP1/P3PPBP/R1B2RK1 w - -,a2a4
r3kb1r/p1n1qp2/1n2p1pp/1p1pP2P/2pP1N2/2P3Q1/PP3PPN/R1B2RK1 b kq -,g6g5
8/R7/2r4p/1pBb3K/p3kP2/2P1P3/8/8 w - -,c5d4
8/5p2/p1pRn1k1/6Np/8/1P2R2P/qB3PP1/6K1 w - -,g5e6
3rr1k1/pp3pp1/1qp2b2/1P1n4/P1QP2Pp/4P2P/5PB1/1RB2RK1 b - -,b6c7
1k1rr3/1pn1b3/4ppb1/1p4p1/3PP2p/P4P1P/1P1BNKP1/1BRR4 w - -,d2a5
r4rk1/pp2bpp1/2n4p/3bp3/8/P3BN1P/1PP1BPP1/R4RK1 b - -,f8d8
r4rk1/pp2bppp/2B1pn2/2Pp1b2/3P4/2N1PN2/1P3PPP/R1B1K2R b KQ -,b7c6
8/4R1k1/p1p3p1/2p4p/5r2/P1P4P/1P4P1/3K4 b - -,f4f7
2r2rk1/1q2bppp/pp1pp3/8/P1PPRB2/8/1P3PPP/2RQ2K1 w - -,e4e3
8/1R3pk1/2n1p3/6rp/P7/4K1P1/2B4P/8 w - -,b7b5
rq2k2r/1b1nbp1p/p2ppnpB/8/2RNP3/2N5/1PP1BPPP/3QR1K1 b kq -,d7e5
r2r2k1/pp3ppp/8/4p3/8/P2P1P2/1P3P1P/2KRR3 b - -,f7f6
2r2rk1/ppq2ppp/4pn2/3pNn2/PP1P1P2/2PQ1R1P/3N2P1/R5K1 w - -,a1f1
r1b1qrk1/pppn1ppp/3p1n2/4p3/2PP4/P1Q2NP1/1P2PPBP/R1B1K2R w KQ -,d4e5
3qr1k1/5pp1/1ppn3p/p3n3/P1B1Pp2/BPN4R/4Q1PP/7K w - -,c4a6
r1bqk2r/ppp3pp/1bnp1n2/1B2p3/N3P3/5N2/PPP2PPP/R1BQ1RK1 w kq -,a4b6
1r3rnk/1p2q2p/p2p4/2pPp2P/P1P1N3/3QP3/1P6/2KR2R1 b - -,g8f6
rn1qk2r/1pp1ppbp/p2p1np1/5b2/3P1B2/4PN1P/PPP1BPP1/RN1Q1RK1 b kq -,h7h6
8/4bk2/R6p/1r1p1p1p/4p3/2B1P3/2PK1PP1/8 w - -,a6h6
8/8/8/4pp1R/7P/4k1P1/3r4/4K3 b - -,d2e2
3n4/4k1p1/8/p4KP1/1p3P2/1B6/PP6/8 w - -,f5g6
r2q1rk1/5pp1/2p3p1/p2n4/PbBPNn2/1Q3P2/1P3BPP/R2R2K1 b - -,a8b8
r1bqk1nr/ppp1bppp/2np4/3Np3/2P5/1Q4P1/PP1PPPBP/R1B1K1NR b KQkq -,f7f5
1r1q4/p5k1/5rp1/2p1N2p/n2nN3/1P3P2/P2Q2PP/1K1RR3 b - -,d8d5
2r2rk1/6pp/p3bq2/1p4Q1/7P/6R1/PPP3P1/2KR1B2 w - -,g5f6
r2qk2r/pbpp1pbp/1pn5/3N1p2/2P3p1/1P1BP3/P2P1PPP/2RQK1NR b Kkq -,c6e7
3Br1k1/5p2/4pPpp/p3n2q/P2QP3/1b6/3R2BP/5RK1 b - -,e5c6
r1bqk2r/1pp2ppp/p1Nb4/3p4/B3n3/8/PPP2PPP/RNBQR1K1 b kq -,b7c6:d6h2
r1bqk2r/pppnppb1/3p1npp/8/3PP2B/2N5/PPPQ1PPP/R3KBNR w KQkq -,f2f4
2kr4/pp1n3Q/2qPp2p/7N/8/2PN1n2/PP1B2r1/2KR3R b - -,g2d2
8/4k1rp/3p3b/4p3/2P1B2P/1P4P1/7K/5R2 w - -,b3b4
2r5/4k3/5p2/1p1P4/3KP1p1/2P3Pb/1N6/R7 b - -,h3g2
rn3rk1/pp2ppbp/2pp1np1/6Nq/2PP1B2/P1N3P1/1P2PP1P/R2Q1RK1 w - -,e2e4
r2nrbk1/8/p3b2p/Ppp1p3/4Pp2/2P1B1P1/1PBN3P/R3R1K1 w - -,g3f4
rnbqk1nr/pp1pppbp/6p1/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,g1e2
2r2rk1/1bqnbppp/pp3n2/3Np3/P3P3/1N2BP2/1PP1B1PP/R2RQ1K1 b - -,f6d5
8/p4pk1/7p/1p3P2/2p1N1P1/P4K2/8/8 w - -,e4c3
8/1p2k3/3R3K/6PP/1r6/8/8/8 w - -,d6d1
8/5p2/R3p2k/P1p1p3/r7/4K3/8/8 w - -,a6a7
r1bqr1k1/ppp2ppp/2np1n2/2b1p3/N1P5/5NP1/PP1PPPBP/R1BQ1RK1 w - -,d2d3
rnbq1rk1/pp2npbp/2p3p1/8/4Pp2/2P3PN/PP1N2BP/R1BQ1RK1 w - -,g3f4
2krr3/1pp3pp/p5b1/q2pB3/N1PP2P1/1Q5P/P1P1N3/K1b4R b - -,d5c4
1rb2rk1/4qp1p/p2p1bp1/2pB4/Pp1pP3/3P1NQ1/1PP2PPP/R4RK1 b - -,g8g7
2rr4/p4kpp/np2np2/3Np3/2P5/4B1P1/PP3PKP/3RR3 w - -,b2b3
1r6/2r2kpp/5p2/8/p4P2/1bP2B2/1P1R1K1P/4R3 b - -,b3e6
1r1q1rk1/1ppn2bp/p2p2p1/3P4/2PpB3/6PP/PP2NP2/1R1QR1K1 b - -,d8f6
2r1k2r/pb1q1pp1/1p1p1b2/4pP2/4N2p/3P3P/PP1BQ1P1/4RR1K b k -,c8c2
5r2/6kp/5pp1/r1p5/2R5/8/1P3PPP/5RK1 w - -,f1c1
8/1k1r4/r1bb3p/p4Q2/2PR1P2/7P/1P4P1/6K1 b - c3,a6a8
4k3/Br6/3p4/3P4/2P2R2/8/1P5p/7K b - -,b7a7
8/p2rpk1p/1p3npQ/8/1P6/P5N1/1P2R1KP/3q4 b - -,d1d5
3r4/4kpp1/4b2P/3pP3/3R1Q2/2PK4/4B2P/1q6 w - -,d3e3
8/8/B4p2/6b1/P5k1/4pp2/2r5/1R4K1 b - -,g4g3
8/P7/7p/5p1k/5P2/q4P1K/8/6Q1 w - -,h3g3
3r2k1/1P5p/8/P7/5B2/1K6/4p3/8 w - -,f4g3
3rk2r/1p2ppb1/p2pb2p/n5q1/4P1pN/R1NB2P1/1PP2PP1/1R2Q1K1 w k -,c3d5
8/5p2/2R1pkp1/3P3p/3P3P/4rPK1/6P1/8 b - -,e3d3
5r2/1B4bk/3Nn1pp/8/6b1/1N4P1/5P1P/4R1K1 b - -,e6g5
8/2k1p2p/6p1/1KP2p2/8/2bNP3/5PPP/8 b - -,c7b7
7R/1r3pp1/6k1/8/2K5/2P4p/8/8 b - -,g6g5
r1r3k1/1q2bppp/2p1pn2/p2p2B1/Q2P4/4P3/PP2NPPP/1RR3K1 b - -,b7b4
6r1/1p3k2/p1b1R3/3n1P2/8/P1Nr4/1P6/1K3R2 w - -,c3e4
1r1q1rk1/3bbpp1/2nPpn1p/1p6/5P2/P1N1BB2/1PQ3PP/R2R2K1 b - -,b5b4
1k4r1/1p3p2/p6b/8/P3qN1P/4P3/1P3QB1/2R3K1 w - -,a4a5
1r3r2/1p3Rkp/1N4p1/p2B2P1/P5b1/1PP5/8/5RK1 b - -,f8f7
3r1rk1/6p1/pp5p/n1p1pP2/P1p1P1P1/7P/1P3RB1/4R2K b - -,a5b3
8/3q4/6Q1/5P2/3k2K1/7P/8/8 w - -,g6f6
rB2Rbk1/3r3p/5Rp1/2p3N1/2p5/7P/P3nPP1/6K1 w - -,g1f1
r4rk1/pb1n1ppp/1pp1p3/8/1qPPQ3/1P3NP1/P4PBP/3R1RK1 b - -,a8d8
4k3/pp3p1p/1bp3p1/2rn4/6P1/1P1RPP1P/1P2N3/2B2K2 w - -,f1e1
5k2/1R5p/6p1/4K2r/5P2/1B4r1/P7/8 w - -,e5e6
8/8/3p2k1/2nP4/6NP/5K2/8/8 w - -,g4e3
r1b1kb1r/p4pp1/1qp2n1p/n3p1N1/8/3B1Q2/PPPP1PPP/RNB1K2R w KQkq -,g5e4
r5k1/1pq2p1p/4n1p1/1Bb1pb2/2P5/pP2BP2/P4QPP/3RN1K1 b - -,e6d4
r1b2rk1/p1q2ppp/2p1pn2/2Pp4/3P4/1P1B4/P1PN1PP1/R2Q1R1K b - -,e6e5
2r2rk1/p3p1bp/npp2p2/8/3P2p1/P3B1P1/1P2PPKP/R1R1N3 b - -,c6c5
5r1k/3R1p1n/3p1q2/p1pP1Bp1/1pP3P1/1P3P2/P3Q1K1/8 w - -,g2g3
1r3rk1/5p1p/3R2p1/b1pBp3/P3P3/1p3NPP/1P2bPK1/R7 w - -,d6d7
r5r1/p4p2/2p1pk2/7R/3B4/2p2KP1/PbP2P2/1R6 b - -,f6e7
r2qr1k1/p3bpp1/2p2n2/4nPp1/N2pP2B/7Q/PP4BP/R4R1K w - -,h4g5
rn1q1rk1/ppp1bppp/5n2/3p2B1/3P2b1/2NBP3/PPQ2PPP/R3K1NR b KQ -,b8d7
3r2k1/1p3pp1/1qp1n3/1P4p1/2N3P1/4P2P/1Q3P2/2R3K1 b - -,b6b5
r4rk1/pb1nbppp/4p3/3pP1P1/1pp1NB1P/2P1P3/qPB1QP2/2KR3R w - -,c2b1
r1r5/ppB1qpbk/1n4p1/1Q1P3p/3pPP2/3B4/PP4PP/2R2RK1 w - -,d5d6
3r1b1r/ppk2B2/1np4p/Q2p2p1/3Pbn2/5N2/PPP3PP/4RRK1 w - -,c2c4
rn1q1rk1/pb2bppp/1p2pn2/2Pp4/2P5/3BPN2/PPQN1PPP/R1B2RK1 b - -,b6c5
6k1/7p/7K/8/8/8/6PP/8 w - -,g2g4
r4rk1/p1q1bp1p/1p2p1p1/n3P3/8/2PB1Q2/P4PPP/R1BR2K1 w - -,c1f4
rnbq1rk1/p4pbp/1p2p1p1/3pP2P/3N1P2/2NnBQ2/PPP3P1/R3K2R w KQ -,c2d3
r2k2Q1/3q1pp1/p1p1np2/8/3P4/2P2N2/P4PPP/4R1K1 b - -,d7e8
1r2qrk1/2pb1pb1/7p/2Q1p3/3P3N/2P3P1/P4PB1/2RR2K1 b - -,e5d4
r3k2r/pb1qnp2/1pnpp1pp/2p5/P1P1P3/2PP1NP1/4QPBP/R1B1R1K1 b kq -,e8c8
7R/8/8/8/8/8/4K1kp/8 w - -,h8g8
8/8/6RP/8/5kp1/4p3/4K3/7r w - -,g6f6
2b2r2/1r3pkp/p1p1pNp1/1p2P3/1P6/8/P1P3PP/2KR1R2 w - -,f1f3
6k1/6p1/2b2p2/2P4p/P1NQp1q1/4P1P1/5P1P/6K1 w - -,c4a5
2r3k1/p5b1/2p4p/4P1p1/5p2/2P2Q1P/q2B1PP1/4R1K1 w - -,f3d3
1r1q1rk1/2p2pbp/2n1b1p1/1N1n4/3P4/3B1N2/1P3PPP/R1BQ1RK1 b - -,d5b4
3q1rk1/r1n1pp1p/8/1p4b1/1P1PB3/p1B1P1P1/Q4P1P/2R1R1K1 w - -,a2e2
r2qk2r/3bbp1p/p1nppp2/1p6/4PP2/2N2N2/PPPQ2PP/2KR1B1R w kq -,c1b1
1qr1k2r/1b1nppb1/pp1p3p/7Q/3pP2p/NBP4P/PP3PPN/R3R1K1 b k -,h8f8
1r4r1/5k2/p2Q1q2/2p2P2/1pP3R1/3P4/PP6/5RK1 w - -,d6d5
rn1qk2r/pbp1bppp/1p1pp3/8/2PP4/2n2NP1/PPQ1PPBP/R1B2RK1 w kq -,c2c3
r4rk1/pb2q1pp/1p1bpn2/2p2p2/2PPp3/1P2P1P1/PB1N1PBP/R2QR1K1 w - -,f2f3
r1q3k1/1p3rbp/1Q3pp1/pB1p1b2/P1PP1p2/1P3P2/6PP/2RRN1K1 w - -,c4d5
3b4/r2k3p/2Rp2p1/3rpp2/1P2p3/P6P/1B2KPP1/3R4 w - -,d1c1
2rq1rk1/1p1nbppp/p2pb3/3NnN2/4PB2/7P/PPP1Q1P1/2KR1B1R b - -,e6d5
3R4/5k2/4p3/7p/1P4p1/Q5P1/5PKP/1q6 w - -,a3a7
r1bq1rk1/4bppp/3p1n2/pp1Pp3/1n2P3/1B3N1P/PP3PP1/RNBQR1K1 w - -,a2a4
r1R3k1/1q1n1ppp/4pb2/1p1p4/8/1P3NP1/PB2PP1P/1Q1R2K1 b - -,b7c8
8/8/pB6/1p3pKp/4k1b1/P5P1/5P2/8 b - -,e4f3
8/1p4k1/p1n1R1p1/P3p2p/1PP5/6P1/7P/6K1 w - -,b4b5
N3rbk1/1p3ppp/p1np4/2n2P2/4p1P1/4B2P/PqPQ1PB1/3RK2R b K -,e8a8
r1br2k1/2q1bppp/1p2p3/pPp1P3/2P2P2/P3Q2P/3RB1P1/2BR2K1 w - -,c1b2
8/5k1p/3p1np1/p1pP1p2/P4P2/1P3Q2/3qBNK1/8 w - -,f2h3
8/B7/3k2p1/R3p3/6r1/3K4/8/8 b - -,d6e6
1n1q1rk1/3r1ppp/pp1pp3/6b1/2P2Q2/2NR1BP1/PP2PP1P/3R2K1 w - -,f4g4
8/4kp2/r1p1p1p1/1r2P2p/p1RP1P2/3K2P1/PP6/1R6 w - -,d3c3
r1br2k1/pp2ppbp/5np1/3n4/1P6/P1N1PN2/3BBPPP/2R2RK1 b - -,c8d7
r1bqk2r/ppp2pbp/2nppnp1/8/2PP4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,f1e2
rnb1k2r/1pq1bppp/p2ppn2/8/2PNP3/2NB4/PP2QPPP/R1B2RK1 b kq -,b8d7:e8g8:b7b6
6R1/p2b1p1Q/6p1/6k1/3N4/4P2P/5qPK/2r5 w - -,d4f3
3r2k1/1p3Rb1/1p1P3p/2n1p1p1/r3P3/P5P1/1BQ5/6K1 w - -,f7c7
r3krn1/p7/2q1pPp1/1p1p4/2pP2QP/P1P3N1/1P3PK1/4R2R b q -,f8f6
4k3/4B2p/2bP2pb/8/8/1R4P1/1P3PKP/1r6 w - -,g2h3
r1bqk2r/pppnppbp/5np1/3p4/8/1P2PN2/PBPPBPPP/RN1Q1RK1 b kq -,e8g8
1nr3k1/1bq2pp1/4p2p/p1b1p3/PpP1P3/1P3NNP/2BrQPP1/3R2K1 w - -,e2d2
1R3rk1/3nb1pp/p1pp4/8/8/2N1BP2/PPP3PP/2KR4 b - -,f8b8
3rrbk1/5pp1/1pqp1n1p/n3p3/4P3/2PPNN2/5PPP/R1BQR1K1 w - -,c3c4
8/8/8/Pk2B2p/4KN2/5P2/7r/8 w - -,e5c7
r5k1/4pp1p/1r1p2p1/3P4/2pQP3/8/5PPP/5RK1 b - -,b6b4
3r1rk1/1p2qpp1/1Np1b2p/p1n1n2Q/2PNP3/PPR1P1PP/6B1/R5K1 b - -,e7g5
4r1k1/5p2/6pp/p1p1q3/1pP3P1/1P1Q1P2/P5P1/3R2K1 w - -,d3d2
rn3rk1/6pp/2p2p2/pp3P2/3PQ3/4P3/qP3NPP/2R2RK1 b - -,a2f7
2r1n1k1/5qpp/p1rp4/Q3pb2/8/1P2BP1B/P1PR3P/1K4R1 w - -,h3f5
rn1qkbnr/pp2pppp/8/3pPb2/1p1P3P/8/P1P2PP1/RNBQKBNR b KQkq h3,d8c7
3r2k1/2R5/br5p/2N3p1/3pPp2/1p3P1P/P5P1/3RK3 w - -,a2b3
8/7p/8/4kpp1/8/2N2K2/7P/8 w - -,c3e2
2r3k1/5p1p/pN2p1p1/1p6/8/1B3b1q/PP1Q1P1P/3RK3 b - -,h3h2
8/4k1p1/5bR1/3p2r1/1p1P4/1P1NP3/1P1KB2r/8 w - -,g6g5
rnbqk2r/pp4pp/2pbp3/3p1p2/2PPn3/P1NBPN2/1PQ2PPP/R1B1K2R b KQkq -,b8d7:e8g8
5B2/5n2/4k3/6p1/p3K3/P7/8/8 b - -,f7d6
rn1q1rk1/pp3ppp/2p2p2/8/1b1P1B2/3Q1N2/PPP2PPP/R3K2R w KQ -,c2c3
1r3rk1/1b3ppp/pP5b/3Np1qQ/2BnP3/N7/PP4PP/R4RK1 w - -,h5g5
r4rk1/1q2B1pp/p2p4/Pp1np3/3N4/2P4P/1P3PP1/R2QR1K1 b - -,d5f4
rn1qkb1r/pp3ppp/2p1pn2/3p4/5P2/1P2PN2/PBPPQ1PP/RN2K2R b KQkq -,f8e7
4r3/pkpq2p1/1p1p2Qp/3Pp3/4P3/1P6/P1P2RPP/6K1 b - -,e8e7
r1b1qrk1/pp1nb2p/4p1p1/3p1p2/2pP1B2/2P1PNQ1/PPB2PPP/1R2K2R w K -,h2h4
r1bqk2r/ppp2ppp/3p1n2/4p3/2P1P3/P1NQ4/1PP2PPP/R1B1K2R b KQkq -,h7h6
5r1k/pp4pP/2p2p2/q2br3/Pbp5/2N4P/1PQ2P2/2KR1BR1 b - -,b4c3
2r1r1k1/2pn2pp/1p2pb2/2Pqp2P/1P1P4/5NQ1/5PP1/3RR1K1 w - -,d4e5
r3qrk1/1ppb1p1n/n2p2pb/p2Pp2p/2P1P2B/1PN2P2/P2NB1PP/1R1Q1RK1 w - -,a2a3
8/p4k2/B6p/4pp2/1P6/5P2/5KP1/8 w - -,f2e3
1k4q1/ppp1r3/3p1p2/PP3Q1p/3p2pP/n2P2P1/1N1K2B1/5R2 w - -,f5d5
2r1r1k1/5p2/pp1q1Pp1/4p2R/1PP5/4Q2P/PB6/4K3 b - -,d6f6
3r2k1/1p1rqp2/2p1p1p1/p3P2p/2P1Q2P/1P1R2P1/P2R1PK1/8 b - -,d7d3
4rbk1/qnR2p1p/pp1p1pp1/3P4/PP1P4/3B1N1P/2Q2PP1/6K1 w - -,c2c6
1r6/2p2pk1/2q2bpp/8/pBn4P/P1NR1P2/1PP3P1/1K2Q3 w - -,e1e4
r1b1qrk1/ppp3pp/2np1n2/b3pp2/2P5/PPNBP3/1B1P1PPP/2RQK1NR w K -,g1e2
r3q1k1/pprR1p2/6pp/2P2Q2/1P6/P3P2P/5PP1/3R2K1 w - -,f5d5
8/5k2/4n3/1pprp3/p4p1P/P6P/1PRB4/5K2 w - -,d2c3
rn1qkbnr/ppp1pppp/8/3p1b2/8/3P2P1/PPP1PP1P/RNBQKBNR w KQkq -,f1g2
r1bqk2r/ppp1nppp/2n5/3p4/3P4/P1bB1N2/1PP2PPP/R1BQK2R w KQkq -,b2c3
r4k2/1p1q1pp1/p3p2p/2bp4/PP1P4/4P1PP/2Q2P2/2R3K1 w - -,c2h7
8/5Qpk/p1p1P2p/3q4/1P2pP2/P3P2P/6PK/8 w - -,f7d7
4k3/1bQnpp2/1q1p4/8/4P3/5PP1/6BK/8 w - -,c7c3
r3kb1r/p1qn1p2/bpn1p1pp/2ppP3/3P3P/2PBNN2/PP3PP1/R1BQK2R b KQkq -,a6d3
4q1k1/1p3p2/p5r1/8/3Q4/5R1P/6P1/7K w - -,h3h4
5k2/1p2b2R/p5p1/4p2p/P2r3P/1P3PP1/4KN2/8 b - -,d4d6
5rk1/ppp2p1p/2n3p1/4b3/4P3/1P2BP2/P2rNKPP/7R w - -,e3d2
2kr3r/pppq2p1/1n2p1p1/3n1p2/3PN1P1/4P2P/PP1Q1PB1/R4RK1 w - f6,e4c5
r2qk2r/p3ppbp/2p3pn/3pP3/3P2b1/5N2/PP1N1PPP/R1BQK2R w KQkq -,h2h3
2r3k1/5pbp/4b1p1/ppqp4/3N4/P1PBP3/3Q1PPP/2R3K1 b - -,e6d7
2r2rk1/4nppp/3qp3/1Q6/1pNPpP2/4P3/1P4PP/2R2RK1 b - -,d6b8
r1bq1rk1/pp2bppp/3p2n1/2pPp3/2P1Pn2/P1N2N1P/1P3PP1/R1BQRBK1 b - -,f7f5
r1b1k2r/ppqnbppp/2p2n2/3pp3/3PP3/2PBBN1P/PP1N1PP1/R2Q1RK1 b kq -,d5e4
1kbr4/1pqrb1p1/p3pp1p/2n1P3/3N2B1/2N3P1/PPP2Q1P/1K1RR3 w - -,e5f6
5rk1/Q2n2pp/3b4/1p1q4/1P1Pp3/P7/6PP/3RR1K1 w - -,g2g3
