8/6b1/8/1PPK4/8/4k3/2r1p3/4R3 w - -,b5b6
rnb1k2r/p3ppbp/3p1np1/1qpP4/8/2N3P1/PP1NPPBP/R1BQK2R b KQkq -,b5a6
r3r1k1/ppq1nppp/2nb4/3p3b/8/1NP1BN1P/PP2BPP1/R2QR1K1 w - -,f3d4
1q4k1/5pp1/2pb1nbp/p1Np4/1P4P1/2P2P1P/P4BB1/4Q1K1 b - b3,a5b4
4b3/4b3/p1p1pk2/PpPp2p1/1P1PpPB1/4K1P1/7N/8 b - -,g5f4
8/1p2rB2/p1nkPQ2/3pr3/P5P1/7K/8/8 b - -,e5e3
8/qp2r1pk/7p/1Q2Pp2/P2r4/6P1/6RP/6RK b - -,a7a4
3r2k1/2q4p/4p1p1/1p6/4P1n1/2rp1RN1/P5PP/3RQ1K1 w - -,g3e2
r1r3k1/3R3p/p3npp1/1p1R2P1/7P/2P5/PP3P2/5BK1 b - -,c8c5
2rq1r1k/p7/3p4/4pP2/2P1n1Pp/3P1P2/P3P1Q1/1RB4K w - -,f3e4
6k1/2p5/1p1p4/3P1R1p/2r3r1/6K1/R4PP1/8 w - -,g3h2
r1b1rn2/pp2kNpB/2n1pq2/3p3Q/P2P1b2/1P3N2/1BP2PPP/R3K2R w KQ -,b2a3
5k2/1p2bpp1/2p1p3/q1P4P/p7/8/PPB3K1/3Q4 b - -,a5c5
2r4k/7p/8/1B3Rp1/8/2b3P1/2P4P/7K b - -,h7h6
r2rb1k1/1pq2ppp/p3pn2/n1b5/2BP4/1PNNP3/4QPPP/R2R2K1 w - -,d3c5
5k2/1p1r2q1/p2N1b2/P1P2Q1R/6p1/8/P3p1K1/2R5 w - -,c1e1
2rr2k1/p1b1qp1p/2p1bnp1/1p3p2/3P4/2N1P3/PPQNBPPP/R3R1K1 w - -,d2b3
r4r1k/pp4p1/6Bp/2Np4/1n3P2/6N1/PP3R1P/5bK1 b - -,f1h3
r5k1/1pp3b1/3p1r2/p1nPpB1R/2P5/2N5/PP3PP1/2K4R b - -,c7c6
8/1p6/3p4/p2Pp1p1/PkPb2Bp/1P5P/2K5/8 b - -,d4c5
r1b1k2r/pp2p1b1/3p1n1p/5pp1/2qN4/4P2P/PPPN1PPB/R4RK1 w kq -,d2c4
1Rb3k1/5rbn/p2p4/P1ppq1B1/4rN1Q/6PP/4BP2/5RK1 b - -,f7f8
r4rk1/pb3ppp/1p1Rpb2/n7/2P5/2N3P1/PP1NPPBP/R5K1 b - -,b7g2
8/1B6/8/8/1R6/P2P3P/2Pk2PK/4r3 b - -,e1e3
r1bqkb1r/ppp2ppp/4pn2/8/3P4/6P1/PPP2PBP/R1BQK1NR b KQkq -,f8e7:e6e5:c7c5
4rb1k/1b5p/1p1p2p1/p2n1pq1/P1BPp3/4P2P/1PNQ1PPB/2R3K1 w - -,c4d5
3q1k2/3P1p2/1p2nNp1/p1p1Q2p/2P2P2/1P4P1/P5KP/8 w - -,f6d5
r4rk1/1p1qpbbp/p1n2pp1/P2p4/3P1B2/1BP2N2/1P3PPP/R2QR1K1 w - -,b3a4
8/1p6/8/7P/2nk4/3p2N1/3K4/8 w - -,d2d1
8/8/8/6p1/3bkpP1/8/3K4/3N4 w - -,d2e2
4r1k1/p1p2p2/3p1q1p/3Pb1pn/1pP5/5P2/P1Q2BPP/3R1B1K w - -,f2a7
r1b1rnk1/p1q2ppp/1pp2n2/3p1P2/3P1B2/P1N2PP1/1PB4P/R2Q1RK1 b - -,c7d8
1r6/7k/2R2bq1/B4p2/4pP2/1P4P1/P3Q1K1/8 b - -,b8g8
2r1rb2/6p1/pB2k2p/5p1R/2P5/1P4NP/P5B1/6K1 b - -,g7g5
1r3k1r/2qbb3/p2pppQp/1pn5/3NP3/P1N5/1PP1B1PP/2KR3R w - -,b2b4
8/4qpk1/3p2p1/2pPp3/1r6/3B2P1/2QN1PK1/8 b - -,b4b8
8/6pk/7p/2K2P1P/p1pQ2P1/P7/1P2q3/8 w - -,c5b4
5k2/p1p2ppb/2B4p/5P2/2P3P1/Pr6/7P/3R3K b - -,f8e7
r1bqkb1r/ppp1pppp/2n5/8/QnPP4/P7/1P3PPP/RNB1KBNR b KQkq -,b4a6
1rbq1rk1/3nbppp/pppp1n2/4P3/P3P3/2N2N1P/BPP2PP1/R1BQR1K1 b - -,d6e5
r1bq1k2/ppp5/5b2/1B1n1ppQ/3Pp3/2P1P1B1/PP1N1P2/2KR4 b - -,c7c6
3q2k1/pp3p1p/1n2p1p1/2p1b3/2P5/1B5P/PP4P1/3R3K w - -,d1d8
2r2k2/pp2rppp/8/3R4/P3P3/5PP1/5K1P/1R6 b - a3,b7b6
r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1f3:d4d5:h2h3
r1b1kb2/ppp2pp1/2n4n/3pp3/5q2/3P4/PPPQPB1P/RN2KBR1 b Qq -,f4f6
8/1R3pk1/4pbp1/3n4/2N2P2/6PK/8/8 b - -,g6g5
r3q2r/p1nkb3/1n2p3/1p1pP3/2pP2pp/P1P1Q1P1/1P2NP1K/R1B1NR2 w - -,h2g2
1k6/5K2/1n2p3/5p1p/7B/8/7P/8 w - -,f7e6
1r5r/2p2ppp/2k2n2/8/8/2P1K3/PP4PP/RN1R4 b - -,b8b2
rq2n1k1/1bR1bppp/p3p3/1p6/1P2P3/P1N1QN2/1B3PPP/R5K1 b - -,b8c7
3Bbb2/6kp/p2pB1p1/3P4/1P2p3/6P1/5P1P/6K1 b - -,e8b5
8/1Nn3Rp/3kp2r/8/8/3B3b/1PP5/1K6 b - -,d6c6
r2qkb1r/1b3ppp/p3pn2/P2p2P1/N1pNP3/4BP2/1PPQ3P/R3K2R b KQkq -,f6d7
8/5b2/1p4p1/2k3P1/3p1P2/3B4/3K4/8 w - -,f4f5
2b1r1k1/5pp1/1p1q4/p2pr2p/2p2R2/P1Q1P1P1/1PBK3P/3NR3 b - -,d6c7
r7/rppnk3/p2p1p1p/6pP/1P1RP1P1/P1P2P2/1K2B3/3R4 b - -,d7e5
r2q1rk1/1p1nbppp/2p2n2/p1Ppp3/N3P1b1/P2P1NP1/1PQ2PBP/R1B2RK1 b - e3,g4f3
2k2b1r/pp2p1pp/1n3p2/1B6/3r4/B1P1P2P/PP4P1/2KR4 w - -,e3d4
8/p7/2p5/1pP2k2/1P2p2p/1P2Pn1P/2K2N2/8 b - -,a7a6
6rk/2r1q2p/5p2/p1N1pP1Q/1n6/2RbN3/6PP/2R4K b - -,g8g5
r1b1kb1r/1pq2ppp/p4n2/2np4/8/1N1BBN2/PPP2PPP/R2Q1RK1 b kq -,c8e6
6k1/3r1p2/pR4p1/2r5/P7/1P5P/4R1PK/8 b - -,a6a5
6k1/1p1n1pp1/p2Bp2p/2Pp4/q7/PbQ1PP2/1P2B1PP/4K3 w - -,e1d2
r3r1k1/1p1nqppb/2p1pN1p/p7/2P5/bP1P1NP1/PB3PBP/1QRR2K1 b - -,d7f6
r1b2rkb/pp1nqp1p/3p2p1/2pPp2n/2P1P2N/2N1B1P1/PPQ1BP1P/R2R2K1 b - -,h5g7
rnbqkb1r/pppppppp/8/8/2PPn3/5N2/PP2PPPP/RNBQKB1R b KQkq c3,e7e6
r1bq1rk1/6pp/1p1ppn2/p1p2p2/1nPP4/2Q1PP2/PP1BN1PP/RB3RK1 b - -,e6e5
r5k1/6p1/p3pr1p/n7/N2pbP2/R3bNP1/PP2B2P/K4R2 b - -,a5c6
r1r2bk1/1q1n1p1p/1pp1pnp1/3pN3/P2P1P1B/1PNQP3/6PP/2R2RK1 b - -,b7a6
3b2k1/1b1q1ppp/1p2pn2/pPp5/P3PP2/1P4PP/4Q1BK/4N1B1 b - -,d8c7
R7/5bk1/7p/4P1p1/8/6P1/r5BP/6K1 w - -,a8a2
r7/4R3/p3ppk1/1p1b3p/2pB1PP1/P1P5/2P4P/6K1 w - h6,g4h5
r1bq1rk1/bpp1nppp/p2p1n2/P3p3/1PB1P2N/2PP4/3N1PPP/R1BQ1RK1 b - -,d6d5
r3n1k1/1p2qp1p/6p1/1Q2p3/3pP3/P4PPB/1P5P/2R3K1 w - -,h3f1
r4rk1/pbq1nppp/1p1bpn2/2ppN3/3P1P2/PP1BPQ2/1BPN2PP/R3K2R w KQ -,f3h3
r2q1rk1/pb2bppp/1pn1p3/2p3N1/4R2P/3P2P1/PPP2PB1/R1BQ2K1 b - -,h7h6
8/R5np/1p4pk/8/4N3/P4K2/8/4r3 w - -,a7b7
r4rk1/p1qn1ppp/1p2p3/2p5/2PPb3/4B1P1/PPQ2P1P/R4RK1 w - -,c2e4
8/R7/3k1P1P/3p4/3P2p1/3b2P1/5K2/7r w - -,f2e3
r2q1rk1/pbpnbppp/1p2pn2/3p4/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 w - -,c4d5:d1c2:a1c1
6k1/1R3p2/p2b1rpp/P6q/4P3/P2P1N1P/4Q1K1/2r2B2 b - -,c1c2
rn1q1rk1/pbppbppp/1p2p3/8/2PPnB2/4PN2/PP2BPPP/RN1Q1RK1 w - -,f3d2
8/8/1pp5/p4k1p/1pP4P/1P3PK1/P7/8 w - -,g3g2
5rk1/R4p2/4b1p1/2Qpb2p/2p5/8/P1q1N1PP/4R1K1 b - -,c2d2
r7/4Pkp1/pp6/7p/7P/2R3P1/PP6/6K1 b - -,a8a7
r7/5pk1/1rp1pbp1/3p3p/3P1P1P/2R1B1P1/5PK1/3B4 b - -,a8a1
1rbq1rk1/pp1pppbp/2n2np1/2p5/Q7/2PP1NPP/PP2PPB1/RNB1K2R w KQ -,a4h4
r5k1/bppq1pp1/p3r3/3Np1p1/3nP3/2BP3P/PP2QPP1/R2R2K1 w - -,e2g4
rr4k1/3n1p2/1p1qbnpp/1BPp4/P7/2N1PN1P/1R3PP1/2RQ2K1 b - -,b6c5
r3k2r/pbpnqpb1/1p1pp2p/6p1/2NPP3/2PB2P1/PP1NQPP1/R3K2R b KQkq -,e8c8
r1q4r/4npbk/p1bp2pp/1Pn1p3/4P3/PP1B1NN1/1BQ2PPP/3RR1K1 b - -,a6b5
5n2/5k2/4pp2/8/3PPPr1/3N2p1/6K1/1R6 b - -,f8g6
2b5/5kp1/p6p/R1P2p2/7P/2r2P2/4N1PK/8 b - -,c3c4
rnbqk2r/ppb2ppp/3p1n2/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,e8g8
r2q1rk1/5bbp/3p4/pp1N1P2/6Q1/2PpN3/PP3P1P/2KR3R b - -,h7h5
4r1k1/5p1p/2N1pbp1/1Pp5/2Q2P2/3RP3/rq4PP/3R2K1 w - -,d3d2
q3r1k1/3Rp2p/4npp1/2p5/r5P1/p3QP2/P3P2P/B4RK1 b - -,a8c6
r1k2b1r/4p3/1n1pNpp1/1BnP3p/2p1P3/PR3P2/3B2PP/2R3K1 w - -,e6c5
3r4/4kp1p/p4p2/1ppP4/5PP1/2P5/P4K1P/3R4 b - -,e7d6
rnbq1rk1/pp2bppp/1np5/3p4/2PP4/2NBBQ2/PP3PPP/R3K1NR w KQ -,c4d5
4r1k1/1p3pp1/p1q1r2p/8/2bRPB2/2P3P1/P1Q4P/3R2K1 b - -,e6e4
r4rk1/pp1q1bb1/2p5/PB5p/1P2N1pP/4QpP1/5P1N/1R2R1K1 b - -,c6b5
4q1k1/1p6/p1p1b1p1/2P5/3Q2Pp/1P4b1/P5B1/5R1K b - -,e6f7
3r2b1/2RP3p/5p1b/p4P1k/3K1Bp1/P2N4/7P/8 w - -,f4h6
r3kb1r/1bq2p1p/p1npp1p1/1p2nPP1/4P2P/PNN5/1PP3B1/R1BQK2R w KQkq -,f5e6
2r2r1k/1p1qp1bp/p4np1/n2p1p2/3P4/PP1QPPP1/1B4BP/2RRN1K1 w - -,e1c2
r3r2k/2q2p1p/p2p1p2/1pp1nP2/P4BP1/2PP3P/1P1Q2K1/R4R2 b - -,c7c6
5rk1/p3p1r1/2p2q2/2PpNb2/3P4/P4R1p/1P1Q1PP1/4RK2 w - -,g2h3
r2qk2r/2pbbppp/p1n1pn2/1p6/3P4/1P2PNP1/1B2QPBP/RN3RK1 b kq -,e8g8
1r3rk1/p1p2q1p/b1p2p2/8/2P4P/PP1B2P1/1BK2Q2/R7 b - -,f8d8
r2qk2r/pp2np1p/3pb1p1/2p1p3/3nP3/2NP2P1/PPPQNPBP/R3K2R b KQkq -,e7c6
r2q1rk1/pbpnbppp/1p2pn2/3p4/2P5/1PN2NP1/PB1PPPBP/2RQ1RK1 b - -,c7c6
rnbq1rk1/pp2bppp/4pn2/2pp4/4P3/3P1NP1/PPP1QPBP/RNB2RK1 b - -,b8c6
1k2r3/pp3p2/2n1bBr1/3pPp2/3P1Q2/P1q2N1P/2P2PP1/R3R1K1 w - -,a1c1
2r3k1/p1rqbp1p/1pnnp1p1/3p4/3P4/1PBQP1P1/P3NPBP/2RR2K1 b - -,a7a5
8/8/p5kp/8/2nB4/P5PP/2r5/5K2 b - -,c4a3
1q5r/2n1bp1k/p3p1pp/4P3/PpN1Q3/1P2B3/5PPP/2R3K1 w - -,c4b6
5rk1/3bbppp/3p4/p1r1p2n/PpP1PP2/1P4PP/1B1N2B1/R4RK1 w - -,g1h2
r4rk1/pbqn1ppp/1p1bp3/3pN1B1/3PnP2/1PPB1R2/P3Q1PP/RN4K1 w - -,f3h3
8/2R2p2/6kp/2P3p1/3r4/P2p2PK/2rR4/5N2 b - -,g5g4
r3kb1r/2q2pp1/p2p1n1p/1p2pP2/1n2P1PP/1PNBBQ2/1PP5/2KR3R b kq -,a8c8
r1b1kb1r/1pqnpppp/p1p2n2/2Pp4/3P4/2N2N2/PPQBPPPP/R3KB1R w KQkq -,e2e4
r1bq1rk1/3n1pp1/p2bpn1p/1p6/3PN2B/3B1N2/PP3PPP/2RQ1RK1 b - -,d6f4
r1bqkbnr/pp3ppp/2n5/2p1p3/3pP3/3P2P1/PPP1NP1P/R1BQKBNR w KQkq e6,f1g2
2r1k2r/Qpq2pp1/2n1p3/1B1pPnbP/7P/2R5/PPP2P2/R4KN1 w k -,b5c6
r1br2k1/p4ppp/2p2q2/3n1P2/8/P1PB1R2/1BQ3PP/R6K b - -,a8b8
1rb2rk1/p6p/2p3p1/2Np1n2/7q/2QP3P/PPP3PN/R4RK1 w - -,h2f3
2r2rk1/pp1qp1bp/3p2p1/5p2/3NnB1P/4PP2/PPP1Q1P1/2KR3R b - -,e4c5
r1bq3r/ppb2pk1/6p1/2PB1p2/Q7/4P1P1/P3NP2/1R1R2K1 b - -,d8g5
r3k2r/1pqb1ppp/p3pn2/2b3B1/2BN4/2P5/PP2QPPP/R3R1K1 b kq -,e8c8
r4rk1/1N1n1ppp/pq2pn2/1pbP4/4PB2/6P1/1P1Q1PBP/RN3RK1 b - -,b6b7
r1bqk2r/pp1nbp2/4p1p1/2ppP2p/3n1P2/P1NB1NQ1/1PP3PP/R1B1K2R w KQkq -,f3d4
rnn1k2r/pp4pp/2pb1p2/3p1b2/3P4/1PN2NB1/1P2PPPP/R3KB1R w KQkq -,g3d6
2k5/7r/3q3P/1p2p1P1/1Pp5/2Q5/2P5/1K4R1 b - -,d6f6
2k4r/pp1r3p/6p1/1q1p4/7R/1PP4Q/1P3PP1/1K1R4 w - -,c3c4
8/1p1b2kp/r4pp1/3p3P/3P2P1/2B2P2/1P3K2/7R w - -,c3b4
7k/1p1nr1p1/p1B4p/2b5/1B4P1/P7/1P2P1K1/3R4 w - -,c6d7
8/4k3/b1K2p2/2P4p/5P1P/1n6/3B4/8 w - -,d2c3
6k1/2p2p1p/5p2/8/2B5/6P1/1R3PKP/2r5 b - -,c1c4
r4rk1/4qppp/n1bp1n2/pp2p3/2P1P3/PP4PP/2NN1PB1/R2Q1RK1 w - b6,c2e3
6k1/p5p1/1p1p1n2/3Pp2p/4P2P/2KB1QP1/PP6/6q1 w - -,a2a3
8/8/pb1p4/8/P4kp1/1N1P4/4K3/8 w - -,b3d2
4r1k1/pp3pp1/2pq1n1p/3p4/3P4/2PB4/PP1Q1PPP/4R1K1 w - -,e1e8
r1bqk2r/pppnbppp/3p1n2/3Pp3/4P3/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,c7c6
4rr1k/p5pp/1n6/4P3/3P4/1PR2pb1/PB4B1/3R2K1 b - -,g3e5
r1b1kb1r/1pqp1ppp/p1N1pn2/8/4P3/2N2B2/PPP2PPP/R1BQK2R b KQkq -,d7c6
r1bbrqk1/1p1n1pp1/4pn1p/p2p4/PP1P3B/1QNBP3/3N1PPP/1K1R3R w - -,b4b5
rnb1qrk1/pp2p1b1/2pp1n1p/5pp1/2PP4/BPN1PNP1/P4PBP/2RQ1RK1 b - -,b8a6
4k2r/p2n2bp/1qQ3p1/1bpBpp2/8/2P2NP1/P2PPP1P/2B1K2R w Kk -,c6b6
8/1p6/6p1/2p2k1p/p1Pb1p1P/3R1K2/PP3P2/8 w - -,b2b3
r1bq1rk1/ppp1ppbp/6p1/3P4/1n1nP3/1NN3P1/PP3PBP/R1BQ1RK1 b - -,b4c2
r2qrbk1/1bpn1ppp/p2p1n2/1p1Pp3/4P3/2P2N1P/PPB2PP1/R1BQRNK1 b - -,c7c6
2r1r1k1/p1q1bp2/1p3p1p/3bpN2/2n1N3/P2B4/4QPPP/3RR1K1 b - -,g8h8
7r/3n4/1p1pk2p/p3pqpQ/P7/4B2P/1P3PP1/2R3K1 w - -,c1c7
1r4k1/p1r1q1pp/Bn1b4/B2p4/4p3/1Q2p3/PP1R1PPP/3R2K1 w - -,d2d5
3r2k1/2rq2pp/1pP1pp2/p7/Q1PP4/B1P1N1P1/5P1P/1R4K1 b - -,d7c6
r1bqrnk1/p3bpp1/1pp1p3/3p2Nn/2PP1B1P/2N1P3/PPQ2P2/2KR1B1R w - -,f1d3
8/p2q1p1k/6pp/Nr1P4/Q7/1P3P1P/1P6/1K1R4 b - -,d7f5
2rR3k/pb6/2q4p/1pp1bp2/7Q/P3B1NP/1PP4K/8 b - -,c8d8
6k1/1p1b1p1p/3p1nPq/2p5/PpP1r3/1P2N2P/5QPK/3R1R2 b - -,e4e3
1r3rk1/4nppp/3p4/p3p3/PpB1P3/2PK1P2/1P4PP/R6R b - -,f8d8
5rrk/RR4bp/2PQ2p1/4p3/8/4PpPP/5P2/2q1B1K1 w - -,d6b4
8/3k1p2/3Pp1p1/2r3Pp/3RKP2/7P/8/8 b - -,c5a5
8/3k4/7p/8/p1NPp3/2P2nB1/Pr6/5R1K b - -,b2a2
