8/8/7R/8/P2p4/4k2p/7r/4K3 w - -,h6e6
1r1r2k1/1bq1npbp/p2pp1p1/2p5/2N1P3/Q1P1B3/PP1RBPPP/3R2K1 b - -,b7e4
5k2/5p1p/p3p1p1/6P1/r4P1P/6K1/PR6/8 b - -,f8g7
1rb1r1k1/1pqnbppp/2n5/p3p3/2Pp4/PP1P1NP1/2N2PBP/1RBQR1K1 w - -,b3b4
6B1/7p/1p4p1/1P4P1/3kp2n/8/4K3/8 w - -,g8h7
b3rbk1/1q3pp1/5P1p/1ppp4/1P6/1QPB1NPP/5P2/BR4K1 b - -,d5d4
8/5B2/8/4nk1p/5P1P/6K1/8/8 w - -,f7h5
r1bq1rk1/1p2ppbp/p1np1np1/8/P3P3/2N3P1/1PP1NPBP/R1BQ1RK1 b - a3,a8b8
2r2rk1/p4ppp/b3pn2/P1bqQ3/8/5NP1/1B2PPBP/R4RK1 w - -,e5f4
5rk1/2Rb1pp1/qr2pn1p/1pRp4/pP1P1Q1P/N2BP1P1/P4P2/6K1 w - -,g3g4
r1bq1rk1/1pp2pp1/p2b1nnp/3Pp3/P1B1P3/2N1BN1P/1P3PP1/R2Q1RK1 w - -,f1e1
r4r2/p4p1p/Rn3kp1/4Rp2/2pP4/2P2P1P/1PB2P2/6K1 w - -,c2a4
2r3k1/2rbq1pp/p3p3/1p1pPp2/3NnQ1P/P1P5/1P2BPPK/2R3R1 b - -,h7h6
2r1b1k1/8/p3p1p1/3pN1bp/1P1P4/3Q1RPq/P1B4P/6K1 b - -,c8c2
4r1k1/3N1p1p/7r/3N4/3PnPp1/1R2Pn1q/2Q3RP/6K1 w - -,g1f1
5b1r/p4kpp/2r1b2q/3pQB2/8/1P6/PB3PPP/K3R2R w - -,f5e6
4k2r/1b2bppp/p1q1p3/1p4N1/3pB3/6BP/PP2QPPK/8 b k -,c6d7
2r3k1/3b2pp/3qp3/1pRp1p2/p2P1P2/4Q3/PP2PPBP/6K1 w - -,a2a3
r1bq1rk1/pp1n1pbp/4pnp1/3pN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,e5d7
2R5/5pk1/2p1p1pp/4P3/7P/4P1P1/2r2P2/5K2 w - -,f1g2
r1b1k2r/2qpbppp/ppn1pn2/8/P3PP2/1NN5/1PP1B1PP/R1BQ1RK1 b kq f3,d7d6
8/1P1n3p/p1Bb2p1/4k3/8/4K2P/P5P1/8 b - -,d7c5
rnb2rk1/ppq1ppbp/6p1/2pP4/2B1P3/2P5/P3NPPP/R1BQ1RK1 b - -,b8d7
r2r3k/ppq2pp1/4bb1p/1R6/5P2/2NBP3/PPQ3PP/5RK1 w - -,d3e4
8/5k1p/2p3p1/8/P7/1r6/R5PK/8 w - -,a2c2
8/p1r2pk1/1pr3p1/3R4/P1P1R1PP/3KP3/8/8 w - -,e4d4
r3k3/5pp1/p2Rb2p/2B5/PP6/5P2/5KPP/8 w - -,b4b5
r2q1rk1/1b4pp/pp2pb2/3nNp2/P1BP4/3R4/1P1BQPPP/R5K1 w - -,a1e1
5r2/2pR4/2B1k3/pP3pq1/8/2Q4P/8/7K w - -,c3e1
1r3rk1/pb2q1bp/Bp2ppp1/2pp4/P2Pn3/2P1PN2/1P1NQPPP/R2R2K1 b - -,b7a6
1rb1k2r/1pqnbppp/p2ppB2/8/3NPPP1/2N2Q2/PPP4P/2KR1B1R b k -,e7f6
1rr3k1/4qp1p/2n1b1pb/1pP1p3/1p1pP3/P2P2P1/1RQ1NNBP/5RK1 w - -,a3b4
3r2k1/1B3ppb/4p2p/p3P3/3N1P2/3n2P1/P2b3P/5RBK b - -,d8b8
r4rk1/p1pq1pp1/4p1n1/3p2Pp/3P2n1/1P1Q1NPB/P3PP2/2RR2K1 w - -,d3c2
2r2bk1/5p1p/p7/2r2PP1/1pq1R3/4Q3/PPP4P/1KR5 b - -,c4d5
1n6/1Bk4p/p1P3p1/4p3/1P1r4/RK4P1/2R4P/4r3 w - -,a3a5
8/5k1p/p2p4/1p1P1p2/1Pn2Pr1/5K2/P3N2P/3R4 w - -,e2d4
r1b1k2r/1pq1bp1p/p2ppnp1/4n3/2P1PB2/NN1B4/PP2QPPP/2R2RK1 b kq -,b7b6
8/3rn1k1/1ppp2p1/p3b2p/P4P2/1P1R2PP/2PB4/3R2K1 b - f3,e5f6
r7/Pk6/7p/8/6PK/R7/1P5P/8 w - -,h4h5
4r3/2p2pbk/3pb1pp/1p5P/n2PPB2/2P3N1/qPB3P1/3QR1K1 w - -,d4d5
7Q/2p2k2/p2qp1p1/1p5p/3p3P/3P4/1PP2PP1/6K1 w - b6,h8h7
r2q1rk1/pppn2bp/4p1p1/3pPp2/2P2P2/1P2P3/PB2B1PP/R2Q1RK1 b - c3,c7c6
r1bq1rk1/pp1n1pbp/2p1pnp1/3pN3/2PP1P2/1QN1P3/PP2B1PP/R1B1K2R b KQ -,d7e5
1r1q1rk1/2n1ppbp/p2pn3/2p1PR2/N1b5/1PP4P/2B3P1/R1B1Q1K1 w - -,b3c4
3r4/1k1r1pp1/2p1pb2/ppP4p/1P1PKP2/P3B1P1/3R3P/3R4 b - -,g7g6
8/2b1rpkp/2r3p1/p5P1/2NR2K1/1P1R2P1/1P6/8 w - -,g4f3
2kr3r/ppp4p/2pB1p2/3n1bp1/2BP4/2P5/PP1N1PPP/R4RK1 b - -,d8d6
2k5/8/2pn4/P1K5/1P6/8/8/8 b - -,c8c7
6k1/4b1p1/p2p1r1p/7N/4P3/6q1/2BnQ1P1/1R4K1 b - -,d2f3
8/4R1p1/1p1P1k2/2p4p/K6P/8/P2R2r1/8 b - -,g2d2
r4rk1/pp3pp1/2pq1n1p/3p4/3P4/2NRP2P/PP3PP1/R1Q3K1 b - -,d6e7
1k6/1pqbr1b1/p3p2p/3pP1p1/3N2P1/3QR1N1/PPP2r1P/1K2R3 w - -,h2h3
5k2/p4p1p/3rb1p1/3pR3/3N1PP1/7P/1PP5/2K5 b - -,e6d7
7b/1kp2p2/2p1b3/pp2P3/2P2PpN/1P5P/PB5K/8 w - -,f4f5
rnbqkb1r/ppp1pp1p/6p1/8/2BPp3/2P5/PP3PPP/R1BQK1NR b KQkq -,f8g7
8/8/1k6/7R/6K1/6P1/5r2/8 w - -,h5f5
8/5p2/8/3k1b1p/p6P/P7/2p2K2/2BrR3 w - -,c1b2
r1b1kb1r/pp3ppp/n2qpn2/8/8/P1N5/1PPN1PPP/R1BQKB1R b KQkq -,f8e7
rn2k2r/pb1p2pp/1p2p3/q1p2p2/2PP4/P1PBPP1N/3Q2PP/R3K2R b KQkq -,e8g8
4k3/8/1p5K/6r1/6P1/p7/8/5R2 b - -,g5g4
r1b2rk1/pp2b1pp/4p3/2pqPp2/7P/3P2Q1/PP3PP1/R1B1RBK1 b - h3,g8h8
2r2bk1/5pp1/1q5p/1p2P3/1P4PP/3NpP2/PQ4K1/2R1n3 w - -,c1e1
r1b2rk1/2q1bppp/p1np1n2/1ppPp3/4P3/2P2N1P/PPBN1PP1/R1BQR1K1 b - -,c6b8:c6a5:c6d8
8/R4p2/p3n1k1/1p2P1p1/5r1p/P1P1K2P/1BP3P1/8 b - -,f4a4
r1bqkb1r/pp1ppppp/2n2n2/2p5/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq -,f1b5:f2f4
1r2r1k1/2pbq2p/p1n1p1p1/1pR1Pp1n/3P2N1/5PN1/PP1Q2PP/4KB1R w K f6,g3h5
5rk1/1b4pp/p7/1p4Q1/5n1P/5P2/PP3KP1/8 w - -,g5e7
r7/8/2R1kp2/1P2p3/3p4/P7/6PP/6K1 b - -,e6f5
2b2r2/p3k3/1p1p1n2/2p1p3/2P1P2Q/P4B1P/1P4P1/6K1 b - -,c8e6
r5k1/1ppbqr2/p2p2p1/3Pp1bp/1PP1P3/2N2P2/P3Q1P1/R1N2RK1 w - -,c1d3
1r2rbk1/p4ppp/1q1p4/2pR4/4P3/5P2/PPQ3PP/R1B4K w - -,b2b3
6r1/2rnR3/6pk/4p1Np/3p3P/PPbB2PK/4RP2/8 b - -,g8g7
8/p7/1k1bp1p1/2p3Pp/4Kp2/1N3P2/P6P/8 w - -,b3d2
2r1k3/3n2pp/1p1PBp2/p7/5P2/8/P4KPP/3R4 w - -,d1e1
3q3k/5p1p/1p2pPr1/pP1p4/3P3Q/8/P1R2PP1/6K1 w - -,c2c6
8/8/7Q/p3p3/8/KP1p3P/P3q3/5k2 b - -,f1e1
8/4r1p1/3k1b1p/PK6/8/8/2R3P1/8 b - -,e7b7
2r1r3/1bq1ppkp/p2p1np1/1pp5/3PP2N/1PP1Q1N1/1P3PPP/R3R1K1 w - -,e3g5
r1bq1rk1/1p1n1ppp/p1pb1n2/3Pp3/3P4/1PNBPN2/P2B1PPP/2RQ1RK1 b - -,c6d5
1r1q1rk1/p1pbb1p1/4p2p/2Pn1pN1/1p1P3P/6P1/PP3PB1/R1BQ1RK1 w - -,g5h3
4r3/2p5/p2p1k2/5Pp1/pP4p1/2PnP1N1/R5P1/5K2 w - -,e3e4
r3k2r/1bq1ppbp/p2p2p1/PpnP2P1/2pNP2R/2P4Q/1P1NBPP1/R3K3 b Qkq -,b7c8
r1b2rk1/4bppp/ppn1p3/2p3N1/2P2P1N/1PB5/P1qPQ1PP/R4RK1 b - -,c6d4
1r1rn1k1/1p3p1p/4b1p1/P2Nn1q1/2p1p3/1N2P3/1Q1RBPPP/3R3K w - -,b3c5
r7/6pk/p3Rp2/1pN3p1/1Pnr4/P5P1/5P1P/2R3K1 b - -,c4a3
8/8/4pk2/R7/4PK2/5P2/8/1r6 w - -,a5a7
4rrk1/ppp2p2/nq4bp/1N1p4/1PP2Q2/P4B1P/6P1/2R1R1K1 w - -,g1h1
r4rk1/pp1n1ppp/1qp1p3/4Pn2/2P1Q3/1P3P1P/PB4P1/RN1R2K1 w - -,g1h2
8/7p/p7/2R2p2/5P1k/7P/r5PK/8 b - -,h7h5
2r4r/1p3k2/p3R1p1/7p/3Bp1n1/2P5/PPN4P/7K w - -,e6b6
rnb1k2r/pp2pnbp/1qpp2p1/5p2/2BP1B1P/2N1PN2/PPP2PP1/1R1QK2R b Kkq -,d6d5
3b2n1/2q2pk1/2pnp1p1/p2pN3/P2P1PP1/1PBBQP2/6K1/8 b - -,g8e7
r1bq1rk1/ppp2ppp/4p3/2PpP3/3P4/2NBP1b1/PP6/R2QK2R w KQ -,e1d2
3r3k/1pn1brpq/p1p1p2p/P3P1p1/3PQ3/2B1NPP1/1P4KP/R4R2 w - -,a1d1
8/8/p1k5/Pb6/1P4B1/4p1K1/8/8 w - -,g3f3
r3r1k1/p1p1qppp/2p2n2/4p1B1/2P5/P1Q2NPb/1P2PP1P/3RK2R w K -,f3d2
2k5/p2p1R2/8/2p3p1/2Pn4/1P1B2q1/P5r1/1KB2R2 w - -,f1d1
5k2/pp3pp1/7p/1N1p4/1P6/P5PP/5P2/3b2K1 w - -,b5a7
8/p7/6p1/1R4N1/6k1/6b1/5r2/5K2 w - -,f1g1
r1qn1rk1/3b3p/3p1pp1/1ppPp3/4Pn2/1PP1N2P/2BQ1PPK/R3R1N1 w - -,a1a8
2r1r1k1/1p1qpp2/n2p1bp1/pN1P1n1p/2P2P2/1P3BPP/P3QBK1/3RR3 w - -,g3g4
4k1r1/5p2/2r5/pp1pPRp1/2nP3p/P1PN1K2/1P4PP/2B5 b - -,g5g4
5r2/1p1r3k/pR1p4/P1pP1p1p/8/2P1B2B/2P2P1K/8 b - -,h7g7
8/8/4nk2/5p2/7p/5K1P/8/5R2 b - -,e6g5
r1bq1rk1/2p2pb1/p1np1np1/1p2P2p/4PN1P/2N1BP2/PPPQ2P1/2KR1B1R b - -,c6e5
2rqk2r/1p3p2/p5p1/P1pPpbbp/1PP5/5P2/4BBPP/R2Q1RK1 b k b3,g5e7
r3k2r/p3q3/2Pp4/1p2p1b1/1P2P1b1/1NPB1pPp/P1Q2Kn1/R4N1R b kq -,e7c7
r2q1rk1/1p1bbppp/p1Npp3/2n5/4P1P1/1BN1B3/PPP1QP1P/2KR2R1 b - -,c5b3
6r1/r3kpp1/2n1p2p/p1PpP3/7P/3Q4/2P2PP1/1R4K1 b - -,a5a4
1r6/1b6/8/8/1R6/PB1P3P/2Pk2P1/6K1 w - -,b3d5
4b3/2b5/pp2pk2/7p/3K4/3N1B2/PP6/8 w - -,b2b3
1br3k1/1b3ppp/p2q4/1p1p4/4r2Q/1PB1P1NP/5PP1/2R2RK1 w - -,h4g5
2r3k1/p4r1p/2p2bp1/2BpP3/8/1PP4P/P3RPP1/4R1K1 b - -,f6g7
rnbq1rk1/p1p1bppp/1p1ppn2/8/3PP3/3B1N2/PPP1QPPP/RNB2RK1 b - -,c8b7
r2q1rk1/2p3bp/1p1pp1p1/p1n5/P1P5/2B3P1/1PQ1PPNP/R4RK1 w - -,c3g7
8/p7/3kp1p1/1p6/2pP1rNQ/2P5/PPB3K1/8 b - -,f4f7
8/R4pk1/p2pN1p1/3r4/1P6/2Pn3P/6P1/6K1 b - -,g7f6
6k1/pp3pp1/2pq1n1p/3p4/3P4/2PB2P1/PP1Q1PKP/8 b - -,g8f8
r1bq1rk1/ppp2pbp/2np1np1/4p3/3PP3/2P2N2/PP1NBPPP/R1BQR1K1 b - -,f6h5
rnbqkb1r/pp2pppp/5n2/3p4/3P4/2N4P/PPP2PP1/R1BQKBNR b KQkq -,c8f5
r4rk1/pp2bppp/1qn1pn2/1B1p1b2/3P1B2/1QP2N1P/PP1N1PP1/R3K2R w KQ -,e1g1
2b1nrk1/p3pp1p/1q1p2p1/1N6/2PQ4/1P4P1/4PPBP/5RK1 b - -,c8d7
3Q4/5ppk/7p/2pN4/p6P/3q2P1/5P2/5K2 w - -,f1g1
r2q1rk1/1b3pb1/p2p1npp/1pnPp3/4P3/P1N1BP2/1PQ1BNPP/R3K2R b KQ -,a8c8
4k3/1R3p2/6p1/6P1/4pP2/1p2P3/1r6/3K4 w - -,b7b4
3n4/3P1k2/3K1p2/pp4p1/3P1pP1/P4N2/5P2/8 w - a6,d4d5
1rbqk2r/pp3pbp/2npp1pB/2p5/4P3/2PP1BP1/PP1Q1P1P/R2NK2R b KQk -,e8g8
8/2P5/8/5K2/4n3/k7/8/8 b - -,e4d6
3r1rk1/pp3pp1/1np1p2p/7N/2PP1q1P/7R/PP2QPP1/K2R4 b - -,f4f5
1rb2rk1/pp1Nq3/7n/1pbP1p2/P4N1P/7P/1BQ3B1/R4R1K b - -,c8d7
5k2/1pp5/3p1nQ1/p2PpP2/2P5/1P2q3/P1K1N3/8 w - -,g6f6
r2q1rk1/3n1ppp/p3pn2/1pb5/8/1PN1PN2/PB3PPP/R2Q1RK1 w - -,d1e2
r2b2k1/1p4q1/1PNp1n2/3Pp2p/4Ppp1/1Q3P2/1P3NPP/5R1K b - -,f6d7
r1bq1bk1/pp4r1/3p1n2/1N1Pp2p/P3Pppn/1Q3P1P/1PRBBNP1/2R3K1 w - -,h3g4
1R6/P4pk1/2b3p1/7p/4NP1r/5P2/2PK4/8 w - -,d2e3
4r3/p4p2/6k1/2pNp3/2B1N1P1/1P6/P5KP/8 b - -,g6h6
r2q1rk1/1pp3p1/p1np1n1p/3Pp3/1P2P3/P1N2N1P/2P3P1/R2Q1RK1 b - -,c6e7
3r2k1/6p1/1p1b2P1/8/2Q5/p7/6K1/8 b - -,g8h8
r1bqk2r/2bn1ppp/1p2pn2/pPP5/P1N5/4PN2/1B3PPP/R2QKB1R b KQkq -,d7c5
2r1r1k1/1pp2pb1/1n4p1/p1B5/P7/1B6/1P3PPP/3R1RK1 b - -,c8d8
3r2k1/5b1p/2p1pBp1/2p5/2P2P2/1P5R/r2Q2PP/1R4K1 b - -,d8d2
r4rk1/1pqbnppp/p1n1p3/3pP3/3N1PP1/5N2/PPPQ3P/2KR1B1R w - -,f1d3
r1b1kb1r/pp3ppp/2n1pn2/2pq4/3P4/N1P1BN2/PP3PPP/R2QKB1R b KQkq -,c5d4
r2q1rk1/1p2bppp/2npbn2/p3p3/N3P3/1N2BP2/PPP1B1PP/R2QK2R w KQ -,c2c4
7R/p2r2kp/5p2/3n4/P2NK3/1P3P2/6P1/8 w - -,h8c8
3r1r1k/1p4pp/8/1Pb1Bb2/p1Bp1P2/P5K1/6PP/3R3R w - -,c4d3
r3qrk1/pb2bppp/1p2pn2/n1pP4/2p1P3/P1N1BNPB/1PQ2P1P/R3R1K1 b - -,e6d5
r1bqk2r/pp1n1ppp/2n1p3/2bpP3/3N1P2/2N1B3/PPP3PP/R2QKB1R w KQkq -,d1d2
rn1qkb1r/p4pnp/bpp1p1pB/3pP2P/3P4/2N2B2/PPPQ1PP1/R3K1NR b KQkq -,g6h5
2kr1r2/pqnn1p2/2NQp1pp/Pp1pP3/5P2/2P2N2/1P4PP/R4RK1 b - -,d7e5
5k2/pp4R1/8/4B3/3p4/3rp3/PP4P1/5K2 w - -,g7b7
r7/2BBbk2/1p5p/rNp2pp1/8/P5P1/4PP1P/3R2K1 w - -,d7c6
r4rk1/1pq4p/2p1Qbp1/p7/5Pn1/1PB3P1/P5BP/3R1RK1 b - -,f8f7
1r4k1/5pb1/2r1p2p/1P2n3/2p1PB2/q6P/N4QP1/1R1R3K b - -,c6d6
3q1rk1/1p1n1ppp/p2p1b2/3QnN2/4PB2/6PP/PPP5/2K2B1R w - -,f1e2
1R6/p2r3k/2p5/4B1p1/5n1p/P1R5/1PP2r2/1K6 b - -,f4g6
8/p2b4/3k2p1/5p1p/pP1K1P1P/6P1/8/1N6 w - -,b1a3
r2q1r1k/bppb2pp/p1np1n2/3Np1B1/1P2P3/1BPQ1N2/P4PPP/R4RK1 w - -,a2a4
r1bqrbk1/1ppp1ppp/4pn2/p1nP4/2P5/P1N1P1P1/1P2NPBP/R1BQK2R w KQ -,b2b3
3r2k1/3Pp2p/1p4p1/pKbPp3/8/8/P4PPP/7R w - -,b5c6
8/4k1pp/br2pp2/R7/2prP3/4NP2/1PR2KPP/8 w - -,f2e1
1R2Q3/pp1r1qkp/2p3p1/8/5P2/7P/P5PK/8 w - -,e8h8
r7/p5k1/1p2p3/6p1/2pPp3/2P1P3/PP4PP/5RK1 w - -,h2h4
6k1/1RR2p1p/6p1/8/3r4/1b3BP1/1r3P1P/6K1 b - -,d4d3
2br2k1/1pp2pbp/2n3p1/4p3/7P/B2P1NP1/P1R1PPB1/6K1 b - h3,c8d7
1r3k2/pp3b1p/5rp1/4Rp2/8/1P1B1P2/P1P3PP/2K1R3 w - -,c1d2
r1q2rk1/p4ppp/np3n2/2pp4/P2P4/2PQPN2/5PPP/R1B1K2R w KQ c6,c1a3
r7/pp3R2/3kn2Q/3pq3/8/4r3/P5P1/3R2K1 w - -,h6h4
5bk1/ppp5/3p2pp/3P4/2P3P1/2Nb4/PP3KNr/4R3 b - -,f8g7
8/1R3k2/5p2/5Kp1/6Pp/7P/5P2/6n1 b - -,f7e8
6k1/3n1p2/pp4p1/7p/1PP5/P1Q2N1P/5KP1/3q4 b - -,d1d6
4nk1r/2p2pp1/1p4p1/nNqPp3/2P1P3/3B2P1/5QKP/R7 b - -,c5f2
2k5/1q6/n6p/p2Q2p1/P2N4/6P1/5PK1/8 w - -,d5c6
r1k3nr/ppp2pb1/4b1pp/3N4/2P1P1n1/4BN2/PP4PP/2KR1B1R w - -,e3g1
r1br2k1/1pqnbppp/p1npp3/8/4P1PP/1NN1BP2/PPP2Q2/2KR1B1R b - g3,b7b5
2n5/2k5/1p3ppp/1K6/1PP2P2/6P1/2N4P/8 w - -,c4c5
3rb3/6k1/5pp1/5q1p/1p1p1N1P/6Q1/1P3PP1/3R2K1 w - -,f4d3
3R4/p7/r3p3/2k1n1p1/1p4P1/1P6/P3KN2/8 w - -,d8d2
r4rk1/pp1nbpp1/1qp1pn1p/3p1b2/2PP4/4PNB1/PP1NBPPP/R1Q2RK1 b - c3,f6e4
r1bq1rk1/1p2npp1/p2p3p/2bPp3/2P5/3B1N1P/PP1B1PP1/R2Q1RK1 w - -,d2c3
8/pp2k3/2p4p/4KP2/7R/8/PP1r3P/8 b - -,d2e2
1r2r3/4q1kp/pNpn2p1/P2p1p2/1PpP4/4PP1P/2Q3P1/1R2R1K1 w - -,b6a4
3rb1k1/6p1/4p2p/ppP1q3/5p2/Q4P2/P2R2PP/2B2K2 b - -,d8c8
r4r1k/ppp1p3/1n2P1pp/4b3/3q2P1/1QN4P/PP3PB1/R4RK1 w - -,c3e2
8/1ppbnkp1/1b1p2q1/pP1Pp3/P5Pr/4PBN1/1B3PK1/R2Q4 w - -,d1b3
3r2k1/p2rnp1p/1p1q2p1/3P4/QP2B3/P3R1PP/5P2/3R2K1 b - -,d6f6
2rqk2r/5pp1/p4n1p/1pb1NQ2/3p4/1N4P1/PP2PPKP/R4R2 b k -,d8d5
8/pB1k1ppp/4p3/1pP5/Pn3P2/6P1/5K1P/8 w - -,a4b5
2rq1r1k/pp1nn1bp/2p1ppp1/3pP3/3P1P2/1BP3QP/PP2NBP1/R3R1K1 b - -,f6e5
3k4/5ppp/p1r1n3/2B5/PP6/7P/5PP1/3R1K2 b - -,d8c7
r1bq1rk1/pp3ppp/2n2n2/2bp4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,a2a3:c1f4:c1g5:c3a4
3k4/Bp5p/2b1p3/6N1/8/P1P5/2P3nP/2K5 b - -,d8e7
r1b1k2r/pp1nqpb1/2pp1npp/4p3/3PPPP1/2N1B2P/PPP1N1B1/R2QK2R w KQkq -,d1d2
r1r3k1/5ppp/2p1p3/3pP2q/1Pb5/pR2QN2/P1P2PPP/3R2K1 w - -,b3a3
8/5pk1/p3p1n1/2N5/3r2P1/P1R1R3/1P3K2/6r1 b - -,d4g4
3qrbk1/5pp1/2Q2n1p/4pb2/2Np4/3P2P1/3BPPBP/R4K2 b - -,e5e4
5rk1/pr1qbppp/1p2p3/2p1P3/P1P1pPP1/2B1P3/2P1Q2P/R4RK1 b - g3,a7a6
2rqr1k1/p3n2p/1p4p1/2ppbp2/4PB2/2PP2PP/PP2Q1B1/3R1RK1 b - -,e5g7
3r1rqk/3P2pp/8/1p2pbN1/nQ5R/4B2P/5PP1/3R2K1 w - -,g2g4
2r3k1/3n3p/6p1/5p2/4p3/4P1PP/5P2/1R3NK1 w - -,g3g4
3rb1k1/rp2qppp/2p1p3/2PnN3/P2P4/1Q4P1/5PBP/R2R2K1 w - -,e5c4
8/2k5/1p3R2/1P1p4/2pP3K/8/3r4/8 w - -,f6f7
r6k/2Bb1np1/p1p4p/5p2/P3p3/4P3/5PPP/1RR3K1 w - -,a4a5
8/4kp2/1n1b4/2p4R/8/8/PP4PP/7K w - c6,b2b3
r1bq1rk1/p3ppbp/1p3npB/3p4/3P4/1B3P2/PPPQN1PP/R4RK1 b - -,c8a6
r3r1k1/1b2bppp/pq3n2/1pp5/2pp1BP1/5N1P/PPQ2PB1/1N1RR1K1 b - -,f6d5
7r/p1k2p2/2n5/1BP2p2/1P1ppb1p/P4P1P/4KP2/R2R4 w - -,f3e4
8/1p2r2p/8/PP1R2P1/7P/8/2kp1K2/8 w - -,d5c5
r1b2rk1/2p1p1bp/p1nqp1p1/1p5P/3P4/1QN1PN2/PP4P1/3RKB1R w K -,h5g6
4R3/p4k2/1p6/5r2/8/8/4K3/8 w - -,e8e4
2kr3r/pppq1pp1/1n2p1p1/3n4/3PN1P1/4P2P/PP1b1PB1/R2Q1RK1 w - -,d1d2
4r1k1/ppr1qbpp/8/2n1p3/4P1B1/P5P1/1QRNP1KP/2R5 w - -,b2b4
8/5pkp/8/8/3R4/r2P3P/6PK/8 w - -,h2g3
1r1qr1k1/p2b1pb1/3p2p1/Pp1P4/1BppPP2/3P2Pp/1P4BP/R2Q1RK1 w - -,g2f3
2r2r2/1p2p1kp/pq1p1np1/5b2/2P2P2/1PN2B2/P2Q2PP/R3R2K b - -,e7e6
r2q1rk1/1p2nbpp/2pbnp2/3pp2P/p3P1PN/3PB3/PPP1QPBN/R4RK1 w - -,a2a3
r1b1r1k1/1pqnbppp/5n2/pPp1p3/2P1N3/3PB1P1/P2NQPBP/3R1RK1 b - -,f6e4
r2qkb1r/ppp3pp/2nn1p2/5b2/5B2/5N2/PPPQ1PPP/RN2KB1R w KQkq -,b1c3
r6k/pb1q3p/1pp1p1r1/4Pp2/3P1R2/4P3/PPQ3BP/R6K w - -,g2f3
r1br2k1/p3np1p/q3pbp1/1p6/2PP4/1BB1RN1P/P4PP1/R2Q2K1 w - -,d1e2
2rq1rk1/p4pbp/2n1b1p1/3p4/1ppP1BP1/2P5/PP1N1PBP/R2QR1K1 w - -,h2h3
8/4B3/6kn/2p3P1/8/2K5/8/8 w - -,g5h6
r4rk1/3Q2pp/p3p3/8/1p2pP2/1R4P1/1PPK3P/q2R4 b - -,a1d1
4r3/2pbrpk1/pp1p1Rpp/3Pn3/2P1P3/2P1N3/P3B1P1/5RK1 b - -,e8b8
3r2k1/pp3rbp/2p5/4p3/2PqQ3/BP3pPP/P4P2/2R2BK1 w - -,e4b1
2kr3r/1bpn1pb1/1p1p1q1p/pB1Pp1p1/N3P3/5PP1/PPPQ1BP1/2KR3R b - -,d7c5
