3r4/8/p4k1p/2PK2p1/4R1p1/8/PP5P/8 w - -,d5c4
r4rk1/1p3pp1/p4n1p/4pp2/3b4/2N2Q2/PPP2PPP/3R2K1 w - -,f3f5
R3N3/5pkp/6p1/6P1/1r6/1p5P/1KP3n1/8 b - -,g7f8
r1bq1rk1/bpp2ppp/p4n2/P3p3/1PB4N/1QPnBN2/5PPP/R4RK1 b - -,a7e3
r1bqk1nr/ppp2ppp/2n5/8/1bBpP3/1Q3N2/P4PPP/RNB2RK1 b kq -,d8e7
3nk3/p2r4/1p2ppp1/1Pr1p2p/2P1P2P/2NP1PP1/1R2K3/R7 w - -,b2a2
r1bqnr2/1p1n2bk/3p3p/p1pPpp2/2P2P2/2N1B1PP/PP1N2BK/2RQR3 w - -,d2f3
1r3rk1/2q2pbp/p1npp1p1/2n5/2P1PN2/1P3N1P/1P2QPP1/1RBR2K1 w - -,c1e3
r3kbnr/pp1b1ppp/4p1q1/3pP3/3N4/2N1B3/PP2QPPP/R2R2K1 b kq -,a7a6
r4nk1/1q3p2/1np3p1/2RpPpPp/1Q1P1P2/1P2B2P/2P3B1/6K1 w - -,c5a5
1R1b3r/8/p1kprp2/2p3p1/2K1P1P1/P1P2PB1/8/1R6 b - -,h8h3
r2q1rk1/3nbppp/p2pb3/1p6/4PB2/2NB4/PPPQ2PP/R4R1K w - -,c3d5
2rq1rk1/2nb1pbp/2p1p1p1/pn6/Np1PPN2/1P2BPPB/P2Q3P/2RR2K1 w - -,d2f2
r3kb1r/pp3p2/1q2p1n1/4P1p1/2B1p1P1/8/PPP2R1P/R1BQN1K1 w kq -,e1g2
2kr3r/Qpp1bqp1/2p4n/3bPp2/1P3P1p/2P1B3/P3B1PP/RN3RK1 w - -,f1d1
r1bq1rk1/1p2ppbp/3p1np1/p7/Pn2PP2/1NN1B3/1PP1B1PP/R2QK2R w KQ -,e2f3
8/R5p1/4b1kp/p1r1P3/8/5N2/5KPP/8 b - -,e6d5
2rq1nrk/1b5p/p3p3/2ppPpb1/5N2/1P2R1Q1/P1PN1PPP/3R3K b - -,g5f4
2rq1rk1/p2n1ppp/1p1bp3/2p5/2PPb3/1P3N2/PB2QPPP/2RR2K1 w - -,e2e4
3nbk2/pp4pp/3qpp2/8/3pPP2/PQ1P2PB/7P/2R3K1 w - -,g1f2
8/5kp1/2R4p/4pK2/2P3P1/5PP1/8/4r3 b - -,e1f1
r2q2k1/pp1nbrpp/3p4/1PpP4/Q3B3/6PP/1P1B1P2/R4RK1 w - -,a4c2
8/R6p/1pk1p3/1r5r/8/4PR1P/P3K3/8 b - -,b5a5
r3r1k1/2pb2pp/1p1q1p2/p1nPp3/2P4N/P3Q1R1/1P2BPPP/4R1K1 b - -,f6f5
r1b1k2r/ppq2p1p/1npbp3/4P2p/2PP4/5Q2/PP4PP/R1B2RK1 w kq -,e5d6
2Q5/4b3/3q1k2/6p1/1P4Bp/2P5/2K5/8 b - -,f6g7
r3k2r/pppqnpb1/2npb1pp/1P2p3/2P5/2NP1NP1/P3PPBP/1RBQ1RK1 b kq -,c6d8
r1bqk2r/1p2ppbp/p1np1np1/8/3NP3/2N1BP2/PPPQB1PP/R3K2R b KQkq -,d8c7:c8d7
r2qrbk1/1bp2pp1/2n2n1p/1p1pp3/1p2P3/PBPP1N2/1BQN1PPP/R3R1K1 w - -,c3b4
8/8/8/1k1bp2p/3b4/8/6PK/3BB3 b - -,d5f7
r1bq1rn1/1p3pbk/p1pp2pp/8/2PnPN2/2NPB1P1/PP1Q1RBP/5RK1 w - -,f4e2
r1b1r1k1/2p1pp1p/1np3p1/p1q5/8/2P1P1P1/P4PBP/R1BQR1K1 w - -,d1d4
r4rk1/p2bqppp/1pp2n2/4n3/1P1N4/4P2P/P1QNBPP1/R1R3K1 b - b3,e7b4
r6r/1p2qpk1/5np1/p1bP2n1/4p3/PPN1P3/2QN1P2/R1B2KR1 b - -,c5e3
4k3/7R/p7/8/8/7P/r4PPK/8 w - -,h2g3
8/2n1kp1p/2B2p2/1P6/2N5/2b1P1PP/5P2/5K2 w - -,f1e2
8/8/8/PK4Pr/3k4/8/8/8 b - -,h5g5
3r2k1/1R4pp/5b2/p7/2np4/P4NP1/6KP/1N6 b - -,d4d3
8/1r6/3pk1R1/4p3/8/3K4/2P2pp1/8 b - -,e6f5
6k1/1R6/6K1/7P/5P2/8/7r/8 b - -,h2g2
6k1/ppp1R3/6rp/3p4/3P4/2P2pR1/r4P2/6K1 b - -,g6g3
Q7/8/3R3p/8/6q1/P7/4k3/5n1K b - -,g4h3
r4k2/2p2p2/p2p3b/Pp1Pp3/1r6/3R1PNp/1PP1K3/7R w - -,h1h3
2rqnrk1/1b1n1pbp/p2p2p1/Pp1Pp3/1P2P3/5NP1/1B1N1PBP/R2QR1K1 w - -,h2h4
8/5kpp/5p2/1pBp4/p1b2P2/P1P1K1P1/1P5P/8 b - -,c4b3
r1b2rk1/ppq1bppp/3p1n2/4p3/2R1PP2/2N1BQ2/PPP3PP/2K2BR1 b - -,c7d7
r1bqkb1r/ppp2pp1/5n1p/3p4/1n1P3B/2NB4/PPP1NPPP/R2QK2R b KQkq -,c7c6
3rk2r/bb3pp1/p1pq1n2/P3pP2/2B1P3/RN4Pp/1P1BQ2P/5R1K w k -,d2g5
5rk1/4bqpp/p2p1n2/P2bp3/1B6/4QP2/7P/1R2NR1K w - -,b4c3
8/8/6p1/2Q4p/1p2qp1P/1Pk5/P5P1/5K2 b - -,c3b2
1r2rnk1/1Rq5/p2b1np1/P1pPp2p/2P1P2P/3N2PB/1Q1BK3/1R6 b - -,b8b7
8/1n1K4/1P6/4N3/8/7k/8/8 b - -,h3g3
5rk1/p2qppbp/6p1/2QpP3/P2P4/Rr3P2/5PKP/2B1R3 b - -,b3b7
r2nk2r/1bq1bppp/pp2p3/2p1NPN1/3Pp3/2P1P3/PP4PP/R1BQ1RK1 w kq -,d1h5
2r4r/pp2qpk1/1n1p1npb/2pPp1Np/2P1P2P/PP4P1/3NQPK1/R1B4R b - -,b6d7
6k1/3Q1pp1/1p5p/3p4/3Pq1P1/1RP3bP/PKn5/2B5 w - -,d7c8
2rq1rk1/p3ppbp/1pn1b1p1/2Rp4/3P4/4PN2/PP1BBPPP/3Q1RK1 w - -,c5c1
r1bqk1nr/ppp2pbp/2n3p1/4p3/2Pp4/N2P1NP1/PP2PPBP/R1BQ1RK1 b kq -,g8e7
1r2k2r/2q1bpp1/B2pbn2/p3p1p1/1p2P2P/4BP2/PPPQ4/1KNR3R w k -,h4g5
r1b1qr1k/p5b1/npp5/3p3p/3P1p2/1N2PQPp/1P3P2/R1BR1BK1 w - -,e3f4
2br1nk1/r3n3/p4q1p/1p1p2p1/2pP4/2P2NB1/P1BQ1PPP/4RRK1 b - -,e7g6
7r/5p2/1p1k4/pb1p1pPp/3P1N2/PP3P2/3K4/7R w - -,h1h5
8/8/8/6p1/8/N2p4/2k5/1q1RK3 b - -,c2b2
2r2Nk1/5p2/4p1p1/4P3/1bpn1N1P/8/2B2PP1/R5K1 w - -,f8d7
1k1r1b1r/ppp2p1p/1qn1pp2/8/3P4/2BQ1N2/PPP2PPP/2KR3R w - -,d3e2
r4rk1/ppp3pp/3p4/2B2bq1/2P3P1/1P3P2/PQ4BP/3RR1K1 b - -,d6c5
r2qkb1r/4pppp/p4n2/np1p1b2/3P1B2/2N1PN2/PP3PPP/2RQKB1R b Kkq -,a5c4
r1b1k1nr/pp3pbp/2npp1p1/q1p5/4P3/2NPB1P1/PPPQ1PBP/R3K1NR w KQkq -,g1e2
5r1k/3R2b1/p2n1q1p/8/5N2/1P6/5PQP/3R1K2 b - -,f8f7
2r2rk1/1bq1bppp/p1npp3/1pp4P/3nPP2/P1NPB1P1/1PPQ2BN/R3R1K1 w - -,h2g4
2r5/5k1p/p3p3/1pB3p1/1P2Pn2/P6P/6P1/5RK1 w - g6,g2g3
r2qkb1r/1b1n1ppp/2n1p3/p1ppP3/1p1P4/2P1BNP1/PP2NPBP/R2QK2R w KQkq -,e1g1
2r2rk1/Qp1qbppp/p2p1n2/B2Pp3/2P5/5N2/PP3PPP/2RR2K1 b - -,f6e4
8/kpRr3p/3Qp3/5r2/b2p3P/5B2/PPP2qP1/2K4R w - -,d6d7
3rqrk1/3Qpp1p/6p1/1RP1b3/P1n5/6P1/4PPNP/3R2K1 w - -,d7d8
r2r4/1pk2p1p/2p1bp2/4p3/p1PbP3/Pn6/1PR2PPP/1B1NNR1K b - -,d4c5
rRr3k1/4bppp/4p1n1/3n4/q2PN2P/5N2/4QPPB/1R4K1 w - -,b8b7
2r3k1/3r2pp/8/pp2Bp2/P1pP4/6P1/4PP1P/2R2K2 w - -,a4b5
3r4/p3k1p1/2p1pp2/3N3p/2N4P/Pn2PKP1/RPn2P2/6R1 b - -,c6d5
8/8/pk6/1n6/8/1K1r4/8/6R1 w - -,b3b2
1k6/pp6/4p3/3PPp1p/6q1/P1p5/3n2RP/2B2RK1 b - -,g4d4
r1b2rk1/3n1ppp/1p1q1b2/pP1p4/3p4/PN1B4/2QB1PPP/2R1R1K1 w - -,d3h7
8/4q3/P6p/5p1k/5P2/5P1K/8/1Q6 b - -,h5g6
4R3/8/8/3k4/5n2/7r/3K4/8 w - -,e8a8
6k1/2b5/6Np/8/P1K2PP1/8/8/8 b - -,g8f7
1r3rk1/p1p3p1/2p4p/4Qp2/2P3P1/P7/1P4q1/2KR1R2 w - -,g4f5
2b5/3q1k1p/3p2p1/2pP4/3r1P2/6QP/6B1/4R2K w - -,g3h4
3r1rk1/ppq3bp/2n1bpp1/2p5/2N1Pn2/2P2NP1/PP2Q1BP/3R1RK1 w - -,g3f4
6k1/1pR5/4q1rR/p3p1P1/4P3/5Q2/PP5P/6K1 b - -,g6h6
r2b1rk1/pp3ppp/2n5/5b2/2B1N3/P4P2/1PP3PP/2KR2NR w - -,e4d6
3r2k1/p4pp1/3q1n1p/2Q5/Pr2pN2/4P2P/2R2PP1/2R3K1 w - -,c5a7
2rq1rk1/1p1nbpp1/2p1pn1p/p2p4/2P3b1/PP1P1NP1/1B1NPPBP/2RQ1RK1 w - a6,d1c2
r1b2b1r/pp1nk1pp/1qn1N3/2ppp2Q/3P4/2PB4/PP1N1PPP/R1B1K2R w KQ -,d4c5
2rq1rk1/p2nb1pp/2p1b3/Pp6/3PNB2/2P2BP1/7P/R2Q1RK1 w - -,e4d6
r3kbr1/2qb1p2/p1pppp2/7p/PP2P3/2NQN3/2P2PPP/R4RK1 b q -,f8h6
rnbq1rk1/ppppppbp/5np1/8/5P2/1P3N2/PBPPP1PP/RN1QKB1R w KQ -,e2e3
rn1q1rk1/pbppppbp/1p3np1/8/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w - -,f1e1:d2d4:d2d3
2B4k/7p/2pp3p/4p3/8/2PP3q/PP2R2N/5RK1 b - -,h3c8
r3kb1r/pppq1ppp/1nn1p3/3bP3/3P4/2NBBN2/PP3PPP/R2Q1RK1 w kq -,a1c1
8/6pp/2pk1p2/1r2p3/R3P3/2P1P1P1/2K4P/8 b - -,b5b7
6k1/1p1r1p2/6p1/1R5p/5P1P/1P6/5K2/8 b - -,g8g7
rn1q1rk1/1b2ppbp/2pp1np1/8/p2P4/1PN2NP1/1B2PPBP/R2Q1RK1 w - -,b3a4
4r1k1/r4pbp/pn1q2p1/1pp1pP2/4B3/PP2BQ1P/6P1/1R3R1K w - -,b1c1
6k1/2r2p1p/8/pp1B1p2/3P4/4P1P1/PP3P1P/3R2K1 w - -,e3e4
2r3k1/p3p2p/4pb2/3qn1p1/6P1/1Ppp1PBP/P3P3/2RQ1RK1 w - -,g3e5
4r1k1/5pp1/p7/2P1p3/2N1b2q/P1Q3rP/2R3R1/6BK w - -,c4e3
2r1k2r/qp1bbp1p/p1nppp2/8/3NP3/1P4P1/P1P1NPBP/R2Q1RK1 b k -,c6d4
r2q1rk1/ppp2pbp/2n3p1/4p2n/2QPP3/2N1BP2/PP3P1P/3RKB1R w K e6,d4e5
r7/1p6/2p1R3/2P2p2/PK5P/1P1k4/8/8 w - -,e6f6
2N5/7p/1p2P3/2p1kP2/3n4/P4K2/8/8 w - -,f3f2
8/p4k2/1p6/6p1/P2B3p/2P3bP/1P2r1P1/1R5K w - g6,h1g1
r1b5/1p3rkp/2p2pp1/p3pP2/1q1pP1PP/2PP4/PP1QN3/2K3RR b - -,d4c3
8/2p3pp/1p3p2/pPbkn3/P4R2/3K2PP/8/8 w - -,d3c3
2kr2r1/pb1n1p2/1ppbpq1p/3p4/3P1P1p/3BQN2/PPP1N1PP/2KR1R2 w - -,f1f2
r1nqr1k1/pp1b2bp/n5p1/2pP1p2/4NB2/1P3PP1/P3N1BP/R2Q1RK1 w - -,e4c3
4r1k1/5p2/1n5p/1b2q1p1/2pr4/1P1p2N1/P2Q1PPP/1BRR2K1 b - -,e5d6
4b1k1/1p2rp1p/p1p2qpP/2P5/PP6/5BP1/5P2/2QR2K1 w - -,g1g2
r3rbk1/2qn1ppp/2p5/1p2nN2/p3PBP1/P6P/1PP2QB1/3R1RK1 w - -,f2g3
r2r2k1/5p1p/2pp2p1/pp5n/1Pb1P3/P1N3PP/2P2P2/3RRBK1 b - -,c4f1
3r1rk1/1p2bpp1/pNqpb2p/P3p2n/4P3/1P2NP2/2PQ2PP/R2RB2K w - -,g2g4
3r2k1/pbqrbp1p/1p2p1p1/3nP3/P1p1NP2/1PP3PP/2Q3B1/R1B1R1K1 w - -,b3b4
r4rk1/1bq2ppp/p2b1n2/1p2pP2/P1P1P3/3BB3/2PNQ1PP/R4R1K b - -,b5c4
5Q2/pp5k/3p4/2p2Pb1/2P2qPp/1P5P/P2p2K1/5N2 w - -,f8f7
r1b1q1k1/2p2r1p/1pn5/1p3pp1/2PRp1P1/8/PB1QPPBP/5RK1 b - -,a8a2
5bk1/5p1p/6p1/3NQ3/4P3/1p1P3P/2q2PPK/8 w - -,d5f6
r3k2r/1bqnbppp/pp1ppn2/8/1PP5/P1N1P3/1BQNBPPP/2R2RK1 b kq -,e8g8
1n2b3/8/1r2k3/3pNpp1/prpP4/2K1P1P1/RPB2P2/7R b - -,b8d7
4nqrk/1R3p1p/p2p2pb/3Pp3/2P1P1b1/5NPP/2Q1NPB1/6K1 b - -,g4f3
rn2k2r/pp4p1/4ppp1/3p4/1b1P2PP/3BBP2/PPP5/2KR3R b kq -,e8f7
8/8/p7/B2p1k2/3P2p1/1P2PnK1/8/8 w - -,a5b4
2r3k1/5p2/6p1/1q5p/p1pQP2P/P1R2KP1/5P2/8 b - -,b5b7
8/3k4/8/1r3pRp/2p5/4P1P1/5PK1/8 w - -,g5h5
2R5/8/8/7p/5P2/1p2K3/1kb5/8 w - -,e3d2
8/pp1rrn1k/6qb/P3p1pp/1RNpP3/3P3P/4QPPB/1R4K1 w - -,b4b5
r1bqk2r/1ppn1ppp/3p1n2/8/1bPB4/1p3NP1/P3PPBP/RN1Q1RK1 w kq -,a2b3
r2q1rk1/pp1bppbp/2np1np1/8/2P5/1P4P1/PBN1PPBP/RN1Q1RK1 b - -,d8a5
5r1k/1p4bp/p3p3/P5Q1/2BP1P2/3K1R2/2P3pq/4R3 b - -,h7h6
r1b1r1k1/ppnq2b1/2p1p1Q1/4P1NP/2N1B3/3P2P1/P4P2/5RK1 b - -,g8f8
r2qr1k1/p1p2ppp/np3n2/3p4/1b1P4/2N1PN2/PP1B1PPP/R2Q1RK1 w - -,a1c1
r1bqk2r/pp1nppbp/2pp1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8:e7e5
r3kb1r/pp3pp1/1qn1pn1p/2pp1b2/3P1B2/2P1PN1P/PP2BPP1/RNQ2RK1 b kq -,a8c8
r2qk2r/pp1n2pp/2p1bP2/3p4/3P2Pb/1N6/PPPBB2P/R2Q1RK1 b kq -,h4f6
r4nk1/2q1r3/p1bppbp1/1p3p1p/4PP1P/P1NB3R/1PPBQ1P1/4R2K b - -,a8e8
3r2rk/p7/1p2pp1p/2p5/3p1nPN/P2P4/1PP2P2/R3R2K w - -,f2f3
r7/1r1kp3/p2p4/2P2p1p/1P1BbP1P/R5P1/1R1K4/8 w - -,d2c3
1r2k2r/p1pb1ppp/2p5/2bpP1nq/3N4/2N2P2/PPP2BPP/R2Q1RK1 w k -,c3a4
r4rk1/ppq2pbp/2npp1p1/3pP3/3P1P2/P1PBB2P/1P3QP1/2R2RK1 w - -,b2b4
4rrk1/1p1q1p1p/p2p2p1/2pPp3/3nP3/3P1N2/PP1Q1PPP/R3R1K1 w - -,f3d4
2N1r3/6k1/p5p1/2p1P2p/1rB2n2/Np6/8/4R1K1 w - -,c8d6
r1bq1r1k/ppp3pp/2np1n2/4pp2/2P5/1QbP1NP1/PP1BPPBP/2R1K2R w K -,d2c3
6k1/1p4p1/2b1p2p/p2pqr2/P1P3R1/1P1Q1P1P/2B3P1/7K w - -,d3d2
2r2r1k/1b2b1pp/1q2pP2/3n4/B1p3Q1/2Pp2N1/RP1N1PPP/4R1K1 b - -,f8f6
r2qkb1r/ppp2ppp/2n1pn2/8/Q1pP4/6P1/PP2PPBP/RNB1K2R b KQkq -,d8d7
8/1q3ppk/4pn1p/8/5PP1/7P/1R3Q1K/8 b - -,b7c7
1r2r1k1/2pb1p2/1b1p1q1p/1N1P1Pp1/1pP2p2/3Q4/1PB2PPP/R4RK1 w - -,a1e1
r2q1rk1/1p2bppp/p1n1pn2/3p2B1/3P4/P1NQPP2/1P2N1PP/2R2RK1 w - -,c3a4
r2r2k1/1q3ppp/p1n1pb2/1pN5/2n2P2/P1N1B3/1PP3PP/1R2QR1K b - -,b7c7
6k1/pb3pp1/1n3b1p/PB6/1p1Np3/4P1P1/1P1N1P1P/6K1 b - -,b6c8
r1b2rk1/1pp1q1pp/3ppn2/p1P5/1P6/P1R2NP1/4PPBP/3Q1RK1 b - -,a5b4
r4bk1/pp3p1p/2n3p1/4p3/2PpP3/3n3P/P2N1PP1/R2B1RK1 w - -,d1a4
8/7p/6p1/1p1k4/4pK2/2P1pP2/1N5P/8 b - -,e3e2
1n1q1rk1/r4ppp/p3p3/2Np1b2/p2P4/1Q2P1P1/1P2BPP1/2R2RK1 w - -,b3a4
6r1/pp6/8/4k3/4P1pP/P5K1/1P2R2P/8 w - -,e2f2
2rqk2r/pb3ppp/1ppbpn2/2n1N3/2P1P3/1P4P1/PBQN1PBP/R4RK1 b k -,d8c7
r3k2r/pp1nbpp1/2p2nb1/q2p2Bp/3P3P/2N1PP2/PP1QN1P1/2KR1B1R w kq -,e2f4
r1b2rk1/1p4p1/4pp1p/p1qpP3/P7/2PBR3/1P3PPP/R2Q2K1 w - -,d1h5
r5k1/2qnppbp/3p1np1/2pP4/Pr2P3/2N2NPP/1P3PK1/R1BQR3 w - -,d1c2
r1b1qrk1/pp2bppp/4pn2/4Q1B1/8/2N5/PPP2PPP/2KR1B1R w - -,f1b5
r1bqkb1r/1ppp1ppp/p1n5/2n1P1B1/B2p4/5N2/PPP2PPP/RN1Q1RK1 b kq -,f8e7
7r/1prnkp2/p1b1p1p1/3pP2p/3N1P2/1PP3P1/PKB2R1P/4R3 w - -,h2h3
8/4k3/4p2p/1b1pPp1B/3P1K1P/2P5/8/8 b - -,b5c4
r1b3k1/4rpp1/p4n1p/q1p1p3/3nP3/1BpPB1NP/P4PP1/R1Q2RK1 b - -,g8h7
8/7p/6pk/4pp2/1p5P/8/3NKPP1/8 b - -,h6h5
r1rb1qk1/1b3p1p/p1p1p1p1/1p1pP3/2P5/2N1P2P/PPQ1BPP1/2RR2K1 w - -,b2b3
5bk1/1p1r4/3nqp2/2BR2pp/p7/P1PQ1NP1/1P3PK1/8 w - h6,c3c4
2b2rk1/1p3pp1/5q1p/3n4/2B5/PQ6/5PP1/3RR1K1 b - -,d5f4
bq3rk1/Q4ppp/1n1p1b2/1BpP4/4P3/5N2/3N1PPP/5RK1 w - -,a7b8
r5k1/3b2pp/p3pr2/2pp4/pq1n1P1P/2QN2PB/2PP4/2K1R2R b - -,b4b5
1rb1nrk1/p2nq1bp/1p1p1pp1/PPpPp3/2N1P3/2PB1N2/3BQPPP/R4RK1 b - -,f6f5
7k/1p1q2bp/n5p1/5p2/3n2P1/6BP/Q4PB1/1R4K1 w - -,b1b7
2r1rbk1/3q1pBp/1p4bQ/p2p4/3N4/6RP/PP3PP1/4R1K1 w - -,e1e8
2bb2k1/8/8/2N4R/1P3p2/5P1p/7P/7K w - -,b4b5
4Q3/1k4p1/1p5p/6q1/2P3P1/7K/8/8 w - -,e8d7
2r5/2r5/4pb2/3p1p1k/Pp1P1P1p/1P2N3/4N2K/3R4 w - -,d1d3
r1bqk2r/ppp1npb1/2np2p1/4p3/2P1PP1p/2N3P1/PP1PN1BP/R1BQ1RK1 w kq -,d2d3
6rk/5p1p/p4p2/3q1P2/3pbQ1P/PPp1p3/2P1R1P1/3R2K1 b - -,e4g2
r1bqk2r/p2pppbp/1p2n1p1/8/2P1P3/2NBB3/PP3PPP/2RQK2R b Kkq -,c8b7
r2qk2r/1p1b1pb1/p1n1p1p1/3p3p/3P4/2PBBP2/PP1QN1PP/R4RK1 w kq -,e3g5
8/2q2bk1/1p1b2p1/p1pp4/3Pp1Bp/PNP1P2P/1P4P1/3K1Q2 b - -,f7e8
8/5p2/4p1p1/1p2P3/pP1p1P1k/P4Q2/7q/3K4 b - -,h2g1
4r1k1/1p4b1/p2p2Pp/3P1p2/3p1Pq1/3Pr3/PPP2QB1/1R2RK2 w - -,e1e3
r1b2rk1/pp2bp1p/1q1p1np1/1N1P4/2P2B2/3B3P/PP3RP1/R2Q2K1 w - -,d1f3
2kr4/p4ppp/4p3/1pp1P1P1/1n3P2/1B5P/P1P2R2/6K1 w - -,c2c4
1r2kr2/3b1pp1/2n1p2p/pp1pP2P/q1pP1RP1/P1P2Q2/2PK1P2/1RB2B2 b - -,e8e7
1Q6/5pbk/6p1/7p/7P/3p2P1/1n3P1K/2r5 w - -,b8f4
r1bq1rk1/pp2p1bp/2np1np1/5p2/Q1P5/2N2NP1/PP2PPBP/R1BR2K1 b - -,d8b6
4r3/4bkpp/2N2n2/p1p2R2/r1P5/3P4/P5PP/2B2RK1 b - -,a4a2
r2qr1k1/ppp2ppp/1nnb2b1/1B6/3p4/2P2NNP/PP3PP1/R1BQR1K1 w - -,e1e8
b7/P3k2p/6p1/R1p1p3/2N1P1P1/7r/6KP/8 b - -,h3c3
1r4k1/6bp/p2p4/2pPnQPn/1q5P/1N2Pp2/P4P2/1NK3RR b - -,c5c4
1r6/6k1/3p2p1/1P2p3/p3P1P1/2R1b3/5KP1/8 w - -,f2e3
r4nk1/1pp2pp1/p1p1r2p/5P2/4P1P1/2NP2q1/PPP5/R2Q1R1K b - -,g3h3
1r4k1/1q1nppb1/r2p2pp/1NpP4/4P3/1P1QBNPP/P3RPK1/3R4 b - -,b7b5
r2q1rk1/1pp2ppp/pnn2b2/4p3/4N1b1/1BPP1N2/PP3PPP/R1BQR1K1 w - -,h2h3
r3k2r/pp1nq1pp/2pb1n2/3p1p1b/Q4P2/1PN1P2P/P2P1N2/R1B1KBR1 w Qkq -,f1e2
2b4r/8/4pNp1/pkp1P2p/1p5P/4K1P1/PPP5/3R4 w - -,d1d6
r2q1rk1/1pp2b1p/pn1b1pp1/3P1p2/2BN1P2/1QN1P3/PP4PP/R4RK1 w - -,a1d1
