6k1/4R3/6P1/6P1/6K1/8/8/5r2 w - -,g6g7
rq1b2k1/1p3ppp/1B1p4/pB2p1P1/P3P2P/1b2QP2/1P6/1KR5 b - -,b3e6
r1b1k2r/1pq1bpp1/p2ppn1p/2n1P3/3N1P2/2N2B2/P1PQ1BPP/1R3R1K b kq -,d6e5
4k3/8/p2pb3/1p2p3/4p1p1/1PB1QqP1/P4P2/5K2 b - -,e6f5
2r2k2/1N3p1p/p1p1rPp1/3nP2q/7P/1P4Q1/1P4P1/4RRK1 w - -,b7c5
8/8/8/3N4/k1K5/6R1/8/7r b - -,h1c1
2r1r1k1/pp1b2bp/2q2pp1/3p4/3P4/2P3BP/P2Q1PP1/2R1RNK1 w - -,e1e8
3r2k1/1p3ppp/2p2n2/p1b2N2/8/2P1B1P1/PP3P1P/R5K1 b - -,c5e3
r4nk1/pp1b1rp1/4p2p/2qpP2N/8/8/PPBQ1PPP/R3R1K1 w - -,a1c1
1rn2rk1/p1q3b1/Q1npb1pp/2p5/2N1PB2/2P3P1/1P1N2BP/R3R1K1 b - -,g6g5
2b3k1/2nn3p/2pppp1B/8/NPPPP3/3B3P/3K1P2/8 w - -,h6f4
4r3/8/R3p3/4kp2/6p1/6P1/4PK2/8 w - -,a6a5
8/n7/1P6/2K5/5k2/8/2P5/8 b - -,a7c8
2r1rnk1/1p3q1p/pn6/3pPp2/2pP1N2/2N5/PPQ4P/4RR1K w - -,c2g2
2r2qk1/5p1p/4p1pP/1P1p1n2/R7/6P1/1Q3PK1/7R b - -,f5h6
rn1qk2r/1p1nb1pp/p2pp3/4p3/N1P1P3/4BN2/PP3PPP/R2QK2R b KQkq c3,b8c6
8/8/pkr5/1q2p3/1p2Pp2/1P1P4/P3R2P/3Q3K b - -,c6c3
2r3k1/1b3p1p/p3p1p1/1p1q4/3P1Q2/1P2RN2/P1r2PPP/R5K1 w - -,e3e5
2r2rk1/3b1ppp/pqnpp3/1p6/3Pn3/3QPN2/PP2BPPP/2R2RK1 w - -,d3e4
r3r1k1/1p3pp1/p1pq1n1p/3bN3/3P4/P6P/1PB2PP1/2RQR1K1 w - -,d1d3
1r3rk1/4n1b1/2p3qp/p1NpP1p1/P1nP2P1/2B5/2Q1RN1P/4R2K w - -,c5d7
rnbqk2r/1pp2ppp/4pn2/p7/1bpP4/5NP1/PP1BPPBP/RN1Q1RK1 b kq -,b8c6:e8g8
1r1qkb1r/3b1pp1/p2ppn1p/1p6/3nP1PP/2N1BP2/PPPQ4/2KR1B1R w k -,d2d4
4k3/4nR2/6P1/7B/5P2/3p4/3r4/6K1 b - -,d2b2
2b2rk1/6qn/5r1p/p1Q1N3/3BPp2/P4p2/6PP/R4RK1 w - -,e5f3
r3k2r/1bqnbppp/p2p1n2/1p2p3/4PP2/1NN2B2/PPP3PP/R1BQ1R1K w kq -,a2a3
r1b1r1k1/2qn1pbp/p1pp2p1/1P5n/4P3/1PN1N1PP/P2B1PB1/2RQR1K1 b - -,a6b5
r2q1rk1/pb1nbppp/1pn1p3/2ppP1B1/3P4/P1PB1N2/1P1N1PPP/R2QK2R w KQ -,g5e7
4r1k1/1r1n2p1/3Bp3/2p2q2/2B5/1PP1Q3/5PP1/4R1K1 w - -,c4e6
8/p7/1p4p1/2pPkp2/BPPb2p1/P2R2Pr/4KP1r/5R2 w - -,a4d7
3kr2r/p1qb3p/6p1/2pPpp2/1pR4P/3P1B2/PQP2PP1/2K1R3 b - -,d7b5
4r2k/pp4bp/4q1p1/1P1pn3/PQ2P3/3B3P/3B2P1/5R1K w - -,e4d5
2r2rk1/3bbppp/p2ppn2/qp4B1/4P2P/2N2P2/PPPQB1P1/1K1R3R w - b6,c3d5
r6r/1p1k1pp1/p3p2p/2bn4/8/2P5/PP1B1PPP/R3KB1R w KQ -,g2g3
r3k3/pp1qnp1p/3pp3/4Ppr1/P1B1b3/2P3N1/6PP/R2Q1R1K b q -,e4g2
r2qk2r/2p2ppp/p3pn2/1p6/P1p5/B1Qn1PP1/P2P1PBP/1R3RK1 b kq -,c7c6
r6k/1p3p1p/p1p4P/2Pr1p2/1P2pK2/3pP2P/P4P2/R6R w - -,h1g1
1r1q1rk1/pp2npbp/3p2p1/2p1p3/2PBP2P/2NP1NPb/PP1Q1PB1/R4RK1 b - -,h3g2
2k5/8/p3p1p1/P3P1P1/2N1bR2/B2r4/2KP4/8 b - -,d3d4
r1bqrnk1/ppp2pbp/3p1np1/4p3/1PP5/2NP1NP1/P3PPBP/1RBQ1RK1 w - -,c1g5
3r1rk1/1p3pbp/1q2n1p1/2pP4/p1P1B3/6B1/PP1Q1PPP/1R3RK1 b - -,e6d4
bqr2rk1/n3bppp/4pn2/1pPp4/pP1N4/3PP3/1B1NBPPP/QRR3K1 b - -,f6e8
2r1r1k1/p1q2p1p/Bp2p1p1/8/2bP4/2P4P/P3Q1P1/3R1RK1 w - -,a6c4
8/8/5R2/3b4/4k1PK/8/8/6r1 b - -,d5c4
8/4kp2/8/1R6/3P1KP1/8/8/4r3 b - -,e1f1
rn3rk1/4ppbp/b2p2p1/2pP4/2P5/2Q2NP1/P3PPBP/R1BR2K1 b - -,g7c3
5rk1/1b5p/3N2pb/p1pPp3/P1P2Pq1/5p2/3Q1P1P/1R2RB1K w - -,h2h3
1r1q1r1k/p2b1n1p/2pp1b2/2p2p2/5P2/2NPBN1P/PPP4K/R3Q1R1 w - -,a1b1
8/8/5bk1/7r/2R3K1/8/8/8 w - -,c4c6
4rb1r/pbpk1ppp/1p1ppnn1/3P2B1/2P1P3/P1N2NPB/1P3P1P/R3K2R b KQ -,h7h6
1R3nk1/1p1r4/2pN2p1/2P1r2n/1P6/4P2P/5PB1/3R2K1 b - -,e5e6
8/pp1rnp2/2p1pkp1/8/3P1PPr/1BP5/PP4R1/2K2R2 w - -,b3c2
r3b1k1/pp2bp1p/2n1p1p1/q3P2P/4Q3/1BP5/P2N1PP1/R4RK1 b - -,a5e5
8/P5R1/8/4p3/1K2p2k/4P2P/8/r7 w - -,b4c5
6r1/ppp3rk/3p1qpp/2nPpp2/2P1P2P/2P2BR1/P4PQ1/3K2R1 b - -,a7a6
6k1/6Pp/3p1B2/3Rp3/1Pr5/2p2P2/8/rNK3R1 b - -,c3c2
r2q1rk1/pbpn1ppp/1p1ppn2/6B1/2PP4/P1Q2P2/1P1NP1PP/R3KB1R b KQ -,c7c5:h7h6
3rr1k1/pbqn1pbp/1ppp1np1/4P3/P3P3/2NBBN1P/1PP1QPP1/3RR1K1 b - -,d7e5
r4rk1/4q1p1/7p/4pp2/1BP1b3/8/3Q2PP/4RRK1 b - -,e7a7
r5k1/qp3ppb/2p1pn1p/2b1N3/4P3/P2P2P1/1B2QPBP/R5K1 b - -,c5d4
6k1/2p2pp1/8/p2bQ1P1/5R1K/2P5/6q1/8 b - -,d5e6
8/4Npk1/3Qb3/p2p4/1P1P1P2/7P/6PK/2q5 b - -,a5b4
r1bqr1k1/p4ppp/2pb1n2/2ppp3/2P1P3/1P1P4/PB1NNPPP/R2Q1RK1 w - -,h2h3
1k1b1nr1/1r2q1pn/pp1p1p2/2pPpP1P/P1P1P1Q1/2N4N/1PKB4/6RR w - -,b2b3
8/1pk5/1p2pp1p/1P1p4/P1n5/3K1N2/5PPP/8 b - -,c4b2
6k1/5p2/3p2p1/2pP3p/3qP3/1Q3P1P/r5P1/1R4K1 w - -,g1h2
r3r1k1/1b1q1pbp/1n1p1np1/1p1Pp3/1Pp1P1P1/P1N2N1P/2B2P2/R1BQR1K1 b - -,a8a6
r4nk1/pRRb2rp/3p4/P1pPp1n1/2P1Pppq/2Q5/2BN1PPP/3N2K1 b - -,g4g3
r5k1/p4ppp/1np5/q3p3/P1b1P3/2P1BBP1/1Q3P1P/R2r2K1 w - -,f3d1
8/4k3/6p1/4pn2/1p1b3P/rBp2N2/P1K5/R7 w - -,f3d4
4r1k1/8/pp1p3B/2pP1q2/P2b2p1/6P1/1P3NP1/2Q3K1 w - -,c1d2
4r1n1/1p1r1ppk/2p1q1np/p1b1pN2/P1P1P3/2P2QPP/2B2P2/1RB1R1K1 w - -,f3e2
2br4/5Q2/3p4/2k1P3/2Pp3p/Pq4PP/6B1/3R2K1 w - -,f7c7
r2q1rk1/pp3ppp/4b3/1B1p4/3Pn3/1Q2B3/PP3PPP/2R2RK1 b - -,e4d6
8/5kp1/8/5p2/4bN1P/r7/4R2K/8 w - -,e2d2
rn2k2r/1bqp1ppp/p3pn2/1pb5/3NP3/P1NB4/1PP2PPP/R1BQR1K1 w kq -,d4b3
1r6/8/4k3/6p1/2P5/8/N2R3K/8 w - -,a2c3
r2qk2r/ppp1npbp/2n1b1p1/4p3/2Q5/P2P1NP1/1P2PPBP/RNB1K2R w KQkq -,c4c2
6k1/5rb1/4BpN1/1p2P2p/5P2/2P4P/6P1/6K1 w - -,g2g3
3rrbk1/pbp3pp/5P2/2p5/2P1RB2/PP3K2/2B2P1P/R7 b - -,g7f6
8/1pk5/5p2/3Bp1p1/1P6/2P1K1Pb/r4P2/8 w - -,d5a2
rnb1k2r/1p3ppp/p3p3/7n/1BBN4/2P5/P4PPP/R3R1K1 w kq -,d4f5
1Q6/5pk1/2N3p1/1K6/4q3/2R5/8/7q w - -,b8g3
8/p7/1pB3pk/1P3p1p/3b1Q1P/4p1P1/1q3PK1/8 b - -,h6h7
rnb1k2r/ppp2p1p/4pp2/3q4/3P2Q1/2P5/P1P2PPP/R3KBNR b KQkq -,b8d7:d5g5
r3rnk1/pbq3pp/1p3n2/1Bpp4/3P4/P1B2Q1P/1P1N1PP1/4RRK1 b - -,e8e7
8/4p3/4n1b1/3pPppk/p1pP1P2/PpP3KN/1P4P1/1B6 w - -,f4g5
2r3k1/pb2pp1p/1p4p1/4R3/8/PP1r4/2p2PPP/2Q3K1 w - -,e5e1
4rrk1/p1q3bp/2p3p1/2Pbnp2/5B2/1P6/PN2B1PP/1R2QR1K w - -,e1g3
5k2/pp3pp1/5n1p/P2p1p2/1P1P4/1P3P2/6PP/2N3K1 w - -,g1f2
r4rk1/5pbp/p1q1p1p1/1p1n4/PPNp1P2/3P4/2PBQ1PP/R4RK1 w - -,c4e5
8/6k1/5R2/5K1p/5P2/8/8/7r w - -,f6g6
r1bq1rk1/3nppbp/p2p1np1/1ppP2B1/2P1P3/2NB1N1P/PP3PP1/R2QK2R w KQ -,e1g1
r2nk2r/4bp2/2bp4/pNq1pP1p/1p4n1/3B1N1Q/PP1B2PP/4RR1K w kq -,b5c7
3n4/8/1p1k1p2/3p1PP1/b1PPpK2/8/1P2B3/8 b - -,f6g5
8/5k2/4pP2/4P3/p1K5/5n2/PP6/8 w - -,c4b4
7k/r1rq1p2/3Np1pb/4P2p/nN1P3P/2nQ1PB1/2R3P1/R5K1 w - -,a1a3
8/p4P2/b1p3p1/7P/3Q4/5K1k/P5r1/8 w - -,f7f8q
2rr2k1/pp3ppp/2n1p3/8/2n5/1PP1PB2/R2P2PP/5RK1 w - -,b3c4
k6K/8/8/3qP1R1/7P/6P1/8/8 w - -,h4h5
6k1/1pp2pp1/2n1b2p/8/2QP4/1P5P/P2BnPPK/R3qN2 b - -,e1a1
r1bbr1k1/6pp/p2qpn2/1p1pN3/5P2/2PB4/PP1BQ1PP/2R2R1K w - b6,f1f3
r3r1k1/p4ppp/1pnP1q2/4N3/3P4/B5P1/P2Q1PKP/R7 b - -,c6e5
r1r3k1/6pp/pnp5/1p1p4/1P1Pp3/1N2PPP1/P6P/2R2RK1 b - -,e4f3
8/4bk2/4p2p/3pP1p1/3P2P1/1R5P/4NPK1/3r4 w - -,g2f3
r4rk1/1p4p1/p7/3PPp2/7P/P4Q1p/1q5P/2R2R1K b - -,b2e5
2r5/p4k1p/2pb1pp1/p2p1p2/Nq1Pr3/1P1RPQPP/P1P2P2/K1R5 b - -,c6c5
8/2R5/p2Bp3/3bP3/4k3/K5r1/PP6/8 w - -,b2b3
6k1/4Qp2/6p1/2Pr3p/7P/3q2P1/P1R2PK1/8 w - -,c2e2
8/p5k1/R6p/P1Br2p1/8/2b3PP/5PK1/8 w - -,a6a7
3r1rk1/ppp1bppp/1nn3q1/4p3/8/2PBB2P/PP3PP1/RN1QNR1K b - -,e5e4
8/6k1/6p1/2n1p2p/2BqP2P/5PK1/2Q5/8 b - -,d4g1
8/5kpp/npp5/b7/2P3K1/8/4PP1P/R7 b - -,f7e6
r1bq1r1k/3nppbp/p2p1np1/1p1P4/3NPP2/1PN1B2P/P3B1P1/2RQ1RK1 w - -,d4c6
1rbqrbk1/1p1n1p1p/p2p1np1/2pP4/P3P3/2N3B1/1PQNBPPP/R4RK1 b - -,d8c7
5brk/2p4n/1p1p2q1/p4p2/P1PPpB1p/2P1P2P/3NQ1P1/6RK b - -,f8e7
8/3k3p/3P4/2P2p1p/2K1p3/7P/6P1/8 w - -,g2g3
r2q1rk1/pbp1bppp/1pn1pn2/3p4/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w - -,b1d2
2r3k1/pp3br1/4pq2/3pN1P1/3P4/P6R/1P3R1K/4Q3 b - -,f6e7
8/b7/P6r/2p1kp1p/2Pp3P/1R3BP1/5K2/8 w - -,f3b7
8/5k1p/p3p2P/2p3Q1/5P2/8/1q4BK/8 w - -,g5e5
6k1/2p2p2/3p2p1/p4np1/2P1B3/1Pr3P1/5P1P/R5K1 w - -,a1a5
r1bq1rk1/p3ppbp/3p1np1/2p1P3/8/1NPB4/PP3PPP/R1BQ1RK1 b - -,f6g4
r4rk1/p4ppp/2Q2q2/1p6/8/6PP/P4P2/3R1RK1 w - -,c6b5
4r1k1/2p2q1p/5r2/1Rp5/P1Np2p1/P2P1PP1/2Q1P1K1/4R3 b - -,g4f3
r1b2rk1/1p4b1/1qp1pp2/p4nQ1/P2PN1P1/1B5P/1PP2P2/3RR1K1 w - -,e4f6
8/1p5p/4k1p1/2B5/1P4P1/5K1P/2n5/8 b - -,e6e5
r7/p1p2k2/3p4/1P1P4/2P2P2/5bKp/8/R7 w - -,g3f3
3k4/3P1R2/8/2pr1p2/8/7P/6P1/6K1 b - -,c5c4
1r3rk1/p3pp1p/2Q3p1/2P1q3/1P2b3/P7/4BRPP/2R3K1 w - -,c6a6
1q5k/p7/K4p1n/P2R2p1/1P2P1P1/5P2/6Q1/2r5 w - -,d5c5
8/1p6/p3p3/P3Pp1p/8/3K1kP1/8/3bB3 w - -,d3d2
8/7p/5k2/3n1n1P/3N1P2/4PK2/8/8 w - -,d4f5
4kn2/8/1p1p1p2/pP3Pp1/P2PK3/2N1PP2/8/8 w - -,e4d5
rnb1r1k1/1pq2pbp/2pp1np1/p3p3/P1PP4/2N1PNP1/1PQ2PBP/R1BR2K1 w - -,b2b3
q5k1/3n1p1p/pP2rnp1/3bp1B1/8/P3NP2/6PP/2QR1B1K b - -,d7b6
r2qkb1r/1p2nppp/p1n1p3/3PPb2/3N4/4B3/PP2BPPP/RN1Q1RK1 b kq -,e7d5
2rqkb1r/1p1n1pp1/p2pbn2/4p2p/4P3/1NN1BP2/PPPQB1PP/R4RK1 b k -,f8e7
r1bq1rk1/4ppbp/p1np1np1/1pp5/2P5/PP1PPN2/1B1NBPPP/R2Q1RK1 b - -,e7e5
1rbq1r2/p5kp/1p2p1pQ/2p2P2/4N3/3P3R/PPP4P/4n2K b - -,g7f7
r2qr1k1/pb3ppp/1p3n2/2bp4/Q2n1N2/2NB1P2/PP1B2PP/R4R1K b - -,b7c6
r4rk1/pp2ppbp/2n3p1/4P3/1q1P2b1/1Q2BN2/P3BPPP/R4RK1 w - -,b3d1
8/1k6/8/1P3p2/p1KBr3/P7/8/8 w - -,c4d3
5rk1/3b1ppn/pp1p4/2pPr1q1/P1P1P1Pp/1PN4P/5QB1/3R2RK w - -,g2f1
6rk/p1r1q3/1p2pn1p/1P1pb1p1/2pP1P2/2P3P1/2BQ3P/R3R1K1 w - -,f4e5
5B2/8/8/1n6/p5p1/Pk4K1/8/8 w - -,g3g4
6kr/p2NB1b1/4q1pp/pP6/3p4/8/P4PPP/1R1R2K1 b - -,e6d7
r2q1rk1/pb1nb1p1/1p1pp2p/8/3QP2B/2N5/PPP1B1PP/R4R1K w - -,f1f8
8/5ppk/p6p/4P3/1r6/7P/2Q3PK/8 b - -,g7g6
2k5/p1p1bpp1/2p4p/5b2/4rP2/1NP1B3/PP3KPP/4R3 w - -,g2g3
r3r1k1/p5b1/1pp2npp/5p2/NPPpP3/P2K1PP1/5N1P/R3R3 b - -,f5e4
8/p1r2pkp/1p2b3/6p1/8/P5PP/1P1R1PB1/6K1 w - -,g1h2
2r1kb2/pp4p1/1qn1pn2/3p1p2/3P3r/2PB4/PP1BNP2/R2QK1R1 b Q -,b6b2
r3k2r/pp2nppp/8/3P1b2/1n6/4BN1P/P3BPP1/R2R2K1 w kq -,e2b5
r4b1k/1ppn1ppp/2p1r3/p4NB1/4P3/3P4/PPP2PPP/1K1R3R w - -,g5f4
2bqr1k1/5pbp/p4np1/2P5/1r1p4/2N2P2/PP1QBBPP/3RK2R b K -,d8a5
r4rk1/pp1bqp2/1b3n1p/3p2p1/7B/2QBPN1P/PP3PP1/R2R2K1 w - g6,h4g3
1Rb2rk1/2q2pb1/r6n/2ppPpNQ/p4B2/P1PP4/5P1N/1R4K1 w - -,h2f3
3r1r1k/5p2/p1p5/1p3P1p/3bRqn1/1B6/PP4PB/5R1K w - -,h2f4
k7/p5pp/5p2/1bP5/1r1p1B2/R2K2P1/P4P1P/8 w - -,d3e4
2n1r3/2R1ppk1/1pN3p1/2n1P2p/4PP2/4B3/b3B1PP/6K1 w - -,c6b4
5r1k/6np/5pp1/3Qp3/p3P3/P2R1NP1/2q2PKP/8 w - -,d3d2
r1b2r1k/pp3pbp/5Np1/2P1n1B1/3Q4/6P1/1P2qPBP/R4RK1 w - -,a1a3
rn2k2r/pp3ppp/2p1p3/4N3/Pbpqn3/2N2Q2/1P4PP/R1B1KB1R w KQkq -,f3f7
r7/2p5/2p2pk1/7p/p1P3pP/PP2R1P1/5P2/1b3NK1 b - -,b1a2
3r2k1/1p1q1pp1/p6p/4r3/P2p4/6P1/P2QPP1P/2R1R1K1 w - -,c1c4
8/1p2kppp/p7/3pP3/1P1N1P2/P3K1P1/7P/5b2 b - -,g7g6
r7/1p2k1p1/1np2pp1/p7/3RPPKP/1PN3P1/P7/8 b - -,b6d7
r1bq1rk1/ppp2ppp/2nppn2/8/1bPP4/5NP1/PP1NPPBP/R1BQK2R w KQ -,e1g1
2b2rk1/p1p2qpp/1p1p1n2/3Prp2/Q4N2/2P1P1P1/P4PBP/3R1RK1 b - -,a7a5
6k1/p1q1bp1p/1p2p1p1/8/2PQ4/1PN2PP1/P3K2P/8 b - -,h7h5
1rbqr1k1/1p3pbp/p2p2p1/2pPn2n/P7/N1N3PP/1P2PPBK/R1BQ1R2 b - -,f7f5:c8d7
r2q1rk1/pp1nbppp/2p1p3/2Pp4/3PnPb1/1P3NP1/PB2P1BP/RN1Q1RK1 b - -,f7f5
3q4/pb1kbr1p/2p1p1pQ/Pp1nB3/2pPN3/5P2/1P3PKP/R4R2 b - -,a7a6
4Qrk1/6p1/2p5/7p/P1P3q1/R5b1/1P4K1/3R4 w - -,e8d7
r2q1rk1/pp2bppp/2n2n2/2Pp4/5Bb1/2N2NP1/PP2PPBP/R2Q1RK1 b - -,e7c5
rnb1kb1r/ppq2ppp/2pp1n2/4p3/3PP3/2NB1N2/PPPB1PPP/R2QK2R w KQkq -,d1e2
7r/1k6/1p2p3/p2pPp2/r4Pp1/2P5/1P1R2KP/5R2 w - -,f1f2
2rqr1k1/1b2bp1p/pp2n1p1/2pp1n2/P2P4/1NN1PP2/1PQ2BPP/2R1RBK1 w - -,c1d1
r2q1rk1/p3bppp/1p1ppn2/8/2P2B2/2NQ2P1/PP2PPKP/R2R4 b - -,d8c8
5rk1/4Rp1p/2P5/5P2/1p6/1P5P/5rP1/4R2K w - -,c6c7
r1b1r1k1/pp1n1pb1/2p3p1/4P2p/2P1Q1nq/1P4N1/PB2BPP1/2KR2NR b - -,h4e7
8/pb2k2p/5p2/4p1p1/1PB1P3/2K2P2/6PP/8 w - g6,g2g4
r2r3k/ppq1b1pp/3pBnb1/4p3/8/1Q2BP2/PPPN2PP/R4RK1 w - -,c2c4
5r2/1p3pkp/pq1pp1p1/3b4/P4P2/1PQ4P/6P1/R3RK2 b - -,g7g8
4r1k1/1b2r1pp/p4p2/1pRp1q1N/1P1P2P1/P1Q4P/5P2/2R3K1 b - g3,f5e6
r1b4r/pp2npk1/5bpp/2Np4/3p4/6P1/PP1BPPBP/2R1K2R w K -,e1g1
r1bq1rk1/pp1n2pp/2pbp3/3p4/2PP1P2/6P1/PPQ3BP/RNB2RK1 b - -,d8f6
8/pp3p2/6k1/5n2/1PK2P1p/P7/4N3/8 w - -,e2g1
r1bq1rk1/pp3ppp/2n1pn2/3p2B1/1bPP4/2N2N2/PPQ2PPP/3RKB1R b K -,h7h6
r1b1r1k1/pp3p1p/2p3p1/8/1PP1Pq2/7P/P1Q2P2/1R1R1B1K w - -,f1g2
r1b2rk1/bpp2pp1/p2p2qn/3Pn3/2P1NB1p/1P4PP/P3NPBK/R2QR3 w - -,e2d4
r2n1b1r/2qbkp1p/3p1p2/p3pP1Q/1pB1P3/1N4P1/PPP4P/2KR2NR w - -,c4d5
5k2/pp3P2/2p1K3/8/3p2P1/1P6/P7/8 w - -,e6f6
8/4R3/8/3k4/6p1/6P1/1r3P2/5K2 w - -,e7e2
1nkrr3/1p1qbppp/p2pbn2/2p3B1/8/2NBQN1P/PPP2PP1/2KRR3 w - -,d3f1
rn1r2k1/pp2ppbp/q1p1b1p1/3n4/2NP4/1PNQ2PP/P3PPB1/R1BR2K1 w - -,c3d5
r3b1k1/1p2n1p1/2B1p2p/p1PpPp2/5P2/1NP2N2/1P4PP/R5K1 b - -,e7c6
6k1/1pRr2p1/pB2q2p/P2bp3/5p2/5P2/1P4PP/4Q1K1 b - -,d7d6
3r1k2/pp3pp1/2b1p3/4P2p/3P4/1P6/P2R3P/1K2R3 w - h6,b1c2
1B2b3/8/7p/5Np1/Pb4P1/3k1K1P/8/8 b - -,e8a4
rnb1qrk1/pp4pp/4pb2/2p5/2NP4/1P2pPP1/PB2P1BP/R2Q1RK1 b - -,b8c6
2rq1rk1/p2nbppp/bp2p3/8/P1Pp4/3QPNP1/5PBP/R1BR2K1 w - -,d3d4
r1bq1rk1/p2n1pbp/2p1p1p1/3pP3/2p2P2/1PNP1NP1/PBP4P/R2QR1K1 w - -,d3c4
rn1q1rk1/pbp1ppbp/1p1p1np1/8/3PP3/2NBBN1P/PPP2PP1/R2QK2R w KQ -,e1g1
r1b4r/1ppq2k1/3p1p2/P1PPn1pB/3QPpP1/5P2/6KN/R6R w - -,h2f1
2r2rk1/bbq2ppp/p3p3/1p1nN3/3P1P2/N1B5/PP1Q2PP/R2R2K1 w - -,a1c1
r4nk1/p2q2p1/1p4pp/3PpN2/PP2N3/2PQP3/6PP/5RK1 b - -,g6f5
8/p1kp4/1p2pQ1R/2p1P1q1/2Pr4/PP3RB1/8/7K b - -,d4d1
7R/3k1p2/6p1/2P1p3/4P2P/4PK2/6r1/8 b - -,g2c2
rnbqkb1r/ppp3pp/3p1n2/4pp2/2P5/2NP2P1/PP2PP1P/R1BQKBNR w KQkq -,f1g2
2r2rk1/pb1nq1pp/1p1pp3/2p2p2/1PPPn3/P3PN2/1BQ1BPPP/R2R2K1 w - f6,d4c5
r2q1rk1/pppnbppp/5n2/4p3/2B1P3/5N1P/PPP2PP1/R1BQ1RK1 w - -,d1e2
8/6kp/p1p3p1/1pK5/1P3P2/1BP4r/P2r4/2R5 b - -,h3d3
3q1rk1/1b1n1pp1/3p1b1p/p7/Pp1BP3/3B1N1P/1P1Q1PP1/2R3K1 w - -,c1d1
r1bq1rk1/1p1n1ppp/2p1pn2/p7/PbpP4/2N2NP1/1PQ1PPBP/R1B2RK1 w - a6,e2e4
rr4k1/2pnqppb/1p1p3p/p3p3/1PP1P3/P1B1PP2/2Q1B1PP/R2R2K1 w - -,a1a2
r1bq1rk1/1pp1b1pp/3p4/p1nPpp2/2P1Pn2/PPN2N2/5PPP/R1BQRBK1 b - -,f5e4
r4rk1/ppqb2b1/3p1nnp/P1pPpp2/8/2P1N2P/1P3PPN/R1BQRBK1 w - -,f1d3
1r3rk1/4qppp/2npb3/p3p2P/1pP1P3/1P4PB/P1NQ1P2/R3K2R b KQ -,g8h8
r2qk1nr/1pp1ppb1/p2p1np1/7p/3PP2P/2N1BP1R/PPPQ2P1/R3KB2 b Qkq -,e7e6
r1b1kb1r/p1ppqpp1/7p/2p1P3/1n3B1P/5N2/PPP1QPP1/R3KB1R b KQkq h3,c8b7
2r1r3/p6k/2pb1qp1/3n1p1p/3Pp2P/P3P1PB/1B2QP2/2R1R1K1 w - -,e2a6
4k3/8/3pp2p/r7/PR3K1P/3P4/8/8 b - -,e8e7
qn3kr1/5pp1/Ppb2b2/1Bp2P2/P2pP2p/2N4P/4Q1PK/2RR4 w - -,b5c6
3rr1k1/5qb1/1pp3pp/3b4/pP1Np2P/P1B1P1P1/1Q1R1PB1/6K1 w - -,b2c2
5k2/1bP1p3/p5p1/1r2Bp2/3P4/P5PP/5P1K/5B2 w - -,f1b5
r1b1kb1r/1p1npppp/p4n2/6B1/3NP3/2N5/PP3PPP/R3KB1R b KQkq e3,e7e5
8/4k3/2p3PK/1p1p4/pP1P4/8/P4R2/7r w - -,h6g7
6k1/5pb1/2q3p1/1p1n4/2p3P1/2P1NP2/1P3QN1/6K1 b - -,g7f8
