8/8/7K/4p1pP/5kP1/8/8/8 b - -,e5e4
1n4k1/1r3p1p/4pp2/p1r5/RbN5/6P1/1P2PP1P/3N1RK1 w - -,d1e3
6B1/8/3p4/1Rn5/3k4/2b5/1pK5/8 b - -,c5e4
2Qb2k1/7p/3p2p1/3Pp1P1/4Pp2/8/1K2qB2/8 w - -,b2c3
8/1p2p3/3p4/4k1n1/1P2PNp1/4K3/2P3PP/8 b - -,g5e4
2rr2k1/1p2qp1p/p2p1p1Q/3Pn3/8/8/PPP1B1PP/4RR1K b - -,e7f8
8/6p1/8/4p2k/R7/Pr3PK1/6P1/8 w - -,a4a5
rn1q1rk1/pb3pbp/3p1np1/1P1Pp3/2B5/2N1BN1P/PP3PP1/R2QK2R b KQ -,b8d7
2r5/2Pk3p/pp4p1/5bB1/P3p3/4P3/1P5K/2R5 w - -,g5d8
6r1/2p3rk/1p1p3b/p1nPp1pP/2P1PpN1/1P6/P2B1PR1/6RK w - -,g4f6
br1q1rk1/p2nppbp/6p1/N2p2Bn/2pPP3/2P2N2/1P2BPPP/RQ3RK1 b - -,d5e4
1r1q1rk1/ppp3b1/3p3p/1P2p1p1/2P2p2/3P2Pb/PB2PPBP/1R1Q1RK1 b - -,h3g2
8/1p6/pP2p3/P3P3/3b1Pp1/5k1p/7K/4B3 b - -,f3f4
r3k2r/1pp1qppp/p2pbn2/P7/3QP3/2N5/1PP1BPPP/R3K2R b KQkq -,e8g8
3nr1k1/R4pb1/2qp2pp/1pp1p3/4P2P/2PPNN2/QP3PP1/6K1 b - -,d8e6
r3k2r/pp3ppp/1q2b3/3Bp1b1/6P1/3P2N1/PPP2PP1/R2QR1K1 b kq -,e8c8
2rqrbk1/pp2npp1/3p3p/2pbp1P1/P3P3/2PPB3/BP2QPP1/R4RK1 w - -,e4d5
5r1k/2p1q2p/1p1p2p1/p2Bn1P1/Pb5N/6PQ/2P4P/3R3K w - -,d1f1
1r3rk1/2q1ppb1/2p1b2p/p1Pp2p1/8/1P2P1P1/P1NQBPP1/2R2RK1 b - -,e6c8
4R2k/5qpp/p4n2/1pNp4/1P1Q4/8/P4PPP/6K1 b - -,f7e8
2b5/1pBn1kbp/1pp2pp1/8/4r1P1/PNP4P/1PN2K2/R7 b - -,g7f8
R7/4k3/8/2p2p2/2P3p1/2P3P1/5nK1/8 b - -,f2e4
3rrbk1/1p2qppp/p1np1n2/1Np5/2P1PP2/1P3N2/PB1QR1PP/4R1K1 w - -,b5c3
6r1/8/1r1pk3/1P1Rp1pp/4Pp2/7P/5KP1/3R4 b - -,g8c8
6k1/5p2/1pB2R1p/1P2P3/5P1q/1P6/K6P/8 b - -,h4h2
8/6p1/5k1p/p4P2/1p3KPP/1P1rrB2/P4R2/8 w - -,f3e4
rr4k1/2qnppbp/b2p2p1/2pP4/8/1PN3P1/P1Q1PPBP/1R1RB1K1 b - -,a8a7
r2q1rk1/bb2n3/p1n2ppB/3ppN2/Pp2P1Q1/1N1B3R/1PP3PP/R6K b - -,f8f7
4n3/1k6/1p3r2/3p4/p1qP3Q/P5R1/1P6/K3R3 w - -,g3c3
2b3k1/p5pp/3qpr2/2ppR3/8/1PQ2N2/P1P2PPP/6K1 w - -,h2h3
r2qk2r/pp1n1pp1/2p1p1p1/3n4/1bBP2P1/2N1PP1P/PP1B4/R2QK2R w KQkq -,d1b3
2r2rk1/pp2bppp/1qn1pn2/3p4/3P4/P1N1BN2/1PP1QPPP/1R2K2R w K -,e1g1
2brr1k1/1p3ppp/p1p3n1/P6n/3PP3/1N2BP2/2BR1KPP/3R4 b - -,h5f4
r2q1rk1/1Q1bnppp/p3p3/8/3P4/2N2B2/PP3PPP/R4RK1 b - -,a8b8
1r4k1/6p1/6K1/2R2PP1/8/8/8/8 w - -,c5c7
7N/2R5/p3pk2/5pp1/1p5p/1K3P2/PP5r/8 w - -,c7f7
2r1nbk1/1r6/2Rp1np1/B2Pp1q1/1PN1Pp2/N4P1p/4QRPP/6K1 b - -,c8b8
rn1q1rk1/1b2ppbp/3p1np1/1PpP4/2B5/2N1PN2/1P1B1PPP/R2QK2R b KQ -,a8a1
rnbqkb1r/ppp1pppp/5n2/3P4/2B5/8/PPPP1PPP/RNBQK1NR b KQkq -,f6d5
r1r3k1/1p2ppbp/1np3p1/pP3b2/3P1B2/P3PN2/3KBPPP/2R4R b - -,c6b5
8/3kq1p1/6Qp/3P3P/8/6PK/8/8 b - -,e7e5
3rr1k1/p1p3bp/bnp3p1/2q1P3/2Pp4/1P4P1/PB1NQ1BP/2R1R2K w - -,d2f3
r3n3/1p3pk1/2p1r1p1/p2p3p/Pq1P3P/1PQ2BP1/4PPK1/2R1R3 b - -,b4c3
2r5/1p1N1pkp/6p1/3Pp1Q1/8/P6P/1p2rqP1/1R1R3K b - -,c8c3
r2qkbnr/p4ppp/2p1p3/2pp3b/4P3/3P1N1P/PPPN1PP1/R1BQ1RK1 w kq -,c2c4
6r1/2p5/4PR1R/1p4k1/6p1/8/5PPK/1r6 b - -,b1e1
r3r1k1/pp2ppbp/2bp1np1/q7/4P3/1BN1B2P/PPP2PP1/R2QR1K1 w - -,d1d3
6r1/8/p1pp1p1k/5Prp/2p1P2R/1P1P4/2PK4/7R w - -,b3c4
8/1p2k2p/p1p1b1p1/2P2p2/5P2/1PK2BPP/P7/8 b - -,h7h6
7k/p1b3p1/4q1p1/2p2pBn/3P4/2P4Q/5PP1/5BK1 b - -,c5d4
r3kb1r/pp3ppp/2n1pn2/q2p1b2/2pP1B2/2P1PN1P/PP2BPP1/RNQ1K2R b KQkq -,b7b5
2r2rk1/pbq1bpp1/1pp1p2p/2n1P3/2P2P2/2N1P3/PB2Q1PP/1B1R1RK1 b - -,c8d8
1k4r1/1pp2q2/p2p4/P2Pb3/2B2p2/2P2P2/1P1BR3/2K2r1R w - -,h1f1
8/p5p1/P4p2/3Qbk2/8/5KP1/2r4P/8 b - -,c2c3
8/p1n1rk2/1p2p1p1/2q2p2/P1B5/6P1/4QP1P/4R1K1 w - -,g3g4
6k1/1pp3bp/5rp1/1P1q1p2/1BbPp3/4P1P1/2Q2PBP/r3R1K1 w - -,e1a1
6k1/1p1b1ppp/p6q/5P2/2N5/4Q2n/PP5P/3R1K2 b - -,h6h5
8/8/5k2/7p/8/r4PP1/4R1K1/8 b - -,a3a4
r1bqnrk1/1pp1b1pp/2n1p3/p2p1p2/2PP4/PP1BPN2/2QN1PPP/R1B1K2R w KQ f6,c4c5
rnbqnrk1/pp4b1/2p1p1pp/2Pp1p2/3P1B2/1QN3PN/PP2PPBP/3R1RK1 w - -,b3a3
rn1q1rk1/pp2bpp1/2p1p2p/3n1b2/4NB2/3P1NP1/PPP1QPBP/R3R1K1 w - -,f4d2
7r/p6r/1p6/3Ppk2/P1Pb4/3K1P1p/7R/2B4R w - -,c1e3
2r1k3/1p1bbp1r/3p4/p3qN2/P1P1P1p1/1P1QRp1P/5P2/4RBK1 b - -,d7c6
8/1R4p1/5Pkp/p7/5P1P/1p4K1/8/3b4 b - -,g6f6
2kr4/3rb2p/1P3pp1/4p3/1P1n4/4B3/1K3PPP/2NR2R1 b - -,e7b4
4rrk1/p1q1bppp/1pn1b3/2p5/4BP2/2P1N1P1/PP2Q2P/R1B1R1K1 w - -,f4f5
r1bq1rk1/pp2ppbp/2n3pn/2ppP3/5P2/5NP1/PPPP2BP/RNBQ1RK1 w - -,d2d3
1r1r2k1/5ppp/p7/q1pp1b2/8/2P1PB2/P2Q1PPP/R2R2K1 b - -,f5e4
r1bq2k1/pp3Rbp/6p1/2p5/3n4/2PP2PP/P1P3B1/R1BQ2K1 b - -,g8f7
r1bq1rk1/ppp1pp1p/1n3npb/8/7P/2NP2P1/PP1QPPB1/R3K1NR w KQ -,d2h6
1r1q1r2/p4pbk/1p4pp/2pBp3/2P1N3/3P2Pb/P3PP1P/1R1QR1K1 b - -,f7f5
r3r1k1/1pp2ppp/p1n2n2/4pb2/1b1q4/2NP2B1/PPPNBPPP/R2QR1K1 w - -,d2b3
r7/2r2kbp/BR4p1/n1pp4/4n3/2P1BN1P/P4PP1/2R3K1 w - -,a6d3
2b5/1pP2p2/5kp1/3p3p/P2N1P2/4P1KP/6P1/8 b - -,f6e7
rb2r1k1/pb2qppp/8/1N1p1B2/2nNn3/4P3/2Q2PPP/B2RR1K1 w - -,f5e4
r4rk1/b2b2p1/2p1p2p/2p1p2q/1P2P3/R4NP1/3NQP1P/R5K1 b - -,c5b4
rnbqkb1r/pp1ppp1p/2p2np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,f8g7:d7d5
6k1/1pr2pPn/pq1p4/3P3P/2r5/6B1/PPPQ4/1K1R3R w - -,h1e1
2r1r1k1/p4ppp/1pnpb3/3p4/1R6/2PP4/P1PB1PPP/3B1RK1 w - -,b4h4
3rqk2/1R2rpnp/3Q2pN/8/3P4/4P3/5PP1/1R4K1 w - -,d6a3
8/k7/pp2p3/4P3/1P1P3P/q3P3/4NK2/2Q4b b - -,a3c1
r1bq1rk1/bpp2ppp/p1np1n2/4p3/1PP5/P1N1P1P1/3PNPBP/R1BQ1RK1 b - b3,c6e7
1r1r2k1/1P3pb1/2RN2pp/3pP3/8/8/6PP/4R1K1 b - -,g7f8
1r1r4/pp1b1Nk1/2p1pqPp/P1n2p2/7R/3RQ1P1/1P3P2/1B4K1 b - -,f5f4
r1bq1rk1/p5bp/np1p1np1/2PPpp2/2P1P3/PNN5/4BPPP/1RBQ1RK1 b - -,a6c5
5bk1/1p4p1/2pNp2p/p3P3/P1n2P2/1R4PP/7r/3RK3 b - -,h2h1
8/3k2p1/1bn1p2p/8/4PP2/3K1NP1/7P/8 w - -,h2h3
r5k1/1p3qb1/p1p2np1/P1Np1b1p/1P1B1P2/6PP/2PQ2B1/4R1K1 b - -,a8e8
5rk1/5ppp/p1q5/Pp2P3/1P1R1P2/7P/6P1/3Q2K1 b - -,g7g6
1r2r1k1/2p2p1p/2b3p1/p3p3/2n1P3/P1P1PNNP/5KP1/1R3R2 b - -,f7f6
brr3k1/2q1bppp/p2ppn2/8/4P3/1NNPB2P/PP2QPP1/2R1R1K1 b - -,c7b7
2r1k3/6pr/Q1pqpp2/3p4/3Pn1p1/P3PN1P/1P3PP1/2R1R1K1 b - -,c8c7
4r3/ppkn3r/2p2p2/2P2R1p/7P/1B2P1Q1/Pq4P1/3R2K1 b - -,e8e5
r5k1/1p3p1p/3Nb1p1/2PQ4/1P3P2/8/2q3PP/3R2K1 w - -,d5d2
r1bq1rk1/3nbppp/1p2pn2/pP6/2BN4/P1N1P3/1B2QPPP/R4RK1 b - -,c8b7
2r2r1k/ppq2p1p/3p2p1/3Pb2P/1Q6/1N6/PPP3R1/1K4R1 w - -,c2c3
b3r1k1/1q3ppp/3p1b2/4P3/1pP1P3/1P1n2P1/1B1N1QBP/5R1K w - -,f2e3
r1bq1rk1/pp1nbppp/2p1pn2/8/P1pP4/2N2NP1/1P1BPPBP/R2Q1RK1 w - -,e2e4
2r2rk1/pb2qppp/1pn1p3/3B4/3P1P2/P1NQ4/1P4PP/3R1RK1 w - -,f4f5
7R/6rP/8/p3p3/P3k3/3p4/8/5K2 b - -,g7b7
r1b1rbk1/1pqn2pp/p1p5/2Pp1p1n/3Pp3/1PN1B1PP/P2QPPB1/R2R1NK1 b - -,d7f6
2r5/2P5/4k3/2R2pp1/1P5p/K7/8/8 b - -,h4h3
5rk1/2q2ppp/2p2n2/p3b3/2B1P3/P5PP/1pQ2P2/3R1RK1 b - -,c6c5
8/8/6P1/R4N1p/p1K1k3/7r/1n6/8 w - -,c4c5
2k3rr/pp1bbp1p/1qn1p3/3pPP1Q/n2P4/1N6/P2B2PP/RB2NRK1 w - -,e1d3
1q3rk1/5p1p/p3p3/2p1bp2/2B5/8/PP2QPPP/5RK1 w - -,g2g3
r1bq1rk1/ppp2pnp/6pB/3pP1b1/8/2PB4/PP3PPP/R2QRNK1 w - -,h6g5
6k1/3bp2p/3p1p2/3P1N1Q/1pq1P3/5P2/6PK/r7 b - -,c4c1
r1bq1rk1/p4ppp/n1p1pn2/3p4/1bP5/P1N2NP1/1PQ1PP1P/R1B1KB1R b KQ -,b4c3
8/3b1p2/3P2p1/4k3/3R3P/4KB2/7r/8 b - -,h2h3
4r1k1/5pp1/1Np2nn1/2Pp1q2/1N1Pp1b1/4P1Pp/5P1P/1R3QKB b - -,g6e7
r3kb1r/3p1ppp/p1b1pn2/1p6/4P3/2NBBPP1/PPP3P1/R3K2R b KQkq -,f8b4
8/5p2/1kb1p1p1/4P1P1/1pP2P2/1P2p1K1/1bB1N3/8 b - -,b6c5
r1bqkb1r/p2n1ppp/2p1pn2/6P1/Np1PpB2/5P2/PPPQ3P/R3KBNR b KQkq -,f6d5
r4rk1/1p4pp/8/3bpp1Q/1q2N3/p2B3P/PP2RPP1/1K1R4 w - -,e4c3
5qk1/2rn1pbp/p3p1n1/1p1pP1Bp/3P4/1P6/P2Q1PPN/1B2R1K1 w - -,d2e2
8/6pk/3p3p/P2q4/4p3/1P5P/4Q3/5K2 b - -,d5f5
6r1/p1k5/4p1r1/1P2R3/8/2PR2P1/6K1/8 w - -,c3c4
8/4P1kp/3P4/1b2Kp2/7r/P1N5/8/8 w - -,c3b5
4r3/3b1pk1/1p3p1p/p2P1P2/1p5R/3B4/1P1K2PP/8 b - -,e8e5
4rrk1/ppq4p/2pn1np1/3p1pb1/N2P4/3BPPP1/PP2RBKP/3Q1R2 w - -,b2b3
2r2rk1/3b1ppp/4p3/ppQpP3/5P2/PBP5/1P4PP/R2R2K1 b - -,c8c5
5r1k/pp1n2r1/3q1b2/2pPp2p/4Pp2/5P1P/PP2QBBK/R4R2 w - -,g2h1
1rb2r2/p4pkp/1qnp2p1/1ppn4/4P3/6P1/PPPQNPBP/R4RK1 w - -,d2d5
r2qk2r/3nbpp1/b2p4/p2Pp3/Pp5p/2P3PP/1P2NPB1/R1BQR1K1 w kq -,g3g4
1r3k2/1r1bbp2/p3p1p1/3p3p/3N1P1P/P1PR2P1/1P2R3/2KB4 b - -,a6a5
4q3/1p3k1p/p2Qnpp1/3Np3/2P5/7P/1P3KP1/8 b - -,e8d8
4b3/7p/4pkp1/R2p4/P6r/1P6/1KP2P2/5B2 b - -,h7h5
r4rk1/1p1n2bp/p1p3p1/2Pp1pP1/R2PpP2/1PNbP2P/1P4B1/3RB1K1 b - -,d3b5
r1bq1rk1/ppp2ppp/4pn2/8/3P4/3B1N2/PPP2PPP/R2QK2R w KQ -,d1d2
7k/7p/1p3q2/p3p1r1/1p2R3/P2P3P/4Q2K/8 w - -,a3b4
5k2/pp1r1p1p/2b2Pp1/8/2B4P/2P5/PP4P1/2K4R w - -,h1d1
1r2r1k1/7p/pp1p2p1/3P4/P1PpPPP1/8/3B4/1R2n2K w - -,b1e1
1r3r2/b1pq1p2/p1np1nk1/4p1B1/P3P1bP/2PPN1Q1/B4PP1/R4RK1 b - -,a7e3
3q3r/R2nkpb1/2b1p1pp/1B1p4/6Q1/1NP1B3/1P3PPP/6K1 w - -,g4b4
1kr4r/1q2bppp/p1bpp3/1pn2PP1/4PQ2/P1NBB3/1PP4P/1K1RR3 b - -,e6e5
r1bqr1k1/2p2pp1/p2p1n1p/np2p3/4P3/2PPRN2/PPBN1PPP/R2Q2K1 b - -,c7c5
rn2kb1r/3p1ppp/p3p3/3Q4/1p6/1P4P1/1BP1NPKP/R4R2 b kq -,e6d5
b4rk1/r4ppp/Pn6/1P2N3/3p4/6P1/4PPBP/R4RK1 w - -,g2a8
r3kb1r/ppB1p1pp/2p2p2/5b2/3P4/8/PPPQBPqP/R3K2R w KQkq -,e1c1
r4rk1/1p2bppp/1qp1pn2/p1np4/5PP1/P2PPN1P/1PP3B1/R1B1QRK1 b - -,f8e8
1qrbr1k1/1p1n1ppp/p1pp1n2/3Pp3/1PP1P3/2NBB2P/P2Q1PP1/1RR3K1 b - -,c6c5
3Q3k/2r3b1/2rpq1pp/4p3/PR2N3/7P/6P1/4R2K b - -,h8h7
6k1/3q4/P7/8/1P6/K7/2Q3P1/8 w - -,c2c4
r2qkb1r/1p3ppp/p3pn2/n2p4/3P1Bb1/2PB1N2/PPQN1PPP/R3K2R b KQkq -,a5c6
r2q1rk1/ppp1bppp/2N1bn2/8/3PpB2/2N3PP/PPP3B1/R2QK2R b KQ -,b7c6
3k4/pp3p1b/2p1pb1p/2P3p1/1Pn1P3/P5P1/5PBP/2BN2K1 b - -,f6d4
5bk1/3n1p2/p1r3p1/Pp1N3p/8/2B5/1P3PPP/3R2K1 w - -,g1f1
r2q1rk1/1pbn1pp1/p1p1pn1p/2Pp1b2/3P4/1PN2NP1/PB2PPBP/2RQ1RK1 w - -,f3h4
r1bq1rk1/ppp1n1bp/3p1np1/3Pp3/1PP1Pp2/2N2P2/P2NBBPP/2RQK2R b K -,g6g5
r4rk1/pp1b2bp/4p1p1/3pP3/2P5/1PB3QP/P2q2BK/R4R2 b - -,f8f1
r2qr1k1/1pp2pp1/1nn1b2p/p1Q1p3/8/P2P1NP1/1P1BPPBP/2R2RK1 b - -,e6g4
7R/1p2p3/3pk3/8/5p2/1P6/1PP5/2K5 b - -,e6d5
1rr5/p2nkpp1/4pn1p/N1p4P/2N5/Q7/PPP2qP1/2K2R1R b - -,f2e2
3r2k1/1p3pp1/2pq1np1/2b1p3/2P1P3/5NPP/4QPBK/1R6 b - -,b7b6
4r3/pp4k1/5r2/2p4R/2B5/2P3P1/PP3nK1/6R1 b - -,b7b6
4r1k1/8/5pp1/4P1q1/5rPp/P3Q2P/1P2R1K1/4R3 w - -,e2f2
3q1rk1/pbrnbppp/1p2pn2/2pp4/2PP4/1P2PN2/PB1N1PPP/1BRQ1RK1 w - -,f1e1
4r1k1/3N1p2/8/p4pPn/P7/8/r6P/1R3R1K w - -,f1f5
6k1/p2r3p/3p1Qp1/2p1n3/2bn1N1N/6PP/P5B1/7K w - -,f4d5
r2qk2r/1bp1bppp/p3pn2/3n4/2BP4/2N2N2/PP2QPPP/R1B1R1K1 w kq -,c1g5
r6k/1p1np1bp/4N1p1/3PnN2/rp6/4B2P/1P3PP1/2R1KB1R b K -,g6f5
r3q2r/1p2npkp/p3pnp1/2PpN1P1/bP1P1P2/P1BB3R/4Q2P/R5K1 b - -,f6h5
2rr4/5pkp/1QP2b2/6p1/3pB3/q5P1/5P1P/3RR1K1 b - -,c8b8
8/7p/8/3n1p2/5K2/3kN3/8/8 w - -,e3d5
7k/p2r3p/1n2Nqp1/2Q5/P1p2P2/8/1P5P/2K1R3 b - a3,d7e7
5rk1/pp1q2p1/n2ppn1p/N2b1p2/3P4/QP2BPP1/P3P1BP/2r2RK1 w - -,f1c1
5rk1/5qp1/p3p1pp/1p1bP3/3P1B1P/P5Q1/1P4P1/4R2K w - -,e1f1
rnbq1rk1/pp2bppp/3p1n2/2p5/8/1QN2NP1/PP2PPBP/R1B2RK1 w - -,f1d1
rnb2rk1/1pq2ppp/3bpn2/pP6/2B5/P1N1P1N1/1B2QPPP/R3K2R b KQ -,b8d7
rnbq1rk1/3pbppp/pp2pn2/8/P2p1B2/2P1PN1P/1P1N1PP1/R2QKB1R w KQ -,e3d4
8/5p2/pp1P4/6rp/PR2P3/2k2K1P/6P1/8 w - -,b4b6
rn1qk2r/3n2p1/2p1pbp1/ppPp1p2/3P2P1/1PN1P2P/PBQ1BP2/1K1R2R1 w kq -,f2f3
1r2r1k1/6p1/pP1P1q1p/2p1p1nP/2P1P3/1QN1P1R1/1P6/2KR4 b - -,e8d8
8/8/3KB3/4r3/4k3/7P/8/8 w - -,e6g4
r4b1r/1kp1n1pp/1pp1p3/p3P3/P5P1/3R3P/1PP2P2/1NBR2K1 w - -,d3d8
2br1r2/3qppk1/pp4pp/P1pPp3/4P1nP/1PN1Q1P1/2P2P2/3RRBK1 w - -,e3e2
3rr1k1/5ppp/p1pR1bn1/8/4P1B1/6BP/PPP3P1/5R1K b - -,d8d6
3r2r1/pkpqbp1p/1p2b3/P2pP1p1/1P6/3PBN2/1Q3PPP/R4RK1 w - -,f3d4
7r/1p3rk1/p1nB4/4p1p1/2P1R1P1/1P5P/P2R4/3K4 w - -,d6e5
r3k2r/pp3pp1/2pPp2q/2Qn1b1p/3Pp2P/1P2P1P1/PB2BP2/R4RK1 b kq -,e8g8
2k5/2p1r1p1/1pnpqpb1/3R3p/1PP5/5P2/1KPQ1BPP/5B2 b - -,e7d7
rn1qkb1r/pp3ppp/2p1pn2/8/4p3/2NP1QPP/PPP2P2/R1B1KB1R w KQkq -,c3e4
8/6p1/2n1k3/1p2p1pP/1P2P3/2K1B3/8/8 w - -,e3g5
8/2K5/2P5/8/P7/1q4k1/8/8 b - -,b3a4
5q2/8/6n1/3Q1Nk1/2p1K3/8/8/8 b - -,f8e8
5rk1/1p2b1pp/pq2p1p1/3nP3/1P1n2P1/P5QP/3N1P2/R1B1R1K1 b - -,d5f4
2rrn1k1/p4pp1/1p5p/2pPb3/2P1N3/1P5P/PB1Rn1P1/3R2K1 w - -,d2e2
2r1k2r/4bppp/pp6/3p4/2N5/1P3Kn1/P3PP1P/R1B2R2 w k -,h2g3
5n2/5k2/8/5PB1/4K2P/8/8/8 w - -,g5e3
5r2/2pn1p1k/p1nr3p/1p1p1Pp1/P2Pp1P1/1BP1P1KP/1P1N4/R6R w - -,b3d1
8/8/5p2/R6K/5k2/5r2/8/8 b - -,f6f5
8/1p3k2/p1p1b3/3pP1r1/3P1p2/4PQ2/PP4Bq/2R2K2 w - -,f3f4
r1r5/1p1k2p1/2nnpp2/3p2p1/3P4/1P2P2P/2RB1PP1/2R1NK2 w - -,e1d3
r1q1k2r/1b2bppp/pp2pn2/2n1Q3/2P5/BPN2NP1/P4PBP/R2R2K1 w kq -,e5e3
r4rk1/1pqb1pbp/2p3p1/4n3/pn1NP3/N4PP1/PP2Q1BP/R1BR2K1 w - -,c1e3
8/r3k3/P2p2p1/2n1pP2/2B5/5P1K/R7/8 b - -,g6f5
8/7K/2pk2p1/r7/8/8/2R3P1/8 b - -,a5g5
8/6pk/4p2p/2Q2p2/4q3/1P3PP1/P5KP/8 b - -,e4b1
r2qk2r/pp1bppbp/2np1np1/1B6/3NP3/2N1B2P/PPP2PP1/R2Q1RK1 b kq -,e8g8
2kr2r1/pn1pbpp1/1pq1p2p/2p1P2P/8/2P2NB1/PPPRQPP1/1K1R4 w - -,b2b3
2rr2k1/1pqn1b2/2p1p1p1/p3PpPp/PbPP1P1P/3NBB2/2Q5/1R1R2K1 b - -,b4e7
8/pk6/1p2p3/2np3r/5R1P/P4K2/7P/3R4 b - -,b7c6
8/7p/2bk2p1/p4p2/P4P2/2N1K3/6PP/8 w - -,e3d4
4r1k1/1p1b1ppp/p2r4/3P4/8/2R1N1P1/PP3K1P/1B6 b - -,g7g6
3r4/p5kp/5p2/2b5/2Bp1PPK/P3r1N1/1P4bP/3R1R2 b - -,e3g3
8/1p1r2p1/2p4p/p3bB1P/1kP1K1P1/1P6/8/8 w - -,e4e5
8/1R6/8/5pkp/3P1p2/P6P/1Pr5/6K1 w - -,b7b3
r3r1k1/7p/ppR2Bp1/5b2/P2Pp3/4P3/1P5K/5R2 b - -,e8e6
3r3r/1kb1n1N1/p4pn1/1pp1p3/P2pP3/1P1P4/1NPB1P2/2KR3R b - -,d8g8
rn2qb1r/pk1bp2p/1pp5/2p3B1/2QPP3/2N5/PP3PP1/2KR1BN1 w - -,d4c5
5r2/2k1q3/np6/4p3/2P4P/4Q1P1/P3BP2/2R1K3 w - -,c1d1
r1bq1rk1/pp1nbppp/4pn2/2pp2B1/3P4/2NBPN2/PPP2PPP/R2Q1RK1 w - -,f3e5
8/8/R7/p2pN3/1p1Pb2P/7r/PP1K3k/8 w - -,a6a5
6k1/p4p2/1p3prp/8/qp3R2/3Q3P/6P1/3R3K b - -,g8g7
2br2k1/6pp/p1n1n3/2Q5/5P2/4r1PK/1PP4P/R4R2 w - -,c5c6
1r1qr1k1/2p1n1bp/pn1pp1p1/1p6/4PP2/PPN1B1PP/2PQ2B1/3RR1K1 b - -,d8d7
r3r1k1/2qnbppp/2p1pn2/2pp4/1PbP4/2NNPP2/2QBB1PP/1R3RK1 w - -,b4c5
1r1q1rk1/p4ppp/1p2bn2/2bp1N2/P4Q2/2P3P1/1P3PBP/R1B2RK1 b - -,f8e8
8/4p1kp/1p2r1p1/2p1pq2/3pQ2P/1P1P1P2/2PR2P1/6K1 b - -,f5e4
3r2k1/1p1r2p1/2p1p1pp/4P3/Pp1P1P2/3R2PP/1P1R4/6K1 w - -,g1f2
r2q2k1/pb3p1p/1p2rnpb/3p4/2PPp3/1PN1N3/PBR2PPP/3QR1K1 b - -,d8d7
8/5p1p/1pk3p1/p3p3/2P1P3/1RK4P/P4PP1/3r4 w - -,b3b2
1rbqr1k1/3n1pbp/p2p1np1/1pp5/2P1P3/1PN1B1PP/P3NPB1/R2Q1RK1 w - b6,d1d6
4rbk1/pq3ppp/1p1p2n1/1N6/P3r3/1P2B3/R4PPP/3QR1K1 w - -,a2c2
rn1q1rk1/pb1pppbp/1p3np1/2p3B1/P2P4/2PBPN2/1P1N1PPP/R2QK2R b KQ a3,b8c6
4k3/7R/8/5K2/5p2/5NbP/r7/8 w - -,h3h4
r1b3nr/1pN1kppp/p7/4p3/3nq3/4B3/PPP2PPP/2RQKB1R b K -,c8g4
4r2k/6rp/2np3N/pB2p1b1/R1P2p2/1P6/5PbP/5RK1 w - -,h6f5
8/7p/1p6/1kpr1p2/1r1p1PP1/3R3P/4PK2/2R5 w - -,c1d1
8/8/1p4Rp/1kp3p1/r7/3N1K2/PP6/8 w - -,a2a3
