8/8/6p1/1p1k1pB1/1P3P2/3K2nP/8/8 w - -,g5e7
r2b2k1/4n1p1/3p3p/P1qPpp2/2p1B3/2Q2NPP/3B1PK1/R7 w - f6,e4c2
r1b1r1k1/1p1n1pbn/p2p2p1/q1pP2Bp/P3P3/R1N2PN1/1P1Q2PP/4KB1R w K -,g5h6
r2q1rk1/pb1n1pbp/p2p2p1/8/3pNP2/5N2/PPP3PP/R1BQR1K1 w - -,e4f2
rn1qkb1r/1b3ppp/p3pn2/1pp5/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 w kq c6,e3e4
1q4k1/6pp/2p5/1bPp1P2/1P1P2P1/R6P/3BnKB1/8 w - -,h3h4
r4rk1/3n1pp1/pq2pn1p/1p1bN3/1Q1P3B/P7/1P2BPPP/2R2RK1 b - -,f8e8
r3r1k1/1p1b1pbp/2p3p1/p2P4/4P3/6P1/P2B1PBP/1R3RK1 b - -,c6d5
1r6/2q3pk/2r4p/p4p2/2pPp2P/2Q1P1P1/P1R2P2/KR6 b - -,b8b1
r1b2rk1/5qpp/2n1Rb2/p2p3P/1pnP2Q1/5NPB/P1P2P2/R1B2NK1 w - -,h5h6
r1bqk2r/ppn1ppbp/6pn/3p2N1/2P5/1B3N2/PP3PPP/R1BQ1RK1 w kq -,c4d5
2kr3r/1pp3p1/p2b1p1p/7n/1PBN4/3P4/P1P3PP/5RBK w - -,d4e6
5r2/4q1k1/p4pp1/1p6/2r1PRQp/P1P4P/6P1/3R3K b - -,f8d8
5r1k/p1R5/3p1b2/3P4/2P1rPR1/8/P3N3/4K3 b - -,f8e8
r2q1bk1/5n1p/Rp2npp1/1P1p1b2/2PP1p1P/1P3Q2/1B1N1PP1/4R1K1 b - -,a8b8
6k1/p6p/6p1/b1p5/2P1p3/6K1/P5PP/1q6 w - -,g3g4
2rr2k1/pp1bppbp/1qn3p1/2p5/7Q/2P2NP1/PP2PPBP/1RB1R1K1 w - -,c1h6
3r1k2/p1r1p2p/1p2R1p1/5p2/B7/n1P4P/P1P2PP1/4R1K1 b - -,b6b5
2r3k1/pb1qp1b1/1p1pprNp/8/P2P2Q1/2PB3P/1P1N1PP1/R5K1 w - -,a1e1
r1bqk2r/pp2ppbp/5np1/3p4/3P4/1B2BP2/PPPQN1PP/R3K2R b KQkq -,e8g8
2r3k1/7p/p2pN1p1/3n1p2/qP1P4/2pQP2P/5PP1/2R3K1 w - -,e3e4
6R1/8/5p2/5k2/5p1p/8/1r3K2/8 w - -,f2f3
r2qr1k1/1pp2ppp/1p1p1nn1/4p3/3PP3/1QP2N1P/PP3PP1/R1B1R1K1 w - -,b3c2
r7/pp4bk/3Br1pp/1BP1pb2/6P1/1P1pR2P/P4P2/3R2K1 b - -,e5e4
r1bqk2r/pp1p1pb1/2n2np1/2p1p2p/2P5/2NP2P1/PP2PPBP/R1BQNRK1 b kq -,h5h4
5rkn/pp1n2p1/q1rNp2p/3pPp1P/1P1P4/Q2bBN2/P4PP1/3BR1K1 w - -,a3b2
rn1q1rk1/pb2bppp/1p2pn2/2P5/8/1P3NP1/PB1NPPBP/R2Q1RK1 b - -,e7c5
r2qkn1r/pp2bp2/2p2np1/3p2p1/3P2P1/2NBPQ1P/PP1B1P2/1K1R3R b kq -,f8e6
2r2rk1/1p3pp1/p1bb2qp/4p3/4P1P1/P3BP1P/1PQ4K/R4RN1 w - -,c2f2
6k1/5r1r/1P1p4/2p1qp2/P3np2/4bB1P/6P1/R2QBR1K w - -,a1b1
r2r2k1/pp1b2bp/3np1p1/2p3N1/3n4/3B4/PP4PP/R3QRK1 b - -,d4f5
r4rk1/2p3pp/pbn1p3/1p2P3/4N3/8/PPP2PPP/R1BR2K1 w - -,a2a4
r4rk1/ppq2ppp/2nbpn2/3pN3/Q2P1Pb1/2PB4/PP1N2PP/R1B2RK1 b - -,g4f5
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/5NP1/PP1NPP1P/R1BQKB1R w KQkq -,f1g2
7k/2p2r1p/1p1pN1n1/pP1P4/P3P1RP/8/6K1/8 w - -,h4h5
r1b1kb1r/1pp1pppp/p2q1n2/3Pn3/8/P1N2N2/1PP2PPP/R1BQKB1R w KQkq -,f1e2
8/1p2r2p/p2p2p1/2rk4/3n3P/5PK1/Q5P1/8 b - -,d5c6
r2q1rk1/pp2p1bp/2p2p2/3b2p1/1NnPn3/5NPP/PP2PPB1/R1BQR1K1 b - -,d5f7
2rq1rk1/3nbppp/b1n1P3/2pp2N1/5BNP/p2P2P1/P1P2P2/R2QR1K1 b - -,d7f6
rn1q1rk1/pp3ppp/2pb1n2/3pp3/4P3/2NP1BPP/PPP2P2/R1BQ1RK1 b - e3,d5e4
r3k2r/1ppnqp2/p2pp1pn/8/3PP1PP/2N4R/PPPQB3/2K3R1 b kq -,e8c8
1kr4r/pp1b4/1q1bp2p/n2p1p2/2pP4/P1P1PN1P/1PQ3P1/1RBB1R1K w - -,c1d2
8/6k1/p1r5/2p2p2/2N1pPp1/1P1bP3/P4KP1/2R5 b - -,d3c4
1r1q1rk1/p2n1pbp/b2pp1p1/2p5/2P1P3/3PBBP1/P1RQ1P1P/3N1RK1 w - -,f3g2
r2q1rk1/1b1nbppp/p3pn2/1p1pN3/3P1P2/2NBP3/PP2Q1PP/R1B2RK1 b - -,a8c8
7k/1p2b2p/6p1/P2Bp3/3Q2P1/8/2r4r/5RK1 b - -,e5d4
r1bq1rk1/p1pnn1bp/1p1p4/3Pp1p1/1PP1Pp2/2N2P2/P3BBPP/2RQNRK1 b - b3,d7f6
r2qk2r/pp1nbppp/2n1p3/1B1p1b2/3P1B2/2N1PN2/PP3PPP/2RQ1RK1 b kq -,c6b8
r7/5p1p/r1pk2p1/3p4/PR1P4/8/4KPPP/R7 w - -,e2d3
8/4B3/2p1b3/4k3/p1P2p1p/2R4P/r5P1/6K1 b - -,e6f5
2q3k1/1n1b1pp1/1B1p3p/3Pp3/pP2P3/N6P/3Q1PP1/6K1 w - -,b6e3
2r2rk1/Q4ppp/8/8/8/2P4P/PPP2Pq1/1K1R3R b - -,c8d8
8/8/2k1p1KR/3pPr2/3P1P2/6P1/8/8 w - -,g6g7
8/6k1/6p1/7p/3r3P/4NRP1/5P1K/2r5 b - -,d4a4:d4d6
1n2kb1N/r3p2p/p5p1/3p4/3PnP2/4P3/PP4PP/R1B1K2R w KQ -,c1d2
1r6/1p1bkp2/2pn1p1r/p2p1P1P/P2P1NP1/1P1B1P2/3K4/6RR w - -,g1c1
rnbqk2r/pp2nppp/1b2p3/3pP3/1P4Q1/P7/2P2PPP/RNB1KBNR w KQkq -,g1f3
3r3r/2qnbkp1/5p1p/1ppnpP2/2P1N1PP/3P1N2/1P2Q1K1/R1B2R2 b - -,b5c4
2brr3/pp2p1kp/2p2pp1/8/3P1n2/1BP1N3/PP3PPP/R3R1K1 w - -,a1d1
5k2/4p3/2R2p2/5Pn1/8/1r2N3/4PK2/8 b - -,g5e4
rnbqkb1r/ppp1p2p/3p1np1/5P2/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,c8f5
8/pR1r2k1/P3b1pp/4P3/1Ppp2PP/5B2/2n2BK1/8 w - -,f3e4
8/4k3/PR2p3/5p2/5P2/r2p4/3K4/8 b - -,a3a4
2rr4/p4k1p/1p1p1b2/5Bn1/2PP1p2/B3P3/P6P/1R3RK1 w - -,f5c8
r3r3/1ppq2kn/2np2b1/p5pp/P1PPB3/2P2Q1P/3B2P1/R3RNK1 b - -,g6e4
r1bq1rk1/2p2ppp/2p2n2/2Qp4/4P3/pPN2P2/P1PN2PP/R3K2R b KQ -,f6d7
r5k1/3q1ppp/p7/4Q3/1P1p4/P7/5PPP/3R2K1 b - -,d4d3
8/1r3pp1/2R2k1p/rP6/8/p3R1P1/P4PKP/8 b - -,f6f5
4r3/pp5p/2p3k1/3r3R/P2P1bP1/2B1pP2/1P2K2P/3R4 w - -,h5d5
3r2k1/4R1b1/6pp/p4p2/2N5/2Pp2P1/5P1P/4K3 b - -,g7c3
8/8/8/1b1Pp1pp/1p1kPp2/5P1P/3K2P1/3B4 w - -,d1e2
r3k2r/1b1nq1pp/p3pP2/1pnp4/5P2/2NBQN2/PPP3PP/R4RK1 b kq -,d7f6
3r1k2/5p1p/8/2P2NR1/6b1/2K5/2P4P/8 b - -,d8d5
2r2rk1/pb1nqppp/1p1b1n2/2pp4/3P4/1PN1PN2/PB2BPPP/1Q1R1RK1 b - -,a7a5
6k1/4bp2/3pp3/6pp/4P3/2B1qPP1/P2Q2KP/8 b - -,e3a7
8/pp3r1k/2p1bn2/5pRp/3P1B2/3B3P/PPP4K/8 b - -,f6d5
2b1k2r/1p3pp1/4pn2/nq5p/p1p5/B1Q3PP/P2NPPB1/5RK1 b k -,b7b6
2rr2k1/pp3bp1/2n4p/3p3N/5Q2/1P3B2/Pq3PPP/3R1RK1 w - -,d1d2
1k4r1/1ppr4/p1b1p3/5p1p/3P1B2/P4P2/1P1R2PP/2R4K w - -,f4e5
rnbq1rk1/4ppbp/p2p1np1/1p6/3NP3/2N1B2P/PPPQ1PP1/2KR1B1R w - b6,a2a3:f2f3
r1b2rk1/pp3pbp/1q4p1/2Npp3/1P6/2PBP2P/P1Q2PP1/2R2RK1 b - -,b6f6
1rqk1b1r/5p1p/p1np1N2/4pb2/Q3P3/2P2B2/P4PPP/3RK2R w K -,e4f5
r1qr2k1/pp2ppbp/n1p2np1/8/2PP4/P1NRBN1P/1PQ2PP1/4K2R b K -,b7b5
5rk1/1r5p/2pp4/p3pp2/Pp6/2PPP2P/1P2K1P1/1R3R2 b - -,g8g7
r1bqk2r/bppp1ppp/p1n2n2/4p3/2B1P3/2PP1N2/PP1N1PPP/R1BQK2R w KQkq -,c4b3:d2f1:e1g1:h2h3
4r1k1/p4pp1/bp4q1/n1pPp3/P1P5/2P1P2p/5QB1/1RB1R1K1 w - -,e3e4
1r4k1/6p1/p1q3bp/4p3/2Pp4/3P3P/P3QNP1/4R1K1 b - -,b8e8
1r6/4rkp1/R3p3/2PpQpp1/1q1P4/7P/5PP1/4R1K1 w - -,a6e6
3r1rk1/1b4qp/p2p2p1/1npP2Q1/2N1P3/1PbB1N1P/5PP1/3RR1K1 w - -,e1e3
3r2k1/2p2pp1/1pprb2p/p7/3P4/1PP5/P3BPPP/R3R1K1 b - -,c6c5
3rr1k1/p4pp1/1p3n1p/4p3/2q4P/2P2PN1/PPQR2P1/1K2R3 w - -,d2d8
1r3r1k/5pbp/1q2N1p1/8/R6P/6P1/P4PB1/3QR1K1 b - -,f7e6
r4rk1/ppp4n/2np3p/1Bb1ppp1/4P3/2PP1NBP/PP3PP1/R2R2K1 w - f6,e4f5
1kr5/p4Q2/3p3R/1b1P4/8/1P6/1Kq2PP1/8 w - -,b2a3
r1b3k1/ppq3pp/2n1p2B/2ppNr2/3P2Q1/P1P5/2P2PPP/R3R1K1 w - -,e5d3
r7/2p5/1p1p2k1/3Pp3/2PrN3/1P3P2/4RKP1/8 b - -,a8a3
3r4/p1n1k3/1pp1ppp1/5n1p/3P3P/4N1P1/PP2RPK1/3R4 w - -,e3f5
r1b2rk1/p1B2pp1/1pn3p1/6N1/8/6P1/PP3P1P/R3R1K1 w - -,a1d1
r3r3/1b3pkp/1ppR2p1/p3P1N1/4nPP1/7P/PP6/2KR4 w - -,g5e4
5bk1/p6p/4p1p1/3p1p2/3B1P1Q/4P1K1/P1rq2PP/4R3 w - -,e1g1
7R/1r6/2n5/8/K1k5/8/8/8 w - -,h8h4
3r2k1/1p1q2p1/p1p2p2/3p3n/3P2NQ/2P1R3/P1P2PP1/6K1 b - -,d7f7
r2q1rk1/pp1bbppp/2Nppn2/8/4PP2/2N1B3/PPP1B1PP/R2Q1RK1 b - -,d7c6
r1bq1rk1/1p2bppp/p2ppn2/6B1/3QP2P/2N2P2/PPP3P1/2KR1B1R b - h3,b7b5
r1qnrbk1/1pp2pp1/7p/p2Pp3/4N3/P3B1P1/1PQ1PPbP/2R1R1K1 w - -,g1g2
2r3k1/7p/R3N1pb/1p1r1p2/2p5/P1Bb3P/1P3PP1/3R2K1 w - -,a6a7
r4rk1/pp1nppbp/2npb1p1/q7/2P1P3/2N1BP2/PPNQB1PP/R3K2R w KQ -,c2d4
2r2rk1/2q1bppp/1pbp1n2/p3p3/Pn2PP2/1NN1BB2/1PPR2PP/R5QK b - -,f6d7
2r1k2r/p1q4p/3bpp2/3p1p2/b1pP1P2/2P1PN2/P2N2PP/1RQ2RK1 b k -,e8g8
r1bq1rk1/2p2pbp/p1n2np1/1p1pp3/4P3/2PP1N1P/PPB2PP1/RNBQR1K1 w - -,b1d2
8/r7/P3R3/8/4p3/1K6/4k3/8 b - -,e4e3
1R6/8/5k2/5pp1/7p/5K2/8/8 w - -,b8g8
r3k2r/p1p2pp1/npq1p1n1/P2pP2p/3P3P/2P5/2P1NPP1/R1BQK2R b KQkq -,c6c4
8/8/8/4K3/2p5/1kP2R2/8/2r5 w - -,e5d4
3rr1k1/p1p2pbp/1pq2np1/2n1p3/6N1/1P1P2PP/P1PN1P2/1RBQR1K1 b - -,f6g4
6k1/3R2p1/1p2pb2/p4pN1/7P/PPr5/5PPK/8 b - -,c3b3
1b2r3/2k1nppp/2p5/1pPp2B1/1P1P4/6PB/5P1P/R5K1 w - -,a1a6
r1b2q2/p5bk/1npp1Bpp/8/2P4Q/8/PP1N1PPP/R3R1K1 b - -,g7f6
2r3k1/2PN1pp1/4p3/8/1P1R4/6P1/5P2/2q2BK1 w - -,d7f6
1r6/4k3/6Q1/4pp1p/8/2q5/PPP3PP/1K2R3 w - -,g6g7
1rb3k1/p3bppp/1q2p3/1p4PB/4pP1N/3r3P/PP2Q3/n1B2RNK w - -,h4g2
2r2rk1/pp3ppp/1n2p1b1/2q1Pn2/5B2/1B3N2/PP1Q1PPP/2R2RK1 b - -,c5b5
2r1r1k1/pp3n1p/3b2p1/P2P2qn/2p1P3/2N2P1Q/1PB4B/R5RK b - -,h5f4
rn2kb1r/ppq1pppp/2p2n2/2PpN3/3P4/3QP3/PP3PPP/RNB1K2R b KQkq -,e7e6
2k4r/pp3p2/2nr1p2/3p1R1p/3P3R/P5P1/1PPKNP2/8 b - -,h8e8
8/6p1/4pk1p/p2rp2P/Pb2K3/3BP1P1/5P2/3R4 w - -,d1h1
r1b2rk1/pp2ppbp/1q3np1/n1p5/3P4/NQP1PNP1/PB3PBP/R4RK1 w - -,b3b6
r5k1/p4pbp/Npp3p1/8/4qP2/nP4P1/P4B1P/2RQ2K1 w - -,a6c7
2r2rk1/1p1bq1pp/2n1np2/p1P1p3/3pN3/PP1P1NP1/2Q2PBP/R3R1K1 w - -,e4d6
5rk1/1q1n1rbp/pnp1p1p1/Q2pp3/2P5/N2P2P1/PB2PPBP/2R2RK1 w - -,c1b1
r2q2k1/pp1bp1bp/2p1n1p1/3pP3/P2P2P1/1BN3BP/1PP5/2KR1Q2 w - -,f1d3
2r5/8/4p3/pk1br3/2pR4/P1N2P2/1PK4R/8 b - -,b5c5
r3k2r/1p3pp1/p1nq2p1/2b3n1/8/1P3N2/PBQ1BPPP/1R3RK1 w kq -,g2g3
r1b2rk1/pp1nbppp/2pp1n2/q3p3/3PPP2/1BN2N2/PPP3PP/R1BQ1R1K b - -,e5d4
6k1/1q2bp2/ppn1p1pp/2p1P3/P1P2P2/2NQP3/1B4PP/6K1 b - -,c6b4
4n1k1/p1R1bppp/1pp3n1/4P3/5P2/2N1BBPP/PP6/6K1 b - -,e8c7
6k1/7p/8/2p5/1pP5/1Pq2Q1P/6PK/8 w - -,h3h4
