8/4k3/1K6/1R2r3/P1R5/1P4r1/8/8 b - -,e5e3
1r3k2/1q4b1/p2p1p1p/2pQp1pP/4P1P1/2N2P2/P7/2KR3R w - -,d5b7
5rk1/7p/p2qp1p1/1p2R3/2pP1RP1/2P5/P1Q4P/6K1 b - -,f8f4
r2q1rk1/pb2bppp/1pn1pn2/2pp4/2PP4/1PNBPN2/PB3PPP/2RQ1RK1 b - -,c5d4:a8c8
1rb1rb2/1p3p1p/pN3kp1/4p3/8/5B2/PP3PPP/2RR2K1 w - -,b6d5
2r2rk1/1q2ppbp/ppn1b1p1/3p4/3PnB2/PN1BPN1P/1PR1QPP1/5RK1 w - -,f1c1
2r3k1/1b4p1/pn3p2/2pq4/3p1P1P/BP3PP1/P4QB1/2R3K1 w - -,g2h3
rnbqk1nr/ppp1ppbp/6p1/3p4/3P1P2/4PN2/PPP3PP/RNBQKB1R b KQkq -,c8f5:g8h6
2rqrbk1/1b1n1p1p/pp2p1p1/3nN3/P1NP4/1P1BR3/1B3PPP/1Q1R2K1 w - -,e3g3
r4rk1/pbpqppbp/1p4p1/n7/3PP3/5NP1/P1Q2PBP/1RBR2K1 w - -,c1f4
r1bq1rk1/ppp1n1bp/3p1n2/3Pp1p1/1PP1Pp2/2NN1P2/P2BB1PP/R2Q1RK1 w - -,c4c5
r1b1k2r/pp1n1pp1/2p4p/4pP2/1bB1P3/2N2N2/PPP3PP/2KR3R b kq -,b7b5
rnbq1rk1/pp2p1bp/2p3p1/5p2/2PPN2P/4P3/PP1Q2P1/2KR1BNR w - f6,e4c3
3r1rk1/p4ppp/1p6/8/P3p3/1Bq1P2P/Q4PP1/5RK1 w - -,a2b1
3r4/1b3k1p/p2r2p1/Pp3p2/4pQ2/4R2P/2qP2P1/5NRK w - -,e3c3
3k4/8/2Bp2p1/3Pp2p/4P2P/3K4/P5P1/6b1 b - -,g1f2
r1bqk2r/1p2bpp1/p2ppn1p/2P1n3/4P1P1/2N1BP2/PPPQN2P/R3KB1R w KQkq -,e2g1
1r3rk1/pp3ppp/1qn5/1Nb5/3p4/P2P2P1/3BbPBP/1RQ2RK1 w - -,b5d4
r1b5/1pp1q1k1/1n1b1r2/3PNp1p/p2P1PpP/P2Q2N1/BPP5/1K1R3R b - -,g7h6
8/3k1Bn1/3P4/ppr1P2p/4R3/P4K1P/8/8 b - -,b5b4
8/8/p4k1p/1p4p1/1R3pP1/P1n1r2P/3N4/5K2 b - -,c3d5
2kr3r/pb1nqp2/1p3npp/8/P1PpP3/3BB1NP/2Q3P1/R4RK1 w - -,e3f4
1k1r3r/1p1bb3/1qn1p3/3pPppp/1PpP4/2P1PN2/2BNQ1PP/RR5K w - -,b1b2
rnb1k2r/pp2ppbp/6p1/2PP4/5B2/2n1P3/qP1Q1PPP/2R1KBNR w Kkq -,b2c3
r3kb1r/1pq2ppp/p1bppn2/2p5/4PP2/1P1P1N2/PBPN2PP/R2Q1RK1 b kq -,f8e7
r3k2r/1bq1bpp1/p3p2p/1pnpP3/3NBP2/P1N2Q2/1PP2BPP/1K1RR3 b kq -,c5e4
r1br2k1/1ppqppbp/pnn3p1/1N5P/3PP3/4BP2/PP1Q2P1/2KR1BNR w - -,b5c3
r2qkb1r/1bpn1ppp/p3pn2/1p6/8/1P3NP1/P1QPPPBP/RNB2RK1 b kq -,c7c5
r2r2k1/pp3pb1/1qn1b2p/2pNp1p1/2P1P3/6B1/PP2BPPP/1RQ2RK1 b - -,c6d4
2r1r1k1/1Q3p1p/1p3qp1/8/3p4/3B2Pb/PPP2P1P/3RR1K1 b - -,h3g4
8/2n5/p1k4R/8/8/1P3r2/PK6/8 b - -,c6b7
1b2r1k1/1r3pp1/p1q4p/P1p1P3/1p1p1P2/1P1Q3P/2PN2P1/R3R1K1 b - f3,b7e7
8/1p6/2p5/p3k1b1/P1P1B1Pp/1P2K3/8/8 w - -,e3f3
r1bq1rk1/bp5p/2pp2p1/pN2np2/2P1P3/1P6/PB2QPPP/3RRBK1 b - -,c6b5
r7/4kp2/p2p3b/1p1Ppp2/3n3P/N2B4/PPP2P1P/1K4R1 w - -,g1d1
3qn1k1/3r2b1/P2p2r1/3Pp3/1P2P1Bn/5p2/5BPP/2RQR1K1 w - -,g4e6
r3qrk1/1pp3b1/3p3p/2nP1P1b/p1P1Np2/P4NPP/1PB2PK1/1R1Q1R2 b - -,c5e4
r2q1rk1/1pnnppbp/p2p2p1/P1pP4/2N1P3/2N5/1PP1QPPP/R1B2RK1 w - -,c3a4
8/7R/1r1pbk1p/4pp2/2P5/2KB1P2/6PP/8 b - -,f6g6
8/8/8/6pk/R7/2r3p1/6K1/8 b - -,g5g4
r2q2k1/1p2pr1p/p2p4/8/3bP1b1/1BN5/PPPQ4/2KR3R w - -,d2d4
rn3rk1/pp3pbp/6p1/4pb2/2N5/2P1BN2/PP3PPP/R3K2R b KQ -,b8c6
r5k1/2p3pp/pp1b2n1/2p1pr2/4N3/P2PBP1P/1PP2P1K/R5R1 b - -,g6h4
rnb2r1k/5pbp/p2p1q2/2pPpN1Q/2P1P3/1RN3Pp/P2B1P1K/4R3 w - -,h5h3
r3qrk1/1ppb1ppp/1n3n2/p2Pp1B1/Pb2P3/1QN2NP1/1P3PBP/R3R1K1 w - -,g5f6
4n3/5pp1/2k5/4BP2/6pP/2P3K1/8/8 w - -,g3g4
2r4r/1bqkbp2/p3pP1p/2npP3/1p1N4/3BB3/PPPQ3P/1KR2R2 b - -,e7f8
8/8/8/P1R2Pkp/8/5r2/3K4/8 w - -,f5f6
r3r1k1/p2nbpp1/b3pn1p/q3N3/1p1PN2B/5Q2/PPB2PPP/R3R1K1 b - -,a8c8
5k2/6p1/7p/p6r/3P1q2/1QP2P1N/6PK/3R4 w - -,h2g1
8/8/2k2n2/1pN2P2/2pK4/p7/8/8 w - -,c5a6
r1bqk2r/pp1n1ppp/3bpn2/2pp4/2PP4/3BPN2/PP3PPP/RNBQ1RK1 w kq -,b1c3
rn1qkb1r/pb1p1pp1/1p2pn2/2p4p/2P1P3/2N3P1/PP1PNPBP/R1BQK2R w KQkq h6,h2h3
rb1qr1k1/1b3pp1/pp3n1p/2pP4/P3PP2/2NQ2P1/1B4BP/3R1RK1 w - -,e4e5
3rn1k1/8/6p1/p1N1qb2/1p6/1P5P/P2N2B1/4R1K1 w - -,e1e5
r4rk1/ppq2ppp/2n1bn2/4p1B1/4P2N/P1p5/2B2PPP/R2Q1RK1 b - -,f8d8
2k5/4rp2/1pp2rp1/2N4p/3p3P/3R1BP1/5K2/8 w - -,c5a4
2r5/5pk1/4p2p/R5p1/P7/1p2P2P/nP2BPP1/4K3 w - -,e2d1
8/1p1nQpkp/p1q2np1/3p4/3P4/PP3PPP/5B2/5BK1 w - -,e7e3
8/3b1k2/3p3p/p1pP2q1/1pP1Pp2/1P3P2/P4Q1P/1K3B2 b - -,f7f6
r1b2rk1/ppqn1pb1/2p2npp/4p3/4P2B/2P2N2/PPQNBPPP/R4RK1 w - -,b2b4
2rk3r/3q1pp1/p2p4/2p2P2/1pPbPBQ1/1P1P4/P3R1K1/5R2 b - -,f7f6
q5k1/2nr1pp1/4p2p/P1B1P3/8/Q5P1/5P1P/R5K1 b - -,a8a6
r1b2rkb/3n1p2/p1p3pB/qpP1p2p/3P3P/2N2P2/PP1Q2P1/1K1R1B1R w - -,h6f8
5r2/4R3/pr6/3P2pk/7p/1P1BKpP1/5P2/8 w - -,g3h4
4rrk1/1p1q2p1/p1n2n1p/3pp3/Nb6/5P1N/PPP1QBPP/R4RK1 w - -,c2c3
r2r4/4qnk1/p1p1b1p1/2Npp2p/4P1nP/1PQ3P1/PNPR4/1K1R1B2 w - -,f1h3
8/8/6p1/5p2/2kp1K1P/6P1/8/8 w - -,f4g5
8/1kp1q1pp/1pp1r3/3p4/P2P4/1P1QP2P/6P1/2R3K1 w - -,c1e1
r4rk1/1bqnbppp/p2pp3/1p3PP1/3BP1B1/P1N5/1PP4P/R2Q1RK1 b - -,e6f5
6R1/6p1/bp1k4/p7/5N1p/1P3P2/P1r3P1/6K1 b - -,c2a2
8/8/4p3/kr2P3/1p2R3/1K6/8/8 b - -,b5b7:b5b8:b5c5
r4rk1/2qnbppp/p1np4/1pp5/4PP2/1NPBB2P/PP1Q2P1/R3R1K1 w - b6,d3c2
r1b2rk1/ppq1bpp1/5n1B/4p3/7Q/3B1N2/PPP2PPP/R3R1K1 b - -,e5e4
5k2/7p/B5p1/P5n1/3n4/1PN4P/8/4K3 w - -,a6c4
8/6kp/5Bp1/8/1R4b1/1P2P3/r4P2/6K1 b - -,g7f6
1rbr2k1/3p1ppp/1NpP4/p3n3/8/P3P3/1P3PPP/R3KB1R w KQ -,b6a4
7r/1pqB1pk1/1N1p2p1/2pPp3/4P3/3P2P1/1Q3P2/6K1 b - -,c7d8
1r6/5pkp/R3p3/1P4p1/P2K4/1b4P1/7P/8 b - -,b3a4
6rk/pp1r1b1p/2pBpp1b/2P2pq1/2NP3n/1P5P/P1B1RQP1/5RK1 w - -,g1h2
3r4/2p2p1p/2p3p1/1k2N3/p3PP2/K1R1B2P/6P1/3r4 b - -,f7f6
7r/5pk1/2r2b2/p2N1Pp1/3Pp1n1/2P5/3Q2P1/5RK1 b - -,h8h4
2r1k2r/pp1n1ppp/3qpn2/3p3b/2PP4/5N1P/PPQNBPP1/R4RK1 w k -,c2a4
4rrk1/ppQ4p/3pp1pb/7n/4Pq2/2P2N1P/PP3BP1/4RRK1 w - -,c7b7
r5k1/5qpp/1pbpr3/p1b2p2/P1PpPB2/3P1PP1/2Q3BP/1R2R2K b - -,a8e8
3r2k1/p5p1/7p/r2b2N1/2P1p2P/1P4P1/P1K1B3/R7 w - -,c4d5
3q1r1k/1b3ppp/ppp5/5r2/2BPp3/2R1P1P1/PPQ2P1P/2R3K1 b - -,f8e8
rnbqk1nr/pp1pppbp/6p1/2p5/4P3/6P1/PPPPNPBP/RNBQK2R b KQkq -,b8c6
r1b2rk1/pp4pp/2pqp1n1/3p1p2/2PPn3/1PN1PNP1/PQ3PBP/R4RK1 b - -,c8d7
5k2/3b2pp/1p1N4/2PP1p2/1P5q/5p2/4K1PP/2Q5 w - -,g2f3
4Q3/5pbk/1p2p1pp/2p5/2P4P/6P1/Pq3PB1/6K1 b - -,b2a2
r2rq1k1/pp3pp1/5b1p/n2p4/3P4/2R1B2P/PP1QBPP1/2R3K1 b - -,a5c6
5r2/8/7p/5B1P/1P3kP1/2K5/8/8 b - -,f4e5
r2q1rk1/pppbppbp/3p1np1/n7/2PP3N/1PN3PP/P3PPB1/R1BQ1RK1 b - -,c7c5
rnbqk2r/pp1pppbp/2p2np1/8/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1c3
4kn2/7p/p4rpN/2BPp3/1p6/8/2P1N3/6K1 b - -,a6a5
r5k1/pp2n1pp/1qn1pr2/3pN2b/3P1P2/2NB4/PP1Q2PP/R4RK1 w - -,e5d7
8/p7/1p1kp3/1P1pN3/3P1P2/3BK3/8/4r3 w - -,e3d2
rnb2rk1/pp3ppp/1q3n2/2bPp3/8/2N1P1P1/PP3P1P/RNBQKB1R b KQ -,e5e4:c8g4
5r2/5Bk1/2p1Pn1p/1p4p1/p5P1/P1P1PR1P/1P6/6K1 w - b6,g1g2
