8/8/8/4R3/8/6KP/8/3rqk2 w - -,e5e1
5r1k/p1p3pp/1p5n/4P3/1PBp1P1P/P5P1/1B4K1/8 b - -,c7c5
3rr1k1/1p2bppp/8/q1np4/p7/P1P1BNP1/1PQ2PP1/3RR1K1 b - -,g7g6
1qrb1rk1/3n1ppn/p1bp4/1p2pPP1/2P1P3/2N1BN2/PP2Q1B1/2R1R1K1 b - -,d8b6
2k4r/pp1b1nb1/4p1p1/2pp4/8/2P3BP/PP2NPP1/3RR1K1 b - -,g6g5
3r3r/1p2k1bp/p3pnp1/4p3/4P3/1BNR4/PPP1K1PP/7R b - -,d8d4
rnbq1rk1/ppp2pbp/3p2p1/4p2n/1P6/3P1NP1/PBP1PPBP/RN1Q1RK1 w - -,f3e1
6k1/2N2Qp1/ppn3p1/2p1r3/2Pp3P/1P1Pb3/PB4K1/R7 b - -,g8f7
r3b1k1/1q1r1pbp/2p1pnp1/ppB1P3/3P4/5NP1/PP2QPBP/3RR1K1 b - -,f6d5
r3r1k1/pb3pp1/1p2pn1p/2q1Q3/2P5/3B4/PP1B1PPP/3RR1K1 b - -,c5e5
5k2/6p1/4p2p/7P/4P1P1/r2RKP2/8/8 b - -,a3a5
br1r2k1/2qnbppp/p2ppn2/N7/RPP1P3/2N1B3/2Q1BPPP/3R2K1 b - -,d8c8
2bq4/6k1/1p3pp1/pP1p1n2/P1pP1P2/2B2BP1/5P2/4Q1K1 b - -,g7f7
4n2r/3r1p2/p2p2k1/P1pPpN2/1pP1PP1P/1R4P1/6K1/5R2 b - f3,f7f6
r1bq4/pp3rkp/2p2pp1/4p3/3pP1PP/2NP4/PPPQ1P2/2K3RR w - -,c3e2
r1b1k3/pp3prp/3p1Qp1/3Np3/4P3/6P1/P2q1P1P/1RR3K1 b q -,e8f8
3r3k/6pp/3q4/5p2/2B1p3/4B3/PP4P1/2Q2K2 b - -,h7h6
2b3k1/2r1qppn/7p/1p3P1P/1p2P3/1P3BQ1/6P1/3R3K w - -,g3f4
6k1/1p3bp1/p1r1r2p/2R5/5P2/4N1P1/4RK1P/8 w - -,c5a5
r2qk2r/1bpnnpb1/pp1pp1pp/8/2PPP3/2NBBN1P/PP1Q1PP1/1K1R3R b kq -,c7c5
3n4/8/3k1p2/1N3P2/5KP1/8/8/8 b - -,d6e7
5rk1/2r2ppp/p3b3/1pnB1n2/1N6/2N4P/PPPR1PP1/3R2K1 b - -,h7h6
r5k1/4rpnp/p2p2p1/1bpPp2N/4P3/2P2N1P/1PB2PPK/R3R3 b - -,g7h5
6k1/r3p3/3pPb1p/2pP4/Pp4P1/1P1B4/8/5RK1 w - -,g1g2
8/1q1r1p1k/6pp/1p2p3/pb1pPnP1/P2P3P/1PR2P1K/3QN3 w - -,a3b4
R7/3k4/4pp2/8/4P3/1p1K4/1b1B1P2/q7 w - -,a8a1
1q1br1k1/2r3pb/pp2pn1p/N3p3/PQ2P3/2N1BPP1/1P1R3P/R5K1 b - -,b8c8
r3r1k1/2p1qppp/1pPp1nn1/p3p3/1PP1P3/P1N3P1/3Q1PBP/R1R3K1 b - e3,g6f8
6k1/p4p2/4p2p/6p1/1P6/P1B1PP2/1Q3KPP/1n1q4 b - -,b1c3
8/8/2kn1p1p/1pp1pPpP/1b1pP1P1/1P1P4/2PNK3/2B5 w - -,c1b2
2b1kb1r/r4p2/p1pPp2p/7q/4Np1B/2P1n3/PP4PP/R3KB1R w KQk -,e4f6
3q4/5Qbk/7p/4B3/2P5/p5P1/5P1P/6K1 b - -,d8f8
r1br2k1/p1b2pp1/3qpn1p/2pPN3/2P5/3Q4/PBB2PPP/R3R1K1 w - -,g2g3
1qb3r1/1r2b3/3pkp1R/2R1p1p1/2Q1P1P1/P1N1B3/1PP2P2/K7 b - -,e6d7
2r1k2r/2q1bpp1/p1bp1n2/1p2pP1p/2n1P1P1/PNN1BQ1P/1PPRB3/2K4R w k -,g4g5
3q4/3r4/1r1P1nkp/4Q3/4p1p1/p2R2P1/P4PBP/3R2K1 w - -,g2e4
8/b1B5/4kp2/6Pp/1p2P3/1P4P1/2P1K3/8 b - -,f6g5
r1b5/p7/3pk1p1/1Pn5/4pPP1/4R3/P6P/B1R3K1 w - -,a1d4
1r3rk1/RP1q1ppp/1p1pp3/1p6/3P3b/2P1P2P/1P2QPPB/4K2R w K -,e1g1
r2q1rk1/1bnn1ppp/2p1p3/p1PpP3/8/5NP1/PPQN1P1P/R3RBK1 b - -,b7a6
8/7R/pp6/8/PP2p1k1/4P3/1r6/4K3 w - -,a4a5
3r2k1/4nbpp/3q4/3p4/p1p2N2/2P3P1/P3QPBP/3R2K1 w - -,e2e3
8/8/p7/Pb6/1PkppBp1/6P1/3K4/8 w - -,f4g5
8/p4r1k/R6p/5N2/4n1P1/1P6/P5K1/8 w - -,a6h6
4r1k1/7p/n3bpp1/2q5/2P2P2/1P4PP/P4QB1/3R2K1 w - -,f2c5
r4rk1/4q1p1/pQppb2p/5p2/3P4/5N1P/PP1N1PP1/R1B3K1 b - -,e6d5
5r2/4qr1k/p5pb/2n1p3/1p1p3p/1P1P2PP/P1R1QBBK/5R2 w - -,g3h4
2rrn1k1/pq1nbppp/1p2p3/1N2P3/2p4P/1P4P1/PB1N1P2/1Q1RR1K1 w - -,d2c4
r1bq1rk1/pp1pp1bp/n1p2np1/5p2/1PP5/5NP1/PB1PPPBP/RN1Q1RK1 w - -,d1b3
1br3k1/6p1/pp2q3/3p1p2/1Pr2Pp1/P3P1P1/1B1Q3P/2R2RK1 b - -,b6b5
4r1k1/p2R1pp1/7p/1Pb5/8/6B1/5PPP/5K2 w - -,f2f3
r2q1rk1/pp1bppbp/3p1np1/8/2PnP3/2N1B2P/PP2BPP1/R2Q1RK1 w - -,e3d4
7r/8/4k3/R5K1/8/7p/8/8 w - -,a5a1
3rr1k1/p5bp/2q3p1/2NN1p2/2p1PP2/B5P1/PP4KP/4RQ2 w - -,f1c4
3rr1k1/pp3p1p/6p1/3Rp3/6P1/2P1P2P/PP6/2KR4 b - -,d8d5
r4rk1/pppQ1ppp/3p1b2/2nP4/1PP2B2/P4N1P/5PP1/3R1RK1 b - -,c5d7
8/5ppp/k1p1p3/P1p1P2P/2P2P2/R1P5/4r1PK/8 w - -,h2g3
4k2r/r4p2/2bp1p1b/2q1pP1p/p1B1P2P/P5N1/1P2Q1P1/1K1R3R w k -,c4d5
r1bQkb1r/1p2pppp/p1n2n2/4p3/2B5/2N2N2/PP3PPP/R1B2RK1 b kq -,c6d8
8/2p1k2p/pp2r1p1/2p1p3/4P1P1/1PPPK2P/1P6/5R2 w - -,g4g5
r2qk2r/1b1nbppp/p1p1pn2/1p4B1/3P4/1QN2NP1/PP2PPBP/R3K2R w KQkq -,f3e5
r1b2r1k/ppp3pq/2n4p/4Pp1P/2B5/2P1Q3/PP1N2P1/2KR3R b - -,f5f4
7k/Q7/3p3p/3Pp3/1p6/7P/P5R1/3q3K w - -,h1h2
2r3k1/5p2/p3pb1p/1PPb2p1/1P1Pp3/6P1/1N3PBP/3R2K1 b - -,a6b5
3r1rk1/ppqbnp1p/4p2p/2P1P3/6P1/P2B1N2/2P2P1P/R2QR1K1 w - -,d1c1
8/r5kp/8/pR6/PbN1KPP1/1P6/8/8 b - -,a7a6
8/8/8/k5K1/6P1/5P2/8/1q6 w - -,f3f4
8/8/3b4/K4Pk1/1p4Pp/1B5P/8/8 w - -,a5a4
r4rk1/pb2npbp/1pq1p1p1/2p5/2B1NPP1/2PPB2Q/PP5P/4RRK1 b - -,a8d8
r1bq1rk1/pppp1pp1/2n1pn1p/8/2PP3B/P1P2N2/4PPPP/R2QKB1R b KQ -,d7d5
8/5Rk1/8/p3rnp1/8/1B3K2/P4P2/8 b - -,g7g6
r1b2rk1/2q2pp1/2p1pn2/2N3Qp/p7/2P2N2/PP1R1PPP/5RK1 w - -,d2d4
2n2r2/r1p1q1kp/2B3p1/p1P1p3/1P3P2/6PP/5Q2/3R2K1 w - -,d1d7
6r1/2pqnk1p/pp1p1nr1/3Pp1R1/2P1Pp1P/5P2/PP2NB2/2K2Q1R w - -,h1g1
5rk1/5pbp/p1q2np1/P1N1pP2/1P6/4B3/1P2Q1PP/5RK1 b - -,f8a8
5rk1/r1bnqppb/2p1p2p/p2pP3/PpPP2P1/1P2P1N1/1B2QRBP/3R2K1 b - -,a7a8
8/5pk1/p1pqpp1p/2p5/2P5/PPQ1P1P1/5PKP/8 w - -,h2h4
r1bqk2r/ppppbppp/2n1pn2/8/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq d3,e7b4
2rq1r1k/pb1nb1pp/1p2Q3/1B1p1p2/P2Pn3/1P2PNP1/5P1P/RNBR2K1 b - -,d7b8
4R3/p6p/2p2ppk/5b2/5P2/1B4P1/PP1KR2P/1q6 b - -,c6c5
r5k1/5ppp/1b2pn2/p3q3/P6Q/3rPP2/NP3P1P/R1B2RK1 w - -,a2c3
8/7P/2p1k3/4p3/4K1P1/2r2P2/8/8 b - -,c3c4
3r1rk1/pp1b1p2/2p2qpb/3Pp3/2B1P2p/2N2P2/PP2Q1PP/R2R3K w - -,e2f2
8/8/8/P1R2p2/5k1p/2K2P2/7r/8 w - -,c5c4
r2qr1k1/ppp1bppp/3p1n2/3Pn3/3B4/2N2B2/PPP2PPP/R2Q1RK1 w - -,f1e1
3r2k1/1b2bppp/1B2p3/3qP3/1p6/6N1/1P2QPPP/R5K1 w - -,f2f3
8/4k3/5p1p/3P1Pp1/1p3bP1/1b5P/1P2BN2/1K6 b - -,b3d5
r4rk1/1bqnbppp/4p3/p1npP3/1pPN1P2/8/PPBNQ1PP/R1B2RK1 w - -,b2b3
r1bq1rk1/1p3pbp/2ppnnp1/p3p3/2P5/BPNPP1P1/P2N1PBP/R2Q1RK1 w - a6,a1c1
8/4k3/1b2p1p1/1B1bPp1p/3N1P1P/2P3P1/2K5/8 w - -,c2d2
3rr1k1/3q1pp1/n2p1b1p/pppP4/4PB1P/1P4P1/P2Q1PKN/2R1R3 w - -,f2f3
1r4k1/2n2nbp/p2p1qp1/2pP4/N3rPB1/7P/1P1Q2PB/4R1K1 w - -,e1e4
8/7p/8/2k5/K1p3P1/b1B1p3/P6P/8 b - -,a3c1
2kr1b1r/1pqn1pp1/p3p2p/2Ppn2P/N5P1/3NB3/PPP1QP2/2KR3R b - -,e5d3
8/1p2qk2/p3Qn2/3p1P2/3P4/1P2P1pp/P4P2/5BK1 b - -,e7e6
2r2k2/4bp2/2P5/pP3p1p/P1Bp1P2/7P/2K5/4R3 b - -,e7d6
r4rk1/pp2qppp/2n1bn2/2bp4/8/1PN1PN2/PB2BPPP/R2Q1RK1 w - -,a1c1
2Rr2k1/5ppp/1p2pn2/4N3/p2bP3/4BP2/PP2R1PP/6K1 b - -,d4e3
r4rk1/pppq1ppp/2npb3/6B1/8/2P5/PPPQBPPP/R3K2R w KQ -,e1g1
r3k2r/pp2qpbp/4b1p1/3p4/1Q1P4/4B1P1/PP3PBP/R3K2R w KQkq -,b4e7
8/8/8/4p2p/4k2b/5p1P/7K/2B5 b - -,e4d3
4r1k1/6bp/6p1/1p4P1/1PpPqB2/2P2pQP/5R2/6K1 b - -,e4e1
2rq1rk1/p2p1ppp/1p6/2bQP3/8/8/PPP2PPP/R1B2RK1 w - -,f1d1
Q4rk1/p5b1/4b2p/8/1q3B2/6P1/P3PP1P/5RK1 w - -,a8c6
r7/5kp1/1np2p2/p1N1p2p/Pn2P2P/2R2PP1/1P2K3/2N5 b - -,f7e7
r2q3r/p2knpNp/np2p3/3pP3/3p4/P1P5/2P2PPP/R1BQK2R w KQ -,c3d4
6k1/ppp4p/1q1n2p1/5p2/5Q1P/6P1/PP1R1PBK/4r3 w - -,f4h6
rn1q1rk1/pb2bppp/1p1ppn2/8/2PN4/1P2P3/PB2BPPP/RN1Q1RK1 w - -,e2f3
r1b1k3/1P5R/4r1pN/6B1/P7/1p3pPP/8/6K1 b - -,a8b8
8/3b1k2/Bp6/3Pp1p1/4P3/P4K2/8/8 w - -,a6e2
3r2k1/7p/p1q1N1p1/1p2Q3/3p1P2/6KP/PP4P1/8 b - -,d8d7
8/8/p1r5/4p2R/2P1k3/1P5P/2K2b2/2B5 w - -,h3h4
2kr2nr/pb1q4/1p1p1p1p/n1p1pP2/2P5/2PPBNP1/P3Q1BP/R4RK1 b - -,d7f7
r2qk2r/3nppbp/bn1p2p1/2pP4/8/2N2NPB/PPQ1PP1P/R1B2RK1 w kq -,f1d1
3rr2k/7p/pN2b1p1/2BP1q2/P3pb2/8/4BPKP/1RQ5 w - -,c1c3
r4rk1/pp3p2/1q2pbpP/2pnN1p1/2P1Q3/8/PP1B1P2/1K1R3R b - c3,g8h7
5b2/pb1n1k1p/1pp5/3p1n2/3P4/PP1P1K1P/1B2R3/2R5 w - -,c1f1
1q6/p2n1k2/2p1p3/2Pp3p/P2Pp1pN/4P1P1/4QP1P/6K1 w - -,e2a6
1R6/3rnppk/4pb1p/1B6/3P4/4B2P/4KPP1/8 b - -,d7c7
3r1rk1/1pqn2pp/p1p1bb2/4pp2/2P5/PP2P1P1/1BQ1NPBP/3R1RK1 b - -,a6a5
r7/p1q2kp1/2n1p3/2p3BP/2P5/P7/4QPP1/3R2K1 b - -,a8e8
8/4B3/4kP2/3p3R/8/3p2Pp/4rP2/4K3 w - -,e1d1
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/2N2NP1/PPQ1PPBP/R1BR2K1 b - -,a8b8:d8c7
6b1/5k2/8/6K1/6P1/1p5P/8/1B6 w - -,g5h6
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/2NBPN2/PP2QPPP/R1B2RK1 b kq -,c6c5
br4k1/brq5/p2p1Qp1/P2Pp3/2P3p1/1N3P2/3B3P/1R2R2K b - -,c7f7
8/8/1p2p3/pP2Pk2/6p1/3n2K1/1P1p4/3R4 w - -,d1d2
r1bq1rk1/1p4bp/5np1/p1NPpp2/1n2P3/B1N5/4BPPP/1R1Q1RK1 b - -,d8c7
1n1q1rk1/r1p1bppp/p3pn2/1p6/3P4/5bP1/PP1BPPBP/RNRQ2K1 w - -,g2f3
r1bqk2r/ppp1nppp/3p4/2bPp3/3P4/5NP1/PP2PPBP/R1BQK2R b KQkq -,e5d4
6k1/3R1pp1/2p2n1p/8/8/4P1P1/5P1P/1r3BK1 w - -,d7a7
r3rbk1/4q1p1/ppbpp2n/4n3/2PBP3/2N4B/PP1NQ2P/2R3RK w - -,e2h5
8/k2r2p1/pp3n2/5q2/7P/2N3P1/PP6/K1R1Q3 b - -,f5f3
5nk1/1pb2pp1/p3p1p1/4P2q/4B2P/2r2PB1/4Q1PK/3R4 w - -,e4b7
r2q1rk1/p3ppbp/2p1b1p1/3p3n/3P4/2N1B1P1/PP2PPBP/R2Q1RK1 b - -,d8d7
3Q2k1/5p1p/p5p1/P7/1pP2P2/3p2P1/1q2r2P/3R2K1 b - -,g8g7
r2q1rk1/ppp1p1bp/3pbNp1/6B1/2PP4/8/PPQ2PPP/2KR1B1R b - -,e7f6
8/7p/p1k1p1p1/1p6/1B1PP1P1/3K2bP/P7/8 b - -,g3f2
r2q2k1/1pp1b1np/p2p2p1/2PPp3/2N1P1b1/3NB1P1/PP1Q3P/2R3K1 b - -,g7e8
r3rbk1/1bqn1ppp/p7/8/1N2pPP1/2P1B2P/1P3QB1/R4RK1 b - -,d7c5
8/4n3/k3b3/1p2Bp2/pP4p1/3P4/2P2KBP/8 b - -,e6d5
3k4/6R1/8/2n3p1/2N5/1P1p4/r7/3K4 w - -,c4e5
2r2rk1/ppqbbppp/3p1n2/4p3/3PP3/1N1QBN1P/PP3PP1/R4RK1 b - -,d6d5
8/8/Q7/1p1qp3/1P2k1K1/P7/8/8 b - -,d5g8
7R/6r1/8/1n6/2k5/8/1K6/8 b - -,g7g2
b7/3n2pk/1p3n1p/4p3/1p2P1P1/P1N4P/2r5/B2R1BK1 w - -,a3b4
7R/2k2N2/5r2/P1nB4/3n1pp1/8/5KPP/8 w - -,h8h6
r1bqr1k1/pp4bp/2ppn1p1/5P1n/2PP1P2/2N1B2P/PP1QN1B1/R4RK1 b - -,g6f5
8/5pN1/5R2/1p1P4/1P3b2/P4k2/6r1/4K3 w - -,e1d1
r1b1k1nr/3pq1pp/p1p1pp2/8/4P3/2P1B1Q1/P1P1BPPP/R3K2R b KQkq -,d7d5
r2q1rk1/pp2b1pp/2n1bp2/2pnp3/8/P1NP1NP1/1P1BPPBP/R2Q1RK1 b - -,d8d7
6k1/5bbp/3p2p1/4pP2/r2pP1P1/P6P/1Br3BK/1R3R2 w - -,b2c1
8/1R6/5p2/1pr1bkpp/8/1P4P1/4R1KP/8 b - -,c5d5
3k3r/p2nbppp/r4n2/1Np5/2P2P2/B2P2PB/P6P/R3R1K1 w - -,d3d4
2r1k2r/1bq1bppp/pB2p3/1p6/1p2PPP1/2N5/1PP2Q1P/1K1R1B1R b k -,c7b8
2r4k/1Q1p2b1/p2Pb1p1/q6p/P1r1P3/B1pR4/6PP/1NR3K1 w - h6,d3f3
rn1q1rk1/pbpp2pp/1p2pn2/5p2/1bPP4/1QN2NP1/PP2PPBP/R1B2RK1 b - -,a7a5
1k1r1r2/p1p3b1/1pq3p1/4nb2/3R4/1QN1B3/PP2BP2/2KR4 b - -,d8d4
r1bq1rk1/2p1b1pp/ppn1p3/2n1P3/2PpN3/5N2/PP3PPP/RBBQR1K1 b - -,c8b7
7r/pk2n1pp/1n2bp2/2R1N3/3Rp3/6P1/PP2PP1P/6K1 w - -,d4e4
k2r3r/pp1qn2p/2p1pp2/2Rn1b2/BP1P4/P5B1/4NPPP/3Q1RK1 b - b3,d5b6
4r3/1p2r1k1/p4q2/b2p3p/1P3Pb1/3B2Pp/P1Q1N2K/4RR2 b - b3,a5b4
r4r2/p4bkp/6p1/q3pp2/3p3Q/1B6/PPP2PPP/R4RK1 w - -,h4e7
7r/p4pkp/1r2pbp1/8/1PRpB3/P2R2P1/5P1P/6K1 b - -,h8b8
r3k2r/1bq1bppp/p1nppn2/8/Pp2PPP1/1N2B2P/1PP1N1B1/R2Q1RK1 b kq -,c6a5
r5k1/3q1ppp/8/p1p5/2B2P1Q/P3pN1b/2P1NnP1/1R4K1 b - -,h3f5
1r1r2k1/1p1Nqp2/p2pb1p1/PPp4p/2P1P3/2Q3PP/3R1PB1/3R2K1 b - -,d8d7
3r2k1/pp1q2p1/2rP3p/5b2/4pP2/7P/PP1Q1RBK/3R4 w - -,d2d5
2rq1rk1/p4ppp/bp1p1n2/n2Pp3/2P1P3/P2BBPN1/4Q1PP/R3K2R w KQ -,a1c1
b4rk1/5ppp/1npqpn2/1p6/8/2NPN1P1/Q3PPBP/2R3K1 b - -,b6d5
8/8/3pk3/P6R/5p1P/5K2/r4P2/8 b - -,e6f6
r1bqkbnr/1p1ppp1p/p1n3p1/2p5/4P3/5NP1/PPPP1PBP/RNBQK2R w KQkq -,d2d4
3qb1k1/2r5/p3p2p/1p1pn1p1/6P1/P1NQP3/1P3R1P/1B4K1 w - -,d3d4
r1bqkbnr/pp2pppp/2np4/2p5/3PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq d3,c5d4
4b1k1/1p3p1p/1Np1p1p1/8/p1Rr4/1n3BP1/1P2PP1P/6K1 w - -,c4a4
5rk1/1pq1b1rp/p2p1n2/4p3/2P2pP1/1P3P2/PBBRQK1P/5R2 b - -,h7h5
7r/p1r3k1/8/2P2pp1/3p2b1/3P2N1/P4PK1/1R3R2 w - -,f1h1
1r1q1rk1/3bppbp/3pn1p1/1p6/PPn1P3/2N1B1PP/4NPB1/1R1Q1RK1 w - -,a4a5
2r3k1/R5b1/8/1N2p1P1/1pp1n3/6P1/1P3P2/5RK1 b - -,e4g5
rn2kb1r/ppq2ppp/2p1pn2/8/3P4/2N2b1P/PPP1BPP1/R1BQR1K1 w kq -,e2f3
r1bqr1k1/3n1nbp/1pp2pp1/p2pp3/P1PPP3/1P1B1N1P/N3QPP1/1RBR2K1 w - -,c4d5
2r3k1/4nppp/3Qqb2/1N6/2Pp1B2/3P1BPb/4nPNP/5R1K b - -,e2f4
3r1b2/pp4p1/4B1kp/3pP3/2pBn3/6P1/PP2PP1P/3R2K1 b - -,e4g5
r4rk1/p1b2ppp/1pn2q2/3Rp3/8/1N3N2/PPP1QPPP/R5K1 w - -,d5d7
3q2k1/p4pp1/2b4p/4r3/1P1p1N2/P5QP/5PP1/3R2K1 w - -,g3d3
r1bqk2r/pp2nppp/2nb4/1B1p4/3P4/BPP2N2/5PPP/RN1Q1RK1 b kq -,e8g8
3qr1k1/1p3pp1/1p6/7p/1PR1bPP1/3pP1KP/3Q4/2R5 b - -,d8d7
5rk1/6bp/1p4p1/p2PpP1n/7q/P6P/1PQ2PP1/4KBNR b K -,g6f5
1qrr3k/pp4pp/6b1/2P1p3/3PPp2/P1Q5/6BP/1R1R3K b - -,e5d4
r1bqk2r/1p1nbppp/2n1p3/3pP3/p2P4/3B1N2/PP3PPP/R1BQRNK1 b kq -,d7b6
8/2k5/8/2p2Ppp/2P1p3/P6P/3K1P2/8 b - -,h5h4
r2q1rk1/p1n2ppp/3b1n2/2pp4/8/2N1P1N1/PPQ2PPP/R1BR2K1 w - -,g3f5
8/3n3p/3k2p1/2p2p2/1pP2PP1/pP1KN2P/P7/8 b - -,f5g4
3Q4/6k1/5npp/BB1p1p2/2pb1P2/4q1P1/7P/5K2 w - -,d8c7
6k1/ppp2p1p/3R3b/2q1np2/4p3/1PP1P1PP/P1Q1BP2/1N4K1 b - -,c7d6
rnbqk1nr/ppppppbp/6p1/8/4P3/2N2Q2/PPPP1PPP/R1B1KBNR b KQkq -,d7d6
rn1q1rk1/pp2bppp/2p1pn2/5b2/2N1N3/3P2P1/PPP2PBP/R1BQ1RK1 b - -,f6d5
2r5/1b3pkp/2qp1np1/Pp2p3/1P2P3/3Q1N1P/3N1PPK/4R3 b - -,c8e8
8/2k2Q2/2n2p2/6p1/2P4p/3B1P1P/2K3P1/4q3 b - -,c7c8
rn2k2r/pp3pp1/2p1Nn1p/q7/3P1B2/2bQ4/PPP3PP/R4RK1 w kq -,b2c3
r1b2rk1/4qp2/3p2p1/p1pPb3/1pP1P3/3BQ2P/P1N2PP1/1R3RK1 w - -,f2f4
1rn1Qnk1/1pq2pb1/3p2p1/P1pP2Pp/2N4r/R6B/1P2PP2/2B2RK1 w - -,c4b6
r3k2N/pb1n4/4p2p/1pPnP1q1/2pQ3P/2P5/P3BPP1/R3K2R b KQq h3,g5e5
3r1rk1/p3pp1p/Rbn1q1p1/4P3/8/5B2/3B1PPP/3Q1RK1 w - -,f3c6
6rk/1p2npbp/p7/P3pb2/4N3/4R3/2P1B2P/6RK b - -,g7h6
r1bqk2r/1p1p1nbp/p3p1p1/2p1Pp2/P1Bn1P2/5N2/1PPPN1PP/R1BQ1RK1 b kq -,d4f3
8/8/r6K/4k1P1/6b1/8/5R2/8 w - -,g5g6
2r5/3k1pp1/4b3/pp1nP3/2pPB3/P1P2R1P/3B2P1/3K4 w - -,d1c2
6k1/1bq2p2/5npp/b7/1p1pP3/1N3PPP/1R4BB/3N3K b - -,a5b6
1r3r2/2nbnp1k/pq1p2pP/2pPp3/2p1P2P/2N2PN1/PP1Q3R/1BK3R1 b - -,c7b5
r2q1rk1/pb3p2/1pn3pp/3pPP2/3P3b/PN1B4/1P1BQ2P/2R2RK1 b - -,h4g5
8/3b2pp/3kpp2/1p6/3P4/P1K1NP2/6PP/8 b - -,e6e5
1rr5/4kp2/1N3p2/PK1ppP1p/1P6/8/5RP1/8 b - -,e7d6
2r5/3bp2p/3p1kp1/pprB4/3RPp2/P1P2PP1/1PK4P/4R3 b - -,g6g5
3r1r1k/ppq2p1p/1np2np1/4b3/4P2P/4BPN1/PPQ1BP2/1K1R2R1 b - h3,d8d1
6k1/p4r1p/1p1P2pq/2p1KP2/2P1Q1P1/3R4/P7/8 b - -,h6g5
2r3k1/3p3p/1p2p1p1/1N1n4/1P3P2/P7/2R3PP/R5K1 b - -,c8c2
8/8/pB6/1p3pKp/4k1b1/P5P1/5P2/8 w - -,b6c7
