k3r3/P5R1/1P6/1K4p1/8/3p4/8/8 b - -,e8e1
2q2rk1/3n1ppp/pr1ppb2/2p1P3/2P2P2/2BQ2P1/PP2B2P/R4RK1 b - -,d6e5
6k1/pp3p2/5b1p/2pp3P/3P1P1p/2K1P3/PP4QN/1q6 b - -,g8f8
8/K6p/6p1/8/5kn1/5B2/7P/8 w - -,f3b7
1r2k2r/p4pp1/5n2/3qp3/1P6/PN1P1BP1/3Q1P2/R3K3 b Qk -,d5f3
r1b2rk1/pp2n1pp/2n1p3/2q2p2/3p2Q1/P2B1N2/1PPN1PPP/R3K2R w KQ f6,g4h4
8/8/2Rp2p1/3Ppk2/2P5/2r5/4K3/8 b - -,f5e4
r1bq1rk1/pp2bppp/2n2n2/3p4/3P1N2/P1NBB3/1P3PPP/R2QK2R b KQ -,c8e6
1k2q3/1pp3Q1/p1brp3/P1R2p1p/2RPp1pP/1PK3P1/4PP2/8 w - -,c3d2
6k1/p5p1/2p4p/2pp4/2P3p1/1P1B1r2/P6P/4B2K w - -,c4d5
rnbqk2r/pp1p1ppp/5n2/2b1B3/8/5P2/PPP1P1PP/RN1QKBNR w KQkq -,e5d6:e5d4
r1bqr1k1/ppp3bp/2np4/2n2p2/2P2P2/2N1B3/PPNQBRPP/R5K1 w - -,f2f3
2rr3k/6pp/1p6/pP2PQ2/P2P4/2q5/6PP/R4RK1 w - -,a1d1
2kr1b1r/1ppbn1pp/p1p5/5p2/3NP3/2N1BP2/PPP3PP/R3K2R w KQ f6,e1c1
r2q1r1k/pQp3pp/3p2p1/6b1/2P5/2P1BP1R/PP3P2/2KR4 b - -,h7h6
r1b2b1r/5p1k/2p1p2p/1p2P3/6QP/8/PP3PP1/3R2K1 w - -,g4e4
4r1k1/5bp1/pr3p1p/R1pp4/5N2/8/2B2KPP/B7 b - -,e8c8
r3qrk1/1ppb2bp/1n1p1pp1/p1nPp3/2P1P2B/PPN4P/2QNBPP1/1R2K2R b K -,f6f5
r1br2k1/pp1nqpb1/2p1p1pp/2P5/Q2PN3/3B1N2/PP3PPP/R3R1K1 b - -,d7f6
r1bq1rk1/p3ppbp/1p3np1/3PN3/2Q5/2N5/PP1P1PPP/R1B2RK1 b - -,c8b7
2b2rk1/1pppnppp/1p6/r3P3/8/2NB4/PPP2PPP/R4RK1 w - -,f2f4
r2q1rk1/1p1nbpp1/p1npp1p1/2p5/4P1P1/2PPB2P/PP1N1P2/R2QRBK1 w - -,f1g2
7k/5R2/1q5p/p1pB1p1N/2P2P2/5K2/PP6/8 b - -,b6b2
r1b1k2r/1pqnbppp/p2ppn2/8/2P1PP2/1N1BBQ2/PP4PP/RN3RK1 b kq c3,b7b6
8/8/pp1nk3/7p/PP1Pp2P/4K3/6N1/8 b - -,e6f5
1r4k1/2p2rb1/2Bp3q/1PpP1p2/5P2/P7/1P3QR1/4R1K1 b - -,g8f8
r3nk2/p4p2/1p1p4/1q1r1P1p/4R3/4Q1N1/PP4PP/R5K1 b - -,b5c5
8/8/2kn1p1p/p1p2p1P/2PP1K2/2P5/P1B5/8 w - a6,c2a4
1nb1kb1r/1p1p1ppp/1qp1pn2/2P5/1P6/1Q6/3PPPPP/BN2KBNR b Kkq -,f8c5
r2q1k1r/1p1b1ppp/p1n2b2/8/3p4/1NP5/PP2BPPP/RN1QR1K1 w - -,c3d4
3rr1k1/pp3pp1/q6p/P2n4/2pBP3/2Qp1PP1/4b1BP/1RR3K1 w - -,e4d5
r1bqk2r/pp2bppp/5n2/2np4/8/1N1B1N2/PPP2PPP/R1BQK2R w KQkq -,b3c5
r1br2k1/pp5p/3Nn1p1/2P2p2/4p3/4P3/PPP2nPP/2K1RBR1 w - -,f1c4
5r2/6p1/p5k1/1pPQ3R/1P6/P6P/7K/1q6 w - -,d5g5
rn1r2k1/pp2ppbp/1qp3p1/3p1b2/2PPn1P1/1QN2N1P/PP2PPB1/R1B1R1K1 b - -,f5e6
1r4k1/ppnb4/3p2p1/2pP1p2/P1Pq4/2NB3P/1P1Q2P1/4R2K b - -,b8e8
r7/1RRpkp1p/4pnp1/4N3/r4P2/6P1/P4PKP/8 b - -,a4a2
3r2k1/pp2r1p1/3p1n2/P1p1p3/8/2PP1BP1/1P6/4RRK1 w - -,g3g4
5bk1/2n5/2BN3p/pp2P3/2p3P1/5K2/PP6/8 b - -,f8e7
rq1r1bk1/p4pp1/1p1ppn1p/2n5/2P2B1P/1PN3P1/P2QPPK1/2RRN3 b - -,b8b7
r1bq1rk1/ppp2pbp/3pPnp1/8/1n2P3/5NP1/PPP2PBP/RNBQR1K1 b - -,c8e6
8/1p1kppr1/pr1p2n1/6pp/2B1P3/5P1P/PPPR2P1/1KR5 b - -,b6c6
6k1/1R3p1p/6pn/3Bp3/8/8/4K2P/6b1 w - -,h2h3
3rr1k1/1bp1qp1p/p5p1/1p2P3/nP2P3/P3PN2/2Q1B1PP/2RR2K1 b - -,d8c8
8/5k2/5rpp/2N5/7P/8/PP4b1/K1R5 w - -,b2b4
1k6/1ppr4/6p1/p1pPp1p1/P1P4r/1P3P1P/1K6/6RR w - -,g1g5
r5k1/1p2Rp1p/p2p2p1/2q5/5rPQ/3P3P/1P6/1KR5 b - -,c5d5
8/5p2/4p1k1/4PpPp/3K3P/4P3/8/8 w - -,d4c5
r1b1rnk1/1pq2pb1/p1p2np1/4p2p/2P1N3/1PN1P1P1/PBQ2PBP/2R2RK1 b - -,f6e4
r2qk1nr/pbppnppp/1p2p3/3PP3/1bP2P2/2NB1N2/PP4PP/R1BQ1RK1 b kq -,b4c3
3r1rk1/1B6/5ppp/2P1R3/1b1p4/1p1R4/1P3KPP/8 w - -,e5d5
r1bqnr2/1p1p1ppk/p1n1p2p/8/2P1P1PP/2N1Q3/PPN1BP2/2KR3R b - h3,g7g6
1r3rk1/1p1bqppp/pn2pn2/1Pp1N3/2P2Q2/2N3P1/P3PPBP/R2R2K1 b - -,f8d8
1r6/p3p3/6k1/7p/3Rp3/2Q3P1/q3PP1P/6K1 w - -,c3c6
4brk1/4bp1p/p3p3/5p2/P7/1Pp1PBP1/5P1P/3RNK2 w - -,e1c2
2B5/1p3k1p/1b1p2p1/3Pp3/4P3/3K4/P5PP/8 b - -,f7e7
4R3/4k3/5r1p/6pB/3n4/6PP/5PK1/8 b - -,e7d6
6k1/8/p7/1p2Q1p1/8/1P2p3/5qP1/7K b - -,f2f1
r1bq1rk1/1p3pbp/pn1p1np1/2pP4/P3P3/2N1N3/1P3PPP/R1BQKB1R w KQ -,f1d3
rnbqkbnr/1p3ppp/p2pp3/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R b KQkq g3,b7b5:g7g5
r7/p4Nk1/1pp1bpp1/2pq3p/4N1r1/2PPQ3/PP3P2/R3RK2 b - -,e6f7
8/1q6/4p1p1/P7/5PPP/3Q3k/5K2/8 b - -,h3g4
4r3/2R3P1/8/2pP4/p7/P1k2K2/8/8 w - -,d5d6
r4rk1/pp1bq1p1/2n1pP2/2Np1n1p/3P3P/P4N2/1P2BPP1/2RQ1K1R b - -,f8f6
r1b2rk1/1ppnq1b1/p1n3pp/4pp2/1P6/P1NPBNP1/4PPBP/2RQ1RK1 b - -,f8d8
r3kbQ1/pppbpp2/1n1q3r/5p2/2pP1N2/2N1P3/PP2BPPP/2KR3R b q -,d6f6
r4rk1/pp1bppbp/2n3p1/q7/2BPP2P/4B3/P3NPP1/2RQ1K1R b - h3,f8c8
5R2/6p1/5kPp/5P2/8/7K/8/6r1 b - -,f6g5
r1b1rbk1/p5pp/1q2p3/1pNp1p2/PPnP1B2/3Q2P1/4PPBP/1R3RK1 b - a3,a7a6
2k4r/2r2p1p/pq1p1p2/2nP1P2/1p4P1/8/PPPQ3P/2K1R2R w - -,h1f1
r1bqk2r/1p2bp1p/p1np1p2/4p3/4P3/2N5/PPPN1PPP/R2QKB1R b KQkq -,f6f5
1r2r1k1/5pb1/p1p1b2p/q1Pp1pp1/2NP4/3QP1P1/P3NPBP/1R3RK1 b - -,d5c4
6k1/pp1r4/8/2P1N1p1/4P2p/1P4nP/P5PK/4R3 b - -,d7e7
r1bq1bk1/ppp2r2/3p1nn1/2PPp1pp/PPN1PpP1/B1N2P1P/4BK2/R2Q1R2 b - -,f7h7
r1b4r/ppp1kppp/5n2/2n1p3/2B1P3/5P2/PPPNN1PP/R4RK1 b - -,c7c6
1r2r3/PP4kp/2Np4/2bP1p2/2B3p1/6P1/7P/1R5K b - -,c5a7
4r3/p2RPk1p/8/2ppr3/4p1p1/4P3/P4PPP/3R2K1 b - -,f7e6
8/R7/4ppp1/3p1k1p/3P3P/4KPr1/8/8 w - -,a7g7
4r1k1/1p5p/r1nqnp2/p1b1p1pb/2PpP3/PP1B2BP/1Q3PP1/RNR1N1K1 b - -,e6f4
8/1p2k3/p1b1p2p/1PP3q1/2P3P1/1R2PP1Q/r2r4/5RK1 b - g3,d2g2
8/p1rk1pp1/1pp4r/3pP3/6P1/3RP1K1/PP3P2/2R5 b - -,d7e6
3qr1k1/pprn1ppp/2p5/3p1b2/3P4/PQP1P1P1/3N1PBP/R3R1K1 b - -,d7f6
2rrn1k1/4b1pp/p3pp2/qp2BP2/8/2N2RQ1/PPP3PP/5R1K w - -,f5e6
5r2/1p4pk/pBrpp1qp/P3p3/4Pn1b/2N2R1P/1P1Q1PP1/3R2K1 w - -,g2g4
3rrbk1/1pqb3p/2p2np1/p1p1p3/P1P1P3/1PN2QPP/2N2PB1/2R1R1K1 b - -,f6h5
8/R4p2/4pkp1/3p3p/3r3P/6P1/2BK1P2/8 w - -,d2e3
r3r1k1/1pp2pp1/1b1p3p/p2P1bq1/3P3P/2B1PBP1/PP3Q2/2R1R1K1 b - h3,g5g6
1r4k1/5p2/1P1p2p1/3P3p/8/2P2P2/1RK1Q2P/q7 b - -,a1a4
4r1k1/5pp1/8/p2Pb3/P5Pp/2RQ1K1P/6B1/1q6 b - -,b1e1
r2q1rk1/ppp2pbp/1nnp2p1/8/Q2PPPb1/2NBBN2/PP4PP/R4RK1 w - -,a4a3
2r2k1r/1b3pp1/1p2p2p/1Bbnq3/3N4/P7/1PQ2PPP/1KBR3R w - -,d4f3
1r6/5pp1/2Pkp2p/3p4/K7/2R5/5PPP/8 b - -,d5d4
5R2/8/6k1/4pp1n/7p/5P2/4N1PK/4r3 w - -,f8g8
3q1rk1/pr2ppbp/2p3p1/2Pp4/1p3B2/4P3/PPP2PPP/2KRQ2R w - -,e3e4
r1b2rk1/bpp2ppp/p7/2P1N2n/1n1qN3/3P3P/P3BPP1/R1BQ1RK1 w - -,a1b1
2k5/pp3pp1/7p/2pr4/7P/3n1P2/PP2R3/K1R5 w - -,e2d2
7k/1B4pp/2P5/3P4/2R2P2/5Q2/3r1PKP/1q2r3 w - -,h2h3
6k1/5qpp/p3p3/2R1P3/6Nr/6PK/1P4BP/4n3 w - -,g3h4
rn2k2r/pp3ppp/4pn2/3q3b/1b1P4/2N2N1P/PP2BPP1/R1BQK2R w KQkq -,e1g1
r1n2rk1/pq1n2pp/2p5/R2p1pP1/1P1PpP2/P3P3/1B5P/3QNBK1 w - -,b4b5
r2qrbk1/1bp2pp1/p2p1n1p/np2p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 w - -,b3c2
2r2n1k/p5qp/2p2R2/2P2P2/3Q4/6P1/P5BP/6K1 w - -,g2c6
r1b1kb1r/pp2pp1p/2n3p1/q1ppP3/3P4/2PB1N1P/P1P2PP1/R1BQK2R w KQkq -,c1d2
1r2rqk1/2p2pp1/4b1np/8/3R2P1/2P1B3/1P2BPP1/2Q2RK1 b - -,c7c5
5rk1/pp1q2pp/2n5/5Nb1/3p4/1P1P3P/1PP1NQP1/R6K w - -,e2d4
7k/4Q1p1/2p4p/8/p1P4P/2P3P1/q6K/8 w - -,h2h3
8/p1p5/1p2k3/8/2n2P1N/PKP5/8/8 b - -,c4e3
5b1k/5p1p/1p1q1Pp1/p1p3P1/P1P1pPQ1/1P2B2P/6K1/8 w - -,g4e2
8/5k2/1p1p1p1r/4pK1P/PPP1P3/7R/8/8 w - -,a4a5
r3r3/p2k1ppp/p1pbbp2/B7/3P4/5N2/PPP2PPP/R3R1K1 w - -,f3d2
2q4k/p3p1rp/1p2Pp2/2pPb1pQ/2P1P3/7R/P5PP/1R5K b - -,g5g4
8/6p1/4p1r1/P7/4Pk2/1R3P1K/8/8 b - -,e6e5
1r3rk1/pp4pp/2p2pn1/3q4/3P4/1PP2NQ1/P5PP/4RRK1 w - -,c3c4
r1b1k2r/ppq1bppp/2n1pn2/2ppP3/8/N1P2N2/PP1P1PPP/RBBQR1K1 b kq -,f6d7
rnb4r/pp2kppp/2p5/4p3/4PPn1/2N2N2/PPPR2PP/2K2B1R b - -,e5f4
3r1rk1/pbq2pbp/1pnp1np1/2p1P3/8/2P1PN1P/PPQNBPPB/R2R2K1 b - -,c6e5
r1bq1rk1/ppn2p1p/3pPnpQ/2p5/P1N1P2P/2P2P2/1P4P1/R3KBNR b KQ -,c8e6
3r1bk1/1b6/p5p1/1p3pP1/2rPp2P/P3K3/1P1RNB2/3R4 b - -,b5b4
6k1/pb3p2/1p1q2p1/8/1P4Q1/PB5P/6P1/2rR3K b - -,c1d1
r4rk1/p1q2pbp/bp2pnp1/n2p4/3P1B2/2P3P1/PP1QNPBP/R2NR1K1 b - -,c7d7
r2qr1k1/pp1n1pp1/2p2nbp/8/P2Np3/2B1P1PP/2P1QPB1/R4RK1 b - a3,d8c7
2b5/5kp1/7p/1P6/6P1/2B2p1P/5P2/6K1 w - -,g1h2
r1bqk2r/pp4pp/2n1pn2/2bp1p2/8/1P3NP1/PBP1PPBP/RN1Q1RK1 w kq -,c2c4
8/7Q/4P3/kB1q4/P2b4/2P2Rp1/1p4K1/3R4 w - -,d1d4
rnb2rk1/ppppq1pp/4pn2/5p2/2PP4/3BPN2/PP1N1PPP/R2Q1RK1 b - -,d7d6
2r3k1/5pp1/p2Bp3/3bP2p/P7/5P2/2PK2PP/1R6 b - -,c8c4
r2q3r/1p1b1pk1/1n2p1p1/pP1pP1Pp/Pb1P1N1P/1Q5R/1B2NPK1/R7 b - -,a8c8
4r3/1p1n2p1/b2Bpp1k/P3P2p/3R1P2/3pK1PP/8/2R5 w - -,e3d2
b1r4k/p4pp1/4pn1p/qBNr4/P2P3Q/3R4/5PPP/3R2K1 b - -,c8d8
r3qrk1/p2n2pp/1p1p1n2/3P1p2/2p5/P1PNPP2/6PP/R1BQ1RK1 w - -,d3f4
r4rk1/pb1n1p2/1p3q1p/4p1p1/1PP1P3/2PB1N2/5QPP/3R1RK1 b - -,f6e7
8/8/6p1/3n3p/3Nk3/4P1K1/5P2/8 b - -,g6g5
6k1/8/R1b5/1pPprp1r/1B4p1/4P1P1/7P/1B4K1 b - -,e5e6
8/8/6nk/3Q4/2p5/q3NK2/8/8 b - -,a3f8
4r1k1/3q2pp/p1pbr3/Pp1p1Q2/1P1P1P2/4PR2/6PP/1R1N2K1 b - -,d7e7
8/5pk1/pr5p/R6K/8/P7/6P1/8 w - -,h5h4
r3r3/ppq3kp/2n2bpB/8/8/2PB3Q/P4PPP/R4RK1 b - -,g7g8
2r1k2r/4bpp1/pnN1p2p/4P3/1N3PPP/P1P1B3/2Pq4/1K5R w k -,e3d2
rnb1kb1r/ppq1pppp/2p2n2/2Pp2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,b8d7
rnbq1rk1/pp2nppp/2p5/3p4/1b1P1B2/2NBPN2/PP3PPP/R2QK2R b KQ -,c8f5
8/8/1p3k2/p5pp/P1PN1p2/2B2Pr1/2K5/8 w - -,d4e2
8/p3n2p/1p6/2prpPkN/6PP/P1P2K2/2P5/4R3 b - h3,g5h6
r1bqk2r/pp3pp1/1bn2n1p/3p4/8/2N2NP1/PPQ1PPBP/R1B2RK1 w kq -,c3a4
5r2/p1r1pkbp/2n3p1/8/2P1p3/4B3/P3BPPP/2RR2K1 w - -,c1b1
8/8/2p1kpn1/2P4p/2KP3P/4BP2/8/8 w - -,e3f2
r6r/7p/ppk5/2p1p3/2Pb1P2/6P1/PP2N1KP/3R1R2 w - -,b2b3
r2q1rk1/1p1bppbp/p1n2np1/2P5/4P3/Q1N2N2/PP3PPP/R1B1KB1R b KQ -,b7b5
r1b1k2Q/p3qp2/1p2p3/4P3/N2p1P2/6P1/PP4P1/2R3K1 b - -,e8d7
r1bqk2r/ppp1b1pp/1nn2p2/4p3/8/1P1P1NP1/PB2PPBP/RN1Q1RK1 b kq -,e8g8
8/8/8/8/k4r2/1p4R1/1K6/8 w - -,g3g8
r1b2rk1/pp2bppp/4pn2/2q5/2P5/2BB1N2/PPQ2PPP/R3K2R w KQ -,e1g1
rnb1k2r/p1p2p2/1p1p1q2/4p1pp/3PP3/P1P3P1/2P1NPBP/1R1QK2R w Kkq -,h2h3
3r4/1p3pp1/p6k/3p1P1n/1P2p3/1BP1b3/6R1/5KR1 w - -,g1h1
r4r2/1p4n1/1bp1b1kN/p1q1PPp1/P2p4/2PB2P1/1PQ3K1/3R3R b - -,g7f5
r3k2r/pp2bp1p/2b1pp2/q7/2Q5/P1N1P3/1P2BPPP/2R1K2R w Kkq -,e2f3
r3r1k1/pp1n1pbp/q1p3p1/4p3/2PP4/5N1P/PPQB1PP1/R3R1K1 w - e6,d4e5
r1bqk2r/pp2bp1p/4p3/3pP3/nn1P2p1/1N3N2/P2B1PPP/RB1Q1RK1 w kq -,f3e1
r1bqk2r/1p3pp1/2np1n1p/3Np3/2P1PP2/bNBB4/P5PP/R2Q1RK1 b kq f3,f6d7
r1bq1rk1/ppp2pbp/2n2np1/3pp3/4P3/2PP1N2/PP1NBPPP/R1BQR1K1 b - -,h7h6
rn1q1rk1/pb3ppp/1p1p1b2/2pP4/4B3/2N3P1/PPQ1PP1P/R1B1R1K1 b - -,h7h6
