2R4r/BR2bk2/7p/8/4n3/8/1PP2P1P/2K5 b - -,h8c8
r1bqk2r/1p1nnppp/p3p3/3pP3/1b1P4/P2B1N2/1P2NPPP/R1BQ1RK1 b kq -,b4a5
1r6/1Pk2p2/2R1p2p/2K5/4PP2/8/7P/8 b - -,c7d7
8/2r3k1/p2r1p1p/2pPR3/Pp3PP1/1P6/2R4K/8 w - -,e5e4
3rr1k1/2p3b1/1p1pp1p1/p6n/2PPN2N/5qP1/PPR2P2/3R2K1 w - -,h4f3
2r1br1k/1q2bpp1/4pn1p/1p1pP3/7B/1PNBP3/2R1QPPP/R5K1 b - -,f6g8
8/2pk1pbp/R2p2p1/3r4/3p1B2/1P6/2PK1PPP/8 w - -,d2d3
5rk1/p1p1Bppp/1p6/4n3/2p1P3/P3q1N1/1P4PP/R2r1R1K b - -,d1a1
8/3kpp1p/p1p3p1/R7/P7/1P4P1/3rPPKP/8 w - -,a5a6
2kr3r/pp1n2pp/2p1qp2/2p1pP2/4P2Q/3PB2P/PPP3P1/R4RK1 b - -,e6e7
8/p7/2R5/1P6/3qk3/1K6/8/8 b - -,e4d5
r4rk1/1b1n2p1/p1p1pq1p/1pP2p2/8/3BPN2/PPQ2PPP/2R2RK1 w - -,f3d4
2kr1b1r/pq1n1p1p/1pbp1np1/3N4/Pp2PP1N/6P1/2Q3BP/R1BR2K1 b - -,c8b8
r1bq1rk1/ppp2pbp/n2p2p1/3Pp3/1PP1P1n1/2N2N2/P2BBPPP/R2QK2R w KQ -,h2h3
5qk1/1b1n1p2/1pp3pp/3p4/1P1P3P/Q2BPN2/5PP1/6K1 b - -,f8a8
r2q1rk1/pbpn1pp1/1p1ppn1p/8/2PP3B/P1QBPP2/1P4PP/R3K1NR b KQ -,c7c5:d8e8
1k1rb1r1/1pq2pp1/p1n1p2p/2npPP2/5Q1P/2N2N2/PPP3P1/1K1RRB2 b - -,b8a8
4rk2/3p1pp1/3P4/p1P2p1p/5P2/P3QK2/2q4P/6R1 w - -,e3c1
r1bq1rk1/4bppp/p1np1n2/1ppNp3/1PB1P3/P1PP1N2/5PPP/R1BQK2R w KQ b6,d5f6
r4rk1/pp1b1pbp/1q3np1/2PpB3/8/1P4P1/P2NPPBP/R2Q1RK1 b - -,b6c5
1r5r/q2bbpk1/3p2p1/p1pPp1p1/P1Q1P1P1/R1P3RP/1P1N1P1K/2B5 w - -,h2g2
r5k1/p2q1ppp/5n2/3pr3/3N4/1P2P1Pb/P4PBP/2RQ1RK1 w - -,g2h3
r1bqk2r/pp2npbp/3pp1p1/2p5/3nP3/2NPB1P1/PPPQ1PBP/R1N1K2R b KQkq -,e8g8
2r1k1r1/1p1bpp2/p2pn3/7p/8/2BB1P2/PPP3PP/2KR2R1 w - -,g2g3
8/8/8/8/1K6/3Q4/4p3/4k3 b - -,e1f2
r6r/2pnkpp1/p2bbn1p/1p2p3/4P3/PNN1B3/1PP1BPPP/2KR3R b - -,e6b3
r1bqrnk1/pp3ppp/2pb4/4N3/3PN1P1/4P1BP/PP3P2/R2QK2R b KQ -,d6b4
r1r3k1/3q3p/6pb/p2p2nn/3Pp3/B3N1P1/P2Q1PKP/1R3RN1 w - -,f1c1
rn2r1k1/1bp2ppp/pp1q1n2/3p4/3P4/1PNBPN2/P4PPP/2RQ1RK1 b - -,b8d7
r2qk2r/ppp1bppp/2n1bn2/3p4/3P3B/2P1PB2/PP1N1PPP/R2Q1RK1 b kq -,d8d7
3r1rk1/p2nq1pp/1p1bp3/5p2/2PpN3/1P6/PB1QBPPP/R3R1K1 b - -,f5e4
4k2r/3r1p1p/p2qpPp1/1p1p4/3R1P2/2P5/PP2Q1PP/5R1K w k -,a2a4
5rk1/3R3p/Pb2p1p1/4q3/5p2/3Q1NP1/5PKP/8 b - -,e5b2
4r1k1/3b1pqp/1bp3p1/1p1pP3/3N1P2/2PQ3P/rP4PB/3RR2K w - -,d1d2
8/8/3p4/1BpPn1k1/2P1K3/8/8/8 b - -,e5g4
r2q3r/ppp1pknp/1n3ppQ/8/3P2b1/2N2NP1/PP2PPBP/3R1RK1 w - -,h6f4
r4rk1/pp4p1/2p1b2p/4p2Q/P3Pq2/2N4P/1PP1RPP1/3R2K1 w - -,b2b3
8/5k2/3R4/4B1p1/5pP1/4nP2/5r2/7K w - -,d6f6
r1r3k1/pp2ppbp/3pbnp1/q7/3BP1PP/P1N2P2/1PPQ4/1K1R1B1R b - -,a8b8
r3k2r/1b1qb1pp/p2ppn2/1pp1n3/4PN2/P1NPB1PP/1PP3B1/R2Q1RK1 b kq -,e8g8
4q2r/6p1/1p5k/p2b1BNp/P4P2/2P1Q3/1P3KPP/8 b - -,e8e3
r1qr2k1/pp2b1pp/4pp2/2pn4/P1N1RB2/3P1Q2/1PP2PPP/R5K1 b - -,d5b4
1r6/pb5R/1kp5/1p2p3/8/1BP2nN1/PP3PK1/8 b - -,c6c5
r3k2r/ppp1qpp1/2n2n1p/3p4/3P1Pb1/P1PB1Q2/2P1N1PP/R1B1K2R w KQkq -,f3e3
6k1/1p4b1/r5p1/5p1p/1B2p3/2P3P1/4RPKP/8 w - -,f2f3
r4kr1/p4p2/1p2q3/5Np1/3P2P1/2Q1P3/bP2BP2/2B1K3 w - -,c3a3
r4rk1/pbn1ppbp/2p3p1/1p2P3/8/5N1P/PPP1BPPB/R4RK1 w - -,f3d4
2rq1rk1/4bppp/3pp3/p3P1PP/3Qb3/P3B3/1PP1B3/R3K1R1 b Q -,d6d5
r3kb1r/1b3pp1/2n1p3/1q1pPn2/pppP1PP1/2P2N2/PPQ1N1B1/R1B2RK1 b kq -,f5h4
r4rk1/1pq1bppp/p1Nppn2/8/4P3/6P1/PPP2PBP/R1BQR1K1 b - -,b7c6
6k1/3bpp1p/1q1p2p1/2rP4/1r6/1B2RP2/1PPQK1PP/R7 b - -,c5c8
8/8/3R1p2/pk3P2/4P3/1r6/4K3/8 w - -,d6f6
8/2K1k3/5p1p/p2BpPp1/1b2P1P1/1P5P/P7/8 b - -,b4a3
r3kn1r/5pb1/b1nqP1pp/pp1p4/5B1P/2P2NP1/PPB2P2/R2QR1K1 b kq -,d6d8
2R3k1/6p1/4pp1p/8/8/3r1P2/6PP/6K1 b - -,g8f7
1br2rk1/1p3ppp/p3b3/6q1/4P3/1PNR3P/PB3PP1/Q4RK1 w - -,c3d5
r1b2rk1/1pp1ppbp/p1q2np1/8/3QP3/2N2B2/PP1P1PPP/R1B1K2R w KQ -,e4e5
r3r2k/1p3ppp/p4n2/3Pq3/P1P1pR2/4Q3/1P2B1PP/1R5K b - -,b7b5
3r1rk1/ppq2ppp/2p2n2/2b1p3/4P1b1/2P2NN1/PP2BPPP/R2Q1RK1 w - -,d1c2
2r1r1k1/pp2ppbp/3p1np1/nq6/3P4/2P2N1P/PPQN1PPB/3RR1K1 b - -,g7h6
r5k1/1p4bp/nq1p1pp1/p1pP1b2/2P5/PPQ2NP1/1B2rPBP/R1R3K1 b - -,a8e8
2b3k1/p1q3p1/4p2p/1p1pnp2/nP1B1N1P/4PPP1/5rBK/4Q3 w - -,e1f2
rn1q1rk1/pb2bppp/1p2p3/2pnP3/3P4/2N2NP1/PPQ2PBP/R1B2RK1 w - -,f1d1
6k1/5p1p/6p1/1BBb4/1P1P4/4n2P/5RPK/r7 b - -,h7h5
3rr3/1bpnqpkp/pp2pnp1/8/2PP4/2N1QN1P/PP2BPP1/3RR1K1 w - -,e2f1
2k1r3/1q1p2pp/2n2p2/p2R4/2Q2B2/1P3P2/1P4PP/5K2 b - -,b7b4
r2qk2r/1b1nbp2/p1n1p3/1p1pP1pp/2pP4/P1P1BNN1/1PB2PPP/R2QR1K1 b kq -,g5g4
8/p4pp1/3k3p/1bN1p3/1Pn1PPP1/3K4/6BP/8 w - -,f4f5
8/7p/3p1kr1/2p1n3/2P1P3/pP6/R5BK/8 w - -,a2a3
r7/3bkppp/1n3b2/1B1p4/5B2/PNP5/1P4PP/4R2K b - -,e7d8
2b4r/3p4/2pP4/1pP5/3P4/2kNRK2/8/8 w - -,f3e4
1k6/p4p1p/4pnp1/1R6/P2r4/5B1P/1P3PP1/6K1 b - -,b8c8
r2r2k1/pb3ppp/1p3B2/2p1p3/4P3/P1P2B2/2P2PPP/3R1RK1 b - -,g7f6
r2qr1k1/1ppnppbp/p2p2p1/n2P4/2P1PB2/1PN2BPP/P4P2/2RQ1RK1 b - -,c7c5
r3nrk1/1b1nqpbp/2p3p1/p1P1p3/Pp2P3/3BBNNP/1PQ2PP1/R2R2K1 b - -,e8c7
8/1R6/5k2/r6p/6pP/3N4/8/3K4 w - -,d1e2
r4rk1/p1qn1ppp/b2N4/1p1PP3/2p1NP2/P3Q3/1P4PP/R3R2K w - -,e3g3
3r4/p1p1k3/2p2pp1/4p3/1PN1Pn2/2P5/P4KPP/4R3 w - -,e1e3
2k5/p2r4/6pp/1b6/1P6/8/PP2p2P/1NK1R3 b - -,d7e7
2rq1rk1/pp2ppb1/1n4pp/1Q1P4/2B5/3PB3/PP3PPP/R3R1K1 b - -,d8d6
8/8/8/5pp1/4r3/6Pk/R4K2/8 w - -,a2a5
8/6k1/4p1p1/7p/7P/5RP1/2r5/5K2 w - -,f1e1
r3r1k1/ppRn1ppp/3P1n2/4N1B1/b2p4/3P1N2/PP3PPP/4R1K1 b - -,d7e5
8/B3k1pp/2K5/8/1P6/6P1/4b2P/8 b - -,e2f3
8/3r1ppk/7p/5q1Q/2pn3P/4R1P1/5P1K/4B3 w - -,h5f5
3r1rk1/1p4pp/p6q/3Pp3/3nR3/3B1PP1/PPP3K1/R5Q1 b - -,d4f3
r1qr2k1/1p1b1pbp/p1nQp1p1/8/4PP2/1NN1B3/PPP3PP/3R1R1K w - -,d6d2
8/8/8/6p1/1K6/4q3/1Q6/5k2 w - -,b2g7
r1b1r1k1/1p2bppp/1q2nn2/p1ppN3/3P4/P1N1PP2/1PB3PP/1RBQ1RK1 w - -,c2a4
4r2k/6pp/R2p4/6q1/1P2p1P1/7P/Q4PKB/b7 w - -,a6a8
2r2rk1/ppqnbpp1/2p1p2p/3p1b2/2PPn3/1PN1P1P1/PB1NQPBP/R3R1K1 b - -,e4d2
2r3k1/1b2p3/4P1pp/pB1p1p2/1p3Q2/1Pq4P/P4PP1/4R1K1 w - -,e1d1
r1bq1rk1/p1p1b1pp/1p1p1n2/3Pp3/1PP5/2NQB1N1/P4PPP/R4RK1 w - -,h2h3
rn2k2r/pp3ppp/q3p3/3p4/1QpP1B2/4PN2/P1P2PPP/1R4K1 b kq -,b8c6
8/3B1p2/1p3knp/p1p5/P3KP2/2P4P/1P6/8 w - -,d7g4
5k2/5b2/7K/6PP/8/1p6/8/1B6 b - -,b3b2
2b3k1/5rp1/5q2/3pb1R1/3N4/4B1P1/PP3P1P/2R3K1 w - -,c1c8
4kb2/3r1p2/pp1pb1r1/4p1q1/2P1Pp1p/BP1R1B1P/P4PP1/4RQ1K b - -,f7f5
3q4/p5kp/b1n1ppp1/2B5/2NP4/1P6/3Q1PPP/6K1 w - -,c4d6
r2q1rk1/1p1bppbp/p1np1np1/2P5/2P5/1PN1P1P1/P3NPBP/R1BQ1RK1 b - -,d6c5
8/1rn3p1/2kp1p1p/2p1p2P/4P1P1/3K1P2/2PB4/R7 b - -,b7b6
r4r1k/NbQ2pbp/1p4p1/pP4q1/P2Pp3/1B2P3/5PPP/2RR2K1 b - -,a8a7
rnbqk2r/ppp2ppp/8/3pP3/8/2N2N2/PPPP2Q1/R1B1KB1n w Qkq -,g2h1
3q2k1/p4p1p/1p4p1/1B1bb3/P7/1P5P/1BQ2PP1/6K1 b - -,e5b2
1Q6/pp3r1p/2p1k2P/3b1p2/3P4/PP6/2P5/2K5 b - -,b7b5
4r3/1p3pkp/2pBq1p1/p1P5/Pb2P3/5Q1P/1P1r2PK/2R2R2 w - -,e4e5
8/8/2k1q2p/1p1n4/1P6/8/PK4Q1/8 b - -,e6e5
r2qkb1r/pp1np2p/2p3p1/5pB1/3Pp3/2P1P3/PP1N1PPP/R2QK2R w KQkq -,d2c4
6k1/2rn1pp1/1q1p3p/1p1P4/pP2P3/P6P/1Q1N1PP1/5RK1 w - -,f1c1
2R5/1B6/Pk6/8/8/r7/3K4/8 b - -,a3g3
8/1B6/Pk6/8/1K6/1R6/8/1r6 b - -,b1e1
8/1p2nR1p/1P1qr2k/6pN/4p1Q1/4p2P/6P1/6K1 b - -,e3e2
r3k1r1/1p1b1p1p/p3pB2/n1P5/n3P3/P4P2/6PP/3RKBNR w Kq -,g1h3
rn1qr1k1/1p3pbp/p2p1np1/2pP4/P3PB2/2N5/1P1NQPPP/R4RK1 b - -,f6h5
2r5/8/1p1p2k1/p2P2P1/P5KR/1bN5/8/8 w - -,h4h6
8/8/ppkb4/3p1p2/2pP1P2/1P2P1rp/2K1R3/1R6 w - -,b3c4
1rb1rbk1/p3pp1p/n5p1/q1pPp3/4P3/2N1B3/PP1QBPPP/1RR3K1 w - -,b2b3
3r4/R4p2/1P4k1/P1N3p1/7p/2K5/6P1/5n2 b - -,f1e3
3r2k1/5pp1/4p2p/1bBnb2P/1P2N3/5BP1/5P2/2R3K1 w - -,f3g2
1r1qr3/1bp1np1k/5bpp/3n4/NpRN4/1P4PP/P2Q1BB1/4R1K1 b - -,b7a8
r2qkb1r/3p1ppp/n7/2pn4/8/4P3/PP3PPP/R1BQK1NR w KQkq -,d1d5
8/4R3/8/5p2/4pkpP/8/1r3PKP/8 b - -,b2b3
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/2N1PN2/PP1PBPPP/R1BQK2R w KQ -,e1g1
3rr3/pp1qnpkp/2n1b1p1/3p4/3N4/5NP1/PP1QPPBP/R2R2K1 w - -,a1c1
8/5k2/1p1p1qp1/pPpPp3/P1P1B1QP/4n1PK/8/8 w - -,g4d7
2k5/pp3pp1/8/3rp1B1/5n2/2P4r/PPK2P2/3R3R b - -,d5d1
6k1/p1p3p1/2prq3/3n1p2/3PrP1P/3Qp3/PP2P2P/2R1BR1K w - -,e1g3
8/8/5rpk/6Rp/4B2P/4K1P1/8/8 b - -,f6a6
5rr1/ppk1n3/2p1p1pp/3p4/2P3RP/1P2PB2/P4PP1/2KR4 w - -,h4h5
r1q1k1nr/pp1n1ppp/3Bp3/3pPb2/3P4/1QP5/P4PPP/2R1KBNR b Kkq -,g8e7
5r2/pp4rk/2b4p/3pPPn1/3P1N2/1R4N1/P4RKP/8 b - -,f8e8
8/8/2k5/1p3N2/1PP1n3/7r/PKR5/8 b - -,b5c4
1n1n4/8/2p2p2/2k1p3/2B1P2p/1P3P1P/1K2N3/8 b - -,b8d7
r4rk1/5bBp/p1p3p1/1pPn4/5q2/1QN2P2/PP6/1K1R1B1R b - -,d5e3
5rk1/pp5p/2p5/2b1Pnq1/4Q3/6B1/PP5P/R4R1K w - -,e4c4
1r3k2/2r2ppp/1p1q4/p1nPpP2/P1R1P3/Q5P1/7P/1R3BK1 b - -,f8e7
3r2k1/pp3ppp/2p3b1/2br4/5P2/2BN2P1/1P2Q2P/K2R4 b - -,g6d3
rnbqk2r/1ppp2pp/4pn2/p4p2/1bPP4/PQN2N2/1P2PPPP/R1B1KB1R b KQkq -,b4c3:a5a4
k1r5/p4R2/3N2p1/2Pp1p2/3Pnn2/2K5/P5P1/8 w - -,c3b4
5k2/8/3b1p1p/1p6/1Pb1PP1P/3p1B2/r2B4/2R1K3 w - -,c1b1
