3R1bk1/5p2/6pp/4Nb2/8/8/5PKP/8 w - -,e5d7
1rb2rk1/4n1bp/pq1p1np1/3Ppp2/2N1P3/2N3PP/1P3PB1/R1BQ1RK1 b - -,b6c7
rn3rk1/3pbppp/pqb1pn2/2pP4/1pP5/1PN1PNP1/P3QPBP/R1BR2K1 b - -,b4c3
r2q1rk1/p3bppp/4bn2/2pp4/5B2/2NB3P/PPPQ1PP1/3R1RK1 b - -,d8b6
2r2rk1/pb1n2p1/1p2pq1p/3p1p2/2PQ4/P3PP2/1PNRB1PP/2K4R b - -,f6d4
6k1/RQ3pb1/p5p1/7p/8/4B2P/2r2KP1/q7 w - -,f2f3
8/1pk4r/p1p3nr/P2pNppp/1P1P4/4P1P1/4KPPR/7R b - -,g6f8
5rk1/r2np3/6q1/2pPp2p/P1N1Ppp1/1P3P2/1R2Q1PP/1R5K b - -,f8b8
2kr1b1r/pp1b1ppp/1qn1p3/2p1P3/3p1P2/2PB2P1/PP1PQ1NP/R1B1K2R w KQ -,a2a3
r1bqk1nr/1pp1pp1n/p2p1bpp/8/P1BPP3/2NQ1NB1/1PP2PPP/R3K2R b KQkq -,e7e6
1r3qk1/1p4bp/2np2p1/8/1pb2P2/rN2B3/P4QPP/2RR2K1 w - -,c1c4
3r4/8/2B3pp/1P3n2/8/2R4k/8/7K b - -,h3g4
1R6/2p3r1/2Pp4/1P1Pp3/3rP2p/1P2K1k1/4R1P1/8 w - -,b8f8
r1b1k2r/3ppp1p/p1n1n1pQ/qp1NP3/8/P1P2N2/1P3PPP/2KR1B1R b kq -,c8b7
2qr1r1k/6pp/pn6/1pbPp3/1N2Bp2/1QP3P1/PP3P1P/3R1RK1 b - -,d8d6
8/p6r/2p1pkp1/R2b1pp1/3P4/1P2KPPP/P7/2R5 b - -,h7h3
r1bqkbnr/pp3ppp/2n5/2p1p3/3pP1P1/3P2N1/PPP2PBP/R1BQK1NR b KQkq -,g8e7
1r1n1rk1/2pb1pp1/p2p1q1p/1p1Bp3/3PP3/4PN2/PPP3PP/R3QRK1 b - -,e5d4
r1b1kb1r/pp2pppp/2n5/q1Pn4/2P5/5P2/PP4PP/RNBQKBNR w KQkq -,c1d2
8/3k4/b1p2p2/2Pp1Np1/p2P2P1/P7/5PP1/6K1 w - -,f2f3
r2rb1k1/1p3pp1/1q2pn1p/p3N3/2P5/1P1B4/P3QPPP/3R1RK1 w - a6,d3c2
7k/4b3/2R5/p7/P6P/8/5PPK/3r4 w - -,c6c4
r1b1k2r/pp3ppp/1qn1pn2/2bp4/8/1P1BPN2/PBP2PPP/RN1Q1RK1 w kq -,c2c4
3q1rk1/4bppp/prnpb3/2p5/2B1P3/2BQ1N2/PP3PPP/R4RK1 b - -,c6b4
8/5k2/1p2pp2/p5p1/1b1P3p/1PrrPP2/RR2KBPP/8 w - -,b2c2
r4rk1/1b2bppp/ppnp4/4pqB1/2P3n1/PNN3P1/1P1QPPBP/R2R2K1 w - -,g5e3
r2qk2r/pb1p2pp/np1b1n2/2pPp3/2P1P3/2N2NP1/PPQ4P/R1B1KB1R b KQkq -,e8g8
r2qr1k1/1b3pbp/1n1ppnp1/p7/Pp1PP3/1N1B1N2/1P2QPPP/R1BR2K1 w - -,c1g5
r4rk1/pp1qbnpp/2n1bp2/4p3/2Pp4/PN1P1NP1/1B2PPBP/RQ3RK1 w - -,f1c1
2b1k2q/5R2/p2p2r1/2p5/1p2PQ2/3P4/PPP2K2/3B4 b - -,h8d4
6k1/p2b2P1/7p/1p6/1PpN1p2/2P1nP1P/P1Br2P1/4R1K1 w - -,c2e4
3r4/p2bn1kp/3p4/np6/3P2P1/1P5P/P3KPB1/2R3R1 b - -,d7c6
rn1q1rk1/pp3pp1/4bn1p/2Pp4/1b5B/2N2N2/PPQ1PPPP/R3KB1R w KQ -,e2e3
1q1r1rk1/pb2bp1p/1p3np1/n1p1p1N1/2P5/PPN1P3/1BB1QPPP/R2R2K1 b - -,h7h6
3rr1k1/1bq2ppp/1p1bpn2/pPppN3/P1P5/1Q1PP3/1B2BPPP/R2R1NK1 b - -,d6e5
r3k2r/1ppqn1b1/p2p1n1p/3Pp1pP/4Pp2/2N3P1/PPPBQP2/2KR2NR w kq -,g3f4
2kr3r/pp1qb1pb/2p4p/3pP3/3P2PP/PB2B3/1P2Q3/R4RK1 w - -,f1f7
1r1b4/1rqk1p2/p1p1p1p1/1PPp1bPp/1P1P1P1P/4P3/R2B4/R2Q1BK1 b - -,a6b5
8/5k2/4R3/1p5N/1Pr5/8/4pK2/4r3 b - -,e1h1
8/2r3k1/r2P1pp1/7p/7P/6P1/5PK1/3R4 w - -,d6c7
2r1k2r/p4ppp/2n1p1n1/2b1Pb2/2P5/1N1p1N2/PP3PPP/R1BB1RK1 b k -,c5b6
8/8/3k4/3p3N/pbpP4/5P2/2K5/8 w - -,h5f4
r1bq1rk1/pppn1ppp/2np4/8/2P1PP2/2PBBN2/P5PP/R2QK2R w KQ -,e1g1
8/4R3/4K3/r7/4p1B1/4k1bP/8/8 w - -,e7b7
8/4k1pp/pp1npp2/3p4/3P4/P2KP3/1P1N1PPP/8 w - -,f2f3
r2qk2r/pp1nbp2/4p3/2pP1bp1/2n4p/5N1P/PPB1NPP1/R1BQ1RK1 w kq -,c2f5
2kr4/2q1bpp1/2bp4/p3pPP1/1p2n1R1/3BB3/PPP4r/1KNRQ3 b - -,e4c5
8/8/3k4/4p2R/8/3K3P/6P1/4r3 w - -,h3h4
2r2rk1/pp1b2pp/1qnbpn2/3p4/3P1P2/P2B1N2/1P2N1PP/R1BQ1R1K w - -,e2c3
3r2k1/pp1rbpp1/4pn1p/Q1p1Bq2/2PP4/P4N1P/1P3PP1/3RR1K1 b - -,b7b6
1rq2rk1/3bppb1/2np2p1/1pp2nNp/7P/PPNP2P1/3BPPBK/2RQ1R2 w - -,b3b4
rn1q1rk1/ppp1b1p1/4Pn1p/4p3/2B1Q3/7P/PPPB1PP1/R4RK1 w - -,e4e2
4rrk1/1p3qp1/p1b1pn1p/3pQ3/8/2NBR2P/PPP2PP1/5RK1 w - -,c3e2
2r2rk1/p4pp1/4pn1p/1PbqN3/3p4/3Q2P1/1P1NPPKP/R1R5 w - -,d2f3
4r1k1/1q2r1pp/1p1nN3/p1pP4/Pn2P3/2Q2p2/1B1R3P/4R1K1 b - -,e7f7
1r3k2/Rbb2ppp/1p2rn2/1P2p3/2N1P3/5P2/4B1PP/3RB1K1 b - -,f6e8
r2r2k1/pp3ppp/4p3/2q5/P4P2/2P2R1P/1P2Q1P1/5RK1 w - -,g1h1
r1bq1rk1/pp2bpp1/2n2n1p/4p3/3pP2B/2PB1N2/PP1NQPPP/R4RK1 w - -,c3d4
r4r1k/1b1n4/p1pb1q1p/Pp1p1pp1/1P1P4/1QN1PNP1/5PBP/R2R2K1 w - g6,b3c2
4r3/5k2/p3pPp1/8/2PN1r2/1PK1R2P/8/8 w - -,d4c6
8/2b2p2/8/5Pk1/2N1P3/5K2/8/8 w - -,f3e3
1r6/2qn1pk1/2rpn3/3Rp1pp/1pP1P3/pP3PPP/P1BQ3R/4K1B1 b - -,f7f6
Q1R5/2p2pk1/1p1p4/1P5p/3KP1q1/8/5P2/4r3 b - -,g4d1
8/5p2/1R4kp/5Rp1/P3Ppn1/3K4/1P6/7r b - -,f7f6
5rk1/1p1b1ppp/p7/1P1p4/P1rNn3/4P1P1/1R3PBP/5RK1 b - -,c4a4
6k1/p5p1/1p1p1qn1/3Pp2p/4P1b1/3B2P1/PP5P/2Q1N1K1 w - -,h2h4
r1bq1rk1/pp1n2bp/2p1pn2/3p1pp1/3P4/1QPN2P1/PP1NPPBP/R1B1R1K1 w - -,d2f3
r3kb1r/2p1qppp/1n6/pb1pP3/8/8/PP1NQPPP/R1B1K2R w KQkq -,e2b5
8/8/P7/2k4p/2Bp4/3P3K/8/6r1 w - -,h3h2
8/5pkp/4p1p1/p1r1N3/PnP5/6P1/3R1P1P/6K1 w - -,f2f4
r1bqk1r1/2bn1p2/1Bp1p1p1/pp4P1/4NP2/P2Q3B/1PP1N3/2KR3R b q -,c7b6
r6r/1p2kppp/p1n1bn2/2b1p1B1/4P3/2N1NP2/PP4PP/R3KB1R b KQ -,c6b4
b1r3k1/2nq3p/p2p2pb/2pP1p2/P1B4P/1QP2N2/4RPPB/6K1 w - -,f3g5
2bqnr1k/r2nbppp/pp1p4/2pPp3/P1P1P3/2NQ2P1/1P2NPBP/R1B2R1K w - -,g2h3
r1b1q1nk/3n3p/ppr2p1B/1P1Np1p1/P3P3/2P1Q3/2B3PP/4RR1K b - -,a6b5
3k2r1/pp2pp2/4b2p/P1p1q3/2p1P1nP/R3bB2/1PQ2PN1/6K1 w - -,f2e3
rnb1qrk1/pp2p1bp/2pp1np1/5p2/1PPP4/5NP1/PB2PPBP/RN1Q1RK1 w - -,d1b3:b1d2
2r1k1nr/1p1b1p2/p3p2b/3pP1Bp/q7/P2B1N1P/3Q1PP1/R4RK1 b k -,d7b5
2r1k2r/4bp1p/bqp3p1/p3PpP1/Pp5P/3BP3/1PQB1P2/R3K1R1 w Qk -,d3a6
r5k1/1p2bppp/1n2p3/p1p1P3/P1P2P2/2BrP3/R2N1KPP/2R5 b - -,b6c8
2r5/4bkp1/3p1p1p/4p3/ppr1P1P1/3RBPP1/PPP4R/3K4 w - -,h2d2
3r1rk1/1b4pp/pq2pp2/1pp5/4N3/2PP2P1/PPQ2PP1/3RR1K1 b - -,e6e5
2r2rk1/pp1b1ppp/5n2/1P1p1n2/3N4/P5P1/R2NPPBP/5RK1 w - -,d2b3
r1b2rk1/pp2qpbp/2p2npB/2p1p3/4P3/2NP1N1P/PPPQ1PP1/R3K2R b KQ -,f8e8
6k1/1p4p1/2p4p/3n1p2/r2P3P/4B1P1/1P1R1PK1/8 b - -,g8f7
r3r1k1/1b1n1pbp/ppq2np1/2p1p1B1/P1P1P3/1NN2P2/1P1QB1PP/3R1RK1 b - -,d7f8
r2n1rk1/pppq2b1/3pb1pp/1P1Npn2/2P2p2/3P2P1/P1QBPPBP/1R2NRK1 w - -,e2e3
1r2qrk1/pp1bp1bp/n1pp1np1/3P1p2/2P5/2N1BNP1/PPQ1PPBP/1R1R2K1 b - -,c6c5
r2qk2r/pp2bpp1/2n1bn2/3pp1N1/4P3/2N1B2P/PPP2P2/R2QKB1R w KQkq -,e4d5
3r2k1/2r3pp/2q1Rp2/3p1P2/1p1Q4/3P4/1P4PP/4R2K b - -,c6b5
5k2/3P4/p7/4R3/P1q2B1p/5pK1/5P1P/8 w - -,g3g4
r3k2r/1pqb1p2/p3pn1p/4P1p1/3N2P1/nPR4P/P1P1Q1B1/2K1B2R b kq -,c7b6
8/8/4p2p/p1N1k1p1/r3p1P1/5p1P/3R1P2/3K4 b - -,a4a1
r1b2rk1/1p1nnpb1/pq2p1pp/2ppP3/5P2/P1P2N2/1PBPN1PP/R1B1QRK1 b - -,e7c6
2r5/3R4/k1pP4/2P5/1p1P4/8/1K6/8 b - -,a6b5
R7/3k4/4p3/8/5P2/8/p5K1/r7 w - -,a8a7
5rk1/5p2/p3q1pp/1p2p1b1/2r1P3/P1PN4/1P2QRPP/5R1K b - -,h6h5
Qb6/8/1q4pk/4p2p/1P2Bp1P/4P1P1/5PK1/8 w - -,a8c6
r1bqrnk1/1p3ppp/2pb1n2/3p2B1/1p1P4/P1NBPN2/2Q2PPP/1R3RK1 w - -,a3b4
r2r2k1/p2q1ppp/np2pn2/1b2b3/3pP3/PN4P1/1PQB1PBP/2RNR1K1 w - -,f2f4
8/7k/5ppp/B7/6b1/3B2P1/5P1P/4K3 b - -,h7g7
4r1k1/1p2qp2/p1pR1npp/P1P1p3/1P2P2P/6P1/3N1PK1/Q7 w - -,a1c3
2r5/3k4/3p3P/R4p2/1p3Qp1/1q2B1K1/5P1P/8 b - -,c8c1
2b5/p1p1k2p/2p2p2/2Pp4/P4B2/1P6/5PPP/5K2 b - -,d5d4
2rq1rk1/1ppbb1pp/5n2/pPNp1p2/3NpP2/PP2P3/1B1P2PP/2RQK2R b K -,e7c5
2r3k1/7p/4p1p1/2B3P1/1P6/p2P4/5Q2/q1K3R1 w - -,c1d2
4b3/4n3/1R2pk1p/1p6/2pPpP1r/2P1P3/1P3NK1/8 w - -,f2e4
1r5k/p5p1/1p2n2p/2b5/4N3/5K2/PP5P/2RR4 w - -,e4c5
3r4/1p2p1k1/pq1rpnp1/4Q2p/P1P5/6PP/1P3PB1/1R3RK1 b - -,b6d4
4b2k/q4pp1/P3p2p/1rppP3/7Q/R6P/3B1PPK/8 b - -,h8h7
1rbq1rk1/4ppbp/2np1np1/8/1p2P3/2N1B1PP/1PP1NPB1/R2Q1RK1 w - -,c3d5
5rk1/B3pp1p/2r1n1p1/8/8/2P5/P4PPP/R4RK1 b - -,f8a8
r2qkb1r/pp3ppp/2p1pn2/3n4/P2P4/2NQPN2/1P3PPP/R1B2RK1 w kq -,e3e4
4rbk1/2p2p2/p5pp/2P5/1P1n1q2/P1Nr3P/Q4PP1/1RR1B1K1 w - -,a2b2
r7/p3k2p/1p2p3/2ppN1rP/3Pp1P1/2P1Pp1R/PP1KbP2/6R1 w - -,h3g3
r2qkb1r/p4ppp/1np1p3/8/3P2Q1/8/PP3PPP/RNB2RK1 b kq -,d8f6
rn1k3r/pp4Qp/2p1p3/4N1n1/P1pq4/2b5/1P4PP/R3KB1R w KQ -,b2c3
r4rk1/2p1q1pp/p2p4/2nP1P2/2Q1p3/RnP1PP2/1P5P/1B2BRK1 b - -,e7g5
3b4/6k1/2p1p3/p1p1nqp1/2P5/4B1N1/5PK1/3Q4 b - -,f5d3
rnbqkb1r/ppp2ppp/3p1n2/4p1B1/3PP3/5P2/PPP3PP/RN1QKBNR b KQkq -,f8e7
7r/4k3/2R5/5p2/3p1P1P/3P4/3K4/8 w - -,c6c4
8/1b6/5k1p/3B1pp1/3K1P2/8/5P2/6N1 b - -,b7a6
r3qrk1/3n1pp1/1p1p2bp/p1pPn3/P1P1P2B/2P1P3/2QNB1PP/1R3RK1 b - -,f7f6
2rqk2r/1b2bpp1/p2ppn2/1p4Bp/2BNP2P/P1N2P2/1PPQ2P1/2K3RR b k -,c8c4
2krr3/p1p2p1p/1pnq2p1/3p4/P2Pn3/2PB4/2PB1PPP/1R1QR1K1 b - -,c6a5
3krQ2/1r1n4/p6P/2pPpB2/8/P5R1/5P2/3R1K2 b - -,e8f8
r1b1k2r/ppppqppp/2n5/4P3/2P2Bn1/2P1PN2/P4PPP/R2QKB1R b KQkq -,g4e5
5r1k/1R4np/p2p1Qp1/4b3/2P3PP/4B3/P5B1/6K1 b - -,e5f6
r4rk1/pp2nppp/2n1p3/2qpPb2/8/2P2N2/PP1NBPPP/R2QR1K1 b - -,f8d8
8/1R4k1/1P2K3/8/8/1r4P1/8/8 b - -,g7g6
1k1r1q1r/pppbn1b1/3p4/3Pp1pp/2P1B3/R5NP/PPQN1PP1/1K2R3 w - -,a3f3
R3brk1/2p2p1p/B3r1p1/2p5/5P2/1P5P/P1P3P1/5RK1 b - -,e8c6
3k3r/p1p3p1/1b1r1p1p/3qN3/1Q3R2/8/PP3PPP/4R1K1 w - -,e5c4
r1r3k1/1n1q2pp/4pb2/1pPpp3/4P3/1QPPBN1P/5PP1/1R1R2K1 b - -,b7c5
7r/1p1q1pkp/2nbp1p1/r2pP3/P2P1Q2/3N4/5PPP/R4RK1 w - -,e5d6
2rqk1nr/1b2ppb1/p2p2pp/P7/N1pNP3/4BP2/1PPQ2PP/R3K2R b KQk -,g8f6
r1bqkbnr/p4ppp/2p1p3/3p4/4P3/3B4/PPP2PPP/RNBQ1RK1 b kq -,g8f6
r4rk1/ppqb1ppp/8/2pp4/3P2n1/P1PBP3/3B1PPP/R2Q1RK1 w - -,g2g3
8/1p1b3R/p2kpr2/3p4/3P1PB1/P3K3/1P6/8 w - -,h7h8
5rk1/p4pp1/3p3p/3BnN1q/1rPQ3P/3n4/P6P/R4R1K b - -,b4b2
3r2k1/1p2q3/p2bbp2/3p2pp/P2Pn3/1Q1BPN1P/1B3PP1/2R3K1 w - -,h3h4
rnbq1rk1/ppp3bp/3p1np1/5pB1/2PPP3/2N2NP1/PP4BP/R2Q1RK1 b - e3,h7h6
r1bqk1nr/1p3ppp/nb2p3/p3P3/1Pp5/P4N2/1B3PPP/RN1QKB1R w KQkq -,d1d8
r4rk1/p2b1n1p/2pp2pb/4p1q1/2P1P3/1PN2P1P/P3NQB1/3R1RK1 w - -,c4c5
2r1r1k1/p2nqppp/bpp1pP2/3p4/2PP4/1P3NP1/PbQN1PBP/2R1R1K1 b - -,e7a3
8/5pk1/6p1/1p6/1Pb5/P1N3P1/8/6K1 w - -,g1f2
r4rk1/ppqbbppp/2p1pn2/6B1/3P4/3Q1NP1/PPP2PBP/R4RK1 w - -,f3e5
rn1br1k1/ppp2ppp/3p1n2/3P1q2/2PB1PP1/2N5/PP2B2P/R2Q1RK1 b - g3,f5c8
2r3k1/p2qn1p1/1p3p1p/1P1N4/P2P4/1Q3N2/5PPb/4R1K1 w - -,g1h2
r5k1/1r3ppb/2p4p/p3b2P/RnB1PN2/1P2BPP1/5K2/3R4 w - -,d1d2
r1b1k2r/ppq2p2/2p1p2p/4P1p1/Pb3nP1/1BN2N2/1PPQ1P1P/2KRR3 b kq -,c8d7
rn1qk2r/p1p2ppp/bp2pn2/3P4/3P4/5NP1/PPQNPP1P/R3KB1R b KQkq -,e6d5
rnbq1rk1/1p2ppbp/2pp1np1/p3P3/P2P4/2N2N2/1PP1BPPP/R1BQ1RK1 b - -,d6e5
r1b2rk1/pp3ppp/2pb4/6q1/3P1N2/P3P1P1/1PQ2R1P/R4BK1 w - -,f1c4
1b2r1k1/1p2qpp1/pP6/P7/Q3P1Pp/4pP1b/1B1RB2P/4R1K1 b - -,e3d2
r1bq1rk1/pp2ppbp/3p1np1/8/2P1P3/2NQ4/PP2BPPP/R1B2RK1 b - -,c8e6
r3kb1r/2qn1pp1/pp1p1n2/3Pp2p/2P5/1N2BP2/PP1QB1PP/R3K2R b KQkq -,g7g6
4k1r1/2qB1pP1/p3p3/8/Q1p4R/6P1/5P2/b4K2 b - -,c7d7
1r3rk1/Q3bpp1/b4n1p/q3p3/NpP1P3/5BP1/PB3P1P/2R1R1K1 w - -,a7e7
q1rnn1k1/1br1ppbp/pp1p2p1/8/P1BPP3/1Q3N1P/1P1N1PPB/R3R1K1 w - -,a1c1
1r2kb1r/pQ1n3p/4p1p1/q2p1p2/3Pn2B/2N1PN2/PP3PPP/R3K2R w KQk -,b7c6
6k1/p4pp1/1n2p3/4Q3/6Pp/5B1P/3q1P2/2r1NK2 b - -,b6c4
1k1r1r2/1p4p1/p5Bp/P7/2pp1q2/1R6/1PQ2PPP/5R1K b - -,c4b3
r1b2b1r/pp2k2p/2p1pp2/q3n2Q/4P3/2N5/PPP1B1PP/R3K1NR b KQ -,c8d7
8/r1pk2r1/3np2p/5p2/3P3P/4PB2/2R2P2/2R2K2 w - -,f3e2
r2q3k/4n1bp/3p3r/p2Ppp2/RPP2p2/3B1P2/2NQ2PP/6RK b - -,e7d5
r3kb1r/ppqn1pp1/2p1pn1p/4N3/3P3P/6N1/PPP1QPP1/R1B1K2R w KQkq -,c1d2
2rq1rk1/1b2bppp/pp2p3/3pP3/Pn3P2/1PN3B1/1P2B1PP/2RQ1R1K b - -,d8d7
r3r1k1/p2qbpp1/2pp1n1p/2p1p2b/2P1P3/1PNP1N1P/PB2QPP1/R3R1K1 w - -,e2e3
1r5k/2pb4/7p/np1p4/p3PrpP/P1P5/1PBK1N2/4R1R1 w - -,f2d3
6k1/p3n1p1/1p4p1/4B3/P3Q1P1/q1PP4/5K2/8 b - -,a3a2
r5k1/1p1r1pbp/3pn1p1/p5P1/2P2P2/1P2BBK1/P6P/3RR3 b - -,a5a4
r2r2k1/q1Q2ppp/p2npb2/B7/N7/4P1P1/PP3P1P/2R2RK1 b - -,d8d7
3rk1nr/1b1n1p2/p1p1p2p/8/PpPP4/3BB3/1P1NpPPP/R4RK1 w k -,d3e2
r1b1nrk1/2q3pp/p1p2p2/1pB1p1P1/1b2P2P/2N2P2/PPP2Q2/2KR1B1R b - -,b4c5
r2q1rk1/pb2bppp/1pn1p3/2pn4/3P4/1PNBPN2/PB3PPP/R2Q1RK1 w - -,d4c5
6k1/r2q1p2/1Q4pp/3pPn2/P1r5/6P1/1Pb2PBP/R3RNK1 w - -,e5e6
7R/p7/1p2pkp1/5p2/8/8/5PK1/8 w - -,h8a8
8/4k3/p7/2P5/4r3/1K1R4/8/8 w - -,c5c6
4r1k1/ppbr1pp1/3q3p/2p1pP2/2PpR1Q1/PP1P3P/3B1PP1/1R4K1 w - -,b1e1
2r2bk1/3q1ppp/b1r2n2/p3pN2/1p2P3/4BP2/PP3NPP/R2RQ2K b - -,d7e6
rnbqkbnr/ppp2ppp/4p3/8/3pP3/3P4/PPP1QPPP/RNB1KBNR w KQkq -,f2f4
8/8/3br1k1/P4p2/1P2rP1p/2PRp2P/4Q1P1/7K w - -,a5a6
8/p6p/2n1k3/1pp1Ppp1/5PP1/2P5/P2NK2P/8 w - -,g4f5
r2r2k1/1b3ppp/p2b1q2/1pn1p3/4P3/2N2N2/PPQ2PPP/R2R1BK1 w - -,b2b4
5bk1/ppr1rppn/q2p3p/3PpB2/4P2P/P3BQP1/1P3P2/2RR2K1 b - -,a6a4
2r2rk1/2q2pb1/p4np1/1p1Pp3/3p2Pp/1P1P3P/PBP2RB1/R4Q1K b - -,c7d6
8/1p6/2p1pk1p/p6P/3P1K2/1P3P2/P7/8 w - -,a2a4
2b1qrk1/8/pp2Pnpp/5Q2/2Pp2PP/P2B1R2/3P4/4R1K1 w - -,f5g6
8/6p1/8/8/5KPk/8/8/8 b - -,g7g6
r2qkb1r/pbp1nppp/1p1p4/4p3/2PNPP2/2NP4/PP2B1PP/R1BQK2R b KQkq -,e5d4
5r1k/p3p2p/1p2Bpp1/3Pb3/b7/6P1/P4P1P/2R1R1K1 b - -,e5d6
4r1k1/1p3pb1/p5p1/2p1P3/PqP2Pp1/2N5/1P1R1KB1/7R w - -,g2d5
1r2k2r/1pqbnpb1/p2p1n1p/2pPp1pP/2P1P1P1/2NB1P2/PP1BQ3/R3KN1R b KQk -,e7c8
r2qk2r/pppnnpbp/3p2p1/3Pp3/2P1P3/2N2B2/PP3PPP/R1BQK2R w KQkq -,e1g1
3r2k1/p3pp1p/1qn3p1/2p4P/4B3/2Q2P2/PPP2P2/2K4R b - -,c6d4
8/pK2k3/1p5R/1r3P2/8/1P6/8/8 w - -,b7a7
2b5/8/5q2/1pBp2pk/p1nPp3/2P1P1QP/4N1K1/8 w - -,e2g1
1r3rk1/p3qpbp/2ppbnp1/1p6/2P1PP2/3P3P/PP2N1B1/R1BQ1RK1 w - b6,c4b5
rn2kb1r/pp3ppp/2p1pnb1/q7/2BP3N/2N5/PPPB1PPP/R2QK2R w KQkq -,d1e2
3r3r/bB1k2pp/2n2p2/1Pp1p3/4bn2/P3N3/1B3PPP/R4RK1 w - -,f1d1
3q1rk1/4bpp1/pn1p3p/1p2pP2/2r1P3/1NNR4/PPP1Q2P/1K4R1 w - -,d3g3
2kr1b1r/ppp1pppp/1qn2n2/1N3b2/P1BP4/5N2/1PPB1PPP/R2QK2R b KQ a3,c6a5
r3k2r/4b1pp/pnqppn2/4p3/4P3/2N1B1P1/1PP2PBP/R2QK2R w KQkq -,g2h3
8/8/3q4/5pk1/5Rp1/1B4P1/P4P1K/8 b - -,d6h6
8/8/3pBq2/6k1/5pp1/8/3Q4/5K2 w - -,d2d6
rnbqk2r/pp1n1ppp/4p3/3pP3/1b1N2Q1/2NB4/PPP2PPP/R1B1K2R b KQkq -,e8g8
r6r/1p3kp1/p1p1ppR1/1n5P/3P4/1P2PB2/1P3P2/R4K2 w - -,f1e2
8/pp2n3/2prpkp1/8/P3PP1P/1P2PN2/4K3/2R5 b - -,d6d7
r1bq1rk1/6bp/pp1ppnp1/2p1n3/2P1P3/1PN1BP2/P1B1N1PP/R2Q1RK1 b - -,c8b7
r1bqk1nr/pppp1ppp/2nb4/4p3/2BPP3/2P2N2/P4PPP/RNBQK2R b KQkq d3,g8f6
2rq1r2/3bppkp/3p2p1/pp1B4/4P3/P4P2/1PPQ2PP/2KR3R b - -,d8b6
r4rk1/pp1n1ppp/2p1p3/5P2/1b1P3N/1P6/nP2PPBP/R1B1R1K1 w - -,e1d1
r1b2qk1/p6p/2N1p1p1/3r4/8/b3B2P/Q1R2PP1/5RK1 w - -,c6a7
2r1r1k1/p2nbppp/1q2pnb1/2P5/1p2PBP1/1N3N1P/PP2QPB1/R2R2K1 b - -,d7c5
